vegetable,variety,date,weight,units
tomatoes,Mortgage Lifter,2021-09-27,300,grams
kale,Heirloom Lacinto,2021-09-27,37,grams
lettuce,Lettuce Mixture,2021-09-27,49,grams
peppers,Valencia,2021-09-27,179,grams
swiss chard,Neon Glow,2021-09-27,288,grams
swiss chard,Neon Glow,2021-09-30,20,grams
basil,Emily,2021-09-30,6,grams
peppers,Banana,2021-09-30,45,grams
tomatoes,Early Girl,2021-10-01,757,grams
tomatoes,Striped German,2021-10-01,419,grams
tomatoes,Old German,2021-10-01,447,grams
tomatoes,San Marzano,2021-10-01,880,grams
tomatoes,Amish Paste,2021-10-01,812,grams
tomatoes,Mortgage Lifter,2021-10-01,1345,grams
tomatoes,volunteer,2021-10-01,1960,grams
tomatoes,Black Krim,2021-10-01,1098,grams
raspberries,perennial,2021-10-01,100,grams
lettuce,Lettuce Mixture,2021-10-01,15,grams
basil,Emily,2021-10-02,30,grams
oregano,oregano,2021-10-02,3,grams
swiss chard,Neon Glow,2021-10-02,20,grams
lettuce,Lettuce Mixture,2021-10-02,46,grams
tomatoes,yellow,2021-10-02,77,grams
tomatoes,Bonny Best,2021-10-02,233,grams
tomatoes,Sweet 100 Cherry,2021-10-02,927,grams
tomatoes,Big Beef,2021-10-02,352,grams
peppers,Bell Boy,2021-10-02,1122,grams
peppers,Jalapeño,2021-10-02,15,grams
peppers,Valencia,2021-10-02,232,grams
peppers,Banana,2021-10-03,914,grams
peppers,Jalapeño,2021-10-03,2653,grams
peppers,Bell Boy,2021-10-03,127,grams
watermelon,Sugar Baby,2021-10-03,1916,grams
dill,Boquet,2021-10-03,23,grams
squash,Red Kuri,2021-10-03,1787,grams
squash,Red Kuri,2021-10-03,850,grams
squash,Giant Delicata Mutant,2021-10-03,1166,grams
potatoes,yellow,2021-10-04,406,grams
cabbage,Early Jersey Wakefield,2021-10-04,73,grams
lettuce,Lettuce Mixture,2021-10-05,27,grams
tomatoes,Early Girl,2021-10-10,1036,grams
tomatoes,Amish Paste,2021-10-10,493,grams
tomatoes,San Marzano,2021-10-10,756,grams
tomatoes,Big Beef,2021-10-10,2832,grams
tomatoes,Mortgage Lifter,2021-10-10,2097,grams
tomatoes,volunteer,2021-10-10,275,grams
raspberries,perennial,2021-10-10,111,grams
watermelon,Sugar Baby,2021-10-10,1856,grams
tomatoes,Sweet 100 Cherry,2021-10-10,1240,grams
tomatoes,Bonny Best,2021-10-10,81,grams
carrots,Starica,2021-10-10,2209,grams
potatoes,yellow,2021-10-10,5991,grams
kale,Heirloom Lacinto,2021-10-10,110,grams
peppers,Bell Boy,2021-10-11,228,grams
beans,Bush,2021-10-11,167,grams
swiss chard,Neon Glow,2021-10-11,244,grams
raspberries,perennial,2021-10-12,71,grams
peppers,Bell Boy,2021-10-12,85,grams
basil,Emily,2021-10-12,10,grams
swiss chard,Neon Glow,2021-10-12,18,grams
basil,Emily,2021-10-14,12,grams
swiss chard,Neon Glow,2021-10-14,60,grams
raspberries,perennial,2021-10-17,120,grams
tomatoes,Bonny Best,2021-10-17,143,grams
tomatoes,Black Krim,2021-10-17,88,grams
tomatoes,Big Beef,2021-10-17,902,grams
tomatoes,Sweet 100 Cherry,2021-10-17,1335,grams
tomatoes,San Marzano,2021-10-17,93,grams
tomatoes,Early Girl,2021-10-17,57,grams
basil,Emily,2021-10-17,16,grams
beets,Sweet Merlin,2021-10-17,1321,grams
beets,Gourmet Golden,2021-10-17,1744,grams
carrots,Starica,2021-10-17,8859,grams
sweet potato,sweet potato,2021-10-17,9884,grams
pumpkin,Last Year's,2021-10-17,2518,grams
pumpkin,Last Year's,2021-10-17,1889,grams
pumpkin,Last Year's,2021-10-17,2883,grams
pumpkin,Last Year's,2021-10-17,2334,grams
pumpkin,Last Year's,2021-10-17,1878,grams
pumpkin,Last Year's,2021-10-17,2059,grams
pumpkin,Last Year's,2021-10-17,1494,grams
pumpkin,Last Year's,2021-10-17,1289,grams
pumpkin,Last Year's,2021-10-17,1212,grams
pumpkin,Last Year's,2021-10-17,1251,grams
pumpkin,Last Year's,2021-10-17,814,grams
pumpkin,Last Year's,2021-10-17,430,grams
squash,Red Kuri,2021-10-17,789,grams
squash,Red Kuri,2021-10-17,610,grams
squash,Red Kuri,2021-10-17,632,grams
squash,Red Kuri,2021-10-17,452,grams
squash,Red Kuri,2021-10-17,799,grams
squash,Red Kuri,2021-10-17,483,grams
watermelon,Sugar Baby,2021-10-17,1598,grams
watermelon,Sugar Baby,2021-10-17,1377,grams
zucchini,Romanesco,2021-10-17,3550,grams
zucchini,Romanesco,2021-10-17,3950,grams
zucchini,Romanesco,2021-10-17,5200,grams
basil,Emily,2021-10-18,388,NA
kale,Heirloom Lacinto,2021-10-18,101,NA
swiss chard,Neon Glow,2021-10-19,82,NA
kale,Heirloom Lacinto,2021-10-19,156,NA
peppers,Bell Boy,2021-10-20,499,NA
peppers,Jalapeño,2021-10-20,76,NA
tomatoes,Early Girl,2021-10-21,1642,NA
tomatoes,Big Beef,2021-10-21,387,NA
tomatoes,Amish Paste,2021-10-21,268,NA
tomatoes,San Marzano,2021-10-21,280,NA
tomatoes,Sweet 100 Cherry,2021-10-21,649,NA
tomatoes,Bonny Best,2021-10-21,209,NA
tomatoes,San Marzano,2021-10-21,1218,NA
tomatoes,Amish Paste,2021-10-21,1151,NA
tomatoes,Big Beef,2021-10-21,1459,NA
tomatoes,Mortgage Lifter,2021-10-21,1710,NA
tomatoes,Cherokee Purple,2021-10-21,1153,NA
tomatoes,Black Krim,2021-10-21,139,NA
raspberries,perennial,2021-10-21,126,NA
peppers,Jalapeño,2021-10-21,57,NA
peppers,Bell Boy,2021-10-21,217,NA
peppers,Banana,2021-10-21,48,NA
swiss chard,Neon Glow,2021-10-21,26,NA
rutabaga,Helenor,2021-10-22,1287,NA
lettuce,Lettuce Mixture,2021-10-22,55,NA
oregano,oregano,2021-10-29,30,NA
raspberries,perennial,2021-10-29,81,NA
kale,Heirloom Lacinto,2021-10-31,89,NA
kale,Heirloom Lacinto,2021-11-04,50,NA
kale,Heirloom Lacinto,2021-11-10,362,NA
