language,family,native_speakers,country
Shona,Niger–Congo,8400000,Zimbabwe
Shona,Niger–Congo,8400000,Mozambique
Shwai,Niger–Congo,3500,Sudan
Sighu,Niger–Congo,1000,Gabon
Simaa,Niger–Congo,17000,Zambia
Sinyar,Nilo-Saharan,33000,Chad
Siwu,Nilo-Saharan,27000,Ghana
Somali,Afroasiatic,21937940,Somalia
Somali,Afroasiatic,21937940,Djibouti
Somali,Afroasiatic,21937940,Ethiopia
Somali,Afroasiatic,21937940,Kenya
Somali,Afroasiatic,21937940,Kenya
Soninke,Niger–Congo,2300000,Mauritania
Soninke,Niger–Congo,2300000,Mali
Soninke,Niger–Congo,2300000,Senegal
Soninke,Niger–Congo,2300000,Gambia
Soninke,Niger–Congo,2300000,Burkina Faso
Soninke,Niger–Congo,2300000,Gambia
Soninke,Niger–Congo,2300000,Ghana
Soninke,Niger–Congo,2300000,Guinea
Soninke,Niger–Congo,2300000,Guinea
Soninke,Niger–Congo,2300000,Ivory Coast
Soninke,Niger–Congo,2300000,Mali
Soninke,Niger–Congo,2300000,Mauritania
Soninke,Niger–Congo,2300000,Senegal
Soli,Niger–Congo,34000,Zambia
Sotho,Niger–Congo,5600000,Lesotho
Sotho,Niger–Congo,5600000,South Africa
Sotho,Niger–Congo,5600000,Zimbabwe
South Banda,Ubangian,200000,Central African Republic
South Banda,Ubangian,200000,Congo
Southeast Ijo,Niger–Congo,72000,Nigeria
Southern Birifor,Niger–Congo,190000,Ghana
Southern Birifor,Niger–Congo,190000,Ivory Coast
Suba,Niger–Congo,140000,Kenya
Suba-Simbiti,Niger–Congo,110000,Tanzania
Sucite,Niger–Congo,38000,Burkina Faso
Suku,Niger–Congo,50000,Congo
Sukur,Afroasiatic,15000,Nigeria
Supyire,Niger–Congo,460000,Mali
Susu,Niger–Congo,2400000,Guinea
Susu,Niger–Congo,2400000,Sierra Leone
Susu,Niger–Congo,2400000,Guinea
Spanish,Indo-European,1100000,Equatorial Guinea
Spanish,Indo-European,1100000,Morocco
Songhoyboro Ciine,Nilo-Saharan,946000,Niger
Southern Ndebele,Niger–Congo,1100000,South Africa
Surbakhal,Nilo-Saharan,7900,Chad
Syer-Tenyer,Niger–Congo,30000,Burkina Faso
Swahili,Niger–Congo,5300000,Tanzania
Swahili,Niger–Congo,5300000,Kenya
Swahili,Niger–Congo,5300000,Uganda
Swahili,Niger–Congo,5300000,Rwanda
Swahili,Niger–Congo,5300000,Congo
Swazi,Niger–Congo,2300000,South Africa
Taa,Tuu,2500,Botswana
Taa,Tuu,2500,Namibia
Tadaksahak,Nilo-Saharan,170000,Mali
Tadaksahak,Nilo-Saharan,170000,Niger
Tagdal,Nilo-Saharan,65000,Niger
Tagoi,Niger–Congo,29000,Sudan
Tagwana,Niger–Congo,140000,Ivory Coast
Talodi,Niger–Congo,1500,Sudan
Talni,Niger–Congo,100000,Burkina Faso
Talni,Niger–Congo,100000,Ghana
Tasawaq,Nilo-Saharan,21000,Niger
Teda,Nilo-Saharan,130000,Chad
Teda,Nilo-Saharan,130000,Libya
Teda,Nilo-Saharan,130000,Niger
Tegali,Niger–Congo,110000,Sudan
Tegem,Niger–Congo,5100,Sudan
Tembo,Niger–Congo,150000,Congo
Tetela,Niger–Congo,760000,Congo
Tigrinya,Afroasiatic,9700000,Eritrea
Tigrinya,Afroasiatic,9700000,Ethiopia
Tikar,Niger–Congo,110000,Cameroon
Tiro,Niger–Congo,34000,Sudan
Tima,Niger–Congo,3300,Sudan
Tiv,Niger–Congo,5200000,Nigeria
Tocho,Niger–Congo,2700,Sudan
Tondi Songway Kiini,Nilo-Saharan,3000,Mali
Tonga,Niger–Congo,1500000,Zimbabwe
Tonga,Niger–Congo,1500000,Zambia
Tonga,Niger–Congo,330000,Mozambique
Tonga,Niger–Congo,165000,Malawi
Totela,Niger–Congo,1220,Namibia
Totela,Niger–Congo,1220,Zambia
Tsamai,Afroasiatic,18000,Ethiopia
"Tsotsitaal and Camtho, aka Iscamtho",Niger–Congo,500000,South Africa
Tshiluba,Niger–Congo,6300000,Congo
Tsonga or Xitsonga,Niger–Congo,3700000,South Africa
Tsonga or Xitsonga,Niger–Congo,3700000,Zimbabwe
Tsonga or Xitsonga,Niger–Congo,3700000,Mozambique
Tsonga or Xitsonga,Niger–Congo,3700000,Eswatini
Tsonga or Xitsonga,Niger–Congo,3700000,Mozambique
Tsonga or Xitsonga,Niger–Congo,3700000,South Africa
Tsonga or Xitsonga,Niger–Congo,3700000,Zimbabwe
Tshivenda,Niger–Congo,1300000,South Africa
Tshivenda,Niger–Congo,1300000,Zimbabwe
Tswa,Niger–Congo,1200000,Mozambique
Tswana,Niger–Congo,5800000,Botswana
Tswana,Niger–Congo,5800000,South Africa
Tswana,Niger–Congo,5800000,Zimbabwe
Tswana,Niger–Congo,5800000,Namibia
Tswana,Niger–Congo,5800000,Botswana
Tswana,Niger–Congo,5800000,South Africa
Tulishi,Nilo-Saharan,2500,Sudan
Tumbuka,Niger–Congo,7100000,Malawi
Tumbuka,Niger–Congo,7100000,Tanzania
Tumbuka,Niger–Congo,7100000,Zambia
Tumtum,Nilo-Saharan,17000,Sudan
Twi,Niger–Congo,630000,Ghana
Tyap,Niger–Congo,875000,Nigeria
Uduk,Nilo-Saharan,22000,Sudan
Uduk,Nilo-Saharan,22000,South Sudan
Umbundu,Niger–Congo,7000000,Angola
Venda,Niger–Congo,1300000,South Africa
Venda,Niger–Congo,1300000,Zimbabwe
Venda,Niger–Congo,1300000,South Africa
Venda,Niger–Congo,1300000,Mozambique
Venda,Niger–Congo,1300000,Zimbabwe
Vengo,Niger–Congo,27000,Cameroon
Viemo,Niger–Congo,8000,Burkina Faso
Vori,Niger–Congo,3000,Nigeria
Wali,Niger–Congo,85000,Ghana
Wali,Nilo-Saharan,9000,Sudan
Wapan,Niger–Congo,100000,Nigeria
Weh,Niger–Congo,8000,Cameroon
Werni,Niger–Congo,1100,Sudan
West Banda,Ubangian,7500,Central African Republic
West Banda,Ubangian,7500,South Sudan
Wolof,Niger–Congo,7100000,Senegal
Wongo,Niger–Congo,13000,Congo
Wushi,Niger–Congo,27000,Cameroon
Wushi,Niger–Congo,27000,Nigeria
Xhosa,Niger–Congo,7600000,South Africa
Xhosa,Niger–Congo,7600000,Zimbabwe
Xhosa,Niger–Congo,7600000,Botswana
Xhosa,Niger–Congo,7600000,South Africa
Xhosa,Niger–Congo,7600000,Lesotho
Yamba,Niger–Congo,80000,Cameroon
Yamba,Niger–Congo,80000,Nigeria
Yangere,Ubangian,27000,Central African Republic
Yalunka,Niger–Congo,181000,Guinea
Yela-Kela,Niger–Congo,213000,Congo
Yemba,Niger–Congo,500000,Cameroon
Yeyi,Niger–Congo,55000,Namibia
Yeyi,Niger–Congo,55000,Botswana
Yobe,Niger–Congo,22000,Benin
Yobe,Niger–Congo,22000,Togo
Yoruba,Niger–Congo,45000000,Nigeria
Yoruba,Niger–Congo,45000000,Benin
Yoruba,Niger–Congo,45000000,Togo
Yulu,Nilo-Saharan,13000,Central African Republic
Yulu,Nilo-Saharan,13000,Congo
Yulu,Nilo-Saharan,13000,South Sudan
Yulu,Nilo-Saharan,13000,Sudan
Zaghawa,Nilo-Saharan,450000,Chad
Zaghawa,Nilo-Saharan,450000,Sudan
Zande,Niger–Congo,1800000,Congo
Zande,Niger–Congo,1800000,Central African Republic
Zande,Niger–Congo,1800000,South Sudan
Zarma,Nilo-Saharan,6000000,Niger
Zarma,Nilo-Saharan,6000000,Mali
Zarma,Nilo-Saharan,6000000,Burkina Faso
Zarma,Nilo-Saharan,6000000,Nigeria
Zemba,Niger–Congo,25000,Angola
Zemba,Niger–Congo,25000,Namibia
Zhire,Niger–Congo,11000,Nigeria
Zhoa,Niger–Congo,2000,Cameroon
Zulu,Niger–Congo,12000000,South Africa
