Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
6,2003-07-11,230,Nevers,Lyon,Plain stage,Alessandro Petacchi,ITA
7,2003-07-12,230.5,Lyon,Morzine,Stage with mountain(s),Richard Virenque,FRA
8,2003-07-13,219,Sallanches,Alpe d'Huez,Stage with mountain(s),Iban Mayo,ESP
9,2003-07-14,184.5,Le Bourg-d'Oisans,Gap,Stage with mountain(s),Alexander Vinokourov,KAZ
10,2003-07-15,219.5,Gap,Marseille,Plain stage,Jakob Piil,DEN
11,2003-07-17,153.5,Narbonne,Toulouse,Plain stage,Juan Antonio Flecha,ESP
12,2003-07-18,47,Gaillac,Cap Découverte,Individual time trial,Jan Ullrich,GER
13,2003-07-19,197.5,Toulouse,Ax 3 Domaines,Stage with mountain(s),Carlos Sastre,ESP
14,2003-07-20,191.5,Saint-Girons,Loudenvielle,Stage with mountain(s),Gilberto Simoni,ITA
15,2003-07-21,159.5,Bagnères-de-Bigorre,Luz Ardiden,Stage with mountain(s),Lance Armstrong[n 1],USA
16,2003-07-23,197.5,Pau,Bayonne,Stage with mountain(s),Tyler Hamilton,USA
17,2003-07-24,181,Dax,Bordeaux,Plain stage,Servais Knaven,NED
18,2003-07-25,203.5,Bordeaux,Saint-Maixent-l'École,Plain stage,Pablo Lastras,ESP
19,2003-07-26,49,Pornic,Nantes,Individual time trial,David Millar,GBR
20,2003-07-27,152,Ville-d'Avray,Paris,Plain stage,Jean-Patrick Nazon,FRA
P,2002-07-06,7,Luxembourg City,Luxembourg City,Individual time trial,Lance Armstrong[n 1],USA
1,2002-07-07,192.5,Luxembourg City,Luxembourg City,Plain stage,Rubens Bertogliati,SUI
2,2002-07-08,181,Luxembourg City,Saarbrücken,Plain stage,Óscar Freire,ESP
3,2002-07-09,174.5,Metz,Reims,Plain stage,Robbie McEwen,AUS
4,2002-07-10,67.5,Épernay,Château-Thierry,Team time trial,ONCE–Eroski,
5,2002-07-11,195,Soissons,Rouen,Plain stage,Jaan Kirsipuu,EST
6,2002-07-12,199.5,Forges-les-Eaux,Alençon,Plain stage,Erik Zabel,GER
7,2002-07-13,176,Bagnoles-de-l'Orne,Avranches,Plain stage,Bradley McGee,AUS
8,2002-07-14,217.5,Saint-Martin-de-Landelles,Plouay,Plain stage,Karsten Kroon,NED
9,2002-07-15,52,Lanester,Lorient,Individual time trial,Santiago Botero,COL
10,2002-07-17,147,Bazas,Pau,Plain stage,Patrice Halgand,FRA
11,2002-07-18,158,Pau,La Mongie,Stage with mountain(s),Lance Armstrong[n 1],USA
12,2002-07-19,199.5,Lannemezan,Plateau de Beille,Stage with mountain(s),Lance Armstrong[n 1],USA
13,2002-07-20,171,Lavelanet,Béziers,Plain stage,David Millar,GBR
14,2002-07-21,221,Lodève,Mont Ventoux,Stage with mountain(s),Richard Virenque,FRA
15,2002-07-23,226.5,Vaison-la-Romaine,Les Deux Alpes,Hilly stage,Santiago Botero,COL
16,2002-07-24,179.5,Les Deux Alpes,La Plagne,Stage with mountain(s),Michael Boogerd,NED
17,2002-07-25,142,Aime,Cluses,Stage with mountain(s),Dario Frigo,ITA
18,2002-07-26,176.5,Cluses,Bourg-en-Bresse,Hilly stage,Thor Hushovd,NOR
19,2002-07-27,50,Régnié-Durette,Mâcon,Individual time trial,Lance Armstrong[n 1],USA
20,2002-07-28,144,Melun,Paris,Plain stage,Robbie McEwen,AUS
P,2001-07-07,8.2,Dunkirk,Dunkirk,Individual time trial,Christophe Moreau,FRA
1,2001-07-08,194.5,Saint-Omer,Boulogne-sur-Mer,Plain stage,Erik Zabel,GER
2,2001-07-09,220.5,Calais,Antwerp,Plain stage,Marc Wauters,BEL
3,2001-07-10,198.5,Antwerp,Seraing,Plain stage,Erik Zabel,GER
4,2001-07-11,215,Huy,Verdun,Plain stage,Laurent Jalabert,FRA
5,2001-07-12,67,Verdun,Bar-le-Duc,Team time trial,Crédit Agricole,
6,2001-07-13,211.5,Commercy,Strasbourg,Plain stage,Jaan Kirsipuu,EST
7,2001-07-14,162.5,Strasbourg,Colmar,Hilly stage,Laurent Jalabert,FRA
8,2001-07-15,222.5,Colmar,Pontarlier,Plain stage,Erik Dekker,NED
9,2001-07-16,185,Pontarlier,Aix-les-Bains,Plain stage,Serguei Ivanov,RUS
10,2001-07-17,209,Aix-les-Bains,Alpe d'Huez,Stage with mountain(s),Lance Armstrong[n 1],USA
11,2001-07-18,32,Grenoble,Chamrousse,Individual time trial,Lance Armstrong[n 1],USA
12,2001-07-20,166.5,Perpignan,Plateau de Bonascre,Stage with mountain(s),Félix Cárdenas,COL
13,2001-07-21,194,Foix,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Lance Armstrong[n 1],USA
14,2001-07-22,141.5,Tarbes,Luz Ardiden,Stage with mountain(s),Roberto Laiseka,ESP
15,2001-07-24,232.5,Pau,Lavaur,Plain stage,Rik Verbrugghe,BEL
16,2001-07-25,229.5,Castelsarrasin,Sarran,Plain stage,Jens Voigt,GER
17,2001-07-26,194,Brive-la-Gaillarde,Montluçon,Plain stage,Serge Baguet,BEL
18,2001-07-27,61,Montluçon,Saint-Amand-Montrond,Individual time trial,Lance Armstrong[n 1],USA
19,2001-07-28,149.5,Orléans,Évry,Plain stage,Erik Zabel,GER
20,2001-07-29,160.5,Corbeil-Essonnes,Paris,Plain stage,Ján Svorada,CZE
1,2000-07-01,16.5,Futuroscope,Futuroscope,Individual time trial,David Millar,GBR
2,2000-07-02,194,Futuroscope,Loudun,Plain stage,Tom Steels,BEL
3,2000-07-03,161.5,Loudun,Nantes,Plain stage,Tom Steels,BEL
4,2000-07-04,70,Nantes,Saint-Nazaire,Team time trial,ONCE–Deutsche Bank,
5,2000-07-05,202,Vannes,Vitré,Plain stage,Marcel Wüst,GER
6,2000-07-06,198.5,Vitré,Tours,Plain stage,Leon van Bon,NED
7,2000-07-07,205.5,Tours,Limoges,Plain stage,Christophe Agnolutto,FRA
8,2000-07-08,203.5,Limoges,Villeneuve-sur-Lot,Plain stage,Erik Dekker,NED
9,2000-07-09,181,Agen,Dax,Plain stage,Paolo Bettini,ITA
10,2000-07-10,205,Dax,Hautacam,Stage with mountain(s),Javier Otxoa,ESP
11,2000-07-11,218.5,Bagnères-de-Bigorre,Revel,Hilly stage,Erik Dekker,NED
12,2000-07-13,149,Carpentras,Mont Ventoux,Stage with mountain(s),Marco Pantani,ITA
13,2000-07-14,185.5,Avignon,Draguignan,Plain stage,José Vicente Garcia,ESP
14,2000-07-15,249.5,Draguignan,Briançon,Stage with mountain(s),Santiago Botero,COL
15,2000-07-16,173.5,Briançon,Courchevel,Stage with mountain(s),Marco Pantani,ITA
16,2000-07-18,196.5,Courchevel,Morzine,Stage with mountain(s),Richard Virenque,FRA
17,2000-07-19,155,Évian-les-Bains,Lausanne,Hilly stage,Erik Dekker,NED
18,2000-07-20,246.5,Lausanne,Freiburg,Plain stage,Salvatore Commesso,ITA
19,2000-07-21,58.5,Freiburg,Mulhouse,Individual time trial,Lance Armstrong[n 1],USA
20,2000-07-22,254.5,Belfort,Troyes,Plain stage,Erik Zabel,GER
21,2000-07-23,138,Paris,Paris,Plain stage,Stefano Zanini,ITA
P,1999-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Lance Armstrong[n 1],USA
1,1999-07-04,208,Montaigu,Challans,Plain stage,Jaan Kirsipuu,EST
2,1999-07-05,176,Challans,Saint-Nazaire,Plain stage,Tom Steels,BEL
3,1999-07-06,194.5,Nantes,Laval,Plain stage,Tom Steels,BEL
4,1999-07-07,194.5,Laval,Blois,Plain stage,Mario Cipollini,ITA
5,1999-07-08,233.5,Bonneval,Amiens,Plain stage,Mario Cipollini,ITA
6,1999-07-09,171.5,Amiens,Maubeuge,Plain stage,Mario Cipollini,ITA
7,1999-07-10,227,Avesnes-sur-Helpe,Thionville,Plain stage,Mario Cipollini,ITA
8,1999-07-11,56.5,Metz,Metz,Individual time trial,Lance Armstrong[n 1],USA
9,1999-07-13,213.5,Le Grand-Bornand,Sestrières,Stage with mountain(s),Lance Armstrong[n 1],USA
10,1999-07-14,220.5,Sestrières,Alpe d'Huez,Stage with mountain(s),Giuseppe Guerini,ITA
11,1999-07-15,198.5,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Ludo Dierckxsens,BEL
12,1999-07-16,201.5,Saint-Galmier,Saint-Flour,Hilly stage,David Etxebarria,ESP
13,1999-07-17,236.5,Saint-Flour,Albi,Hilly stage,Salvatore Commesso,ITA
14,1999-07-18,199,Castres,Saint-Gaudens,Plain stage,Dmitri Konychev,RUS
15,1999-07-20,173,Saint-Gaudens,Piau-Engaly,Stage with mountain(s),Fernando Escartín,ESP
16,1999-07-21,192,Lannemezan,Pau,Stage with mountain(s),David Etxebarria,ESP
17,1999-07-22,200,Mourenx,Bordeaux,Plain stage,Tom Steels,BEL
18,1999-07-23,187.5,Jonzac,Futuroscope,Plain stage,Giampaolo Mondini,ITA
19,1999-07-24,57,Futuroscope,Futuroscope,Individual time trial,Lance Armstrong[n 1],USA
20,1999-07-25,143.5,Arpajon,Paris,Plain stage,Robbie McEwen,AUS
P,1998-07-11,5.6,Dublin,Dublin,Individual time trial,Chris Boardman,GBR
1,1998-07-12,180.5,Dublin,Dublin,Plain stage,Tom Steels,BEL
2,1998-07-13,205.5,Enniscorthy,Cork,Plain stage,Ján Svorada,CZE
3,1998-07-14,169,Roscoff,Lorient,Plain stage,Jens Heppner,GER
4,1998-07-15,252,Plouay,Cholet,Plain stage,Jeroen Blijlevens,NED
5,1998-07-16,228.5,Cholet,Châteauroux,Plain stage,Mario Cipollini,ITA
6,1998-07-17,204.5,La Châtre,Brive-la-Gaillarde,Plain stage,Mario Cipollini,ITA
7,1998-07-18,58,Meyrignac-l'Église,Corrèze,Individual time trial,Jan Ullrich,GER
8,1998-07-19,190.5,Brive-la-Gaillarde,Montauban,Plain stage,Jacky Durand,FRA
9,1998-07-20,210,Montauban,Pau,Plain stage,Leon van Bon,NED
10,1998-07-21,196.5,Pau,Luchon,Stage with mountain(s),Rodolfo Massi,ITA
11,1998-07-22,170,Luchon,Plateau de Beille,Stage with mountain(s),Marco Pantani,ITA
12,1998-07-24,222,Tarascon-sur-Ariège,Le Cap d'Agde,Plain stage,Tom Steels,BEL
13,1998-07-25,196,Frontignan la Peyrade,Carpentras,Plain stage,Daniele Nardello,ITA
14,1998-07-26,186.5,Valréas,Grenoble,Hilly stage,Stuart O'Grady,AUS
15,1998-07-27,189,Grenoble,Les Deux Alpes,Stage with mountain(s),Marco Pantani,ITA
16,1998-07-28,204,Vizille,Albertville,Stage with mountain(s),Jan Ullrich,GER
17,1998-07-29,149,Albertville,Aix-les-Bains,Stage with mountain(s),—,
18,1998-07-30,218.5,Aix-les-Bains,Neuchâtel,Hilly stage,Tom Steels,BEL
19,1998-07-31,242,La Chaux-de-Fonds,Autun,Plain stage,Magnus Bäckstedt,SWE
20,1998-08-01,52,Montceau-les-Mines,Le Creusot,Individual time trial,Jan Ullrich,GER
21,1998-08-02,147.5,Melun,Paris,Plain stage,Tom Steels,BEL
P,1997-07-05,7.3,Rouen,Rouen,Individual time trial,Chris Boardman,GBR
1,1997-07-06,192,Rouen,Forges-les-Eaux,Flat stage,Mario Cipollini,ITA
2,1997-07-07,262,Saint-Valery-en-Caux,Vire,Flat stage,Mario Cipollini,ITA
3,1997-07-08,224,Vire,Plumelec,Flat stage,Erik Zabel,GER
4,1997-07-09,223,Plumelec,Le Puy du Fou,Flat stage,Nicola Minali,ITA
5,1997-07-10,261.5,Chantonnay,La Châtre,Flat stage,Cédric Vasseur,FRA
6,1997-07-11,217.5,Le Blanc,Marennes,Flat stage,Jeroen Blijlevens,NED
7,1997-07-12,194,Marennes,Bordeaux,Flat stage,Erik Zabel,GER
8,1997-07-13,161.5,Sauternes,Pau,Flat stage,Erik Zabel,GER
9,1997-07-14,182,Pau,Loudenvielle,Mountain stage,Laurent Brochard,FRA
10,1997-07-15,252.5,Luchon,Andorra Arcalis,Mountain stage,Jan Ullrich,GER
11,1997-07-16,192,Andorra Arcalis,Perpignan,Hilly stage,Laurent Desbiens,FRA
12,1997-07-18,55,Saint-Étienne,Saint-Étienne,Individual time trial,Jan Ullrich,GER
13,1997-07-19,203.5,Saint-Étienne,Alpe d'Huez,Mountain stage,Marco Pantani,ITA
14,1997-07-20,148,Le Bourg-d'Oisans,Courchevel,Mountain stage,Richard Virenque,FRA
15,1997-07-21,208.5,Courchevel,Morzine,Mountain stage,Marco Pantani,ITA
16,1997-07-22,181,Morzine,Fribourg,Hilly stage,Christophe Mengin,FRA
17,1997-07-23,218.5,Fribourg,Colmar,Flat stage,Neil Stephens,AUS
18,1997-07-24,175.5,Colmar,Montbéliard,Hilly stage,Didier Rous,FRA
19,1997-07-25,172,Montbéliard,Dijon,Flat stage,Mario Traversoni,ITA
20,1997-07-26,63,Disneyland Paris,Disneyland Paris,Individual time trial,Abraham Olano,ESP
21,1997-07-27,149.5,Disneyland Paris,Paris,Flat stage,Nicola Minali,ITA
P,1996-06-29,9.4,'s-Hertogenbosch,'s-Hertogenbosch,Individual time trial,Alex Zülle,SUI
1,1996-06-30,209,'s-Hertogenbosch,'s-Hertogenbosch,Plain stage,Frédéric Moncassin,FRA
2,1996-07-01,247.5,'s-Hertogenbosch,Wasquehal,Plain stage,Mario Cipollini,ITA
3,1996-07-02,195,Wasquehal,Nogent-sur-Oise,Plain stage,Erik Zabel,GER
4,1996-07-03,232,Soissons,Lac de Madine,Plain stage,Cyril Saugrain,FRA
5,1996-07-04,242,Lac de Madine,Besançon,Plain stage,Jeroen Blijlevens,NED
6,1996-07-05,207,Arc-et-Senans,Aix-les-Bains,Hilly stage,Michael Boogerd,NED
7,1996-07-06,200,Chambéry,Les Arcs,Stage with mountain(s),Luc Leblanc,FRA
8,1996-07-07,30.5,Bourg-Saint-Maurice,Val d'Isère,Individual time trial,Evgueni Berzin,RUS
9,1996-07-08,46,Le Monêtier-les-Bains,Sestriere,Stage with mountain(s),Bjarne Riis,DEN
10,1996-07-09,208.5,Turin,Gap,Hilly stage,Erik Zabel,GER
11,1996-07-11,202,Gap,Valence,Hilly stage,José Jaime Gonzalez,COL
12,1996-07-12,143.5,Valence,Le Puy-en-Velay,Hilly stage,Pascal Richard,SUI
13,1996-07-13,177,Le Puy-en-Velay,Super Besse,Hilly stage,Rolf Sørensen,DEN
14,1996-07-14,186.5,Besse,Tulle,Hilly stage,Djamolidine Abduzhaparov,UZB
15,1996-07-15,176,Brive-la-Gaillarde,Villeneuve-sur-Lot,Plain stage,Massimo Podenzana,ITA
16,1996-07-16,199,Agen,Hautacam,Stage with mountain(s),Bjarne Riis,DEN
17,1996-07-17,262,Argelès-Gazost,Pamplona,Stage with mountain(s),Laurent Dufaux,SUI
18,1996-07-18,154.5,Pamplona,Hendaye,Hilly stage,Bart Voskamp,NED
19,1996-07-19,226.5,Hendaye,Bordeaux,Plain stage,Frédéric Moncassin,FRA
20,1996-07-20,63.5,Bordeaux,Saint-Émilion,Individual time trial,Jan Ullrich,GER
21,1996-07-21,147.5,Palaiseau,Paris,Plain stage,Fabio Baldato,ITA
P,1995-07-01,7.3,Saint-Brieuc,Saint-Brieuc,Individual time trial,Jacky Durand,FRA
1,1995-07-02,233.5,Dinan,Lannion,Plain stage,Fabio Baldato,ITA
2,1995-07-03,235.5,Perros-Guirec,Vitre,Plain stage,Mario Cipollini,ITA
3,1995-07-04,67,Mayenne,Alençon,Team time trial,Gewiss–Ballan,
4,1995-07-05,162,Alençon,Le Havre,Plain stage,Mario Cipollini,ITA
5,1995-07-06,261,Fécamp,Dunkirk,Plain stage,Jeroen Blijlevens,NED
6,1995-07-07,202,Dunkirk,Charleroi,Plain stage,Erik Zabel,GER
7,1995-07-08,203,Charleroi,Liège,Hilly stage,Johan Bruyneel,BEL
8,1995-07-09,54,Huy,Seraing,Individual time trial,Miguel Indurain,ESP
9,1995-07-11,160,Le Grand-Bornand,La Plagne,Stage with mountain(s),Alex Zülle,SUI
10,1995-07-12,162.5,La Plagne,L'Alpe d'Huez,Stage with mountain(s),Marco Pantani,ITA
11,1995-07-13,199,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Maximilian Sciandri,GBR
12,1995-07-14,222.5,Saint-Étienne,Mende,Hilly stage,Laurent Jalabert,FRA
13,1995-07-15,245,Mende,Revel,Plain stage,Serhiy Utchakov,UKR
14,1995-07-16,164,Saint-Orens-de-Gameville,Guzet-Neige,Stage with mountain(s),Marco Pantani,ITA
15,1995-07-18,206,Saint-Girons,Cauterets,Stage with mountain(s),Richard Virenque,FRA
16,1995-07-19,149,Tarbes,Pau,Stage with mountain(s),Cancelled,
17,1995-07-20,246,Pau,Bordeaux,Plain stage,Erik Zabel,GER
18,1995-07-21,166.5,Montpon-Ménestérol,Limoges,Plain stage,Lance Armstrong,USA
19,1995-07-22,46.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Miguel Indurain,ESP
20,1995-07-23,155,Sainte-Geneviève-des-Bois,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
P,1994-07-02,7.2,Lille,Lille,Individual time trial,Chris Boardman,GBR
1,1994-07-03,234,Lille,Armentières,Plain stage,Djamolidine Abdoujaparov,UZB
2,1994-07-04,203.5,Roubaix,Boulogne-sur-Mer,Plain stage,Jean-Paul van Poppel,NED
3,1994-07-05,66.5,Calais,Eurotunnel,Team time trial,GB–MG Maglificio,
4,1994-07-06,204.5,Dover, Brighton,Plain stage,Francisco Cabello,ESP
5,1994-07-07,187,Portsmouth,Portsmouth,Plain stage,Nicola Minali,ITA
6,1994-07-08,270.5,Cherbourg,Rennes,Plain stage,Gianluca Bortolami,ITA
7,1994-07-09,259.5,Rennes,Futuroscope,Plain stage,Ján Svorada,SVK
8,1994-07-10,218.5,Poitiers,Trélissac,Plain stage,Bo Hamburger,DEN
9,1994-07-11,64,Périgueux,Bergerac,Individual time trial,Miguel Indurain,ESP
10,1994-07-12,160.5,Bergerac,Cahors,Plain stage,Jacky Durand,FRA
11,1994-07-13,263.5,Cahors,Hautacam,Stage with mountain(s),Luc Leblanc,FRA
12,1994-07-15,204.5,Lourdes,Luz Ardiden,Stage with mountain(s),Richard Virenque,FRA
13,1994-07-16,223,Bagnères-de-Bigorre,Albi,Plain stage,Bjarne Riis,DEN
14,1994-07-17,202,Castres,Montpellier,Plain stage,Rolf Sørensen,DEN
15,1994-07-18,231,Montpellier,Carpentras,Stage with mountain(s),Eros Poli,ITA
16,1994-07-19,224.5,Valréas,Alpe d'Huez,Stage with mountain(s),Roberto Conti,ITA
17,1994-07-20,149,Le Bourg-d'Oisans,Val Thorens,Stage with mountain(s),Nelson Rodriguez,COL
18,1994-07-21,174.5,Moutiers,Cluses,Stage with mountain(s),Piotr Ugrumov,LAT
19,1994-07-22,47.5,Cluses,Avoriaz,Mountain time trial,Piotr Ugrumov,LAT
20,1994-07-23,208.5,Morzine,Lac Saint-Point,Hilly stage,Djamolidine Abdoujaparov,UZB
21,1994-07-24,175,Disneyland Paris,Paris,Plain stage,Eddy Seigneur,FRA
P,1993-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Miguel Indurain,ESP
1,1993-07-04,215,Luçon,Les Sables-d'Olonne,Plain stage,Mario Cipollini,ITA
2,1993-07-05,227.5,Les Sables-d'Olonne,Vannes,Plain stage,Wilfried Nelissen,BEL
3,1993-07-06,189.5,Vannes,Dinard,Plain stage,Djamolidine Abdoujaparov,UZB
4,1993-07-07,81,Dinard,Avranches,Team time trial,GB–MG Maglificio,
5,1993-07-08,225.5,Avranches,Évreux,Plain stage,Jesper Skibby,DEN
6,1993-07-09,158,Évreux,Amiens,Plain stage,Johan Bruyneel,BEL
7,1993-07-10,199,Péronne,Châlons-sur-Marne,Plain stage,Bjarne Riis,DEN
8,1993-07-11,184.5,Châlons-sur-Marne,Verdun,Plain stage,Lance Armstrong,USA
9,1993-07-12,59,Lac de Madine,Lac de Madine,Individual time trial,Miguel Indurain,ESP
10,1993-07-14,203,Villard-de-Lans,Serre Chevalier,Stage with mountain(s),Toni Rominger,SUI
11,1993-07-15,179,Serre Chevalier,Isola 2000,Stage with mountain(s),Toni Rominger,SUI
12,1993-07-16,286.5,Isola,Marseille,Plain stage,Fabio Roscioli,ITA
13,1993-07-17,181.5,Marseille,Montpellier,Plain stage,Olaf Ludwig,GER
14,1993-07-18,223,Montpellier,Perpignan,Plain stage,Pascal Lino,FRA
15,1993-07-19,231.5,Perpignan,Pal,Stage with mountain(s),Oliverio Rincón,COL
16,1993-07-21,230,Andorra,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Zenon Jaskuła,POL
17,1993-07-22,190,Tarbes,Pau,Stage with mountain(s),Claudio Chiappucci,ITA
18,1993-07-23,199.5,Orthez,Bordeaux,Plain stage,Djamolidine Abdoujaparov,UZB
19,1993-07-24,48,Brétigny-sur-Orge,Montlhéry,Individual time trial,Toni Rominger,SUI
20,1993-07-25,196.5,Viry-Châtillon,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
P,1992-07-04,8,San Sebastián,San Sebastián,Individual time trial,Miguel Indurain,ESP
1,1992-07-05,194.5,San Sebastián,San Sebastián,Hilly stage,Dominique Arnould,FRA
2,1992-07-06,255,San Sebastián,Pau,Hilly stage,Javier Murguialday,ESP
3,1992-07-07,210,Pau,Bordeaux,Plain stage,Rob Harmeling,NED
4,1992-07-08,63.5,Libourne,Libourne,Team time trial,Panasonic–Sportlife,
5,1992-07-09,196,Nogent-sur-Oise,Wasquehal,Plain stage,Guido Bontempi,ITA
6,1992-07-10,167,Roubaix,Brussels,Plain stage,Laurent Jalabert,FRA
7,1992-07-11,196.5,Brussels,Valkenburg,Plain stage,Gilles Delion,FRA
8,1992-07-12,206.5,Valkenburg,Koblenz,Plain stage,Jan Nevens,BEL
9,1992-07-13,65,Luxembourg City,Luxembourg City,Individual time trial,Miguel Indurain,ESP
10,1992-07-14,217,Luxembourg City,Strasbourg,Plain stage,Jean-Paul van Poppel,NED
11,1992-07-15,249.5,Strasbourg,Mulhouse,Hilly stage,Laurent Fignon,FRA
12,1992-07-16,267.5,Dole,St Gervais,Hilly stage,Rolf Järmann,SUI
13,1992-07-18,254.5,St Gervais,Sestriere,Stage with mountain(s),Claudio Chiappucci,ITA
14,1992-07-19,186.5,Sestriere,Alpe d'Huez,Stage with mountain(s),Andrew Hampsten,USA
15,1992-07-20,198,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Franco Chioccioli,ITA
16,1992-07-21,212,Saint-Étienne,La Bourboule,Hilly stage,Stephen Roche,IRE
17,1992-07-22,189,La Bourboule,Montluçon,Plain stage,Jean-Claude Colotti,FRA
18,1992-07-23,212,Montluçon,Tours,Plain stage,Thierry Marie,FRA
19,1992-07-24,64,Tours,Blois,Individual time trial,Miguel Indurain,ESP
20,1992-07-25,222,Blois,Nanterre,Plain stage,Peter De Clercq,BEL
21,1992-07-26,141,La Défense,Paris,Plain stage,Olaf Ludwig,GER
P,1991-07-06,5.4,Lyon,Lyon,Individual time trial,Thierry Marie,FRA
1,1991-07-07,114.5,Lyon,Lyon,Plain stage,Djamolidine Abdoujaparov,URS
2,1991-07-07,36.5,Bron,Chassieu,Team time trial,Ariostea,
3,1991-07-08,210.5,Villeurbanne,Dijon,Plain stage,Etienne De Wilde,BEL
4,1991-07-09,286,Dijon,Reims,Plain stage,Djamolidine Abdoujaparov,URS
5,1991-07-10,149.5,Reims,Valenciennes,Plain stage,Jelle Nijdam,NED
6,1991-07-11,259,Arras,Le Havre,Plain stage,Thierry Marie,FRA
7,1991-07-12,167,Le Havre,Argentan,Plain stage,Jean-Paul van Poppel,NED
8,1991-07-13,73,Argentan,Alençon,Individual time trial,Miguel Indurain,ESP
9,1991-07-14,161,Alençon,Rennes,Plain stage,Mauro Ribeiro,BRA
10,1991-07-15,207.5,Rennes,Quimper,Plain stage,Phil Anderson,AUS
11,1991-07-16,246,Quimper,Saint-Herblain,Plain stage,Charly Mottet,FRA
12,1991-07-18,192,Pau,Jaca,Stage with mountain(s),Charly Mottet,FRA
13,1991-07-19,232,Jaca,Val-Louron,Stage with mountain(s),Claudio Chiappucci,ITA
14,1991-07-20,172.5,St Gaudens,Castres,Plain stage,Bruno Cenghialta,ITA
15,1991-07-21,235,Albi,Ales,Hilly stage,Moreno Argentin,ITA
16,1991-07-22,215,Alès,Gap,Plain stage,Marco Lietti,ITA
17,1991-07-23,125,Gap,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
18,1991-07-24,255,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Thierry Claveyrolat,FRA
19,1991-07-25,177,Morzine,Aix-les-Bains,Hilly stage,Dmitri Konychev,URS
20,1991-07-26,160,Aix-les-Bains,Mâcon,Hilly stage,Viatcheslav Ekimov,URS
21,1991-07-27,57,Lugny,Mâcon,Individual time trial,Miguel Indurain,ESP
22,1991-07-28,178,Melun,Paris,Plain stage,Dmitri Konychev,URS
P,1990-06-30,6.3,Futuroscope,Futuroscope,Individual time trial,Thierry Marie,FRA
1,1990-07-01,138.5,Futuroscope,Futuroscope,Plain stage,Frans Maassen,NED
2,1990-07-01,44.5,Futuroscope,Futuroscope,Team time trial,Panasonic–Sportlife,
3,1990-07-02,233,Poitiers,Nantes,Plain stage,Moreno Argentin,ITA
4,1990-07-03,203,Nantes,Mont Saint-Michel,Plain stage,Johan Museeuw,BEL
5,1990-07-04,301,Avranches,Rouen,Plain stage,Gerrit Solleveld,NED
6,1990-07-06,202.5,Sarrebourg,Vittel,Plain stage,Jelle Nijdam,NED
7,1990-07-07,61.5,Vittel,Épinal,Individual time trial,Raúl Alcalá,MEX
8,1990-07-08,181.5,Épinal,Besançon,Plain stage,Olaf Ludwig,GDR
9,1990-07-09,196,Besançon,Geneva,Hilly stage,Massimo Ghirotto,ITA
10,1990-07-10,118.5,Geneva,Saint-Gervais,Stage with mountain(s),Thierry Claveyrolat,FRA
11,1990-07-11,182.5,Saint-Gervais,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
12,1990-07-12,33.5,Fontaine,Villard-de-Lans,Mountain time trial,Erik Breukink,NED
13,1990-07-14,149,Villard-de-Lans,Saint-Étienne,Hilly stage,Eduardo Chozas,ESP
14,1990-07-15,205,Le Puy-en-Velay,Millau,Hilly stage,Marino Lejarreta,ESP
15,1990-07-16,170,Millau,Revel,Plain stage,Charly Mottet,FRA
16,1990-07-17,215,Blagnac,Luz Ardiden,Stage with mountain(s),Miguel Indurain,ESP
17,1990-07-18,150,Lourdes,Pau,Stage with mountain(s),Dmitri Konychev,URS
18,1990-07-19,202,Pau,Bordeaux,Plain stage,Gianni Bugno,ITA
19,1990-07-20,182.5,Castillon-la-Bataille,Limoges,Plain stage,Guido Bontempi,ITA
20,1990-07-21,45.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Erik Breukink,NED
21,1990-07-22,182.5,Brétigny-sur-Orge,Paris,Plain stage,Johan Museeuw,BEL
P,1989-07-01,7.8,Luxembourg City,Luxembourg City,Individual time trial,Erik Breukink,NED
1,1989-07-02,135.5,Luxembourg City,Luxembourg City,Plain stage,Acácio da Silva,POR
2,1989-07-02,46,Luxembourg City,Luxembourg City,Team time trial,Super U–Raleigh–Fiat,
3,1989-07-03,241,Luxembourg City,Spa,Plain stage,Raúl Alcalá,MEX
4,1989-07-04,255,Liège,Wasquehal,Flat cobblestone stage,Jelle Nijdam,NED
5,1989-07-06,73,Dinard,Rennes,Individual time trial,Greg LeMond,USA
6,1989-07-07,259,Rennes,Futuroscope,Plain stage,Joël Pelier,FRA
7,1989-07-08,258.5,Poitiers,Bordeaux,Plain stage,Etienne De Wilde,BEL
