name,level,school,bard,cleric,druid,paladin,ranger,sorcerer,warlock,wizard,casting_time,action,bonus_action,reaction,ritual,casting_time_long,trigger,range,range_type,verbal_component,somatic_component,material_component,material_component_details,duration,concentration,description
Earthquake,8,transmutation,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,500 feet,feet,TRUE,TRUE,TRUE,a fractured rock,"Concentration, up to 1 minute",TRUE,"Choose a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point. The ground there is Difficult Terrain.
When you cast this spell and at the end of each of your turns for the duration, each creature on the ground in the area makes a Dexterity saving throw. On a failed save, a creature has the Prone condition, and its Concentration is broken.
You can also cause the effects below.
Fissures. A total of 1d6 fissures open in the spell’s area at the end of the turn you cast it. You choose the fissures’ locations, which can’t be under structures. Each fissure is 1d10 × 10 feet deep and 10 feet wide, and it extends from one edge of the spell’s area to another edge. A creature in the same space as a fissure must succeed on a Dexterity saving throw or fall in. A creature that successfully saves moves with the fissure’s edge as it opens.
Structures. The tremor deals 50 Bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses.
A creature within a distance from a collapsing structure equal to half the structure’s height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful save, the creature takes half as much damage only."
Eldritch Blast,0,evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,120 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"You hurl a beam of crackling energy. Make a ranged spell attack against one creature or object in range. On a hit, the target takes 1d10 Force damage.
Cantrip Upgrade. The spell creates two beams at level 5, three beams at level 11, and four beams at level 17. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam."
Enhance Ability,2,transmutation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Touch,touch,TRUE,TRUE,TRUE,fur or a feather,"Concentration, up to 1 hour",TRUE,"You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target."
Enlarge/Reduce,2,transmutation,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,30 feet,feet,TRUE,TRUE,TRUE,a pinch of powdered iron,"Concentration, up to 1 minute",TRUE,"For the duration, the spell enlarges or reduces a creature or an object you can see within range (see the chosen effect below). A targeted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful save, the spell has no effect.
Everything that a targeted creature is wearing and carrying changes size with it. Any item it drops returns to normal size at once. A thrown weapon or piece of ammunition returns to normal size immediately after it hits or misses a target.
Enlarge. The target’s size increases by one category—from Medium to Large, for example. The target also has Advantage on Strength checks and Strength saving throws. The target’s attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit.
Reduce. The target’s size decreases by one category—from Medium to Small, for example. The target also has Disadvantage on Strength checks and Strength saving throws. The target’s attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can’t reduce the damage below 1)."
Ensnaring Strike,1,conjuration,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bonus Action, which you take immediately after hitting a creature with a weapon",FALSE,TRUE,FALSE,FALSE,NA,hitting a creature with a weapon,Self,self,TRUE,FALSE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"As you hit the target, grasping vines appear on it, and it makes a Strength saving throw. A Large or larger creature has Advantage on this save. On a failed save, the target has the Restrained condition until the spell ends. On a successful save, the vines shrivel away, and the spell ends.
While Restrained, the target takes 1d6 Piercing damage at the start of each of its turns. The target or a creature within reach of it can take an action to make a Strength (Athletics) check against your spell save DC. On a success, the spell ends.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
Entangle,1,conjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,90 feet,feet,TRUE,TRUE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"Grasping plants sprout from the ground in a 20-foot square within range. For the duration, these plants turn the ground in the area into Difficult Terrain. They disappear when the spell ends.
Each creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength (Athletics) check against your spell save DC. On a success, it frees itself from the grasping plants and is no longer Restrained by them."
Enthrall,2,enchantment,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,TRUE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"You weave a distracting string of words, causing creatures of your choice that you can see within range to make a Wisdom saving throw. Any creature you or your companions are fighting automatically succeeds on this save. On a failed save, a target has a −10 penalty to Wisdom (Perception) checks and Passive Perception until the spell ends."
Etherealness,7,conjuration,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,FALSE,NA,Up to 8 hours,FALSE,"You step into the border regions of the Ethereal Plane, where it overlaps with your current plane. You remain in the Border Ethereal for the duration. During this time, you can move in any direction. If you move up or down, every foot of movement costs an extra foot. You can perceive the plane you left, which looks gray, and you can’t see anything there more than 60 feet away.
While on the Ethereal Plane, you can affect and be affected only by creatures, objects, and effects on that plane. Creatures that aren’t on the Ethereal Plane can’t perceive or interact with you unless a feature gives them the ability to do so.
When the spell ends, you return to the plane you left in the spot that corresponds to your space in the Border Ethereal. If you appear in an occupied space, you are shunted to the nearest unoccupied space and take Force damage equal to twice the number of feet you are moved.
This spell ends instantly if you cast it while you are on the Ethereal Plane or a plane that doesn’t border it, such as one of the Outer Planes.
Using a Higher-Level Spell Slot. You can target up to three willing creatures (including yourself) for each spell slot level above 7. The creatures must be within 10 feet of you when you cast the spell."
Expeditious Retreat,1,transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Bonus Action,TRUE,TRUE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,FALSE,NA,"Concentration, up to 10 minutes",TRUE,"You take the Dash action, and until the spell ends, you can take that action again as a Bonus Action."
Eyebite,6,necromancy,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"For the duration, your eyes become an inky void. One creature of your choice within 60 feet of you that you can see must succeed on a Wisdom saving throw or be affected by one of the following effects of your choice for the duration.
On each of your turns until the spell ends, you can take a Magic action to target another creature but can’t target a creature again if it has succeeded on a save against this casting of the spell.
Asleep. The target has the Unconscious condition. It wakes up if it takes any damage or if another creature takes an action to shake it awake.
Panicked. The target has the Frightened condition. On each of its turns, the Frightened target must take the Dash action and move away from you by the safest and shortest route available. If the target moves to a space at least 60 feet away from you where it can’t see you, this effect ends.
Sickened. The target has the Poisoned condition.
Spells (F)
Fabricate
Level 4 Transmutation (Wizard)


Casting Time: 10 minutes



Range: 120 feet



Components: V, S



Duration: Instantaneous


You convert raw materials into products of the same material. For example, you can fabricate a wooden bridge from a clump of trees, a rope from a patch of hemp, or clothes from flax or wool.
Choose raw materials that you can see within range. You can fabricate a Large or smaller object (contained within a 10-foot Cube or eight connected 5-foot Cubes) given a sufficient quantity of material. If you’re working with metal, stone, or another mineral substance, however, the fabricated object can be no larger than Medium (contained within a 5-foot Cube). The quality of any fabricated objects is based on the quality of the raw materials.
Creatures and magic items can’t be created by this spell. You also can’t use it to create items that require a high degree of skill—such as weapons and armor—unless you have proficiency with the type of Artisan’s Tools used to craft such objects."
Fabricate,4,transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10 minutes,FALSE,FALSE,FALSE,FALSE,10 minutes,NA,120 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"You convert raw materials into products of the same material. For example, you can fabricate a wooden bridge from a clump of trees, a rope from a patch of hemp, or clothes from flax or wool.
Choose raw materials that you can see within range. You can fabricate a Large or smaller object (contained within a 10-foot Cube or eight connected 5-foot Cubes) given a sufficient quantity of material. If you’re working with metal, stone, or another mineral substance, however, the fabricated object can be no larger than Medium (contained within a 5-foot Cube). The quality of any fabricated objects is based on the quality of the raw materials.
Creatures and magic items can’t be created by this spell. You also can’t use it to create items that require a high degree of skill—such as weapons and armor—unless you have proficiency with the type of Artisan’s Tools used to craft such objects."
Faerie Fire,1,evocation,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,FALSE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"Objects in a 20-foot Cube within range are outlined in blue, green, or violet light (your choice). Each creature in the Cube is also outlined if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed Dim Light in a 10-foot radius and can’t benefit from the Invisible condition.
Attack rolls against an affected creature or object have Advantage if the attacker can see it."
False Life,1,necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,TRUE,a drop of alcohol,Instantaneous,FALSE,"You gain 2d4 + 4 Temporary Hit Points.
Using a Higher-Level Spell Slot. You gain 5 additional Temporary Hit Points for each spell slot level above 1."
Fear,3,illusion,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,TRUE,a white feather,"Concentration, up to 1 minute",TRUE,"Each creature in a 30-foot Cone must succeed on a Wisdom saving throw or drop whatever it is holding and have the Frightened condition for the duration.
A Frightened creature takes the Dash action and moves away from you by the safest route on each of its turns unless there is nowhere to move. If the creature ends its turn in a space where it doesn’t have line of sight to you, the creature makes a Wisdom saving throw. On a successful save, the spell ends on that creature."
Feather Fall,1,transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Reaction, which you take when you or a creature you can see within 60 feet of you falls",FALSE,FALSE,TRUE,FALSE,NA,you or a creature you can see within 60 feet of you falls,60 feet,feet,TRUE,FALSE,TRUE,a small feather or piece of down,1 minute,FALSE,"Choose up to five falling creatures within range. A falling creature’s rate of descent slows to 60 feet per round until the spell ends. If a creature lands before the spell ends, the creature takes no damage from the fall, and the spell ends for that creature."
Find Familiar,1,conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1 hour or Ritual,FALSE,FALSE,FALSE,TRUE,1 hour,NA,10 feet,feet,TRUE,TRUE,TRUE,"burning incense worth 10+ GP, which the spell consumes",Instantaneous,FALSE,"You gain the service of a familiar, a spirit that takes an animal form you choose: Bat, Cat, Frog, Hawk, Lizard, Octopus, Owl, Rat, Raven, Spider, Weasel, or another Beast that has a Challenge Rating of 0. Appearing in an unoccupied space within range, the familiar has the statistics of the chosen form (see appendix B), though it is a Celestial, Fey, or Fiend (your choice) instead of a Beast. Your familiar acts independently of you, but it obeys your commands.
Telepathic Connection. While your familiar is within 100 feet of you, you can communicate with it telepathically. Additionally, as a Bonus Action, you can see through the familiar’s eyes and hear what it hears until the start of your next turn, gaining the benefits of any special senses it has.
Finally, when you cast a spell with a range of touch, your familiar can deliver the touch. Your familiar must be within 100 feet of you, and it must take a Reaction to deliver the touch when you cast the spell.
Combat. The familiar is an ally to you and your allies. It rolls its own Initiative and acts on its own turn. A familiar can’t attack, but it can take other actions as normal.
Disappearance of the Familiar. When the familiar drops to 0 Hit Points, it disappears. It reappears after you cast this spell again. As a Magic action, you can temporarily dismiss the familiar to a pocket dimension. Alternatively, you can dismiss it forever. As a Magic action while it is temporarily dismissed, you can cause it to reappear in an unoccupied space within 30 feet of you. Whenever the familiar drops to 0 Hit Points or disappears into the pocket dimension, it leaves behind in its space anything it was wearing or carrying.
One Familiar Only. You can’t have more than one familiar at a time. If you cast this spell while you have a familiar, you instead cause it to adopt a new eligible form."
Find Steed,2,conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,30 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"You summon an otherworldly being that appears as a loyal steed in an unoccupied space of your choice within range. This creature uses the Otherworldly Steed stat block. If you already have a steed from this spell, the steed is replaced by the new one.
The steed resembles a Large, rideable animal of your choice, such as a horse, a camel, a dire wolf, or an elk. Whenever you cast the spell, choose the steed’s creature type—Celestial, Fey, or Fiend—which determines certain traits in the stat block.
Combat. The steed is an ally to you and your allies. In combat, it shares your Initiative count, and it functions as a controlled mount while you ride it (as defined in the rules on mounted combat). If you have the Incapacitated condition, the steed takes its turn immediately after yours and acts independently, focusing on protecting you.
Disappearance of the Steed. The steed disappears if it drops to 0 Hit Points or if you die. When it disappears, it leaves behind anything it was wearing or carrying. If you cast this spell again, you decide whether you summon the steed that disappeared or a different one.
Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

Otherworldly Steed


Large Celestial, Fey, or Fiend (Your Choice), Neutral



AC 10 + 1 per spell level



HP 5 + 10 per spell level (the steed has a number of Hit Dice [d10s] equal to the spell’s level)



Speed 60 ft., Fly 60 ft. (requires level 4+ spell)



  Mod Save STR 18 +4 +4 DEX 12 +1 +1 CON 14 +2 +2
  Mod Save INT 6 −2 −2 WIS 12 +1 +1 CHA 8 −1 −1


Senses Passive Perception 11



Languages Telepathy 1 mile (works only with you)



CR None (XP 0; PB equals your Proficiency Bonus)



Traits



Life Bond. When you regain Hit Points from a level 1+ spell, the steed regains the same number of Hit Points if you’re within 5 feet of it.



Actions



Otherworldly Slam. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 plus the spell’s level of Radiant (Celestial), Psychic (Fey), or Necrotic (Fiend) damage.



Bonus Actions



Fell Glare (Fiend Only; Recharges after a Long Rest). Wisdom Saving Throw: DC equals your spell save DC, one creature within 60 feet the steed can see. Failure: The target has the Frightened condition until the end of your next turn.



Fey Step (Fey Only; Recharges after a Long Rest). The steed teleports, along with its rider, to an unoccupied space of your choice up to 60 feet away from itself.



Healing Touch (Celestial Only; Recharges after a Long Rest). One creature within 5 feet of the steed regains a number of Hit Points equal to 2d8 plus the spell’s level."
Find the Path,6,divination,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1 minute,FALSE,FALSE,FALSE,FALSE,1 minute,NA,Self,self,TRUE,TRUE,TRUE,a set of divination tools—such as cards or runes—worth 100+ GP,"Concentration, up to 1 day",TRUE,"You magically sense the most direct physical route to a location you name. You must be familiar with the location, and the spell fails if you name a destination on another plane of existence, a moving destination (such as a mobile fortress), or an unspecific destination (such as “a green dragon’s lair”).
For the duration, as long as you are on the same plane of existence as the destination, you know how far it is and in what direction it lies. Whenever you face a choice of paths along the way there, you know which path is the most direct."
Find Traps,2,divination,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,120 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn’t reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.
This spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense."
Finger of Death,7,necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"You unleash negative energy toward a creature you can see within range. The target makes a Constitution saving throw, taking 7d8 + 30 Necrotic damage on a failed save or half as much damage on a successful one.
A Humanoid killed by this spell rises at the start of your next turn as a Zombie (see appendix B) that follows your verbal orders."
Fireball,3,evocation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,150 feet,feet,TRUE,TRUE,TRUE,a ball of bat guano and sulfur,Instantaneous,FALSE,"A bright streak flashes from you to a point you choose within range and then blossoms with a low roar into a fiery explosion. Each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw, taking 8d6 Fire damage on a failed save or half as much damage on a successful one.
Flammable objects in the area that aren’t being worn or carried start burning.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3."
Fire Bolt,0,evocation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,120 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"You hurl a mote of fire at a creature or an object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Fire damage. A flammable object hit by this spell starts burning if it isn’t being worn or carried.
Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10)."
Fire Shield,4,evocation,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,TRUE,a bit of phosphorus or a firefly,10 minutes,FALSE,"Wispy flames wreathe your body for the duration, shedding Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.
The flames provide you with a warm shield or a chill shield, as you choose. The warm shield grants you Resistance to Cold damage, and the chill shield grants you Resistance to Fire damage.
In addition, whenever a creature within 5 feet of you hits you with a melee attack roll, the shield erupts with flame. The attacker takes 2d8 Fire damage from a warm shield or 2d8 Cold damage from a chill shield."
Fire Storm,7,evocation,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,150 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"A storm of fire appears within range. The area of the storm consists of up to ten 10-foot Cubes, which you arrange as you like. Each Cube must be contiguous with at least one other Cube. Each creature in the area makes a Dexterity saving throw, taking 7d10 Fire damage on a failed save or half as much damage on a successful one.
Flammable objects in the area that aren’t being worn or carried start burning."
Flame Blade,2,evocation,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Bonus Action,TRUE,TRUE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,TRUE,a sumac leaf,"Concentration, up to 10 minutes",TRUE,"You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. If you let go of the blade, it disappears, but you can evoke it again as a Bonus Action.
As a Magic action, you can make a melee spell attack with the fiery blade. On a hit, the target takes Fire damage equal to 3d6 plus your spellcasting ability modifier.
The flaming blade sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2."
Flame Strike,5,evocation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,TRUE,TRUE,a pinch of sulfur,Instantaneous,FALSE,"A vertical column of brilliant fire roars down from above. Each creature in a 10-foot-radius, 40-foot-high Cylinder centered on a point within range makes a Dexterity saving throw, taking 5d6 Fire damage and 5d6 Radiant damage on a failed save or half as much damage on a successful one.
Using a Higher-Level Spell Slot. The Fire damage and the Radiant damage increase by 1d6 for each spell slot level above 5."
Flaming Sphere,2,conjuration,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,TRUE,TRUE,a ball of wax,"Concentration, up to 1 minute",TRUE,"You create a 5-foot-diameter sphere of fire in an unoccupied space on the ground within range. It lasts for the duration. Any creature that ends its turn within 5 feet of the sphere makes a Dexterity saving throw, taking 2d6 Fire damage on a failed save or half as much damage on a successful one.
As a Bonus Action, you can move the sphere up to 30 feet, rolling it along the ground. If you move the sphere into a creature’s space, that creature makes the save against the sphere, and the sphere stops moving for the turn.
When you move the sphere, you can direct it over barriers up to 5 feet tall and jump it across pits up to 10 feet wide. Flammable objects that aren’t being worn or carried start burning if touched by the sphere, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2."
Flesh to Stone,6,transmutation,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,TRUE,TRUE,a cockatrice feather,"Concentration, up to 1 minute",TRUE,"You attempt to turn one creature that you can see within range into stone. The target makes a Constitution saving throw. On a failed save, it has the Restrained condition for the duration. On a successful save, its Speed is 0 until the start of your next turn. Constructs automatically succeed on the save.
A Restrained target makes another Constitution saving throw at the end of each of its turns. If it successfully saves against this spell three times, the spell ends. If it fails its saves three times, it is turned to stone and has the Petrified condition for the duration. The successes and failures needn’t be consecutive; keep track of both until the target collects three of a kind.
If you maintain your Concentration on this spell for the entire possible duration, the target is Petrified until the condition is ended by Greater Restoration or similar magic."
Fly,3,transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Touch,touch,TRUE,TRUE,TRUE,a feather,"Concentration, up to 10 minutes",TRUE,"You touch a willing creature. For the duration, the target gains a Fly Speed of 60 feet and can hover. When the spell ends, the target falls if it is still aloft unless it can stop the fall.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3."
Fog Cloud,1,conjuration,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,120 feet,feet,TRUE,TRUE,FALSE,NA,"Concentration, up to 1 hour",TRUE,"You create a 20-foot-radius Sphere of fog centered on a point within range. The Sphere is Heavily Obscured. It lasts for the duration or until a strong wind (such as one created by Gust of Wind) disperses it.
Using a Higher-Level Spell Slot. The fog’s radius increases by 20 feet for each spell slot level above 1."
Forbiddance,6,abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10 minutes or Ritual,FALSE,FALSE,FALSE,TRUE,10 minutes,NA,Touch,touch,TRUE,TRUE,TRUE,"ruby dust worth 1,000+ GP",1 day,FALSE,"You create a ward against magical travel that protects up to 40,000 square feet of floor space to a height of 30 feet above the floor. For the duration, creatures can’t teleport into the area or use portals, such as those created by the Gate spell, to enter the area. The spell proofs the area against planar travel, and therefore prevents creatures from accessing the area by way of the Astral Plane, the Ethereal Plane, the Feywild, the Shadowfell, or the Plane Shift spell.
In addition, the spell damages types of creatures that you choose when you cast it. Choose one or more of the following: Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. When a creature of a chosen type enters the spell’s area for the first time on a turn or ends its turn there, the creature takes 5d10 Radiant or Necrotic damage (your choice when you cast this spell).
You can designate a password when you cast the spell. A creature that speaks the password as it enters the area takes no damage from the spell.
The spell’s area can’t overlap with the area of another Forbiddance spell. If you cast Forbiddance every day for 30 days in the same location, the spell lasts until it is dispelled, and the Material components are consumed on the last casting."
Forcecage,7,evocation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,100 feet,feet,TRUE,TRUE,TRUE,"ruby dust worth 1,500+ GP, which the spell consumes","Concentration, up to 1 hour",TRUE,"An immobile, Invisible, Cube-shaped prison composed of magical force springs into existence around an area you choose within range. The prison can be a cage or a solid box, as you choose.
A prison in the shape of a cage can be up to 20 feet on a side and is made from 1/2-inch diameter bars spaced 1/2 inch apart. A prison in the shape of a box can be up to 10 feet on a side, creating a solid barrier that prevents any matter from passing through it and blocking any spells cast into or out from the area.
When you cast the spell, any creature that is completely inside the cage’s area is trapped. Creatures only partially within the area, or those too large to fit inside it, are pushed away from the center of the area until they are completely outside it.
A creature inside the cage can’t leave it by nonmagical means. If the creature tries to use teleportation or interplanar travel to leave, it must first make a Charisma saving throw. On a successful save, the creature can use that magic to exit the cage. On a failed save, the creature doesn’t exit the cage and wastes the spell or effect. The cage also extends into the Ethereal Plane, blocking ethereal travel.
This spell can’t be dispelled by Dispel Magic."
Foresight,9,divination,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1 minute,FALSE,FALSE,FALSE,FALSE,1 minute,NA,Touch,touch,TRUE,TRUE,TRUE,a hummingbird feather,8 hours,FALSE,"You touch a willing creature and bestow a limited ability to see into the immediate future. For the duration, the target has Advantage on D20 Tests, and other creatures have Disadvantage on attack rolls against it. The spell ends early if you cast it again."
Freedom of Movement,4,abjuration,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Touch,touch,TRUE,TRUE,TRUE,a leather strap,1 hour,FALSE,"You touch a willing creature. For the duration, the target’s movement is unaffected by Difficult Terrain, and spells and other magical effects can neither reduce the target’s Speed nor cause the target to have the Paralyzed or Restrained conditions. The target also has a Swim Speed equal to its Speed.
In addition, the target can spend 5 feet of movement to automatically escape from nonmagical restraints, such as manacles or a creature imposing the Grappled condition on it.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.
Spells (G)
Gaseous Form
Level 3 Transmutation (Sorcerer, Warlock, Wizard)


Casting Time: Action



Range: Touch



Components: V, S, M (a bit of gauze)



Duration: Concentration, up to 1 hour


A willing creature you touch shape-shifts, along with everything it’s wearing and carrying, into a misty cloud for the duration. The spell ends on the target if it drops to 0 Hit Points or if it takes a Magic action to end the spell on itself.
While in this form, the target’s only method of movement is a Fly Speed of 10 feet, and it can hover. The target can enter and occupy the space of another creature. The target has Resistance to Bludgeoning, Piercing, and Slashing damage; it has Immunity to the Prone condition; and it has Advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through narrow openings, but it treats liquids as though they were solid surfaces.
The target can’t talk or manipulate objects, and any objects it was carrying or holding can’t be dropped, used, or otherwise interacted with. Finally, the target can’t attack or cast spells.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3."
Gaseous Form,3,transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Touch,touch,TRUE,TRUE,TRUE,a bit of gauze,"Concentration, up to 1 hour",TRUE,"A willing creature you touch shape-shifts, along with everything it’s wearing and carrying, into a misty cloud for the duration. The spell ends on the target if it drops to 0 Hit Points or if it takes a Magic action to end the spell on itself.
While in this form, the target’s only method of movement is a Fly Speed of 10 feet, and it can hover. The target can enter and occupy the space of another creature. The target has Resistance to Bludgeoning, Piercing, and Slashing damage; it has Immunity to the Prone condition; and it has Advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through narrow openings, but it treats liquids as though they were solid surfaces.
The target can’t talk or manipulate objects, and any objects it was carrying or holding can’t be dropped, used, or otherwise interacted with. Finally, the target can’t attack or cast spells.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3."
