package,n_total,n_unique
asd,28,15
asdreader,5,2
ASGS.foyer,2,2
ash,10,6
ashr,449,233
asht,180,67
ASIP,23,14
askpass,15,10
aslib,89,46
ASMap,25,21
asnipe,99,32
aSPC,16,7
aspect,13,11
aspi,9,6
aspline,21,14
aSPU,81,49
asremlPlus,374,109
ASSA,75,41
assertable,3,3
assertive.base,55,41
assertive.code,10,10
assertive.data,12,12
assertive.data.uk,4,4
assertive.data.us,3,3
assertive.datetimes,6,6
assertive.files,47,31
assertive.matrices,6,3
assertive.models,3,3
assertive.numbers,12,12
assertive.properties,54,47
assertive.reflection,116,108
assertive.sets,6,6
assertive.strings,21,21
assertive.types,97,85
assertr,68,44
assertthat,54,31
AssetAllocation,13,11
AssetCorr,195,25
AssetPricing,128,24
assignPOP,29,16
assignR,54,34
assist,151,62
ASSISTant,68,19
AssocAFC,3,3
assocInd,28,6
AssocTests,105,34
assortnet,2,2
AST,17,10
ast2ast,5,2
aster,101,43
aster2,47,26
asteRisk,359,140
astrochron,546,112
astroFns,27,11
astsa,72,22
ASV,17,14
AsyK,6,6
asymLD,4,3
AsymmetricSORDs,6,6
asymmetry,4,4
asymmetry.measures,62,23
asympTest,16,15
asymptor,15,5
async,187,89
AsynchLong,31,22
atable,180,85
ATAforecasting,96,34
atakrig,101,44
ATbounds,2,2
atime,12,11
atlas,4,4
AtmChile,1,1
atmopt,26,15
ATNr,21,16
atom4R,17,8
atpolR,9,4
ATR,12,6
aTSA,94,25
atsd,40,20
attachment,17,8
attempt,42,38
attention,2,2
attenuation,21,9
attrib,24,15
AUC,5,5
auctestr,7,4
auctionr,9,7
audio,32,29
audiometry,2,2
audit,2,2
auditor,192,135
audrex,53,20
audubon,22,17
augmentedRCBD,21,14
AugmenterR,4,4
augSIMEX,59,25
auk,107,85
aum,11,5
AurieLSHGaussian,3,2
auRoc,50,25
ausplotsR,53,33
AustralianPoliticians,3,3
AUtests,6,6
auth0,26,14
auto.pca,1,1
autoBagging,591,296
autocart,9,6
autocogs,147,22
autoCovariateSelection,3,3
AutoDeskR,17,17
autoencoder,47,17
autoFC,7,4
autoFRK,113,43
autoharp,153,76
autohrf,19,12
autoimage,81,44
autokeras,2,2
automagic,13,9
automap,30,15
autoMFA,122,45
automl,87,42
autoMrP,89,36
autonewsmd,4,4
AutoPipe,29,12
autoplotly,2,2
Autoplotprotein,16,11
autoRasch,105,53
autoReg,167,84
AutoregressionMDE,4,3
AutoScore,103,47
Autoseed,3,3
autoshiny,86,63
autostats,58,43
autostsm,69,22
autothresholdr,35,30
autoTS,19,13
AutoWeatherIndices,1,1
av,35,27
available,55,46
avar,35,23
averisk,12,7
avfintools,28,28
avidaR,131,40
AvInertia,110,32
aVirtualTwins,15,10
aweek,53,38
AWR.Kinesis,9,5
AWR.KMS,3,3
aws,280,96
aws.alexa,11,5
aws.comprehend,12,2
aws.ec2metadata,10,5
aws.ecx,58,54
aws.iam,131,63
aws.kms,63,2
aws.lambda,47,25
aws.polly,6,4
aws.s3,177,88
aws.signature,33,17
aws.transcribe,1,1
aws.translate,1,1
awsMethods,2,2
AZIAD,131,19
aziztest,66,22
AzureAppInsights,19,9
AzureAuth,71,46
AzureCognitive,9,9
AzureContainers,45,18
AzureCosmosR,147,88
AzureGraph,55,34
AzureKeyVault,89,25
AzureKusto,337,174
azuremlsdk,125,107
AzureQstor,19,15
AzureRMR,74,45
AzureStor,439,251
AzureTableStor,45,30
AzureVision,165,81
AzureVM,115,73
AzureVMmetadata,2,2
babel,21,13
babelgene,4,2
babelmixr2,228,126
babelwhale,33,15
babette,4,4
babsim.hospital,194,86
BacArena,18,16
BACCT,3,3
bacistool,45,8
backbone,67,27
backpipe,3,1
backports,64,44
backShift,62,36
backtest,1,1
bacondecomp,37,23
BACprior,5,3
bacr,15,7
badger,29,28
baffle,22,15
bagged.outliertrees,11,4
baggr,107,51
BAGofT,17,8
baguette,80,49
bahc,12,7
bain,95,54
bakeoff,9,4
bakR,73,18
BalanceCheck,7,5
BalancedSampling,21,21
BALCONY,50,27
Ball,84,54
BALLI,7,4
BallMapper,24,14
BaM,31,22
bama,12,8
BAMBI,387,196
bamboo,9,8
bambooHR,30,13
bamdit,12,8
bamlss,2154,631
BAMMtools,154,85
bamp,14,10
bandit,8,6
bang,85,59
bangladesh,5,4
bannerCommenter,5,5
BANOVA,169,87
banter,28,15
banxicoR,14,4
bapred,58,31
BaPreStoPro,76,30
BarBorGradient,5,5
baRcodeR,24,14
BarcodingR,139,38
BARIS,19,9
barplot3d,1,1
BART,51,18
bartBMA,116,100
bartCause,231,57
bartcs,14,10
bartMachine,71,42
BartMixVs,22,8
baRulho,31,11
Barycenter,3,3
BAS,70,58
basad,6,5
base.rms,8,8
base64,3,3
base64enc,4,4
base64url,3,3
baseballDBR,92,32
baseballr,468,110
basecamb,16,12
basedosdados,8,5
basefun,77,33
baseline,177,15
basemaps,5,5
BaseSet,155,116
basetheme,25,15
basf,2,2
basicMCMCplots,1,1
basicspace,67,33
basictabler,287,61
basifoR,29,14
BASiNET,17,7
BASiNETEntropy,18,10
BaSkePro,4,2
basket,101,77
BasketballAnalyzeR,134,64
baskexact,65,23
BASS,264,132
BaSTA,29,4
bastah,4,3
BAT,191,95
batata,17,15
batch,20,15
BatchExperiments,159,65
BatchGetSymbols,9,8
BatchJobs,612,258
batchmeans,5,4
batchmix,32,23
batchscr,1,1
batchtma,13,9
batchtools,673,207
bate,24,18
batman,5,4
batteryreduction,4,2
BAwiR,32,26
baycn,78,38
bayefdr,12,8
bayes4psy,11,10
bayesAB,144,65
bayesammi,28,16
bayesanova,155,4
BayesARIMAX,9,5
bayesassurance,36,14
BayesBinMix,17,8
bayesbio,16,14
bayesboot,7,7
BayesBP,49,18
bayesbr,74,28
BayesCACE,20,9
BayesCombo,13,9
BayesComm,22,11
bayescopulareg,32,21
bayescount,81,23
BayesCR,63,28
bayesCT,32,17
BayesCTDesign,72,34
bayesDccGarch,24,14
BayesDesign,46,14
bayesdfa,33,21
BayesDissolution,19,10
bayesdistreg,54,25
bayesDP,18,8
BayesESS,16,12
BayesFactor,450,193
BayesFM,53,37
bayesforecast,280,149
bayesGAM,72,29
bayesGARCH,21,13
BayesGOF,169,29
BayesGPfit,35,17
BayesGWQS,10,8
bayesian,11,11
bayesianETAS,30,10
Bayesiangammareg,39,10
BayesianGLasso,1,1
BayesianMediationA,24,18
BayesianPower,13,8
BayesianReasoning,1,1
Bayesiantreg,42,16
bayesImageS,36,26
BayesLCA,28,11
bayesLife,279,164
bayeslincom,35,10
bayeslm,13,10
BayesLN,82,34
BayesLogit,108,54
bayesloglin,64,18
bayeslongitudinal,19,5
bayesm,203,82
BayesMallows,101,73
BayesMassBal,28,19
bayesmeta,440,141
BayesMFSurv,27,13
bayesmix,32,26
BayesMixSurv,35,20
bayesmove,64,47
BayesMRA,23,15
BayesMultiMode,27,13
BayesMultMeta,29,16
bayesnec,277,170
BayesNetBP,116,63
BayesNSGP,31,15
BayesPieceHazSelect,75,3
BayesPiecewiseICAR,10,3
bayesplay,204,66
bayesplot,389,209
bayesPO,60,25
bayesPop,351,141
BayesPostEst,33,17
BayesPPD,17,12
BayesProject,21,12
bayesQR,15,8
bayesreg,40,26
Bayesrel,215,103
BayesReversePLLH,21,18
BayesRGMM,14,10
BayesRS,6,5
bayesrules,65,26
bayess,74,44
BayesS5,76,25
BayesSAE,2,2
BayesSampling,31,12
BayesSenMC,33,10
BayesSpec,33,8
BayesSPsurv,97,42
BayesSUR,47,29
bayesSurv,164,65
BayesSurvival,11,9
bayest,3,1
bayesTFR,629,239
BayesTools,679,82
BayesTree,4,2
BayesTreePrior,27,9
BayesTwin,56,12
BayesVarSel,51,29
bayesvl,179,87
BayesX,70,35
bayesZIB,2,2
bayfoxr,7,6
BayLum,32,15
bayMDS,24,11
baymedr,9,4
baystability,26,14
BAYSTAR,10,7
baytrends,66,28
bazar,11,5
BB,20,8
BBcor,19,9
bbdetection,12,8
BBEST,151,71
BBI,1,1
bbknnR,16,14
bbl,40,30
BBmisc,162,121
bbmle,88,43
bbotk,40,28
bbreg,115,41
bbricks,252,171
bbsBayes,38,21
BBSSL,7,6
bbw,5,5
bc3net,9,6
BCA1SG,34,8
bcaboot,16,8
BCBCSF,27,22
BCC1997,9,6
bccp,91,20
BCDAG,60,21
bcdata,215,116
BCDating,40,21
BcDiag,13,7
BCE,33,18
BCEA,294,160
BCEE,7,5
bcf,2,1
bcfrailph,29,12
bcfrailphdv,115,35
bcgam,39,28
BCgee,14,8
BCHM,30,23
Bchron,60,25
BClustLonG,34,28
bcmaps,171,94
bcmixed,31,23
bcp,9,8
bcpa,61,20
BCRA,14,3
bcrm,82,37
bcROCsurface,83,37
bcrypt,4,4
BCSub,13,12
BCT,23,17
bcTSNE,8,8
bda,110,56
bdc,23,15
bdchecks,9,7
bdclean,7,7
bdDwC,4,4
bde,31,29
BDEsize,14,9
BDgraph,136,57
bdl,91,32
bdlp,7,7
bdots,158,90
BDP2,184,37
bdpar,14,10
bdpopt,132,62
bdpv,72,20
bdrc,156,98
bdribs,15,7
bdscale,37,15
bdsmatrix,23,16
bdvis,17,16
BDWreg,57,32
BE,32,21
bea.R,40,10
beadplexr,35,30
beakr,4,4
beam,15,6
beanplot,1,1
beanz,55,29
bearishTrader,14,14
beast,29,18
beastier,54,43
beautier,263,209
BED,241,77
BEDASSLE,69,29
BEDMatrix,8,8
bedr,206,43
BeeGUTS,26,18
beepr,9,9
beeswarm,12,7
beezdemand,44,24
befproj,6,4
beginr,28,23
behaviorchange,51,24
behavr,43,25
BEKKs,351,142
belex,14,8
belg,6,4
bellreg,26,21
bench,131,87
Benchmarking,101,73
benchmarkme,65,44
benchmarkmeData,16,9
benchr,34,25
bender,2,2
benford,6,1
benford.analysis,73,35
BenfordTests,66,16
BENMMI,5,5
bentcableAR,52,31
benthos,27,16
Bergm,28,12
berryFunctions,402,88
BeSS,285,28
Bessel,15,15
BEST,14,9
bestglm,29,20
besthr,19,11
Bestie,35,21
bestNormalize,73,58
BESTree,32,17
bestridge,27,17
BET,22,13
BetaBit,18,9
betacal,2,2
betafunctions,93,51
betapart,74,35
BetaPASS,10,6
betaper,7,4
betareg,94,43
betategarch,40,8
BETS,86,34
bets.covid19,97,14
bettermc,50,36
BetterReg,7,6
BeviMed,68,29
BeyondBenford,86,11
beyondWhittle,277,107
bezier,25,6
bfast,59,39
BFF,12,8
bfp,32,12
BFpack,79,47
BFS,4,4
bfsl,18,12
bfsMaps,26,17
bfw,97,54
BGData,97,49
bgeva,15,11
bggAnalytics,8,8
BGGE,9,7
BGGM,275,152
bggum,26,15
BGLR,62,47
bgmfiles,1,1
BGmisc,16,10
bgmm,79,41
bgsmtr,13,7
bgumbel,5,3
BGVAR,59,39
BHAI,75,18
Bhat,51,5
BHH2,4,3
bhm,95,69
bhmbasket,63,44
BHMSMAfMRI,33,19
bhpm,24,21
BHSBVAR,58,28
BHTSpack,37,19
BiasCorrector,1,1
BiasedUrn,12,12
bib2df,8,7
BiBitR,86,37
biblio,10,9
bibliometrix,184,96
biblionetwork,1,1
BibPlots,12,10
bibs,43,12
bibtex,23,15
BiCausality,51,20
biClassify,114,48
biclust,348,101
biclustermd,69,27
BICORN,6,5
BiDAG,324,145
bidask,37,12
BiDimRegression,14,13
BIEN,14,14
BifactorIndicesCalculator,91,38
bife,42,28
BIFIEsurvey,224,118
bifurcatingr,25,10
bigalgebra,33,9
biganalytics,11,8
bigassertr,23,23
bigchess,76,47
bigD,305,221
bigdatadist,40,13
BIGDAWG,148,72
bigdist,11,9
bigDM,77,22
bigGP,84,42
BIGL,150,73
biglasso,27,16
bigleaf,125,53
biglm,31,19
biglmm,31,19
bigMap,167,85
bigmatch,26,14
bigmds,29,14
bigmemory,150,84
bignum,204,179
bigparallelr,20,12
bigQF,81,29
bigQueryR,112,69
BigQuic,4,3
bigreadr,14,10
bigReg,252,61
bigrquery,437,210
bigsimr,1,1
bigsnpr,166,95
bigsparser,35,20
bigsplines,78,38
bigstatsr,172,99
bigstep,71,20
bigSurvSGD,10,7
bigtcr,54,23
bigtime,81,53
bigutilsr,48,27
BigVAR,87,45
bikm1,112,44
bild,56,26
billboarder,108,73
bimets,188,51
BimodalIndex,1,1
binancer,48,22
Binarize,16,9
BinarybalancedCut,1,1
BinaryDosage,196,86
BinaryEMVS,8,7
BinaryEPPM,195,20
binaryGP,29,13
binaryMM,17,11
binaryTimeSeries,1,1
binb,3,3
BINCOR,17,4
binda,27,14
bindata,6,5
bindr,11,7
bindrcpp,6,6
binequality,15,10
binfunest,38,16
bingat,55,14
binGroup,357,99
binGroup2,556,156
BinGSD,21,13
binhf,28,13
binman,39,28
BinMat,11,10
binMto,12,7
BinNonNor,13,5
BinNor,4,3
binom,65,40
binomialRF,16,6
binomSamSize,42,22
BinOrdNonNor,8,7
binovisualfields,20,11
binr,62,12
BinSegBstrap,10,4
binsegRcpp,59,17
binseqtest,121,51
binsmooth,21,12
binspp,74,45
binsreg,131,34
binst,24,8
BINtools,24,16
bio.infer,50,31
bio3d,741,212
bioacoustics,43,31
bioassays,19,12
bioC.logs,13,9
BioCircos,12,4
bioclim,33,24
BiocManager,43,4
Biocomb,84,52
biocompute,42,29
Biodem,20,14
BiodiversityR,144,18
biodosetools,191,88
BIOdry,40,15
BioFTF,23,19
biogas,110,14
biogeo,79,19
biogeom,84,35
biogram,146,72
biogrowth,194,144
Bioi,1,1
bioimagetools,130,43
bioinactivation,62,35
BioInsight,1,1
biokNN,25,13
biolink,30,23
Biolinv,34,21
BioMark,54,29
biomartr,134,55
BIOMASS,75,38
biometryassist,21,9
biomod2,67,42
bioOED,48,30
Biopeak,8,7
BioPET,8,5
BioPETsurv,16,9
bioPN,9,9
BioProbability,5,5
bioRad,262,147
BioRssay,25,12
Bios2cor,45,21
bios2mds,27,21
biosensors.usc,30,21
bioseq,136,107
biosignalEMG,48,34
biospear,59,31
biostat3,48,28
BioStatR,8,6
biosurvey,78,34
biotic,29,19
biotools,78,41
BioVenn,60,4
bipartite,215,102
bipartiteD3,2,2
BipartiteModularityMaximization,1,1
bipd,19,16
biplotbootGUI,62,41
BiplotML,50,16
BiProbitPartial,11,5
birankr,7,5
birdring,24,20
birk,9,7
birtr,11,11
biscale,23,16
BISdata,1,1
bisectr,10,7
BiSEp,20,10
bisque,28,17
BisqueRNA,47,25
BisRNA,14,9
bistablehistory,35,23
bit,487,214
bit64,372,139
bite,52,43
bitmexr,37,13
bitops,11,7
BiTrinA,18,10
bitsqueezr,2,2
bittermelon,214,115
Bivariate.Pareto,87,15
bivariatemaps,4,3
BivGeo,11,11
bivgeom,16,3
BivRec,191,76
BivRegBLS,41,4
bivrp,18,7
BivUnifBin,7,5
biwavelet,65,23
biwt,15,8
bizdays,114,57
bizicount,114,47
bkmr,168,58
bkmrhat,29,18
blackbox,749,170
BlackCarbon,4,2
blaise,88,59
BlakerCI,24,12
BlandAltmanLeh,3,2
blandr,21,12
BlanketStatsments,13,11
blapsr,483,85
blastula,116,66
blatent,150,79
blatr,3,2
Blaunet,10,5
blavaan,194,75
BLCOP,73,34
blendedLink,48,7
blender,47,34
Blendstat,2,2
blink,41,25
bliss,56,41
blm,222,57
blme,73,43
blmeco,11,9
BLModel,6,5
blob,48,43
BlockCov,7,5
blockCV,30,17
blockForest,46,28
blocklength,11,5
blockmatrix,52,24
blockmodeling,237,35
BlockmodelingGUI,2,2
blockmodels,16,7
blocksdesign,109,40
blogdown,377,184
BLOQ,25,14
blorr,365,207
BLPestimatoR,30,15
BLR,4,4
blrm,29,10
BLRPM,14,10
blscrapeR,11,10
BLSM,19,11
blsR,34,21
bltm,29,17
bluebike,5,4
BlythStillCasellaCI,36,11
BMA,98,39
bmabasket,7,7
BMAmevt,77,39
bmass,56,39
bmem,91,44
bmemLavaan,105,48
bmgarch,21,15
bmggum,20,10
BMisc,31,28
bmixture,17,16
bmlm,3,3
bmotif,182,121
bmp,3,3
bmrm,114,49
BMRMM,31,22
BMRSr,36,27
BMRV,3,1
BMS,182,62
bmscstan,31,30
bmstdr,223,85
BMT,51,32
BMTAR,142,41
BMTME,95,38
bnclassify,778,321
bnClustOmics,107,68
bndovb,3,3
bnlearn,1690,500
bnma,144,90
bnmonitor,106,59
bnnSurvival,8,6
bnpa,28,19
BNPdensity,316,111
BNPmix,39,24
BNPMIXcluster,33,15
bnpsd,48,28
BNPTSclust,6,2
BNrich,9,8
BNSL,36,34
BNSP,65,26
bnspatial,17,12
bnstruct,46,23
bnviewer,7,5
boa,121,16
BoardGames,18,12
Bodi,2,2
bodycomp,43,13
boilerpipeR,7,7
BOIN,32,15
BOJ,1,1
bolasso,35,20
bold,149,24
Bolstad,125,50
Bolstad2,27,16
BoltzMM,15,10
bondAnalyst,62,56
BondValuation,205,28
BoneProfileR,30,18
BonEV,1,1
bonsai,30,15
bookdown,335,192
bookdownplus,22,11
BoolFilter,21,14
BoolNet,225,89
Boom,80,67
BoomSpikeSlab,48,33
BoostMLR,79,59
boostmtree,96,39
boot,158,87
boot.heterogeneity,13,6
boot.pval,4,4
bootcluster,41,21
bootComb,242,29
bootCT,8,5
bootES,24,23
bootf2,37,22
bootGOF,3,3
bootImpute,13,7
bootLR,15,9
BootMRMR,17,12
bootnet,47,23
bootPLS,30,10
BootPR,125,44
bootruin,16,10
bootstrap,9,6
bootstrapFP,27,15
BootstrapQTL,15,10
bootSVD,33,18
bootUR,56,26
BootWPTOS,5,3
Boov,26,17
Boptbd,13,6
bor,2,2
boral,101,54
borrowr,42,20
Boruta,26,24
BOSO,9,7
BosonSampling,6,5
BoSSA,16,10
BOSSreg,28,15
botor,75,33
BoundEdgeworth,93,42
boundingbox,12,7
boussinesq,8,5
boutliers,47,21
BoutrosLab.plotting.general,162,45
box,329,168
boxplotdbl,43,17
boxr,208,127
bp,57,37
bpa,8,6
bpAcc,14,9
bpbounds,10,9
bpca,6,6
bpcp,243,86
bpDir,1,1
bpgmm,87,44
BPM,5,4
bpnreg,101,67
bpp,33,21
bpr,1,1
bqror,54,22
bqtl,99,31
bRacatus,25,19
bracer,27,19
BRACoD.R,8,8
BradleyTerry2,33,26
braidReports,54,21
braidrm,62,29
BrailleR,96,55
BrainCon,6,6
brainGraph,573,283
brainKCCA,35,11
brainR,16,13
BranchGLM,104,31
Branching,25,17
brandwatchR,19,17
brant,5,3
braQCA,4,4
brassica,449,278
bravo,35,17
BrazilMet,22,21
BRDT,13,11
brea,6,4
bread,11,10
breakaway,135,75
breakDown,12,11
breakfast,87,50
breakpoint,146,22
BreakPoints,5,5
breathtestcore,79,46
breathteststan,7,3
bReeze,430,28
BRETIGEA,6,5
brew,9,6
brglm,2,1
brglm2,134,65
bridgedist,1,1
bridger,40,16
bridger2,97,56
bridgesampling,62,22
briKmeans,26,17
BRINDA,21,4
brinton,335,45
brio,8,8
briqr,3,3
BRISC,20,16
brisk,51,34
briskaR,82,64
BRL,8,4
brlrmr,2,2
brm,54,25
brms,4463,1359
brmsmargins,21,12
brnn,101,32
Brobdingnag,45,7
brokenstick,50,31
brolgar,130,65
broman,41,19
broom,386,285
broom.helpers,144,96
broom.mixed,112,77
brotli,2,2
BrownDog,7,6
brpop,32,7
Brq,12,4
brr,323,137
brranching,32,18
bruceR,187,91
BRugs,197,30
brulee,209,72
Brundle,12,9
brunnermunzel,6,4
brxx,15,15
bs4cards,99,64
bs4Dash,145,110
BSagri,11,9
bsam,24,19
bsamGP,16,4
BSBT,19,8
BSDA,5,5
bsearchtools,57,45
bshazard,3,3
BSL,89,44
bslib,288,152
BsMD,4,2
bsnsing,35,21
BSPADATA,82,20
BSPBSS,29,22
bspec,73,46
bspline,37,14
bsplinePsd,41,26
bsplus,42,33
bspm,19,10
bspmma,25,15
bsreg,113,44
BSS,63,30
BSSasymp,39,24
bssm,190,105
bssn,100,46
BSSprep,1,1
bst,101,36
bsts,83,54
bsub,62,43
bsvars,5,5
BSW,7,4
btb,16,8
BTdecayLasso,70,18
btergm,153,71
BTLLasso,57,28
BTM,15,10
BTSPAS,150,40
BTYD,99,40
BTYDplus,129,81
bubblyr,1,1
bucky,36,15
Buddle,24,13
buffeRs,8,6
buildmer,520,153
buildr,5,5
bujar,26,19
bulkAnalyseR,50,37
bulletcp,58,17
bulletr,72,27
bullishTrader,4,4
bumbl,10,5
bumblebee,26,21
bunching,41,10
bunchr,9,7
bundle,44,26
bupaR,649,261
bupaverse,20,13
burnr,81,53
BurStFin,6,3
bursts,6,4
busdater,12,9
butcher,156,132
BuyseTest,112,50
Bvalue,3,3
BVAR,158,79
bvarsv,21,13
bvartools,43,38
BVARverse,36,30
bvls,5,5
bvpSolve,47,29
BVSNLP,38,23
bwd,10,6
bWGR,139,75
BWGS,183,44
bwimage,46,29
BwQuant,51,20
bws,2,2
BWStest,8,6
bwsTools,20,14
bysykkel,27,24
bytescircle,14,9
bzinb,124,48
c060,21,18
c212,52,39
c2c,16,12
c2d4u.tools,4,4
c3,37,18
c3net,12,8
C443,149,35
C50,17,12
ca,45,31
CA3variants,152,44
cabinets,28,27
cabootcrs,45,18
cacc,6,6
cache,2,2
cachem,90,27
CACIMAR,64,34
cacIRT,24,14
CaDENCE,12,7
CADFtest,15,10
CADStat,52,24
caesar,1,1
caffsim,15,9
cAIC4,104,58
CAinterprTools,19,19
Cairo,9,9
CAISEr,16,8
calACS,12,9
CALANGO,44,34
Calculator.LR.FNs,8,3
calculus,100,43
calcWOI,2,2
calendar,32,20
calendR,2,2
calendRio,2,2
CALF,13,8
CALIBERrfimpute,5,4
calibrar,35,24
calibrate,7,5
calibrateBinary,9,5
CalibrateSSB,106,57
calibrationband,29,13
CalibrationCurves,32,16
calibrator,103,39
CalibratR,122,58
calidad,105,45
callr,288,136
calmate,2,1
calpassapi,2,2
CalSim,20,10
CAMAN,72,33
camcorder,49,21
CamelUp,15,8
CAMML,6,4
campfin,70,60
campsis,496,131
campsismod,627,94
camsRad,5,3
caMST,9,3
camtrapR,126,34
canadacovid,20,9
canadamaps,3,3
canadianmaps,9,9
canaper,18,14
cancensus,73,35
CancerEvolutionVisualization,82,60
cancerGI,12,12
CancerGram,15,9
cancerTiming,128,35
candisc,87,44
Canek,30,20
Canopy,31,22
canprot,86,39
cansim,135,55
CANSIM2R,10,6
canvasXpress,42,22
canvasXpress.data,1,1
cap,9,5
cape,370,133
caper,104,57
capitalR,27,10
capl,94,38
capm,35,27
capn,22,11
CaPO4Sim,39,33
captioner,5,5
captr,38,22
capushe,2,1
car,1483,520
caracas,244,113
caRamel,37,18
carat,216,99
CARBayes,223,41
CARBayesST,387,102
carbonate,7,7
carcass,46,13
card,51,41
cardidates,46,4
care,7,5
caRecall,20,4
careless,17,12
caret,921,429
caretEnsemble,74,56
caretForecast,12,9
carfima,38,14
caribou,15,9
CARlasso,49,33
CarletonStats,1,1
Carlson,9,9
caROC,76,33
caroline,74,35
carpenter,24,20
caRpools,70,19
carrier,11,8
CARRoT,33,19
carSurv,9,6
cartograflow,31,16
cartogram,8,8
cartogramR,40,26
cartography,64,37
casabourse,3,3
Cascade,3,3
CASCORE,18,14
cascsim,47,12
casebase,57,39
caseMatch,3,3
casino,12,7
CASMAP,48,37
CASMI,13,7
cassandRa,54,30
cassowaryr,127,73
CAST,78,37
castor,1127,302
cat,12,12
cat2cat,17,13
cata,30,20
catalog,33,24
CatastRo,88,30
catch,19,10
catcont,38,24
catdap,16,11
CatDyn,4,3
cate,19,14
categoryEncodings,16,13
catenary,69,11
CatEncoders,3,2
catfun,19,17
cati,69,42
catIrt,57,23
catlearn,63,34
catmap,7,6
catmaply,4,4
catnet,98,59
caTools,22,17
CatPredi,21,12
catR,255,46
CatReg,19,9
cats,39,17
catseyes,1,1
catsim,47,35
catSurv,23,6
CATTexact,2,2
cattonum,67,44
CauchyCP,1,1
causact,44,33
causal.decomp,10,6
causalDisco,104,62
causaldrf,69,27
causaleffect,329,62
CausalGAM,2,2
CausalGPS,63,39
CausalImpact,102,41
CausalKinetiX,22,14
CausalMBSTS,35,16
CausalModels,42,33
causaloptim,68,36
causalOT,555,207
causalPAF,7,5
CausalQueries,201,102
causalsens,8,8
causalweight,112,30
CausCor,10,5
CautiousLearning,6,5
CAvariants,64,6
CB2,18,12
cba,41,37
cbanalysis,3,2
cbinom,10,7
cbioportalR,27,8
cbl,13,9
CBPS,359,41
cbq,21,15
cbsodataR,84,47
CBSr,31,13
CBT,5,5
CC,13,8
CCA,7,3
CCAMLRGIS,90,21
ccaPP,21,15
cccd,35,21
cccm,46,14
cccp,15,5
cccrm,90,14
ccdf,24,12
cchs,21,17
cchsflow,100,39
ccid,32,16
cclust,28,19
ccmEstimator,7,4
ccml,7,4
ccmm,39,23
ccmReportR,7,7
ccoptimalmatch,1,1
ccostr,7,6
CCP,16,3
ccpsyc,40,15
ccRemover,4,3
ccrs,26,17
ccrtm,123,53
ccss,5,3
ccTensor,2,2
cctools,26,18
CCTpack,93,36
CCWeights,14,5
cdata,65,30
cdcatR,36,22
cdcfluview,13,13
cdcsis,12,8
cder,8,7
cdfquantreg,159,125
CDFt,2,2
CDLasso,11,6
cdlTools,3,3
CDM,854,393
CDMConnector,16,15
cdmTools,82,33
cdom,4,4
cdparcoord,16,10
cdrcR,10,8
cds,73,40
CDVineCopulaConditional,22,13
CEDA,52,13
CEDARS,124,54
ceg,50,34
CEGO,273,122
celestial,205,88
cellOrigins,4,4
cellpypes,31,18
cellranger,93,57
celltrackR,160,76
cellVolumeDist,5,5
cellWise,172,78
cem,176,64
CenBAR,36,17
CENFA,72,12
cenGAM,167,25
censable,40,39
censCov,14,10
censo2017,28,15
censorcopula,4,2
censored,75,47
censReg,16,15
CensSpatial,74,25
Census2016,3,3
censusapi,19,9
censusr,8,8
censusxy,2,2
censys,15,12
centiserve,36,33
centrifugeR,15,10
CEOdata,10,5
CEoptim,9,4
CePa,104,47
cepp,60,28
cepR,7,5
ceramic,87,48
CERFIT,22,12
CerioliOutlierDetection,8,6
CeRNASeek,102,18
ceRtainty,26,17
Certara.R,19,9
ceser,11,10
cesR,5,5
cetcolor,14,12
ceterisParibus,20,18
cfa,25,19
CFAcoop,7,5
cfbfastR,250,81
CFC,25,13
cfda,83,63
cfdecomp,8,3
cffdrs,44,7
cffr,123,63
cfid,269,80
cfma,98,15
cforward,7,5
cft,3,1
cg,126,76
cgaim,45,31
cgam,586,153
cgAUC,10,6
CGE,25,11
CGGP,80,50
cghRA,175,65
cglasso,168,53
cglm,21,8
cgmanalysis,1,1
CGManalyzer,2,2
cgmquantify,34,18
CGNM,84,40
CGP,19,5
CGPfunctions,67,48
cgraph,68,68
cgrcusum,58,24
cgwtools,40,33
ch,52,36
ChainLadder,254,112
chameleon,18,9
chandwich,58,20
changepoint,59,29
changepoint.geo,9,5
changepoint.influence,6,6
changepoint.np,13,8
changepoints,238,132
changepointsHD,1,1
changepointsVar,7,6
ChangePointTaylor,35,17
ChangepointTesting,14,5
changepointTests,21,13
ChannelAttribution,12,4
ChannelAttributionApp,1,1
chantrics,67,38
Chaos01,13,10
ChaosGame,158,8
charlatan,57,51
chartql,4,4
cheatsheet,3,3
CheckDigit,3,3
checkLuhn,2,2
checkmate,373,82
checkpoint,34,18
checkr,83,43
cheddar,456,181
cheem,64,41
cheese,5,4
chemCal,14,7
chemmodlab,79,49
chemodiv,7,6
chemometrics,40,15
ChemoSpec,26,23
ChemoSpec2D,27,19
ChemoSpecUtils,50,33
cherry,87,50
chess,102,51
chest,3,2
CHFF,5,3
chi,8,7
chicane,46,30
chickn,57,31
childesr,27,11
childsds,14,13
chilemapas,4,4
ChillModels,19,18
chillR,227,89
chinese.misc,65,32
ChineseNames,1,1
chipPCR,34,22
chirps,15,7
chisquare,18,7
chk,196,174
