year,race,dollar_type,number,income_quintile,income_dollars
2018,Asian Alone or in Combination,Current Dollars,7416000,Second,67359
2018,Asian Alone or in Combination,Current Dollars,7416000,Third,107745
2018,Asian Alone or in Combination,Current Dollars,7416000,Fourth,175400
2018,Asian Alone or in Combination,Current Dollars,7416000,Top 5%,323644
2017,Asian Alone or in Combination,Current Dollars,7114000,Lowest,32000
2017,Asian Alone or in Combination,Current Dollars,7114000,Second,64503
2017,Asian Alone or in Combination,Current Dollars,7114000,Third,101400
2017,Asian Alone or in Combination,Current Dollars,7114000,Fourth,169056
2017,Asian Alone or in Combination,Current Dollars,7114000,Top 5%,309970
2016,Asian Alone or in Combination,Current Dollars,6750000,Lowest,31345
2016,Asian Alone or in Combination,Current Dollars,6750000,Second,65000
2016,Asian Alone or in Combination,Current Dollars,6750000,Third,100047
2016,Asian Alone or in Combination,Current Dollars,6750000,Fourth,160132
2016,Asian Alone or in Combination,Current Dollars,6750000,Top 5%,274310
2015,Asian Alone or in Combination,Current Dollars,6640000,Lowest,30000
2015,Asian Alone or in Combination,Current Dollars,6640000,Second,60000
2015,Asian Alone or in Combination,Current Dollars,6640000,Third,97584
2015,Asian Alone or in Combination,Current Dollars,6640000,Fourth,157258
2015,Asian Alone or in Combination,Current Dollars,6640000,Top 5%,280100
2014,Asian Alone or in Combination,Current Dollars,6333000,Lowest,28800
2014,Asian Alone or in Combination,Current Dollars,6333000,Second,58880
2014,Asian Alone or in Combination,Current Dollars,6333000,Third,93670
2014,Asian Alone or in Combination,Current Dollars,6333000,Fourth,147000
2014,Asian Alone or in Combination,Current Dollars,6333000,Top 5%,256500
2013,Asian Alone or in Combination,Current Dollars,6160000,Lowest,28200
2013,Asian Alone or in Combination,Current Dollars,6160000,Second,57137
2013,Asian Alone or in Combination,Current Dollars,6160000,Third,90150
2013,Asian Alone or in Combination,Current Dollars,6160000,Fourth,146150
2013,Asian Alone or in Combination,Current Dollars,6160000,Top 5%,260000
2012,Asian Alone or in Combination,Current Dollars,5872000,Lowest,27961
2012,Asian Alone or in Combination,Current Dollars,5872000,Second,54277
2012,Asian Alone or in Combination,Current Dollars,5872000,Third,84957
2012,Asian Alone or in Combination,Current Dollars,5872000,Fourth,137006
2012,Asian Alone or in Combination,Current Dollars,5872000,Top 5%,244001
2011,Asian Alone or in Combination,Current Dollars,5705000,Lowest,25002
2011,Asian Alone or in Combination,Current Dollars,5705000,Second,50045
2011,Asian Alone or in Combination,Current Dollars,5705000,Third,80303
2011,Asian Alone or in Combination,Current Dollars,5705000,Fourth,125449
2011,Asian Alone or in Combination,Current Dollars,5705000,Top 5%,224153
2010,Asian Alone or in Combination,Current Dollars,5550000,Lowest,24500
2010,Asian Alone or in Combination,Current Dollars,5550000,Second,50020
2010,Asian Alone or in Combination,Current Dollars,5550000,Third,80000
2010,Asian Alone or in Combination,Current Dollars,5550000,Fourth,130000
2010,Asian Alone or in Combination,Current Dollars,5550000,Top 5%,216268
2009,Asian Alone or in Combination,Current Dollars,4940000,Lowest,25000
2009,Asian Alone or in Combination,Current Dollars,4940000,Second,50002
2009,Asian Alone or in Combination,Current Dollars,4940000,Third,82000
2009,Asian Alone or in Combination,Current Dollars,4940000,Fourth,130540
2009,Asian Alone or in Combination,Current Dollars,4940000,Top 5%,233300
2008,Asian Alone or in Combination,Current Dollars,4805000,Lowest,24300
2008,Asian Alone or in Combination,Current Dollars,4805000,Second,50000
2008,Asian Alone or in Combination,Current Dollars,4805000,Third,82216
2008,Asian Alone or in Combination,Current Dollars,4805000,Fourth,128888
2008,Asian Alone or in Combination,Current Dollars,4805000,Top 5%,220230
2007,Asian Alone or in Combination,Current Dollars,4715000,Lowest,25320
2007,Asian Alone or in Combination,Current Dollars,4715000,Second,51380
2007,Asian Alone or in Combination,Current Dollars,4715000,Third,81251
2007,Asian Alone or in Combination,Current Dollars,4715000,Fourth,125800
2007,Asian Alone or in Combination,Current Dollars,4715000,Top 5%,210501
2006,Asian Alone or in Combination,Current Dollars,4664000,Lowest,26510
2006,Asian Alone or in Combination,Current Dollars,4664000,Second,50000
2006,Asian Alone or in Combination,Current Dollars,4664000,Third,80000
2006,Asian Alone or in Combination,Current Dollars,4664000,Fourth,125600
2006,Asian Alone or in Combination,Current Dollars,4664000,Top 5%,220020
2005,Asian Alone or in Combination,Current Dollars,4500000,Lowest,24000
2005,Asian Alone or in Combination,Current Dollars,4500000,Second,49460
2005,Asian Alone or in Combination,Current Dollars,4500000,Third,75302
2005,Asian Alone or in Combination,Current Dollars,4500000,Fourth,116900
2005,Asian Alone or in Combination,Current Dollars,4500000,Top 5%,212004
2004,Asian Alone or in Combination,Current Dollars,4346000,Lowest,24000
2004,Asian Alone or in Combination,Current Dollars,4346000,Second,46800
2004,Asian Alone or in Combination,Current Dollars,4346000,Third,70800
2004,Asian Alone or in Combination,Current Dollars,4346000,Fourth,110338
2004,Asian Alone or in Combination,Current Dollars,4346000,Top 5%,188966
2003,Asian Alone or in Combination,Current Dollars,4235000,Lowest,19000
2003,Asian Alone or in Combination,Current Dollars,4235000,Second,42672
2003,Asian Alone or in Combination,Current Dollars,4235000,Third,69516
2003,Asian Alone or in Combination,Current Dollars,4235000,Fourth,105404
2003,Asian Alone or in Combination,Current Dollars,4235000,Top 5%,172200
2002,Asian Alone or in Combination,Current Dollars,4079000,Lowest,22002
2002,Asian Alone or in Combination,Current Dollars,4079000,Second,41050
2002,Asian Alone or in Combination,Current Dollars,4079000,Third,65124
2002,Asian Alone or in Combination,Current Dollars,4079000,Fourth,101300
2002,Asian Alone or in Combination,Current Dollars,4079000,Top 5%,178870
2019,Asian Alone or in Combination,Current Dollars,6853000,Lowest,40002
2019,Asian Alone or in Combination,Current Dollars,6853000,Second,78000
2019,Asian Alone or in Combination,Current Dollars,6853000,Third,121131
2019,Asian Alone or in Combination,Current Dollars,6853000,Fourth,192400
2019,Asian Alone or in Combination,Current Dollars,6853000,Top 5%,359550
2018,Asian Alone or in Combination,Current Dollars,6981000,Lowest,33600
2018,Asian Alone or in Combination,Current Dollars,6981000,Second,67962
2018,Asian Alone or in Combination,Current Dollars,6981000,Third,108501
2018,Asian Alone or in Combination,Current Dollars,6981000,Fourth,177260
2018,Asian Alone or in Combination,Current Dollars,6981000,Top 5%,323644
2017,Asian Alone or in Combination,Current Dollars,6735000,Lowest,32000
2017,Asian Alone or in Combination,Current Dollars,6735000,Second,65002
2017,Asian Alone or in Combination,Current Dollars,6735000,Third,101616
2017,Asian Alone or in Combination,Current Dollars,6735000,Fourth,170056
2017,Asian Alone or in Combination,Current Dollars,6735000,Top 5%,307742
2016,Asian Alone or in Combination,Current Dollars,6392000,Lowest,31692
2016,Asian Alone or in Combination,Current Dollars,6392000,Second,65115
2016,Asian Alone or in Combination,Current Dollars,6392000,Third,100375
2016,Asian Alone or in Combination,Current Dollars,6392000,Fourth,162774
2016,Asian Alone or in Combination,Current Dollars,6392000,Top 5%,275010
2015,Asian Alone or in Combination,Current Dollars,6328000,Lowest,30000
2015,Asian Alone or in Combination,Current Dollars,6328000,Second,60002
2015,Asian Alone or in Combination,Current Dollars,6328000,Third,98848
2015,Asian Alone or in Combination,Current Dollars,6328000,Fourth,158111
2015,Asian Alone or in Combination,Current Dollars,6328000,Top 5%,279998
2014,Asian Alone or in Combination,Current Dollars,6040000,Lowest,28013
2014,Asian Alone or in Combination,Current Dollars,6040000,Second,58073
2014,Asian Alone or in Combination,Current Dollars,6040000,Third,94780
2014,Asian Alone or in Combination,Current Dollars,6040000,Fourth,147333
2014,Asian Alone or in Combination,Current Dollars,6040000,Top 5%,256000
2013,Asian Alone or in Combination,Current Dollars,5818000,Lowest,28082
2013,Asian Alone or in Combination,Current Dollars,5818000,Second,57250
2013,Asian Alone or in Combination,Current Dollars,5818000,Third,90750
2013,Asian Alone or in Combination,Current Dollars,5818000,Fourth,147196
2013,Asian Alone or in Combination,Current Dollars,5818000,Top 5%,262128
2012,Asian Alone or in Combination,Current Dollars,5560000,Lowest,27564
2012,Asian Alone or in Combination,Current Dollars,5560000,Second,54414
2012,Asian Alone or in Combination,Current Dollars,5560000,Third,85000
2012,Asian Alone or in Combination,Current Dollars,5560000,Fourth,137565
2012,Asian Alone or in Combination,Current Dollars,5560000,Top 5%,245691
2011,Asian Alone or in Combination,Current Dollars,5374000,Lowest,25124
2011,Asian Alone or in Combination,Current Dollars,5374000,Second,50157
2011,Asian Alone or in Combination,Current Dollars,5374000,Third,80440
2011,Asian Alone or in Combination,Current Dollars,5374000,Fourth,125200
2011,Asian Alone or in Combination,Current Dollars,5374000,Top 5%,223100
2010,Asian Alone or in Combination,Current Dollars,5212000,Lowest,24357
2010,Asian Alone or in Combination,Current Dollars,5212000,Second,50200
2010,Asian Alone or in Combination,Current Dollars,5212000,Third,81000
2010,Asian Alone or in Combination,Current Dollars,5212000,Fourth,131240
2010,Asian Alone or in Combination,Current Dollars,5212000,Top 5%,218000
2009,Asian Alone or in Combination,Current Dollars,4687000,Lowest,25000
2009,Asian Alone or in Combination,Current Dollars,4687000,Second,50194
2009,Asian Alone or in Combination,Current Dollars,4687000,Third,82170
2009,Asian Alone or in Combination,Current Dollars,4687000,Fourth,131000
2009,Asian Alone or in Combination,Current Dollars,4687000,Top 5%,234082
2008,Asian Alone or in Combination,Current Dollars,4573000,Lowest,24137
2008,Asian Alone or in Combination,Current Dollars,4573000,Second,50000
2008,Asian Alone or in Combination,Current Dollars,4573000,Third,82680
2008,Asian Alone or in Combination,Current Dollars,4573000,Fourth,130000
2008,Asian Alone or in Combination,Current Dollars,4573000,Top 5%,220197
2007,Asian Alone or in Combination,Current Dollars,4494000,Lowest,25312
2007,Asian Alone or in Combination,Current Dollars,4494000,Second,51400
2007,Asian Alone or in Combination,Current Dollars,4494000,Third,82000
2007,Asian Alone or in Combination,Current Dollars,4494000,Fourth,125800
2007,Asian Alone or in Combination,Current Dollars,4494000,Top 5%,211000
2006,Asian Alone or in Combination,Current Dollars,4454000,Lowest,26300
2006,Asian Alone or in Combination,Current Dollars,4454000,Second,50000
2006,Asian Alone or in Combination,Current Dollars,4454000,Third,80202
2006,Asian Alone or in Combination,Current Dollars,4454000,Fourth,126000
2006,Asian Alone or in Combination,Current Dollars,4454000,Top 5%,222429
2005,Asian Alone or in Combination,Current Dollars,4273000,Lowest,24000
2005,Asian Alone or in Combination,Current Dollars,4273000,Second,49761
2005,Asian Alone or in Combination,Current Dollars,4273000,Third,75200
2005,Asian Alone or in Combination,Current Dollars,4273000,Fourth,117032
2005,Asian Alone or in Combination,Current Dollars,4273000,Top 5%,217500
2004,Asian Alone or in Combination,Current Dollars,4123000,Lowest,24000
2004,Asian Alone or in Combination,Current Dollars,4123000,Second,47000
2004,Asian Alone or in Combination,Current Dollars,4123000,Third,71254
2004,Asian Alone or in Combination,Current Dollars,4123000,Fourth,110806
2004,Asian Alone or in Combination,Current Dollars,4123000,Top 5%,193714
2003,Asian Alone or in Combination,Current Dollars,4040000,Lowest,18660
2003,Asian Alone or in Combination,Current Dollars,4040000,Second,42980
2003,Asian Alone or in Combination,Current Dollars,4040000,Third,70000
2003,Asian Alone or in Combination,Current Dollars,4040000,Fourth,106740
2003,Asian Alone or in Combination,Current Dollars,4040000,Top 5%,174035
2002,Asian Alone or in Combination,Current Dollars,3917000,Lowest,22007
2002,Asian Alone or in Combination,Current Dollars,3917000,Second,41155
2002,Asian Alone or in Combination,Current Dollars,3917000,Third,65690
2002,Asian Alone or in Combination,Current Dollars,3917000,Fourth,102000
2002,Asian Alone or in Combination,Current Dollars,3917000,Top 5%,180083
2019,Asian Alone,2019 Dollars,7334000,Lowest,40200
2019,Asian Alone,2019 Dollars,7334000,Second,77000
2019,Asian Alone,2019 Dollars,7334000,Third,120508
2019,Asian Alone,2019 Dollars,7334000,Fourth,190330
2019,Asian Alone,2019 Dollars,7334000,Top 5%,356573
2018,Asian Alone,2019 Dollars,7416000,Lowest,34209
2018,Asian Alone,2019 Dollars,7416000,Second,68579
2018,Asian Alone,2019 Dollars,7416000,Third,109697
2018,Asian Alone,2019 Dollars,7416000,Fourth,178578
2018,Asian Alone,2019 Dollars,7416000,Top 5%,329508
2017,Asian Alone,2019 Dollars,7114000,Lowest,33374
2017,Asian Alone,2019 Dollars,7114000,Second,67273
2017,Asian Alone,2019 Dollars,7114000,Third,105754
2017,Asian Alone,2019 Dollars,7114000,Fourth,176315
2017,Asian Alone,2019 Dollars,7114000,Top 5%,323279
2016,Asian Alone,2019 Dollars,6750000,Lowest,33394
2016,Asian Alone,2019 Dollars,6750000,Second,69249
2016,Asian Alone,2019 Dollars,6750000,Third,106587
2016,Asian Alone,2019 Dollars,6750000,Fourth,170599
2016,Asian Alone,2019 Dollars,6750000,Top 5%,292240
2015,Asian Alone,2019 Dollars,6640000,Lowest,32373
2015,Asian Alone,2019 Dollars,6640000,Second,64746
2015,Asian Alone,2019 Dollars,6640000,Third,105303
2015,Asian Alone,2019 Dollars,6640000,Fourth,169698
2015,Asian Alone,2019 Dollars,6640000,Top 5%,302258
2014,Asian Alone,2019 Dollars,6333000,Lowest,31132
2014,Asian Alone,2019 Dollars,6333000,Second,63647
2014,Asian Alone,2019 Dollars,6333000,Third,101254
2014,Asian Alone,2019 Dollars,6333000,Fourth,158902
2014,Asian Alone,2019 Dollars,6333000,Top 5%,277267
2013,Asian Alone,2019 Dollars,6160000,Lowest,30999
2013,Asian Alone,2019 Dollars,6160000,Second,62809
2013,Asian Alone,2019 Dollars,6160000,Third,99099
2013,Asian Alone,2019 Dollars,6160000,Fourth,160658
2013,Asian Alone,2019 Dollars,6160000,Top 5%,285810
2012,Asian Alone,2019 Dollars,5872000,Lowest,31192
2012,Asian Alone,2019 Dollars,5872000,Second,60549
2012,Asian Alone,2019 Dollars,5872000,Third,94774
2012,Asian Alone,2019 Dollars,5872000,Fourth,152838
2012,Asian Alone,2019 Dollars,5872000,Top 5%,272197
2011,Asian Alone,2019 Dollars,5705000,Lowest,28482
2011,Asian Alone,2019 Dollars,5705000,Second,57010
2011,Asian Alone,2019 Dollars,5705000,Third,91480
2011,Asian Alone,2019 Dollars,5705000,Fourth,142909
2011,Asian Alone,2019 Dollars,5705000,Top 5%,255351
2010,Asian Alone,2019 Dollars,5550000,Lowest,28790
2010,Asian Alone,2019 Dollars,5550000,Second,58778
2010,Asian Alone,2019 Dollars,5550000,Third,94007
2010,Asian Alone,2019 Dollars,5550000,Fourth,152762
2010,Asian Alone,2019 Dollars,5550000,Top 5%,254135
2009,Asian Alone,2019 Dollars,4940000,Lowest,29862
2009,Asian Alone,2019 Dollars,4940000,Second,59726
2009,Asian Alone,2019 Dollars,4940000,Third,97947
2009,Asian Alone,2019 Dollars,4940000,Fourth,155927
2009,Asian Alone,2019 Dollars,4940000,Top 5%,278672
2008,Asian Alone,2019 Dollars,4805000,Lowest,28925
2008,Asian Alone,2019 Dollars,4805000,Second,59516
2008,Asian Alone,2019 Dollars,4805000,Third,97864
2008,Asian Alone,2019 Dollars,4805000,Fourth,153419
2008,Asian Alone,2019 Dollars,4805000,Top 5%,262145
2007,Asian Alone,2019 Dollars,4715000,Lowest,31297
2007,Asian Alone,2019 Dollars,4715000,Second,63508
2007,Asian Alone,2019 Dollars,4715000,Third,100430
2007,Asian Alone,2019 Dollars,4715000,Fourth,155495
2007,Asian Alone,2019 Dollars,4715000,Top 5%,260189
2006,Asian Alone,2019 Dollars,4664000,Lowest,33697
2006,Asian Alone,2019 Dollars,4664000,Second,63555
2006,Asian Alone,2019 Dollars,4664000,Third,101688
2006,Asian Alone,2019 Dollars,4664000,Fourth,159650
2006,Asian Alone,2019 Dollars,4664000,Top 5%,279668
2005,Asian Alone,2019 Dollars,4500000,Lowest,31495
2005,Asian Alone,2019 Dollars,4500000,Second,64907
2005,Asian Alone,2019 Dollars,4500000,Third,98819
2005,Asian Alone,2019 Dollars,4500000,Fourth,153408
2005,Asian Alone,2019 Dollars,4500000,Top 5%,278214
2004,Asian Alone,2019 Dollars,4346000,Lowest,32562
2004,Asian Alone,2019 Dollars,4346000,Second,63496
2004,Asian Alone,2019 Dollars,4346000,Third,96058
2004,Asian Alone,2019 Dollars,4346000,Fourth,149702
2004,Asian Alone,2019 Dollars,4346000,Top 5%,256381
2003,Asian Alone,2019 Dollars,4235000,Lowest,26475
2003,Asian Alone,2019 Dollars,4235000,Second,59460
2003,Asian Alone,2019 Dollars,4235000,Third,96864
2003,Asian Alone,2019 Dollars,4235000,Fourth,146871
2003,Asian Alone,2019 Dollars,4235000,Top 5%,239946
2002,Asian Alone,2019 Dollars,4079000,Lowest,31354
2002,Asian Alone,2019 Dollars,4079000,Second,58499
2002,Asian Alone,2019 Dollars,4079000,Third,92805
2002,Asian Alone,2019 Dollars,4079000,Fourth,144358
2002,Asian Alone,2019 Dollars,4079000,Top 5%,254900
2019,Asian Alone,2019 Dollars,6853000,Lowest,40002
2019,Asian Alone,2019 Dollars,6853000,Second,78000
2019,Asian Alone,2019 Dollars,6853000,Third,121131
2019,Asian Alone,2019 Dollars,6853000,Fourth,192400
2019,Asian Alone,2019 Dollars,6853000,Top 5%,359550
2018,Asian Alone,2019 Dollars,6981000,Lowest,34209
2018,Asian Alone,2019 Dollars,6981000,Second,69193
2018,Asian Alone,2019 Dollars,6981000,Third,110467
2018,Asian Alone,2019 Dollars,6981000,Fourth,180472
2018,Asian Alone,2019 Dollars,6981000,Top 5%,329508
2017,Asian Alone,2019 Dollars,6735000,Lowest,33374
2017,Asian Alone,2019 Dollars,6735000,Second,67793
2017,Asian Alone,2019 Dollars,6735000,Third,105979
2017,Asian Alone,2019 Dollars,6735000,Fourth,177358
2017,Asian Alone,2019 Dollars,6735000,Top 5%,320955
2016,Asian Alone,2019 Dollars,6392000,Lowest,33764
2016,Asian Alone,2019 Dollars,6392000,Second,69371
2016,Asian Alone,2019 Dollars,6392000,Third,106936
2016,Asian Alone,2019 Dollars,6392000,Fourth,173414
2016,Asian Alone,2019 Dollars,6392000,Top 5%,292986
2015,Asian Alone,2019 Dollars,6328000,Lowest,32373
2015,Asian Alone,2019 Dollars,6328000,Second,64749
2015,Asian Alone,2019 Dollars,6328000,Third,106667
2015,Asian Alone,2019 Dollars,6328000,Fourth,170618
2015,Asian Alone,2019 Dollars,6328000,Top 5%,302147
2014,Asian Alone,2019 Dollars,6040000,Lowest,30281
2014,Asian Alone,2019 Dollars,6040000,Second,62775
2014,Asian Alone,2019 Dollars,6040000,Third,102454
2014,Asian Alone,2019 Dollars,6040000,Fourth,159262
2014,Asian Alone,2019 Dollars,6040000,Top 5%,276727
2013,Asian Alone,2019 Dollars,5818000,Lowest,30870
2013,Asian Alone,2019 Dollars,5818000,Second,62933
2013,Asian Alone,2019 Dollars,5818000,Third,99759
2013,Asian Alone,2019 Dollars,5818000,Fourth,161808
2013,Asian Alone,2019 Dollars,5818000,Top 5%,288149
2012,Asian Alone,2019 Dollars,5560000,Lowest,30749
2012,Asian Alone,2019 Dollars,5560000,Second,60702
2012,Asian Alone,2019 Dollars,5560000,Third,94822
2012,Asian Alone,2019 Dollars,5560000,Fourth,153461
2012,Asian Alone,2019 Dollars,5560000,Top 5%,274082
2011,Asian Alone,2019 Dollars,5374000,Lowest,28621
2011,Asian Alone,2019 Dollars,5374000,Second,57138
2011,Asian Alone,2019 Dollars,5374000,Third,91636
2011,Asian Alone,2019 Dollars,5374000,Fourth,142626
2011,Asian Alone,2019 Dollars,5374000,Top 5%,254152
2010,Asian Alone,2019 Dollars,5212000,Lowest,28622
2010,Asian Alone,2019 Dollars,5212000,Second,58990
2010,Asian Alone,2019 Dollars,5212000,Third,95183
2010,Asian Alone,2019 Dollars,5212000,Fourth,154219
2010,Asian Alone,2019 Dollars,5212000,Top 5%,256170
2009,Asian Alone,2019 Dollars,4687000,Lowest,29862
2009,Asian Alone,2019 Dollars,4687000,Second,59956
2009,Asian Alone,2019 Dollars,4687000,Third,98150
2009,Asian Alone,2019 Dollars,4687000,Fourth,156477
2009,Asian Alone,2019 Dollars,4687000,Top 5%,279606
2008,Asian Alone,2019 Dollars,4573000,Lowest,28731
2008,Asian Alone,2019 Dollars,4573000,Second,59516
2008,Asian Alone,2019 Dollars,4573000,Third,98416
2008,Asian Alone,2019 Dollars,4573000,Fourth,154742
2008,Asian Alone,2019 Dollars,4573000,Top 5%,262106
2007,Asian Alone,2019 Dollars,4494000,Lowest,31287
2007,Asian Alone,2019 Dollars,4494000,Second,63533
2007,Asian Alone,2019 Dollars,4494000,Third,101356
2007,Asian Alone,2019 Dollars,4494000,Fourth,155495
2007,Asian Alone,2019 Dollars,4494000,Top 5%,260806
2006,Asian Alone,2019 Dollars,4454000,Lowest,33430
2006,Asian Alone,2019 Dollars,4454000,Second,63555
2006,Asian Alone,2019 Dollars,4454000,Third,101945
2006,Asian Alone,2019 Dollars,4454000,Fourth,160159
2006,Asian Alone,2019 Dollars,4454000,Top 5%,282730
2005,Asian Alone,2019 Dollars,4273000,Lowest,31495
2005,Asian Alone,2019 Dollars,4273000,Second,65302
2005,Asian Alone,2019 Dollars,4273000,Third,98685
2005,Asian Alone,2019 Dollars,4273000,Fourth,153582
2005,Asian Alone,2019 Dollars,4273000,Top 5%,285426
2004,Asian Alone,2019 Dollars,4123000,Lowest,32562
2004,Asian Alone,2019 Dollars,4123000,Second,63768
2004,Asian Alone,2019 Dollars,4123000,Third,96674
2004,Asian Alone,2019 Dollars,4123000,Fourth,150337
2004,Asian Alone,2019 Dollars,4123000,Top 5%,262823
2003,Asian Alone,2019 Dollars,4040000,Lowest,26001
2003,Asian Alone,2019 Dollars,4040000,Second,59889
2003,Asian Alone,2019 Dollars,4040000,Third,97539
2003,Asian Alone,2019 Dollars,4040000,Fourth,148733
2003,Asian Alone,2019 Dollars,4040000,Top 5%,242503
2002,Asian Alone,2019 Dollars,3917000,Lowest,31361
2002,Asian Alone,2019 Dollars,3917000,Second,58648
2002,Asian Alone,2019 Dollars,3917000,Third,93612
2002,Asian Alone,2019 Dollars,3917000,Fourth,145356
2002,Asian Alone,2019 Dollars,3917000,Top 5%,256628
2019,Black Alone or in Combination,Current Dollars,18055000,Lowest,17401
2019,Black Alone or in Combination,Current Dollars,18055000,Second,35000
2019,Black Alone or in Combination,Current Dollars,18055000,Third,58469
2019,Black Alone or in Combination,Current Dollars,18055000,Fourth,100000
2019,Black Alone or in Combination,Current Dollars,18055000,Top 5%,198194
2018,Black Alone or in Combination,Current Dollars,18095000,Lowest,15600
2018,Black Alone or in Combination,Current Dollars,18095000,Second,31800
2018,Black Alone or in Combination,Current Dollars,18095000,Third,53000
2018,Black Alone or in Combination,Current Dollars,18095000,Fourth,89528
2018,Black Alone or in Combination,Current Dollars,18095000,Top 5%,172110
2017,Black Alone or in Combination,Current Dollars,17801000,Lowest,15000
2017,Black Alone or in Combination,Current Dollars,17801000,Second,31185
2017,Black Alone or in Combination,Current Dollars,17801000,Third,52000
2017,Black Alone or in Combination,Current Dollars,17801000,Fourth,88370
2017,Black Alone or in Combination,Current Dollars,17801000,Top 5%,166390
2016,Black Alone or in Combination,Current Dollars,17505000,Lowest,14732
2016,Black Alone or in Combination,Current Dollars,17505000,Second,30004
2016,Black Alone or in Combination,Current Dollars,17505000,Third,50092
2016,Black Alone or in Combination,Current Dollars,17505000,Fourth,85316
2016,Black Alone or in Combination,Current Dollars,17505000,Top 5%,159622
2015,Black Alone or in Combination,Current Dollars,17322000,Lowest,13800
2015,Black Alone or in Combination,Current Dollars,17322000,Second,28600
2015,Black Alone or in Combination,Current Dollars,17322000,Third,48730
2015,Black Alone or in Combination,Current Dollars,17322000,Fourth,81644
2015,Black Alone or in Combination,Current Dollars,17322000,Top 5%,150584
2014,Black Alone or in Combination,Current Dollars,17198000,Lowest,13259
2014,Black Alone or in Combination,Current Dollars,17198000,Second,27120
2014,Black Alone or in Combination,Current Dollars,17198000,Third,45057
2014,Black Alone or in Combination,Current Dollars,17198000,Fourth,77880
2014,Black Alone or in Combination,Current Dollars,17198000,Top 5%,148000
2013,Black Alone or in Combination,Current Dollars,16723000,Lowest,13232
2013,Black Alone or in Combination,Current Dollars,16723000,Second,27301
2013,Black Alone or in Combination,Current Dollars,16723000,Third,45000
2013,Black Alone or in Combination,Current Dollars,16723000,Fourth,77000
2013,Black Alone or in Combination,Current Dollars,16723000,Top 5%,149195
2012,Black Alone or in Combination,Current Dollars,16559000,Lowest,12587
2012,Black Alone or in Combination,Current Dollars,16559000,Second,25007
2012,Black Alone or in Combination,Current Dollars,16559000,Third,43783
2012,Black Alone or in Combination,Current Dollars,16559000,Fourth,74000
2012,Black Alone or in Combination,Current Dollars,16559000,Top 5%,135802
2011,Black Alone or in Combination,Current Dollars,16165000,Lowest,12000
2011,Black Alone or in Combination,Current Dollars,16165000,Second,24730
2011,Black Alone or in Combination,Current Dollars,16165000,Third,42000
2011,Black Alone or in Combination,Current Dollars,16165000,Fourth,71852
2011,Black Alone or in Combination,Current Dollars,16165000,Top 5%,134226
2010,Black Alone or in Combination,Current Dollars,15909000,Lowest,11800
2010,Black Alone or in Combination,Current Dollars,15909000,Second,24700
2010,Black Alone or in Combination,Current Dollars,15909000,Third,40950
2010,Black Alone or in Combination,Current Dollars,15909000,Fourth,70000
2010,Black Alone or in Combination,Current Dollars,15909000,Top 5%,128340
2009,Black Alone or in Combination,Current Dollars,15212000,Lowest,12811
2009,Black Alone or in Combination,Current Dollars,15212000,Second,25200
2009,Black Alone or in Combination,Current Dollars,15212000,Third,42000
2009,Black Alone or in Combination,Current Dollars,15212000,Fourth,70114
2009,Black Alone or in Combination,Current Dollars,15212000,Top 5%,126300
2008,Black Alone or in Combination,Current Dollars,15056000,Lowest,13000
2008,Black Alone or in Combination,Current Dollars,15056000,Second,26200
2008,Black Alone or in Combination,Current Dollars,15056000,Third,42640
2008,Black Alone or in Combination,Current Dollars,15056000,Fourth,70812
2008,Black Alone or in Combination,Current Dollars,15056000,Top 5%,127565
2007,Black Alone or in Combination,Current Dollars,14976000,Lowest,12524
2007,Black Alone or in Combination,Current Dollars,14976000,Second,26000
2007,Black Alone or in Combination,Current Dollars,14976000,Third,43005
2007,Black Alone or in Combination,Current Dollars,14976000,Fourth,71000
2007,Black Alone or in Combination,Current Dollars,14976000,Top 5%,126400
2006,Black Alone or in Combination,Current Dollars,14709000,Lowest,12138
2006,Black Alone or in Combination,Current Dollars,14709000,Second,25000
2006,Black Alone or in Combination,Current Dollars,14709000,Third,40500
2006,Black Alone or in Combination,Current Dollars,14709000,Fourth,67600
2006,Black Alone or in Combination,Current Dollars,14709000,Top 5%,123460
2005,Black Alone or in Combination,Current Dollars,14399000,Lowest,11654
2005,Black Alone or in Combination,Current Dollars,14399000,Second,23090
2005,Black Alone or in Combination,Current Dollars,14399000,Third,39944
2005,Black Alone or in Combination,Current Dollars,14399000,Fourth,64297
2005,Black Alone or in Combination,Current Dollars,14399000,Top 5%,117957
2004,Black Alone or in Combination,Current Dollars,14151000,Lowest,11000
2004,Black Alone or in Combination,Current Dollars,14151000,Second,23000
2004,Black Alone or in Combination,Current Dollars,14151000,Third,37514
2004,Black Alone or in Combination,Current Dollars,14151000,Fourth,62814
2004,Black Alone or in Combination,Current Dollars,14151000,Top 5%,111920
2003,Black Alone or in Combination,Current Dollars,13969000,Lowest,11000
2003,Black Alone or in Combination,Current Dollars,13969000,Second,22690
2003,Black Alone or in Combination,Current Dollars,13969000,Third,38000
2003,Black Alone or in Combination,Current Dollars,13969000,Fourth,61824
2003,Black Alone or in Combination,Current Dollars,13969000,Top 5%,109148
2002,Black Alone or in Combination,Current Dollars,13778000,Lowest,11000
2002,Black Alone or in Combination,Current Dollars,13778000,Second,22276
2002,Black Alone or in Combination,Current Dollars,13778000,Third,36000
