year,race,dollar_type,income_quintile,income_dollars
1967,All Races,2019 Dollars,Highest,119594
1967,All Races,2019 Dollars,Top 5%,188653
2019,Asian Alone or in Combination,Current Dollars,Lowest,20883
2019,Asian Alone or in Combination,Current Dollars,Second,58185
2019,Asian Alone or in Combination,Current Dollars,Middle,97716
2019,Asian Alone or in Combination,Current Dollars,Fourth,152130
2019,Asian Alone or in Combination,Current Dollars,Highest,329303
2019,Asian Alone or in Combination,Current Dollars,Top 5%,569947
2018,Asian Alone or in Combination,Current Dollars,Lowest,16497
2018,Asian Alone or in Combination,Current Dollars,Second,50385
2018,Asian Alone or in Combination,Current Dollars,Middle,87068
2018,Asian Alone or in Combination,Current Dollars,Fourth,137293
2018,Asian Alone or in Combination,Current Dollars,Highest,303316
2018,Asian Alone or in Combination,Current Dollars,Top 5%,519251
2017,Asian Alone or in Combination,Current Dollars,Lowest,15455
2017,Asian Alone or in Combination,Current Dollars,Second,47873
2017,Asian Alone or in Combination,Current Dollars,Middle,81680
2017,Asian Alone or in Combination,Current Dollars,Fourth,132584
2017,Asian Alone or in Combination,Current Dollars,Highest,291009
2017,Asian Alone or in Combination,Current Dollars,Top 5%,502531
2016,Asian Alone or in Combination,Current Dollars,Lowest,15832
2016,Asian Alone or in Combination,Current Dollars,Second,47822
2016,Asian Alone or in Combination,Current Dollars,Middle,81183
2016,Asian Alone or in Combination,Current Dollars,Fourth,128205
2016,Asian Alone or in Combination,Current Dollars,Highest,261379
2016,Asian Alone or in Combination,Current Dollars,Top 5%,434398
2015,Asian Alone or in Combination,Current Dollars,Lowest,14120
2015,Asian Alone or in Combination,Current Dollars,Second,44700
2015,Asian Alone or in Combination,Current Dollars,Middle,77142
2015,Asian Alone or in Combination,Current Dollars,Fourth,123951
2015,Asian Alone or in Combination,Current Dollars,Highest,265748
2015,Asian Alone or in Combination,Current Dollars,Top 5%,458239
2014,Asian Alone or in Combination,Current Dollars,Lowest,14337
2014,Asian Alone or in Combination,Current Dollars,Second,42667
2014,Asian Alone or in Combination,Current Dollars,Middle,74819
2014,Asian Alone or in Combination,Current Dollars,Fourth,118204
2014,Asian Alone or in Combination,Current Dollars,Highest,240681
2014,Asian Alone or in Combination,Current Dollars,Top 5%,403263
2013,Asian Alone or in Combination,Current Dollars,Lowest,13602
2013,Asian Alone or in Combination,Current Dollars,Second,42984
2013,Asian Alone or in Combination,Current Dollars,Middle,73189
2013,Asian Alone or in Combination,Current Dollars,Fourth,114272
2013,Asian Alone or in Combination,Current Dollars,Highest,261343
2013,Asian Alone or in Combination,Current Dollars,Top 5%,472633
2012,Asian Alone or in Combination,Current Dollars,Lowest,13647
2012,Asian Alone or in Combination,Current Dollars,Second,40846
2012,Asian Alone or in Combination,Current Dollars,Middle,68398
2012,Asian Alone or in Combination,Current Dollars,Fourth,108002
2012,Asian Alone or in Combination,Current Dollars,Highest,227624
2012,Asian Alone or in Combination,Current Dollars,Top 5%,381659
2011,Asian Alone or in Combination,Current Dollars,Lowest,12756
2011,Asian Alone or in Combination,Current Dollars,Second,37454
2011,Asian Alone or in Combination,Current Dollars,Middle,64951
2011,Asian Alone or in Combination,Current Dollars,Fourth,100783
2011,Asian Alone or in Combination,Current Dollars,Highest,212978
2011,Asian Alone or in Combination,Current Dollars,Top 5%,366824
2010,Asian Alone or in Combination,Current Dollars,Lowest,12579
2010,Asian Alone or in Combination,Current Dollars,Second,37378
2010,Asian Alone or in Combination,Current Dollars,Middle,63927
2010,Asian Alone or in Combination,Current Dollars,Fourth,102546
2010,Asian Alone or in Combination,Current Dollars,Highest,202133
2010,Asian Alone or in Combination,Current Dollars,Top 5%,317875
2009,Asian Alone or in Combination,Current Dollars,Lowest,12168
2009,Asian Alone or in Combination,Current Dollars,Second,37123
2009,Asian Alone or in Combination,Current Dollars,Middle,64987
2009,Asian Alone or in Combination,Current Dollars,Fourth,103852
2009,Asian Alone or in Combination,Current Dollars,Highest,232420
2009,Asian Alone or in Combination,Current Dollars,Top 5%,423652
2008,Asian Alone or in Combination,Current Dollars,Lowest,12472
2008,Asian Alone or in Combination,Current Dollars,Second,36952
2008,Asian Alone or in Combination,Current Dollars,Middle,65348
2008,Asian Alone or in Combination,Current Dollars,Fourth,103928
2008,Asian Alone or in Combination,Current Dollars,Highest,212913
2008,Asian Alone or in Combination,Current Dollars,Top 5%,361971
2007,Asian Alone or in Combination,Current Dollars,Lowest,13242
2007,Asian Alone or in Combination,Current Dollars,Second,38899
2007,Asian Alone or in Combination,Current Dollars,Middle,66173
2007,Asian Alone or in Combination,Current Dollars,Fourth,101331
2007,Asian Alone or in Combination,Current Dollars,Highest,203161
2007,Asian Alone or in Combination,Current Dollars,Top 5%,338629
2006,Asian Alone or in Combination,Current Dollars,Lowest,13715
2006,Asian Alone or in Combination,Current Dollars,Second,38599
2006,Asian Alone or in Combination,Current Dollars,Middle,64237
2006,Asian Alone or in Combination,Current Dollars,Fourth,100731
2006,Asian Alone or in Combination,Current Dollars,Highest,220358
2006,Asian Alone or in Combination,Current Dollars,Top 5%,411314
2005,Asian Alone or in Combination,Current Dollars,Lowest,11775
2005,Asian Alone or in Combination,Current Dollars,Second,36750
2005,Asian Alone or in Combination,Current Dollars,Middle,61199
2005,Asian Alone or in Combination,Current Dollars,Fourth,94752
2005,Asian Alone or in Combination,Current Dollars,Highest,195510
2005,Asian Alone or in Combination,Current Dollars,Top 5%,324082
2004,Asian Alone or in Combination,Current Dollars,Lowest,12122
2004,Asian Alone or in Combination,Current Dollars,Second,34952
2004,Asian Alone or in Combination,Current Dollars,Middle,57658
2004,Asian Alone or in Combination,Current Dollars,Fourth,88814
2004,Asian Alone or in Combination,Current Dollars,Highest,187108
2004,Asian Alone or in Combination,Current Dollars,Top 5%,327656
2003,Asian Alone or in Combination,Current Dollars,Lowest,9336
2003,Asian Alone or in Combination,Current Dollars,Second,31489
2003,Asian Alone or in Combination,Current Dollars,Middle,55103
2003,Asian Alone or in Combination,Current Dollars,Fourth,85235
2003,Asian Alone or in Combination,Current Dollars,Highest,165897
2003,Asian Alone or in Combination,Current Dollars,Top 5%,262813
2002,Asian Alone or in Combination,Current Dollars,Lowest,11379
2002,Asian Alone or in Combination,Current Dollars,Second,31742
2002,Asian Alone or in Combination,Current Dollars,Middle,52784
2002,Asian Alone or in Combination,Current Dollars,Fourth,82569
2002,Asian Alone or in Combination,Current Dollars,Highest,168907
2002,Asian Alone or in Combination,Current Dollars,Top 5%,286901
2019,Asian Alone or in Combination,Current Dollars,Lowest,20636
2019,Asian Alone or in Combination,Current Dollars,Second,58300
2019,Asian Alone or in Combination,Current Dollars,Middle,98709
2019,Asian Alone or in Combination,Current Dollars,Fourth,153721
2019,Asian Alone or in Combination,Current Dollars,Highest,334188
2019,Asian Alone or in Combination,Current Dollars,Top 5%,577189
2018,Asian Alone or in Combination,Current Dollars,Lowest,16432
2018,Asian Alone or in Combination,Current Dollars,Second,50414
2018,Asian Alone or in Combination,Current Dollars,Middle,87646
2018,Asian Alone or in Combination,Current Dollars,Fourth,138332
2018,Asian Alone or in Combination,Current Dollars,Highest,306257
2018,Asian Alone or in Combination,Current Dollars,Top 5%,526475
2017,Asian Alone or in Combination,Current Dollars,Lowest,15398
2017,Asian Alone or in Combination,Current Dollars,Second,48302
2017,Asian Alone or in Combination,Current Dollars,Middle,82267
2017,Asian Alone or in Combination,Current Dollars,Fourth,133338
2017,Asian Alone or in Combination,Current Dollars,Highest,291220
2017,Asian Alone or in Combination,Current Dollars,Top 5%,502176
2016,Asian Alone or in Combination,Current Dollars,Lowest,15963
2016,Asian Alone or in Combination,Current Dollars,Second,48347
2016,Asian Alone or in Combination,Current Dollars,Middle,82029
2016,Asian Alone or in Combination,Current Dollars,Fourth,129454
2016,Asian Alone or in Combination,Current Dollars,Highest,264169
2016,Asian Alone or in Combination,Current Dollars,Top 5%,439625
2015,Asian Alone or in Combination,Current Dollars,Lowest,14425
2015,Asian Alone or in Combination,Current Dollars,Second,45144
2015,Asian Alone or in Combination,Current Dollars,Middle,77801
2015,Asian Alone or in Combination,Current Dollars,Fourth,124526
2015,Asian Alone or in Combination,Current Dollars,Highest,265187
2015,Asian Alone or in Combination,Current Dollars,Top 5%,454013
2014,Asian Alone or in Combination,Current Dollars,Lowest,13979
2014,Asian Alone or in Combination,Current Dollars,Second,42192
2014,Asian Alone or in Combination,Current Dollars,Middle,74558
2014,Asian Alone or in Combination,Current Dollars,Fourth,118603
2014,Asian Alone or in Combination,Current Dollars,Highest,238476
2014,Asian Alone or in Combination,Current Dollars,Top 5%,394485
2013,Asian Alone or in Combination,Current Dollars,Lowest,13430
2013,Asian Alone or in Combination,Current Dollars,Second,43276
2013,Asian Alone or in Combination,Current Dollars,Middle,73189
2013,Asian Alone or in Combination,Current Dollars,Fourth,114830
2013,Asian Alone or in Combination,Current Dollars,Highest,261320
2013,Asian Alone or in Combination,Current Dollars,Top 5%,469734
2012,Asian Alone or in Combination,Current Dollars,Lowest,13493
2012,Asian Alone or in Combination,Current Dollars,Second,40808
2012,Asian Alone or in Combination,Current Dollars,Middle,68776
2012,Asian Alone or in Combination,Current Dollars,Fourth,108126
2012,Asian Alone or in Combination,Current Dollars,Highest,225799
2012,Asian Alone or in Combination,Current Dollars,Top 5%,375200
2011,Asian Alone or in Combination,Current Dollars,Lowest,12817
2011,Asian Alone or in Combination,Current Dollars,Second,37562
2011,Asian Alone or in Combination,Current Dollars,Middle,65023
2011,Asian Alone or in Combination,Current Dollars,Fourth,100676
2011,Asian Alone or in Combination,Current Dollars,Highest,212142
2011,Asian Alone or in Combination,Current Dollars,Top 5%,367001
2010,Asian Alone or in Combination,Current Dollars,Lowest,12377
2010,Asian Alone or in Combination,Current Dollars,Second,37576
2010,Asian Alone or in Combination,Current Dollars,Middle,64685
2010,Asian Alone or in Combination,Current Dollars,Fourth,103950
2010,Asian Alone or in Combination,Current Dollars,Highest,204333
2010,Asian Alone or in Combination,Current Dollars,Top 5%,321998
2009,Asian Alone or in Combination,Current Dollars,Lowest,12216
2009,Asian Alone or in Combination,Current Dollars,Second,37446
2009,Asian Alone or in Combination,Current Dollars,Middle,65450
2009,Asian Alone or in Combination,Current Dollars,Fourth,104417
2009,Asian Alone or in Combination,Current Dollars,Highest,234525
2009,Asian Alone or in Combination,Current Dollars,Top 5%,430592
2008,Asian Alone or in Combination,Current Dollars,Lowest,12281
2008,Asian Alone or in Combination,Current Dollars,Second,36889
2008,Asian Alone or in Combination,Current Dollars,Middle,65359
2008,Asian Alone or in Combination,Current Dollars,Fourth,104312
2008,Asian Alone or in Combination,Current Dollars,Highest,212083
2008,Asian Alone or in Combination,Current Dollars,Top 5%,358178
2007,Asian Alone or in Combination,Current Dollars,Lowest,13238
2007,Asian Alone or in Combination,Current Dollars,Second,38970
2007,Asian Alone or in Combination,Current Dollars,Middle,66453
2007,Asian Alone or in Combination,Current Dollars,Fourth,101738
2007,Asian Alone or in Combination,Current Dollars,Highest,204693
2007,Asian Alone or in Combination,Current Dollars,Top 5%,343273
2006,Asian Alone or in Combination,Current Dollars,Lowest,13574
2006,Asian Alone or in Combination,Current Dollars,Second,38433
2006,Asian Alone or in Combination,Current Dollars,Middle,64448
2006,Asian Alone or in Combination,Current Dollars,Fourth,101302
2006,Asian Alone or in Combination,Current Dollars,Highest,223707
2006,Asian Alone or in Combination,Current Dollars,Top 5%,419122
2005,Asian Alone or in Combination,Current Dollars,Lowest,11665
2005,Asian Alone or in Combination,Current Dollars,Second,36744
2005,Asian Alone or in Combination,Current Dollars,Middle,61247
2005,Asian Alone or in Combination,Current Dollars,Fourth,94913
2005,Asian Alone or in Combination,Current Dollars,Highest,195912
2005,Asian Alone or in Combination,Current Dollars,Top 5%,323921
2004,Asian Alone or in Combination,Current Dollars,Lowest,12117
2004,Asian Alone or in Combination,Current Dollars,Second,34967
2004,Asian Alone or in Combination,Current Dollars,Middle,57834
2004,Asian Alone or in Combination,Current Dollars,Fourth,89374
2004,Asian Alone or in Combination,Current Dollars,Highest,188292
2004,Asian Alone or in Combination,Current Dollars,Top 5%,329075
2003,Asian Alone or in Combination,Current Dollars,Lowest,9226
2003,Asian Alone or in Combination,Current Dollars,Second,31619
2003,Asian Alone or in Combination,Current Dollars,Middle,55536
2003,Asian Alone or in Combination,Current Dollars,Fourth,85895
2003,Asian Alone or in Combination,Current Dollars,Highest,167590
2003,Asian Alone or in Combination,Current Dollars,Top 5%,266087
2002,Asian Alone or in Combination,Current Dollars,Lowest,11453
2002,Asian Alone or in Combination,Current Dollars,Second,31774
2002,Asian Alone or in Combination,Current Dollars,Middle,53086
2002,Asian Alone or in Combination,Current Dollars,Fourth,83135
2002,Asian Alone or in Combination,Current Dollars,Highest,170787
2002,Asian Alone or in Combination,Current Dollars,Top 5%,290931
2019,Asian Alone,2019 Dollars,Lowest,20883
2019,Asian Alone,2019 Dollars,Second,58185
2019,Asian Alone,2019 Dollars,Middle,97716
2019,Asian Alone,2019 Dollars,Fourth,152130
2019,Asian Alone,2019 Dollars,Highest,329303
2019,Asian Alone,2019 Dollars,Top 5%,569947
2018,Asian Alone,2019 Dollars,Lowest,16796
2018,Asian Alone,2019 Dollars,Second,51298
2018,Asian Alone,2019 Dollars,Middle,88645
2018,Asian Alone,2019 Dollars,Fourth,139780
2018,Asian Alone,2019 Dollars,Highest,308811
2018,Asian Alone,2019 Dollars,Top 5%,528659
2017,Asian Alone,2019 Dollars,Lowest,16119
2017,Asian Alone,2019 Dollars,Second,49928
2017,Asian Alone,2019 Dollars,Middle,85187
2017,Asian Alone,2019 Dollars,Fourth,138277
2017,Asian Alone,2019 Dollars,Highest,303504
2017,Asian Alone,2019 Dollars,Top 5%,524108
2016,Asian Alone,2019 Dollars,Lowest,16867
2016,Asian Alone,2019 Dollars,Second,50948
2016,Asian Alone,2019 Dollars,Middle,86490
2016,Asian Alone,2019 Dollars,Fourth,136585
2016,Asian Alone,2019 Dollars,Highest,278464
2016,Asian Alone,2019 Dollars,Top 5%,462792
2015,Asian Alone,2019 Dollars,Lowest,15237
2015,Asian Alone,2019 Dollars,Second,48236
2015,Asian Alone,2019 Dollars,Middle,83244
2015,Asian Alone,2019 Dollars,Fourth,133756
2015,Asian Alone,2019 Dollars,Highest,286770
2015,Asian Alone,2019 Dollars,Top 5%,494488
2014,Asian Alone,2019 Dollars,Lowest,15498
2014,Asian Alone,2019 Dollars,Second,46122
2014,Asian Alone,2019 Dollars,Middle,80877
2014,Asian Alone,2019 Dollars,Fourth,127774
2014,Asian Alone,2019 Dollars,Highest,260168
2014,Asian Alone,2019 Dollars,Top 5%,435913
2013,Asian Alone,2019 Dollars,Lowest,14952
2013,Asian Alone,2019 Dollars,Second,47251
2013,Asian Alone,2019 Dollars,Middle,80454
2013,Asian Alone,2019 Dollars,Fourth,125616
2013,Asian Alone,2019 Dollars,Highest,287287
2013,Asian Alone,2019 Dollars,Top 5%,519551
2012,Asian Alone,2019 Dollars,Lowest,15224
2012,Asian Alone,2019 Dollars,Second,45566
2012,Asian Alone,2019 Dollars,Middle,76302
2012,Asian Alone,2019 Dollars,Fourth,120482
2012,Asian Alone,2019 Dollars,Highest,253927
2012,Asian Alone,2019 Dollars,Top 5%,425762
2011,Asian Alone,2019 Dollars,Lowest,14531
2011,Asian Alone,2019 Dollars,Second,42667
2011,Asian Alone,2019 Dollars,Middle,73991
2011,Asian Alone,2019 Dollars,Fourth,114810
2011,Asian Alone,2019 Dollars,Highest,242621
2011,Asian Alone,2019 Dollars,Top 5%,417880
2010,Asian Alone,2019 Dollars,Lowest,14782
2010,Asian Alone,2019 Dollars,Second,43923
2010,Asian Alone,2019 Dollars,Middle,75120
2010,Asian Alone,2019 Dollars,Fourth,120501
2010,Asian Alone,2019 Dollars,Highest,237525
2010,Asian Alone,2019 Dollars,Top 5%,373533
2009,Asian Alone,2019 Dollars,Lowest,14534
2009,Asian Alone,2019 Dollars,Second,44343
2009,Asian Alone,2019 Dollars,Middle,77626
2009,Asian Alone,2019 Dollars,Fourth,124049
2009,Asian Alone,2019 Dollars,Highest,277621
2009,Asian Alone,2019 Dollars,Top 5%,506044
2008,Asian Alone,2019 Dollars,Lowest,14846
2008,Asian Alone,2019 Dollars,Second,43985
2008,Asian Alone,2019 Dollars,Middle,77785
2008,Asian Alone,2019 Dollars,Fourth,123708
2008,Asian Alone,2019 Dollars,Highest,253436
2008,Asian Alone,2019 Dollars,Top 5%,430863
2007,Asian Alone,2019 Dollars,Lowest,16368
2007,Asian Alone,2019 Dollars,Second,48081
2007,Asian Alone,2019 Dollars,Middle,81793
2007,Asian Alone,2019 Dollars,Fourth,125250
2007,Asian Alone,2019 Dollars,Highest,251117
2007,Asian Alone,2019 Dollars,Top 5%,418561
2006,Asian Alone,2019 Dollars,Lowest,17433
2006,Asian Alone,2019 Dollars,Second,49063
2006,Asian Alone,2019 Dollars,Middle,81652
2006,Asian Alone,2019 Dollars,Fourth,128039
2006,Asian Alone,2019 Dollars,Highest,280097
2006,Asian Alone,2019 Dollars,Top 5%,522821
2005,Asian Alone,2019 Dollars,Lowest,15452
2005,Asian Alone,2019 Dollars,Second,48227
2005,Asian Alone,2019 Dollars,Middle,80312
2005,Asian Alone,2019 Dollars,Fourth,124343
2005,Asian Alone,2019 Dollars,Highest,256569
2005,Asian Alone,2019 Dollars,Top 5%,425294
2004,Asian Alone,2019 Dollars,Lowest,16447
2004,Asian Alone,2019 Dollars,Second,47421
2004,Asian Alone,2019 Dollars,Middle,78228
2004,Asian Alone,2019 Dollars,Fourth,120499
2004,Asian Alone,2019 Dollars,Highest,253860
2004,Asian Alone,2019 Dollars,Top 5%,444549
2003,Asian Alone,2019 Dollars,Lowest,13009
2003,Asian Alone,2019 Dollars,Second,43877
2003,Asian Alone,2019 Dollars,Middle,76781
2003,Asian Alone,2019 Dollars,Fourth,118767
2003,Asian Alone,2019 Dollars,Highest,231163
2003,Asian Alone,2019 Dollars,Top 5%,366207
2002,Asian Alone,2019 Dollars,Lowest,16216
2002,Asian Alone,2019 Dollars,Second,45234
2002,Asian Alone,2019 Dollars,Middle,75220
2002,Asian Alone,2019 Dollars,Fourth,117666
2002,Asian Alone,2019 Dollars,Highest,240702
2002,Asian Alone,2019 Dollars,Top 5%,408850
2019,Asian Alone,2019 Dollars,Lowest,20636
2019,Asian Alone,2019 Dollars,Second,58300
2019,Asian Alone,2019 Dollars,Middle,98709
2019,Asian Alone,2019 Dollars,Fourth,153721
2019,Asian Alone,2019 Dollars,Highest,334188
2019,Asian Alone,2019 Dollars,Top 5%,577189
2018,Asian Alone,2019 Dollars,Lowest,16730
2018,Asian Alone,2019 Dollars,Second,51327
2018,Asian Alone,2019 Dollars,Middle,89234
2018,Asian Alone,2019 Dollars,Fourth,140838
2018,Asian Alone,2019 Dollars,Highest,311806
2018,Asian Alone,2019 Dollars,Top 5%,536014
2017,Asian Alone,2019 Dollars,Lowest,16059
2017,Asian Alone,2019 Dollars,Second,50376
2017,Asian Alone,2019 Dollars,Middle,85799
2017,Asian Alone,2019 Dollars,Fourth,139063
2017,Asian Alone,2019 Dollars,Highest,303724
2017,Asian Alone,2019 Dollars,Top 5%,523738
2016,Asian Alone,2019 Dollars,Lowest,17006
2016,Asian Alone,2019 Dollars,Second,51507
2016,Asian Alone,2019 Dollars,Middle,87391
2016,Asian Alone,2019 Dollars,Fourth,137916
2016,Asian Alone,2019 Dollars,Highest,281436
2016,Asian Alone,2019 Dollars,Top 5%,468361
2015,Asian Alone,2019 Dollars,Lowest,15566
2015,Asian Alone,2019 Dollars,Second,48715
2015,Asian Alone,2019 Dollars,Middle,83956
2015,Asian Alone,2019 Dollars,Fourth,134377
2015,Asian Alone,2019 Dollars,Highest,286165
2015,Asian Alone,2019 Dollars,Top 5%,489928
2014,Asian Alone,2019 Dollars,Lowest,15111
2014,Asian Alone,2019 Dollars,Second,45608
2014,Asian Alone,2019 Dollars,Middle,80595
2014,Asian Alone,2019 Dollars,Fourth,128206
2014,Asian Alone,2019 Dollars,Highest,257784
2014,Asian Alone,2019 Dollars,Top 5%,426424
2013,Asian Alone,2019 Dollars,Lowest,14763
2013,Asian Alone,2019 Dollars,Second,47572
2013,Asian Alone,2019 Dollars,Middle,80454
2013,Asian Alone,2019 Dollars,Fourth,126229
2013,Asian Alone,2019 Dollars,Highest,287261
2013,Asian Alone,2019 Dollars,Top 5%,516365
2012,Asian Alone,2019 Dollars,Lowest,15052
2012,Asian Alone,2019 Dollars,Second,45524
2012,Asian Alone,2019 Dollars,Middle,76723
2012,Asian Alone,2019 Dollars,Fourth,120621
2012,Asian Alone,2019 Dollars,Highest,251891
2012,Asian Alone,2019 Dollars,Top 5%,418556
2011,Asian Alone,2019 Dollars,Lowest,14601
2011,Asian Alone,2019 Dollars,Second,42790
2011,Asian Alone,2019 Dollars,Middle,74073
2011,Asian Alone,2019 Dollars,Fourth,114688
2011,Asian Alone,2019 Dollars,Highest,241669
2011,Asian Alone,2019 Dollars,Top 5%,418081
2010,Asian Alone,2019 Dollars,Lowest,14544
2010,Asian Alone,2019 Dollars,Second,44155
2010,Asian Alone,2019 Dollars,Middle,76011
2010,Asian Alone,2019 Dollars,Fourth,122151
2010,Asian Alone,2019 Dollars,Highest,240110
2010,Asian Alone,2019 Dollars,Top 5%,378378
2009,Asian Alone,2019 Dollars,Lowest,14592
2009,Asian Alone,2019 Dollars,Second,44728
2009,Asian Alone,2019 Dollars,Middle,78179
2009,Asian Alone,2019 Dollars,Fourth,124724
2009,Asian Alone,2019 Dollars,Highest,280135
2009,Asian Alone,2019 Dollars,Top 5%,514333
2008,Asian Alone,2019 Dollars,Lowest,14618
2008,Asian Alone,2019 Dollars,Second,43910
2008,Asian Alone,2019 Dollars,Middle,77798
2008,Asian Alone,2019 Dollars,Fourth,124165
2008,Asian Alone,2019 Dollars,Highest,252448
2008,Asian Alone,2019 Dollars,Top 5%,426348
2007,Asian Alone,2019 Dollars,Lowest,16363
2007,Asian Alone,2019 Dollars,Second,48169
2007,Asian Alone,2019 Dollars,Middle,82139
2007,Asian Alone,2019 Dollars,Fourth,125753
2007,Asian Alone,2019 Dollars,Highest,253010
2007,Asian Alone,2019 Dollars,Top 5%,424302
2006,Asian Alone,2019 Dollars,Lowest,17254
2006,Asian Alone,2019 Dollars,Second,48852
2006,Asian Alone,2019 Dollars,Middle,81920
2006,Asian Alone,2019 Dollars,Fourth,128765
2006,Asian Alone,2019 Dollars,Highest,284354
2006,Asian Alone,2019 Dollars,Top 5%,532746
2005,Asian Alone,2019 Dollars,Lowest,15308
2005,Asian Alone,2019 Dollars,Second,48219
2005,Asian Alone,2019 Dollars,Middle,80375
2005,Asian Alone,2019 Dollars,Fourth,124555
2005,Asian Alone,2019 Dollars,Highest,257096
2005,Asian Alone,2019 Dollars,Top 5%,425083
2004,Asian Alone,2019 Dollars,Lowest,16440
2004,Asian Alone,2019 Dollars,Second,47442
2004,Asian Alone,2019 Dollars,Middle,78467
2004,Asian Alone,2019 Dollars,Fourth,121259
2004,Asian Alone,2019 Dollars,Highest,255466
2004,Asian Alone,2019 Dollars,Top 5%,446475
2003,Asian Alone,2019 Dollars,Lowest,12856
2003,Asian Alone,2019 Dollars,Second,44058
2003,Asian Alone,2019 Dollars,Middle,77385
2003,Asian Alone,2019 Dollars,Fourth,119687
2003,Asian Alone,2019 Dollars,Highest,233522
2003,Asian Alone,2019 Dollars,Top 5%,370769
2002,Asian Alone,2019 Dollars,Lowest,16321
2002,Asian Alone,2019 Dollars,Second,45280
2002,Asian Alone,2019 Dollars,Middle,75651
2002,Asian Alone,2019 Dollars,Fourth,118472
2002,Asian Alone,2019 Dollars,Highest,243381
2002,Asian Alone,2019 Dollars,Top 5%,414593
2019,Black Alone or in Combination,Current Dollars,Lowest,8884
2019,Black Alone or in Combination,Current Dollars,Second,26027
2019,Black Alone or in Combination,Current Dollars,Middle,45996
2019,Black Alone or in Combination,Current Dollars,Fourth,76372
2019,Black Alone or in Combination,Current Dollars,Highest,182341
2019,Black Alone or in Combination,Current Dollars,Top 5%,325902
2018,Black Alone or in Combination,Current Dollars,Lowest,7686
2018,Black Alone or in Combination,Current Dollars,Second,23523
2018,Black Alone or in Combination,Current Dollars,Middle,41835
2018,Black Alone or in Combination,Current Dollars,Fourth,68949
2018,Black Alone or in Combination,Current Dollars,Highest,154822
2018,Black Alone or in Combination,Current Dollars,Top 5%,255337
2017,Black Alone or in Combination,Current Dollars,Lowest,7630
2017,Black Alone or in Combination,Current Dollars,Second,22972
2017,Black Alone or in Combination,Current Dollars,Middle,40694
2017,Black Alone or in Combination,Current Dollars,Fourth,68360
2017,Black Alone or in Combination,Current Dollars,Highest,155269
2017,Black Alone or in Combination,Current Dollars,Top 5%,268795
2016,Black Alone or in Combination,Current Dollars,Lowest,7495
2016,Black Alone or in Combination,Current Dollars,Second,22302
2016,Black Alone or in Combination,Current Dollars,Middle,39787
2016,Black Alone or in Combination,Current Dollars,Fourth,65921
2016,Black Alone or in Combination,Current Dollars,Highest,155103
2016,Black Alone or in Combination,Current Dollars,Top 5%,280843
2015,Black Alone or in Combination,Current Dollars,Lowest,7044
2015,Black Alone or in Combination,Current Dollars,Second,20738
2015,Black Alone or in Combination,Current Dollars,Middle,37544
2015,Black Alone or in Combination,Current Dollars,Fourth,62999
2015,Black Alone or in Combination,Current Dollars,Highest,145702
2015,Black Alone or in Combination,Current Dollars,Top 5%,256167
2014,Black Alone or in Combination,Current Dollars,Lowest,6755
2014,Black Alone or in Combination,Current Dollars,Second,20032
2014,Black Alone or in Combination,Current Dollars,Middle,35629
2014,Black Alone or in Combination,Current Dollars,Fourth,59089
2014,Black Alone or in Combination,Current Dollars,Highest,136597
2014,Black Alone or in Combination,Current Dollars,Top 5%,232881
2013,Black Alone or in Combination,Current Dollars,Lowest,6686
2013,Black Alone or in Combination,Current Dollars,Second,20115
2013,Black Alone or in Combination,Current Dollars,Middle,35610
2013,Black Alone or in Combination,Current Dollars,Fourth,58211
2013,Black Alone or in Combination,Current Dollars,Highest,137746
2013,Black Alone or in Combination,Current Dollars,Top 5%,238493
2012,Black Alone or in Combination,Current Dollars,Lowest,6619
2012,Black Alone or in Combination,Current Dollars,Second,18767
2012,Black Alone or in Combination,Current Dollars,Middle,33876
2012,Black Alone or in Combination,Current Dollars,Fourth,56621
2012,Black Alone or in Combination,Current Dollars,Highest,124916
2012,Black Alone or in Combination,Current Dollars,Top 5%,207413
2011,Black Alone or in Combination,Current Dollars,Lowest,6263
2011,Black Alone or in Combination,Current Dollars,Second,17825
2011,Black Alone or in Combination,Current Dollars,Middle,32632
2011,Black Alone or in Combination,Current Dollars,Fourth,55229
2011,Black Alone or in Combination,Current Dollars,Highest,125582
2011,Black Alone or in Combination,Current Dollars,Top 5%,216220
2010,Black Alone or in Combination,Current Dollars,Lowest,5979
2010,Black Alone or in Combination,Current Dollars,Second,17832
2010,Black Alone or in Combination,Current Dollars,Middle,32302
2010,Black Alone or in Combination,Current Dollars,Fourth,53704
2010,Black Alone or in Combination,Current Dollars,Highest,117678
2010,Black Alone or in Combination,Current Dollars,Top 5%,195673
2009,Black Alone or in Combination,Current Dollars,Lowest,6675
2009,Black Alone or in Combination,Current Dollars,Second,18973
2009,Black Alone or in Combination,Current Dollars,Middle,33069
2009,Black Alone or in Combination,Current Dollars,Fourth,54423
2009,Black Alone or in Combination,Current Dollars,Highest,118259
2009,Black Alone or in Combination,Current Dollars,Top 5%,199353
2008,Black Alone or in Combination,Current Dollars,Lowest,6893
2008,Black Alone or in Combination,Current Dollars,Second,19672
2008,Black Alone or in Combination,Current Dollars,Middle,34095
2008,Black Alone or in Combination,Current Dollars,Fourth,54788
2008,Black Alone or in Combination,Current Dollars,Highest,117946
2008,Black Alone or in Combination,Current Dollars,Top 5%,192679
