year,race,number,income_median,income_med_moe,income_mean,income_mean_moe,income_bracket,income_distribution
1983,White Alone,74376000,53616,399,64761,415,"$200,000 and over",2.4
1982,White Alone,73182000,53902,403,64607,416,"Under $15,000",11
1982,White Alone,73182000,53902,403,64607,416,"$15,000 to $24,999",10.2
1982,White Alone,73182000,53902,403,64607,416,"$25,000 to $34,999",10.5
1982,White Alone,73182000,53902,403,64607,416,"$35,000 to $49,999",14.7
1982,White Alone,73182000,53902,403,64607,416,"$50,000 to $74,999",21.3
1982,White Alone,73182000,53902,403,64607,416,"$75,000 to $99,999",14
1982,White Alone,73182000,53902,403,64607,416,"$100,000 to $149,999",12.5
1982,White Alone,73182000,53902,403,64607,416,"$150,000 to $199,999",3.6
1982,White Alone,73182000,53902,403,64607,416,"$200,000 and over",2.3
1981,White Alone,72845000,54548,414,64262,401,"Under $15,000",10.8
1981,White Alone,72845000,54548,414,64262,401,"$15,000 to $24,999",10.2
1981,White Alone,72845000,54548,414,64262,401,"$25,000 to $34,999",10.7
1981,White Alone,72845000,54548,414,64262,401,"$35,000 to $49,999",14.4
1981,White Alone,72845000,54548,414,64262,401,"$50,000 to $74,999",21.2
1981,White Alone,72845000,54548,414,64262,401,"$75,000 to $99,999",14.7
1981,White Alone,72845000,54548,414,64262,401,"$100,000 to $149,999",12.6
1981,White Alone,72845000,54548,414,64262,401,"$150,000 to $199,999",3.4
1981,White Alone,72845000,54548,414,64262,401,"$200,000 and over",2
1980,White Alone,71872000,55346,468,64911,409,"Under $15,000",10.6
1980,White Alone,71872000,55346,468,64911,409,"$15,000 to $24,999",10.1
1980,White Alone,71872000,55346,468,64911,409,"$25,000 to $34,999",10
1980,White Alone,71872000,55346,468,64911,409,"$35,000 to $49,999",14.6
1980,White Alone,71872000,55346,468,64911,409,"$50,000 to $74,999",21.8
1980,White Alone,71872000,55346,468,64911,409,"$75,000 to $99,999",14.7
1980,White Alone,71872000,55346,468,64911,409,"$100,000 to $149,999",12.7
1980,White Alone,71872000,55346,468,64911,409,"$150,000 to $199,999",3.5
1980,White Alone,71872000,55346,468,64911,409,"$200,000 and over",2
1979,White Alone,70766000,56851,444,66950,439,"Under $15,000",10.4
1979,White Alone,70766000,56851,444,66950,439,"$15,000 to $24,999",9.5
1979,White Alone,70766000,56851,444,66950,439,"$25,000 to $34,999",9.9
1979,White Alone,70766000,56851,444,66950,439,"$35,000 to $49,999",14.3
1979,White Alone,70766000,56851,444,66950,439,"$50,000 to $74,999",21
1979,White Alone,70766000,56851,444,66950,439,"$75,000 to $99,999",15.8
1979,White Alone,70766000,56851,444,66950,439,"$100,000 to $149,999",13
1979,White Alone,70766000,56851,444,66950,439,"$150,000 to $199,999",3.6
1979,White Alone,70766000,56851,444,66950,439,"$200,000 and over",2.3
1978,White Alone,68028000,56475,409,66309,439,"Under $15,000",10.2
1978,White Alone,68028000,56475,409,66309,439,"$15,000 to $24,999",9.9
1978,White Alone,68028000,56475,409,66309,439,"$25,000 to $34,999",9.9
1978,White Alone,68028000,56475,409,66309,439,"$35,000 to $49,999",14.2
1978,White Alone,68028000,56475,409,66309,439,"$50,000 to $74,999",21.4
1978,White Alone,68028000,56475,409,66309,439,"$75,000 to $99,999",15.7
1978,White Alone,68028000,56475,409,66309,439,"$100,000 to $149,999",13
1978,White Alone,68028000,56475,409,66309,439,"$150,000 to $199,999",3.4
1978,White Alone,68028000,56475,409,66309,439,"$200,000 and over",2.2
1977,White Alone,66934000,54999,380,64467,342,"Under $15,000",10.5
1977,White Alone,66934000,54999,380,64467,342,"$15,000 to $24,999",10.5
1977,White Alone,66934000,54999,380,64467,342,"$25,000 to $34,999",10.2
1977,White Alone,66934000,54999,380,64467,342,"$35,000 to $49,999",14.1
1977,White Alone,66934000,54999,380,64467,342,"$50,000 to $74,999",21.9
1977,White Alone,66934000,54999,380,64467,342,"$75,000 to $99,999",15.5
1977,White Alone,66934000,54999,380,64467,342,"$100,000 to $149,999",12.3
1977,White Alone,66934000,54999,380,64467,342,"$150,000 to $199,999",3.1
1977,White Alone,66934000,54999,380,64467,342,"$200,000 and over",2
1976,White Alone,65353000,54443,371,63485,337,"Under $15,000",10.7
1976,White Alone,65353000,54443,371,63485,337,"$15,000 to $24,999",10.5
1976,White Alone,65353000,54443,371,63485,337,"$25,000 to $34,999",10
1976,White Alone,65353000,54443,371,63485,337,"$35,000 to $49,999",14.8
1976,White Alone,65353000,54443,371,63485,337,"$50,000 to $74,999",22.3
1976,White Alone,65353000,54443,371,63485,337,"$75,000 to $99,999",15.2
1976,White Alone,65353000,54443,371,63485,337,"$100,000 to $149,999",11.9
1976,White Alone,65353000,54443,371,63485,337,"$150,000 to $199,999",2.8
1976,White Alone,65353000,54443,371,63485,337,"$200,000 and over",1.9
1975,White Alone,64392000,53464,321,61904,335,"Under $15,000",11
1975,White Alone,64392000,53464,321,61904,335,"$15,000 to $24,999",10.8
1975,White Alone,64392000,53464,321,61904,335,"$25,000 to $34,999",10.5
1975,White Alone,64392000,53464,321,61904,335,"$35,000 to $49,999",14.6
1975,White Alone,64392000,53464,321,61904,335,"$50,000 to $74,999",22.7
1975,White Alone,64392000,53464,321,61904,335,"$75,000 to $99,999",14.9
1975,White Alone,64392000,53464,321,61904,335,"$100,000 to $149,999",11.2
1975,White Alone,64392000,53464,321,61904,335,"$150,000 to $199,999",2.6
1975,White Alone,64392000,53464,321,61904,335,"$200,000 and over",1.6
1974,White Alone,62984000,54904,339,63667,339,"Under $15,000",10.6
1974,White Alone,62984000,54904,339,63667,339,"$15,000 to $24,999",10
1974,White Alone,62984000,54904,339,63667,339,"$25,000 to $34,999",9.7
1974,White Alone,62984000,54904,339,63667,339,"$35,000 to $49,999",15.2
1974,White Alone,62984000,54904,339,63667,339,"$50,000 to $74,999",22.7
1974,White Alone,62984000,54904,339,63667,339,"$75,000 to $99,999",15.6
1974,White Alone,62984000,54904,339,63667,339,"$100,000 to $149,999",11.6
1974,White Alone,62984000,54904,339,63667,339,"$150,000 to $199,999",2.9
1974,White Alone,62984000,54904,339,63667,339,"$200,000 and over",1.8
1973,White Alone,61965000,56821,356,65124,339,"Under $15,000",10.5
1973,White Alone,61965000,56821,356,65124,339,"$15,000 to $24,999",10
1973,White Alone,61965000,56821,356,65124,339,"$25,000 to $34,999",9.1
1973,White Alone,61965000,56821,356,65124,339,"$35,000 to $49,999",14
1973,White Alone,61965000,56821,356,65124,339,"$50,000 to $74,999",22.8
1973,White Alone,61965000,56821,356,65124,339,"$75,000 to $99,999",15.6
1973,White Alone,61965000,56821,356,65124,339,"$100,000 to $149,999",12.6
1973,White Alone,61965000,56821,356,65124,339,"$150,000 to $199,999",3.2
1973,White Alone,61965000,56821,356,65124,339,"$200,000 and over",2.1
1972,White Alone,60618000,55752,352,64257,343,"Under $15,000",11.2
1972,White Alone,60618000,55752,352,64257,343,"$15,000 to $24,999",9.6
1972,White Alone,60618000,55752,352,64257,343,"$25,000 to $34,999",9.5
1972,White Alone,60618000,55752,352,64257,343,"$35,000 to $49,999",14.6
1972,White Alone,60618000,55752,352,64257,343,"$50,000 to $74,999",23.2
1972,White Alone,60618000,55752,352,64257,343,"$75,000 to $99,999",15.4
1972,White Alone,60618000,55752,352,64257,343,"$100,000 to $149,999",11.7
1972,White Alone,60618000,55752,352,64257,343,"$150,000 to $199,999",2.9
1972,White Alone,60618000,55752,352,64257,343,"$200,000 and over",2
1971,White Alone,59463000,53303,334,60731,325,"Under $15,000",12.1
1971,White Alone,59463000,53303,334,60731,325,"$15,000 to $24,999",9.5
1971,White Alone,59463000,53303,334,60731,325,"$25,000 to $34,999",10.2
1971,White Alone,59463000,53303,334,60731,325,"$35,000 to $49,999",15
1971,White Alone,59463000,53303,334,60731,325,"$50,000 to $74,999",24.4
1971,White Alone,59463000,53303,334,60731,325,"$75,000 to $99,999",14.5
1971,White Alone,59463000,53303,334,60731,325,"$100,000 to $149,999",10.4
1971,White Alone,59463000,53303,334,60731,325,"$150,000 to $199,999",2.4
1971,White Alone,59463000,53303,334,60731,325,"$200,000 and over",1.5
1970,White Alone,57575000,53600,339,60988,330,"Under $15,000",12.1
1970,White Alone,57575000,53600,339,60988,330,"$15,000 to $24,999",9.4
1970,White Alone,57575000,53600,339,60988,330,"$25,000 to $34,999",9.3
1970,White Alone,57575000,53600,339,60988,330,"$35,000 to $49,999",15.5
1970,White Alone,57575000,53600,339,60988,330,"$50,000 to $74,999",24.9
1970,White Alone,57575000,53600,339,60988,330,"$75,000 to $99,999",14.3
1970,White Alone,57575000,53600,339,60988,330,"$100,000 to $149,999",10.5
1970,White Alone,57575000,53600,339,60988,330,"$150,000 to $199,999",2.3
1970,White Alone,57575000,53600,339,60988,330,"$200,000 and over",1.6
1969,White Alone,56248000,54126,325,61192,336,"Under $15,000",12
1969,White Alone,56248000,54126,325,61192,336,"$15,000 to $24,999",9.3
1969,White Alone,56248000,54126,325,61192,336,"$25,000 to $34,999",8.9
1969,White Alone,56248000,54126,325,61192,336,"$35,000 to $49,999",15.8
1969,White Alone,56248000,54126,325,61192,336,"$50,000 to $74,999",25.2
1969,White Alone,56248000,54126,325,61192,336,"$75,000 to $99,999",15
1969,White Alone,56248000,54126,325,61192,336,"$100,000 to $149,999",10
1969,White Alone,56248000,54126,325,61192,336,"$150,000 to $199,999",2.4
1969,White Alone,56248000,54126,325,61192,336,"$200,000 and over",1.5
1968,White Alone,55394000,52064,319,58606,319,"Under $15,000",12.3
1968,White Alone,55394000,52064,319,58606,319,"$15,000 to $24,999",9.3
1968,White Alone,55394000,52064,319,58606,319,"$25,000 to $34,999",9.8
1968,White Alone,55394000,52064,319,58606,319,"$35,000 to $49,999",16.5
1968,White Alone,55394000,52064,319,58606,319,"$50,000 to $74,999",25.7
1968,White Alone,55394000,52064,319,58606,319,"$75,000 to $99,999",14.5
1968,White Alone,55394000,52064,319,58606,319,"$100,000 to $149,999",8.8
1968,White Alone,55394000,52064,319,58606,319,"$150,000 to $199,999",1.9
1968,White Alone,55394000,52064,319,58606,319,"$200,000 and over",1.2
1967,White Alone,54188000,49992,298,55576,309,"Under $15,000",13.5
1967,White Alone,54188000,49992,298,55576,309,"$15,000 to $24,999",9.4
1967,White Alone,54188000,49992,298,55576,309,"$25,000 to $34,999",10.4
1967,White Alone,54188000,49992,298,55576,309,"$35,000 to $49,999",16.9
1967,White Alone,54188000,49992,298,55576,309,"$50,000 to $74,999",25.8
1967,White Alone,54188000,49992,298,55576,309,"$75,000 to $99,999",12.6
1967,White Alone,54188000,49992,298,55576,309,"$100,000 to $149,999",8.2
1967,White Alone,54188000,49992,298,55576,309,"$150,000 to $199,999",1.8
1967,White Alone,54188000,49992,298,55576,309,"$200,000 and over",1.3
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"Under $15,000",7.3
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$15,000 to $24,999",7.3
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$25,000 to $34,999",7.5
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$35,000 to $49,999",11
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$50,000 to $74,999",16.2
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$75,000 to $99,999",12.8
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$100,000 to $149,999",16.8
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$150,000 to $199,999",9.3
2019,"White Alone, Not Hispanic",84868000,76057,876,106659,1359,"$200,000 and over",11.8
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"Under $15,000",8
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$15,000 to $24,999",7.8
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$25,000 to $34,999",7.9
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$35,000 to $49,999",11.2
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$50,000 to $74,999",17
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$75,000 to $99,999",13.2
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$100,000 to $149,999",16.5
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$150,000 to $199,999",8.1
2018,"White Alone, Not Hispanic",84727000,71922,664,100041,1191,"$200,000 and over",10.3
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"Under $15,000",8
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$15,000 to $24,999",8.5
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$25,000 to $34,999",8.5
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$35,000 to $49,999",11.2
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$50,000 to $74,999",16.1
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$75,000 to $99,999",13.1
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$100,000 to $149,999",16.3
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$150,000 to $199,999",8.5
2017,"White Alone, Not Hispanic",84681000,71071,1095,97466,1134,"$200,000 and over",9.8
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"Under $15,000",8.4
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$15,000 to $24,999",8.2
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$25,000 to $34,999",8.5
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$35,000 to $49,999",11.8
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$50,000 to $74,999",16.6
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$75,000 to $99,999",12.6
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$100,000 to $149,999",16.5
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$150,000 to $199,999",8
2016,"White Alone, Not Hispanic",84387000,69292,894,95624,1067,"$200,000 and over",9.4
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"Under $15,000",8.2
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$15,000 to $24,999",9.1
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$25,000 to $34,999",8.9
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$35,000 to $49,999",11.7
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$50,000 to $74,999",16.1
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$75,000 to $99,999",13
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$100,000 to $149,999",16.7
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$150,000 to $199,999",8
2015,"White Alone, Not Hispanic",84445000,67930,962,92355,943,"$200,000 and over",8.3
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"Under $15,000",9.3
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$15,000 to $24,999",9.5
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$25,000 to $34,999",8.8
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$35,000 to $49,999",12
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$50,000 to $74,999",16.6
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$75,000 to $99,999",12.8
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$100,000 to $149,999",15.4
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$150,000 to $199,999",7.5
2014,"White Alone, Not Hispanic",84228000,65135,654,89142,1030,"$200,000 and over",8
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"Under $15,000",9.2
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$15,000 to $24,999",9.4
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$25,000 to $34,999",8.6
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$35,000 to $49,999",11.7
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$50,000 to $74,999",17.2
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$75,000 to $99,999",13.2
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$100,000 to $149,999",15.2
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$150,000 to $199,999",7.6
2013,"White Alone, Not Hispanic",84432000,66318,964,89292,1533,"$200,000 and over",8
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"Under $15,000",8.8
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$15,000 to $24,999",9.8
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$25,000 to $34,999",9.4
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$35,000 to $49,999",12.1
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$50,000 to $74,999",17.5
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$75,000 to $99,999",13
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$100,000 to $149,999",15.4
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$150,000 to $199,999",7.2
2012,"White Alone, Not Hispanic",83792000,63597,659,86838,945,"$200,000 and over",6.9
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"Under $15,000",9
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$15,000 to $24,999",9.3
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$25,000 to $34,999",9.5
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$35,000 to $49,999",12.7
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$50,000 to $74,999",17.5
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$75,000 to $99,999",12.7
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$100,000 to $149,999",15.3
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$150,000 to $199,999",7.1
2011,"White Alone, Not Hispanic",83573000,63124,615,86650,896,"$200,000 and over",6.9
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"Under $15,000",8.7
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$15,000 to $24,999",10
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$25,000 to $34,999",8.7
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$35,000 to $49,999",12.8
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$50,000 to $74,999",17
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$75,000 to $99,999",13
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$100,000 to $149,999",15.8
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$150,000 to $199,999",7
2010,"White Alone, Not Hispanic",83314000,63996,862,86173,889,"$200,000 and over",7
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"Under $15,000",8.2
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$15,000 to $24,999",9
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$25,000 to $34,999",9.1
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$35,000 to $49,999",12.8
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$50,000 to $74,999",17.7
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$75,000 to $99,999",13.1
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$100,000 to $149,999",15.9
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$150,000 to $199,999",7.1
2009,"White Alone, Not Hispanic",83158000,65053,548,87484,588,"$200,000 and over",6.9
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"Under $15,000",8.3
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$15,000 to $24,999",9.2
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$25,000 to $34,999",8.8
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$35,000 to $49,999",12.5
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$50,000 to $74,999",17.1
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$75,000 to $99,999",13.4
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$100,000 to $149,999",16.6
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$150,000 to $199,999",7.1
2008,"White Alone, Not Hispanic",82884000,66099,441,88206,593,"$200,000 and over",7
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"Under $15,000",7.9
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$15,000 to $24,999",9.2
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$25,000 to $34,999",8.5
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$35,000 to $49,999",12
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$50,000 to $74,999",17.3
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$75,000 to $99,999",13.2
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$100,000 to $149,999",16.9
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$150,000 to $199,999",7.6
2007,"White Alone, Not Hispanic",82765000,67884,502,90456,600,"$200,000 and over",7.5
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"Under $15,000",7.6
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$15,000 to $24,999",8.8
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$25,000 to $34,999",8.8
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$35,000 to $49,999",12.4
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$50,000 to $74,999",17.4
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$75,000 to $99,999",13.4
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$100,000 to $149,999",16.5
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$150,000 to $199,999",7.4
2006,"White Alone, Not Hispanic",82675000,66635,393,91195,663,"$200,000 and over",7.6
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"Under $15,000",8.1
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$15,000 to $24,999",9
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$25,000 to $34,999",8.9
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$35,000 to $49,999",12.2
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$50,000 to $74,999",17.5
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$75,000 to $99,999",13.7
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$100,000 to $149,999",16.1
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$150,000 to $199,999",7.3
2005,"White Alone, Not Hispanic",82003000,66644,371,90028,654,"$200,000 and over",7.2
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"Under $15,000",8.3
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$15,000 to $24,999",9.1
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$25,000 to $34,999",9.1
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$35,000 to $49,999",12.2
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$50,000 to $74,999",17.3
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$75,000 to $99,999",13.3
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$100,000 to $149,999",16.6
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$150,000 to $199,999",7.1
2004,"White Alone, Not Hispanic",81628000,66359,500,88539,634,"$200,000 and over",7.1
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"Under $15,000",8.3
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$15,000 to $24,999",9
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$25,000 to $34,999",9
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$35,000 to $49,999",12
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$50,000 to $74,999",17.3
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$75,000 to $99,999",13.3
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$100,000 to $149,999",16.8
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$150,000 to $199,999",7.2
2003,"White Alone, Not Hispanic",81148000,66573,529,89021,621,"$200,000 and over",7.2
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"Under $15,000",8.1
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$15,000 to $24,999",9.1
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$25,000 to $34,999",8.5
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$35,000 to $49,999",12.4
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$50,000 to $74,999",17.5
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$75,000 to $99,999",13.3
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$100,000 to $149,999",17.2
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$150,000 to $199,999",7
2002,"White Alone, Not Hispanic",81166000,66835,431,88517,619,"$200,000 and over",6.8
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"Under $15,000",7.9
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$15,000 to $24,999",9
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$25,000 to $34,999",8.6
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$35,000 to $49,999",12.3
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$50,000 to $74,999",17.7
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$75,000 to $99,999",13.4
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$100,000 to $149,999",16.9
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$150,000 to $199,999",7.1
2001,"White Alone, Not Hispanic",80818000,67027,457,90389,674,"$200,000 and over",7.2
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"Under $15,000",7.7
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$15,000 to $24,999",8.7
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$25,000 to $34,999",8.3
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$35,000 to $49,999",12.7
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$50,000 to $74,999",17.5
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$75,000 to $99,999",13.7
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$100,000 to $149,999",16.8
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$150,000 to $199,999",7.6
2000,"White Alone, Not Hispanic",80527000,67920,448,90897,671,"$200,000 and over",7.1
1999,"White Alone, Not Hispanic",79819000,67969,706,90178,879,"Under $15,000",7.2
1999,"White Alone, Not Hispanic",79819000,67969,706,90178,879,"$15,000 to $24,999",8.9
1999,"White Alone, Not Hispanic",79819000,67969,706,90178,879,"$25,000 to $34,999",8.7
1999,"White Alone, Not Hispanic",79819000,67969,706,90178,879,"$35,000 to $49,999",12.4
1999,"White Alone, Not Hispanic",79819000,67969,706,90178,879,"$50,000 to $74,999",17.5
