year,race,number,income_quintile,income_share
2003,Black Alone or in Combination,13969000,Third,14.7
2003,Black Alone or in Combination,13969000,Fourth,24
2003,Black Alone or in Combination,13969000,Highest,50.2
2003,Black Alone or in Combination,13969000,Top 5%,20.3
2002,Black Alone or in Combination,13778000,Lowest,2.9
2002,Black Alone or in Combination,13778000,Second,8.1
2002,Black Alone or in Combination,13778000,Third,14.4
2002,Black Alone or in Combination,13778000,Fourth,23.2
2002,Black Alone or in Combination,13778000,Highest,51.3
2002,Black Alone or in Combination,13778000,Top 5%,21.9
2019,Black Alone,17054000,Lowest,2.6
2019,Black Alone,17054000,Second,7.7
2019,Black Alone,17054000,Third,13.6
2019,Black Alone,17054000,Fourth,22.7
2019,Black Alone,17054000,Highest,53.4
2019,Black Alone,17054000,Top 5%,23.7
2018,Black Alone,17167000,Lowest,2.6
2018,Black Alone,17167000,Second,7.9
2018,Black Alone,17167000,Third,14.1
2018,Black Alone,17167000,Fourth,23.3
2018,Black Alone,17167000,Highest,52.1
2018,Black Alone,17167000,Top 5%,21.3
2017,Black Alone,16997000,Lowest,2.5
2017,Black Alone,16997000,Second,7.7
2017,Black Alone,16997000,Third,13.7
2017,Black Alone,16997000,Fourth,23.1
2017,Black Alone,16997000,Highest,52.9
2017,Black Alone,16997000,Top 5%,22.9
2016,Black Alone,16733000,Lowest,2.6
2016,Black Alone,16733000,Second,7.7
2016,Black Alone,16733000,Third,13.7
2016,Black Alone,16733000,Fourth,22.8
2016,Black Alone,16733000,Highest,53.4
2016,Black Alone,16733000,Top 5%,24
2015,Black Alone,16539000,Lowest,2.6
2015,Black Alone,16539000,Second,7.6
2015,Black Alone,16539000,Third,13.7
2015,Black Alone,16539000,Fourth,23
2015,Black Alone,16539000,Highest,53.2
2015,Black Alone,16539000,Top 5%,23.3
2014,Black Alone,16437000,Lowest,2.6
2014,Black Alone,16437000,Second,7.8
2014,Black Alone,16437000,Third,13.8
2014,Black Alone,16437000,Fourth,22.9
2014,Black Alone,16437000,Highest,52.9
2014,Black Alone,16437000,Top 5%,22.5
2013,Black Alone,16009000,Lowest,2.6
2013,Black Alone,16009000,Second,7.8
2013,Black Alone,16009000,Third,13.9
2013,Black Alone,16009000,Fourth,22.9
2013,Black Alone,16009000,Highest,52.8
2013,Black Alone,16009000,Top 5%,22.3
2012,Black Alone,15872000,Lowest,2.8
2012,Black Alone,15872000,Second,7.8
2012,Black Alone,15872000,Third,14.1
2012,Black Alone,15872000,Fourth,23.5
2012,Black Alone,15872000,Highest,51.9
2012,Black Alone,15872000,Top 5%,21.7
2011,Black Alone,15583000,Lowest,2.7
2011,Black Alone,15583000,Second,7.5
2011,Black Alone,15583000,Third,13.7
2011,Black Alone,15583000,Fourth,23.2
2011,Black Alone,15583000,Highest,52.9
2011,Black Alone,15583000,Top 5%,22.8
2010,Black Alone,15265000,Lowest,2.7
2010,Black Alone,15265000,Second,7.9
2010,Black Alone,15265000,Third,14.3
2010,Black Alone,15265000,Fourth,23.8
2010,Black Alone,15265000,Highest,51.3
2010,Black Alone,15265000,Top 5%,21.1
2009,Black Alone,14730000,Lowest,2.9
2009,Black Alone,14730000,Second,8.2
2009,Black Alone,14730000,Third,14.3
2009,Black Alone,14730000,Fourth,23.5
2009,Black Alone,14730000,Highest,51
2009,Black Alone,14730000,Top 5%,21.5
2008,Black Alone,14595000,Lowest,3
2008,Black Alone,14595000,Second,8.4
2008,Black Alone,14595000,Third,14.6
2008,Black Alone,14595000,Fourth,23.5
2008,Black Alone,14595000,Highest,50.6
2008,Black Alone,14595000,Top 5%,20.7
2007,Black Alone,14551000,Lowest,2.8
2007,Black Alone,14551000,Second,8.1
2007,Black Alone,14551000,Third,14.6
2007,Black Alone,14551000,Fourth,23.7
2007,Black Alone,14551000,Highest,50.8
2007,Black Alone,14551000,Top 5%,21.2
2006,Black Alone,14354000,Lowest,2.8
2006,Black Alone,14354000,Second,8.1
2006,Black Alone,14354000,Third,14.3
2006,Black Alone,14354000,Fourth,23.3
2006,Black Alone,14354000,Highest,51.5
2006,Black Alone,14354000,Top 5%,22
2005,Black Alone,14002000,Lowest,2.8
2005,Black Alone,14002000,Second,8
2005,Black Alone,14002000,Third,14.5
2005,Black Alone,14002000,Fourth,23.7
2005,Black Alone,14002000,Highest,50.9
2005,Black Alone,14002000,Top 5%,21.2
2004,Black Alone,13809000,Lowest,2.8
2004,Black Alone,13809000,Second,8.3
2004,Black Alone,13809000,Third,14.6
2004,Black Alone,13809000,Fourth,23.8
2004,Black Alone,13809000,Highest,50.5
2004,Black Alone,13809000,Top 5%,20.9
2003,Black Alone,13629000,Lowest,2.9
2003,Black Alone,13629000,Second,8.2
2003,Black Alone,13629000,Third,14.7
2003,Black Alone,13629000,Fourth,24
2003,Black Alone,13629000,Highest,50.2
2003,Black Alone,13629000,Top 5%,20.2
2002,Black Alone,13465000,Lowest,2.9
2002,Black Alone,13465000,Second,8.2
2002,Black Alone,13465000,Third,14.5
2002,Black Alone,13465000,Fourth,23.3
2002,Black Alone,13465000,Highest,51.1
2002,Black Alone,13465000,Top 5%,21.6
2001,Black Alone,13315000,Lowest,3
2001,Black Alone,13315000,Second,8.6
2001,Black Alone,13315000,Third,15
2001,Black Alone,13315000,Fourth,24.2
2001,Black Alone,13315000,Highest,49.2
2001,Black Alone,13315000,Top 5%,19.8
2000,Black Alone,13174000,Lowest,3.2
2000,Black Alone,13174000,Second,8.7
2000,Black Alone,13174000,Third,15.1
2000,Black Alone,13174000,Fourth,24
2000,Black Alone,13174000,Highest,49
2000,Black Alone,13174000,Top 5%,19.6
1999,Black Alone,12838000,Lowest,3.1
1999,Black Alone,12838000,Second,8.2
1999,Black Alone,12838000,Third,14.6
1999,Black Alone,12838000,Fourth,24
1999,Black Alone,12838000,Highest,50
1999,Black Alone,12838000,Top 5%,20
1998,Black Alone,12579000,Lowest,3.1
1998,Black Alone,12579000,Second,8.2
1998,Black Alone,12579000,Third,14.8
1998,Black Alone,12579000,Fourth,24.4
1998,Black Alone,12579000,Highest,49.5
1998,Black Alone,12579000,Top 5%,19.1
1997,Black Alone,12474000,Lowest,3.2
1997,Black Alone,12474000,Second,8.5
1997,Black Alone,12474000,Third,15.1
1997,Black Alone,12474000,Fourth,24.5
1997,Black Alone,12474000,Highest,48.7
1997,Black Alone,12474000,Top 5%,19.1
1996,Black Alone,12109000,Lowest,3.1
1996,Black Alone,12109000,Second,8
1996,Black Alone,12109000,Third,14.5
1996,Black Alone,12109000,Fourth,23.7
1996,Black Alone,12109000,Highest,50.7
1996,Black Alone,12109000,Top 5%,21.7
1995,Black Alone,11577000,Lowest,3.2
1995,Black Alone,11577000,Second,8.2
1995,Black Alone,11577000,Third,14.8
1995,Black Alone,11577000,Fourth,24.2
1995,Black Alone,11577000,Highest,49.6
1995,Black Alone,11577000,Top 5%,20.2
1994,Black Alone,11655000,Lowest,3
1994,Black Alone,11655000,Second,7.8
1994,Black Alone,11655000,Third,14.3
1994,Black Alone,11655000,Fourth,24.3
1994,Black Alone,11655000,Highest,50.5
1994,Black Alone,11655000,Top 5%,20.1
1993,Black Alone,11281000,Lowest,3
1993,Black Alone,11281000,Second,7.6
1993,Black Alone,11281000,Third,14.3
1993,Black Alone,11281000,Fourth,23.7
1993,Black Alone,11281000,Highest,51.3
1993,Black Alone,11281000,Top 5%,21
1992,Black Alone,11269000,Lowest,3.1
1992,Black Alone,11269000,Second,7.8
1992,Black Alone,11269000,Third,14.7
1992,Black Alone,11269000,Fourth,24.8
1992,Black Alone,11269000,Highest,49.7
1992,Black Alone,11269000,Top 5%,19.1
1991,Black Alone,11083000,Lowest,3.1
1991,Black Alone,11083000,Second,7.8
1991,Black Alone,11083000,Third,15
1991,Black Alone,11083000,Fourth,25.2
1991,Black Alone,11083000,Highest,48.9
1991,Black Alone,11083000,Top 5%,18.3
1990,Black Alone,10671000,Lowest,3.1
1990,Black Alone,10671000,Second,7.9
1990,Black Alone,10671000,Third,15
1990,Black Alone,10671000,Fourth,25.1
1990,Black Alone,10671000,Highest,49
1990,Black Alone,10671000,Top 5%,18.5
1989,Black Alone,10486000,Lowest,3.2
1989,Black Alone,10486000,Second,8
1989,Black Alone,10486000,Third,15
1989,Black Alone,10486000,Fourth,24.9
1989,Black Alone,10486000,Highest,48.9
1989,Black Alone,10486000,Top 5%,18.2
1988,Black Alone,10561000,Lowest,3.3
1988,Black Alone,10561000,Second,7.7
1988,Black Alone,10561000,Third,14.6
1988,Black Alone,10561000,Fourth,24.7
1988,Black Alone,10561000,Highest,49.7
1988,Black Alone,10561000,Top 5%,18.7
1987,Black Alone,10192000,Lowest,3.2
1987,Black Alone,10192000,Second,7.9
1987,Black Alone,10192000,Third,14.8
1987,Black Alone,10192000,Fourth,24.4
1987,Black Alone,10192000,Highest,49.7
1987,Black Alone,10192000,Top 5%,19.2
1986,Black Alone,9922000,Lowest,3.1
1986,Black Alone,9922000,Second,8
1986,Black Alone,9922000,Third,14.9
1986,Black Alone,9922000,Fourth,25
1986,Black Alone,9922000,Highest,49
1986,Black Alone,9922000,Top 5%,18.6
1985,Black Alone,9797000,Lowest,3.5
1985,Black Alone,9797000,Second,8.3
1985,Black Alone,9797000,Third,15.2
1985,Black Alone,9797000,Fourth,24.9
1985,Black Alone,9797000,Highest,48
1985,Black Alone,9797000,Top 5%,17.6
1984,Black Alone,9480000,Lowest,3.6
1984,Black Alone,9480000,Second,8.4
1984,Black Alone,9480000,Third,15
1984,Black Alone,9480000,Fourth,24.7
1984,Black Alone,9480000,Highest,48.4
1984,Black Alone,9480000,Top 5%,17.6
1983,Black Alone,9236000,Lowest,3.5
1983,Black Alone,9236000,Second,8.3
1983,Black Alone,9236000,Third,15.1
1983,Black Alone,9236000,Fourth,25.1
1983,Black Alone,9236000,Highest,47.9
1983,Black Alone,9236000,Top 5%,17.1
1982,Black Alone,8916000,Lowest,3.6
1982,Black Alone,8916000,Second,8.6
1982,Black Alone,8916000,Third,15.3
1982,Black Alone,8916000,Fourth,25.5
1982,Black Alone,8916000,Highest,47.1
1982,Black Alone,8916000,Top 5%,17.1
1981,Black Alone,8961000,Lowest,3.7
1981,Black Alone,8961000,Second,8.5
1981,Black Alone,8961000,Third,15.2
1981,Black Alone,8961000,Fourth,25.3
1981,Black Alone,8961000,Highest,47.3
1981,Black Alone,8961000,Top 5%,16.6
1980,Black Alone,8847000,Lowest,3.7
1980,Black Alone,8847000,Second,8.7
1980,Black Alone,8847000,Third,15.3
1980,Black Alone,8847000,Fourth,25.2
1980,Black Alone,8847000,Highest,47.1
1980,Black Alone,8847000,Top 5%,16.9
1979,Black Alone,8586000,Lowest,3.8
1979,Black Alone,8586000,Second,8.8
1979,Black Alone,8586000,Third,15.5
1979,Black Alone,8586000,Fourth,25.3
1979,Black Alone,8586000,Highest,46.6
1979,Black Alone,8586000,Top 5%,16.5
1978,Black Alone,8066000,Lowest,3.9
1978,Black Alone,8066000,Second,8.7
1978,Black Alone,8066000,Third,15.6
1978,Black Alone,8066000,Fourth,25.3
1978,Black Alone,8066000,Highest,46.5
1978,Black Alone,8066000,Top 5%,16.5
1977,Black Alone,7977000,Lowest,4.2
1977,Black Alone,7977000,Second,9.2
1977,Black Alone,7977000,Third,15.5
1977,Black Alone,7977000,Fourth,24.9
1977,Black Alone,7977000,Highest,46.3
1977,Black Alone,7977000,Top 5%,16.8
1976,Black Alone,7776000,Lowest,4.2
1976,Black Alone,7776000,Second,9.1
1976,Black Alone,7776000,Third,15.7
1976,Black Alone,7776000,Fourth,25.4
1976,Black Alone,7776000,Highest,45.6
1976,Black Alone,7776000,Top 5%,16.3
1975,Black Alone,7489000,Lowest,4.1
1975,Black Alone,7489000,Second,9
1975,Black Alone,7489000,Third,16
1975,Black Alone,7489000,Fourth,25.5
1975,Black Alone,7489000,Highest,45.4
1975,Black Alone,7489000,Top 5%,16
1974,Black Alone,7263000,Lowest,4.2
1974,Black Alone,7263000,Second,9.4
1974,Black Alone,7263000,Third,16.1
1974,Black Alone,7263000,Fourth,25.2
1974,Black Alone,7263000,Highest,45.1
1974,Black Alone,7263000,Top 5%,15.8
1973,Black Alone,7040000,Lowest,4
1973,Black Alone,7040000,Second,9.3
1973,Black Alone,7040000,Third,16
1973,Black Alone,7040000,Fourth,25.1
1973,Black Alone,7040000,Highest,45.6
1973,Black Alone,7040000,Top 5%,16.9
1972,Black Alone,6809000,Lowest,3.9
1972,Black Alone,6809000,Second,9.2
1972,Black Alone,6809000,Third,15.8
1972,Black Alone,6809000,Fourth,24.9
1972,Black Alone,6809000,Highest,46.2
1972,Black Alone,6809000,Top 5%,16.8
1971,Black Alone,6578000,Lowest,4
1971,Black Alone,6578000,Second,9.3
1971,Black Alone,6578000,Third,16.1
1971,Black Alone,6578000,Fourth,25.1
1971,Black Alone,6578000,Highest,45.4
1971,Black Alone,6578000,Top 5%,16.4
1970,Black Alone,6180000,Lowest,3.7
1970,Black Alone,6180000,Second,9.4
1970,Black Alone,6180000,Third,16.3
1970,Black Alone,6180000,Fourth,25.2
1970,Black Alone,6180000,Highest,45.5
1970,Black Alone,6180000,Top 5%,16.4
1969,Black Alone,6053000,Lowest,3.9
1969,Black Alone,6053000,Second,9.7
1969,Black Alone,6053000,Third,16.5
1969,Black Alone,6053000,Fourth,25.1
1969,Black Alone,6053000,Highest,44.7
1969,Black Alone,6053000,Top 5%,15.9
1968,Black Alone,5870000,Lowest,4
1968,Black Alone,5870000,Second,9.8
1968,Black Alone,5870000,Third,16.3
1968,Black Alone,5870000,Fourth,25.1
1968,Black Alone,5870000,Highest,44.8
1968,Black Alone,5870000,Top 5%,15.9
1967,Black Alone,5728000,Lowest,3.8
1967,Black Alone,5728000,Second,9.3
1967,Black Alone,5728000,Third,15.9
1967,Black Alone,5728000,Fourth,24.3
1967,Black Alone,5728000,Highest,46.7
1967,Black Alone,5728000,Top 5%,18.2
2019,Hispanic,17667000,Lowest,3.6
2019,Hispanic,17667000,Second,9.3
2019,Hispanic,17667000,Third,15
2019,Hispanic,17667000,Fourth,23.3
2019,Hispanic,17667000,Highest,48.9
2019,Hispanic,17667000,Top 5%,19.8
2018,Hispanic,17758000,Lowest,3.5
2018,Hispanic,17758000,Second,8.9
2018,Hispanic,17758000,Third,14.5
2018,Hispanic,17758000,Fourth,22.5
2018,Hispanic,17758000,Highest,50.6
2018,Hispanic,17758000,Top 5%,22.7
2017,Hispanic,17318000,Lowest,3.5
2017,Hispanic,17318000,Second,8.9
2017,Hispanic,17318000,Third,14.8
2017,Hispanic,17318000,Fourth,23.2
2017,Hispanic,17318000,Highest,49.6
2017,Hispanic,17318000,Top 5%,21.2
2016,Hispanic,16915000,Lowest,3.5
2016,Hispanic,16915000,Second,8.8
2016,Hispanic,16915000,Third,14.4
2016,Hispanic,16915000,Fourth,22.6
2016,Hispanic,16915000,Highest,50.7
2016,Hispanic,16915000,Top 5%,22.9
2015,Hispanic,16667000,Lowest,3.4
2015,Hispanic,16667000,Second,8.6
2015,Hispanic,16667000,Third,14.1
2015,Hispanic,16667000,Fourth,22.4
2015,Hispanic,16667000,Highest,51.6
2015,Hispanic,16667000,Top 5%,23.4
2014,Hispanic,16239000,Lowest,3.6
2014,Hispanic,16239000,Second,9
2014,Hispanic,16239000,Third,14.9
2014,Hispanic,16239000,Fourth,23.4
2014,Hispanic,16239000,Highest,49.2
2014,Hispanic,16239000,Top 5%,20.6
2013,Hispanic,16088000,Lowest,3.4
2013,Hispanic,16088000,Second,8.5
2013,Hispanic,16088000,Third,13.8
2013,Hispanic,16088000,Fourth,22.5
2013,Hispanic,16088000,Highest,51.9
2013,Hispanic,16088000,Top 5%,22.9
2012,Hispanic,15589000,Lowest,3.4
2012,Hispanic,15589000,Second,8.9
2012,Hispanic,15589000,Third,14.6
2012,Hispanic,15589000,Fourth,23.1
2012,Hispanic,15589000,Highest,50
2012,Hispanic,15589000,Top 5%,21.3
2011,Hispanic,14939000,Lowest,3.5
2011,Hispanic,14939000,Second,9.1
2011,Hispanic,14939000,Third,14.7
2011,Hispanic,14939000,Fourth,22.9
2011,Hispanic,14939000,Highest,49.7
2011,Hispanic,14939000,Top 5%,20.8
2010,Hispanic,14435000,Lowest,3.5
2010,Hispanic,14435000,Second,9
2010,Hispanic,14435000,Third,14.7
2010,Hispanic,14435000,Fourth,23.4
2010,Hispanic,14435000,Highest,49.4
2010,Hispanic,14435000,Top 5%,20.6
2009,Hispanic,13298000,Lowest,3.7
2009,Hispanic,13298000,Second,9
2009,Hispanic,13298000,Third,14.7
2009,Hispanic,13298000,Fourth,23.1
2009,Hispanic,13298000,Highest,49.5
2009,Hispanic,13298000,Top 5%,20.9
2008,Hispanic,13425000,Lowest,3.7
2008,Hispanic,13425000,Second,9.2
2008,Hispanic,13425000,Third,14.7
2008,Hispanic,13425000,Fourth,23.2
2008,Hispanic,13425000,Highest,49.2
2008,Hispanic,13425000,Top 5%,20.3
2007,Hispanic,13339000,Lowest,3.9
2007,Hispanic,13339000,Second,9.5
2007,Hispanic,13339000,Third,15.2
2007,Hispanic,13339000,Fourth,23.5
2007,Hispanic,13339000,Highest,47.9
2007,Hispanic,13339000,Top 5%,19.9
2006,Hispanic,12973000,Lowest,3.8
2006,Hispanic,12973000,Second,9.3
2006,Hispanic,12973000,Third,15
2006,Hispanic,12973000,Fourth,22.9
2006,Hispanic,12973000,Highest,48.9
2006,Hispanic,12973000,Top 5%,20.7
2005,Hispanic,12519000,Lowest,3.9
2005,Hispanic,12519000,Second,9.5
2005,Hispanic,12519000,Third,15.2
2005,Hispanic,12519000,Fourth,23.3
2005,Hispanic,12519000,Highest,48.1
2005,Hispanic,12519000,Top 5%,19.8
2004,Hispanic,12178000,Lowest,3.8
2004,Hispanic,12178000,Second,9.3
2004,Hispanic,12178000,Third,14.9
2004,Hispanic,12178000,Fourth,22.9
2004,Hispanic,12178000,Highest,49.1
2004,Hispanic,12178000,Top 5%,21
2003,Hispanic,11693000,Lowest,3.9
2003,Hispanic,11693000,Second,9.4
2003,Hispanic,11693000,Third,15
2003,Hispanic,11693000,Fourth,23.1
2003,Hispanic,11693000,Highest,48.6
2003,Hispanic,11693000,Top 5%,20.4
2002,Hispanic,11339000,Lowest,3.9
2002,Hispanic,11339000,Second,9.4
2002,Hispanic,11339000,Third,14.8
2002,Hispanic,11339000,Fourth,22.9
2002,Hispanic,11339000,Highest,49
2002,Hispanic,11339000,Top 5%,21.4
2001,Hispanic,10499000,Lowest,4
2001,Hispanic,10499000,Second,9.4
2001,Hispanic,10499000,Third,15.2
2001,Hispanic,10499000,Fourth,23.2
2001,Hispanic,10499000,Highest,48.3
2001,Hispanic,10499000,Top 5%,20.5
2000,Hispanic,10034000,Lowest,4
2000,Hispanic,10034000,Second,9.4
2000,Hispanic,10034000,Third,15.1
2000,Hispanic,10034000,Fourth,22.9
2000,Hispanic,10034000,Highest,48.5
2000,Hispanic,10034000,Top 5%,21.6
1999,Hispanic,9579000,Lowest,4.1
1999,Hispanic,9579000,Second,9.5
1999,Hispanic,9579000,Third,15.2
1999,Hispanic,9579000,Fourth,23.4
1999,Hispanic,9579000,Highest,47.8
1999,Hispanic,9579000,Top 5%,19.9
1998,Hispanic,9060000,Lowest,3.6
1998,Hispanic,9060000,Second,8.9
1998,Hispanic,9060000,Third,14.8
1998,Hispanic,9060000,Fourth,22.9
1998,Hispanic,9060000,Highest,49.7
1998,Hispanic,9060000,Top 5%,21.9
1997,Hispanic,8590000,Lowest,3.6
1997,Hispanic,8590000,Second,8.9
1997,Hispanic,8590000,Third,14.9
1997,Hispanic,8590000,Fourth,23.1
1997,Hispanic,8590000,Highest,49.5
1997,Hispanic,8590000,Top 5%,21.5
1996,Hispanic,8225000,Lowest,3.8
1996,Hispanic,8225000,Second,8.9
1996,Hispanic,8225000,Third,14.7
1996,Hispanic,8225000,Fourth,23.1
1996,Hispanic,8225000,Highest,49.5
1996,Hispanic,8225000,Top 5%,21.5
1995,Hispanic,7939000,Lowest,3.8
1995,Hispanic,7939000,Second,8.9
1995,Hispanic,7939000,Third,14.8
1995,Hispanic,7939000,Fourth,23.3
1995,Hispanic,7939000,Highest,49.3
1995,Hispanic,7939000,Top 5%,20.8
1994,Hispanic,7735000,Lowest,3.7
1994,Hispanic,7735000,Second,8.7
1994,Hispanic,7735000,Third,14.8
1994,Hispanic,7735000,Fourth,23.2
1994,Hispanic,7735000,Highest,49.6
1994,Hispanic,7735000,Top 5%,21
1993,Hispanic,7362000,Lowest,3.9
1993,Hispanic,7362000,Second,9.1
1993,Hispanic,7362000,Third,15.1
1993,Hispanic,7362000,Fourth,23.1
1993,Hispanic,7362000,Highest,48.7
1993,Hispanic,7362000,Top 5%,20.4
1992,Hispanic,7153000,Lowest,3.9
1992,Hispanic,7153000,Second,9.4
1992,Hispanic,7153000,Third,15.7
1992,Hispanic,7153000,Fourth,24.1
1992,Hispanic,7153000,Highest,46.9
1992,Hispanic,7153000,Top 5%,18.1
1991,Hispanic,6379000,Lowest,4
1991,Hispanic,6379000,Second,9.4
1991,Hispanic,6379000,Third,15.8
1991,Hispanic,6379000,Fourth,24.3
1991,Hispanic,6379000,Highest,46.5
1991,Hispanic,6379000,Top 5%,17.7
1990,Hispanic,6220000,Lowest,4
1990,Hispanic,6220000,Second,9.5
1990,Hispanic,6220000,Third,15.9
1990,Hispanic,6220000,Fourth,24.3
1990,Hispanic,6220000,Highest,46.3
1990,Hispanic,6220000,Top 5%,17.9
1989,Hispanic,5933000,Lowest,3.8
1989,Hispanic,5933000,Second,9.5
1989,Hispanic,5933000,Third,15.7
1989,Hispanic,5933000,Fourth,24.4
1989,Hispanic,5933000,Highest,46.6
1989,Hispanic,5933000,Top 5%,18.1
1988,Hispanic,5910000,Lowest,3.7
1988,Hispanic,5910000,Second,9.3
1988,Hispanic,5910000,Third,15.6
1988,Hispanic,5910000,Fourth,24.2
1988,Hispanic,5910000,Highest,47.2
1988,Hispanic,5910000,Top 5%,19
1987,Hispanic,5642000,Lowest,3.7
1987,Hispanic,5642000,Second,9.1
1987,Hispanic,5642000,Third,15.4
1987,Hispanic,5642000,Fourth,24.1
1987,Hispanic,5642000,Highest,47.6
1987,Hispanic,5642000,Top 5%,19.2
1986,Hispanic,5418000,Lowest,3.9
1986,Hispanic,5418000,Second,9.5
1986,Hispanic,5418000,Third,15.8
1986,Hispanic,5418000,Fourth,24.8
1986,Hispanic,5418000,Highest,46.1
1986,Hispanic,5418000,Top 5%,16.9
1985,Hispanic,5213000,Lowest,4.1
1985,Hispanic,5213000,Second,9.4
1985,Hispanic,5213000,Third,16.1
1985,Hispanic,5213000,Fourth,24.7
1985,Hispanic,5213000,Highest,45.6
1985,Hispanic,5213000,Top 5%,16.6
1984,Hispanic,4883000,Lowest,3.9
1984,Hispanic,4883000,Second,9.5
1984,Hispanic,4883000,Third,16.2
1984,Hispanic,4883000,Fourth,24.9
1984,Hispanic,4883000,Highest,45.5
1984,Hispanic,4883000,Top 5%,16.9
1983,Hispanic,4666000,Lowest,4.1
1983,Hispanic,4666000,Second,9.6
1983,Hispanic,4666000,Third,16.3
1983,Hispanic,4666000,Fourth,24.8
1983,Hispanic,4666000,Highest,45.2
1983,Hispanic,4666000,Top 5%,16.3
1982,Hispanic,4085000,Lowest,4.2
1982,Hispanic,4085000,Second,9.6
1982,Hispanic,4085000,Third,16.1
1982,Hispanic,4085000,Fourth,24.6
1982,Hispanic,4085000,Highest,45.5
1982,Hispanic,4085000,Top 5%,17
1981,Hispanic,3980000,Lowest,4.4
1981,Hispanic,3980000,Second,10.2
1981,Hispanic,3980000,Third,16.6
1981,Hispanic,3980000,Fourth,24.7
1981,Hispanic,3980000,Highest,44
1981,Hispanic,3980000,Top 5%,15.9
1980,Hispanic,3906000,Lowest,4.3
1980,Hispanic,3906000,Second,10.1
1980,Hispanic,3906000,Third,16.3
1980,Hispanic,3906000,Fourth,24.7
1980,Hispanic,3906000,Highest,44.5
1980,Hispanic,3906000,Top 5%,16.5
1979,Hispanic,3684000,Lowest,4.5
1979,Hispanic,3684000,Second,10.5
1979,Hispanic,3684000,Third,16.6
1979,Hispanic,3684000,Fourth,24.5
1979,Hispanic,3684000,Highest,43.9
1979,Hispanic,3684000,Top 5%,16.3
1978,Hispanic,3291000,Lowest,4.7
1978,Hispanic,3291000,Second,10.7
1978,Hispanic,3291000,Third,16.9
1978,Hispanic,3291000,Fourth,24.9
1978,Hispanic,3291000,Highest,42.8
1978,Hispanic,3291000,Top 5%,15.5
1977,Hispanic,3304000,Lowest,4.9
1977,Hispanic,3304000,Second,10.7
1977,Hispanic,3304000,Third,16.9
1977,Hispanic,3304000,Fourth,24.6
1977,Hispanic,3304000,Highest,42.9
1977,Hispanic,3304000,Top 5%,15.6
1976,Hispanic,3081000,Lowest,4.7
1976,Hispanic,3081000,Second,10.4
1976,Hispanic,3081000,Third,16.8
1976,Hispanic,3081000,Fourth,25.1
1976,Hispanic,3081000,Highest,42.9
1976,Hispanic,3081000,Top 5%,15.4
1975,Hispanic,2948000,Lowest,4.7
1975,Hispanic,2948000,Second,10.6
1975,Hispanic,2948000,Third,16.8
1975,Hispanic,2948000,Fourth,24.8
1975,Hispanic,2948000,Highest,43.1
1975,Hispanic,2948000,Top 5%,16.1
1974,Hispanic,2897000,Lowest,5.1
1974,Hispanic,2897000,Second,10.9
1974,Hispanic,2897000,Third,17.1
1974,Hispanic,2897000,Fourth,24.7
1974,Hispanic,2897000,Highest,42.3
1974,Hispanic,2897000,Top 5%,15.4
1973,Hispanic,2722000,Lowest,5.1
1973,Hispanic,2722000,Second,11.3
1973,Hispanic,2722000,Third,17.3
1973,Hispanic,2722000,Fourth,24.9
1973,Hispanic,2722000,Highest,41.4
1973,Hispanic,2722000,Top 5%,14.7
1972,Hispanic,2655000,Lowest,5.3
1972,Hispanic,2655000,Second,11.2
1972,Hispanic,2655000,Third,17.2
1972,Hispanic,2655000,Fourth,24
1972,Hispanic,2655000,Highest,42.3
1972,Hispanic,2655000,Top 5%,16.2
2019,White Alone,100568000,Lowest,3.3
2019,White Alone,100568000,Second,8.6
2019,White Alone,100568000,Third,14.2
2019,White Alone,100568000,Fourth,22.6
2019,White Alone,100568000,Highest,51.2
2019,White Alone,100568000,Top 5%,22.7
2018,White Alone,100528000,Lowest,3.3
2018,White Alone,100528000,Second,8.6
2018,White Alone,100528000,Third,14.3
2018,White Alone,100528000,Fourth,22.4
2018,White Alone,100528000,Highest,51.4
2018,White Alone,100528000,Top 5%,23
2017,White Alone,100065000,Lowest,3.3
2017,White Alone,100065000,Second,8.5
2017,White Alone,100065000,Third,14.5
2017,White Alone,100065000,Fourth,23
2017,White Alone,100065000,Highest,50.6
2017,White Alone,100065000,Top 5%,21.9
2016,White Alone,99400000,Lowest,3.4
2016,White Alone,99400000,Second,8.6
2016,White Alone,99400000,Third,14.4
2016,White Alone,99400000,Fourth,22.9
2016,White Alone,99400000,Highest,50.8
2016,White Alone,99400000,Top 5%,22.2
2015,White Alone,99313000,Lowest,3.4
2015,White Alone,99313000,Second,8.5
2015,White Alone,99313000,Third,14.6
2015,White Alone,99313000,Fourth,23.3
2015,White Alone,99313000,Highest,50.2
2015,White Alone,99313000,Top 5%,21.6
2014,White Alone,98679000,Lowest,3.3
2014,White Alone,98679000,Second,8.5
2014,White Alone,98679000,Third,14.5
2014,White Alone,98679000,Fourth,23.1
2014,White Alone,98679000,Highest,50.6
2014,White Alone,98679000,Top 5%,21.7
2013,White Alone,98807000,Lowest,3.3
2013,White Alone,98807000,Second,8.5
2013,White Alone,98807000,Third,14.6
2013,White Alone,98807000,Fourth,23
2013,White Alone,98807000,Highest,50.6
2013,White Alone,98807000,Top 5%,21.6
2012,White Alone,97705000,Lowest,3.5
2012,White Alone,97705000,Second,8.6
