movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age
The World Is Not Enough,1999,Michael Apted,18,1,Pierce Brosnan,Denise Richards,man,woman,1953-05-16,1971-02-17,46,28
Tommy Boy,1995,Peter Segal,18,1,Brian Dennehy,Bo Derek,man,woman,1938-07-09,1956-11-20,57,39
Whatever Works,2009,Woody Allen,18,2,Larry David,Jessica Hecht,man,woman,1947-07-02,1965-06-28,62,44
Yes Man,2008,Peyton Reed,18,1,Jim Carrey,Zooey Deschanel,man,woman,1962-01-17,1980-01-17,46,28
Zombieland: Double Tap,2019,Ruben Fleischer,18,1,Woody Harrelson,Rosario Dawson,man,woman,1961-07-23,1979-05-09,58,40
47 Ronin,2013,Carl Rinsch,17,1,Keanu Reeves,Ko Shibasaki,man,woman,1964-09-02,1981-08-05,49,32
An Affair to Remember,1957,Leo McCarey,17,1,Cary Grant,Deborah Kerr,man,woman,1904-01-18,1921-09-30,53,36
Avengers: Age of Ultron,2015,Joss Whedon,17,1,Mark Ruffalo,Scarlett Johansson,man,woman,1967-11-22,1984-11-22,48,31
Blade Runner,1982,Ridley Scott,17,1,Harrison Ford,Sean Young,man,woman,1942-07-13,1959-11-20,40,23
Closer,2004,Mike Nichols,17,1,Clive Owen,Natalie Portman,man,woman,1964-10-03,1981-06-09,40,23
Draft Day,2014,Ivan Reitman,17,1,Kevin Costner,Jennifer Garner,man,woman,1955-01-18,1972-04-17,59,42
Free Guy,2021,Shawn Levy,17,1,Ryan Reynolds,Jodie Comer,man,woman,1976-10-23,1993-03-11,45,28
GoldenEye,1995,Martin Campbell,17,1,Pierce Brosnan,Izabella Scorupco,man,woman,1953-05-16,1970-06-04,42,25
Green Book,2018,Peter Farrelly,17,1,Viggo Mortensen,Linda Cardellini,man,woman,1958-10-20,1975-06-25,60,43
Husbands,1970,John Cassavetes,17,1,John Cassavetes,Jenny Runacre,man,woman,1929-12-09,1946-08-18,41,24
Joker,2019,Todd Phillips,17,1,Joaquin Phoenix,Zazie Beetz,man,woman,1974-10-28,1991-05-28,45,28
Kindergarten Cop,1990,Ivan Reitman,17,1,Arnold Schwarzenegger,Penelope Ann Miller,man,woman,1947-07-30,1964-01-13,43,26
Knock Knock,2015,Eli Roth,17,3,Keanu Reeves,Ignacia Allamand,man,woman,1964-09-02,1981-08-29,51,34
Laggies,2014,Lynn Shelton,17,1,Sam Rockwell,Keira Knightley,man,woman,1968-11-05,1985-03-26,46,29
Mr. Right,2015,Paco Cabezas,17,1,Sam Rockwell,Anna Kendrick,man,woman,1968-11-05,1985-08-09,47,30
Oblivion,2013,Joseph Kosinski,17,1,Tom Cruise,Olga Kurylenko,man,woman,1962-07-03,1979-11-14,51,34
Raging Bull,1980,Martin Scorsese,17,1,Robert De Niro,Cathy Moriarty,man,woman,1943-08-18,1960-11-29,37,20
Rock of Ages,2012,Adam Shankman,17,1,Alec Baldwin,Russell Brand,man,man,1958-04-03,1975-06-04,54,37
Secretary,2002,Steven Shainberg,17,1,James Spader,Maggie Gyllenhaal,man,woman,1960-02-07,1977-11-16,42,25
Sleepy Hollow,1999,Tim Burton,17,1,Johnny Depp,Christina Ricci,man,woman,1963-06-09,1980-02-12,36,19
Spectre,2015,Sam Mendes,17,1,Daniel Craig,Léa Seydoux,man,woman,1968-03-02,1985-07-01,47,30
Stepmom,1998,Chris Columbus,17,1,Ed Harris,Julia Roberts,man,woman,1950-11-28,1967-10-28,48,31
The Cooler,2003,Wayne Kramer,17,1,William H. Macy,Maria Bello,man,woman,1950-03-13,1967-04-18,53,36
The Girl on the Train,2016,Tate Taylor,17,1,Justin Theroux,Haley Bennett,man,woman,1971-08-10,1988-01-07,45,28
The Girl with the Dragon Tattoo,2011,David Fincher,17,1,Daniel Craig,Rooney Mara,man,woman,1968-03-02,1985-04-17,43,26
The Only Living Boy in New York,2017,Marc Webb,17,2,Kate Beckinsale,Callum Turner,woman,man,1973-07-26,1990-02-15,44,27
The Whole Nine Yards,2000,Jonathan Lynn,17,1,Bruce Willis,Amanda Peet,man,woman,1955-03-19,1972-01-11,45,28
The Wolverine,2013,James Mangold,17,1,Hugh Jackman,Tao Okamoto,man,woman,1968-10-12,1985-05-22,45,28
Tomorrow Never Dies,1997,Roger Spottiswoode,17,2,Jonathan Pryce,Teri Hatcher,man,woman,1947-06-01,1964-12-08,50,33
Trees Lounge,1996,Steve Buscemi,17,1,Steve Buscemi,Chloë Sevigny,man,woman,1957-12-13,1974-11-18,39,22
A Thousand Words,2012,Brian Robbins,16,1,Eddie Murphy,Kerry Washington,man,woman,1961-04-03,1977-01-31,51,35
American Hustle,2013,David O. Russell,16,1,Christian Bale,Jennifer Lawrence,man,woman,1974-01-30,1990-08-15,39,23
Carol,2015,Todd Haynes,16,1,Cate Blanchett,Rooney Mara,woman,woman,1969-05-14,1985-04-17,46,30
Casablanca,1942,Michael Curtiz,16,1,Humphrey Bogart,Ingrid Bergman,man,woman,1899-12-25,1915-08-29,43,27
Damage,1992,Louis Malle,16,1,Jeremy Irons,Juliette Binoche,man,woman,1948-09-19,1964-03-09,44,28
Elegy,2008,Isabel Coixet,16,2,Ben Kingsley,Patricia Clarkson,man,woman,1943-12-31,1959-12-29,65,49
First Knight,1995,Jerry Zucker,16,2,Richard Gere,Julia Ormond,man,woman,1949-08-31,1965-01-04,46,30
Hobbs & Shaw,2019,David Leitch,16,2,Dwayne Johnson,Vanessa Kirby,man,woman,1972-05-02,1988-04-18,47,31
I Now Pronounce You Chuck and Larry,2007,Dennis Dugan,16,1,Adam Sandler,Jessica Biel,man,woman,1966-09-09,1982-03-03,41,25
Love Actually,2003,Richard Curtis,16,2,Hugh Grant,Martine McCutcheon,man,woman,1960-09-09,1976-05-14,43,27
Love Actually,2003,Richard Curtis,16,3,Colin Firth,Lucia Moniz,man,woman,1960-09-10,1976-09-09,43,27
My Life,1993,Bruce Joel Rubin,16,1,Michael Keaton,Nicole Kidman,man,woman,1951-09-05,1967-06-20,42,26
Nights in Rodanthe,2008,George C. Wolfe,16,1,Richard Gere,Diane Lane,man,woman,1949-08-31,1965-01-21,59,43
Now You See Me,2013,Louis Leterrier,16,1,Mark Ruffalo,Melanie Laurent,man,woman,1967-11-22,1983-02-21,46,30
Regarding Henry,1991,Mike Nichols,16,2,Harrison Ford,Annette Bening,man,woman,1942-07-13,1958-05-29,49,33
Remember the Titans,2000,Boaz Yakin,16,1,Denzel Washington,Nicole Ari Parker,man,woman,1954-12-28,1970-10-07,46,30
Rock of Ages,2012,Adam Shankman,16,2,Tom Cruise,Malin Akerman,man,woman,1962-07-03,1978-05-12,50,34
Safe Haven,2013,Scott Hicks,16,1,Josh Duhamel,Julianne Hough,man,woman,1972-11-14,1988-07-20,41,25
Scoop,2006,Woody Allen,16,1,Hugh Jackman,Scarlett Johansson,man,woman,1968-10-12,1984-11-22,38,22
Sister Act,1992,Emile Ardolino,16,1,Harvey Keitel,Whoopi Goldberg,man,woman,1939-05-13,1955-11-13,53,37
The Diary of a Teenage Girl,2015,Marielle Heller,16,1,Alexander Skarsgard,Bel Powley,man,woman,1976-08-25,1992-03-07,39,23
The Family Stone,2007,Thomas Bezucha,16,1,Dermot Mulroney,Claire Danes,man,woman,1963-10-31,1979-04-12,44,28
The Living Daylights,1987,John Glen,16,1,Jeroen Krabbe,Maryam d'Abo,man,woman,1944-12-05,1960-12-27,43,27
The Lost City,2022,"Adam Nee, Aaron Nee",16,1,Sandra Bullock,Channing Tatum,woman,man,1964-07-26,1980-04-26,58,42
The Other Boleyn Girl,2008,Justin Chadwick,16,1,Eric Bana,Scarlett Johansson,man,woman,1968-08-09,1984-11-22,40,24
The Prestige,2006,Christopher Nolan,16,1,Hugh Jackman,Scarlett Johansson,man,woman,1968-10-12,1984-11-22,38,22
The Raven,2012,James McTeigue,16,1,John Cusack,Alice Eve,man,woman,1966-06-28,1982-02-06,46,30
The Sand Pebbles,1966,Robert Wise,16,1,Steve McQueen,Candice Bergen,man,woman,1930-03-24,1946-05-09,36,20
The Wolf of Wall Street,2013,Martin Scorsese,16,1,Leonardo DiCaprio,Margot Robbie,man,woman,1974-11-11,1990-07-02,39,23
Troy,2004,Wolfgang Petersen,16,1,Brad Pitt,Rose Byrne,man,woman,1963-12-18,1979-07-24,41,25
Unfaithful,2002,Adrian Lyne,16,1,Richard Gere,Diane Lane,man,woman,1949-08-31,1965-01-21,53,37
What Lies Beneath,2000,Robert Zemeckis,16,1,Harrison Ford,Michelle Pfeiffer,man,woman,1942-07-13,1958-04-29,58,42
Why Him?,2016,John Hamburg,16,1,James Franco,Zoey Deutch,man,woman,1978-04-19,1994-11-10,38,22
Analyze This,1999,Harold Ramis,15,1,Billy Crystal,Lisa Kudrow,man,woman,1948-03-14,1963-07-30,51,36
Angel Heart,1987,Alan Parker,15,1,Mickey Rourke,Lisa Bonet,man,woman,1952-09-16,1967-11-16,35,20
Casino,1995,Martin Scorsese,15,1,Robert De Niro,Sharon Stone,man,woman,1943-08-18,1958-03-10,52,37
Concussion,2015,Peter Landesman,15,1,Will Smith,Gugu Mbatha-Raw,man,woman,1968-09-25,1983-04-21,47,32
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,15,2,Mark Ruffalo,Kirsten Dunst,man,woman,1967-11-22,1982-04-30,37,22
Hollywood Ending,2002,Woody Allen,15,2,Treat Williams,Tea Leoni,man,woman,1951-12-01,1966-02-25,51,36
Home Again,2017,Hallie Meyers-Shyer,15,1,Reese Witherspoon,Pico Alexander,woman,man,1976-03-21,1991-06-03,41,26
Liberal Arts,2012,Josh Radnor,15,1,Josh Radnor,Elizabeth Olsen,man,woman,1974-07-29,1989-02-16,38,23
Licence to Kill,1989,John Glen,15,2,Timothy Dalton,Carey Lowell,man,woman,1946-03-21,1961-02-11,43,28
Music and Lyrics,2007,Marc Lawrence,15,1,Hugh Grant,Drew Barrymore,man,woman,1960-09-09,1975-02-22,47,32
Once Upon a Time in Hollywood,2019,Quentin Tarantino,15,1,Leonardo DiCaprio,Lorenza Izzo,man,woman,1974-11-11,1989-09-19,45,30
Private Parts,1997,Betty Thomas,15,1,Howard Stern,Mary McCormack,man,woman,1954-01-12,1969-02-08,43,28
Serena,2014,Susanne Bier,15,1,Bradley Cooper,Jennifer Lawrence,man,woman,1975-01-05,1990-08-15,39,24
Sex and the City,2008,Michael Patrick King,15,1,Kim Cattrall,Jason Lewis,woman,man,1956-08-21,1971-06-25,52,37
Silver Linings Playbook,2012,David O. Russell,15,1,Bradley Cooper,Jennifer Lawrence,man,woman,1975-01-05,1990-08-15,37,22
The American,2010,Anton Corbijn,15,1,George Clooney,Violante Placido,man,woman,1961-05-06,1976-05-01,49,34
The Gift,2000,Sam Raimi,15,1,Greg Kinnear,Katie Holmes,man,woman,1963-06-17,1978-12-18,37,22
The Lover,1992,Jean-Jacques Annaud,15,1,Tony Leung Ka-fai,Jane March,man,woman,1958-02-01,1973-03-20,34,19
The Man with the Golden Gun,1974,Guy Hamilton,15,3,Roger Moore,Britt Ekland,man,woman,1927-10-14,1942-10-06,47,32
The Reader,2008,Stephen Daldry,15,1,Kate Winslet,David Kross,woman,man,1975-10-05,1990-07-04,33,18
The Whole Truth,2016,Courtney Hunt,15,1,Jim Belushi,Renee Zellweger,man,woman,1954-06-15,1969-04-25,62,47
Working Girl,1988,Mike Nichols,15,1,Harrison Ford,Melanie Griffith,man,woman,1942-07-13,1957-08-09,46,31
8 1/2,1963,Federico Fellini,14,1,Marcello Mastroianni,Claudia Cardinale,man,woman,1924-09-28,1938-04-15,39,25
A Perfect Murder,1998,Andrew Davis,14,2,Viggo Mortensen,Gwyneth Paltrow,man,woman,1958-10-20,1972-09-27,40,26
Ad Astra,2019,James Gray,14,1,Brad Pitt,Liv Tyler,man,woman,1963-12-18,1977-07-01,56,42
Always Be My Maybe,2019,Nahnatchka Khan,14,2,Daniel Dae Kim,Ali Wong,man,woman,1968-08-04,1982-04-19,51,37
An Education,2009,Lone Scherfig,14,1,Peter Sarsgaard,Carey Mulligan,man,woman,1971-03-07,1985-05-28,38,24
Basic Instinct,1992,Paul Verhoeven,14,1,Michael Douglas,Sharon Stone,man,woman,1944-09-25,1958-03-10,48,34
Because I Said So,2007,Michael Lehmann,14,1,Tom Everett Scott,Mandy Moore,man,woman,1970-09-07,1984-04-10,37,23
Dreamgirls,2006,Bill Condon,14,1,Jamie Foxx,Jennifer Hudson,man,woman,1967-12-13,1981-09-12,39,25
Dreamgirls,2006,Bill Condon,14,2,Jamie Foxx,Beyonce Knowles,man,woman,1967-12-13,1981-09-04,39,25
Fifty Shades of Black,2016,undefined,14,1,Marlon Wayans,Kali Hawk,man,woman,1972-07-23,1986-10-04,44,30
French Kiss,1995,Lawrence Kasdan,14,1,Kevin Kline,Meg Ryan,man,woman,1947-10-24,1961-11-19,48,34
From Russia with Love,1963,Terence Young,14,1,Sean Connery,Aliza Gur,man,woman,1930-08-25,1944-04-01,33,19
High Society,1956,Charles Walters,14,2,Frank Sinatra,Grace Kelly,man,woman,1915-12-12,1929-11-12,41,27
Irrational Man,2015,Woody Allen,14,1,Joaquin Phoenix,Emma Stone,man,woman,1974-10-28,1988-11-06,41,27
Keeping Up with the Joneses,2016,Greg Mottola,14,1,Jon Hamm,Gal Gadot,man,woman,1971-03-10,1985-04-30,45,31
Licence to Kill,1989,John Glen,14,3,Robert Davi,Talisa Soto,man,woman,1953-06-26,1967-03-27,36,22
Mission: Impossible III,2006,J.J. Abrams,14,1,Tom Cruise,Michelle Monaghan,man,woman,1962-07-03,1976-03-23,44,30
Pushing Tin,1999,Mike Newell,14,2,Billy Bob Thornton,Cate Blanchett,man,woman,1955-08-04,1969-05-14,44,30
Rumor Has It...,2005,Rob Reiner,14,2,Kevin Costner,Jennifer Aniston,man,woman,1955-01-18,1969-02-11,50,36
Star Wars,1977,George Lucas,14,1,Harrison Ford,Carrie Fisher,man,woman,1942-07-13,1956-10-21,35,21
Ted 2,2015,Seth MacFarlane,14,1,Mark Wahlberg,Amanda Seyfried,man,woman,1971-06-05,1985-12-03,44,30
The American President,1995,Rob Reiner,14,1,Michael Douglas,Annette Bening,man,woman,1944-09-25,1958-05-29,51,37
The Beach,2000,Danny Boyle,14,1,Tilda Swinton,Leonardo DiCaprio,woman,man,1960-12-05,1974-11-11,40,26
The Crush,1993,Alan Shapiro,14,1,Cary Elwes,Alicia Silverstone,man,woman,1962-10-26,1976-10-04,31,17
The Favourite,2018,Yorgos Lanthimos,14,1,Olivia Colman,Emma Stone,woman,woman,1974-01-30,1988-11-06,44,30
The Gift,2000,Sam Raimi,14,2,Keanu Reeves,Katie Holmes,man,woman,1964-09-02,1978-12-18,36,22
The Legend of Tarzan,2016,David Yates,14,1,Alexander Skarsgard,Margot Robbie,man,woman,1976-08-25,1990-07-02,40,26
The Living Daylights,1987,John Glen,14,2,Timothy Dalton,Maryam d'Abo,man,woman,1946-03-21,1960-12-27,41,27
The Quiet American,2002,Phillip Noyce,14,3,Brendan Fraser,Do Thi Hai Yen,man,woman,1968-12-03,1982-10-01,34,20
We Bought a Zoo,2011,Cameron Crowe,14,1,Matt Damon,Scarlett Johansson,man,woman,1970-10-08,1984-11-22,41,27
Widows,2018,Steve McQueen,14,1,Jon Bernthal,Elizabeth Debicki,man,woman,1976-09-20,1990-08-24,42,28
3000 Miles to Graceland,2001,Demian Lichtenstein,13,1,Kurt Russell,Courteney Cox,man,woman,1951-03-17,1964-06-15,50,37
A Star Is Born,1954,George Cukor,13,1,James Mason,Judy Garland,man,woman,1909-05-15,1922-06-10,45,32
Aloha,2015,Cameron Crowe,13,1,Bradley Cooper,Emma Stone,man,woman,1975-01-05,1988-11-06,40,27
Anna Karenina,2012,Joe Wright,13,1,Jude Law,Keira Knightley,man,woman,1972-12-29,1985-03-26,40,27
Bohemian Rhapsody,2018,Bryan Singer,13,1,Rami Malek,Lucy Boynton,man,woman,1981-05-12,1994-01-17,37,24
Bridge of Spies,2015,Steven Spielberg,13,1,Tom Hanks,Amy Ryan,man,woman,1956-07-09,1969-05-03,59,46
Die Another Day,2002,Lee Tamahori,13,2,Pierce Brosnan,Halle Berry,man,woman,1953-05-16,1966-08-14,49,36
Elf,2003,Jon Favreau,13,1,Will Ferrell,Zooey Deschanel,man,woman,1967-07-16,1980-01-17,36,23
Emma.,2020,Autumn de Wilde,13,1,Johnny Flynn,Anya Taylor-Joy,man,woman,1983-03-14,1996-04-16,37,24
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,13,3,Jim Carrey,Kate Winslet,man,woman,1962-01-17,1975-10-05,42,29
Feeling Minnesota,1996,Steven Baigelman,13,1,Vincent D'Onofrio,Cameron Diaz,man,woman,1959-06-30,1972-08-30,37,24
For Your Eyes Only,1981,John Glen,13,3,Chaim Topol,Cassandra Harris,man,woman,1935-09-09,1948-12-15,46,33
How Stella Got Her Groove Back,1998,Kevin Rodney Sullivan,13,1,Angela Bassett,Taye Diggs,woman,man,1958-08-16,1971-01-02,40,27
John Q.,2002,Nick Cassavetes,13,1,Denzel Washington,Kimberly Elise,man,woman,1954-12-28,1967-04-17,48,35
Joy,2015,David O. Russell,13,1,Edgar Ramirez,Jennifer Lawrence,man,woman,1977-03-25,1990-08-15,38,25
Layer Cake,2004,Matthew Vaughn,13,1,Daniel Craig,Sienna Miller,man,woman,1968-03-02,1981-12-28,36,23
Love Actually,2003,Richard Curtis,13,4,Alan Rickman,Emma Thompson,man,woman,1946-02-21,1959-04-15,57,44
Nine Lives,2016,Barry Sonnenfeld,13,1,Kevin Spacey,Jennifer Garner,man,woman,1959-07-26,1972-04-17,57,44
Palo Alto,2013,Gia Coppola,13,1,James Franco,Emma Roberts,man,woman,1978-04-19,1991-02-10,35,22
Red Notice,2021,Rawson Marshall Thurber,13,1,Dwayne Johnson,Gal Gadot,man,woman,1972-05-02,1985-04-30,49,36
Roman Holiday,1953,William Wyler,13,1,Gregory Peck,Audrey Hepburn,man,woman,1916-04-05,1929-05-04,37,24
Schindler's List,1993,Steven Spielberg,13,1,Liam Neeson,Beatrice Macola,man,woman,1952-06-07,1965-12-02,41,28
Suicide Squad,2016,David Ayer,13,2,Joel Kinnaman,Cara Delevingne,man,woman,1979-11-25,1992-08-12,37,24
The Adjustment Bureau,2011,George Nolfi,13,1,Matt Damon,Emily Blunt,man,woman,1970-10-08,1983-02-23,41,28
The Devil Wears Prada,2006,David Frankel,13,1,Simon Baker,Anne Hathaway,man,woman,1969-07-30,1982-11-12,37,24
The Heartbreak Kid,2007,"Bobby Farrelly, Peter Farrelly",13,1,Ben Stiller,Malin Akerman,man,woman,1965-11-30,1978-05-12,42,29
The Illusionist,2006,Neil Burger,13,1,Edward Norton,Jessica Biel,man,woman,1969-08-18,1982-03-03,37,24
The Other Boleyn Girl,2008,Justin Chadwick,13,2,Eric Bana,Natalie Portman,man,woman,1968-08-09,1981-06-09,40,27
The Polka King,2018,Maya Forbes,13,1,Jack Black,Jenny Slate,man,woman,1969-08-28,1982-03-25,49,36
The Sixth Sense,1999,M. Night Shyamalan,13,1,Bruce Willis,Olivia Williams,man,woman,1955-03-19,1968-07-26,44,31
The World Is Not Enough,1999,Michael Apted,13,2,Pierce Brosnan,Sophie Marceau,man,woman,1953-05-16,1966-11-17,46,33
When Harry Met Sally...,1989,Rob Reiner,13,1,Billy Crystal,Meg Ryan,man,woman,1948-03-14,1961-11-19,41,28
Widows,2018,Steve McQueen,13,2,Liam Neeson,Viola Davis,man,woman,1952-06-07,1965-08-11,66,53
Wonder Boys,2000,Curtis Hanson,13,1,Michael Douglas,Frances McDormand,man,woman,1944-09-25,1957-06-23,56,43
X-Men: First Class,2015,Matthew Vaughn,13,1,Michael Fassbender,Jennifer Lawrence,man,woman,1977-04-02,1990-08-15,38,25
Yogi Bear,2010,Eric Brevig,13,1,Tom Cavanagh,Anna Faris,man,woman,1963-10-26,1976-11-29,47,34
You Only Live Twice,1967,Lewis Gilbert,13,1,Sean Connery,Mie Hama,man,woman,1930-08-25,1943-11-20,37,24
All About the Benjamins,2002,Kevin Bray,12,1,Tommy Flanagan,Carmen Chaplin,man,woman,1965-07-03,1977-07-27,37,25
Allied,2016,Robert Zemeckis,12,1,Brad Pitt,Marion Cotillard,man,woman,1963-12-18,1975-09-30,53,41
Bad Santa,2003,Terry Zwigoff,12,1,Billy Bob Thornton,Lauren Graham,man,woman,1955-08-04,1967-03-16,48,36
Because I Said So,2007,Michael Lehmann,12,2,Gabriel Macht,Mandy Moore,man,woman,1972-01-22,1984-04-10,35,23
Beginners,2010,Mike Mills,12,2,Ewan McGregor,Melanie Laurent,man,woman,1971-03-31,1983-02-21,39,27
Casino Royale,2006,Martin Campbell,12,1,Daniel Craig,Eva Green,man,woman,1968-03-02,1980-07-06,38,26
Delivery Man,2013,Ken Scott,12,1,Vince Vaughn,Cobie Smulders,man,woman,1970-03-28,1982-04-03,43,31
Down and Out in Beverly Hills,1986,Paul Mazursky,12,1,Richard Dreyfuss,Elizabeth Peña,man,woman,1947-10-29,1959-09-23,39,27
From Russia with Love,1963,Terence Young,12,2,Sean Connery,Daniela Bianchi,man,woman,1930-08-25,1942-01-31,33,21
Gone with the Wind,1939,Victor Fleming,12,1,Clark Gable,Vivien Leigh,man,woman,1901-02-01,1913-11-05,38,26
Heat,1995,Michael Mann,12,2,Al Pacino,Diane Venora,man,woman,1940-04-25,1952-08-10,55,43
I Think I Love My Wife,2007,Chris Rock,12,1,Chris Rock,Kerry Washington,man,woman,1965-02-07,1977-01-31,42,30
In the Heights,2021,John M. Chu,12,1,Daphne Rubin-Vega,Stephanie Beatriz,woman,woman,1969-11-18,1981-02-10,52,40
Inferno,2016,Ron Howard,12,1,Tom Hanks,Sidse Babett Knudsen,man,woman,1956-07-09,1968-11-22,60,48
Jack and Jill,2011,Dennis Dugan,12,1,Adam Sandler,Katie Holmes,man,woman,1966-09-09,1978-12-18,45,33
Jane Eyre,2011,Cary Fukunaga,12,1,Michael Fassbender,Mia Wasikowska,man,woman,1977-04-02,1989-10-14,34,22
La decima vittima,1965,Elio Petri,12,1,Marcello Mastroianni,Ursula Andress,man,woman,1924-09-28,1936-03-19,41,29
Last Night,2010,Massy Tadjedin,12,1,Guillaume Canet,Keira Knightley,man,woman,1973-04-10,1985-03-26,37,25
Lo Sceicco Bianco,1952,Federico Fellini,12,1,Alberto Sordi,Brunella Bovo,man,woman,1920-06-15,1932-03-04,32,20
Malcolm & Marie,2021,Sam Levinson,12,1,John David Washington,Zendaya,man,woman,1984-07-28,1996-09-01,37,25
Mr. & Mrs. Smith,2005,Doug Liman,12,1,Brad Pitt,Angelina Jolie,man,woman,1963-12-18,1975-06-04,42,30
National Treasure,2004,Jon Turteltaub,12,1,Nicolas Cage,Diane Kruger,man,woman,1964-01-07,1976-07-15,40,28
Natural Born Killers,1994,Oliver Stone,12,1,Woody Harrelson,Juliette Lewis,man,woman,1961-07-23,1973-06-21,33,21
Stella Dallas,1937,King Vidor,12,1,John Boles,Barbara Stanwyck,man,woman,1895-10-28,1907-07-16,42,30
Taken,2008,Pierre Morel,12,1,Liam Neeson,Famke Janssen,man,woman,1952-06-07,1964-11-05,56,44
Ted,2012,Seth MacFarlane,12,1,Mark Wahlberg,Mila Kunis,man,woman,1971-06-05,1983-08-14,41,29
The Astronaut's Wife,1999,Rand Ravich,12,1,Johnny Depp,Charlize Theron,man,woman,1963-06-09,1975-08-07,36,24
The Girl on the Train,2016,Tate Taylor,12,2,Justin Theroux,Emily Blunt,man,woman,1971-08-10,1983-02-23,45,33
The Girl on the Train,2016,Tate Taylor,12,3,Justin Theroux,Rebecca Ferguson,man,woman,1971-08-10,1983-10-19,45,33
The Greatest Showman,2017,Michael Gracey,12,1,Hugh Jackman,Michelle Williams,man,woman,1968-10-12,1980-09-09,49,37
The Proposal,2009,Anne Fletcher,12,1,Sandra Bullock,Ryan Reynolds,woman,man,1964-07-26,1976-10-23,45,33
The Spy Who Dumped Me,2018,Susanna Fogel,12,1,Justin Theroux,Mila Kunis,man,woman,1971-08-10,1983-08-14,47,35
The Wrestler,2008,Darren Aronofsky,12,1,Mickey Rourke,Marisa Tomei,man,woman,1952-09-16,1964-12-04,56,44
Tootsie,1982,Sydney Pollack,12,1,Dustin Hoffman,Jessica Lange,man,woman,1937-08-08,1949-04-20,45,33
Up in the Air,2009,Jason Reitman,12,1,George Clooney,Vera Farmiga,man,woman,1961-05-06,1973-08-06,48,36
World War Z,2013,Marc Forster,12,1,Brad Pitt,Mireille Enos,man,woman,1963-12-18,1975-09-22,50,38
A Good Year,2006,Ridley Scott,11,1,Russell Crowe,Marion Cotillard,man,woman,1964-04-07,1975-09-30,42,31
A Star Is Born,2018,Bradley Cooper,11,2,Bradley Cooper,Lady Gaga,man,woman,1975-01-05,1986-03-28,43,32
Annie Hall,1977,Woody Allen,11,1,Woody Allen,Diane Keaton,man,woman,1935-12-01,1946-01-05,42,31
Barfly,1987,Barbet Schroeder,11,1,Faye Dunaway,Mickey Rourke,woman,man,1941-01-14,1952-09-16,46,35
Black Panther,2018,Ryan Coogler,11,1,Danai Gurira,Daniel Kaluuya,woman,man,1978-02-14,1989-02-24,40,29
Blow,2001,Ted Demme,11,1,Johnny Depp,Penelope Cruz,man,woman,1963-06-09,1974-04-28,38,27
Boogie Nights,1997,Paul Thomas Anderson,11,1,Julianne Moore,Mark Wahlberg,woman,man,1960-12-03,1971-06-05,37,26
Dreamgirls,2006,Bill Condon,11,3,Eddie Murphy,Anika Noni Rose,man,woman,1961-04-03,1972-09-06,45,34
Emma,1996,Douglas McGrath,11,1,Jeremy Northam,Gwyneth Paltrow,man,woman,1961-12-01,1972-09-27,35,24
From Russia with Love,1963,Terence Young,11,3,Sean Connery,Martine Beswick,man,woman,1930-08-25,1941-09-26,33,22
Henry’s Crime,2010,Malcolm Venville,11,1,Keanu Reeves,Judy Greer,man,woman,1964-09-02,1975-07-20,46,35
I Could Never Be Your Woman,2007,Amy Heckerling,11,1,Michelle Pfeiffer,Paul Rudd,woman,man,1958-04-29,1969-04-06,49,38
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,11,1,Harrison Ford,Kate Capshaw,man,woman,1942-07-13,1953-11-03,42,31
Larry Crowne,2011,Tom Hanks,11,1,Tom Hanks,Julia Roberts,man,woman,1956-07-09,1967-10-28,55,44
Love Actually,2003,Richard Curtis,11,5,Laura Linney,Rodrigo Santoro,woman,man,1964-02-05,1975-08-22,39,28
Message in a Bottle,1999,Luis Mandoki,11,1,Kevin Costner,Robin Wright,man,woman,1955-01-18,1966-04-08,44,33
Monster's Ball,2001,Marc Forster,11,1,Billy Bob Thornton,Halle Berry,man,woman,1955-08-04,1966-08-14,46,35
Old School,2003,Todd Phillips,11,1,Luke Wilson,Elisha Cuthbert,man,woman,1971-09-21,1982-11-30,32,21
Passengers,2016,Morten Tyldum,11,1,Chris Pratt,Jennifer Lawrence,man,woman,1979-06-21,1990-08-15,37,26
Pride & Prejudice,2005,Joe Wright,11,1,Matthew Macfadyen,Keira Knightley,man,woman,1974-10-17,1985-03-26,31,20
Sabrina,1954,Billy Wilder,11,3,William Holden,Audrey Hepburn,man,woman,1918-04-17,1929-05-04,36,25
Save the Last Dance,2001,Thomas Carter,11,1,Sean Patrick Thomas,Julia Stiles,man,woman,1970-12-17,1981-03-28,31,20
Seven Pounds,2008,Gabriele Muccino,11,1,Will Smith,Rosario Dawson,man,woman,1968-09-25,1979-05-09,40,29
Sex and the City,2008,Michael Patrick King,11,2,Chris Noth,Sarah Jessica Parker,man,woman,1954-11-13,1965-03-25,54,43
