type,nationality,part,score,year
Academic,Russian Federation,listening,7.185556592039801,2023-2024
Academic,Russian Federation,reading,7.098414179104478,2023-2024
Academic,Russian Federation,writing,6.183729788557214,2023-2024
Academic,Russian Federation,speaking,6.684429415422885,2023-2024
Academic,Russian Federation,overall,6.851717972636816,2023-2024
Academic,Saudi Arabia,listening,5.976902236304358,2023-2024
Academic,Saudi Arabia,reading,5.575745052119208,2023-2024
Academic,Saudi Arabia,writing,5.369265739082518,2023-2024
Academic,Saudi Arabia,speaking,6.161535105845617,2023-2024
Academic,Saudi Arabia,overall,5.835365293658447,2023-2024
Academic,Spain,listening,7.452195186458609,2023-2024
Academic,Spain,reading,7.37979370536895,2023-2024
Academic,Spain,writing,6.311227188574451,2023-2024
Academic,Spain,speaking,6.886471832848453,2023-2024
Academic,Spain,overall,7.070153398571806,2023-2024
Academic,Sri Lanka,listening,6.64589915745129,2023-2024
Academic,Sri Lanka,reading,6.185788572933123,2023-2024
Academic,Sri Lanka,writing,5.963335966298051,2023-2024
Academic,Sri Lanka,speaking,6.348588072669826,2023-2024
Academic,Sri Lanka,overall,6.348818457082675,2023-2024
Academic,Thailand,listening,6.421714659313795,2023-2024
Academic,Thailand,reading,6.171536996503596,2023-2024
Academic,Thailand,writing,5.757142044970011,2023-2024
Academic,Thailand,speaking,5.885144546462378,2023-2024
Academic,Thailand,overall,6.1231416470053155,2023-2024
Academic,Turkey,listening,6.805611554852375,2023-2024
Academic,Turkey,reading,6.6080587950085485,2023-2024
Academic,Turkey,writing,5.955367851583433,2023-2024
Academic,Turkey,speaking,6.244736774950876,2023-2024
Academic,Turkey,overall,6.468522724372879,2023-2024
Academic,Ukraine,listening,6.908159660897209,2023-2024
Academic,Ukraine,reading,6.656717296597198,2023-2024
Academic,Ukraine,writing,5.960555751795597,2023-2024
Academic,Ukraine,speaking,6.607912398445779,2023-2024
Academic,Ukraine,overall,6.597021076180384,2023-2024
Academic,United Arab Emirates,listening,5.597747505526677,2023-2024
Academic,United Arab Emirates,reading,5.1073669116329095,2023-2024
Academic,United Arab Emirates,writing,5.1491605425106055,2023-2024
Academic,United Arab Emirates,speaking,5.8863595626456355,2023-2024
Academic,United Arab Emirates,overall,5.497968572623528,2023-2024
Academic,Uzbekistan,listening,6.274451576497143,2023-2024
Academic,Uzbekistan,reading,5.89976722860972,2023-2024
Academic,Uzbekistan,writing,5.732630316710164,2023-2024
Academic,Uzbekistan,speaking,5.776214996120477,2023-2024
Academic,Uzbekistan,overall,5.985088523665091,2023-2024
Academic,Vietnam,listening,6.313754828303408,2023-2024
Academic,Vietnam,reading,6.411687147162443,2023-2024
Academic,Vietnam,writing,6.011394265461183,2023-2024
Academic,Vietnam,speaking,5.657564518867524,2023-2024
Academic,Vietnam,overall,6.164554947153954,2023-2024
Academic,Zimbabwe,listening,7.168936227585277,2023-2024
Academic,Zimbabwe,reading,6.571390049885398,2023-2024
Academic,Zimbabwe,writing,6.401577457192936,2023-2024
Academic,Zimbabwe,speaking,7.366725091007146,2023-2024
Academic,Zimbabwe,overall,6.941957664824053,2023-2024
General_Training,Argentina,listening,6.365350318471338,2023-2024
General_Training,Argentina,reading,6.321273885350318,2023-2024
General_Training,Argentina,writing,6.035923566878981,2023-2024
General_Training,Argentina,speaking,6.177707006369427,2023-2024
General_Training,Argentina,overall,6.289554140127389,2023-2024
General_Training,Bangladesh,listening,5.462424425634825,2023-2024
General_Training,Bangladesh,reading,4.626662636033857,2023-2024
General_Training,Bangladesh,writing,5.435852478839178,2023-2024
General_Training,Bangladesh,speaking,5.476844014510278,2023-2024
General_Training,Bangladesh,overall,5.312152357920193,2023-2024
General_Training,Brazil,listening,6.677181798197406,2023-2024
General_Training,Brazil,reading,6.590569355902396,2023-2024
General_Training,Brazil,writing,6.176522312596175,2023-2024
General_Training,Brazil,speaking,6.6417894042646735,2023-2024
General_Training,Brazil,overall,6.584304242690702,2023-2024
General_Training,Cameroon,listening,5.382622328574965,2023-2024
General_Training,Cameroon,reading,4.905932832741976,2023-2024
General_Training,Cameroon,writing,5.942775806584701,2023-2024
General_Training,Cameroon,speaking,6.117707731661028,2023-2024
General_Training,Cameroon,overall,5.649682317022856,2023-2024
General_Training,Chile,listening,6.06763590391909,2023-2024
General_Training,Chile,reading,5.95865992414665,2023-2024
General_Training,Chile,writing,5.843109987357775,2023-2024
General_Training,Chile,speaking,5.947155499367889,2023-2024
General_Training,Chile,overall,6.0214917825537295,2023-2024
General_Training,China,listening,6.330207921093488,2023-2024
General_Training,China,reading,6.294925264087187,2023-2024
General_Training,China,writing,6.014018691588785,2023-2024
General_Training,China,speaking,5.962632043593413,2023-2024
General_Training,China,overall,6.213903010746141,2023-2024
General_Training,Colombia,listening,6.345615763546798,2023-2024
General_Training,Colombia,reading,6.234187192118227,2023-2024
General_Training,Colombia,writing,6.023546798029557,2023-2024
General_Training,Colombia,speaking,6.344433497536945,2023-2024
General_Training,Colombia,overall,6.2983251231527095,2023-2024
General_Training,Egypt,listening,6.595647773279352,2023-2024
General_Training,Egypt,reading,6.229377530364372,2023-2024
General_Training,Egypt,writing,6.116143724696356,2023-2024
General_Training,Egypt,speaking,6.506199392712551,2023-2024
General_Training,Egypt,overall,6.424215587044534,2023-2024
General_Training,France,listening,7.1068035550107265,2023-2024
General_Training,France,reading,7.010266625804475,2023-2024
General_Training,France,writing,6.365461231995097,2023-2024
General_Training,France,speaking,6.830217591173766,2023-2024
General_Training,France,overall,6.889825314128103,2023-2024
General_Training,Ghana,listening,5.822400413864459,2023-2024
General_Training,Ghana,reading,4.96932229694775,2023-2024
General_Training,Ghana,writing,6.080237972064149,2023-2024
General_Training,Ghana,speaking,6.806828763579928,2023-2024
General_Training,Ghana,overall,5.9790481117434044,2023-2024
General_Training,Hong Kong,listening,6.970749542961609,2023-2024
General_Training,Hong Kong,reading,6.727735701227474,2023-2024
General_Training,Hong Kong,writing,6.308566205275529,2023-2024
General_Training,Hong Kong,speaking,6.43745103160094,2023-2024
General_Training,Hong Kong,overall,6.677330895795246,2023-2024
General_Training,India,listening,6.70249023094526,2023-2024
General_Training,India,reading,6.076376078108075,2023-2024
General_Training,India,writing,6.147136567133831,2023-2024
General_Training,India,speaking,6.3377616017922564,2023-2024
General_Training,India,overall,6.378904387109654,2023-2024
General_Training,Indonesia,listening,5.7373607146146055,2023-2024
General_Training,Indonesia,reading,5.387236393774749,2023-2024
General_Training,Indonesia,writing,5.691408048623262,2023-2024
General_Training,Indonesia,speaking,5.653973662399853,2023-2024
General_Training,Indonesia,overall,5.68077171010222,2023-2024
General_Training,"Iran, Islamic Republic of",listening,6.241695564884103,2023-2024
General_Training,"Iran, Islamic Republic of",reading,5.906552290563972,2023-2024
General_Training,"Iran, Islamic Republic of",writing,6.007391859828436,2023-2024
General_Training,"Iran, Islamic Republic of",speaking,6.3169373973352805,2023-2024
General_Training,"Iran, Islamic Republic of",overall,6.180553020624202,2023-2024
General_Training,Italy,listening,6.720823798627002,2023-2024
General_Training,Italy,reading,6.588100686498856,2023-2024
General_Training,Italy,writing,6.114797864225782,2023-2024
General_Training,Italy,speaking,6.519705059750827,2023-2024
General_Training,Italy,overall,6.546910755148741,2023-2024
General_Training,Japan,listening,5.886100386100386,2023-2024
General_Training,Japan,reading,5.588931788931789,2023-2024
General_Training,Japan,writing,5.678893178893179,2023-2024
General_Training,Japan,speaking,5.650836550836551,2023-2024
General_Training,Japan,overall,5.760489060489061,2023-2024
General_Training,Kenya,listening,6.306751549673312,2023-2024
General_Training,Kenya,reading,5.725247110068688,2023-2024
General_Training,Kenya,writing,6.296699614675825,2023-2024
General_Training,Kenya,speaking,6.997068185625733,2023-2024
General_Training,Kenya,overall,6.394203384151449,2023-2024
General_Training,"Korea, Republic of",listening,6.195817882159044,2023-2024
General_Training,"Korea, Republic of",reading,5.917284713638237,2023-2024
General_Training,"Korea, Republic of",writing,5.851153687680264,2023-2024
General_Training,"Korea, Republic of",speaking,5.813658838071693,2023-2024
General_Training,"Korea, Republic of",overall,6.006077461887103,2023-2024
General_Training,Lebanon,listening,6.871576763485477,2023-2024
General_Training,Lebanon,reading,6.395850622406639,2023-2024
General_Training,Lebanon,writing,6.3199170124481325,2023-2024
General_Training,Lebanon,speaking,6.676763485477179,2023-2024
General_Training,Lebanon,overall,6.6294605809128635,2023-2024
General_Training,Malaysia,listening,7.060009267840593,2023-2024
General_Training,Malaysia,reading,6.694392956441149,2023-2024
General_Training,Malaysia,writing,6.399212233549583,2023-2024
General_Training,Malaysia,speaking,6.724745134383689,2023-2024
General_Training,Malaysia,overall,6.775254865616311,2023-2024
General_Training,Mexico,listening,6.660424653494545,2023-2024
General_Training,Mexico,reading,6.4849601887348864,2023-2024
General_Training,Mexico,writing,6.146122087879681,2023-2024
General_Training,Mexico,speaking,6.603066941905043,2023-2024
General_Training,Mexico,overall,6.53391329991153,2023-2024
General_Training,Morocco,listening,5.901251268177207,2023-2024
General_Training,Morocco,reading,5.541596212377409,2023-2024
General_Training,Morocco,writing,5.7603990530943525,2023-2024
General_Training,Morocco,speaking,6.314677037538045,2023-2024
General_Training,Morocco,overall,5.943354751437267,2023-2024
General_Training,Nepal,listening,5.728919317098535,2023-2024
General_Training,Nepal,reading,4.9064910304185805,2023-2024
General_Training,Nepal,writing,5.741788716526562,2023-2024
General_Training,Nepal,speaking,5.632117167865499,2023-2024
General_Training,Nepal,overall,5.563047057803969,2023-2024
General_Training,Nigeria,listening,6.32059625475872,2023-2024
General_Training,Nigeria,reading,5.7256276365881265,2023-2024
General_Training,Nigeria,writing,6.37763658812635,2023-2024
General_Training,Nigeria,speaking,7.035902613437597,2023-2024
General_Training,Nigeria,overall,6.426516359707789,2023-2024
General_Training,Pakistan,listening,5.56799117282676,2023-2024
General_Training,Pakistan,reading,4.797278288251084,2023-2024
General_Training,Pakistan,writing,5.524248915961181,2023-2024
General_Training,Pakistan,speaking,5.653281798472022,2023-2024
General_Training,Pakistan,overall,5.448714639686145,2023-2024
General_Training,Peru,listening,5.8004854368932035,2023-2024
General_Training,Peru,reading,5.751941747572816,2023-2024
General_Training,Peru,writing,5.882038834951456,2023-2024
General_Training,Peru,speaking,6.03252427184466,2023-2024
General_Training,Peru,overall,5.937378640776699,2023-2024
General_Training,Philippines,listening,5.9419798474945535,2023-2024
General_Training,Philippines,reading,5.222072440087146,2023-2024
General_Training,Philippines,writing,5.7981889978213506,2023-2024
General_Training,Philippines,speaking,5.926225490196078,2023-2024
General_Training,Philippines,overall,5.784490740740741,2023-2024
General_Training,Russian Federation,listening,7.04595836712625,2023-2024
General_Training,Russian Federation,reading,7.047985942146526,2023-2024
General_Training,Russian Federation,writing,6.336442281697757,2023-2024
General_Training,Russian Federation,speaking,6.674371451743714,2023-2024
General_Training,Russian Federation,overall,6.839416058394161,2023-2024
General_Training,Saudi Arabia,listening,5.201390553824023,2023-2024
General_Training,Saudi Arabia,reading,4.450611364181252,2023-2024
General_Training,Saudi Arabia,writing,5.03752097818269,2023-2024
General_Training,Saudi Arabia,speaking,5.684128506353392,2023-2024
General_Training,Saudi Arabia,overall,5.153560297290817,2023-2024
General_Training,South Africa,listening,6.910623003194888,2023-2024
General_Training,South Africa,reading,6.362460063897764,2023-2024
General_Training,South Africa,writing,6.459664536741214,2023-2024
General_Training,South Africa,speaking,7.809105431309904,2023-2024
General_Training,South Africa,overall,6.947044728434505,2023-2024
General_Training,Spain,listening,6.547829751369575,2023-2024
General_Training,Spain,reading,6.479877791824695,2023-2024
General_Training,Spain,writing,6.126632954066582,2023-2024
General_Training,Spain,speaking,6.350611040876528,2023-2024
General_Training,Spain,overall,6.440476190476191,2023-2024
General_Training,Sri Lanka,listening,5.753473766118275,2023-2024
General_Training,Sri Lanka,reading,5.064862160960427,2023-2024
General_Training,Sri Lanka,writing,5.6015451311694084,2023-2024
General_Training,Sri Lanka,speaking,5.847793463761672,2023-2024
General_Training,Sri Lanka,overall,5.629224099599822,2023-2024
General_Training,Thailand,listening,5.333725259651185,2023-2024
General_Training,Thailand,reading,4.806290417401528,2023-2024
General_Training,Thailand,writing,5.325102880658436,2023-2024
General_Training,Thailand,speaking,5.298157946306095,2023-2024
General_Training,Thailand,overall,5.254360180286106,2023-2024
General_Training,Tunisia,listening,5.727738927738928,2023-2024
General_Training,Tunisia,reading,5.469230769230769,2023-2024
General_Training,Tunisia,writing,5.724009324009324,2023-2024
General_Training,Tunisia,speaking,6.013053613053613,2023-2024
General_Training,Tunisia,overall,5.794871794871795,2023-2024
General_Training,Turkey,listening,5.977083660335897,2023-2024
General_Training,Turkey,reading,5.660414377648721,2023-2024
General_Training,Turkey,writing,5.731674776330246,2023-2024
General_Training,Turkey,speaking,5.800109872861404,2023-2024
General_Training,Turkey,overall,5.854104536179563,2023-2024
General_Training,Uganda,listening,5.603115141955836,2023-2024
General_Training,Uganda,reading,4.879534700315458,2023-2024
General_Training,Uganda,writing,6.003943217665615,2023-2024
General_Training,Uganda,speaking,6.663249211356467,2023-2024
General_Training,Uganda,overall,5.850157728706624,2023-2024
General_Training,Ukraine,listening,6.66817496229261,2023-2024
General_Training,Ukraine,reading,6.417609351432881,2023-2024
General_Training,Ukraine,writing,6.082013574660634,2023-2024
General_Training,Ukraine,speaking,6.637443438914027,2023-2024
General_Training,Ukraine,overall,6.514705882352941,2023-2024
General_Training,Vietnam,listening,5.728571428571429,2023-2024
General_Training,Vietnam,reading,5.573136645962733,2023-2024
General_Training,Vietnam,writing,5.8111283643892335,2023-2024
General_Training,Vietnam,speaking,5.406107660455486,2023-2024
General_Training,Vietnam,overall,5.693840579710145,2023-2024
General_Training,Zimbabwe,listening,5.994309350714465,2023-2024
General_Training,Zimbabwe,reading,5.326873903233893,2023-2024
General_Training,Zimbabwe,writing,6.1852845324642765,2023-2024
General_Training,Zimbabwe,speaking,6.6682877914264225,2023-2024
General_Training,Zimbabwe,overall,6.1056154424667834,2023-2024
Academic,Bangladesh,listening,6.3,2022-2023
Academic,Bangladesh,reading,5.8,2022-2023
Academic,Bangladesh,writing,5.8,2022-2023
Academic,Bangladesh,speaking,6.1,2022-2023
Academic,Bangladesh,overall,6.1,2022-2023
Academic,Bhutan,listening,6.2,2022-2023
Academic,Bhutan,reading,5.7,2022-2023
Academic,Bhutan,writing,6,2022-2023
Academic,Bhutan,speaking,6.3,2022-2023
Academic,Bhutan,overall,6.1,2022-2023
Academic,Brazil,listening,7,2022-2023
Academic,Brazil,reading,7.2,2022-2023
Academic,Brazil,writing,6.1,2022-2023
Academic,Brazil,speaking,6.9,2022-2023
Academic,Brazil,overall,6.9,2022-2023
Academic,Cambodia,listening,6.1,2022-2023
Academic,Cambodia,reading,5.8,2022-2023
Academic,Cambodia,writing,5.7,2022-2023
Academic,Cambodia,speaking,6,2022-2023
Academic,Cambodia,overall,5.9,2022-2023
Academic,China,listening,6.1,2022-2023
Academic,China,reading,6.4,2022-2023
Academic,China,writing,5.8,2022-2023
Academic,China,speaking,5.6,2022-2023
Academic,China,overall,6.1,2022-2023
Academic,Colombia,listening,6.7,2022-2023
Academic,Colombia,reading,6.9,2022-2023
Academic,Colombia,writing,6,2022-2023
Academic,Colombia,speaking,6.6,2022-2023
Academic,Colombia,overall,6.6,2022-2023
Academic,Egypt,listening,7,2022-2023
Academic,Egypt,reading,6.5,2022-2023
Academic,Egypt,writing,6,2022-2023
Academic,Egypt,speaking,6.7,2022-2023
Academic,Egypt,overall,6.6,2022-2023
Academic,France,listening,7,2022-2023
Academic,France,reading,7.1,2022-2023
Academic,France,writing,6.2,2022-2023
Academic,France,speaking,6.6,2022-2023
Academic,France,overall,6.8,2022-2023
Academic,Ghana,listening,6.8,2022-2023
Academic,Ghana,reading,6.2,2022-2023
Academic,Ghana,writing,6.3,2022-2023
Academic,Ghana,speaking,7.1,2022-2023
Academic,Ghana,overall,6.7,2022-2023
Academic,"Hong Kong, SAR of China",listening,7.1,2022-2023
Academic,"Hong Kong, SAR of China",reading,6.9,2022-2023
Academic,"Hong Kong, SAR of China",writing,6.2,2022-2023
Academic,"Hong Kong, SAR of China",speaking,6.3,2022-2023
Academic,"Hong Kong, SAR of China",overall,6.7,2022-2023
Academic,India,listening,6.6,2022-2023
Academic,India,reading,6,2022-2023
Academic,India,writing,5.9,2022-2023
Academic,India,speaking,6.1,2022-2023
Academic,India,overall,6.2,2022-2023
Academic,Indonesia,listening,7,2022-2023
Academic,Indonesia,reading,6.9,2022-2023
Academic,Indonesia,writing,6.1,2022-2023
Academic,Indonesia,speaking,6.4,2022-2023
Academic,Indonesia,overall,6.7,2022-2023
Academic,Iran,listening,6.7,2022-2023
Academic,Iran,reading,6.4,2022-2023
Academic,Iran,writing,6,2022-2023
Academic,Iran,speaking,6.7,2022-2023
Academic,Iran,overall,6.5,2022-2023
Academic,Italy,listening,7.2,2022-2023
Academic,Italy,reading,7.5,2022-2023
Academic,Italy,writing,6.2,2022-2023
Academic,Italy,speaking,6.7,2022-2023
Academic,Italy,overall,6.9,2022-2023
Academic,Japan,listening,6,2022-2023
Academic,Japan,reading,6.1,2022-2023
Academic,Japan,writing,5.7,2022-2023
Academic,Japan,speaking,5.5,2022-2023
Academic,Japan,overall,5.9,2022-2023
Academic,Jordan,listening,6.7,2022-2023
Academic,Jordan,reading,6.2,2022-2023
Academic,Jordan,writing,5.9,2022-2023
Academic,Jordan,speaking,6.6,2022-2023
Academic,Jordan,overall,6.4,2022-2023
Academic,Kazakhstan,listening,6.5,2022-2023
Academic,Kazakhstan,reading,6.4,2022-2023
Academic,Kazakhstan,writing,5.8,2022-2023
Academic,Kazakhstan,speaking,6.1,2022-2023
Academic,Kazakhstan,overall,6.3,2022-2023
Academic,Kenya,listening,6.8,2022-2023
Academic,Kenya,reading,6.3,2022-2023
Academic,Kenya,writing,6.3,2022-2023
Academic,Kenya,speaking,7,2022-2023
Academic,Kenya,overall,6.6,2022-2023
Academic,"Korea, Republic of",listening,6.5,2022-2023
Academic,"Korea, Republic of",reading,6.4,2022-2023
Academic,"Korea, Republic of",writing,5.9,2022-2023
Academic,"Korea, Republic of",speaking,5.9,2022-2023
Academic,"Korea, Republic of",overall,6.2,2022-2023
Academic,Kuwait,listening,5.6,2022-2023
Academic,Kuwait,reading,5.2,2022-2023
Academic,Kuwait,writing,5.1,2022-2023
Academic,Kuwait,speaking,5.8,2022-2023
Academic,Kuwait,overall,5.5,2022-2023
Academic,Malaysia,listening,7.5,2022-2023
Academic,Malaysia,reading,7.2,2022-2023
Academic,Malaysia,writing,6.4,2022-2023
Academic,Malaysia,speaking,6.8,2022-2023
Academic,Malaysia,overall,7,2022-2023
Academic,Mexico,listening,6.8,2022-2023
Academic,Mexico,reading,6.8,2022-2023
Academic,Mexico,writing,5.9,2022-2023
Academic,Mexico,speaking,6.5,2022-2023
Academic,Mexico,overall,6.6,2022-2023
Academic,Myanmar,listening,6.9,2022-2023
Academic,Myanmar,reading,6.7,2022-2023
Academic,Myanmar,writing,6.1,2022-2023
Academic,Myanmar,speaking,6.3,2022-2023
Academic,Myanmar,overall,6.6,2022-2023
Academic,Nepal,listening,6.5,2022-2023
Academic,Nepal,reading,5.9,2022-2023
Academic,Nepal,writing,5.9,2022-2023
Academic,Nepal,speaking,5.9,2022-2023
Academic,Nepal,overall,6.1,2022-2023
Academic,Nigeria,listening,6.8,2022-2023
Academic,Nigeria,reading,6.4,2022-2023
Academic,Nigeria,writing,6.3,2022-2023
Academic,Nigeria,speaking,7.1,2022-2023
Academic,Nigeria,overall,6.7,2022-2023
Academic,Oman,listening,5.2,2022-2023
Academic,Oman,reading,5,2022-2023
Academic,Oman,writing,5.3,2022-2023
Academic,Oman,speaking,5.6,2022-2023
Academic,Oman,overall,5.3,2022-2023
Academic,Pakistan,listening,6.5,2022-2023
Academic,Pakistan,reading,6.1,2022-2023
Academic,Pakistan,writing,5.9,2022-2023
Academic,Pakistan,speaking,6.2,2022-2023
Academic,Pakistan,overall,6.2,2022-2023
Academic,Philippines,listening,7.2,2022-2023
Academic,Philippines,reading,6.6,2022-2023
Academic,Philippines,writing,6.2,2022-2023
Academic,Philippines,speaking,6.8,2022-2023
Academic,Philippines,overall,6.8,2022-2023
Academic,Qatar,listening,5.7,2022-2023
Academic,Qatar,reading,5.1,2022-2023
Academic,Qatar,writing,5.2,2022-2023
Academic,Qatar,speaking,5.9,2022-2023
Academic,Qatar,overall,5.5,2022-2023
Academic,Russian Federation,listening,7.2,2022-2023
Academic,Russian Federation,reading,7.2,2022-2023
Academic,Russian Federation,writing,6.2,2022-2023
Academic,Russian Federation,speaking,6.8,2022-2023
Academic,Russian Federation,overall,6.9,2022-2023
Academic,Saudi Arabia,listening,5.9,2022-2023
Academic,Saudi Arabia,reading,5.5,2022-2023
Academic,Saudi Arabia,writing,5.3,2022-2023
Academic,Saudi Arabia,speaking,6.1,2022-2023
Academic,Saudi Arabia,overall,5.8,2022-2023
Academic,Spain,listening,7.4,2022-2023
Academic,Spain,reading,7.4,2022-2023
Academic,Spain,writing,6.3,2022-2023
Academic,Spain,speaking,6.9,2022-2023
Academic,Spain,overall,7.1,2022-2023
Academic,Sri Lanka,listening,6.7,2022-2023
Academic,Sri Lanka,reading,6.2,2022-2023
Academic,Sri Lanka,writing,6,2022-2023
Academic,Sri Lanka,speaking,6.4,2022-2023
Academic,Sri Lanka,overall,6.4,2022-2023
Academic,Thailand,listening,6.3,2022-2023
Academic,Thailand,reading,6.1,2022-2023
Academic,Thailand,writing,5.7,2022-2023
Academic,Thailand,speaking,5.8,2022-2023
Academic,Thailand,overall,6.1,2022-2023
Academic,Turkey,listening,6.8,2022-2023
Academic,Turkey,reading,6.7,2022-2023
Academic,Turkey,writing,6,2022-2023
Academic,Turkey,speaking,6.3,2022-2023
Academic,Turkey,overall,6.5,2022-2023
Academic,United Arab Emirates,listening,5.5,2022-2023
Academic,United Arab Emirates,reading,5.1,2022-2023
Academic,United Arab Emirates,writing,5.1,2022-2023
Academic,United Arab Emirates,speaking,5.7,2022-2023
Academic,United Arab Emirates,overall,5.4,2022-2023
Academic,Uzbekistan,listening,6,2022-2023
Academic,Uzbekistan,reading,5.7,2022-2023
Academic,Uzbekistan,writing,5.6,2022-2023
Academic,Uzbekistan,speaking,5.7,2022-2023
Academic,Uzbekistan,overall,5.8,2022-2023
Academic,Vietnam,listening,6.4,2022-2023
Academic,Vietnam,reading,6.4,2022-2023
Academic,Vietnam,writing,6,2022-2023
Academic,Vietnam,speaking,5.8,2022-2023
Academic,Vietnam,overall,6.2,2022-2023
Academic,Zimbabwe,listening,7,2022-2023
Academic,Zimbabwe,reading,6.5,2022-2023
Academic,Zimbabwe,writing,6.4,2022-2023
Academic,Zimbabwe,speaking,7.3,2022-2023
Academic,Zimbabwe,overall,6.8,2022-2023
General_Training,Argentina,listening,6.5,2022-2023
General_Training,Argentina,reading,6.4,2022-2023
General_Training,Argentina,writing,6,2022-2023
General_Training,Argentina,speaking,6.3,2022-2023
General_Training,Argentina,overall,6.4,2022-2023
General_Training,Bangladesh,listening,5.8,2022-2023
General_Training,Bangladesh,reading,5.1,2022-2023
General_Training,Bangladesh,writing,5.6,2022-2023
General_Training,Bangladesh,speaking,5.9,2022-2023
General_Training,Bangladesh,overall,5.7,2022-2023
General_Training,Brazil,listening,6.7,2022-2023
General_Training,Brazil,reading,6.7,2022-2023
General_Training,Brazil,writing,6.2,2022-2023
General_Training,Brazil,speaking,6.7,2022-2023
General_Training,Brazil,overall,6.6,2022-2023
General_Training,Cameroon,listening,5.5,2022-2023
General_Training,Cameroon,reading,5.1,2022-2023
General_Training,Cameroon,writing,6,2022-2023
General_Training,Cameroon,speaking,6.1,2022-2023
General_Training,Cameroon,overall,5.7,2022-2023
General_Training,Chile,listening,6.2,2022-2023
General_Training,Chile,reading,6.1,2022-2023
General_Training,Chile,writing,5.8,2022-2023
General_Training,Chile,speaking,5.9,2022-2023
General_Training,Chile,overall,6.1,2022-2023
General_Training,China,listening,6.5,2022-2023
General_Training,China,reading,6.5,2022-2023
General_Training,China,writing,6.1,2022-2023
General_Training,China,speaking,6.1,2022-2023
General_Training,China,overall,6.3,2022-2023
General_Training,Colombia,listening,6.3,2022-2023
General_Training,Colombia,reading,6.3,2022-2023
General_Training,Colombia,writing,6,2022-2023
General_Training,Colombia,speaking,6.4,2022-2023
General_Training,Colombia,overall,6.3,2022-2023
General_Training,Egypt,listening,6.6,2022-2023
General_Training,Egypt,reading,6.2,2022-2023
General_Training,Egypt,writing,6.1,2022-2023
General_Training,Egypt,speaking,6.6,2022-2023
General_Training,Egypt,overall,6.4,2022-2023
General_Training,France,listening,7.2,2022-2023
General_Training,France,reading,7.2,2022-2023
General_Training,France,writing,6.4,2022-2023
General_Training,France,speaking,6.9,2022-2023
General_Training,France,overall,7,2022-2023
General_Training,Ghana,listening,6.1,2022-2023
General_Training,Ghana,reading,5.4,2022-2023
General_Training,Ghana,writing,6.2,2022-2023
General_Training,Ghana,speaking,7,2022-2023
General_Training,Ghana,overall,6.2,2022-2023
General_Training,"Hong Kong, SAR of China",listening,6.8,2022-2023
General_Training,"Hong Kong, SAR of China",reading,6.6,2022-2023
General_Training,"Hong Kong, SAR of China",writing,6.2,2022-2023
General_Training,"Hong Kong, SAR of China",speaking,6.3,2022-2023
General_Training,"Hong Kong, SAR of China",overall,6.5,2022-2023
General_Training,India,listening,6.7,2022-2023
General_Training,India,reading,6.1,2022-2023
General_Training,India,writing,6.1,2022-2023
General_Training,India,speaking,6.4,2022-2023
General_Training,India,overall,6.4,2022-2023
General_Training,Indonesia,listening,5.9,2022-2023
General_Training,Indonesia,reading,5.5,2022-2023
General_Training,Indonesia,writing,5.7,2022-2023
General_Training,Indonesia,speaking,5.7,2022-2023
General_Training,Indonesia,overall,5.8,2022-2023
General_Training,Iran,listening,6.2,2022-2023
General_Training,Iran,reading,5.8,2022-2023
General_Training,Iran,writing,6,2022-2023
General_Training,Iran,speaking,6.4,2022-2023
General_Training,Iran,overall,6.1,2022-2023
General_Training,Italy,listening,6.6,2022-2023
General_Training,Italy,reading,6.4,2022-2023
General_Training,Italy,writing,6,2022-2023
General_Training,Italy,speaking,6.4,2022-2023
General_Training,Italy,overall,6.4,2022-2023
General_Training,Japan,listening,6,2022-2023
General_Training,Japan,reading,5.7,2022-2023
General_Training,Japan,writing,5.7,2022-2023
General_Training,Japan,speaking,5.7,2022-2023
General_Training,Japan,overall,5.9,2022-2023
General_Training,Jordan,listening,6.4,2022-2023
General_Training,Jordan,reading,6,2022-2023
General_Training,Jordan,writing,6,2022-2023
General_Training,Jordan,speaking,6.6,2022-2023
General_Training,Jordan,overall,6.3,2022-2023
General_Training,Kenya,listening,6.3,2022-2023
General_Training,Kenya,reading,5.8,2022-2023
General_Training,Kenya,writing,6.3,2022-2023
General_Training,Kenya,speaking,7,2022-2023
General_Training,Kenya,overall,6.4,2022-2023
General_Training,"Korea, Republic of",listening,6.1,2022-2023
General_Training,"Korea, Republic of",reading,5.8,2022-2023
General_Training,"Korea, Republic of",writing,5.7,2022-2023
General_Training,"Korea, Republic of",speaking,5.7,2022-2023
General_Training,"Korea, Republic of",overall,5.9,2022-2023
General_Training,Lebanon,listening,7,2022-2023
General_Training,Lebanon,reading,6.6,2022-2023
General_Training,Lebanon,writing,6.4,2022-2023
General_Training,Lebanon,speaking,6.7,2022-2023
General_Training,Lebanon,overall,6.7,2022-2023
General_Training,Malaysia,listening,7,2022-2023
General_Training,Malaysia,reading,6.6,2022-2023
General_Training,Malaysia,writing,6.3,2022-2023
General_Training,Malaysia,speaking,6.7,2022-2023
General_Training,Malaysia,overall,6.7,2022-2023
General_Training,Mauritius,listening,6.9,2022-2023
General_Training,Mauritius,reading,6.5,2022-2023
General_Training,Mauritius,writing,6.5,2022-2023
