type,language,part,score,year
Academic,Tagalog,listening,7.046229553645689,2023-2024
Academic,Tagalog,reading,6.530981425006931,2023-2024
Academic,Tagalog,writing,6.191502633767674,2023-2024
Academic,Tagalog,speaking,6.744385916273912,2023-2024
Academic,Tagalog,overall,6.691987801497089,2023-2024
Academic,Tamil,listening,6.7844935464264005,2023-2024
Academic,Tamil,reading,6.313311165933713,2023-2024
Academic,Tamil,writing,6.10359683935786,2023-2024
Academic,Tamil,speaking,6.420823054095606,2023-2024
Academic,Tamil,overall,6.467893024419894,2023-2024
Academic,Telugu,listening,6.628065683142267,2023-2024
Academic,Telugu,reading,6.121875587295621,2023-2024
Academic,Telugu,writing,6.093638413831987,2023-2024
Academic,Telugu,speaking,6.3528707009960534,2023-2024
Academic,Telugu,overall,6.361727118962601,2023-2024
Academic,Thai,listening,6.420292466144192,2023-2024
Academic,Thai,reading,6.17639551992313,2023-2024
Academic,Thai,writing,5.755457466294327,2023-2024
Academic,Thai,speaking,5.874020358526259,2023-2024
Academic,Thai,overall,6.12052968201063,2023-2024
Academic,Turkish,listening,6.8255902901728795,2023-2024
Academic,Turkish,reading,6.621015860064256,2023-2024
Academic,Turkish,writing,5.962070987811719,2023-2024
Academic,Turkish,speaking,6.253365801417717,2023-2024
Academic,Turkish,overall,6.4806211433525425,2023-2024
Academic,Ukrainian,listening,6.918069437138349,2023-2024
Academic,Ukrainian,reading,6.662414518674382,2023-2024
Academic,Ukrainian,writing,5.961730668069437,2023-2024
Academic,Ukrainian,speaking,6.607837980010521,2023-2024
Academic,Ukrainian,overall,6.600802209363493,2023-2024
Academic,Urdu,listening,6.603032395703592,2023-2024
Academic,Urdu,reading,6.189706625889433,2023-2024
Academic,Urdu,writing,5.9762489055505545,2023-2024
Academic,Urdu,speaking,6.320929572948909,2023-2024
Academic,Urdu,overall,6.336258031100862,2023-2024
Academic,Uzbek,listening,6.243440727609064,2023-2024
Academic,Uzbek,reading,5.867234468937876,2023-2024
Academic,Uzbek,writing,5.71911515338369,2023-2024
Academic,Uzbek,speaking,5.740326807461076,2023-2024
Academic,Uzbek,overall,5.956713426853708,2023-2024
Academic,Vietnamese,listening,6.3131593780576,2023-2024
Academic,Vietnamese,reading,6.411465201854766,2023-2024
Academic,Vietnamese,writing,6.0111004168970945,2023-2024
Academic,Vietnamese,speaking,5.6567857446718,2023-2024
Academic,Vietnamese,overall,6.16405219721785,2023-2024
General_Training,Afrikaans,listening,6.693130265716137,2023-2024
General_Training,Afrikaans,reading,6.182922877511341,2023-2024
General_Training,Afrikaans,writing,6.3358716785482825,2023-2024
General_Training,Afrikaans,speaking,7.546014257939079,2023-2024
General_Training,Afrikaans,overall,6.752754374594945,2023-2024
General_Training,Akan,listening,5.671341702628482,2023-2024
General_Training,Akan,reading,4.7838367987446055,2023-2024
General_Training,Akan,writing,6.0130443311102395,2023-2024
General_Training,Akan,speaking,6.713907414672421,2023-2024
General_Training,Akan,overall,5.854060415849353,2023-2024
General_Training,Arabic,listening,5.995450287702395,2023-2024
General_Training,Arabic,reading,5.506913778491458,2023-2024
General_Training,Arabic,writing,5.728043177661805,2023-2024
General_Training,Arabic,speaking,6.233016637673402,2023-2024
General_Training,Arabic,overall,5.927516838396003,2023-2024
General_Training,Bengali,listening,5.56695525073083,2023-2024
General_Training,Bengali,reading,4.759697548909377,2023-2024
General_Training,Bengali,writing,5.511524623341579,2023-2024
General_Training,Bengali,speaking,5.57159320890488,2023-2024
General_Training,Bengali,overall,5.414605351922645,2023-2024
General_Training,Chinese,listening,6.3983624850781124,2023-2024
General_Training,Chinese,reading,6.328138786526185,2023-2024
General_Training,Chinese,writing,6.036500233559973,2023-2024
General_Training,Chinese,speaking,6.017348315773083,2023-2024
General_Training,Chinese,overall,6.258693621217626,2023-2024
General_Training,English,listening,6.666228316565378,2023-2024
General_Training,English,reading,6.074647192005856,2023-2024
General_Training,English,writing,6.434281531416509,2023-2024
General_Training,English,speaking,7.081030931345011,2023-2024
General_Training,English,overall,6.62560645523722,2023-2024
General_Training,Farsi,listening,6.284161180929583,2023-2024
General_Training,Farsi,reading,5.943347297027728,2023-2024
General_Training,Farsi,writing,6.022192300019948,2023-2024
General_Training,Farsi,speaking,6.3479453421105125,2023-2024
General_Training,Farsi,overall,6.211101137043687,2023-2024
General_Training,Filipino,listening,5.956726709822685,2023-2024
General_Training,Filipino,reading,5.238530819026175,2023-2024
General_Training,Filipino,writing,5.8032648466085,2023-2024
General_Training,Filipino,speaking,5.90381367858148,2023-2024
General_Training,Filipino,overall,5.7879022422366075,2023-2024
General_Training,French,listening,5.678437449029522,2023-2024
General_Training,French,reading,5.440099494372859,2023-2024
General_Training,French,writing,5.924808351003099,2023-2024
General_Training,French,speaking,6.052438427662698,2023-2024
General_Training,French,overall,5.8364051541347255,2023-2024
General_Training,German,listening,7.510421715947649,2023-2024
General_Training,German,reading,7.163596703829374,2023-2024
General_Training,German,writing,6.546291808046534,2023-2024
General_Training,German,speaking,7.278235579253514,2023-2024
General_Training,German,overall,7.191711100339312,2023-2024
General_Training,Gujarati,listening,6.4191206320457175,2023-2024
General_Training,Gujarati,reading,5.728039221809325,2023-2024
General_Training,Gujarati,writing,5.893841926115605,2023-2024
General_Training,Gujarati,speaking,6.027449021016144,2023-2024
General_Training,Gujarati,overall,6.078802735533835,2023-2024
General_Training,Hindi,listening,6.942128570834546,2023-2024
General_Training,Hindi,reading,6.36643935298765,2023-2024
General_Training,Hindi,writing,6.306831884901659,2023-2024
General_Training,Hindi,speaking,6.6116782402594705,2023-2024
General_Training,Hindi,overall,6.619651544762776,2023-2024
General_Training,Ibo/Igbo,listening,6.167945945945946,2023-2024
General_Training,Ibo/Igbo,reading,5.524270270270271,2023-2024
General_Training,Ibo/Igbo,writing,6.362810810810811,2023-2024
General_Training,Ibo/Igbo,speaking,6.998162162162163,2023-2024
General_Training,Ibo/Igbo,overall,6.325459459459459,2023-2024
General_Training,Indonesian,listening,5.71969696969697,2023-2024
General_Training,Indonesian,reading,5.377998737373737,2023-2024
General_Training,Indonesian,writing,5.679819023569023,2023-2024
General_Training,Indonesian,speaking,5.634785353535354,2023-2024
General_Training,Indonesian,overall,5.66635101010101,2023-2024
General_Training,Italian,listening,6.771495483439278,2023-2024
General_Training,Italian,reading,6.713616594178655,2023-2024
General_Training,Italian,writing,6.135664101706256,2023-2024
General_Training,Italian,speaking,6.508865841418535,2023-2024
General_Training,Italian,overall,6.593342254934761,2023-2024
General_Training,Japanese,listening,5.875183123351889,2023-2024
General_Training,Japanese,reading,5.594345150893642,2023-2024
General_Training,Japanese,writing,5.667154995605039,2023-2024
General_Training,Japanese,speaking,5.630676823908585,2023-2024
General_Training,Japanese,overall,5.750659244066803,2023-2024
General_Training,Kannada,listening,6.799014522821577,2023-2024
General_Training,Kannada,reading,6.262188796680498,2023-2024
General_Training,Kannada,writing,6.383039419087137,2023-2024
General_Training,Kannada,speaking,6.7328838174273855,2023-2024
General_Training,Kannada,overall,6.608921161825726,2023-2024
General_Training,Korean,listening,6.224660997471846,2023-2024
General_Training,Korean,reading,5.968168237186854,2023-2024
General_Training,Korean,writing,5.865777982073086,2023-2024
General_Training,Korean,speaking,5.827510917030568,2023-2024
General_Training,Korean,overall,6.033555504481728,2023-2024
General_Training,Malayalam,listening,6.532594029347276,2023-2024
General_Training,Malayalam,reading,6.040563332771125,2023-2024
General_Training,Malayalam,writing,6.167271040647664,2023-2024
General_Training,Malayalam,speaking,6.296044864226682,2023-2024
General_Training,Malayalam,overall,6.322061055827289,2023-2024
General_Training,Marathi,listening,7.106840796019901,2023-2024
General_Training,Marathi,reading,6.622636815920398,2023-2024
General_Training,Marathi,writing,6.4977611940298505,2023-2024
General_Training,Marathi,speaking,6.8159203980099505,2023-2024
General_Training,Marathi,overall,6.825870646766169,2023-2024
General_Training,Nepali,listening,5.730487166055527,2023-2024
General_Training,Nepali,reading,4.907106687620045,2023-2024
General_Training,Nepali,writing,5.743801292125021,2023-2024
General_Training,Nepali,speaking,5.635236598568186,2023-2024
General_Training,Nepali,overall,5.565086432687271,2023-2024
General_Training,Other,listening,6.404721918450242,2023-2024
General_Training,Other,reading,5.951062334010311,2023-2024
General_Training,Other,writing,6.106135760037494,2023-2024
General_Training,Other,speaking,6.480022652710514,2023-2024
General_Training,Other,overall,6.29891813779097,2023-2024
General_Training,Pashto,listening,5.317764165390505,2023-2024
General_Training,Pashto,reading,4.462021439509954,2023-2024
General_Training,Pashto,writing,5.374732006125575,2023-2024
General_Training,Pashto,speaking,5.634303215926493,2023-2024
General_Training,Pashto,overall,5.260490045941807,2023-2024
General_Training,Portuguese,listening,6.767836703548264,2023-2024
General_Training,Portuguese,reading,6.672834795879435,2023-2024
General_Training,Portuguese,writing,6.204215948111408,2023-2024
General_Training,Portuguese,speaking,6.716043494849294,2023-2024
General_Training,Portuguese,overall,6.6541396413582605,2023-2024
General_Training,Punjabi,listening,6.548298846468426,2023-2024
General_Training,Punjabi,reading,5.842989968881911,2023-2024
General_Training,Punjabi,writing,6.01506547960402,2023-2024
General_Training,Punjabi,speaking,6.100579116095855,2023-2024
General_Training,Punjabi,overall,6.189735731275089,2023-2024
General_Training,Russian,listening,6.961531100478469,2023-2024
General_Training,Russian,reading,6.9022966507177035,2023-2024
General_Training,Russian,writing,6.2709090909090905,2023-2024
General_Training,Russian,speaking,6.650143540669856,2023-2024
General_Training,Russian,overall,6.762488038277512,2023-2024
General_Training,Shona,listening,5.965548657038736,2023-2024
General_Training,Shona,reading,5.305506816034552,2023-2024
General_Training,Shona,writing,6.171683088136051,2023-2024
General_Training,Shona,speaking,6.608044270481846,2023-2024
General_Training,Shona,overall,6.07403158320961,2023-2024
General_Training,Sinhalese,listening,6.05354726464334,2023-2024
General_Training,Sinhalese,reading,5.406533926155036,2023-2024
General_Training,Sinhalese,writing,5.824328242799149,2023-2024
General_Training,Sinhalese,speaking,6.126473999613377,2023-2024
General_Training,Sinhalese,overall,5.916972743089117,2023-2024
General_Training,Spanish,listening,6.371886438710829,2023-2024
General_Training,Spanish,reading,6.290777609142041,2023-2024
General_Training,Spanish,writing,6.043612177484153,2023-2024
General_Training,Spanish,speaking,6.300308008213553,2023-2024
General_Training,Spanish,overall,6.314949558075172,2023-2024
General_Training,Swahili,listening,6.129898013955985,2023-2024
General_Training,Swahili,reading,5.566693505099302,2023-2024
General_Training,Swahili,writing,6.201959205582394,2023-2024
General_Training,Swahili,speaking,6.821121846484165,2023-2024
General_Training,Swahili,overall,6.245034889962426,2023-2024
General_Training,Tagalog,listening,5.891032826261009,2023-2024
General_Training,Tagalog,reading,5.1742193755004005,2023-2024
General_Training,Tagalog,writing,5.770056044835869,2023-2024
General_Training,Tagalog,speaking,5.935148118494796,2023-2024
General_Training,Tagalog,overall,5.754563650920737,2023-2024
General_Training,Tamil,listening,5.972243639167309,2023-2024
General_Training,Tamil,reading,5.336610125931637,2023-2024
General_Training,Tamil,writing,5.724717296324852,2023-2024
General_Training,Tamil,speaking,5.936680801850424,2023-2024
General_Training,Tamil,overall,5.804034952454382,2023-2024
General_Training,Telugu,listening,6.802102048149479,2023-2024
General_Training,Telugu,reading,6.236210923463888,2023-2024
General_Training,Telugu,writing,6.221343873517786,2023-2024
General_Training,Telugu,speaking,6.537279913762127,2023-2024
General_Training,Telugu,overall,6.514372978799856,2023-2024
General_Training,Thai,listening,5.3053179190751445,2023-2024
General_Training,Thai,reading,4.783005780346821,2023-2024
General_Training,Thai,writing,5.29907514450867,2023-2024
General_Training,Thai,speaking,5.267630057803468,2023-2024
General_Training,Thai,overall,5.22728323699422,2023-2024
General_Training,Turkish,listening,5.987761096605744,2023-2024
General_Training,Turkish,reading,5.6738740208877285,2023-2024
General_Training,Turkish,writing,5.7329471279373365,2023-2024
General_Training,Turkish,speaking,5.794386422976501,2023-2024
General_Training,Turkish,overall,5.859334203655353,2023-2024
General_Training,Ukrainian,listening,6.639284075263882,2023-2024
General_Training,Ukrainian,reading,6.3850390087195965,2023-2024
General_Training,Ukrainian,writing,6.061725562184488,2023-2024
General_Training,Ukrainian,speaking,6.612666360715925,2023-2024
General_Training,Ukrainian,overall,6.488297384121156,2023-2024
General_Training,Urdu,listening,5.603918497451328,2023-2024
General_Training,Urdu,reading,4.837420826291853,2023-2024
General_Training,Urdu,writing,5.545305909346963,2023-2024
General_Training,Urdu,speaking,5.673831801382191,2023-2024
General_Training,Urdu,overall,5.478257285355097,2023-2024
General_Training,Vietnamese,listening,5.701738481228669,2023-2024
General_Training,Vietnamese,reading,5.544848549488054,2023-2024
General_Training,Vietnamese,writing,5.797141638225256,2023-2024
General_Training,Vietnamese,speaking,5.3839590443686,2023-2024
General_Training,Vietnamese,overall,5.671075085324232,2023-2024
General_Training,Yoruba,listening,6.001151824922612,2023-2024
General_Training,Yoruba,reading,5.464689367216183,2023-2024
General_Training,Yoruba,writing,6.2226261608235545,2023-2024
General_Training,Yoruba,speaking,6.7956950543517385,2023-2024
General_Training,Yoruba,overall,6.1815923979555105,2023-2024
General_Training,Zulu,listening,5.847247428917121,2023-2024
General_Training,Zulu,reading,5.139745916515427,2023-2024
General_Training,Zulu,writing,6.085904416212946,2023-2024
General_Training,Zulu,speaking,6.864791288566243,2023-2024
General_Training,Zulu,overall,6.055051421657592,2023-2024
Academic,Akan,listening,6.8,2022-2023
Academic,Akan,reading,6.1,2022-2023
Academic,Akan,writing,6.3,2022-2023
Academic,Akan,speaking,7.1,2022-2023
Academic,Akan,overall,6.6,2022-2023
Academic,Arabic,listening,6,2022-2023
Academic,Arabic,reading,5.6,2022-2023
Academic,Arabic,writing,5.5,2022-2023
Academic,Arabic,speaking,6.1,2022-2023
Academic,Arabic,overall,5.9,2022-2023
Academic,Bengali,listening,6.3,2022-2023
Academic,Bengali,reading,5.9,2022-2023
Academic,Bengali,writing,5.8,2022-2023
Academic,Bengali,speaking,6.2,2022-2023
Academic,Bengali,overall,6.1,2022-2023
Academic,Burmese,listening,6.9,2022-2023
Academic,Burmese,reading,6.7,2022-2023
Academic,Burmese,writing,6.1,2022-2023
Academic,Burmese,speaking,6.3,2022-2023
Academic,Burmese,overall,6.6,2022-2023
Academic,Chinese,listening,6.2,2022-2023
Academic,Chinese,reading,6.5,2022-2023
Academic,Chinese,writing,5.8,2022-2023
Academic,Chinese,speaking,5.7,2022-2023
Academic,Chinese,overall,6.1,2022-2023
Academic,Dzongkha,listening,6.2,2022-2023
Academic,Dzongkha,reading,5.7,2022-2023
Academic,Dzongkha,writing,6,2022-2023
Academic,Dzongkha,speaking,6.3,2022-2023
Academic,Dzongkha,overall,6.1,2022-2023
Academic,English,listening,7.1,2022-2023
Academic,English,reading,6.6,2022-2023
Academic,English,writing,6.3,2022-2023
Academic,English,speaking,7,2022-2023
Academic,English,overall,6.8,2022-2023
Academic,Farsi,listening,6.7,2022-2023
Academic,Farsi,reading,6.4,2022-2023
Academic,Farsi,writing,6,2022-2023
Academic,Farsi,speaking,6.7,2022-2023
Academic,Farsi,overall,6.5,2022-2023
Academic,Filipino,listening,7.2,2022-2023
Academic,Filipino,reading,6.7,2022-2023
Academic,Filipino,writing,6.2,2022-2023
Academic,Filipino,speaking,6.8,2022-2023
Academic,Filipino,overall,6.8,2022-2023
Academic,French,listening,6.9,2022-2023
Academic,French,reading,7,2022-2023
Academic,French,writing,6.1,2022-2023
Academic,French,speaking,6.7,2022-2023
Academic,French,overall,6.7,2022-2023
Academic,German,listening,8.1,2022-2023
Academic,German,reading,7.8,2022-2023
Academic,German,writing,6.6,2022-2023
Academic,German,speaking,7.5,2022-2023
Academic,German,overall,7.6,2022-2023
Academic,Greek,listening,7.6,2022-2023
Academic,Greek,reading,7.3,2022-2023
Academic,Greek,writing,6.4,2022-2023
Academic,Greek,speaking,6.9,2022-2023
Academic,Greek,overall,7.1,2022-2023
Academic,Gujurati,listening,6.5,2022-2023
Academic,Gujurati,reading,5.9,2022-2023
Academic,Gujurati,writing,5.8,2022-2023
Academic,Gujurati,speaking,5.9,2022-2023
Academic,Gujurati,overall,6.1,2022-2023
Academic,Hindi,listening,6.9,2022-2023
Academic,Hindi,reading,6.3,2022-2023
Academic,Hindi,writing,6,2022-2023
Academic,Hindi,speaking,6.3,2022-2023
Academic,Hindi,overall,6.4,2022-2023
Academic,Ibo/lgbo,listening,6.7,2022-2023
Academic,Ibo/lgbo,reading,6.2,2022-2023
Academic,Ibo/lgbo,writing,6.3,2022-2023
Academic,Ibo/lgbo,speaking,7,2022-2023
Academic,Ibo/lgbo,overall,6.6,2022-2023
Academic,Indonesian,listening,6.9,2022-2023
Academic,Indonesian,reading,6.9,2022-2023
Academic,Indonesian,writing,6.1,2022-2023
Academic,Indonesian,speaking,6.4,2022-2023
Academic,Indonesian,overall,6.6,2022-2023
Academic,Italian,listening,7.2,2022-2023
Academic,Italian,reading,7.5,2022-2023
Academic,Italian,writing,6.2,2022-2023
Academic,Italian,speaking,6.6,2022-2023
Academic,Italian,overall,6.9,2022-2023
Academic,Japanese,listening,6,2022-2023
Academic,Japanese,reading,6.1,2022-2023
Academic,Japanese,writing,5.7,2022-2023
Academic,Japanese,speaking,5.5,2022-2023
Academic,Japanese,overall,5.9,2022-2023
Academic,Kannada,listening,7.1,2022-2023
Academic,Kannada,reading,6.5,2022-2023
Academic,Kannada,writing,6.2,2022-2023
Academic,Kannada,speaking,6.7,2022-2023
Academic,Kannada,overall,6.7,2022-2023
Academic,Kazakh,listening,6.4,2022-2023
Academic,Kazakh,reading,6.3,2022-2023
Academic,Kazakh,writing,5.8,2022-2023
Academic,Kazakh,speaking,6.1,2022-2023
Academic,Kazakh,overall,6.2,2022-2023
Academic,Korean,listening,6.5,2022-2023
Academic,Korean,reading,6.4,2022-2023
Academic,Korean,writing,5.9,2022-2023
Academic,Korean,speaking,5.9,2022-2023
Academic,Korean,overall,6.2,2022-2023
Academic,Malayalam,listening,6.7,2022-2023
Academic,Malayalam,reading,6.3,2022-2023
Academic,Malayalam,writing,6,2022-2023
Academic,Malayalam,speaking,6.3,2022-2023
Academic,Malayalam,overall,6.4,2022-2023
Academic,Marathi,listening,7.1,2022-2023
Academic,Marathi,reading,6.5,2022-2023
Academic,Marathi,writing,6.2,2022-2023
Academic,Marathi,speaking,6.6,2022-2023
Academic,Marathi,overall,6.7,2022-2023
Academic,Nepali,listening,6.5,2022-2023
Academic,Nepali,reading,5.9,2022-2023
Academic,Nepali,writing,5.9,2022-2023
Academic,Nepali,speaking,5.9,2022-2023
Academic,Nepali,overall,6.1,2022-2023
Academic,Other,listening,6.8,2022-2023
Academic,Other,reading,6.3,2022-2023
Academic,Other,writing,6.2,2022-2023
Academic,Other,speaking,6.9,2022-2023
Academic,Other,overall,6.6,2022-2023
Academic,Portuguese,listening,7.2,2022-2023
Academic,Portuguese,reading,7.2,2022-2023
Academic,Portuguese,writing,6.2,2022-2023
Academic,Portuguese,speaking,7,2022-2023
Academic,Portuguese,overall,6.9,2022-2023
Academic,Punjabi,listening,6.2,2022-2023
Academic,Punjabi,reading,5.7,2022-2023
Academic,Punjabi,writing,5.8,2022-2023
Academic,Punjabi,speaking,5.7,2022-2023
Academic,Punjabi,overall,5.9,2022-2023
Academic,Russian,listening,6.9,2022-2023
Academic,Russian,reading,6.8,2022-2023
Academic,Russian,writing,6,2022-2023
Academic,Russian,speaking,6.5,2022-2023
Academic,Russian,overall,6.7,2022-2023
Academic,Singhalese,listening,6.7,2022-2023
Academic,Singhalese,reading,6.3,2022-2023
Academic,Singhalese,writing,6,2022-2023
Academic,Singhalese,speaking,6.4,2022-2023
Academic,Singhalese,overall,6.4,2022-2023
Academic,Spanish,listening,6.9,2022-2023
Academic,Spanish,reading,7,2022-2023
Academic,Spanish,writing,6.1,2022-2023
Academic,Spanish,speaking,6.7,2022-2023
Academic,Spanish,overall,6.7,2022-2023
Academic,Swahili,listening,6.7,2022-2023
Academic,Swahili,reading,6.2,2022-2023
Academic,Swahili,writing,6.2,2022-2023
Academic,Swahili,speaking,6.9,2022-2023
Academic,Swahili,overall,6.6,2022-2023
Academic,Tagalog,listening,7,2022-2023
Academic,Tagalog,reading,6.5,2022-2023
Academic,Tagalog,writing,6.1,2022-2023
Academic,Tagalog,speaking,6.7,2022-2023
Academic,Tagalog,overall,6.7,2022-2023
Academic,Tamil,listening,6.8,2022-2023
Academic,Tamil,reading,6.3,2022-2023
Academic,Tamil,writing,6,2022-2023
Academic,Tamil,speaking,6.4,2022-2023
Academic,Tamil,overall,6.5,2022-2023
Academic,Telugu,listening,6.6,2022-2023
Academic,Telugu,reading,6.1,2022-2023
Academic,Telugu,writing,5.9,2022-2023
Academic,Telugu,speaking,6.3,2022-2023
Academic,Telugu,overall,6.3,2022-2023
Academic,Thai,listening,6.3,2022-2023
Academic,Thai,reading,6.1,2022-2023
Academic,Thai,writing,5.7,2022-2023
Academic,Thai,speaking,5.8,2022-2023
Academic,Thai,overall,6,2022-2023
Academic,Turkish,listening,6.8,2022-2023
Academic,Turkish,reading,6.7,2022-2023
Academic,Turkish,writing,6,2022-2023
Academic,Turkish,speaking,6.3,2022-2023
Academic,Turkish,overall,6.5,2022-2023
Academic,Urdu,listening,6.6,2022-2023
Academic,Urdu,reading,6.1,2022-2023
Academic,Urdu,writing,5.9,2022-2023
Academic,Urdu,speaking,6.3,2022-2023
Academic,Urdu,overall,6.3,2022-2023
Academic,Uzbek,listening,6,2022-2023
Academic,Uzbek,reading,5.7,2022-2023
Academic,Uzbek,writing,5.6,2022-2023
Academic,Uzbek,speaking,5.6,2022-2023
Academic,Uzbek,overall,5.8,2022-2023
Academic,Vietnamese,listening,6.4,2022-2023
Academic,Vietnamese,reading,6.4,2022-2023
Academic,Vietnamese,writing,6,2022-2023
Academic,Vietnamese,speaking,5.8,2022-2023
Academic,Vietnamese,overall,6.2,2022-2023
Academic,Yoruba,listening,6.7,2022-2023
Academic,Yoruba,reading,6.4,2022-2023
Academic,Yoruba,writing,6.3,2022-2023
Academic,Yoruba,speaking,7,2022-2023
Academic,Yoruba,overall,6.7,2022-2023
General_Training,Afrikaans,listening,6.9,2022-2023
General_Training,Afrikaans,reading,6.4,2022-2023
General_Training,Afrikaans,writing,6.4,2022-2023
General_Training,Afrikaans,speaking,7.7,2022-2023
General_Training,Afrikaans,overall,6.9,2022-2023
General_Training,Akan,listening,6,2022-2023
General_Training,Akan,reading,5.2,2022-2023
General_Training,Akan,writing,6.1,2022-2023
General_Training,Akan,speaking,6.9,2022-2023
General_Training,Akan,overall,6.1,2022-2023
General_Training,Albanian,listening,5.6,2022-2023
General_Training,Albanian,reading,5.1,2022-2023
General_Training,Albanian,writing,5.5,2022-2023
General_Training,Albanian,speaking,6,2022-2023
General_Training,Albanian,overall,5.6,2022-2023
General_Training,Arabic,listening,6.1,2022-2023
General_Training,Arabic,reading,5.7,2022-2023
General_Training,Arabic,writing,5.7,2022-2023
General_Training,Arabic,speaking,6.3,2022-2023
General_Training,Arabic,overall,6,2022-2023
General_Training,Bengali,listening,6,2022-2023
General_Training,Bengali,reading,5.3,2022-2023
General_Training,Bengali,writing,5.8,2022-2023
General_Training,Bengali,speaking,6,2022-2023
General_Training,Bengali,overall,5.8,2022-2023
General_Training,Chinese,listening,6.6,2022-2023
General_Training,Chinese,reading,6.5,2022-2023
General_Training,Chinese,writing,6.1,2022-2023
General_Training,Chinese,speaking,6.1,2022-2023
General_Training,Chinese,overall,6.4,2022-2023
General_Training,English,listening,6.8,2022-2023
General_Training,English,reading,6.3,2022-2023
General_Training,English,writing,6.5,2022-2023
General_Training,English,speaking,7.1,2022-2023
General_Training,English,overall,6.7,2022-2023
General_Training,Farsi,listening,6.2,2022-2023
General_Training,Farsi,reading,5.8,2022-2023
General_Training,Farsi,writing,6,2022-2023
General_Training,Farsi,speaking,6.4,2022-2023
General_Training,Farsi,overall,6.1,2022-2023
General_Training,Filipino,listening,6.1,2022-2023
General_Training,Filipino,reading,5.4,2022-2023
General_Training,Filipino,writing,5.9,2022-2023
General_Training,Filipino,speaking,6,2022-2023
General_Training,Filipino,overall,5.9,2022-2023
General_Training,French,listening,6.2,2022-2023
General_Training,French,reading,6.1,2022-2023
General_Training,French,writing,6.1,2022-2023
General_Training,French,speaking,6.4,2022-2023
General_Training,French,overall,6.2,2022-2023
General_Training,German,listening,7.5,2022-2023
General_Training,German,reading,7.2,2022-2023
General_Training,German,writing,6.6,2022-2023
General_Training,German,speaking,7.3,2022-2023
General_Training,German,overall,7.2,2022-2023
General_Training,Gujurati,listening,6.5,2022-2023
General_Training,Gujurati,reading,5.9,2022-2023
General_Training,Gujurati,writing,5.9,2022-2023
General_Training,Gujurati,speaking,6.1,2022-2023
General_Training,Gujurati,overall,6.2,2022-2023
General_Training,Hindi,listening,7,2022-2023
General_Training,Hindi,reading,6.4,2022-2023
General_Training,Hindi,writing,6.3,2022-2023
General_Training,Hindi,speaking,6.7,2022-2023
General_Training,Hindi,overall,6.7,2022-2023
General_Training,Ibo/lgbo,listening,6.1,2022-2023
General_Training,Ibo/lgbo,reading,5.5,2022-2023
General_Training,Ibo/lgbo,writing,6.3,2022-2023
General_Training,Ibo/lgbo,speaking,7,2022-2023
General_Training,Ibo/lgbo,overall,6.3,2022-2023
General_Training,Indonesian,listening,5.9,2022-2023
General_Training,Indonesian,reading,5.5,2022-2023
General_Training,Indonesian,writing,5.7,2022-2023
General_Training,Indonesian,speaking,5.7,2022-2023
General_Training,Indonesian,overall,5.8,2022-2023
General_Training,Italian,listening,6.6,2022-2023
General_Training,Italian,reading,6.5,2022-2023
General_Training,Italian,writing,6,2022-2023
General_Training,Italian,speaking,6.4,2022-2023
General_Training,Italian,overall,6.4,2022-2023
General_Training,Japanese,listening,6,2022-2023
General_Training,Japanese,reading,5.7,2022-2023
General_Training,Japanese,writing,5.7,2022-2023
General_Training,Japanese,speaking,5.7,2022-2023
General_Training,Japanese,overall,5.8,2022-2023
General_Training,Kannada,listening,7,2022-2023
General_Training,Kannada,reading,6.5,2022-2023
General_Training,Kannada,writing,6.4,2022-2023
General_Training,Kannada,speaking,6.9,2022-2023
General_Training,Kannada,overall,6.7,2022-2023
General_Training,Korean,listening,6.1,2022-2023
General_Training,Korean,reading,5.7,2022-2023
General_Training,Korean,writing,5.7,2022-2023
General_Training,Korean,speaking,5.7,2022-2023
General_Training,Korean,overall,5.9,2022-2023
General_Training,Malayalam,listening,6.6,2022-2023
General_Training,Malayalam,reading,6,2022-2023
General_Training,Malayalam,writing,6.1,2022-2023
General_Training,Malayalam,speaking,6.3,2022-2023
General_Training,Malayalam,overall,6.3,2022-2023
General_Training,Marathi,listening,7.1,2022-2023
General_Training,Marathi,reading,6.6,2022-2023
General_Training,Marathi,writing,6.4,2022-2023
General_Training,Marathi,speaking,6.8,2022-2023
General_Training,Marathi,overall,6.8,2022-2023
General_Training,Nepali,listening,5.9,2022-2023
General_Training,Nepali,reading,5.1,2022-2023
General_Training,Nepali,writing,5.7,2022-2023
General_Training,Nepali,speaking,5.7,2022-2023
General_Training,Nepali,overall,5.7,2022-2023
General_Training,Other,listening,6.1,2022-2023
General_Training,Other,reading,5.6,2022-2023
General_Training,Other,writing,6.2,2022-2023
General_Training,Other,speaking,6.8,2022-2023
General_Training,Other,overall,6.2,2022-2023
General_Training,Portuguese,listening,6.8,2022-2023
General_Training,Portuguese,reading,6.7,2022-2023
General_Training,Portuguese,writing,6.2,2022-2023
General_Training,Portuguese,speaking,6.7,2022-2023
General_Training,Portuguese,overall,6.7,2022-2023
General_Training,Punjabi,listening,6.4,2022-2023
General_Training,Punjabi,reading,5.7,2022-2023
General_Training,Punjabi,writing,5.9,2022-2023
General_Training,Punjabi,speaking,6.1,2022-2023
General_Training,Punjabi,overall,6.1,2022-2023
General_Training,Russian,listening,7,2022-2023
