Package,authorsR
eurostat,Janne Huovari
eurostat,Markus Kainu
eurostat,Przemyslaw Biecek
eurostat,Daniel Antal
eurostat,Diego Hernangomez
eurostat,Joona Lehtomaki
eurostat,Francois Briatte
eurostat,Reto Stauffer
eurostat,Paul Rougieux
eurostat,Anna Vasylytsya
eurostat,Oliver Reiter
eurostat,Pyry Kantanen
eurostat,Enrico Spinielli
eva,Brian Bader
eva,Jun Yan
evabic,Antoine Bichat
Evacluster,Fahimeh Nezhadmoghadam
Evacluster,Jose Gerardo Tamez-Pena
EvalEst,Paul Gilbert
evalITR,Michael Lingzhi Li
evalITR,Kosuke Imai
evalITR,Jialu Li
evalITR,Xiaolong Yang
evalR,Trevor Olsen
evaluate,Hadley Wickham
evaluate,Yihui Xie
evaluate,Michael Lawrence
evaluate,Thomas Kluyver
evaluate,Jeroen Ooms
evaluate,Barret Schloerke
evaluate,Adam Ryczkowski
evaluate,Hiroaki Yutani
evaluate,Michel Lang
evaluate,Karolis Koncevicius
evaluate,Posit Software
EvaluateCore,J. Aravind
EvaluateCore,Vikender Kaur
EvaluateCore,Dhammaprakash Pandhari Wankhede
EvaluateCore,Joghee Nanjundan
EvaluationMeasures,Babak Khorsand
EvaluationMeasures,Javad Zahiri
EvaluationMeasures,Abdorreza Savadi
EValue,Maya B. Mathur
EValue,Louisa H. Smith
EValue,Peng Ding
EValue,Tyler J. Vanderweele
Evapotranspiration,Danlu Guo
evclass,Thierry Denoeux
evclust,Thierry Denoeux
EvCombR,Alexander Karlsson
evd,Alec Stephenson
evdbayes,Alec Stephenson
evdbayes,Mathieu Ribatet
event,Bruce Swihart
event,Jim Lindsey
eventdataR,Gert Janssenswillen
EventDetectGUI,Sowmya Chandrasekaran
EventDetectGUI,Margarita Rebolledo
EventDetectGUI,Frederik Rehbach
EventDetectGUI,Steffen Moritz
EventDetectGUI,Paolo Aguilar
EventDetectGUI,Andreas Bodendorfer
EventDetectGUI,Christian Hoeffer
EventDetectGUI,Akbar Shadakov
EventDetectR,Margarita Rebolledo
EventDetectR,Sowmya Chandrasekaran
EventDetectR,Frederik Rehbach
EventDetectR,Steffen Moritz
eventglm,Michael C Sachs
eventglm,Erin E Gabriel
eventglm,Morten Overgaard
eventglm,Thomas A Gerds
eventglm,Terry Therneau
eventInterval,Jim Lemon
eventPred,Kaifeng Lu
eventstream,Sevvandi Kandanaarachchi
EventStudy,Simon Mueller
eventstudyr,Simon Freyaldenhoven
eventstudyr,Christian Hansen
eventstudyr,Jorge Perez Perez
eventstudyr,Jesse Shapiro
eventstudyr,Veli Andirin
eventstudyr,Richard Calvo
eventstudyr,Santiago Hermo
eventstudyr,Nathan Schor
eventstudyr,Emily Wang
eventstudyr,Jmslab
eventstudyr,Ryan Kessler
eventTrack,Kaspar Rufibach
EventWinRatios,Daewoo Pak
EventWinRatios,Song Yang
evgam,Ben Youngman
EVI,Eletherios Meletis
EVI,Konstantinos Pateras
EVI,Paolo Eusebi
EVI,Matt Denwood
EVI,Polychronis Kostoulas
evian,Lisa J Strug
evidence,Robert Van Hulst
evidenceFactors,Bikram Karmakar
EvidenceSynthesis,Martijn Schuemie
EvidenceSynthesis,Marc A. Suchard
EvidenceSynthesis,Fan Bu
evident,Paul R. Rosenbaum
EviewsR,Sagiru Mati
evilDice,Carl Witthoft
evir,Bernhard Pfaff
evir,Eric Zivot
evir,Alexander Mcneil
evir,Alec Stephenson
evmix,Carl Scarrott
evmix,Yang Hu
evmix,Alfadino Akbar
evobiR,Heath Blackmon
evobiR,Richard H. Adams
evolMap,Modesto Escobar
evolMap,Carlos Prieto
evolMap,David Barrios
evolqg,Diogo Melo
evolqg,Ana Paula Assis
evolqg,Edgar Zanella
evolqg,Fabio Andrade Machado
evolqg,Guilherme Garcia
evolqg,Alex Hubbe
evolqg,Gabriel Marroig
EvolutionaryGames,Daniel Gebele
EvolutionaryGames,Jochen Staudacher
evolvability,Geir H. Bolstad
Evomorph,Juan Manuel Cabrera
Evomorph,Federico Giri
evoper,Antonio Prestes Garcia
evoper,Alfonso Rodriguez-Paton
EvoPhylo,Tiago Simoes
EvoPhylo,Noah Greifer
EvoPhylo,Joelle Barido-Sottani
EvoPhylo,Stephanie Pierce
evoTS,Kjetil Lysne Voje
evreg,Thierry Denoeux
evt0,Leo Belzile
evt0,B. G. Manjunath
evt0,Frederico Caeiro
evt0,Maria Ivette. Gomes
evt0,Maria Isabel Fraga Alves
evtclass,Edoardo Vignotto
evtree,Thomas Grubinger
evtree,Achim Zeileis
evtree,Karl-Peter Pfeiffer
EWGoF,Meryam Krit
ewoc,Marcio A. Diniz
EwR,Selahattin Guris
EwR,Ebru Caglayan Akay
EwR,Burak Guris
EWS,Jean-Baptiste Hasse
EWSmethods,Duncan O'brien
EWSmethods,Smita Deb
EWSmethods,Sahil Sidheekh
EWSmethods,Narayanan Krishnan
EWSmethods,Partha Dutta
EWSmethods,Christopher Clements
Exact,Peter Calhoun
exact.n,Chris J. Lloyd
exact2x2,Michael P. Fay
exactamente,Mackson Ncube
exactamente,Mightymetrika
exactci,Michael P. Fay
ExactCIdiff,Guogen Shan
exactextractr,Daniel Baston
exactLTRE,Christina Hernandez
ExactMed,Miguel Caubet
ExactMed,Mariia Samoilenko
ExactMed,Genevieve Lefebvre
ExactMultinom,Johannes Resin
exactRankTests,Torsten Hothorn
exactRankTests,Kurt Hornik
ExamPAData,Guanglai Li
ExamPAData,Sam Castillo
exampletestr,Rory Nolan
exampletestr,Sergi Padilla-Parra
exampletestr,Thomas Quinn
exampletestr,Laurent Gatto
exams,Achim Zeileis
exams,Bettina Gruen
exams,Friedrich Leisch
exams,Nikolaus Umlauf
exams,Mirko Birbaumer
exams,Dominik Ernst
exams,Patrik Keller
exams,Niels Smits
exams,Reto Stauffer
exams,Kenji Sato
exams,Florian Wickelmaier
exams.mylearn,Darjus Hosszejni
exams2learnr,Achim Zeileis
exams2sakai,Fuensanta Arnaldos Garcia
exams2sakai,Maria Victoria Caballero Pintado
exams2sakai,Ursula Faura Martinez
exams2sakai,Maria Teresa Diaz Delfa
exams2sakai,Jesus Maria Mendez Perez
exams2sakai,Lourdes Molera Peris
exams2sakai,Jose Antonio Palazon Ferrando
exams2sakai,Juan Jose Perez Castejon
exams2sakai,Isabel Parra Frutos
exams2sakai,Raul Sanchez Sanchez
exams2sakai,Nicolas Andres Ubero Pascal
exams2sakai,Nikolaus Umlauf
exams2sakai,Achim Zeileis
ExceedanceTools,Joshua French
exceedProb,Brian D. Segal
excel.link,Gregory Demin
exceldata,Lisa Avery
ExcelFunctionsR,Irakli Salia
excelR,Swechhya Bista
excelR,Kent Russell
excelR,Marcis Bratka
ExcessMass,Marc-Daniel Mildenberger
excessmort,Rafael A. Irizarry
excessmort,Rolando Acosta
excluder,Jeffrey R. Stevens
excluder,Joseph O'brien
excluder,Julia Silge
ExclusionTable,Joshua P. Entrop
exCon,Bryan A. Hanson
exCon,Kristina R. Mulry
exCon,Mike Bostock
excursions,David Bolin
excursions,Finn Lindgren
exDE,Sean L. Wu
exDE,David L. Smith
exdex,Paul J. Northrop
exdex,Constantinos Christodoulides
exdqlm,Raquel Barata
exdqlm,Raquel Prado
exdqlm,Bruno Sanso
ExhaustiveSearch,Rudolf Jagdhuber
ExhaustiveSearch,Jorge Nocedal
ExhaustiveSearch,Naoaki Okazaki
exif,Oliver Keyes
exifr,Dewey Dunnington
exifr,Phil Harvey
exiftoolr,Joshua O'brien
ExNRuleEnsemble,Amjad Ali
ExNRuleEnsemble,Muhammad Hamraz
ExNRuleEnsemble,Saeed Aldahmani
ExNRuleEnsemble,Zardad Khan
ExomeDepth,Vincent Plagnol
ExomeDepth,Gerard Jungman
ExomeDepth,Brian Gough
ExomeDepth,Jorma O Tahtinen
ExomeDepth,Gert Van Den Eynde
ExpAnalysis3d,Alcinei Mistico Azevedo
ExPanDaR,Joachim Gassen
expandFunctions,Scott Miller
EXPARMA,Bishal Gurung
EXPARMA,Saikat Das
EXPARMA,Achal Lama
EXPARMA,Kn Singh
expDB,Bangyou Zheng
ExpDE,Felipe Campelo
ExpDE,Moises Botelho
ExpDes,Eric Batista Ferreira
ExpDes,Portya Piscitelli Cavalcanti
ExpDes,Denismar Alves Nogueira
ExpDes.pt,Eric Batista Ferreira
ExpDes.pt,Portya Piscitelli Cavalcanti
ExpDes.pt,Denismar Alves Nogueira
expectreg,Fabian Otto-Sobotka
expectreg,Elmar Spiegel
expectreg,Sabine Schnabel
expectreg,Linda Schulze Waltrup
expectreg,Paul Eilers
expectreg,Thomas Kneib
expectreg,Goeran Kauermann
experDesign,Lluis Revilla Sancho
experDesign,Juanjo Lozano
experDesign,Azucena Salas Martinez
experiences,Joe Chelladurai
experiment,Kosuke Imai
experiment,Zhichao Jiang
experimentr,Kerem Tuncer
experimentr,Donald Green Green
ExpertChoice,Jed Stephens
expertsurv,Philip Cooney
expertsurv,Arthur White
ExpGenetic,Yuqing Wu
ExpImage,Alcinei Mistico Azevedo
expint,Vincent Goulet
expint,Gerard Jungman
expint,Brian Gough
expint,Jeffrey A. Ryan
expint,Robert Gentleman
expint,Ross Ihaka
expint,R Core Team
expint,R Foundation
expirest,Pius Dahinden
ExplainPrediction,Marko Robnik-Sikonja
ExplodeLayout,Suresh K. Bhavnani
ExplodeLayout,Weibin Zhang
explor,Julien Barnier
exploratory,Jin Kim
explore,Roland Krasser
exploreR,Michael Coates
expm,Martin Maechler
expm,Christophe Dutang
expm,Vincent Goulet
expm,Douglas Bates
expm,David Firth
expm,Marina Shapira
expm,Michael Stadelmann
export,Tom Wenseleers
export,Christophe Vanderaa
ExPosition,Derek Beaton
ExPosition,Cherise R. Chin Fatt
ExPosition,Herve Abdi
ExposR,Emery Boose
ExposR,President
ExposR,Fellows Of Harvard College
expowo,Debora Zuanny
expowo,Domingos Cardoso
expperm,Ben Powell
ExpRep,Larisa Zamora-Matamoros
ExpRep,Jorge Diaz-Silvera
ExprNet,Wenbin Wu
ExprNet,Leqi Tian
expSBM,Riccardo Rastelli
expSBM,Michael Fop
expsmooth,Rob J Hyndman
expss,Gregory Demin
expss,Sebastian Jeworutzki
expss,Dan Chaltiel
expss,John Williams
expss,Tom Elliott
expstudy,Cody Buehler
exreport,Jacinto Arias
exreport,Javier Cozar
EXRQ,Huixia Judy Wang
ExtDist,Haizhen Wu
extendedFamily,Greg Mcmahan
exteriorMatch,Paul R. Rosenbaum
extlasso,B N Mandal
ExtMallows,Han Li
ExtMallows,Minxuan Xu
ExtMallows,Jun S. Liu
ExtMallows,Xiaodan Fan
ExtractTrainData,Suhadip Datta
extraDistr,Tymoteusz Wolodzko
extrafont,Winston Chang
extrafontdb,Winston Chang
extrafrail,Diego Gallardo
extrafrail,Marcelo Bourguignon
extraoperators,Joshua F. Wiley
extras,Joe Thorley
extras,Nicole Hill
extras,Kirill Muller
extras,Nadine Hussein
extras,Poisson Consulting
extraterrestrial,Chester C. Deocaris
extRatum,Nikos Patias
extRatum,Francisco Rowe
extRC,Francesco Bartolucci
extRC,Antonio Forcina
ExtremalDep,Boris Beranger
ExtremalDep,Simone Padoan
ExtremalDep,Giulia Marcon
ExtremalDep,Steven G. Johnson
ExtremalDep,Alec G. Stephenson
ExtremalDep,Anne Sabourin
ExtremeBounds,Marek Hlavac
extremefit,Gilles Durrieu
extremefit,Ion Grama
extremefit,Kevin Jaunatre
extremefit,Quang-Khoai Pham
extremefit,Jean-Marie Tricot
extremeIndex,Maxime Taillardat
ExtremeRisks,Simone Padoan
ExtremeRisks,Gilles Stupfler
ExtremeRisks,French National Research
extRemes,Eric Gilleland
extremeStat,Berry Boessenkool
extremevalues,Mark Van Der Loo
extremis,Miguel De Carvalho
extremis,Rodrigo Rubio
extremis,Vianey Palacios
extremogram,Nadezda Frolova
extremogram,Ivor Cribben
exuber,Kostas Vasilopoulos
exuber,Efthymios Pavlidis
exuber,Enrique Martinez-Garcia
exuber,Simon Spavound
exvatools,Enrique Feas
eye,Tjebo Heeren
eye,Antoine Fabri
eyedata,Tjebo Heeren
eyedata,Dun Jack Fu
eyelinker,Simon Barthelme
eyelinkReader,Alexander Pastukhov
eyeRead,San Verhavert
eyeRead,Tine Van Daal
eyeRead,Leen Catrysse
eyetrackingR,Samuel Forbes
eyetrackingR,Jacob Dink
eyetrackingR,Brock Ferguson
eyeTrackR,Hayward Godwin
eyeTrackR,Alexander Muhl-Richardson
ez,Michael A. Lawrence
ez.combat,Timothy R. Koscik
ezcox,Shixiang Wang
ezCutoffs,Bjarne Schmalbach
ezCutoffs,Julien Patrick Irmer
ezCutoffs,Martin Schultze
ezec,Zhian N. Kamvar
ezec,Niklaus J. Grunwald
ezEDA,Viswa Viswanathan
ezglm,Yi Yang
EzGP,Jiayi Li
EzGP,Qian Xiao
EzGP,Abhyuday Mandal
EzGP,C. Devon Lin
EzGP,Xinwei Deng
ezknitr,Dean Attali
ezmmek,Christopher Cook
ezmmek,Andrew Steen
ezplot,Wojtek Kostelecki
ezr,Jin Kim
EZtune,Jill Lundell
f1dataR,Santiago Casanova
f1dataR,Philip Bulsink
fabCI,Peter Hoff
fabCI,Chaoyu Yu
FABInference,Peter Hoff
fabisearch,Martin Ondrus
fabisearch,Ivor Cribben
fable,Mitchell O'hara-Wild
fable,Rob Hyndman
fable,Earo Wang
fable,Gabriel Caceres
fable,Christoph Bergmeir
fable,Tim-Gunnar Hensel
fable,Timothy Hyndman
fable.ata,Ali Sabri Taylan
fable.ata,Hanife Taylan Selamlar
fable.ata,Guckan Yapar
fable.prophet,Mitchell O'hara-Wild
fable.prophet,Sean Taylor
fable.prophet,Ben Letham
fabletools,Mitchell O'hara-Wild
fabletools,Rob Hyndman
fabletools,Earo Wang
fabletools,Di Cook
fabletools,George Athanasopoulos
fabletools,David Holt
fabMix,Panagiotis Papastamoulis
fabR,Guillaume Fabre
fabR,Maelstrom-Research
fabricatr,Graeme Blair
fabricatr,Jasper Cooper
fabricatr,Alexander Coppock
fabricatr,Macartan Humphreys
fabricatr,Aaron Rudkin
fabricatr,Neal Fultz
fabricatr,David C. Hall
fabricerin,Mohamed El Fodil Ihaddaden
fabricerin,Garrick Aden-Buie
face,Luo Xiao
facebookadsR,Pablo Sanchez
facebookleadsR,Pablo Sanchez
facebookorganicR,Pablo Sanchez
facerec,Carsten Schwemmer
facmodCS,Mido Shammaa
facmodCS,Doug Martin
facmodCS,Kirk Li
facmodCS,Avinash Acharya
facmodCS,Lingjie Yi
FACT,Henri Funk
FACT,Christian Scholbeck
FACT,Giuseppe Casalicchio
factiv,Matthew Blackwell
factiv,Nicole Pashley
FACTMLE,Koulik Khamaru
FactoClass,Campo Elias Pardo
factoextra,Alboukadel Kassambara
factoextra,Fabian Mundt
FactoInvestigate,Simon Thuleau
FactoInvestigate,Francois Husson
FactoMineR,Francois Husson
FactoMineR,Julie Josse
FactoMineR,Sebastien Le
FactoMineR,Jeremy Mazet
factoptd,Dibaba Bayisa Gemechu
factoptd,Legesse Kassa Debusho
factoptd,Linda Haines
factor.switching,Panagiotis Papastamoulis
FactorAssumptions,Jose Storopoli
FactorCopula,Sayed H. Kadhem
FactorCopula,Aristidis K. Nikoloulopoulos
factorial2x2,Eric Leifer
factorial2x2,James Troendle
factormodel,Yujung Hwang
FactorsR,Castor Guisande Gonzalez
factorstochvol,Gregor Kastner
factorstochvol,Darjus Hosszejni
factorstochvol,Luis Gruber
factory,Jon Harmon
Factoshiny,Pauline Vaissie
Factoshiny,Astrid Monge
Factoshiny,Francois Husson
factReg,Kruijer Willem
factReg,Bart-Jan Van Rossum
factReg,Vahe Avagyan
factset.analyticsapi.engines,Akshay Sheth
factset.protobuf.stach.v2,Charlie Mathis
factset.protobuf.stachextensions,Veda Bhaskara Ramanth
fad,Somak Dutta
fad,Fan Dai
fad,Ranjan Maitra
FADA,Emeline Perthame
FADA,Chloe Friguet
FADA,David Causeur
FAdist,Francois Aucoin
FADPclust,Rui Ren
FADPclust,Kuangnan Fang
FADPclust,Qingzhao Zhang
FADPclust,Xiaofeng Wang
faersquarterlydata,Luis Garcez
faersquarterlydata,Luisa Prada
fail,Michel Lang
fairadapt,Drago Plecko
fairadapt,Nicolas Bennett
FAIRmaterials,Will Oltjen
FAIRmaterials,Mingjian Lu
FAIRmaterials,Xuanji Yu
FAIRmaterials,Liangyi Huang
FAIRmaterials,Arafath Nihar
FAIRmaterials,Tommy Ciardi
FAIRmaterials,Erika Barcelos
FAIRmaterials,Pawan Tripathi
FAIRmaterials,Abhishek Daundkar
FAIRmaterials,Deepa Bhuvanagiri
FAIRmaterials,Hope Omodolor
FAIRmaterials,Hein Htet-Aung
FAIRmaterials,Kristen Hernandez
FAIRmaterials,Mirra Rasmussen
FAIRmaterials,Olatunde Akanbi
FAIRmaterials,Raymond Wieser
FAIRmaterials,Sameera Nalin-Venkat
FAIRmaterials,Tian Wang
FAIRmaterials,Weiqi Yue
FAIRmaterials,Yangxin Fan
FAIRmaterials,Rounak Chawla
FAIRmaterials,Leean Jo
FAIRmaterials,Jarod Kaltenbaugh
FAIRmaterials,Zelin Li
FAIRmaterials,Jonathan Gordon
FAIRmaterials,Jeffrey Yarus
FAIRmaterials,Mengjie Li
FAIRmaterials,Kristopher O Davis
FAIRmaterials,Laura Bruckman
FAIRmaterials,Yinghui Wu
FAIRmaterials,Roger French
FAIRmaterials,Solar Durability
FairMclus,Carlos Santos-Mangudo
fairml,Marco Scutari
fairmodels,Jakub Wisniewski
fairmodels,Przemyslaw Biecek
fairness,Nikita Kozodoi
fairness,Tibor V. Varga
fairsubset,Joe Delaney
fake,Barbara Bodinier
fakemake,Andreas Dominik Cullmann
fakir,Colin Fay
fakir,Sebastien Rochette
fakmct,Alfi Nurrahmah
falcon,Hao Chen
falcon,Nancy R. Zhang
falconx,Hao Chen
falconx,Nancy R. Zhang
fam.recrisk,Schaid Daniel
fam.recrisk,Jason Sinnwell
FAMetA,Maribel Alcoriza-Balaguer
FAMetA,Juan Carlos Garcia-Canaveras
FAMetA,Agustin Lahoz
FamEvent,Yun-Hee Choi
FamEvent,Karen Kopciuk
FamEvent,Wenqing He
FamEvent,Laurent Briollais
familial,Ryan Thompson
familiar,Alex Zwanenburg
familiar,Steffen Lock
familiar,Stefan Leger
familiar,Iram Shahzadi
familiar,Asier Rabasco Meneghetti
familiar,Sebastian Starke
Families,Frans Willekens
FamilyRank,Michelle Saul
FAmle,Francois Aucoin
FAMoS,Michael Gabel
FAMoS,Tobias Hohl
famSKATRC,Khalid B. Kunji
famSKATRC,Mohamad Saad
FAMT,David Causeur
FAMT,Chloe Friguet
FAMT,Magalie Houee-Bigot
FAMT,Maela Kloareg
fanc,Kei Hirose
fanc,Michio Yamamoto
fanc,Haruhisa Nagata
fANCOVA,Xiaofeng Wang
fANCOVA,Xinge Ji
fancycut,Adam Rich
fancycut,Richie Cotton
fangs,David B. Dahl
fangs,R. Jacob Andros
fangs,Devin J. Johnson
fangs,Alex Crichton
fangs,Andrii Dmytrenko
fangs,Brendan Zabarauskas
fangs,David B. Dahl
fangs,David Tolnay
fangs,Dutchghost
fangs,Enthought
fangs,Gilad Naaman
fangs,Jim Turner
fangs,Josh Stone
fangs,Matrixmultiply Authors
fangs,Melissa O'neill
fangs,Ndarray Developers
fangs,Niko Matsakis
fangs,Paul Dicker
fangs,Ralf Jung
fangs,Rawpointer Developers
fangs,R. Janis Goldschmidt
fangs,Scipys
fangs,Scopeguard Developers
fangs,Sean Mcarthur
fangs,Stefan Lankes
fangs,The Cranelift Projects
fangs,The Crossbeam Projects
fangs,The Cryptocorrosion Contributors
fangs,The Go Authors
fangs,The Rand Projects
fangs,The Rust Projects
fangs,Ulrik Sverdrup Bluss
fanovaGraph,Jana Fruth
fanovaGraph,Thomas Muehlenstaedt
fanovaGraph,Olivier Roustant
fanovaGraph,Malte Jastrow
fanovaGraph,Sonja Kuhnt
fanplot,Guy J. Abel
fansi,Brodie Gaslam
fansi,Elliott Sales De Andrade
fansi,R Core Team
FAO56,Ali Ahani
FAOSTAT,Michael C. J. Kao
FAOSTAT,Markus Gesmann
FAOSTAT,Filippo Gheri
faoutlier,Phil Chalmers
faq,Jiena Mclellan
faq,Michael Condouris
faq,Alex Lais
faq,Jason Forrest
faq,Gunvansh Khanna
far,Damon Julien Guillas Serge
faraway,Julian Faraway
FARDEEP,Yuning Hao
FARDEEP,Ming Yan
FARDEEP,Blake R. Heath
FARDEEP,Yu L. Lei
FARDEEP,Yuying Xie
farff,Marc Becker
farff,Bernd Bischl
farff,Jakob Bossek
FarmSelect,Koushiki Bose
FarmSelect,Yuan Ke
FarmSelect,Kaizheng Wang
FarmTest,Xiaoou Pan
FarmTest,Yuan Ke
FarmTest,Wen-Xin Zhou
farr,Ian Gow
farrell,Mohamed El Fodil Ihaddaden
farver,Thomas Lin Pedersen
farver,Berendea Nicolae
farver,Romain Francois
fasano.franceschini.test,Connor Puritz
fasano.franceschini.test,Elan Ness-Cohn
fasano.franceschini.test,Rosemary Braun
fasano.franceschini.test,Luca Weihs
FASeg,Xavier Collilieux
FASeg,Emilie Lebarbier
FASeg,Stephane Robin
fasjem,Beilun Wang
fasjem,Yanjun Qi
fAssets,Diethelm Wuertz
fAssets,Tobias Setz
fAssets,Yohan Chalabi
fAssets,Stefan Theussl
fasstr,Jon Goetz
fasstr,Carl James Schwarz
fasstr,Sam Albers
fasstr,Robin Pike
fasta,Eric C. Chi
fasta,Tom Goldstein
fasta,Christoph Studer
fasta,Richard G. Baraniuk
fastadi,Alex Hayes
fastadi,Juhee Cho
fastadi,Donggyu Kim
fastadi,Karl Rohe
fastAFT,Yijian Huang
fastai,Turgut Abdullayev
FastBandChol,Aaron Molstad
fastbeta,Mikael Jagan
fastcluster,Daniel Mullner
fastcmh,Felipe Llinares Lopez
fastcmh,Dean Bodenham
fastcox,Yi Yang
FastCUB,Rosaria Simone
fastdigest,Gabriel Becker
fastdigest,Bob Jenkins
fastDummies,Jacob Kaplan
fastDummies,Benjamin Schlegel
fasterElasticNet,Jingyi Ma
fasterElasticNet,Qiuhong Lai
fasterElasticNet,Linyu Zuo
fasterElasticNet,Yi Yang
fasterElasticNet,Meng Su
fasterElasticNet,Zhen Yu
fasterElasticNet,Gege Gao
fasterElasticNet,Xiao Liu
fasterElasticNet,Xueni Ruan
fasterElasticNet,Xinyuan Yang
fasterElasticNet,Yu Bai
fasterElasticNet,Zhijun Liao
fasterize,Noam Ross
fasterize,Michael Sumner
fasterize,Jeroen Ooms
fasterize,Antoine Stevens
FastGaSP,Mengyang Gu
fastGHQuad,Alexander W Blocker
fastGLCM,Lampros Mouselimis
fastGLCM,Takahiro Toizumi
fastglm,Jared Huling
fastglm,Douglas Bates
fastglm,Dirk Eddelbuettel
fastglm,Romain Francois
fastglm,Yixuan Qiu
FastGP,Giri Gopalan
FastGP,Luke Bornn
fastGraph,Steven T. Garren
fastICA,J L Marchini
fastICA,C Heaton
fastICA,B D Ripley
FastImputation,Stephen R. Haptonstahl
FastJM,Shanpeng Li
FastJM,Ning Li
FastJM,Hong Wang
FastJM,Jin Zhou
FastJM,Hua Zhou
FastJM,Gang Li
fastJT,Jiaxing Lin
fastJT,Alexander Sibley
fastJT,Ivo Shterev
fastJT,Kouros Owzar
FastKM,Rachel Marceau
FastKM,Wenbin Lu
FastKM,Michele M. Sale
FastKM,Bradford B. Worrall
FastKM,Stephen R. Williams
FastKM,Fang-Chi Hsu
FastKM,Jung-Ying Tzeng
FastKM,Shannon T. Holloway
fastkmedoids,Xun Li
FastKNN,Gaston Besanson
fastLaplace,Sangwan Lee
fastLaplace,Jaewoo Park
fastLink,Ted Enamorado
fastLink,Ben Fifield
fastLink,Kosuke Imai
fastLogisticRegressionWrap,Adam Kapelner
fastLogisticRegressionWrap,Beau Walker
fastLogisticRegressionWrap,Gabriel Mayer
fastlogitME,Mathieu Steijn
fastlogranktest,Andreas Stelzer
fastlogranktest,Manuela Lautizi
fastlogranktest,Tim Kacprowski
fastM,Lutz Duembgen
fastM,Klaus Nordhausen
fastM,Heike Schuhmacher
fastmap,Winston Chang
fastmap,Rstudio
fastmaRching,Fabio Silva
fastmatch,Simon Urbanek
fastmatrix,Felipe Osorio
fastmatrix,Alonso Ogueda
fastmit,Shiyun Lin
fastmit,Jin Zhu
fastmit,Wenliang Pan
fastmit,Xueqin Wang
fastNaiveBayes,Martin Skogholt
fastnet,Nazrul Shaikh
fastnet,Xu Dong
fastnet,Luis Castro
fastnet,Christian Llano
fastOnlineCpt,Georg Hahn
FastPCS,Kaveh Vakili
fastpos,Johannes Titz
fastqcr,Alboukadel Kassambara
fastqq,Gudmundur Einarsson
fastqq,Hafsteinn Einarsson
fastR2,Randall Pruim
FastRCS,Kaveh Vakili
fastrep,Alisson Rosa
fastRG,Alex Hayes
fastRG,Karl Rohe
fastRG,Jun Tao
fastRG,Xintian Han
fastRG,Norbert Binkiewicz
fastRhockey,Ben Howell
fastRhockey,Saiem Gilani
fastRhockey,Alyssa Longmuir
fastrmodels,Sebastian Carl
fastrmodels,Ben Baldwin
FastRWeb,Simon Urbanek
FastSF,Canhong Wen
FastSF,Xueqin Wang
FastSF,Yanhe Shen
FastSF,Aijun Zhang
fastshap,Brandon Greenwell
fastSOM,Stefan Kloessner
fastSOM,Sven Wagner
fastText,Lampros Mouselimis
fastText,Facebook Inc
fastTextR,Florian Schwendinger
fastTextR,Emil Hvitfeldt
fasttime,Simon Urbanek
fastTopics,Peter Carbonetto
fastTopics,Kevin Luo
fastTopics,Kushal Dey
fastTopics,Joyce Hsiao
fastTopics,Abhishek Sarkar
fastTopics,Anthony Hung
fastTopics,Xihui Lin
fastTopics,Paul C. Boutros
fastTopics,Minzhe Wang
fastTopics,Tracy Ke
fastTopics,Matthew Stephens
fastverse,Sebastian Krantz
fastverse,Hadley Wickham
fastWavelets,John Quilty
fastWavelets,John You
fat2Lpoly,Alexandre Bureau
FateID,Dominic Grun
FatTailsR,Patrice Kiener
FaultTree,David Silkworth
FaultTree,Jacob Ormerod
faux,Lisa Debruine
faux,Anna Krystalli
faux,Andrew Heiss
fauxnaif,Alexander Rossell Hayes
fauxpas,Scott Chamberlain
FAVAR,Pu Chen
FAVAR,Chen Chen
FAVAR,Gary Koop
FAVAR,Dimitris Korobilis
faviconPlease,John Blischak
favnums,Oliver Keyes
FAwR,Andrew Robinson
FAwR,Jeff Hamann
fbar,Max Conway
fBasics,Diethelm Wuertz
fBasics,Tobias Setz
fBasics,Yohan Chalabi
fBasics,Martin Maechler
fBasics,Georgi N. Boshnakov
fbati,Thomas Hoffmann
FBCRM,Soham Mahato
FBCRM,Andrew G Chapple
FBFsearch,Davide Altomare
FBFsearch,Guido Consonni
FBFsearch,Luca La Rocca
FBN,Adrian Andronache
fbnet,Franco Marsico
fbnet,Ariel Chernomoretz
fBonds,Diethelm Wuertz
fbRads,Gergely Daroczi
fbRads,Ajaykumar Gopal
fbRads,Attila Nagy
fbRads,Card.com
fbroc,Erik Peter
fbst,Riko Kelter
fc,Xiaofei Susan Wang
fc,Michael Kane
fca,Etienne Grueebler
fca,Merlin Unterfinger
fca,Reto Joerg
fcaR,Domingo Lopez Rodriguez
fcaR,Angel Mora
fcaR,Jesus Dominguez
fcaR,Ana Villalon
fcaR,Ian Johnson
fcci,Valerio Gherardi
fcfdr,Anna Hutchinson
fcfdr,Chris Wallace
fcfdr,Thomas Willis
fcfdr,James Liley
fcirt,Naidan Tu
fcirt,Seang-Hwane Joo
fcirt,Philseok Lee
fcirt,Stephen Stark
fclust,Paolo Giordani
fclust,Maria Brigida Ferraro
fclust,Alessio Serafini
fcm,Zoumpoulia Dikopoulou
FCMapper,Shaun Turney
FCMapper,Michael Bachhofer
FCO,Thomas Niemand
FCO,Robert Mai
fCopulae,Diethelm Wuertz
