response_id,main_branch,age,remote_work,ed_level,years_code,years_code_pro,dev_type,org_size,purchase_influence,buildvs_buy,country,currency,comp_total,so_visit_freq,so_account,so_part_freq,so_comm,ai_select,ai_sent,ai_acc,ai_complex,ai_threat,survey_length,survey_ease,converted_comp_yearly,r_used,r_want_to_use
5612,1,3,1,3,17,10,31,3,3,1,Germany,EUR European Euro,95000,1,3,5,1,2,2,NA,NA,2,1,3,102036,0,1
5613,4,1,NA,8,7,NA,26,NA,NA,NA,Russian Federation,NA,NA,1,1,NA,3,3,5,5,2,1,1,2,NA,0,0
5614,1,3,1,3,20,15,12,8,2,1,United States of America,USD	United States dollar,167890,3,2,NA,6,2,2,NA,NA,1,1,3,167890,0,0
5615,3,2,1,3,16,9,31,3,2,2,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,69000,5,3,1,6,1,NA,NA,NA,NA,1,2,87898,0,0
5616,1,1,2,2,NA,NA,NA,NA,NA,NA,United States of America,USD	United States dollar,NA,3,3,4,6,3,NA,NA,NA,NA,NA,NA,NA,0,0
5617,1,3,3,3,15,4,12,6,2,1,Ukraine,UAH	Ukrainian hryvnia,500000,2,1,NA,3,1,NA,NA,NA,NA,2,3,12342,0,0
5618,1,3,3,2,8,6,12,4,1,1,United States of America,USD	United States dollar,210000,3,1,NA,3,1,NA,NA,NA,NA,1,2,210000,0,0
5619,1,2,3,6,5,5,16,1,2,NA,Slovakia,EUR European Euro,NA,2,1,NA,1,3,2,1,4,2,1,3,NA,0,0
5620,1,2,1,3,10,5,4,1,3,3,Denmark,DKK	Danish krone,712800,3,3,5,1,3,1,4,2,2,1,2,102645,0,NA
5621,1,2,3,2,15,10,16,3,3,1,United States of America,USD	United States dollar,140000,1,3,1,6,3,1,3,3,1,1,3,140000,0,0
5622,2,2,NA,2,2,NA,NA,NA,NA,NA,United States of America,NA,NA,3,1,NA,2,3,1,5,2,2,3,2,NA,0,NA
5623,1,3,3,3,10,8,16,6,1,1,Belgium,EUR European Euro,100000,2,3,5,1,2,1,NA,NA,2,1,2,107406,0,0
5624,1,1,2,2,9,4,16,8,3,1,India,INR	Indian rupee,1600000,2,3,2,6,3,1,4,1,2,3,2,19142,0,0
5625,2,1,NA,2,4,NA,33,NA,NA,NA,Russian Federation,NA,NA,2,3,5,3,3,1,3,2,2,2,2,NA,0,0
5626,2,1,NA,7,6,NA,14,NA,NA,NA,Canada,NA,NA,3,1,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
5627,1,3,3,7,18,16,12,3,3,1,United States of America,USD	United States dollar,125000,3,3,1,3,3,5,2,5,1,3,2,125000,0,0
5628,1,2,1,3,6,5,12,6,3,2,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,80000,1,3,5,6,3,5,5,2,2,1,3,101910,0,0
5629,1,3,1,3,24,20,12,1,2,1,Netherlands,EUR European Euro,70000,3,2,NA,6,1,NA,NA,NA,NA,2,3,75184,0,0
5630,1,8,3,6,4,2,33,10,3,3,India,USD	United States dollar,NA,3,3,5,6,3,1,3,2,2,1,3,NA,0,0
5631,1,2,1,2,8,4,16,4,1,3,United States of America,USD	United States dollar,125000,1,3,5,3,3,5,2,2,2,2,1,125000,0,0
5632,1,3,3,2,24,19,29,3,3,2,United States of America,USD	United States dollar,145600,2,3,1,3,3,5,5,1,2,1,2,145600,1,0
5633,1,2,2,2,8,4,11,6,3,1,United States of America,USD	United States dollar,NA,5,1,NA,2,3,5,5,2,2,2,3,NA,0,0
5634,1,3,3,3,7,7,5,4,3,3,Canada,CAD	Canadian dollar,NA,3,3,5,5,3,1,3,1,3,2,3,NA,1,0
5635,3,2,NA,3,10,NA,1,NA,NA,NA,United States of America,NA,NA,5,3,2,6,1,NA,NA,NA,NA,1,2,NA,0,0
5636,4,8,NA,6,3,NA,16,NA,NA,NA,Germany,NA,NA,5,3,5,2,3,5,5,2,1,1,2,NA,0,0
5637,1,2,1,3,16,12,12,1,2,2,Germany,EUR European Euro,90000,1,1,NA,1,3,1,1,1,2,2,2,96666,0,0
5638,1,3,3,3,26,12,12,6,3,1,Germany,EUR European Euro,93000,2,3,5,3,3,1,4,3,2,1,3,99888,0,0
5639,1,3,3,3,15,11,16,6,2,1,India,INR	Indian rupee,NA,3,3,5,5,2,3,NA,NA,3,1,3,NA,0,0
5640,3,3,3,6,20,20,20,5,1,2,Canada,CAD	Canadian dollar,125000,2,3,1,6,2,1,NA,NA,2,1,3,90866,0,0
5641,3,2,3,2,5,2,15,10,1,2,Nigeria,USD	United States dollar,5000,1,2,NA,2,3,2,4,1,2,1,3,5000,0,0
5642,1,5,1,7,40,35,29,6,1,1,South Africa,ZAR	South African rand,NA,1,2,NA,3,3,1,5,2,2,2,2,NA,0,0
5643,1,5,1,3,45,41,16,4,3,2,United States of America,USD	United States dollar,180000,2,3,5,3,3,1,3,2,2,1,2,180000,0,0
5644,5,4,1,2,40,NA,32,NA,NA,NA,South Africa,NA,NA,4,3,5,3,3,5,3,1,2,1,2,NA,0,NA
5645,1,2,1,2,14,9,22,9,2,2,United States of America,USD	United States dollar,NA,1,1,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
5646,1,2,3,7,11,5,16,10,1,2,United States of America,USD	United States dollar,11000,2,3,5,2,3,5,5,3,2,3,2,11000,0,0
5647,1,2,1,3,20,13,1,1,3,1,Switzerland,CHF	Swiss franc,81000,3,3,1,5,1,NA,NA,NA,NA,1,2,90248,0,0
5648,1,1,3,3,6,4,12,6,2,NA,Poland,PLN	Polish zloty,44000,4,3,4,3,3,1,5,2,1,2,3,10888,0,0
5649,3,2,1,3,9,5,21,3,3,1,United States of America,USD	United States dollar,20000,3,3,2,5,3,1,3,3,2,1,3,20000,0,0
5650,1,2,3,1,6,2,16,4,3,3,United States of America,USD	United States dollar,52000,3,3,5,3,3,1,5,3,2,1,2,52000,0,0
5651,1,3,1,3,15,10,12,4,3,2,Netherlands,EUR European Euro,100000,3,3,5,6,2,2,NA,NA,2,3,2,107406,0,0
5652,3,2,2,2,20,10,26,2,3,1,United States of America,USD	United States dollar,72000,5,3,2,5,1,NA,NA,NA,NA,1,3,72000,0,0
5653,1,2,1,5,13,5,6,5,1,1,Italy,EUR European Euro,45000,5,3,4,6,3,1,4,1,2,2,2,48333,1,1
5654,1,4,3,3,25,20,16,1,2,1,Ukraine,UAH	Ukrainian hryvnia,2000000,1,2,NA,3,3,1,5,2,3,1,3,49368,0,0
5655,1,3,3,7,25,20,16,10,3,2,United States of America,USD	United States dollar,240000,2,3,5,3,3,3,1,4,2,1,2,240000,0,0
5656,2,1,NA,7,6,NA,33,NA,NA,NA,Ireland,NA,NA,2,1,NA,2,3,1,4,4,2,2,3,NA,0,0
5657,1,2,1,2,14,8,16,6,2,2,Switzerland,CHF	Swiss franc,105000,2,3,5,6,3,1,3,2,3,1,3,116988,0,0
5658,1,2,1,2,10,2,12,3,2,1,United States of America,USD	United States dollar,75420,1,3,4,2,3,1,5,2,2,1,2,75420,0,0
5659,1,3,3,2,12,10,16,2,1,1,Canada,CAD	Canadian dollar,70000,3,3,1,5,2,1,NA,NA,2,2,2,50885,0,0
5660,1,2,1,7,23,14,16,8,3,1,United States of America,USD	United States dollar,150000,2,3,5,1,3,5,5,2,2,2,2,150000,0,0
5661,1,3,3,5,14,9,12,7,2,1,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,50000,2,1,NA,3,2,1,NA,NA,1,2,3,63694,0,0
5662,1,3,3,7,19,14,16,4,3,1,United States of America,USD	United States dollar,210000,4,3,5,2,3,2,1,4,2,1,2,210000,0,0
5663,1,5,3,2,40,36,15,4,2,1,United States of America,USD	United States dollar,170000,2,3,5,5,3,1,5,NA,2,2,2,170000,0,0
5664,3,3,3,7,20,10,5,3,3,1,United States of America,USD	United States dollar,180000,1,2,NA,1,3,5,5,2,2,1,2,180000,0,0
5665,1,2,1,7,13,8,16,4,3,2,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,NA,4,3,5,3,1,NA,NA,NA,NA,1,3,NA,0,0
5666,1,3,1,2,20,15,12,7,3,2,Italy,EUR European Euro,50000,3,1,NA,6,3,5,5,2,3,1,2,53703,0,0
5667,1,2,1,2,7,2,12,8,2,2,Thailand,THB	Thai baht,579000,5,2,NA,4,3,1,3,1,1,1,3,15776,0,0
5668,1,5,3,3,39,28,16,5,1,2,Hungary,HUF	Hungarian forint,19000000,2,1,NA,3,3,1,5,2,2,2,3,51633,0,0
5669,4,8,NA,4,5,NA,33,NA,NA,NA,Switzerland,NA,NA,4,3,NA,2,3,3,3,2,3,1,3,NA,0,0
5670,1,3,1,7,20,17,15,9,2,1,Germany,EUR European Euro,49000,3,2,NA,1,3,1,5,2,1,2,2,52629,0,1
5671,4,8,NA,6,1,NA,33,NA,NA,NA,Germany,NA,NA,3,1,NA,2,3,4,4,4,2,2,2,NA,0,0
5672,1,2,3,2,8,4,12,7,2,1,Poland,PLN	Polish zloty,210000,2,3,4,1,1,NA,NA,NA,NA,1,2,51968,0,0
5673,4,8,NA,4,4,NA,16,NA,NA,NA,United States of America,NA,NA,2,1,NA,3,3,3,1,1,1,1,2,NA,0,0
5674,1,2,2,7,15,7,16,6,1,1,Czech Republic,CZK	Czech koruna,1200000,3,3,4,2,3,2,1,4,2,2,2,52122,0,0
5675,1,2,3,3,16,11,26,6,2,1,United States of America,USD	United States dollar,100000,1,3,5,3,3,5,5,2,2,2,3,100000,0,0
5676,1,3,1,3,25,20,12,3,2,NA,Hungary,HUF	Hungarian forint,NA,3,3,5,6,1,NA,NA,NA,NA,2,3,NA,0,0
5677,4,4,1,3,8,NA,32,NA,NA,NA,Germany,NA,NA,1,1,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
5678,1,3,1,5,25,18,32,6,1,1,France,EUR European Euro,250000,4,3,4,2,3,5,4,1,2,2,3,268515,0,0
5679,2,1,NA,6,10,NA,33,NA,NA,NA,Belgium,NA,NA,3,3,4,3,3,1,5,3,2,1,3,NA,0,0
5680,1,2,3,2,10,5,15,10,3,3,Brazil,BRL	Brazilian real,9000,5,3,4,1,1,NA,NA,NA,NA,1,2,1678,0,0
5681,4,8,NA,4,5,NA,33,NA,NA,NA,Germany,NA,NA,2,3,5,1,3,5,5,1,2,1,3,NA,0,0
5682,1,2,3,7,12,10,2,6,3,1,Canada,CAD	Canadian dollar,200000,4,3,4,3,3,4,4,1,2,1,2,145386,0,0
5683,1,2,3,2,6,6,12,4,2,1,Turkey,TRY	Turkish lira,60000,1,1,NA,1,3,5,5,1,2,2,3,1855,0,0
5684,1,2,1,2,11,9,16,6,1,2,India,INR	Indian rupee,110000,5,3,5,5,3,5,3,3,2,2,2,1316,0,0
5685,1,2,1,2,13,9,12,1,2,1,United States of America,USD	United States dollar,192000,3,3,5,5,1,NA,NA,NA,NA,1,2,192000,0,0
5686,1,1,NA,2,4,0,33,NA,NA,NA,Canada,NA,NA,1,3,5,3,3,1,4,2,2,1,2,NA,0,0
5687,1,3,3,2,12,12,16,3,2,1,United States of America,USD	United States dollar,165000,3,3,5,6,1,NA,NA,NA,NA,1,2,165000,0,0
5688,1,3,3,2,21,15,32,2,1,3,South Africa,ZAR	South African rand,1440000,1,3,5,3,1,NA,NA,NA,NA,1,2,77484,0,0
5689,1,3,1,2,25,19,16,8,2,1,United States of America,USD	United States dollar,101000,3,3,2,6,3,1,5,2,3,1,3,101000,0,0
5690,5,5,NA,2,40,NA,12,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,4,3,5,3,1,NA,NA,NA,NA,1,2,NA,0,0
5691,1,1,NA,7,5,2,8,NA,NA,NA,Germany,NA,NA,5,1,NA,2,1,NA,NA,NA,NA,2,2,NA,0,0
5692,1,5,1,2,51,40,12,10,1,1,France,EUR European Euro,90000,5,3,1,5,1,NA,NA,NA,NA,1,2,96666,0,0
5693,1,1,3,7,10,6,12,10,3,1,Brazil,BRL	Brazilian real,205200,2,3,5,1,1,NA,NA,NA,NA,1,2,38267,0,0
5694,1,4,3,3,35,30,16,4,2,1,France,EUR European Euro,NA,1,1,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
5695,4,3,2,4,15,NA,18,NA,NA,NA,Turkey,NA,NA,3,3,5,6,3,5,5,2,2,1,3,NA,0,0
5696,3,4,1,3,35,28,32,8,1,1,Canada,CAD	Canadian dollar,450000,3,3,1,5,3,2,3,3,2,1,3,327118,0,1
5697,1,2,1,2,10,7,12,2,1,1,Israel,ILS	Israeli new shekel,45000,5,3,5,1,3,5,5,2,2,2,3,12143,0,0
5698,1,3,3,3,22,17,18,4,1,3,United States of America,USD	United States dollar,225000,2,3,5,5,1,NA,NA,NA,NA,1,3,225000,0,NA
5699,1,1,1,7,7,5,16,9,2,2,Brazil,BRL	Brazilian real,50000,5,3,4,4,3,5,3,1,1,1,2,9324,0,0
5700,1,2,1,3,14,13,12,4,2,1,France,EUR European Euro,53000,1,3,5,6,3,1,3,2,2,1,3,56925,0,0
5701,1,2,3,7,7,5,15,3,3,2,Kyrgyzstan,KGS	Kyrgyzstani som,NA,2,3,2,5,3,5,5,2,2,1,3,NA,0,0
5702,1,3,3,2,30,16,16,3,3,1,United States of America,USD	United States dollar,110000,2,3,5,6,2,2,NA,NA,3,1,3,110000,0,0
5703,1,1,3,6,2,0,15,6,3,2,Brazil,BRL	Brazilian real,18000,5,3,4,2,3,1,1,1,2,1,2,3357,0,0
5704,1,3,3,3,26,24,16,1,2,1,Brazil,BRL	Brazilian real,225000,5,3,6,6,1,NA,NA,NA,NA,1,3,41960,0,0
5705,3,3,1,2,23,14,31,1,3,NA,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,NA,1,3,1,3,1,NA,NA,NA,NA,1,3,NA,0,0
5706,1,3,3,1,28,22,29,6,3,2,United States of America,USD	United States dollar,106000,1,2,NA,3,3,2,3,4,2,1,3,106000,0,0
5707,1,3,3,3,33,21,12,6,1,1,Canada,CAD	Canadian dollar,130000,5,3,5,6,3,2,4,4,3,1,2,94501,0,0
5708,1,2,3,3,13,11,12,8,2,1,Germany,EUR European Euro,85000,5,3,1,5,3,5,5,2,2,2,2,91295,0,0
5709,1,2,1,2,8,3,16,8,3,1,United States of America,USD	United States dollar,100000,1,3,4,2,3,1,5,2,2,1,2,100000,0,0
5710,1,1,NA,2,8,6,16,NA,NA,NA,"Iran, Islamic Republic of...",NA,NA,3,3,1,6,3,1,3,2,2,1,2,NA,0,0
5711,1,2,1,3,8,3,16,3,2,1,United States of America,USD	United States dollar,151000,3,1,NA,3,3,1,3,3,2,2,3,151000,0,0
5712,1,1,3,4,6,5,16,10,3,1,United States of America,USD	United States dollar,NA,4,3,5,3,3,1,5,2,2,1,3,NA,0,0
5713,1,2,1,3,9,4,16,5,1,1,India,INR	Indian rupee,NA,5,3,5,5,3,2,4,1,2,1,2,NA,0,0
5714,1,2,3,2,5,3,16,5,3,1,Brazil,USD	United States dollar,36000,3,2,NA,6,1,NA,NA,NA,NA,1,3,36000,0,0
5715,1,1,NA,6,4,0,33,NA,NA,NA,United States of America,NA,NA,1,3,4,1,3,2,3,1,NA,1,3,NA,0,0
5716,1,3,1,2,17,14,16,7,2,1,United States of America,USD	United States dollar,125000,2,3,5,2,1,NA,NA,NA,NA,3,2,125000,0,0
5717,1,2,2,2,12,5,16,1,2,1,United States of America,USD	United States dollar,100000,5,3,2,3,1,NA,NA,NA,NA,1,2,100000,0,0
5718,4,8,NA,4,8,NA,17,NA,NA,NA,Canada,NA,NA,2,3,4,3,1,NA,NA,NA,NA,1,2,NA,0,0
5719,3,5,2,7,10,10,28,6,1,1,United States of America,USD	United States dollar,120000,1,3,5,6,2,2,NA,NA,2,2,3,120000,0,NA
5720,4,1,NA,4,2,NA,18,NA,NA,NA,Netherlands,NA,NA,4,3,4,2,3,5,5,2,3,2,2,NA,0,0
5721,1,2,3,3,4,2,4,6,1,1,Germany,EUR European Euro,65000,2,3,5,3,3,1,5,1,2,1,3,69814,0,0
5722,1,2,3,2,9,6,12,4,3,3,India,INR	Indian rupee,NA,1,3,5,1,3,5,5,2,2,1,2,NA,0,0
5723,1,2,3,2,6,5,12,3,2,3,United States of America,USD	United States dollar,80000,5,2,NA,4,3,5,5,1,2,1,3,80000,0,0
5724,1,2,1,3,14,6,1,2,3,NA,Greece,EUR European Euro,20000,3,3,5,1,1,NA,NA,NA,NA,1,3,21481,0,0
5725,1,2,3,2,16,10,16,5,1,2,United States of America,USD	United States dollar,NA,2,3,4,2,3,5,5,2,2,1,2,NA,0,0
5726,4,8,NA,6,3,NA,33,NA,NA,NA,Belgium,NA,NA,1,1,NA,3,3,1,4,3,1,1,2,NA,0,0
5727,1,2,1,2,9,5,16,4,2,NA,Germany,EUR European Euro,53778,5,3,5,3,1,NA,NA,NA,NA,1,3,57761,0,0
5728,1,1,2,7,5,0,12,2,2,3,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,21800,3,1,NA,3,1,NA,NA,NA,NA,1,2,27771,0,0
5729,1,2,1,2,7,3,16,6,3,1,Sri Lanka,LKR	Sri Lankan rupee,2400000,5,3,2,5,2,1,NA,NA,2,1,2,7901,0,0
5730,1,2,1,7,12,10,16,6,3,2,Brazil,BRL	Brazilian real,NA,2,2,NA,2,3,5,3,3,2,1,3,NA,0,0
5731,4,8,3,6,4,NA,16,NA,NA,NA,Italy,NA,NA,2,3,5,6,3,5,5,2,2,2,2,NA,0,0
5732,1,1,3,3,11,5,31,3,3,3,Germany,EUR European Euro,NA,2,3,5,6,3,1,4,1,2,1,3,NA,0,1
5733,4,1,NA,4,5,NA,33,NA,NA,NA,Germany,NA,NA,3,3,5,3,3,5,5,4,2,1,2,NA,0,0
5734,1,2,3,2,2,1,15,5,3,NA,Egypt,EGP	Egyptian pound,NA,2,3,5,1,3,1,4,1,2,1,3,NA,0,0
5735,1,1,1,6,10,6,16,5,1,1,Germany,EUR European Euro,NA,2,3,4,6,3,2,3,1,2,1,3,NA,0,0
5736,1,1,NA,7,6,4,16,NA,NA,NA,Bangladesh,NA,NA,5,3,4,5,2,1,NA,NA,2,2,3,NA,0,0
5737,1,2,1,2,15,3,13,6,3,1,Poland,PLN	Polish zloty,108000,3,3,5,3,1,NA,NA,NA,NA,1,3,26726,0,0
5738,1,2,3,2,17,13,16,5,1,1,Canada,CAD	Canadian dollar,180000,4,2,NA,3,3,1,3,1,2,1,2,130847,0,0
5739,1,4,1,2,32,25,13,5,1,2,Spain,EUR European Euro,40000,5,3,5,6,3,1,4,3,2,2,3,42962,0,0
5740,1,1,3,6,5,2,18,5,1,1,Russian Federation,RUB	Russian ruble,NA,2,2,NA,3,3,2,5,1,1,1,3,NA,0,0
5741,1,4,3,7,5,2,15,2,2,1,France,EUR European Euro,44500,3,3,1,6,3,2,4,4,3,1,2,47796,0,0
5742,3,2,3,3,8,8,22,1,1,1,United States of America,USD	United States dollar,80000,1,3,4,2,3,2,4,1,2,1,2,80000,0,0
5743,1,3,1,2,21,33,16,10,1,1,Netherlands,EUR European Euro,NA,3,3,5,1,1,NA,NA,NA,NA,2,3,NA,0,0
5744,4,1,NA,6,10,NA,33,NA,NA,NA,Canada,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,1,2,NA,0,0
5745,1,5,3,2,41,34,12,4,3,1,United States of America,USD	United States dollar,140000,2,3,5,3,1,NA,NA,NA,NA,1,3,140000,0,0
5746,1,4,3,7,32,29,16,3,2,1,United States of America,USD	United States dollar,150000,3,3,5,6,3,5,5,5,2,1,3,150000,0,0
5747,2,1,3,6,1,NA,12,NA,NA,NA,Ukraine,NA,NA,1,2,NA,3,3,2,3,2,1,2,3,NA,0,0
5748,1,3,3,3,15,13,12,4,3,1,United States of America,USD	United States dollar,172550,1,3,4,2,1,NA,NA,NA,NA,1,2,172550,0,0
5749,1,4,3,2,29,20,12,2,3,2,Brazil,BRL	Brazilian real,180000,2,3,5,2,1,NA,NA,NA,NA,1,2,33568,0,0
5750,1,3,3,2,9,5,26,2,2,1,United States of America,USD	United States dollar,20000,1,3,4,6,3,5,2,2,1,2,2,20000,0,0
5751,1,3,3,2,16,16,16,6,1,2,United States of America,USD	United States dollar,225000,4,1,NA,2,3,5,4,3,1,1,2,225000,0,0
5752,1,3,3,7,32,32,34,4,2,2,United States of America,USD	United States dollar,155000,2,2,NA,1,2,2,NA,NA,1,2,3,155000,0,0
5753,3,2,1,5,2,0,34,5,3,2,Mexico,USD	United States dollar,NA,2,1,NA,3,1,NA,NA,NA,NA,1,2,NA,0,0
5754,1,3,3,2,17,13,16,4,2,3,Brazil,USD	United States dollar,124800,3,3,5,6,3,5,4,3,2,1,2,124800,0,0
5755,1,2,NA,2,19,9,18,10,NA,NA,"Iran, Islamic Republic of...",IRR	Iranian rial,NA,1,3,1,3,3,1,1,1,2,3,3,NA,0,0
5756,1,3,1,2,16,13,16,1,2,1,Sweden,SEK	Swedish krona,600000,2,2,NA,3,2,1,NA,NA,2,2,3,57230,0,0
5757,1,3,3,1,15,15,32,6,1,2,Brazil,BRL	Brazilian real,20000,5,3,2,5,3,1,3,2,1,2,3,3730,0,0
5758,1,3,2,3,25,15,16,10,1,1,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,167000,3,3,1,6,3,2,4,1,2,1,2,212738,0,0
5759,1,4,1,5,20,12,34,3,3,3,Sweden,SEK	Swedish krona,400000,2,3,4,3,3,1,5,2,1,1,2,38154,0,0
5760,1,4,3,2,33,29,23,2,1,2,United States of America,USD	United States dollar,215000,2,3,5,3,3,5,5,1,1,2,2,215000,0,0
5761,1,3,3,3,15,15,16,5,1,1,United States of America,USD	United States dollar,200000,2,1,NA,3,3,1,3,1,2,1,2,200000,0,0
5762,1,2,3,2,7,6,12,10,2,3,Ukraine,UAH	Ukrainian hryvnia,1900000,2,3,5,6,3,5,5,3,1,2,1,46899,0,0
5763,1,2,3,7,4,2,16,6,3,1,Canada,CAD	Canadian dollar,NA,3,3,2,6,2,1,NA,NA,2,1,3,NA,0,0
5764,1,3,2,2,7,7,23,8,1,1,United States of America,USD	United States dollar,75000,1,3,5,3,3,1,5,3,1,1,2,75000,0,0
5765,1,3,1,3,15,12,18,6,3,1,Germany,EUR European Euro,72000,3,3,5,6,1,NA,NA,NA,NA,1,2,77332,0,0
5766,1,4,3,3,38,22,16,5,3,1,France,EUR European Euro,NA,5,3,4,1,1,NA,NA,NA,NA,2,3,NA,0,0
5767,5,3,1,5,28,NA,3,NA,NA,NA,Belgium,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
5768,1,2,1,3,10,5,12,6,2,3,France,EUR European Euro,60000,3,3,5,6,3,1,3,2,3,1,3,64444,0,0
5769,1,2,3,7,10,6,16,5,1,1,United States of America,USD	United States dollar,82000,5,3,5,6,3,1,3,2,1,1,3,82000,0,0
5770,1,2,1,8,18,12,32,5,1,2,Switzerland,CHF	Swiss franc,100000,3,3,5,3,3,2,4,1,2,2,3,111417,0,0
5771,1,2,1,2,14,10,16,5,1,1,Netherlands,EUR European Euro,65000,2,1,NA,2,1,NA,NA,NA,NA,1,2,69814,0,0
5772,1,2,3,7,17,10,17,10,1,1,Germany,EUR European Euro,NA,4,3,5,3,3,5,3,3,2,2,2,NA,0,0
5773,1,4,3,2,27,27,16,4,2,2,United States of America,USD	United States dollar,220000,2,3,4,3,3,2,5,2,1,1,2,220000,0,0
5774,4,2,NA,2,13,NA,26,NA,NA,NA,Poland,NA,NA,1,2,NA,3,1,NA,NA,NA,NA,3,2,NA,0,0
5775,1,2,3,3,15,11,12,3,2,1,United States of America,USD	United States dollar,315000,2,1,NA,2,3,2,1,4,2,1,2,315000,0,0
5776,1,3,NA,7,24,14,15,NA,NA,NA,Argentina,NA,NA,1,3,1,2,3,1,5,1,2,1,3,NA,0,0
5777,1,2,3,2,14,10,16,6,1,1,Germany,EUR European Euro,85000,2,3,5,3,3,2,4,1,1,2,3,91295,0,0
5778,1,2,1,3,13,10,16,6,1,NA,Germany,EUR European Euro,80000,2,3,5,3,1,NA,NA,NA,NA,1,2,85925,0,0
5779,1,1,2,2,9,4,16,6,2,1,United States of America,USD	United States dollar,95000,5,3,4,2,3,3,1,4,2,1,3,95000,0,0
5780,1,4,3,7,30,25,26,10,1,NA,Canada,CAD	Canadian dollar,125000,4,3,5,3,3,5,5,1,2,1,2,90866,0,0
5781,3,1,1,2,7,2,3,3,2,1,Spain,EUR European Euro,28500,1,3,4,3,1,NA,NA,NA,NA,1,2,30611,1,0
5782,4,4,1,7,35,NA,26,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,1,3,5,1,1,NA,NA,NA,NA,1,2,NA,0,0
5783,3,2,3,7,7,5,34,6,3,1,Spain,EUR European Euro,35000,2,3,4,3,3,1,4,1,2,2,2,37592,0,0
5784,1,2,3,2,15,6,22,7,2,1,Colombia,USD	United States dollar,50000,1,3,1,6,3,2,1,1,2,2,3,50000,0,0
5785,3,3,3,2,28,22,3,10,1,1,United States of America,USD	United States dollar,40000,2,3,5,3,1,NA,NA,NA,NA,1,2,40000,0,0
5786,1,3,1,7,10,8,4,3,2,1,France,EUR European Euro,50000,2,3,5,6,3,1,5,2,2,1,3,53703,0,0
5787,3,1,NA,2,10,10,1,NA,NA,NA,Italy,NA,NA,2,3,5,1,3,5,3,2,2,1,3,NA,0,0
5788,1,1,2,2,10,2,11,5,1,1,United States of America,USD	United States dollar,90000,2,3,5,3,3,5,5,1,2,1,2,90000,0,0
5789,3,5,1,2,25,22,34,4,1,1,Germany,EUR European Euro,NA,2,3,5,1,3,2,4,2,2,1,2,NA,0,0
5790,4,8,NA,4,3,NA,13,NA,NA,NA,Argentina,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,1,3,NA,0,0
5791,5,4,NA,7,22,NA,5,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,1,2,NA,0,NA
5792,1,1,3,6,11,3,12,7,2,2,Poland,PLN	Polish zloty,273840,2,3,5,3,1,NA,NA,NA,NA,2,3,67766,0,0
5793,3,5,3,1,20,14,16,10,1,2,United States of America,USD	United States dollar,36000,1,1,NA,1,3,5,2,5,2,1,2,36000,0,0
5794,2,7,NA,4,0,NA,26,NA,NA,NA,Bosnia and Herzegovina,NA,NA,2,1,NA,2,3,2,5,2,2,1,2,NA,0,0
5795,1,3,3,3,15,10,20,5,1,1,Poland,PLN	Polish zloty,220000,2,3,5,1,2,2,NA,NA,1,1,3,54442,0,NA
5796,4,8,NA,6,2,NA,33,NA,NA,NA,Germany,NA,NA,4,3,5,2,3,2,1,4,1,1,2,NA,0,0
5797,2,8,NA,7,5,NA,33,NA,NA,NA,France,NA,NA,1,3,4,3,3,1,3,3,2,1,NA,NA,0,0
5798,1,3,3,2,30,27,16,8,3,1,Canada,CAD	Canadian dollar,140000,3,3,5,6,3,5,5,2,2,1,2,101770,0,0
5799,1,4,3,3,5,3,12,4,2,1,United States of America,USD	United States dollar,100000,2,3,2,3,3,3,5,1,2,2,3,100000,0,0
5800,1,2,NA,3,3,0,14,NA,NA,NA,Denmark,NA,NA,2,1,NA,2,1,NA,NA,NA,NA,1,2,NA,0,0
5801,1,1,NA,4,4,3,NA,NA,NA,NA,Russian Federation,NA,NA,3,1,NA,2,3,5,5,2,2,1,3,NA,0,0
5802,2,1,3,2,4,NA,16,NA,NA,NA,Mexico,NA,NA,4,1,NA,2,3,2,5,1,3,1,2,NA,0,0
5803,1,2,3,2,17,11,16,5,3,3,Brazil,BRL	Brazilian real,86700,2,3,2,3,2,1,NA,NA,1,2,3,16168,0,0
5804,1,2,1,2,8,6,16,4,3,1,Hungary,HUF	Hungarian forint,14400000,5,3,5,6,3,2,1,4,2,2,2,39133,0,0
