name,address,town_city,county_area,state_region,country,lat,long,type,status,year_completed,approaches,driveways,lane_type,functional_class,control_type,other_control_type,previous_control_type
Route Transcanadienne (Rte 117) / Route Bellerive,"L’Annonciation, Antoine-Labelle Regional County Municipality, QC (Canada)",L’Annonciation, Antoine-Labelle Regional County Municipality, QC,Canada,-74.90301599999998,46.433163,Roundabout,Existing,2010,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
<![CDATA[Route Transcanadienne (Rte 117) / Rue L'Annonciation / Chemin Deslauriers]]>,"L’Annonciation, Antoine-Labelle Regional County Municipality, QC (Canada)",L’Annonciation, Antoine-Labelle Regional County Municipality, QC,Canada,-74.86182599999998,46.391086,Roundabout,Existing,2010,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Boulevard Dollard / Rue Calixa-Lavallée / Rue Joseph-Arthur,"Joliette, Joliette Regional County Municipality, QC (Canada)",Joliette, Joliette Regional County Municipality, QC,Canada,-73.425487,46.021359,Roundabout,Existing,2014,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,Signal
Rte 235 / Rte de Contournement (Farnham Bypass) / Boulevard Industriel,"Farnham, Brome-Missisquoi Regional County Municipality, QC (Canada)",Farnham, Brome-Missisquoi Regional County Municipality, QC,Canada,-72.96165,45.29856,Roundabout,Existing,2014,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Albuna Townline (County Rd 31) / Road 3 E,"Kingsville, Essex, ON (Canada)",Kingsville, Essex, ON,Canada,-82.6434,42.06096,Roundabout,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
Maidstone Ave. E (CR 8) / CR 23,"Essex, Essex, ON (Canada)",Essex, Essex, ON,Canada,-82.803469,42.177193,Roundabout,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Laurier Pkwy. / Mike Raymond Dr.,"Windsor, Essex, ON (Canada)",Windsor, Essex, ON,Canada,-83.04987,42.22251,Roundabout,Existing,2011,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Rue Laval / Chemin De Marsboro / Rte 263,"Nantes, Le Granit Regional County Municipality, QC (Canada)",Nantes, Le Granit Regional County Municipality, QC,Canada,-70.926763,45.601691,Roundabout,Existing,2009,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
Rte 133 / Rue Lefort,"St-Jean-Sur-Richelieu, Le Haut-Richelieu Regional County Municipality, QC (Canada)",St-Jean-Sur-Richelieu, Le Haut-Richelieu Regional County Municipality, QC,Canada,-73.22821299999998,45.291732,Roundabout,Existing,2014,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
Chemin de la Grande Ligne / 3e Rang S,"St-Jean-Sur-Richelieu, Le Haut-Richelieu Regional County Municipality, QC (Canada)",St-Jean-Sur-Richelieu, Le Haut-Richelieu Regional County Municipality, QC,Canada,-73.20959,45.28342,Roundabout,Existing,2014,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
<![CDATA[D'Arcy St. / (community center parking)]]>,"Cobourg, Northumberland, ON (Canada)",Cobourg, Northumberland, ON,Canada,-78.160302,43.972342,Roundabout,Existing,2010,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
<![CDATA[D'Arcy St. / (community center and park access)]]>,"Cobourg, Northumberland, ON (Canada)",Cobourg, Northumberland, ON,Canada,-78.16171,43.975477,Roundabout,Existing,2010,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Old Salisbury Rd. / Southpark Blvd. / Ardmore Rd.,"Winston-Salem, Forsyth Co., NC (United States)",Winston-Salem, Forsyth Co., NC,United States,-80.267362,36.044116,Roundabout,Existing,2004,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
NE 53 / NE 71 Connector,"Kimball, Kimball Co., NE (United States)",Kimball, Kimball Co., NE,United States,-103.63886,41.23244,Roundabout,Existing,2010,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,None (new)
 SW 2nd Ave. / SW 6th St.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.330841,29.650264,Roundabout,Existing,2010,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
SW 2nd Ave. / SW 10th St.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.33506,29.650236,Roundabout,Existing,2007,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
SW 2nd Ave. / SW 12th St.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.337131,29.650241,Roundabout,Existing,2007,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Unknown
SE Depot Ave. / SE 4th St.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.32144499999998,29.645061,Roundabout,Existing,2009,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
S Main St. / SW Depot Ave.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.32500899999998,29.644571,Roundabout,Existing,2015,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
SW Depot Ave. / SW 6th St.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.331193,29.64351,Roundabout,Existing,2016,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
SW 11th St. / SW 9th Rd. / SW Depot Ave.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.33583799999998,29.642853,Roundabout,Existing,2014,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
SW 4th Ave. / SW 6th St.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.33113899999998,29.648233,Roundabout,Existing,2018,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,Signal
S Main St. / SE 10th Ave.,"Gainesville, Alachua Co., FL (United States)",Gainesville, Alachua Co., FL,United States,-82.325885,29.640794,Roundabout,Existing,2018,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
GA 49 / S Georgia Tech Pkwy. / District Line Rd.,"Americus, Sumter Co., GA (United States)",Americus, Sumter Co., GA,United States,-84.16502099999998,32.117866,Roundabout,Existing,2016,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Hamburg Rd. / Winans Lake Rd.,"Hamburg Township, Livingston Co., MI (United States)",Hamburg Township, Livingston Co., MI,United States,-83.798122,42.463513,Roundabout,Existing,2008,3,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Park Lake Rd. / Burcham Dr.,"Meridian Township, Ingham Co., MI (United States)",Meridian Township, Ingham Co., MI,United States,-84.44757,42.74077,Roundabout,Existing,2012,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Flying Cloud Dr. / STH 101,"Chanhassen, Carver Co., MN (United States)",Chanhassen, Carver Co., MN,United States,-93.53889400000001,44.81211,Roundabout,Existing,2015,3,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,Other
Flying Cloud Dr. / Bluff Creek Dr.,"Chanhassen, Carver Co., MN (United States)",Chanhassen, Carver Co., MN,United States,-93.547488,44.811898,Roundabout,Existing,2015,3,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,None,One/Two-Way Stop
Rte 155 / Rte 568,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.7139,57.71088,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Rte 155 / Torslanda Hasteviks vag,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.72464,57.71189,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Rte 155 / Langrevsvagan,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.73649,57.70995,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Rte 155 / Hallsviksvägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.75447,57.70763,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Amhults Langelid / Gamla Flygplatsvägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.76881,57.71,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Rte 155 / Flyghamnsvägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.7689,57.70943,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Flygfaltsgatan / Einer Erikson gata / Rte 155 Ramps,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.77544,57.70858,Roundabout,Existing,0,4,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Flyglatlsgatan / (unknown),"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.78317,57.71041,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavägen / Torslandavägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.78396,57.71474,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Rte 155 / Flygfaltsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.78437,57.70959,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Rte 155 / Torslandavägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.79306,57.71622,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavägen / Lillebyvägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.80017,57.7374,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavägen / Skarpetegsvägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.80687,57.73921,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Arendals allé / Terminalvägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.80997,57.69766,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Arendals alle / Hamneviksvägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.81591,57.69781,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Hamneviksvägen / Terminalvägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.81665,57.70625,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
VTDC,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.82387,57.7333,Roundabout,Existing,0,5,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavägen / Stallvägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.83102,57.7564,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavägen / Bjorlandavägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.83165,57.75846,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Emelie Lejmans vag,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.832,57.75615,Roundabout,Existing,0,2,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavägen / Nolviksvägen,"Torslanda, Gothenburg, Vastra Gotaland County (Sweden)",Torslanda, Gothenburg, Vastra Gotaland County,Sweden,11.83595,57.76281,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Assar Gabrielssons vag / Gunnar Engellaus vag,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.85076,57.72379,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Ytterhamnsvägen / Rte 155 Ramps,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.85967,57.70369,Roundabout,Existing,0,3,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Ytterhamnsvägen / Arendalsvägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.86,57.70157,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Stora Fiskebacksvägen / Skattegardsvägen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.86782,57.64785,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Halvorsang / Hisingsleden ramps,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.86837,57.70707,Roundabout,Existing,0,4,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Oljevägen / Nordatlanten,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.87051,57.69906,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Stora Fiskebacksvagen / Angkarrsvagen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.87158,57.65452,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Angkarrsgatan,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.87327,57.66438,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Bensinvägen / Rte 155 Ramps,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.87854,57.70673,Roundabout,Existing,0,4,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Stora Fiskebacksvägen / Traneredsvägen,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.8894,57.66005,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Akeredsvägen / Brungatan,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.8898,57.63432,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Skattegardsvagen / Lilla Grevegardsvagen,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89233,57.64861,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Fiskebacksmotet,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89239,57.66097,Roundabout,Existing,0,4,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Torgny Segerstedtsgatan,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89449,57.67741,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Hjalmar Brantingsgatan / Sommarvadersgatan / Hostvadersgatan / Yrvadersgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.89656,57.71303,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Bjorkhojdsgatan / Smyckegatan,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89689,57.65042,Roundabout,Existing,0,4,0,Single-lane w/ Traversable Central Island,Other (At-Grade),All-Way Yield,Unknown,Unknown
Skattegardsvagen / Bjorkhojdsgatan,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89726,57.65006,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Gnistangsmotet / Grimmeredsvagen / Vasterldeen Ramps,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89741,57.67661,Roundabout,Existing,0,4,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Nasetvagen / Grevegardsvagen / Akeredsvagen,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89825,57.63458,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,None (new)
Grimmeredvagen / Femvagskalet / Lergoksgatan,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.89898,57.65853,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Langedragsvagen / Vasterleden Ramps,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.90203,57.68107,Roundabout,Existing,0,3,0,Single-Lane,Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Skattegardsvagen / Vasterleden Ramps,"Vastra Fralunda, Gothenburg, Vastra Gotaland County (Sweden)",Vastra Fralunda, Gothenburg, Vastra Gotaland County,Sweden,11.9046,57.6525,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Freeway Ramps (Grade-Separated),All-Way Yield,Unknown,Unknown
Lergoksgatan / Frolundatorg,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91013,57.65063,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Saterigatan / Vastra Eriksbergsgatan / Valskvarnsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91147,57.70211,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Lergoksgatan / Marconigatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91214,57.64987,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Kongahallavagen / Tuvevagen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.913,57.79315,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Marconigatan / (parking),"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91508,57.65063,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Marconigatan / Lergoksgatan / Nasetvagen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91513,57.64936,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Marconigatan / (unknown),"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91519,57.653,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Marconigatan / Vibrafongatan / Pianogatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91525,57.65441,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Nasetvagen / Radiovagen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91718,57.64922,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Other,Unknown
Satarigatan / Stalhandskegatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91846,57.70975,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Bjorlandavagen / Toleredsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.91949,57.73079,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Slotsskogsgatan / Kungsladugardsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.92161,57.68702,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Nordviksgatan / Barken Beatrices gata / Barken toregrunds gata,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.922,57.70657,Roundabout,Existing,0,5,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Marconigatan / Musikvagen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.92252,57.65979,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Stalhandskegatan / Kolhamnsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.92264,57.70978,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Cronackersgatan / Vintergatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.92722,57.71,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Ekedalsgatan / Godhemsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.92807,57.68702,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Glostorpsvagen / Nolehultsvagen / Gunnestorpsvagen,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.92844,57.75353,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Radiovagen / Antenngatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93012,57.64967,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Polstjarnegatan / Cronackersgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93115,57.71005,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Marconigatan / Bilradiogatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93198,57.65968,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Kungsladugardsgatan / Margretebergsgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93211,57.67921,Roundabout,Existing,0,3,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Hogsboleden / Slottsskosgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93371,57.67702,Roundabout,Existing,0,3,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Ceresgatan / Lindholmsallen / Karlavagnsgatan / Plejadgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93475,57.70771,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
Bjorlandavagen / Wieselgrensgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93526,57.72776,Roundabout,Existing,0,4,0,"Multilane (2 Lane, unspecified)",Other (At-Grade),All-Way Yield,Unknown,Unknown
Tunnlandsgatan / Marklandsgatan / Distansgatan,"Gothenburg, Gothenburg, Vastra Gotaland County (Sweden)",Gothenburg, Gothenburg, Vastra Gotaland County,Sweden,11.93531,57.66812,Roundabout,Existing,0,4,0,Single-Lane,Other (At-Grade),All-Way Yield,Unknown,Unknown
