...1,Date,Team 1,Score 1,Score 2,Team 2,Venue,Tournament,Stage,T1 game no,T2 game no,Series,Margin,Winner,Loser,Notes
415,2005-05-14,Hungary,10,0,Malta,Prague,European Championship qualification,Group B,2,4,1,10,Hungary,Malta,NA
416,2005-05-14,Russia,47,0,Hungary,Prague,European Championship qualification,Group B,6,3,1,47,Russia,Hungary,NA
417,2005-05-14,Norway,21,0,Malta,Prague,European Championship qualification,Group B,14,5,1,21,Norway,Malta,NA
418,2005-05-14,Norway,7,0,Hungary,Prague,European Championship qualification,Group B,15,4,1,7,Norway,Hungary,NA
419,2005-05-15,Israel,21,0,Malta,Prague,European Championship qualification,9th-12th place semi-final,6,6,1,21,Israel,Malta,NA
420,2005-05-15,Poland,17,22,Hungary,Prague,European Championship qualification,5th-8th place semi-final,12,5,1,5,Hungary,Poland,After extra time
421,2005-05-15,Germany,21,0,Norway,Prague,European Championship qualification,Semi-Final,6,16,1,21,Germany,Norway,NA
422,2005-05-15,Lithuania,7,28,Russia,Prague,European Championship qualification,Semi-Final,11,7,1,21,Russia,Lithuania,NA
423,2005-05-15,Austria,5,10,Israel,Prague,European Championship qualification,9th place Match,7,7,2,5,Israel,Austria,NA
424,2005-05-15,Poland,19,0,Bulgaria,Prague,European Championship qualification,7th Place Match,13,16,3,19,Poland,Bulgaria,NA
425,2005-05-15,Lithuania,12,5,Norway,Prague,European Championship qualification,3rd place match,12,17,1,7,Lithuania,Norway,NA
426,2005-05-15,Russia,36,0,Germany,Prague,European Championship qualification,Final,8,7,1,36,Russia,Germany,NA
427,2005-06-25,Portugal,12,12,Belgium,Lunel,European Championship,Pool A,14,12,2,0,Draw,Draw,NA
428,2005-06-25,England,54,0,Switzerland,Lunel,European Championship,Pool A,28,13,2,54,England,Switzerland,NA
429,2005-06-25,Spain,40,0,Portugal,Lunel,European Championship,Pool A,12,15,2,40,Spain,Portugal,NA
430,2005-06-25,Belgium,12,0,Switzerland,Lunel,European Championship,Pool A,13,14,2,12,Belgium,Switzerland,NA
431,2005-06-25,England,12,7,Spain,Lunel,European Championship,Pool A,29,13,1,5,England,Spain,NA
432,2005-06-25,Portugal,22,5,Switzerland,Lunel,European Championship,Pool A,16,15,1,17,Portugal,Switzerland,NA
433,2005-06-25,Spain,24,0,Belgium,Lunel,European Championship,Pool A,14,14,3,24,Spain,Belgium,NA
434,2005-06-25,England,28,0,Portugal,Lunel,European Championship,Pool A,30,17,1,28,England,Portugal,NA
435,2005-06-25,Spain,43,0,Switzerland,Lunel,European Championship,Pool A,15,16,2,43,Spain,Switzerland,NA
436,2005-06-25,England,21,0,Belgium,Lunel,European Championship,Pool A,31,15,1,21,England,Belgium,NA
437,2005-06-25,Netherlands,28,0,Croatia,Lunel,European Championship,Pool B,20,12,1,28,Netherlands,Croatia,NA
438,2005-06-25,Sweden,21,0,Italy,Lunel,European Championship,Pool B,18,7,2,21,Sweden,Italy,NA
439,2005-06-25,France,12,0,Croatia,Lunel,European Championship,Pool B,13,13,3,12,France,Croatia,NA
440,2005-06-25,Netherlands,19,0,Sweden,Lunel,European Championship,Pool B,21,19,1,19,Netherlands,Sweden,NA
441,2005-06-25,France,31,0,Italy,Lunel,European Championship,Pool B,14,8,1,31,France,Italy,NA
442,2005-06-25,Sweden,21,0,Croatia,Lunel,European Championship,Pool B,20,14,2,21,Sweden,Croatia,NA
443,2005-06-25,Netherlands,7,5,France,Lunel,European Championship,Pool B,22,15,1,2,Netherlands,France,NA
444,2005-06-25,Italy,12,5,Croatia,Lunel,European Championship,Pool B,9,15,1,7,Italy,Croatia,NA
445,2005-06-25,Sweden,7,5,France,Lunel,European Championship,Pool B,21,16,2,2,Sweden,France,NA
446,2005-06-25,Netherlands,35,0,Italy,Lunel,European Championship,Pool B,23,10,1,35,Netherlands,Italy,NA
447,2005-06-26,France,22,0,Portugal,Lunel,European Championship,Plate Semi Final,17,18,3,22,France,Portugal,NA
448,2005-06-26,Italy,19,7,Belgium,Lunel,European Championship,Plate Semi Final,11,16,1,12,Italy,Belgium,NA
449,2005-06-26,Spain,28,5,Netherlands,Lunel,European Championship,Cup Semi Final,16,24,1,23,Spain,Netherlands,NA
450,2005-06-26,England,49,0,Sweden,Lunel,European Championship,Cup Semi Final,32,22,1,49,England,Sweden,NA
451,2005-06-26,Croatia,7,5,Switzerland,Lunel,European Championship,9th Place Match,16,17,2,2,Croatia,Switzerland,NA
452,2005-06-26,Portugal,35,10,Belgium,Lunel,European Championship,7th Place Match,19,17,3,25,Portugal,Belgium,NA
453,2005-06-26,France,33,0,Italy,Lunel,European Championship,5th place Match,18,12,2,33,France,Italy,NA
454,2005-06-26,Netherlands,21,7,Sweden,Lunel,European Championship,3rd place match,25,23,2,14,Netherlands,Sweden,NA
455,2005-06-26,England,14,0,Spain,Lunel,European Championship,Final,33,17,2,14,England,Spain,NA
456,2005-11-06,Hungary,24,10,Austria,Székesfehérvár,Training match,NA,6,8,2,14,Hungary,Austria,NA
457,2005-11-06,Austria,10,12,Croatia,Székesfehérvár,Training match,NA,9,17,1,2,Croatia,Austria,NA
458,2005-11-19,Guyana,12,10,Saint Vincent & the Grenadines,Kingston,NAWIRA Championship,NA,1,2,1,2,Guyana,Saint Vincent & the Grenadines,NA
459,2005-11-19,Saint Lucia,15,5,Barbados,Kingston,NAWIRA Championship,NA,1,1,1,10,Saint Lucia,Barbados,NA
460,2005-11-19,Jamaica,17,0,Saint Vincent & the Grenadines,Kingston,NAWIRA Championship,NA,3,3,1,17,Jamaica,Saint Vincent & the Grenadines,NA
461,2005-11-19,United States,36,0,Trinidad & Tobago,Kingston,NAWIRA Championship,NA,46,2,1,36,United States,Trinidad & Tobago,NA
462,2005-11-19,Guyana,29,0,Barbados,Kingston,NAWIRA Championship,NA,2,2,1,29,Guyana,Barbados,NA
463,2005-11-19,Saint Vincent & the Grenadines,10,7,Saint Lucia,Kingston,NAWIRA Championship,NA,4,2,1,3,Saint Vincent & the Grenadines,Saint Lucia,NA
464,2005-11-19,Jamaica,10,0,Guyana,Kingston,NAWIRA Championship,NA,4,3,1,10,Jamaica,Guyana,NA
465,2005-11-19,Trinidad & Tobago,46,0,Barbados,Kingston,NAWIRA Championship,NA,3,3,1,46,Trinidad & Tobago,Barbados,NA
466,2005-11-19,United States,46,0,Saint Lucia,Kingston,NAWIRA Championship,NA,47,3,1,46,United States,Saint Lucia,NA
467,2005-11-19,Trinidad & Tobago,19,10,Jamaica,Kingston,NAWIRA Championship,NA,4,5,1,9,Trinidad & Tobago,Jamaica,NA
468,2005-11-19,United States,38,0,Guyana,Kingston,NAWIRA Championship,NA,48,4,1,38,United States,Guyana,NA
469,2005-11-19,Brazil,36,5,Argentina,São Paulo,South American Sevens,Pool A,6,6,2,31,Brazil,Argentina,NA
470,2005-11-19,Uruguay,19,5,Peru,São Paulo,South American Sevens,Pool A,6,6,2,14,Uruguay,Peru,NA
471,2005-11-19,Brazil,34,0,Uruguay,São Paulo,South American Sevens,Pool A,7,7,2,34,Brazil,Uruguay,NA
472,2005-11-19,Argentina,48,0,Peru,São Paulo,South American Sevens,Pool A,7,7,2,48,Argentina,Peru,NA
473,2005-11-19,Brazil,52,0,Peru,São Paulo,South American Sevens,Pool A,8,8,1,52,Brazil,Peru,NA
474,2005-11-19,Argentina,17,0,Uruguay,São Paulo,South American Sevens,Pool A,8,8,1,17,Argentina,Uruguay,NA
475,2005-11-19,Venezuela,10,7,Colombia,São Paulo,South American Sevens,Pool B,6,6,2,3,Venezuela,Colombia,NA
476,2005-11-19,Chile,17,0,Paraguay,São Paulo,South American Sevens,Pool B,6,6,2,17,Chile,Paraguay,NA
477,2005-11-19,Venezuela,15,0,Chile,São Paulo,South American Sevens,Pool B,7,7,2,15,Venezuela,Chile,NA
478,2005-11-19,Colombia,29,0,Paraguay,São Paulo,South American Sevens,Pool B,7,7,2,29,Colombia,Paraguay,NA
479,2005-11-19,Chile,5,25,Colombia,São Paulo,South American Sevens,Pool B,8,8,1,20,Colombia,Chile,NA
480,2005-11-19,Venezuela,29,0,Paraguay,São Paulo,South American Sevens,Pool B,8,8,1,29,Venezuela,Paraguay,NA
481,2005-11-20,Jamaica,29,0,Saint Lucia,Kingston,NAWIRA Championship,NA,6,4,1,29,Jamaica,Saint Lucia,NA
482,2005-11-20,Saint Vincent & the Grenadines,37,5,Barbados,Kingston,NAWIRA Championship,NA,5,4,1,32,Saint Vincent & the Grenadines,Barbados,NA
483,2005-11-20,Trinidad & Tobago,12,5,Guyana,Kingston,NAWIRA Championship,NA,5,5,1,7,Trinidad & Tobago,Guyana,NA
484,2005-11-20,United States,38,0,Saint Vincent & the Grenadines,Kingston,NAWIRA Championship,NA,49,6,1,38,United States,Saint Vincent & the Grenadines,NA
485,2005-11-20,Jamaica,48,0,Barbados,Kingston,NAWIRA Championship,NA,7,5,1,48,Jamaica,Barbados,NA
486,2005-11-20,Trinidad & Tobago,24,0,Saint Lucia,Kingston,NAWIRA Championship,NA,6,5,1,24,Trinidad & Tobago,Saint Lucia,NA
487,2005-11-20,United States,52,0,Barbados,Kingston,NAWIRA Championship,NA,50,6,1,52,United States,Barbados,NA
488,2005-11-20,Guyana,15,0,Saint Lucia,Kingston,NAWIRA Championship,NA,6,6,1,15,Guyana,Saint Lucia,NA
489,2005-11-20,Trinidad & Tobago,26,5,Saint Vincent & the Grenadines,Kingston,NAWIRA Championship,NA,7,7,2,21,Trinidad & Tobago,Saint Vincent & the Grenadines,NA
490,2005-11-20,United States,40,5,Jamaica,Kingston,NAWIRA Championship,NA,51,8,1,35,United States,Jamaica,NA
491,2005-11-20,United States,29,0,West Indies,Kingston,Exhibition,NA,52,1,1,29,United States,West Indies,NA
492,2005-11-20,Peru,0,36,Chile,São Paulo,South American Sevens,5th-8th Semi Final,9,9,2,36,Chile,Peru,NA
493,2005-11-20,Uruguay,19,0,Paraguay,São Paulo,South American Sevens,5th-8th Semi Final,9,9,2,19,Uruguay,Paraguay,NA
494,2005-11-20,Brazil,21,0,Colombia,São Paulo,South American Sevens,1st-4th Semi Final,9,9,2,21,Brazil,Colombia,NA
495,2005-11-20,Argentina,10,5,Venezuela,São Paulo,South American Sevens,1st-4th Semi Final,9,9,2,5,Argentina,Venezuela,NA
496,2005-11-20,Peru,5,14,Paraguay,São Paulo,South American Sevens,7th place match,10,10,2,9,Paraguay,Peru,NA
497,2005-11-20,Chile,10,5,Uruguay,São Paulo,South American Sevens,5th place match,10,10,2,5,Chile,Uruguay,NA
498,2005-11-20,Colombia,12,19,Venezuela,São Paulo,South American Sevens,3rd place match,10,10,3,7,Venezuela,Colombia,NA
499,2005-11-20,Brazil,34,0,Argentina,São Paulo,South American Sevens,Final,10,10,3,34,Brazil,Argentina,NA
500,2006-03-31,United States,55,0,Guam,Hong Kong,Hong Kong Sevens,Pool C,53,1,1,55,United States,Guam,NA
501,2006-03-31,Aotearoa Maori New Zealand,38,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,22,50,3,38,Aotearoa Maori New Zealand,Japan,NA
502,2006-03-31,Hong Kong,L,W,Kazakhstan,Hong Kong,Hong Kong Sevens,Pool D,60,50,9,NA,Kazakhstan,Hong Kong,NA
503,2006-03-31,Australia,W,L,Singapore,Hong Kong,Hong Kong Sevens,Pool B,36,48,2,NA,Australia,Singapore,NA
504,2006-03-31,Thailand,17,5,Guam,Hong Kong,Hong Kong Sevens,Pool C,43,2,1,12,Thailand,Guam,NA
505,2006-03-31,China,10,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,37,51,6,10,China,Japan,NA
506,2006-03-31,Hong Kong,0,39,Netherlands,Hong Kong,Hong Kong Sevens,Pool D,61,26,2,39,Netherlands,Hong Kong,NA
507,2006-03-31,Singapore,17,5,Sri Lanka,Hong Kong,Hong Kong Sevens,Pool B,49,21,3,12,Singapore,Sri Lanka,NA
508,2006-03-31,Thailand,0,50,United States,Hong Kong,Hong Kong Sevens,Pool C,44,54,1,50,United States,Thailand,NA
509,2006-03-31,Aotearoa Maori New Zealand,7,5,China,Hong Kong,Hong Kong Sevens,Pool A,23,38,1,2,Aotearoa Maori New Zealand,China,NA
510,2006-03-31,Kazakhstan,17,5,Netherlands,Hong Kong,Hong Kong Sevens,Pool D,51,27,4,12,Kazakhstan,Netherlands,NA
511,2006-03-31,Australia,W,L,Singapore,Hong Kong,Hong Kong Sevens,Pool B,37,50,3,NA,Australia,Singapore,NA
512,2006-03-31,Aotearoa Maori New Zealand,49,0,Netherlands,Hong Kong,Hong Kong Sevens,Quarter-Final,24,28,1,49,Aotearoa Maori New Zealand,Netherlands,NA
513,2006-03-31,Kazakhstan,14,12,China,Hong Kong,Hong Kong Sevens,Quarter-Final,52,39,4,2,Kazakhstan,China,NA
514,2006-03-31,Australia,63,0,Thailand,Hong Kong,Hong Kong Sevens,Quarter-Final,38,45,3,63,Australia,Thailand,NA
515,2006-03-31,United States,50,0,Singapore,Hong Kong,Hong Kong Sevens,Quarter-Final,55,51,7,50,United States,Singapore,NA
516,2006-03-31,Guam,5,5,Sri Lanka,Hong Kong,Hong Kong Sevens,9th-12th place semi-final,3,22,1,0,Draw,Draw,NA
517,2006-03-31,Hong Kong,5,5,Japan,Hong Kong,Hong Kong Sevens,9th-12th place semi-final,62,52,4,0,Draw,Draw,NA
518,2006-04-01,Netherlands,14,7,China,Hong Kong,Hong Kong Sevens,5th-8th place semi-final,29,40,1,7,Netherlands,China,NA
518,2006-04-01,Thailand,5,5,Singapore,Hong Kong,Hong Kong Sevens,5th-8th place semi-final,46,52,4,0,Draw,Draw,NA
519,2006-04-01,Aotearoa Maori New Zealand,38,0,Kazakhstan,Hong Kong,Hong Kong Sevens,Semi-Final,25,53,2,38,Aotearoa Maori New Zealand,Kazakhstan,NA
520,2006-04-01,Australia,15,0,United States,Hong Kong,Hong Kong Sevens,Semi-Final,39,56,5,15,Australia,United States,NA
521,2006-04-01,Japan,24,0,Guam,Hong Kong,Hong Kong Sevens,11th place match,53,4,1,24,Japan,Guam,NA
522,2006-04-01,Hong Kong,24,5,Sri Lanka,Hong Kong,Hong Kong Sevens,9th place match,63,23,4,19,Hong Kong,Sri Lanka,NA
523,2006-04-01,China,50,0,Thailand,Hong Kong,Hong Kong Sevens,7th place match,41,47,8,50,China,Thailand,NA
524,2006-04-01,Netherlands,36,0,Singapore,Hong Kong,Hong Kong Sevens,5th place match,30,53,3,36,Netherlands,Singapore,NA
525,2006-04-01,United States,31,0,Kazakhstan,Hong Kong,Hong Kong Sevens,3rd place match,57,54,5,31,United States,Kazakhstan,NA
526,2006-04-01,Aotearoa Maori New Zealand,24,12,Australia,Hong Kong,Hong Kong Sevens,Final,26,40,4,12,Aotearoa Maori New Zealand,Australia,NA
527,2006-05-15,Kazakhstan,37,0,Singapore,Tashkent,Asian Sevens,Pool A,55,54,5,37,Kazakhstan,Singapore,NA
528,2006-05-15,Singapore,15,0,Kyrgyzstan,Tashkent,Asian Sevens,Pool A,55,10,3,NA,Singapore,Kyrgyzstan,NA
529,2006-05-15,Kazakhstan,43,0,Kyrgyzstan,Tashkent,Asian Sevens,Pool A,56,11,2,43,Kazakhstan,Kyrgyzstan,NA
530,2006-05-15,Hong Kong,12,10,Japan,Tashkent,Asian Sevens,Pool B,64,54,5,2,Hong Kong,Japan,NA
531,2006-05-15,Uzbekistan,7,5,Japan,Tashkent,Asian Sevens,Pool B,18,55,1,2,Uzbekistan,Japan,NA
532,2006-05-15,Hong Kong,14,10,Uzbekistan,Tashkent,Asian Sevens,Pool B,65,19,3,4,Hong Kong,Uzbekistan,NA
533,2006-05-15,China,24,0,Thailand,Tashkent,Asian Sevens,Pool C,42,48,9,24,China,Thailand,NA
534,2006-05-15,Thailand,15,0,Arabian Gulf,Tashkent,Asian Sevens,Pool C,49,45,7,NA,Thailand,Arabian Gulf,NA
535,2006-05-15,China,31,0,Arabian Gulf,Tashkent,Asian Sevens,Pool C,43,46,5,31,China,Arabian Gulf,NA
536,2006-05-15,China,36,0,Singapore,Tashkent,Asian Sevens,Pool D,44,56,5,36,China,Singapore,NA
537,2006-05-15,Hong Kong,15,14,Singapore,Tashkent,Asian Sevens,Pool D,66,57,4,1,Hong Kong,Singapore,NA
538,2006-05-15,China,12,0,Hong Kong,Tashkent,Asian Sevens,Pool D,45,67,3,12,China,Hong Kong,NA
539,2006-05-15,Kazakhstan,48,0,Thailand,Tashkent,Asian Sevens,Pool E,57,50,6,48,Kazakhstan,Thailand,NA
540,2006-05-15,Uzbekistan,15,0,Thailand,Tashkent,Asian Sevens,Pool E,20,51,1,NA,Uzbekistan,Thailand,NA
541,2006-05-15,Uzbekistan,0,31,Kazakhstan,Tashkent,Asian Sevens,Pool E,21,58,2,31,Kazakhstan,Uzbekistan,NA
542,2006-05-15,Japan,29,0,Arabian Gulf,Tashkent,Asian Sevens,Pool F,56,47,4,29,Japan,Arabian Gulf,NA
543,2006-05-15,Arabian Gulf,W,L,Kyrgyzstan,Tashkent,Asian Sevens,Pool F,48,12,2,NA,Arabian Gulf,Kyrgyzstan,NA
544,2006-05-15,Japan,31,0,Kyrgyzstan,Tashkent,Asian Sevens,Pool F,57,13,1,31,Japan,Kyrgyzstan,NA
545,2006-05-15,Japan,14,14,Thailand,Tashkent,Asian Sevens,7th-12th place pool,58,52,4,0,Draw,Draw,NA
546,2006-05-15,Singapore,?,?,Arabian Gulf,Tashkent,Asian Sevens,7th-12th place pool,58,49,5,NA,Draw,Draw,NA
547,2006-05-15,Japan,40,0,Arabian Gulf,Tashkent,Asian Sevens,7th-12th place pool,59,50,5,40,Japan,Arabian Gulf,NA
548,2006-05-15,Thailand,?,?,Singapore,Tashkent,Asian Sevens,7th-12th place pool,53,59,5,NA,Draw,Draw,NA
549,2006-05-15,Japan,26,5,Singapore,Tashkent,Asian Sevens,7th-12th place pool,60,60,8,21,Japan,Singapore,NA
550,2006-05-15,Thailand,?,?,Arabian Gulf,Tashkent,Asian Sevens,7th-12th place pool,54,51,8,NA,Draw,Draw,NA
551,2006-05-15,Japan,19,7,Thailand,Tashkent,Asian Sevens,5th place match,61,55,5,12,Japan,Thailand,NA
552,2006-05-15,Hong Kong,0,38,Kazakhstan,Tashkent,Asian Sevens,Semi-Final,68,59,10,38,Kazakhstan,Hong Kong,NA
553,2006-05-15,Uzbekistan,0,34,China,Tashkent,Asian Sevens,Semi-Final,22,46,3,34,China,Uzbekistan,NA
554,2006-05-15,Hong Kong,5,0,Uzbekistan,Tashkent,Asian Sevens,3rd place match,69,23,4,5,Hong Kong,Uzbekistan,After extra time
555,2006-05-15,China,22,12,Kazakhstan,Tashkent,Asian Sevens,Final,47,60,5,10,China,Kazakhstan,NA
556,2006-05-25,England,41,0,Germany,Limoges,European Division A,Pool 1,34,8,1,41,England,Germany,NA
557,2006-05-25,Wales,32,0,Switzerland,Limoges,European Division A,Pool 1,7,18,1,32,Wales,Switzerland,NA
558,2006-05-25,England,47,0,Switzerland,Limoges,European Division A,Pool 1,35,19,3,47,England,Switzerland,NA
559,2006-05-25,Wales,20,0,Germany,Limoges,European Division A,Pool 1,8,9,1,20,Wales,Germany,NA
560,2006-05-25,Germany,24,0,Switzerland,Limoges,European Division A,Pool 1,10,20,1,24,Germany,Switzerland,NA
561,2006-05-25,England,7,0,Wales,Limoges,European Division A,Pool 1,36,9,1,7,England,Wales,NA
562,2006-05-25,Spain,12,0,Portugal,Limoges,European Division A,Pool 2,18,20,3,12,Spain,Portugal,NA
563,2006-05-25,Italy,19,0,Czechia,Limoges,European Division A,Pool 2,13,10,2,19,Italy,Czechia,NA
564,2006-05-25,Spain,33,0,Czechia,Limoges,European Division A,Pool 2,19,11,2,33,Spain,Czechia,NA
565,2006-05-25,Italy,0,12,Portugal,Limoges,European Division A,Pool 2,14,21,1,12,Portugal,Italy,NA
566,2006-05-25,Portugal,17,0,Czechia,Limoges,European Division A,Pool 2,22,12,1,17,Portugal,Czechia,NA
567,2006-05-25,Spain,36,0,Italy,Limoges,European Division A,Pool 2,20,15,2,36,Spain,Italy,NA
568,2006-05-25,Netherlands,29,0,Lithuania,Limoges,European Division A,Pool 3,31,13,1,29,Netherlands,Lithuania,NA
569,2006-05-25,France,28,0,Belgium,Limoges,European Division A,Pool 3,19,18,1,28,France,Belgium,NA
570,2006-05-25,Netherlands,33,0,Belgium,Limoges,European Division A,Pool 3,32,19,1,33,Netherlands,Belgium,NA
571,2006-05-25,France,22,0,Lithuania,Limoges,European Division A,Pool 3,20,14,1,22,France,Lithuania,NA
572,2006-05-25,Lithuania,35,0,Belgium,Limoges,European Division A,Pool 3,15,20,2,35,Lithuania,Belgium,NA
573,2006-05-25,Netherlands,21,5,France,Limoges,European Division A,Pool 3,33,21,2,16,Netherlands,France,NA
574,2006-05-25,Sweden,31,0,Norway,Limoges,European Division A,Pool 4,24,18,1,31,Sweden,Norway,NA
575,2006-05-25,Russia,0,17,Ireland,Limoges,European Division A,Pool 4,9,1,1,17,Ireland,Russia,NA
576,2006-05-25,Sweden,0,5,Ireland,Limoges,European Division A,Pool 4,25,2,1,5,Ireland,Sweden,NA
577,2006-05-25,Russia,22,0,Norway,Limoges,European Division A,Pool 4,10,19,2,22,Russia,Norway,NA
578,2006-05-25,Norway,0,27,Ireland,Limoges,European Division A,Pool 4,20,3,1,27,Ireland,Norway,NA
579,2006-05-25,Sweden,22,0,Russia,Limoges,European Division A,Pool 4,26,11,1,22,Sweden,Russia,NA
580,2006-05-25,Luxembourg,0,17,Romania,Limoges,European Division B,Pool 1,1,1,1,17,Romania,Luxembourg,NA
581,2006-05-25,Bulgaria,12,0,Israel,Limoges,European Division B,Pool 1,17,8,2,12,Bulgaria,Israel,NA
582,2006-05-25,Romania,26,0,Bosnia-Herzegovina,Limoges,European Division B,Pool 1,2,6,1,26,Romania,Bosnia-Herzegovina,NA
583,2006-05-25,Bulgaria,14,0,Luxembourg,Limoges,European Division B,Pool 1,18,2,1,14,Bulgaria,Luxembourg,NA
584,2006-05-25,Israel,5,0,Bosnia-Herzegovina,Limoges,European Division B,Pool 1,9,7,1,5,Israel,Bosnia-Herzegovina,NA
585,2006-05-25,Romania,19,0,Bulgaria,Limoges,European Division B,Pool 1,3,19,1,19,Romania,Bulgaria,NA
586,2006-05-25,Israel,17,0,Luxembourg,Limoges,European Division B,Pool 1,10,3,1,17,Israel,Luxembourg,NA
587,2006-05-25,Bulgaria,27,0,Bosnia-Herzegovina,Limoges,European Division B,Pool 1,20,8,2,27,Bulgaria,Bosnia-Herzegovina,NA
588,2006-05-25,Romania,26,7,Israel,Limoges,European Division B,Pool 1,4,11,1,19,Romania,Israel,NA
589,2006-05-25,Bosnia-Herzegovina,15,5,Luxembourg,Limoges,European Division B,Pool 1,9,4,1,10,Bosnia-Herzegovina,Luxembourg,NA
590,2006-05-25,Andorra,17,0,Poland,Limoges,European Division B,Pool 2,1,14,1,17,Andorra,Poland,NA
591,2006-05-25,Hungary,0,5,Austria,Limoges,European Division B,Pool 2,7,10,3,5,Austria,Hungary,NA
592,2006-05-25,Poland,5,0,Malta,Limoges,European Division B,Pool 2,15,7,1,5,Poland,Malta,NA
593,2006-05-25,Hungary,7,0,Andorra,Limoges,European Division B,Pool 2,8,2,1,7,Hungary,Andorra,NA
594,2006-05-25,Austria,0,12,Malta,Limoges,European Division B,Pool 2,11,8,1,12,Malta,Austria,NA
595,2006-05-25,Poland,22,0,Hungary,Limoges,European Division B,Pool 2,16,9,2,22,Poland,Hungary,NA
596,2006-05-25,Austria,0,29,Andorra,Limoges,European Division B,Pool 2,12,3,1,29,Andorra,Austria,NA
597,2006-05-25,Hungary,12,19,Malta,Limoges,European Division B,Pool 2,10,9,2,7,Malta,Hungary,NA
598,2006-05-25,Poland,29,0,Austria,Limoges,European Division B,Pool 2,17,13,2,29,Poland,Austria,NA
599,2006-05-25,Malta,0,15,Andorra,Limoges,European Division B,Pool 2,10,4,1,15,Andorra,Malta,NA
600,2006-05-26,Germany,35,0,Czechia,Limoges,European Division A,9th-16th Place Quarter Final,11,13,1,35,Germany,Czechia,NA
601,2006-05-26,Russia,24,0,Belgium,Limoges,European Division A,9th-16th Place Quarter Final,12,21,1,24,Russia,Belgium,NA
602,2006-05-26,Lithuania,12,0,Norway,Limoges,European Division A,9th-16th Place Quarter Final,16,21,2,12,Lithuania,Norway,NA
603,2006-05-26,Italy,19,0,Switzerland,Limoges,European Division A,9th-16th Place Quarter Final,16,21,1,19,Italy,Switzerland,NA
604,2006-05-26,Belgium,41,0,Czechia,Limoges,European Division A,13th-16th Semi Final,22,14,3,41,Belgium,Czechia,NA
605,2006-05-26,Norway,17,0,Switzerland,Limoges,European Division A,13th-16th Semi Final,22,22,2,17,Norway,Switzerland,NA
606,2006-05-26,Germany,0,28,Russia,Limoges,European Division A,9th-12th Semi Final,12,13,2,28,Russia,Germany,NA
607,2006-05-26,Lithuania,7,27,Italy,Limoges,European Division A,9th-12th Semi Final,17,17,2,20,Italy,Lithuania,NA
608,2006-05-26,England,22,0,Portugal,Limoges,European Division A,Quarter-Final,37,23,2,22,England,Portugal,NA
609,2006-05-26,Ireland,15,5,France,Limoges,European Division A,Quarter-Final,4,22,1,10,Ireland,France,NA
610,2006-05-26,Netherlands,17,12,Sweden,Limoges,European Division A,Quarter-Final,34,27,3,5,Netherlands,Sweden,NA
611,2006-05-26,Spain,3,10,Wales,Limoges,European Division A,Quarter-Final,21,10,1,7,Wales,Spain,NA
612,2006-05-26,Sweden,5,17,Spain,Limoges,European Division A,5th-8th Semi Final,28,22,2,12,Spain,Sweden,NA
613,2006-05-26,Portugal,0,19,France,Limoges,European Division A,5th-8th Semi Final,24,23,4,19,France,Portugal,NA
614,2006-05-26,England,21,0,Ireland,Limoges,European Division A,Semi-Final,38,5,1,21,England,Ireland,NA
615,2006-05-26,Netherlands,0,29,Wales,Limoges,European Division A,Semi-Final,35,11,2,29,Wales,Netherlands,NA
616,2006-05-26,Czechia,12,17,Switzerland,Limoges,European Division A,15th place match,15,23,2,5,Switzerland,Czechia,NA
617,2006-05-26,Belgium,22,5,Norway,Limoges,European Division A,13th place match,23,23,3,17,Belgium,Norway,NA
618,2006-05-26,Germany,26,7,Lithuania,Limoges,European Division A,11th place match,13,18,2,19,Germany,Lithuania,NA
619,2006-05-26,Russia,29,0,Italy,Limoges,European Division A,9th place match,14,18,1,29,Russia,Italy,NA
620,2006-05-26,Portugal,0,41,Sweden,Limoges,European Division A,7th place match,25,29,3,41,Sweden,Portugal,NA
621,2006-05-26,France,0,7,Spain,Limoges,European Division A,5th place match,24,23,3,7,Spain,France,NA
622,2006-05-26,Ireland,0,10,Netherlands,Limoges,European Division A,3rd place match,6,36,1,10,Netherlands,Ireland,NA
623,2006-05-26,England,7,10,Wales,Limoges,European Division A,Final,39,12,2,3,Wales,England,NA
624,2006-05-26,Israel,7,0,Hungary,Limoges,European Division B,5th-8th Semi Final,12,11,1,7,Israel,Hungary,NA
625,2006-05-26,Bosnia-Herzegovina,0,24,Malta,Limoges,European Division B,5th-8th Semi Final,10,11,1,24,Malta,Bosnia-Herzegovina,NA
626,2006-05-26,Romania,12,10,Poland,Limoges,European Division B,Semi-Final,5,18,1,2,Romania,Poland,NA
627,2006-05-26,Bulgaria,0,22,Andorra,Limoges,European Division B,Semi-Final,21,5,1,22,Andorra,Bulgaria,NA
628,2006-05-26,Luxembourg,0,26,Austria,Limoges,European Division B,9th place match,5,14,1,26,Austria,Luxembourg,NA
629,2006-05-26,Hungary,29,5,Bosnia-Herzegovina,Limoges,European Division B,7th place match,12,11,1,24,Hungary,Bosnia-Herzegovina,NA
630,2006-05-26,Israel,7,0,Malta,Limoges,European Division B,5th place match,13,12,2,7,Israel,Malta,NA
