test_no,date,team_1,score_1,score_2,team_2,venue,home_test_no,away_test_no,series_no,tournament,margin_of_victory,home_away_win,winner,loser
263,1999-04-21,Italy,17,28,Wales,"Belluno, Italy",31,43,2,FIRA,11,A,Wales,Italy
264,1999-04-21,England,0,19,France,"Belluno, Italy",55,55,9,FIRA,19,N,France,England
265,1999-04-21,Spain,11,9,Scotland,"Belluno, Italy",29,40,3,FIRA,2,N,Spain,Scotland
266,1999-04-24,Italy,50,18,Netherlands,"Belluno, Italy",32,50,7,FIRA,32,H,Italy,Netherlands
267,1999-04-24,Wales,11,22,Kazakhstan,"Belluno, Italy",44,21,3,FIRA,11,N,Kazakhstan,Wales
268,1999-04-24,England,13,15,Scotland,"Belluno, Italy",56,41,7,FIRA,2,N,Scotland,England
269,1999-04-24,France,13,5,Spain,"Belluno, Italy",56,30,7,FIRA,8,N,France,Spain
270,1999-08-08,United States,16,11,Canada,"Saranac Lake, NY",30,27,9,Friendly,5,H,United States,Canada
271,1999-10-13,Canada,18,15,United States,"Palmerston North, New Zealand",28,31,10,Triangular ‘99,3,N,Canada,United States
272,1999-10-16,New Zealand,73,0,Canada,"Palmerston North, New Zealand",22,29,3,Triangular ‘99,73,H,New Zealand,Canada
273,1999-10-19,New Zealand,65,5,United States,"Palmerston North, New Zealand",23,32,5,Triangular ‘99,60,H,New Zealand,United States
274,2000-01-09,Spain,10,41,England,Barcelona,31,57,4,Friendly,32,A,England,Spain
275,2000-02-04,Wales,10,27,France,Swansea,45,57,3,5 Nations,17,A,France,Wales
276,2000-02-06,England,31,7,Spain,Banbury,58,32,5,5 Nations,24,H,England,Spain
277,2000-02-18,France,8,24,England,"Massy, Paris",58,59,10,5 Nations,16,A,England,France
278,2000-02-18,Spain,13,9,Scotland,Murcia,33,42,4,5 Nations,4,H,Spain,Scotland
279,2000-02-20,Netherlands,54,7,Belgium,Amsterdam,51,3,1,Friendly,47,H,Netherlands,Belgium
280,2000-03-05,England,51,0,Wales,Newbury,60,46,15,5 Nations,51,H,England,Wales
281,2000-03-06,Scotland,7,10,France,Edinburgh,43,59,4,5 Nations,3,A,France,Scotland
282,2000-03-18,France,38,5,Spain,Dax,60,34,8,5 Nations,33,H,France,Spain
283,2000-03-19,Wales,12,36,Scotland,Caerphilly,47,44,8,5 Nations,24,A,Scotland,Wales
284,2000-04-01,Scotland,9,64,England,Edinburgh,45,61,8,5 Nations,55,A,England,Scotland
285,2000-04-01,Spain,18,10,Wales,"Majadahonda,Madrid",35,48,3,5 Nations,8,H,Spain,Wales
286,2000-05-08,France,41,14,Ireland,"El Ejido, Spain",61,31,4,FIRA,27,N,France,Ireland
287,2000-05-08,England,41,3,Kazakhstan,"Vera, Spain",62,22,1,FIRA,38,N,England,Kazakhstan
288,2000-05-08,Scotland,28,6,Wales,"Almeria, Spain",46,49,9,FIRA,22,N,Scotland,Wales
289,2000-05-08,Spain,58,16,Italy,"Roquetas, Spain",36,33,4,FIRA,42,H,Spain,Italy
290,2000-05-08,Germany,5,12,Netherlands,"El Ejido, Spain",26,52,8,FIRA,7,N,Netherlands,Germany
291,2000-05-10,Italy,24,25,Wales,"El Ejido, Spain",34,50,3,FIRA,1,N,Wales,Italy
292,2000-05-10,Ireland,15,31,Kazakhstan,"Vera, Spain",32,23,3,FIRA,16,N,Kazakhstan,Ireland
293,2000-05-10,England,12,19,France,"Roquetas, Spain",63,62,11,FIRA,7,N,France,England
294,2000-05-10,Spain,13,10,Scotland,"Almeria, Spain",37,47,5,FIRA,3,H,Spain,Scotland
295,2000-05-10,Germany,0,7,Netherlands,"Roquetas, Spain",27,53,9,FIRA,7,N,Netherlands,Germany
296,2000-05-13,Wales,6,3,Kazakhstan,"Vera, Spain",51,24,4,FIRA,3,N,Wales,Kazakhstan
297,2000-05-13,England,40,20,Scotland,"Almeria, Spain",64,48,9,FIRA,20,N,England,Scotland
298,2000-05-13,Spain,0,31,France,"Almeria, Spain",38,63,9,FIRA,31,A,France,Spain
299,2000-05-13,Italy,27,5,Germany,"Roquetas, Spain",35,28,3,FIRA,22,H,Italy,Germany
300,2000-05-13,Ireland,19,12,Netherlands,"El Ejido, Spain",33,54,2,FIRA,7,N,Ireland,Netherlands
301,2000-06-06,United States,10,17,Canada,New York,33,30,11,Friendly,7,A,Canada,United States
302,2000-08-12,Germany,5,30,Sweden,Hanover,29,24,5,Friendly,25,A,Sweden,Germany
303,2000-09-01,Samoa,10,12,Japan,Apia Park,1,11,1,Friendly,2,A,Japan,Samoa
304,2000-09-23,England,31,7,United States,Winnipeg,65,34,4,Canada Cup,24,N,England,United States
305,2000-09-23,Canada,0,41,New Zealand,Winnipeg,31,24,4,Canada Cup,41,A,New Zealand,Canada
306,2000-09-27,New Zealand,45,0,United States,Winnipeg,25,35,6,Canada Cup,45,N,New Zealand,United States
307,2000-09-27,Canada,10,34,England,Winnipeg,32,66,5,Canada Cup,24,A,England,Canada
308,2000-09-30,England,13,32,New Zealand,Winnipeg,67,26,3,Canada Cup,19,N,New Zealand,England
309,2000-09-30,Canada,9,15,United States,Winnipeg,33,36,12,Canada Cup,6,A,United States,Canada
310,2000-12-15,Hong Kong,0,62,Japan,"Aberdeen Park, Hong Kong",3,12,3,World Cup,62,A,Japan,Hong Kong
311,2001-01-15,Wales,72,5,Netherlands,Bridgend,52,55,3,Friendly,67,H,Wales,Netherlands
312,2001-02-03,France,13,0,Scotland,Saint Denis,64,49,5,5 Nations,13,H,France,Scotland
313,2001-02-04,Wales,0,18,England,Newport,53,68,16,5 Nations,18,A,England,Wales
314,2001-02-09,Spain,42,0,Ireland,Madrid,39,34,2,Friendly,42,H,Spain,Ireland
315,2001-02-16,Ireland,0,53,France,Dublin,35,65,5,Friendly,53,A,France,Ireland
316,2001-02-18,England,28,12,Spain,Worcester,69,40,6,5 Nations,16,H,England,Spain
317,2001-02-18,Scotland,22,0,Wales,Meggetland,50,54,10,5 Nations,22,H,Scotland,Wales
318,2001-03-03,Spain,6,0,France,Madrid,41,66,10,5 Nations,6,H,Spain,France
319,2001-03-04,England,39,0,Scotland,Richmond,70,51,10,5 Nations,39,H,England,Scotland
320,2001-03-16,France,24,3,Wales,Nanterre,67,55,4,5 Nations,21,H,France,Wales
321,2001-03-18,Scotland,19,8,Spain,Melrose,52,42,6,5 Nations,11,H,Scotland,Spain
322,2001-04-08,England,50,6,France,Northampton,71,68,12,5 Nations,44,H,England,France
323,2001-04-08,Wales,0,5,Spain,Wrexham,56,43,4,5 Nations,5,A,Spain,Wales
324,2001-04-08,Netherlands,105,0,Belgium,Amsterdam,56,4,2,Friendly,105,H,Netherlands,Belgium
325,2001-05-06,France,45,9,Ireland,"Marquette-lez-Lille, France",69,36,6,FIRA,36,H,France,Ireland
326,2001-05-06,Spain,34,3,Italy,"Lille, France",44,36,5,FIRA,31,N,Spain,Italy
327,2001-05-06,England,29,15,Kazakhstan,"Tourcoing, France",72,25,2,FIRA,14,N,England,Kazakhstan
328,2001-05-06,Scotland,13,3,Wales,"Hazebrouck, France",53,57,11,FIRA,10,N,Scotland,Wales
329,2001-05-07,Belgium,0,66,Netherlands,"IC Lille, France",5,57,3,FIRA,66,N,Netherlands,Belgium
330,2001-05-07,Germany,13,15,Sweden,"Villeneuve d' Ascq, France",30,25,6,FIRA,2,N,Sweden,Germany
331,2001-05-09,Germany,6,17,Netherlands,Armentières,31,58,10,FIRA,11,N,Netherlands,Germany
332,2001-05-09,Belgium,0,90,Sweden,Roubaix,6,26,2,FIRA,90,N,Sweden,Belgium
333,2001-05-10,Ireland,10,15,Wales,"Tourcoing, France",37,58,5,FIRA,5,N,Wales,Ireland
334,2001-05-10,Italy,0,20,Kazakhstan,Villeneuve d'ascq,37,26,1,FIRA,20,N,Kazakhstan,Italy
335,2001-05-10,France,6,9,Scotland,Armentières,70,54,6,FIRA,3,A,Scotland,France
336,2001-05-10,England,8,15,Spain,Roubaix,73,45,7,FIRA,7,N,Spain,England
337,2001-05-12,Netherlands,12,13,Sweden,"Lille, France",59,27,5,FIRA,1,N,Sweden,Netherlands
338,2001-05-12,Belgium,0,67,Germany,Armentières,7,32,1,FIRA,67,N,Germany,Belgium
339,2001-05-12,Ireland,9,8,Italy,"Lille, France",38,38,3,FIRA,1,N,Ireland,Italy
340,2001-05-12,Wales,17,7,Kazakhstan,Villeneuve d'ascq,59,27,5,FIRA,10,N,Wales,Kazakhstan
341,2001-05-12,France,23,34,England,"Lille, France",71,74,13,FIRA,11,A,England,France
342,2001-05-12,Spain,3,15,Scotland,"Lille, France",46,55,7,FIRA,12,N,Scotland,Spain
343,2001-05-26,Australia,19,41,England,"T.G.Milner, Eastwood, Sydney",12,75,2,Friendly,22,A,England,Australia
344,2001-06-02,Australia,5,15,England,"Newcastle, NSW",13,76,3,Friendly,10,A,England,Australia
345,2001-06-09,New Zealand,15,10,England,Rotorua,27,77,4,Friendly,5,H,New Zealand,England
346,2001-06-16,New Zealand,17,22,England,"North Harbour Stadium, Albany, North Shore City",28,78,5,Friendly,5,A,England,New Zealand
347,2001-07-07,Canada,23,3,United States,"Twin Elm Park, Ottawa, Ontario,",34,37,13,Friendly,20,H,Canada,United States
348,2001-08-05,United States,22,21,Canada,"Saranac Lake, NY",38,35,14,Friendly,1,H,United States,Canada
349,2001-09-16,Trinidad and Tobago,0,76,Venezuela,"Queens Park Savannah, Port of Spain",1,1,1,Friendly,76,A,Venezuela,Trinidad and Tobago
350,2001-10-18,Wales,7,21,Canada,Glamorgan Wanderers,60,36,4,Friendly,14,A,Canada,Wales
351,2001-10-21,Wales,11,12,Canada,Caerphilly,61,37,5,Friendly,1,A,Canada,Wales
352,2001-10-24,Netherlands,0,15,Ireland,Amsterdam,60,39,3,Friendly,15,A,Ireland,Netherlands
353,2001-10-28,Wales,13,13,Canada,Ebbw Vale,62,38,6,Friendly,0,D,Draw,Draw
354,2001-11-11,Scotland,13,3,Sweden,Edinburgh,56,28,3,Friendly,10,H,Scotland,Sweden
355,2001-11-18,Wales,17,20,United States,Ebbw Vale,63,39,3,Friendly,3,A,United States,Wales
356,2001-11-24,Scotland,22,3,United States,Inverleith,57,40,2,Friendly,19,H,Scotland,United States
357,2002-02-02,France,24,0,Spain,Bègles,72,47,11,6 Nations,24,H,France,Spain
358,2002-02-03,Ireland,5,13,Wales,"Thormond Park, Limerick",40,64,6,6 Nations,8,A,Wales,Ireland
359,2002-02-03,Scotland,8,35,England,Dunbar,58,79,11,6 Nations,27,A,England,Scotland
360,2002-02-15,Wales,0,20,France,"The Brewery Field, Bridgend",65,73,5,6 Nations,20,A,France,Wales
361,2002-02-16,Spain,14,17,Scotland,Barcelona,48,59,8,6 Nations,3,A,Scotland,Spain
362,2002-02-17,England,79,0,Ireland,Worcester,80,41,5,6 Nations,79,H,England,Ireland
363,2002-03-01,France,22,17,England,"Tournon, Lyon",74,81,14,6 Nations,5,H,France,England
364,2002-03-02,Spain,20,0,Wales,Madrid,49,66,5,6 Nations,20,H,Spain,Wales
365,2002-03-02,Ireland,0,13,Scotland,Limerick,42,60,9,6 Nations,13,A,Scotland,Ireland
366,2002-03-20,Netherlands,0,22,Sweden,"Treviso, Italy",61,29,6,FIRA,22,N,Sweden,Netherlands
367,2002-03-20,Italy,16,0,Germany,San Donà,39,33,4,FIRA,16,H,Italy,Germany
368,2002-03-23,England,40,0,Wales,London Welsh,82,67,17,6 Nations,40,H,England,Wales
369,2002-03-23,Germany,12,10,Netherlands,Treviso,34,62,11,FIRA,2,N,Germany,Netherlands
370,2002-03-23,Italy,35,24,Sweden,Treviso,40,30,2,FIRA,11,H,Italy,Sweden
371,2002-03-24,Scotland,12,22,France,Inverleith,61,75,7,6 Nations,10,A,France,Scotland
372,2002-03-25,Ireland,6,8,Spain,Limerick,43,50,3,6 Nations,2,A,Spain,Ireland
373,2002-04-05,France,46,0,Ireland,Melun,76,44,7,6 Nations,46,H,France,Ireland
374,2002-04-07,Spain,14,53,England,Madrid,51,83,8,6 Nations,39,A,England,Spain
375,2002-04-07,Wales,3,31,Scotland,Stradey Park,68,62,12,6 Nations,28,A,Scotland,Wales
376,2002-05-13,Germany,0,117,New Zealand,"Cornellà de Llobregat, Barcelona",35,29,2,World Cup,117,N,New Zealand,Germany
377,2002-05-13,Australia,30,0,Wales,"Sant Boi de Llobregat, Barcelona",14,69,1,World Cup,30,N,Australia,Wales
378,2002-05-13,Spain,62,0,Japan,"Cornellà de Llobregat, Barcelona",52,13,2,World Cup,62,H,Spain,Japan
379,2002-05-13,United States,87,0,Netherlands,"Sant Boi de Llobregat, Barcelona",41,63,3,World Cup,87,N,United States,Netherlands
380,2002-05-13,Canada,57,0,Ireland,"Girona, Barcelona",39,45,1,World Cup,57,N,Canada,Ireland
381,2002-05-13,France,31,12,Kazakhstan,"Sant Boi de Llobregat, Barcelona",77,28,3,World Cup,19,N,France,Kazakhstan
382,2002-05-13,Scotland,13,3,Samoa,"Girona, Barcelona",63,2,1,World Cup,10,N,Scotland,Samoa
383,2002-05-13,England,63,9,Italy,"Cornellà de Llobregat, Barcelona",84,41,2,World Cup,54,N,England,Italy
384,2002-05-17,Germany,0,77,Wales,"Girona, Barcelona",36,70,2,World Cup,77,N,Wales,Germany
385,2002-05-17,Netherlands,10,37,Kazakhstan,"Girona, Barcelona",64,29,2,World Cup,27,N,Kazakhstan,Netherlands
386,2002-05-17,Italy,30,3,Japan,"Sant Boi de Llobregat, Barcelona",42,14,1,World Cup,27,N,Italy,Japan
387,2002-05-17,Ireland,0,22,Samoa,"Sant Boi de Llobregat, Barcelona",46,3,1,World Cup,22,N,Samoa,Ireland
388,2002-05-18,Australia,3,36,New Zealand,"Cornellà de Llobregat, Barcelona",15,30,6,World Cup,33,N,New Zealand,Australia
389,2002-05-18,France,21,9,United States,"Girona, Barcelona",78,42,2,World Cup,12,N,France,United States
390,2002-05-18,Spain,5,13,England,"Cornellà de Llobregat, Barcelona",53,85,9,World Cup,8,A,England,Spain
391,2002-05-18,Canada,11,0,Scotland,"Girona, Barcelona",40,64,2,World Cup,11,N,Canada,Scotland
392,2002-05-20,Germany,0,18,Ireland,"Girona, Barcelona",37,47,3,World Cup,18,N,Ireland,Germany
393,2002-05-20,Japan,37,3,Netherlands,"Girona, Barcelona",15,65,1,World Cup,34,N,Japan,Netherlands
394,2002-05-20,Wales,35,3,Italy,"Sant Boi de Llobregat, Barcelona",71,43,4,World Cup,32,N,Wales,Italy
395,2002-05-20,Samoa,9,3,Kazakhstan,"Girona, Barcelona",4,30,1,World Cup,6,N,Samoa,Kazakhstan
396,2002-05-21,Australia,17,5,United States,"Girona, Barcelona",16,43,2,World Cup,18,N,Australia,United States
397,2002-05-21,Spain,16,23,Scotland,"Cornellà de Llobregat, Barcelona",54,65,9,World Cup,7,A,Scotland,Spain
398,2002-05-21,New Zealand,30,0,France,"Cornellà de Llobregat, Barcelona",31,79,2,World Cup,30,N,New Zealand,France
399,2002-05-21,Canada,10,53,England,"Girona, Barcelona",41,86,6,World Cup,43,N,England,Canada
400,2002-05-24,Germany,19,20,Netherlands,Saragossa,38,66,12,World Cup,1,N,Netherlands,Germany
401,2002-05-24,Ireland,23,3,Japan,"Girona, Barcelona",48,16,2,World Cup,18,N,Ireland,Japan
402,2002-05-24,Italy,3,20,Kazakhstan,"Sant Boi de Llobregat, Barcelona",44,31,2,World Cup,17,N,Kazakhstan,Italy
403,2002-05-24,Wales,14,17,Samoa,"Sant Boi de Llobregat, Barcelona",72,5,1,World Cup,3,N,Samoa,Wales
404,2002-05-25,Spain,5,23,United States,"Sant Boi de Llobregat, Barcelona",55,44,2,World Cup,18,A,United States,Spain
405,2002-05-25,Australia,30,0,Scotland,"Girona, Barcelona",17,66,2,World Cup,30,N,Australia,Scotland
406,2002-05-25,France,41,7,Canada,"Olympic Stadium, Barcelona",80,42,3,World Cup,34,N,France,Canada
407,2002-05-25,England,9,19,New Zealand,"Olympic Stadium, Barcelona",87,32,6,World Cup,10,N,New Zealand,England
408,2002-11-24,Scotland,34,3,Sweden,"Murrayfield, Edinburgh",67,31,4,Friendly,31,H,Scotland,Sweden
409,2003-02-15,England,57,0,France,Twickenham,88,81,15,6 Nations,57,H,England,France
410,2003-02-15,Wales,44,0,Spain,"Arms Park, Cardiff",73,56,6,6 Nations,44,H,Wales,Spain
411,2003-02-15,Scotland,25,0,Ireland,Netherdale (Gala),68,49,10,6 Nations,25,H,Scotland,Ireland
412,2003-02-21,Wales,7,69,England,"Arms Park, Cardiff",74,89,18,6 Nations,62,A,England,Wales
413,2003-02-21,Spain,0,16,Ireland,Madrid,57,50,4,6 Nations,16,A,Ireland,Spain
414,2003-02-22,France,14,19,Scotland,Evreux,82,69,8,6 Nations,5,A,Scotland,France
415,2003-03-09,Ireland,0,20,France,Limerick,51,83,8,6 Nations,20,A,France,Ireland
416,2003-03-09,England,74,0,Spain,Harlequins RFC,90,58,10,6 Nations,69,H,England,Spain
417,2003-03-09,Scotland,9,8,Wales,Meadowbank,70,75,13,6 Nations,1,H,Scotland,Wales
418,2003-03-21,Wales,17,0,Ireland,"Arms Park, Cardiff",76,52,7,6 Nations,17,H,Wales,Ireland
419,2003-03-22,Spain,7,27,France,Girona,59,84,12,6 Nations,20,A,France,Spain
420,2003-03-22,England,31,0,Scotland,Harlequins RFC,91,71,12,6 Nations,31,H,England,Scotland
421,2003-03-28,Ireland,3,46,England,"Thomond Park RFC, Limerick",53,92,6,6 Nations,43,A,England,Ireland
422,2003-03-28,France,34,7,Wales,Paris,85,77,6,6 Nations,27,H,France,Wales
423,2003-03-29,Scotland,48,7,Spain,Meadowbank,72,60,10,6 Nations,41,H,Scotland,Spain
424,2003-05-01,Sweden,0,9,France,"Malmö, Sweden",32,86,2,FIRA,9,A,France,Sweden
425,2003-05-01,Italy,5,29,Spain,"Malmö, Sweden",45,61,6,FIRA,24,N,Spain,Italy
426,2003-05-03,Sweden,15,10,Italy,"Malmö, Sweden",33,46,3,FIRA,5,H,Sweden,Italy
427,2003-05-03,France,10,16,Spain,"Malmö, Sweden",87,62,13,FIRA,6,N,Spain,France
428,2003-05-08,Netherlands,113,0,Denmark,"Amsterdam, Netherlands",67,1,1,FIRA,113,H,Netherlands,Denmark
429,2003-05-08,Germany,75,0,Norway,"Amsterdam, Netherlands",39,1,1,FIRA,75,N,Germany,Norway
430,2003-05-11,Denmark,10,10,Norway,"Amsterdam, Netherlands",2,2,1,FIRA,0,N,Draw,Draw
431,2003-05-11,Netherlands,19,12,Germany,"Amsterdam, Netherlands",68,40,13,FIRA,7,H,Netherlands,Germany
432,2003-06-14,Canada,5,10,England,"Thunderbird Stadium, Vancouver",43,93,7,Churchill Cup,5,A,England,Canada
433,2003-06-18,England,15,8,United States,"Thunderbird Stadium, Vancouver",94,45,5,Churchill Cup,7,N,England,United States
434,2003-06-20,Canada,18,13,United States,"Thunderbird Stadium, Vancouver",44,46,15,Churchill Cup,5,H,Canada,United States
435,2003-06-28,Canada,18,21,England,"Thunderbird Stadium, Vancouver",45,95,8,Churchill Cup,3,A,England,Canada
436,2003-07-06,Sweden,5,49,Scotland,Linköping,34,73,5,Friendly,44,A,Scotland,Sweden
437,2003-10-04,New Zealand,37,0,World XV,"Eden Park, Auckland",33,2,2,Friendly,37,H,New Zealand,World XV
438,2003-10-11,New Zealand,38,18,World XV,Whangarei,34,3,3,Friendly,20,H,New Zealand,World XV
439,2003-12-03,Trinidad and Tobago,20,0,Jamaica,Port of Spain,2,1,1,"NAWIRA",20,H,Trinidad and Tobago,Jamaica
440,2003-12-04,Trinidad and Tobago,10,0,Jamaica,Port of Spain,3,2,2,"NAWIRA",10,H,Trinidad and Tobago,Jamaica
441,2004-02-14,Wales,10,30,Scotland,"Arms Park, Cardiff",78,74,14,6 Nations,20,A,Scotland,Wales
442,2004-02-15,Spain,3,71,England,"Pinares de Venecia , Zaragoza",63,96,11,6 Nations,68,A,England,Spain
443,2004-02-15,France,22,5,Ireland,"Savigny sur Orge, Paris",88,54,9,6 Nations,17,H,France,Ireland
444,2004-02-21,Ireland,13,14,Wales,Thomond Park,55,79,8,6 Nations,1,A,Wales,Ireland
445,2004-02-21,Scotland,7,20,England,"Netherdale, Galashiels",75,97,13,6 Nations,13,A,England,Scotland
446,2004-02-21,France,24,0,Spain,Perpignan,89,64,14,6 Nations,24,H,France,Spain
447,2004-03-06,England,51,10,Ireland,Twickenham,98,56,7,6 Nations,41,H,England,Ireland
448,2004-03-06,Spain,6,5,Scotland,"Lalin, Corunna",65,76,11,6 Nations,1,H,Spain,Scotland
449,2004-03-07,Wales,0,22,France,"Arms Park, Cardiff",80,90,7,6 Nations,22,A,France,Wales
450,2004-03-20,England,53,3,Wales,"The Stoop, London",99,81,19,6 Nations,50,H,England,Wales
451,2004-03-20,Ireland,7,8,Spain,"Thomond Park, Limerick",57,66,5,6 Nations,1,A,Spain,Ireland
452,2004-03-21,Scotland,12,16,France,Murrayfield,77,91,9,6 Nations,4,A,France,Scotland
453,2004-03-27,France,13,12,England,"Bourg-en-Bresse, Lyon",92,100,16,6 Nations,1,H,France,England
454,2004-03-27,Wales,7,12,Spain,"Arms Park, Cardiff",82,67,7,6 Nations,5,A,Spain,Wales
455,2004-03-27,Ireland,0,17,Scotland,"Thomond Park, Limerick",58,78,11,6 Nations,17,A,Scotland,Ireland
456,2004-05-01,France,24,5,Spain,"Castres, France",93,68,15,FIRA,19,H,France,Spain
457,2004-05-02,Ireland,7,24,Wales,"St Jean du Falga , France",59,83,9,FIRA,17,N,Wales,Ireland
458,2004-05-02,England,73,7,Italy,"Beaumont de Lomagne, France",101,47,3,FIRA,66,N,England,Italy
459,2004-05-02,Scotland,32,0,Sweden,"Castelsarrasin, France",79,35,6,FIRA,32,N,Scotland,Sweden
460,2004-05-02,Denmark,3,141,Netherlands,"Grenade, France",3,69,2,FIRA,138,N,Netherlands,Denmark
461,2004-05-02,Germany,67,0,Norway,"Grenade, France",41,3,2,FIRA,67,N,Germany,Norway
462,2004-05-05,Netherlands,78,0,Norway,"St Orens, France",70,4,1,FIRA,78,N,Netherlands,Norway
463,2004-05-05,Denmark,0,47,Germany,"Villefranche de Lauragais, France",4,42,1,FIRA,47,N,Germany,Denmark
464,2004-05-05,Ireland,14,5,Italy,"Balma, France",60,48,4,FIRA,9,N,Ireland,Italy
465,2004-05-05,Spain,31,5,Sweden,"Quint Fonsegrives, France",69,36,1,FIRA,26,N,Spain,Sweden
466,2004-05-05,France,25,6,Scotland,St Orens,94,80,10,FIRA,19,H,France,Scotland
467,2004-05-05,England,39,3,Wales,"Villefranche de Lauragais, France",102,84,20,FIRA,36,N,England,Wales
468,2004-05-08,Italy,13,0,Sweden,"L'Union, Toulouse, France",49,37,4,FIRA,13,N,Italy,Sweden
469,2004-05-08,Ireland,20,12,Spain,"Lalande Aucamville, France",61,70,6,FIRA,8,N,Ireland,Spain
470,2004-05-08,Scotland,11,10,Wales,"Tournefeuille, France",81,85,15,FIRA,1,N,Scotland,Wales
471,2004-05-08,France,8,6,England,"Stade des Minimes, Toulouse",95,103,17,FIRA,2,H,France,England
472,2004-05-08,Germany,0,30,Netherlands,"Lalande Aucamville, France",43,71,14,FIRA,30,N,Netherlands,Germany
473,2004-05-08,Denmark,5,8,Norway,"Tournefeuille, France",5,5,2,FIRA,3,N,Norway,Denmark
474,2004-05-29,South Africa,5,8,Wales,"Adcock Stadium, Port Elizabeth",1,86,1,Friendly,3,A,Wales,South Africa
475,2004-06-05,Austria,5,5,Czechia,"Hohe Warte, Vienna",1,1,1,Friendly,0,D,Draw,Draw
476,2004-06-05,South Africa,15,16,Wales,"Loftus Versfeld, Pretoria",2,87,2,Friendly,1,A,Wales,South Africa
477,2004-06-08,Canada,5,32,New Zealand,"Thunderbird Stadium, Vancouver",46,35,5,Churchill Cup,27,A,New Zealand,Canada
478,2004-06-13,New Zealand,35,0,United States,Calgary Rugby Park,36,47,7,Churchill Cup,35,N,New Zealand,United States
479,2004-06-13,Canada,11,35,England,Calgary Rugby Park,47,104,9,Churchill Cup,24,A,England,Canada
480,2004-06-19,Canada,10,29,United States,Edmonton,48,48,16,Churchill Cup,19,A,United States,Canada
481,2004-06-19,England,0,38,New Zealand,Edmonton,105,37,7,Churchill Cup,38,N,New Zealand,England
482,2004-06-19,Jamaica,15,3,Cayman Islands,Montego Bay,3,1,1,Friendly,12,H,Jamaica,Cayman Islands
483,2004-11-06,Netherlands,15,7,Japan,Amsterdam,72,17,2,Friendly,8,H,Netherlands,Japan
484,2004-11-14,England,45,5,Canada,Richmond,106,49,10,Friendly,40,H,England,Canada
485,2004-11-14,Ireland,55,0,Japan,"Donnybrook, Dublin",62,18,3,Friendly,55,H,Ireland,Japan
486,2004-11-17,England,41,3,Canada,Newbury,107,50,11,Friendly,38,H,England,Canada
487,2004-11-27,Scotland,6,12,United States,"Murrayfield, Edinburgh",82,49,3,Friendly,6,A,United States,Scotland
488,2005-02-04,France,22,15,Scotland,"Roubaix, Lyon",96,83,11,6 Nations,7,H,France,Scotland
489,2005-02-04,Wales,0,81,England,"Arms Park, Cardiff",88,108,21,6 Nations,81,A,England,Wales
490,2005-02-05,Spain,19,17,Ireland,"Campo Central Ciudad Universitaria, Madrid",71,63,7,6 Nations,2,H,Spain,Ireland
491,2005-02-12,Spain,10,10,Wales,"Orense, Orense",72,89,8,6 Nations,0,D,Draw,Draw
492,2005-02-12,Scotland,15,5,Ireland,Murrayfield,84,64,12,6 Nations,10,H,Scotland,Ireland
493,2005-02-13,England,10,13,France,"Imber Court, London",109,97,18,6 Nations,3,A,France,England
494,2005-02-25,France,48,0,Wales,"Bondoufle, Paris",98,90,8,6 Nations,48,H,France,Wales
495,2005-02-26,Scotland,19,3,Spain,"Anniesland, Glasgow",85,73,12,6 Nations,16,H,Scotland,Spain
496,2005-02-26,Ireland,0,32,England,"St Mary's College, Dublin",65,110,8,6 Nations,32,A,England,Ireland
497,2005-02-26,Rwanda,0,92,Uganda,Kigali,1,1,1,Friendly,92,A,Uganda,Rwanda
498,2005-03-12,England,76,0,Spain,"Imber Court, London",111,74,12,6 Nations,76,H,England,Spain
499,2005-03-13,Ireland,0,34,France,Dublin,66,99,10,6 Nations,34,A,France,Ireland
500,2005-03-13,Scotland,22,5,Wales,Murrayfield,86,91,16,6 Nations,17,H,Scotland,Wales
501,2005-03-18,Wales,6,11,Ireland,"Arms Park, Cardiff",92,67,10,6 Nations,5,A,Ireland,Wales
502,2005-03-19,Spain,0,39,France,"San Boï de Llobregat, Barcelona",75,100,16,6 Nations,39,A,France,Spain
503,2005-03-19,England,22,10,Scotland,Twickenham,112,87,14,6 Nations,12,H,England,Scotland
504,2005-04-07,Netherlands,8,7,Sweden,"Hamburg, Germany",73,38,7,FIRA,1,N,Netherlands,Sweden
505,2005-04-07,Germany,0,52,Italy,"Hamburg, Germany",44,50,5,FIRA,52,A,Italy,Germany
506,2005-04-09,Germany,5,17,Sweden,"Hamburg, Germany",45,39,7,FIRA,12,A,Sweden,Germany
507,2005-04-09,Italy,22,3,Netherlands,"Hamburg, Germany",51,74,8,FIRA,19,N,Italy,Netherlands
508,2005-04-30,Austria,5,5,Czechia,"Hohe Warte, Vienna",2,2,2,Friendly,0,D,Draw,Draw
509,2005-04-30,Wales,9,24,South Africa,Ebbw Vale RFC,93,3,3,Friendly,15,A,South Africa,Wales
510,2005-05-14,England,101,0,South Africa,Imber Court RFC,113,4,1,Friendly,101,H,England,South Africa
511,2005-05-21,Norway,0,25,Russia,"Zenica, Bosnia",6,14,1,FIRA,25,N,Russia,Norway
512,2005-05-21,Bosnia-Herzegovina,0,30,Norway,"Zenica, Bosnia",1,7,1,FIRA,30,A,Norway,Bosnia-Herzegovina
