date,fixed_rate_30_yr,fees_and_pts_30_yr,fixed_rate_15_yr,fees_and_pts_15_yr,adjustable_rate_5_1_hybrid,fees_and_pts_5_1_hybrid,adjustable_margin_5_1_hybrid,spread_30_yr_fixed_and_5_1_adjustable
1979-05-04,10.6,1.6,NA,NA,NA,NA,NA,NA
1979-05-11,10.68,1.6,NA,NA,NA,NA,NA,NA
1979-05-18,10.73,1.6,NA,NA,NA,NA,NA,NA
1979-05-25,10.75,1.6,NA,NA,NA,NA,NA,NA
1979-06-01,10.9,1.6,NA,NA,NA,NA,NA,NA
1979-06-08,11.03,1.6,NA,NA,NA,NA,NA,NA
1979-06-15,11.05,1.6,NA,NA,NA,NA,NA,NA
1979-06-22,11.1,1.7,NA,NA,NA,NA,NA,NA
1979-06-29,11.1,1.6,NA,NA,NA,NA,NA,NA
1979-07-06,11.13,1.7,NA,NA,NA,NA,NA,NA
1979-07-13,11.08,1.7,NA,NA,NA,NA,NA,NA
1979-07-20,11.08,1.6,NA,NA,NA,NA,NA,NA
1979-07-27,11.08,1.6,NA,NA,NA,NA,NA,NA
1979-08-03,11.08,1.6,NA,NA,NA,NA,NA,NA
1979-08-10,11.08,1.6,NA,NA,NA,NA,NA,NA
1979-08-17,11.08,1.7,NA,NA,NA,NA,NA,NA
1979-08-24,11.1,1.7,NA,NA,NA,NA,NA,NA
1979-08-31,11.13,1.7,NA,NA,NA,NA,NA,NA
1979-09-07,11.2,1.7,NA,NA,NA,NA,NA,NA
1979-09-14,11.3,1.6,NA,NA,NA,NA,NA,NA
1979-09-21,11.35,1.6,NA,NA,NA,NA,NA,NA
1979-09-28,11.35,1.6,NA,NA,NA,NA,NA,NA
1979-10-05,11.35,1.6,NA,NA,NA,NA,NA,NA
1979-10-12,11.45,1.6,NA,NA,NA,NA,NA,NA
1979-10-19,11.75,1.7,NA,NA,NA,NA,NA,NA
1979-10-26,12,1.7,NA,NA,NA,NA,NA,NA
1979-11-02,12.8,1.7,NA,NA,NA,NA,NA,NA
1979-11-09,12.85,1.7,NA,NA,NA,NA,NA,NA
1979-11-16,12.8,1.7,NA,NA,NA,NA,NA,NA
1979-11-23,12.8,1.7,NA,NA,NA,NA,NA,NA
1979-11-30,12.9,1.6,NA,NA,NA,NA,NA,NA
1979-12-07,12.9,1.6,NA,NA,NA,NA,NA,NA
1979-12-14,12.9,1.6,NA,NA,NA,NA,NA,NA
1979-12-21,12.9,1.6,NA,NA,NA,NA,NA,NA
1979-12-28,12.9,1.6,NA,NA,NA,NA,NA,NA
1980-01-04,12.85,1.6,NA,NA,NA,NA,NA,NA
1980-01-11,12.9,1.6,NA,NA,NA,NA,NA,NA
1980-01-18,12.87,1.6,NA,NA,NA,NA,NA,NA
1980-01-25,12.89,1.6,NA,NA,NA,NA,NA,NA
1980-02-01,12.85,1.6,NA,NA,NA,NA,NA,NA
1980-02-08,12.85,1.6,NA,NA,NA,NA,NA,NA
1980-02-15,12.875,1.6,NA,NA,NA,NA,NA,NA
1980-02-22,13.025,1.6,NA,NA,NA,NA,NA,NA
1980-02-29,13.59,1.8,NA,NA,NA,NA,NA,NA
1980-03-07,14,1.9,NA,NA,NA,NA,NA,NA
1980-03-14,15.4,1.9,NA,NA,NA,NA,NA,NA
1980-03-21,15.7,2,NA,NA,NA,NA,NA,NA
1980-03-28,16.025,2.1,NA,NA,NA,NA,NA,NA
1980-04-04,16.35,2,NA,NA,NA,NA,NA,NA
1980-04-11,16.35,1.9,NA,NA,NA,NA,NA,NA
1980-04-18,16.35,1.9,NA,NA,NA,NA,NA,NA
1980-04-25,16.25,1.9,NA,NA,NA,NA,NA,NA
1980-05-02,15.9,1.9,NA,NA,NA,NA,NA,NA
1980-05-09,14.675,1.8,NA,NA,NA,NA,NA,NA
1980-05-16,14.15,1.8,NA,NA,NA,NA,NA,NA
1980-05-23,13.375,1.9,NA,NA,NA,NA,NA,NA
1980-05-30,13.2,1.9,NA,NA,NA,NA,NA,NA
1980-06-06,13.06,1.8,NA,NA,NA,NA,NA,NA
1980-06-13,12.85,1.8,NA,NA,NA,NA,NA,NA
1980-06-20,12.575,1.9,NA,NA,NA,NA,NA,NA
1980-06-27,12.35,1.7,NA,NA,NA,NA,NA,NA
1980-07-04,12.175,1.7,NA,NA,NA,NA,NA,NA
1980-07-11,12.225,1.7,NA,NA,NA,NA,NA,NA
1980-07-18,12.175,1.8,NA,NA,NA,NA,NA,NA
1980-07-25,12.175,1.8,NA,NA,NA,NA,NA,NA
1980-08-01,12.25,1.8,NA,NA,NA,NA,NA,NA
1980-08-08,12.25,1.8,NA,NA,NA,NA,NA,NA
1980-08-15,12.55,1.7,NA,NA,NA,NA,NA,NA
1980-08-22,12.8,1.7,NA,NA,NA,NA,NA,NA
1980-08-29,12.95,1.7,NA,NA,NA,NA,NA,NA
1980-09-05,13.025,1.7,NA,NA,NA,NA,NA,NA
1980-09-12,13.075,1.8,NA,NA,NA,NA,NA,NA
1980-09-19,13.25,1.7,NA,NA,NA,NA,NA,NA
1980-09-26,13.425,1.7,NA,NA,NA,NA,NA,NA
1980-10-03,13.6,1.8,NA,NA,NA,NA,NA,NA
1980-10-10,13.725,1.7,NA,NA,NA,NA,NA,NA
1980-10-17,13.775,1.8,NA,NA,NA,NA,NA,NA
1980-10-24,13.85,1.7,NA,NA,NA,NA,NA,NA
1980-10-31,14,1.7,NA,NA,NA,NA,NA,NA
1980-11-07,14.075,1.7,NA,NA,NA,NA,NA,NA
1980-11-14,14.175,1.7,NA,NA,NA,NA,NA,NA
1980-11-21,14.275,1.7,NA,NA,NA,NA,NA,NA
1980-11-28,14.275,1.7,NA,NA,NA,NA,NA,NA
1980-12-05,14.425,1.7,NA,NA,NA,NA,NA,NA
1980-12-12,14.825,1.7,NA,NA,NA,NA,NA,NA
1980-12-19,14.95,1.7,NA,NA,NA,NA,NA,NA
1980-12-26,14.95,1.7,NA,NA,NA,NA,NA,NA
1981-01-02,14.95,2,NA,NA,NA,NA,NA,NA
1981-01-09,14.8,2,NA,NA,NA,NA,NA,NA
1981-01-16,14.85,2,NA,NA,NA,NA,NA,NA
1981-01-23,14.85,2,NA,NA,NA,NA,NA,NA
1981-01-30,15.07,2,NA,NA,NA,NA,NA,NA
1981-02-06,15,2,NA,NA,NA,NA,NA,NA
1981-02-13,15.03,2,NA,NA,NA,NA,NA,NA
1981-02-20,15.2,2,NA,NA,NA,NA,NA,NA
1981-02-27,15.3,2,NA,NA,NA,NA,NA,NA
1981-03-06,15.4,2,NA,NA,NA,NA,NA,NA
1981-03-13,15.4,2.1,NA,NA,NA,NA,NA,NA
1981-03-20,15.4,2,NA,NA,NA,NA,NA,NA
1981-03-27,15.4,2,NA,NA,NA,NA,NA,NA
1981-04-03,15.4,2,NA,NA,NA,NA,NA,NA
1981-04-10,15.5,2,NA,NA,NA,NA,NA,NA
1981-04-17,15.65,2,NA,NA,NA,NA,NA,NA
1981-04-24,15.77,2.1,NA,NA,NA,NA,NA,NA
1981-05-01,15.82,1.9,NA,NA,NA,NA,NA,NA
1981-05-08,16.12,2.1,NA,NA,NA,NA,NA,NA
1981-05-15,16.64,2.1,NA,NA,NA,NA,NA,NA
1981-05-22,16.63,2.1,NA,NA,NA,NA,NA,NA
1981-05-29,16.8,2.1,NA,NA,NA,NA,NA,NA
1981-06-05,16.76,2.1,NA,NA,NA,NA,NA,NA
1981-06-12,16.69,2,NA,NA,NA,NA,NA,NA
1981-06-19,16.71,2.1,NA,NA,NA,NA,NA,NA
1981-06-26,16.62,2.1,NA,NA,NA,NA,NA,NA
1981-07-03,16.64,2.1,NA,NA,NA,NA,NA,NA
1981-07-10,16.79,2.2,NA,NA,NA,NA,NA,NA
1981-07-17,16.74,2.1,NA,NA,NA,NA,NA,NA
1981-07-24,16.88,2.1,NA,NA,NA,NA,NA,NA
1981-07-31,17.11,2.2,NA,NA,NA,NA,NA,NA
1981-08-07,17.13,2,NA,NA,NA,NA,NA,NA
1981-08-14,17.27,2.1,NA,NA,NA,NA,NA,NA
1981-08-21,17.26,2.1,NA,NA,NA,NA,NA,NA
1981-08-28,17.48,2.1,NA,NA,NA,NA,NA,NA
1981-09-04,17.79,2,NA,NA,NA,NA,NA,NA
1981-09-11,18.22,2.1,NA,NA,NA,NA,NA,NA
1981-09-18,18.27,2.2,NA,NA,NA,NA,NA,NA
1981-09-25,18.36,2.2,NA,NA,NA,NA,NA,NA
1981-10-02,18.28,2.4,NA,NA,NA,NA,NA,NA
1981-10-09,18.63,2.2,NA,NA,NA,NA,NA,NA
1981-10-16,18.53,2.3,NA,NA,NA,NA,NA,NA
1981-10-21,18.39,2.2,NA,NA,NA,NA,NA,NA
1981-10-30,18.44,2.3,NA,NA,NA,NA,NA,NA
1981-11-06,18.37,2.1,NA,NA,NA,NA,NA,NA
1981-11-13,18.02,2.1,NA,NA,NA,NA,NA,NA
1981-11-20,17.7,2.2,NA,NA,NA,NA,NA,NA
1981-11-27,17.21,2.1,NA,NA,NA,NA,NA,NA
1981-12-04,16.9,2.1,NA,NA,NA,NA,NA,NA
1981-12-11,16.94,2.1,NA,NA,NA,NA,NA,NA
1981-12-18,16.9,2,NA,NA,NA,NA,NA,NA
1981-12-25,16.95,2,NA,NA,NA,NA,NA,NA
1981-12-31,17.04,2.1,NA,NA,NA,NA,NA,NA
1982-01-08,17.3,2.1,NA,NA,NA,NA,NA,NA
1982-01-15,17.44,2.2,NA,NA,NA,NA,NA,NA
1982-01-22,17.61,2.2,NA,NA,NA,NA,NA,NA
1982-01-29,17.59,2.2,NA,NA,NA,NA,NA,NA
1982-02-05,17.56,2.2,NA,NA,NA,NA,NA,NA
1982-02-12,17.65,2.2,NA,NA,NA,NA,NA,NA
1982-02-19,17.66,2.3,NA,NA,NA,NA,NA,NA
1982-02-26,17.52,2.2,NA,NA,NA,NA,NA,NA
1982-03-05,17.29,2.2,NA,NA,NA,NA,NA,NA
1982-03-12,17.19,2.3,NA,NA,NA,NA,NA,NA
1982-03-19,17.12,2.2,NA,NA,NA,NA,NA,NA
1982-03-26,17.04,2.2,NA,NA,NA,NA,NA,NA
1982-04-02,16.95,2.2,NA,NA,NA,NA,NA,NA
1982-04-09,16.91,2.3,NA,NA,NA,NA,NA,NA
1982-04-16,16.93,2.3,NA,NA,NA,NA,NA,NA
1982-04-23,16.86,2.3,NA,NA,NA,NA,NA,NA
1982-04-30,16.81,2.4,NA,NA,NA,NA,NA,NA
1982-05-07,16.78,2.3,NA,NA,NA,NA,NA,NA
1982-05-14,16.63,2.4,NA,NA,NA,NA,NA,NA
1982-05-21,16.67,2.3,NA,NA,NA,NA,NA,NA
1982-05-28,16.63,2.3,NA,NA,NA,NA,NA,NA
1982-06-04,16.65,2.2,NA,NA,NA,NA,NA,NA
1982-06-11,16.7,2.2,NA,NA,NA,NA,NA,NA
1982-06-18,16.71,2.1,NA,NA,NA,NA,NA,NA
1982-06-25,16.73,2.3,NA,NA,NA,NA,NA,NA
1982-07-02,16.87,2.3,NA,NA,NA,NA,NA,NA
1982-07-09,16.93,2.3,NA,NA,NA,NA,NA,NA
1982-07-16,16.88,2.2,NA,NA,NA,NA,NA,NA
1982-07-23,16.75,2.2,NA,NA,NA,NA,NA,NA
1982-07-30,16.65,2.2,NA,NA,NA,NA,NA,NA
1982-08-06,16.55,2.2,NA,NA,NA,NA,NA,NA
1982-08-13,16.44,2.2,NA,NA,NA,NA,NA,NA
1982-08-20,16.21,2.3,NA,NA,NA,NA,NA,NA
1982-08-27,15.88,2.3,NA,NA,NA,NA,NA,NA
1982-09-03,15.59,2.2,NA,NA,NA,NA,NA,NA
1982-09-10,15.56,2.3,NA,NA,NA,NA,NA,NA
1982-09-17,15.38,2.3,NA,NA,NA,NA,NA,NA
1982-09-24,15.19,2.2,NA,NA,NA,NA,NA,NA
1982-10-01,15.13,2.3,NA,NA,NA,NA,NA,NA
1982-10-08,14.96,2.2,NA,NA,NA,NA,NA,NA
1982-10-15,14.6,2.2,NA,NA,NA,NA,NA,NA
1982-10-22,14.2,2.2,NA,NA,NA,NA,NA,NA
1982-10-29,14.15,2.2,NA,NA,NA,NA,NA,NA
1982-11-05,13.91,2.2,NA,NA,NA,NA,NA,NA
1982-11-12,13.84,2.3,NA,NA,NA,NA,NA,NA
1982-11-19,13.78,2.1,NA,NA,NA,NA,NA,NA
1982-11-26,13.77,2.1,NA,NA,NA,NA,NA,NA
1982-12-03,13.66,2.2,NA,NA,NA,NA,NA,NA
1982-12-10,13.66,2.2,NA,NA,NA,NA,NA,NA
1982-12-17,13.63,2.2,NA,NA,NA,NA,NA,NA
1982-12-24,13.6,2.1,NA,NA,NA,NA,NA,NA
1982-12-31,13.57,2.3,NA,NA,NA,NA,NA,NA
1983-01-07,13.46,2.2,NA,NA,NA,NA,NA,NA
1983-01-14,13.31,2.2,NA,NA,NA,NA,NA,NA
1983-01-21,13.12,2.2,NA,NA,NA,NA,NA,NA
1983-01-28,13.1,2,NA,NA,NA,NA,NA,NA
1983-02-04,13.06,2,NA,NA,NA,NA,NA,NA
1983-02-11,13.06,1.9,NA,NA,NA,NA,NA,NA
1983-02-18,13.07,2,NA,NA,NA,NA,NA,NA
1983-02-25,12.98,1.9,NA,NA,NA,NA,NA,NA
1983-03-04,12.74,2.1,NA,NA,NA,NA,NA,NA
1983-03-11,12.79,2.1,NA,NA,NA,NA,NA,NA
1983-03-18,12.81,2.2,NA,NA,NA,NA,NA,NA
1983-03-25,12.86,2.2,NA,NA,NA,NA,NA,NA
1983-04-01,12.82,2.2,NA,NA,NA,NA,NA,NA
1983-04-08,12.82,2.2,NA,NA,NA,NA,NA,NA
1983-04-15,12.79,2.2,NA,NA,NA,NA,NA,NA
1983-04-22,12.75,2,NA,NA,NA,NA,NA,NA
1983-04-29,12.73,2.1,NA,NA,NA,NA,NA,NA
1983-05-06,12.71,2.1,NA,NA,NA,NA,NA,NA
1983-05-13,12.59,2.1,NA,NA,NA,NA,NA,NA
1983-05-20,12.55,2.1,NA,NA,NA,NA,NA,NA
1983-05-27,12.68,2.1,NA,NA,NA,NA,NA,NA
1983-06-03,12.74,2.2,NA,NA,NA,NA,NA,NA
1983-06-10,12.82,2,NA,NA,NA,NA,NA,NA
1983-06-17,12.96,2.1,NA,NA,NA,NA,NA,NA
1983-06-24,12.96,2.1,NA,NA,NA,NA,NA,NA
1983-07-01,13.08,2.1,NA,NA,NA,NA,NA,NA
1983-07-08,13.3,2.1,NA,NA,NA,NA,NA,NA
1983-07-15,13.5,2.2,NA,NA,NA,NA,NA,NA
1983-07-22,13.58,2.2,NA,NA,NA,NA,NA,NA
1983-07-29,13.65,2.2,NA,NA,NA,NA,NA,NA
1983-08-05,13.73,2.2,NA,NA,NA,NA,NA,NA
1983-08-12,13.84,2.2,NA,NA,NA,NA,NA,NA
1983-08-19,13.89,2.2,NA,NA,NA,NA,NA,NA
1983-08-26,13.78,2.2,NA,NA,NA,NA,NA,NA
1983-09-02,13.77,2.2,NA,NA,NA,NA,NA,NA
1983-09-09,13.77,2.2,NA,NA,NA,NA,NA,NA
1983-09-16,13.72,2.2,NA,NA,NA,NA,NA,NA
1983-09-23,13.72,2.2,NA,NA,NA,NA,NA,NA
1983-09-30,13.65,2.2,NA,NA,NA,NA,NA,NA
1983-10-07,13.59,2.2,NA,NA,NA,NA,NA,NA
1983-10-14,13.6,2.2,NA,NA,NA,NA,NA,NA
1983-10-21,13.52,2.1,NA,NA,NA,NA,NA,NA
1983-10-28,13.43,2,NA,NA,NA,NA,NA,NA
1983-11-04,13.42,2.1,NA,NA,NA,NA,NA,NA
1983-11-11,13.47,2.1,NA,NA,NA,NA,NA,NA
1983-11-18,13.42,2.2,NA,NA,NA,NA,NA,NA
1983-11-25,13.43,2.1,NA,NA,NA,NA,NA,NA
1983-12-02,13.41,2.1,NA,NA,NA,NA,NA,NA
1983-12-09,13.38,2.2,NA,NA,NA,NA,NA,NA
1983-12-16,13.42,2.1,NA,NA,NA,NA,NA,NA
1983-12-23,13.46,2.2,NA,NA,NA,NA,NA,NA
1983-12-30,13.43,2.2,NA,NA,NA,NA,NA,NA
1984-01-06,13.43,2.3,NA,NA,NA,NA,NA,NA
1984-01-13,13.4,2.3,NA,NA,NA,NA,NA,NA
1984-01-20,13.35,2.3,NA,NA,NA,NA,NA,NA
1984-01-27,13.29,2.3,NA,NA,NA,NA,NA,NA
1984-02-03,13.26,2.5,NA,NA,NA,NA,NA,NA
1984-02-10,13.23,2.4,NA,NA,NA,NA,NA,NA
1984-02-17,13.19,2.4,NA,NA,NA,NA,NA,NA
1984-02-24,13.25,2.4,NA,NA,NA,NA,NA,NA
1984-03-02,13.23,2.4,NA,NA,NA,NA,NA,NA
1984-03-09,13.3,2.4,NA,NA,NA,NA,NA,NA
1984-03-16,13.37,2.4,NA,NA,NA,NA,NA,NA
1984-03-23,13.48,2.4,NA,NA,NA,NA,NA,NA
1984-03-30,13.55,2.4,NA,NA,NA,NA,NA,NA
1984-04-06,13.63,2.4,NA,NA,NA,NA,NA,NA
1984-04-13,13.58,2.4,NA,NA,NA,NA,NA,NA
1984-04-20,13.67,2.5,NA,NA,NA,NA,NA,NA
1984-04-27,13.73,2.4,NA,NA,NA,NA,NA,NA
1984-05-04,13.78,2.4,NA,NA,NA,NA,NA,NA
1984-05-25,13.87,2.5,NA,NA,NA,NA,NA,NA
1984-05-18,14.04,2.5,NA,NA,NA,NA,NA,NA
1984-05-25,14.08,2.5,NA,NA,NA,NA,NA,NA
1984-06-01,14.29,2.4,NA,NA,NA,NA,NA,NA
1984-06-08,14.33,2.5,NA,NA,NA,NA,NA,NA
1984-06-15,14.47,2.5,NA,NA,NA,NA,NA,NA
1984-06-22,14.49,2.5,NA,NA,NA,NA,NA,NA
1984-06-29,14.5,2.5,NA,NA,NA,NA,NA,NA
1984-07-06,14.66,2.4,NA,NA,NA,NA,NA,NA
1984-07-13,14.68,2.6,NA,NA,NA,NA,NA,NA
1984-07-20,14.66,2.6,NA,NA,NA,NA,NA,NA
1984-07-27,14.67,2.7,NA,NA,NA,NA,NA,NA
1984-08-03,14.68,2.6,NA,NA,NA,NA,NA,NA
1984-08-10,14.54,2.6,NA,NA,NA,NA,NA,NA
1984-08-17,14.39,2.6,NA,NA,NA,NA,NA,NA
1984-08-24,14.36,2.6,NA,NA,NA,NA,NA,NA
1984-08-31,14.38,2.6,NA,NA,NA,NA,NA,NA
1984-09-07,14.42,2.6,NA,NA,NA,NA,NA,NA
1984-09-14,14.43,2.5,NA,NA,NA,NA,NA,NA
1984-09-21,14.29,2.7,NA,NA,NA,NA,NA,NA
1984-09-28,14.26,2.5,NA,NA,NA,NA,NA,NA
1984-10-05,14.18,2.6,NA,NA,NA,NA,NA,NA
1984-10-12,14.19,2.6,NA,NA,NA,NA,NA,NA
1984-10-19,14.1,2.6,NA,NA,NA,NA,NA,NA
1984-10-26,14.05,2.6,NA,NA,NA,NA,NA,NA
1984-11-02,13.85,2.5,NA,NA,NA,NA,NA,NA
1984-11-09,13.74,2.5,NA,NA,NA,NA,NA,NA
1984-11-16,13.63,2.5,NA,NA,NA,NA,NA,NA
1984-11-23,13.55,2.5,NA,NA,NA,NA,NA,NA
1984-11-30,13.42,2.4,NA,NA,NA,NA,NA,NA
1984-12-07,13.2,2.6,NA,NA,NA,NA,NA,NA
1984-12-14,13.2,2.5,NA,NA,NA,NA,NA,NA
1984-12-21,13.18,2.5,NA,NA,NA,NA,NA,NA
1984-12-28,13.14,2.5,NA,NA,NA,NA,NA,NA
1985-01-04,13.1,2.5,NA,NA,NA,NA,NA,NA
1985-01-11,13.12,2.5,NA,NA,NA,NA,NA,NA
1985-01-18,13.12,2.5,NA,NA,NA,NA,NA,NA
1985-01-25,12.96,2.5,NA,NA,NA,NA,NA,NA
1985-02-01,12.93,2.4,NA,NA,NA,NA,NA,NA
1985-02-08,12.91,2.4,NA,NA,NA,NA,NA,NA
1985-02-15,12.9,2.5,NA,NA,NA,NA,NA,NA
1985-02-22,12.94,2.4,NA,NA,NA,NA,NA,NA
1985-03-01,13.02,2.5,NA,NA,NA,NA,NA,NA
1985-03-08,13.1,2.6,NA,NA,NA,NA,NA,NA
1985-03-15,13.2,2.6,NA,NA,NA,NA,NA,NA
1985-03-22,13.24,2.7,NA,NA,NA,NA,NA,NA
1985-03-29,13.29,2.7,NA,NA,NA,NA,NA,NA
1985-04-05,13.27,2.7,NA,NA,NA,NA,NA,NA
1985-04-12,13.23,2.6,NA,NA,NA,NA,NA,NA
1985-04-19,13.16,2.6,NA,NA,NA,NA,NA,NA
1985-04-26,13.12,2.5,NA,NA,NA,NA,NA,NA
1985-05-03,13.07,2.6,NA,NA,NA,NA,NA,NA
1985-05-10,13.02,2.6,NA,NA,NA,NA,NA,NA
1985-05-17,12.94,2.5,NA,NA,NA,NA,NA,NA
1985-05-24,12.83,2.5,NA,NA,NA,NA,NA,NA
1985-05-31,12.71,2.5,NA,NA,NA,NA,NA,NA
1985-06-07,12.39,2.5,NA,NA,NA,NA,NA,NA
1985-06-14,12.27,2.5,NA,NA,NA,NA,NA,NA
1985-06-21,12.05,2.6,NA,NA,NA,NA,NA,NA
1985-06-28,12.15,2.5,NA,NA,NA,NA,NA,NA
1985-07-05,12.13,2.6,NA,NA,NA,NA,NA,NA
1985-07-12,12.03,2.5,NA,NA,NA,NA,NA,NA
1985-07-19,11.94,2.4,NA,NA,NA,NA,NA,NA
1985-07-26,12.03,2.6,NA,NA,NA,NA,NA,NA
1985-08-02,12.17,2.6,NA,NA,NA,NA,NA,NA
1985-08-09,12.23,2.6,NA,NA,NA,NA,NA,NA
1985-08-16,12.24,2.7,NA,NA,NA,NA,NA,NA
1985-08-23,12.18,2.5,NA,NA,NA,NA,NA,NA
1985-08-30,12.11,2.7,NA,NA,NA,NA,NA,NA
1985-09-06,12.15,2.5,NA,NA,NA,NA,NA,NA
1985-09-13,12.24,2.5,NA,NA,NA,NA,NA,NA
1985-09-20,12.21,2.5,NA,NA,NA,NA,NA,NA
1985-09-27,12.17,2.7,NA,NA,NA,NA,NA,NA
1985-10-04,12.17,2.6,NA,NA,NA,NA,NA,NA
1985-10-11,12.17,2.5,NA,NA,NA,NA,NA,NA
1985-10-18,12.13,2.5,NA,NA,NA,NA,NA,NA
1985-10-25,12.07,2.4,NA,NA,NA,NA,NA,NA
1985-11-01,12.01,2.4,NA,NA,NA,NA,NA,NA
1985-11-08,11.9,2.4,NA,NA,NA,NA,NA,NA
1985-11-15,11.79,2.4,NA,NA,NA,NA,NA,NA
1985-11-22,11.64,2.3,NA,NA,NA,NA,NA,NA
1985-11-29,11.58,2.3,NA,NA,NA,NA,NA,NA
1985-12-06,11.5,2.4,NA,NA,NA,NA,NA,NA
1985-12-13,11.31,2.3,NA,NA,NA,NA,NA,NA
1985-12-20,11.14,2.3,NA,NA,NA,NA,NA,NA
1985-12-27,11.09,2.2,NA,NA,NA,NA,NA,NA
1986-01-03,10.81,2.3,NA,NA,NA,NA,NA,NA
1986-01-10,10.77,2.3,NA,NA,NA,NA,NA,NA
1986-01-17,10.99,2.4,NA,NA,NA,NA,NA,NA
1986-01-24,10.97,2.3,NA,NA,NA,NA,NA,NA
1986-01-31,10.89,2.4,NA,NA,NA,NA,NA,NA
1986-02-07,10.85,2.3,NA,NA,NA,NA,NA,NA
1986-02-14,10.8,2.4,NA,NA,NA,NA,NA,NA
1986-02-21,10.68,2.3,NA,NA,NA,NA,NA,NA
1986-02-28,10.51,2.2,NA,NA,NA,NA,NA,NA
1986-03-07,10.2,2.3,NA,NA,NA,NA,NA,NA
1986-03-14,10.01,2.3,NA,NA,NA,NA,NA,NA
1986-03-21,10.01,2.3,NA,NA,NA,NA,NA,NA
1986-03-28,10.1,2.3,NA,NA,NA,NA,NA,NA
1986-04-04,9.99,2.3,NA,NA,NA,NA,NA,NA
1986-04-11,9.98,2.3,NA,NA,NA,NA,NA,NA
1986-04-18,9.92,2.1,NA,NA,NA,NA,NA,NA
1986-04-25,9.86,2.2,NA,NA,NA,NA,NA,NA
1986-05-02,9.9,2.2,NA,NA,NA,NA,NA,NA
1986-05-09,10,2.2,NA,NA,NA,NA,NA,NA
1986-05-16,10.08,2.3,NA,NA,NA,NA,NA,NA
1986-05-23,10.36,2.4,NA,NA,NA,NA,NA,NA
1986-05-30,10.38,2.3,NA,NA,NA,NA,NA,NA
1986-06-06,10.74,2.3,NA,NA,NA,NA,NA,NA
1986-06-13,10.76,2.3,NA,NA,NA,NA,NA,NA
1986-06-20,10.61,2.2,NA,NA,NA,NA,NA,NA
1986-06-27,10.62,2.2,NA,NA,NA,NA,NA,NA
1986-07-04,10.61,2.2,NA,NA,NA,NA,NA,NA
1986-07-11,10.59,2.2,NA,NA,NA,NA,NA,NA
1986-07-18,10.43,2.2,NA,NA,NA,NA,NA,NA
1986-07-25,10.4,2.2,NA,NA,NA,NA,NA,NA
1986-08-01,10.4,2.1,NA,NA,NA,NA,NA,NA
1986-08-08,10.4,2.2,NA,NA,NA,NA,NA,NA
1986-08-15,10.23,2.1,NA,NA,NA,NA,NA,NA
1986-08-22,10.04,2.1,NA,NA,NA,NA,NA,NA
1986-08-29,9.93,2.1,NA,NA,NA,NA,NA,NA
1986-09-05,9.9,2.2,NA,NA,NA,NA,NA,NA
1986-09-12,9.96,2.1,NA,NA,NA,NA,NA,NA
1986-09-19,10.07,2.1,NA,NA,NA,NA,NA,NA
1986-09-26,10.1,2.2,NA,NA,NA,NA,NA,NA
1986-10-03,10.08,2.1,NA,NA,NA,NA,NA,NA
1986-10-10,9.99,2.1,NA,NA,NA,NA,NA,NA
1986-10-17,9.96,2.1,NA,NA,NA,NA,NA,NA
1986-10-24,9.95,2.2,NA,NA,NA,NA,NA,NA
1986-10-31,9.89,2.1,NA,NA,NA,NA,NA,NA
1986-11-07,9.83,2.1,NA,NA,NA,NA,NA,NA
1986-11-14,9.81,2,NA,NA,NA,NA,NA,NA
1986-11-21,9.64,2,NA,NA,NA,NA,NA,NA
1986-11-28,9.5,2,NA,NA,NA,NA,NA,NA
1986-12-05,9.3,2,NA,NA,NA,NA,NA,NA
1986-12-12,9.35,2.1,NA,NA,NA,NA,NA,NA
1986-12-19,9.3,2.1,NA,NA,NA,NA,NA,NA
1986-12-26,9.29,2.1,NA,NA,NA,NA,NA,NA
1987-01-02,9.37,2.2,NA,NA,NA,NA,NA,NA
1987-01-09,9.32,2.2,NA,NA,NA,NA,NA,NA
1987-01-16,9.21,2.1,NA,NA,NA,NA,NA,NA
1987-01-23,9.04,2.2,NA,NA,NA,NA,NA,NA
1987-01-30,9.08,2.2,NA,NA,NA,NA,NA,NA
1987-02-06,9.06,2.1,NA,NA,NA,NA,NA,NA
1987-02-13,9.09,2.1,NA,NA,NA,NA,NA,NA
1987-02-20,9.11,2.1,NA,NA,NA,NA,NA,NA
1987-02-27,9.07,2.1,NA,NA,NA,NA,NA,NA
1987-03-06,9.03,2,NA,NA,NA,NA,NA,NA
1987-03-13,9.05,2.1,NA,NA,NA,NA,NA,NA
1987-03-20,9.03,2.1,NA,NA,NA,NA,NA,NA
1987-03-27,9.03,2,NA,NA,NA,NA,NA,NA
1987-04-03,9.26,2.2,NA,NA,NA,NA,NA,NA
1987-04-10,9.43,2.3,NA,NA,NA,NA,NA,NA
1987-04-17,10.27,2.3,NA,NA,NA,NA,NA,NA
1987-04-24,10.37,2.2,NA,NA,NA,NA,NA,NA
1987-05-01,10.47,2.2,NA,NA,NA,NA,NA,NA
1987-05-08,10.52,2.2,NA,NA,NA,NA,NA,NA
1987-05-15,10.48,2.3,NA,NA,NA,NA,NA,NA
1987-05-22,10.81,2.3,NA,NA,NA,NA,NA,NA
1987-05-29,10.7,2.3,NA,NA,NA,NA,NA,NA
