show,synopsis
Beauty and the Beast,NA
The Flowering Peach,Clifford Odets comically reimagines the Biblical Noah and his family debating the coming Great Flood — and then struggling to survive it on the ark they have built.
A Little More Magic,"The Canadian black magic troupe Famous People Players manipulate puppet versions of well-known figures, using ultraviolet light to create effects in which the puppets become invisible but the objects they are holding continue to be seen."
Jackie Mason: Politically Incorrect,The controversial comedian Jackie Mason attacks perceptions of cultural stereotypes and addresses instances in which he has taken heat publicly for addressing those stereotypes.
Passion,NA
Medea,"Eugenie Leontovich freely adapts the Robinson Jeffers version of Medea, the Euripedes tragedy about a vengeful sorceress who is scorned by the handsome young warrior she loves and has helped succeed."
Picnic,"A sexy drifter shakes up a Kansas town, particularly its female inhabitants, including a beautiful young girl who yearns for a more exciting life, her plain and bookish sister, and a moralistic but sexually frustrated schoolteacher."
"Twilight: Los Angeles, 1992","Anna Deavere Smith examines the aftermath of the Rodney King riots in Los Angeles, in a one-woman show in which she impersonates many of the people she interviewed about the event."
An Inspector Calls,"An inspector visits an engagement party in a middle-class home in the English countryside to question the guests about the recent suicide of a young woman, in J.B. Priestly's thriller."
Broken Glass,"A Jewish couple considers their lives and their pasts in 1938 Brooklyn, as storm clouds gather in Nazi Germany."
Sally Marr...and Her Escorts,"Sally Marr, the comedienne who was the mother of Lenny Bruce, gives a course in standup comedy that leads to recollections of the pain in her own life that fostered her standup persona."
The Best Little Whorehouse Goes Public,"In this sequel to The Best Little Whorehouse in Texas, Miss Mona is asked by the IRS to run the Stallion Fields brothel in Las Vegas, but must contend with right-wing politician A. Harry Hardast's efforts to close it."
The Rise and Fall of Little Voice,"A shy, working-class English girl with the extraordinary ability to mimic the pop singers from her dead father's record collection may be a meal ticket for a low-rent agent, even as the girl's abusive mother hopes to land the agent as a husband."
Grease,NA
Hedda Gabler,"Ibsen's Hedda Gabler presents a psychological study of a cultivated woman, recently returned from her honeymoon, whose boredom and dissatisfaction in a stifling environment lead her to destroy others — and herself."
Ian McKellen: A Knight Out at the Lyceum,Sir Ian McKellen recalls his personal journey as a gay man and actor in this autobiographical one-man show.
"Philadelphia, Here I Come!","Gareth O'Donnell leaves his life in Ireland behind for fame and fortune in America, expressing his feelings through his two sides — the shy and dutiful public side and the angry, defiant private side — in Brian Friel's comedy."
Show Boat,"Jerome Kern and Oscar Hammerstein II's groundbreaking musical version of Edna Ferber's novel examines the lives of Cap'n Andy and his troupe of traveling show boat performers, including his naïve daughter Magnolia, her gambling husband Gaylord Ravenal, the tragic mixed-race actress Julie, and black stevedore Joe, who marvels at the constancy of the ""Ol' Man River"" they travel on."
The Glass Menagerie,"Two-time Academy Award-winner Sally Field and two-time Tony Award-winner Joe Mantello return to the Broadway stage to star in Tennessee Williams’s most cherished play, The Glass Menagerie. Tony Award winner Sam Gold (Fun Home) will direct the production, a transfer from a Dutch production at Toneelgroep Amsterdam that garnered rave reviews and massive international attention."
Sunset Boulevard,"In her mansion on Sunset Boulevard, faded, silent-screen goddess, Norma Desmond, lives in a fantasy world. Impoverished screen writer, Joe Gillis, on the run from debt collectors, stumbles into her reclusive world. Persuaded to work on Norma’s ‘masterpiece’, a film script that she believes will put her back in front of the cameras, he is seduced by her and her luxurious life-style. Joe becomes entrapped in a claustrophobic world until his love for another woman leads him to try and break free with dramatic consequences."
The Shadow Box,"Three terminally ill patients and their family members prepare to face the inevitable in the same hospital, in Michael Cristofer's Pulitzer Prize and Tony Award-winning play."
Basia on Broadway,Polish pop-jazz singer Basia performs a concert of her material on Broadway.
"The Flying Karamazov Brothers ""Do the Impossible""","The popular juggling performers juggle objects of all kinds, many of which are brought onstage from volunteers in the audience."
What's Wrong with This Picture?,"A dead housewife comes back to haunt her family, in Donald Margulies' dark comedy."
A Tuna Christmas,"Two actors play all of the crazy citizens of Tuna, Texas, as they prepare for the town's annual Christmas festivities."
Comedy Tonight,"This vaudeville-style evening features four comics — Mort Sahl, Dorothy Loudon, Joy Behar and Michael Davis."
The Marriage of Kitty,NA
Love! Valour! Compassion!,"Eight gay men confront their lives, loves and friendships over three successive weekends at a farmhouse in Duchess County, New York."
Uncle Vanya,NA
Smokey Joe's Cafe,"This revue of the beloved rock 'n' roll songs written by Jerry Leiber and Mike Stoller features ""Love Potion #9,"" ""On Broadway,"" ""I'm a Woman,"" ""Yakety Yak,"" and more."
The Heiress,NA
Arcadia,NA
Rob Becker's Defending the Caveman,Comedian Rob Becker explores the differences between men and women in this evening of standup.
How to Succeed in Business Without Really Trying,"Window-washer J. Pierrepont Finch schemes his way to the top of the World Wide Wicket Corporation in Frank Loesser, Abe Burrows, Jack Weinstock and Willie Gilbert's musical satire of big business."
Translations,NA
Having Our Say,"African-American sisters Sadie and Bessie Delaney, both over 100 years old, tell their stories, including growing up as the daughters of a former slave turned respected professor, maintaining professional careers and integrating a New York suburb, in this adaptation of the real-life sisters' book of the same name."
Gentlemen Prefer Blondes,Gold-digging showgirl Lorelei Lee and her friend Dorothy set out to snare wealthy husbands on a luxury cruise in this musical version of the Anita Loos novel.
A Month in the Country,Natalya discovers that she is passionately in love with her son's tutor while spending a month on a country estate in Ivan Turgenev's 1872 play.
Indiscretions,"In Jeremy Sams' translation of Jean Cocteau's Les Enfants Terribles, Michael announces he has fallen in love to his dysfunctional family, who scheme to stop his affair."
My Thing of Love,"A suburban marriage is threatened when the wife finds out about her husband's affair, in Alexandra Gersten's dark comedy."
On the Waterfront,"In this stage adaptation of the 1954 film, dock worker Terry Molloy finds the courage to inform on Johnny Friendly, the mob boss who terrorizes the docks with threatening crimes."
The Rose Tattoo,A Sicilian seamstress mourning her husband's death finds love again with a passionate truck driver.
Chronicle of a Death Foretold,"In this musical adaptation of the Gabriel Garcia Marquez novel, a bridegroom rejects his bride when he discovers she is not a virgin, forcing her brothers to seek revenge on her former lover to preserve the family honor."
Buttons on Broadway,Veteran comedian and Academy Award-winning actor Red Buttons performs an evening of standup and song sprinkled with anecdotes about his life and friends.
The Play's the Thing,"In Ferenc Molnar's farce, a young playwright is distraught when he overhears the actress he loves having an affair with another man. His mentor must convince him that she is only rehearsing a play — and that he must write her a better one."
Company,The Ukrainian dance company founded by Pavel Virsky performs an evening of the folk dances of their country.
Moon Over Buffalo,"George and Charlotte Hay, a husband-and-wife team of actors, struggle to perform Cyrano de Bergerac and Private Lives in repertory while dealing with family crises and the possibility of a Hollywood director's visit."
Patti LuPone on Broadway,"Patti LuPone performs a concert of pop songs and standards, ranging from Kurt Weill to James Taylor, and highlights from her Tony Award-winning Broadway career, with the Mermen quartet of backup singers."
Swinging on a Star,Hollywood songwriter Johnny Burke's songs illustrate different aspects of American life from the 1930s through the 1950s.
Victor / Victoria,"A down-on-her-luck singer is convinced by a gay impresario to masquerade as a female impersonator, becoming a huge success in Paris nightclubs and attracting the attentions of a Chicago gangster, in the musical version of the 1982 film."
"Hello, Dolly!","A meddlesome matchmaker brings together the young clerk of a wealthy Yonkers merchant and his assistant with a widowed milliner and her assistant, while making sure she herself gets to marry the merchant, in Jerry Herman and Michael Stewart's musical adaptation of Thornton Wilder's The Matchmaker."
The Tempest,NA
Master Class,"Terrence McNally's Tony Award-winning play is based on the legendary series of master classes given by opera diva Maria Callas at Juilliard. In the play, Callas berates her students as much as she encourages them and confronts the disappointments in her own life and her relationship with the shipping tycoon Aristotle Onassis."
Sacrilege,"Sister Grace, an outspoken nun who serves as a drug counselor in SoHo and is known for discussing the church's controversial stance on many issues, gets in hot water with the Pope when she suggests that women should be allowed to join the priesthood."
Danny Gans on Broadway: The Man of Many Voices,"Acclaimed impressionist Danny Gans brings his impersonations of Frank Sinatra, Sarah Vaughan, George Burns and more to Broadway."
Racing Demon,"An older, spiritually doubting member of the Church of England's clergy competes with a brash young evangelical for the souls of the people in a working-class neighborhood in South London."
Holiday,NA
The School for Scandal,NA
The Father,NA
Bus Stop,"A bus gets snowed in at a Kansas diner, forcing disillusioned saloon singer Cherie to deal a little longer with Bo Decker, the boisterous but naïve cowboy who insists on marrying her, as the other passengers make connections and confront the disappointments in their own lives."
Getting Away with Murder,"This non-musical theatre piece by Stephen Sondheim, co-written with George Furth, is a thriller that puts seven patients of a psychiatrist together for a session on the top floor of an apartment building, with the doctor permanently unavailable."
Inherit the Wind,"This courtroom drama is based on the 1925 Scopes ""Monkey Trial,"" in which a Tennessee teacher was charged with teaching that man evolved from apes, instead of state-mandated Creationism. The drama contains a powerful confrontation between a character based on William Jennings Bryan, who believes only what he reads in the Bible, and another based on Clarence Darrow, who defends science and open intellectual inquiry."
Seven Guitars,"In Pittsburgh's Hill District in 1948, an aspiring blues musician returns home for the woman he loves, an ailing old man hopes for an heir to carry on his name, and three women cope with betrayal and disappointment."
A Funny Thing Happened on the Way to the Forum,"Ancient Roman slave Pseudolus schemes to win his freedom by helping his young master Hero win the beautiful courtesan Philia, who is betrothed to the egotistical soldier Miles Gloriosus, in this musical farce based on the plays of Plautus."
A Midsummer Night's Dream,NA
Love Thy Neighbor,"Jackie Mason skewers Jewish-Gentile relations, celebrities, and Internet addicts in this one-man comedy show."
State Fair,"The Frake family journeys to the annual state fair in Iowa, where the parents enter hog contests and mincemeat and jelly competitions and the children find romance with big-city types, in this stage adaptation of Rodgers and Hammerstein's 1945 film musical."
A Delicate Balance,"Suburban couple Agnes and Tobias, who live with Agnes's alcoholic sister Claire, must cope with the unexpected arrivals of their friends Harry and Edna and their daughter Julia, in Edward Albee's Pulitzer Prize-winning play."
The Apple Doesn't Fall...,A woman reestablishes a relationship with her Alzheimer's-afflicted mother in Trish Vradenburg's comedy-drama.
Big,NA
"Bring in 'da Noise, Bring in 'da Funk","Songs and dance, particularly innovative tap stylings led by choreographer Savion Glover, highlight the history of black men in America from slavery to the present day."
Buried Child,"In Sam Shepard's Pulitzer Prize-winning play, Vince returns to his childhood farm with his girlfriend, only to find emotionally and physically crippled family members and a building that is falling apart and hiding secrets, rather than the idyllic place of his childhood."
Jack: A Night on the Town with John Barrymore,"Nicol Williamson co-devised and starred in this one-man play, in which actor John Barrymore recites passages from some of his most legendary performances, including Richard III and Hamlet, and tells anecdotes from his colorful life."
Rent,NA
An Ideal Husband,"Sir Robert Chiltern, a newly married and upstanding politician, is threatened when a past scandal is revealed and he must turn to his old friend (who is his wife's former lover) for help, in Oscar Wilde's satire of politics and social intrigue."
Tartuffe,A religious conman infiltrates the household of a gullible man and his exasperated family in Moliere's 1664 comedy.
A Thousand Clowns,A nonconformist television writer's custody of his young nephew is threatened when the Child Welfare Bureau comes calling.
Hughie,An evening of two one-act plays: Eugene O'Neill's Hughie and David Scott Milton's Duet.
Summer and Smoke,"A repressed minister's daughter nurses a longtime unrequited love for the boy next door, who grows up into a playboy whose nature is completely at odds with hers."
Sex and Longing,"Nymphomaniac Lulu and her gay roommate Justin have just published a coffee table book detailing their many sexual encounters, getting them into hot water with a moralistic senator's wife and minister, in Christopher Durang's comedy."
Skylight,"On a bitterly cold London evening, schoolteacher Kyra Hollis receives an unexpected visit from her former lover, Tom Sergeant, a successful and charismatic restaurateur whose wife has recently died. As the evening progresses, the two attempt to rekindle their once passionate relationship, only to find themselves locked in a dangerous battle of opposing ideologies and mutual desires."
Chicago,"A true New York City institution, Chicago has everything that makes Broadway great: a universal tale of fame, fortune and all that jazz; one show-stopping song after another; and the most astonishing dancing you’ve ever seen. Now in its 20th year on Broadway, Chicago is the longest-running American musical in Broadway history and the second longest-running Broadway production ever."
Present Laughter,"Noel Coward's totally-irresistible and semi-autobiographical comedy follows a self-obsessed actor in the midst of a mid-life crisis. Freely indulging his considerable appetite for wine, women and sleeping late, the theatre’s favorite leading man suddenly finds himself caught between fawning ingénues, crazed playwrights, secret trysts and unexpected twists."
It's a Slippery Slope,"Spalding Gray's one-man show is based on a year in his life, in which he married and then quickly divorced his longtime companion, moved in with a girlfriend who bore him a son, and learned to ski for the first time."
The Rehearsal,A countess persuades her husband's best friend to join her in her disapproval of his latest mistress as they all retreat to a chateau to stage Marivaux's The Double Inconstancy.
Juan Darien,"This tale of a jaguar cub who transforms into a boy in the South American jungle is brought to theatrical life using puppetry, masks, and other innovations courtesy of director Julie Taymor and composer Elliot Goldenthal."
"Julia Sweeney's God Said ""Ha!""",Former Saturday Night Live star Julia Sweeney examines her family's reactions to her brother's lymphoma diagnosis and her own battle with cervical cancer in dark comic terms.
Once Upon a Mattress,"In this musical version of The Princess and the Pea, Princess Winnifred is an ungainly, brash girl competing for the hand of Prince Dauntless, whose domineering mother Queen Aggravain has declared he must marry a ""true"" princess before anyone else in the kingdom can marry."
David Copperfield: Dreams and Nightmares,Magician David Copperfield uses his childhood dreams and nightmares as the framework for this evening of tricks and spectacular special effects.
The Three Sisters,"Sisters Olga, Masha and Irina long to leave their provincial military town for Moscow and grapple with frustrated love and disappointment, in Anton Chekhov's 1901 drama."
"Men Are from Mars, Women Are from Venus","John Gray brings his best-selling book to the stage in an evening that includes anecdotes, celebrity guest couples and advice."
Stanley,"The English artist Stanley Spencer struggles to maintain his traditional style in an art world fixated on the abstract, while dealing with one loving marriage and one stormy one."
The Last Night of Ballyhoo,Alfred Uhry's Tony Award-winning look at anti-semitism in the South centers on the planning of the Atlanta Jewish community's annual Ballyhoo ball during the excitement surrounding the premiere of Gone with the Wind.
Mandy Patinkin in Concert,NA
Play On!,"William Shakespeare's Twelfth Night is re-set in 1940s Harlem to the music of Duke Ellington. In this retelling, would-be songwriter Vy must disguise herself as a man to get her songs heard by bandleader Duke and sung by the Cotton Club's star singer Lady Liv."
Annie,NA
Barrymore,"Nicol Williamson co-devised and starred in this one-man play, in which actor John Barrymore recites passages from some of his most legendary performances, including Richard III and Hamlet, and tells anecdotes from his colorful life."
Dream,NA
The Young Man from Atlanta,"In Horton Foote's Pulitzer Prize-winning play, a middle-aged Texas couple grapples with the mysterious death of their son and holds differing views on the young man from Atlanta, a friend of their son's who is never seen."
An American Daughter,"A candidate for U.S. Surgeon General, who is the daughter of a famous senator, finds her campaign in trouble when a past indiscretion is revealed and treated as a scandal."
Jekyll & Hyde,NA
A Doll's House,NA
Steel Pier,"On the dance marathon circuit of the 1930s, contestant Rita Racine deals with her nefarious promoter boyfriend, until a mysterious pilot partners with her in the contest and teaches her to believe in her own dreams."
Titanic,"Maury Yeston and Peter Stone's musical examines the lives of the passengers aboard the doomed luxury liner Titanic — those in first class, middle class and steerage — in the nights leading up the ship's fatal encounter with an iceberg at sea."
The Gin Game,"An elderly man and woman play repeated games of gin in their retirement home, slowly coming to grips with what is left of their lives in their old age, in Donald L. Coburn's Pulitzer Prize-winning play."
The Little Foxes,"Southern belle Regina Giddens and her brothers scheme to outwit Regina's husband Horace, who opposes their attempts to profit from a cotton factory in partnership with a Chicago businessman, in Lillian Hellman's look at the power of money to destroy lives."
The Life,NA
Candide,"In this musical adaptation of Voltaire's satirical novel, the naïve Candide is separated from his beloved Cunegonde and journeys around the world to find her, retaining his teacher Pangloss's belief that ""this is the best of all possible worlds"" in the face of ever-increasing catastrophes."
London Assurance,London widower Sir Harcourt Courtly falls for a Gloucestershire heiress — the same heiress his son is pursuing — in Dion Boucicault's 1841 comedy.
King David,NA
Forever Tango,"Luis Bravo's dance show, which originated in Argentina, illustrates the history of the tango with a few songs and a lot of fancy footwork."
1776,NA
Twelfth Night,NA
Side Show,"Henry Krieger and Bill Russell's musical spotlights Daisy and Violet Hilton, real-life Siamese twins who were star carnival attractions in the 1930s.  Daisy yearns for greater fame, Violet wants security and a home, and they both hope the show business promoters who are falling for them can give them what they want."
Triumph of Love,"The Greek princess Leonide falls for Agis, the heir to the kingdom Leonide's family took over. To win him, she disguises herself as a boy and deals with Agis's uncle and aunt, who favor reason over passion, in this musical adaptation of the Marivaux farce."
Jackie,NA
The Scarlet Pimpernel,"Foppish British nobleman Sir Percy Blakeney leads a double life as the swashbuckling Scarlet Pimpernel who saves French aristocrats from the revolutionaries' guillotine, in the Frank Wildhorn and Nan Knighton musical version of the Baroness Orczy novel."
The Lion King,"More than 70 million people around the world have experienced the awe-inspiring visual artistry, the unforgettable music and the uniquely theatrical storytelling of this Broadway spectacular – one of the most breathtaking and beloved productions ever to grace the stage. Winner of 6 Tony Awards, including Best Musical and based on the beloved 1994 Disney film, The Lion King brings together one of the most imaginative creative teams on Broadway. Tony Award-winning director Julie Taymor brings to life a story filled with hope and adventure set against an amazing backdrop of stunning visuals."
Ivanov,NA
Proposals,"An elderly divorced man, his daughter and his housekeeper find romance with unexpected guests at a country house in the Poconos in Neil Simon's comedy."
Street Corner Symphony,A group of eight Florida street musicians performs pop and soul songs from the 1960s and 1970s.
The Cherry Orchard,NA
The Old Neighborhood,David Mamet's collection of three autobiographical one-acts follows a middle-aged man's return to the neighborhood where he grew up.
Eugene Onegin,NA
The Diary of Anne Frank,NA
A View from the Bridge,"Eddie Carbone, a Brooklyn laborer, holds family and honor above all else. He and his wife have raised a niece as their own. But his possessive love of his niece drives him to actions that betray his family and his ideals."
The Sunshine Boys,Ex-vaudevillians Willie Clark and Al Lewis reunite for a television special — in spite of the fact that they can't stand each other.
The Capeman,"Paul Simon made his Broadway debut as a composer with this musical based on the true story of Salvador Agron, who murdered two teenagers in the 1950s but turned his life around while in prison. Simon co-wrote the book and lyrics with the poet Derek Walcott."
Ragtime,"Based on the novel by E.L. Doctorow, this musical tapestry depicts an African-American family, a Jewish immigrant family and a wealthy suburban WASP family in turn-of-the-century America."
Patti LaBelle on Broadway,"Grammy Award winner Patti La Belle returns to Broadway for a concert of her greatest hits, old favorites, and selections from her latest album, Flame."
Freak,NA
The Sound of Music,"An Austrian maiden must choose between secular and religious life when her convent sends her to act as nanny to the seven children of a stern navy captain . She falls in love with them, and with him, as Nazi storm clouds gather over her country."
Art,Presented by Parallel Exit
"Ah, Wilderness!","In a small New England town at the turn of the 20th century, an intense, poetic and sensitive young man falls in love, drives his mother crazy, and sparks his parents to recall their own romance and youth."
The Deep Blue Sea,A married woman leaves her husband for a passionate but ultimately tragic relationship with a young pilot.
Golden Child,"Ahn, the ""golden child"" of a polygamous Chinese man, tells her grandson stories of her father's shift toward Western ways, and the effect of this shift on their household."
The Chairs,NA
The Herbal Bed,"Susanna Hall, William Shakespeare's married but unfulfilled daughter, faces a charge of adultery in 1613 England."
Wait Until Dark,"A doll filled with heroin ends up in the apartment of a blind woman, who is terrorized by criminals looking for the doll until she figures out how to fight back."
High Society,"Tracy Lord is marrying again and must deal with her ex-husband, C.K. Dexter Haven, and two intrusive reporters in this stage adaptation of the Cole Porter film musical, based on Philip Barry's play The Philadelphia Story."
Honour,"A real-life scandal in Victorian England, in which a Parliament official's career was ruined by an accusation of adultery, is dramatized."
The Beauty Queen of Leenane,A lonely Irish spinster yearns for a relationship but must cope with the manipulative mother who lives with her.
The Judas Kiss,David Hare's play looks at the esteemed playwright Oscar Wilde on the eve of his arrest for homosexuality and during his exile from the society that once venerated him.
Side Man,NA
An Evening with Jerry Herman,"Composer-lyricist Jerry Herman performs many of his classic songs  on piano, with help from singers Lee Roy Reams and Florence Lacey and Jared Egan on bass."
Jerry Seinfeld: Live on Broadway,"Jerry Seinfeld offers comic observations on contemporary life, from sex to New York cabbies."
Colin Quinn -- An Irish Wake,"Comic actor Colin Quinn brings the inhabitants of his 1970s Brooklyn neighborhood to life, as they deal with the death of local legend Jackie Ryan."
Swan Lake,Director and choreographer Matthew Bourne creates a radical contemporary reinterpretation of the classic Tchaikovsky ballet.
More to Love,Actor-comedian Rob Bartlett wrote and stars in this autobiographical look at a comedian struggling with a midlife crisis and self-doubt.
Footloose,"A rebellious teenager moves to a small middle-American town where dance is forbidden, and encourages his classmates to defy the local pastor and call for a rock'n'roll prom.  A musical version of the 1984 film."
Getting and Spending,A hotshot investment banker accused of insider trading needs the help of a lawyer who is leaving the worldly life behind to live in a monastery.
Little Me,NA
"Mandy Patinkin in Concert: ""Mamaloshen""","Tony Award winner Mandy Patinkin performs Yiddish and Yiddish-American songs loved by Jewish immigrants from Eastern Europe in the late nineteenth and early twentieth centuries, as well as a few contemporary surprises."
A Mom's Life,Kathryn Grody wrote and stars in this one-woman show on the craziness of raising kids while trying to maintain a normal life.
Aznavour,"Legendary French singer-songwriter Charles Aznavour performs many of his classic songs, including ""Yesterday When I Was Young,"" in concert."
I'm Still Here...Damn It!,"Sandra Bernhard headlines this evening of song and comedy, with devastating observations on celebrity and culture."
On the Town,"Three sailors on shore leave in New York City during World War II find romance and adventure while helping one of them track down the elusive Miss Turnstiles poster girl, in the first Broadway musical written by Leonard Bernstein, Betty Comden and Adolph Green."
Parade,NA
Electra,"Eugene O'Neill retells the Greek trilogy The Oresteia as the tale of the Mannon family, who lives in New England just after the Civil War and must cope with incestuous and murderous feelings among their various members."
The Blue Room,"The Blue Room, David Hare's adaptation of Arthur Schnitzler's La Ronde, concerns a daisy-chain series of sexual encounters, with an actor and an actress portraying five characters each. Bringing satiric wit to scenes of romance, sex, isolation and hypocrisy, Hare constructs a window on the most complex of human relationships."
Fosse,NA
Death of a Salesman,Salesman Willy Loman finds his career crumbling and his relationships with his wife and sons severely tested in Arthur Miller's dream-like meditation on the cost of the American dream.
"You're a Good Man, Charlie Brown","Charlie Brown, Lucy, Linus, Sally, Schroeder, and a beagle named Snoopy navigate the joys and pitfalls of childhood: chaotic baseball games, unrequited valentines, World War One flying beagles, and five cent psychiatry."
Annie Get Your Gun,"Sharp-shooting country girl Annie Oakley is such a natural with a gun that she ultimately becomes the star of Buffalo Bill's Wild West show — to the consternation of the man she loves but can out-shoot, Frank Butler."
Night Must Fall,"A disturbed bellboy charms — and murders — several women at an English country house, carrying the head of one of his victims around with him, in Emlyn Williams, thriller, which is based on a real-life case."
Not About Nightingales,An early Tennessee Williams play is based on a true incident in which a prison warden locked some convicts in a section of jail made unbearably hot by radiators.
Band in Berlin,"This musical tells the true story of the Comedian Harmonists, a group of male singers who became popular in Berlin in the 1920s but turned controversial in the 1930s due to their inclusion of both Jewish and Gentile performers."
The Lion in Winter,NA
Via Dolorosa,NA
Closer,An energetic salesman is forced to face his retirement in Louis LaRusso II's play.
The Civil War,NA
The Weir,NA
Amy's View,"Acclaimed actress Esme Allen must deal with the younger generation's growing disdain for the theatre, as personified by the filmmaker boyfriend of her daughter, Amy."
Marlene,Legendary singer Marlene Dietrich performs a concert of German songs and other standards.
Ring Round the Moon,NA
The Gershwins' Fascinating Rhythm,NA
It Ain't Nothin' But the Blues,"Traces the sounds and the stories of the blues, from African chants and spirituals through ""Let the Good Times Roll"" with stops along the way for Delta and Chicago blues, ""Strange Fruit,"" and many others."
The Lonesome West,NA
Voices in the Dark,A radio talk-show host is menaced by a threatening caller in John Pielmeier's thriller.
Kat and the Kings,A mixed-race doo-wop singing group becomes successful and then grows apart in 1950s South Africa.
Epic Proportions,"A cast of eight portrays the difficulties of filming a Biblical epic with a cast of thousands in Larry Coen and David Crane's comedy, set in 1930s Hollywood."
Dame Edna: The Royal Tour,"Australian superstar housewife Dame Edna Everage, the comic creation of Barry Humphries, makes her Broadway debut in an evening of song, audience participation and satirical self-worship."
Saturday Night Fever,"A young, working-class Italian-American man finds escape on the disco dance floor in this musical adaptation of the 1977 film."
The Rainmaker,"Plain Lizzie Curry finds herself falling, against her better judgment, for a traveler who promises to bring rain to her family's ever-dry Texas town."
"Kiss Me, Kate","Kelli O'Hara stars in Roundabout Theatre Company's new Broadway production of the Tony Award-winning musical comedy Kiss Me, Kate, directed by Scott Ellis and choreographed by Warren Carlyle. The production marks O'Hara's return to Roundabout Theatre Company, following her Tony-nominated performance in the 2006 revival of The Pajama Game and a 2016 sold-out benefit concert reading of Kiss Me, Kate, also directed by Ellis.In the constellation of musical comedy masterpieces, Kiss Me, Kate shines as perhaps Broadway's most sparkling achievement. This is the winner of the first-ever Tony Award for Best Musical, alive with onstage romance, backstage passion, comedy high and low, a hilarious dash of Shakespeare’s Shrew, and the songwriting genius of Cole Porter at his stylish, sexy, sophisticated best, including “Too Darn Hot,” “So In Love” and “Always True To You In My Fashion.” Once again, Roundabout catapults you to musical comedy heaven, with a brand-new Kiss Me, Kate."
Marie Christine,"Michael John LaChiusa's musical retelling of Medea places the story in New Orleans, where a young Creole woman with voodoo ties throws away her future for a white sea captain and follows him to Chicago."
"Morning, Noon and Night",Spalding Gray gives comedic observations on the effect his children have had on his life.
Putting It Together,"This revue takes songs from various Sondheim shows and gives them a new through-line, in which a party thrown by a wealthy, older married couple involves a younger man, a frisky maid and a comedic commentator."
Swing!,NA
Much Ado About Everything,"Jackie Mason offers his thoughts on race, politics and American coffee in one of his many evenings of stand-up on Broadway."
Minnelli on Minnelli,"Liza Minnelli pays tribute to her father, film director Vincente Minnelli, in this evening of songs from his musicals, including Meet Me in St. Louis, An American in Paris, Gigi and others."
Waiting in the Wings,"Fading actress May Davenport considers herself the leading lady at the retirement home where she lives, until a woman who held comparable star status in her day, and with whom May has been estranged for years, takes up residence at the home."
Amadeus,"The composer Antonio Salieri must come to terms with the greater genius of the bratty but God-gifted younger composer, Wolfgang Amadeus Mozart — but not before setting out to destroy him."
James Joyce's The Dead,"A husband and wife's emotional distance from each other is exposed at an Irish Christmas party, when the wife becomes haunted by memories of a dead lover, in this musical version of the classic James Joyce short story."
Wrong Mountain,A high-minded poet enters and wins a playwriting contest in David Hirson's satire of cultural snobbery.
Squonk,"An experimental music-theatre piece, which originated at the Squonk Opera company in Pittsburgh, revolves around the serving of an unusual banquet."
True West,"Oscar & Tony nominee Ethan Hawke and Golden Globe nominee Paul Dano star in a new production of Sam Shepard's Tony and Pulitzer Prize-nominated drama True West, directed by James Macdonald (The Children). Shepard, Hawke, and Dano all have long standing artistic relationships, with Hawke being a longtime collaborator and friend of the late Sam Shepard. Hawke has also acted alongside Dano on film (Taking Lives) and has directed him on stage (Things We Want)."
Aida,NA
Contact,"Director-choreographer Susan Stroman and librettist John Weidman construct an evening of three dance plays.  The first deals with a ""swinger"" couple and their servant, whose sexual games suddenly change; the second finds an unhappy 1950s wife imagining herself the belle of a restaurant she attends with her abusive husband; and the final piece allows a suicidal executive to find life again chasing after a mysterious girl in a dance bar."
Riverdance - on Broadway,"The popular evening of Irish step-dancing, music and song features the poetry of W.B. Yeats, Seamus Heaney and Arthur O'Shaughnessy read by the pre-recorded voice of Liam Neeson."
A Moon for the Misbegotten,"Set in a dilapidated Connecticut farmhouse in 1923, this American classic centers on Josie, a towering Irish woman with a quick tongue and a ruined reputation; her conniving father, Phil Hogan; and Jim Tyrone, Hogan's landlord and drinking companion, a cynical alcoholic haunted by the death of his mother."
The Wild Party,"A hyper-sexual chorus girl and her violently jealous vaudevillian boyfriend invite various theatrical types to a party where the booze and flirtation flow freely, in Michael John LaChiusa's musical adaptation of the Joseph Moncure March poem."
Copenhagen,"Based on actual events, Michael Frayn's drama imagines a meeting between German physicist Werner Heisenberg, his Danish mentor Niels Bohr, and the latter's wife, Margrethe, during World War II.  Both men have worked together to unlock secrets that could lead to the building of an atomic bomb and they debate the pros and cons of the bomb, among many other topics."
Jesus Christ Superstar,"The final days of Jesus Christ leading up to his crucifixion are seen through the eyes of his betrayer, Judas, in Andrew Lloyd Webber and Tim Rice's rock opera."
Taller Than a Dwarf,An ordinary New York couple must deal with friends striking it rich in the economy of the new millennium.
The Ride Down Mt. Morgan,"A successful businessman leads a double life with two wives, until a sudden car accident brings both of them together, in Arthur Miller's examination of the cost of shameless individualism."
Rose,NA
The Green Bird,"Carlo Gozzi's adaptation of a 17th-century Italian fable about a prince trapped inside a bird is brought to theatrical life through the use of masks, body paint to suggest a statue that comes to life, and other effects created by the music of Elliot Goldenthal and the direction of Julie Taymor."
The Real Thing,"Playwright Henry and actress Annie fall in love while cheating on their spouses, then marry and cheat on each other, unable to let his intense intellect and her intense emotions keep them from appreciating their love."
