country_code,short_name,table_name,long_name,x2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_population_census_year,latest_population_census_notes
EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,EE,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2010,2014,2018,2012,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Sub-Saharan Africa,Low income,ET,2015,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Socioeconomic Survey 2018-2019, Interim Demographic and Health Survey, 2019","Expenditure survey/budget survey (ES/BS), 2015/16",FALSE,NA,2014,2016,2020,(expected)
FIN,Finland,Finland,Republic of Finland,FI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FI,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2020,(expected). Population figures compiled from administrative registers.
FJI,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,NA,East Asia & Pacific,Upper middle income,FJ,2014,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,"Expenditure survey/budget survey (ES/BS), 2013",TRUE,2009,2011,2018,2017,NA
FRA,France,France,French Republic,FR,Euro,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FR,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2016,NA
FSM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.,East Asia & Pacific,Lower middle income,FM,2003,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,NA,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,"Expenditure survey/budget survey (ES/BS), 2013",FALSE,NA,NA,2013,2020,(expected)
GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,NA,Sub-Saharan Africa,Upper middle income,GA,2001,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM5 (Converted into BPM6 by IMF),Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2019/20","Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",FALSE,NA,1995,2009,2013,NA
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,NA,Europe & Central Asia,High income,GB,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2010,2013,2018,2011,NA
GEO,Georgia,Georgia,Georgia,GE,Georgian lari,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Europe & Central Asia,Upper middle income,GE,NA,2015,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",TRUE,2014,2013,2018,2014,NA
GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,GH,2013,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2017",FALSE,NA,2003,2018,2020,(expected)
GIN,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,NA,Sub-Saharan Africa,Low income,GN,NA,2010,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2021","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",FALSE,NA,NA,2015,2014,NA
GMB,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,NA,Sub-Saharan Africa,Low income,GM,2013,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2015",FALSE,2011,2004,2018,2013,NA
GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,West African CFA franc,NA,Sub-Saharan Africa,Low income,GW,2005,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018/19","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",FALSE,NA,NA,2005,2009,NA
GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,Central African CFA franc,NA,Sub-Saharan Africa,Upper middle income,GQ,2006,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM5 (Converted into BPM6 by IMF),NA,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2011","Priority survey (PS), 2006",FALSE,2015,NA,NA,2015,NA
GRC,Greece,Greece,Hellenic Republic,GR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,GR,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2009,2013,2018,2011,NA
GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,NA,Latin America & Caribbean,Upper middle income,GD,2006,NA,Value added at basic prices (VAB),Blend,NA,1993,BPM6,Actual,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Reproductive Health Survey, 1985",NA,TRUE,2012,NA,2009,2011,NA
GTM,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,GT,NA,2013,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2014/15","Living Standards Measurement Study Survey (LSMS), 2014",TRUE,NA,1988,2017,2018,NA
GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,NA,Latin America & Caribbean,Upper middle income,GY,2012,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 1998",FALSE,NA,NA,2018,2012,NA
HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income,HK,NA,2019,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,NA,Special Data Dissemination Standard (SDDS),NA,NA,TRUE,NA,2014,2018,2016,"The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population."
HND,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Lower middle income,HN,2000,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",FALSE,NA,1996,2017,2013,NA
HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,NA,Europe & Central Asia,High income,HR,NA,2015,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2010,1996,2018,2011,NA
HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Latin America & Caribbean,Lower middle income,HT,2011,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM5 (Converted into BPM6 by IMF),Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2012",FALSE,2008,NA,NA,2003,NA
HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,NA,Europe & Central Asia,High income,HU,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"World Health Survey, 2003","Income survey (IS), 2014",TRUE,2010,2013,2018,2011,NA
IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,East Asia & Pacific,Lower middle income,ID,2010,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2017; Indonesia Young Adult Reproductive Health Survey , 2017","Integrated household survey (IHS), 2017",FALSE,2013,2013,2018,2020,(expected)
IND,India,India,Republic of India,IN,Indian rupee,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,IN,2011,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2011/12",FALSE,2010,2014,2018,2011,NA
IRL,Ireland,Ireland,Ireland,IE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IE,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2010,2012,2018,2016,NA
IRN,Iran,"Iran, Islamic Rep.",Islamic Republic of Iran,IR,Iranian rial,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20).  

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Lower middle income,IR,2016,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Iran’s Multiple Indicator Demographic and Health Survey, 2010","Expenditure survey/budget survey (ES/BS), 2016",TRUE,2014,2014,2017,2016,NA
IRQ,Iraq,Iraq,Republic of Iraq,IQ,Iraqi dinar,NA,Middle East & North Africa,Upper middle income,IQ,2007,NA,Value added at producer prices (VAP),IBRD,NA,1968,BPM6,NA,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2012",FALSE,2011,2011,2014,1997,NA
ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,NA,Europe & Central Asia,High income,IS,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2014",TRUE,2010,2005,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
ISR,Israel,Israel,State of Israel,IL,Israeli new shekel,NA,Middle East & North Africa,High income,IL,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Expenditure survey/budget survey (ES/BS), 2012",TRUE,NA,2014,2018,2020,"(expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IT,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2012,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
JAM,Jamaica,Jamaica,Jamaica,JM,Jamaican dollar,NA,Latin America & Caribbean,Upper middle income,JM,2007,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2011","Living Standards Measurement Study Survey (LSMS), 2012",FALSE,2007,1996,2017,2011,NA
JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,NA,Middle East & North Africa,Upper middle income,JO,2016,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2017/18","Expenditure survey/budget survey (ES/BS), 2010",FALSE,2007,2013,2018,2015,NA
JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Integrated household survey (IHS), 2008",TRUE,2010,2012,2018,2020,(expected)
KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,NA,Europe & Central Asia,Upper middle income,KZ,NA,2005,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2017",FALSE,2006,2013,2018,2020,(expected)
KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,KE,2016,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2020","Integrated household survey (IHS), 2015/16",FALSE,NA,2013,2018,2009,NA
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,NA,Europe & Central Asia,Lower middle income,KG,NA,2010,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",TRUE,NA,2012,2018,2020,(expected)
KHM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,KH,2000,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2020","Integrated household survey (IHS), 2012",FALSE,2013,2000,2016,2019,NA
KIR,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,NA,East Asia & Pacific,Lower middle income,KI,2006,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,NA,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018/19","Expenditure survey/budget survey (ES/BS), 2006",FALSE,NA,NA,2016,2015,NA
KNA,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,KN,East Caribbean dollar,NA,Latin America & Caribbean,High income,KN,2006,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,NA,NA,2017,2011,NA
KOR,Korea,"Korea, Rep.",Republic of Korea,KR,Korean won,NA,East Asia & Pacific,High income,KR,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),NA,"Expenditure survey/budget survey (ES/BS), 2012",TRUE,2010,2014,2018,2020,(expected)
KWT,Kuwait,Kuwait,State of Kuwait,KW,Kuwaiti dinar,NA,Middle East & North Africa,High income,KW,2010,NA,Value added at basic prices (VAB),NA,NA,1993,BPM6,NA,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Family Health Survey, 1996",NA,TRUE,NA,2013,2018,2020,(expected)
LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,LA,2012,NA,Value added at basic prices (VAB),IDA,NA,2008,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2017","Expenditure survey/budget survey (ES/BS), 2012",FALSE,2010,1999,2016,2015,NA
LBN,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Lower middle income,LB,2010,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Family Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2011/12",TRUE,2010,2007,2018,1943,NA
LBR,Liberia,Liberia,Republic of Liberia,LR,Liberian dollar,National accounts data are provided in the US dollar.,Sub-Saharan Africa,Low income,LR,2016,NA,Value added at producer prices (VAP),IDA,HIPC,2008,BPM6,Actual,NA,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2014",FALSE,NA,NA,NA,2020,(expected)
LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,NA,Middle East & North Africa,Upper middle income,LY,2013,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,NA,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"STEPS Risk Factor Survey, 2010",NA,FALSE,NA,1980,2010,2006,NA
LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,NA,Latin America & Caribbean,Upper middle income,LC,2018,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2016",TRUE,2007,1997,2017,2020,(expected)
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,NA,South Asia,Lower middle income,LK,2010,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2016",TRUE,2013,2012,2017,2012,NA
LSO,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,LS,2012,NA,Value added at basic prices (VAB),IDA,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2010",FALSE,2010,1985,2017,2016,NA
LTU,Lithuania,Lithuania,Republic of Lithuania,LT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,LT,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2020,"(expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
LUX,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,LU,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,LU,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2013,2018,2011,NA
LVA,Latvia,Latvia,Republic of Latvia,LV,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Europe & Central Asia,High income,LV,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2010,2013,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,Macao pataca,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,High income,MO,NA,2019,Value added at producer prices (VAP),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,NA,2013,2016,2016,NA
MAR,Morocco,Morocco,Kingdom of Morocco,MA,Moroccan dirham,NA,Middle East & North Africa,Lower middle income,MA,2007,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Morocco National Survey on Population and Family Health, 2010/11","Expenditure survey/budget survey (ES/BS), 2013",FALSE,NA,2013,2018,2014,NA
