incident_number,date_time_of_call,cal_year,fin_year,type_of_incident,pump_count,pump_hours_total,hourly_notional_cost,incident_notional_cost,final_description,animal_group_parent,originof_call,property_type,property_category,special_service_type_category,special_service_type,ward_code,ward,borough_code,borough,stn_ground_name,uprn,street,usrn,postcode_district,easting_m,northing_m,easting_rounded,northing_rounded,latitude,longitude
100859101,26/06/2010 20:26,2010,2010/11,Special Service,1,1,260,260,DUCKLINGS STUCK DOWN DRAIN,Bird,Person (mobile),Other retail,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Bird,E05000050,Edgware,E09000003,Barnet,Mill Hill,200221604,Barnet Way,20030684,NW7,520252,193926,520250,193950,51.6313061,-0.263947154
101157101,27/06/2010 07:49,2010,2010/11,Special Service,1,2,260,520,KITTEN TRAPPED IN WASHING MACHINE,Cat,Person (mobile),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05011489,Woodside,E09000008,Croydon,Woodside,NULL,Rees Gardens,20501333,CR0,NULL,NULL,533850,167250,NULL,NULL
101238101,27/06/2010 12:01,2010,2010/11,Special Service,1,2,260,520,CAT TRAPPED BETWEEN TWO GARAGE WALLS,Cat,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000602,Larkswood,E09000031,Waltham Forest,Chingford,NULL,Palace View Road,22864150,E4,NULL,NULL,537850,192350,NULL,NULL
101492101,27/06/2010 17:12,2010,2010/11,Special Service,1,1,260,260,DOG IN PRECARIOUS POSITION,Dog,Person (land line),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000127,West Wickham,E09000006,Bromley,Woodside,NULL,High Street,20301748,BR4,NULL,NULL,537950,166050,NULL,NULL
101869101,27/06/2010 22:52,2010,2010/11,Special Service,1,1,260,260,KITTEN FALLEN ONTO ROOF,Cat,Person (mobile),Other outdoor structures,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000047,Coppetts,E09000003,Barnet,Finchley,200129129,Woodhouse Road,20047200,N12,527583,192020,527550,192050,51.61256448,-0.158775862
102221101,28/06/2010 12:47,2010,2010/11,Special Service,1,2,260,520,TO ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Person (mobile),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000116,Crystal Palace,E09000006,Bromley,West Norwood,1.0002E+11,Belvedere Road,20302135,SE19,533623,170416,533650,170450,51.41701984,-0.079777516
103128101,29/06/2010 09:25,2010,2010/11,Special Service,1,1,260,260,SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05011245,Hainault,E09000026,Redbridge,Hainault,NULL,Five Oaks Lane,22304587,IG7,NULL,NULL,548350,192150,NULL,NULL
103894101,30/06/2010 11:29,2010,2010/11,Special Service,1,1,260,260,RUNNING CALL TO ASSIST RSPCA,Unknown - Domestic Animal Or Pet,Person (land line),Other outdoor structures,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000268,Bruce Grove,E09000014,Haringey,Tottenham,NULL,High Road,NULL,N17,533787,190037,533750,190050,51.59330524,-0.069985331
104048101,30/06/2010 15:41,2010,2010/11,Special Service,1,1,260,260,CAT STUCK ON A ROOF,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05011482,Shirley North,E09000008,Croydon,Woodside,NULL,The Glade,20500570,CR0,NULL,NULL,536150,167150,NULL,NULL
104212101,30/06/2010 18:57,2010,2010/11,Special Service,1,1,260,260,DOG FALLEN INTO SHAFT,Dog,Person (mobile),"Tunnel, subway",Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05009379,King's Park,E09000012,Hackney,Homerton,NULL,Millfields Road,NULL,E5,535872,186192,535850,186150,51.55825479,-0.041388455
104525101,01/07/2010 07:41,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED BETWEEN FENCE AND BUILDING,Cat,Person (mobile),House - single occupancy,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05011217,Barnehurst,E09000004,Bexley,Bexley,NULL,Cumbrian Avenue,20100406,DA7,NULL,NULL,551250,176450,NULL,NULL
105169101,01/07/2010 22:09,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED ON ROOF,Cat,Person (land line),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05011097,Champion Hill,E09000028,Southwark,Peckham,NULL,Grove Lane,22501157,SE5,NULL,NULL,533050,176050,NULL,NULL
105429101,02/07/2010 08:31,2010,2010/11,Special Service,1,1,260,260,HORSE STUCK IN DITCH,Horse,Person (mobile),"Grassland, pasture, grazing etc",Outdoor,Animal rescue from below ground,Animal rescue from below ground - Farm animal,E05000065,Belvedere,E09000004,Bexley,Erith,NULL,Anderson Way,NULL,DA17,549983,179865,549950,179850,51.49783354,0.159326523
105684101,02/07/2010 15:40,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA WITH SMALL ANIMAL RESCUE,Unknown - Heavy Livestock Animal,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000262,Sands End,E09000013,Hammersmith and Fulham,Fulham,NULL,Stephendale Road,21000783,SW6,NULL,NULL,525950,176050,NULL,NULL
106296101,03/07/2010 12:12,2010,2010/11,Special Service,1,2,260,520,CAT TRAPPED IN GAP BETWEEN TWO WALLS,Cat,Person (land line),Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000531,Twickenham Riverside,E09000027,Richmond upon Thames,Twickenham,NULL,Queens Road,22403749,TW1,NULL,NULL,516050,173450,NULL,NULL
106365101,03/07/2010 13:26,2010,2010/11,Special Service,1,1,260,260,KITTEN IN CONTAINED AREA,Cat,Person (mobile),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000123,Penge and Cator,E09000006,Bromley,Beckenham,NULL,Densole Close,20301882,BR3,NULL,NULL,536150,169950,NULL,NULL
106377101,03/07/2010 13:36,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA TO CAT IN TREE,Cat,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000130,Camden Town with Primrose Hill,E09000007,Camden,Euston,5108232,Ainger Road,20400706,NW3,527795,184051,527750,184050,51.54090085,-0.158612499
106783101,03/07/2010 20:54,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED UP A TREE,Cat,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000358,Hounslow Central,E09000018,Hounslow,Heston,1.00022E+11,Myrtle Road,21500782,TW3,514098,176053,514050,176050,51.47194678,-0.358614634
106824101,03/07/2010 21:36,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED BETWEEN TWO WALLS,Cat,Person (mobile),House - single occupancy,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000531,Twickenham Riverside,E09000027,Richmond upon Thames,Twickenham,NULL,Queens Road,22403749,TW1,NULL,NULL,516050,173450,NULL,NULL
108173101,05/07/2010 11:18,2010,2010/11,Special Service,1,1,260,260,TO ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000446,Ladywell,E09000023,Lewisham,Lewisham,NULL,Slagrove Place,NULL,SE13,537511,174806,537550,174850,51.45554082,-0.022197768
108334101,05/07/2010 14:57,2010,2010/11,Special Service,1,1,260,260,HORSE TRAPPED ON GATE,Horse,Person (mobile),"Grassland, pasture, grazing etc",Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,E05011229,St. Mary's & St. James,E09000004,Bexley,Sidcup,1.0002E+11,Parsonage Lane,20101117,DA14,548885,171633,548850,171650,51.42415633,0.140054795
109050101,06/07/2010 09:58,2010,2010/11,Special Service,1,1,260,260,BIRD TRAPPED IN SASH WINDOW,Bird,Person (mobile),Converted Flat/Maisonettes - 3 or more storeys,Dwelling,Animal rescue from height,Animal rescue from height - Bird,E05000279,Stroud Green,E09000014,Haringey,Hornsey,NULL,Ferme Park Road,21106156,N8,NULL,NULL,530650,188250,NULL,NULL
109356101,06/07/2010 18:07,2010,2010/11,Special Service,1,1,260,260,BIRD TRAPPED IN CHIMNEY,Bird,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Bird,E05000028,Becontree,E09000002,Barking and Dagenham,Barking,NULL,Fitzstephen Road,19900133,RM8,NULL,NULL,546950,185450,NULL,NULL
109997101,07/07/2010 15:12,2010,2010/11,Special Service,1,1,260,260,BABY SEAGULL TRAPPED ON SPIKE,Bird,Person (land line),Converted office,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000644,St. James's,E09000033,Westminster,Soho,NULL,Maiden Lane,NULL,WC2E,530335,180721,530350,180750,51.51039458,-0.123238552
110211101,07/07/2010 19:34,2010,2010/11,Special Service,1,1,260,260,DOG STUCK IN MUD,Dog,Police,River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Poplar,NULL,Orchard Place,NULL,E14,539012,180818,539050,180850,51.50919957,0.001757646
110217101,07/07/2010 19:41,2010,2010/11,Special Service,1,1,260,260,DEER  STUCK IN RAILINGS  NEAR RAILWAY LINE,Deer,Person (mobile),Other outdoor location,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000198,Enfield Highway,E09000010,Enfield,Enfield,NULL,Eastfield Road,NULL,EN3,536370,198126,536350,198150,51.66537414,-0.029571393
110849101,08/07/2010 16:55,2010,2010/11,Special Service,1,1,260,260,BIRD STUCK IN FIRE PLACE / CHIMNEY,Bird,Person (mobile),Converted Flat/Maisonettes - 3 or more storeys,Dwelling,Animal rescue from height,Animal rescue from height - Bird,E05000271,Harringay,E09000014,Haringey,Hornsey,NULL,Burgoyne Road,21106779,N4,NULL,NULL,531550,188250,NULL,NULL
110956101,08/07/2010 18:39,2010,2010/11,Special Service,1,2,260,520,SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,Person (land line),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000379,St. Mary's,E09000019,Islington,Islington,NULL,Islington Green,21605183,N1,NULL,NULL,531650,183650,NULL,NULL
110963101,08/07/2010 18:54,2010,2010/11,Special Service,1,1,260,260,CAT STUCK IN DRAINPIPE,Cat,Person (land line),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000376,Junction,E09000019,Islington,Kentish Town,NULL,St. John's Grove,21600814,N19,NULL,NULL,529550,186550,NULL,NULL
110986101,08/07/2010 19:15,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA PIGEON IMPALED ON TV AERIAL ON ROOF,Bird,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Bird,E05000603,Lea Bridge,E09000031,Waltham Forest,Leyton,NULL,Rochdale Road,22870650,E17,NULL,NULL,537150,187850,NULL,NULL
112055101,09/07/2010 20:50,2010,2010/11,Special Service,1,1,260,260,KITTEN TRAPPED BEHIND RADIATOR,Cat,Person (mobile),Call Centre,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000418,Clapham Common,E09000022,Lambeth,Clapham,2E+11,Crescent Lane,21900408,SW4,529591,174985,529550,174950,51.4590169,-0.13605642
113121101,10/07/2010 19:16,2010,2010/11,Special Service,1,1,260,260,DOG TRAPPED IN GATE,Dog,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000283,White Hart Lane,E09000014,Haringey,Tottenham,NULL,White Hart Lane,21106111,N17,NULL,NULL,532450,191450,NULL,NULL
113351101,10/07/2010 23:45,2010,2010/11,Special Service,1,1,260,260,RUNNING CALL TO FOX IN PRECARIOUS POSITION,Fox,Person (land line),Infant/Primary school,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000455,Abbey,E09000024,Merton,Wimbledon,48065645,Southey Road,22105907,SW19,525429,170149,525450,170150,51.41649044,-0.197643557
114151101,11/07/2010 23:43,2010,2010/11,Special Service,1,1,260,260,CAT FALLEN BETWEEN WALLS,Cat,Person (land line),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000286,Canons,E09000015,Harrow,Stanmore,NULL,High Street,21202607,HA8,NULL,NULL,519050,191850,NULL,NULL
114353101,12/07/2010 11:10,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED IN WALL SPACE,Cat,Person (mobile),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000439,Brockley,E09000023,Lewisham,Greenwich,NULL,Deals Gateway,22006140,SE13,NULL,NULL,537450,176750,NULL,NULL
114393101,12/07/2010 12:32,2010,2010/11,Special Service,1,1,260,260,PERSON LOCKED OUT - COOKER BELIEVED TO BE LEFT ON,Unknown - Heavy Livestock Animal,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000594,Endlebury,E09000031,Waltham Forest,Chingford,NULL,Endlebury Road,22834200,E4,NULL,NULL,538550,193550,NULL,NULL
114476101,12/07/2010 14:42,2010,2010/11,Special Service,1,1,260,260,RUNNING CALL TO CAT TRAPPED BEHIND WALL,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05009320,Bow West,E09000030,Tower Hamlets,Bethnal Green,NULL,Roman Road,22701028,E3,NULL,NULL,536350,183250,NULL,NULL
114825101,12/07/2010 19:04,2010,2010/11,Special Service,1,1,260,260,CAT AND KITTEN TRAAPED UNDER FLOORBOARDS,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000437,Bellingham,E09000023,Lewisham,Forest Hill,NULL,Burford Road,22001297,SE6,NULL,NULL,536850,172650,NULL,NULL
114832101,12/07/2010 19:15,2010,2010/11,Special Service,1,1,260,260,PIGEON TRAPPED UNDER A BRIDGE,Bird,Person (land line),Bridge,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,E05000276,Northumberland Park,E09000014,Haringey,Tottenham,NULL,White Hart Lane,NULL,N17,533607,191364,533650,191350,51.60527261,-0.072077343
115623101,13/07/2010 21:53,2010,2010/11,Special Service,1,1,260,260,PIGEON STUCK IN NETTING,Bird,Person (mobile),Other building/use not known,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000276,Northumberland Park,E09000014,Haringey,Tottenham,NULL,Whitehall Street,NULL,N17,533750,191235,533750,191250,51.60407944,-0.070062827
116271101,15/07/2010 06:16,2010,2010/11,Special Service,1,2,260,520,CAT IN PRECARIOUS POSITION,Cat,Person (land line),Wasteland,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000118,Farnborough and Crofton,E09000006,Bromley,Orpington,NULL,York Rise,NULL,BR6,545312,166023,545350,166050,51.37467435,0.086406343
116813101,15/07/2010 23:36,2010,2010/11,Special Service,1,1,260,260,CAT STUCK BEHIND WALL,Cat,Person (mobile),Other outdoor structures,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05009381,London Fields,E09000012,Hackney,Homerton,1.00021E+11,Mare Street,20900658,E8,534933,184323,534950,184350,51.54168443,-0.055641527
117301101,16/07/2010 17:33,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED UP CHIMNEY,Cat,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000043,Brunswick Park,E09000003,Barnet,Southgate,NULL,Ferney Road,20015620,EN4,NULL,NULL,528250,194650,NULL,NULL
117461101,16/07/2010 21:07,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED BEHIND KITCHEN UNIT,Cat,Person (land line),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000289,Harrow on the Hill,E09000015,Harrow,Northolt,NULL,Greenford Road,21201219,HA1,NULL,NULL,515650,185950,NULL,NULL
117523101,16/07/2010 22:26,2010,2010/11,Special Service,1,1,260,260,CAT STUCK ON BALCONY,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from water,Animal rescue from water - Domestic pet,E05009398,Norland,E09000020,Kensington and Chelsea,North Kensington,NULL,Elgin Crescent,21700866,W11,NULL,NULL,524350,180950,NULL,NULL
117542101,16/07/2010 23:01,2010,2010/11,Special Service,1,1,260,260,Redacted,Cat,Person (mobile),House - single occupancy,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000321,South Hornchurch,E09000016,Havering,Wennington,NULL,Grove Park Road,21300795,RM13,NULL,NULL,552350,183850,NULL,NULL
117544101,16/07/2010 23:08,2010,2010/11,Special Service,1,1,260,260,Redacted,Dog,Person (mobile),Scrub land,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000197,Edmonton Green,E09000010,Enfield,Edmonton,NULL,Princes Road,NULL,N18,535228,192920,535250,192950,51.61886816,-0.048084728
117546101,16/07/2010 23:08,2010,2010/11,Special Service,1,1,260,260,CAT FALLEN ONTO BALCONY AND INJURED,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from water,Animal rescue from water - Domestic pet,E05009400,Pembridge,E09000020,Kensington and Chelsea,Kensington,NULL,Kensington Park Road,21700905,W11,NULL,NULL,525150,180650,NULL,NULL
117703101,17/07/2010 06:52,2010,2010/11,Special Service,1,1,260,260,BIRD TRAPPED IN CHIMNEY,Bird,Person (land line),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05009369,Clissold,E09000012,Hackney,Stoke Newington,NULL,Howard Road,20900539,N16,NULL,NULL,533050,185450,NULL,NULL
117804101,17/07/2010 11:18,2010,2010/11,Special Service,1,1,260,260,CAT STUCK IN TREE,Cat,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000368,Caledonian,E09000019,Islington,Islington,5300087625,Stanmore Street,21606051,N1,530644,183899,530650,183850,51.53888335,-0.117610431
117819101,17/07/2010 11:49,2010,2010/11,Special Service,1,2,260,520,RUNNING CALL TO ASSIST WITH ANIMALS IN DISTRESS,Unknown - Heavy Livestock Animal,Person (land line),Canal/riverbank vegetation,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05009396,Golborne,E09000020,Kensington and Chelsea,North Kensington,217106411,Kensal Road,21700902,W10,524552,182258,524550,182250,51.525511,-0.205985016
118253101,17/07/2010 21:24,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED IN PRICKLY BUSHES,Cat,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000489,Plaistow North,E09000025,Newham,Plaistow,NULL,North Street,NULL,E13,540611,183119,540650,183150,51.52948087,0.025700736
118454101,18/07/2010 08:13,2010,2010/11,Special Service,1,1,260,260,DOG WITH HEAD STUCK IN GATES,Dog,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000314,Heaton,E09000016,Havering,Harold Hill,NULL,Masefield Crescent,21300098,RM3,NULL,NULL,553150,190650,NULL,NULL
118571101,18/07/2010 13:46,2010,2010/11,Special Service,1,1,260,260,CAT STUCK UNDER FLOORBOARDS,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05009383,Springfield,E09000012,Hackney,Stoke Newington,NULL,Mount Pleasant Lane,20900713,E5,NULL,NULL,534750,186850,NULL,NULL
119188101,19/07/2010 05:32,2010,2010/11,Special Service,1,1,260,260,KITTENS TRAPPED IN NETTING,Cat,Person (mobile),Refuse/rubbish tip,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05009325,Lansbury,E09000030,Tower Hamlets,Poplar,6085968,Gillender Street,22700538,E14,538250,182250,538250,182250,51.52225487,-0.008653906
119823101,19/07/2010 20:22,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED IN WALL CAVITY,Cat,Person (land line),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000420,Coldharbour,E09000022,Lambeth,Brixton,NULL,Loughborough Estate,21900895,SW9,NULL,NULL,531650,176050,NULL,NULL
120568101,20/07/2010 17:36,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING,Bird,Person (land line),Railway,Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000338,South Ruislip,E09000017,Hillingdon,Ruislip,NULL,Station Approach,NULL,HA4,511114,185402,511150,185450,51.55656957,-0.398616075
121120101,21/07/2010 07:14,2010,2010/11,Special Service,1,1,260,260,FOX TRAPPED BEHIND TICKET BOOTH,Fox,Person (land line),Railway building - other,Non Residential,Animal rescue from height,Wild animal rescue from height,E05000428,St. Leonard's,E09000022,Lambeth,Norbury,2E+11,Estreham Road,21900528,SW16,529689,170520,529650,170550,51.41886771,-0.136280312
121273101,21/07/2010 13:19,2010,2010/11,Special Service,1,1,260,260,CAT STUCK IN WINDOW FRAME,Cat,Person (mobile),Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000230,Woolwich Riverside,E09000011,Greenwich,Plumstead,NULL,Kingsman Street,20800867,SE18,NULL,NULL,542950,178950,NULL,NULL
122019101,22/07/2010 05:21,2010,2010/11,Special Service,1,1,260,260,CAT IN PRECARIOUS POSITION,Cat,Person (land line),Purpose Built Flats/Maisonettes - Up to 3 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000145,West Hampstead,E09000007,Camden,West Hampstead,NULL,West End Lane,20499056,NW6,NULL,NULL,525450,185150,NULL,NULL
122107101,22/07/2010 10:27,2010,2010/11,Special Service,1,3,260,780,CAT TRAPPED BETWEEN TWO WALLS,Cat,Person (land line),Private garage,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000606,Markhouse,E09000031,Waltham Forest,Walthamstow,1.00023E+11,Gosport Road,22840200,E17,536784,188602,536750,188650,51.57969128,-0.02730388
122528101,22/07/2010 22:45,2010,2010/11,Special Service,1,1,260,260,CAT FALLEN BEHIND BUILT IN CUPBOARD,Cat,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05009384,Stamford Hill West,E09000012,Hackney,Stoke Newington,NULL,Dunsmure Road,20900349,N16,NULL,NULL,533350,187450,NULL,NULL
122530101,22/07/2010 23:08,2010,2010/11,Special Service,1,3,260,780,DOG TRAPPED IN RABBIT HOLE,Dog,Person (land line),Tree scrub,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000517,East Sheen,E09000027,Richmond upon Thames,Richmond,10024344879,Richmond Park,22407048,TW10,520681,173226,520650,173250,51.44517473,-0.264841368
123241101,23/07/2010 21:39,2010,2010/11,Special Service,1,1,260,260,CAT TRAPPED IN BUSH AFTER FALLING FROM WINDOW,Cat,Person (mobile),Road surface/pavement,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05011244,Goodmayes,E09000026,Redbridge,Dagenham,1.00022E+11,Armstrong Close,22301811,RM8,547553,187549,547550,187550,51.56751532,0.127560848
123273101,23/07/2010 22:57,2010,2010/11,Special Service,1,1,260,260,DOG  TRAPPED IN NETTLES,Dog,Person (mobile),Heathland,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000202,Highlands,E09000010,Enfield,Southgate,NULL,Lowther Drive,NULL,EN2,530363,196305,530350,196350,51.65043493,-0.117054331
123783101,24/07/2010 16:10,2010,2010/11,Special Service,1,1,260,260,PIGEON TRAPPED IN ROOF,Bird,Person (mobile),Town Hall,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000480,East Ham Central,E09000025,Newham,East Ham,10012839270,Barking Road,22207589,E6,542650,183540,542650,183550,51.53275251,0.055245138
123880101,24/07/2010 17:33,2010,2010/11,Special Service,1,1,260,260,DOG TRAPPED ON A LEDGE,Dog,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000056,High Barnet,E09000003,Barnet,Barnet,NULL,Rockways,20036920,EN5,NULL,NULL,521950,195350,NULL,NULL
124199101,24/07/2010 21:07,2010,2010/11,Special Service,1,1,260,260,ABANDONED CALL TRACED AS COMING FROM PRIVATE SUB,Unknown - Domestic Animal Or Pet,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000351,Feltham North,E09000018,Hounslow,Feltham,NULL,Burns Avenue,21500182,TW14,NULL,NULL,510550,174250,NULL,NULL
124697101,25/07/2010 14:12,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA WITH CAT STUCK IN TREE,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000619,Northcote,E09000032,Wandsworth,Battersea,NULL,Wakehurst Road,NULL,SW11,527776,174822,527750,174850,51.45796417,-0.162225941
125476101,26/07/2010 13:39,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA  REP WITH CAT UP TREE,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000303,Stanmore Park,E09000015,Harrow,Stanmore,1.00021E+11,Bridges Road,21202175,HA7,515772,192200,515750,192250,51.61673275,-0.329214813
125537101,26/07/2010 15:13,2010,2010/11,Special Service,1,1,260,260,ASSIST RSPCA WITH CAT ON THE ROOF,Cat,Person (land line),Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,E05000252,Avonmore and Brook Green,E09000013,Hammersmith and Fulham,Hammersmith,NULL,Maclise Road,21000529,W14,NULL,NULL,524150,179150,NULL,NULL
125540101,26/07/2010 15:16,2010,2010/11,Special Service,1,1,260,260,DOG TRAPPED IN RAILINGS,Dog,Person (mobile),Park,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,Hammersmith,34128676,Ravenscourt Park,21000675,W6,522458,179079,522450,179050,51.49739756,-0.237258242
126024101,27/07/2010 03:02,2010,2010/11,Special Service,1,1,260,260,BIRD TRAPPED IN NETTING,Bird,Person (land line),Other outdoor location,Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000408,Grove,E09000021,Kingston upon Thames,Kingston,128004630,Clarence Street,21800255,KT1,518336,169437,518350,169450,51.41161515,-0.299834423
126116101,27/07/2010 08:05,2010,2010/11,Special Service,1,1,260,260,CROW TRAPPED ON FLAG POLE,Bird,Person (land line),Temple,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000431,Streatham South,E09000022,Lambeth,Norbury,1.00023E+11,Colmer Road,21900371,SW16,530365,169951,530350,169950,51.41359923,-0.126773166
