season,location,round_stage,obstacle_name,obstacle_order
7,Venice,Finals (Regional/City),Quintuple Steps,1
7,Venice,Finals (Regional/City),Mini Silk Slider,2
7,Venice,Finals (Regional/City),Tilting Table,3
7,Venice,Finals (Regional/City),Spin Cycle,4
7,Venice,Finals (Regional/City),Hourglass Drop,5
7,Venice,Finals (Regional/City),Warped Wall,6
7,Venice,Finals (Regional/City),Salmon Ladder,7
7,Venice,Finals (Regional/City),Rumbling Dice,8
7,Venice,Finals (Regional/City),Clear Climb,9
7,Venice,Finals (Regional/City),Invisible Ladder,10
7,Houston,Qualifying (Regional/City),Quintuple Steps,1
7,Houston,Qualifying (Regional/City),Tilting Slider,2
7,Houston,Qualifying (Regional/City),Spinning Log,3
7,Houston,Qualifying (Regional/City),Cargo Crossing,4
7,Houston,Qualifying (Regional/City),Swinging Spikes,5
7,Houston,Qualifying (Regional/City),Warped Wall,6
7,Houston,Finals (Regional/City),Quintuple Steps,1
7,Houston,Finals (Regional/City),Tilting Slider,2
7,Houston,Finals (Regional/City),Spinning Log,3
7,Houston,Finals (Regional/City),Cargo Crossing,4
7,Houston,Finals (Regional/City),Swinging Spikes,5
7,Houston,Finals (Regional/City),Warped Wall,6
7,Houston,Finals (Regional/City),Salmon Ladder,7
7,Houston,Finals (Regional/City),Walking Bar,8
7,Houston,Finals (Regional/City),Crazy Cliffhanger,9
7,Houston,Finals (Regional/City),Invisible Ladder,10
7,San Pedro (Military),Qualifying (Regional/City),Quintuple Steps,1
7,San Pedro (Military),Qualifying (Regional/City),Jump Hang,2
7,San Pedro (Military),Qualifying (Regional/City),Log Runner,3
7,San Pedro (Military),Qualifying (Regional/City),Monkey Pegs,4
7,San Pedro (Military),Qualifying (Regional/City),I-Beam Crossing,5
7,San Pedro (Military),Qualifying (Regional/City),Warped Wall,6
7,San Pedro (Military),Finals (Regional/City),Quintuple Steps,1
7,San Pedro (Military),Finals (Regional/City),Jump Hang,2
7,San Pedro (Military),Finals (Regional/City),Log Runner,3
7,San Pedro (Military),Finals (Regional/City),Monkey Pegs,4
7,San Pedro (Military),Finals (Regional/City),I-Beam Crossing,5
7,San Pedro (Military),Finals (Regional/City),Warped Wall,6
7,San Pedro (Military),Finals (Regional/City),Salmon Ladder,7
7,San Pedro (Military),Finals (Regional/City),Swinging Frames,8
7,San Pedro (Military),Finals (Regional/City),Globe Grasper,9
7,San Pedro (Military),Finals (Regional/City),Invisible Ladder,10
7,Las Vegas,National Finals - Stage 1,Piston Road,1
7,Las Vegas,National Finals - Stage 1,Propeller Bar,2
7,Las Vegas,National Finals - Stage 1,Silk Slider,3
7,Las Vegas,National Finals - Stage 1,Jumping Spider,4
7,Las Vegas,National Finals - Stage 1,Sonic Curve,5
7,Las Vegas,National Finals - Stage 1,Warped Wall,6
7,Las Vegas,National Finals - Stage 1,Coin Flip,7
7,Las Vegas,National Finals - Stage 1,Triple Swing,8
7,Las Vegas,National Finals - Stage 1,Rope Ladder,9
7,Las Vegas,National Finals - Stage 2,Rope Jungle,1
7,Las Vegas,National Finals - Stage 2,Double Salmon Ladder,2
7,Las Vegas,National Finals - Stage 2,Unstable Bridge,3
7,Las Vegas,National Finals - Stage 2,Butterfly Wall,4
7,Las Vegas,National Finals - Stage 2,Roulette Row,5
7,Las Vegas,National Finals - Stage 2,Wall Lift,6
7,Las Vegas,National Finals - Stage 3,Psycho Chainsaw,1
7,Las Vegas,National Finals - Stage 3,Doorknob Grasper,2
7,Las Vegas,National Finals - Stage 3,Floating Boards,3
7,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4
7,Las Vegas,National Finals - Stage 3,Pole Grasper,5
7,Las Vegas,National Finals - Stage 3,Hang Climb,6
7,Las Vegas,National Finals - Stage 3,Area 51,7
7,Las Vegas,National Finals - Stage 3,Flying Bar,8
7,Las Vegas,National Finals - Stage 4,Rope Climb,1
8,Los Angeles,Qualifying (Regional/City),Floating Steps,1
8,Los Angeles,Qualifying (Regional/City),Tick Tock,2
8,Los Angeles,Qualifying (Regional/City),Escalator,3
8,Los Angeles,Qualifying (Regional/City),Ring Jump,4
8,Los Angeles,Qualifying (Regional/City),I-Beam Cross,5
8,Los Angeles,Qualifying (Regional/City),Warped Wall,6
8,Los Angeles,Finals (Regional/City),Floating Steps,1
8,Los Angeles,Finals (Regional/City),Tick Tock,2
8,Los Angeles,Finals (Regional/City),Escalator,3
8,Los Angeles,Finals (Regional/City),Ring Jump,4
8,Los Angeles,Finals (Regional/City),I-Beam Cross,5
8,Los Angeles,Finals (Regional/City),Warped Wall,6
8,Los Angeles,Finals (Regional/City),Salmon Ladder,7
8,Los Angeles,Finals (Regional/City),The Wedge,8
8,Los Angeles,Finals (Regional/City),Helix Hang,9
8,Los Angeles,Finals (Regional/City),Invisible Ladder,10
8,Atlanta,Qualifying (Regional/City),Floating Steps,1
8,Atlanta,Qualifying (Regional/City),Big Dipper,2
8,Atlanta,Qualifying (Regional/City),Block Run,3
8,Atlanta,Qualifying (Regional/City),Spin Cycle,4
8,Atlanta,Qualifying (Regional/City),Pipe Fitter,5
8,Atlanta,Qualifying (Regional/City),Warped Wall,6
8,Atlanta,Finals (Regional/City),Floating Steps,1
8,Atlanta,Finals (Regional/City),Big Dipper,2
8,Atlanta,Finals (Regional/City),Block Run,3
8,Atlanta,Finals (Regional/City),Spin Cycle,4
8,Atlanta,Finals (Regional/City),Pipe Fitter,5
8,Atlanta,Finals (Regional/City),Warped Wall,6
8,Atlanta,Finals (Regional/City),Salmon Ladder,7
8,Atlanta,Finals (Regional/City),Floating Monkey Bars,8
8,Atlanta,Finals (Regional/City),The Clacker,9
8,Atlanta,Finals (Regional/City),Invisible Ladder,10
8,Indianapolis,Qualifying (Regional/City),Floating Steps,1
8,Indianapolis,Qualifying (Regional/City),Rolling Log,2
8,Indianapolis,Qualifying (Regional/City),Fly Wheels,3
8,Indianapolis,Qualifying (Regional/City),Disc Runner,4
8,Indianapolis,Qualifying (Regional/City),Swinging Spikes,5
8,Indianapolis,Qualifying (Regional/City),Warped Wall,6
8,Indianapolis,Finals (Regional/City),Floating Steps,1
8,Indianapolis,Finals (Regional/City),Rolling Log,2
8,Indianapolis,Finals (Regional/City),Fly Wheels,3
8,Indianapolis,Finals (Regional/City),Disc Runner,4
8,Indianapolis,Finals (Regional/City),Swinging Spikes,5
8,Indianapolis,Finals (Regional/City),Warped Wall,6
8,Indianapolis,Finals (Regional/City),Salmon Ladder,7
8,Indianapolis,Finals (Regional/City),Hourglass Drop,8
8,Indianapolis,Finals (Regional/City),Circuit Board,9
8,Indianapolis,Finals (Regional/City),Invisible Ladder,10
8,Oklahoma City,Qualifying (Regional/City),Floating Steps,1
8,Oklahoma City,Qualifying (Regional/City),Ring Swing,2
8,Oklahoma City,Qualifying (Regional/City),Log Runner,3
8,Oklahoma City,Qualifying (Regional/City),Tire Swing,4
8,Oklahoma City,Qualifying (Regional/City),Bar Hop,5
8,Oklahoma City,Qualifying (Regional/City),Warped Wall,6
8,Oklahoma City,Finals (Regional/City),Floating Steps,1
8,Oklahoma City,Finals (Regional/City),Ring Swing,2
8,Oklahoma City,Finals (Regional/City),Log Runner,3
8,Oklahoma City,Finals (Regional/City),Tire Swing,4
8,Oklahoma City,Finals (Regional/City),Bar Hop,5
8,Oklahoma City,Finals (Regional/City),Warped Wall,6
8,Oklahoma City,Finals (Regional/City),Salmon Ladder,7
8,Oklahoma City,Finals (Regional/City),Bungee Road,8
8,Oklahoma City,Finals (Regional/City),Window Hang,9
8,Oklahoma City,Finals (Regional/City),Invisible Ladder,10
8,Philadelphia,Qualifying (Regional/City),Floating Steps,1
8,Philadelphia,Qualifying (Regional/City),Log Grip,2
8,Philadelphia,Qualifying (Regional/City),Paddle Boards,3
8,Philadelphia,Qualifying (Regional/City),Wall Drop,4
8,Philadelphia,Qualifying (Regional/City),Rolling Thunder,5
8,Philadelphia,Qualifying (Regional/City),Warped Wall,6
8,Philadelphia,Finals (Regional/City),Floating Steps,1
8,Philadelphia,Finals (Regional/City),Log Grip,2
8,Philadelphia,Finals (Regional/City),Paddle Boards,3
8,Philadelphia,Finals (Regional/City),Wall Drop,4
8,Philadelphia,Finals (Regional/City),Rolling Thunder,5
8,Philadelphia,Finals (Regional/City),Warped Wall,6
8,Philadelphia,Finals (Regional/City),Salmon Ladder,7
8,Philadelphia,Finals (Regional/City),Flying Shelf Grab,8
8,Philadelphia,Finals (Regional/City),Stair Hopper,9
8,Philadelphia,Finals (Regional/City),Invisible Ladder,10
8,Las Vegas,National Finals - Stage 1,Snake Run,1
8,Las Vegas,National Finals - Stage 1,Propeller Bar,2
8,Las Vegas,National Finals - Stage 1,Giant Log Grip,3
8,Las Vegas,National Finals - Stage 1,Jumping Spider,4
8,Las Vegas,National Finals - Stage 1,Sonic Curve,5
8,Las Vegas,National Finals - Stage 1,Warped Wall,6
8,Las Vegas,National Finals - Stage 1,Broken Bridge,7
8,Las Vegas,National Finals - Stage 1,Flying Squirrel,8
8,Las Vegas,National Finals - Stage 1,Rope Ladder,9
8,Las Vegas,National Finals - Stage 2,Giant Ring Swing,1
8,Las Vegas,National Finals - Stage 2,Down Up Salmon Ladder,2
8,Las Vegas,National Finals - Stage 2,Wave Runner,3
8,Las Vegas,National Finals - Stage 2,Butterfly Wall,4
8,Las Vegas,National Finals - Stage 2,Double Wedge,5
8,Las Vegas,National Finals - Stage 2,Wall Flip,6
8,Las Vegas,National Finals - Stage 3,Keylock Hang,1
8,Las Vegas,National Finals - Stage 3,Floating Boards,2
8,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,3
8,Las Vegas,National Finals - Stage 3,Curved Body Prop,4
8,Las Vegas,National Finals - Stage 3,Hang Climb,5
8,Las Vegas,National Finals - Stage 3,Walking Bar,6
8,Las Vegas,National Finals - Stage 3,Flying Bar,8
8,Las Vegas,National Finals - Stage 4,Rope Climb,1
9,Los Angeles,Qualifying (Regional/City),Floating Steps,1
9,Los Angeles,Qualifying (Regional/City),Cannonball Drop,2
9,Los Angeles,Qualifying (Regional/City),Fly Wheels,3
9,Los Angeles,Qualifying (Regional/City),Block Run,4
9,Los Angeles,Qualifying (Regional/City),Battering Ram,5
9,Los Angeles,Qualifying (Regional/City),Warped Wall,6
9,Los Angeles,Finals (Regional/City),Floating Steps,1
9,Los Angeles,Finals (Regional/City),Cannonball Drop,2
9,Los Angeles,Finals (Regional/City),Fly Wheels,3
9,Los Angeles,Finals (Regional/City),Block Run,4
9,Los Angeles,Finals (Regional/City),Battering Ram,5
9,Los Angeles,Finals (Regional/City),Warped Wall,6
9,Los Angeles,Finals (Regional/City),Salmon Ladder,7
9,Los Angeles,Finals (Regional/City),Swinging Peg Board,8
9,Los Angeles,Finals (Regional/City),Stair Hopper,9
9,Los Angeles,Finals (Regional/City),Elevator Climb,10
9,San Antonio,Qualifying (Regional/City),Floating Steps,1
9,San Antonio,Qualifying (Regional/City),Tick Tock,2
9,San Antonio,Qualifying (Regional/City),Spinning Bridge,3
9,San Antonio,Qualifying (Regional/City),Sky Hooks,4
9,San Antonio,Qualifying (Regional/City),Pipe Fitter,5
9,San Antonio,Qualifying (Regional/City),Warped Wall,6
9,San Antonio,Finals (Regional/City),Floating Steps,1
9,San Antonio,Finals (Regional/City),Tick Tock,2
9,San Antonio,Finals (Regional/City),Spinning Bridge,3
9,San Antonio,Finals (Regional/City),Sky Hooks,4
9,San Antonio,Finals (Regional/City),Pipe Fitter,5
9,San Antonio,Finals (Regional/City),Warped Wall,6
9,San Antonio,Finals (Regional/City),Salmon Ladder,7
9,San Antonio,Finals (Regional/City),Hourglass Drop,8
9,San Antonio,Finals (Regional/City),Spinball Wizard,9
9,San Antonio,Finals (Regional/City),Elevator Climb,10
9,Daytona Beach,Qualifying (Regional/City),Floating Steps,1
9,Daytona Beach,Qualifying (Regional/City),Rolling Pin,2
9,Daytona Beach,Qualifying (Regional/City),Wingnuts,3
9,Daytona Beach,Qualifying (Regional/City),Broken Bridge,4
9,Daytona Beach,Qualifying (Regional/City),Rolling Thunder,5
9,Daytona Beach,Qualifying (Regional/City),Warped Wall,6
9,Daytona Beach,Finals (Regional/City),Floating Steps,1
9,Daytona Beach,Finals (Regional/City),Rolling Pin,2
9,Daytona Beach,Finals (Regional/City),Wingnuts,3
9,Daytona Beach,Finals (Regional/City),Broken Bridge,4
9,Daytona Beach,Finals (Regional/City),Rolling Thunder,5
9,Daytona Beach,Finals (Regional/City),Warped Wall,6
9,Daytona Beach,Finals (Regional/City),Salmon Ladder,7
9,Daytona Beach,Finals (Regional/City),Giant Cubes,8
9,Daytona Beach,Finals (Regional/City),Circuit Board,9
9,Daytona Beach,Finals (Regional/City),Elevator Climb,10
9,Kansas City,Qualifying (Regional/City),Floating Steps,1
9,Kansas City,Qualifying (Regional/City),Hang Glider,2
9,Kansas City,Qualifying (Regional/City),Broken Pipes,3
9,Kansas City,Qualifying (Regional/City),Crank It Up,4
9,Kansas City,Qualifying (Regional/City),Bar Hop,5
9,Kansas City,Qualifying (Regional/City),Warped Wall,6
9,Kansas City,Finals (Regional/City),Floating Steps,1
9,Kansas City,Finals (Regional/City),Hang Glider,2
9,Kansas City,Finals (Regional/City),Broken Pipes,3
9,Kansas City,Finals (Regional/City),Crank It Up,4
9,Kansas City,Finals (Regional/City),Bar Hop,5
9,Kansas City,Finals (Regional/City),Warped Wall,6
9,Kansas City,Finals (Regional/City),Salmon Ladder,7
9,Kansas City,Finals (Regional/City),Floating Monkey Bars,8
9,Kansas City,Finals (Regional/City),Iron Maiden,9
9,Kansas City,Finals (Regional/City),Elevator Climb,10
9,Cleveland,Qualifying (Regional/City),Floating Steps,1
9,Cleveland,Qualifying (Regional/City),Rolling Log,2
9,Cleveland,Qualifying (Regional/City),Razor's Edge,3
9,Cleveland,Qualifying (Regional/City),Ring Jump,4
9,Cleveland,Qualifying (Regional/City),I-Beam Gap,5
9,Cleveland,Qualifying (Regional/City),Warped Wall,6
9,Cleveland,Finals (Regional/City),Floating Steps,1
9,Cleveland,Finals (Regional/City),Rolling Log,2
9,Cleveland,Finals (Regional/City),Razor's Edge,3
9,Cleveland,Finals (Regional/City),Ring Jump,4
9,Cleveland,Finals (Regional/City),I-Beam Gap,5
9,Cleveland,Finals (Regional/City),Warped Wall,6
9,Cleveland,Finals (Regional/City),Salmon Ladder,7
9,Cleveland,Finals (Regional/City),Nail Clipper,8
9,Cleveland,Finals (Regional/City),The Clacker,9
9,Cleveland,Finals (Regional/City),Elevator Climb,10
9,Denver,Qualifying (Regional/City),Floating Steps,1
9,Denver,Qualifying (Regional/City),Ring Swing,2
9,Denver,Qualifying (Regional/City),Bouncing Spider,3
9,Denver,Qualifying (Regional/City),Paddle Boards,4
9,Denver,Qualifying (Regional/City),Rail Runner,5
9,Denver,Qualifying (Regional/City),Warped Wall,6
9,Denver,Finals (Regional/City),Floating Steps,1
9,Denver,Finals (Regional/City),Ring Swing,2
9,Denver,Finals (Regional/City),Bouncing Spider,3
9,Denver,Finals (Regional/City),Paddle Boards,4
9,Denver,Finals (Regional/City),Rail Runner,5
9,Denver,Finals (Regional/City),Warped Wall,6
9,Denver,Finals (Regional/City),Salmon Ladder,7
9,Denver,Finals (Regional/City),The Wedge,8
9,Denver,Finals (Regional/City),Ninjago Roll,9
9,Denver,Finals (Regional/City),Elevator Climb,10
9,Las Vegas,National Finals - Stage 1,Snake Run,1
9,Las Vegas,National Finals - Stage 1,Propeller Bar,2
9,Las Vegas,National Finals - Stage 1,Double Dipper,3
9,Las Vegas,National Finals - Stage 1,Jumping Spider,4
9,Las Vegas,National Finals - Stage 1,Parkour Run,5
9,Las Vegas,National Finals - Stage 1,Warped Wall,6
9,Las Vegas,National Finals - Stage 1,Domino Pipes,7
9,Las Vegas,National Finals - Stage 1,Flying Squirrel,8
9,Las Vegas,National Finals - Stage 1,Rope Ladder,9
9,Las Vegas,National Finals - Stage 2,Giant Ring Swing,1
9,Las Vegas,National Finals - Stage 2,Criss Cross Salmon Ladder,2
9,Las Vegas,National Finals - Stage 2,Wave Runner,3
9,Las Vegas,National Finals - Stage 2,Swing Surfer,4
9,Las Vegas,National Finals - Stage 2,Wingnut Alley,5
9,Las Vegas,National Finals - Stage 2,Wall Flip,6
9,Las Vegas,National Finals - Stage 3,Floating Boards,1
9,Las Vegas,National Finals - Stage 3,Keylock Hang,2
9,Las Vegas,National Finals - Stage 3,Nail Clipper,3
9,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4
9,Las Vegas,National Finals - Stage 3,Curved Body Prop,5
9,Las Vegas,National Finals - Stage 3,Peg Cloud,6
9,Las Vegas,National Finals - Stage 3,Time Bomb,7
9,Las Vegas,National Finals - Stage 3,Flying Bar,8
9,Las Vegas,National Finals - Stage 4,Rope Climb,1
10,Los Angeles,Qualifying (Regional/City),Floating Steps,1
10,Los Angeles,Qualifying (Regional/City),Jumper Cables,2
10,Los Angeles,Qualifying (Regional/City),Spinning Bridge,3
10,Los Angeles,Qualifying (Regional/City),Sky Hooks,4
10,Los Angeles,Qualifying (Regional/City),Doorknob Drop,5
10,Los Angeles,Qualifying (Regional/City),Warped Wall / Mega Wall,6
10,Los Angeles,Finals (Regional/City),Archer Steps,1
10,Los Angeles,Finals (Regional/City),Jumper Cables,2
10,Los Angeles,Finals (Regional/City),Spinning Bridge,3
10,Los Angeles,Finals (Regional/City),Flying Shelf Grab,4
10,Los Angeles,Finals (Regional/City),Doorknob Drop,5
10,Los Angeles,Finals (Regional/City),Warped Wall,6
10,Los Angeles,Finals (Regional/City),Salmon Ladder,7
10,Los Angeles,Finals (Regional/City),Giant Cubes,8
10,Los Angeles,Finals (Regional/City),Baton Pass,9
10,Los Angeles,Finals (Regional/City),Spider Trap,10
10,Dallas,Qualifying (Regional/City),Floating Steps,1
10,Dallas,Qualifying (Regional/City),Catch & Release,2
10,Dallas,Qualifying (Regional/City),Bouncing Spider,3
10,Dallas,Qualifying (Regional/City),Tuning Forks,4
10,Dallas,Qualifying (Regional/City),Crank It Up,5
10,Dallas,Qualifying (Regional/City),Warped Wall / Mega Wall,6
10,Dallas,Finals (Regional/City),Archer Steps,1
10,Dallas,Finals (Regional/City),Catch & Release,2
10,Dallas,Finals (Regional/City),Bouncing Spider,3
10,Dallas,Finals (Regional/City),Broken Bridge,4
10,Dallas,Finals (Regional/City),Crank It Up,5
10,Dallas,Finals (Regional/City),Warped Wall,6
10,Dallas,Finals (Regional/City),Salmon Ladder,7
10,Dallas,Finals (Regional/City),Nail Clipper,8
10,Dallas,Finals (Regional/City),Fallout,9
10,Dallas,Finals (Regional/City),Spider Trap,10
10,Miami,Qualifying (Regional/City),Floating Steps,1
10,Miami,Qualifying (Regional/City),Fly Wheels,2
10,Miami,Qualifying (Regional/City),Razor's Edge,3
10,Miami,Qualifying (Regional/City),Ring Turn,4
10,Miami,Qualifying (Regional/City),Slippery Summit,5
10,Miami,Qualifying (Regional/City),Warped Wall / Mega Wall,6
10,Miami,Finals (Regional/City),Archer Steps,1
10,Miami,Finals (Regional/City),Cannonball Drop,2
10,Miami,Finals (Regional/City),Razor's Edge,3
10,Miami,Finals (Regional/City),Ring Turn,4
10,Miami,Finals (Regional/City),Slippery Summit,5
10,Miami,Finals (Regional/City),Warped Wall,6
10,Miami,Finals (Regional/City),Salmon Ladder,7
10,Miami,Finals (Regional/City),Crazy Clocks,8
10,Miami,Finals (Regional/City),Stair Hopper,9
10,Miami,Finals (Regional/City),Spider Trap,10
10,Indianapolis,Qualifying (Regional/City),Floating Steps,1
10,Indianapolis,Qualifying (Regional/City),Cannonball Drop,2
10,Indianapolis,Qualifying (Regional/City),Wheel Flip,3
10,Indianapolis,Qualifying (Regional/City),Block Run,4
10,Indianapolis,Qualifying (Regional/City),Spin Hopper,5
10,Indianapolis,Qualifying (Regional/City),Warped Wall / Mega Wall,6
10,Indianapolis,Finals (Regional/City),Archer Steps,1
10,Indianapolis,Finals (Regional/City),Fly Wheels,2
10,Indianapolis,Finals (Regional/City),Wheel Flip,3
10,Indianapolis,Finals (Regional/City),Block Run,4
10,Indianapolis,Finals (Regional/City),Spin Hopper,5
10,Indianapolis,Finals (Regional/City),Warped Wall,6
10,Indianapolis,Finals (Regional/City),Salmon Ladder,7
10,Indianapolis,Finals (Regional/City),The Clacker,8
10,Indianapolis,Finals (Regional/City),Cane Lane,9
10,Indianapolis,Finals (Regional/City),Spider Trap,10
10,Philadelphia,Qualifying (Regional/City),Floating Steps,1
10,Philadelphia,Qualifying (Regional/City),Spinning Bowties,2
10,Philadelphia,Qualifying (Regional/City),Broken Bridge,3
10,Philadelphia,Qualifying (Regional/City),Wingnuts,4
10,Philadelphia,Qualifying (Regional/City),Lightning Bolts,5
10,Philadelphia,Qualifying (Regional/City),Warped Wall / Mega Wall,6
10,Philadelphia,Finals (Regional/City),Archer Steps,1
10,Philadelphia,Finals (Regional/City),Spinning Bowties,2
10,Philadelphia,Finals (Regional/City),Broken Bridge,3
10,Philadelphia,Finals (Regional/City),Wingnuts,4
10,Philadelphia,Finals (Regional/City),Lightning Bolts,5
10,Philadelphia,Finals (Regional/City),Warped Wall,6
10,Philadelphia,Finals (Regional/City),Salmon Ladder,7
10,Philadelphia,Finals (Regional/City),Captain's Wheel,8
10,Philadelphia,Finals (Regional/City),Spinball Wizard,9
10,Philadelphia,Finals (Regional/City),Spider Trap,10
10,Minneapolis,Qualifying (Regional/City),Floating Steps,1
10,Minneapolis,Qualifying (Regional/City),Double Twister,2
10,Minneapolis,Qualifying (Regional/City),Ring Jump,3
10,Minneapolis,Qualifying (Regional/City),Diamond Dash,4
10,Minneapolis,Qualifying (Regional/City),Battering Ram,5
10,Minneapolis,Qualifying (Regional/City),Warped Wall / Mega Wall,6
10,Minneapolis,Finals (Regional/City),Archer Steps,1
10,Minneapolis,Finals (Regional/City),Double Twister,2
10,Minneapolis,Finals (Regional/City),Sky Hooks,3
10,Minneapolis,Finals (Regional/City),Diamond Dash,4
10,Minneapolis,Finals (Regional/City),Battering Ram,5
10,Minneapolis,Finals (Regional/City),Warped Wall,6
10,Minneapolis,Finals (Regional/City),Salmon Ladder,7
10,Minneapolis,Finals (Regional/City),The Hinge,8
10,Minneapolis,Finals (Regional/City),Iron Maiden,9
10,Minneapolis,Finals (Regional/City),Spider Trap,10
10,Las Vegas,National Finals - Stage 1,Archer Alley,1
10,Las Vegas,National Finals - Stage 1,Propeller Bar,2
10,Las Vegas,National Finals - Stage 1,Double Dipper,3
10,Las Vegas,National Finals - Stage 1,Jumping Spider,4
10,Las Vegas,National Finals - Stage 1,Jeep Run,5
10,Las Vegas,National Finals - Stage 1,Warped Wall,6
10,Las Vegas,National Finals - Stage 1,Razor Beams,7
10,Las Vegas,National Finals - Stage 1,Twist & Fly,8
10,Las Vegas,National Finals - Stage 1,Rope Ladder,9
10,Las Vegas,National Finals - Stage 2,Epic Catch & Release,1
10,Las Vegas,National Finals - Stage 2,Criss Cross Salmon Ladder,2
10,Las Vegas,National Finals - Stage 2,Deja Vu,3
10,Las Vegas,National Finals - Stage 2,Swing Surfer,4
10,Las Vegas,National Finals - Stage 2,Wingnut Alley,5
10,Las Vegas,National Finals - Stage 2,Water Walls,6
10,Las Vegas,National Finals - Stage 3,Floating Boards,1
10,Las Vegas,National Finals - Stage 3,En Garde,2
10,Las Vegas,National Finals - Stage 3,Crazy Clocks,3
10,Las Vegas,National Finals - Stage 3,Ultimate Cliffhanger,4
10,Las Vegas,National Finals - Stage 3,Curved Body Prop,5
10,Las Vegas,National Finals - Stage 3,Peg Cloud,6
10,Las Vegas,National Finals - Stage 3,Time Bomb,7
10,Las Vegas,National Finals - Stage 3,Cane Lane,8
10,Las Vegas,National Finals - Stage 4,Rope Climb,1
