city,alternate_city_names,state,country,country_code,latitude,longitude,timezone,population,elevation_m
New Windsor,"New Windsor,New Windsor Center,Nju Vinsor,nyw wyndswr,Њу Винсор,نيو ويندسور",NY,USA,US,41.47676,-74.02375,America/New_York,8922,49
Cambridge,"Cambridge,Cambridge i Massachusetts,Cantabrigia,Kehmbridzh,Keimbridza,Keimbridža,Keimpritz,Kejmbridzh,Kembridz,Kembridzas,Kembridzh,Kembridžas,Kembrigo,Kembrizh,Kembriĝo,Kembrydzh,Mishawum,New Town,New Towne,Newtown,Newtowne,Old Cambridge,jian qiao,kambrydj,keimbeuliji,kembrija,kempirij,kenburijji,khem bridc,kmbryj  masachwst,qyymbrydg,Κέιμπριτζ,Кеймбридж,Кембридж,Кембриж,Кембриџ,Кембриҷ,Кембрыдж,Кэмбридж,Քեմբրիջ,קיימברידג,קעמברידזש,كامبريدج,کمبریج، ماساچوست,کیمبرج، میساچوسٹس,केंब्रिज,கேம்பிரிஜ்,เคมบริดจ์,ケンブリッジ,剑桥,케임브리지",MA,USA,US,42.3751,-71.10561,America/New_York,110402,5
Centralia,NA,MO,USA,US,39.21032,-92.13795,America/Chicago,4194,269
Laplace,"Bonnet Carre,Eugenia,La Place,LaPlace,Laplace,Laplas,Ory,Лаплас",LA,USA,US,30.06698,-90.48147,America/Chicago,29872,3
Waverly,"Union,Uniontown,Waverly,Waverly City,wyfrly,wywrly  awhayw,ويفرلي,ویورلی، اوهایو",OH,USA,US,39.12673,-82.98546,America/New_York,4274,181
Glen Ellyn,"Danby,Glen Elin,Glen Ellyn,Prospect Park,ghln alyn,glena elina,Глен Елин,غلن إلين,ग्लेन एलिन",IL,USA,US,41.87753,-88.06701,America/Chicago,28201,226
Batesville,"Batesville,Behjtesvill,Bejtsvil,Bejtsvil',Bejtsvill,Panola,btswyl  mysysypy,bytsfyl,Бейтсвилл,Бейтсвіль,Бејтсвил,Бэйтесвилл,بتسویل، میسیسیپی,بيتسفيل,بیٹسویل، مسیسپی",MS,USA,US,34.3115,-89.94426,America/Chicago,7385,71
Calabasas,"Kalabasas,ka la ba sa si,kalabasas,kalabasas  kalyfrnya,kallabasaseu,kyalabasaja,Калабасас,Կալաբասաս,كالاباساس,کالاباساس، کالیفرنیا,क्यालाबासाज,卡拉巴萨斯,칼라바사스",CA,USA,US,34.15778,-118.63842,America/Los_Angeles,23058,283
Sabina,"Sabina,Sapina",OH,USA,US,39.48867,-83.63687,America/New_York,2534,320
Poughkeepsie,"POU,Pochkeepsie,Pokipsi,Poughkeepsie,Pougkipsi,Poukipzi,Pukipsij,bkbsy,bo qi pu xi,pokibsi,pokipushi,pwgkypsy  nywywrk,Покипси,Поугкипси,Поукипзи,Поукіпзі,Пъкипсий,بكبسي,پوگکیپسی، نیویورک,ポキプシー,波啟浦夕,포킵시",NY,USA,US,41.70037,-73.92097,America/New_York,30371,62
Lindale,NA,TX,USA,US,32.5157,-95.4094,America/Chicago,5692,168
Dupo,NA,IL,USA,US,38.51616,-90.21039,America/Chicago,3921,127
Bryan,"Brajan,Bryan,CFD,beulaieon,brayan  tgzas,bryan,bu lai en,buraian,Брайан,Брајан,برائن، ٹیکساس,برایان، تگزاس,بريان,ブライアン,布賴恩,브라이언",TX,USA,US,30.67436,-96.36996,America/Chicago,82118,114
Cheviot,"Cheviot,Cheviot Station,Cheviott",OH,USA,US,39.157,-84.61328,America/New_York,8295,277
Norwich,"Chelsea,Noridzh,Noruich,Norvich,Norwich,Norwich Landing,Norwick,Rose of New England,naravica,nolichi,norvika,nouitchi,nuo wei qi,nwrwytsh,nwrych  kntykt,Норвич,Норвіч,Норидж,Норуич,نارویچ، کنیکٹیکٹ,نورويتش,نوریچ، کنتیکت,नरविच,नॉर्विक,ノーウィッチ,诺威奇,노리치",CT,USA,US,41.52426,-72.07591,America/New_York,39899,17
Wallace,"Volas,walys  karwlynay shmaly,Волас,والیس، کارولینای شمالی",NC,USA,US,34.73572,-77.99526,America/New_York,3964,15
Guelph,"Guehlf,Guelfas,Guelph,Gvelf,The Royal City,XIA,gerufu,ghwylf,gui hu,gwelpeu,gwlf,gwylf,gywlf,Гвелф,Гуэлф,غويلف,گولف,گویلف,گیولف,ゲルフ,貴湖,궬프",ON,Canada,CA,43.54594,-80.25599,America/Toronto,115760,NA
Niles,"Najls,na'ilsa,naylz,Најлс,نايلز,نایلز,नाइल्स",IL,USA,US,42.01892,-87.80284,America/Chicago,29876,194
Lower Hutt,"Awakairangi,Hutt Bawah,Louehr-Khatt,Louer Hatas,Lower Hutt,Lower Hutt City,Te Awakairangi,lowoheos,xia ha te,Лоуэр-Хатт,ლოუერ-ჰატი,下哈特,로워헛",Wellington,New Zealand,NZ,-41.21667,174.91667,Pacific/Auckland,112500,NA
Brentwood,"Brentud,Brentvud,beulenteuudeu,brentavuda,brnt wwd  kalyfrnya,bryntwwwd,bu lun te wu de,burentoudo,Брентвуд,Брентуд,برنت وود، کالیفرنیا,برينتووود,برینٹووڈ، کیلیفورنیا,ब्रेन्टवूड,ブレントウード,布伦特伍德,브렌트우드",CA,USA,US,37.93187,-121.69579,America/Los_Angeles,58968,24
Bristol,NA,IN,USA,US,41.72144,-85.81749,America/Indiana/Indianapolis,1667,236
Challis,"CHL,Chalis,Challis,Cholis,Garden City,chalisi,chalys  aydahw,cyalisa,shalys,Чалис,Чолис,شاليس,چالیس، آیداهو,च्यालिस,ჩალისი",ID,USA,US,44.50464,-114.23173,America/Boise,1043,1601
Bergen,"Bergen,Bergen Corners",NY,USA,US,43.08534,-77.94223,America/New_York,1133,185
Albemarle,"Albemarde,Albemarl,Albemarle,albmarl  karwlynay shmaly,albymarl,albymarl  shmaly kyrwlayna,arubemaru,Албемарл,ألبيمارل,البمارل، کارولینای شمالی,البیمارل، شمالی کیرولائنا,アルベマール",NC,USA,US,35.35014,-80.20006,America/New_York,16003,145
Fayetteville,"Fejetvil,faytyfyl,fytwyl  jarjya,fytwyl  jwrjya,phayetabhila,Фејетвил,فايتيفيل,فیتویل، جارجیا,فیتویل، جورجیا,फायेटभिल",GA,USA,US,33.44873,-84.45493,America/New_York,16990,286
Wheat RIdge,"Uijt Ridzh,Uit Ridzh,Vit Ridz,mai ling,vhita rija,wyt rydj,wyt rydj  klradw,Вит Риџ,Уийт Ридж,Уит Ридж,ويت ريدج,ویت ریدج، کلرادو,ویٹ ریج، کولوراڈو,व्हिट रीज,麦岭",CO,USA,US,39.7661,-105.07721,America/Denver,31192,1664
Platteville,"Plattevil,Platvil,Plejtvil,blatfyl,pletbhila,plytwyl  klradw,pu la te wei er,Платвил,Платтевил,Плейтвил,بلاتفيل,پلیتویل، کلرادو,پلیٹویل، کولوراڈو,प्लेट्भिल,普拉特维尔",CO,USA,US,40.21498,-104.82275,America/Denver,2619,1467
Glen Burnie,"Glehn Bjurni,Glen Berni,Glen Burnie,Glenburnie,Myrtle,Traceys Station,ny  mrylnd,Глен Берни,Глэн Бюрни,نی، مریلند,گلین برنی، میری لینڈ",MD,USA,US,39.16261,-76.62469,America/New_York,67639,17
Wellington,"Velington,Vellington,hui ling dun,velalingatana,wlyngtwn  flwryda,wylnghtwn,Велингтон,Веллингтон,Веллінгтон,ولینگتون، فلوریدا,ويلنغتون,ویلنگٹن، فلوریڈا,वेललिङ्गटन,惠灵顿",FL,USA,US,26.65868,-80.24144,America/New_York,62560,5
Bartlett,"Bartlet,Bartlett,Union Depot,bartlyt,bartlyt  tnsy,Бартлет,Бартлетт,بارتليت,بارتلیت، تنسی,بارٹلیٹ، ٹینیسی",TN,USA,US,35.20453,-89.87398,America/Chicago,58579,85
Spring Lake Park,"City of Spring Lake Park,Spring Lake Park,Spring Lehjk Park,Spring Lejk Park,Spring-Lejk-Park,sbryngh lyk bark,Спринг Лејк Парк,Спринг Лэйк Парк,Спринг-Лейк-Парк,Спрінґ-Лейк-Парк,اسپرینگ لیک پارک، مینه‌سوتا,سبرينغ ليك بارك",MN,USA,US,45.10774,-93.238,America/Chicago,6473,275
Williams,"Central,Uilijams,Vilijams,Williams,viliyamsa,wei lian mu si,wylyams,wylyamz  kalyfrnya,Вилијамс,Уилиямс,ويليامس,ویلیامز، کالیفرنیا,विलियम्स,威廉姆斯",CA,USA,US,39.15461,-122.14942,America/Los_Angeles,5196,25
Fort Erie,"Fort Erie,Fort Iri,Fort Érié,Fort-Eri,fotoeri,fwrt ayry,yi li bao,Форт Ири,Форт-Ері,فورت إيري,フォートエリー,伊利堡",ON,Canada,CA,42.90012,-78.93286,America/Toronto,30710,NA
Choctaw,"Choctaw,Choctaw City",OK,USA,US,35.49756,-97.26892,America/Chicago,12179,350
Narragansett,"Narragansett,Narrangasett,naragansetto,naraghansyt,Наррагансетт,Наррангасетт,ناراغانسيت,نیریگینسٹ، روڈ آئلینڈ,ナラガンセット",RI,USA,US,41.4501,-71.4495,America/New_York,15868,6
Berkeley,"Berkeleia,Berkeley,Berkli,Berklis,Burkli,Bērkli,JBK,bakure,bakuri,barkali,barkeli,barkli,beokeulli,bo ke li,brkly  kalyfrnya,brqly,byrkyly,Беркли,Берклі,Бъркли,ברקלי,برکلی، کالیفرنیا,برکلے,بيركيلي,बर्कली,बर्केली,बर्क्ली,ბერკლი,バークリー,バークレー,伯克利,버클리",CA,USA,US,37.87159,-122.27275,America/Los_Angeles,120972,52
Alpharetta,"Al'faretta,Alfareta,Alpharetta,New Prospect Campground,alfarta  jwrjya,alfaryta,alfaryta  jarjya,alphareta,Алфарета,Альфаретта,آلفارتا، جورجیا,ألفاريتا,الفاریتا، جارجیا,अल्फारेटा",GA,USA,US,34.07538,-84.29409,America/New_York,63693,347
High Point,"Khaj Pojnt,Khaj-Pojnt,hai bo yin te,haipointo,hay bwynt,hay pwynt  karwlynay shmaly,Хай-Пойнт,Хај Појнт,هاي بوينت,های پوینت، کارولینای شمالی,ہائی پوائنٹ، شمالی کیرولائنا,ハイポイント,海波因特",NC,USA,US,35.95569,-80.00532,America/New_York,110268,281
Palatine,"Palatajn,Palatin,Palatinas,Palatine,blatyn,Палатајн,Палатин,بلاتين,پالاتائن، الینوائے",IL,USA,US,42.1103,-88.03424,America/Chicago,69308,226
Trumann,"Truman,Trumann,trumyana,trwman,trwmn,Труман,ترومان,ترومن,ट्रुम्यान",AR,USA,US,35.67369,-90.50733,America/Chicago,7145,69
Marked Tree,"Marked Tri,markd try,markda tri,Маркед Три,ماركد تري,مارکد تری,मार्क्ड ट्री",AR,USA,US,35.53286,-90.42066,America/Chicago,2501,67
Cold Spring Harbor,"Cold Spring,Cold Spring Harbor,Kold Spring Kharbor,Nachaquatuck,leng quan gang,Колд Спринг Харбор,コールド・スプリング・ハーバー,冷泉港",NY,USA,US,40.87149,-73.45679,America/New_York,5070,10
Morehead City,"Morehead City,Shepherds Point,moaheddoshiti,mwrhad syty  karwlynay shmaly,mwrhyd syty,مورهاد سیتی، کارولینای شمالی,مورهيد سيتي,مورہیڈ سٹی، شمالی کیرولائنا,モアヘッドシティ",NC,USA,US,34.72294,-76.72604,America/New_York,9347,5
Hamilton,"Gamil'tan,Gamil'ton,Gamilton,Hamilton,Hamilton i Ontario,Hamiltona,Hamiltonas,Hamiltono,Khamilton,Khamiltun,amiltan,ha mi er dun,haemilteon,hamiruton,hamyltwn,hemiltana,hmyltwn,hmyltwn  antaryw,Гамильтон,Гамільтан,Гамільтон,Хамилтон,Хамилтън,Համիլտոն,המילטון,هاميلتون,همیلتون، انتاریو,ہاملٹن,ہیملٹن، انٹاریو,हॅमिल्टन,ஆமில்டன்,හැමිල්ටන්,ჰამილტონი,ハミルトン,哈密尔顿,해밀턴",ON,Canada,CA,43.25011,-79.84963,America/Toronto,519949,NA
Hyde Park,"Hyde Park,Khajd Park,Stoutenburgh,hai de pa ke,haideupakeu,hayd bark,Хајд Парк,هايد بارك,海德帕克,하이드파크",NY,USA,US,41.78482,-73.93319,America/New_York,1908,57
Victoria,"City of Victoria,Victoria,Viktoria,Viktorija,fyktwrya,Викториа,Виктория,Викторија,Вікторія,فيكتوريا,وکٹوریہ، مینیسوٹا,ویکتوریا، مینه‌سوتا",MN,USA,US,44.85857,-93.66163,America/Chicago,8676,301
Spearfish,"SPF,Spirfish,aspyrfysh  dakwtay jnwby,sbyrfysh,si pi er fei shen,spiyarafisa,Спирфиш,اسپیرفیش، داکوتای جنوبی,سبيرفيش,سپئیرفش، جنوبی ڈکوٹا,स्पियरफ़िश,斯皮尔菲什",SD,USA,US,44.49082,-103.85937,America/Denver,11283,1112
Middleton,"Midlton,mydltwn,mydltwn  wyskansyn,Мидлтон,ميدلتون,مڈلٹن، وسکونسن,میدلتون، ویسکانسین",WI,USA,US,43.09722,-89.50429,America/Chicago,18979,286
Ephrata,"Beasley Springs,EPH,Ephrata,Ifrejta,Indian Grave Springs,afrata,afrata  washyngtn,ai fu la ta,Ифрейта,Ифрејта,إفراتا,افراتا، واشینگتن,埃夫拉塔",WA,USA,US,47.31764,-119.55365,America/Los_Angeles,8047,389
Canyon Country,"Canyon Country,Fair Oaks Ranch",CA,USA,US,34.42333,-118.47203,America/Los_Angeles,59530,409
La Puente,"Hillgrove,La Puente,La Puenti,Puente,la bwynty,la pu'ente,la pwnt  kalyfrnya,Ла Пуенте,Ла Пуенти,لا بوينتي,لا پونت، کالیفرنیا,لا پیونتے، کیلیفورنیا,ला पुएन्टे",CA,USA,US,34.02001,-117.94951,America/Los_Angeles,40745,107
Desert Hot Springs,"Dezert Khot Springs,Dezert-Got-Springs,Dezert-Khot-Springs,Dezurt Khot Springs,dejarta hata springas,dysyrt hwt sbrynghs,dzrt hat aspryngz  kalyfrnya,sha mo wen quan,Дезерт Хот Спрингс,Дезерт-Гот-Спрінґс,Дезерт-Хот-Спрингс,Дезърт Хот Спрингс,دزرت هات اسپرینگز، کالیفرنیا,ديسيرت هوت سبرينغس,डेजर्ट हट स्प्रिङ्गस्,沙漠温泉",CA,USA,US,33.96173,-116.50353,America/Los_Angeles,28335,328
Eureka,"EUE,Jurika,awryka,you li ka,ywrka  nwada,Јурика,إوريكا,یورکا، نوادا,یوریکا، نیواڈا,尤里卡",NV,USA,US,39.51271,-115.96061,America/Los_Angeles,610,1975
Fairless Hills,NA,PA,USA,US,40.17955,-74.85516,America/New_York,8466,33
Northfield,"City of Northfield,Norsfild,Nortfild,Northfield,nosufirudo,nuo si fei er de,nwrthfyld,Норсфилд,Нортфилд,Нортфілд,نارتھفیلڈ، مینیسوٹا,نورثفيلد,نورثفیلد، مینه‌سوتا,ノースフィールド,諾斯菲爾德",MN,USA,US,44.4583,-93.1616,America/Chicago,20380,278
Boone,"BNW,Bun,buni,bwn,bwn  aywwa,Бун,بون,بون، آیووا,ბუნი",IA,USA,US,42.0597,-93.88023,America/Chicago,12692,346
Lewisburg,"Derrstown,Lewisburg,Luisburg,lwyysbrg  pnslwanya,Луисбург,لوئیسبرگ، پنسلوانیا",PA,USA,US,40.96453,-76.88441,America/New_York,5774,144
Tehachapi,"Greenwich,TSP,Tehachapa,Tehachapai,Tehachapi,Tehachepi,Tehachipi,Tekhachapi,Tukhechapi,te ha cha bi,tehacapi,thachapy  kalyfrnya,tyhatshaby,Техачапи,Тъхечапи,تهاچاپی، کالیفرنیا,تيهاتشابي,तेहाचापी,特哈查比",CA,USA,US,35.13219,-118.44897,America/Los_Angeles,13021,1210
Covington,"Kavington,Kovington,ka wen dun,kawyngtn  kntaky,keobingteon,kobinton,kwfynghtwn,Кавингтон,Ковингтон,Ковінгтон,كوفينغتون,کاوینگتن، کنتاکی,کوونگٹن، کینٹکی,コビントン,卡温顿,커빙턴",KY,USA,US,39.08367,-84.50855,America/New_York,40997,155
Collingwood,"Kolingvud,kalyngwwd  antaryw,kwlynjwwd,Колингвуд,Колінгвуд,كولينجوود,کالینگوود، انتاریو",ON,Canada,CA,44.4834,-80.21638,America/Toronto,21793,NA
Carlisle,"Karlajl,Luguvalium,ka lai er,kallail,karairu,karlayl  pnslwanya,Карлајл,کارلائل، پنسلوانیا,カーライル,卡莱尔,칼라일",PA,USA,US,40.20148,-77.18887,America/New_York,19143,146
Balad,"Balad,Balada,Belad,Beled,XQC,bld,Балада,بلد",Salah ad Din,Iraq,IQ,34.01485,44.14574,Asia/Baghdad,42088,NA
Glen Ullin,NA,ND,USA,US,46.81501,-101.82988,America/North_Dakota/New_Salem,743,635
Commack,"Co-Mac,Comac,Comack,Commac,Commack,Comock,Komak,Wanecommack,Winne - Comack,Winnecomac Win-Ne-Co-Mack,Winnie Comac,kwmak,Комак,كوماك",NY,USA,US,40.84288,-73.29289,America/New_York,36124,40
Andover,"Andouvehr,Andover,Andover Centre,Andover Village,Cochichawick,Cochichewick,aendobeo,an duo fu,andoba,andwwr,Андовер,Андоувэр,اندوور,アンドーバー,安多佛,앤도버",MA,USA,US,42.65843,-71.137,America/New_York,8762,55
Marlborough,"MXG,Marlboro,malbeoleo,marlbrw  masachwst,marlbwrw,maruboro,Марлборо,مارلبرو، ماساچوست,مارلبورو,مارلبورو، میساچوسٹس,マールボロ,말버러",MA,USA,US,42.34593,-71.55229,America/New_York,39818,119
Montgomeryville,NA,PA,USA,US,40.24733,-75.24379,America/New_York,12624,139
Woodside,NA,NY,USA,US,40.74538,-73.90541,America/New_York,41981,18
Miami Gardens,NA,FL,USA,US,25.97981,-80.20255,America/New_York,2706,2
Ravenel,"Ravenel,Ravenels",SC,USA,US,32.76323,-80.2501,America/New_York,2600,14
Kanata,"Kanata,kan na ta,Каната,坎納塔",ON,Canada,CA,45.3001,-75.91606,America/Toronto,90000,NA
Humboldt,"Khambolt,Хамболт",SK,Canada,CA,52.20005,-105.1255,America/Regina,4822,NA
Busan,"Bousan,Busan,Busan-si,Busán,Fousan,Fusan,Fuzan,PUS,Phu San,Phủ San,Pusan,Pusana,Pusano,Tsau-liang-hai,busan,busangwang-yeogsi,busansi,fu shan,fu shan guang yu shi,fu shan shi,pu san,Μπούσαν,Пусан,ปูซาน,釜山,釜山市,釜山广域市,釜山広域市,부산,부산광역시,부산시",Busan,South Korea,KR,35.10168,129.03004,Asia/Seoul,3678555,NA
Kill Devil Hills,"Croatan Shores,FFA,Kill Devil Hills",NC,USA,US,36.03072,-75.67601,America/New_York,7058,2
Placencia,"PLJ,Placencia,Placencia Village,Placentia,Placentia Village,Plasencia,Point Placentia,Punta Placencia",Southern District,Belize,BZ,16.51419,-88.36647,America/Belize,4300,NA
Sarnia,"Sarnia,Sarnija,YZR,carniya,sa ni ya shi,sania,sarnya,Сарния,Сарнија,Сарнія,سارنيا,سارنیا,سارنیہ,சார்னியா,サーニア,薩尼亞市,사니아",ON,Canada,CA,42.97866,-82.40407,America/Toronto,72125,NA
Blackfoot,"Blakfut,Blehkfut,Blekfut,blakfwt,blyakaphuta,burakkufutto,Блакфут,Блекфут,Блэкфут,بلاكفوت,بلک‌فوت، آیداهو,بلیکفٹ، ایڈاہو,ब्ल्याकफूट,ბლეკფუტი,ブラックフット",ID,USA,US,43.19047,-112.34498,America/Boise,11740,1371
Helena,"Cove,Gelena,Helena,Hillsboro,Hillsborough,Khelena,Khelina,Lees Cove,hai lun na,helena,hlna  alabama,hylyna,Гелена,Хелена,Хелина,هلنا، آلاباما,هيلينا,ھێلێنا، ئەلاباما,हेलेना,海伦娜",AL,USA,US,33.29622,-86.8436,America/Chicago,18264,127
Ramadi,"Al-Ramadi,Al-Rumadi,Ar Ramadi,Ar Ramādī,Ar-Ramadi,Ar-Ramādī,Ehr-Ramadi,Er-Ramadi,Ramadi,Ramadie,Ramadieh,Ramadiyah,Ramanti,Ramádi,Ramádí,Rumadiya,Rumadiyeh,Rumādīya,Rumādīyeh,XTM,alrmady,la ma di,lamadi,ramadi,ramady,rmady,Ραμάντι,Ер-Рамаді,Рамади,Эр-Рамади,רמאדי,الرمادى,الرمادي,رامادی,رمادی,ਰਮਾਦੀ,റമാദി,რამადი,ラマーディー,拉馬迪,라마디",Al Anbar,Iraq,IQ,33.42056,43.30778,Asia/Baghdad,223500,NA
Owings Mills,"Ovings Mills,wwyngs mylz  mrylnd,Овингс Миллс,اوونگز ملز، میری لینڈ,ووینگس میلز، مریلند,オーウィングス・ミルズ",MD,USA,US,39.41955,-76.78025,America/New_York,30622,152
Altoona,"Altoona,Altuna,Altūna,POM Wonderful Presents The Greatest Movie Ever Sold,POM Wonderful Presents: The Greatest Movie Ever Sold,a er tu na,altwna,altwna  pnsylwanya,arutouna,Алтуна,آلتونا، پنسیلوانیا,ألتونا,ایلٹونا، پنسلوانیا,アルトゥーナ,阿尔图纳",PA,USA,US,40.51868,-78.39474,America/New_York,45344,355
Pascagoula,"PGL,Paskagula,baskaghwla,pa si ka gu la,paskagwla  msyspy,pasukagura,pskgwla  mysysypy,Паскагула,Паскаґула,باسكاغولا,پاسکاگولا، مسیسپی,پسکگولا، میسیسیپی,パスカグーラ,帕斯卡古拉",MS,USA,US,30.36576,-88.55613,America/Chicago,22126,3
Waterbury,"Forest City,The Brass City,Uotrbri,Uoterberi,Vaterbjuri,Voterberi,Waterbury,uotabari,uotaberi,vatarabari,votarabari,watrbry  kntykt,watrbwry,wo te bo li,woteobeli,wwtrbry,Ватербюри,Вотербери,Вотербері,Уотербери,Уотърбъри,ווטרברי,واتربری، کنتیکت,واتربوري,واٹربری، کنیکٹیکٹ,वाटरबरी,वॉटरबरी,ウォーターバリー,ウォーターベリー,沃特伯里,워터베리",CT,USA,US,41.55815,-73.0515,America/New_York,108802,82
Bourbonnais,"Bourbonnais,Bourbonnais Grove,Bulbonas Grove",IL,USA,US,41.15376,-87.88754,America/Chicago,18569,198
Port Moody,"Port Mudi,bwrt mwdy,man de bao,poteumudi,potomudi,Порт Муди,بورت مودي,پورٹ موڈی,ポートムーディ,滿地寶,포트무디",BC,Canada,CA,49.28124,-122.82457,America/Vancouver,27512,NA
Edmond,"Edmond,Edmont,Ehdmon,Ehdmond,Ehdmont,admnd  aklahma,admwnd,edeumeondeu,edomondo,Едмонд,Едмонт,Эдмон,Эдмонд,Эдмонт,אדמונד,إدموند,ادمند، اکلاهما,ایڈمونڈ، اوکلاہوما,エドモンド,에드먼드",OK,USA,US,35.65283,-97.4781,America/Chicago,90092,367
San Benito,"San Benito,san bnytw,sn bnytw  tgzas,Сан Бенито,سان بنيتو,سن بنیتو، تگزاس",TX,USA,US,26.13258,-97.6311,America/Chicago,24496,11
Doncaster,"DSA,Dankastehr,Denocestria,Doncaster,Donkaster,Donkasteris,Donkastur,dongkeoseuteo,donkasuta,dwnkastr,dxng khas texr,tang ka shi da,tang ka si te,Данкастэр,Донкастер,Донкастър,دونكاستر,دونکاستر,ดองคัสเตอร์,ドンカスター,唐卡士打,唐卡斯特,동커스터",ENG,United Kingdom,GB,53.52285,-1.13116,Europe/London,113566,NA
Glendive,"GDV,Glehndajv,Glendajv,Glendiv,Glendive,ge lun dai fu,ghlyndyf,glndyw  mwntana,Глендайв,Глендајв,Глэндайв,Ґлендів,غلينديف,گلندیو، مونتانا,گیلنڈائو، مونٹانا,格伦代夫",MT,USA,US,47.10529,-104.71246,America/Denver,5490,629
Vernal,"Ashley,Ashley Center,VEL,Vernal,Vurnal,beoneol,fyrnal,wei na er,wrnal  ywta,Вернал,Върнал,فيرنال,ورنال، یوتا,韦纳尔,버널",UT,USA,US,40.45552,-109.52875,America/Denver,11200,1624
Brockville,"Brokvil,Brokvil',Brokvill,Brukvailas,XBR,brakwyl,brwk-wl,brwkfyl,bu luo ke wei er,burokkubiru,Броквил,Броквилл,Броквіл,Броквіль,براکویل,بروكفيل,بروک ولے,بروک-ول,ブロックビル,布羅克維爾",ON,Canada,CA,44.59132,-75.68705,America/Toronto,23886,NA
Studio City,استودیو سیتی، لس‌آنجلس,CA,USA,US,34.14862,-118.39647,America/Los_Angeles,34034,186
North Charleston,"CHS,N. Charleston,Nort Charlston,Nort-Charlston,North Charleston,bei cha er si dun,nosucharusuton,nwrt charlstn  karwlynay jnwby,nwrth tsharlstwn,Норт Чарлстон,Норт-Чарлстон,شمالی چارلسٹن، جنوبی کیرولائنا,نورت چارلستن، کارولینای جنوبی,نورث تشارلستون,ノースチャールストン,北查尔斯顿",SC,USA,US,32.85462,-79.97481,America/New_York,108304,6
Beachwood,"Bichvud,bytshwwd,Бичвуд,بيتشوود,بک‌وود، اوهایو,بیچ ووڈ، اوہائیو",OH,USA,US,41.4645,-81.50873,America/New_York,11762,361
Sand Lake,NA,MI,USA,US,43.29197,-85.51781,America/Detroit,521,279
Kensington,"Kensington,Knowles,Knowles Station,knsynghtwn,knzyngtn  mrylnd,Кенсингтон,كنسينغتون,کنزینگتن، مریلند",MD,USA,US,39.02567,-77.07637,America/New_York,2330,87
Crockett,"Crocket,Crockett,Kroket,krakt  tgzas,krwkyt,Крокет,كروكيت,کراکت، تگزاس",TX,USA,US,31.31824,-95.45661,America/Chicago,6554,111
Woodbridge,"Occoquan Plantation,Occoquon Station,Vudbridz,Woodbridge,Woolbridge,Вудбриџ,وڈبرج، ورجینیا",VA,USA,US,38.65817,-77.2497,America/New_York,4055,23
West Linn,"Linn City,Robins Nest,Vehst Linn,Vest Lin,West Linn,Zapaden Lin,uesutorin,wst lyn  awrgn,wyst lyn,Вест Лин,Вэст Линн,Западен Лин,وست لین، اورگن,ويست لين,ویسٹ لین، اوریگون,ウェストリン",OR,USA,US,45.36568,-122.61231,America/Los_Angeles,26593,41
Lakewood,"Arlington,East Rockport,Lakewood,Lehjkvud,Lejkvud,leikeuudeu,lykwwd,lyyqwwd,reikuuddo,Лейквуд,Лејквуд,Лэйквуд,לייקווד,ليكوود,لیک ووڈ، اوہائیو,لیک‌وود، اوهایو,レイクウッド,레이크우드",OH,USA,US,41.48199,-81.79819,America/New_York,50656,215
Enterprise,"Drake Eye,ETS,Ehnterprajz,Enterprajs,Enterprajz,Enterprise,antrbrayz,antrprayz  alabama,en te pu lai si,intarapra'ija,Ентерпрайс,Ентерпрајз,Энтерпрайз,إنتربرايز,ئینتەر پرایز، ئەلاباما,انترپرایز، آلاباما,इन्टरप्राइज,恩特普赖斯",AL,USA,US,31.31517,-85.85522,America/Chicago,27978,108
Williamsburg,NA,VA,USA,US,37.27344,-76.74148,America/New_York,0,NA
Ashland,NA,MO,USA,US,38.77448,-92.25713,America/Chicago,3865,274
Port Townsend,"Port Taunsend,Port Taunsund,Port Townsend,Port Townshend,TWD,bwrt tawnsnd,pwrt tawnznd  washyngtn,tang sen gang,Порт Таунсенд,Порт Таунсънд,بورت تاونسند,پورت تاونزند، واشینگتن,湯森港",WA,USA,US,48.11742,-122.76071,America/Los_Angeles,9335,40
Darwin,"DRW,Daarwin,Darvin,Darvina,Darvinas,Darvino,Darwin,Dārvina,Ntargouin,Palmerston,Port Darwin,da er wen,da er wen gang,dar win,dara'u'ina,daravina,darvina,darvini,darwyn,dauin,dawin,drwwyn,tarvin,Ντάργουιν,Дарвин,Дарвін,Դարվին,דארווין,דרווין,داروين,داروین,داروین، قوزئی توپراق‌لاری,ڈارون,डार्विन,ডারউইন,ਡਾਰਵਿਨ,டார்வின்,ഡാർവിൻ,ดาร์วิน,ဒါဝင်မြို့,დარვინი,ダーウィン,达尔文,达尔文港,다윈",Northern Territory,Australia,AU,-12.46113,130.84185,Australia/Darwin,147255,NA
Madras,"MDJ,Madras,madorasu,madras,mdras  awrygwn,mdrs  awrgn,Мадрас,مادراس,مدراس، اوریگون,مدرس، اورگن,マドラス",OR,USA,US,44.63345,-121.12949,America/Los_Angeles,6662,683
Golden,"Golden,Goldun,ge er deng,ghwldn,gldn  klradw,goldena,Голден,Голдън,Ґолден,غولدن,گلدن، کلرادو,گولڈن، کولوراڈو,गोल्डेन,戈尔登",CO,USA,US,39.75554,-105.2211,America/Denver,20330,1730
