franchise,revenue_category,revenue,year_created,original_media,creators,owners
Sonic the Hedgehog,Video Games/Games,6,1991,Video game,Yuji Naka Naoto Ohshima Hirokazu Yasuhara,Sega (Sega Sammy Holdings)
Space Invaders,Video Games/Games,13,1978,Video game,Tomohiro Nishikado,Taito (Square Enix)
Spider-Man,Box Office,6,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,Comic or Manga,1,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,Home Video/Entertainment,1.15,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,"Merchandise, Licensing & Retail",14,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,Music,0.212,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,TV,0.88,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
Spider-Man,Video Games/Games,1.308,1962,Comic book,Stan Lee Steve Ditko,Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)
SpongeBob SquarePants,Box Office,0.465,1999,Animated series,Stephen Hillenburg,Nickelodeon (Viacom)
SpongeBob SquarePants,"Merchandise, Licensing & Retail",13,1999,Animated series,Stephen Hillenburg,Nickelodeon (Viacom)
Star Trek,Box Office,2,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
Star Trek,Home Video/Entertainment,1.326,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
Star Trek,"Merchandise, Licensing & Retail",4,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
Star Trek,TV,2,1966,Television series,Gene Roddenberry,CBS Corporation Paramount Pictures (Viacom)
Star Wars,Book sales,1,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,Box Office,9,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,Home Video/Entertainment,9,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,"Merchandise, Licensing & Retail",40,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,TV,0.004,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Star Wars,Video Games/Games,4,1977,Film,George Lucas,Lucasfilm (The Walt Disney Company)
Strawberry Shortcake,Home Video/Entertainment,0.002,1979,Greeting card,American Greetings,American Greetings
Strawberry Shortcake,"Merchandise, Licensing & Retail",4,1979,Greeting card,American Greetings,American Greetings
Street Fighter,Box Office,0.211,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
Street Fighter,Music,0.007,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
Street Fighter,Video Games/Games,11.017,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
Super Sentai / Power Rangers,Box Office,0.218,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
Super Sentai / Power Rangers,Home Video/Entertainment,0.015,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
Super Sentai / Power Rangers,"Merchandise, Licensing & Retail",29,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
Superman,Box Office,3,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,Comic or Manga,1.087,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,Home Video/Entertainment,0.603,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,"Merchandise, Licensing & Retail",8,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,TV,0.428,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Superman,Video Games/Games,0.034,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
Tamagotchi,Box Office,0.006,1996,Digital pet,Aki Maita Akihiro Yokoi Bandai,Bandai Namco Holdings
Tamagotchi,"Merchandise, Licensing & Retail",3,1996,Digital pet,Aki Maita Akihiro Yokoi Bandai,Bandai Namco Holdings
Tamagotchi,Video Games/Games,2.154,1996,Digital pet,Aki Maita Akihiro Yokoi Bandai,Bandai Namco Holdings
Teenage Mutant Ninja Turtles,Box Office,1,1984,Comic book,Kevin Eastman Peter Laird,Viacom
Teenage Mutant Ninja Turtles,Home Video/Entertainment,0.28500000000000003,1984,Comic book,Kevin Eastman Peter Laird,Viacom
Teenage Mutant Ninja Turtles,"Merchandise, Licensing & Retail",11,1984,Comic book,Kevin Eastman Peter Laird,Viacom
Teenage Mutant Ninja Turtles,Video Games/Games,0.45,1984,Comic book,Kevin Eastman Peter Laird,Viacom
The Big Bang Theory,TV,4,2007,Television series,Chuck Lorre Bill Prady,Warner Bros. (AT&T)
The Hunger Games,Box Office,2,2008,Novel,Suzanne Collins,Scholastic Corporation Lionsgate
The Hunger Games,Home Video/Entertainment,0.47500000000000003,2008,Novel,Suzanne Collins,Scholastic Corporation Lionsgate
The Lion King,Box Office,0.987,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Lion King,Home Video/Entertainment,1,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Lion King,"Merchandise, Licensing & Retail",3,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Lion King,Music,8,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
The Phantom of the Opera,Box Office,0.155,1986,Musical theatre,Andrew Lloyd Webber,Andrew Lloyd Webber
The Phantom of the Opera,Music,6,1986,Musical theatre,Andrew Lloyd Webber,Andrew Lloyd Webber
The Simpsons,Box Office,0.527,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
The Simpsons,Home Video/Entertainment,1,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
The Simpsons,"Merchandise, Licensing & Retail",6,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
The Simpsons,TV,6,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
Thomas & Friends,Box Office,0.02,1946,Book,Wilbert Awdry Christopher Awdry,Egmont Group Mattel
Thomas & Friends,"Merchandise, Licensing & Retail",8,1946,Book,Wilbert Awdry Christopher Awdry,Egmont Group Mattel
Toy Story,Box Office,2,1995,Animated film,Pixar,The Walt Disney Company
Toy Story,Home Video/Entertainment,0.54,1995,Animated film,Pixar,The Walt Disney Company
Toy Story,"Merchandise, Licensing & Retail",17,1995,Animated film,Pixar,The Walt Disney Company
Transformers,Box Office,4,1984,Animated series,Takara Hasbro  Nobuyuki Okude,Hasbro Takara Tomy
Transformers,Home Video/Entertainment,0.74,1984,Animated series,Takara Hasbro  Nobuyuki Okude,Hasbro Takara Tomy
Transformers,"Merchandise, Licensing & Retail",11,1984,Animated series,Takara Hasbro  Nobuyuki Okude,Hasbro Takara Tomy
Twilight,Book sales,1,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
Twilight,Box Office,3,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
Twilight,Home Video/Entertainment,0.9930000000000001,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
Twilight,"Merchandise, Licensing & Retail",0.395,2005,Novel,Stephenie Meyer,"Little, Brown and Company Summit Entertainment"
Ultraman,Home Video/Entertainment,0.275,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
Ultraman,"Merchandise, Licensing & Retail",10,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
Ultraman,Video Games/Games,0.967,1966,Television series,Eiji Tsuburaya,Tsuburaya Productions (Bandai Namco Holdings)
Warcraft,Box Office,0.434,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
Warcraft,Home Video/Entertainment,0.017,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
Warcraft,Video Games/Games,10,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
Westward Journey,Video Games/Games,6,2001,Video game,NetEase,NetEase
Wii series,Video Games/Games,14,2006,Video game,Nintendo EAD,Nintendo
Winnie the Pooh,Box Office,0.46,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
Winnie the Pooh,Home Video/Entertainment,0.059000000000000004,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
Winnie the Pooh,"Merchandise, Licensing & Retail",74,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
Wizarding World / Harry Potter,Book sales,7,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World / Harry Potter,Box Office,9,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World / Harry Potter,Home Video/Entertainment,3,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World / Harry Potter,"Merchandise, Licensing & Retail",7.108,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World / Harry Potter,TV,1,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World / Harry Potter,Video Games/Games,1,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
X-Men,Box Office,5,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
X-Men,Comic or Manga,0.466,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
X-Men,Home Video/Entertainment,0.667,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
X-Men,"Merchandise, Licensing & Retail",0.9,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Yo-kai Watch,Box Office,0.159,2013,Video game,Level-5,Level-5  Nintendo
Yo-kai Watch,Home Video/Entertainment,0.039,2013,Video game,Level-5,Level-5  Nintendo
Yo-kai Watch,"Merchandise, Licensing & Retail",3,2013,Video game,Level-5,Level-5  Nintendo
Yo-kai Watch,Video Games/Games,0.8250000000000001,2013,Video game,Level-5,Level-5  Nintendo
Yu-Gi-Oh!,Box Office,0.042,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
Yu-Gi-Oh!,Comic or Manga,3.196,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
Yu-Gi-Oh!,"Merchandise, Licensing & Retail",4,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
Yu-Gi-Oh!,Video Games/Games,11.329,1996,Manga,Kazuki Takahashi,Shueisha (Hitotsubashi Group) Konami (games)
