paper,year,month,title
w1518,1984,12,Anticipated Budget Deficits and the Term Structure of Interest Rates
w1519,1984,12,The Economic Effects of the Corporate Income Tax: Changing Revenues and Changing Views
w1520,1984,12,"Implications of Government Deficits for Interest Rates, Equity Returns and Corporate Financing"
w1521,1984,12,Debt and Equity Returns Revisited
w1522,1984,12,Valuing Financial Flexibility
w1523,1984,12,Have U.S. Corporations Grown Financially Weak?
w1524,1984,12,Tax Reform and Housing
w1525,1984,12,Pricing Rate Caps on Default-Free Adjustable-Rate Mortgages
w1526,1984,12,"Capital Flows, the Current Account, and the Real Exchange Rate: Consequences of Liberalization and Stabilization"
w1527,1984,12,The International Transmission of Fiscal Expenditures and Budget Deficits in the World Economy
w1528,1984,12,Causal Relationships between Infant Mortality and Fertility in Developed and Less Developed Countries
w1529,1984,12,Discrete Devaluation as a Signal to Price Setters
w1530,1984,12,"Asset Returns, Discount Rate Changes and Market Efficiency"
w1531,1985,1,Interest Rate Determination in Developing Countries: A Conceptual Framework
w1532,1985,1,On the Interest Rate Elasticity of the Demand for International Reserves: Some Evidence from Developing Coutries
w1533,1985,1,"Tax Aversion, Deficits and the Tax Rate-Tax Revenue Relationship"
w1534,1985,1,Macroeconomic Policies in the OECD and LDC External Adjustmemt
w1535,1985,1,Tariffs vs. Quotas with Endogenous Quality
w1536,1985,1,On the Economic Interpretation and Measurement of Optimal Capacity Utilization with Anticipatory Expectations
w1537,1985,1,Protection and the Product Line: Monopoly and Product Quality
w1538,1985,1,"Workers' Compensation, Wages, and the Risk of Injury"
w1539,1985,1,"Academic Ability, Earnings, and the Decision to Become a Teacher: Evidence From the National Longitudinal Study of the High School Class of 1972"
w1540,1985,1,Determinants of Slave and Crew Mortality in the Atlantic Slave Trade
w1541,1985,1,The U.S. Capital Stock in the Nineteenth Century
w1542,1985,1,Efficient Inflation Forecasts: An International Comparison
w1543,1985,1,Short-Term Movements of Long-Term Real Interest Rates: Evidence from the U.K. Indexed Bond Market
w1544,1985,1,Taxable and Tax-Exempt Interest Rates: The Role of Personal and Corporate Tax Rates
w1545,1985,1,Portfolio Choice and the Debt-to-Income Relationship
w1546,1985,1,Trade Restrictions as Facilitating Practices
w1547,1985,1,"Productivity, R&d, and Basic Research at the Firm Level in the 1970s"
w1548,1985,1,Pricing Adjustable Rate Mortgages
w1549,1985,1,Dynamic Behavior of Capital Accumulation in a Cash-in-Advance Model
w1550,1985,1,On the Optimal Taxation of Capital Income in the Open Economy
w1551,1985,1,The Welfare Effects of a Capital Income Tax in an Open Economy
w1552,1985,1,Monopolistic Competition and Deviations from PPP
w1553,1985,2,Valuing the Government's Tax Claim on Risky Corporate Assets
w1554,1985,2,"Labor and Investment Demand at the Firm Level: A Comparison of French, German and U.S. Manufacturing, 1970-79"
w1555,1985,2,Why Construction Industry Productivity is Declining
w1556,1985,2,Monetary vs. Fiscal Policy Effects: A Review of the Debate
w1557,1985,2,The Competitive Position of U.S. Manufacturing Firms
w1558,1985,2,Unemployment-Rate Dynamics and Persistent Unemployment Under Rational Expectations
w1559,1985,2,The Usefulness of the Wind-Up Measure of Pension Liabilities: A Labour Market Perspective
w1560,1985,2,Monitoring Costs and Occupational Segregation by Sex: An Historical Analysis
w1561,1985,2,Productivity Measurement with Nonstatic Expectations and Varying Capacity Utilization: An Integrated Approach
w1562,1985,2,"Education, Welfare, and the ""New"" Federalism: State Budgeting in a Federalist Public Economy"
w1563,1985,2,"Inventories, Stock-Outs, and Production Smoothing"
w1564,1985,2,Adjusting Output and Productivity Indexes for Changes in the Terms of Trade
w1565,1985,2,Crowding Out or Crowding In? Evidence on Debt-Equity Substitutability
w1566,1985,2,Economics of Information and the Theory of Economic Development
w1567,1985,2,"Macroeconomics, Income Distribution, and Poverty"
w1568,1985,2,Notes on the Effect of Capital Gains Taxation on Non-Austrian Assets
w1569,1985,2,"Market, Government, and Israel's Muted Baby Boom"
w1570,1985,2,Commodity Export Prices and the Real Exchange Rate in Developing Countries: Coffee in Colombia
w1571,1985,2,Macroeconomic Policy Under Currency Inconvertibility
w1572,1985,3,"Bank Deregulation, Accounting Systems of Exchange, and the Unit of Account: A Critical Review"
w1573,1985,3,Exchange Rate Flexibility and the Transmission of Business Cycles
w1574,1985,3,Collective Pegging to a Single Currency: The West African Monetary Union
w1575,1985,3,"Real Interest Rate, Credit Markets, and Economic Stabilization"
w1576,1985,3,Exchange Rate and Current Account Dynamics Under Rational Expectations: An Econometric Analysis
w1577,1985,3,The Real Exchange Rate as a Tool of Commercial Policy
w1578,1985,3,Collective Bargaining Laws and Threat Effects of Unionism in the Determination of Police Compensation
w1579,1985,3,Firm-Level Policy Toward Older Workers
w1580,1985,3,Money Demand Predictability
w1581,1985,3,A Variance Bounds Test of the Linear Quadratic Inventory Model
w1582,1985,3,"Labor Relations, Wages and Nonwage Compensation in Municipal Employment"
w1583,1985,3,"On the Complementarity of Commercial Policy, Capital Controls and Inflation Tax"
w1584,1985,3,International Monetary Policy to Promote Economic Recovery
w1585,1985,3,"A Disaggregated, Structural Analysis of Retirement by Race, Difficulty of Work and Health"
w1586,1985,3,Macroeconomic Stabilization Through Taxation and Indexation: The use of Firm-Specific Information
w1587,1985,3,Shifts in the Nineteenth-Century Phillips Curve Relationship
w1588,1985,3,Game Modelling the Tokyo Round of Tariff Negotiations
w1589,1985,3,Monetary Information and Interest Rates
w1590,1985,3,Exchange Rate Management: Intertemporal Tradoffs
w1591,1985,3,Purchasing Power Parity
w1592,1985,3,The Effect of the Treasury Proposal on Charitable Giving: A Comparison of Constant and Variable Elasticity Models
w1593,1985,3,Optimal Time-Consistent Fiscal Policy with Uncertain Lifetimes
w1594,1985,3,Parsimoneous Modeling of Yield Curves for U.S. Treasury Bills
w1595,1985,4,"High School Graduation, Performance and Earnings"
w1596,1985,4,On Consequences and Criticisms of Monetary Targeting
w1597,1985,4,The Effect of Job Complexity on Job Satisfaction: Evidence From Turnover and Absenteeism
w1598,1985,4,"Capital Flows, Investment, and Exchange Rates"
w1599,1985,4,An Empirical Examination of Municipal Financial Policy
w1600,1985,4,Does the Tax System Favor Investment in High-Tech or Smoke-Stack Industries?
w1601,1985,4,Ruling Out Nonstationary Speculative Bubbles
w1602,1985,4,How Does the Market Value Unfunded Pension Liabilities?
w1603,1985,4,Real Aspects of Exchange Rate Regime Choice with Collapsing Fixed Rates
w1604,1985,4,Does a Flexible Industry Wage Structure Increase Employment?: The U.S. Experience
w1605,1985,4,"Paying the Piper, Calling the Tune: Implications of Changes in Reimbursement"
w1606,1985,4,Some Historical Evidence 1870-1933 on the Impact and International Transmission of Financial Crises
w1607,1985,4,Estimating the Effects of R&D on Bell System Productivity: A Model of Embodied Technical Change
w1608,1985,4,Part-Time Work vs. Full-Time Work of Married Women in Japan
w1609,1985,4,"Supply Shocks, Wage Indexation and Monetary Accommodation"
w1610,1985,4,Conventional Valuation and the Term Structure of Interest Rates
w1611,1985,4,Aspects of Investor Behavior Under Risk
w1612,1985,4,Asset Pricing Model Specification and the Term Structure Evidence
w1613,1985,4,On the Negative Correlation Between Performance and Experience and Education
w1614,1985,5,Valuation and Optimal Exercise of the Wild Card Option in the Treasury Bond Futures Market
w1615,1985,5,The Impossibility of Rational Bubbles
w1616,1985,5,Do Wages Rise With Job Seniority?
w1617,1985,5,The Implications of Mean-Variance Optimization for Four Questions in International Macroeconomics
w1618,1985,5,Money and Interest in a Cash-in-Advance Economy
w1619,1985,5,Credit Rationing and Effective Supply Failures
w1620,1985,5,"Education Achievement in Segregated School Systems: The Effects of ""Separate-But-Equal"""
w1621,1985,5,A Model for Analyzing Youth Labor Market Policies
w1622,1985,5,Pension Funding and Saving
w1623,1985,6,Aggregate Output with Operating Rates and Inventories as Buffers Between Variable Final Demand and Quasi-Fixed Factors
w1624,1985,6,The Sensitivity of Labor Demand Functions to Choice of Dependent Variable
w1625,1985,6,Serial Correlation of Asset Returns and Optimal Portfolios for the Long and Short Term
w1626,1985,6,Stock Returns and the Term Structure
w1627,1985,6,A Tax-Based Test for Nominal Rigidities
w1628,1985,6,Estimating Neonatal Mortality Rates from the Heights of Children: The Case of American Slaves
w1629,1985,6,Borrowing Restrictions and Wealth Constraints: Implications for Aggregate Consumption
w1630,1985,6,Pure Price Effects of Nonwage Compensation
w1631,1985,6,State Personal Income and Sales Taxes: 1977-1983
w1632,1985,6,On the Limitations of Government Borrowing: A Framework for Empirical Testing
w1633,1985,6,Hospital Cost and Efficiency Under Per Service and Per Case Payment in Maryland: A Tale of the Carrot and the Stick
w1634,1985,6,Small Countries in Monetary Unions: A Two-Tier Model
w1635,1985,6,Implicit Contracts: A Survey
w1636,1985,6,The Dollar and the Policy Mix: 1985
w1637,1985,6,Macroeconomic Interdependence of Japan and the United States: Some Simulation Results
w1638,1985,6,Hours Restrictions and Labor Supply
w1639,1985,6,A Vintage Model of Supply Applied to French Manufacturing
w1640,1985,6,Are Imports to Blame?: Attribution of Injury Under the 1974 Trade Act
w1641,1985,6,Wages in the Federal and Private Sectors
w1642,1985,6,"Employment, Hours, and Earnings in the Depression: An Analysis of Eight Manufacturing Industries"
w1643,1985,6,Estimating the Continuous Time Consumption Based Asset Pricing Model
w1644,1985,6,Is the Strong Dollar Sustainable?
w1645,1985,6,The Efficiency Gains from Social Security Benefit - Tax Linkage
w1646,1985,6,Pubic Debt and U.S. Saving: A New Test of the Neutrality Hypothesis
w1647,1985,6,Banking in General Equilibrium
w1648,1985,6,"Unemployment, Disequilibrium, and the Short Run Phillips Curve: An Econometric Approach"
w1649,1985,6,The Effect of Unionism on Productivity in Privately and Publicly Owned Hospitals and Nursing Homes
w1650,1985,6,Estimates of the Value of Patent Rights in European Countries During the Post-1950 Period
w1651,1985,6,"Country Risk, Foreign Borrowing and the Social Discount Rate in an Open Developing Economy"
w1652,1985,6,Union Maids: Unions and the Female Workforce
w1653,1985,6,How do Public Sector Wages and Employment Respond to Economic Conditions
w1654,1985,6,"Time to Build, Option Value, and Investment Decisions"
w1655,1985,6,"The Indexation of Interest, Depreciation, and Capital Gains: A Model of Investment Incentives"
w1656,1985,6,Who Escapes? The Relation of Church-Going & Other Background Factors to the Socio-Economic Performance of Blk. Male Yths. from Inner-City Pvrty Tracts
w1657,1985,7,Economic Effects of Municipal Government Institutions
w1658,1985,7,Optimal Dynamic R&D Programs
w1659,1985,7,Special Exchange Rates for Capital Account Transactions
w1660,1985,7,Predation through Regulation: The Wage and Profit Impacts of OSHA and EPA
w1661,1985,7,"The Physical State of the British Working Class, 1870-1914: Evidence from Army Recruits"
w1662,1985,7,Dimensions and Determinants of Early Childhood Health and Mortality Among American Slaves
w1663,1985,7,Monetary Dynamics with Proportional Transaction Costs and Fixed Payment Periods
w1664,1985,7,Capital Accumulation and Uncertain Lifetimes with Adverse Selection
w1665,1985,7,Domestic Violence: A Non-random Affair
w1666,1985,7,"A Theory of Dual Labor Markets with Application to Industrial Policy, Discrimination and Keynesian Unemployment"
w1667,1985,7,Regulated Price Discrimination and Quality: The Implications of Medicaid Reimbursement Policy for the Nursing Home Industry
w1668,1985,7,Prizes and Incentives in Elimination Tournaments
w1669,1985,7,The Changing Behavior of the Term Structure of Interest Rates
w1670,1985,7,Testing Dual Labor Market Theory: A Reconsideration of the Evidence
w1671,1985,7,"Bargaining Unit, Union, Industry, and Locational Correlates of Union Support in Certification and Decertification"
w1672,1985,7,Using Survey Data to Test Some Standard Propositions Regarding Exchange Rate Expectations
w1673,1985,7,"Sovereign Debt as a Contingent Claim: Excusable Default, Repudiation, and Reputation"
w1674,1985,8,Dynamic R&D Competition
w1675,1985,8,Stopping Hyperinflation: Lessons from the German Inflation Experience of the 1920s
w1676,1985,8,Are Devaluations Contractionary?
w1677,1985,8,"Unions, Pension Wealth, and Age-Compensation Profiles"
w1678,1985,8,Monetary Policy Regime Shifts and the Unusual Behavior of Real Interest Rates
w1679,1985,8,Horizontal Equity: Measures in Search of a Principle
w1680,1985,8,Gibson's Paradox and the Gold Standard
w1681,1985,8,A Pigovian Rule for the Optimum Provision of Public Goods
w1682,1985,8,The Cost of Annuities: Implications for Saving Behavior and Bequests
w1683,1985,8,Annuity Prices and Saving Behavior in the United States
w1684,1985,8,Hidden Stimuli to Capital Formation: Debt and the Incomplete Adjustment of Financial Returns
w1685,1985,8,"Productivity Growth in Manufacturing During Early Industrialization: Evidence from the American Northeast, 1820 to 1860"
w1686,1985,8,Is Increased Price Flexibility Stabilizing?
w1687,1985,8,A Reappraisal of Recent Tests of the Permanent Income Hypothesis
w1688,1985,8,The Economics of Reproduction-Related Health Care
w1689,1985,8,The Pricing of Bonds and Bank Loans in International Markets: An Empirical Analysis of Developing Countries' Foreign Borrowing
w1690,1985,8,Choice Under Uncertainty: A Model of Applications for the Social Security Disability Insurance Program
w1691,1985,8,"Subsidies, Quality, and Regulation in the Nursing Home Industry"
w1692,1985,8,Capital Mobility in the World Economy: Theory and Measurement
w1693,1985,8,The Impact of the Runaway Office on Union Certification Elections in Clerical Units
w1694,1985,8,Real Interest and Consumption
w1695,1985,9,Affordability and the Value of Seller Financing
w1696,1985,9,Aggregate Supply and Demand Factors in OECD Unemployment: An Update
w1697,1985,9,Lending with Costly Enforcement of Repayment and Potential Fraud
w1698,1985,9,An Analysis of the Stabilizing and Welfare Effects of Intervention in Spot and Futures Markets
w1699,1985,9,Monetary and Fiscal Policy Under Perfect Foresight: A Symmetric Two Country Analysis
w1700,1985,9,"On the Nature and Estimation of Age. Period, and Cohort Effects in Demographic Data"
w1701,1985,9,Marriage Patterns in the United States
w1702,1985,9,The Behavior of Interest Rates and Real Exchange Rates During a Liberalization Episode: The Case of Chile 1973-83
w1703,1985,9,Growth and External Debt Under Risk of Debt Repudiation
w1704,1985,9,The Ineffectiveness of Effective Tax Rates on Business Investment
w1705,1985,9,"Interest Rates, Money Supply Announcements, and Monetary Base Announcements"
w1706,1985,9,On the Age at Leaving Home in the Early Nineteenth Century: Evidence from the Lives of New England Manufacturers
w1707,1985,9,Tax Reform and Financial Markets
w1708,1985,9,"Tax Reform, Interest Rates and Capital Allocation"
w1709,1985,9,Taxation and the Size and Composition of the Capital Stock: An Asset Price Approach
w1710,1985,9,Issues in National Savings Policy
w1711,1985,10,Poverty in America: Is Welfare the Answer or the Problem?
w1712,1985,10,"Inflation, Tariffs and Tax Enforcement Costs"
w1713,1985,10,A Problem of Financial Market Equilibrium When the Timing of Tax Payments is Indeterminate
w1714,1985,10,Does Deductibility Influence Local Taxation?
w1715,1985,10,Assistance to the Poor in a Federal System
w1716,1985,10,Short-Term and Long-Term Interest Rates in a Monetary Model of a Small Open Economy
w1717,1985,10,"Standard-Rate Wage Setting, Labor Quality, and Unions"
w1718,1985,10,The Comparative Advantage of Educated Workers in Implementing New Technology: Some Empirical Evidence
w1719,1985,10,Defined Benefit versus Defined Contribution Pension Plans: What are the Real Tradeoffs?
w1720,1985,10,Tests for Liquidity Constraints: A Critical Survey
w1721,1985,10,Mutual Fund Performance Evaluation: A Comparison of Benchmarks and Benchmark Comparisons
w1722,1985,10,Monetary Rules and Commodity Schemes Under Uncertainty
w1723,1985,10,Taxation of Investment and Savings in a World Economy: The Certainty Case
w1724,1985,10,The Welfare Analysis of Product Innovations with an Application to CT Scanners
w1725,1985,10,The Empirical Foundations of the Arbitrage Pricing Theory I: The Empirical Tests
w1726,1985,10,The Empirical Foundations of the Arbitrage Pricing Theory II: The Optimal Construction of Basis Portfolios
w1727,1985,10,The Funding Status of Teacher Pensions: An Econometric Approach
w1728,1985,10,"Municipal Employment, Municipal Unions, and Demand for Municipal Services"
w1729,1985,10,Birth Outcome Production Functions in the U.S.
w1730,1985,10,Intergenerational Risk Sharing
w1731,1985,10,The Determinants of IRA Contributions and the Effect of Limit Changes
w1732,1985,10,"Was it Real? The Exchange Rate-Interest Differential Relation, 1973-1984"
w1733,1985,10,Union Work Rules and Efficiency in the Building Trades
w1734,1985,10,Sharing Some Thoughts on Weitzman's The Share Economy
w1735,1985,10,"Productivity Growth in the Automobile Industry, 1970-1980: A Comparison of Canada, Japan and the United States"
w1736,1985,10,"Social Security and Individual Welfare: Precautionary Saving, Liquidity Constraints, and the Payroll Tax"
w1737,1985,10,Life Insurance of the Elderly: Adequacy and Determinants
w1738,1985,10,Nominal Contracting and Price Flexibility in Product Markets
w1739,1985,10,"Inflation, Exchange Rates and Stabilization"
w1740,1985,10,The Administration Tax Reform Proposal and Housing
w1741,1985,10,Commodity Export Boom and the Real Exchange Rate: The Money-Inflation Link
w1742,1985,10,"Employment While in College, Academic Achievement and Post-College Outcomes: A Summary of Results"
w1743,1985,10,Foreign Currency Futures
w1744,1985,10,Labor Supply Incentives and Disincentives for the Disabled
w1745,1985,10,The Effectiveness of Equal Employment Law and Affirmative Action Regulation
w1746,1985,10,Macroeconomic Policy Design in an Interdependent World Economy: An Analysis of Three Contingencies
w1747,1985,10,"The Covariance Structure of Earnings and Income, Compensatory Behavior and On-the-Job Investments"
w1748,1985,10,The Effect of the Union Wage Differential on Management Opposition and Union Organizing Success
w1749,1985,10,The Covariation of Risk Premiums and Expected Future Spot Exchange Rates
w1750,1985,10,A Latent Variable Model of Quality Determination
w1751,1985,10,"A Decomposition of the Elasticity of Medicaid Nursing Home Expenditures Into Price, Quality, and Quantity Effects"
w1752,1985,10,Increasing Returns and the Theory of International Trade
w1753,1985,10,Taxes and Corporate Investment in Japanese Manufacturing
w1754,1985,10,Workers' Rights: Rethinking Protective Labor Legislation
w1755,1985,10,"Exchange Controls, Capital Controls, and International Financial Markets"
w1756,1985,10,The Return to Tax Simplification: An Econometric Analysis
w1757,1985,10,The Impact of Induced Abortion on Birth Outcomes in the U.S.
w1758,1985,10,"The Antebellum ""Surge"" in Skill Differentials One More Time: New Evidence"
w1759,1985,10,The Optimal Size of a Tax Collection Agency
w1760,1985,10,Taxpayer Behavior and the Distribution of the 1982 Tax Cut
w1761,1985,10,Estimating the Revenue Maximizing Top Personal Tax Rate
w1762,1985,10,The Corporate Cost of Capital in Japan and the U.S.: A Comparison
w1763,1985,10,"The Impact of Pollution Abatement Investment on Productivity Change: An Empirical Comparison of the U.S., Germany, and Canada"
w1764,1985,10,Testing Long-Run Productivity Models for the Canadian and U.S. Agricultural Sectors
w1765,1985,10,The Impact of Tax Reform on Households
w1766,1985,10,"Changes in the Age Distribution of Income in the United States, 1968-1984"
w1767,1985,10,"Price Flexibility, Credit Rationing, and Economic Fluctuations: Evidence from the U.S., 1879-1914"
w1768,1985,10,The Deductibility of State and Local Taxes: Impact Effects by State and Income Class
w1769,1985,12,Exchange Rates and Prices
w1770,1985,12,"Monopolistic Competition, Aggregate Demand Externalities and Real Effects of Nominal Money"
w1771,1985,12,The Wage Price Spiral
w1772,1985,12,Debt and Default in the 1930s: Causes and Consequences
w1773,1985,12,International Capital Mobility and Crowding Out in the U.S. Economy: Imperfect Integration of Financial Markets or of Goods Markets?
w1774,1985,12,New Estimates of Federal Government Tangible Capital and Net Investment
w1775,1985,12,Should Social Security Be Means Tested?
w1776,1985,12,Has Cost Containment Gone Too Far?
w1777,1985,12,Causes of Appreciation and Volatility of the Dollar with Comment by Jacob Frenkel
w1778,1985,12,R&D and Productivity Growth: Comparing Japanese and U.S. Manufacturing Firms
w1779,1985,10,Rational Bubbles in Stock Prices?
w1780,1985,12,The Dynamic Interaction of Exchange Rates and Trade Flows
w1781,1985,12,The Second Best Theory of Differential Capital Taxation
w1782,1985,12,The Crime Rate and the Condition of the Labor Market: A Vector Autoregressive Model
w1783,1985,12,A Multinominal Logistic Approach to the Labor Force Behavior of Japanese Married Women
w1784,1985,12,Expected Fiscal Policy and the Recession of 1982
w1785,1986,1,The Relation Between Price and Marginal Cost in U.S. Industry
w1786,1986,1,The Allocation of Credit and Financial Collapse
w1787,1986,1,"Monopolistic Competition, Relative Prices and Output Adjustment in the Open Economy"
w1788,1986,1,The Equity Premium and the Concentration of Aggregate Shocks
w1789,1986,1,Long-Term Behavior of Yield Curves
w1790,1986,1,U.S. Budget Deficits and the European Economies: Resolving the Political Economy Puzzle
w1791,1986,1,The Effect of Federal Tax Deductibility on State and Local Taxes and Spending
w1792,1986,1,Supply Side Economics: Old Truths and New Claims
w1793,1986,1,A Reformulation of the Economic Theory of Fertility
w1794,1986,1,Reputation in a Model of Monetary Policy with Incomplete Information
w1795,1986,1,Discontinuities in Pension Benefit Formulas and the Spot Model of the Labor Market: Implications for Financial Economists
w1796,1986,1,Money in the Utility Function: An Empirical Implementation
w1797,1986,1,"1944, 1963 and 1985: Modiglianiesque Macro Models"
w1798,1986,1,The Invariance of R&D to the Number of Firms in the Industry
w1799,1986,1,The International Transmission and Effects of Fiscal Policies
w1800,1986,1,Coordination of Monetary and Fiscal Policies in the OECD
w1801,1986,1,Sectorial Wages and the Real Exchange Rate
w1802,1986,1,Nutrition and the Decline in Mortality Since 1700: Some Additional Preliminary Findings
w1803,1986,1,"Tax Reform, Investment, and the Value of the Firm"
w1804,1986,1,Implications of the U.S. Net Capital Inflow
w1805,1986,1,Does Saving Anticipate Declining Labor Income? An Alternative Test of the Permanent Income Hypothesis
w1806,1986,1,"Money Announcements, the Demand for Bank Reserves and the Behavior of the Federal Funds Rate Within the Statement Week"
w1807,1986,1,The Economic Performance of Survivors after Layoffs: A Plant-Level Study
w1808,1986,1,Public Sector Recognition Strikes: Illegal and Ill-Fated
w1809,1986,1,Public Sector Union Growth and Bargaining Laws: A Proportional Hazards Approach with Time-Varying Treatments
w1810,1986,1,Stopping Hyperinflations Past and Present
w1811,1986,1,Inflation and Wage Dispersion
w1812,1986,1,The Response of Interest Rates to Money Announcements under Alternative Operating Prosedures and Reserve Requirement Systems
w1813,1986,1,The Rigidity of Prices
w1814,1986,1,Estimated Macroeconomic Effects of Deficit Targeting
w1815,1986,1,"Technological Opportunity and Spillovers of R&D: Evidence from Firms' Patents, Profits and Market Value"
w1816,1986,1,"Variation in Employment Growth in Canada: The Role of External, National, Regional and Industrial Factors"
w1817,1986,1,Fixed Price Versus Spot Price Contracts: A Study in Risk Allocation
w1818,1986,1,A Time-Series Model of Housing Investment in the U.S.
w1819,1986,1,"Job Duration, Seniority, and Earnings"
w1820,1986,1,"Work Rules, Featherbedding, and Pareto-Optimal Union Management Bargaining"
w1821,1986,1,Explorations in Monetary History: A Survey of the Literature
w1822,1986,1,Generating a Sharp Disinflation: Israel 1985
w1823,1986,1,The New Protectionism: A Response to Shifts in National Economic Power
w1824,1986,1,Monetary Policies in Interdependent Economies with Stochastic Disturbances: A Strategic Approach
w1825,1986,1,"Layoffs, Recall and the Duration of Unemployment"
w1826,1986,1,Savings and Bequests
w1827,1986,2,The Contribution of Intergenerational Transfers to Total Wealth: A Reply
w1828,1986,2,The Term Structure of Interest Rates: Evidence and Theory
w1829,1986,2,"The ""Youth Problem"": Age or Generational Crowding?"
w1830,1986,2,High Unemployment in Europe: Diagnosis and Policy Implications
w1831,1986,2,Intertemporal Labor Supply and Long Term Employment Contracts
w1832,1986,2,On the Covariance Structure of Earnings and Hours Changes
w1833,1986,2,Dividend Innovations and Stock Price Volatility
w1834,1986,2,The Welfare Implications of Costly Litigation in the Theory of Liability
w1835,1986,2,Targeting Nominal Income: A Note
w1836,1986,2,Macroeconomic Responses by Developing Countries to Changes in External Economic Conditions
w1837,1986,2,"Population Growth, Labor Supply, and Employment in Developing Countries"
w1838,1986,2,Elections and Macroeconomic Policy Cycles
w1839,1986,2,"Plant Closings, Labor Demand and the Value of the Firm"
w1840,1986,2,Why Have Unemployment Rates in Canada and the U.S. Diverged?
w1841,1986,2,Empirical Models of Arbitrator Behavior Under Conventional Arbitration
w1842,1986,2,Alternative Explanations of the Money-Income Correlation
w1843,1986,2,Content Protection and Oligopolistic Interactions
w1844,1986,2,Borrowing to Defend the Exchange Rate and the Timing and Magnitude of Speculative Attacks
w1845,1986,2,Seasonal Fluctuations and the Life Cycle-Permanent Income Model of Consumption
w1846,1986,2,Detrebling versus Decoupling Antitrust Damages: Lessons from the Theory of Enforcement
w1847,1986,2,The Impact of Deregulation on the Employment and Wages of Airline Mechanics
w1848,1986,3,Productivity Growth and Changes in the Terms of Trade in Japan and the U.S.
w1849,1986,3,The Extent and Sources of Cost and Efficiency Differences Between U.S. and Japanese Automobile Producers
w1850,1986,3,Comparison and Analysis of Productivity Growth and R&D Investment in the Electrical Machinery Industries of the United States and Japan
w1851,1986,3,Survey Evidence on Diffusion of Investment Among Institutional Investors
w1852,1986,3,Effects of Alcoholic Beverage Prices and Legal Drinking Ages on Youth Alcohol Use
w1853,1986,3,News from the U. S. and Japan: Which Moves the Yen/Dollar Exchange Rate?
w1854,1986,3,The Dollar as Speculative Bubble: A Tale of Fundamentalists and Chartists
w1855,1986,3,Taxes and the Merger Decision: An Empirical Analysis
w1856,1986,3,"Wages, Employment and the Threat of Collective Action by Workers"
w1857,1986,3,The Effects of Tax Rules on Nonresidential Fixed Investment: Some Preliminary Evidence from the 1980s
w1858,1986,3,U.S. Monetary Policy Regimes and U.S.-Japan Financial Relations
w1859,1986,3,Search Method Use by Unemployed Youth
w1860,1986,3,Informal Job Search and Black Youth Unemployment
w1861,1986,3,Employed and Unemployed Job Search: A Comparison of Choices and Outcomes among Youth
w1862,1986,3,New Results on the Effects of Tax Policy on the International Location of Investment
w1863,1986,3,Tax Loss Carryforwards and Corporate Tax Incentives
w1864,1986,3,Tax Incidence
w1865,1986,3,International Borrowing to Finance Investment
w1866,1986,3,"Internal Non-Price Competition, Pricing, and Incentive Systems in the Cooperative Service Firm: The Case of US Medical Group Practice"
w1867,1986,3,"Asset Price Volatility, Bubbles, and Process Switching"
w1868,1986,3,The General Theory of Tax Avoidance
w1869,1986,3,"Tariffs, Saving and the Current Account"
w1870,1986,3,An Empirical Test of an Asymmetric Information Model of Strikes
w1871,1986,3,How Burdensome are Capital Gains Taxes?
w1872,1986,3,Optimal Tariffs in Consistent Conjectural Variations Equilibrium
w1873,1986,3,Aggregate Savings in the Presence of Private and Social Insurance
w1874,1986,3,"The October 1979 Change in the Monetary Regime: Its Impact on the ""Forecastability"" of Interest Rates"
w1875,1986,3,The Theory and Measurement of Macroeconomic Disequilibrium in Centrally Planned Economies
w1876,1986,3,Counterfeit-Product Trade
w1877,1986,3,Models of Firm Behavior Under Minimum Wage Legislation
w1878,1986,4,Bonuses and Employment in Japan
w1879,1986,4,IRAs and Saving
w1880,1986,4,"Country Risk, Asymmetric Information and Domestic Policies"
w1881,1986,4,Targeting Rules for Monetary Policy
w1882,1986,4,Structural Changes in Unionization: 1973-1981
w1883,1986,4,Labor Market Segmentation and the Union Wage Premium
w1884,1986,4,Crime and Punishment Again: The Economic Approach with a Psychological Twist
w1885,1986,4,Cointegration and Tests of Present Value Models
w1886,1986,4,Anticipated Tax Changes and the Timing of Investment
w1887,1986,4,Compensating Wage Differentials and the Duration of Wage Loss
w1888,1986,4,The Earnings Gap Between Male and Female Workers: An Historical Perspective
w1889,1986,4,The Illusion of Stabilization Policy?
w1890,1986,4,Inside Money and Monetary Neutrality
w1891,1986,4,Social Security: A Financial Appraisal Across and Within Generations
w1892,1986,4,The Optimal Inflation Rate in an Overlapping-Generations Economy with Land
w1893,1986,4,Capital Gains: Rates Realizations and Revenues
w1894,1986,4,The Pure Theory of Country Risk
w1895,1986,4,Job Characteristics and Hours of Work
w1896,1986,4,Notes on the Tax Treatment of Structures
w1897,1986,4,"Asset Prices in a Time Series Model with Disparately Informed, Competitive Traders"
w1898,1986,4,The Budget Deficit and the Dollar
w1899,1986,4,The Dynamic Demand for Capital and Labor
w1900,1986,4,Capital Utilization and Capital Accumulation: Theory and Evidence
w1901,1986,4,The Efficiency of the Supply of Public Education
w1902,1986,4,The Limited Viability of Dual Exchange-Rate Regimes
