player,year,tournament,outcome,gender
Virginia Ruzici,1988,US Open,Retired,Female
Dianne Fromholtz Balestrat,1988,US Open,2nd Round,Female
Andrea Jaeger,1988,US Open,Retired,Female
Kathy Jordan,1988,US Open,Absent,Female
Mary Joe Fernández,1988,US Open,3rd Round,Female
Betsy Nagelsen,1988,US Open,3rd Round,Female
Sylvia Hanika,1988,US Open,3rd Round,Female
Sharon Walsh,1988,US Open,Absent,Female
Barbara Jordan,1988,US Open,Retired,Female
Steffi Graf,1989,Australian Open,Won,Female
Martina Navratilova,1989,Australian Open,Quarterfinalist,Female
Chris Evert,1989,Australian Open,Absent,Female
Monica Seleš,1989,Australian Open,Absent,Female
Gabriela Sabatini,1989,Australian Open,Semi-finalist,Female
Hana Mandlíková,1989,Australian Open,4th Round,Female
Arantxa Sánchez Vicario,1989,Australian Open,Absent,Female
Zina Garrison Jackson,1989,Australian Open,Quarterfinalist,Female
Pam Shriver,1989,Australian Open,3rd Round,Female
Natasha Zvereva,1989,Australian Open,Absent,Female
Helena Suková,1989,Australian Open,Finalist,Female
Jana Novotná,1989,Australian Open,3rd Round,Female
/ Manuela Maleeva,1989,Australian Open,Absent,Female
Anke Huber,1989,Australian Open,NA,Female
Conchita Martínez,1989,Australian Open,2nd Round,Female
Mary Pierce,1989,Australian Open,NA,Female
Lindsay Davenport,1989,Australian Open,NA,Female
Jennifer Capriati,1989,Australian Open,NA,Female
Virginia Wade,1989,Australian Open,Retired,Female
Rosemary Casals,1989,Australian Open,NA,Female
Tracy Austin,1989,Australian Open,Absent,Female
Nathalie Tauziat,1989,Australian Open,Absent,Female
Wendy Turnbull,1989,Australian Open,1st Round,Female
Mima Jaušovec,1989,Australian Open,Retired,Female
Virginia Ruzici,1989,Australian Open,Retired,Female
Dianne Fromholtz Balestrat,1989,Australian Open,Absent,Female
Andrea Jaeger,1989,Australian Open,Retired,Female
Kathy Jordan,1989,Australian Open,Absent,Female
Mary Joe Fernández,1989,Australian Open,3rd Round,Female
Betsy Nagelsen,1989,Australian Open,Absent,Female
Sylvia Hanika,1989,Australian Open,1st Round,Female
Sharon Walsh,1989,Australian Open,Retired,Female
Barbara Jordan,1989,Australian Open,Retired,Female
Steffi Graf,1989,French Open,Finalist,Female
Martina Navratilova,1989,French Open,Absent,Female
Chris Evert,1989,French Open,Absent,Female
Monica Seleš,1989,French Open,Semi-finalist,Female
Gabriela Sabatini,1989,French Open,4th Round,Female
Hana Mandlíková,1989,French Open,1st Round,Female
Arantxa Sánchez Vicario,1989,French Open,Won,Female
Zina Garrison Jackson,1989,French Open,3rd Round,Female
Pam Shriver,1989,French Open,Absent,Female
Natasha Zvereva,1989,French Open,1st Round,Female
Helena Suková,1989,French Open,2nd Round,Female
Jana Novotná,1989,French Open,Quarterfinalist,Female
/ Manuela Maleeva,1989,French Open,Quarterfinalist,Female
Anke Huber,1989,French Open,NA,Female
Conchita Martínez,1989,French Open,Quarterfinalist,Female
Mary Pierce,1989,French Open,NA,Female
Lindsay Davenport,1989,French Open,NA,Female
Jennifer Capriati,1989,French Open,NA,Female
Virginia Wade,1989,French Open,Retired,Female
Rosemary Casals,1989,French Open,NA,Female
Tracy Austin,1989,French Open,Absent,Female
Nathalie Tauziat,1989,French Open,1st Round,Female
Wendy Turnbull,1989,French Open,Absent,Female
Mima Jaušovec,1989,French Open,Retired,Female
Virginia Ruzici,1989,French Open,Retired,Female
Dianne Fromholtz Balestrat,1989,French Open,1st Round,Female
Andrea Jaeger,1989,French Open,Retired,Female
Kathy Jordan,1989,French Open,Absent,Female
Mary Joe Fernández,1989,French Open,Semi-finalist,Female
Betsy Nagelsen,1989,French Open,Absent,Female
Sylvia Hanika,1989,French Open,4th Round,Female
Sharon Walsh,1989,French Open,Retired,Female
Barbara Jordan,1989,French Open,Retired,Female
Steffi Graf,1989,Wimbledon,Won,Female
Martina Navratilova,1989,Wimbledon,Finalist,Female
Chris Evert,1989,Wimbledon,Semi-finalist,Female
Monica Seleš,1989,Wimbledon,4th Round,Female
Gabriela Sabatini,1989,Wimbledon,2nd Round,Female
Hana Mandlíková,1989,Wimbledon,4th Round,Female
Arantxa Sánchez Vicario,1989,Wimbledon,Quarterfinalist,Female
Zina Garrison Jackson,1989,Wimbledon,2nd Round,Female
Pam Shriver,1989,Wimbledon,3rd Round,Female
Natasha Zvereva,1989,Wimbledon,3rd Round,Female
Helena Suková,1989,Wimbledon,4th Round,Female
Jana Novotná,1989,Wimbledon,4th Round,Female
/ Manuela Maleeva,1989,Wimbledon,Absent,Female
Anke Huber,1989,Wimbledon,NA,Female
Conchita Martínez,1989,Wimbledon,Absent,Female
Mary Pierce,1989,Wimbledon,NA,Female
Lindsay Davenport,1989,Wimbledon,NA,Female
Jennifer Capriati,1989,Wimbledon,NA,Female
Virginia Wade,1989,Wimbledon,Retired,Female
Rosemary Casals,1989,Wimbledon,NA,Female
Tracy Austin,1989,Wimbledon,Absent,Female
Nathalie Tauziat,1989,Wimbledon,1st Round,Female
Wendy Turnbull,1989,Wimbledon,2nd Round,Female
Mima Jaušovec,1989,Wimbledon,Retired,Female
Virginia Ruzici,1989,Wimbledon,Retired,Female
Dianne Fromholtz Balestrat,1989,Wimbledon,Absent,Female
Andrea Jaeger,1989,Wimbledon,Retired,Female
Kathy Jordan,1989,Wimbledon,Absent,Female
Mary Joe Fernández,1989,Wimbledon,4th Round,Female
Betsy Nagelsen,1989,Wimbledon,1st Round,Female
Sylvia Hanika,1989,Wimbledon,1st Round,Female
Sharon Walsh,1989,Wimbledon,Retired,Female
Barbara Jordan,1989,Wimbledon,Retired,Female
Steffi Graf,1989,US Open,Won,Female
Martina Navratilova,1989,US Open,Finalist,Female
Chris Evert,1989,US Open,Quarterfinalist,Female
Monica Seleš,1989,US Open,4th Round,Female
Gabriela Sabatini,1989,US Open,Semi-finalist,Female
Hana Mandlíková,1989,US Open,3rd Round,Female
Arantxa Sánchez Vicario,1989,US Open,Quarterfinalist,Female
Zina Garrison Jackson,1989,US Open,Semi-finalist,Female
Pam Shriver,1989,US Open,1st Round,Female
Natasha Zvereva,1989,US Open,4th Round,Female
Helena Suková,1989,US Open,Quarterfinalist,Female
Jana Novotná,1989,US Open,2nd Round,Female
/ Manuela Maleeva,1989,US Open,Quarterfinalist,Female
Anke Huber,1989,US Open,NA,Female
Conchita Martínez,1989,US Open,4th Round,Female
Mary Pierce,1989,US Open,NA,Female
Lindsay Davenport,1989,US Open,NA,Female
Jennifer Capriati,1989,US Open,NA,Female
Virginia Wade,1989,US Open,Retired,Female
Rosemary Casals,1989,US Open,NA,Female
Tracy Austin,1989,US Open,Absent,Female
Nathalie Tauziat,1989,US Open,3rd Round,Female
Wendy Turnbull,1989,US Open,Absent,Female
Mima Jaušovec,1989,US Open,Retired,Female
Virginia Ruzici,1989,US Open,Retired,Female
Dianne Fromholtz Balestrat,1989,US Open,1st Round,Female
Andrea Jaeger,1989,US Open,Retired,Female
Kathy Jordan,1989,US Open,Absent,Female
Mary Joe Fernández,1989,US Open,1st Round,Female
Betsy Nagelsen,1989,US Open,2nd Round,Female
Sylvia Hanika,1989,US Open,3rd Round,Female
Sharon Walsh,1989,US Open,Retired,Female
Barbara Jordan,1989,US Open,Retired,Female
Steffi Graf,1990,Australian Open,Won,Female
Martina Navratilova,1990,Australian Open,Absent,Female
Chris Evert,1990,Australian Open,Retired,Female
Monica Seleš,1990,Australian Open,Absent,Female
Gabriela Sabatini,1990,Australian Open,3rd Round,Female
Hana Mandlíková,1990,Australian Open,3rd Round,Female
Arantxa Sánchez Vicario,1990,Australian Open,Absent,Female
Zina Garrison Jackson,1990,Australian Open,Quarterfinalist,Female
Pam Shriver,1990,Australian Open,3rd Round,Female
Natasha Zvereva,1990,Australian Open,2nd Round,Female
Helena Suková,1990,Australian Open,Semi-finalist,Female
Jana Novotná,1990,Australian Open,3rd Round,Female
/ Manuela Maleeva,1990,Australian Open,Absent,Female
Anke Huber,1990,Australian Open,3rd Round,Female
Conchita Martínez,1990,Australian Open,Absent,Female
Mary Pierce,1990,Australian Open,Absent,Female
Lindsay Davenport,1990,Australian Open,NA,Female
Jennifer Capriati,1990,Australian Open,Absent,Female
Virginia Wade,1990,Australian Open,Retired,Female
Rosemary Casals,1990,Australian Open,NA,Female
Tracy Austin,1990,Australian Open,Absent,Female
Nathalie Tauziat,1990,Australian Open,Absent,Female
Wendy Turnbull,1990,Australian Open,Retired,Female
Mima Jaušovec,1990,Australian Open,Retired,Female
Virginia Ruzici,1990,Australian Open,Retired,Female
Dianne Fromholtz Balestrat,1990,Australian Open,1st Round,Female
Andrea Jaeger,1990,Australian Open,Retired,Female
Kathy Jordan,1990,Australian Open,Absent,Female
Mary Joe Fernández,1990,Australian Open,Finalist,Female
Betsy Nagelsen,1990,Australian Open,Absent,Female
Sylvia Hanika,1990,Australian Open,Absent,Female
Sharon Walsh,1990,Australian Open,Retired,Female
Barbara Jordan,1990,Australian Open,Retired,Female
Steffi Graf,1990,French Open,Finalist,Female
Martina Navratilova,1990,French Open,Absent,Female
Chris Evert,1990,French Open,Retired,Female
Monica Seleš,1990,French Open,Won,Female
Gabriela Sabatini,1990,French Open,4th Round,Female
Hana Mandlíková,1990,French Open,Absent,Female
Arantxa Sánchez Vicario,1990,French Open,2nd Round,Female
Zina Garrison Jackson,1990,French Open,1st Round,Female
Pam Shriver,1990,French Open,Absent,Female
Natasha Zvereva,1990,French Open,4th Round,Female
Helena Suková,1990,French Open,Absent,Female
Jana Novotná,1990,French Open,Semi-finalist,Female
/ Manuela Maleeva,1990,French Open,Quarterfinalist,Female
Anke Huber,1990,French Open,Absent,Female
Conchita Martínez,1990,French Open,Quarterfinalist,Female
Mary Pierce,1990,French Open,2nd Round,Female
Lindsay Davenport,1990,French Open,NA,Female
Jennifer Capriati,1990,French Open,Semi-finalist,Female
Virginia Wade,1990,French Open,Retired,Female
Rosemary Casals,1990,French Open,NA,Female
Tracy Austin,1990,French Open,Absent,Female
Nathalie Tauziat,1990,French Open,4th Round,Female
Wendy Turnbull,1990,French Open,Retired,Female
Mima Jaušovec,1990,French Open,Retired,Female
Virginia Ruzici,1990,French Open,Retired,Female
Dianne Fromholtz Balestrat,1990,French Open,Retired,Female
Andrea Jaeger,1990,French Open,Retired,Female
Kathy Jordan,1990,French Open,Absent,Female
Mary Joe Fernández,1990,French Open,Quarterfinalist,Female
Betsy Nagelsen,1990,French Open,1st Round,Female
Sylvia Hanika,1990,French Open,2nd Round,Female
Sharon Walsh,1990,French Open,Retired,Female
Barbara Jordan,1990,French Open,Retired,Female
Steffi Graf,1990,Wimbledon,Semi-finalist,Female
Martina Navratilova,1990,Wimbledon,Won,Female
Chris Evert,1990,Wimbledon,Retired,Female
Monica Seleš,1990,Wimbledon,Quarterfinalist,Female
Gabriela Sabatini,1990,Wimbledon,Semi-finalist,Female
Hana Mandlíková,1990,Wimbledon,2nd Round,Female
Arantxa Sánchez Vicario,1990,Wimbledon,1st Round,Female
Zina Garrison Jackson,1990,Wimbledon,Finalist,Female
Pam Shriver,1990,Wimbledon,Absent,Female
Natasha Zvereva,1990,Wimbledon,Quarterfinalist,Female
Helena Suková,1990,Wimbledon,4th Round,Female
Jana Novotná,1990,Wimbledon,Quarterfinalist,Female
/ Manuela Maleeva,1990,Wimbledon,1st Round,Female
Anke Huber,1990,Wimbledon,2nd Round,Female
Conchita Martínez,1990,Wimbledon,Absent,Female
Mary Pierce,1990,Wimbledon,Absent,Female
Lindsay Davenport,1990,Wimbledon,NA,Female
Jennifer Capriati,1990,Wimbledon,4th Round,Female
Virginia Wade,1990,Wimbledon,Retired,Female
Rosemary Casals,1990,Wimbledon,NA,Female
Tracy Austin,1990,Wimbledon,Absent,Female
Nathalie Tauziat,1990,Wimbledon,4th Round,Female
Wendy Turnbull,1990,Wimbledon,Retired,Female
Mima Jaušovec,1990,Wimbledon,Retired,Female
Virginia Ruzici,1990,Wimbledon,Retired,Female
Dianne Fromholtz Balestrat,1990,Wimbledon,Retired,Female
Andrea Jaeger,1990,Wimbledon,Retired,Female
Kathy Jordan,1990,Wimbledon,1st Round,Female
Mary Joe Fernández,1990,Wimbledon,Absent,Female
Betsy Nagelsen,1990,Wimbledon,3rd Round,Female
Sylvia Hanika,1990,Wimbledon,Absent,Female
Sharon Walsh,1990,Wimbledon,Retired,Female
Barbara Jordan,1990,Wimbledon,Retired,Female
Steffi Graf,1990,US Open,Finalist,Female
Martina Navratilova,1990,US Open,4th Round,Female
Chris Evert,1990,US Open,Retired,Female
Monica Seleš,1990,US Open,3rd Round,Female
Gabriela Sabatini,1990,US Open,Won,Female
Hana Mandlíková,1990,US Open,Retired,Female
Arantxa Sánchez Vicario,1990,US Open,Semi-finalist,Female
Zina Garrison Jackson,1990,US Open,Quarterfinalist,Female
Pam Shriver,1990,US Open,Absent,Female
Natasha Zvereva,1990,US Open,2nd Round,Female
Helena Suková,1990,US Open,4th Round,Female
Jana Novotná,1990,US Open,Quarterfinalist,Female
/ Manuela Maleeva,1990,US Open,Quarterfinalist,Female
Anke Huber,1990,US Open,1st Round,Female
Conchita Martínez,1990,US Open,3rd Round,Female
Mary Pierce,1990,US Open,Absent,Female
Lindsay Davenport,1990,US Open,NA,Female
Jennifer Capriati,1990,US Open,4th Round,Female
Virginia Wade,1990,US Open,Retired,Female
Rosemary Casals,1990,US Open,NA,Female
Tracy Austin,1990,US Open,Absent,Female
Nathalie Tauziat,1990,US Open,4th Round,Female
Wendy Turnbull,1990,US Open,Retired,Female
Mima Jaušovec,1990,US Open,Retired,Female
Virginia Ruzici,1990,US Open,Retired,Female
Dianne Fromholtz Balestrat,1990,US Open,Retired,Female
Andrea Jaeger,1990,US Open,Retired,Female
Kathy Jordan,1990,US Open,1st Round,Female
Mary Joe Fernández,1990,US Open,Semi-finalist,Female
Betsy Nagelsen,1990,US Open,Absent,Female
Sylvia Hanika,1990,US Open,2nd Round,Female
Sharon Walsh,1990,US Open,Retired,Female
Barbara Jordan,1990,US Open,Retired,Female
Steffi Graf,1991,Australian Open,Quarterfinalist,Female
Martina Navratilova,1991,Australian Open,Absent,Female
Chris Evert,1991,Australian Open,Retired,Female
Monica Seleš,1991,Australian Open,Won,Female
Gabriela Sabatini,1991,Australian Open,Quarterfinalist,Female
Hana Mandlíková,1991,Australian Open,Retired,Female
Arantxa Sánchez Vicario,1991,Australian Open,Semi-finalist,Female
Zina Garrison Jackson,1991,Australian Open,4th Round,Female
Pam Shriver,1991,Australian Open,3rd Round,Female
Natasha Zvereva,1991,Australian Open,4th Round,Female
Helena Suková,1991,Australian Open,3rd Round,Female
Jana Novotná,1991,Australian Open,Finalist,Female
/ Manuela Maleeva,1991,Australian Open,2nd Round,Female
Anke Huber,1991,Australian Open,Quarterfinalist,Female
Conchita Martínez,1991,Australian Open,Absent,Female
Mary Pierce,1991,Australian Open,Absent,Female
Lindsay Davenport,1991,Australian Open,Absent,Female
Jennifer Capriati,1991,Australian Open,Absent,Female
Virginia Wade,1991,Australian Open,Retired,Female
Rosemary Casals,1991,Australian Open,NA,Female
Tracy Austin,1991,Australian Open,Absent,Female
Nathalie Tauziat,1991,Australian Open,Absent,Female
Wendy Turnbull,1991,Australian Open,Retired,Female
Mima Jaušovec,1991,Australian Open,Retired,Female
Virginia Ruzici,1991,Australian Open,Retired,Female
Dianne Fromholtz Balestrat,1991,Australian Open,Retired,Female
Andrea Jaeger,1991,Australian Open,Retired,Female
Kathy Jordan,1991,Australian Open,Retired,Female
Mary Joe Fernández,1991,Australian Open,Semi-finalist,Female
Betsy Nagelsen,1991,Australian Open,Absent,Female
Sylvia Hanika,1991,Australian Open,Retired,Female
Sharon Walsh,1991,Australian Open,Retired,Female
Barbara Jordan,1991,Australian Open,Retired,Female
Steffi Graf,1991,French Open,Semi-finalist,Female
Martina Navratilova,1991,French Open,Absent,Female
Chris Evert,1991,French Open,Retired,Female
Monica Seleš,1991,French Open,Won,Female
Gabriela Sabatini,1991,French Open,Semi-finalist,Female
Hana Mandlíková,1991,French Open,Retired,Female
Arantxa Sánchez Vicario,1991,French Open,Finalist,Female
Zina Garrison Jackson,1991,French Open,1st Round,Female
Pam Shriver,1991,French Open,Absent,Female
Natasha Zvereva,1991,French Open,2nd Round,Female
Helena Suková,1991,French Open,2nd Round,Female
Jana Novotná,1991,French Open,Quarterfinalist,Female
/ Manuela Maleeva,1991,French Open,2nd Round,Female
Anke Huber,1991,French Open,3rd Round,Female
Conchita Martínez,1991,French Open,Quarterfinalist,Female
Mary Pierce,1991,French Open,3rd Round,Female
Lindsay Davenport,1991,French Open,Absent,Female
Jennifer Capriati,1991,French Open,4th Round,Female
Virginia Wade,1991,French Open,Retired,Female
Rosemary Casals,1991,French Open,NA,Female
Tracy Austin,1991,French Open,Absent,Female
Nathalie Tauziat,1991,French Open,Quarterfinalist,Female
Wendy Turnbull,1991,French Open,Retired,Female
Mima Jaušovec,1991,French Open,Retired,Female
Virginia Ruzici,1991,French Open,Retired,Female
Dianne Fromholtz Balestrat,1991,French Open,Retired,Female
Andrea Jaeger,1991,French Open,Retired,Female
Kathy Jordan,1991,French Open,Retired,Female
Mary Joe Fernández,1991,French Open,Quarterfinalist,Female
Betsy Nagelsen,1991,French Open,Absent,Female
Sylvia Hanika,1991,French Open,Retired,Female
Sharon Walsh,1991,French Open,Retired,Female
Barbara Jordan,1991,French Open,Retired,Female
Steffi Graf,1991,Wimbledon,Won,Female
Martina Navratilova,1991,Wimbledon,Quarterfinalist,Female
Chris Evert,1991,Wimbledon,Retired,Female
Monica Seleš,1991,Wimbledon,Absent,Female
Gabriela Sabatini,1991,Wimbledon,Finalist,Female
Hana Mandlíková,1991,Wimbledon,Retired,Female
Arantxa Sánchez Vicario,1991,Wimbledon,Quarterfinalist,Female
Zina Garrison Jackson,1991,Wimbledon,Quarterfinalist,Female
Pam Shriver,1991,Wimbledon,3rd Round,Female
Natasha Zvereva,1991,Wimbledon,2nd Round,Female
Helena Suková,1991,Wimbledon,1st Round,Female
Jana Novotná,1991,Wimbledon,2nd Round,Female
/ Manuela Maleeva,1991,Wimbledon,Absent,Female
Anke Huber,1991,Wimbledon,4th Round,Female
Conchita Martínez,1991,Wimbledon,Absent,Female
Mary Pierce,1991,Wimbledon,Absent,Female
Lindsay Davenport,1991,Wimbledon,Absent,Female
Jennifer Capriati,1991,Wimbledon,Semi-finalist,Female
Virginia Wade,1991,Wimbledon,Retired,Female
Rosemary Casals,1991,Wimbledon,NA,Female
Tracy Austin,1991,Wimbledon,Absent,Female
Nathalie Tauziat,1991,Wimbledon,4th Round,Female
Wendy Turnbull,1991,Wimbledon,Retired,Female
Mima Jaušovec,1991,Wimbledon,Retired,Female
Virginia Ruzici,1991,Wimbledon,Retired,Female
Dianne Fromholtz Balestrat,1991,Wimbledon,Retired,Female
Andrea Jaeger,1991,Wimbledon,Retired,Female
Kathy Jordan,1991,Wimbledon,Retired,Female
Mary Joe Fernández,1991,Wimbledon,Semi-finalist,Female
Betsy Nagelsen,1991,Wimbledon,1st Round,Female
Sylvia Hanika,1991,Wimbledon,Retired,Female
Sharon Walsh,1991,Wimbledon,Retired,Female
Barbara Jordan,1991,Wimbledon,Retired,Female
Steffi Graf,1991,US Open,Semi-finalist,Female
Martina Navratilova,1991,US Open,Finalist,Female
Chris Evert,1991,US Open,Retired,Female
Monica Seleš,1991,US Open,Won,Female
Gabriela Sabatini,1991,US Open,Quarterfinalist,Female
Hana Mandlíková,1991,US Open,Retired,Female
Arantxa Sánchez Vicario,1991,US Open,Quarterfinalist,Female
Zina Garrison Jackson,1991,US Open,4th Round,Female
Pam Shriver,1991,US Open,3rd Round,Female
Natasha Zvereva,1991,US Open,4th Round,Female
Helena Suková,1991,US Open,3rd Round,Female
Jana Novotná,1991,US Open,4th Round,Female
/ Manuela Maleeva,1991,US Open,4th Round,Female
Anke Huber,1991,US Open,2nd Round,Female
Conchita Martínez,1991,US Open,Quarterfinalist,Female
Mary Pierce,1991,US Open,3rd Round,Female
Lindsay Davenport,1991,US Open,1st Round,Female
Jennifer Capriati,1991,US Open,Semi-finalist,Female
Virginia Wade,1991,US Open,Retired,Female
Rosemary Casals,1991,US Open,NA,Female
Tracy Austin,1991,US Open,Absent,Female
Nathalie Tauziat,1991,US Open,1st Round,Female
Wendy Turnbull,1991,US Open,Retired,Female
Mima Jaušovec,1991,US Open,Retired,Female
Virginia Ruzici,1991,US Open,Retired,Female
Dianne Fromholtz Balestrat,1991,US Open,Retired,Female
Andrea Jaeger,1991,US Open,Retired,Female
Kathy Jordan,1991,US Open,Retired,Female
Mary Joe Fernández,1991,US Open,3rd Round,Female
Betsy Nagelsen,1991,US Open,Absent,Female
Sylvia Hanika,1991,US Open,Retired,Female
Sharon Walsh,1991,US Open,Retired,Female
Barbara Jordan,1991,US Open,Retired,Female
Steffi Graf,1992,Australian Open,Absent,Female
// Monica Seles,1992,Australian Open,Won,Female
Martina Hingis,1992,Australian Open,NA,Female
Arantxa Sánchez Vicario,1992,Australian Open,Semi-finalist,Female
Jana Novotná,1992,Australian Open,4th Round,Female
Gabriela Sabatini,1992,Australian Open,Semi-finalist,Female
Amélie Mauresmo,1992,Australian Open,NA,Female
Conchita Martínez,1992,Australian Open,4th Round,Female
Jennifer Capriati,1992,Australian Open,Quarterfinalist,Female
Mary Joe Fernández,1992,Australian Open,Finalist,Female
Iva Majoli,1992,Australian Open,Absent,Female
Tracy Austin,1992,Australian Open,Absent,Female
Venus Williams,1992,Australian Open,NA,Female
Serena Williams,1992,Australian Open,NA,Female
Lindsay Davenport,1992,Australian Open,Absent,Female
Nathalie Tauziat,1992,Australian Open,Absent,Female
Martina Navratilova,1992,Australian Open,Absent,Female
Mary Pierce,1992,Australian Open,Absent,Female
Anke Huber,1992,Australian Open,Quarterfinalist,Female
Helena Suková,1992,Australian Open,3rd Round,Female
Manuela Maleeva,1992,Australian Open,Quarterfinalist,Female
Natasha Zvereva,1992,Australian Open,2nd Round,Female
Zina Garrison Jackson,1992,Australian Open,4th Round,Female
Pam Shriver,1992,Australian Open,3rd Round,Female
Elena Dementieva,1992,Australian Open,NA,Female
Steffi Graf,1992,French Open,Finalist,Female
// Monica Seles,1992,French Open,Won,Female
Martina Hingis,1992,French Open,NA,Female
Arantxa Sánchez Vicario,1992,French Open,Semi-finalist,Female
Jana Novotná,1992,French Open,4th Round,Female
Gabriela Sabatini,1992,French Open,Semi-finalist,Female
Amélie Mauresmo,1992,French Open,NA,Female
Conchita Martínez,1992,French Open,Quarterfinalist,Female
Jennifer Capriati,1992,French Open,Quarterfinalist,Female
Mary Joe Fernández,1992,French Open,3rd Round,Female
Iva Majoli,1992,French Open,Absent,Female
Tracy Austin,1992,French Open,Absent,Female
Venus Williams,1992,French Open,NA,Female
Serena Williams,1992,French Open,NA,Female
Lindsay Davenport,1992,French Open,Absent,Female
Nathalie Tauziat,1992,French Open,4th Round,Female
Martina Navratilova,1992,French Open,Absent,Female
Mary Pierce,1992,French Open,4th Round,Female
Anke Huber,1992,French Open,2nd Round,Female
Helena Suková,1992,French Open,Absent,Female
Manuela Maleeva,1992,French Open,3rd Round,Female
Natasha Zvereva,1992,French Open,Quarterfinalist,Female
Zina Garrison Jackson,1992,French Open,Absent,Female
Pam Shriver,1992,French Open,Absent,Female
Elena Dementieva,1992,French Open,NA,Female
Steffi Graf,1992,Wimbledon,Won,Female
// Monica Seles,1992,Wimbledon,Finalist,Female
Martina Hingis,1992,Wimbledon,NA,Female
Arantxa Sánchez Vicario,1992,Wimbledon,2nd Round,Female
Jana Novotná,1992,Wimbledon,3rd Round,Female
Gabriela Sabatini,1992,Wimbledon,Semi-finalist,Female
Amélie Mauresmo,1992,Wimbledon,NA,Female
Conchita Martínez,1992,Wimbledon,2nd Round,Female
Jennifer Capriati,1992,Wimbledon,Quarterfinalist,Female
Mary Joe Fernández,1992,Wimbledon,3rd Round,Female
Iva Majoli,1992,Wimbledon,Absent,Female
Tracy Austin,1992,Wimbledon,Absent,Female
Venus Williams,1992,Wimbledon,NA,Female
Serena Williams,1992,Wimbledon,NA,Female
Lindsay Davenport,1992,Wimbledon,Absent,Female
Nathalie Tauziat,1992,Wimbledon,Quarterfinalist,Female
Martina Navratilova,1992,Wimbledon,Semi-finalist,Female
Mary Pierce,1992,Wimbledon,Absent,Female
Anke Huber,1992,Wimbledon,3rd Round,Female
Helena Suková,1992,Wimbledon,3rd Round,Female
Manuela Maleeva,1992,Wimbledon,3rd Round,Female
Natasha Zvereva,1992,Wimbledon,Quarterfinalist,Female
Zina Garrison Jackson,1992,Wimbledon,1st Round,Female
Pam Shriver,1992,Wimbledon,2nd Round,Female
Elena Dementieva,1992,Wimbledon,NA,Female
Steffi Graf,1992,US Open,Quarterfinalist,Female
// Monica Seles,1992,US Open,Won,Female
Martina Hingis,1992,US Open,NA,Female
Arantxa Sánchez Vicario,1992,US Open,Finalist,Female
Jana Novotná,1992,US Open,1st Round,Female
Gabriela Sabatini,1992,US Open,Quarterfinalist,Female
Amélie Mauresmo,1992,US Open,NA,Female
Conchita Martínez,1992,US Open,1st Round,Female
Jennifer Capriati,1992,US Open,3rd Round,Female
Mary Joe Fernández,1992,US Open,Semi-finalist,Female
Iva Majoli,1992,US Open,2nd Round,Female
Tracy Austin,1992,US Open,Absent,Female
Venus Williams,1992,US Open,NA,Female
Serena Williams,1992,US Open,NA,Female
Lindsay Davenport,1992,US Open,2nd Round,Female
Nathalie Tauziat,1992,US Open,2nd Round,Female
Martina Navratilova,1992,US Open,2nd Round,Female
Mary Pierce,1992,US Open,4th Round,Female
Anke Huber,1992,US Open,1st Round,Female
Helena Suková,1992,US Open,4th Round,Female
Manuela Maleeva,1992,US Open,Semi-finalist,Female
Natasha Zvereva,1992,US Open,3rd Round,Female
Zina Garrison Jackson,1992,US Open,4th Round,Female
Pam Shriver,1992,US Open,2nd Round,Female
Elena Dementieva,1992,US Open,NA,Female
Steffi Graf,1993,Australian Open,Finalist,Female
// Monica Seles,1993,Australian Open,Won,Female
Martina Hingis,1993,Australian Open,NA,Female
Arantxa Sánchez Vicario,1993,Australian Open,Semi-finalist,Female
Jana Novotná,1993,Australian Open,2nd Round,Female
Gabriela Sabatini,1993,Australian Open,Semi-finalist,Female
Amélie Mauresmo,1993,Australian Open,NA,Female
Conchita Martínez,1993,Australian Open,4th Round,Female
Jennifer Capriati,1993,Australian Open,Quarterfinalist,Female
Mary Joe Fernández,1993,Australian Open,Quarterfinalist,Female
Iva Majoli,1993,Australian Open,Absent,Female
Tracy Austin,1993,Australian Open,Absent,Female
Venus Williams,1993,Australian Open,NA,Female
Serena Williams,1993,Australian Open,NA,Female
Lindsay Davenport,1993,Australian Open,3rd Round,Female
Nathalie Tauziat,1993,Australian Open,4th Round,Female
Martina Navratilova,1993,Australian Open,Absent,Female
Mary Pierce,1993,Australian Open,Quarterfinalist,Female
Anke Huber,1993,Australian Open,4th Round,Female
Helena Suková,1993,Australian Open,Absent,Female
Manuela Maleeva,1993,Australian Open,4th Round,Female
Natasha Zvereva,1993,Australian Open,3rd Round,Female
Zina Garrison Jackson,1993,Australian Open,3rd Round,Female
Pam Shriver,1993,Australian Open,1st Round,Female
Elena Dementieva,1993,Australian Open,NA,Female
Steffi Graf,1993,French Open,Won,Female
// Monica Seles,1993,French Open,Absent,Female
Martina Hingis,1993,French Open,NA,Female
Arantxa Sánchez Vicario,1993,French Open,Semi-finalist,Female
Jana Novotná,1993,French Open,Quarterfinalist,Female
Gabriela Sabatini,1993,French Open,Quarterfinalist,Female
Amélie Mauresmo,1993,French Open,NA,Female
Conchita Martínez,1993,French Open,Quarterfinalist,Female
Jennifer Capriati,1993,French Open,Quarterfinalist,Female
Mary Joe Fernández,1993,French Open,Finalist,Female
