PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,HIMAL_FACTOR,REGION,REGION_FACTOR,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PHOST_FACTOR,PSTATUS,PSTATUS_FACTOR,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
RANI,Rani Peak,"Lidanda Peak, Himalchuli Northeast","Mansiri Himal (SE of Manaslu, NE of Himalchuli Main)",6693,21959,15,Manaslu/Mansiri,4,Manaslu-Ganesh,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,315,1970,1,RANI70101,May 05,"Netherlands, Nepal","Herman Tollenaar, Ang Phurba Sherpa, Mingma Tsering Sherpa, Nima Dorje Sherpa",NA,NA,NA
HIMW,Himalchuli West,NA,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",7540,24738,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,317,1978,1,HIMW78101,May 07,Japan,"Yoshio Ogata, Kazuhiro Sugeno",NA,NA,NA
HIUP,Hiunchuli,Patal Hiunchuli,Annapurna Himal (E of Annapurna South),6434,21109,1,Annapurna,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,319,1971,3,HIUP71301,Oct 10,USA,"Craig Anderson, Peter Cross, Jim Richards, John Skow, Lane Smith",NA,NA,NA
HNKU,Hongku Chuli,"Hunku Chuli, Pyramid Peak","Khumbu Himal (in Hongku Valley, NE of Chamlang)",6833,22418,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2013?,1,Nepal only,1,Unclimbed,321,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
HONG,Hongde,"Hangde, Hongde Himal",Mukut Himal (N of Sita Chuchura in Hidden Valley),6556,21509,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,323,1962,1,HONG62101,May 08,"Japan, Nepal","Shijiro Ishizaka, Zenkichi Hirayama, Takashi Miyahara, Ang Dawa Sherpa, Ang Temba Sherpa",NA,NA,NA
IMJA,Imjatse,Island Peak,Khumbu Himal (S of Lhotse),6165,20226,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,FALSE,1978,NA,1,Nepal only,2,Climbed,325,1956,1,IMJA56101,NA,"Switzerland, Nepal","Hansrudolf Von Gunten, 2 unknown Sherpas",1st ascent of SW Summit by UK (Hunt) in 1953. Imjatse may have been climbed in the 1951 or 1952 by members of Shipton's teams,NA,NA
JAGD,Jagdula,NA,Jagdula Lekh (S of Kande Hiunchuli),5761,18901,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,328,2013,1,JAGD13101,Apr 30,France,Francois Damilano,NA,NA,NA
JANU,Jannu,Kumbhakarna,Kangchenjunga Himal (W of Kangchenjunga),7711,25299,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,330,1962,1,JANU62101,Apr 27,"France, Nepal","Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa",NA,NA,332
JETH,Jethi Bahurani,"Jettiborani, Jutibofurani",Api Himal (S of Nampa and Bobaye),6850,22474,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,337,1978,1,JETH78101,Apr 27,Japan,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida",NA,NA,NA
JONG,Jongsang,"Jonsong, Jhinsang",Jongsang Himal (on Indian-Tibetan border),7462,24482,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,6,"Nepal, China & India",2,Climbed,342,1930,1,JONG30101,Jun 03,"Germany, Austria","Hermann Hoerlin, Erwin Schneider",NA,NA,344
JUNC,Junction Peak,NA,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",7133,23402,4,Dhaulagiri,6,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,346,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
KABD,Kabru Dome,NA,Simhalila Himal (SE of Kabru in India),6600,21654,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,FALSE,TRUE,FALSE,NA,NA,3,India only,2,Climbed,348,1982,3,KABD82301,Sep 24,India,"Mahabir Thakur, Tshering Lobsang, K. N. Singh, Gautam Dutta, P. Bhotia, Umeshari Devi",1st ascent claimed by India (Biswas) but not recognized,NA,NA
KABN,Kabru North,NA,Simhalila Himal (S of Kabru Main on Indian border),7338,24075,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,FALSE,TRUE,FALSE,NA,NA,5,Nepal & India,2,Climbed,349,1935,3,KABN35301,Nov 18,UK,C. R. (Reggie) Cooke,"Possible ascent by UK & Swiss (W. W. Graham, Emil Boss, Ulrich Kauffman) in 1883 (AJ, 219-228 (2009), Willy Blaser & Glyn Hughes",NA,NA
KAG1,Kagmara I,NA,Kagmara Lekh (S of Kanjiroba Himal),5978,19613,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,351,1962,1,KAG162101,May 23,"UK, Nepal","Dorothea Gravina, Denise Evans, Nancy Smith, Pat Wood, Ang Temba Sherpa, Mingma Tsering Sherpa, Pemba Norbu Sherpa",NA,NA,NA
KAN1,Kande Hiunchuli North  I,Sisne Himal,Kanjiroba Himal (NE of Kande Huinchuli),6521,21394,10,Kanjiroba,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,353,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
KAN2,Kande Hiunchuli North  II,NA,Kanjiroba Himal (NE of Kande Huinchuli),6471,21230,10,Kanjiroba,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,357,1980,1,KAN280101,May 03,Switzerland,"Daniel Chevallier, Pierre Galland",NA,NA,NA
KANB,Kangbachen,Kambachen,Kangchenjunga Himal (W Spur of Kangchenjunga),7902,25925,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,361,1974,1,KANB74101,May 26,Poland,"Wojciech Branski, Wieslaw Klaput, Marek Malatynski, Kazimierz Olech, Zbigniew Rubinowski",NA,NA,NA
KANC,Kangchenjunga Central,NA,Kangchenjunga Himal (between Main and South summits),8473,27799,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,363,1978,1,KANC78102,May 22,Poland,"Wojciech Branski, Zygmunt Heinrich, Kazimierz Olech",Illegal ascent,NA,365
KAND,Kande Hiunchuli,NA,Kanjiroba Himal (WNW of Kanjiroba),6627,21742,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,366,1972,3,KAND72301,Oct 18,Japan,"Toyokazu Hirota, Shigeru Kuwahata",1st ascent claimed (but perhaps climbed 6570m peak),NA,NA
KANG,Kangchenjunga,NA,Kangchenjunga Himal,8586,28169,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,369,1955,1,KANG55101,May 25,UK,"George Band, Joe Brown",NA,372,373
KANS,Kangchenjunga South,NA,Kangchenjunga Himal,8476,27808,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,378,1978,1,KANS78101,May 19,Poland,"Eugeniusz Chrobak, Wojciech Wroz",NA,NA,380
KARY,Karyolung,NA,Rolwaling Himal (SE of Numbur),6530,21424,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,382,1982,3,KARY82301,Oct 31,"Japan, Nepal","Yoshiyuki Inoue, Masatoshi Iwasa, Hiroshi Nishie, Yogendra Thapa, Gita Bdr Joshi, Babu Ram Pun, Gore Tamang, Pemba Tshering Sherpa",NA,NA,NA
KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo, Abi Peak",Khumbu Himal (NE of Gokyo Lake),6043,19826,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,384,1953,1,KCHN53101,Apr 04,"UK, New Zealand","Edmund Hillary, Wilfred Noyce, Charles Wylie",NA,NA,NA
NAYA,Naya Kanga,"Kangja Chuli, Ghanja La Chuli",Jugal Himal (W of Ganchempo by Kangja La),5863,19236,8,Jugal,3,Langtang-Jugal,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,387,NA,0,NA,NA,NA,1st ascent unknown,NA,NA,NA
KGUR,Kang Guru,Naurgaon,Peri Himal (SW of Himlung Himal),6981,22904,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,390,1955,2,KGUR55201,Jul 02,W Germany,"Heinz Steinmetz, Fritz Lobbichler, Juergen Wellenkamp",NA,NA,NA
KHAT,Khatang,NA,Rolwaling Himal (E of Numbur),6790,22277,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,392,1982,3,KHAT82301,Oct 30,"Japan, Nepal","Tatsumi Kawamura, Yoshimi Kitayama, Dorje Sherpa",NA,NA,394
KHON,Khongma Tse,Mehra Peak,Khumbu Himal (SW of Nuptse),5798,19022,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,395,NA,0,NA,NA,NA,1st ascent unknown,NA,NA,NA
KJER,Kanjeralwa,"Kanjirowa, Kanchen Ruwa",Kanjiroba Himal (NW of Phoksumdo Tal),6612,21693,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,398,1973,1,KJER73101,Apr 22,"Japan, Nepal","Yasuaki Goshima, Koichi Kyogoku, Mingma Tensing Sherpa, Mingma Tsering Sherpa",NA,NA,400
KJRN,Kanjiroba North,NA,Kanjiroba Himal,6858,22500,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,1,Unclimbed,401,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
KJRS,Kanjiroba South,Kanjiroba Main,Kanjiroba Himal,6883,22582,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,One permit for Kanjiroba's north and south summits,1,Nepal only,2,Climbed,407,1970,3,KJRS70301,Nov 07,Japan,"Hiroshi Okuda, Ichiryo Sato, Munehiro Sawada",NA,NA,NA
KOTA,Kotang,"Kokthang, Kothang Kang",Simhalila Himal (SSW of Rothang on Indian border),6148,20171,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,409,1982,3,KOTA82301,Oct 11,India,"K. V. Cherian, Nima Tashi Sherpa, Ang Norbu, Ki Kami Sherpa",NA,NA,NA
KTEG,Kangtega,"Kantega, Khangtega, Kang Taiga",Khumbu Himal (SW of Ama Dablam),6783,22254,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,413,1963,1,KTEG63101,Jun 05,"New Zealand, USA","David Dornan, Tom Frost, Michael Gill, Jim Wilson",NA,416,417
KTSU,Kangtsune,"Kangchunne, Kanchauni Lekh","Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",6444,21142,10,Kanjiroba,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,420,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
KUSU,Kusum Kanguru,"Kusum Kang, Lamu",Khumbu Himal (NE of Lukla village),6370,20899,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,422,1981,3,KUSU81302,Oct 07,New Zealand,Bill Denz,NA,NA,426
KWAN,Kwangde,NA,Rolwaling Himal (W of Namche Bazar),6186,20295,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,427,1978,3,KWAN78301,Nov 11,Japan,"Takashi Iwahashi, Yoshihisa Ishikawa, Seiji Ogawa",NA,NA,NA
LAMJ,Lamjung Himal,NA,Annapurna Himal (SE of Annapurna II),6983,22910,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,429,1974,1,LAMJ74101,Apr 25,UK,"Derrick Chamberlain, Phillip Neame",NA,NA,431
LANG,Langtang Lirung,Langtang,Langtang Himal,7227,23711,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,432,1978,3,LANG78301,Oct 24,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa",NA,NA,435
LANR,Langtang Ri,NA,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,23638,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,436,1981,3,LANR81301,Oct 10,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa",NA,NA,NA
LEON,Leonpo Gang,"Dorje Pahad, Big White Peak",Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),6979,22897,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,438,1962,1,LEON62101,May 03,Japan,"Tadashi Morita, Kazunari Yasuhisa",NA,NA,440
LHAS,Lha Shamma,"Lhasharma, Pinnacle Peak","Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)",6412,21037,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,2,Climbed,442,1962,1,LHAS62101,May 14,"UK, Nepal","Josephine Scarr, Barbara Spark, Mingma Tsering Sherpa, Pemba Norbu Sherpa",NA,NA,NA
LHOT,Lhotse,NA,Khumbu Himal,8516,27940,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,444,1956,1,LHOT56101,May 18,Switzerland,"Fritz Luchsinger, Ernst Reiss",NA,447,448
MUKT,Mukut Himal,"Mukot Himal, Langru","Mukut Himal (N of Sita Chuchura, S of Hongde)",6087,19970,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2014,1,Nepal only,2,Climbed,453,1967,3,MUKT67301,Nov 11,"Netherlands, Nepal","Alfons J. Driessen, Michiel van Mourik Broekman, Phu Dorje Sherpa, Tenzing Gyatso Sherpa",1st ascent if team was actually on this peak,NA,NA
LNPO,Langpo,Longpo,Jongsang Himal (SE of Jongsang on Indian border),6965,22851,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,455,1909,3,LNPO09301,Sep 14,UK,A. M. Kellas,NA,NA,NA
LOBE,Lobuche East,Lobuje East,Khumbu Himal (SW of Pumori),6119,20075,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,457,1984,1,LOBE84101,Apr 25,"USA, Nepal","Larry Nielson, Any Gyaltsen Sherpa",Possibly climbed by Japanese in 1979 (unverified),NA,460
LOBW,Lobuche West,Lobuje West,Khumbu Himal (SW of Pumori),6135,20128,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Converted to trekking peak in 2002,1,Nepal only,2,Climbed,463,1984,3,LOBW84301,Sep 28,Japan,"Yuji Kawakura, Yoshihiro Taguchi",NA,NA,NA
LSHR,Lhotse Shar,Lhotse II,Khumbu Himal (ESE of Lhotse and Lhotse Middle),8382,27500,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,465,1970,1,LSHR70101,May 12,Austria,"Josef Mayerl, Rolf Walter",NA,NA,468
LSIS,Langshisa Ri,Langsisa Ri,Jugal Himal (NW of Dorje Lhakpa),6412,21037,8,Jugal,3,Langtang-Jugal,FALSE,FALSE,TRUE,2002,Converted to trekking peak in 2002,1,Nepal only,2,Climbed,470,1982,1,LSIS82101,Apr 23,"Japan, Nepal","Takuya Kajimoto, Pasang Norbu Sherpa",NA,NA,473
MACH,Machhapuchhare,NA,Annapurna Himal (SE of Annapurna III),6993,22943,1,Annapurna,5,Annapurna-Damodar-Peri,FALSE,TRUE,FALSE,NA,Closed,1,Nepal only,1,Unclimbed,475,NA,0,NA,NA,NA,Unclimbed,Rumored that one New Zealander (Bill Denz) summited by the N Ridge-NE Face route in the late 1970s,NA,NA
BTAK,Bhairab Takura,Madiya,Jugal Himal (ENE of Dorje Lhakpa on Tibetan border),6799,22306,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,477,1960,1,BTAK60101,May 07,"Japan, Nepal","Kunitoshi Ishihara, Yukihito Kato, Pasang Phutar Sherpa (I)",NA,NA,NA
MAK2,Makalu II,Kangchungtse,Makalu Himal (NNW of Makalu on Tibetan border),7678,25190,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,479,1954,3,MAK254301,Oct 22,"UK, Nepal","Jean Franco, Lionel Terray, Gyaltsen Norbu Sherpa, Pa Norbu Sherpa",NA,NA,NA
MAKA,Makalu,NA,Makalu Himal,8485,27838,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,482,1955,1,MAKA55101,May 15,France,"Jean Couzy, Lionel Terray",NA,486,487
MANA,Manaslu,"Kutang I, Peak 30",Manaslu Himal,8163,26781,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,493,1956,1,MANA56101,May 09,"Japan, Nepal","Toshio Imanishi, Gyaltsen Norbu Sherpa",NA,497,498
MANN,Manaslu North,Manaslu II,Manaslu Himal (N of Manaslu),6994,22946,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,502,1964,3,MANN64301,Oct 25,"Netherlands, Austria, Nepal","Alfons Driessen, Jan De Lint, Hubert Schriebl, Ila Tshering Sherpa, Nima Tenzing Sherpa",1st ascent disputed by Anders Bolinder,NA,NA
MANP,Manapathi,NA,Dhaulagiri Himal (SSW of Dhaulagiri I),6380,20932,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,505,1956,1,MANP56101,Apr 25,"Argentina, Nepal","Emiliano Huerta, Ayiwa Sherpa",1st ascent?,NA,NA
MARD,Mardi Himal,NA,Annapurna Himal (SW of Machhapuchhare),5553,18219,1,Annapurna,5,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,509,1962,1,MARD62101,Apr 23,"UK, Nepal","J. O. M. Roberts, Ang Tshering Sherpa, Tenzing Nindra Sherpa",NA,NA,NA
MERA,Mera Peak,"""False"" Mera Peak",Khumbu Himal (S of Ama Dablam),6470,21227,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,511,1953,1,MERA53101,May,"UK, Nepal","J. O. M. Roberts, Sen Tenzing Sherpa","Climbed ""false Mera"" 6476m?  ""True Mera"" unclimbed?",514,NA
MING,Mingbo Ri,NA,Khumbu Himal (S of Ama Dablam and Mingbo La),6207,20364,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,1,Unclimbed,515,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
NALA,Nalakankar North,NA,Nalakankar Himal (on W Nepal/Tibetan border),6062,19888,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,517,2000,2,NALA00201,Jul 06,"Japan, Nepal","Takehiko Yanagihara, Ang Phurba Sherpa",NA,NA,NA
NAMP,Nampa,Chisel Peak,Api Himal (E of Api),6729,22077,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,519,1972,1,NAMP72101,May 05,Japan,"Fukutoshi Kimura, Susumu Takahashi",NA,NA,523
NEMJ,Nemjung,NA,Peri Himal (S of Himlung Himal and Himjung),7140,23425,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,526,1983,1,NEMJ83301,Oct 27,"Japan, Nepal","Makito Minami, Wataru Saito, Ken Takahashi, Kirki Lama",NA,NA,529
NEPA,Nepal Peak,NA,Jongsang Himal (N of Kangchenjunga on Indian border),7177,23547,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,5,Nepal & India,2,Climbed,530,1930,1,NEPA30101,May 24,Austria,Erwin Schneider,Schneider may have only gone to the SW Peak (7130m) in which case the first ascent was by the Germans in 1936,NA,NA
NGO2,Ngojumba Kang II,NA,Khumbu Himal (NE of Cho Oyu on Tibetan border),7743,25404,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,532,1965,1,NGO265101,Apr 24,"Japan, Nepal","Naomi Uemura, Pemba Tenzing Sherpa",NA,NA,NA
NGOJ,Ngojumba Kang I,"Ngozumba Kang, Ngozumba Ri, Tenzing Peak",Khumbu Himal (NE of Cho Oyu on Tibetan border),7916,25971,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2014 as Tenzing Peak,4,Nepal & China,2,Climbed,536,1982,3,NGOJ82302,Nov 02,"S Korea, Nepal","Kim Young-Han, Ang Tshering Sherpa, Dorje Sherpa",NA,NA,539
NILC,Nilgiri Central,NA,Annapurna-Nilgiri Himal (NW of Annapurna I),6940,22769,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,540,1979,1,NILC79101,Apr 30,Japan,"Kohichi Sakata, Yasuo Tsuda",NA,NA,NA
NILN,Nilgiri North,NA,Annapurna-Nilgiri Himal (NW of Annapurna I),7061,23166,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,542,1962,3,NILN62301,Oct 19,"Netherlands, France, Nepal","Lionel Terray, H. G. Van Lookern Campagne, P. Van Lookern Campagne, P. F. J. Van Lookern Campagne, Wangdi Sherpa",NA,NA,544
NILS,Nilgiri South,NA,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,22438,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,545,1978,3,NILS78301,Oct 10,Japan,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida",NA,NA,NA
NUMB,Numbur,NA,Rolwaling Himal (SW of Namche Bazar),6958,22828,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,547,1963,1,NUMB63101,May 29,"Japan, Nepal","Hiroshi Matsuo, Mingma Tsering Sherpa",NA,NA,549
NUPT,Nuptse,NA,Khumbu Himal (SW of Everest),7864,25801,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,550,1961,1,NUPT61101,May 16,"UK, Nepal","Dennis Davis, Tashi Sherpa",1st ascent of W Smt (NUPT-884-01),553,554
OHMI,Ohmi Kangri,NA,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),6839,22438,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,559,1985,1,OHMI85101,Apr 14,Switzerland,"Andre Rieder, Alain Vaucher",NA,NA,562
OMBK,Ombak Himal,NA,Ohmi Kangri Himal (NE of Ombak La in Tibet),6300,20669,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,FALSE,TRUE,FALSE,NA,NA,2,China only,1,Unclimbed,563,NA,0,NA,NA,NA,Unclimbed?,NA,NA,NA
PALD,Paldor,Bharange,Ganesh Himal (SE of  Ganesh V),5903,19367,5,Ganesh/Shringi,4,Manaslu-Ganesh,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,564,1949,2,PALD49201,NA,"UK, Nepal","H. W. Tilman, Peter Lloyd, Tenzing Sherpa, Da Namgyal Sherpa","1st ascent claimed in 1949, but actual 1st ascent may have been in 1974 by John Cleare and Ian Howell",NA,NA
PANG,Pangbuk Ri,NA,Rolwaling Himal (N of Menlung La on Tibetan border),6625,21736,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,566,2011,3,PANG11301,Nov 11,USA,"David Gottlieb, Chad Kellogg","The Pangbuk that Bourdillon and Colledge climbed on May 29, 1952 was south of Menlung La (thus not Pangbuk Ri)",NA,NA
PARC,Parchamo,"Parchermo, Parchemuche, Pachermo",Rolwaling Himal (S of Tesi Laptsa),6279,20600,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,NA,1,Nepal only,2,Climbed,570,1955,1,PARC55101,Apr,UK,"Peter Boultbee, Dennis Davis",NA,NA,NA
PATR,Patrasi Himal,Kande Hiunchuli North,Kanjiroba Himal (NE of Kande Huinchuli),6450,21161,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,572,2024,2,PATR24201,Jun 12,Nepal,"Vinayak Jaya Malla, Pasang Kami Sherpa, Pasang Rinzee SHerpa",NA,NA,NA
PETH,Pethangtse,NA,Khumbu Himal (NW of Makalu on Tibetan border),6739,22110,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,576,1954,1,PETH54101,May 26,"New Zealand, UK, Nepal","Michael Ball, Norman Hardie, Brian Wilkins, Urkien Sherpa",NA,NA,NA
PHUR,Phurbi Chhyachu,Phurbi Ghyachu,Jugal Himal (SE of Dorje Lhakpa on Tibetan border),6637,21775,8,Jugal,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,579,1982,1,PHUR82101,May 01,"Japan, Nepal","Shintaro Kurokawa, Fumihito Ogawa, Hiromitsu Okamoto, Takashi Shingaki, Hajime Takigami, Ang Phuri Lama, Pemba Lama Sherpa",NA,NA,NA
