agency,station_name,line,artist,art_title,art_date,art_material,art_description,art_image_link
NYCT,Parkside Av,Q,Susan Tunick,Brighton Clay Re-Leaf Nos. 1-4,1994,Ceramic mosaic,"Dating from 1919, the Prospect Park and Parkside Avenue stations on the Brighton Beach line feature distinctive Òhead houses,Ó covered entrance structures located above the stations.  Their wall tiles and ceramic borders are also historic, characteristic of the Arts and Crafts movement influential at that time.   In newly reconfigured areas of the stations Susan Tunick designed new ceramic murals and borders different from but reminiscent of the old.  The leaf motifs of these works derive, she says, from childhood memories of the Brooklyn Botanic Garden and Prospect Park, both nearby, as well as her longstanding interest in ceramic history and modern artistic expressions in fired clay.  Tunick has long been involved as a leader of Friends of Terra Cotta where she has successfully crusaded in New York and nationally to save and restore ceramic architectural forms on significant buildings and monuments.",https://new.mta.info/agency/arts-design/collection/brighton-clay-re-leafs-nos-1-4
LIRR,Ronkonkoma,Ronkonkoma,Alice Adams,Planting (Dedicated to Long Island Tree Farmers),1995,"Paving, planting, seating, curving brick walls, and cast concrete tree balls with cast aluminum rope inserts","Alice AdamsÕs Planting at the Ronkonkoma station of the Long Island Rail Road is composed of a variety of planters and trees, using paving, plantings and curving brick walls to define the outdoor space.  According to the artist, her intention was Òto create an ensemble of functional and sculptural forms that is unique and specific to the region and together with the architectural structures makes a place that is memorable over time.Ó  Her artist statement continues:

Therefore, the planting of trees in rows in the ÒislandsÓ and the placement of the Òtree ballÓ planters in the paved areas of the central plaza symbolizes and pays homage to a familiar and historic enterprise on Long Island. One of the first tree farms in the United States was started on Long Island and the nursery business has always been a thriving Long Island enterprise.  Old Long Island nursery catalogs offer specific photo 
documentation of the tree moving process with large trees shown as they were being moved on the Long Island Rail Road.

To assure that the planters would suggest tree balls but, at the same time, that the trees could be planted directly into the ground, Adams came up with an ingenious solution: a pre-cast concrete ring surrounds each planting space, and metal support elements in the form of ropes extend upward from them.  

Adams designed Planting through consultation with the planners and architects who were undertaking the enormous challenge of completely replacing a much smaller and outmoded facility for the Long Island Rail RoadÕs important Ronkonkoma station, which serves as a terminus for most commuter trains traveling down the middle of the island.  For instance, the curved ÒeyebrowÓ dormers of the station building are repeated in the curved walls she designed.  But, more profoundly, her work helps to articulate the placement of the buildings and platforms in relation to one another and to assure a seamless, functional overall statement.",https://new.mta.info/agency/arts-design/collection/planting
NYCT,Grand Army Plaza,"2,3",Jane Greengold,Wings for the IRT: The Irresistible Romance of Travel,1995,"Ceramic tile,  Bronze","Twenty-two cast bronze sculptural chairs surprise and delight those who use or visit the Pleasantville Station on the Metro North commuter rail line.  The artists Kane Chanh Do and Jane Greengold, who created Almost Home, explain:

In this suburb of New York City, we have re-created, in bronze, chairs likely to be found in the homes of the commuters who use the station, bringing some of the comforts of home out to meet the riders, making the station almost like home, and reminding riders that they, too, are almost home.  Because the chairs look so life-like, so much like wood and upholstery fabric, they create a humorous, trompe lÕoeil effect.Ó

To complete the domestic setting, nearby is a bronze replica of a copy of ReaderÕs Digest; for most of its history the magazine was published in Pleasantville.

The artists explain that Almost HomeÕs components were cast from six different original chairs, selected to represent different types of seating that reflect the variety of domestic dŽcor.  They are arranged in various clusters throughout the interior and exterior of the station overpass and waiting area.   And, for good measure, two of them are child-size.  

The process for making the chairs was intricate and painstaking.  They were cast from actual furniture, some of it antique, by using a special molding wax, with great care taken not to damage or mar the originals.  Then the castings were finished by hand to assure that each was a perfect replica.  Finally, each was given a custom finish and patination to assure that each echoes its real prototype in color as well as form.",https://new.mta.info/agency/arts-design/collection/wings-for-the-irt
NYCT,135 St,"2,3",Willie Birch,Harlem Timeline,1995,Glass Mosaic,"Willie BirchÕs Harlem Timeline, at the 135th Street subway station, continues the paean to Harlem luminaries.  But to put them into the proper context, the now-famous are shown among the ordinary people of Harlem going about their daily affairs Ð at play, studying, going to church.  ÒItÕs about being connected,Ó Birch says.  ÒHarlem is a village built on global energy, infused with the histories of migrants from Africa, the American South, and the Caribbean.Ó

Birch calls New Orleans his home, but he also maintains a studio in New York.  The theme of returning to roots often permeates his artwork.  As stated by fellow artist Robert Taplin writing in Art in America, among contemporary black artists ÒBirch is one of the most forthright in adopting an ÔAfricanizingÕ cultural model. É  In the end, itÕs [his] clear sense of design that makes it all work.Ó

In Harlem Timeline, on the downtown platform, along with a depiction of the Schomburg Center for Research in Black Culture, Birch shows Langston Hughes reading from his works and Reverend Adam Clayton Powell Jr. preaching to a rapt gathering.  Boxing champion Joe Louis is depicted triumphing over an opponent and Charlie Parker excels on the saxophone.  

Headed uptown, riders are treated to a moving rendition of the blues, with Billie Holiday singing her heart out.  Also shown are jazz greats Thelonious Monk and John Coltrane, playing away, and Malcolm X and Marcus Garvey in their search for justice and equality.  Community services are represented by Harlem Hospital and its predecessor. 

Birch received his Masters of Fine Art from the Maryland Institute College of Art. He is a recipient of fellowships from the Guggenheim Foundation and the National Endowment for the Arts.  A recent exhibition in New York City featured mixed-media work that revealed neighbors and friends in New Orleans, a world now forever altered.",https://new.mta.info/agency/arts-design/collection/harlem-timeline
NYCT,34 St-Herald Sq,"N,R,Q",Christopher Janney,"Reach New York, An Urban Musical Instrument",1996,"Sound installation (painted steel, plastic, lighting, and computerized components)","A green painted rectangular structure is suspended from the subway platform and engages travelers with its ability to produce sounds. Travelers place their hands in front of the box-like apparatus on the subway platform and a burst of musical notes are released on the opposite side, playing to the person on the other side. The hand motions elicit an outpouring of sounds that evoke urban life and bring about duets between strangers waiting for their respective trains. Artist Christopher Janney creates sound sculptures and public art that use sound and motion. This work brings about interaction and pleased participants, serving in Janney's words, as ""a foil for getting total strangers to interact with each other.""",https://new.mta.info/agency/arts-design/collection/reach-new-york
NYCT,Lexington Av/59 St,"4,5,6,N,R,W",Elizabeth Murray,Blooming,1996,Glass Mosaic,"Riders switching subway trains at 59th Street and Lexington Avenue may find themselves suddenly surrounded by an exuberant burst of bright colors and unexpected shapes Ð Elizabeth MurrayÕs Blooming, one of the most ambitious works of art in the MTA system, transforms a drab utilitarian space into a seemingly magical environment.  The floor-to-ceiling ceramic walls literally escape the four corners of the area to wrap around corners, sneak down steps, and ooze through doorways.  

Blooming takes its title from BloomingdaleÕs, the famous department store just upstairs.  The artist has called the subway a Òdreamy underworld,Ó a place that many riders almost sleepwalk through.  If so, Blooming is a kind of wakeup call.  All of a sudden even the most somnambulant person is confronted with startling and vivid images Ð giant red womensÕ shoes with whiplash laces, enormous pink tree trunks with writhing shoots and branches, and huge yellow mugs filled to the brim with purple coffee.  

 ÒAfter the blooming tree,Ó says Murray, ÒI added the stepping shoes and steaming coffee cups, part of the ritual of every morning or evening subway trip.Ó  According to the artist, the images Òstimulate thoughts about passage, as does the poetry.Ó  Here she is referring to William Butler YeatsÕs line ÒIn dreams begin responsibility,Ó which is incorporated into the mural, as well as Gwendolyn BrooksÕs ÒConduct your blooming in the noise and whip of the whirlwind.Ó

Murray says that she intended Blooming to serve as a catalyst that Òprovokes the imagination and make the passage brighter, more positive.Ó  Here the artist is following directly in the footsteps of the subwayÕs original decorative designers, Heins and La Farge, proponents of the City Beautiful movement, who, over a century ago, expressly set out to create art to bring out the best in human nature.",https://new.mta.info/agency/arts-design/collection/blooming
NYCT,125 St,"2,3",Faith Ringgold,Flying Home: Harlem Heroes and Heroines (Downtown and Uptown),1996,Glass Mosaic,"Faith RinggoldÕs Flying Home celebrates the spirit and soul of Harlem, where she was born and spent her youth.  The inspiration for the work Ð and the source of its title Ð was a piece by Lionel Hampton, the great African American jazz composer and musician.  In Flying HomeÕs ten mosaic panels, selected luminaries of the Harlem pantheon now soar joyfully on the platform walls of the station.  

Since the 1960s, Faith Ringgold has concentrated largely on African American themes.  She is particularly well known for her mixed-media works in the form of quilts or inspired by them.  These works often ingeniously play with stereotypes of blacks, turning images usually associated with prejudice into expressions of racial pride Ð for instance her WhoÕs Afraid of Aunt Jemima of the 1970s.  This was followed by several very successful childrenÕs books in the coming years.  RinggoldÕs work is in the permanent collections of major museums around the nation and the world.  

Harlem heroes on one platform include writers, leaders in the political and civil rights fields, and others of world fame Ð Zora Neale Hurston, Malcolm X, and Jesse Owens among them.  On the opposite side of the tracks, sports figures and musicians are given their due Ð Josephine Baker, Dinah Washington, Sugar Ray Robinson Ð along with artists Jacob Lawrence, Romare Bearden, Aaron Douglas, Norman Lewis, and Augusta Savage, all group ed with the communityÕs revered arts institution, the Studio Museum of Harlem.  

ÒI love every one of these people,Ó Ringgold says, ÒI grew up among them, knew some of them as neighbors.  My mother took me to see Billie Holiday perform.  I demonstrated with the Reverend Dr. Adam Clayton Powell Jr.  We listened to Joe Louis fight on the radio and cheered when he won.  And, of course, I loved the music, especially Duke Ellington.  I wanted to share those memories, to give the community Ð and others just passing through Ð a glimpse of all the wonderful people who were part of Harlem.  I wanted them to realize what Harlem has produced and inspired.Ó",https://new.mta.info/agency/arts-design/collection/flying-home-harlem-heros-and-heroines
NYCT,Utica Av,"A,C",Jimmy James Greene,Children's Cathedral,1996,"Ceramic mosaic, Wrought iron","In ChildrenÕs Cathedral, Jimmy James Greene set out to capture the hopes and ambitions of the young people of the neighborhood.  ÒAt first,Ó he says, ÒI talked with the kids about how they play, learn, pray, and celebrate.  Then they drew.Ó  The result was an amazing variety of work, but with certain recurrent subjects Ð  local stores and other buildings, school scenes, people going about their daily lives on the street, trees and flowers, and the children themselves, involved in all sorts of activities.  Greene then culled and sorted the images, trying them out in various combinations, finally arriving at eight assemblages that seemed to work best.  The original drawings were in pencil, so Greene added color and also enlarged them.  He maintains that the youngsters were the real artists, however:  ÒThey were the soloists,Ó he says.  ÒI was the orchestra leader.Ó",https://new.mta.info/agency/arts-design/collection/childrens-cathedral
NYCT,3 Av-149 St,"2,5",JosŽ Ortega,"Una Raza, Un Mundo, Universo (One Race, One World, One Universe)",1996,Ceramic mosaic,"Una Raza, Un Mundo, Universo (One Race, One World, One Universe) is the name given to a group of seven murals mounted on the walls of the 149th Street station.  They take as their inspiration the lively street life just above, where neighborhood residents gather to talk, shop, do business,  or just hang out.  He uses circular forms, says artist JosŽ Ortega, because the messages he wan ts to convey are universal ones: ÒThe circle is a powerful symbol.  It connotes infinity, implies wholeness.  It has no beginning and no end.Ó  His brightly colored murals focus on three circular images: Òthe sun as the provider of energy and the center of our  universe, the earth as the sustainer of our humanly developed and natural worlds, and the face as the translator, bo th receptor and interpreter of the human and natural worlds.Ó",https://new.mta.info/agency/arts-design/collection/una-raza-un-mundo-universo
NYCT,110 St,6,Manuel Vega,S‡bado en la Ciento Diez (Saturday on 110th Street),1996,Ceramic mosaic,"In S‡bado en la Ciento Diez, Manny Vega recalls memories from his childhood in Puerto Rico and also captures the ambience of the 110th Street neighborhood.   The work is divided into four panels Ð titled Earth, Air, Fire, and Water Ð in reference to the ancient classification of the four ÒelementsÓ thought to make up the world.  In Earth, a street vendor sells the fruits of the soil Ð bananas, plantains, papayas, avocados, and coconuts.  Fire features Shang—, a divine being in the Yoruba culture, to acknowledge the African heritage of many of the communityÕs residents.  In Water a woman holding a child by the hand represents motherhood.  Air shows children enjoying the chance to be out of doors, in particular a summertime soaking under a fire hydrant on the street.",https://new.mta.info/agency/arts-design/collection/sabado-en-la-ciento-diez
NYCT,Brooklyn Bridge-City Hall/Chambers St,"J,M,4,5,6",Mark Gibian,Cable Crossing,1996,"Steel with galvinized steel cable (and some zinc plated copper swaged sleeve fittings or ""Nicopress"".)","Cable Crossing stands out by virtue of the unusual materials from which it is made Ð wire rope and steel frames.  It is composed of an overhead structure suspended below a skylight and panels near the turnstiles that were designed by the artist as a functional barrier.  The Brooklyn BridgeÕs pioneering use of steel cables and a suspended roadway are repeatedly referenced in the workÕs design.  For the artist, the ÒlacyÓ curves of the barrier panels Òecho the beauty of the bridgeÕs cross-hatched cables and the feeling of flight as it springs across the East RiverÓ and the tensile strength of Cable Crossing suggests Òthe controlled power of the subway and its network of metal and concrete that undergirds the city.Ó  ÒI wanted to explore movement, using soft curves with hard materials,Ó Gibian says.  ÒThe flow of the work leads to a center of energy, then beyond to the barrier panels.  Visually, the materials become almost liquid.Ó",https://new.mta.info/agency/arts-design/collection/cable-crossing
NYCT,Flatbush Av-Brooklyn College,"2,5",Muriel Castanis,Flatbush Floogies,1996,"Bonded Bronze, Metalized liquid - resin and fiberglass","The ethereal forms in Flatbush Floogies are sprites or nymphs, who frolic on plaques in the stationÕs entry and on the train platform, accompanied by historic neighborhood figures Ð Native Americans, Captain Kidd the pirate, and the Brooklyn Dodgers.  These are memorialized in shell-like forms; their shapes are there, but they are hauntingly empty.  It is as if these people have suddenly vanished from sight, leaving as traces the clothing they were wearing.  This is achieved by making suitable forms and draping them with fabric that has been impregnated with epoxy resin, which can then be further shaped before they dry.  Afterward, forms are removed and the resin-saturated and hardened fabric is cast in bronze for durability and aesthetic appeal.",https://new.mta.info/agency/arts-design/collection/flatbush-floogies
NYCT,Woodhaven Blvd,"M,R",Pablo Tauler,In Memory of the Lost Batallion,1996,"Stainless steel, iron, faceted glass","The Lost Battalion was a group of sold iers, most of them from New York, who were killed in battle in World War I.  Pablo TaulerÕs sculptural forms at the Woodhaven Boulevard station honor their sacrifice.  In Memory of the Lost Battalion uses nine station support beams to undergird the memorial, surrounding them with wrappings of iron, steel, and glass.  The artist skillfully combines and manipulates the materials to evoke the terrain of the battlefield in France where the men perished.  Trees are suggested by shaped iron and guns by manipulated pieces of steel.  Light is refracted by the glass elements to powerful effect.  Tauler says the bent metal forms remind him of his forays as a child into the marshlands near his home:  ÒI am profoundly aware of the importance of the environment to my art,Ó he says.  ÒEspecially interesting to me is the manipulation of light through the use of texture and reflective materials.Ó",https://new.mta.info/agency/arts-design/collection/three-statues
NYCT,Roosevelt Island,F,Robert Hickman,Convex Disk at Roosevelt Island,1996,Stratified glass squares mounted on a steel armature,N/A,NA
Metro-North,Cortlandt,Hudson,Robert Taplin,Three Statues (A Short History of the Lower Hudson Valley),1996,"Bronze - patinated Hercalloy,  Forest Green Granite","In the plaza outside Metro-North RailroadÕs Cortlandt Station, the inattentive viewer might be taken up short.  Robert TaplinÕs Three Statues (A Short History of the Lower Hudson Valley), indeed, might be taken for ghosts from the areaÕs storied past.  One is a Native American rendered in earth tones; another, in gray, is a prosperous Dutch landowner of the seventeenth or eighteenth century; and the third, in dull reddish hues, is an industrial worker, perhaps from the nineteenth century.  Taplin says, ÒEach figure presents a moment in the history of this place.Ó  And together, they symbolize the sweeping changes the surrounding area has experienced over the past three centuries.

The artist designed his Three Statues, each seven feet tall, to be cast in bronze and then patinated to give the effect of varied surfaces and colors.  They stand proudly on a knoll, raised on a platform as if contemplating the green granite representation of the Hudson River spread in front of them, silently reflecting on the advantages and disadvantages of progress.  The idea is not that they are particular, identifiable historical figures; exactly the converse, in fact.  They are archetypal historic figures Ð even stereotypes Ð that suggest that we might also profitably ponder the past.  

Robert Taplin has taught at several colleges and universities, most recently Yale.  He has received numerous awards and grants for his work as a sculptor, including recognition by the National Endowment for the Arts, the Guggenheim Foundation, and the National Sculpture Society.  He is also a prolific writer and critic.",https://new.mta.info/agency/arts-design/collection/three-statues
NYCT,5 Av/59 St,"N,R,Q",Ann Schaumburger,Urban Oasis,1997,Glass and ceramic mosaic,"ÒAs a painter and teacher,Ó says the artist, ÒI wanted this piece to appeal to children and to the child in the adult,Ó says Ann Schaumburger.  ÒIÕm happy that the work is accessible and touchable.Ó As the basis for the muralsÕ motifs, the artist used photographs of the nearby Central Park Zoo as well as images of the parkÕs statues.  The creatures depicted are arranged in family groupings, depending upon their natural living conditions Ð an Arctic scene, one set in the tropics, and one in a city park.  ÒWe chose glass rather than ceramic for the mosaics because of its greater translucency and color graduation,Ó says Schaumburger.  ÒAnd I selected a color palette that echoes the colors in the stationÕs original, historic tile work, much of which has been retained",https://new.mta.info/agency/arts-design/collection/urban-oasis
NYCT,Nevins St,"2,3,4,5",Anton van Dalen,Work & Nature,1997,Porcelain Enamel on Steel,"Work & Nature is an homage to BrooklynÕs Nevins Street Station and the people who live and work nearby. The turn-of-the century mosaic patterns that run along the stationÕs walls had been water damaged and were on the brink of permanent loss.  Using these as a springboard, Anton van Dalen decided to capitalize upon  Òthe stationÕs olden elegance and grand beautyÓ to create a tribute to the people who use the station.  His porcelain enamel murals use the same colors as the historic mosaics and are done in a complementary style.  They show people at everyday tasks, both paid and unpaid Ð an architect, a sewing machine operator, a mother and child, a female executive, and a local hero, blues musician Furry Lewis.  Van Dalen comments that to him the overall theme is Òthe pride, dignity, and beauty surrounding all work.Ó",https://new.mta.info/agency/arts-design/collection/work-and-nature
NYCT,33 St,6,James Garvey,Lariat Seat Loops,1997,Bronze - hand forged,"James GarveyÕs fourteen sinuous and sculptural Lariat Seat Loops wrap around structural columns at the 33rd Street subway station in a variety of configurations.   In each of the loops, Òthe thick bronze bar encircles the structural column and resembles the lasso demonstration in a Will Rogers film clip,Ó says their creator. As useful as they are decorative, some of the loops serve as handholds and others function as seat rests for weary riders wanting to take a load off their feet.  Each bar swells where it touches the surface and is affixed to the column with custom-forged bolts.
Garvey is trained as both an artist and an artisan.  After receiving a degree in Fine Arts, he worked for ten years as a member of an artisan community in upstate New York.  This was followed by a stint as a union ironworker, where he helped restore the armature of the Statue of Liberty.  He then decided to meld the two disciplines, resulting in several public art commissions where he could utilize both his skill and his creativity to the fullest.
The loops were handmade in GarveyÕs forge in Harlem.  To him, the fact that they were individually crafted is critically important:
I think the labor-intensive blacksmith approach is worthwhile because it has a shared appreciation in our collective unconscious, it demonstrates a traditional work ethic that is recognized by cultures throughout the world. I remain mindful of the most obvious thing about the New York City streetscape, it is a complicated place for people, and I intend to go beyond helping people cope with the conditions. Some people are thinking in conversation, and some are hearing tunes, I am visualizing objects and formations É resolving, refining, and approaching my world with creations. 
ÒWhen a seat rest or handhold design really works, it invites you to touch, to hold on.  You want to use it,Ó says the artist.  ÒMy aim is to put inspiration into routine treks and refresh people caught up in mundane thoughts.Ó",https://new.mta.info/agency/arts-design/collection/lariat-seat-loops
NYCT,Cortlandt St,R,Margie Hughto,"Trade, Treasure and Travel",1997,Ceramic relief tile,"The Lost Battalion was a group of sold iers, most of them from New York, who were killed in battle in World War I.  Pablo TaulerÕs sculptural forms at the Woodhaven Boulevard station honor their sacrifice.  In Memory of the Lost Battalion uses nine station support beams to undergird the memorial, surrounding them with wrappings of iron, steel, and glass.  The artist skillfully combines and manipulates the materials to evoke the terrain of the battlefield in France where the men perished.  Trees are suggested by shaped iron and guns by manipulated pieces of steel.  Light is refracted by the glass elements to powerful effect.  Tauler says the bent metal forms remind him of his forays as a child into the marshlands near his home:  ÒI am profoundly aware of the importance of the environment to my art,Ó he says.  ÒEspecially interesting to me is the manipulation of light through the use of texture and reflective materials.Ó",https://new.mta.info/agency/arts-design/collection/trade-treasure-travel
NYCT,Broadway-Lafayette St,"B,D,F,M,6",Mel Chin,Signal,1997,"Stainless steel,Lighting elements,ceramic tile, Electronic light controllers","Today Broadway and Lafayette is an intersection of art and commerce, ringed with historic facades and glossy billboards.   In Signal, artist Mel Chin, collaborating with Seneca tribe member Peter Jemison, draws upon the rich history of this crossroads, which served as a trading route for the tribes of the Six Nations (Seneca, Cayuga, Onondaga, Mohawk, Tuscarora, and Oneida).    

The mezzanine walls contain figures that represent the nations with out-stretched arms reaching to one another.   The main concourse has conical forms at the base of support pillars.  They break up the severe geometry of the space and evoke the form of campfires, used to send signals. 

 In this version, there are lights set within the campfire forms that brighten as trains approach and dim as trains depart.  Patterns within the steel forms are based upon tribal badge patterns, which themselves were based upon a fusion of various cultures with which the tribes communicated.  Another historical overlay is seen in the tile patterns that surround the concourse; they evoke rising smoke while the pattern is inspired by an Iroquois message of peace. The blue and white tile also brings to mind the presence of  the Dutch in the area, known for their blue and white tile work.

Mel Chin is known for making art in unexpected places, including landfills and decaying buildings.  Born in Texas to Chinese parents, he spent his formative years in a primarily Latino and African American neighborhood.  He insists that art should Òprovoke greater social awareness and responsibilityÓ and has been especially active in the movement to introduce art into inner-city communities.",https://new.mta.info/agency/arts-design/collection/signal
Metro-North,Grand Central Terminal,City Terminal Zone,Roberto Juarez,A Field of Wild Flowers,1997,Painting - Mixed media,"A Field of Wild Flowers, Roberto Juarez has set out to provide a place of refreshment and repose, an elongated view of a lush garden landscape, with vertical divisions as if it were being seen through the windows of a train moving slowly through it.

In the choice of medium, the work is one of the more fragile and complex in the MTA system Ð a collage of multiple components, typical of the artistÕs work.  Juarez explains the process:

My work is composed of a variety of layers which together depict a floating, journeying state, devoid of any fixed perspective.  In addition to consisting of layers of gesso, under-painting, urethane and varnish, I also utilize natural materials Ð rice paper and a dusting of peat moss Ð to give my work added texture, strength and beauty.

Juarez was particularly attracted to the site of the project as it could allow him to continue with his interest in describing Òtranquility, the cyclical nature É and the joy found in the appreciation of common daily routinesÓ:

The Grand Central Waiting Room will be a calming center, a beautiful respite from the surrounding terminalÕs cacophony of visual noise.  Since Grand Central Terminal has been called New York CityÕs cathedral, the waiting roomÕs benches can likewise be conceived of as pews on which passengers can contemplate while looking at this triptych field of flowers, and thereby feel more comfortable and secure white regaining composure and perspective.

A Field of Wild Flowers was created expressly to be compatible with the architecture of Grand Central, repeating some of its historic interior details such as the representations of fruit, acorns, and garlands used in its decoration.  But at the same time it provides enough visual contrast to be read as a new, contemporary work of art that stands on its own.",https://new.mta.info/agency/arts-design/collection/field-of-wild-flowers
NYCT,Canal St,"N,R,Q,W,J,Z,6",Bing Lee,Empress Voyage 2.22.1794,1998,"Ceramic Tile,  Glass mosaic","Bing LeeÕs Empress Voyage commemorates and celebrates the pioneering expedition of the American merchant ship, Empress of China, which in 1794 returned to New York harbor laden with silk, tea, and porcelain (commonly called china, with a nod to its origin).  Through the artistÕs lighthearted use of  Chinese-derived icons, the tiles illustrate aspects of the then-new trade with Asia as well as celebrating life in todayÕs Chinatown.  On the platforms, for instance, interlocking teapots incorporate the Chinese symbol for Ògood life.Ó  Other symbols, on the stationÕs upper level, are variations on the symbols for ÒAsia,Ó Òquality,Ó and Ò cycle.Ó  As trains arrive, debarking passengers are given a choice of reading ÒCanal StreetÓ in English or the Chinese characters for ÒChinatown.Ó ÒI want to give the viewers art that reminds them of history, but also speaks directly to them,Ó says Lee, Òsomething meaningful but also playful.Ó",https://new.mta.info/agency/arts-design/collection/empress-voyage-2-22-1794
NYCT,Sheepshead Bay,"B,Q",Deborah Goletz,Postcards from Sheepshead Bay,1998,Ceramic Tiles,"At the turn of the twentieth century, Sheepshead Bay was a trendy location for sightseers.  Neighborhood historic sites and scenes from its past are evoked in Postcards from Sheepshead Bay.  The large outside mural is a gigantic replica of an antique postcard, nostalgically portraying a couple fishing, a jockey on horseback, and a summer home Ð as well as a sheepshead, the fish for which the village is named. DeBorah Goletz fancifully cut out the couplesÕ faces, allowing people to Òstick their heads through for souvenir photos, just like the old boardwalk props,Ó she says.  Inside the station is a second mural of turn-of-the-century people, and two smaller ones capture quiet moments on the bay.  Goletz, a superb ceramicist, created an Escher-like pattern of tiles, with color gradations from green to blue and back to green.  The results are rhythmic patterns that make one ÒfeelÓ the water itself.",https://new.mta.info/agency/arts-design/collection/postcards-from-sheepshead-bay
Metro-North,Grand Central Terminal,City Terminal Zone,Donald Lipski,Sirshasana,1998,"Glass crystals with brass fittings.Fiberglass over aluminum armature, Acrylic paint and Lighting elements","Donald Lipski based his enchanting chandelier Sirshasana on Greek and Hindu myths.  ÒTo the ancient Greeks the olive tree symbolized freedom and purity,Ó he explains.  ÒAnd the name Sirshasana refers to a yoga headstand posture Ð the inverted tree Ð that springs from the Hindu belief that humankindÕs highest energies flow from the infinite forces of the cosmos rather than from earth.Ó   So the chandelier is in the shape of an  olive tree and is suspended upside-down over the entrance to the street-level entrance of the huge and bustling Grand Central Market.  

Since the mid-1980s, Lipski has been fascinated by the iconography of Surrealism, for instance his Waxmusic and Candelabracadaba of 1992, an assemblage of multiple white candles and empty boxes of musical instruments.  Sirshasana partially follows in this tradition, and might properly be called Decorative Surrealism.

SirshasanaÕs form has a writhing, enticing, but also somewhat sinister aspect Ð and its unexpected components add a slightly jangling frisson.  Why is the base of the tree finished in gold?  And why are there precious crystals dangling on this tree and not olives?  In addition to the allusion the chandeliers in other parts of Grand Central, could this be a comment on the allure of the exotic, costly and tempting wares being sold beneath it?",https://new.mta.info/agency/arts-design/collection/sirshasana
NYCT,34 St-Penn Station,"1,2,3",Elizabeth Grajales,When the animals speak...,1998,Ceramic mosaic,"When the animals speak .... shows wild animals in their habitats.  One mural shows a pair of lions happily coexisting with playful birds in a familiar landscape; a stream flowing nearby (the Hudson) and cliffs behind (the Palisades) from the backdrop.  Another depicts a bear contentedly observing a doe and her young.  ""As a child on shopping trips I found the station dull and colorless,"" says Elizabeth Grajales.  ""I wanted to give people something cheerful but also calming-a refuge in the city.  That's why I use gentle colors like golden ochre and pale blue and greens for these idyllic Garden of Eden scenes.""",https://new.mta.info/agency/arts-design/collection/when-animals-speak
Metro-North,Grand Central Terminal,City Terminal Zone,Ellen Driscoll,"As Above, So Below",1998,"Glass mosaic, Cast glass, Bronze, and Etched stone.","The night sky has fascinated us for centuries.  The historic ceiling in the main concourse at Grand Central Terminal is a particularly beautiful example of this abiding fascination.  
Constellations of luminous stars cover it entirely, backed by an azure blue night sky.  Directing the heavenly show is Mercury, the Roman god of speed and skill who takes the form of a winged messenger.  In this way, Grand CentralÕs critical role in vast world of transportation and communication is stressed.

Ellen DriscollÕs artwork at Grand Central is directly tied into the historical sky ceiling in the terminal.  In As Above, So Below, she conducts a tour of the continents, the heavens, and even the underworld, illustrated by their distinctive myths and legends Ð stories purporting to explain to us the movement of the stars, the creation of the planets, and how mankind is affected, indeed ruled, by these forces.  Thus the title of DriscollÕs work: As Above, So Below.  

To bring home the connection, the faces the artist depicts are those of ordinary, everyday Americans Ð  captured through the technology of photography and then manipulated digitally so that they assume the traditional poses of figures from mythology.  DriscollÕs message to riders is that they are the part of an overarching cosmos with an infinitely deep and meaningful past, extending back until the beginning of time.  Everything and everyone is connected.",https://new.mta.info/agency/arts-design/collection/as-above-so-below
LIRR,Huntington,Port Jefferson,Joe Zucker,"For My Grandfather Noye Pride, A Locomotive Engineer",1998,Faceted glass,"At the Long Island Rail RoadÕs Huntington station, Joe ZuckerÕs 130-foot fantasy train cheerfully chugs down the platform brightening ridersÕ days at the same time it protects them from the force of cross-tracks winds.  The cartoon-like flatcars are shown carrying all manner of Long-Island-related objects, one prize specimen to a car.  Products of Long IslandÕs fields and waters are represented by a giant lobster, a gargantuan duck (the famed Long Island Flanders one), the king of all potatoes, and a monster bluefish.  Tourist attractions are there too Ð the Montauk lighthouse, a sailboat.  The images are delightfully wacky and bizarrely colored; why, for instance, is the bluefish green and the potato blue?  

Zucker designed his images to be rendered in faceted glass, in such a way that they are be equally powerful day and night and are effective when viewed from either side.  During daylight hours, they respond to the path of the sun as it tracks across the sky.  At night, lights trained on the train give commuters a cheerful glowing welcome back home.  

ÒThe railroad is simultaneously a metaphor for movement and stability,Ó says Zucker; Òit is restless and powerful, gliding across the continent.Ó  But mainly it is meant to be just fun:  ÒI hope that this piece brings travelers enjoyment, that it gives them memories and of Long Island and moments of pleasure.Ó

As the title indicates, members of the artistÕs family were employed on the railroad:  ÒIt is in memory of my grandfather and uncles who served as engineers and firemen on the trains of a distant past.Ó",https://new.mta.info/agency/arts-design/collection/for-my-grandfather-noye-pride-locomotive-engineer
