species,authority,country,kingdom,environment_system,origin
Chenopodium mucronatum,Thunb.,South Africa,Plantae,terrestrial,Alien
Chenopodium murale,L.,Chad,Plantae,terrestrial,Alien
Chenopodium murale,L.,Egypt,Plantae,terrestrial,Alien
Chenopodium murale,L.,Madagascar,Plantae,terrestrial,Alien
Chenopodium murale,L.,South Africa,Plantae,terrestrial,Alien
Chenopodium murale,L.,Zimbabwe,Plantae,terrestrial,Alien
Chenopodium murale var.murale,NA,Swaziland,Plantae,terrestrial,Alien
Chenopodium opulifolium,Schrad. ex W. D. J. Koch & Ziz,South Africa,Plantae,terrestrial,Alien
Chenopodium opulifolium,Schrad. ex W. D. J. Koch & Ziz,Zimbabwe,Plantae,terrestrial,Alien
Chenopodium opulifolium var.opulifolium,L.,Swaziland,Plantae,terrestrial,Alien
Chenopodium phillipsianum,L.,Swaziland,Plantae,terrestrial,Alien
Chenopodium polyspermum,L.,South Africa,Plantae,terrestrial,Alien
Chenopodium probstii,Aellen,Egypt,Plantae,terrestrial,Alien
Chenopodiumx bontei,L.,Swaziland,Plantae,terrestrial,Alien
Cherax albidus,"Clark, 1936",South Africa,Animalia,freshwater,Alien
Cherax destructor,"Clark, 1936",South Africa,Animalia,freshwater,Alien
Cherax quadricarinatus,"(von Martins, 1868)",Morocco,Animalia,freshwater,Alien
Cherax quadricarinatus,"(von Martins, 1868)",Namibia,Animalia,freshwater,Alien
Cherax quadricarinatus,"(von Martins, 1868)",South Africa,Animalia,freshwater,Alien
Cherax quadricarinatus,"(von Martins, 1868)",Zambia,Animalia,freshwater,Alien
Cherax quadricarinatus,"(von Martins, 1868)",Zimbabwe,Animalia,freshwater,Alien
Cherax tenuimanus,"(Smith, 1912)",Mauritius,Animalia,freshwater,Alien
Cherax tenuimanus,"Smith, 1912",South Africa,Animalia,freshwater,Alien
Cherax tenuimanus,"Smith, 1912",Tunisia,Animalia,freshwater,Alien
Chilades pandava,NA,Egypt,Animalia,terrestrial,Alien
Chilo partellus,"Swinhoe, 1885",South Africa,Animalia,terrestrial,Alien
Chilo partellus,"Swinhoe, 1885",Kenya,Animalia,terrestrial,Alien
Chionaspis pinifoliae,"(Fitch, 1856)",Libya,Animalia,host,Alien
Chlamydosaurus kingii,"Gray, 1825",South Africa,Animalia,terrestrial,Alien
Chloris barbata,Sw.,Chad,Plantae,terrestrial,Alien
Chloris barbata,Sw.,Egypt,Plantae,terrestrial,Alien
Chloris barbata,Sw.,Mauritius,Plantae,terrestrial,Alien
Chloris truncata,R.Br.,South Africa,Plantae,terrestrial,Alien
Chloris virgata,Sw.,South Africa,Plantae,terrestrial,Alien
Chlorophorus annularis,"(Fabricius, 1787)",South Africa,Animalia,terrestrial,Alien
Chlorophytum comosum,Jacques (Thunb.),Seychelles,Plantae,terrestrial,Alien
Chondria coerulescens,"Falkenberg, 1901 (J.Agardh)",Libya,Plantae,marine,Alien
Chondrilla juncea,L.,South Africa,Plantae,terrestrial,Alien
Chonemorpha fragrans,Alston,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chonemorpha verrucosa,D.J.Middleton (Blume),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chorizema cordatum,Lindl.,South Africa,Plantae,terrestrial,Alien
Chromolaena corymbosa,(Aubl.) R.M.King & H.Rob.,South Africa,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Angola,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Benin,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Cameroon,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Chad,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Gabon,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Ghana,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Guinea,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Madagascar,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Mauritius,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Mozambique,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Nigeria,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Sierra Leone,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),South Africa,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Swaziland,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Togo,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Zimbabwe,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Kenya,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),Uganda,Plantae,terrestrial,Alien
Chromolaena odorata,R.M. King & H. Rob. (L.),United Republic of Tanzania,Plantae,terrestrial,Alien
Chrysanthellum indicum,DC.,Burundi,Plantae,terrestrial,Alien
Chrysanthellum indicum,DC.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chrysanthellum indicum,DC.,Madagascar,Plantae,terrestrial,Alien
Chrysanthellum indicum,DC.,Rwanda,Plantae,terrestrial,Alien
Chrysanthellum indicum,DC.,South Africa,Plantae,terrestrial,Alien
Chrysanthellum indicum subsp. Afroamericanum,DC.,Burundi,Plantae,terrestrial,Alien
Chrysanthemum indicum,L.,Seychelles,Plantae,terrestrial,Alien
Chrysanthemum morifolium,Hemsl. (Ramat.),Seychelles,Plantae,terrestrial,Alien
Chrysobalanus icaco,F.White (A.Chev.),Chad,Plantae,terrestrial,Alien
Chrysobalanus icaco,L.,Seychelles,Plantae,terrestrial,Alien
Chrysobalanus icaco subsp. atacorensis,(A.Chev.) F.White,Seychelles,Plantae,terrestrial,Alien
Chrysobalanus icaco subsp. icaco,NA,Chad,Plantae,terrestrial,Alien
Chrysomya megacephala,"(Fabricius, 1794)",South Africa,Animalia,terrestrial,Alien
Chrysophyllum cainito,L.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chrysophyllum cainito,L.,Seychelles,Plantae,terrestrial,Alien
Chrysopogon aciculatus,Trin. (Retz.),Uganda,Plantae,terrestrial,Alien
Chrysopogon aciculatus,Trin. (Retz.),Burkina Faso,Plantae,terrestrial,Alien
Chrysopogon aciculatus,Trin. (Retz.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chrysopogon aciculatus,Trin. (Retz.),Nigeria,Plantae,terrestrial,Alien
Chrysopogon fulvus,Chiov. (Spreng.),Madagascar,Plantae,terrestrial,Alien
Chrysopogon nigritanus,Veldkamp (Benth.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Chrysopogon zizanioides,Roberty (L.),Madagascar,Plantae,terrestrial,Alien
Chrysopogon zizanioides,Roberty (L.),Seychelles,Plantae,terrestrial,Alien
Chrysothemis pulchella,Decne. (Donn ex Sims),Seychelles,Plantae,terrestrial,Alien
Chukrasia tabularis,A. Juss.,South Africa,Plantae,terrestrial,Alien
Cichorium endivia,L.,Chad,Plantae,terrestrial,Alien
Cichorium endivia,Schousb.,Seychelles,Plantae,terrestrial,Alien
Cichorium intybus,L.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cichorium intybus,L.,Madagascar,Plantae,terrestrial,Alien
Cichorium intybus,L.,South Africa,Plantae,terrestrial,Alien
Cichorium intybus,L.,Zimbabwe,Plantae,terrestrial,Alien
Cichorium intybus subsp. intybus,NA,South Africa,Plantae,terrestrial,Alien
Ciliosemina pedunculata,Antonelli (H.Karst.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cinara cronartii,"Tissot & Pepper, 1967",South Africa,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Libya,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Morocco,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Rwanda,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Ethiopia,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Kenya,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Uganda,Animalia,host,Alien
Cinara cupressi,"(Buckton, 1881)",Malawi,Animalia,host,Alien
Cinara cupressi sensu lato,"(Buckton, 1881)",Mauritius,Animalia,host,Alien
Cinara cupressi subsp. cupressi,NA,South Africa,Animalia,host,Alien
Cinara pinivora,"(Wilson, 1919)",Malawi,Animalia,host,Alien
Cinchona officinalis,L.,Burundi,Plantae,terrestrial,Alien
Cinchona officinalis,L.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cinchona officinalis,L.,Rwanda,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Burundi,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Cameroon,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Nigeria,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Rwanda,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Kenya,Plantae,terrestrial,Alien
Cinchona pubescens,Vahl,Uganda,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Kenya,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Uganda,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),United Republic of Tanzania,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Algeria,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Egypt,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Ghana,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Madagascar,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Mauritius,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Seychelles,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),Sierra Leone,Plantae,terrestrial,Alien
Cinnamomum camphora,J. Presl (L.),South Africa,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Comoros,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Egypt,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Gabon,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Ghana,Plantae,terrestrial,Alien
Cinnamomum verum,J. S. Presl,Madagascar,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Mauritius,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Sao Tome and Principe,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Seychelles,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Ethiopia,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Kenya,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,Uganda,Plantae,terrestrial,Alien
Cinnamomum verum,J. Presl,United Republic of Tanzania,Plantae,terrestrial,Alien
Ciona robusta,"Hoshino & Tokioka, 1967",South Africa,Animalia,marine,Alien
Circulifer tenellus,"Baker, 1896 (Baker, 1896)",South Africa,Animalia,terrestrial,Alien
Cirsium arvense,Scop. (L.),Angola,Plantae,terrestrial,Alien
Cirsium vulgare,Ten. (Savi),South Africa,Plantae,terrestrial,Alien
Cirsium vulgare,Ten. (Savi),Swaziland,Plantae,terrestrial,Alien
Cirsium vulgare,Ten. (Savi),Ethiopia,Plantae,terrestrial,Alien
Cirsium vulgare,Ten. (Savi),Kenya,Plantae,terrestrial,Alien
Cirsium vulgare,Ten. (Savi),Uganda,Plantae,terrestrial,Alien
Cirsium vulgare,Ten. (Savi),United Republic of Tanzania,Plantae,terrestrial,Alien
Cissus antarctica,Vent.,South Africa,Plantae,terrestrial,Alien
Cissus arguta,Hook.f.,Nigeria,Plantae,terrestrial,Alien
Cissus quadrangularis,L.,Comoros,Plantae,terrestrial,Alien
Cissus quadrangularis,L.,Madagascar,Plantae,terrestrial,Alien
Cissus quadrangularis,L.,Seychelles,Plantae,terrestrial,Alien
Cissus rotundifolia,Vahl (Forssk.),Seychelles,Plantae,terrestrial,Alien
Cistus ladanifer,L.,South Africa,Plantae,terrestrial,Alien
Citharexylum spinosum,L.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Citharexylum spinosum,L.,South Africa,Plantae,terrestrial,Alien
Citrullus colocynthis,Schrader (L.),Madagascar,Plantae,terrestrial,Alien
Citrullus lanatus,Matsum. & Nakai (Thunb.),Chad,Plantae,terrestrial,Alien
Citrullus lanatus,Matsumura & Nakai (Thunb.),Madagascar,Plantae,terrestrial,Alien
Citrullus lanatus,Matsumura & Nakai (Thunb.),Seychelles,Plantae,terrestrial,Alien
Citrus aurantiifolia,(Christm.) Swingle (pro. sp.),Rwanda,Plantae,terrestrial,Alien
Citrus aurantiifolia,Swingle (Christm.),Seychelles,Plantae,terrestrial,Alien
Citrus aurantiifolia,Swingle (Christm.),South Africa,Plantae,terrestrial,Alien
Citrus aurantiifolia,(Christm.) Swingle (pro. sp.),Chad,Plantae,terrestrial,Alien
Citrus aurantiifolia,Swingle (Christm.),Madagascar,Plantae,terrestrial,Alien
Citrus aurantium,L.,Madagascar,Plantae,terrestrial,Alien
Citrus aurantium,L. (pro. sp.),Rwanda,Plantae,terrestrial,Alien
Citrus aurantium,L.,Seychelles,Plantae,terrestrial,Alien
Citrus aurantium,L. (pro. sp.),Zimbabwe,Plantae,terrestrial,Alien
Citrus grandis,Osbeck (L.),Seychelles,Plantae,terrestrial,Alien
Citrus hystrix,DC.,Seychelles,Plantae,terrestrial,Alien
Citrus limon,(L.) Burm. f. (pro. sp.),Burkina Faso,Plantae,terrestrial,Alien
Citrus limon,(L.) Burm. f. (pro. sp.),Burundi,Plantae,terrestrial,Alien
Citrus limon,(L.) Burm. f. (pro. sp.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Citrus limon,Burm. fil. (L.),Madagascar,Plantae,terrestrial,Alien
Citrus limon,(L.) Burm. f. (pro. sp.),Rwanda,Plantae,terrestrial,Alien
Citrus limon,Burm. fil. (L.),Seychelles,Plantae,terrestrial,Alien
Citrus limon,Burm. fil. (L.),South Africa,Plantae,terrestrial,Alien
Citrus limon,(L.) Burm. f. (pro. sp.),Zimbabwe,Plantae,terrestrial,Alien
Citrus maxima,Merr. (Burm. f.),Rwanda,Plantae,terrestrial,Alien
Citrus medica,L.,Madagascar,Plantae,terrestrial,Alien
Citrus medica,L.,Seychelles,Plantae,terrestrial,Alien
Citrus microcarpa,Bunge,Seychelles,Plantae,terrestrial,Alien
Citrus nobilis,L.,Madagascar,Plantae,terrestrial,Alien
Citrus paradisi,Macfad. (pro. sp.),Rwanda,Plantae,terrestrial,Alien
Citrus reticulata,Blanco,Comoros,Plantae,terrestrial,Alien
Citrus reticulata,Blanco,Madagascar,Plantae,terrestrial,Alien
Citrus reticulata,Blanco,Rwanda,Plantae,terrestrial,Alien
Citrus reticulata,Blanco,Seychelles,Plantae,terrestrial,Alien
Citrus sinensis,Pers.,South Africa,Plantae,terrestrial,Alien
Citrus sp.,L.,Botswana,Plantae,terrestrial,Alien
Civettictis civetta,"(Schreber, 1776)",Sao Tome and Principe,Animalia,terrestrial,Alien
Cladophora herpestica,"Kützing, 1849 (Montagne)",Egypt,Plantae,marine,Alien
Cladophora herpestica,"Kützing, 1849 (Montagne)",Libya,Plantae,marine,Cryptogenic/Uncertain
Cladophora prolifera,"Kützing, 1843 (Roth)",South Africa,Plantae,marine,Alien
Clarias gariepinus,"(Burchell, 1822)",Cameroon,Animalia,freshwater,Alien
Clarias gariepinus,"(Burchell, 1822)",Democratic Republic of the Congo,Animalia,freshwater,Alien
Clarias gariepinus,"(Burchell, 1822)",Gabon,Animalia,freshwater,Alien
Clarias gariepinus,"(Burchell, 1822)",Lesotho,Animalia,freshwater,Alien
Clarias gariepinus,"(Burchell, 1822)",Mauritius,Animalia,freshwater,Alien
Clarias gariepinus,"(Burchell, 1822)",Rwanda,Animalia,freshwater,Alien
Clarias gariepinus,"(Burchell, 1822)",Kenya,Animalia,freshwater,Alien
Clausena anisata,Hook.f. ex Benth. (Willd.),Seychelles,Plantae,terrestrial,Alien
Clausena excavata,Burm. fil.,Madagascar,Plantae,terrestrial,Alien
Clausena excavata,Burm. fil.,Seychelles,Plantae,terrestrial,Alien
Clavelina lepadiformis,"(Müller, 1776)",South Africa,Animalia,marine,Alien
Clavellisa ilishae,"Pillai, 1962",Egypt,Animalia,marine,Alien
Cleome guaranitica,Schltdl.,South Africa,Plantae,terrestrial,Alien
Cleome gynandra,L.,Madagascar,Plantae,terrestrial,Alien
Cleome gynandra,L.,Seychelles,Plantae,terrestrial,Alien
Cleome hirta,Oliv. (KI.),Madagascar,Plantae,terrestrial,Alien
Cleome rutidosperma,DC.,Cameroon,Plantae,terrestrial,Alien
Cleomegynandra,L.,Swaziland,Plantae,terrestrial,Alien
Cleoserrata speciosa,Iltis (Raf.),Madagascar,Plantae,terrestrial,Alien
Cleoserrata speciosa,Iltis (Raf.),Seychelles,Plantae,terrestrial,Alien
Clerodendrum bungei,Steud.,South Africa,Plantae,terrestrial,Alien
Clerodendrum calamitosum,L.,Seychelles,Plantae,terrestrial,Alien
Clerodendrum chinense,Mabb. (Osbeck),Algeria,Plantae,terrestrial,Alien
Clerodendrum chinense,Mabb. (Osbeck),Seychelles,Plantae,terrestrial,Alien
Clerodendrum indicum,Kuntze (L.),Madagascar,Plantae,terrestrial,Alien
Clerodendrum indicum,Kuntze (L.),Seychelles,Plantae,terrestrial,Alien
Clerodendrum nutans,Wall. ex Jack,Seychelles,Plantae,terrestrial,Alien
Clerodendrum paniculatum,L.,Seychelles,Plantae,terrestrial,Alien
Clerodendrum speciosissimum,Van Geert ex C. Morren,Seychelles,Plantae,terrestrial,Alien
Clerodendrum speciosum,Teijsm. & Binn.,Seychelles,Plantae,terrestrial,Alien
Clerodendrum splendens,A.Chev.,Burundi,Plantae,terrestrial,Alien
Clerodendrum splendens,A.Chev.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Clerodendrum splendens,A.Chev.,Rwanda,Plantae,terrestrial,Alien
Clerodendrum splendens,G.Don,South Africa,Plantae,terrestrial,Alien
Clerodendrum thomsoniae,Balf. f.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Clerodendrum thomsoniae,Balf. f.,Rwanda,Plantae,terrestrial,Alien
Clerodendrum thomsoniae,Balf. f.,Seychelles,Plantae,terrestrial,Alien
Clerodendrum thomsoniae,Balf. f.,South Africa,Plantae,terrestrial,Alien
Clerodendrum umbellatum,Poir.,Seychelles,Plantae,terrestrial,Alien
Clidemia hirta,D.Don (L.),Comoros,Plantae,terrestrial,Alien
Clidemia hirta,D. Don (L.),Madagascar,Plantae,terrestrial,Alien
Clidemia hirta,D.Don (L.),Mauritius,Plantae,terrestrial,Alien
Clidemia hirta,D.Don (L.),Seychelles,Plantae,terrestrial,Alien
Clidemia hirta,D.Don (L.),Kenya,Plantae,terrestrial,Alien
Clidemia hirta,D.Don (L.),Uganda,Plantae,terrestrial,Alien
Clidemia hirta,D.Don (L.),United Republic of Tanzania,Plantae,terrestrial,Alien
Clitoria ternatea,L.,Chad,Plantae,terrestrial,Alien
Clitoria ternatea,L.,Seychelles,Plantae,terrestrial,Alien
Clitoria ternatea,L.,South Africa,Plantae,terrestrial,Alien
Clusia rosea,Jacq.,Seychelles,Plantae,terrestrial,Alien
Clusia rosea,Jacq.,South Africa,Plantae,terrestrial,Alien
Clypeomorus bifasciata,"(G.B. Sowerby II, 1855)",Egypt,Animalia,marine,Alien
Clypeomorus bifasciata,"(G.B. Sowerby II, 1855)",Libya,Animalia,marine,Alien
Clytia linearis,"(Thorneley, 1900)",Egypt,Animalia,marine,Alien
Cobaea scandens,Cav.,Zimbabwe,Plantae,terrestrial,Alien
Coccinella septempunctata,"Linnaeus, 1758",Egypt,Animalia,terrestrial,Alien
Coccinia grandis,(L.) Voigt,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Coccoloba uvifera,L. (L.),Seychelles,Plantae,terrestrial,Alien
Cocculus hirsutus,Diels (L.),South Africa,Plantae,terrestrial,Alien
Cocculus hirsutus,Diels (L.),Swaziland,Plantae,terrestrial,Alien
Coccus hesperidum,"Linnaeus, 1758",South Africa,Animalia,host,Alien
Cochlicella barbara,"Linnaeus, 1758",South Africa,Animalia,terrestrial,Alien
Cochlicella ventrosa,NA,South Africa,Animalia,terrestrial,Alien
Cochlicopa lubrica,"(O. F. Müller, 1774)",South Africa,Animalia,terrestrial,Alien
Cochlicopa lubricella,"Rossmassler, 1834 (Rossmassler, 1834)",South Africa,Animalia,terrestrial,Alien
Cochlospermum vitifolium,Spreng. (Willd.),Seychelles,Plantae,terrestrial,Alien
Cocos nucifera,L.,Gambia (the),Plantae,terrestrial,Alien
Cocos nucifera,L.,Ghana,Plantae,terrestrial,Alien
Cocos nucifera,L.,Guinea,Plantae,terrestrial,Alien
Cocos nucifera,L.,Guinea-Bissau,Plantae,terrestrial,Alien
Cocos nucifera,L.,Mali,Plantae,terrestrial,Alien
Cocos nucifera,L.,Mauritania,Plantae,terrestrial,Alien
Cocos nucifera,L.,Mozambique,Plantae,terrestrial,Alien
Cocos nucifera,L.,Nigeria,Plantae,terrestrial,Alien
Cocos nucifera,L.,Senegal,Plantae,terrestrial,Alien
Cocos nucifera,L.,Sierra Leone,Plantae,terrestrial,Alien
Cocos nucifera,L.,Togo,Plantae,terrestrial,Alien
Cocos nucifera,L.,Kenya,Plantae,terrestrial,Alien
Cocos nucifera,L.,Uganda,Plantae,terrestrial,Alien
Cocos nucifera,L.,Benin,Plantae,terrestrial,Alien
Cocos nucifera,L.,Burkina Faso,Plantae,terrestrial,Alien
Cocos nucifera,L.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Cocos nucifera,L.,Gabon,Plantae,terrestrial,Alien
Codiaeum variegatum,Rumph. ex A.Juss. (L.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Codiaeum variegatum,Rumph. ex A.Juss. (L.),Equatorial Guinea,Plantae,terrestrial,Cryptogenic/Uncertain
Codiaeum variegatum,Rumph. ex A.Juss. (L.),Rwanda,Plantae,terrestrial,Alien
Codiaeum variegatum,Rumph. ex A.Juss. (L.),Seychelles,Plantae,terrestrial,Alien
Codiaeum variegatum,Rumph. ex A.Juss. (L.),South Africa,Plantae,terrestrial,Alien
Codium fragile,"(Suringar) Hariot, 1889",Algeria,Plantae,marine,Alien
Codium fragile,"(Suringar) Hariot, 1889",South Africa,Plantae,marine,Alien
Codium fragile subsp. fragile,NA,Algeria,Plantae,marine,Alien
Codium fragile subsp. fragile,NA,Libya,Plantae,marine,Alien
Codium fragile subsp. fragile,NA,Tunisia,Plantae,marine,Alien
Codium fragile subsp. tomentosoides,"(van Goor) P.C.Silva, 1955",Morocco,Plantae,marine,Alien
Codium taylorii,P.C. Silva,Libya,Plantae,marine,Alien
Coffea arabica,L.,Seychelles,Plantae,terrestrial,Alien
Coffea arabica,L.,South Africa,Plantae,terrestrial,Alien
Coffea arabica,L.,Swaziland,Plantae,terrestrial,Alien
Coffea arabica,L.,Zimbabwe,Plantae,terrestrial,Alien
Coffea arabica,L.,United Republic of Tanzania,Plantae,terrestrial,Alien
Coffea canephora,Pierre ex A.Froehner,Madagascar,Plantae,terrestrial,Alien
Coffea canephora,Pierre ex A.Froehner,Seychelles,Plantae,terrestrial,Alien
Coffea liberica,Hiern,Chad,Plantae,terrestrial,Alien
Coffea liberica,Hiern,Seychelles,Plantae,terrestrial,Alien
Coix lacryma-jobi,L.,Madagascar,Plantae,terrestrial,Native/Alien
Coix lacryma-jobi,L.,Seychelles,Plantae,terrestrial,Alien
Coix lacryma-jobi,L.,South Africa,Plantae,terrestrial,Alien
Cola nitida,Schott & Endl. (Vent.),Seychelles,Plantae,terrestrial,Alien
Coleosoma blandum,"O. Pickard-Cambridge, 1882",South Africa,Animalia,terrestrial,Alien
Coleusia signata,"(Paul'son, 1875)",Egypt,Animalia,marine,Alien
Colletotrichum coffeanum,"F. Noack, 1901",Kenya,Fungi,host,Alien
Colletotrichum gloeosporioides,"Penz. & Sacc., 1884 (Penz.)",South Africa,Fungi,host,Alien
Colocasia esculenta,Schott (L.),Burkina Faso,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Burundi,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Cameroon,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Chad,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Democratic Republic of the Congo,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Equatorial Guinea,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Gabon,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Gambia (the),Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Ghana,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Guinea,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Guinea-Bissau,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Madagascar,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Malawi,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Mali,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Mauritius,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Morocco,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Niger,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Nigeria,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Rwanda,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Sao Tome and Principe,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Senegal,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Seychelles,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Sierra Leone,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),South Africa,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Sudan,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Togo,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Tunisia,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Zambia,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Zimbabwe,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Kenya,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Uganda,Plantae,terrestrial,Alien
Colocasia esculenta,Schott (L.),Algeria,Plantae,terrestrial,Alien
Colpomenia peregrina,Sauvageau,Algeria,Chromista,marine,Alien
Colpomenia peregrina,Sauvageau,Morocco,Chromista,marine,Alien
Columba livia,"Gmelin, 1789",Zimbabwe,Animalia,terrestrial,Alien
Columba livia,"Gmelin, 1789",Ethiopia,Animalia,terrestrial,Alien
Columba livia,"Gmelin, 1789",Uganda,Animalia,terrestrial,Alien
Columba livia,"Gmelin, 1789",United Republic of Tanzania,Animalia,terrestrial,Alien
Columba livia,"Gmelin, 1789",Angola,Animalia,terrestrial,Alien
Columba livia,"Gmelin, 1789",Benin,Animalia,terrestrial,Alien
