agency_name,year,quarter,starting,added,total,consolidation,rehabilitation,voluntary_payments,wage_garnishments
Professional Bureau of Collections of Maryland,18,1,1287704918.12,1098909701.06,30642552.470000003,5227039.92,23084575.82,1747080.43,583856.3
Reliant Capital Solutions,18,1,1380085499.76,1098868153.83,66724267.65,4896479.78,57313001.35,2093108.55,2421677.9699999997
ACT,18,2,9802839749.33,NA,395249672.15999997,22850757.9,337310726.75,9860067.49,25228120.02
Coast Professional Inc,18,2,8793580917.29,1150332499.04,257936122.58,40415254.83,182220617.9,10266358.969999999,25033890.880000003
ConServe,18,2,9166244642.15,NA,266533439.61,23070201.36,213984580.49,8050512.03,21428145.73
ERS,18,2,3616101747.53,536403861.38,28076408.24,23102240.25,198433.03999999998,3459699.4299999997,1316035.52
FMS,18,2,9463753829.81,NA,266944520.01999998,27904065.2,206675754.63,8884938.32,23479761.87
GC Services,18,2,8946061306.91,NA,254400314.88000003,25229550.990000002,195252725.32,9969790.24,23948248.330000002
Immediate Credit Recovery,18,2,10391505176.07,649712370.0999999,231871820.54000002,41003534.70999999,156505480.65,11279530.780000001,23083274.4
National Recoveries Inc,18,2,8418472737.33,1336771155.23,185342672.04,49039414.35,108697597.84,9660345.98,17945313.87
Pioneer,18,2,3566472320.04,536401548.88,27426180.439999998,22558336.14,2659.63,4828875.34,36309.33
Windham,18,2,7351886005.04,NA,199752528.37,17280438.96,152991205.36,8727488.01,20753396.04
Action Financial Services,18,2,3953865346.16,440684057.30999994,108974367.95999998,20004524.3,77858675.28999999,5416681.63,5694486.74
Bass and Associates,18,2,1620030234.73,400871159.31,25516868.26,9037031.34,14148962.920000002,1957972.2500000002,372901.75
Central Research,18,2,3760191469.57,746191236.8699999,94297117.47999999,15833779.99,66768525.239999995,6234982.32,5459829.93
Credit Adjustments Inc,18,2,5164002772.07,1336664404.85,134321414.85999998,28062924.6,94372165.22999999,6361109.74,5525215.29
FH Cann and Associates,18,2,2467597152.69,1336665760.1599998,78088287.82999998,14593429.02,57054577.989999995,3753845.49,2686435.33
National Credit Services,18,2,2073338750.79,780575771.7499999,63053921.86,11930455.399999999,46695008.97,3074480.33,1353977.1600000001
Professional Bureau of Collections of Maryland,18,2,2382361013.31,338588344.65,42244156.81,13039497.75,25171124.78,3108969.95,924564.3300000001
Reliant Capital Solutions,18,2,2457255595.49,892357371.5799999,77128946.76,14243537.96,55839789.900000006,3565802.55,3479816.35
ACT,18,3,9373746361.91,NA,281255788.94,21002429.89,222045786.04,10099771.64,28107801.369999997
Coast Professional Inc,18,3,9538672453.99,735968349.7,204436496.62,38058826.92,129060792.75,12929745.04,24387131.91
ConServe,18,3,8863493757.81,NA,210697519.20999998,23801870.97,158215687.64,8410416.47,20269544.130000003
ERS,18,3,3973485532.97,NA,29324651.440000005,22984825.18,23797.35,5146791.630000001,1169237.28
FMS,18,3,9170738235.1,NA,225637550.54000002,22455269.09,171782945.49,8617002.85,22782333.110000003
GC Services,18,3,8648197357.19,NA,224020617.06,21285172.22,166089432.17000002,9765266.34,26880746.33
Immediate Credit Recovery,18,3,10664734556.48,293566428.69,210729278.88,40214880.82,131370690.82,13524772.91,25618934.33
National Recoveries Inc,18,3,9426363342.44,887958782.73,172214956.65,51348783.3,86425556.62,12422737.57,22017879.159999996
Pioneer,18,3,3922285178.2,NA,33678647.629999995,26016030.97,519715.97,7098507.21,44393.48
Windham,18,3,7101055352.83,NA,170695461.85999998,17347352.03,124933629.1,8645519,19768961.73
Action Financial Services,18,3,4235639518.3,318228321.93,99291777.78,19620571.2,67484959.11,5868941.8100000005,6317305.66
Bass and Associates,18,3,1956106295.89,351550761.34999996,30411515.12,12321456.07,14807563.75,2698202.4299999997,584292.87
Central Research,18,3,4352442522.28,337557261.28999996,93713785.57999998,18275691.64,62227660.589999996,6268645.74,6941787.609999999
Credit Adjustments Inc,18,3,6289393943.31,994519965.73,125682010.91999999,33662187.16,72544439.44999999,9740602.14,9734782.17
FH Cann and Associates,18,3,3657820888.52,749319195.01,78109551.46000001,20308054.709999997,48433138.76,6518156.34,2850201.65
National Credit Services,18,3,2734772510.71,658569347.12,56843633.03,13338639.14,37100821.57,4310335.390000001,2093836.9299999997
Professional Bureau of Collections of Maryland,18,3,2608296883.27,321856066.37,40887114.65,12517233.82,22687359.29,4553509.29,1129012.25
Reliant Capital Solutions,18,3,3208751465.42,490151851.25,69378369.38,14694754.59,45720809.88,5228446.6,3734358.3099999996
ACT,18,4,9089250010,NA,271496133.04999995,9619977.39,231093696.32,5764811.21,25017648.129999995
Coast Professional Inc,18,4,10053406341,5718179848.61,286245653.54,39964660.31,205877084,14520116.470000003,25883792.759999998
ConServe,18,4,8647586754,NA,184141294.05999997,8719663.75,153683153.14,4645937.879999999,17092539.29
ERS,18,4,3955999261,4146120719.8900003,50277306.26,22507195.98,19736773.18,6756685.83,1276651.27
FMS,18,4,8948043052,NA,209389535.39000002,9724623.61,175035130.69,5051766.53,19578014.56
GC Services,18,4,8409102335,NA,209298491.81,7520996.350000001,170014859.39000002,6417378.949999999,25345257.12
Immediate Credit Recovery,18,4,10734675413,2357711004.7699995,231928427.04000002,32357306.949999996,158909066.61,13748284.209999999,26913769.27
National Recoveries Inc,18,4,10116636640,4987238678.710001,201448412.59000003,48982111.64,111953455.65,14687277.55,25825567.749999996
Pioneer,18,4,3896967302,9458615147.72,104962652.85,27306635.340000004,68107488.58,8733346.8,815182.1300000001
Windham,18,4,6903390981,NA,152389339.54999998,7648379.39,121105045.07,6022851.180000001,17613063.91
Action Financial Services,18,4,4438884940,1810282112.25,105268657.62,17219030.240000002,73843510.62,6847160.24,7358956.52
Bass and Associates,18,4,2268193267,1555007569.1299996,32359759.84,9407271.73,18479149.47,3373739.1300000004,1099599.51
Central Research,18,4,4589665059,3526154792.54,108817914.8,18212490.89,73549945.89,8458935.24,8596542.780000001
Credit Adjustments Inc,18,4,7134174941,4987485918.32,155052570.93,37299879.04,93399470.27,11747872.65,12605348.969999999
FH Cann and Associates,18,4,4316011056,2795771284.3599997,101149440.2,22772436.94,67091912.18,7261878.77,4023212.31
National Credit Services,18,4,3318907171,4987311579.099999,79238165.82,16875178.02,53224416.67,6245652.46,2892918.67
Professional Bureau of Collections of Maryland,18,4,2883017258,2795709790.6800003,49692057.82,15670245.33,27158622.88,4815678.26,2047511.35
Reliant Capital Solutions,18,4,3622045428,3526627437.22,94605380.53999999,17362737.07,64329601.19,7077758.03,5835284.25
