year,lake,species,grand_total,comments,region,values
1963,Erie,Rainbow Smelt,10830,NA,U.S. Total,306
1963,Erie,Rainbow Smelt,10830,NA,Canada (ONT),10524
1964,Erie,Rainbow Smelt,13181,NA,Michigan (MI),NA
1964,Erie,Rainbow Smelt,13181,NA,New York (NY),0
1964,Erie,Rainbow Smelt,13181,NA,Ohio (OH),1
1964,Erie,Rainbow Smelt,13181,NA,Pennsylvania (PA),445
1964,Erie,Rainbow Smelt,13181,NA,U.S. Total,446
1964,Erie,Rainbow Smelt,13181,NA,Canada (ONT),12735
1965,Erie,Rainbow Smelt,11713,NA,Michigan (MI),NA
1965,Erie,Rainbow Smelt,11713,NA,New York (NY),NA
1965,Erie,Rainbow Smelt,11713,NA,Ohio (OH),2
1965,Erie,Rainbow Smelt,11713,NA,Pennsylvania (PA),0
1965,Erie,Rainbow Smelt,11713,NA,U.S. Total,2
1965,Erie,Rainbow Smelt,11713,NA,Canada (ONT),11711
1966,Erie,Rainbow Smelt,15923,NA,Michigan (MI),NA
1966,Erie,Rainbow Smelt,15923,NA,New York (NY),NA
1966,Erie,Rainbow Smelt,15923,NA,Ohio (OH),9
1966,Erie,Rainbow Smelt,15923,NA,Pennsylvania (PA),0
1966,Erie,Rainbow Smelt,15923,NA,U.S. Total,9
1966,Erie,Rainbow Smelt,15923,NA,Canada (ONT),15914
1967,Erie,Rainbow Smelt,12504,NA,Michigan (MI),NA
1967,Erie,Rainbow Smelt,12504,NA,New York (NY),0
1967,Erie,Rainbow Smelt,12504,NA,Ohio (OH),0
1967,Erie,Rainbow Smelt,12504,NA,Pennsylvania (PA),3
1967,Erie,Rainbow Smelt,12504,NA,U.S. Total,3
1967,Erie,Rainbow Smelt,12504,NA,Canada (ONT),12501
1968,Erie,Rainbow Smelt,12224,NA,Michigan (MI),NA
1968,Erie,Rainbow Smelt,12224,NA,New York (NY),0
1968,Erie,Rainbow Smelt,12224,NA,Ohio (OH),0
1968,Erie,Rainbow Smelt,12224,NA,Pennsylvania (PA),1
1968,Erie,Rainbow Smelt,12224,NA,U.S. Total,1
1968,Erie,Rainbow Smelt,12224,NA,Canada (ONT),12223
1969,Erie,Rainbow Smelt,15078,NA,Michigan (MI),NA
1969,Erie,Rainbow Smelt,15078,NA,New York (NY),0
1969,Erie,Rainbow Smelt,15078,NA,Ohio (OH),1
1969,Erie,Rainbow Smelt,15078,NA,Pennsylvania (PA),1
1969,Erie,Rainbow Smelt,15078,NA,U.S. Total,2
1969,Erie,Rainbow Smelt,15078,NA,Canada (ONT),15076
1970,Erie,Rainbow Smelt,9404,NA,Michigan (MI),NA
1970,Erie,Rainbow Smelt,9404,NA,New York (NY),NA
1970,Erie,Rainbow Smelt,9404,NA,Ohio (OH),0
1970,Erie,Rainbow Smelt,9404,NA,Pennsylvania (PA),2
1970,Erie,Rainbow Smelt,9404,NA,U.S. Total,2
1970,Erie,Rainbow Smelt,9404,NA,Canada (ONT),9402
1971,Erie,Rainbow Smelt,13132,NA,Michigan (MI),NA
1971,Erie,Rainbow Smelt,13132,NA,New York (NY),0
1971,Erie,Rainbow Smelt,13132,NA,Ohio (OH),1
1971,Erie,Rainbow Smelt,13132,NA,Pennsylvania (PA),1
1971,Erie,Rainbow Smelt,13132,NA,U.S. Total,2
1971,Erie,Rainbow Smelt,13132,NA,Canada (ONT),13130
1972,Erie,Rainbow Smelt,10521,NA,Michigan (MI),NA
1972,Erie,Rainbow Smelt,10521,NA,New York (NY),0
1972,Erie,Rainbow Smelt,10521,NA,Ohio (OH),1
1972,Erie,Rainbow Smelt,10521,NA,Pennsylvania (PA),1
1972,Erie,Rainbow Smelt,10521,NA,U.S. Total,2
1972,Erie,Rainbow Smelt,10521,NA,Canada (ONT),10519
1973,Erie,Rainbow Smelt,17062,NA,Michigan (MI),NA
1973,Erie,Rainbow Smelt,17062,NA,New York (NY),NA
1973,Erie,Rainbow Smelt,17062,NA,Ohio (OH),NA
1973,Erie,Rainbow Smelt,17062,NA,Pennsylvania (PA),0
1973,Erie,Rainbow Smelt,17062,NA,U.S. Total,0
1973,Erie,Rainbow Smelt,17062,NA,Canada (ONT),17062
1974,Erie,Rainbow Smelt,15806,NA,Michigan (MI),NA
1974,Erie,Rainbow Smelt,15806,NA,New York (NY),NA
1974,Erie,Rainbow Smelt,15806,NA,Ohio (OH),5
1974,Erie,Rainbow Smelt,15806,NA,Pennsylvania (PA),1
1974,Erie,Rainbow Smelt,15806,NA,U.S. Total,6
1974,Erie,Rainbow Smelt,15806,NA,Canada (ONT),15800
1975,Erie,Rainbow Smelt,16934,NA,Michigan (MI),NA
1975,Erie,Rainbow Smelt,16934,NA,New York (NY),2
1975,Erie,Rainbow Smelt,16934,NA,Ohio (OH),9
1975,Erie,Rainbow Smelt,16934,NA,Pennsylvania (PA),2
1975,Erie,Rainbow Smelt,16934,NA,U.S. Total,13
1975,Erie,Rainbow Smelt,16934,NA,Canada (ONT),16921
1976,Erie,Rainbow Smelt,17229,NA,Michigan (MI),NA
1976,Erie,Rainbow Smelt,17229,NA,New York (NY),1
1976,Erie,Rainbow Smelt,17229,NA,Ohio (OH),35
1976,Erie,Rainbow Smelt,17229,NA,Pennsylvania (PA),3
1976,Erie,Rainbow Smelt,17229,NA,U.S. Total,39
1976,Erie,Rainbow Smelt,17229,NA,Canada (ONT),17190
1977,Erie,Rainbow Smelt,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.,Michigan (MI),NA
1977,Erie,Rainbow Smelt,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.,New York (NY),1
1977,Erie,Rainbow Smelt,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.,Ohio (OH),1
1977,Erie,Rainbow Smelt,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.,Pennsylvania (PA),1
1977,Erie,Rainbow Smelt,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.,U.S. Total,3
1977,Erie,Rainbow Smelt,22997,ONT: Japan's consumption of small smelt increased as supplies of capelin dwindled and the value of the yen increased.  The Japanese demand for small fish complemented that of North Americans for larger smelt.,Canada (ONT),22994
1978,Erie,Rainbow Smelt,26630,NA,Michigan (MI),0
1978,Erie,Rainbow Smelt,26630,NA,New York (NY),1
1978,Erie,Rainbow Smelt,26630,NA,Ohio (OH),14
1978,Erie,Rainbow Smelt,26630,NA,Pennsylvania (PA),6
1978,Erie,Rainbow Smelt,26630,NA,U.S. Total,21
1978,Erie,Rainbow Smelt,26630,NA,Canada (ONT),26609
1979,Erie,Rainbow Smelt,23860,NA,Michigan (MI),0
1979,Erie,Rainbow Smelt,23860,NA,New York (NY),1
1979,Erie,Rainbow Smelt,23860,NA,Ohio (OH),0
1979,Erie,Rainbow Smelt,23860,NA,Pennsylvania (PA),2
1979,Erie,Rainbow Smelt,23860,NA,U.S. Total,3
1979,Erie,Rainbow Smelt,23860,NA,Canada (ONT),23857
1980,Erie,Rainbow Smelt,25109,NA,Michigan (MI),0
1980,Erie,Rainbow Smelt,25109,NA,New York (NY),0
1980,Erie,Rainbow Smelt,25109,NA,Ohio (OH),0
1980,Erie,Rainbow Smelt,25109,NA,Pennsylvania (PA),6
1980,Erie,Rainbow Smelt,25109,NA,U.S. Total,6
1980,Erie,Rainbow Smelt,25109,NA,Canada (ONT),25103
1981,Erie,Rainbow Smelt,30326,NA,Michigan (MI),0
1981,Erie,Rainbow Smelt,30326,NA,New York (NY),1
1981,Erie,Rainbow Smelt,30326,NA,Ohio (OH),0
1981,Erie,Rainbow Smelt,30326,NA,Pennsylvania (PA),17
1981,Erie,Rainbow Smelt,30326,NA,U.S. Total,18
1981,Erie,Rainbow Smelt,30326,NA,Canada (ONT),30308
1982,Erie,Rainbow Smelt,43566,NA,Michigan (MI),0
1982,Erie,Rainbow Smelt,43566,NA,New York (NY),1
1982,Erie,Rainbow Smelt,43566,NA,Ohio (OH),0
1982,Erie,Rainbow Smelt,43566,NA,Pennsylvania (PA),18
1982,Erie,Rainbow Smelt,43566,NA,U.S. Total,19
1982,Erie,Rainbow Smelt,43566,NA,Canada (ONT),43547
1983,Erie,Rainbow Smelt,29494,NA,Michigan (MI),0
1983,Erie,Rainbow Smelt,29494,NA,New York (NY),0
1983,Erie,Rainbow Smelt,29494,NA,Ohio (OH),0
1983,Erie,Rainbow Smelt,29494,NA,Pennsylvania (PA),6
1983,Erie,Rainbow Smelt,29494,NA,U.S. Total,6
1983,Erie,Rainbow Smelt,29494,NA,Canada (ONT),29488
1984,Erie,Rainbow Smelt,16485,NA,Michigan (MI),0
1984,Erie,Rainbow Smelt,16485,NA,New York (NY),0
1984,Erie,Rainbow Smelt,16485,NA,Ohio (OH),18
1984,Erie,Rainbow Smelt,16485,NA,Pennsylvania (PA),2
1984,Erie,Rainbow Smelt,16485,NA,U.S. Total,20
1984,Erie,Rainbow Smelt,16485,NA,Canada (ONT),16465
1985,Erie,Rainbow Smelt,25478,NA,Michigan (MI),0
1985,Erie,Rainbow Smelt,25478,NA,New York (NY),0
1985,Erie,Rainbow Smelt,25478,NA,Ohio (OH),5
1985,Erie,Rainbow Smelt,25478,NA,Pennsylvania (PA),3
1985,Erie,Rainbow Smelt,25478,NA,U.S. Total,8
1985,Erie,Rainbow Smelt,25478,NA,Canada (ONT),25470
1986,Erie,Rainbow Smelt,17463,NA,Michigan (MI),0
1986,Erie,Rainbow Smelt,17463,NA,New York (NY),0
1986,Erie,Rainbow Smelt,17463,NA,Ohio (OH),0
1986,Erie,Rainbow Smelt,17463,NA,Pennsylvania (PA),1
1986,Erie,Rainbow Smelt,17463,NA,U.S. Total,1
1986,Erie,Rainbow Smelt,17463,NA,Canada (ONT),17462
1987,Erie,Rainbow Smelt,25561,NA,Michigan (MI),0
1987,Erie,Rainbow Smelt,25561,NA,New York (NY),0
1987,Erie,Rainbow Smelt,25561,NA,Ohio (OH),0
1987,Erie,Rainbow Smelt,25561,NA,Pennsylvania (PA),0
1987,Erie,Rainbow Smelt,25561,NA,U.S. Total,0
1987,Erie,Rainbow Smelt,25561,NA,Canada (ONT),25561
1988,Erie,Rainbow Smelt,20404,NA,Michigan (MI),0
1988,Erie,Rainbow Smelt,20404,NA,New York (NY),0
1988,Erie,Rainbow Smelt,20404,NA,Ohio (OH),0
1988,Erie,Rainbow Smelt,20404,NA,Pennsylvania (PA),0
1988,Erie,Rainbow Smelt,20404,NA,U.S. Total,0
1988,Erie,Rainbow Smelt,20404,NA,Canada (ONT),20404
1989,Erie,Rainbow Smelt,16156,NA,Michigan (MI),0
1989,Erie,Rainbow Smelt,16156,NA,New York (NY),0
1989,Erie,Rainbow Smelt,16156,NA,Ohio (OH),0
1989,Erie,Rainbow Smelt,16156,NA,Pennsylvania (PA),0
1989,Erie,Rainbow Smelt,16156,NA,U.S. Total,0
1989,Erie,Rainbow Smelt,16156,NA,Canada (ONT),16156
1990,Erie,Rainbow Smelt,17835,NA,Michigan (MI),0
1990,Erie,Rainbow Smelt,17835,NA,New York (NY),0
1990,Erie,Rainbow Smelt,17835,NA,Ohio (OH),0
1990,Erie,Rainbow Smelt,17835,NA,Pennsylvania (PA),0
1990,Erie,Rainbow Smelt,17835,NA,U.S. Total,0
1990,Erie,Rainbow Smelt,17835,NA,Canada (ONT),17835
1991,Erie,Rainbow Smelt,20221,NA,Michigan (MI),0
1991,Erie,Rainbow Smelt,20221,NA,New York (NY),0
1991,Erie,Rainbow Smelt,20221,NA,Ohio (OH),0
1991,Erie,Rainbow Smelt,20221,NA,Pennsylvania (PA),0
1991,Erie,Rainbow Smelt,20221,NA,U.S. Total,0
1991,Erie,Rainbow Smelt,20221,NA,Canada (ONT),20221
1992,Erie,Rainbow Smelt,12711,NA,Michigan (MI),0
1992,Erie,Rainbow Smelt,12711,NA,New York (NY),0
1992,Erie,Rainbow Smelt,12711,NA,Ohio (OH),0
1992,Erie,Rainbow Smelt,12711,NA,Pennsylvania (PA),0
1992,Erie,Rainbow Smelt,12711,NA,U.S. Total,0
1992,Erie,Rainbow Smelt,12711,NA,Canada (ONT),12711
1993,Erie,Rainbow Smelt,17505,NA,Michigan (MI),0
1993,Erie,Rainbow Smelt,17505,NA,New York (NY),0
1993,Erie,Rainbow Smelt,17505,NA,Ohio (OH),0
1993,Erie,Rainbow Smelt,17505,NA,Pennsylvania (PA),0
1993,Erie,Rainbow Smelt,17505,NA,U.S. Total,0
1993,Erie,Rainbow Smelt,17505,NA,Canada (ONT),17505
1994,Erie,Rainbow Smelt,10593,NA,Michigan (MI),0
1994,Erie,Rainbow Smelt,10593,NA,New York (NY),0
1994,Erie,Rainbow Smelt,10593,NA,Ohio (OH),0
1994,Erie,Rainbow Smelt,10593,NA,Pennsylvania (PA),0
1994,Erie,Rainbow Smelt,10593,NA,U.S. Total,0
1994,Erie,Rainbow Smelt,10593,NA,Canada (ONT),10593
1995,Erie,Rainbow Smelt,12121,NA,Michigan (MI),0
1995,Erie,Rainbow Smelt,12121,NA,New York (NY),0
1995,Erie,Rainbow Smelt,12121,NA,Ohio (OH),0
1995,Erie,Rainbow Smelt,12121,NA,Pennsylvania (PA),0
1995,Erie,Rainbow Smelt,12121,NA,U.S. Total,0
1995,Erie,Rainbow Smelt,12121,NA,Canada (ONT),12121
1996,Erie,Rainbow Smelt,8745,NA,Michigan (MI),0
1996,Erie,Rainbow Smelt,8745,NA,New York (NY),0
1996,Erie,Rainbow Smelt,8745,NA,Ohio (OH),0
1996,Erie,Rainbow Smelt,8745,NA,Pennsylvania (PA),0
1996,Erie,Rainbow Smelt,8745,NA,U.S. Total,0
1996,Erie,Rainbow Smelt,8745,NA,Canada (ONT),8745
1997,Erie,Rainbow Smelt,13062,ONT: Data is Processor weight (thousands of pounds),Michigan (MI),0
1997,Erie,Rainbow Smelt,13062,ONT: Data is Processor weight (thousands of pounds),New York (NY),0
1997,Erie,Rainbow Smelt,13062,ONT: Data is Processor weight (thousands of pounds),Ohio (OH),0
1997,Erie,Rainbow Smelt,13062,ONT: Data is Processor weight (thousands of pounds),Pennsylvania (PA),0
1997,Erie,Rainbow Smelt,13062,ONT: Data is Processor weight (thousands of pounds),U.S. Total,0
1997,Erie,Rainbow Smelt,13062,ONT: Data is Processor weight (thousands of pounds),Canada (ONT),13062
1998,Erie,Rainbow Smelt,14190,NA,Michigan (MI),0
1998,Erie,Rainbow Smelt,14190,NA,New York (NY),0
1998,Erie,Rainbow Smelt,14190,NA,Ohio (OH),0
1998,Erie,Rainbow Smelt,14190,NA,Pennsylvania (PA),0
1998,Erie,Rainbow Smelt,14190,NA,U.S. Total,0
1998,Erie,Rainbow Smelt,14190,NA,Canada (ONT),14190
1999,Erie,Rainbow Smelt,12521,NA,Michigan (MI),0
1999,Erie,Rainbow Smelt,12521,NA,New York (NY),0
1999,Erie,Rainbow Smelt,12521,NA,Ohio (OH),0
1999,Erie,Rainbow Smelt,12521,NA,Pennsylvania (PA),0
1999,Erie,Rainbow Smelt,12521,NA,U.S. Total,0
1999,Erie,Rainbow Smelt,12521,NA,Canada (ONT),12521
2000,Erie,Rainbow Smelt,7162,Canadian data is processor weight,Michigan (MI),NA
2000,Erie,Rainbow Smelt,7162,Canadian data is processor weight,New York (NY),NA
2000,Erie,Rainbow Smelt,7162,Canadian data is processor weight,Ohio (OH),NA
2000,Erie,Rainbow Smelt,7162,Canadian data is processor weight,Pennsylvania (PA),NA
2000,Erie,Rainbow Smelt,7162,Canadian data is processor weight,U.S. Total,0
2000,Erie,Rainbow Smelt,7162,Canadian data is processor weight,Canada (ONT),7162
2001,Erie,Rainbow Smelt,9345,Canadian data is processor weight,Michigan (MI),NA
2001,Erie,Rainbow Smelt,9345,Canadian data is processor weight,New York (NY),NA
2001,Erie,Rainbow Smelt,9345,Canadian data is processor weight,Ohio (OH),NA
2001,Erie,Rainbow Smelt,9345,Canadian data is processor weight,Pennsylvania (PA),NA
2001,Erie,Rainbow Smelt,9345,Canadian data is processor weight,U.S. Total,0
2001,Erie,Rainbow Smelt,9345,Canadian data is processor weight,Canada (ONT),9345
2002,Erie,Rainbow Smelt,7480,Canadian data is landed weight,Michigan (MI),NA
2002,Erie,Rainbow Smelt,7480,Canadian data is landed weight,New York (NY),NA
2002,Erie,Rainbow Smelt,7480,Canadian data is landed weight,Ohio (OH),NA
2002,Erie,Rainbow Smelt,7480,Canadian data is landed weight,Pennsylvania (PA),NA
2002,Erie,Rainbow Smelt,7480,Canadian data is landed weight,U.S. Total,0
2002,Erie,Rainbow Smelt,7480,Canadian data is landed weight,Canada (ONT),7480
2003,Erie,Rainbow Smelt,7395,Canadian data is landed weight,Michigan (MI),NA
2003,Erie,Rainbow Smelt,7395,Canadian data is landed weight,New York (NY),NA
2003,Erie,Rainbow Smelt,7395,Canadian data is landed weight,Ohio (OH),NA
2003,Erie,Rainbow Smelt,7395,Canadian data is landed weight,Pennsylvania (PA),NA
2003,Erie,Rainbow Smelt,7395,Canadian data is landed weight,U.S. Total,0
2003,Erie,Rainbow Smelt,7395,Canadian data is landed weight,Canada (ONT),7395
2004,Erie,Rainbow Smelt,12967,Canadian data is landed weight,Michigan (MI),NA
2004,Erie,Rainbow Smelt,12967,Canadian data is landed weight,New York (NY),NA
2004,Erie,Rainbow Smelt,12967,Canadian data is landed weight,Ohio (OH),NA
2004,Erie,Rainbow Smelt,12967,Canadian data is landed weight,Pennsylvania (PA),NA
2004,Erie,Rainbow Smelt,12967,Canadian data is landed weight,U.S. Total,0
2004,Erie,Rainbow Smelt,12967,Canadian data is landed weight,Canada (ONT),12967
2005,Erie,Rainbow Smelt,6881,Canadian data is landed weight,Michigan (MI),NA
2005,Erie,Rainbow Smelt,6881,Canadian data is landed weight,New York (NY),NA
2005,Erie,Rainbow Smelt,6881,Canadian data is landed weight,Ohio (OH),NA
2005,Erie,Rainbow Smelt,6881,Canadian data is landed weight,Pennsylvania (PA),NA
2005,Erie,Rainbow Smelt,6881,Canadian data is landed weight,U.S. Total,0
2005,Erie,Rainbow Smelt,6881,Canadian data is landed weight,Canada (ONT),6881
2006,Erie,Rainbow Smelt,1847,NA,Michigan (MI),NA
2006,Erie,Rainbow Smelt,1847,NA,New York (NY),NA
2006,Erie,Rainbow Smelt,1847,NA,Ohio (OH),NA
2006,Erie,Rainbow Smelt,1847,NA,Pennsylvania (PA),NA
2006,Erie,Rainbow Smelt,1847,NA,U.S. Total,NA
2006,Erie,Rainbow Smelt,1847,NA,Canada (ONT),1847
2007,Erie,Rainbow Smelt,9884,NA,Michigan (MI),NA
2007,Erie,Rainbow Smelt,9884,NA,New York (NY),NA
2007,Erie,Rainbow Smelt,9884,NA,Ohio (OH),NA
2007,Erie,Rainbow Smelt,9884,NA,Pennsylvania (PA),1
2007,Erie,Rainbow Smelt,9884,NA,U.S. Total,NA
2007,Erie,Rainbow Smelt,9884,NA,Canada (ONT),9884
2008,Erie,Rainbow Smelt,8219,NA,Michigan (MI),NA
2008,Erie,Rainbow Smelt,8219,NA,New York (NY),NA
2008,Erie,Rainbow Smelt,8219,NA,Ohio (OH),NA
2008,Erie,Rainbow Smelt,8219,NA,Pennsylvania (PA),0
2008,Erie,Rainbow Smelt,8219,NA,U.S. Total,NA
2008,Erie,Rainbow Smelt,8219,NA,Canada (ONT),8219
2009,Erie,Rainbow Smelt,8068,NA,Michigan (MI),NA
2009,Erie,Rainbow Smelt,8068,NA,New York (NY),NA
2009,Erie,Rainbow Smelt,8068,NA,Ohio (OH),NA
2009,Erie,Rainbow Smelt,8068,NA,Pennsylvania (PA),1
2009,Erie,Rainbow Smelt,8068,NA,U.S. Total,NA
2009,Erie,Rainbow Smelt,8068,NA,Canada (ONT),8067
2010,Erie,Rainbow Smelt,3254,NA,Michigan (MI),NA
2010,Erie,Rainbow Smelt,3254,NA,New York (NY),NA
2010,Erie,Rainbow Smelt,3254,NA,Ohio (OH),NA
2010,Erie,Rainbow Smelt,3254,NA,Pennsylvania (PA),1
2010,Erie,Rainbow Smelt,3254,NA,U.S. Total,NA
2010,Erie,Rainbow Smelt,3254,NA,Canada (ONT),3254
2011,Erie,Rainbow Smelt,5910,NA,Michigan (MI),NA
2011,Erie,Rainbow Smelt,5910,NA,New York (NY),NA
2011,Erie,Rainbow Smelt,5910,NA,Ohio (OH),NA
2011,Erie,Rainbow Smelt,5910,NA,Pennsylvania (PA),0
2011,Erie,Rainbow Smelt,5910,NA,U.S. Total,NA
2011,Erie,Rainbow Smelt,5910,NA,Canada (ONT),5910
2012,Erie,Rainbow Smelt,7452,NA,Michigan (MI),NA
2012,Erie,Rainbow Smelt,7452,NA,New York (NY),NA
2012,Erie,Rainbow Smelt,7452,NA,Ohio (OH),NA
2012,Erie,Rainbow Smelt,7452,NA,Pennsylvania (PA),0
2012,Erie,Rainbow Smelt,7452,NA,U.S. Total,NA
2012,Erie,Rainbow Smelt,7452,NA,Canada (ONT),7452
2013,Erie,Rainbow Smelt,6936,NA,Michigan (MI),NA
2013,Erie,Rainbow Smelt,6936,NA,New York (NY),NA
2013,Erie,Rainbow Smelt,6936,NA,Ohio (OH),NA
2013,Erie,Rainbow Smelt,6936,NA,Pennsylvania (PA),NA
2013,Erie,Rainbow Smelt,6936,NA,U.S. Total,NA
2013,Erie,Rainbow Smelt,6936,NA,Canada (ONT),6935
2014,Erie,Rainbow Smelt,6051,NA,Michigan (MI),NA
2014,Erie,Rainbow Smelt,6051,NA,New York (NY),NA
2014,Erie,Rainbow Smelt,6051,NA,Ohio (OH),NA
2014,Erie,Rainbow Smelt,6051,NA,Pennsylvania (PA),NA
2014,Erie,Rainbow Smelt,6051,NA,U.S. Total,NA
2014,Erie,Rainbow Smelt,6051,NA,Canada (ONT),6051
2015,Erie,Rainbow Smelt,8333,NA,Michigan (MI),NA
2015,Erie,Rainbow Smelt,8333,NA,New York (NY),NA
2015,Erie,Rainbow Smelt,8333,NA,Ohio (OH),NA
2015,Erie,Rainbow Smelt,8333,NA,Pennsylvania (PA),NA
2015,Erie,Rainbow Smelt,8333,NA,U.S. Total,NA
2015,Erie,Rainbow Smelt,8333,NA,Canada (ONT),8333
1978,Erie,Rock Bass,27,NA,Michigan (MI),0
1978,Erie,Rock Bass,27,NA,New York (NY),0
1978,Erie,Rock Bass,27,NA,Ohio (OH),0
1978,Erie,Rock Bass,27,NA,Pennsylvania (PA),0
1978,Erie,Rock Bass,27,NA,U.S. Total,0
1978,Erie,Rock Bass,27,NA,Canada (ONT),27
1979,Erie,Rock Bass,48,NA,Michigan (MI),0
1979,Erie,Rock Bass,48,NA,New York (NY),0
1979,Erie,Rock Bass,48,NA,Ohio (OH),0
1979,Erie,Rock Bass,48,NA,Pennsylvania (PA),0
1979,Erie,Rock Bass,48,NA,U.S. Total,0
1979,Erie,Rock Bass,48,NA,Canada (ONT),48
1980,Erie,Rock Bass,52,NA,Michigan (MI),0
1980,Erie,Rock Bass,52,NA,New York (NY),0
1980,Erie,Rock Bass,52,NA,Ohio (OH),0
1980,Erie,Rock Bass,52,NA,Pennsylvania (PA),0
1980,Erie,Rock Bass,52,NA,U.S. Total,0
1980,Erie,Rock Bass,52,NA,Canada (ONT),52
1981,Erie,Rock Bass,31,NA,Michigan (MI),0
1981,Erie,Rock Bass,31,NA,New York (NY),0
1981,Erie,Rock Bass,31,NA,Ohio (OH),0
1981,Erie,Rock Bass,31,NA,Pennsylvania (PA),0
1981,Erie,Rock Bass,31,NA,U.S. Total,0
1981,Erie,Rock Bass,31,NA,Canada (ONT),31
1982,Erie,Rock Bass,29,NA,Michigan (MI),0
1982,Erie,Rock Bass,29,NA,New York (NY),0
1982,Erie,Rock Bass,29,NA,Ohio (OH),0
1982,Erie,Rock Bass,29,NA,Pennsylvania (PA),0
1982,Erie,Rock Bass,29,NA,U.S. Total,0
1982,Erie,Rock Bass,29,NA,Canada (ONT),29
1983,Erie,Rock Bass,45,NA,Michigan (MI),0
1983,Erie,Rock Bass,45,NA,New York (NY),0
1983,Erie,Rock Bass,45,NA,Ohio (OH),0
1983,Erie,Rock Bass,45,NA,Pennsylvania (PA),0
1983,Erie,Rock Bass,45,NA,U.S. Total,0
1983,Erie,Rock Bass,45,NA,Canada (ONT),45
1984,Erie,Rock Bass,27,NA,Michigan (MI),0
1984,Erie,Rock Bass,27,NA,New York (NY),0
1984,Erie,Rock Bass,27,NA,Ohio (OH),0
1984,Erie,Rock Bass,27,NA,Pennsylvania (PA),0
1984,Erie,Rock Bass,27,NA,U.S. Total,0
1984,Erie,Rock Bass,27,NA,Canada (ONT),27
1985,Erie,Rock Bass,3,NA,Michigan (MI),0
1985,Erie,Rock Bass,3,NA,New York (NY),1
1985,Erie,Rock Bass,3,NA,Ohio (OH),0
1985,Erie,Rock Bass,3,NA,Pennsylvania (PA),0
1985,Erie,Rock Bass,3,NA,U.S. Total,1
1985,Erie,Rock Bass,3,NA,Canada (ONT),2
1986,Erie,Rock Bass,1,NA,Michigan (MI),0
1986,Erie,Rock Bass,1,NA,New York (NY),1
1986,Erie,Rock Bass,1,NA,Ohio (OH),0
1986,Erie,Rock Bass,1,NA,Pennsylvania (PA),0
1986,Erie,Rock Bass,1,NA,U.S. Total,1
1986,Erie,Rock Bass,1,NA,Canada (ONT),0
1987,Erie,Rock Bass,5,NA,Michigan (MI),0
1987,Erie,Rock Bass,5,NA,New York (NY),3
1987,Erie,Rock Bass,5,NA,Ohio (OH),0
1987,Erie,Rock Bass,5,NA,Pennsylvania (PA),0
1987,Erie,Rock Bass,5,NA,U.S. Total,3
1987,Erie,Rock Bass,5,NA,Canada (ONT),2
1988,Erie,Rock Bass,2,NA,Michigan (MI),0
1988,Erie,Rock Bass,2,NA,New York (NY),1
1988,Erie,Rock Bass,2,NA,Ohio (OH),0
1988,Erie,Rock Bass,2,NA,Pennsylvania (PA),0
1988,Erie,Rock Bass,2,NA,U.S. Total,1
1988,Erie,Rock Bass,2,NA,Canada (ONT),1
1989,Erie,Rock Bass,3,NA,Michigan (MI),0
1989,Erie,Rock Bass,3,NA,New York (NY),1
1989,Erie,Rock Bass,3,NA,Ohio (OH),0
1989,Erie,Rock Bass,3,NA,Pennsylvania (PA),0
1989,Erie,Rock Bass,3,NA,U.S. Total,1
1989,Erie,Rock Bass,3,NA,Canada (ONT),2
1990,Erie,Rock Bass,3,NA,Michigan (MI),0
1990,Erie,Rock Bass,3,NA,New York (NY),0
1990,Erie,Rock Bass,3,NA,Ohio (OH),1
1990,Erie,Rock Bass,3,NA,Pennsylvania (PA),0
1990,Erie,Rock Bass,3,NA,U.S. Total,1
1990,Erie,Rock Bass,3,NA,Canada (ONT),2
1991,Erie,Rock Bass,3,NA,Michigan (MI),0
1991,Erie,Rock Bass,3,NA,New York (NY),1
1991,Erie,Rock Bass,3,NA,Ohio (OH),0
1991,Erie,Rock Bass,3,NA,Pennsylvania (PA),0
1991,Erie,Rock Bass,3,NA,U.S. Total,1
1991,Erie,Rock Bass,3,NA,Canada (ONT),2
1992,Erie,Rock Bass,4,NA,Michigan (MI),0
1992,Erie,Rock Bass,4,NA,New York (NY),1
1992,Erie,Rock Bass,4,NA,Ohio (OH),0
1992,Erie,Rock Bass,4,NA,Pennsylvania (PA),0
1992,Erie,Rock Bass,4,NA,U.S. Total,1
1992,Erie,Rock Bass,4,NA,Canada (ONT),3
1993,Erie,Rock Bass,4,NA,Michigan (MI),0
1993,Erie,Rock Bass,4,NA,New York (NY),3
