id,scene_description
1582,[Fang presses one of his feelers to Aang's forehead. A vision of a comet appears to him.]
1582,"[Fang moves his head, allowing a light beam to appear. This is just to the right of Roku's statue. With another feeler press, he sees a vision of the sun setting and rising repeatedly, and the light closing in on Roku.]"
1582,[The dragon breathes an apparent yes.]
1582,[The dragon takes Aang from the temple.]
1587,[She re-directs Appa to the village's direction.]
1589,"[He turns slightly, but looks back at the footprints.]"
1591,[She embraces Aang.]
1594,"[He brings up and prepares to drop it. However, Zuko jumps in and kicks the rock away before breaking Iroh's chain with his boot.]"
1604,"[He shows it the acorn and leaves it at his feet. The spirit picks it up and reverts to the panda form. It walks away peacefully. As it exits, a series of branches grow, and three villagers and Sokka emerge from it.]"
1605,"[She runs to him and embraces him, while other villagers embrace their loved ones.]"
1608,[Katara gives Sokka a somewhat disgusted look.]
1626,[Strained voice.]
1626,[Appa roars in protest and sits down. Cut to a close side-view; Aang sadly addresses his pet.]
1626,"[Frontal shot; looks down and away, sadly.]"
1626,"[Cut back to the side-shot; sternly, emphasizing his command by straightening himself.]"
1628,"[Voice-over; Aang gasps in surprise and looks over his right shoulder and over his left, turning around in search for the origins of the voice.]"
1630,[Desperately.]
1630,[Closer shot of Katara's pleading face.]
1631,[Looks away sadly and recalls an image of Sozin's Comet.]
1631,[Side-shot as he approaches his friends.]
1634,[Aang stares curiously.]
1634,"[Momo soars up and perches atop Aang's shoulder, and Appa licks Sokka, who angrily looks at the bison.]"
1635,[Hands Aang a small bundle.]
1637,"[Interrupts sharply, yelling. Points toward the ocean.]"
1639,[The Senlin Village leader gasps.]
1639,"[Pushes the man back through the door, knocking him down. Frontal shot as he approaches him.]"
1642,[Close-up.]
1644,[Angrily.]
1644,[Fearfully.]
1645,[Breaks away from telescope to talk to his uncle.]
1647,[Looks back into his telescope. Dark scope view reveals Appa mid-flight.]
1648,[Looking back to Zuko's ship.]
1649,[Panicked.]
1651,[Waving a fan at his face.]
1652,[Lights the stinking ball with a fire punch.]
1654,[Yelling.]
1656,"[Aang, Katara, and Sokka all make faces and grasp their noses.]"
1659,[Close-up. Eyes widening.]
1666,[Boldly.]
1666,[Both Katara and Sokka grin confidently.]
1667,"[Appa roars readily, sailing forward even quicker.]"
1670,"[Lowers his head, closes his eyes, and clenches his hands into fists. Sorrowfully.]"
1670,"[Raises his head, opens his eyes, and thrusts his right hand forward commandingly.]"
1671,[Gazing through telescope.]
1671,[Lowers telescope lens to spot Zuko's ship.]
1671,[Lowers telescope.]
1674,[Surprised.]
1675,[Captain backs up in shock. Zhao continues coolly.]
1675,[Command.]
1677,[Appa roars a reply. They soar higher into the clouds.]
1680,"[Spins away from the man, facing the blockade.]"
1683,[Cries out desperately.]
1683,[Whips the reins down and begins a speedy descent in chase of Sokka.]
1685,"[Holds hand up, issuing his command.]"
1689,[Ecstatic.]
1690,[Katara and Sokka each grimacing in terror.]
1690,[Meekly.]
1692,"[Turns aside, gazes at Zuko's smoking ship.]"
1695,[Confidently.]
1696,[Captain stands ahead of a squad of nine firebenders.]
1697,[Swiftly.]
1701,[Close-up. Momo is shown bouncing about in eager surprise.]
1701,[Sokka and Katara pop up in the saddle.]
1701,[Full view of Crescent Island and its smoking volcano as Appa descends.]
1703,[Rubs against Appa's head.]
1703,"[Appa bellows in satisfaction, rolling to his side to wave his three legs into the air lazily. Appa's tongue lolls out.]"
1704,[Smiles sweetly and approaches Appa. Rubs his belly.]
1705,[Joyous. Katara's expresses dumbfounded interest.]
1705,[Continues to work out and flex his body.]
1706,[Props hand off hip. Responds dryly.]
1707,[Instantly halts exercise.]
1707,[Points to the lemur clinging to a dead tree's branch.]
1709,"[Close-up, top-to-bottom view of the Fire Temple.]"
1710,[Camera drops to show the group taking cover behind a lower wall below steps.]
1711,[The group leaps over the wall and charges for the front door.]
1712,[The group tip-toes through an enormous chamber with fire-decor columns.]
1713,"[Turning around, they see five men standing in the hallway dressed in red with tall hats.]"
1715,[Inhales briskly before punching a blast of fire their direction.]
1716,[Deflects three balls of fire with his airbending. Close-up. Shouts over his shoulder.]
1719,[Hallway view; Aang skids in front of Katara and Sokka and continues running.]
1720,[The two follow Aang.]
1721,[Rounds a corner and disappears from sight.]
1721,"[A moment passes, Katara and Sokka stop when Aang skids into view again. Fearfully.]"
1721,[Runs past them.]
1722,"[Rounds the corner, frightening Sokka and Katara to chase after Aang.]"
1725,"[Aang steps ahead of his friends, assuming an airbending posture.]"
1726,"[Steps toward the Avatar, before dropping to his knees and pressing his palms to the floor in submission. This startles Aang, Katara, and Sokka.]"
1727,[Surprised.]
1728,[Rises from the floor to stand again.]
1729,[Skeptically.]
1730,"[Slides back a lamplight on the wall. Places palm on wall, focuses firebending into this location to open a secret passage.]"
1731,[Echoes in the distance.]
1732,[Briefly glances down the hall.]
1734,[Close-up. Tightens knuckles on ship's railing. Smoke billows behind his ship.]
1736,[Close-up.]
1737,[Brief scene cut to show the sun nearly setting. Far overhead view of Shyu leading the group through caverns.]
1746,"[Looking down, guiltily.]"
1747,[Humorously mocking.]
1747,[Aang scowls heavily at Sokka.]
1748,[Shakes head sadly.]
1749,[Close-up as Shyu smiles to Aang.]
1750,[Continues leading the group up a spiraling flight of stairs.]
1750,"[Time skip, Shyu continues talking as they near the top of the stairs.]"
1752,[Gasps.]
1753,[Approaches door.]
1755,[Aang tugs at the door uselessly.]
1756,[Sokka shown in deep thought.]
1757,[Ponderously states.]
1757,[Zoom out to show a lamplight above him.]
1761,[Kneeling. Pours oil into a bag.]
1761,"[Picks up bag, holds it proudly before him.]"
1762,[Impressed.]
1764,[Time skip. Sokka places his last bag into the dragon's mouth.]
1765,[Hides behind a column with her brother. Holds Momo. Glances to the next column where Aang hides.]
1768,[Surprised.]
1769,[Sadly sighs. Sokka rises from hiding behind his sister.]
1769,[Aang falls to his knees.]
1770,[Time skip. Everyone stands in front of the door. Aang beats upon it furiously with consecutive airbending slices.]
1771,[Presses forward. Seizes Aang's arm.]
1771,"[Relaxes, releasing his arm.]"
1772,[Glumly.]
1773,[Examining the explosion. Runs his finger across the black soot.]
1774,[A moment passes. Sudden excitement.]
1775,[Confused.]
1776,[Pleasantly.]
1778,[Dubiously.]
1778,"[Katara grasps her chin, slyly grinning toward Aang.]"
1779,[Time skip. Fire Sages run toward Shyu in front of the door.]
1781,[Points to a shadow visible at the bottom of the door.]
1786,"[Grabs the last free sage and hauls him into his grip, pinning him.]"
1787,[A moment of silence.]
1788,"[Steps out from behind column. Grips Aang from behind, pinning Aang's arms behind him.]"
1788,"[The captured sages use their captors' surprise to reclaim the upper hand, pinning their captors down. Momo flies off with the Great Fire Sage's hat.]"
1790,[Chained. Sees him coming toward her. Turns head toward the closing door.]
1792,[Pleased.]
1794,[Stands. Confused.]
1795,[He and four sages launch fire blasts into the door's locks. Nothing happens. Frustrated.]
1797,"[Exasperated. Standing in the middle of the room, facing the statue.]"
1799,"[Aang respectfully places a fist into his palm, bowing his head to the Avatar before him.]"
1800,"[Firmly to Shyu, who is kneeling before him with his hands behind his back.]"
1801,[Sadly and proudly.]
1802,[Claps. Interrupts interrogation. Approaches with six firebender guards.]
1803,[Places palms together. Bows head forward.]
1804,"[Zuko scowls sharply. Firebenders step behind him, seizing his arms.]"
1805,"[Strains against his captor, snaps at Zhao.]"
1806,[Grins confidently.]
1806,[Katara and Sokka share a worried glance.]
1808,"[Interested, curious.]"
1811,[Viewers see a visual of a comet in the dark sky.]
1812,[Close-up.]
1813,[Close-up.]
1814,[Close-up.]
1815,"[Viewers see silhouette of Fire Lord Ozai standing amid flames, fists taut.]"
1815,"[Visual and audio of Ozai's silhouette roaring upward, fire streaming from his mouth.]"
1816,[Counters anxiously.]
1817,[Close-up of a shocked Aang.]
1819,[Shouts.]
1820,[Worried.]
1821,"[Troubled, questioning.]"
1822,[Terrified.]
1823,[Close-up of half his face.]
1823,[Close-up of half of Aang's now-smiling face.]
1825,"[Closes his eyes, providing Aang a vision of Fire Navy ships surrounding the island. Speaks to his mind without words.]"
1825,[Provides a vision of the awaiting firebenders on the other side of the door.]
1826,[Eyes and arrows glow.]
1828,"[Light fades, revealing a pair of glowing white eyes in the darkness.]"
1829,[Sokka struggles against his chains. Katara is terrified.]
1830,[He and his guards cooperate in blasting fire onto the unseen target.]
1832,[In awe.]
1834,[Implores.]
1837,"[Aang sighs weakly and drops to his knees. Sokka and Katara approach Aang's sides, supportively lifting him back to his feet.]"
1838,[Weakly.]
1839,"[ Walking away with Sokka, helping Aang.]"
1841,"[Turns angrily, snapping.]"
1842,[Interjects.]
1843,[Close-up.]
1843,[Orders.]
1847,"[Aang is pacing around on Appa's saddle, breathing heavily.]"
1847,[Turns around from his perch on Appa's head.]
1848,[Worriedly.]
1849,"[In a sarcastic, amused tone while facing Aang.]"
1850,[Frightfully.]
1851,[Grabs Aang's arm.]
1851,[Aang sits down in front of her.]
1852,[Smiling.]
1853,[Nods and looks over the side of Appa's saddle.]
1854,[Grinning; sarcastically.]
1856,[Frowning beside Aang and Katara's ecstatic faces.]
1858,"[Takes off his shirt, smiling.]"
1858,[Begins to run toward the water.]
1859,[Somewhat blankly.]
1860,[Stops short and looks at Katara.]
1860,[Puts his clothes back on.]
1861,[Sarcastically.]
1862,[Hands Sokka a branch with a bushel of leaves at the end.]
1863,[Frowns and crosses his arms.]
1864,[Smiles; somewhat cheerfully.]
1865,[Takes stick and walks over to Appa who is floating in the water.]
1867,[Close-up of his face; he glares at the tower.]
1869,"[Storming in, yelling.]"
1869,[Shows Iroh and the rest of the crew playing Pai Sho behind them.]
1870,[Scratches beard.]
1871,[Hopefully.]
1872,[Rubs forehead in stress.]
1872,[Moves a piece of his across the Pai Sho board.]
1873,[Confused.]
1875,[In disbelief.]
1876,[Excitedly.]
1876,[Zuko breathes fire up at the ceiling in anger and Iroh smiles.]
1878,[Appa moans happily.]
1880,"[She moves her hands back and forth and makes small waves in the water, while Aang looks up, smiling.]"
1881,[Stands up.]
1881,"[Does the hand movements Katara is doing, but nothing is happening yet.]"
1882,[Kindly.]
1883,[Shows Aang making much bigger waves than Katara's on his first try.]
1884,[Surprised.]
1885,[Shrugs shoulders.]
1886,[Smiles.]
1888,[She moves her hands and raises a stream of water from the river into the air and moves it around.]
1888,"[Shows Aang already controlling a stream of water, moving it around and above his body and neatly coiling it back into the river, much to Katara's dismay.]"
1888,[She frowns.]
1889,[Excited.]
1890,[Looks up sadly.]
1890,"[She moves her hands up, shaking, and starts to get a big mass of water to rise out of the river, but it pops before forming into anything substantial.]"
1891,[He raises his hands and creates a massive wave that towers over their heads.]
1892,"[Still working on cleaning up Appa, he looks up and stares at Aang's wave crashing toward him in fear.]"
1892,"[The wave throws Sokka off into the water and his head slowly rises out, annoyed.]"
1893,[Smiling.]
1894,[Angry at Aang's quick success.]
1895,[Head still sticking out of the water.]
1895,[Points to the left.]
1895,[Shows a group of bags floating away.]
1896,[Looking guilty.]
1896,[Smiles worriedly.]
1897,[Sinks back underwater.]
1899,[Walking back from alleyway with a bag over his shoulders.]
1900,"[Pulls out a white whistle that looks like a bison, takes a huge breath and blows into it, but it barely makes a sound.]"
1901,[Pulls out fingers over his ears after expecting a loud noise.]
1901,[Aang stops blowing when Momo squawks at him.]
1902,[Aang hands her the two copper coins.]
1904,[Moving hands and shouting excitedly.]
1904,"[Sokka, Katara, and Aang walk by and he runs up to them.]"
1905,[Walks back to the man.]
1906,[Looks confused and thinks.]
1906,"[Puts his hand on Aang's shoulder and smiles, walking him into the ship.]"
1908,"[Looks up close at an item on a shelf, confused.]"
1910,[Standing in a dark doorway as Aang passes by with Momo on his back.]
1910,"[Walks into the light, an iguana parrot on his shoulder.]"
1910,[The iguana parrot squawks at them.]
1911,[Grabbing Momo.]
1913,[Smiling.]
1913,[Aang walks over.]
1914,"[Turns to the captain, excited.]"
1915,[Slams his hand onto the scroll and pulls it away.]
1915,[Rolls the scroll back up and puts it away back in its shelf.]
1916,[Turns around and looks at the captain from the other side of the room.]
1916,"[Raises eyebrows, almost yelling.]"
1916,"[Turns around to Oh, almost spitting in his face.]"
1917,[Puts his arm around a terrified Sokka's shoulders.]
1920,[Voice turns less serious.]
1921,[Turns around and whispers to Katara.]
1921,[Katara drops the final coins in his hand.]
1921,"[Walks over to the counter, leans against it, and talks in a pirate voice.]"
1921,"[Smiles, and dramatically presents the single coin.]"
1922,[Laughs hysterically.]
1923,[Still smirking and talking like a pirate.]
1924,[Aggravated.]
1925,[Whispering.]
1926,[Walks away.]
1930,"[Worried, holding her arms.]"
1933,[Calmly turns around.]
1935,[Scared.]
1935,"[Turns around and runs, Aang and Sokka follow and the pirates chase behind them. Half of the group runs down one street while the other goes down the one next to it.]"
1937,[Turning a corner with Aang and Katara.]
1937,[Katara freezes a puddle behind them that a pirate slips on.]
1939,[Angry.]
1942,[Him and the pirates corner them in the dead end of a street.]
1943,"[Spins and hurls a blast of air at the pirates that send them backward, and runs toward them with his glider out.]"
1944,[Jumps on to Aang's glider with Sokka and they lift off into the air.]
1945,[Flies over the pirates' heads and into the distance.]
1947,[Putting his glider away.]
1948,[Mischievously.]
1948,[Holds out the waterbending scroll they saw in the shop.]
1949,[Surprised.]
1950,[Excited.]
1952,[Jokingly.]
1953,[Laughs.]
1957,[Walks away.]
1962,[Crew members begin to walk past carrying Iroh's purchases.]
1962,[A crew member walks past the two playing a tsungi horn.]
1964,[Pointing to the ship.]
1964,[The monkey statue is shown again.]
1965,[To pirate captain.]
1966,[Turning.]
1966,"[Iroh turns around, making a face similar to the monkey's.]"
1968,[Gives it to Aang.]
1968,"[Attempts the move, but ends up hitting herself in the forehead.]"
1970,[Glaring at Sokka.]
1971,[To Aang.]
1972,[Angrily.]
1972,"[She tries again, but hits Momo instead, who screeches.]"
1973,[Katara glares at him.]
1973,[He tries and does it perfectly on the first try.]
1974,[Screaming.]
1974,[Sokka glares at her.]
1974,"[She looks back at Aang, who has tears in his eyes.]"
1974,[She gives the scroll to Aang.]
1977,[Bends down to pet Momo as he rubs his hind end.]
1986,[Whispering.]
1986,"[The camera fades to show her standing by the river, attempting but failing to perfect the water whip, frustrated.]"
1986,[The pirate captain and Zuko are shown hearing her.]
1986,"[She drops the water again and hears the ship pulling up onto the river bank. She peaks through the bushes to see what the noise was, and gasps upon seeing the pirates. She turns to run, but it grabbed by a pirate.]"
1986,"[She bends water up into the pirate's face, and he releases her, she runs but is grabbed again on the wrists by Zuko.]"
1987,[He glares at her as she looks frightfully at him.]
1990,[Furiously.]
1991,[Katara jerks her head away from Zuko.]
1991,[He holds her mother's necklace up to her neck.]
1993,[Points at Katara.]
1996,[The pirates gasp as he takes it out and holds it over a fire in his hand.]
1999,[Notices Katara's missing.]
1999,[Looks through the bag.]
2000,[Yawns.]
2001,[Yells as a pirate throws a rope around his arms and drags him forward. He rolls away and charges at the pirate while another pirate captures Aang in a net and drags him away.]
2003,[The pirate shoots another net at Sokka and drags him away too.]
2008,[Katara glares at Iroh.]
2009,[To the pirate captain.]
2013,[Turns to Aang.]
2018,[To Zuko.]
2018,[The pirates turn to leave.]
2019,"[He and two of his soldiers send a blast of fire at the pirates. The pirates jump back and Oh runs out, throwing smoke bombs and jumping into the cloud as the fight ensues. Some of the soldiers run out to Sokka and Aang, who are struggling with their ropes, but are stopped by several pirates. Momo runs down the tree and frees Katara.]"
2020,"[She runs to join the fight. Aang is shown lost in the smoke, a thrown knife narrowly misses him and cuts through his ropes. Zuko finds his way out of the smoke cloud and hides the scroll behind his back, but the pirate captain sees him and the two begin to fight. The scroll flies into the air and his caught by Momo, the iguana parrot sees him and hits Momo. The scroll flies back down to the ground. A knife narrowly misses Sokka's head, and he uses it to cuts the ropes on his hands.]"
2021,[Shouting.]
2024,"[Airbends the dust away, revealing the pirates surrounding him, and immediately airbends it back around himself.]"
2024,[Sokka climbs out of the dust cloud on his hands and knees. Aang vaults over him in a full sprint.]
2024,"[They find Katara, who is trying to push the pirate boat back into the water.]"
2025,"[They join her in trying to push the boat, but can't.]"
2033,[Points to Team Avatar who has hijacked the pirate ship.]
2034,[Zuko laughs while pointing at him. His laughter dissipates as the pirates hijack his own boat. The pirates taunt him and the screen pans to a steaming Zuko.]
2035,[Angrily.]
2035,[Goes chasing after the hijacked boat.]
2036,[Pondering.]
2037,[Off camera.]
2037,[Iroh runs after Zuko.]
2046,[Aang lands behind him and airbends him and the other pirate off the ship before jumping down to Sokka.]
2047,[Pointing.]
2047,[The ship is shown headed toward a huge waterfall.]
2050,[Katara and Aang stare in horror at the approaching waterfall.]
2051,[They create a small Whirlpool that stops the boat.]
2052,"[Zuko's boat is shown sailing straight toward their ship. The boat rams into the ship and Sokka, Aang, and Katara are forced to jump as the boat goes over the falls.]"
2053,[Appa is shown flying toward them. They land on him and fly to safety.]
2054,[Holding up the whistle.]
2055,[Appa roars and the scene cuts to show Zuko running to the cliff in horror at the fact that his boat has gone over the falls.]
2057,[Chuckles.]
2057,[Has a big smile on his face.]
2063,[Holding the scroll. Sarcastically.]
2065,[Puts his hand in front to keep Katara from grabbing it.]
2066,[Snatches scroll.]
2067,[Laughing.]
2070,"[Camera zooms in to close-up shot of Aang, Katara, and Sokka, the siblings sitting next to each other with bored faces, and Aang standing with his back to the camera. Momo screeches and the gang looks around.]"
2072,"[Aang uses his airbending to fly to the top of the tree, jumping from trunk-to-trunk to get higher. He finds the traps' mechanisms, undoes them, and carefully lowers Momo to the ground where Katara and Sokka are waiting. They open the trap together and the lemur runs out with one of the lychee nuts in his mouth. Katara and Sokka look on as Momo gets on his hind legs and eats it as though nothing has happened. Sokka grunts in frustration and facepalms. When Aang lands, he looks up to see the other two animals seemingly crying out to him for help.]"
2072,[Jumps up to them.]
2073,[Throws his boomerang to simply cut the animals free.]
2074,[Inching his way upside-down to the traps on the tree branch. They fall before he can reach them.]
2076,[Camera zooms to upward shot of the gang looking at the trap.]
2079,[Confused.]
2080,[Takes the sleeping bag from Aang's hands.]
2082,[Points dramatically at Appa; condescendingly.]
2082,[The bison yawns and the camera flashes to Aang sitting comfortably on the animal's head.]
2083,[To Appa.]
2084,[Camera closes in on Sokka and Katara next to each other.]
2085,[Leans forward at her brother and smiles.]
2086,[Points his finger at his chest; to Katara.]
2087,[Amused.]
2088,[Voice cracks.]
2088,[Deepens voice.]
2089,[Close-up shot of Katara's face.]
2089,[Pan back to Sokka.]
2091,[While hanging upside-down from Appa's right horn with feet sticking out in the air.]
2093,[Close-up on Sokka; defensively.]
2094,[Back to Sokka.]
2095,[Throws arms into the air.]
2096,[Sarcastically.]
2097,"[Aang steps over, now wearing a backpack. Momo is sitting on the top.]"
2097,"[Cut to the forest at a later time. Between trees the group trudges along, with Sokka in front, followed by Aang and Momo, Katara, and Appa.]"
2098,[Sarcastically.]
2099,[Sarcastically.]
2100,[Complaining.]
2101,[Sokka's eyes turn to her in irritation.]
2103,[Walks through a bush and sees something in front of him.]
2105,[They turn to run but a firebender blocks them off by setting the plants behind them on fire.]
2106,[Sokka yells; Katara clears a fire on Sokka's shirt with waterbending.]
2108,[Whispers.]
2109,[Whispers.]
2110,[He's somehow knocked out.]
2113,[Points up a tree.]
2115,"[Katara looks amazed, Aang shocked, and Sokka confused.]"
2122,[Angrily.]
2127,[Amazed.]
2128,[Disdainfully.]
2130,[Laughing; looking at The Duke.]
2130,"[The Duke sniffs his nose, as the camera pans upward to Pipsqueak.]"
2131,"[Looming over Aang in a threatening manner; in a low, growling tone of voice.]"
2132,[Side-shot; Aang looks taken aback for a second before replying in an upbeat tone.]
2134,[Approaching Jet.]
2136,[Eyeing Sokka.]
2146,[Very excitedly.]
2150,[Gives a rope to Sokka.]
2151,[Skeptically.]
2151,[Screams as he is pulled up into the branches.]
2152,[Offers Aang another rope.]
2153,[Leaps up into the trees with airbending.]
2156,[While passing through with Momo.]
2158,[Smellerbee lands near the two.]
2161,[As Aang zips by again.]
2163,[Sokka is now seen comically hopping around trying to get past Pipsqueak.]
2165,[Sokka manages to get by Pipsqueak.]
2166,[Sarcastically.]
2169,[Sokka who is being ignored comically sinks back behind them.]
2170,[The screen cuts to Longshot and The Duke walking not making a sound.]
2172,[Katara and Jet come to a halt as the rest pass.]
2176,[Everyone cheers. Katara and Aang smile while Sokka cops an attitude and a scowling face.]
2176,"[The Duke, without his helmet, climbs up the table. He marches on the table with his arms in the air.]"
2176,[He prepares to take a drink from his wooden cup.]
2176,[A very loud and long boo is heard; with an angry face.]
2176,[A loud and long cheer is heard.]
2179,[Blushes.]
2183,[Sokka starts walking away.]
2184,[Sokka turns around.]
2189,[Impressed.]
2190,[Sokka puts his ear to the handle of his knife.]
2190,[Whispers.]
2191,[Whispers.]
2193,[Does a another birdcall.]
2193,[Sokka takes his knife out of the tree. His eyes spot an old man.]
2194,[Whispers.]
2204,[Pipsqueak holds the prisoner and Smellerbee steps up to search the poor man.]
2207,[She holds up the old man's bag. The old man is thrown back on the ground.]
2213,"[Aang is wearing a bag and pulls a small pellet from it. With a sly grin, he tosses it next to Momo, where it explodes with a pop. Momo puffs up like a startled cat. He hisses and lunges for the bag. Momo sits on Aang's shoulder and tosses several pellets at his feet. Aang dances about wildly.]"
2218,[She shows a cap made out of stitched leaves with a flower on top.]
2224,[The scene changes to Jet in a room.]
2231,[He pulls on the ring and removes a small glass tube filled with red liquid.]
2236,[Sokka stomps away.]
2250,[The Duke jumps off the wagon.]
2251,[Jet places a hand on The Duke's shoulder.]
2252,[To Longshot.]
2252,[Longshot nods.]
2254,[Sneering.]
2256,[Pipsqueak and Smellerbee send Sokka to his knees. He rubs his shoulder.]
2260,[Sokka points an accusing finger at Jet.]
2266,[Jet releases Sokka's hand; it is immediately forced behind his back.]
2272,[Aang and Katara stop and look at one another.]
2279,[Jet stands behind her and places his hands on her shoulders.]
2281,[Airbends himself back on the ground.]
2285,[Aang and Katara walk off in its direction.]
2286,[He turns and walks away.]
2288,[Jet resumes walking away Aang and Katara bend the next geyser into another fountain.]
2289,[Later.]
2289,"[Around them, over a dozen geysers flow into the river.]"
2296,"[Sokka notices a couple of snare leaf-piles nearby identical to the one that enticed Momo, right down to the pile of nuts.]"
2297,"[Sokka sprints off in the direction of the snares. Smellerbee makes a grab for him, but misses.]"
2298,"[They give chase. Sokka leaps over the leaf piles. Pipsqueak and Smellerbee don't, and end up snared and hanging many feet up in the air.]"
2299,"[He holds up his now-worthless bindings, turns, and walks away.]"
2300,[Smellerbee hits him in the head with a lychee nut and it lands in the pile he's holding.]
2300,[He picks one up and licks his lips.]
2304,"[Zooms on Aang, who is horrified.]"
2306,[Aang opens his glider.]
2307,[He takes off.]
2308,[Less convinced.]
2315,[Tears fall from her eyes. Jet reaches out and touches her face.]
2323,[Taunting.]
2327,"[A birdcall is heard. Katara and Aang are startled, and look to the valley beyond where it's coming from. Jet gives an answering birdcall.]"
2329,[Horrified.]
2331,[In pain from the fall.]
2334,[Whispers.]
2337,[She turns in rage back to Jet.]
2339,"[In shock, Jet looks up to see Sokka, Appa, and Momo rise from below the level of the cliff.]"
2343,[Cuts to an illustrated set of flashback stills each being panned through.]
2343,"[The flashback ends and the townsfolk are seen on high ground above the river, on the bank opposite the town. A little girl, who was seen in the flashback, runs down to the water's edge as the doll floats by. She retrieves it.]"
2344,[Happily.]
2344,[She hugs her doll.]
2350,[Sokka gives Appa's reigns a flick.]
2351,"[Jet is left behind, still frozen to the tree.]"
2355,[Shrugs his right shoulder.]
2356,"[Sokka is surprised, but quickly recovers.]"
2357,"[With a grin, he pulls Appa's reigns. They fly off screen before reappearing, going in the opposite direction.]"
2361,[Tosses the wrapped up tarp inside the tent.]
2362,"[Cut to an overhead shot of the two, Sokka gesturing widely as he replies to his sister.]"
2365,[Spreading his arms wide in exasperation.]
2368,[Angrily.]
2368,[Throws the sticks at Sokka who shields himself from the wood. He stands in anger after the hail of sticks subsides.]
2369,[Angrily.]
2369,[He tears the tent down and the two stare at each other angrily as Aang approaches.]
2370,[The siblings turn away from each other in anger with their arms folded.]
2372,[Picks up and throws a twig at Sokka's head.]
2372,"[Sokka turns around, looking angrily at her.]"
2373,[Laughs.]
2375,[At the same time.]
2376,[Grinning while gloating.]
2376,"[Turns his head to see Momo and Appa fighting over a watermelon. Momo continuously tries to fly away with it, while Appa pins it down. Aang takes the melon and uses airbending to slice it. Momo seems to be complaining about how he got the much smaller half and Appa got the bigger half.]"
2376,[Appa eats his half of the melon.]
2379,[In awe.]
2379,[Zoom backward to show Sokka in the foreground.]
2383,[Shoving past Sokka.]
2385,"[Oblivious to the fact that Sokka is behind him, mocking him.]"
2392,[Whistles to them.]
2396,"[The Zhang tribe members yell out in protest behind them. Katara and Aang look at each other worriedly, but turn around to see a large pile of rocks being levitated up and thrown away. The canyon guide stands behind where the rocks used to be.]"
2398,[Camera pans left to reveal the Zhang and the scout.]
2399,[Rushing forward.]
2400,[Cut to a wider shot showing the Zhang filing past the three kids and the fuming Gan Jin scout.]
2401,[Mockingly.]
2403,"[A group of clean, finely dressed people are shown coming toward them.]"
2404,[To the canyon guide.]
2410,[Over the two arguing tribes.]
2412,[Stepping forward.]
2415,[The two tribes begin to shout at each other again.]
2416,[Shouting.]
2416,"[Both leaders nod in agreement, and the scene fades to show the sick and elderly boarding Appa.]"
2417,[To Appa.]
2419,[Grinning broadly.]
2421,[Dismayed.]
2421,[Cut to an overhead wide shot of the two tribes and the others.]
2422,[Cut to a frontal shot of the guide.]
2422,[He makes motions with his hands to illustrate the skittery monsters that might lurk in the canyon.]
2422,[Both tribes yell out in protest.]
2424,"[He raises an earth pillar to tower over the rest. He continues, cupping his hands to his mouth to amplify his voice.]"
2426,[To the people on Appa.]
2426,[To Appa.]
2426,[Appa roars and takes off. The camera fades to show both groups of people climbing down into the canyon. The tour guide earthbends to form a bridge in a gap in the path.]
2428,[Turns to the travelers.]
2432,[He throws the boulder and destroys the bridge he had made earlier.]
2434,"[Yells out, as he is picked up by a huge animal. Aang blows away the dust to reveal a canyon crawler.]"
2435,"[He throws his boomerang at the crawler, which drops the canyon guide and comes after Sokka instead.]"
2435,"[Katara comes to his aid and does a water whip on the crawler, but she is quickly thrown aside. Aang jumps down and sends a multiple blasts of air at the crawler and drives it away.]"
2436,[To the canyon guide.]
2437,[On the ground.]
2437,[Groans in pain.]
2450,[To the canyon guide.]
2452,[Points to Zhangs.]
2455,[Angrily.]
2455,[Jumps onto a tall rock.]
2455,[The two leaders nod at each other and start walking. Aang jumps down to Sokka and Katara.]
2461,[Smiling.]
2469,[Hesitates.]
2469,[Takes the bread and eats it.]
2470,[Fades to show a large gate with a finely dressed man running toward it. Voice-over.]
2470,[Camera goes back to the Gan Jin leader's face.]
2472,[To Sokka.]
2473,[Takes the meat and bites down hungrily.]
2477,[Still eating.]
2478,[Fades to show a poorly-dressed man running through a large gate. Voice-over.]
2478,[Back to Zhang leader.]
2479,[Looks at her piece of meat.]
2481,"[Momo jumps up and snatches a bug out of the air, he eats part of it before offering the rest to Aang.]"
2482,[Slowly approaching Aang.]
2487,[Jumps down to Katara and Sokka.]
2492,[Over Sokka's frustrated growls.]
2492,[He takes off on his glider and the scene fades to show him landing between the two tribes.]
2498,[Shouting.]
2500,[Aang grins happily at this.]
2507,[Shocked.]
2507,"[He looks in wonder at a custard tart, and his stomach growls.]"
2507,"[He turns to see dozens of canyon crawlers approaching, and they all try to flee.]"
2509,[Taking out his boomerang.]
2511,[Stops him as he runs forward.]
2514,[Shouting.]
2514,"[He distracts a crawler with a piece of food, leaps on its back, and throws a bag over its snout. The two tribes mimic him, working together.]"
2514,[Aang ties a huge bag of food onto a stick and uses it to guide the crawlers up the canyon wall.]
2515,[Jumping off a crawler.]
2519,[They both smile at each other and Aang sighs in relief.]
2520,[Draws his sword.]
2521,[Draws her sword.]
2522,[Sighs in frustration.]
2524,[Scene fades to show the two men facing each other. Voice-over.]
