peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
CHKA,Chamar Kang,"Chharka, Kangtega",6060,Climbed,2007,"Japan, Nepal",CHKA07301
NUPK,Nupche Kang,"Friendship Peak, Nupche Himal",6576,Climbed,1964,"W Germany, Nepal",NUPK64101
PUCH,Punchen Himal,Puchen Himal,6049,Unclimbed,NA,NA,NA
KAKU,Kang Kuru,NA,6344,Climbed,2008,USA,KAKU08101
AMPM,Amphu Middle,Amphu North,6202,Climbed,2008,Germany,AMPM08101
LUGU,Lugula,NA,6899,Climbed,2010,France,LUGU10301
BHRS,Bhrikuti Shail,NA,6361,Climbed,2005,"France, Nepal",BHRS05101
MYAG,Myagdi Matha,NA,6273,Unclimbed,NA,NA,NA
TOBS,Tobsar,Tabsar,6065,Climbed,2017,Nepal,TOBS17301
DINS,Dingjung Ri,Dingjung Ri South,6196,Climbed,2008,Japan,DINS08101
DUDH,Dudh Kundali,"Dui Tal Chuli, Two Lakes Peak",6045,Climbed,1953,"Austria, Nepal, India",DUDH53301
KAGA,Kanta Gaton,Kangfu Gaton,5910,Climbed,2009,"France, Nepal",KAGA09201
KAPT,Kaptang,NA,5965,Climbed,2009,"Japan, Nepal",KAPT09201
ROMA,Roma,NA,5407,Unclimbed,NA,NA,NA
RIPI,Ripimo Shar,"Khang Karpo, Kang Karpo",6647,Climbed,1952,UK,RIPI52101
TSIS,Tsisima,"Chijima, MDM Peak",6196,Climbed,1963,"Japan, Nepal",TSIS63101
TAWA,Tawa,NA,6110,Climbed,2010,"Japan, Nepal",TAWA10301
URMA,Urkema,"Baden Powell Scout Peak, Urgyenma",5890,Climbed,2007,"Taiwan, S Korea, Singapore, Australia, Nepal",URMA07301
MPNW,Manapathi NW,NA,6384,Climbed,1977,"Italy, UK, W Germany",MPNW77101
LUNR,Lunag Ri,"Lunag I, Rongshar Ri I, Ondrej Peak",6895,Unclimbed,NA,NA,NA
JASG,Jasemba Goth,Dzasampa Kang,6730,Climbed,1964,W Germany,JASG64101
GOJN,Gojung,Mugu Chuli,6310,Climbed,2011,UK,GOJN11301
NAN2,Nangamari II,NA,6209,Climbed,2016,Japan,NAN216301
DRAG,Dragmorpa Ri,"Thakmarpo Ri, Panaya Tippa",6185,Climbed,2013,Russia,DRAG13101
SYKG,Syaokang,NA,5929,Climbed,2012,New Zealand,SYKG12301
BIJO,Bijora Hiunchuli,NA,6111,Unclimbed,NA,NA,NA
CHUB,Chhuboche,NA,5606,Climbed,2013,UK,CHUB13301
LUNW,Lunag West,NA,6492,Climbed,2013,USA,LUNW13301
DOMO,Domo,Jongsang SE Peak,7447,Climbed,1930,"Germany, Nepal",DOMO30101
LUN2,Lunag II,NA,6812,Climbed,2010,France,LUN210301
TRIA,Triangle Peak,NA,6484,Climbed,2013,France,TRIA13301
KASI,Kasi Dalpha,NA,6386,Unclimbed,NA,NA,NA
NPHU,Narphu,NA,5921,Climbed,2014,"UK, Nepal",NPHU14301
POTA,Pota Himal North,Peak Hawley,6182,Climbed,2008,France,POTA08101
PANN,Pangbuk North,Jobo LeCoultre,6478,Climbed,2013,USA,PANN13301
MUST,Mustang Himal,NA,6195,Climbed,2014,USA,MUST14301
MNSL,Mansail,Manshail,6235,Climbed,2014,Japan,MNSL14301
CPHU,Chhochenphu Himal,NA,6260,Unclimbed,NA,NA,NA
TANK,Tankya I,NA,6305,Unclimbed,NA,NA,NA
GORK,Gorakh Khang,NA,6254,Unclimbed,NA,NA,NA
RAUN,Raungsiyar,NA,6224,Climbed,2015,Nepal,RAUN15301
LDAK,Langdak,NA,6220,Climbed,2015,Nepal,LDAK15301
TKRE,Takargo East,"Thakar Go East, Dragker-go East",6152,Climbed,2015,Nepal,TKRE15301
OMIT,Omitso Go,Omi Tso Go,6332,Unclimbed,NA,NA,NA
CBAM,Chhopa Bamare,Chomo Pamari,6109,Climbed,2019,"USA, France",CBAM18401
YALW,Yalung Kang West,NA,8077,Unclimbed,NA,NA,NA
KANN,Kangchenjunga North,NA,7938,Unclimbed,NA,NA,NA
KBNE,Kangbachen East,Kambachen East,7780,Unclimbed,NA,NA,NA
HERZ,Herzog Peak,Khangsar Khang West,7555,Climbed,NA,NA,NA
GANW,Gangapurna West,"Lachenal Peak, Asapurna",7140,Unclimbed,NA,NA,NA
CHMR,Chamar,Shringi Himal,7161,Unclimbed,NA,NA,NA
NGAP,Nepal Gap Peak,Nepal Gyap Peak,7007,Unclimbed,NA,NA,NA
GAUS,Gaurishankar South,Gauri,7010,Climbed,1979,UK,GAUS79301
BURK,Burke Kang,Burke Khang,6942,Climbed,2017,"Ireland, Nepal",BURK17301
HMLE,Himlung East,NA,6932,Climbed,2017,"France, Nepal",HMLE17101
YNGS,Yangra Kangri South,"Yangra South, Ganesh I South",6863,Unclimbed,NA,NA,NA
NUPL,Nup La Kang,Nupla Khang,6861,Climbed,2018,"USA, Norway",NUPL18301
CHUM,Chumbu,NA,6859,Unclimbed,NA,NA,NA
PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",6767,Climbed,2011,"France, Belgium",PHUG11301
GURA,Guras,NA,6744,Unclimbed,NA,NA,NA
THRK,Tharke Kang,Tharke Khang,6710,Climbed,2017,"USA, Nepal",THRK17301
HUGO,Hulang Go,NA,6687,Unclimbed,NA,NA,NA
SHNW,Shershon Northwest,NA,6682,Climbed,1980,"UK, France",SHNW80301
AGLE,Agole East,Angole East,6675,Unclimbed,NA,NA,NA
ROLK,Rolwaling Kang,Rolwaling Khang,6664,Climbed,2016,Japan,ROLK16301
YARW,Yarwa,NA,6644,Unclimbed,NA,NA,NA
YANG,Yangri,Jugal,6535,Unclimbed,NA,NA,NA
LCHN,Lachama North,NA,6628,Unclimbed,NA,NA,NA
CHNG,Changdi,NA,6623,Unclimbed,NA,NA,NA
GOLD,Goldum Peak,Pangri Goldumba,6632,Unclimbed,NA,NA,NA
THOC,Thoche Go,NA,6602,Unclimbed,NA,NA,NA
KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",6063,Climbed,1984,Yugoslavia,KCHS84301
PHUN,Phu Kang North,Phu Khang North,6580,Unclimbed,NA,NA,NA
PTHE,Pethangtse East,NA,6572,Climbed,2008,UK,PTHE08101
PHNG,Phungi,NA,6524,Unclimbed,NA,NA,NA
KNTE,Kanti Himal East,NA,6516,Unclimbed,NA,NA,NA
JARK,Jarkya,NA,6473,Unclimbed,NA,NA,NA
MARW,Mariyang West,NA,6455,Unclimbed,NA,NA,NA
MAYT,Mayonthang Kang,Mayun Thang Khang,6449,Unclimbed,NA,NA,NA
LNJU,Langju,Lajo Dada,6426,Climbed,2017,Japan,LNJU17301
JYAC,Jyachhung,NA,6338,Unclimbed,NA,NA,NA
GYLA,Gyala,NA,6363,Unclimbed,NA,NA,NA
DOLM,Dolma Khang,Tseringma,6332,Climbed,1980,"Australia, Nepal",DOLM80101
KAIP,Kaipuchonam,NA,6329,Unclimbed,NA,NA,NA
LDNG,Langdung,Ripumutse,6326,Climbed,2017,Nepal,LDNG17401
DZA2,Dzanye II,NA,6318,Climbed,2015,Japan,DZA215301
PAMA,Pama Himal,NA,6300,Unclimbed,NA,NA,NA
PERH,Peri Himal,NA,6296,Unclimbed,NA,NA,NA
TAKL,Takla Kang,Takla Khang,6276,Unclimbed,NA,NA,NA
KOGI,Kogi Khang North,Kogi Kang North,6275,Unclimbed,NA,NA,NA
ASAJ,Asajya Tuppa,NA,6265,Unclimbed,NA,NA,NA
KOJS,Kojichuwa South,NA,6264,Unclimbed,NA,NA,NA
PKAR,Pankar Himal,NA,6264,Climbed,2018,Japan,PKAR18101
SAUL,Saula,NA,6235,Unclimbed,NA,NA,NA
YARA,Yala Chuli,Yara Chuli,6236,Unclimbed,NA,NA,NA
RHIM,Rhimbu,NA,6210,Unclimbed,NA,NA,NA
SANC,Sanctuary Peak,NA,6207,Unclimbed,NA,NA,NA
LASA,Lasa,NA,6189,Unclimbed,NA,NA,NA
PERI,Peri,NA,6174,Climbed,2016,"Italy, Nepal",PERI16301
DWIJ,Dwijen Himal,NA,6169,Unclimbed,NA,NA,NA
JABR,Jabou Ri,NA,6166,Climbed,2015,USA,JABR15301
BEDG,Beding Go,Bedding Go,6125,Climbed,2015,"Nepal, Canada, Brazil, Ireland",BEDG15301
TAKN,Takphu North,NA,6142,Climbed,2016,"Germany, Nepal",TAKN16301
BHUL,Bhulu Lhasa,NA,6102,Climbed,1964,"UK, Nepal",BHUL64301
LNAK,Lhonak,Rifil Peak,6070,Unclimbed,NA,NA,NA
ROLM,Rolmi,NA,6056,Climbed,2017,Nepal,ROLM17301
ACHN,Aichyn,"Aychin, Ashvin",6055,Climbed,2015,Japan,ACHN15301
ARDN,Ardang,NA,6034,Unclimbed,NA,NA,NA
LUNG,Lungchhung,NA,6043,Unclimbed,NA,NA,NA
KHNG,Khung,NA,6024,Unclimbed,NA,NA,NA
CHND,Chandi Himal,NA,6142,Unclimbed,NA,NA,NA
KALI,Kali Himal,"Chota Ri, Baruntse North",6985,Climbed,1983,Netherlands,KALI83101
DHEC,Dhechyan Khang,NA,6019,Climbed,2018,"Austria, Germany, Nepal",DHEC18101
EKRA,Ek Rate Danda,NA,6213,Unclimbed,NA,NA,NA
GHYN,Ghyun Himal I,NA,6110,Unclimbed,NA,NA,NA
GORH,Gorakh Himal,NA,6198,Unclimbed,NA,NA,NA
HONK,Hongku,"Hongku Chuli Nup, Honku, Sura Peak",6764,Climbed,2015,France,HONK15301
KARK,Karko,NA,6015,Unclimbed,NA,NA,NA
KARS,Karsang Kang,Kharsang,6225,Climbed,2008,France,KARS08301
KHAY,Khayang,NA,6186,Unclimbed,NA,NA,NA
GYLZ,Gyalzen Peak,Gyaltsen Peak,6151,Climbed,2019,Nepal,GYLZ19101
LSAM,Lungsampa,"Lung Sampa, Lumsumna",6500,Climbed,2014,Spain,NA
MERS,Mera South,NA,6064,Unclimbed,NA,NA,NA
PASH,Pashuwo,Pashubo,6177,Unclimbed,NA,NA,NA
SATO,Sat Peak,Sato Peak,6164,Unclimbed,NA,NA,NA
TSKP,Tso Karpo,NA,6518,Unclimbed,NA,NA,NA
SPH2,Sharphu II,Tanga II,6328,Climbed,201,USA,SPH218301
SPH3,Sharphu III,Marson,6220,Unclimbed,NA,NA,NA
SPH4,Sharphu IV,Nupchu,6172,Climbed,1962,Japan,SPH462101
SPH5,Sharphu V,Tanga III,6158,Unclimbed,NA,NA,NA
SPH6,Sharphu VI,NA,6076,Unclimbed,NA,NA,NA
MNSS,Mansail South,Manshail South,6248,Unclimbed,NA,NA,NA
GDNG,Gave Ding,NA,6581,Climbed,2015,UK,GDNG15301
NGO3,Ngojumba Kang III,Hillary Peak,7681,Unclimbed,NA,NA,NA
KIMS,Kimshung,"Kinshung, Tsangbu Ri",6781,Unclimbed,NA,NA,NA
PAWR,Pawar Central,Chaar Baatsa,6621,Climbed,2015,France,PAWR15101
NGOR,Nagoru,NA,6165,Climbed,2016,"Austria, Nepal",NGOR16301
SALD,Saldim,NA,6374,Unclimbed,NA,NA,NA
LANY,Langtang Yubra,Yubra Himal,6048,Unclimbed,2018,"Australia, Netherands, Nepal",LANY18301
LARK,Larkya Peak,"Granite Peak, Naike Peak",6416,Climbed,2017,Georgia,LARK17301
NUPW,Nuptse West II,Nuptse Nup II,7732,Climbed,NA,NA,NA
TENE,Tengi Ragi Tau East,NA,6675,Climbed,2005,France,TENE05301
NILE,Nilgiri East,NA,6698,Climbed,1970,Spain,NA
PEMR,Pemthang Ri,NA,6743,Unclimbed,NA,NA,NA
FUTI,Futi Himal,NA,6425,Climbed,2014,Portugal,FUTI14101
SANB,Sano Bhrikuti,NA,6328,Climbed,2017,Switzerland,BHRS17101
SANK,Sano Kailash,NA,6452,Climbed,2019,"Austria, Nepal",SANK19101
TARS,Tarke Kang Shar,Tare Kang,7069,Climbed,1981,"Italy, Nepal",TARS81301
KORL,Korlang Pari Tippa,Korlang Pari Tippa North,5738,Unclimbed,NA,NA,NA
JANE,Jannu East,Khumbhakarna East,7460,Unclimbed,NA,NA,NA
YUBR,Yubra,NA,6264,Unclimbed,NA,NA,NA
