"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
buzzlocal.tv,,http://buzzlocal.tv/mrd,,No,Moncton,NB,Canada,English,,,"For Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"Our focus is to engage the public in their own communities using the motto: Local People, Local Stories, Global Perspective."
"Cabin Radio",,https://cabinradio.ca,,No,Yellowknife,NT,Canada,English,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"Life's better at the Cabin. Independent news for the Northwest Territories and 44 locally produced shows a week from downtown Yellowknife."
Calbuzz,,http://www.calbuzz.com,,No,"Culver City",CA,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California Health Report",,http://www.calhealthreport.org,,No,,CA,"United States",English,,,"Not for Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Our mission is to report from communities that are disproportionately affected by inequality."
"California Sun",,https://medium.californiasun.co,,No,,CA,"United States",English,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"The world watches California for a reason. ​ ​We break it down."
CalMatters,,https://calmatters.org,"Non Profit",Yes,Sacramento,CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2015,"21 or more",61-70,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,State/Province,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Education & Schools, Environment, Government, Health & Medicine, Politics",,,,"Foundation funding, Major individual gifts, Philanthropic funding from major institutions",,,"Major individual gifts",,"I don't have a paywall",,"Content Sponsorship",,"We've brought attention and transparency to state government and allowed more Californians to better understand, and engage with, their government.","CalMatters is a nonpartisan, nonprofit journalism venture committed to explaining how California’s state Capitol works and why it matters"
"Cambridge Day",,https://cambridgeday.com,"Marc Levy",Yes,Cambridge,MA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2005,0,61-70,0-10,21-30,0-10,"Originally-reported articles",,"Website, Social media",,"City/Town, County/Counties/Regional districts","Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Education & Schools, Entertainment & Arts, Government, Health & Medicine, Planning & Development",,,,"Small individual gifts",,,"Small individual gifts",,,,Display,,,"Cambridge Day is a Web-only source for news and entertainment about Cambridge and surrounding communities. Visitors are invited to participate by commenting on posts (so long as comments are handled responsibly and respectfully) as well as by submitting letters or essays for publication and, in some cases, contributing regularly as a reporter, reviewer or provider of other content"
"Cape Breton Spectator",,https://capebretonspectator.com,,No,"Cape Breton Regional Municipality",NS,Canada,English,,,"For Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"An independent news source for Cape Breton Island."
"Capital Daily",,https://www.capitaldaily.ca/,,No,Victoria,BC,Canada,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,"Welcome to Capital Daily, the West Coast’s premier independent news startup. We are your source for proprietary, longform, and investigative stories and analysis.

Based in one of the most news-rich cities in Canada,our small teamspecializes in reporting that is unique, entertaining and, above all, strictly non-partisan."
"Capitol Hill Seattle",,https://capitolhillseattle.com,,No,Seattle,WA,"United States",English,,,"For Profit",2006,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHS Capitol Hill Seattle is a community site dedicated to the Capitol Hill neighborhood in lovely Seattle, Washington USA."
"Carolina Panorama",,https://CarolinaPanorama.com,"Nathaniel Abraham Jr.",No,Columbia,SC,"United States",English,,"Sole Proprietor/no specific tax status",LLC,1986,3-5,11-20,21-30,0-10,41-50,"Originally-reported articles, Video, Newsletters, Printed media, Events",,"Website, Social media",,"County/Counties/Regional districts","Hyperlocal community comings and goings",,"Business, Education & Schools, Events in coverage area, Health & Medicine, Race & Ethnicity",,"People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship",,"We impact the new businesses opening in our community, showcase students excelling, inform people of upcoming events, etc.","Carolina Panorama was established in December of 1986 by Nathaniel Abraham, Sr.  Over the years, the newspaper has proudly focused on bringing to its readers community news and profiles of people that were not covered by other media outlets."
"Carolina Public Press",,https://carolinapublicpress.org,,No,Asheville,NC,"United States",English,,,"Not for Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carolina Public Press is an independent nonprofit news organization dedicated to nonpartisan, in-depth and investigative news built upon the facts and context North Carolinians need to know."
"Carson Now",,https://carsonnow.org,,No,"Carson City",NV,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson Now is a local news website serving the Carson City, Nevada area. We are dedicated to the advancement of community journalism and educating local readers about current news and events."
"Cary Citizen",,https://carycitizen.news,,No,Cary,NC,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cary's leading online news source."
"Castanet Media","Local News Network",https://castanet.net,"Glacier Digital Media",No,Kelowna,BC,Canada,English,,"Sole Proprietor/no specific tax status",LLC,2000,"21 or more",21-30,31-40,21-30,11-20,"Originally-reported articles, Video, Digital marketing services",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Entertainment & Arts, Environment, Events in coverage area, Government, Health & Medicine, Planning & Development, Politics, Sports & Recreation",,,,"Direct sold advertising, Classifieds",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Video",,"We have provided coverage of numerous forest fires providing evacuation updates. Flood coverage. Highway closures. Crime coverage.","Since launching in November 2000, Castanet has become one of the most visited media websites in Western Canada.
Every week over 450,000 people visit Castanet for news, classifieds, weather and entertainment. Castanet's head office is located in beautiful downtown Kelowna, British Columbia."
"Centro de Periodismo Investigativo",,http://periodismoinvestigativo.com,,No,"San Juan",PR,"United States",Spanish,,,"Not for Profit",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Centro de Periodismo Investigativo (CPI) es una entidad sin fines de lucro creada en 2007 por la periodista Omaya Sosa Pascual, ex presidenta del Overseas Press Club, y el periodista y abogado Oscar J. Serrano, ex presidente de la Asociación de Periodistas de Puerto Rico, para fomentar el acceso a la información del pueblo de Puerto Rico mediante tres vías: el periodismo de investigación, la litigación y la formación periodística."
"Chadds Ford Live",,https://chaddsfordlive.com,,No,"Chadds Ford",PA,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chadds Ford Live was founded in April 1, 2009 to provide an online news service and a community forum for the greater Chadds Ford area when the printed paper went out of business."
Chalkbeat,,https://chalkbeat.org,"Non Profit. Elizabeth Green is our CEO and co-founder.",No,"New York",NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2012,"21 or more",51-60,11-20,0-10,21-30,"Newsletters, Originally-reported articles",,"Social media, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts, State/Province","Single-subject news",,"Education & Schools",,"Communities with English as a second language, Low-income communities, People of color",,"Foundation funding, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"Display, Email",,"We measure our reporting influence in two ways: informing action, and informing debate. Our articles have been passed out at school board meetings and led to virtual school closings. Recently, our reporting on Spectrum not offering free internet to NYC customers who had an outstanding balance drew criticism from the mayor and led to a reversal of their policy. More about measuring our reporting impact here: https://cdn.vox-cdn.com/uploads/chorus_asset/file/19891533/Chalkbeat_Wh…","Chalkbeat is a nonprofit news organization committed to covering one of America’s most important stories: the effort to improve schools for all children, especially those who have historically lacked access to a quality education."
"Chambly Express",,http://www.chamblyexpress.ca/?fbclid=IwAR2DePQdIi3i_0oceDF4UbObmMXpbdpGtFbuaQ7R…,,No,Chambly,QC,Canada,Spanish,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Le Chambly Express.ca, le journal WEB local pour tout savoir de l'actualité de la région de Chambly!"
"Channel 253 LLC",,https://www.channel253.com,,No,"Tacoma and Pierce County",WA,"United States",English,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"Channel 253 seeks to assemble the best podcasts about Tacoma. Whether about politics, news, culture, food, sports, we want to tell the story of Tacoma one episode at a time."
"Charlotte Agenda",,https://charlotteagenda.com,,No,Charlotte,NC,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Agenda is a modern local media company that exists to make Charlotte smarter and better connected. We do this by producing useful programming in a conversational tone."
"Charlottesville Tomorrow",,https://cvilletomorrow.org,Nonprofit,No,Charlottesville,VA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2005,6-10,21-30,11-20,0-10,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Email",,"City/Town, County/Counties/Regional districts","Single-subject news, In-depth feature and explanatory reporting",,"Education & Schools, Environment, Government, Planning & Development, Politics, Social Justice & Inequality, Transportation",,"LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Major individual gifts",,,"Major individual gifts",,"I don't have a paywall",,,,,"Founded in 2005, Charlottesville Tomorrow is a hyperlocal journalism nonprofit with a mission to expand civic engagement and foster a vibrant, inclusive, and interdependent community. Supported entirely by contributions from readers, grants from foundations and philanthropists and the Knight Foundation’s NewsMatch fund, Charlottesville Tomorrow delivers in-depth reporting and analysis on local issues with the goal of improving local decision-making."
Chattanoogan,,https://www.chattanoogan.com/Breaking-News,,No,Chattanooga,TN,"United States",English,,,"For Profit",1991,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chattanoogan.com was launched Sept. 1, 1999, as one of the first full-service web-only daily newspapers in the country. Since that date, it has proven to be a pace-setter in the rapidly-developing field of Internet news publishing and has drawn a wide following and readership."
"Chelsea Update",,https://chelseaupdate.com,,No,Chelsea,MI,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chelsea Update is a news and information Web site for the Chelsea, Michigan, area run by Heather Newman, former Detroit Free Press columnist."
"Chester Telegraph",,https://chestertelegraph.org,,No,Chester,VT,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Chester Telegraph is our attempt to meet the need for a more complete reporting of the news and events that are happening in this region: Grafton, Andover, Chester, Weston and Londonderry"
"Chestertown Spy",,https://chestertownspy.org,,No,Chestertown,MD,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Chestertown Spy, second time around, is a 21st century attempt to provide the same service and range of topics to our community in the area of public affairs, local arts, and regional culture."
"Chicago Public Square",,https://ChicagoPublicSquare.com,"Charles Meyerson",No,Chicago,IL,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2017,0,61-70,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Email, Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Corruption, Environment, Government, Politics",,"LGBTQI communities, Low-income communities, People of color",,"Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,Display,,"Industry-leading open (50%+) and click rates demonstrate Square's compelling engagement strategies.","Mission
To bring you news and links of interest and importance to the Chicago area—without wasting your time."
"Chicago Reporter",,http://chicagoreporter.com,,No,Chicago,IL,"United States",English,,,"Not for Profit",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Reporter was founded in 1972 by John A. McDermott to measure Chicago’s progress toward racial equality as the civil rights era ended. Since its inception, it has been housed at the Community Renewal Society, a faith-based social justice organization."
ChicagoTalks,,http://www.chicagotalks.org,,No,Chicago,IL,"United States",English,,,"Not for Profit",2006,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicago Talks is a non-profit, local news source for Chicago and its many neighborhoods. Our stories come from all corners of the city; our reporters are young journalists learning to cover their communities and community people with a story to tell."
"Chico Sol",,http://chicosol.org,,No,Chico,CA,"United States",English,,,"Not for Profit",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChicoSol is a not-for-profit news organization covering issues overlooked by traditional media that are starved for resources and unable to provide the in-depth coverage investigative reporting produces."
ChrisD.ca,,https://www.chrisd.ca/,,Yes,Winnipeg,MB,Canada,English,,"Sole Proprietor/no specific tax status","For Profit",2007,2,11-20,21-30,11-20,0-10,"Digital marketing services, Events",,"Aggregation, Email",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Breaking News",,"Ethnic communities, People of color",,"Direct sold advertising, Grants, Other Marketing Services",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), e-Commerce, Content Sponsorship, Display, Email, Social Media, Video",,"Local journalism is at the heart of every community and ChrisD.ca tells the stories of the people and places that shape our everyday lives. We play a central role in keeping our region informed and in tune with the events that matter most.","ChrisD.ca provides local breaking news, entertainment and sports coverage in Winnipeg, Manitoba and surrounding areas. We feature videos, photo galleries and editorials to help tell the full stories of those in our community."
"Church Hill People's News",,https://chpn.net,"Gustavo Silva, Jacob Coots",No,Richmond,VA,"United States",English,,LLC,LLC,2007,0,31-40,0-10,41-50,11-20,,,,,,,,,,,,,,,,,,,,,,"Local news for the East End of Richmond, from Union Hill to Fulton, St.John’s to Fairfield. CHPN focuses on activities and events at the neighborhood level, and on larger events with direct impact on the community.
Our goal is to share information from across the area, and to host ongoing, open and informative community conversations."
"Cicero Independiente",,https://www.ciceroindependiente.com,,No,Cicero,IL,"United States","Spanish, English",,,"Not for Profit",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cicero Independiente es un proyecto de noticias independiente y bilingüe dirigido por voluntarios para los residentes de Cicero."
"City Bureau",,https://www.citybureau.org,,No,Chicago,IL,"United States",English,,,"Not for Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"City Bureau is a nonprofit civic journalism lab serving Chicago’s South & West Sides."
"City Limits",,https://citylimits.org,"Non Profit, Jarrett Murphy",No,"New York",NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",1976,3-5,61-70,0-10,0-10,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Investigative news",,"Crime & Justice, Government, Politics, Social Justice & Inequality, Transportation",,"Immigrant communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,Display,,https://citylimits.org/our-impact/,"City Limits uses investigative journalism through the prism of New York City to identify urban problems, examine their causes, explore solutions, and equip communities to take action.
Founded in 1976 in the midst of New York’s fiscal crisis, City Limits exists to inform democracy and empower citizens to create a more just city. The organization is a 501(c)(3) nonprofit funded by foundation support, ad sponsorship and donations from readers."
CivicStory,,https://www.civicstory.org,,No,Summit,NJ,"United States",English,,,"Not for Profit",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,"CivicStory is a nonprofit news site and producer of short videos highlighting sustainability and creative change in New Jersey cities and beyond."
"Clear Health Costs",,https://clearhealthcosts.com,,No,Pelham,NY,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"WELCOME TO CLEARHEALTHCOSTS
We’re a journalism company from New York City bringing transparency to the health care marketplace by telling people what stuff costs."
"Clutch MOV",,https://clutchmov.com,"Sarah Arnold",No,Marietta,OH,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2013,0,21-30,21-30,21-30,31-40,"Branded Merchandise, Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Social media, Website",e-Commerce,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Entertainment & Arts, Events in coverage area, Food, Lifestyle, Planning & Development",,,,"Direct sold advertising, e-Commerce",,,"Direct sold advertising",,,,"Display, Social Media",,"We provide quality coverage of an underserved, often neglected area. Southeast Ohio and the Mid-Ohio Valley region of West Virginia is often ignored or isolated. It's a converative, aging region with little growth. As such, many residents - particularly young professionals - do not think of this region as one of opportunity. Since launching our publication, we've found (through interviews and surveys) that our content has contributed directly to an increase in community pride. Anecdotally, we've heard from residents who chose to visit, move to, or start a business in our region because our content has given them a more positive perception on our region. Our mission is to show residents that there is a lot of opportunity here in the MOV and that the MOV is just as deserving of good things. In doing so, we hope to contribute to things like - increased student retetion at local colleges, increased business occupancy in our downtowns, increased retention of young professionals, and increased investment in our communities. While we do not have hard data to support these impacts, we have relationships with community leaders who believe we are a contributing factor to all of the above. That is why we do what we do.","Clutch MOV is a free, online publication that delivers creative coverage of the Mid-Ohio Valley’s rich culture and local flavor through the eyes of young professionals. We exist to bring light to our communities’ hidden gems, offer a fresh perspective on old favorites, uplift local people, places, and events, and publish positive, current content each week for our readers."
"Coachella Valley Independent",,https://CVIndependent.com,"Jimmy Boegle",No,"Cathedral City",CA,"United States",English,,LLC,LLC,2012,2,51-60,11-20,11-20,11-20,"Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Print, Social media, Website",,"City/Town, County/Counties/Regional districts","In-depth feature and explanatory reporting",,"Entertainment & Arts, Events in coverage area, Food, Politics, Social Justice & Inequality",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"We have a lot of impact, in a lot of ways--from boosting local theater companies with honest reviews, to covering two California Innocence Project inmates who were later freed.","The Coachella Valley Independent is the valley's source of independent news, arts coverage, commentary and culture. 
We believe in true, honest journalism: We want to afflict the comfortable, and comfort the afflicted. We want to be a mirror for the entire Coachella Valley. We want to inform, enlighten and entertain."
"Coastal Review Online",,https://www.coastalreview.org,,No,Newport,NC,"United States",English,,,"Not for Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coastal Review Online, or CRO, is a daily, nonprofit, news and feature service covering the North Carolina coast. It is published by the North Carolina Coastal Federation, a 501(c)(3) nonprofit group dedicated to protecting and preserving the North Carolina coast."
"Cobb County Courier",,https://riveredges.com,,No,"Cobb County",GA,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Cobb County Courier is a local independent online news site covering Cobb County.  We specialize in community-focused news that has a direct impact on the quality of life of the people of Cobb County."
"Coda Story",,https://codastory.com,,No,,GA,"United States",English,,,"Not for Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coda tells you stories you never heard before, shows you connections you never knew existed, and investigates the nuance and complexity of the world"
"Colorado Independent",,https://www.coloradoindependent.com,,No,Denver,CO,"United States",English,,,"Not for Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Colorado Independent has been amplifying the voices of vulnerable Coloradans and holding public officials to account since 2013."
"Colorado Sun",,https://coloradosun.com,,No,Denver,CO,"United States",English,,,"For Profit",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Colorado Sun is a journalist-owned, award-winning news outlet based in Denver but which strives to cover all of Colorado so that our state — our community — can better understand itself."
"Columbia Heartbeat",,https://columbiaheartbeat.com,,No,Columbia,MO,"United States",English,,,"For Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"As its name implies, the hyperlocal Columbia Heart Beat started as a newsletter covering a central city beat, the heart of Columbia.   The publication has branched out over time, examining virtually all aspects of life in Columbia, from the arts and culture to politics at every local level."
"Columbia Insight",,https://columbiainsight.org,,No,"Hood River",OR,"United States",English,,,"Not for Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia Insight is a 501c3 organization based in the Columbia River Gorge. We are an online, nonprofit publication and a regional news source for communities throughout the Columbia River Basin. Our mission is to inspire, educate, and foster a sense of community around environmental issues affecting the Basin by publishing original, fair and balanced journalism that tells the untold stories of the region."
"Columbus Navigator",,https://www.columbusnavigator.com,,No,Columbus,OH,"United States",English,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus Navigator is here to be your guide to everything that makes Columbus special. We want to help you explore this city."
"Columbus Underground",,https://columbusunderground.com,"Walker Evans, Anne Evans",Yes,Columbus,OH,"United States",English,,"Sole Proprietor/no specific tax status","S Corp",2001,6-10,31-40,31-40,0-10,11-20,"Branded Merchandise, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Radio, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Entertainment & Arts, Food, Government, Planning & Development, Transportation",,,,"Direct sold advertising, Events",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Display, Email, Podcast Sponsorship, Social Media, Video",,"We have brought wide-range awareness to many topics that go underreported in our community. We highlight small businesses, minority groups, nonprofits, artists and artisans.","Columbus Underground is an award-winning, online news publication based in Columbus, Ohio.
We are a hyper-local, community-driven, new media enterprise that creates unique exclusive content, and provides connections to our community. We tell the stories of Columbus by showcasing the best reasons why it is great to live here and why you should build your life here."
Concentrate,,https://www.secondwavemedia.com/concentrate,,No,"Ann Arbor",MI,"United States",English,,,"For Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concentrate tells the new story of Washtenaw County — a narrative of creative people and businesses, new development, cool places to live, and the best places to work and play."
"Concord Clayton Pioneer",,https://pioneerpublishers.com,"Tamara Steiner",No,Clayton,CA,"United States",English,,"S Corp","S Corp",2003,3-5,11-20,21-30,41-50,0-10,"Originally-reported articles, Printed media, Social media-only content, Digital marketing services",,"Website, Social media, Print",,"Neighborhood(s), City/Town","Single-subject news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Education & Schools, Entertainment & Arts, Events in coverage area, Government, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We are the only local news paper serving the area. Our impact is strong in education, information, community building","The Pioneer is a true community newspaper with local writers, advertisers and long-time local publishers."
"Confluence Denver",,https://www.confluence-denver.com,,No,Denver,CO,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"Confluence Denver is about the people, ideas and innovators creating a world-class city desirable to the creative class. With a specific focus on entrepreneurship, startups, place building and arts and culture, we strive to highlight Denver's game changers."
"Connecticut Health I-Team",,https://c-hit.org,"Lynne DeLucia",No,"New Haven",CT,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2010,0,81-90,0-10,0-10,0-10,"Originally-reported articles, Video, Podcasts, Newsletters",,"Website, Social media, Syndicated feed or content partnerships",,State/Province,"Investigative news, In-depth feature and explanatory reporting",,"Environment, Food, Health & Medicine, Immigration",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Events",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"C-HIT's work has resulted in health regulatory changes for licensed practitioners; and raising awareness of the quality of health care delivery by doctors, nurses, hospitals and other health care entities; informing the public to make smart health care choices.","The non-profit Connecticut Health Investigative Team [C-HIT] is dedicated to producing original, responsible, in-depth journalism on issues of health and safety, in Connecticut and the surrounding region."
"Connecticut Mirror",,https://CTMirror.org,"Non Profit",No,Hartford,CT,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2010,11-15,71-80,11-20,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts",,"Email, Events, Podcast, Social media, Syndicated feed or content partnerships, Website",,State/Province,"In-depth feature and explanatory reporting, Investigative news",,"Government, Health & Medicine, Housing, Politics, Social Justice & Inequality",,,,"Foundation funding, Grants, Major individual gifts, Small individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Podcast Sponsorship",,"Real-World Impacts
1. Reversals: State role in affordable housing, dissolution of secretive public-private partnership, abandoning tolls.
2. Disparities: Educational digital divide, rampant housing discrimination, ongoing health inequities, economic recovery.
3. Accountability: Raiding transportation funds, misleading health care ministries, comparing anti-racism words and actions.
4. Deep Dives: Should police be social workers, waste system crisis, barriers to electric reform, CT’s slow start on Covid.","Cover public policy, government, and politics in Connecticut, including state budget, jobs and the economy, politics, education, health, justice, housing, the environment, legislation, and other areas of public policy. Nonprofit, non-partisan, digital only. Continuous growth since January 2010 debut. CT’s only statewide reader opinion page."
"Cornwall Newswatch",,https://www.cornwallnewswatch.com,,No,Cornwall,ON,Canada,English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cornwall Newswatch is your one stop for news, opinion, weather and sports in the Seaway Valley. We cover politics, crime, current events and breaking news in the City of Cornwall and the United Counties of Stormont, Dundas and Glengarry."
"Cortland Voice",,https://Cortlandvoice.com,,No,Cortland,NY,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Cortland Voice is an online-only news and information site serving the city of Cortland and Cortland County."
"County 10",,https://county10.com,"Will Hill",No,Riverton,WY,"United States",English,,,LLC,2011,6-10,61-70,11-20,0-10,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Digital marketing services",,"Website, Social media",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Entertainment & Arts, Events in coverage area",,,,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Prior to County 10's launch, no news source attempted to cover ALL of our extreme rural county in Wyoming. We have thousands of square miles, 7 school districts, multiple small municipalities, an Indian Reservation, etc. and each small population center is slightly demographically and culturally different. However, they are all economically reliant on each other for consumers and services - we need each other. No one covered the County like that until County 10. Now our readers know what's happening around them, they report feeling more united and more prepared to address our community issues together instead of separately. We are more prepared to face the future because we are connected through a hyper-local news source.","The County 10 brand represents a lot of things. It’s local news. It’s local lifestyle. Local faces and places. It’s National and State news that impacts our day-to-day. It’s “what’s happening.” It’s our community.
It’s Fremont County’s Community News Stream."
County10,,https://county10.com,,No,"Fremont County",WY,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"County 10™ is a web and mobile-based media outlet providing the Fremont County, Wyoming community with instant news and updates."
CountyLive.ca,,https://www.countylive.ca,,No,"Prince Edward County",ON,Canada,English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
