position,player,total,year,records,nation
30,Jamie,9,2007,NA,USA
30,Jamie,9,2008,NA,USA
30,Jamie,9,2009,NA,USA
30,Jamie,9,2010,NA,USA
30,Jamie,9,2011,NA,USA
30,Jamie,9,2012,1,USA
30,Jamie,9,2013,3,USA
30,Jamie,9,2014,NA,USA
30,Jamie,9,2015,NA,USA
30,Jamie,9,2016,NA,USA
30,Jamie,9,2017,NA,USA
30,Jamie,9,2018,NA,USA
30,Jamie,9,2019,NA,USA
30,Jamie,9,2020,NA,USA
30,Jamie,9,2021,NA,USA
32,Christian C,8,1997,NA,USA
32,Christian C,8,1998,NA,USA
32,Christian C,8,1999,NA,USA
32,Christian C,8,2000,NA,USA
32,Christian C,8,2001,NA,USA
32,Christian C,8,2002,NA,USA
32,Christian C,8,2003,NA,USA
32,Christian C,8,2004,NA,USA
32,Christian C,8,2005,NA,USA
32,Christian C,8,2006,NA,USA
32,Christian C,8,2007,NA,USA
32,Christian C,8,2008,NA,USA
32,Christian C,8,2009,NA,USA
32,Christian C,8,2010,NA,USA
32,Christian C,8,2011,NA,USA
32,Christian C,8,2012,NA,USA
32,Christian C,8,2013,NA,USA
32,Christian C,8,2014,NA,USA
32,Christian C,8,2015,NA,USA
32,Christian C,8,2016,NA,USA
32,Christian C,8,2017,NA,USA
32,Christian C,8,2018,NA,USA
32,Christian C,8,2019,NA,USA
32,Christian C,8,2020,6,USA
32,Christian C,8,2021,2,USA
33,Jonesy,7,1997,NA,USA
33,Jonesy,7,1998,NA,USA
33,Jonesy,7,1999,NA,USA
33,Jonesy,7,2000,NA,USA
33,Jonesy,7,2001,NA,USA
33,Jonesy,7,2002,NA,USA
33,Jonesy,7,2003,NA,USA
33,Jonesy,7,2004,NA,USA
33,Jonesy,7,2005,NA,USA
33,Jonesy,7,2006,NA,USA
33,Jonesy,7,2007,NA,USA
33,Jonesy,7,2008,NA,USA
33,Jonesy,7,2009,NA,USA
33,Jonesy,7,2010,NA,USA
33,Jonesy,7,2011,NA,USA
33,Jonesy,7,2012,NA,USA
33,Jonesy,7,2013,NA,USA
33,Jonesy,7,2014,NA,USA
33,Jonesy,7,2015,NA,USA
33,Jonesy,7,2016,NA,USA
33,Jonesy,7,2017,NA,USA
33,Jonesy,7,2018,NA,USA
33,Jonesy,7,2019,NA,USA
33,Jonesy,7,2020,6,USA
33,Jonesy,7,2021,1,USA
33,LPS,7,1997,NA,Canada
33,LPS,7,1998,1,Canada
33,LPS,7,1999,1,Canada
33,LPS,7,2000,1,Canada
33,LPS,7,2001,NA,Canada
33,LPS,7,2002,NA,Canada
33,LPS,7,2003,4,Canada
33,LPS,7,2004,NA,Canada
33,LPS,7,2005,NA,Canada
33,LPS,7,2006,NA,Canada
33,LPS,7,2007,NA,Canada
33,LPS,7,2008,NA,Canada
33,LPS,7,2009,NA,Canada
33,LPS,7,2010,NA,Canada
33,LPS,7,2011,NA,Canada
33,LPS,7,2012,NA,Canada
33,LPS,7,2013,NA,Canada
33,LPS,7,2014,NA,Canada
33,LPS,7,2015,NA,Canada
33,LPS,7,2016,NA,Canada
33,LPS,7,2017,NA,Canada
33,LPS,7,2018,NA,Canada
33,LPS,7,2019,NA,Canada
33,LPS,7,2020,NA,Canada
33,LPS,7,2021,NA,Canada
35,Xander,6,1997,NA,USA
35,Xander,6,1998,NA,USA
35,Xander,6,1999,NA,USA
35,Xander,6,2000,NA,USA
35,Xander,6,2001,NA,USA
35,Xander,6,2002,NA,USA
35,Xander,6,2003,NA,USA
35,Xander,6,2004,NA,USA
35,Xander,6,2005,NA,USA
35,Xander,6,2006,NA,USA
35,Xander,6,2007,NA,USA
35,Xander,6,2008,NA,USA
35,Xander,6,2009,NA,USA
35,Xander,6,2010,NA,USA
35,Xander,6,2011,NA,USA
35,Xander,6,2012,NA,USA
35,Xander,6,2013,NA,USA
35,Xander,6,2014,NA,USA
35,Xander,6,2015,NA,USA
35,Xander,6,2016,NA,USA
35,Xander,6,2017,NA,USA
35,Xander,6,2018,NA,USA
35,Xander,6,2019,NA,USA
35,Xander,6,2020,6,USA
35,Xander,6,2021,NA,USA
35,David B,6,1997,6,USA
35,David B,6,1998,NA,USA
35,David B,6,1999,NA,USA
35,David B,6,2000,NA,USA
35,David B,6,2001,NA,USA
35,David B,6,2002,NA,USA
35,David B,6,2003,NA,USA
35,David B,6,2004,NA,USA
35,David B,6,2005,NA,USA
35,David B,6,2006,NA,USA
35,David B,6,2007,NA,USA
35,David B,6,2008,NA,USA
35,David B,6,2009,NA,USA
35,David B,6,2010,NA,USA
35,David B,6,2011,NA,USA
35,David B,6,2012,NA,USA
35,David B,6,2013,NA,USA
35,David B,6,2014,NA,USA
35,David B,6,2015,NA,USA
35,David B,6,2016,NA,USA
35,David B,6,2017,NA,USA
35,David B,6,2018,NA,USA
35,David B,6,2019,NA,USA
35,David B,6,2020,NA,USA
35,David B,6,2021,NA,USA
35,Moll,6,1997,NA,UK
35,Moll,6,1998,NA,UK
35,Moll,6,1999,NA,UK
35,Moll,6,2000,NA,UK
35,Moll,6,2001,NA,UK
35,Moll,6,2002,NA,UK
35,Moll,6,2003,NA,UK
35,Moll,6,2004,NA,UK
35,Moll,6,2005,NA,UK
35,Moll,6,2006,NA,UK
35,Moll,6,2007,NA,UK
35,Moll,6,2008,NA,UK
35,Moll,6,2009,NA,UK
35,Moll,6,2010,NA,UK
35,Moll,6,2011,NA,UK
35,Moll,6,2012,NA,UK
35,Moll,6,2013,NA,UK
35,Moll,6,2014,NA,UK
35,Moll,6,2015,NA,UK
35,Moll,6,2016,NA,UK
35,Moll,6,2017,NA,UK
35,Moll,6,2018,NA,UK
35,Moll,6,2019,NA,UK
35,Moll,6,2020,6,UK
35,Moll,6,2021,NA,UK
35,Jayden,6,1997,NA,Australia
35,Jayden,6,1998,NA,Australia
35,Jayden,6,1999,NA,Australia
35,Jayden,6,2000,NA,Australia
35,Jayden,6,2001,NA,Australia
35,Jayden,6,2002,NA,Australia
35,Jayden,6,2003,NA,Australia
35,Jayden,6,2004,NA,Australia
35,Jayden,6,2005,NA,Australia
35,Jayden,6,2006,NA,Australia
35,Jayden,6,2007,NA,Australia
35,Jayden,6,2008,NA,Australia
35,Jayden,6,2009,NA,Australia
35,Jayden,6,2010,NA,Australia
35,Jayden,6,2011,NA,Australia
35,Jayden,6,2012,NA,Australia
35,Jayden,6,2013,NA,Australia
35,Jayden,6,2014,NA,Australia
35,Jayden,6,2015,NA,Australia
35,Jayden,6,2016,NA,Australia
35,Jayden,6,2017,NA,Australia
35,Jayden,6,2018,NA,Australia
35,Jayden,6,2019,NA,Australia
35,Jayden,6,2020,5,Australia
35,Jayden,6,2021,1,Australia
35,Michael F,6,1997,NA,USA
35,Michael F,6,1998,NA,USA
35,Michael F,6,1999,NA,USA
35,Michael F,6,2000,NA,USA
35,Michael F,6,2001,NA,USA
35,Michael F,6,2002,NA,USA
35,Michael F,6,2003,NA,USA
35,Michael F,6,2004,1,USA
35,Michael F,6,2005,5,USA
35,Michael F,6,2006,NA,USA
35,Michael F,6,2007,NA,USA
35,Michael F,6,2008,NA,USA
35,Michael F,6,2009,NA,USA
35,Michael F,6,2010,NA,USA
35,Michael F,6,2011,NA,USA
35,Michael F,6,2012,NA,USA
35,Michael F,6,2013,NA,USA
35,Michael F,6,2014,NA,USA
35,Michael F,6,2015,NA,USA
35,Michael F,6,2016,NA,USA
35,Michael F,6,2017,NA,USA
35,Michael F,6,2018,NA,USA
35,Michael F,6,2019,NA,USA
35,Michael F,6,2020,NA,USA
35,Michael F,6,2021,NA,USA
40,Lucas O,5,1997,NA,Australia
40,Lucas O,5,1998,NA,Australia
40,Lucas O,5,1999,NA,Australia
40,Lucas O,5,2000,NA,Australia
40,Lucas O,5,2001,NA,Australia
40,Lucas O,5,2002,NA,Australia
40,Lucas O,5,2003,NA,Australia
40,Lucas O,5,2004,NA,Australia
40,Lucas O,5,2005,NA,Australia
40,Lucas O,5,2006,NA,Australia
40,Lucas O,5,2007,5,Australia
40,Lucas O,5,2008,NA,Australia
40,Lucas O,5,2009,NA,Australia
40,Lucas O,5,2010,NA,Australia
40,Lucas O,5,2011,NA,Australia
40,Lucas O,5,2012,NA,Australia
40,Lucas O,5,2013,NA,Australia
40,Lucas O,5,2014,NA,Australia
40,Lucas O,5,2015,NA,Australia
40,Lucas O,5,2016,NA,Australia
40,Lucas O,5,2017,NA,Australia
40,Lucas O,5,2018,NA,Australia
40,Lucas O,5,2019,NA,Australia
40,Lucas O,5,2020,NA,Australia
40,Lucas O,5,2021,NA,Australia
40,Marcos,5,1997,NA,Brazil
40,Marcos,5,1998,NA,Brazil
40,Marcos,5,1999,NA,Brazil
40,Marcos,5,2000,NA,Brazil
40,Marcos,5,2001,NA,Brazil
40,Marcos,5,2002,NA,Brazil
40,Marcos,5,2003,NA,Brazil
40,Marcos,5,2004,NA,Brazil
40,Marcos,5,2005,NA,Brazil
40,Marcos,5,2006,NA,Brazil
40,Marcos,5,2007,NA,Brazil
40,Marcos,5,2008,NA,Brazil
40,Marcos,5,2009,NA,Brazil
40,Marcos,5,2010,NA,Brazil
40,Marcos,5,2011,NA,Brazil
40,Marcos,5,2012,NA,Brazil
40,Marcos,5,2013,NA,Brazil
40,Marcos,5,2014,1,Brazil
40,Marcos,5,2015,NA,Brazil
40,Marcos,5,2016,2,Brazil
40,Marcos,5,2017,1,Brazil
40,Marcos,5,2018,NA,Brazil
40,Marcos,5,2019,1,Brazil
40,Marcos,5,2020,NA,Brazil
40,Marcos,5,2021,NA,Brazil
42,Salam,4,1997,4,NA
42,Salam,4,1998,NA,NA
42,Salam,4,1999,NA,NA
42,Salam,4,2000,NA,NA
42,Salam,4,2001,NA,NA
42,Salam,4,2002,NA,NA
42,Salam,4,2003,NA,NA
42,Salam,4,2004,NA,NA
42,Salam,4,2005,NA,NA
42,Salam,4,2006,NA,NA
42,Salam,4,2007,NA,NA
42,Salam,4,2008,NA,NA
42,Salam,4,2009,NA,NA
42,Salam,4,2010,NA,NA
42,Salam,4,2011,NA,NA
42,Salam,4,2012,NA,NA
42,Salam,4,2013,NA,NA
42,Salam,4,2014,NA,NA
42,Salam,4,2015,NA,NA
42,Salam,4,2016,NA,NA
42,Salam,4,2017,NA,NA
42,Salam,4,2018,NA,NA
42,Salam,4,2019,NA,NA
42,Salam,4,2020,NA,NA
42,Salam,4,2021,NA,NA
42,Kyle B,4,1997,NA,USA
42,Kyle B,4,1998,NA,USA
42,Kyle B,4,1999,NA,USA
42,Kyle B,4,2000,NA,USA
42,Kyle B,4,2001,NA,USA
42,Kyle B,4,2002,NA,USA
42,Kyle B,4,2003,NA,USA
42,Kyle B,4,2004,NA,USA
42,Kyle B,4,2005,NA,USA
42,Kyle B,4,2006,NA,USA
42,Kyle B,4,2007,NA,USA
42,Kyle B,4,2008,NA,USA
42,Kyle B,4,2009,NA,USA
42,Kyle B,4,2010,NA,USA
42,Kyle B,4,2011,NA,USA
42,Kyle B,4,2012,NA,USA
42,Kyle B,4,2013,NA,USA
42,Kyle B,4,2014,NA,USA
42,Kyle B,4,2015,NA,USA
42,Kyle B,4,2016,NA,USA
42,Kyle B,4,2017,NA,USA
42,Kyle B,4,2018,NA,USA
42,Kyle B,4,2019,NA,USA
42,Kyle B,4,2020,4,USA
42,Kyle B,4,2021,NA,USA
42,Eddie T,4,1997,NA,USA
42,Eddie T,4,1998,NA,USA
42,Eddie T,4,1999,NA,USA
42,Eddie T,4,2000,NA,USA
42,Eddie T,4,2001,NA,USA
42,Eddie T,4,2002,NA,USA
42,Eddie T,4,2003,NA,USA
42,Eddie T,4,2004,NA,USA
42,Eddie T,4,2005,2,USA
42,Eddie T,4,2006,2,USA
42,Eddie T,4,2007,NA,USA
42,Eddie T,4,2008,NA,USA
42,Eddie T,4,2009,NA,USA
42,Eddie T,4,2010,NA,USA
42,Eddie T,4,2011,NA,USA
42,Eddie T,4,2012,NA,USA
42,Eddie T,4,2013,NA,USA
42,Eddie T,4,2014,NA,USA
42,Eddie T,4,2015,NA,USA
42,Eddie T,4,2016,NA,USA
42,Eddie T,4,2017,NA,USA
42,Eddie T,4,2018,NA,USA
42,Eddie T,4,2019,NA,USA
42,Eddie T,4,2020,NA,USA
42,Eddie T,4,2021,NA,USA
42,Alex G,4,1997,NA,Germany
42,Alex G,4,1998,NA,Germany
42,Alex G,4,1999,NA,Germany
42,Alex G,4,2000,NA,Germany
42,Alex G,4,2001,NA,Germany
42,Alex G,4,2002,NA,Germany
42,Alex G,4,2003,NA,Germany
42,Alex G,4,2004,NA,Germany
42,Alex G,4,2005,NA,Germany
42,Alex G,4,2006,NA,Germany
42,Alex G,4,2007,NA,Germany
42,Alex G,4,2008,NA,Germany
42,Alex G,4,2009,NA,Germany
42,Alex G,4,2010,3,Germany
42,Alex G,4,2011,NA,Germany
42,Alex G,4,2012,1,Germany
42,Alex G,4,2013,NA,Germany
42,Alex G,4,2014,NA,Germany
42,Alex G,4,2015,NA,Germany
42,Alex G,4,2016,NA,Germany
42,Alex G,4,2017,NA,Germany
42,Alex G,4,2018,NA,Germany
42,Alex G,4,2019,NA,Germany
42,Alex G,4,2020,NA,Germany
42,Alex G,4,2021,NA,Germany
42,Michael L,4,1997,NA,Netherlands
42,Michael L,4,1998,3,Netherlands
42,Michael L,4,1999,1,Netherlands
42,Michael L,4,2000,NA,Netherlands
42,Michael L,4,2001,NA,Netherlands
42,Michael L,4,2002,NA,Netherlands
42,Michael L,4,2003,NA,Netherlands
42,Michael L,4,2004,NA,Netherlands
42,Michael L,4,2005,NA,Netherlands
42,Michael L,4,2006,NA,Netherlands
42,Michael L,4,2007,NA,Netherlands
42,Michael L,4,2008,NA,Netherlands
42,Michael L,4,2009,NA,Netherlands
42,Michael L,4,2010,NA,Netherlands
42,Michael L,4,2011,NA,Netherlands
42,Michael L,4,2012,NA,Netherlands
42,Michael L,4,2013,NA,Netherlands
42,Michael L,4,2014,NA,Netherlands
42,Michael L,4,2015,NA,Netherlands
42,Michael L,4,2016,NA,Netherlands
42,Michael L,4,2017,NA,Netherlands
42,Michael L,4,2018,NA,Netherlands
42,Michael L,4,2019,NA,Netherlands
42,Michael L,4,2020,NA,Netherlands
42,Michael L,4,2021,NA,Netherlands
42,Marcelo,4,1997,NA,Brazil
42,Marcelo,4,1998,NA,Brazil
42,Marcelo,4,1999,NA,Brazil
42,Marcelo,4,2000,NA,Brazil
42,Marcelo,4,2001,NA,Brazil
42,Marcelo,4,2002,NA,Brazil
42,Marcelo,4,2003,1,Brazil
42,Marcelo,4,2004,NA,Brazil
42,Marcelo,4,2005,NA,Brazil
42,Marcelo,4,2006,3,Brazil
42,Marcelo,4,2007,NA,Brazil
42,Marcelo,4,2008,NA,Brazil
42,Marcelo,4,2009,NA,Brazil
42,Marcelo,4,2010,NA,Brazil
42,Marcelo,4,2011,NA,Brazil
42,Marcelo,4,2012,NA,Brazil
42,Marcelo,4,2013,NA,Brazil
42,Marcelo,4,2014,NA,Brazil
42,Marcelo,4,2015,NA,Brazil
42,Marcelo,4,2016,NA,Brazil
42,Marcelo,4,2017,NA,Brazil
42,Marcelo,4,2018,NA,Brazil
42,Marcelo,4,2019,NA,Brazil
42,Marcelo,4,2020,NA,Brazil
42,Marcelo,4,2021,NA,Brazil
48,Kyman,3,1997,NA,Canada
48,Kyman,3,1998,NA,Canada
48,Kyman,3,1999,NA,Canada
48,Kyman,3,2000,NA,Canada
48,Kyman,3,2001,NA,Canada
48,Kyman,3,2002,NA,Canada
48,Kyman,3,2003,NA,Canada
48,Kyman,3,2004,NA,Canada
48,Kyman,3,2005,NA,Canada
48,Kyman,3,2006,NA,Canada
48,Kyman,3,2007,NA,Canada
48,Kyman,3,2008,NA,Canada
48,Kyman,3,2009,NA,Canada
48,Kyman,3,2010,NA,Canada
48,Kyman,3,2011,NA,Canada
48,Kyman,3,2012,NA,Canada
48,Kyman,3,2013,NA,Canada
48,Kyman,3,2014,NA,Canada
48,Kyman,3,2015,NA,Canada
48,Kyman,3,2016,NA,Canada
48,Kyman,3,2017,NA,Canada
48,Kyman,3,2018,NA,Canada
48,Kyman,3,2019,NA,Canada
48,Kyman,3,2020,3,Canada
48,Kyman,3,2021,NA,Canada
48,Martin K,3,1997,NA,Germany
48,Martin K,3,1998,NA,Germany
48,Martin K,3,1999,NA,Germany
48,Martin K,3,2000,NA,Germany
48,Martin K,3,2001,NA,Germany
48,Martin K,3,2002,NA,Germany
48,Martin K,3,2003,NA,Germany
48,Martin K,3,2004,NA,Germany
48,Martin K,3,2005,NA,Germany
48,Martin K,3,2006,NA,Germany
48,Martin K,3,2007,NA,Germany
48,Martin K,3,2008,NA,Germany
48,Martin K,3,2009,NA,Germany
48,Martin K,3,2010,NA,Germany
48,Martin K,3,2011,NA,Germany
48,Martin K,3,2012,NA,Germany
48,Martin K,3,2013,NA,Germany
48,Martin K,3,2014,NA,Germany
48,Martin K,3,2015,NA,Germany
48,Martin K,3,2016,NA,Germany
48,Martin K,3,2017,NA,Germany
48,Martin K,3,2018,NA,Germany
48,Martin K,3,2019,NA,Germany
48,Martin K,3,2020,3,Germany
48,Martin K,3,2021,NA,Germany
48,Jason E,3,1997,3,USA
48,Jason E,3,1998,NA,USA
48,Jason E,3,1999,NA,USA
48,Jason E,3,2000,NA,USA
48,Jason E,3,2001,NA,USA
48,Jason E,3,2002,NA,USA
48,Jason E,3,2003,NA,USA
48,Jason E,3,2004,NA,USA
48,Jason E,3,2005,NA,USA
48,Jason E,3,2006,NA,USA
48,Jason E,3,2007,NA,USA
48,Jason E,3,2008,NA,USA
48,Jason E,3,2009,NA,USA
48,Jason E,3,2010,NA,USA
48,Jason E,3,2011,NA,USA
48,Jason E,3,2012,NA,USA
48,Jason E,3,2013,NA,USA
48,Jason E,3,2014,NA,USA
48,Jason E,3,2015,NA,USA
48,Jason E,3,2016,NA,USA
48,Jason E,3,2017,NA,USA
48,Jason E,3,2018,NA,USA
48,Jason E,3,2019,NA,USA
48,Jason E,3,2020,NA,USA
48,Jason E,3,2021,NA,USA
48,Raffy,3,1997,NA,Australia
48,Raffy,3,1998,3,Australia
48,Raffy,3,1999,NA,Australia
48,Raffy,3,2000,NA,Australia
48,Raffy,3,2001,NA,Australia
48,Raffy,3,2002,NA,Australia
48,Raffy,3,2003,NA,Australia
48,Raffy,3,2004,NA,Australia
48,Raffy,3,2005,NA,Australia
48,Raffy,3,2006,NA,Australia
48,Raffy,3,2007,NA,Australia
48,Raffy,3,2008,NA,Australia
48,Raffy,3,2009,NA,Australia
48,Raffy,3,2010,NA,Australia
48,Raffy,3,2011,NA,Australia
48,Raffy,3,2012,NA,Australia
48,Raffy,3,2013,NA,Australia
48,Raffy,3,2014,NA,Australia
48,Raffy,3,2015,NA,Australia
48,Raffy,3,2016,NA,Australia
48,Raffy,3,2017,NA,Australia
48,Raffy,3,2018,NA,Australia
48,Raffy,3,2019,NA,Australia
48,Raffy,3,2020,NA,Australia
48,Raffy,3,2021,NA,Australia
48,Frankie,3,1997,NA,USA
48,Frankie,3,1998,NA,USA
48,Frankie,3,1999,NA,USA
48,Frankie,3,2000,NA,USA
48,Frankie,3,2001,NA,USA
48,Frankie,3,2002,NA,USA
48,Frankie,3,2003,NA,USA
48,Frankie,3,2004,NA,USA
48,Frankie,3,2005,NA,USA
48,Frankie,3,2006,NA,USA
48,Frankie,3,2007,NA,USA
48,Frankie,3,2008,NA,USA
48,Frankie,3,2009,NA,USA
48,Frankie,3,2010,NA,USA
48,Frankie,3,2011,NA,USA
48,Frankie,3,2012,NA,USA
48,Frankie,3,2013,NA,USA
48,Frankie,3,2014,NA,USA
48,Frankie,3,2015,NA,USA
48,Frankie,3,2016,NA,USA
48,Frankie,3,2017,NA,USA
48,Frankie,3,2018,3,USA
48,Frankie,3,2019,NA,USA
48,Frankie,3,2020,NA,USA
48,Frankie,3,2021,NA,USA
53,Joop B,2,1997,NA,Netherlands
53,Joop B,2,1998,2,Netherlands
53,Joop B,2,1999,NA,Netherlands
53,Joop B,2,2000,NA,Netherlands
53,Joop B,2,2001,NA,Netherlands
53,Joop B,2,2002,NA,Netherlands
53,Joop B,2,2003,NA,Netherlands
53,Joop B,2,2004,NA,Netherlands
53,Joop B,2,2005,NA,Netherlands
53,Joop B,2,2006,NA,Netherlands
53,Joop B,2,2007,NA,Netherlands
53,Joop B,2,2008,NA,Netherlands
53,Joop B,2,2009,NA,Netherlands
53,Joop B,2,2010,NA,Netherlands
53,Joop B,2,2011,NA,Netherlands
53,Joop B,2,2012,NA,Netherlands
53,Joop B,2,2013,NA,Netherlands
53,Joop B,2,2014,NA,Netherlands
53,Joop B,2,2015,NA,Netherlands
53,Joop B,2,2016,NA,Netherlands
53,Joop B,2,2017,NA,Netherlands
53,Joop B,2,2018,NA,Netherlands
53,Joop B,2,2019,NA,Netherlands
53,Joop B,2,2020,NA,Netherlands
53,Joop B,2,2021,NA,Netherlands
53,Maurice,2,1997,NA,Netherlands
53,Maurice,2,1998,NA,Netherlands
53,Maurice,2,1999,NA,Netherlands
53,Maurice,2,2000,NA,Netherlands
53,Maurice,2,2001,NA,Netherlands
53,Maurice,2,2002,NA,Netherlands
53,Maurice,2,2003,NA,Netherlands
53,Maurice,2,2004,NA,Netherlands
53,Maurice,2,2005,NA,Netherlands
53,Maurice,2,2006,NA,Netherlands
53,Maurice,2,2007,NA,Netherlands
53,Maurice,2,2008,NA,Netherlands
53,Maurice,2,2009,2,Netherlands
53,Maurice,2,2010,NA,Netherlands
53,Maurice,2,2011,NA,Netherlands
53,Maurice,2,2012,NA,Netherlands
53,Maurice,2,2013,NA,Netherlands
53,Maurice,2,2014,NA,Netherlands
53,Maurice,2,2015,NA,Netherlands
53,Maurice,2,2016,NA,Netherlands
53,Maurice,2,2017,NA,Netherlands
53,Maurice,2,2018,NA,Netherlands
53,Maurice,2,2019,NA,Netherlands
53,Maurice,2,2020,NA,Netherlands
53,Maurice,2,2021,NA,Netherlands
53,Matt B,2,1997,NA,USA
53,Matt B,2,1998,NA,USA
53,Matt B,2,1999,NA,USA
53,Matt B,2,2000,2,USA
53,Matt B,2,2001,NA,USA
53,Matt B,2,2002,NA,USA
53,Matt B,2,2003,NA,USA
53,Matt B,2,2004,NA,USA
53,Matt B,2,2005,NA,USA
53,Matt B,2,2006,NA,USA
53,Matt B,2,2007,NA,USA
53,Matt B,2,2008,NA,USA
53,Matt B,2,2009,NA,USA
53,Matt B,2,2010,NA,USA
53,Matt B,2,2011,NA,USA
53,Matt B,2,2012,NA,USA
53,Matt B,2,2013,NA,USA
53,Matt B,2,2014,NA,USA
53,Matt B,2,2015,NA,USA
53,Matt B,2,2016,NA,USA
53,Matt B,2,2017,NA,USA
53,Matt B,2,2018,NA,USA
53,Matt B,2,2019,NA,USA
53,Matt B,2,2020,NA,USA
53,Matt B,2,2021,NA,USA
53,LQwerty,2,1997,NA,USA
53,LQwerty,2,1998,NA,USA
53,LQwerty,2,1999,NA,USA
53,LQwerty,2,2000,NA,USA
53,LQwerty,2,2001,NA,USA
53,LQwerty,2,2002,NA,USA
53,LQwerty,2,2003,NA,USA
53,LQwerty,2,2004,NA,USA
53,LQwerty,2,2005,NA,USA
53,LQwerty,2,2006,NA,USA
53,LQwerty,2,2007,NA,USA
53,LQwerty,2,2008,NA,USA
53,LQwerty,2,2009,NA,USA
53,LQwerty,2,2010,NA,USA
53,LQwerty,2,2011,NA,USA
53,LQwerty,2,2012,NA,USA
53,LQwerty,2,2013,NA,USA
53,LQwerty,2,2014,NA,USA
53,LQwerty,2,2015,NA,USA
53,LQwerty,2,2016,NA,USA
53,LQwerty,2,2017,NA,USA
53,LQwerty,2,2018,NA,USA
53,LQwerty,2,2019,NA,USA
53,LQwerty,2,2020,2,USA
53,LQwerty,2,2021,NA,USA
53,Habrich,2,1997,NA,USA
53,Habrich,2,1998,NA,USA
53,Habrich,2,1999,NA,USA
53,Habrich,2,2000,NA,USA
53,Habrich,2,2001,NA,USA
53,Habrich,2,2002,NA,USA
53,Habrich,2,2003,NA,USA
53,Habrich,2,2004,2,USA
53,Habrich,2,2005,NA,USA
53,Habrich,2,2006,NA,USA
53,Habrich,2,2007,NA,USA
53,Habrich,2,2008,NA,USA
53,Habrich,2,2009,NA,USA
53,Habrich,2,2010,NA,USA
53,Habrich,2,2011,NA,USA
53,Habrich,2,2012,NA,USA
53,Habrich,2,2013,NA,USA
53,Habrich,2,2014,NA,USA
53,Habrich,2,2015,NA,USA
53,Habrich,2,2016,NA,USA
53,Habrich,2,2017,NA,USA
53,Habrich,2,2018,NA,USA
53,Habrich,2,2019,NA,USA
53,Habrich,2,2020,NA,USA
53,Habrich,2,2021,NA,USA
53,Moritz,2,1997,NA,Brazil
53,Moritz,2,1998,NA,Brazil
53,Moritz,2,1999,NA,Brazil
53,Moritz,2,2000,NA,Brazil
53,Moritz,2,2001,NA,Brazil
53,Moritz,2,2002,NA,Brazil
53,Moritz,2,2003,2,Brazil
53,Moritz,2,2004,NA,Brazil
53,Moritz,2,2005,NA,Brazil
53,Moritz,2,2006,NA,Brazil
53,Moritz,2,2007,NA,Brazil
53,Moritz,2,2008,NA,Brazil
53,Moritz,2,2009,NA,Brazil
53,Moritz,2,2010,NA,Brazil
53,Moritz,2,2011,NA,Brazil
53,Moritz,2,2012,NA,Brazil
53,Moritz,2,2013,NA,Brazil
53,Moritz,2,2014,NA,Brazil
53,Moritz,2,2015,NA,Brazil
53,Moritz,2,2016,NA,Brazil
53,Moritz,2,2017,NA,Brazil
53,Moritz,2,2018,NA,Brazil
53,Moritz,2,2019,NA,Brazil
53,Moritz,2,2020,NA,Brazil
53,Moritz,2,2021,NA,Brazil
53,Patrick Q,2,1997,2,USA
53,Patrick Q,2,1998,NA,USA
53,Patrick Q,2,1999,NA,USA
53,Patrick Q,2,2000,NA,USA
53,Patrick Q,2,2001,NA,USA
53,Patrick Q,2,2002,NA,USA
53,Patrick Q,2,2003,NA,USA
53,Patrick Q,2,2004,NA,USA
53,Patrick Q,2,2005,NA,USA
53,Patrick Q,2,2006,NA,USA
53,Patrick Q,2,2007,NA,USA
53,Patrick Q,2,2008,NA,USA
53,Patrick Q,2,2009,NA,USA
53,Patrick Q,2,2010,NA,USA
53,Patrick Q,2,2011,NA,USA
53,Patrick Q,2,2012,NA,USA
53,Patrick Q,2,2013,NA,USA
53,Patrick Q,2,2014,NA,USA
53,Patrick Q,2,2015,NA,USA
53,Patrick Q,2,2016,NA,USA
53,Patrick Q,2,2017,NA,USA
53,Patrick Q,2,2018,NA,USA
53,Patrick Q,2,2019,NA,USA
53,Patrick Q,2,2020,NA,USA
53,Patrick Q,2,2021,NA,USA
53,Allen C,2,1997,2,USA
53,Allen C,2,1998,NA,USA
53,Allen C,2,1999,NA,USA
53,Allen C,2,2000,NA,USA
53,Allen C,2,2001,NA,USA
53,Allen C,2,2002,NA,USA
53,Allen C,2,2003,NA,USA
53,Allen C,2,2004,NA,USA
53,Allen C,2,2005,NA,USA
53,Allen C,2,2006,NA,USA
53,Allen C,2,2007,NA,USA
53,Allen C,2,2008,NA,USA
53,Allen C,2,2009,NA,USA
53,Allen C,2,2010,NA,USA
53,Allen C,2,2011,NA,USA
53,Allen C,2,2012,NA,USA
53,Allen C,2,2013,NA,USA
53,Allen C,2,2014,NA,USA
53,Allen C,2,2015,NA,USA
53,Allen C,2,2016,NA,USA
53,Allen C,2,2017,NA,USA
53,Allen C,2,2018,NA,USA
53,Allen C,2,2019,NA,USA
53,Allen C,2,2020,NA,USA
53,Allen C,2,2021,NA,USA
53,Martin,2,1997,NA,Canada
53,Martin,2,1998,NA,Canada
53,Martin,2,1999,NA,Canada
53,Martin,2,2000,NA,Canada
53,Martin,2,2001,NA,Canada
53,Martin,2,2002,NA,Canada
