year,group,title,funded,proposed_by,summary,website
2019,1,sftraj: A central class for tracking and movement data,10000,Mathieu Basille,"Movement defined broadly plays a central and growing role in fields as diverse as transportation, sport, ecology, music, medicine, and data science. Sampling movements results in tracking data, in the form of geographic (x,y,z) and temporal coordinates (t). Despite this common nature, there is a critical lack of standard infrastructure to deal with movement. With a sharp increase of the use of R for movement studies (more than 70 % of movement studies used R in 2018), the Movement community in R is at the same time very dynamic and very fragmented; in 2018 there was 57 packages that process, visualize and analyze tracking data, one third of which worked in isolation, not being linked to any other tracking package. We aim to develop a central trajectory class to support all stages of movement studies (pre-processing, post-processing and analysis).
We propose a sftraj package offering a generic and flexible approach. The only aim of the package will be to present a central class and basic functions to build, handle, summarize and plot movement data. Our project relies on three complementary pillars: a broad involvement of the movement community, a robust conceptual data model, and a sf-based implementation in R. The first stage of the work will specifically involve the Movement community in R. During this stage, we will open contributions of use cases for the package (using GitHub's issue system), which set practical goals for the development of the package. Use cases describe the workflow that is expected from both users' and developers' perspectives, and thus the capabilities that a trajectory package needs to offer. The package specifications and development will aim at addressing all use cases described, to make sure the solution provided is relevant for a wide array of users and package developers.",https://github.com/mablab/sftraj
2018,2,Catalyzing R-hub adoption through R package developer advocacy,46050,Maëlle Salmon,"After the continuing technical progress of R-hub over the last two years, this project aims at catalizing its adoption by R package developers of all levels through developer advocacy. Indeed, R-hub is currently a successful and very valuable project, but it is not documented thoroughly, which hinders its wider adoption by package developers. This project shall answer this concern by three main actions: improving R-hub documentation, making R-hub better known in the community and making the R-hub web site more attractive to, and easier to use by, R developers and users via the ingestion of METACRAN services and the creation of a R-hub blog.",https://blog.r-hub.io
2018,2,Data-Driven Discovery and Tracking of R Consortium Activities,5250,Benaiah Chibuokem Ubah,"This project proposes an infrastructure that provides a data-driven approach to render the yearly activities of the R Consortium, by deploying web pages for discovering and tracking ISC Funded Projects, RUGS and Marketing activities. These pages are planned to appear like dashboards summarizing activities in interactive tables and charts, presenting several views, trends and insights to what R Consortium has achieved over time. The project hopes that presenting these achievements in a data-driven manner to the R community, the data science community and prospective R Consortium members will promote greater transparency, productivity and community inclusiveness around R Consortium activities.",https://benubah.github.io/r-community-explorer/rugs.html
2018,2,Editorial assistance for the R Journal,50000,Dianne Cook,"This project supports the operation of the R Journal. There are two aspects, one is to fund an editorial assistant to send reminders about reviews, and assist with typesetting and copyediting issues. The second part is to explore updating the technical operations of the journal production.",https://rjpilot.netlify.app/
2018,2,Licensing R - Guidelines and tools,6000,Colin Fay,"Licensing is a vital part of Open Source. It provides guidelines for interacting with a program, and for making code accessible and reusable (or not). It provides a way to make code open source, in a way one wants to share it, protecting how it will be used and reused. Licensing is also challenging and complex: there are a lot of available licenses, and the choice is influenced by how you import and interact with elements from other packages and/or programs.
With this project, we propose to explore and document the current state of open source licenses in R, and to decipher compatibility and incompatibly elements inside these licenses, to help developers chose the best suited licence for their project.",https://github.com/ThinkR-open/isc-proposal-licence/ and https://thinkr-open.github.io/licensing-r/intro.html#getting-a-more-global-idea and https://github.com/ThinkR-open/isc-proposal-licence/blob/master/proposal_licence.md
2018,2,Next-generation text layout in grid and ggplot2,25000,Claus Wilke,"Text is a key component of any data visualization. We need to label axes and legends, we need to annotate or highlight specific data points, and we need to provide plot titles and captions. The R graphics package ggplot2 provides numerous features to customize the labeling and annotation of plots, but ultimately it is limited by the current capabilities of the underlying graphics libary it uses, grid. Grid can draw simple text strings or mathematical expressions (via plotmath) in different colors, sizes, and fonts. However, it lacks functionality for changing formatting within a string (e.g., draw a single word in italics or in a different color), and it also cannot draw text boxes, where the text is enclosed in a box with defined margins, padding, or background color. This project will support the development of a new package, gridtext, that will alleviate these text formatting limitations. The project will also support efforts to make these new capabilities available from within ggplot2.",https://wilkelab.org/gridtext/
2018,2,Strengthening of R in support of spatial data infrastructures management : geometa and ows4R R packages,20000,Emmanuel Blondel,"The project aims to strengthen the role of R in support of Spatial Data Infrastructures (SDI) management, through major enhancements of the geometa R package which offers tools for reading and writing ISO/OGC geographic metadata, including ISO 19115, 19110, and 19119 through the ISO 19139 XML format. This also extends to the Geographic Markup Language (GML - ISO 19136) used for describing geographic data. The use of geometa in combination with publication tools such as ows4R ( https://cran.r-project.org/package=ows4R ) and geosapi (https://cran.r-project.org/package=geosapi) fosters the use of R software to ease the management and publication of metadata documents and related datasets in web catalogues, and then allows to move forward with a real R implementation of spatial data management plans based on FAIR (Findable, Accessible Interoperable and Reusable) principles.
The workplan includes several activities such as working on the completeness of the ISO 19115 (ISO 19115-1 and 19115-2) data model in geometa, functions to read/write multilingual metadata documents, and an increased metadata validation capability with a validator targeting the EU INSPIRE directive. Finally, functions will be made available to convert between geometa ISO/OGC metadata objects and other known metadata objects such as NetCDF-CF and EML (Ecological Metadata Language) to foster metadata interoperability. By providing these R tools, we seek to facilitate the work of spatial data (GIS) managers, but also data scientists, whatever the thematic domain, whose daily tasks consist in handling data, describing them with metadata and publishing datasets.",NA
2018,2,Symbolic Formulae for Linear Mixed Models,6000,Emi Tanaka,"Symbolic model formulae define the structural component of a statistical model in an easier and often more accessible terms for practitioners. The earlier instance of symbolic model formulae for linear models was applied in Genstat with further generalisation by Wilkinson and Rogers (1973). Chambers and Hastie (1993) describe the symbolic model formulae implementation for linear models in the S language which remains much the same in the R language (Venables et al. 2018).
Linear mixed models (LMMs) are widely used across many disciplines (e.g. ecology, psychology, agriculture, finance etc) due to its flexibility to model complex, correlated structures in the data. While the symbolic formula of linear models generally have a consistent representation and evaluation rule as implemented in stats::formula, this is not the case for LMMs. The inconsistency of symbolic formulae arises mainly in the representation of random effects, with the additional need to specify the variance-covariance structure of the random effects as well as structure of the associated model matrix that governs how the random effects are mapped to (groups of) the observational units. The differences give rise to confusion of equivalent model specification in different R-packages.
The lack of consistency in symbolic formula and model representation across mixed model software motivates the need to formulate a unified symbolic model formulae for LMMs with: (1) extension of the evaluation rules described in Wilkinson and Rogers (1973); and (2) ease of comprehension of the specified model for the user. This symbolic model formulae can be a basis for creating a common API to mixed models with wrappers to popular mixed model R-packages, thereby achieving a similar feat to parsnip R-package (Kuhn 2018) which implements a tidy unified interface to many predictive modelling functions (e.g. random forest, logistic regression, survival models etc).
We would like to find out what are your experiences with fitting linear mixed model in R! Please fill out the survey below to help us understand your problems: https://docs.google.com/forms/d/e/1FAIpQLSeblEoPtDmPS-dH2dmsHjLxLuKl19UY1JdmTrZux-AUSq3N7Q/viewform?usp=sf_link",NA
2018,2,serveRless,10000,"Christoph Bodner, Florian Schwendinger, Thomas Laber","R is a great language for rapid prototyping and experimentation, but putting an R model in production is still more complex and time-consuming than it needs to be. With the growing popularity of serverless computing frameworks such as AWS Lambda and Azure Functions we see a a huge chance to allow R developers to more easily deploy their code into production. We want to build an R package called 'serverless' to allow R users to easily deploy scripts and custom R packages to AWS Lambda and in a second step to Azure Functions. Our main goal is to build a user-friendly cloud agnostic wrapper that can be extended to include additional cloud providers later on. We want to build on the work already done for deploying R functions to AWS Lambda by Philipp Schirmer and on the work already done by Neal Fultz and Gergely Daróczi on a gRPC client/server for R, which is necessary for Azure Functions. If you like our idea and want to help us, feel free to reach out to us on Github at https://github.com/harlecin/serverless
Best,
Christoph, Florian and Thomas",https://github.com/harlecin/serverless
2018,1,A unified platform for missing values methods and workflows,14000,Julie Josse,"The objective is to create a reference platform on the theme of missing data management and to federate contributors. This platform will be the occasion to list the existing packages, the available literature as well as the tutorials that allow to analyze data with missing data. New work on the subject can be easily integrated and we will create examples of analysis workflows with missing data. Anyone who would like to contribute to this exciting project can contact us.",https://cran.r-project.org/web/views/MissingData.html
2018,1,Developing Tools and Templates for Teaching Materials,10000,François Michonneau,"The first-class implementation of literate programming in R is one of the reasons for its success. While the seamless integration of code and text made possible by Sweave, knitr, and rmarkdown was designed for writing reproducible reports and documentation, it has also enabled the creation of teaching materials that combine text, code examples, exercises and solutions. However, while people creating lessons in RMarkdown are familiar with R, they often do not have a background in education or UX design. Therefore, they must not only assemble curriculum, but also find a way to present the content effectively and accessibly to both learners and instructors. As the model of open source development is being adapted to the creation of open educational resources, the difficulty to share materials due to a lack of consistency in their construction hinders the collaborative development of these resources.
This project will develop an R package that will facilitate the development of consistent teaching resources. It will encourage the use of tools and lesson structure that support and improve learning. By providing the technical framework for developing quality teaching materials, we seek to encourage collaborative lesson development by letting authors focus on the content rather than the formatting, while providing a more consistent experience for the learners.",https://datacarpentry.org/R-ecology-lesson/ and http://swcarpentry.github.io/r-novice-gapminder/
2018,1,Maintaining DBI,26500,Kirill Müller,"DBI, R's database interface, is a set of methods declared in the DBI R package. Communication with the database is implemented by DBI backends, packages that import DBI and implement its methods. A common interface is helpful for both users and backend implementers.
The ""Maintaining DBI"" is a follow-up project to two previous projects supported by the R Consortium, and is mostly about providing ongoing maintenance and support for DBI, the DBItest test suite, and the three backends to open-source databases (RSQLite, RMariaDB and RPostgres) that have been implemented as part of the previous projects.",https://dbi.r-dbi.org/
2018,1,Ongoing infrastructural development for R on Windows and MacOS,62400,Jeroen Ooms,"The majority of R users rely on precompiled installers and binary packages for Windows and MacOS that are made available through CRAN. This project seeks to improve and maintain tools for providing such binaries, and relieve some of the dependence on CRAN maintainers and R-core members for doing so. On Windows we will upgrade the Rtools compiler toolchain, and provide up-to-date Windows builds for the many external C/C++ libraries used by CRAN packages. For MacOS we will expand the r-hub ""homebrew-cran"" tap with formulas that are needed by CRAN packages but not available from upstream homebrew-core. Eventually we want to lay the foundation for a reproducible build system that is low maintenance, automated as much as possible, and which could be used by CRAN and other R package repositories.",https://github.com/r-hub/homebrew-cran#how-to-use
2018,1,PSI application for collaboration to create online R package validation repository,4000,Lyn Taylor (on behalf of PSI AIMS SIG),"The documentation available for R packages currently widely varies. The Statisticians in the Pharmaceutical Industry (PSI) Application and Implementation of Methodologies in Statistics (AIMS) Special Interest Group (SIG) will collaborate with the R-Consortium and representatives from pharmaceutical companies on the setting up of an online repository /web portal, where validation which is of regulatory standard for R packages can be submitted and stored for free use. Companies (or individual R users) would still be liable to make their own assessment on whether the validation is suitable for their own use, however the online repository would serve as a portal for sharing existing regulatory standard validation documentation.",https://www.pharmar.org/
2018,1,Proposal to Create an R Consortium Working Group Focused on US Census Data,4000,Ari Lamstein,"The Proposal to Create an R Consortium Working Group Focused on US Census Data aims to make life easier for R programmers who work with data from the US Census Bureau. It will create a working group where R users working with census data can cooperate under the guidance of the Census Bureau. Additionally, it will publish a guide to working with Census data in R that aims to help R programmers a) select packages that meet their needs and b) navigate the various data sets that the Census Bureau publishes.",https://github.com/RConsortium/censusguide
2018,1,histoRicalg -- Preserving and Transfering Algorithmic Knowledge,772,John C Nash,"Many of the algorithms making up the numerical building-blocks of R were developed several decades ago, particularly in Fortran. Some were translated into C for use by R. Only a modest proportion of R users today are fluent in these languages, and many original authors are no longer active. Yet some of these codes may have bugs or need adjustment for new system capabilities. The histoRicalg project aims to document and test such codes that are still part of R, possibly creating all-R reference codes, hopefully by teaming older and younger workers so knowledge can be shared for the future. Our initial task is to establish a ***Working Group on Algorithms Used in R*** and add material to a website/wiki currently at https://gitlab.com/nashjc/histoRicalg. Interested workers are invited to contact John Nash.",https://gitlab.com/nashjc/histoRicalg
2017,2,An Earth data processing backend for testing and evaluating stars,5000,Edzer Pebesma,"The stars project enables the processing Earth imagery data that is held on servers, without the need to download it to local hard driver. This project will (i) create software to run a back-end, (ii) develop scripts and tutorials that explain how such a data server and processing backend can be set up, and (iii) create an instance of such a backend in the AWS cloud that can be used for testing and evaluation purposes.",https://r-spatial.github.io/stars/
2017,2,Future Minimal API: Specification with Backend Conformance Test Suite,10000,Henrik Bengtsson,The objective of the Future Framework implemented in the future package is to simplify how parallel and distributed processing is conducted in R. This project aims to provide a formal Future API specification and provide a test framework for validating the conformance of existing (e.g. future.batchtools and future.callr) and to-come third-party parallel backends to the Future framework.,https://github.com/HenrikBengtsson/
2017,2,Quantities for R,10000,Inaki Ucar,"The 'units' package has become the reference for quantity calculus in R, with a wide and welcoming response from the R community. Along the same lines, the 'errors' package integrates and automatises error propagation and printing for R vectors. A significant fraction of R users, both practitioners and researchers, use R to analyse measurements, and would benefit from a joint processing of quantity values with errors.
This project not only aims at orchestrating units and errors in a new data type, but will also extend the existing frameworks (compatibility with base R as well as other frameworks such as the tidyverse) and standardise how to import/export data with units and errors.",https://github.com/r-quantities/quantities and https://www.r-spatial.org/r/2018/08/31/quantities-final.html
2017,2,Refactoring and updating the SWIG R module,10000,Richard Beare,"The Simplified Wrapper and Interface Generator (SWIG) is a tool for automatically generating interface code between interpreters, including R, and a C or C++ library. The R module needs to be updated to support modern developments in R and the rest of SWIG. This project aims to make the R module conform to the recommended SWIG standards and thus ensure that there is support for R in the future. We hope that this project will be the first step in allowing SWIG generated R code using reference classes.",https://github.com/richardbeare/RConsortiumSwig
2017,1,Adding Linux Binary Builders to CRAN,15000,Dirk Eddelbuettel,"This project proposes to take the creation of binary Linux packages to the next level by providing R-Hub and eventually CRAN with the ability to deliver directly installable binary packages with properly-resolved dependencies. This will allow large-scale automated use of CRAN packages anywhere: laptops, desktops, servers, cluster farms and cloud-based deployments. The project would like to hear from anyone who could possibly host a dedicated server in a rack for long term use.",NA
2017,1,An infrastructure for building R packages on MacOS Abstract with homebrew,12000,Jeroen Ooms,"When installing CRAN packages, Windows and MacOS users often rely on binary packages that contain precompiled source code and any required external C/C++ libraries. By eliminating the need to setup a full compiler environment or manage external libraries this tremendously improves the usability of R on these platforms. Our project will improve the system by adapting the popular homebrew system to facilitate static linking of external libraries",NA
2017,1,Conference Management System for R Consortium Supported Conferences,32000,Heather Turner,"This project will evaluate a number of open source conference management systems to assess their suitability for use with useR! and satRdays. Test versions of these systems will be set up to test their functionality and ease of use for all roles (systems administrator, local organizer, program chair, reviewer, conference participant). A system will be selected and a production system set up, with a view to be ready for useR! 2018 and future satRdays events.",https://github.com/satrdays
2017,1,Continued Development of the R API for Distributed Computing,15000,Michael Lawrence,"The ISC's Distributed Computing Working Group explores ways of enabling distributed computing in R. One of its outputs, the CRAN package ddR, defines an idiomatic API that abstracts different distributed computing engines, such as DistributedR and potentially Spark and TensorFlow. The goal of the project is to enable R users to interact with familiar data structures and write code that is portable across distributed systems. The working group will use this R Consortium grant to fund an internship to help improve ddR and implement support for one or more additional backends. Please contact Michael Lawrence to apply or request additional information.",https://wiki.r-consortium.org/view/Distributed_Computing_Working_Group and https://github.com/vertica/ddR/wiki/Design
2017,1,Establishing DBI,26500,Kirill Müller,"Getting data in and out of R is an important part of a statistician's or data scientist's work. If the data reside in a database, this is best done with a backend to DBI, R's native DataBase Interface. The ongoing ""Improving DBI"" project supports the specification of DBI, both in prose and as an automated test, and also the adaptation of the `RSQLite` package to these specs. This follow-up project aims at implementing modern, fully spec-compliant DBI backends to two major open-source RDBMS, MySQL/MariaDB and PostgreSQL.",https://dbi.r-dbi.org/
2017,1,Forwards Workshops for Women and Girls,25000,Dianne Cook,"The proportion of female package authors and maintainers has remained persistently low, at best at 15%, despite 20 years of the R project's existence. This project will conduct a grassroots effort to increase the participation of women in the R community. One day package development workshops for women engaged in research will be held in Melbourne, Australia and Auckland, New Zealand in 2017, and at locations yet to be determined in the USA and Europe in 2018. Additionally, one day workshops for teenage girls focused on building Shiny apps will be developed to encourage an interest in programming. These will be rolled out in the same locations as the women's workshops. All materials developed will be made available under a Creative Commons share-alike license on the Forwards website (http://forwards.github.io).",https://forwards.github.io/edu/workshops/
2017,1,Joint profiling of native and R code,11000,Kirill Müller,"R has excellent facilities for profiling R code: the main entry point is the [`Rprof()`](https://www.rdocumentation.org/packages/utils/versions/3.3.2/topics/Rprof) function that starts an execution mode where the R call stack is sampled periodically, optionally at source line level, and written to a file. Profiling results can be analyzed with `summaryRprof()`, or visualized using the `profvis`, `aprof`, or `GUIProfiler` packages. However, the execution time of native code is only available in bulk, without detailed source information. This project aims at bridging this gap with a drop-in replacement to `Rprof()` that records call stacks and memory usage information at both R and native levels, and later commingles them to present a unified view to the user.",https://github.com/krlmlr/profile and https://cran.r-project.org/web/packages/profile/index.html
2017,1,School of Data Material Development,11200,Heidi Seibold,"School of Data is a network of data literacy practitioners, both organizations and individuals, implementing training and other data literacy activities in their respective countries and regions. Members of School of Data work to empower civil society organizations (CSOs), journalists, civil servants and citizens with the skills they need to use data effectively in their efforts to create better, more equitable and more sustainable societies Our R consortium will develop learning materials about R for journalists, with a focus on making them accessible and relevant to journalists from various countries. As a consequence, our content will use country-relevant examples and will be translated in several languages (English, French, Spanish, German).",NA
2017,1,"stars: Scalable, spatiotemporal tidy arrays for R",10000,Edzer Pebesma,"Spatiotemporal and raster data often come as dense, two-dimensional arrays while remote sensing and climate model data are often presented as higher dimensional arrays. Data sets of this kind often do not fit in main memory. This project will make it easier to handle such data with R by using dplyr-style, pipe-based workflows, and also consider the case where the data reside remotely, in a cloud environment. Questions and offers to support are welcome through issues at: https://github.com/edzer/stars",https://cran.r-project.org/web/packages/stars/index.html
2016,2,Interactive data manipulation in mapview,9100,Tim Appelhans,"The ISC awarded $9,100 to Tim Appelhans, Florian Detsch and Christoph Reudenbach the authors of the Interactive data manipulation in mapview project which aims to extend the capabilities of R for visualizing geospatial data by implementing a two-way data exchange mechanism between R and JavaScript. The central idea is to extend the capabilities of existing tools to enhance the user experience of interactively working with geospatial data by implementing mechanisms for two way data transfer. For example, although htmlwidgets has proven itself to be a powerful framework for enabling interactive, JavaScript based data visualizations, data flow from R to Javascript runs on a one-way street. There is currently no way to pass manipulated data back into the user's R environment. This project aims to first develop a general framework to provide a bridge between htmlwidgets and R to enable a workflow of R -> htmlwidgets -> R and then to use this framework to implement standard interactive spatial data manipulation tools for packages mapview and leaflet. The plan section of the project proposal provides considerable detail on the steps required to achieve the project's goals.",https://github.com/environmentalinformatics-marburg/mapview_toolchain and https://cran.r-project.org/package=mapview
2016,2,R Documentation Task Force,10000,Andrew Redd,"Andrew Redd received $10,000 to lead a new ISC working group, The R Documentation Task Force, which has a mission to design and build the next generation R documentation system. The task force will identify issues with documentation that currently exist, abstract the current Rd system into an R compatible structure, and extend this structure to include new considerations that were not concerns when the Rd system was first implemented. The goal of the project is to create a system that allows for documentation to exist as objects that can be manipulated inside R. This will make the process of creating R documentation much more flexible enabling new capabilities such as porting documentation from other languages or creating inline comments. The new capabilities will add rigor to the documentation process and enable the the system to operate more efficiently than any current methods allow.",https://github.com/RDocTaskForce/documentation
2016,1,A unified framework for Distributed Computing in R,10000,Michael Lawrence,"Many Big Data platforms expose R-based interfaces that lack standardization and are therefore difficult to learn. This project will develop a common framework to simplify and standardize how users program distributed applications in R, ultimately reducing duplication of effort.",https://github.com/RConsortium/Distributed-Computing-WG
2016,1,Improving DBI,26500,Kirill Müller,"Database access is an important cornerstone of the R ecosystem, but today's specifications – data type transformation, return values, error conditions – remain vague and result in data analysis errors. This project aims to improve database access in R so that porting code is simplified and less prone to error.",https://dbi.r-dbi.org/
2016,1,R Implimentation Optimization Tooling (RIOT) Workshops,10000,Mark Hornick,"RIOT 2016 is a one-day workshop to unite R language developers, identify R language development and tooling opportunities, increase involvement of the R user community and more.",https://riotworkshop.github.io/
2016,1,RL10N: R Localization Proposal,10000,Richard Cotton,"Although the R language is used globally, very few R packages are available in languages other than English. The RL10N project will make it easier for R developers to include translations in their own packages.",https://github.com/RL10N/RL10N and https://libraries.io/github/RL10N
2016,1,SatRDays,10000,Stephanie Locke,"“SatRDays” are community-led, regional conferences to support collaboration, networking and innovation within the R community. Initially three events will be hosted, with plans for additional meet-ups as the R user base grows.",https://github.com/satrdays
2016,1,Simple Features for R,10000,Edzer Pebesma,"Using the “Simple Features” standard supported by the Open Geospatial Consortium and the International Organization for Standardization, this tool will simplify analysis on modern geospatial data.",https://github.com/r-spatial/sf/
2016,1,Software Carpentry R Instructor Training,10000,Laurent Gatto,This two-day in-person training course will introduce the basics of R programming and address the growing demand for training resources for the R language.,NA
