year,events,subject,country,state,era
1849,The California Gold Rush begins. Eventually four thousand African Americans will migrate to California during this period.,Free Blacks in Antebellum America,United States,California,1801-1900
1849,Harriett Tubman escapes from slavery and begins her efforts to rescue enslaved people.,Resistance to Enslavement,United States,Maryland,1801-1900
1849,"On December 4, Benjamin Roberts files a school desegregation lawsuit on behalf of his daughter, Sarah, who is denied admission to a Boston school. The lawsuit is unsuccessful.",Black Education,United States,Massachusetts,1801-1900
1850,"Census of 1850, U.S. Population: 23,191,876, Black Population: 3,638,808 (15.7 percent) including 433,807 free African Americans.",Black Population,United States,District of Columbia,1801-1900
1850,"The Compromise of 1850 revisits the issue of slavery. California enters the Union as a free state, but the territories of New Mexico and Utah are allowed to decide whether they will enter the Union as slave or free states. The 1850 Compromise also allowed passage of a much stricter Fugitive Slave Law.",The Slavery Contoversy,The United States,District of Columbia,1801-1900
1850,"On August 27, Lucy Stanton of Cleveland completes the course requirements for Oberlin Collegiate Institute (now Oberlin College) and becomes the first African American woman to graduate from an American college or university.",Black Education,United States,Ohio,1801-1900
1850,"The American League of Colored Workers, formed in New York City, is the first African American labor union in the United States.",Black Labor,United States,New York,1801-1900
1851,"Sojourner Truth delivers her famous ""Aren't I a Woman"" speech at the Women's Rights Convention, Akron, Ohio on May 29.",The Abolition Movement,United States,Ohio,1801-1900
1852,"Harriet Beecher Stowe publishes her novel, Uncle Tom's Cabin, which becomes a best selling book and a major influence on the Anti-Slavery Movement.",The Abolition Movement,United States,New York,1801-1900
1852,"Martin R. Delany publishes The Condition, Elevation, Emigration and Destiny of the Colored People of the United States.",Free Blacks in Antebellum America,United States,New York,1801-1900
1852,"The Jackson Street Hospital in Augusta, Georgia is established as the second medical facility dedicated solely to the care of African American patients.",Health and Medicine,United States,Georgia,1801-1900
1853,Elizabeth Taylor Greenfield (the Black Swan) debuts at the Metropolitan Opera in New York City and performs before Queen Victoria at Buckingham Palace a year later.,Black Entertainment,United States,New York,1801-1900
1853,"William Wells Brown of Buffalo, New York, becomes the first African American novelist when he publishes Clotel, or the President's Daughter.  The novel is published in England, however and thus he is not considered the first published black novelist in the United States. ",Art and Literature,United States,New York,1801-1900
1854,"On May 24, Virginia fugitive slave Anthony Burns is captured in Boston and returned to slavery under the provisions of the Fugitive Slave Act. Fifty thousand Boston residents watch his transport through the streets of the city in shackles. A Boston church raises $1,500 to purchase his freedom and Burns returns to the city in 1855, a free man.",Resistance to Enslavement,United States,Massachusetts,1801-1900
1854,"On May 30, the Kansas-Nebraska Act is passed by Congress. The Act repeals the Missouri Compromise and permits the admission of Kansas and Nebraska Territories to the Union after their populations decide on slavery.",The Slavery Controversy,United States,District of Columbia,1801-1900
1854,"The Republican Party is formed in Jackson, Michigan in the summer in opposition to the extension of slavery into the western territories.",The Slavery Controversy,United States,Michigan,1801-1900
1854,"Bleeding Kansas is an outgrowth of the controversy over the Kansas-Nebraska Act. Between 1854 and 1858 armed groups of pro- and anti-slavery factions often funded and sponsored by organizations in the North and South, compete for control of Kansas Territory, initiating waves of violence that killed 55 people. Bleeding Kansas was seen as a preview of the U.S. Civil War.",The Slavery Controversy,United States,Kansas,1801-1900
1854,"On October 13, Ashmun Institute, the first institution of higher learning for young black men, is founded by John Miller Dickey and his wife, Sarah Emlen Cresson. In 1866 it is renamed Lincoln University (Pa.) after President Abraham Lincoln",Black Education,United States,Pennsylvania,1801-1900
1854,"James A. Healy is ordained in France as the first black Jesuit priest. He becomes Bishop of Portland, Maine in 1875, a diocese that includes all of Maine and New Hampshire, and holds that post for 25 years.",19th Century Black Religion,United States,Maine,1801-1900
1855,The Massachusetts Legislature outlaws racially segregated schools.,Black Education,United States,Massachusetts,1801-1900
1855,"William C. Nell of Boston publishes The Colored Patriots of the American Revolution, considered the first history of African Americans.",Art and Literature,United States,Massachusetts,1801-1900
1855,"In November, John Mercer Langston is elected town clerk of Brownhelm Township, Ohio, becoming the first black elected official in the state of Ohio.",Black Politics,United States,Ohio,1801-1900
1855,Frederick Douglass is nominated by the Liberty Party of New York for the office of secretary of state. He is the first black candidate in any state to be nominated for a statewide office.,Black Politics,United States,New York,1801-1900
1856,Wilberforce University becomes the first school of higher learning owned and operated by African Americans. It is founded by the African Methodist Episcopal Church. Bishop Daniel A. Payne becomes the institution's first president.,Black Education,United States,Ohio,1801-1900
1857,"On March 6, the Dred Scott Decision is handed down by the U.S. Supreme Court.",Major Judicial Decisions,United States,District of Columbia,1801-1900
1858,Arkansas enslaves free blacks who refuse to leave the state.,Antebellum Slavery,United States,Arkansas,1801-1900
1859,"On October 16, John Brown leads twenty men, including five African Americans (John Copeland, Shields Green, Lewis S. Leary, Dangerfield Newby, and Osborne Anderson), in an unsuccessful attempt to seize the Federal Armory at Harpers Ferry, Virginia (now West Virginia) to inspire a servile insurrection.",Resistance to Enslavement,United States,West Virginia,1801-1900
1859,"Harriett Wilson of Milford, New Hampshire publishes Our Nig; or Sketches from the Life of a Free Black, the first novel by an African American woman.",Art and Literature,United States,New Hampshire,1801-1900
1860,"Census of 1860, U.S. Population: 31,443,321, Black Population: 4,441,830 (14.1 percent) including 488,070 free African Americans.",Black Population,United States,District of Columbia,1801-1900
1860,"On November 6, Abraham Lincoln is elected president.",The Civil War,United States,District of Columbia,1801-1900
1860,"On December 20, South Carolina secedes from the Union.",The Civil War,United States,South Carolina,1801-1900
1861,Congress passes the First Confiscation Act which prevents Confederate slave owners from reenslaving runaways.,African Americans and the Civil War,United States,District of Columbia,1801-1900
1861,"On May 2, black men in New Orleans organize the First Louisiana Native Guard of the Confederate Army. In doing so they create the first and only military unit of black officers and enlisted men to pledge to fight for Southern independence. By February 1862, after New Orleans is occupied by Union forces, the Louisiana Native Guard becomes a military unit in the United States Army.",Black Soldiers in the Civil War,United States,Louisiana,1801-1900
1861,"By February, Mississippi, Florida, Alabama, Georgia, Louisiana and Texas secede. They form the Confederate States of America on March 4. After the firing on Fort Sumter near Charleston, South Carolina on April 12, Virginia, Arkansas, Tennessee and North Carolina secede.",The Civil War,United States,n.a.,1801-1900
1861-1865,"The Civil War. Approximately 200,000 blacks (most are newly escaped/freed slaves) serve in Union armed forces and over 20,000 are killed in combat.",African Americans in the Civil War,United States,n.a.,1801-1900
1862,The Port Royal (South Carolina) Reconstruction Experiment begins in March.,African Americans in the Civil War,United States,South Carolina,1801-1900
1862,"On April 16, Congress abolishes slavery in the District of Columbia.",Emancipation,United States,District of Columbia,1801-1900
1862,"In May the coastal pilot Robert Smalls escapes Charleston, South Carolina with The Planter, a Confederate vessel and sixteen enslaved people.",African Americans in the Civil War,United States,South Carolina,1801-1900
1862,Congress permits the enlistment of African American soldiers in the U.S. Army on July 17.,African Americans in the Military,United States,District of Columbia,1801-1900
1862,"With the southern states absent from Congress, the body recognizes Haiti and Liberia, marking the first time diplomatic relations are established with predominately black nations.",African Americans in the Civil War,United States,District of Columbia,1801-1900
1862,"On September 22, President Abraham Lincoln issues the Emancipation Proclamationand announces that it will go into effect on July 1, 1863 if the states then in rebellion have not by that point returned to the Union.",Emancipation,United States,District of Columbia,1801-1900
1862,Educator Mary Jane Patterson is generally recognized as the first African American woman to receive a B.A. degree when she graduated from Oberlin College in 1862.  Lucy Stanton Day Sessions graduated from Oberlin twelve years earlier but was not in a program that awarded official bachelor's degrees.,Black Education,United States,Ohio,1801-1900
1863,"Abraham Lincoln's Emancipation Proclamation takes effect on January 1, legally freeing slaves in areas of the South still in rebellion against the United States.",Emancipation,United States,District of Columbia,1801-1900
1863,"The New York City draft riots erupt on July 13 and continue for four days, during which at least 100 of the city's residents are killed. This remains the highest death toll in any urban conflict in the 19th or 20th Centuries.",Racial Violence,United States,New York,1801-1900
1863,"On July 18, the Fifty-Fourth Massachusetts Volunteers, the first officially recognized all-black military unit in the Union army, assaults Fort Wagner in Charleston, South Carolina in an unsuccessful effort to take the fortification. Sergeant William H. Carney becomes the first African American to receive the Congressional Medal of Honor for bravery under fire.",African Americans in the Military,United States,South Carolina,1801-1900
1863,"Robert Smalls of Charleston, South Carolina, is the first and only African American to be commissioned a captain in the U.S. Navy during the Civil War.",Black Soldiers in the Civil War,United States,South Carolina,1801-1900
1863,Susie King Taylor of Savannah is the first black Army nurse in U.S. history.,Health and Medicine,United States,Georgia,1801-1900
1864,The Fort Pillow Massacre takes place in West Tennessee on April 12. Approximately 300 of the 585 soldiers of the Union garrison at Fort Pillow are killed including many after the Union forces surrender. Only 14 Confederate soldiers die in the battle.,Afrrican Americans in the Military,United States,Tennessee,1801-1900
1864,In June Dr. Rebecca Lee Crumpler of Boston is the first African American woman to earn a medical degree when she graduates from the New England Female Medical College in Boston.,Health and Medicine,United States,Massachusetts,1801-1900
1864,"On June 15, Congress passed a bill authorizing equal pay, equipment, arms, and health care for African American troops in the Union Army.",African Americans in the Military,United States,District of Columbia,1801-1900
1864,"On October 4, La Tribune de la Nouvelle Orleans (the New Orleans Tribune) begins publication. The Tribune is the first black-owned daily newspaper.",The Black Press,United States,Louisiana,1801-1900
1865,"On February 1, 1865, Abraham Lincoln signs the 13th Amendment to the U.S. Constitution outlawing slavery throughout the United States.",Reconstruction Amendments,United States,District of Columbia,1801-1900
1865,"On March 3, Congress established the Freedmen's Bureau to provide health care, education, and technical assistance to emancipated slaves. Congress also charters the Freedman's Bank to promote savings and thrift among the ex-slaves.",African Americans and Reconstruction,United States,District of Columbia,1801-1900
1865,"Confederate General Robert E. Lee surrenders to Union General Ulysses S. Grant on April 9 at Appomattox Court House, Virginia, effectively ending the Civil War.",The Civil War,United States,Virginia,1801-1900
1865,"On April 15, President Abraham Lincoln is assassinated by John Wilkes Booth in Washington, D.C.",Political Assassinations,United States,District of Columbia,1801-1900
1865,"On June 19, enslaved African Americans in Texas finally receive news of their emancipation. From that point they commemorate that day as Juneteenth.",Emancipation,United States,Texas,1801-1900
1865,"Between September and November, a number of ex-Confederate states pass so called Black Codes.",Jim Crow Legislation,United States,n.a.,1801-1900
1865,"The Ku Klux Klan is formed on December 24th in Pulaski, Tennessee by six educated, middle class former Confederate veterans.  The Klan soon adopts terror tactics to thwart the aspirations of the formerly enslaved and their supporters.",African Americans and Reconstruction,United States,Tennessee,1801-1900
1865,"Twenty thousand African American troops are among the 32,000 U.S. soldiers sent to the Rio Grande as a show of force against Emperor Maximilian's French troops occupying Mexico. Some discharged black soldiers join the forces of Mexican resistance leader Benito Juarez.",African Americans and the Military,United States,Texas,1801-1900
1865,John S. Rock is the first African American to argue a case before the U.S. Supreme Court.,The Legal System,United States,District of Columbia,1801-1900
1865,Martin R. Delany's appointment as Major by President Abraham Lincoln makes him the highest ranking African American officer during the Civil War.,Black Soldiers in the Civil War,United States,District of Columbia,1801-1900
1865,"On January 16, General William T. Sherman issues Special Field Order No. 15 which gives 400,000 acres of abandoned coastal land in South Carolina, Georgia, and Florida to formerly enslaved people.  This order becomes the basis for subsequent ""40 acres and a mule"" demands by former slaves and their supporters.",Reconstruction,United States,South Carolina,1801-1900
1865,"With the approval of the Georgia Legislature on December 6, the 13th Amendmenttook effect and outlawed slavery throughout the United States and its possessions.",Reconstruction Amendments,United States,Georgia,1801-1900
1866,"Fisk University is founded in Nashville, Tennessee on January 9.",Black Education,United States,Tennessee,1801-1900
1866,"On April 9, Congress overrides President Andrew Johnson's veto to enact the Civil Rights Act of 1866. The act confers citizenship upon black Americans and guarantees equal rights with whites.",African Americans and Reconstruction,United States,District of Columbia,1801-1900
1866,"On May 1-3, white civilians and police in Memphis, Tennessee kill forty-six African Americans and injure many more, burning ninety houses, twelve schools, and four churches in what will be known as the Memphis Massacre.",Racial Violence,United States,Tennessee,1801-1900
1866,"On June 13, Congress approves the Fourteenth Amendment to the Constitution, guaranteeing due process and equal protection under the law to all citizens. The amendment also grants citizenship to African Americans.",African Americans and Reconstruction,United States,District of Columbia,1801-1900
1866,"Congress authorizes the creation of four all-black regiments in the United States Army. Two cavalry regiments, the 9th and 10th and two infantry regiments, the 24th and 25th will become the first and only units in which black soldiers can serve until the Spanish American War. They will be known as Buffalo Soldiers.",African Americans and the Military,United States,District of Columbia,1801-1900
1866,"Police in New Orleans supporting the Democratic Mayor storm a Republican meeting of blacks and whites on July 30, killing 34 black and 3 white Republicans. Over 150 people are injured in the attack.",Racial Violence,United States,Louisiana,1801-1900
1867,"On January 8, overriding President Andrew Johnson's veto, Congress grants the black citizens of the District of Columbia the right to vote. Two days later it passes the Territorial Suffrage Act which allows African Americans in the western territories to vote.",African Americans and Reconstruction,United States,District of Columbia,1801-1900
1867,Morehouse College is founded in Atlanta on February 14.,Black Education,United States,Georgia,1801-1900
1867,"The Reconstruction Acts are passed by Congress on March 2. Congress divides ten of the eleven ex-Confederate states into military districts. These acts also reorganize post-war Southern governments, disfranchising former high ranking Confederates and enfranchising former slaves in the South.",African Americans and Reconstruction,United States,District of Columbia,1801-1900
1867,"On March 2, Howard University is chartered by Congress in Washington, D.C. The institution is named after General Oliver O. Howard who heads the Freedman's Bureau.",Black Education,United States,District of Columbia,1801-1900
1868,"On July 21, the Fourteenth Amendment to the Constitution is ratified, granting citizenship to any person born or naturalized in the United States.",Reconstruction Amendments,United States,District of Columbia,1801-1900
1868,"Opelousas, Louisiana is the site of the Opelousas Massacre on September 28, in which an estimated 200 to 300 black Americans are killed by whites opposed to Reconstruction and African American voting.",Racial Violence,United States,Louisiana,1801-1900
1868,"On November 3, Civil War general Ulysses S. Grant (Republican) is elected president.",Reconstruction,United States,District of Columbia,1801-1900
1868,"On November 3, John Willis Menard is elected to Congress from Louisiana's Second Congressional District. Menard is the first African American elected to Congress. However, neither he nor his opponent will be seated due to disputed election results.",Black Politics,United States,Louisiana,1801-1900
1868,Howard University Medical School opens on November 9. It is the first medical school in the United States established for the training of African American doctors.,Health and Medicine,United States,District of Columbia,1801-1900
1869,"On February 26, Congress sends the Fifteenth Amendment to the Constitution to the states for approval. The amendment guarantees African American males the right to vote.",Civil Rights Legislation,United States,District of Columbia,1801-1900
1869,"On April 6, Ebenezer Don Carlos Bassett is appointed minister to Haiti. He is the first black American diplomat and presidential appointee.",Presidential Appointments,United States,District of Columbia,1801-1900
1869,Isaac Myers organizes the Colored National Labor Union in Baltimore.,Black Labor,United States,Maryland,1801-1900
1869,George Lewis Ruffin is the first African American to receive a law degree from any institution when he graduates from Harvard Law School.,The Legal System,United States,Massachusetts,1801-1900
1870,"Census of 1870, U.S. population: 39,818,449, Black population: 4,880,009 (12.7 percent)",Black Population,United States,District of Columbia,1801-1900
1870,"Hiram R. Revels (Republican) of Mississippi takes his seat in the U.S. Senate on February 25. He is the first black United States senator, though he serves only one year, completing the unexpired term of Jefferson Davis.",Black Politics,United States,Mississippi,1801-1900
1870,The Fifteenth Amendment to the Constitution is ratified on March 30.,Reconstruction Amendments,United States,District of Columbia,1801-1900
1870,In June Richard T. Greener becomes the first African American undergraduate to graduate from Harvard University.,Black Education,United States,Massachusetts,1801-1900
1870,"The Preparatory High School for Colored Youth opens in Washington, D.C. It is the first public high school for African Americans in the nation. The institution is later named the M Street High School and finally Dunbar High School in honor of Paul Lawrence Dunbar.",Black Education,United States,District of Columbia,1801-1900
1871,In February Congress passes the Civil Rights Act of 1871 popularly known as the Ku Klux Klan Act.,Civil Rights Legislation,United States,District of Columbia,1801-1900
1871,"On October 6, Fisk University's Jubilee Singers begin their first national tour. The Jubilee Singers become world-famous singers of black spirituals, performing before the Queen of England and the Emperor of Japan. The money they earn finances the construction of Jubilee Hall on the Fisk University campus.",Black Entertainment,United States,Tennessee,1801-1900
1871,"George Washington, an early black settler in Washington Territory becomes the first African American to found a predominately white town when he establishes Centerville, later Centralia, Washington.",Municipal Affairs,United States,Washington,1801-1900
1872,Lt. Governor Pinckney Benton Stewart Pinchback of Louisiana serves as governor of the state for one month from December 1872 to January 1873. He is the first African American to hold that position.,Black Politics,United States,Louisiana,1801-1900
1872,"Charlotte Ray of Washington, D.C. is the first African American woman and only the third woman admitted to the bar to practice law in the U.S.",The Legal System,United States,District of Columbia,1801-1900
1873,The 43rd Congress has seven black members.,Black Politics,United States,District of Columbia,1801-1900
1873,"On April 14, the U.S Supreme Court in the Slaughterhouse Cases rules that the due process clause of the 14th Amendment protects national, not state, citizenship.",Major Judicial Decisions,United States,District of Columbia,1801-1900
1873,Bishop Patrick Healy serves as President of Georgetown University from 1873 to 1881. He is the first African American to preside over a predominately white university.,Black Education,United States,District of Columbia,1801-1900
1873,On Easter Sunday more than 100 African Americans were killed in northwest Louisiana while defending Republicans in local office against white militia. The incident became known as the Colfax Massacre. Later that year in what would be known as the Coushatta Massacre 30 people including white and black Republican officeholders and their supporters were killed by white militia.,Racial Violence,United States,Louisiana,1801-1900
1874,The Freedman's Bank closes after African American depositors and investors lose more than one million dollars.,Black Business,United States,District of Columbia,1801-1900
1875,"Federal troops are sent to Vicksburg, Mississippi in January to protect African Americans attempting to vote and to allow the safe return of the African American sheriff who had been forced to flee the city.",African Americans and Reconstruction,United States,Mississippi,1801-1900
1875,On February 23rd Jim Crow laws are enacted in Tennessee. Similar statutes had existed in the North before the Civil War.,Jim Crow Legislation,United States,Tennessee,1801-1900
1875,"Congress enacts the Civil Rights Act of 1875 on March 1, guaranteeing equal rights to black Americans in public accommodations and jury duty.",Civil Rights Legislation,United States,District of Columbia,1801-1900
1875,Blanche Kelso Bruce (Republican) of Mississippi becomes the first African American to serve a full six year term as senator when he takes his seat in the United States Senate on March 3.,Black Politics,United States,Mississippi,1801-1900
1875,The 44th Congress has eight black members.,Black Politics,United States,District of Columbia,1801-1900
1875,Jockey Oliver Lewis wins the first Kentucky Derby race. Over the next 27 years fourteen black jockeys would ride the wining horse at the Derby.,African American Athletes,United States,Kentucky,1801-1900
1876,"Lewis H. Latimer, while working for the Boston patent attorney office of Crosby and Gould, assists Alexander Graham Bell in obtaining a patent for the telephone on March 7.",Exploration and Discovery,United States,Massachusetts,1801-1900
1876,"In May, Edward Alexander Bouchet receives a Ph.D. from Yale University. He is the first African American to receive a Ph.D. from an American university and only the sixth American to earn a Ph.D. in physics.",Black Education,United States,Connecticut,1801-1900
1876,"Race riots and other forms of terrorism against black voters in South Carolina over the summer including the infamous Hamburg Massacre where blacks are killed while celebrating the Fourth of July, prompt President Grant to sent federal troops to restore order.",Racial Violence,United States,South Carolina,1801-1900
1876,On October 13 Meharry Medical College is founded in Nashville by the Freedman's Aid Society of the Methodist Church.,Health and Medicine,United States,Tennessee,1801-1900
1876,"The presidential election of 1876, pitting Samuel Tilden (Democrat) against Rutherford B. Hayes (Republican), is inconclusive when the votes in the Electoral College are disputed.",Reconstruction,United States,District of Columbia,1801-1900
1877,"The Compromise of 1877 (also known as the Wormley House Compromise because the meeting takes place in a black-owned hotel in Washington, D.C.) is an arrangement worked out in January of that year which effectively ends Reconstruction. Although Democratic Presidential candidate Samuel Tilden won the popular vote, Southern Democratic leaders agree to support Rutherford Hayes's efforts to obtain the disputed electoral votes of Florida, Louisiana and South Carolina in exchange for the withdrawal of the last federal troops from the South and the end of federal efforts to protect the civil rights of African Americans.",Reconstruction,United States,District of Columbia,1801-1900
1877,The 45th Congress has three black members.,Black Politics,United States,District of Columbia,1801-1900
1877,"On June 15, Henry O. Flipper became the first African American to graduate from West Point.",African Americans and the Military,United States,New York,1801-1900
1877,"In July, 30 African American settlers from Kentucky establish the town of Nicodemus in western Kansas. This is the first of hundreds of all or mostly black towns created in the West.",Black Settlement in the West,United States,Kansas,1801-1900
1877,"George Washington Henderson of the University of Vermont is the first African American elected to Phi Beta Kappy, the oldest humanities honor society in the U.S.",Black Education,United States,Vermont,1801-1900
1877,President Rutherford B. Hayes appoints Frederick Douglass as the first black U.S. Marshal. His jurisdication is the District of Columbia.,Pre-1970 Politics,United States,District of Columbia,1801-1900
1878,Marie Selika Williams becomes the first African American woman entertainer to perform at the White House when she presents a musical program to President Rutherford B. Hayes and assembled guests.,Black Entertainment,United States,District of Columbia,1801-1900
1879,"Mary Eliza Mahoney becomes the first African American professional nurse, graduating from the New England Hospital for Women and Children in Boston.",Blacks in the Professions,United States,Massachusetts,1801-1900
1879-1880,"Approximately six thousand African Americans leave Louisiana and Mississippi counties along the Mississippi River for Kansas in what will be known as the Exodus.Henry Adams and Benjamin ""Pap"" Singleton were two of the major leaders of the Exodus.",Black Settlement in the West,United States,Kansas,1801-1900
1880,"Census of 1880, U.S. population: 50,155,783, Black population: 6,580,793 (13.1 percent)",Black Population,United States,District of Columbia,1801-1900
1880,"On May 14, Sgt. George Jordan of the Ninth Cavalry, commanding a detachment of Buffalo Soldiers, leads a successful defense of Tularosa, New Mexico Territory, against Apache Indians.",African Americans and the Military,United States,New Mexico,1801-1900
1880,The U.S. Supreme Court in Strauder v. West Virginia rules that African Americans cannot be excluded from juries solely on the basis of race.,Civil Rights,United States,District of Columbia,1801-1900
1881,"In January the Tennessee State Legislature votes to segregate railroad passenger cars. Tennessee's action is followed by Florida (1887), Mississippi (1888), Texas (1889), Louisiana (1890), Alabama, Kentucky, Arkansas, and Georgia (1891), South Carolina (1898), North Carolina (1899), Virginia (1900), Maryland (1904), and Oklahoma (1907).",Jim Crow Legislation,United States,Tennessee,1801-1900
1881,"Spelman College, the first college for black women in the U.S., is founded on April 11 by Sophia B. Packard and Harriet E. Giles.",Black Education,United States,Georgia,1801-1900
1881,On the Fourth of July 25-year-old Booker T. Washington opens Tuskegee Institute in central Alabama.,Black Education,United States,Alabama,1801-1900
1882,The Virginia State Assembly established the first state mental hospital for African Americans and locates it near Petersburg.,Health and Medicine,United States,Virginia,1801-1900
1882,George Washington Williams's History of the Negro Race in America from 1619 to 1880 is considered teh first history of African Americans that met the standards of professionally written history of that era.,Art and Literature,United States,Massachusetts,1801-1900
1883,The 50th Congress has no black members. Intimidation keeps most black voters from the polls.,Black Politics,United States,District of Columbia,1801-1900
1883,"On October 16, U. S. Supreme Court in a decision known as the Civil Rights Casesdeclares invalid the Civil Rights Act of 1875, stating the Federal Government cannot bar corporations or individuals from discriminating on the basis of race.",Major Judicial Decisions,United States,District of Columbia,1801-1900
1883,"On November 3, white conservatives in Danville, Virginia, seize control of the local racially integrated and popularly elected government, killing four African Americans in the process.",Racial Violence,United States,Virginia,1801-1900
1884,"Judy W. Reed of Washington D.C. becomes the first African American woman to receive a patent. She is granted patent number 305,474 on September 23 for her creation of a dough kneader and roller.",Exploration and Discovery,United States,District of Columbia,1801-1900
1884,"Granville Woods founds the Woods Railway Telegraph Company in Columbus, Ohio. The company manufactured and sold telephone and telegraph equipment.",Exploration and Discovery,United States,Ohio,1801-1900
1885,"On June 25, African American Priest Samuel David Ferguson is ordained a bishop of the Episcopal Church at a ceremony at Grace Church, New York City.",19th Century Black Religion,United States,New York,1801-1900
1886,"The Knights of Labor, founded and headquartered in Philadelphia, reaches it peak membership of 700,000 with approximately 75,000 African American members.",Black Labor,United States,Pennsylvania,1801-1900
1886,"The American Federation of Labor is organized on December 8 in Columbus, Ohio. All major unions of the federation excluded black workers.",Black Labor,United States,Ohio,1801-1900
1886,Norris Wright Cuney becomes chairman of the Texas Republican Party. He is the first African American to head a major political party at the state level in U.S. history,Pre-1970 Politics,United States,Texas,1801-1900
1887,"On July 14, 1887, the directors of the International League (Major League Baseball) voted to prohibit the signing of additional black players while allowing those under contract such as Frank Grant of Buffalo and Moses Fleetwood Walker of Syracuse franchise, to remain with their teams through the 1888 season.  By 1889 blacks were no longer players in Major League Baseball. ",African American Athletes,United States,n.a.,1801-1900
1887,"The National Colored Farmers' Alliance is formed in Houston County, Texas.",Black Farmers,United States,Texas,1801-1900
1888,"On April 11, Edward Park Duplex is elected mayor of Wheatland, California. He is believed to be the first African American mayor of a predominantly white town in the United States.",Black Politics,United States,California,1801-1900
1888,"Two of America's first black-owned banks, the Savings Bank of the Grand Fountain United Order of the Reformers, in Richmond, Virginia, and Capital Savings Bank of Washington, D.C, open their doors.",Black Business,United States,Virginia,1801-1900
1889,Florida becomes the first state to use the poll tax to disenfranchise black voters.,Black Politics,United States,Florida,1801-1900
1889,Frederick Douglass is appointed Minister to Haiti.,Presidential Appointments,United States,District of Columbia,1801-1900
1890,"Census of 1890, U.S. population: 62,947,714, Black population: 7,488,676 (11.9 percent)",Black Population,United States,District of Columbia,1801-1900
1890,The Afro-American League is founded on January 25 in Chicago under the leadership of Timothy Thomas Fortune.,Black Organizations,United States,Illinois,1801-1900
1890,"On November 1, the Mississippi Legislature approves a new state Constitution that disenfranchises virtually all of the state's African American voters. The Mississippi Plan used literacy and understanding tests to prevent African Americans from casting ballots. Similar statutes were adopted by South Carolina (1895), Louisiana (1898), North Carolina (1900), Alabama (1901), Virginia (1901), Georgia (1908), and Oklahoma (1910).",Jim Crow Legislation,United States,Mississippi,1801-1900
1890,William Henry Lewis and William Tecumseh Sherman Jackson were the first known black players on a white college football team when they played at Amherst College in Massachusetts. Lewis was team captain for the 1891-92 season.,African American Athletes,United States,Massachusetts,1801-1900
1891,"Dr. Daniel Hale Williams founds Provident Hospital in Chicago, the first African American-owned hospital in the nation.",Health and Medicine,United States,Illinois,1801-1900
1892,On June 15 operatic soprano Sissieretta Jones becomes the first African American to perform at Carnegie Hall.,Black Entertainment,United States,New York,1801-1900
1892,On July 14 three companies of the 24th Infantry occupy the Coeur d'Alene Mining District in northern Idaho which has been declared under martial law following a violent strike by silver miners. They remain for four months.,African Americans and the Military,United States,Idaho,1801-1900
1892,In October activist Ida B. Wells begins her anti-lynching campaign with the publication of Southern Horrors: Lynch Law and in All Its Phases and a speech in New York City's Lyric Hall,The Civil Rights Movement,United States,New York,1801-1900
1892,The National Medical Association is formed in Atlanta by African American physicians because they are barred from the American Medical Association.,Health and Medicine,United States,Georgia,1801-1900
1892,First intercollegiate football game between African American colleges takes place between Biddle University (now Johnson C. Smith University) and Livingston College.,African American Athletes,United States,North Carolina,1801-1900
1892,"A record 230 people are lynched in the United States this year, 161 are black and 69 white. In the period between 1882 and 1951, Tuskegee Institute compiled nationwide lynching statistics. In that 69 year period, 4,730 people were lynched including 3,437 blacks and 1,293 whites. Ninety-two women were victims of lynching, 76 were black and 16 were white. Although southern states accounted for 90 percent of the lynchings, every state in the continental U.S., with the exception of Massachusetts, Rhode Island, New Hampshire and Vermont, reported lynching deaths sometime during the 69 year period.",Racial Violence,United States,n.a.,1801-1900
1892,"The Baltimore Afro-American newspaper is founded by former slave John H. Murphy, Sr.",The Black Press,United States,Maryland,1801-1900
1893,"Dr. Daniel Hale Williams performs the first successful operation on a human heart in his Chicago hospital. The patient, a victim of a chest stab wound, survives and lives for twenty years after the operation.",Health and Medicine,United States,Illinois,1801-1900
1894,The Church of God in Christ is founded in Memphis by Bishop Charles Harrison Mason.,19th Century Black Religion,United States,Tennessee,1801-1900
1895,White terrorists attack black workers in New Orleans on March 11-12. Six blacks are killed.,Racial Violence,United States,Louisiana,1801-1900
1895,"In June, W.E.B. Du Bois becomes the first African American to receive a Ph.D. from Harvard University.",Black Education,United States,Massachusetts,1801-1900
1895,Booker T. Washington delivers his famous Atlanta Compromise address on September 18 at the Atlanta Cotton States Exposition. He says the Negro problem would be solved by a policy of gradualism and accommodation.,Segregated America,United States,Georgia,1801-1900
1895,"Three black Baptist organizations, the Foreign Mission Baptist Convention of the United States (1880), the American National Baptist Convention (1886) and the Baptist National Educational Convention (1893) combined at Friendship Baptist Church in Atlanta to form the National Baptist Convention of America, Inc. The National Baptist Convention is the largest black religious denomination in the United States.",19th Century Black Religion,United States,Georgia,1801-1900
1896,Plessey v. Ferguson is decided on May 18 when the U.S. Supreme Court rules that Southern segregation laws and practices (Jim Crow) do not conflict with the 13th and 14th Amendments. The Court defends its ruling by articulating the separate but equal doctrine.,Major Judicial Decisions,United States,District of Columbia,1801-1900
