"","name","team","game_year","game_week","rush_att","rush_yds","rush_avg","rush_tds","rush_fumbles","rec","rec_yds","rec_avg","rec_tds","rec_fumbles","pass_att","pass_yds","pass_tds","int","sck","pass_fumbles","rate","position"
"1928","Charlie Garner","OAK",2001,2,7,30,4.3,0,0,6,75,12.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"1929","Priest Holmes","KC",2001,2,8,30,3.8,0,0,3,17,5.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"1930","Peerless Price","BUF",2001,2,1,28,28,0,0,2,56,28,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1931","Tim Biakabutuka","CAR",2001,2,5,27,5.4,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"1932","Peyton Manning","IND",2001,2,7,26,3.7,1,0,NA,NA,NA,NA,NA,29,421,4,2,1,0,129.6,"QB"
"1933","Michael Vick","ATL",2001,2,3,23,7.7,1,0,NA,NA,NA,NA,NA,2,27,0,0,1,0,118.8,"WR/TE"
"1934","J.R. Redmond","NE",2001,2,4,20,5,0,0,2,16,8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1935","Antowain Smith","NE",2001,2,10,20,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"1936","Fred Taylor","JAX",2001,2,6,20,3.3,0,0,1,11,11,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"1937","Mark Brunell","JAX",2001,2,6,19,3.2,0,0,NA,NA,NA,NA,NA,27,235,0,0,3,0,90.8,"QB"
"1938","Kevin Faulk","NE",2001,2,3,19,6.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1939","Rondell Mealey","GB",2001,2,4,19,4.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1940","Jake Plummer","ARI",2001,2,1,19,19,0,0,NA,NA,NA,NA,NA,28,242,1,1,3,0,82.7,"QB"
"1941","Trent Green","KC",2001,2,3,17,5.7,0,0,NA,NA,NA,NA,NA,34,184,0,1,1,0,54,"QB"
"1942","Tim Dwight","",2001,2,1,16,16,1,0,2,88,44,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1943","Donovan McNabb","PHI",2001,2,5,16,3.2,1,0,NA,NA,NA,NA,NA,37,283,2,0,5,0,106,"QB"
"1944","Doug Flutie","",2001,2,6,15,2.5,0,0,NA,NA,NA,NA,NA,38,348,2,0,1,0,108.2,"QB"
"1945","Jamel White","CLE",2001,2,3,15,5,0,0,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1946","Larry Centers","BUF",2001,2,3,14,4.7,0,0,7,56,8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1947","Rich Gannon","OAK",2001,2,3,14,4.7,0,0,NA,NA,NA,NA,NA,25,125,0,0,1,0,69.6,"QB"
"1948","James Johnson","MIA",2001,2,2,13,6.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1949","Dorsey Levens","GB",2001,2,5,13,2.6,0,0,2,17,8.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"1950","Terry Jackson","SF",2001,2,1,12,12,0,0,3,22,7.3,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1951","Duce Staley","PHI",2001,2,3,12,4,0,0,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1952","Kerry Collins","NYG",2001,2,3,10,3.3,0,0,NA,NA,NA,NA,NA,34,208,0,3,1,0,39.8,"QB"
"1953","Garrison Hearst","SF",2001,2,4,10,2.5,0,0,2,10,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1954","Tom Brady","NE",2001,2,1,9,9,0,0,NA,NA,NA,NA,NA,10,46,0,0,0,0,62.9,"QB"
"1955","Brett Favre","GB",2001,2,4,9,2.2,0,0,NA,NA,NA,NA,NA,31,236,3,1,1,0,106.4,"QB"
"1956","Terrell Fletcher","",2001,2,4,9,2.2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1957","James Thrash","PHI",2001,2,2,9,4.5,0,0,10,165,16.5,2,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1958","Kurt Warner","",2001,2,3,9,3,0,1,NA,NA,NA,NA,NA,35,321,3,1,1,1,114.1,"QB"
"1959","Drew Bledsoe","NE",2001,2,2,8,4,0,0,NA,NA,NA,NA,NA,28,159,0,2,1,0,49.6,"QB"
"1960","Zack Crockett","OAK",2001,2,1,8,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1961","Mike Green","TEN",2001,2,2,8,4,0,0,1,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1962","Cecil Martin","PHI",2001,2,1,8,8,0,0,2,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1963","Koren Robinson","SEA",2001,2,2,8,4,0,0,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1964","Donnell Bennett","WAS",2001,2,1,7,7,0,0,2,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1965","Peter Warrick","CIN",2001,2,1,7,7,0,1,3,17,5.7,0,1,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1966","Shaun Alexander","SEA",2001,2,3,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1967","Germane Crowell","DET",2001,2,1,6,6,0,0,4,34,8.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1968","Troy Hambrick","DAL",2001,2,2,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1969","Jim Kleinsasser","MIN",2001,2,1,6,6,0,0,2,28,14,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1970","Richie Anderson","NYJ",2001,2,3,5,1.7,0,0,2,10,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1971","Ty Detmer","DET",2001,2,2,5,2.5,0,0,NA,NA,NA,NA,NA,42,212,1,7,3,0,35.1,"QB"
"1972","Brian Mitchell","PHI",2001,2,2,5,2.5,0,0,2,29,14.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1973","Chris Weinke","CAR",2001,2,1,5,5,1,0,NA,NA,NA,NA,NA,41,276,0,0,2,0,85,"QB"
"1974","Anthony Wright","DAL",2001,2,4,5,1.2,0,1,NA,NA,NA,NA,NA,25,193,3,3,1,1,74.2,"QB"
"1975","Marty Booker","CHI",2001,2,1,4,4,0,0,9,95,10.6,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1976","William Henderson","GB",2001,2,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1977","James McKnight","MIA",2001,2,1,4,4,0,0,3,48,16,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1978","Obafemi Ayanbadejo","BAL",2001,2,2,3,1.5,0,0,2,11,5.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1979","Michael Wiley","DAL",2001,2,1,3,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1980","Robert Holcombe","",2001,2,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1981","Jon Kitna","CIN",2001,2,1,2,2,1,0,NA,NA,NA,NA,NA,30,154,1,0,2,0,87.4,"QB"
"1982","Robert Thomas","DAL",2001,2,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1983","Brandon Bennett","CIN",2001,2,3,1,0.3,0,0,1,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1984","Shawn Bryson","BUF",2001,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1985","Trung Canidate","",2001,2,2,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1986","Travis Minor","MIA",2001,2,1,1,1,0,0,1,8,8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1987","Tim Couch","CLE",2001,2,3,0,0,0,0,NA,NA,NA,NA,NA,20,138,3,2,3,0,80.8,"QB"
"1988","Ron Dixon","NYG",2001,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1989","Elvis Grbac","BAL",2001,2,1,0,0,0,1,NA,NA,NA,NA,NA,63,326,1,3,2,1,52.7,"QB"
"1990","Shane Matthews","CHI",2001,2,1,0,0,0,0,NA,NA,NA,NA,NA,9,33,0,0,0,0,63.7,"QB"
"1991","Clint Stoerner","DAL",2001,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1992","Donald Driver","GB",2001,2,1,-1,-1,0,0,1,24,24,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1993","Gus Frerotte","DEN",2001,2,4,-1,-0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1994","Jeff George","WAS",2001,2,1,-1,-1,0,0,NA,NA,NA,NA,NA,24,102,0,1,5,0,54.5,"QB"
"1995","Torry Holt","",2001,2,1,-2,-2,0,0,3,17,5.7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"1996","Jim Miller","CHI",2001,2,2,-2,-1,0,0,NA,NA,NA,NA,NA,29,204,2,1,0,0,91.7,"QB"
"1997","Priest Holmes","KC",2001,3,23,147,6.4,2,0,5,78,15.6,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"1998","Jerome Bettis","PIT",2001,3,22,114,5.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"1999","Ron Dayne","NYG",2001,3,19,111,5.8,1,0,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2000","Troy Hambrick","DAL",2001,3,10,107,10.7,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2001","LaDainian Tomlinson","",2001,3,21,107,5.1,3,0,1,15,15,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2002","Correll Buckhalter","PHI",2001,3,20,99,5,1,1,1,9,9,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2003","Garrison Hearst","SF",2001,3,20,95,4.8,0,0,3,28,9.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2004","Antowain Smith","NE",2001,3,22,94,4.3,2,0,3,58,19.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2005","Stacey Mack","",2001,3,17,93,5.5,0,0,3,18,6,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2006","Marshall Faulk","",2001,3,19,88,4.6,1,0,6,72,12,2,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2007","Kevan Barlow","SF",2001,3,9,83,9.2,0,0,2,10,5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2008","Stephen Davis","WAS",2001,3,13,80,6.2,0,0,2,11,5.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2009","Curtis Martin","NYJ",2001,3,20,76,3.8,2,0,1,20,20,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2010","Maurice Smith","ATL",2001,3,21,70,3.3,1,0,2,108,54,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2011","Terry Allen","BAL",2001,3,19,65,3.4,0,0,1,9,9,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2012","Warrick Dunn","TB",2001,3,11,65,5.9,1,0,5,34,6.8,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2013","Jamel White","CLE",2001,3,23,64,2.8,1,1,5,26,5.2,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2014","Emmitt Smith","DAL",2001,3,16,58,3.6,0,0,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2015","Edgerrin James","IND",2001,3,17,55,3.2,0,1,6,38,6.3,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2016","Ahman Green","GB",2001,3,19,53,2.8,0,0,6,75,12.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2017","Michael Pittman","ARI",2001,3,7,53,7.6,1,0,6,31,5.2,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2018","Ricky Williams","NO",2001,3,16,53,3.3,0,0,4,49,12.2,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2019","Michael Bennett","MIN",2001,3,13,51,3.9,0,0,6,26,4.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2020","Kevin Faulk","NE",2001,3,9,48,5.3,1,0,2,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2021","Lamar Smith","MIA",2001,3,19,48,2.5,0,0,2,16,8,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2022","Corey Dillon","CIN",2001,3,15,46,3.1,0,1,2,18,9,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2023","Curtis Keaton","CIN",2001,3,3,44,14.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2024","Amos Zereoue","PIT",2001,3,4,37,9.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2025","Charlie Garner","OAK",2001,3,7,36,5.1,0,0,3,12,4,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2026","Mike Anderson","DEN",2001,3,12,34,2.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2027","Jason Brookins","BAL",2001,3,4,31,7.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2028","Tyrone Wheatley","OAK",2001,3,8,31,3.9,0,0,3,21,7,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2029","Travis Henry","BUF",2001,3,17,30,1.8,0,1,2,9,4.5,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2030","Tony Richardson","KC",2001,3,11,30,2.7,1,0,3,28,9.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2031","Mike Alstott","TB",2001,3,3,24,8,0,0,2,7,3.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2032","Terry Jackson","SF",2001,3,2,23,11.5,0,0,1,8,8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2033","Terrell Fletcher","",2001,3,8,22,2.8,0,0,1,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2034","Chris Fuamatu-Ma'afala","PIT",2001,3,1,22,22,1,0,2,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2035","Tiki Barber","NYG",2001,3,3,21,7,1,0,1,9,9,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2036","Thomas Jones","ARI",2001,3,5,21,4.2,0,0,4,53,13.2,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2037","Dominic Rhodes","IND",2001,3,4,21,5.2,0,0,1,8,8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2038","Daunte Culpepper","MIN",2001,3,5,20,4,1,0,NA,NA,NA,NA,NA,44,322,1,2,1,0,78,"QB"
"2039","Tony Banks","WAS",2001,3,3,19,6.3,0,0,NA,NA,NA,NA,NA,27,116,1,1,1,0,50.8,"QB"
"2040","Trung Canidate","",2001,3,4,19,4.8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2041","Richard Huntley","CAR",2001,3,5,19,3.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2042","Brad Johnson","TB",2001,3,2,19,9.5,0,0,NA,NA,NA,NA,NA,34,224,0,1,1,0,66.3,"QB"
"2043","Donovan McNabb","PHI",2001,3,4,19,4.8,0,0,NA,NA,NA,NA,NA,28,162,3,0,2,0,103.6,"QB"
"2044","Shaun Alexander","SEA",2001,3,10,18,1.8,1,1,7,66,9.4,0,1,NA,NA,NA,NA,NA,NA,NA,"RB"
"2045","Jeff Garcia","SF",2001,3,8,18,2.2,0,0,NA,NA,NA,NA,NA,20,141,1,0,2,0,112.7,"QB"
"2046","James Jackson","CLE",2001,3,10,18,1.8,0,0,1,16,16,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2047","Rondell Mealey","GB",2001,3,7,18,2.6,0,0,2,31,15.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2048","David Boston","ARI",2001,3,1,17,17,0,0,4,49,12.2,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2049","Aaron Brooks","NO",2001,3,4,17,4.2,0,0,NA,NA,NA,NA,NA,54,291,1,1,4,0,66.2,"QB"
"2050","Brian Griese","DEN",2001,3,5,17,3.4,0,0,NA,NA,NA,NA,NA,33,191,1,2,5,0,54,"QB"
"2051","Bob Christian","ATL",2001,3,2,16,8,0,0,2,19,9.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2052","Olandis Gary","DEN",2001,3,6,16,2.7,0,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2053","Derrick Alexander","KC",2001,3,1,15,15,0,0,3,48,16,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2054","Rob Johnson","BUF",2001,3,2,15,7.5,0,0,NA,NA,NA,NA,NA,22,104,0,0,4,0,71,"QB"
"2055","Peyton Manning","IND",2001,3,2,14,7,1,0,NA,NA,NA,NA,NA,34,196,1,3,2,0,48.2,"QB"
"2056","Cecil Martin","PHI",2001,3,5,14,2.8,0,0,3,14,4.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2057","Tim Couch","CLE",2001,3,3,13,4.3,0,1,NA,NA,NA,NA,NA,34,249,0,1,3,1,79.2,"QB"
"2058","Doug Johnson","ATL",2001,3,4,13,3.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2059","Jerry Porter","OAK",2001,3,2,13,6.5,0,0,2,36,18,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2060","Ricky Watters","SEA",2001,3,5,13,2.6,0,0,1,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2061","Obafemi Ayanbadejo","BAL",2001,3,4,12,3,0,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2062","Nick Goings","CAR",2001,3,8,12,1.5,0,0,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2063","Az-Zahir Hakim","",2001,3,2,12,6,0,0,3,18,6,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2064","Troy Brown","NE",2001,3,2,11,5.5,0,0,3,21,7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2065","Marc Edwards","NE",2001,3,4,11,2.8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2066","Rich Gannon","OAK",2001,3,2,11,5.5,1,1,NA,NA,NA,NA,NA,28,217,3,0,1,1,126.6,"QB"
"2067","Brock Huard","SEA",2001,3,1,11,11,0,0,NA,NA,NA,NA,NA,17,127,1,0,1,0,96.9,"QB"
"2068","David Patten","NE",2001,3,1,11,11,0,0,1,17,17,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2069","Fred Beasley","SF",2001,3,3,10,3.3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2070","Kerry Collins","NYG",2001,3,3,10,3.3,0,1,NA,NA,NA,NA,NA,18,135,1,0,5,1,93.5,"QB"
"2071","Jon Kitna","CIN",2001,3,5,10,2,0,0,NA,NA,NA,NA,NA,32,135,2,3,2,0,48.3,"QB"
"2072","Donnell Bennett","WAS",2001,3,2,9,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2073","Greg Comella","NYG",2001,3,1,9,9,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2074","Jay Fiedler","MIA",2001,3,4,9,2.2,0,0,NA,NA,NA,NA,NA,27,204,1,2,2,0,73.7,"QB"
"2075","Randy Moss","MIN",2001,3,1,9,9,0,0,5,86,17.2,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2076","Brandon Bennett","CIN",2001,3,2,8,4,0,0,3,20,6.7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2077","Michael Wiley","DAL",2001,3,2,8,4,0,1,3,28,9.3,1,1,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2078","Larry Centers","BUF",2001,3,2,7,3.5,0,0,5,35,7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2079","James Johnson","MIA",2001,3,2,7,3.5,0,0,3,17,5.7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2080","Jamal Anderson","ATL",2001,3,4,6,1.5,0,0,1,9,9,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2081","Doug Chapman","MIN",2001,3,3,6,2,0,0,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2082","Todd Collins","KC",2001,3,2,6,3,0,0,NA,NA,NA,NA,NA,4,40,0,0,0,0,106.2,"WR/TE"
"2083","William Henderson","GB",2001,3,2,6,3,0,0,2,24,12,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2084","Travis Jervey","ATL",2001,3,3,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2085","Robert Thomas","DAL",2001,3,1,6,6,0,0,2,10,5,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2086","James Hodgins","",2001,3,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2087","Jonathan Quinn","",2001,3,2,5,2.5,0,0,NA,NA,NA,NA,NA,30,136,1,1,1,0,59.9,"QB"
"2088","Chris Weinke","CAR",2001,3,3,5,1.7,0,0,NA,NA,NA,NA,NA,30,160,1,1,2,0,71.5,"QB"
"2089","Joe Horn","NO",2001,3,1,4,4,0,0,4,48,12,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2090","Terrell Owens","SF",2001,3,1,4,4,0,0,4,38,9.5,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2091","Richie Anderson","NYJ",2001,3,2,3,1.5,0,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2092","Ki-Jana Carter","WAS",2001,3,2,3,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2093","Doug Flutie","",2001,3,5,3,0.6,0,0,NA,NA,NA,NA,NA,19,133,1,0,2,0,101.4,"QB"
"2094","LaMont Jordan","NYJ",2001,3,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2095","Harold Morrow","MIN",2001,3,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2096","Peter Warrick","CIN",2001,3,1,3,3,0,0,4,31,7.8,1,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2097","Tom Brady","NE",2001,3,1,2,2,0,0,NA,NA,NA,NA,NA,23,168,0,0,1,0,79.6,"QB"
"2098","Elvis Grbac","BAL",2001,3,5,2,0.4,0,0,NA,NA,NA,NA,NA,30,221,2,1,0,0,88.3,"QB"
"2099","Trent Green","KC",2001,3,1,2,2,0,0,NA,NA,NA,NA,NA,26,307,3,0,1,0,154.3,"QB"
"2100","Moe Williams","BAL",2001,3,2,2,1,0,0,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2101","Anthony Wright","DAL",2001,3,1,2,2,0,1,NA,NA,NA,NA,NA,23,33,0,1,2,1,21.8,"QB"
"2102","Randy Jordan","OAK",2001,3,5,1,0.2,0,0,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2103","Jim Kleinsasser","MIN",2001,3,1,1,1,0,0,8,51,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2104","Fred McCrary","",2001,3,1,1,1,0,0,2,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2105","Amani Toomer","NYG",2001,3,1,1,1,0,0,1,25,25,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2106","Marques Tuiasosopo","OAK",2001,3,1,1,1,0,0,NA,NA,NA,NA,NA,4,34,0,0,0,0,100,"WR/TE"
"2107","Damon Washington","NYG",2001,3,1,1,1,0,0,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2108","Chris Hetherington","CAR",2001,3,1,0,0,0,0,5,33,6.6,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2109","Deuce McAllister","NO",2001,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2110","Peerless Price","BUF",2001,3,1,0,0,0,0,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2111","Hines Ward","PIT",2001,3,1,0,0,0,0,9,79,8.8,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2112","Koy Detmer","PHI",2001,3,1,-1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2113","Brett Favre","GB",2001,3,2,-1,-0.5,0,0,NA,NA,NA,NA,NA,39,308,3,2,0,0,92.7,"QB"
"2114","Herbert Goodman","GB",2001,3,1,-1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2115","Jake Plummer","ARI",2001,3,2,-1,-0.5,0,1,NA,NA,NA,NA,NA,35,276,1,3,4,1,63.5,"QB"
"2116","Kurt Warner","",2001,3,1,-1,-1,0,0,NA,NA,NA,NA,NA,31,328,4,0,1,0,150.3,"QB"
"2117","Kordell Stewart","PIT",2001,3,3,-3,-1,0,0,NA,NA,NA,NA,NA,22,107,0,0,2,0,79.2,"QB"
"2118","Eddie Kennison","DEN",2001,3,1,-6,-6,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2119","Jerome Pathon","IND",2001,3,1,-8,-8,0,0,5,57,11.4,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"2120","Shaun Alexander","SEA",2001,4,31,176,5.7,2,0,2,15,7.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2121","Mike Anderson","DEN",2001,4,22,155,7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2122","Jerome Bettis","PIT",2001,4,23,153,6.7,0,0,1,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2123","Lamar Smith","MIA",2001,4,29,144,5,1,0,3,23,7.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
