series,issue,title,writer,artist,cover_artist,pass_bechdel,page_number,notes
Fantastic Four,294,NA,"Roger Stern, John Byrne",NA,Jerry Ordway,no,NA,NA
Sensational She-Hulk,1,NA,John Byrne,NA,John Byrne,NA,20,*Gender of polivce officer unspecified
Sensational She-Hulk,2,NA,John Byrne,NA,John Byrne,yes,3,NA
Sensational She-Hulk,3,NA,John Byrne,NA,John Byrne,no,NA,NA
Sensational She-Hulk,4,NA,John Byrne,NA,John Byrne,yes,6,NA
Sensational She-Hulk,5,Saturdaze,John Byrne,NA,John Byrne,yes,21,NA
Sensational She-Hulk,6,That's the one big problem with being a super hero… ...Sooner or later you're bound to end up hanging on the outside of a rocket that's being hijacked by a couple of truckers…,John Byrne,NA,John Byrne,yes,13,NA
Sensational She-Hulk,7,She-Hulk is in trouble… ....and not even the riotous Razorback tm can help her!,John Byrne,NA,John Byrne,yes,9,NA
Sensational She-Hulk,8,This man is Nick St. Christopher. Tm He's here to help She-Hulk tm Con-vict the most manical serial killer in New Yourk City. Seee..He's the world's greatest detective.,John Byrne,NA,John Byrne,yes,6,NA
Sensational She-Hulk,31,NA,John Byrne,John Byrne,John Byrne,yes,5,NA
Sensational She-Hulk,32,Jenny to the Center of the Earth,John Byrne,John Byrne,John Byrne,no,NA,NA
Sensational She-Hulk,33,Mole & Wife,John Byrne,John Byrne,John Byrne,yes,7,NA
Sensational She-Hulk,34,NA,John Byrne,John Byrne,John Byrne,yes,5,NA
Sensational She-Hulk,35,NA,John Byrne,John Byrne,John Byrne,yes,5,NA
Sensational She-Hulk,36,NA,John Byrne,NA,John Byrne,no,NA,NA
Sensational She-Hulk,37,Wolverine The Punisher Spider-Man Starring on this Issue!,John Byrne,NA,John Byrne,no,NA,NA
Sensational She-Hulk,38,"Moonlight, Music and… Mahkizmo",John Byrne,John Byrne,John Byrne,no,NA,NA
Sensational She-Hulk,39,Featuring The Thing,John Byrne,John Byrne,John Byrne,no,NA,NA
Sensational She-Hulk,40,This is it! Because you demanded it!,John Byrne,John Byrne,John Byrne,yes,6,*Out of context of story charcter speaks to books editor
Sensational She-Hulk,41,NA,John Byrne,John Byrne,John Byrne,yes,7,NA
Sensational She-Hulk,42,NA,John Byrne,John Byrne,John Byrne,yes,3,NA
Sensational She-Hulk,43,NA,John Byrne,John Byrne,John Byrne,yes,18,NA
Sensational She-Hulk,44,NA,John Byrne,John Byrne,John Byrne,yes,3,NA
Sensational She-Hulk,45,NA,John Byrne,John Byrne,John Byrne,yes,2,NA
Sensational She-Hulk,46,NA,John Byrne,John Byrne,John Byrne,yes,2,NA
Sensational She-Hulk,48,In this issue: your favourite villain we guarantee it!,John Byrne,John Byrne,NA,yes,12,NA
Sensational She-Hulk,49,NA,John Byrne,John Byrne,NA,yes,15,NA
Alpha Flight,1,1st Dynamic Double Size Issue!,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,2,NA,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,3,NA,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,4,NA,John Byrne,NA,John Byrne,yes,17,NA
Alpha Flight,5,And now… Puck!,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,6,Snowblind,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,7,Aurora is back-- --But Northstar isn't sure he's happy about it…!!,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,8,Betrayal!,John Byrne,NA,John Byrne,yes,16,NA
Alpha Flight,9,NA,John Byrne,John Byne,John Byrne,yes,19,NA
Alpha Flight,10,NA,John Byrne,John Byne,John Byrne,no,NA,NA
Alpha Flight,11,To save the life of the woman he loves… …He must face THEM!,John Byrne,John Byne,John Byrne,no,NA,NA
Alpha Flight,12,Special double-sized issue! And one shall surely die!,John Byrne,NA,John Byrne,yes,"3, 26","**female coded robot, regular"
Alpha Flight,13,NA,John Byrne,John Byne,John Byrne,no,NA,NA
Alpha Flight,14,What lurks in Lake Ontario?,John Byrne,John Byne,John Byrne,no,NA,*Charcter speaks to mirror version of herself in hallucination
Alpha Flight,15,Sub-Mariner vs. Marrina… …No matter who wins--The good guys lose!,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,16,NA,John Byrne,John Byne,John Byrne,no,NA,NA
Alpha Flight,17,The X-Men and Alpha Flight how they met and what happened later Plus: A new leader?,"John Byrne, Chris Claremont",NA,John Byrne,no,NA,NA
Alpha Flight,18,A new role for Heather… …a decision for Snowbird… …and Showman meets the ultimante menace!,John Byrne,NA,John Byrne,yes,19,*Female charcter possessed by demon whos gender is not revealed
Alpha Flight,19,Introducing… Talisman!,John Byrne,NA,John Byrne,yes,5,NA
Alpha Flight,20,Mysterious… Menacing… Macabre… Gilded Lilly try to forget her!,John Byrne,John Byne,John Byrne,yes,10,NA
Alpha Flight,21,Bet on Diablo-- --He's been doing this for centuries!,John Byrne,NA,John Byrne,yes,13,NA
Alpha Flight,22,Meet pink pearl… …Such a nice lady!,John Byrne,John Byne,John Byrne,yes,6,NA
Alpha Flight,23,The unbelievable secret of Sasquatch!,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,24,Join them in the strangest journey ever-- Join them as they seek a man's soul!,John Byrne,NA,John Byrne,yes,3,NA
Alpha Flight,25,NA,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,26,Defeated!,John Byrne,NA,John Byrne,no,NA,NA
Alpha Flight,27,NA,John Byrne,John Byne,John Byrne,no,NA,NA
Alpha Flight,28,Secret Wars II continues in this issue! As if the Beyonder wasn't bad enough… ...Guess who just dropped in?,John Byrne,John Byne,John Byrne,yes,13,NA
