issue,location,context,notes
163,"Z'ree Shar, Shi'ar Yacht, Space",Present,NA
163,"Jungle, Brood homeworld, space",Present,NA
163,"Z'ree Shar, Shi'ar Yacht, Space",Present,NA
164,"Z'ree Shar, Shi'ar Yacht, Space",Present,NA
164,"Unspecified Broodship, Space",Present,NA
164,"Z'ree Shar, Shi'ar Yacht, Space",Present,NA
164,X-Mansion,Present,NA
164,"Z'ree Shar, Shi'ar Yacht, Space",Present,NA
165,X-Mansions,Present,NA
165,"Shi'ar shuttle ship, space",Present,NA
165,Z'ree Shar Shi'ar Yacht Space,Present,NA
165,"Cemetery, Chicago*",Future*,*In dream
165,Z'ree Shar Shi'ar Yacht Space,Present,NA
165,"Acanti Bioship, Space",Present,NA
166,"Madrizar, Space",Present,NA
166,"Acanti, space",Present,NA
166,Space,Past,NA
166,"Madrizar, Space",Past,NA
166,Space,Past,NA
166,"Acanti, space",Present,NA
166,"Broodworld, Space",Present,NA
166,"Broodworld's inner moon, Space",Present,NA
166,"Broodworld, Space",Present,NA
166,"Acanti, space",Present,NA
166,"Broodworld, Space",Present,NA
166,"Acanti, space",Present,NA
167,X-Mansion,Present,NA
167,"Starjammer's Ship, Space",Present,NA
167,"Baxter Building, New York, America",Present,NA
167,"Starjammer's Ship, Space",Present,NA
168,X-Mansion,Present,NA
168,Danger Room,Present,NA
168,"Stevie's Dance Studio, New York, U.S.A",Present,NA
168,X-Mansion,Present,NA
168,"Arcadia, Fishing Port, Shark Bay, Florida",Present,NA
168,"Beach, Shark Bay, Florida",Present,NA
168,"High Rise, Central Park South, New York, U.S.A",Present,NA
168,X-Mansion,Present,NA
168,"Anchorage, Alaska, U.S.A",Present,NA
169,"Angel residence, New Mexico, U.S.A",Present,NA
169,"High Rise, Central Park South, New York, U.S.A",Present,NA
169,"Hellfire Club, Uptown Fronting Central Park",Present,NA
169,X-Mansion,Present,NA
169,"Subway Station (Unspecified), New York, U.S.A",Present,NA
169,"Caliban's Residence, New York, USA",Present,NA
170,"Reindeer Falls, Alaska, U.S.A",Present,NA
170,"Underneath New York City, U.S.A",Present,NA
170,England*,Past,*In dream
170,"Mystique residence, Washington",Present,NA
170,Bus leaving from Washington,Present,NA
170,"Underneath New York City, U.S.A",Present,NA
170,"Anchorage, Alaska, U.S.A",Present,NA
171,Underneath New York City,Present,NA
171,Anchorage Alaska,Present,NA
171,"Dancers Residence, Beverly Massachusetts",Present,NA
171,X- Mansion,Present,NA
171,Danger Room,Present,NA
171,X-Mansion,Present,NA
171,Danger Room,Present,NA
171,X-Mansion,Present,NA
171,Space,Present,NA
171,X-Mansion,Present,NA
172,"Meguro District, Tokyo, Japan",Present,NA
172,"Anchorage International Airport, Alaska, U.S.A",Present,NA
172,"Boat dock, Tokyo, Japan",Present,NA
172,"Hospital, Japan",Present,NA
173,"The Ginza, Japan",Present,NA
173,"Residential area, Japan",Present,NA
173,"Nabatōne's residence, outside Japan",Present,NA
173,"Residential area, Japan",Present,NA
173,"Hospital, Japan",Present,NA
173,"Miyago Prefectures, 300 km north of Tokyo, Japan",Present,NA
173,"Hospital, Japan",Present,NA
173,"Restaurant, Japan",Present,NA
174,"Starjammer's Ship, Space",Present,NA
174,"Miyago Prefectures, 300 km north of Tokyo, Japan",Present,NA
174,X-Mansion,Present,NA
174,Space,Past,NA
174,X-Mansion,Present,NA
174,"Northstar Airways Flight, Bound for Anchorage Alaska, U.S.A",Present,NA
174,"Pryor Residence, Anchorage Alaska, U.S.A",Present,NA
175,X-Mansion,Present,NA
175,Danger Room,Present,NA
175,Unknown Location,Present,NA
175,Danger Room,Present,NA
175,"Cemetery of St. Stephen's Chapel, Bard College, Upstate  New York",Present,NA
175,X-Mansion,Present,NA
176,Plane Somewhere Over the South Pacific,Present,NA
176,"Agarashima, Japan",Present,NA
176,Plane Somewhere in Mid-Pacific,Present,NA
176,Washington D.C.,Present,NA
176,Plane Somewhere in Pacific,Present,NA
176,New York City,Present,NA
176,Below New York City,Present,NA
177,"Murderworld, new York",Present,NA
177,"Stevie Hunter's Dance Studio, Salem Center, U.S.A",Present,NA
177,"Starjammer's ship, Space",Present,NA
177,"Lincoln Center, New York",Present,NA
177,Outside Lincoln Center New York,Present,NA
178,Outside Lincoln Center New York,Present,NA
178,X-Mansion,Present,NA
178,Outside Lincoln Center New York,Present,NA
178,Baxter Building New York,Present,NA
178,Outside Lincoln Center New York,Present,NA
178,X-Mansion,present,NA
178,outside Lincoln Center New York,present,NA
179,Under New York,Present,NA
179,Bellevue Hospital,Present,NA
179,Under New York,Present,NA
179,Corner of 72nd Street and Central Park West,Present,NA
179,Under New York,Present,NA
180,X-Mansion,Present,NA
180,Mall Arcade*,Present,*Based off context likely somehwere in New York
180,McDonalds*,Present,*Based off context likely somehwere in New York
180,X-Mansion,Present,NA
180,The Bronx Botanical Gardens,Present,NA
180,Unspecified region in Africa,Past,NA
180,The Bronx Botanical Gardens,Present,NA
180,X-Mansion,Present,NA
180,"LaGuardia Airport, New York",Present,NA
180,Plane on way to Massachusetts Academy,Present,NA
180,"Central Park, New York",Present,NA
180,"The Sheep Meadow, New York",Present,NA
181,"Island of Honshu, Near Yamato, Japan",Present,NA
181,"War Room of National Command Center, Japan",Present,NA
181,"Tokyo, Japan",Present,NA
181,"The Beachcomber Hotel, Tahiti",Present,NA
181,"Tokyo, Japan",Present,NA
181,"Island of Honshu, Near Yamato, Japan",Present,NA
181,"Tokyo, Japan",Present,NA
181,"War Room of National Command Center, Japan",Present,NA
181,"Island of Honshu, Near Yamato, Japan",Present,NA
181,"White House, Washington DC,  U.S.A",NA,NA
182,On route to X-Mansion,Present,NA
182,X-Mansion,Present,NA
182,"Command Base for Shield, Midway down the Eastern Seaboard and 5 miles up",Present,NA
182,"Under Hellfire Club, New York",Present,NA
182,"Command Base for Shield, Midway down the Eastern Seaboard and 5 miles up",Present,NA
182,"Cape Cod, Massachusetts",Present,NA
182,"Command Base for Shield, Midway down the Eastern Seaboard and 5 miles up",Present,NA
183,Cliffside outside of X-Mansion,Present,NA
183,X-Mansion,Present,NA
183,Danger Room,Present,NA
183,X-Mansion,Present,NA
183,Car on the way to Manhattan,Present,NA
183,X-Mansion,Present,NA
183,"Car on route to airport, Dallas, Texas",Present,NA
183,"Monahan's. West Village, Manhattan",Present,NA
184,"Eagle Plaza, Dallas Texas",Present,NA
184,New York City,Present,NA
184,"Club, New York City",Present,NA
184,"Damiano Residence, New York city",Present,NA
184,"Outside Damion Residence, New York",Present,NA
185,"Pentagon, Washington, D.C",Present,NA
185,X-Mansion,Present,NA
185,Summer's residence,Present,NA
185,"Pentagon, Washington, D.C",Present,NA
185,Military Transport Outbound from Washington's Andrews Air Force Base,Present,NA
185,"Eagle Plaza, Dallas Texas",Present,NA
185,Caldecott County on the banks of Mississippi,Present,NA
186,"Eagle Plaza, Dallas Texas",Present,NA
186,Caldecott County on the banks of Mississippi,Past,NA
186,"Eagle Plaza, Dallas Texas",Present,NA
186,X-Mansion,Present,NA
186,"Eagle Plaza, Dallas Texas",Present,NA
186,"Caldecott County, Mississippi",Present,NA
186,"Eagle Plaza, Dallas Texas",Present,NA
187,"Outside Eagle Plaza, Dallas Texas",Present,NA
187,"Eagle Plaza, Dallas Texas",Present,NA
187,Shooting Range,Past,NA
187,"Eagle Plaza, Dallas Texas",Present,NA
188,"Outside Eagle Plaza, Dallas Texas",Present,NA
188,"Eagle Plaza, Dallas Texas",Present,NA
188,Dallas Fort Worth International Airport,Present,NA
188,"Plane on way to Eagle Plaza, Dallas, Texas",Present,NA
188,"Eagle Plaza, Dallas Texas",Present,NA
188,Heart of Bermuda Triangle,Present,NA
188,X-Mansion,Present,NA
188,"Fish Market, New York",Present,NA
189,Statue of Liberty,Present,NA
189,Unknown location,Future,NA
189,"Boat, New York Docks",Present,NA
189,"South Street Seaport, Lower Manhattan",Present,NA
189,"The Metropolitan Museum of Art, 5th Ave and 82nd St, New York",Present,NA
189,"Hellfire Club,  New York",Present,NA
189,Unspecified elsewhere,Present,NA
190,New York,Present,NA
190,"White House, Washington D.C",Present,NA
190,"Boat, New York",Present,NA
190,Manhattan Island,Present,NA
190,Uptown New York,Present,NA
190,"Hoboken, across Hudson river",Present,NA
190,Manhattan Island,NA,NA
191,Manhattan Island,Present,NA
191,New York,Present,NA
191,Manhattan Island,Present,NA
191,Tunnels beneath Manhattan Island,Present,NA
191,Manhattan Island,Present,NA
191,Sanctum Sanctorum,Present,NA
191,New York,Present,NA
192,Field behind X-Mansion,Present,NA
192,Kennedy International Airport,Present,NA
192,Field Behind X-Mansion,Present,NA
192,New York,Future,NA
192,Kennedy International Airport,Present,NA
192,Field behind X-Mansion,Present,NA
192,"Columbia University, New York City",Present,NA
193,"Muir Island, Scotland",Present,NA
193,Under New York City,Present,NA
193,"The Rocky Mountains, Just west of Colorado Springs",Present,NA
193,Danger Room,Present,NA
193,Mid-Atlantic,Present,NA
193,X-Mansion,Present,NA
193,Danger Room,Present,NA
193,"Nerve Center of North American Air Defense Command, Cheyenne Mountain aka Valhalla",Present,NA
193,Blackbird over Cheyenne Mountain,Present,NA
193,Cheyenne Mountains,Present,NA
193,Blackbird over Cheyenne Mountain,Present,NA
193,"Nerve Center of North American Air Defense Command, Cheyenne Mountain aka Valhalla",Present,NA
193,Blackbird over Cheyenne Mountain,Present,NA
193,"Nerve Center of North American Air Defense Command, Cheyenne Mountain aka Valhalla",Present,NA
193,X-Mansion,Present,NA
193,"Rodriguez Household, On New York City's Grand Concourse",Present,NA
194,New York City,Present,NA
194,X-Mansion,Present,NA
194,"Veldt below Mt. Kilimanjaro, Kenya",Present,NA
194,First United National Bank of New York,Present,NA
194,"Dzerzhinsky Plaza, Moscow",Present,NA
194,NA,Present,NA
195,"Apartment, New York",NA,NA
195,X-Mansion,Present,NA
195,"Bellevue Hospital, new York",Present,NA
195,Below New York,Present,NA
196,"Columbia University, New York City",Present,NA
196,"Serengeti Plain, East Africa",Present,NA
196,"Deli, New York City",Present,NA
196,St. Anne's Church,Present,NA
196,"Columbia University, New York City",Present,NA
196,"Outside Columbia University, New York",Present,NA
196,"Library Steps, Columbia University New York",Present,NA
196,"Physics Lab, Columbia University, New York",Present,NA
196,"Library Steps, Columbia University New York",Present,NA
196,"Xavier's Office, Columbia University, New York",Present,NA
197,"Shi'ar Yacht Azree Shar, Space*",Present,*in dream
197,"Rasputin residence, Russia*",Present,*in dream
197,"Muderworld, under abandoned amusement park, New York",Present,NA
197,Anchorage Alaska,Present,NA
197,"Muderworld, under abandoned amusement park, New York",Present,NA
197,"Bar, Lower Manhattan",Present,NA
197,Train Station Manhattan,Present,NA
197,X-Mansion,Present,NA
198,"The Desert, East Africa",Present,NA
198,"A village, East Africa",Present,NA
199,Danger room,Present,NA
199,Washington Dc,Present,NA
199,"St. Stephen's Chapel Cemetery, Upstate New York",Present,NA
199,"National Holocaust memorial, Washington D.C",Present,NA
200,"Palais de Justice Paris, France",Present,NA
200,The Mediterranean,Present,NA
200,"The Bagatelle part of the Boris de Boulogne, France",Present,NA
200,"Red Army base near Baltic Seaport of Szczecin, Poland",Present,NA
200,"The Ritz, Paris,Fance",Present,NA
200,"Headquarters of the 173rd Tactical Strike Wing, United Sates Air Force, Holbrooke??, West Germany",Present,NA
200,"Palais de Justice Paris, France",Present,NA
200,"Left Bank of the Slene, France??",Present,NA
200,"Palais de Justice Paris, France",Present,NA
200,"St. Just Military Hospital, France",Present,NA
200,"Palais de Justice Paris, France",Present,NA
200,X-Mansion,Present,NA
200,"Starjammer, Space",Present,NA
200,"Palais de Justice Paris, France",Present,NA
200,"Seine Rover, France",Present,NA
200,"Palais de Justice Paris, France",Present,NA
200,"Garden, France",Present,NA
200,"Paris, Police Headquarters",Present,NA
200,"Palais de Justice Paris, France",Present,NA
201,X-Mansion,Present,NA
201,"Star Jammers, Space",Present,NA
201,X-Mansion,Present,NA
201,Danger Room,Present,NA
201,"Grey Residence, Annandale on -Hudson, U.S.A",Present,NA
201,The Moon,Present,NA
201,"Grey Residence, Anhandale on -Hudson, U.S.A",Present,NA
202,X-Mansion,Present,NA
202,Space,Present,NA
202,"Alcatraz, San Francisco",Present,NA
202,New York,Future,NA
202,"Baxter building, New York",Future,NA
202,"Blackbird, Over San Francisco",Present,NA
202,"Embarcadero??, San Francisco",Present,NA
202,Market and Church San Francisco,Present,NA
202,"Alcatraz, San Francisco",Present,NA
203,"Golden Gate Bridge, San Francisco",Past,NA
203,"Golden Gate Bridge, San Francisco",Present,NA
203,San Francisco,Present,NA
203,Space above Earth,Present,NA
203,"Star jammers ship, Space",Present,NA
203,"M'Kraan Crystal, Space",Present,NA
203,San Francisco,Present,NA
204,New York City,Present,NA
204,Taxi on way to J.F.K Airport,Present,NA
204,"Central Park, New York",Present,NA
204,"North Bronx Amusement Park, New York",Present,NA
204,"Murderworld, under Amusement Park, New York",Present,NA
204,"Upper West Side, Manhattan",Present,NA
205,"South Street Seaport, Lower East River Shore of Manhattan Island",Present,NA
206,San Francisco,Present,NA
206,"1 Yarbro Court, San Francisco",Present,NA
206,"TWA Flight 707, Outbound from London En Route over the North Pole to Los Angeles",Present,NA
206,San Francisco,Present,NA
206,"1 Yarbro Court, San Francisco",Present,NA
206,San Francisco Memorial Hospital,Present,NA
206,"Airport (unspecified which one), New York",Present,NA
207,Unspecified city*,Future,*In dream
207,"Morlock residence, under New York",Present,NA
207,Japan*,Present,*In dream
207,New York,Present,NA
207,Unspecified Location,Future,*In dream
207,New York Subway,Present,NA
207,Ruins of Damiano residence,Present,NA
207,"The Monarch Towers, New York",Present,NA
207,"The Hellfire Club, New York",Present,NA
208,Morlock residence under New York,Present,NA
208,Central Park,Present,NA
208,"Hellfire Clube, Fifth avenue, New York",Present,NA
208,New York,Present,NA
208,"Subway Tunnel, West side of Central Park, New York",Present,NA
208,Central Park,Present,NA
209,Central Park,Present,NA
209,"The Body Shoppe, Central Park",Present,NA
209,Central Park,Present,NA
209,"Central Park Precinct, 86th Street",Present,NA
209,Central Park,Present,NA
209,"The Body Shoppe, Central Park",Present,NA
209,Central Park,Present,NA
209,"The Body Shoppe, Central Park",Present,NA
210,"Railroads, Los Angeles, California",Present,NA
210,San Francisco,Present,NA
210,New York,Present,NA
210,X-Mansion,Present,NA
210,Hellfire Club,Present,NA
210,"Hudson River Warehouse, New York",Present,NA
210,"The Delacorte Theatre, Central Park",Present,NA
210,Grand Central Station,Present,NA
211,Morlock residence under New York,Present,NA
211,X-Mansion,Present,NA
211,Morlock residence under New York,Present,NA
212,Morlock residence under New York,Present,NA
212,X-Mansion,Present,NA
212,Morlock residence under New York,Present,NA
212,X-Mansion,Present,NA
212,Morlock residence under New York,Present,NA
212,Breakstone Lake,Present,NA
212,Morlock residence under New York,Present,NA
213,X-mansion,Present,NA
213,Morlock residence under New York,Present,NA
213,X-Mansion,Present,NA
213,Los Angeles,Present,NA
213,X-mansion,Present,NA
214,"Raven Theatre, Denver",Present,NA
214,X-Mansion,Present,NA
214,Danger Room,Present,NA
214,X-Mansion,Present,NA
214,Dallas,NA,NA
214,NA,Present,NA
215,San Francisco International Airport,Present,NA
215,X-Mansion,Present,NA
215,San Francisco General Hospital,Present,NA
215,Upstate New York,Present,NA
215,Blackbird on way to Muir Island,Present,NA
215,"House, upstate new York",Present,NA
216,Unspecified forest in Upstate New York,Present,NA
216,"Adirondack Forest, New York",Present,NA
216,"Muir Island, Scotland",Present,NA
216,"Adirondack Forest, New York",Present,NA
216,Unspecified forest in Upstate New York,Present,NA
216,Russell New York,Present,NA
217,"Muir Island, Scotland",Present,NA
217,"Mary Rose, Outside Scotland",Present,NA
217,"Moira's lab, Muir Island, Scotland",Present,NA
217,"Muir Island, Scotland",Present,NA
217,"Ultrapool, Northeast Coast of Scotland",Present,NA
217,"Black Ned's Pub, Ultrapool Northeast Coast of Scotland",Present,NA
217,"Ultrapool, Northeast Coast of Scotland",Present,NA
218,"Rio Diablo Mounters, Northern New Mexico",Present,NA
218,"Ultrapool, Northeast Coast of Scotland",Present,NA
218,Edinburgh Scotland,Present,NA
218,Waverly Railroad Station. Edinburgh Scotland,Present,NA
218,"Rio Diablo Mounters, Northern New Mexico",Present,NA
219,X-Mansion*,Present,*In dream
219,Danger Room*,Present,*In dream
219,X-Mansion*,Present,*In dream
219,Summers residence New Mexico,Present,NA
219,X-Mansion,Present,NA
219,Summers residence new Mexico,Present,NA
219,"Hellfire Club, New York",Present,NA
219,Ruins of Avengers Mansion,Present,NA
219,"Muir Island, Scotland",Present,NA
219,Ruins of Avengers Mansion,Present,NA
219,Manhattan,Present,NA
219,New York Subway,Present,NA
219,Morlock residence under New York,Present,NA
219,Summers residence New Mexico,Present,NA
219,Morlock residence under New York,Present,NA
219,Summers residence New Mexico,Present,NA
220,Unspecified forest location,Present,NA
220,Eagle Plaza Dallas Texas,Present,NA
221,Maunders?? headquarters unspecified location,Present,NA
221,Danger room,Present,NA
221,The Grand Canyon,Present,NA
221,"Memorial Hospital, San Francisco",Present,NA
221,San Francisco Bay,Present,NA
222,San Francisco Bay,Present,NA
222,"Hyde  Street, San Francisco",Present,NA
222,Forest near Grand Canyon,Present,NA
222,"Hyde  Street, San Francisco",Present,NA
222,"Golden Gate Bridge, San Francisco",Present,NA
222,Over San Francisco,Present,NA
223,"Georgetown, Washington",Present,NA
223,"Rocky Mountains, Colorado",Present,NA
223,"Queens, New York",Present,NA
223,San Francisco,Present,NA
223,"Alcatraz, San Francisco",Present,NA
223,"Rocky Mountains, Colorado",Present,NA
223,"Alcatraz, San Francisco",Present,NA
224,Continental divide near the Valley of Yellowstone Wyoming,Present,NA
224,San Francisco,Present,NA
224,"Unpreceded gym, San Francisco",Present,NA
224,"Club DVB, Mission District, San Francisco",Present,NA
224,"Downtown, near Union Square, San Francisco",Present,NA
224,"Alcatraz, San Francisco",Present,NA
224,"Yellowstone, Wyoming",Present,NA
225,"Edinburgh, Scotland",Present,NA
225,Unspecified mystical realm,Present,NA
225,"Highlands north of Edinburgh, Scotland",Present,NA
225,"Eagle Plaza, Dallas",Present,NA
226,"Eagle Plaza, Dallas",Present,NA
226,Yellowstone Wyoming,Present,NA
226,Dallas,Present,NA
226,"Eagle Plaza, Dallas",Present,NA
226,"Galleria, Dallas",Present,NA
226,"Junction of I-35 and the Dallas North Tollway, Dallas",Present,NA
226,Valley Yellowstone Wyoming,Present,NA
226,"Eagle Plaza, Dallas",Present,NA
226,Unspecified  region on Africa,Present,NA
226,Dallas,Present,NA
226,Yellowstone Wyoming,Present,NA
226,Dallas,Present,NA
226,Yellowstone Wyoming,Present,NA
226,Dallas,Present,NA
226,Yellowstone Wyoming,Present,NA
226,Dallas,Present,NA
226,Yellowstone Wyoming,Present,NA
226,Dallas,Present,NA
227,"Eagle Plaza, Dallas Texas",Present,NA
227,Unspecified mystic Location over Earth,Present,NA
227,Dallas,Present,NA
227,Unspecified mystic Location over Earth,Present,NA
227,"Muir Island, Scotland",Present,NA
227,Dallas,Present,NA
228,"Los Angeles, California",Present,NA
228,Danger Room,Present,NA
228,X-Mansion,Present,NA
228,"Bentonville???, Florida",Present,NA
228,"Miami, Florida",Present,NA
228,"Unspecified hotel room, Miami, Florida",Present,NA
228,"Unnamed Bar, Miami, Florida",Present,NA
228,"Prison, Miami, Florida",Present,NA
228,Marsh outside of Miami Florida,Present,NA
228,"Miami, Florida",Present,NA
229,"Huan?? International Bank, Singapore",Present,NA
229,"Desert, Australia",Present,NA
230,Unspecified region of Australia,Present,NA
230,"Treasure Cavern, Unspecified region of Australia",Present,NA
230,"X-Men's Australian residence, Unspecified region in Australia",Present,NA
230,"Treasure cavern, unspecified region in Australia",Present,NA
230,Unspecified region in Australia,Present,NA
230,Paris,Present,NA
230,"Corby, Northants, England",Present,NA
230,"Salem Center, New York",Present,NA
230,"Hong Kong,",Present,NA
230,"St. Andrews Hospital, Boston",Present,NA
231,Limbo*,unspecified time*,*Limbo exists outside of place and time
231,Unspecified region in Australia,Present,NA
231,"X-Men's Australian Residence, unspecified region in Australia",Present,NA
231,Limbo*,Present,*Limbo exists outside of time and space
231,X-mansion,Present,NA
231,Limbo*,Unspecified time*,*Limbo exists outside of time and space
232,"Upstate New York, U.S.A",Past,NA
232,"Edinburgh, Scotland",Past,NA
232,"Paris ,New Mexico, U.S.A",Past,NA
232,"Rio Diablo, New Mexico, U.S.A",Past,NA
232,"Denver, Colorado",Past,NA
232,Unspecified region in Australia,Present,NA
232,"Underground Computer Center, Australia",Present,NA
232,"Denver, Colorado",Present,NA
233,"Downtown, Denver Colorado",Present,NA
233,"Red Rocks Amphitheatre, Denver, Colorado",Present,NA
233,Unspecified Forest*,Present,*In dream
233,X-men Australian residence,Present,NA
233,Unspecified Forest*,Present,*In dream
233,"Downtown, Denver Colorado",Present,NA
234,"Mile High Diner, Denver Colorado",Present,NA
234,Unspecified region in Australia,Present,NA
234,Unspecified Jungle*,Present,*In dream
234,"Red Rocks Amphitheater, Denver, Colorado",Present,NA
234,"Outside Denver, Colorado",Present,NA
234,"Underground Computer Center, Australia",Present,NA
234,NA,Present,NA
235,Genosha,NA,NA
235,Unspecified region in Australia,Present,NA
235,Sydney International Airport,Present,NA
235,"Hospital, Sydney",Present,NA
235,Sydney Australia,Present,NA
236,"Citadel, Genosha",Present,NA
236,"unspecified residence, Genosha",Present,NA
236,"Hammer Bay, Genosha",Present,NA
236,"Sydney, Australia",Present,NA
236,"Citadel, Genosha",Present,NA
236,"Unspecified residence, Genosha",Present,NA
236,"Unspecified residence, Genosha",Present,NA
236,"Citadel, Genosha",Present,NA
236,"Unspecified residence, Genosha",Present,NA
236,"Citadel, Genosha",Present,NA
236,"The Hangar Bay, Genosha",Present,NA
237,North of Seychelles Islands over Indian Ocean,Present,NA
237,"Video store, Genosha",Present,NA
237,Bar Genosha,Present,NA
237,"Central Station, Genosha",Present,NA
237,"The Citadel, Genosha",Present,NA
237,"Psionics Examination Lab, Genosha",Present,NA
237,Jungle region of Genosha,Present,NA
237,"The Citadel, Genosha",Present,NA
237,Jungle region of Genosha,Present,NA
237,"The ""Mute Train"" entering the foothills of Ridgeback Range, Genosha",Present,NA
238,"Unspecified flower field, Genosha*",Present,*In psychic vision
238,"The Citadel, Genosha*",Present,*In psychic vision
238,"The Highlands, North of Ridgeback Range, Genosha",Present,NA
238,Over Genosha,Present,NA
238,"The Citadel, Genosha",Present,NA
238,"The Main Gates of the Citadel, Genosha",Present,NA
238,"The Citadel, Genosha",Present,NA
239,"The Empire State building, New York",Present,NA
239,Unspecified region in Australia,Present,NA
239,San Francisco,Past,NA
239,Denver,Past,NA
239,Unspecified region in Australia,Present,NA
240,"The Rainbow Room, RCA Building, Rockefeller Center, Manhattan",Present,NA
240,Unspecified region in Australia,Present,NA
240,"Bard College, Cemetery of St. Stephens Chapel",Present,NA
240,Unspecified region in Australia,Present,NA
240,X-Men Australian Residence,Present,NA
240,Nebraska,Present,NA
240,Morlock residence under Manhattan,Present,NA
240,"Sanctum Sanctorum, Nebraska",Present,NA
241,"Sanctum Sanctorum, Nebraska",Present,NA
241,Manhattan,Present,NA
241,"Sanctum Sanctorum, Nebraska",Present,NA
241,Manhattan,Present,NA
241,"Sanctum Sanctorum, Nebraska",Present,NA
241,Manhattan,Present,NA
241,Empire State Building,Present,NA
241,"Sanctum Sanctorum, Nebraska",Present,NA
241,Manhattan,Present,NA
242,"Central Park, Manhattan",Present,NA
242,"Empire state building, Manhattan",Present,NA
243,Empire State building,Present,NA
243,Blue area of moon*,Present,*Psychically believe in location
243,X-Mansion*,Present,*Psychically believe in location
243,Beast's vessel outside New York,Present,NA
243,"The Hangar Bay, X-Mansion",Present,NA
243,X-Mansion*,Present,*Physically in location in Jean's mind
244,Hollywood Mall,Present,NA
244,Unspecified region in Australia,Present,NA
244,Hollywood Mall,Present,NA
244,"Hotbods, Hollywood",Present,NA
244,Hollywood Mall,Present,NA
245,Space,Present,NA
245,X-Men's Australian residence,Present,NA
245,"Unnamed bar, Sydney Australia",Present,NA
245,"Downtown, Sydney Australia",Present,NA
245,"Unnamed bar, Sydney Australia",Present,NA
245,"Daily Planet, New York",Present,NA
245,Space,Present,NA
245,"Sydney streets, Australia",Present,NA
245,"Unnamed bar, Sydney Australia",Present,NA
245,"Sydney streets, Australia",Present,NA
245,Unspecified region in Australia,Present,NA
245,Highlands of Kentucky,Present,NA
246,X-Men's Australian Residence,Present,NA
246,"Alphabet City, Manhattan",Present,NA
246,X-Men's Australian Residence,Present,NA
246,"""The Wall"" Washington D.C.",Present,NA
246,Unspecified region in Australia,Present,NA
246,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
246,"West Village, New York",Present,NA
246,Downtown Manhattan,Present,NA
247,Lower West side of Manhattan,Present,NA
247,X-Men's Australian residence,Present,NA
247,Lower West side of Manhattan,Present,NA
247,"Hellfire Club, New York",Present,NA
248,Unspecified Reavers headquarter,Present,NA
248,Unspecified region in Australia,Present,NA
248,X-Men Australian Residence,Present,NA
248,Unspecified region in Australia,Present,NA
248,X-Men Australian Residence,Present,NA
249,X-Men Australian Residence,Present,NA
249,Unspecified Cemetery,Present,NA
249,X-Men Australian Residence,Present,NA
249,Punta Arenas,Present,NA
249,Unspecified Australian City,Present,NA
249,Unspecified Reaves Headquarters,Present,NA
249,X-Men Australian Residence,Present,NA
249,Unspecified Australian location,Present,NA
249,Punta Arenas,Present,NA
250,"Vostok 3 Research Station, Antarctica",Present,NA
250,The Savage Land,Present,NA
250,Unspecified Australian location,Present,NA
250,The Savage Land,Present,NA
250,Unspecified Australian location,Present,NA
251,"Unspecified Reavers headquarters, Australia",Present,NA
252,"Unspecified Reavers Headquarters, Australia",Present,NA
252,"Unspecified Reavers Headquarters, Australia",Present,NA
252,Australian outback,Present,NA
253,"Norton Street Levee, Cairo, Illinois",Present,NA
253,Cairo Memorial Hospital,Present,NA
253,"Reavers Headquarters, Australia",Present,NA
253,Cairo Memorial Hospital,Present,NA
253,"Muir Island, North Coast of Scotland",Present,NA
253,"Reavers Headquarters, Australia",Present,NA
253,"Muir Island, North Coast of Scotland",Present,NA
253,Atlantic Ocean,Present,NA
253,West Coast of Britain,Present,NA
253,"Yellowstone, America",Present,NA
253,Cairo Memorial Hospital,Present,NA
253,"Reavers Headquarters, Australia",Present,NA
254,"Muir Island, Scotland",Present,NA
254,"Ullapool, West Coast of Scotland",Present,NA
254,"Muir Island, Scotland",Present,NA
254,X-mansion,Present,NA
254,"Muir Island, Scotland",Present,NA
254,"Mystique Residence, Washington D.C",Present,NA
254,"Muir Island, Scotland",Present,NA
254,Freedom Force Headquarters Washington D.C,Present,NA
254,"Muir Island, Scotland",Present,NA
255,"Muir Island, Scotland",Present,NA
255,"Memorial Hospital Cairo, Illinois",Present,NA
255,"Muir Island, Scotland",Present,NA
255,"Island, South China Sea",Present,NA
255,"Muir Island, Scotland",Present,NA
255,"Cairo Memorial Hospital, Illinois",Present,NA
256,Unspecified region of Hong Kong,Present,NA
256,Unspecified region in England,Present,NA
256,"The Body Shoppe, Unspecified mystical region",Present,NA
256,Unspecified region of Genosha,Present,NA
256,Unspecified region of Hong Kong,Present,NA
257,Unspecified region of Hong Kong,Present,NA
257,Harbor of Hong Kong,Present,NA
257,"Cairo, Illinois, U.S.A",Present,NA
257,"Landu, Luckman & Lake, Hong Kong",Present,NA
257,The South China Sea,Present,NA
257,Unspecified region of Hong Kong,Present,NA
257,"Muir Island, North Coast of Scotland",Present,NA
257,Harbor of Hong Kong,Present,NA
258,"Catacombs under Mandarin's Villa, Hong Kong",Present,NA
258,"Muir Island, Northern Scotland",Present,NA
258,"The Mandarin's Villa, Hong Kong",Present,NA
258,"Catacombs under Mandarin's Villa, Hong Kong",Present,NA
258,"The Mandarin's Villa, Hong Kong",Present,NA
