tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1992-019,2448722.64,1992-04-10,1992,Delta 7925,,Navstar GPS SVN 28,MDSSC,US,O,private
1992-027,2448756.53,1992-05-14,1992,Delta 7925,,Palapa B4,MDSSC,US,O,private
1992-031,2448781.19,1992-06-07,1992,Delta 6920-10,,EUVE,MDSSC,US,O,private
1992-039,2448810.89,1992-07-07,1992,Delta 7925,,Navstar GPS SVN 26,MDSSC,US,O,private
1992-044,2448828.1,1992-07-24,1992,Delta 6925,,Geotail,MDSSC,US,O,private
1992-057,2448865.95,1992-08-31,1992,Delta 7925,,Satcom C-4,MDSSC,US,O,private
1992-058,2448874.87,1992-09-09,1992,Delta 7925,,Navstar GPS SVN 27,MDSSC,US,O,private
1992-066,2448907.91,1992-10-12,1992,Delta 7925,,DFS 3,MDSSC,US,O,private
1992-079,2448949.5,1992-11-22,1992,Delta 7925,,Navstar GPS SVN 32,MDSSC,US,O,private
1992-089,2448975.43,1992-12-18,1992,Delta 7925,,Navstar GPS SVN 29,MDSSC,US,O,private
1993-007,2449021.62,1993-02-03,1993,Delta 7925,,Navstar GPS SVN 22,MDSSC,US,O,private
1993-017,2449076.63,1993-03-30,1993,Delta 7925,,Navstar GPS SVN 31,MDSSC,US,O,private
1993-032,2449120.5,1993-05-13,1993,Delta 7925,,Navstar GPS SVN 37,MDSSC,US,O,private
1993-042,2449165.06,1993-06-26,1993,Delta 7925,,Navstar GPS SVN 39,MDSSC,US,O,private
1993-054,2449230.03,1993-08-30,1993,Delta 7925,,Navstar GPS SVN 35,MDSSC,US,O,private
1993-068,2449287.21,1993-10-26,1993,Delta 7925,,Navstar GPS SVN 34,MDSSC,US,O,private
1993-076,2449329.53,1993-12-08,1993,Delta 7925,,NATO 4B,MDSSC,US,O,private
1994-013,2449403.49,1994-02-19,1994,Delta 7925-8,,Galaxy 1RR,MDSSC,US,O,private
1994-016,2449421.65,1994-03-10,1994,Delta 7925,,Navstar GPS SVN 36,MDSSC,US,O,private
1994-071,2449657.9,1994-11-01,1994,Delta 7925-10,,WIND,MDSSC,US,O,private
1995-041,2449934.97,1995-08-05,1995,Delta 7925,,Koreasat 1,MDSSC,US,O,private
1995-059,2450026.1,1995-11-04,1995,Delta 7920-10,,Radarsat,MDSSC,US,O,private
1995-074,2450082.08,1995-12-30,1995,Delta 7920-10,,XTE,MDSSC,US,O,private
1996-003,2450096.97,1996-01-14,1996,Delta 7925,,Koreasat 2,MDSSC,US,O,private
1996-008,2450131.36,1996-02-17,1996,Delta 7925-8,,NEAR,MDSSC,US,O,private
1996-013,2450137.98,1996-02-24,1996,Delta 7925-10,,Polar,MDSSC,US,O,private
1996-019,2450170.51,1996-03-28,1996,Delta 7925,,Navstar GPS SVN 33,MDSSC,US,O,private
1996-024,2450198.02,1996-04-24,1996,Delta 7920-10,,MSX,MDSSC,US,O,private
1996-033,2450227.55,1996-05-24,1996,Delta 7925,,Galaxy 9,MDSSC,US,O,private
1996-041,2450280.53,1996-07-16,1996,Delta 7925,,Navstar GPS SVN 40,MDSSC,US,O,private
1996-056,2450338.87,1996-09-12,1996,Delta 7925,,Navstar GPS SVN 30,MDSSC,US,O,private
1996-062,2450395.21,1996-11-07,1996,Delta 7925,,MGS,MDSSC,US,O,private
1996-068,2450421.79,1996-12-04,1996,Delta 7925,,MPF Lander,MDSSC,US,O,private
1997-020,2450574.12,1997-05-05,1997,Delta 7920-10C,,Iridium SV008,MDSSC,US,O,private
1997-025,2450589.44,1997-05-20,1997,Delta 7925,,Thor 2A,MDSSC,US,O,private
1997-034,2450639.04,1997-07-09,1997,Delta 7920-10C,,Iridium SV015,MDSSC,US,O,private
1997-035,2450652.65,1997-07-23,1997,Delta 7925,,Navstar GPS SVN 43,MDSSC,US,O,private
1997-F01,2450466.19,1997-01-17,1997,Delta 7925,,Navstar GPS SVN 42,MDSSC,US,F,private
2006-037,2453989.69,2006-09-11,2006,H-IIA 202,,IGS Optical-2,MHI,J,O,private
2006-059,2454087.77,2006-12-18,2006,H-IIA 204,,ETS-8,MHI,J,O,private
2007-005,2454155.7,2007-02-24,2007,H-IIA 2024,,IGS Radar-2,MHI,J,O,private
2007-039,2454357.56,2007-09-14,2007,H-IIA 2022,,SELENE,MHI,J,O,private
2008-007,2454519.87,2008-02-23,2008,H-IIA 2024,1,WINDS,MHI,J,O,private
2009-002,2454854.66,2009-01-23,2009,H-IIA 202,1,GOSAT,MHI,J,O,private
2009-066,2455163.56,2009-11-28,2009,H-IIA 202,,IGS Optical-3,MHI,J,O,private
2010-020,2455337.42,2010-05-20,2010,H-IIA 202,1,K-SAT,MHI,J,O,private
2010-045,2455450.97,2010-09-11,2010,H-IIA 202,1,QZSS,MHI,J,O,private
2011-050,2455827.69,2011-09-23,2011,H-IIA 202,,IGS Optical-4,MHI,J,O,private
2011-075,2455907.56,2011-12-12,2011,H-IIA 202,,IGS Radar-3,MHI,J,O,private
2012-025,2456065.19,2012-05-17,2012,H-IIA 202,1,GCOM-W1,MHI,J,O,private
2013-002,2456319.69,2013-01-27,2013,H-IIA 202,1,IGS Radar-4,MHI,J,O,private
2013-040,2456508.33,2013-08-03,2013,H-IIB,,HTV 4,MHI,J,O,private
2014-009,2456716.28,2014-02-27,2014,H-IIA 202,1,GPM-C,MHI,J,O,private
2014-029,2456801.63,2014-05-24,2014,H-IIA 202,1,ALOS-2,MHI,J,O,private
2014-060,2456937.72,2014-10-07,2014,H-IIA 202,1,Himawari 8,MHI,J,O,private
2014-076,2456994.68,2014-12-03,2014,H-IIA 202,1,Hayabusa-2,MHI,J,O,private
2015-004,2457054.56,2015-02-01,2015,H-IIA 202,1,IGS Radar-Spare,MHI,J,O,private
2015-015,2457107.56,2015-03-26,2015,H-IIA 202,1,IGS Optical-5,MHI,J,O,private
2015-038,2457253.99,2015-08-19,2015,H-IIB,,HTV 5,MHI,J,O,private
2015-068,2457350.78,2015-11-24,2015,H-IIA 204,2,Telstar 12V,MHI,J,O,private
2016-012,2457435.86,2016-02-17,2016,H-IIA 202,1,ASTRO-H,MHI,J,O,private
2016-064,2457694.76,2016-11-02,2016,H-IIA 202,1,Himawari 9,MHI,J,O,private
2016-076,2457732.06,2016-12-09,2016,H-IIB,,HTV 6,MHI,J,O,private
2017-005,2457777.82,2017-01-24,2017,H-IIA 204,2,DSN 2,MHI,J,O,private
2017-015,2457829.56,2017-03-17,2017,H-IIA 202,1,IGS R-5,MHI,J,O,private
2017-028,2457905.51,2017-06-01,2017,H-IIA 202,1,QZSS 2,MHI,J,O,private
2017-048,2457984.73,2017-08-19,2017,H-IIA 204,2,QZSS 3,MHI,J,O,private
2017-062,2458036.42,2017-10-09,2017,H-IIA 202,1,QZSS 4,MHI,J,O,private
2017-082,2458110.56,2017-12-23,2017,H-IIA 202,1,GCOM-C/SLATGS,MHI,J,O,private
2018-021,2458176.69,2018-02-27,2018,H-IIA 202,1,IGS O-6,MHI,J,O,private
2018-052,2458281.68,2018-06-12,2018,H-IIA 202,1,IGS R-6,MHI,J,O,private
2018-073,2458384.24,2018-09-22,2018,H-IIB,,HTV 7,MHI,J,O,private
1990-001,2447892.5,1990-01-01,1990,Commercial Titan 3,,Skynet 4A,MMA,US,O,private
1990-021,2447964.99,1990-03-14,1990,Commercial Titan 3,,INTELSAT VI F-3,MMA,US,O,private
1990-056,2448065.97,1990-06-23,1990,Commercial Titan 3,,INTELSAT VI F-4,MMA,US,O,private
1992-063,2448891.21,1992-09-25,1992,Commercial Titan 3,,Mars Observer,MMA,US,O,private
1994-035,2449528.08,1994-06-24,1994,Atlas I,,UFO F3,MMCLS,US,O,private
1994-047,2449568.5,1994-08-03,1994,Atlas IIA,,DBS 2,MMCLS,US,O,private
1994-064,2449631.77,1994-10-06,1994,Atlas IIAS,,INTELSAT 703,MMCLS,US,O,private
1994-079,2449685.93,1994-11-29,1994,Atlas IIA,,Orion 1,MMCLS,US,O,private
1994-089,2449716.92,1994-12-30,1994,Atlas E,,NOAA J,MMCLS,US,O,private
1995-001,2449727.76,1995-01-10,1995,Atlas IIAS,,INTELSAT 704,MMCLS,US,O,private
1995-003,2449746.56,1995-01-29,1995,Atlas II,,UFO F4 EHF,MMCLS,US,O,private
1957 ALP,2436116.31,1957-10-04,1957,Sputnik 8K71PS,,PS-1,,SU,O,state
1957 BET,2436145.6,1957-11-03,1957,Sputnik 8K71PS,,PS-2,,SU,O,state
1958 DEL,2436338.79,1958-05-15,1958,Sputnik 8A91,,D-1 No. 2,,SU,O,state
1959 MU,2436571.2,1959-01-02,1959,Vostok-L 8K72,,E-1 No. 4,,SU,O,state
1959 XI,2436823.78,1959-09-12,1959,Vostok-L 8K72,,E-1 No. 6,,SU,O,state
1959 THE,2436845.53,1959-10-04,1959,Vostok-L 8K72,,E-2A,,SU,O,state
1958-F03,2436320.88,1958-04-27,1958,Sputnik 8A91,,D-1 No. 1,,SU,F,state
1958-F15,2436469.82,1958-09-23,1958,Vostok-L 8K72,,E-1 No. 1,,SU,F,state
1958-F17,2436488.4,1958-10-11,1958,Vostok-L 8K72,,E-1 No. 2,,SU,F,state
1958-F20,2436542.26,1958-12-04,1958,Vostok-L 8K72,,E-1 No. 3,,SU,F,state
1959-F06,2436737.84,1959-06-18,1959,Vostok-L 8K72,,E-1 No. 5,,SU,F,state
2016-009,2457425.52,2016-02-07,2016,Kwangmyongsong,,KMS-4 Unit 1,KP,KP,O,state
1959 IOT,2436855.15,1959-10-13,1959,Juno II,,NASA S-1A,US,US,O,state
1960 IOT,2437158.9,1960-08-12,1960,Thor Delta,,A-11,US,US,O,state
1960 XI,2437241.72,1960-11-03,1960,Juno II,,NASA S-30,US,US,O,state
1960 PI,2437261.97,1960-11-23,1960,Thor Delta,,NASA A-2,US,US,O,state
1961 DEL,2437347.05,1961-02-16,1961,Scout X-1,,NASA S-56A,US,US,O,state
1961 KAP,2437384.14,1961-03-25,1961,Thor Delta,,P-14,US,US,O,state
1961 NU,2437417.09,1961-04-27,1961,Juno II,,NASA S-15,US,US,O,state
1961 RHO,2437492.93,1961-07-12,1961,Thor Delta,,NASA A-3,US,US,O,state
1961 UPS,2437527.64,1961-08-16,1961,Thor Delta,,NASA S-3,US,US,O,state
1961 CHI,2437537.27,1961-08-25,1961,Scout X-1,,NASA S-55A,US,US,O,state
1962 BET,2437704.03,1962-02-08,1962,Thor Delta,,NASA A-9,US,US,O,state
1962 ZET,2437731.17,1962-03-07,1962,Thor Delta,,NASA S-16,US,US,O,state
1962 OMI,2437781.25,1962-04-26,1962,Thor Delta,,UK 1,US,US,O,state
1962 A ALP,2437835.01,1962-06-19,1962,Thor Delta,,Tiros E,US,US,O,state
1962 A EPS,2437855.86,1962-07-10,1962,Thor Delta,,Telstar 1,US,US,O,state
1962 A PSI,2437925.87,1962-09-18,1962,Thor Delta,,Tiros F2,US,US,O,state
1962 B ALP,2437936.75,1962-09-29,1962,Thor Agena B,,Alouette 1,US,US,O,state
1962 B GAM,2437940.42,1962-10-02,1962,Thor Delta A,,EPE B,US,US,O,state
1962 B LAM,2437965.47,1962-10-27,1962,Thor Delta A,,EPE C,US,US,O,state
1962 B UPS,2438012.48,1962-12-13,1962,Thor Delta B,,Relay A,US,US,O,state
1962 B CHI,2438015.11,1962-12-16,1962,Scout X-3,,NASA S-55B,US,US,O,state
1963-004,2438074.73,1963-02-14,1963,Thor Delta B,,Syncom 1,US,US,O,state
1963-009,2438122.58,1963-04-03,1963,Thor Delta B,,AE-A,US,US,O,state
1963-013,2438156.98,1963-05-07,1963,Thor Delta B,,Telstar 2,US,US,O,state
1963-024,2438199.91,1963-06-19,1963,Thor Delta B,,Tiros G,US,US,O,state
1963-026,2438209.39,1963-06-28,1963,Scout X-4,,AFCRL A,US,US,O,state
1963-031,2438237.11,1963-07-26,1963,Thor Delta B,,Syncom 2,US,US,O,state
1963-046,2438360.6,1963-11-27,1963,Thor Delta C,,IMP A,US,US,O,state
1963-047,2438361.29,1963-11-27,1963,Atlas Centaur,,AC-2,US,US,O,state
1963-054,2438384.9,1963-12-21,1963,Thor Delta B,,Tiros H,US,US,O,state
1964-003,2438416.39,1964-01-21,1964,Thor Delta B,,Relay B,US,US,O,state
1964-005,2438424.18,1964-01-29,1964,Saturn I,Blk2,Jupiter Nosecone/Ballast,US,US,O,state
1964-015,2438482.23,1964-03-27,1964,Scout X-3,,UK-C,US,US,O,state
1964-018,2438494.17,1964-04-08,1964,Titan II GLV,,Gemini SC1,US,US,O,state
1964-025,2438544.21,1964-05-28,1964,Saturn I,Blk2,Apollo BP-13 CM,US,US,O,state
1964-047,2438627.01,1964-08-19,1964,Thor Delta D,,Syncom C,US,US,O,state
1964-057,2438657.18,1964-09-18,1964,Saturn I,Blk2,Apollo BP-15 CM,US,US,O,state
1964-060,2438672.66,1964-10-04,1964,Thor Delta C,,IMP B,US,US,O,state
1964-074,2438706,1964-11-06,1964,Scout X-4,,NASA S-55C,US,US,O,state
1964-082,2438741.1,1964-12-11,1964,Atlas Centaur,,Surveyor Model,US,US,O,state
1964-084,2438745.35,1964-12-15,1964,Scout X-4,,San Marco 1,US,US,O,state
1964-086,2438750.88,1964-12-21,1964,Thor Delta C,,EPE-D,US,US,O,state
1965-100,2439099.31,1965-12-04,1965,Titan II GLV,,Gemini SC7,US,US,O,state
1965-004,2438782.83,1965-01-22,1965,Thor Delta C,,Tiros I,US,US,O,state
1965-104,2439110.07,1965-12-15,1965,Titan II GLV,,Gemini SC6,US,US,O,state
1965-105,2439110.81,1965-12-16,1965,Thor Delta E,,Pioneer A,US,US,O,state
1965-007,2438795.19,1965-02-03,1965,Thor Delta C,,OSO B2,US,US,O,state
1965-009,2438808.11,1965-02-16,1965,Saturn I,Blk2,Pegasus 1,US,US,O,state
1965-024,2438843.1,1965-03-23,1965,Titan II GLV,,Gemini SC3,US,US,O,state
1965-028,2438857.49,1965-04-06,1965,Thor Delta D,,INTELSAT I,US,US,O,state
1965-032,2438880.1,1965-04-29,1965,Scout X-4,,Beacon Explorer C,US,US,O,state
1965-039,2438905.82,1965-05-25,1965,Saturn I,Blk2,Pegasus 2,US,US,O,state
1965-042,2438910,1965-05-29,1965,Thor Delta C,,IMP C,US,US,O,state
1965-043,2438915.14,1965-06-03,1965,Titan II GLV,,Gemini SC4,US,US,O,state
1965-051,2438943.67,1965-07-02,1965,Thor Delta C,,Tiros OT1,US,US,O,state
1965-060,2438972.04,1965-07-30,1965,Saturn I,Blk2,Pegasus 3,US,US,O,state
1965-063,2438983.25,1965-08-10,1965,Scout B,,Secor Type I S/N 2,US,US,O,state
1965-064,2438984.1,1965-08-11,1965,Atlas Centaur D,,Surveyor SD-2,US,US,O,state
1965-068,2438994.08,1965-08-21,1965,Titan II GLV,,Gemini SC5,US,US,O,state
1965-089,2439071.28,1965-11-06,1965,Thor Delta E,,GEOS A,US,US,O,state
1965-093,2439083.7,1965-11-19,1965,Scout X-4,,Solar Explorer A,US,US,O,state
1966-104,2439441.37,1966-11-11,1966,Titan II GLV,,Gemini SC12,US,US,O,state
1966-008,2439159.82,1966-02-03,1966,Thor Delta C,,Tiros OT3,US,US,O,state
1966-114,2439474.31,1966-12-14,1966,Thor Delta G,,Biosatellite A Adapter,US,US,O,state
1966-016,2439185.08,1966-02-28,1966,Thor Delta E,,Tiros OT2,US,US,O,state
1966-020,2439201.2,1966-03-16,1966,Titan II GLV,,Gemini SC8,US,US,O,state
1966-030,2439223.54,1966-04-08,1966,Atlas Centaur D,,Surveyor Model 2 (SM-2),US,US,O,state
1966-044,2439271.08,1966-05-25,1966,Thor Delta C1,,AE-B,US,US,O,state
1966-045,2439276.11,1966-05-30,1966,Atlas Centaur D,,Surveyor SC-1,US,US,O,state
1966-047,2439280.07,1966-06-03,1966,Titan II GLV,,Gemini SC9,US,US,O,state
1966-052,2439286.68,1966-06-10,1966,Scout B,,OV3-4 PHASR,US,US,O,state
1966-058,2439308.17,1966-07-01,1966,Thor Delta E1,,AIMP D,US,US,O,state
1966-059,2439312.12,1966-07-05,1966,Uprated Saturn I,,Subcritical Cryo LN2 Exp,US,US,O,state
1966-066,2439325.43,1966-07-18,1966,Titan II GLV,,Gemini SC10,US,US,O,state
1966-075,2439355.14,1966-08-17,1966,Thor Delta E1,,Pioneer B,US,US,O,state
1966-081,2439381.11,1966-09-12,1966,Titan II GLV,,Gemini SC11,US,US,O,state
1966-084,2439389.02,1966-09-20,1966,Atlas Centaur D,,Surveyor SC-2,US,US,O,state
1966-087,2439400.94,1966-10-02,1966,Thor Delta E,,TOS A,US,US,O,state
1966-095,2439424.97,1966-10-26,1966,Atlas Centaur D,,Surveyor SM-3,US,US,O,state
1966-096,2439425.46,1966-10-26,1966,Thor Delta E1,,INTELSAT II F-1,US,US,O,state
1967-100,2439782.17,1967-10-18,1967,Thor Delta C1,,OSO D,US,US,O,state
1967-001,2439501.95,1967-01-11,1967,Thor Delta E1,,INTELSAT II F-2,US,US,O,state
1967-006,2439517.23,1967-01-26,1967,Thor Delta E,,TOS B,US,US,O,state
1967-112,2439801.82,1967-11-07,1967,Atlas SLV-3C Centaur,,Surveyor SC-6,US,US,O,state
1967-113,2439804,1967-11-09,1967,Saturn V,,Apollo CM-017,US,US,O,state
1967-114,2439805.25,1967-11-10,1967,Thor Delta E1,,TOS D,US,US,O,state
1967-020,2439558.17,1967-03-08,1967,Thor Delta C,,OSO E1,US,US,O,state
1967-123,2439838.09,1967-12-13,1967,Thor Delta E1,,Pioneer C,US,US,O,state
1967-026,2439572.56,1967-03-23,1967,Thor Delta E1,,INTELSAT II F-3,US,US,O,state
1967-035,2439597.8,1967-04-17,1967,Atlas Centaur D,,Surveyor SC-3,US,US,O,state
1967-036,2439600.97,1967-04-20,1967,Thor Delta E,,TOS C,US,US,O,state
1967-051,2439635.09,1967-05-24,1967,Thor Delta E1,,IMP F,US,US,O,state
1967-068,2439686,1967-07-14,1967,Atlas Centaur D,,Surveyor SC-4,US,US,O,state
1967-070,2439691.1,1967-07-19,1967,Thor Delta E1,,AIMP E,US,US,O,state
1967-083,2439741.42,1967-09-07,1967,Thor Delta G,,Biosatellite B Adapter,US,US,O,state
1967-084,2439741.83,1967-09-08,1967,Atlas SLV-3C Centaur,,Surveyor 5,US,US,O,state
1967-094,2439761.53,1967-09-28,1967,Thor Delta E1,,INTELSAT II F-4,US,US,O,state
1968-100,2440168.91,1968-11-08,1968,Thor Delta E1,,Pioneer D,US,US,O,state
1968-001,2439862.77,1968-01-07,1968,Atlas SLV-3C Centaur,,Surveyor SC-7,US,US,O,state
1968-002,2439867.18,1968-01-11,1968,Thor Delta E1,,Geos B,US,US,O,state
1968-007,2439878.45,1968-01-22,1968,Saturn IB,,Apollo 5,US,US,O,state
1968-109,2440196.29,1968-12-05,1968,Thor Delta E1,,HEOS A1,US,US,O,state
1968-110,2440197.86,1968-12-07,1968,Atlas SLV-3C Centaur,,OAO A2,US,US,O,state
1968-114,2440206.22,1968-12-15,1968,Thor Delta N,,TOS F,US,US,O,state
1968-116,2440209.52,1968-12-19,1968,Thor Delta M,,INTELSAT III F-2,US,US,O,state
1968-017,2439921.27,1968-03-05,1968,Scout B,,Solar Explorer B,US,US,O,state
1968-118,2440212.04,1968-12-21,1968,Saturn V,,Apollo CM-103,US,US,O,state
1968-025,2439951,1968-04-04,1968,Saturn V,,Apollo CM-020,US,US,O,state
1968-055,2440042.23,1968-07-04,1968,Thor Delta J,,RAE A,US,US,O,state
1968-068,2440079.44,1968-08-10,1968,Atlas SLV-3C Centaur,,ATS D,US,US,O,state
1968-069,2440084.98,1968-08-16,1968,Thor Delta N,,TOS E,US,US,O,state
1968-089,2440141.13,1968-10-11,1968,Saturn IB,,Apollo CM-101,US,US,O,state
1969-101,2440547.53,1969-11-22,1969,Thor Delta M,,Skynet IA,US,US,O,state
1969-006,2440244.2,1969-01-22,1969,Thor Delta C1,,OSO F,US,US,O,state
1969-009,2440251.78,1969-01-30,1969,Thor Delta E1,,Isis A,US,US,O,state
1969-011,2440258.53,1969-02-06,1969,Thor Delta M,,INTELSAT III F-3,US,US,O,state
1969-014,2440277.56,1969-02-25,1969,Atlas SLV-3C Centaur,,Mariner 69-3,US,US,O,state
1969-016,2440278.82,1969-02-26,1969,Thor Delta E1,,TOS G,US,US,O,state
1969-018,2440284.17,1969-03-03,1969,Saturn V,,Apollo CM-104,US,US,O,state
1969-030,2440308.43,1969-03-27,1969,Atlas SLV-3C Centaur,,Mariner 69-2,US,US,O,state
1969-043,2440360.2,1969-05-18,1969,Saturn V,,Apollo CM-106,US,US,O,state
1969-045,2440363.58,1969-05-22,1969,Thor Delta M,,INTELSAT III F-4,US,US,O,state
1969-053,2440393.87,1969-06-21,1969,Thor Delta E1,,IMP G,US,US,O,state
1969-056,2440401.64,1969-06-29,1969,Thor Delta N,,Biosatellite D Adapter,US,US,O,state
1969-059,2440419.06,1969-07-16,1969,Saturn V,,Apollo CM-107,US,US,O,state
1969-064,2440428.59,1969-07-26,1969,Thor Delta M,,INTELSAT III F-5,US,US,O,state
1969-068,2440442.83,1969-08-09,1969,Thor Delta N,,OSO G,US,US,O,state
1969-069,2440445.96,1969-08-12,1969,Atlas SLV-3C Centaur,,ATS E,US,US,O,state
1969-099,2440540.18,1969-11-14,1969,Saturn V,,Apollo CM-108,US,US,O,state
1970-003,2440601.51,1970-01-15,1970,Thor Delta M,,INTELSAT III F-6,US,US,O,state
1970-106,2440931.98,1970-12-11,1970,Thor Delta N6,,ITOS A,US,US,O,state
1970-008,2440609.98,1970-01-23,1970,Thor Delta N6,,Tiros M,US,US,O,state
1970-021,2440666.49,1970-03-20,1970,Thor Delta M,,NATO IIA,US,US,O,state
1970-029,2440688.3,1970-04-11,1970,Saturn V,,Apollo CM-109,US,US,O,state
1970-032,2440699.53,1970-04-23,1970,Thor Delta M,,INTELSAT III F-7,US,US,O,state
1970-055,2440791.47,1970-07-23,1970,Thor Delta M,,INTELSAT III F-8,US,US,O,state
1970-062,2440818.01,1970-08-19,1970,Thor Delta M,,Skynet IB,US,US,O,state
1970-094,2440899.75,1970-11-09,1970,Scout B,,OFO,US,US,O,state
1971-006,2440977.53,1971-01-26,1971,Atlas SLV-3C Centaur,,INTELSAT IV F2,US,US,O,state
1971-008,2440983.38,1971-01-31,1971,Saturn V,,Apollo CM-110,US,US,O,state
1971-009,2440985.57,1971-02-03,1971,Thor Delta M,,NATO IIB,US,US,O,state
1971-116,2441305.55,1971-12-20,1971,Atlas SLV-3C Centaur,,INTELSAT IV F3,US,US,O,state
1971-019,2441024.18,1971-03-13,1971,Thor Delta M6,,IMP I,US,US,O,state
1971-024,2441042.62,1971-04-01,1971,Thor Delta E1,,Isis B,US,US,O,state
1971-051,2441102.43,1971-05-30,1971,Atlas SLV-3C Centaur,,Mariner 71J,US,US,O,state
1971-058,2441141.46,1971-07-08,1971,Scout B,,Solar Explorer C,US,US,O,state
1971-063,2441159.07,1971-07-26,1971,Saturn V,,Apollo CM-112,US,US,O,state
1971-071,2441180.28,1971-08-16,1971,Scout B-1,F,Eole,US,US,O,state
1971-083,2441223.91,1971-09-29,1971,Thor Delta N,,OSO H,US,US,O,state
1971-091,2441245.98,1971-10-21,1971,Thor Delta N6,,ITOS B,US,US,O,state
1972-003,2441339.51,1972-01-23,1972,Atlas SLV-3C Centaur,,INTELSAT IV F4,US,US,O,state
1972-005,2441348.22,1972-01-31,1972,Thor Delta L,,HEOS A2,US,US,O,state
1972-012,2441379.58,1972-03-03,1972,Atlas SLV-3C Centaur,,Pioneer F,US,US,O,state
1972-014,2441388.58,1972-03-12,1972,Thor Delta N,,TD-1A,US,US,O,state
1972-031,2441424.25,1972-04-16,1972,Saturn V,,Apollo CM-113,US,US,O,state
1972-041,2441482.41,1972-06-13,1972,Atlas SLV-3C Centaur,,INTELSAT IV F5,US,US,O,state
1972-058,2441522.25,1972-07-23,1972,Delta 0900,,ERTS A,US,US,O,state
1972-061,2441543.13,1972-08-13,1972,Scout D-1,F,Meteoroid Technology Sat,US,US,O,state
1972-065,2441550.94,1972-08-21,1972,Atlas SLV-3C Centaur,,OAO-C,US,US,O,state
1972-073,2441583.56,1972-09-23,1972,Delta 1604,,IMP H,US,US,O,state
1972-082,2441606.22,1972-10-15,1972,Delta 0300,,ITOS D,US,US,O,state
1972-090,2441631.55,1972-11-10,1972,Delta 1914,,Anik A1,US,US,O,state
1972-096,2441658.73,1972-12-07,1972,Saturn V,,Apollo CM-114,US,US,O,state
1972-097,2441662.83,1972-12-11,1972,Delta 0900,,Nimbus E,US,US,O,state
1973-101,2442032.76,1973-12-16,1973,Delta 1900,,AE-C,US,US,O,state
1973-019,2441778.59,1973-04-06,1973,Atlas SLV-3D Centaur,,Pioneer G,US,US,O,state
1973-023,2441793.49,1973-04-20,1973,Delta 1914,,Anik A2,US,US,O,state
1973-027,2441817.23,1973-05-14,1973,Saturn V,2,Skylab I OWS,US,US,O,state
1973-032,2441828.04,1973-05-25,1973,Saturn IB,,Apollo CM-116,US,US,O,state
1973-039,2441844.09,1973-06-10,1973,Delta 1913,,RAE B,US,US,O,state
1973-050,2441891.97,1973-07-28,1973,Saturn IB,,Apollo CM-117,US,US,O,state
1973-058,2441918.46,1973-08-23,1973,Atlas SLV-3D Centaur,,INTELSAT IV F7,US,US,O,state
1973-078,2441981.6,1973-10-26,1973,Delta 1604,,IMP J,US,US,O,state
1973-085,2441989.74,1973-11-03,1973,Atlas SLV-3D Centaur,,Mariner 73J,US,US,O,state
1973-086,2441993.21,1973-11-06,1973,Delta 0300,,ITOS F,US,US,O,state
1973-090,2442003.08,1973-11-16,1973,Saturn IB,,CM-118,US,US,O,state
1974-101,2442400.61,1974-12-19,1974,Delta 2914,,Symphonie MV1,US,US,O,state
1974-002,2442066.57,1974-01-19,1974,Delta 2313,,Skynet IIA,US,US,O,state
1974-022,2442151.48,1974-04-13,1974,Delta 2914,C,Westar 1,US,US,O,state
1974-033,2442184.9,1974-05-17,1974,Delta 2914,,SMS A,US,US,O,state
1974-075,2442331.45,1974-10-10,1974,Delta 2914,C,Westar 2,US,US,O,state
1974-089,2442367.22,1974-11-15,1974,Delta 2310,,ITOS G,US,US,O,state
1974-093,2442373.49,1974-11-21,1974,Atlas SLV-3D Centaur,,INTELSAT IV F8,US,US,O,state
1974-094,2442374.52,1974-11-23,1974,Delta 2313,,Skynet IIB,US,US,O,state
1975-100,2442702.44,1975-10-16,1975,Delta 2914,,GOES A,US,US,O,state
1975-004,2442435.25,1975-01-22,1975,Delta 2910,,Landsat B,US,US,O,state
1975-107,2442736.59,1975-11-20,1975,Delta 2910,,AE-E,US,US,O,state
1975-011,2442450.42,1975-02-06,1975,Delta 2914,,SMS B,US,US,O,state
1975-117,2442759.58,1975-12-13,1975,Delta 3914,,RCA-A,US,US,O,state
1975-027,2442512.5,1975-04-09,1975,Delta 1410,,Geos C,US,US,O,state
1975-038,2442540.48,1975-05-07,1975,Delta 2914,C,Anik A3,US,US,O,state
1975-042,2442555.42,1975-05-22,1975,Atlas SLV-3D Centaur,,INTELSAT IV F1,US,US,O,state
1975-052,2442575.84,1975-06-12,1975,Delta 2910,,Nimbus F,US,US,O,state
1975-057,2442584.99,1975-06-21,1975,Delta 1910,,OSO I,US,US,O,state
1975-066,2442609.33,1975-07-15,1975,Saturn IB,,Apollo CM-111,US,US,O,state
1975-072,2442633.58,1975-08-09,1975,Delta 2913,,COS-B,US,US,O,state
1975-077,2442651.57,1975-08-27,1975,Delta 2914,,Symphonie MV2,US,US,O,state
1975-091,2442681.51,1975-09-26,1975,Atlas SLV-3D Centaur,,INTELSAT IVA F1,US,US,O,state
1975-096,2442691.88,1975-10-06,1975,Delta 2910,,AE-D,US,US,O,state
