year,animal_type,outcome,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Total
2012,Cats,Reclaimed,187,422,4,561,134,76,855,4,2243
2012,Cats,Rehomed,1192,5531,254,7639,1517,1208,5301,275,22917
2012,Cats,Currently In Care,67,701,0,812,502,198,474,120,2874
2012,Cats,Transferred,0,742,0,367,0,0,0,0,1109
2012,Cats,Euthanized,776,7224,175,3585,1480,1392,4661,171,19464
2012,Cats,Other,121,113,9,249,34,15,81,7,629
2012,Horses,Reclaimed,0,13,0,8,0,0,12,0,33
2012,Horses,Rehomed,0,31,0,14,0,27,5,1,78
2012,Horses,Currently In Care,0,42,0,3,0,12,43,14,114
2012,Horses,Transferred,0,6,0,4,0,0,1,0,11
2012,Horses,Euthanized,0,8,0,4,1,5,5,6,29
2012,Horses,Other,0,1,0,1,0,0,0,0,2
2012,Livestock,Reclaimed,2,29,0,17,1,14,136,0,199
2012,Livestock,Rehomed,65,536,0,486,2,157,285,33,1564
2012,Livestock,Currently In Care,16,75,0,57,0,52,106,22,328
2012,Livestock,Transferred,0,15,0,173,0,0,48,0,1806
2012,Livestock,Euthanized,16,435,0,243,0,74,147,107,1022
2012,Livestock,Other,13,9,0,19,0,3,13,0,57
2012,Wildlife,Released,677,102,0,1046,33,6,82,0,1946
2012,Wildlife,Currently In Care,136,16,0,44,0,11,37,0,244
2012,Wildlife,Transferred,30,185,3,3064,52,0,622,0,3956
2012,Wildlife,Euthanized,1330,304,0,7041,109,79,840,0,3366
2012,Wildlife,Other,526,204,0,463,4,8,293,0,1498
2012,Other Animals,Reclaimed,46,62,0,69,34,31,93,0,335
2012,Other Animals,Rehomed,305,697,6,820,305,136,725,18,3014
2012,Other Animals,Currently In Care,47,110,0,109,131,30,272,48,747
2012,Other Animals,Transferred,0,28,0,152,7,0,0,0,187
2012,Other Animals,Euthanized,131,1346,2,474,153,45,516,16,2683
2012,Other Animals,Other,25,78,1,72,18,11,59,0,264
2013,Dogs,Reclaimed,923,1244,79,4948,1815,597,6717,330,16653
2013,Dogs,Rehomed,403,4161,357,6694,1302,652,3292,181,17042
2013,Dogs,Currently In Care,71,635,63,905,273,110,771,50,2878
2013,Dogs,Transferred,138,828,0,615,56,0,46,0,1683
2013,Dogs,Euthanized,104,2957,76,2026,303,232,1472,143,7313
2013,Dogs,Other,6,44,1,140,21,5,163,5,385
2013,Cats,Reclaimed,196,466,16,562,172,92,819,7,2330
2013,Cats,Rehomed,1328,6557,232,8055,2448,1065,5625,250,25560
2013,Cats,Currently In Care,73,745,60,1114,544,86,830,192,3644
2013,Cats,Transferred,0,748,0,382,270,0,9,0,1409
2013,Cats,Euthanized,640,5518,58,2285,1705,1127,4011,147,15491
2013,Cats,Other,28,64,4,311,142,19,160,4,732
2013,Horses,Reclaimed,0,5,0,3,1,1,0,1,11
2013,Horses,Rehomed,0,32,0,8,11,39,35,6,131
2013,Horses,Currently In Care,0,68,0,9,6,5,27,2,117
2013,Horses,Transferred,0,2,0,6,2,0,12,0,22
2013,Horses,Euthanized,0,10,0,1,2,15,10,8,49
2013,Horses,Other,0,0,0,0,0,2,1,0,3
2013,Livestock,Reclaimed,3,4,1,23,4,11,32,0,78
2013,Livestock,Rehomed,113,501,0,527,63,211,221,47,1683
2013,Livestock,Currently In Care,2,49,0,72,7,127,38,1,296
2013,Livestock,Transferred,0,24,0,73,3,0,110,0,210
2013,Livestock,Euthanized,22,391,0,239,44,587,62,9,1354
2013,Livestock,Other,3,19,0,35,5,7,14,5,88
2013,Wildlife,Released,610,31,0,1384,55,31,69,0,2180
2013,Wildlife,Currently In Care,73,3,0,78,8,2,11,0,175
2013,Wildlife,Transferred,134,326,3,3949,223,17,593,0,5242
2013,Wildlife,Euthanized,1626,337,0,8286,208,36,728,0,11221
2013,Wildlife,Other,396,54,0,396,31,4,337,0,1218
2013,Other Animals,Reclaimed,36,126,0,71,10,16,48,0,307
2013,Other Animals,Rehomed,387,1387,23,892,372,165,801,64,4091
2013,Other Animals,Currently In Care,89,160,6,135,98,0,174,44,706
2013,Other Animals,Transferred,0,103,0,114,2,1,0,0,220
2013,Other Animals,Euthanized,77,1212,4,964,62,43,164,16,2542
2013,Other Animals,Other,36,65,1,71,14,15,39,3,243
2014,Dogs,Reclaimed,671,5204,54,4457,1504,637,6216,314,19057
2014,Dogs,Rehomed,388,3713,315,6306,878,746,3181,120,15647
2014,Dogs,Currently In Care,54,946,67,718,270,107,691,72,2925
2014,Dogs,Transferred,168,903,0,477,72,14,234,3,1871
2014,Dogs,Euthanized,87,3435,61,1381,345,189,1157,110,6765
2014,Dogs,Other,8,51,1,156,15,2,91,6,330
2014,Cats,Reclaimed,165,648,5,558,177,90,769,14,2426
2014,Cats,Rehomed,1376,7338,219,7874,2481,1136,5893,225,26542
2014,Cats,Currently In Care,134,1206,40,1288,424,240,1110,79,4521
2014,Cats,Transferred,0,326,0,334,267,36,126,45,1134
2014,Cats,Euthanized,607,9148,44,1491,1447,834,3599,228,17398
2014,Cats,Other,32,126,3,340,78,19,176,9,783
2014,Horses,Reclaimed,0,16,0,9,2,0,0,0,27
2014,Horses,Rehomed,0,38,0,10,4,19,31,1,103
2014,Horses,Currently In Care,0,81,0,6,0,11,16,1,115
2014,Horses,Transferred,0,0,0,3,3,0,1,0,7
2014,Horses,Euthanized,0,14,0,3,3,14,3,0,37
2014,Horses,Other,0,3,0,1,0,2,0,0,6
2014,Livestock,Reclaimed,2,27,0,27,4,1,29,0,90
2014,Livestock,Rehomed,239,577,2,362,106,116,190,36,1628
2014,Livestock,Currently In Care,43,75,0,41,27,114,23,0,323
2014,Livestock,Transferred,0,19,0,21,14,0,64,0,118
2014,Livestock,Euthanized,40,356,0,228,28,58,72,2,784
2014,Livestock,Other,4,30,0,29,3,19,16,0,101
2014,Wildlife,Released,256,21,0,1513,110,11,680,0,2591
2014,Wildlife,Currently In Care,7,3,0,384,10,9,21,0,434
2014,Wildlife,Transferred,158,265,0,4393,82,21,4,0,4923
2014,Wildlife,Euthanized,872,339,1,11317,90,21,654,0,13294
2014,Wildlife,Other,243,47,0,852,18,26,141,0,1327
2014,Other Animals,Reclaimed,37,122,0,64,23,16,34,0,296
2014,Other Animals,Rehomed,735,1386,40,966,326,132,752,39,4376
2014,Other Animals,Currently In Care,103,168,0,146,209,35,146,5,812
2014,Other Animals,Transferred,0,40,0,174,30,8,63,0,315
2014,Other Animals,Euthanized,89,1210,1,397,133,38,141,9,2018
2014,Other Animals,Other,47,101,0,104,31,41,42,5,371
2015,Dogs,Reclaimed,293,4782,70,4703,1505,539,5595,279,17766
2015,Dogs,Rehomed,389,4178,473,6819,890,715,2951,228,16643
2015,Dogs,Currently In Care,53,884,81,797,220,134,567,103,2839
2015,Dogs,Transferred,69,974,0,410,54,1,423,0,1931
2015,Dogs,Euthanized,37,2713,51,1351,605,112,916,87,5872
2015,Dogs,Other,3,48,1,104,15,5,17,12,205
2015,Cats,Reclaimed,144,685,9,664,192,72,822,6,2594
2015,Cats,Rehomed,1628,8502,281,9768,2874,1308,6396,421,31178
2015,Cats,Currently In Care,144,953,54,1304,414,221,647,58,3795
2015,Cats,Transferred,0,337,5,355,75,1,151,1,925
2015,Cats,Euthanized,520,8456,41,1533,1563,559,3341,192,16205
2015,Cats,Other,47,196,6,407,71,25,100,21,873
2015,Horses,Reclaimed,0,11,0,8,4,0,0,0,23
2015,Horses,Rehomed,1,21,0,11,1,21,11,10,76
2015,Horses,Currently In Care,1,119,0,5,1,40,46,26,238
2015,Horses,Transferred,0,1,0,0,10,2,119,0,132
2015,Horses,Euthanized,0,10,0,6,3,6,6,4,35
2015,Horses,Other,0,0,0,0,0,1,2,4,7
2015,Livestock,Reclaimed,4,15,0,41,19,7,15,3,104
2015,Livestock,Rehomed,197,565,7,405,45,164,159,49,1591
2015,Livestock,Currently In Care,33,60,0,50,37,187,26,28,421
2015,Livestock,Transferred,0,41,0,40,17,1,130,0,229
2015,Livestock,Euthanized,25,318,0,239,35,60,47,5,729
2015,Livestock,Other,16,52,0,52,4,2,10,2,138
2015,Wildlife,Released,81,17,0,2532,95,7,610,5,3347
2015,Wildlife,Currently In Care,9,1,0,288,16,0,26,0,340
2015,Wildlife,Transferred,249,224,0,6247,94,9,1,0,6824
2015,Wildlife,Euthanized,717,339,0,11665,98,7,679,1,13506
2015,Wildlife,Other,96,32,0,1239,40,9,134,1,1551
2015,Other Animals,Reclaimed,30,76,0,87,47,12,28,0,280
2015,Other Animals,Rehomed,581,1361,34,720,449,191,716,38,4090
2015,Other Animals,Currently In Care,78,278,5,89,202,52,120,8,832
2015,Other Animals,Transferred,0,175,1,108,24,0,2,0,310
2015,Other Animals,Euthanized,40,911,3,145,167,20,119,6,1411
2015,Other Animals,Other,24,105,5,103,53,14,40,7,351
2016,Dogs,Reclaimed,380,59,4320,5803,1408,568,5454,198,18190
2016,Dogs,Rehomed,421,505,4177,6933,868,743,2318,329,16294
2016,Dogs,Currently In Care,38,42,876,777,143,91,555,93,2615
2016,Dogs,Transferred,79,0,744,412,41,1,375,18,1670
2016,Dogs,Euthanized,35,48,2544,1515,659,96,744,122,5763
2016,Dogs,Other,2,7,42,129,11,1,24,22,238
2016,Cats,Reclaimed,154,12,608,770,222,75,802,15,2658
2016,Cats,Rehomed,1597,376,7941,10069,2849,1425,5824,514,30595
2016,Cats,Currently In Care,55,118,1011,1159,665,240,1134,84,4466
2016,Cats,Transferred,0,2,242,304,13,4,179,41,785
2016,Cats,Euthanized,465,26,6571,1800,1514,816,3222,149,14563
2016,Cats,Other,44,5,188,335,99,33,131,21,856
2016,Horses,Reclaimed,0,0,15,14,1,1,7,0,38
2016,Horses,Rehomed,0,0,43,12,4,48,21,18,146
2016,Horses,Currently In Care,1,0,105,8,9,7,50,22,202
2016,Horses,Transferred,0,0,6,1,16,0,6,9,38
2016,Horses,Euthanized,0,0,12,4,11,7,12,5,51
2016,Horses,Other,0,0,0,0,3,6,0,0,9
2016,Livestock,Reclaimed,5,0,17,83,14,6,17,0,142
2016,Livestock,Rehomed,351,18,526,326,109,317,169,90,1906
2016,Livestock,Currently In Care,10,1,80,75,79,55,18,11,329
2016,Livestock,Transferred,20,0,11,134,43,1,47,0,256
2016,Livestock,Euthanized,25,1,248,197,102,21,65,10,669
2016,Livestock,Other,9,0,10,39,16,17,8,5,104
2016,Wildlife,Released,57,0,8,2772,6,14,610,0,3467
2016,Wildlife,Currently In Care,0,0,1,384,1,5,16,0,407
2016,Wildlife,Transferred,151,0,231,5788,15,11,11,0,6207
2016,Wildlife,Euthanized,348,0,247,12864,34,19,605,0,14117
2016,Wildlife,Other,52,0,36,1361,4,20,106,0,1579
2016,Other Animals,Reclaimed,36,2,123,106,35,5,33,0,340
2016,Other Animals,Rehomed,455,34,1350,1029,223,154,624,64,3933
2016,Other Animals,Currently In Care,23,2,143,277,16,12,138,8,619
2016,Other Animals,Transferred,1,0,143,169,67,0,23,0,403
2016,Other Animals,Euthanized,51,2,816,577,149,21,110,8,1734
2016,Other Animals,Other,110,0,100,114,98,21,44,7,494
2017,Dogs,Reclaimed,349,50,3720,5521,1166,384,4215,160,15565
2017,Dogs,Rehomed,335,338,4014,6344,734,447,2285,384,14881
2017,Dogs,Currently In Care,51,44,769,651,105,78,410,95,2203
2017,Dogs,Transferred,46,4,703,464,32,33,507,93,1882
2017,Dogs,Euthanized,52,15,2302,1992,532,83,516,85,5577
2017,Dogs,Other,3,2,45,81,5,7,18,17,178
2017,Cats,Reclaimed,133,4,642,880,229,64,693,6,2651
2017,Cats,Rehomed,1208,349,8150,10337,3174,1059,7389,562,32228
2017,Cats,Currently In Care,92,65,1012,1027,377,96,1063,50,3782
2017,Cats,Transferred,0,4,236,296,21,45,335,65,1002
2017,Cats,Euthanized,323,18,6118,2042,1356,328,2291,134,12610
2017,Cats,Other,17,8,162,313,72,16,135,15,738
2017,Horses,Reclaimed,0,0,11,7,0,0,2,0,21
2017,Horses,Rehomed,1,0,48,15,5,24,33,6,132
2017,Horses,Currently In Care,0,0,149,16,7,1,44,21,238
2017,Horses,Transferred,0,0,4,0,3,0,21,1,29
2017,Horses,Euthanized,1,0,12,4,1,6,9,3,36
2017,Horses,Other,0,0,0,0,1,2,0,0,3
2017,Livestock,Reclaimed,3,2,21,157,9,1,5,1,199
2017,Livestock,Rehomed,90,27,572,319,126,111,139,52,1436
2017,Livestock,Currently In Care,8,1,86,51,44,12,20,24,246
2017,Livestock,Transferred,0,0,41,305,206,0,56,54,662
2017,Livestock,Euthanized,16,1,251,653,88,26,65,23,1123
2017,Livestock,Other,2,1,13,22,56,14,3,5,116
2017,Wildlife,Released,28,0,14,3116,15,37,521,0,3731
2017,Wildlife,Currently In Care,1,0,2,251,8,0,97,0,359
2017,Wildlife,Transferred,62,0,250,5767,138,0,22,0,6239
2017,Wildlife,Euthanized,296,0,302,14690,174,8,605,0,16075
2017,Wildlife,Other,20,1,21,1376,19,0,128,0,1565
2017,Other Animals,Reclaimed,15,0,89,154,8,7,23,0,296
2017,Other Animals,Rehomed,208,1,1385,1324,415,120,683,91,4227
2017,Other Animals,Currently In Care,16,0,113,163,32,0,191,44,559
2017,Other Animals,Transferred,1,0,91,208,3,4,38,12,357
2017,Other Animals,Euthanized,45,0,674,502,54,16,109,17,1417
2017,Other Animals,Other,7,0,99,89,13,22,51,13,294
2018,Dogs,Reclaimed,282,24,3160,4452,1086,198,3768,137,13107
2018,Dogs,Rehomed,360,299,3805,4907,702,207,2214,378,12872
2018,Dogs,Currently In Care,42,36,774,590,112,3,313,71,1941
2018,Dogs,Transferred,23,0,616,289,6,0,387,70,1391
2018,Dogs,Euthanized,51,12,1663,1228,520,44,683,107,4308
2018,Dogs,Other,45,1,57,51,16,0,16,58,244
2018,Cats,Reclaimed,139,6,563,901,265,39,730,22,2665
2018,Cats,Rehomed,1186,330,7652,9833,3317,717,7500,570,31105
2018,Cats,Currently In Care,89,90,1239,810,298,186,1169,63,3944
2018,Cats,Transferred,9,0,288,233,19,0,391,93,1033
2018,Cats,Euthanized,318,20,5735,1666,1121,376,2369,135,11740
2018,Cats,Other,34,6,211,205,50,7,113,57,683
2018,Horses,Reclaimed,0,0,0,21,0,0,3,4,28
2018,Horses,Rehomed,0,0,101,27,4,6,33,14,185
2018,Horses,Currently In Care,0,0,52,52,19,0,40,9,172
2018,Horses,Transferred,0,0,3,8,0,0,6,0,17
2018,Horses,Euthanized,0,0,16,17,4,0,23,12,72
2018,Horses,Other,0,0,1,0,0,1,2,1,5
2018,Livestock,Reclaimed,3,0,32,112,80,1,9,2,239
2018,Livestock,Rehomed,62,9,446,307,61,80,130,51,1146
2018,Livestock,Currently In Care,3,0,42,121,3,0,23,21,213
2018,Livestock,Transferred,1,0,53,622,0,0,49,73,798
2018,Livestock,Euthanized,11,0,263,413,47,0,107,17,858
2018,Livestock,Other,1,0,11,22,3,5,8,5,55
2018,Wildlife,Released,25,0,13,3048,0,9,69,14,3178
2018,Wildlife,Currently In Care,1,0,2,197,6,3,21,0,230
2018,Wildlife,Transferred,64,0,179,5380,111,0,326,3,6063
2018,Wildlife,Euthanized,244,0,308,15690,141,7,576,4,16970
2018,Wildlife,Other,6,0,536,1070,9,0,120,1,1742
2018,Other Animals,Reclaimed,22,0,89,131,52,3,21,2,320
2018,Other Animals,Rehomed,263,10,1030,1195,390,90,744,91,3813
2018,Other Animals,Currently In Care,61,0,141,218,34,9,175,8,646
2018,Other Animals,Transferred,3,0,55,294,13,2,32,15,414
2018,Other Animals,Euthanized,124,0,1005,298,90,36,73,15,1641
2018,Other Animals,Other,21,0,60,100,11,5,51,60,308
