year,gnis_id,geometry,metadata,number_of_records,parkname,region,state,unit_code,unit_name,unit_type,visitors
2014,1428242,POLYGON,http://nrdata.nps.gov/programs/Lands/GOSP_metadata.xml,1,Golden Spike,IM,UT,GOSP,Golden Spike National Historic Site,National Historic Site,44125
2014,2733436,POLYGON,http://nrdata.nps.gov/programs/Lands/NEBE_metadata.xml,1,New Bedford Whaling,NE,MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park,272731
2014,970557,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAHI_metadata.xml,1,Sagamore Hill,NE,NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,19319
2014,262358,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/LABE_metadata.xml,1,Lava Beds,PW,CA,LABE,Lava Beds National Monument,National Monument,138499
2014,1888975,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WORI_metadata.xml,1,Women's Rights,NE,NY,WORI,Women's Rights National Historical Park,National Historical Park,30254
2014,447197,POLYGON,http://nrdata.nps.gov/programs/Lands/GERO_metadata.xml,1,George Rogers Clark,MW,IN,GERO,George Rogers Clark National Historical Park,National Historical Park,125218
2014,2733437,POLYGON,http://nrdata.nps.gov/programs/Lands/LONG_metadata.xml,1,Longfellow,NE,MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,46371
2014,1193717,POLYGON,http://nrdata.nps.gov/programs/Lands/HOFU_metadata.xml,1,Hopewell Furnace,NE,PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,48105
2014,1877541,POLYGON,http://nrdata.nps.gov/programs/Lands/FRDE_metadata.xml,1,Franklin Delano Roosevelt,NC,DC,FRDE,Franklin Delano Roosevelt Memorial,National Memorial,2938239
2014,31964,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MOCA_metadata.xml,1,Montezuma Castle,IM,AZ,MOCA,Montezuma Castle National Monument,National Monument,407017
2014,255948,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/KICA_metadata.xml,1,Kings Canyon,PW,CA,KICA,Kings Canyon National Park,National Park,502268
2014,1888963,POLYGON,http://nrdata.nps.gov/programs/Lands/SPAR_metadata.xml,1,Springfield Armory,NE,MA,SPAR,Springfield Armory National Historic Site,National Historic Site,20595
2014,1531185,POLYGON,http://nrdata.nps.gov/programs/Lands/WHMI_metadata.xml,1,Whitman Mission,PW,WA,WHMI,Whitman Mission National Historic Site,National Historic Site,58499
2014,1989142,POLYGON,http://nrdata.nps.gov/programs/Lands/WWII_metadata.xml,1,World War II Memorial,NC,DC,WWII,World War II Memorial,National Memorial,4230793
2014,531832,POLYGON,http://nrdata.nps.gov/programs/Lands/VIVE_metadata.xml,1,Vietnam Veterans Memorial,NC,DC,VIVE,Vietnam Veterans Memorial,National Memorial,4403467
2014,1985525,POLYGON,http://nrdata.nps.gov/programs/Lands/KOWA_metadata.xml,1,Korean War Veterans Memorial,NC,DC,KOWA,Korean War Veterans Memorial,National Memorial,3767287
2014,2002666,POLYGON,http://nrdata.nps.gov/programs/Lands/MLKM_metadata.xml,1,Martin Luther King Jr Memori,NC,DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation,3199136
2014,531835,POLYGON,http://nrdata.nps.gov/programs/Lands/LINC_metadata.xml,1,Lincoln Memorial,NC,DC,LINC,Lincoln Memorial,National Memorial,7139072
2014,1455157,POLYGON,http://nrdata.nps.gov/programs/Lands/ZION_metadata.xml,1,Zion,IM,UT,ZION,Zion National Park,National Park,3189696
2014,126026,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/RUCA_metadata.xml,1,Russell Cave,SE,AL,RUCA,Russell Cave National Monument,National Monument,18530
2014,1780716,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MAWA_metadata.xml,1,Maggie L. Walker,NE,VA,MAWA,Maggie L. Walker National Historic Site,National Historic Site,9045
2014,1357585,POLYGON,http://nrdata.nps.gov/programs/Lands/FODA_metadata.xml,1,Fort Davis,IM,TX,FODA,Fort Davis National Historic Site,National Historic Site,49842
2014,767934,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BICA_metadata.xml,1,Bighorn Canyon,IM,WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,224083
2014,358732,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PUHO_metadata.xml,1,Pu'uhonua o Honaunau,PW,HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,401808
2014,2733440,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/NICO_metadata.xml,1,Nicodemus,MW,KS,NICO,Nicodemus National Historic Site,National Historic Site,3374
2014,229295,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MUWO_metadata.xml,1,Muir Woods,PW,CA,MUWO,Muir Woods National Monument,National Monument,1049400
2014,2463113,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HSTR_metadata.xml,1,Harry S Truman,MW,MO,HSTR,Harry S Truman National Historic Site,National Historic Site,29364
2014,358382,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HALE_metadata.xml,1,Haleakala,PW,HI,HALE,Haleakala National Park,National Park,1142040
2014,2127375,POLYGON,http://nrdata.nps.gov/programs/Lands/SAND_metadata.xml,1,Sand Creek Massacre,IM,CO,SAND,Sand Creek Massacre National Historic Site,National Historic Site,7402
2014,1888938,POLYGON,http://nrdata.nps.gov/programs/Lands/KNRI_metadata.xml,1,Knife River Indian Villages,MW,ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site,10750
2014,878495,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MORR_metadata.xml,1,Morristown,NE,NJ,MORR,Morristown National Historical Park,National Historical Park,264363
2014,457629,POLYGON,http://nrdata.nps.gov/programs/Lands/HEHO_metadata.xml,1,Herbert Hoover,MW,IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,139086
2014,1888943,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MAVA_metadata.xml,1,Martin Van Buren,NE,NY,MAVA,Martin Van Buren National Historic Site,National Historic Site,19187
2014,2092022,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GOIS_metadata.xml,1,Governors Island,NE,NY,GOIS,Governors Island National Monument,National Monument,698227
2014,833315,POLYGON,http://nrdata.nps.gov/programs/Lands/SCBL_metadata.xml,1,Scotts Bluff,MW,NE,SCBL,Scotts Bluff National Monument,National Monument,119159
2014,1200751,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/JOFL_metadata.xml,1,Johnstown Flood,NE,PA,JOFL,Johnstown Flood National Memorial,National Memorial,141354
2014,1946144,POLYGON,http://nrdata.nps.gov/programs/Lands/WABA_metadata.xml,1,Washita Battlefield,IM,OK,WABA,Washita Battlefield National Historic Site,National Historic Site,13186
2014,1888941,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/LYJO_metadata.xml,1,Lyndon B. Johnson,IM,TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,88427
2014,826917,POLYGON,http://nrdata.nps.gov/programs/Lands/AGFO_metadata.xml,1,Agate Fossil Beds,MW,NE,AGFO,Agate Fossil Beds National Monument,National Monument,12440
2014,885961,POLYGON,http://nrdata.nps.gov/programs/Lands/AZRU_metadata.xml,1,Aztec Ruins,IM,NM,AZRU,Aztec Ruins National Monument,National Monument,44721
2014,1434866,POLYGON,http://nrdata.nps.gov/programs/Lands/CARE_metadata.xml,1,Capitol Reef,IM,UT,CARE,Capitol Reef National Park,National Park,786514
2014,1986830,POLYGON,http://nrdata.nps.gov/programs/Lands/FLNI_metadata.xml,1,Flight 93,NE,PA,FLNI,Flight 93 National Memorial,National Memorial,284226
2014,266641,POLYGON,http://nrdata.nps.gov/programs/Lands/DEPO_metadata.xml,1,Devils Postpile,PW,CA,DEPO,Devils Postpile National Monument,National Monument,114414
2014,1877542,POLYGON,http://nrdata.nps.gov/programs/Lands/SAFR_metadata.xml,1,San Francisco Maritime,PW,CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park,4256888
2014,1888952,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PAAL_metadata.xml,1,Palo Alto Battlefield,IM,TX,PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,41516
2014,1888902,MULTIPOLYGON,POC: Scott_Thompson-Buchanan@nps.gov (boundary data only),1,Big Thicket,IM,TX,BITH,Big Thicket National Preserve,National Preserve,109956
2014,277261,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/jotr_metadata.xml,1,Joshua Tree,PW,CA,JOTR,Joshua Tree National Park,National Park,1589904
2014,751466,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ozar_metadata.xml,1,Ozark,MW,MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,1296437
2014,1888942,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MABI_metadata.xml,1,Marsh-Billings-Rockefeller,NE,VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,39086
2014,1033824,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/THRO_METADATA.xml,1,Theodore Roosevelt,MW,ND,THRO,Theodore Roosevelt National Park,National Park,559580
2014,1888939,POLYGON,http://nrdata.nps.gov/programs/Lands/LIRI_METADATA.xml,1,Little River Canyon,SE,AL,LIRI,Little River Canyon National Preserve,National Preserve,224931
2014,1083940,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/DAAV_METADATA.xml,1,Dayton Aviation Heritage,MW,OH,DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park,57565
2014,1888912,POLYGON,http://nrdata.nps.gov/programs/Lands/EISE_METADATA.xml,1,Eisenhower,NE,PA,EISE,Eisenhower National Historic Site,National Historic Site,58240
2014,2035610,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FILA_METADATA.xml,1,First Ladies,MW,OH,FILA,First Ladies National Historic Site,National Historic Site,15326
2014,920404,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PETR_METADATA.xml,1,Petroglyph,IM,NM,PETR,Petroglyph National Monument,National Monument,115859
2014,2754548,POLYGON,http://nrdata.nps.gov/programs/Lands/CECH_metadata.xml,1,Cesar E. Chavez,PW,CA,CECH,Casar E. Chpvez National Monument,National Monument,8854
2014,1193713,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FONE_METADATA.xml,1,Fort Necessity,NE,PA,FONE,Fort Necessity National Battlefield,National Battlefield,219546
2014,2733442,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MIMI_METADATA.xml,1,Minuteman Missile,MW,SD,MIMI,Minuteman Missile National Historic Site,National Historic Site,62058
2014,936877,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAPU_METADATA.xml,1,Salinas Pueblo Mission,IM,NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,30537
2014,247533,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PINN_METADATA.xml,1,Pinnacles,PW,CA,PINN,Pinnacles National Park,National Park,196635
2014,1614406,POLYGON,POC:  Gil_Noice@nps.gov (boundary data only),1,Virgin Islands,SE,VI,VIIS,Virgin Islands National Park,National Park,426930
2014,204948,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ROMO_METADATA.xml,1,Rocky Mountain,IM,CO,ROMO,Rocky Mountain National Park,National Park,3434751
2014,23864,POLYGON,http://nrdata.nps.gov/programs/Lands/PEFO_METADATA.xml,1,Petrified Forest,IM,AZ,PEFO,Petrified Forest National Park,National Park,836799
2014,936878,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CHCU_METADATA.xml,1,Chaco Culture,IM,NM,CHCU,Chaco Culture National Historical Park,National Historical Park,38386
2014,857501,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/DEVA_METADATA.xml,1,Death Valley,PW,CA,DEVA,Death Valley National Park,National Park,1101312
2014,2057537,POLYGON,http://nrdata.nps.gov/programs/Lands/FEHA_METADATA.xml,1,Federal Hall,NE,NY,FEHA,Federal Hall National Memorial,National Memorial,137538
2014,595218,POLYGON,http://nrdata.nps.gov/programs/Lands/FOMC_METADATA.xml,1,Fort McHenry,NE,MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,769300
2014,196412,MULTIPOLYGON,POC: Scott_Thompson-Buchanan@nps.gov (boundary data only),1,Curecanti,IM,CO,CURE,Curecanti National Recreation Area,National Recreation Area,931367
2014,1888949,POLYGON,http://nrdata.nps.gov/programs/Lands/NIOB_METADATA.xml,1,Niobrara,MW,NE,NIOB,Niobrara National Scenic River,National Scenic River,53443
2014,23866,POLYGON,http://nrdata.nps.gov/programs/Lands/GRCA_METADATA.xml,1,Grand Canyon,IM,AZ,GRCA,Grand Canyon National Park,National Park,4756771
2014,858265,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/LAKE_METADATA.xml,1,Lake Mead,PW,NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,6942873
2014,600017,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAIR_METADATA.xml,1,Saugus Iron Works,NE,MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,11181
2014,1904107,POLYGON,http://nrdata.nps.gov/programs/Lands/ROWI_metadata.xml,1,Roger Williams,NE,RI,ROWI,Roger Williams National Memorial,National Memorial,51523
2014,44811,POLYGON,http://nrdata.nps.gov/programs/Lands/CAGR_metadata.xml,1,Casa Grande Ruins,IM,AZ,CAGR,Casa Grande Ruins National Monument,National Monument,63698
2014,310345,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/KEMO_metadata.xml,1,Kennesaw Mountain,SE,GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,2119013
2014,1993781,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CHRI_metadata.xml,1,Christiansted,SE,VI,CHRI,Christiansted National Historic Site,National Historic Site,109159
2014,1214216,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ALPO_metadata.xml,1,Allegheny Portage Railroad,NE,PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,172883
2014,294586,POLYGON,http://nrdata.nps.gov/programs/Lands/DESO_metadata.xml,1,De Soto,SE,FL,DESO,De Soto National Memorial,National Memorial,342039
2014,310534,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ANDE_metadata.xml,1,Andersonville,SE,GA,ANDE,Andersonville National Historic Site,National Historic Site,127189
2014,1888951,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/OCMU_metadata.xml,1,Ocmulgee,SE,GA,OCMU,Ocmulgee National Monument,National Monument,122799
2014,1247412,POLYGON,http://nrdata.nps.gov/programs/Lands/COWP_metadata.xml,1,Cowpens,SE,SC,COWP,Cowpens National Battlefield,National Battlefield,200836
2014,2877,POLYGON,http://nrdata.nps.gov/programs/Lands/CHIR_metadata.xml,1,Chiricahua,IM,AZ,CHIR,Chiricahua National Monument,National Monument,45125
2014,1704967,POLYGON,http://nrdata.nps.gov/programs/Lands/MALU_metadata.xml,1,Martin Luther King Jr.,SE,GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,766030
2014,1175577,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GETT_METADATA.xml,1,Gettysburg,NE,PA,GETT,Gettysburg National Military Park,National Military Park,1020702
2014,1828962,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WAPA_METADATA.xml,1,War in the Pacific,PW,GU,WAPA,War in the Pacific National Historical Park,War in the Pacific,266191
2014,806847,POLYGON,http://nrdata.nps.gov/programs/Lands/GRKO_metadata.xml,1,Grant-Kohrs Ranch,IM,MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,20565
2014,2733421,POLYGON,http://nrdata.nps.gov/programs/Lands/DETO_METADATA.xml,1,Devils Tower,IM,WY,DETO,Devils Tower National Monument,National Monument,440875
2014,600140,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BOST_metadata.xml,1,Boston,NE,MA,BOST,Boston National Historical Park,National Historical Park,2476078
2014,1147260,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ORCA_metadata.xml,1,Oregon Caves,PW,OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,69405
2014,2733424,POLYGON,http://nrdata.nps.gov/programs/Lands/GEGR_METADATA.xml,1,General Grant,NE,NY,GEGR,General Grant National Memorial,National Memorial,100622
2014,2733434,POLYGON,http://nrdata.nps.gov/programs/Lands/RIRA_metadata.xml,1,River Raisin,MW,MI,RIRA,River Raisin National Battlefield Park,National Battlefield Park,55281
2014,255952,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GOGA_metadata.xml,1,Golden Gate,PW,CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,15004420
2014,1967105,POLYGON,http://nrdata.nps.gov/programs/Lands/POCH_metadata.xml,1,Port Chicago Naval Magazine,PW,CA,POCH,Port Chicago Naval Magazine National Memorial,National Memorial,786
1994,2738287,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/NACA_metadata.xml,1,National Capital Parks,NC,DC,NACA,National Capital Parks,Park,5435837
2014,1133439,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/JODA_METADATA.xml,1,John Day Fossil Beds,PW,OR,JODA,John Day Fossil Beds National Monument,National Monument,183420
2014,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,173261
2014,1581059,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/APIS_metadata.xml,1,Apostle Islands,MW,WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,290059
2014,53246,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PERI_metadata.xml,1,Pea Ridge,MW,AR,PERI,Pea Ridge National Military Park,National Military Park,104686
2014,1888972,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WEFA_metadata.xml,1,Weir Farm,NE,CT,WEFA,Weir Farm National Historic Site,National Historic Site,34082
2014,2035603,POLYGON,http://nrdata.nps.gov/programs/Lands/THRI_metadata.xml,1,Theodore Roosevelt Inaugural,NE,NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,22025
2014,262325,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/LAVO_metadata.xml,1,Lassen Volcanic,PW,CA,LAVO,Lassen Volcanic National Park,National Park,432977
2014,1265096,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BADL_metadata.xml,1,Badlands,MW,SD,BADL,Badlands National Park,National Park,868094
2014,1284664,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FODO_METADATA.xml,1,Fort Donelson,SE,TN,FODO,Fort Donelson National Battlefield,National Battlefield,262317
2014,968452,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/VAMA_metadata.xml,1,Vanderbilt Mansion,NE,NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,398447
2014,1888934,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/JICA_metadata.xml,1,Jimmy Carter,SE,GA,JICA,Jimmy Carter National Historic Site,National Historic Site,62057
2014,1534055,MULTIPOLYGON,NA,1,San Juan Island,PW,WA,SAJH,San Juan Island National Historical Park,National Historical Park,268946
2014,882894,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GATE_metadata.xml,1,Gateway,NE,NY,GATE,Gateway National Recreation Area,National Recreation Area,6021713
2014,1888970,POLYGON,http://nrdata.nps.gov/programs/Lands/UPDE_metadata.xml,1,Upper Delaware,NE,PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,230845
2014,771520,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOUS_metadata.xml,1,Fort Union Trading Post,MW,ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site,11521
2014,779820,POLYGON,http://nrdata.nps.gov/programs/Lands/BIHO_metadata.xml,1,Big Hole,PW,MT,BIHO,Big Hole National Battlefield,National Battlefield,36987
2014,44981,POLYGON,http://nrdata.nps.gov/programs/Lands/CACH_metadata.xml,1,Canyon de Chelly,IM,AZ,CACH,Canyon de Chelly National Monument,National Monument,827761
2014,1066328,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CUVA_metadata.xml,1,Cuyahoga Valley,MW,OH,CUVA,Cuyahoga Valley National Park,National Park,2189849
2014,606900,POLYGON,http://nrdata.nps.gov/programs/Lands/caco_METADATA.xml,1,Cape Cod,NE,MA,CACO,Cape Cod National Seashore,National Seashore,4426750
2014,964487,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/sara_METADATA.xml,1,Saratoga,NE,NY,SARA,Saratoga National Historical Park,National Historical Park,58773
2014,1528416,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MORA_metadata.xml,1,Mount Rainier,PW,WA,MORA,Mount Rainier National Park,National Park,1264259
2014,446882,POLYGON,http://nrdata.nps.gov/programs/Lands/LIBO_metadata.xml,1,Lincoln Boyhood,MW,IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,99795
2014,1377039,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAAN_metadata.xml,1,San Antonio Missions,IM,TX,SAAN,San Antonio Missions National Historical Park,National Historical Park,1395337
2014,1971618,POLYGON,http://nrdata.nps.gov/programs/Lands/FRLA_METADATA.xml,1,Frederick Law Olmsted,NE,MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,8667
2014,1467038,POLYGON,http://nrdata.nps.gov/programs/Lands/GEWA_METADATA.xml,1,George Washington Birthplace,NE,VA,GEWA,George Washington Birthplace National Monument,National Monument,131984
2014,2083660,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HAGR_metadata.xml,1,Hamilton Grange,NE,NY,HAGR,Hamilton Grange National Memorial,National Memorial,20943
2014,584846,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HAMP_metadata.xml,1,Hampton,NE,MD,HAMP,Hampton National Historic Site,National Historic Site,32498
2014,23865,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GLCA_METADATA.xml,1,Glen Canyon,IM,UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,2368452
2014,255923,POLYGON,http://nrdata.nps.gov/programs/Lands/YOSE_METADATA.xml,1,Yosemite,PW,CA,YOSE,Yosemite National Park,National Park,3882642
2014,446903,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/INDU_metadata.xml,1,Indiana Dunes,MW,IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,1553372
2014,1888965,POLYGON,http://nrdata.nps.gov/programs/Lands/TAPR_metadata.xml,1,Tallgrass Prairie,MW,KS,TAPR,Tallgrass Prairie National Preserve,National Preserve,17776
2014,158362,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/TUIN_METADATA.xml,1,Tuskegee Institute,SE,AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site,11786
2014,2035095,POLYGON,http://nrdata.nps.gov/programs/Lands/CONG_METADATA.xml,1,Congaree,SE,SC,CONG,Congaree National Park,National Park,120122
2014,282677,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOCA_metadata.xml,1,Fort Caroline,SE,FL,FOCA,Fort Caroline National Memorial,National Memorial,187843
2014,581971,POLYGON,http://nrdata.nps.gov/programs/Lands/SACR_metadata.xml,1,Saint Croix Island,NE,ME,SACR,Saint Croix Island International Historic Site,International Historic Site,11588
2014,1597073,POLYGON,http://nrdata.nps.gov/programs/Lands/FOLA_METADATA.xml,1,Fort Laramie,IM,WY,FOLA,Fort Laramie National Historic Site,National Historic Site,49038
2014,1888931,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HOCU_metadata.xml,1,Hopewell Culture,MW,OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,36432
2014,169567,POLYGON,http://nrdata.nps.gov/programs/Lands/DINO_metadata.xml,1,Dinosaur,IM,CO,DINO,Dinosaur National Monument,National Monument,250625
2014,1472799,POLYGON,http://nrdata.nps.gov/programs/Lands/PRWI_METADATA.xml,1,Prince William Forest Park,NC,VA,PRWI,Prince William Forest Park,Park,315072
2014,880864,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/STLI_METADATA.xml,1,Statue Of Liberty,NE,NY,STLI,Statue Of Liberty National Monument,National Monument,4198815
2014,928874,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BAND_metadata.xml,1,Bandelier,IM,NM,BAND,Bandelier National Monument,National Monument,130106
2014,10683,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAGU_metadata.xml,1,Saguaro,IM,AZ,SAGU,Saguaro National Park,National Park,673572
2014,1263056,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WICA_metadata.xml,1,Wind Cave,MW,SD,WICA,Wind Cave National Park,National Park,547022
2014,937161,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PECO_metadata.xml,1,Pecos,IM,NM,PECO,Pecos National Historical Park,National Historical Park,38256
2014,123648,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/NATR_metadata.xml,1,Natchez Trace,SE,MS,NATR,Natchez Trace Parkway,Parkway,5846474
2014,202252,POLYGON,http://nrdata.nps.gov/programs/Lands/COLM_METADATA.xml,1,Colorado,IM,CO,COLM,Colorado National Monument,National Monument,416862
2014,1488838,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FRSP_metadata.xml,1,Fredericksburg and Spotsylvania,NE,VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,873328
2014,1478412,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/COLO_metadata.xml,1,Colonial,NE,VA,COLO,Colonial National Historical Park,National Historical Park,3335060
2014,56796,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HOSP_metadata.xml,1,Hot Springs,MW,AR,HOSP,Hot Springs National Park,National Park,1424484
2014,1416034,POLYGON,http://nrdata.nps.gov/programs/Lands/ANIA_metadata.xml,1,Aniakchak,AK,AK,ANIA,Aniakchak National Monument,National Monument,134
2014,1416034,POLYGON,http://nrdata.nps.gov/programs/Lands/ANIA_metadata.xml,1,Aniakchak,AK,AK,ANIA,Aniakchak National Preserve,National Preserve,134
2014,1416037,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BELA_metadata.xml,1,Bering Land Bridge,AK,AK,BELA,Bering Land Bridge National Preserve,National Preserve,2636
2014,1416038,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CAKR_metadata.xml,1,Cape Krusenstern,AK,AK,CAKR,Cape Krusenstern National Monument,National Monument,0
2014,2760439,POLYGON,http://nrdata.nps.gov/programs/Lands/DENA_metadata.xml,1,Denali,AK,AK,DENA,Denali National Park,National Park,531315
2014,2760439,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/DENA_metadata.xml,1,Denali,AK,AK,DENA,Denali National Preserve,National Park,531315
2014,1416040,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GAAR_metadata.xml,1,Gates of the Arctic,AK,AK,GAAR,Gates of the Arctic National Park,National Park,12669
2014,1416040,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GAAR_metadata.xml,1,Gates of the Arctic,AK,AK,GAAR,Gates of the Arctic National Preserve,National Preserve,12669
2014,1416041,POLYGON,http://nrdata.nps.gov/programs/Lands/GLBA_metadata.xml,1,Glacier Bay,AK,AK,GLBA,Glacier Bay National Park,National Park,500727
2014,1416041,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GLBA_metadata.xml,1,Glacier Bay,AK,AK,GLBA,Glacier Bay National Preserve,National Preserve,500727
