year,state,pop
1946,IL,8155000
1947,IL,8341000
1948,IL,8552000
1949,IL,8670000
1950,IL,8738000
1951,IL,8790000
1952,IL,8956000
1953,IL,9065000
1954,IL,9252000
1955,IL,9435000
1956,IL,9530000
1957,IL,9668000
1958,IL,9886000
1959,IL,9986000
1960,IL,10086000
1961,IL,10130000
1962,IL,10280000
1963,IL,10402000
1964,IL,10580000
1965,IL,10693000
1966,IL,10836000
1967,IL,10947000
1968,IL,10995000
1969,IL,11039000
1970,IL,11110285
1971,IL,11202397
1972,IL,11251948
1973,IL,11251367
1974,IL,11262145
1975,IL,11291743
1976,IL,11342853
1977,IL,11386316
1978,IL,11412561
1979,IL,11396837
1980,IL,11434702
1981,IL,11443458
1982,IL,11423412
1983,IL,11408818
1984,IL,11412132
1985,IL,11399806
1986,IL,11387257
1987,IL,11391178
1988,IL,11390183
1989,IL,11409782
1990,IL,11446979
1991,IL,11535973
1992,IL,11635197
1993,IL,11725984
1994,IL,11804986
1995,IL,11884935
1996,IL,11953003
1997,IL,12011509
1998,IL,12069774
1999,IL,12128370
2000,IL,12434161
2001,IL,12488445
2002,IL,12525556
2003,IL,12556006
2004,IL,12589773
2005,IL,12609903
2006,IL,12643955
2007,IL,12695866
2008,IL,12747038
2009,IL,12796778
2010,IL,12840097
2011,IL,12858725
2012,IL,12873763
2013,IL,12890552
2014,IL,12880580
2015,IL,12859995
1900,IN,2518000
1901,IN,2541000
1902,IN,2567000
1903,IN,2594000
1904,IN,2614000
1905,IN,2635000
1906,IN,2663000
1907,IN,2679000
1908,IN,2677000
1909,IN,2678000
1910,IN,2713000
1911,IN,2751000
1912,IN,2785000
1913,IN,2824000
1914,IN,2857000
1915,IN,2873000
1916,IN,2897000
1917,IN,2910000
1918,IN,2880000
1919,IN,2906000
1920,IN,2947000
1921,IN,2976000
1922,IN,2965000
1923,IN,3042000
1924,IN,3086000
1925,IN,3119000
1926,IN,3148000
1927,IN,3191000
1928,IN,3212000
1929,IN,3226000
1930,IN,3242000
1931,IN,3257000
1932,IN,3281000
1933,IN,3304000
1934,IN,3319000
1935,IN,3332000
1936,IN,3348000
1937,IN,3374000
1938,IN,3386000
1939,IN,3403000
1940,IN,3433000
1941,IN,3483000
1942,IN,3507000
1943,IN,3449000
1944,IN,3440000
1945,IN,3427000
1946,IN,3702000
1947,IN,3779000
1948,IN,3877000
1949,IN,3958000
1950,IN,3967000
1951,IN,4096000
1952,IN,4148000
1953,IN,4182000
1954,IN,4264000
1955,IN,4363000
1956,IN,4458000
1957,IN,4529000
1958,IN,4583000
1959,IN,4613000
1960,IN,4674000
1961,IN,4730000
1962,IN,4736000
1963,IN,4799000
1964,IN,4856000
1965,IN,4922000
1966,IN,4999000
1967,IN,5053000
1968,IN,5093000
1969,IN,5143000
1970,IN,5195392
1971,IN,5253396
1972,IN,5302435
1973,IN,5338277
1974,IN,5361890
1975,IN,5365766
1976,IN,5389088
1977,IN,5425638
1978,IN,5470214
1979,IN,5501174
1980,IN,5490721
1981,IN,5480435
1982,IN,5467922
1983,IN,5450395
1984,IN,5458322
1985,IN,5459211
1986,IN,5454108
1987,IN,5473012
1988,IN,5491735
1989,IN,5523693
1990,IN,5555097
1991,IN,5602062
1992,IN,5648649
1993,IN,5701965
1994,IN,5745626
1995,IN,5791819
1996,IN,5834908
1997,IN,5872370
1998,IN,5907617
1999,IN,5942901
2000,IN,6091866
2001,IN,6127760
2002,IN,6155967
2003,IN,6196638
2004,IN,6233007
2005,IN,6278616
2006,IN,6332669
2007,IN,6379599
2008,IN,6424806
2009,IN,6459325
2010,IN,6490308
2011,IN,6516560
2012,IN,6537632
2013,IN,6570713
2014,IN,6596855
2015,IN,6619680
1900,IA,2231000
1901,IA,2227000
1902,IA,2222000
1903,IA,2217000
1904,IA,2212000
1905,IA,2211000
1906,IA,2214000
1907,IA,2217000
1908,IA,2220000
1909,IA,2223000
1910,IA,2228000
1911,IA,2249000
1912,IA,2279000
1913,IA,2305000
1914,IA,2338000
1915,IA,2366000
1916,IA,2376000
1917,IA,2382000
1918,IA,2351000
1919,IA,2379000
1920,IA,2400000
1921,IA,2407000
1922,IA,2428000
1923,IA,2425000
1924,IA,2420000
1925,IA,2427000
1926,IA,2432000
1927,IA,2441000
1928,IA,2450000
1929,IA,2460000
1930,IA,2475000
1931,IA,2482000
1932,IA,2489000
1933,IA,2495000
1934,IA,2510000
1935,IA,2524000
1936,IA,2509000
1937,IA,2498000
1938,IA,2494000
1939,IA,2520000
1940,IA,2537000
1941,IA,2491000
1942,IA,2439000
1943,IA,2334000
1944,IA,2301000
1945,IA,2308000
1946,IA,2467000
1947,IA,2509000
1948,IA,2543000
1949,IA,2578000
1950,IA,2625000
1951,IA,2617000
1952,IA,2626000
1953,IA,2629000
1954,IA,2626000
1955,IA,2679000
1956,IA,2703000
1957,IA,2716000
1958,IA,2708000
1959,IA,2729000
1960,IA,2756000
1961,IA,2756000
1962,IA,2750000
1963,IA,2747000
1964,IA,2746000
1965,IA,2742000
1966,IA,2762000
1967,IA,2793000
1968,IA,2803000
1969,IA,2805000
1970,IA,2825368
1971,IA,2851705
1972,IA,2860287
1973,IA,2863715
1974,IA,2867530
1975,IA,2880847
1976,IA,2903082
1977,IA,2913573
1978,IA,2918069
1979,IA,2915739
1980,IA,2914018
1981,IA,2907983
1982,IA,2888189
1983,IA,2870543
1984,IA,2858618
1985,IA,2829684
1986,IA,2791970
1987,IA,2767011
1988,IA,2768388
1989,IA,2770592
1990,IA,2779769
1991,IA,2791227
1992,IA,2806923
1993,IA,2820525
1994,IA,2829422
1995,IA,2840860
1996,IA,2848473
1997,IA,2854396
1998,IA,2861025
1999,IA,2869413
2000,IA,2929067
2001,IA,2931997
2002,IA,2934234
2003,IA,2941999
2004,IA,2953635
2005,IA,2964454
2006,IA,2982644
2007,IA,2999212
2008,IA,3016734
2009,IA,3032870
2010,IA,3050295
2011,IA,3064904
2012,IA,3075935
2013,IA,3092341
2014,IA,3107126
2015,IA,3123899
1900,KS,1473000
1901,KS,1490000
1902,KS,1505000
1903,KS,1498000
1904,KS,1527000
1905,KS,1555000
1906,KS,1576000
1907,KS,1612000
1908,KS,1629000
1909,KS,1658000
1910,KS,1692000
1911,KS,1684000
1912,KS,1671000
1913,KS,1663000
1914,KS,1662000
1915,KS,1687000
1916,KS,1727000
1917,KS,1748000
1918,KS,1729000
1919,KS,1756000
1920,KS,1769000
1921,KS,1779000
1922,KS,1799000
1923,KS,1808000
1924,KS,1807000
1925,KS,1825000
1926,KS,1836000
1927,KS,1836000
1928,KS,1850000
1929,KS,1867000
1930,KS,1883000
1931,KS,1881000
1932,KS,1883000
1933,KS,1877000
1934,KS,1868000
1935,KS,1872000
1936,KS,1869000
1937,KS,1856000
1938,KS,1842000
1939,KS,1824000
1940,KS,1788000
1941,KS,1765000
1942,KS,1760000
1943,KS,1796000
1944,KS,1779000
1945,KS,1731000
1946,KS,1805000
1947,KS,1853000
1948,KS,1892000
1949,KS,1925000
1950,KS,1916000
1951,KS,1950000
1952,KS,1977000
1953,KS,1994000
1954,KS,2042000
1955,KS,2093000
1956,KS,2119000
1957,KS,2128000
1958,KS,2142000
1959,KS,2160000
1960,KS,2183000
1961,KS,2215000
1962,KS,2231000
1963,KS,2217000
1964,KS,2209000
1965,KS,2206000
1966,KS,2200000
1967,KS,2197000
1968,KS,2216000
1969,KS,2236000
1970,KS,2249071
1971,KS,2246600
1972,KS,2256375
1973,KS,2265603
1974,KS,2269499
1975,KS,2280578
1976,KS,2301001
1977,KS,2320647
1978,KS,2335657
1979,KS,2350906
1980,KS,2369039
1981,KS,2384849
1982,KS,2401202
1983,KS,2415531
1984,KS,2424086
1985,KS,2427405
1986,KS,2432619
1987,KS,2445367
1988,KS,2461996
1989,KS,2472849
1990,KS,2480683
1991,KS,2495209
1992,KS,2526042
1993,KS,2547605
1994,KS,2569118
1995,KS,2586942
1996,KS,2598266
1997,KS,2616339
1998,KS,2638667
1999,KS,2654052
2000,KS,2693681
2001,KS,2702162
2002,KS,2713535
2003,KS,2723004
2004,KS,2734373
2005,KS,2745299
2006,KS,2762931
2007,KS,2783785
2008,KS,2808076
2009,KS,2832704
2010,KS,2858949
2011,KS,2869965
2012,KS,2885966
2013,KS,2895801
2014,KS,2904021
2015,KS,2911641
1900,KY,2148000
1901,KY,2162000
1902,KY,2177000
1903,KY,2191000
1904,KY,2205000
1905,KY,2220000
1906,KY,2234000
1907,KY,2249000
1908,KY,2263000
1909,KY,2278000
1910,KY,2299000
1911,KY,2324000
1912,KY,2347000
1913,KY,2374000
1914,KY,2395000
1915,KY,2401000
1916,KY,2411000
1917,KY,2421000
1918,KY,2425000
1919,KY,2413000
1920,KY,2421000
1921,KY,2436000
1922,KY,2450000
1923,KY,2480000
1924,KY,2531000
1925,KY,2520000
1926,KY,2545000
1927,KY,2551000
1928,KY,2567000
1929,KY,2606000
1930,KY,2623000
1931,KY,2652000
1932,KY,2676000
1933,KY,2698000
1934,KY,2722000
1935,KY,2748000
1936,KY,2768000
1937,KY,2784000
1938,KY,2800000
1939,KY,2825000
1940,KY,2859000
1941,KY,2824000
1942,KY,2797000
1943,KY,2693000
1944,KY,2631000
1945,KY,2597000
1946,KY,2761000
1947,KY,2803000
1948,KY,2817000
1949,KY,2849000
1950,KY,2936000
1951,KY,2941000
1952,KY,2920000
1953,KY,2903000
1954,KY,2902000
1955,KY,2910000
1956,KY,2898000
1957,KY,2928000
1958,KY,2961000
1959,KY,2999000
1960,KY,3041000
1961,KY,3054000
1962,KY,3079000
1963,KY,3096000
1964,KY,3129000
1965,KY,3140000
1966,KY,3147000
1967,KY,3172000
1968,KY,3195000
1969,KY,3198000
1970,KY,3220711
1971,KY,3298053
1972,KY,3335728
1973,KY,3371024
1974,KY,3416315
1975,KY,3467769
1976,KY,3529257
1977,KY,3573693
1978,KY,3609976
1979,KY,3641804
1980,KY,3664221
1981,KY,3670394
1982,KY,3683445
1983,KY,3694484
1984,KY,3695453
1985,KY,3694826
1986,KY,3687809
1987,KY,3683329
1988,KY,3679999
1989,KY,3677306
1990,KY,3692584
1991,KY,3714686
1992,KY,3756358
1993,KY,3792288
1994,KY,3823215
1995,KY,3855248
1996,KY,3881051
1997,KY,3907816
1998,KY,3934310
1999,KY,3960825
2000,KY,4049021
2001,KY,4068132
2002,KY,4089875
2003,KY,4117170
2004,KY,4146101
2005,KY,4182742
2006,KY,4219239
2007,KY,4256672
2008,KY,4289878
2009,KY,4317074
2010,KY,4349838
2011,KY,4370038
2012,KY,4383465
2013,KY,4399583
2014,KY,4413457
2015,KY,4425092
1900,LA,1384000
1901,LA,1412000
1902,LA,1440000
1903,LA,1467000
1904,LA,1495000
1905,LA,1523000
1906,LA,1551000
1907,LA,1579000
1908,LA,1607000
1909,LA,1634000
1910,LA,1667000
1911,LA,1695000
1912,LA,1709000
1913,LA,1727000
1914,LA,1740000
1915,LA,1755000
1916,LA,1799000
1917,LA,1795000
1918,LA,1746000
1919,LA,1756000
1920,LA,1813000
1921,LA,1847000
1922,LA,1871000
1923,LA,1903000
1924,LA,1939000
1925,LA,1972000
1926,LA,2005000
1927,LA,2039000
1928,LA,2064000
1929,LA,2086000
1930,LA,2105000
1931,LA,2124000
1932,LA,2155000
1933,LA,2178000
1934,LA,2202000
1935,LA,2228000
1936,LA,2246000
1937,LA,2257000
1938,LA,2285000
1939,LA,2334000
1940,LA,2370000
1941,LA,2484000
1942,LA,2546000
1943,LA,2565000
1944,LA,2508000
1945,LA,2429000
1946,LA,2556000
1947,LA,2579000
1948,LA,2596000
1949,LA,2634000
1950,LA,2697000
1951,LA,2769000
1952,LA,2842000
1953,LA,2866000
1954,LA,2883000
1955,LA,2946000
1956,LA,3032000
1957,LA,3115000
1958,LA,3155000
1959,LA,3208000
1960,LA,3260000
1961,LA,3287000
1962,LA,3345000
1963,LA,3377000
1964,LA,3446000
1965,LA,3496000
1966,LA,3550000
1967,LA,3581000
1968,LA,3603000
1969,LA,3619000
1970,LA,3644637
1971,LA,3710487
1972,LA,3761646
1973,LA,3788375
1974,LA,3820109
1975,LA,3886104
1976,LA,3950605
1977,LA,4014459
1978,LA,4068579
1979,LA,4137665
1980,LA,4223101
1981,LA,4283303
1982,LA,4352608
1983,LA,4395316
1984,LA,4400477
1985,LA,4408118
1986,LA,4406919
1987,LA,4344148
1988,LA,4288863
1989,LA,4252894
1990,LA,4219179
1991,LA,4240950
1992,LA,4270849
1993,LA,4284749
1994,LA,4306500
1995,LA,4327978
1996,LA,4338763
1997,LA,4351390
1998,LA,4362758
1999,LA,4372035
2000,LA,4471885
2001,LA,4477875
2002,LA,4497267
2003,LA,4521042
2004,LA,4552238
2005,LA,4576628
2006,LA,4302665
2007,LA,4375581
2008,LA,4435586
2009,LA,4491648
2010,LA,4545581
2011,LA,4575972
2012,LA,4604744
2013,LA,4629284
2014,LA,4649676
2015,LA,4670724
1900,ME,695000
1901,ME,699000
1902,ME,703000
1903,ME,709000
1904,ME,719000
1905,ME,723000
1906,ME,729000
1907,ME,731000
1908,ME,735000
1909,ME,740000
1910,ME,745000
1911,ME,751000
1912,ME,753000
1913,ME,763000
1914,ME,772000
1915,ME,774000
1916,ME,775000
1917,ME,777000
1918,ME,760000
1919,ME,762000
1920,ME,771000
1921,ME,775000
1922,ME,778000
1923,ME,781000
1924,ME,788000
1925,ME,792000
1926,ME,793000
1927,ME,796000
1928,ME,797000
1929,ME,797000
1930,ME,800000
1931,ME,807000
1932,ME,815000
1933,ME,821000
1934,ME,829000
1935,ME,836000
1936,ME,840000
1937,ME,842000
1938,ME,843000
1939,ME,846000
1940,ME,849000
1941,ME,852000
1942,ME,839000
1943,ME,806000
1944,ME,801000
1945,ME,800000
1946,ME,832000
1947,ME,854000
1948,ME,878000
1949,ME,903000
1950,ME,917000
1951,ME,916000
1952,ME,915000
1953,ME,913000
1954,ME,927000
1955,ME,934000
1956,ME,938000
1957,ME,943000
1958,ME,944000
1959,ME,957000
1960,ME,975000
1961,ME,995000
1962,ME,994000
1963,ME,993000
1964,ME,993000
1965,ME,997000
1966,ME,999000
1967,ME,1004000
1968,ME,994000
1969,ME,992000
1970,ME,993722
1971,ME,1015390
1972,ME,1034292
1973,ME,1045655
1974,ME,1059040
1975,ME,1071995
1976,ME,1088412
1977,ME,1103578
1978,ME,1113566
1979,ME,1122563
1980,ME,1126860
1981,ME,1133033
1982,ME,1136684
1983,ME,1144772
1984,ME,1155635
1985,ME,1162936
1986,ME,1170126
1987,ME,1184574
1988,ME,1203840
1989,ME,1219961
1990,ME,1231296
1991,ME,1235439
1992,ME,1235748
1993,ME,1238256
1994,ME,1237687
1995,ME,1237438
1996,ME,1241436
1997,ME,1245215
1998,ME,1247554
1999,ME,1253040
2000,ME,1277072
2001,ME,1285692
2002,ME,1295960
2003,ME,1306513
2004,ME,1313688
2005,ME,1318787
2006,ME,1323619
2007,ME,1327040
2008,ME,1330509
2009,ME,1329590
2010,ME,1327361
2011,ME,1327930
2012,ME,1328592
2013,ME,1328702
2014,ME,1330089
2015,ME,1329328
1900,MD,1189000
1901,MD,1200000
1902,MD,1210000
1903,MD,1209000
1904,MD,1217000
1905,MD,1237000
1906,MD,1251000
1907,MD,1257000
1908,MD,1269000
1909,MD,1289000
1910,MD,1302000
1911,MD,1324000
1912,MD,1345000
1913,MD,1368000
1914,MD,1389000
1915,MD,1401000
1916,MD,1415000
1917,MD,1428000
1918,MD,1467000
1919,MD,1445000
1920,MD,1464000
1921,MD,1492000
1922,MD,1509000
1923,MD,1521000
1924,MD,1537000
1925,MD,1556000
1926,MD,1576000
1927,MD,1599000
1928,MD,1610000
1929,MD,1621000
1930,MD,1636000
1931,MD,1657000
1932,MD,1678000
1933,MD,1694000
1934,MD,1710000
1935,MD,1729000
1936,MD,1745000
1937,MD,1754000
1938,MD,1766000
1939,MD,1793000
1940,MD,1839000
1941,MD,1913000
1942,MD,1998000
1943,MD,2089000
1944,MD,2118000
1945,MD,2096000
1946,MD,2214000
1947,MD,2248000
1948,MD,2271000
1949,MD,2329000
1950,MD,2355000
1951,MD,2441000
1952,MD,2500000
1953,MD,2567000
1954,MD,2685000
1955,MD,2742000
1956,MD,2811000
1957,MD,2873000
1958,MD,2982000
1959,MD,3066000
1960,MD,3113000
1961,MD,3176000
1962,MD,3263000
1963,MD,3386000
1964,MD,3492000
1965,MD,3600000
1966,MD,3695000
1967,MD,3757000
1968,MD,3815000
1969,MD,3868000
1970,MD,3923897
1971,MD,4018324
1972,MD,4073499
1973,MD,4097974
1974,MD,4118815
1975,MD,4139096
1976,MD,4150539
1977,MD,4169595
1978,MD,4183603
1979,MD,4191160
1980,MD,4227643
1981,MD,4261905
1982,MD,4282923
1983,MD,4313327
1984,MD,4365243
1985,MD,4413071
1986,MD,4486957
1987,MD,4565557
1988,MD,4657904
1989,MD,4727301
1990,MD,4797431
1991,MD,4856176
1992,MD,4902545
1993,MD,4942504
1994,MD,4985411
1995,MD,5023650
1996,MD,5057142
1997,MD,5092914
1998,MD,5130072
1999,MD,5171634
2000,MD,5311034
2001,MD,5374691
2002,MD,5440389
2003,MD,5496269
2004,MD,5546935
2005,MD,5592379
2006,MD,5627367
2007,MD,5653408
2008,MD,5684965
2009,MD,5730388
2010,MD,5788101
2011,MD,5843833
2012,MD,5891819
2013,MD,5938737
2014,MD,5976407
2015,MD,6006401
1900,MA,2788000
1901,MA,2794000
1902,MA,2856000
1903,MA,2924000
1904,MA,2969000
1905,MA,3018000
1906,MA,3107000
1907,MA,3183000
1908,MA,3251000
1909,MA,3316000
1910,MA,3365000
1911,MA,3383000
1912,MA,3440000
1913,MA,3534000
1914,MA,3636000
1915,MA,3705000
1916,MA,3726000
1917,MA,3738000
1918,MA,3695000
1919,MA,3785000
1920,MA,3882000
1921,MA,3951000
1922,MA,4010000
1923,MA,4057000
1924,MA,4102000
1925,MA,4154000
1926,MA,4194000
1927,MA,4223000
1928,MA,4217000
1929,MA,4229000
1930,MA,4250000
1931,MA,4248000
1932,MA,4259000
1933,MA,4282000
1934,MA,4305000
1935,MA,4343000
1936,MA,4355000
1937,MA,4358000
1938,MA,4365000
1939,MA,4347000
1940,MA,4318000
1941,MA,4389000
1942,MA,4370000
1943,MA,4257000
1944,MA,4192000
1945,MA,4201000
1946,MA,4494000
1947,MA,4580000
1948,MA,4674000
1949,MA,4741000
1950,MA,4686000
1951,MA,4654000
1952,MA,4650000
1953,MA,4806000
1954,MA,4910000
1955,MA,4882000
1956,MA,4891000
1957,MA,4929000
1958,MA,5010000
1959,MA,5117000
1960,MA,5160000
1961,MA,5219000
1962,MA,5263000
1963,MA,5344000
1964,MA,5448000
1965,MA,5502000
1966,MA,5535000
1967,MA,5594000
1968,MA,5618000
1969,MA,5650000
1970,MA,5689170
1971,MA,5737580
1972,MA,5760302
1973,MA,5781172
1974,MA,5773548
1975,MA,5757756
1976,MA,5743672
1977,MA,5738199
1978,MA,5736469
1979,MA,5738404
1980,MA,5746075
1981,MA,5768685
1982,MA,5771222
1983,MA,5799407
1984,MA,5840773
1985,MA,5880733
1986,MA,5902678
1987,MA,5935204
1988,MA,5979982
1989,MA,6015478
1990,MA,6018664
1991,MA,5998652
1992,MA,5993474
1993,MA,6010884
1994,MA,6031352
1995,MA,6062335
1996,MA,6085393
1997,MA,6115476
1998,MA,6144407
1999,MA,6175169
2000,MA,6361104
2001,MA,6397634
2002,MA,6417206
2003,MA,6422565
2004,MA,6412281
2005,MA,6403290
2006,MA,6410084
2007,MA,6431559
2008,MA,6468967
2009,MA,6517613
2010,MA,6564073
2011,MA,6612270
2012,MA,6655829
2013,MA,6708874
2014,MA,6745408
2015,MA,6794422
1900,MI,2423000
1901,MI,2450000
1902,MI,2477000
1903,MI,2505000
1904,MI,2534000
1905,MI,2579000
1906,MI,2626000
1907,MI,2693000
1908,MI,2722000
1909,MI,2771000
1910,MI,2832000
1911,MI,2916000
1912,MI,2997000
1913,MI,3101000
1914,MI,3183000
1915,MI,3263000
1916,MI,3353000
1917,MI,3451000
1918,MI,3499000
1919,MI,3591000
1920,MI,3723000
1921,MI,3872000
1922,MI,3942000
1923,MI,4063000
1924,MI,4214000
1925,MI,4331000
1926,MI,4451000
1927,MI,4589000
1928,MI,4665000
1929,MI,4795000
1930,MI,4834000
1931,MI,4798000
1932,MI,4780000
1933,MI,4780000
1934,MI,4798000
1935,MI,4838000
1936,MI,4889000
1937,MI,4968000
1938,MI,5056000
1939,MI,5156000
1940,MI,5315000
1941,MI,5472000
1942,MI,5549000
1943,MI,5405000
1944,MI,5467000
1945,MI,5475000
1946,MI,5874000
1947,MI,6076000
1948,MI,6213000
1949,MI,6332000
1950,MI,6407000
1951,MI,6497000
1952,MI,6650000
1953,MI,6822000
1954,MI,7066000
1955,MI,7285000
1956,MI,7467000
1957,MI,7569000
1958,MI,7667000
1959,MI,7767000
1960,MI,7834000
1961,MI,7893000
1962,MI,7933000
1963,MI,8058000
1964,MI,8187000
1965,MI,8357000
1966,MI,8512000
1967,MI,8630000
1968,MI,8696000
1969,MI,8781000
1970,MI,8881826
1971,MI,8974186
1972,MI,9028944
1973,MI,9077956
1974,MI,9117507
1975,MI,9117668
1976,MI,9129205
1977,MI,9171110
1978,MI,9217761
1979,MI,9266268
1980,MI,9255553
1981,MI,9209287
1982,MI,9115198
1983,MI,9047754
1984,MI,9049452
1985,MI,9076293
1986,MI,9127775
1987,MI,9187481
1988,MI,9217998
1989,MI,9253295
1990,MI,9310462
1991,MI,9395022
1992,MI,9470323
1993,MI,9529240
1994,MI,9584481
1995,MI,9659871
1996,MI,9739184
1997,MI,9785450
1998,MI,9820231
1999,MI,9863775
2000,MI,9952450
2001,MI,9991120
2002,MI,10015710
2003,MI,10041152
2004,MI,10055315
2005,MI,10051137
2006,MI,10036081
2007,MI,10001284
2008,MI,9946889
2009,MI,9901591
2010,MI,9876498
2011,MI,9875736
2012,MI,9884781
2013,MI,9898193
2014,MI,9909877
2015,MI,9922576
1900,MN,1754000
1901,MN,1805000
1902,MN,1862000
1903,MN,1901000
1904,MN,1945000
1905,MN,1981000
1906,MN,1987000
1907,MN,1995000
1908,MN,2020000
1909,MN,2051000
1910,MN,2086000
1911,MN,2119000
1912,MN,2147000
1913,MN,2190000
1914,MN,2234000
1915,MN,2273000
1916,MN,2308000
1917,MN,2329000
1918,MN,2291000
1919,MN,2346000
1920,MN,2403000
1921,MN,2434000
1922,MN,2451000
1923,MN,2487000
1924,MN,2521000
1925,MN,2540000
1926,MN,2560000
1927,MN,2588000
1928,MN,2592000
1929,MN,2572000
1930,MN,2576000
1931,MN,2614000
1932,MN,2646000
1933,MN,2673000
1934,MN,2695000
1935,MN,2717000
1936,MN,2734000
1937,MN,2746000
1938,MN,2753000
1939,MN,2771000
1940,MN,2790000
1941,MN,2718000
1942,MN,2662000
1943,MN,2577000
1944,MN,2526000
1945,MN,2537000
1946,MN,2734000
1947,MN,2796000
1948,MN,2868000
1949,MN,2935000
1950,MN,2997000
1951,MN,3010000
1952,MN,3030000
1953,MN,3050000
1954,MN,3113000
1955,MN,3172000
1956,MN,3240000
1957,MN,3274000
1958,MN,3313000
1959,MN,3366000
1960,MN,3425000
1961,MN,3470000
1962,MN,3513000
1963,MN,3531000
1964,MN,3558000
1965,MN,3592000
1966,MN,3617000
1967,MN,3659000
1968,MN,3703000
1969,MN,3758000
1970,MN,3806103
1971,MN,3853486
1972,MN,3869747
1973,MN,3889332
1974,MN,3903925
1975,MN,3932515
1976,MN,3964680
1977,MN,3989364
1978,MN,4015341
1979,MN,4050316
1980,MN,4085017
1981,MN,4111728
1982,MN,4131450
1983,MN,4141456
1984,MN,4157706
1985,MN,4184302
1986,MN,4205212
1987,MN,4235136
1988,MN,4296166
1989,MN,4338057
1990,MN,4387283
1991,MN,4427429
1992,MN,4471503
1993,MN,4521709
1994,MN,4566028
1995,MN,4605445
1996,MN,4647723
1997,MN,4687726
1998,MN,4726411
1999,MN,4775508
2000,MN,4933692
2001,MN,4982796
2002,MN,5018935
2003,MN,5053572
2004,MN,5087713
2005,MN,5119598
2006,MN,5163555
2007,MN,5207203
2008,MN,5247018
2009,MN,5281203
2010,MN,5310418
2011,MN,5348036
2012,MN,5380615
2013,MN,5422060
2014,MN,5457173
2015,MN,5489594
1900,MS,1553000
1901,MS,1578000
1902,MS,1603000
1903,MS,1628000
1904,MS,1653000
1905,MS,1678000
1906,MS,1703000
1907,MS,1728000
1908,MS,1753000
1909,MS,1777000
1910,MS,1802000
1911,MS,1810000
1912,MS,1817000
1913,MS,1827000
1914,MS,1832000
1915,MS,1826000
1916,MS,1823000
1917,MS,1820000
1918,MS,1813000
1919,MS,1790000
1920,MS,1800000
1921,MS,1823000
1922,MS,1836000
1923,MS,1858000
1924,MS,1886000
1925,MS,1910000
1926,MS,1935000
1927,MS,1962000
1928,MS,1981000
1929,MS,1998000
1930,MS,2006000
1931,MS,1994000
1932,MS,2004000
1933,MS,2031000
1934,MS,2050000
1935,MS,2061000
1936,MS,2072000
1937,MS,2086000
1938,MS,2127000
1939,MS,2168000
1940,MS,2176000
1941,MS,2184000
1942,MS,2210000
1943,MS,2280000
1944,MS,2167000
1945,MS,2090000
1946,MS,2064000
1947,MS,2107000
1948,MS,2076000
1949,MS,2085000
1950,MS,2176000
1951,MS,2163000
1952,MS,2152000
1953,MS,2105000
1954,MS,2064000
1955,MS,2060000
1956,MS,2086000
1957,MS,2088000
1958,MS,2086000
1959,MS,2138000
1960,MS,2182000
1961,MS,2206000
1962,MS,2243000
1963,MS,2244000
1964,MS,2241000
1965,MS,2246000
1966,MS,2245000
1967,MS,2228000
1968,MS,2219000
1969,MS,2220000
1970,MS,2216994
1971,MS,2265432
1972,MS,2307117
1973,MS,2349546
1974,MS,2378268
1975,MS,2399449
1976,MS,2429756
1977,MS,2459201
1978,MS,2487816
1979,MS,2507069
1980,MS,2525342
1981,MS,2539036
1982,MS,2556777
1983,MS,2567717
1984,MS,2578051
1985,MS,2588102
1986,MS,2593597
1987,MS,2588545
1988,MS,2580352
1989,MS,2574269
1990,MS,2577426
1991,MS,2591230
1992,MS,2610193
1993,MS,2635574
1994,MS,2663450
1995,MS,2690788
1996,MS,2709925
1997,MS,2731826
1998,MS,2751335
1999,MS,2768619
2000,MS,2848353
2001,MS,2852994
2002,MS,2858681
2003,MS,2868312
2004,MS,2889010
2005,MS,2905943
2006,MS,2904978
2007,MS,2928350
2008,MS,2947806
2009,MS,2958774
2010,MS,2970811
2011,MS,2978464
2012,MS,2986137
2013,MS,2992206
2014,MS,2994079
2015,MS,2992333
1900,MO,3108000
1901,MO,3128000
1902,MO,3147000
1903,MO,3166000
1904,MO,3185000
1905,MO,3204000
1906,MO,3223000
1907,MO,3242000
1908,MO,3260000
1909,MO,3279000
1910,MO,3301000
1911,MO,3317000
1912,MO,3344000
1913,MO,3409000
1914,MO,3467000
1915,MO,3492000
1916,MO,3527000
1917,MO,3470000
1918,MO,3325000
1919,MO,3371000
1920,MO,3404000
1921,MO,3429000
1922,MO,3437000
1923,MO,3454000
1924,MO,3508000
1925,MO,3526000
1926,MO,3556000
1927,MO,3576000
1928,MO,3601000
1929,MO,3622000
1930,MO,3646000
1931,MO,3711000
1932,MO,3746000
1933,MO,3773000
1934,MO,3784000
1935,MO,3798000
1936,MO,3801000
1937,MO,3794000
1938,MO,3781000
1939,MO,3783000
1940,MO,3786000
1941,MO,3811000
1942,MO,3829000
1943,MO,3705000
1944,MO,3560000
1945,MO,3516000
1946,MO,3746000
1947,MO,3845000
1948,MO,3844000
1949,MO,3882000
1950,MO,3964000
1951,MO,4015000
1952,MO,3972000
1953,MO,4020000
1954,MO,4066000
1955,MO,4134000
1956,MO,4163000
1957,MO,4189000
1958,MO,4186000
1959,MO,4258000
