song,artist,date,weeks_at_number_one,non_consecutive,rating_1,rating_2,rating_3,overall_rating,divisiveness,label,parent_label,cdr_genre,cdr_style,discogs_genre,discogs_style,artist_structure,featured_artists,multiple_lead_vocalists,group_named_after_non_lead_singer,talent_contestant,posthumous,artist_place_of_origin,front_person_age,artist_male,artist_white,artist_black,songwriters,songwriters_w_o_interpolation_sample_credits,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producers,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,keys,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,sound_effects,song_structure,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrics,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,featured_in_a_then_contemporary_play,written_for_a_film,featured_in_a_then_contemporary_film,written_for_a_t_v_show,featured_in_a_then_contemporary_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,double_a_side,eurovision_entry,u_s_artwork
Vision of Love,Mariah Carey,1990-08-04T00:00:00Z,4,0,6,6,5,5.666666666666667,0.6666666666666666,Columbia,Sony,Funk/Soul,Soul,Electronic;Pop,Downtempo;Ballad,1,NA,0,0,NA,0,United States,21,0,0,1,Mariah Carey;Ben Margulies,Mariah Carey;Ben Margulies,2,2,1,0,Rhett Lawrence;Narada Michael Walden,1,2,0,0,0,Free;6/8,F,F,103,46,26,35,-11,43,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E1,0,209,0,31,23,0,0,0,0,0,0,0,0,Treated me kind.Sweet destiny.Carried me through desperation.To the one that was waiting for me.It took so long.Still I believed.Somehow the one that I needed.Would find me eventually.I had a vision of love.And it was all that you've given to me.Prayed through the nights.Felt so alone.Suffered from alienation.Carried the weight on my own.Had to be strong.So I believed.And now I know I've succeeded.In finding the place I conceived.I had a vision of love.And it was all that you've given to me.I had a vision of love.And it was all that you've given me.I've realized a dream.And I visualized.The love that came to be.Feel so alive.I'm so thankful that I've received.The answer that heaven.Has sent down to me.You treated me kind.Sweet destiny.And you know that you did.And I'll be eternally grateful.Holding you so close to me.Prayed through the nights.Prayed through the nights.So faithfully.So faithfully.Knowing the one that I needed.Would find me eventually.I had a vision of love.And it was all that you've given to me.I had a vision of love.And it was all that you.Turned out to be.,Longing for Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
If Wishes Came True,Sweet Sensation,1990-09-01T00:00:00Z,1,0,3,5,1,3,2.6666666666666665,Atco,TimeWarner,Rock,Rock,Electronic,Disco;Dance-Pop,0,NA,0,0,NA,0,United States,NA,0,0,0,Deena Charles;Robert Steele;Russ DeSalvo,Deena Charles;Robert Steele;Russ DeSalvo,2,1,0,0,Steve Peck,1,1,0,0,0,4/4,Bb;B&%,Bb,144,45,49,19,-11,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E3,0,315,0,89,41,0,0,0,0,0,0,0,0,All alone silence fills my room.But in a memory I hear you calling me.Close my eyes and I'm there with you.Like it was yesterday but then it fades away.Take me back turn back the hands of time.When you kissed me in the warm September rain.Back before my heart was filled with pain.If only we could be in love that way again.If wishes came true.Then all the dreams at night of love were real.I'd be holding you.If wishes came true.Then I would be that someone always special in your heart.And we would still be lovers not apart.If wishes came true.Now you're gone and I'm on my own.Feeling lost inside since you said goodbye.In my dreams I still feel your touch.Lying next to me feeling ecstasy.Take me back turn back the hands of time.When you kissed me in the warm September rain.Back before my heart was filled with pain.If only we could be in love that way again.If wishes came true.Then all the dreams at night of love were real.I'd be holding you.If wishes came true.Then I would be that someone always special in your heart.And we would still be lovers not apart.If wishes came true.I love you madly.I need you badly.Give our love one more chance.If wishes came true.Then all the dreams at night of love were real.I'd be holding you.If wishes came true.Then I would be that someone always special in your heart.And we would still be lovers not apart.If wishes came true.,Lost Love;Longing for Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Blaze of Glory,Jon Bon Jovi,1990-09-08T00:00:00Z,1,0,3,4,5,4,1.3333333333333333,Mercury,Polygram,Rock;Folk/Country,Rock;Country,Rock;Stage & Screen,Theme;Pop Rock,1,Jeff Beck (Guitar),0,0,NA,0,United States,28,1,1,0,Jon Bon Jovi,Jon Bon Jovi,1,1,1,1,Danny Kortchmar;Jon Bon Jovi,1,1,1,0,1,4/4,Dm,Dm,79,62,55,43,-10,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,340,0,135,45,0,0,0,0,0,0,0,0,I wake up in the morning.And I raise my weary head.I've got an old coat for a pillow.And the earth was last night's bed.I don't know where I'm going.Only God knows where I've been.I'm a devil on the run.A six gun lover.A candle in the wind.When you're brought into this world.They say you're born in sin.Well at least they gave me something.I didn't have to steal or have to win.Well they tell me that I'm wanted.Yeah I'm a wanted man.I'm a colt in your stable.I'm what Cain was to Abel.Mister catch me if you can.I'm going down in a blaze of glory.Take me now but know the truth.I'm going out in a blaze of glory.And Lord I never drew first.But I drew first blood.I'm no one's son.Call me young gun.You ask about my conscience.And I offer you my soul.You ask if I'll grow to be a wise man.Well I ask if I'll grow old.You ask me if I've known love.And what it's like to sing songs in the rain.Well I've seen love come.I've seen it shot down.I've seen it die in vain.Shot down in a blaze of glory.Take me now but know the truth.Cause I'm going out in a blaze of glory.Lord I never drew first.But I drew first blood.I'm the devil's son.Call me young gun.Each night I go to bed.I pray the Lord my soul to keep.No I ain't looking for forgiveness.But before I'm six foot deep.Lord I gotta ask a favor.And I'll hope you'll understand.Cause I've lived life to the fullest.Let this boy die like a man.Staring down a bullet.Let me make my final stand.Shot down in a blaze of glory.Take me now but know the truth.I'm going out in a blaze of glory.Lord I never drew first.But I drew first blood.And I'm no one's son.Call me young gun.I'm a young gun.Young gun.Young gun.,Badassery;Survival;Violence,0,0,0,0,0,NA,1,Young Guns II,0,NA,0,0,NA,0,Artist Photograph
Release Me,Wilson Phillips,1990-09-15T00:00:00Z,2,0,7,7,4,6,2,SBK,EMI,Pop,Vocal,Pop,Pop Rock,0,NA,0,0,NA,0,United States,21.333333333333332,0,1,0,Carnie Wilson;Wendy Wilson;Chynna Phillips,Carnie Wilson;Wendy Wilson;Chynna Phillips,0,1,1,1,Glen Ballard,1,1,0,0,0,4/4,C;D&%,C,97,48,73,46,-11,54,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E2,0,231,0,27,14,0,0,0,0,0,0,0,0,How many times have I tried to turn this love around.I don't want to give up.But baby it's time I had two feet on the ground.Can you release me.Can you release me.Now that you're gone I can't help myself from wondering.Oh if you'd have come down from your high.Would we've been all right.Release me.Can you release me.Come on baby come on baby.You knew it was time to just let go.Cause we want to be free.But somehow it's just not that easy.Come on Darling hear me Darling.Cause you're a waste of time for me.I'm trying to make you see.That baby you've just got to release me.Release me.I'm not going back to you anymore.Finally my weakened heart is healing though very slow.So stop coming around my door.Cause you're not gonna find.What you're looking for.Come on baby come on baby.You knew it was time to just let go.Cause we want to be free.But somehow it's just not that easy.Come on Darling hear me Darling.Cause you're a waste of time for me.I'm trying to make you see.That baby you've just got to release me.Release me.What is this power you've got on me.What is this power.What is it What is it.Come on baby come on baby.You knew it was time to just let go.Cause we want to be free.But somehow it's just not that easy.Come on Darling hear me Darling.Cause you're a waste of time for me.I'm trying to make you see.That baby you've just got to release me.Release me.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
(Can't Live Without Your) Love and Affection,Nelson,1990-09-29T00:00:00Z,1,0,6,6,6,6,0,DGC,TimeWarner,Rock,Pop Rock,Rock,Soft Rock,0,NA,0,0,NA,0,United States,33,1,1,0,Matthew Nelson;Gunnar Nelson;Marc Tanner,Matthew Nelson;Gunnar Nelson;Marc Tanner,1,1,1,0,Marc Tanner;David Thoener,1,1,0,0,1,4/4,Db,Db,121,90,54,83,-6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E3,0,244,0,42,7,0,0,1,0,0,0,0,0,Here she comes just like an angel.Seems like forever that she's been on my mind.But nothing has changed.She thinks I'm a waste of her time.There she goes she don't know what she's missing.Can't she see I'll never give up the fight.I'll do all I can.Till she understands my desire.I've been on the outside looking in.Let me into your heart.There's nothing on earth that should keep us apart.I can't live without your love and affection.I can't face another night on my own.I'd give up my pride to save me from being alone.Cause I can't live without your love.Your love.So I wait here for an answer.And wonder if tomorrow will be like yesterday.I'll keep holding on.Can't go on living this way baby.I've been on the outside looking in.Bring my tears to an end.I realize there's no use for me to pretend.I can't live without your love and affection.I can't face another night on my own.I'd give up my pride to save me from being alone.Cause I can't live without your love.For your love I'd put my arms around you.For your love I'd find the strength to tell you.For your love That I can't live without your.I can't live without your love and affection.I can't face another night on my own.I'd give up my pride to save me from being alone.I can't live without your love and affection.I just can't go on this way anymore.As hard as I try there's one thing that I know for sure.I can't live without your love.There she goes.I can't live without your love baby.There she goes.Oh I can't live without your love.There she goes.Oh I can't live without your love.,Longing For Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Close to You,Maxi Priest,1990-10-06T00:00:00Z,1,0,6,5,3,4.666666666666667,2,Charisma,Virgin,Funk/Soul,R&B,Reggae;Pop,Dancehall;Vocal,1,NA,0,0,NA,0,United Kingdom,29,1,0,1,Gary Benson;Winston Sela;Maxi Priest,Gary Benson;Winston Sela;Maxi Priest,1,2,1,0,Geoffrey Chung;Sly Dunbar;Handel Tucker,1,0,0,0,0,4/4,Ebm,Ebm,96,44,76,84,-15,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,243,0,25,11,0,0,1,0,0,0,1,1,She was a jezebel this Brixton queen.Living the life like a back street dream.Telling me lies when the truth was clear.I think she knew what I wanted to hear.Spinning me round like a wheel on fire.Walking on tightrope my love's high wire.Fatal attraction is where I'm at.There's no escaping me.I just wanna be close to you.And do all the things you want me to.I just wanna be close to you.And show you the way I feel.I feel love.When I'm lying in the midnight hour.Holding you just like a dream.Love is never what it seems.When we touch.And you're holding me the way you do.Girl you make my dreams come true.You make my dreams come true.I just wanna be close to you.And do all the things you want me to.I just wanna be close to you.And show you the way I feel.She was a Gemini on the cusp of Mars.She holds me back or she too far.Winding me up just to let her down.So emotional gagged and bound.There's more to this than meets the eye.A devil woman locked inside.With the full moon rising I was scared.I think I was possessed.I just wanna be close to you.And do all the things you want me to.I just wanna be close to you.And show you the way I feel.I feel love.Every time your body's next to mine.Something deep inside of me.Wants to love you endlessly.When we touch.Girl you don't know how it makes me feel.I just can't believe it's real.I can't believe it's real.I just wanna be close to you.And do all the things you want me to.I just wanna be close to you.And show you the way I feel.She got an attitude I can't explain.You never know if you're in frame.Tying me up with elastic words.I'm on the countdown till I get heard.Her blood was hot she burned so bright.A neon sign there in the night.It's hard to say if I went too far.My heart still bears a scar.I just wanna be close to you.I just wanna be close to you.She was a jezebel this Brixton queen.Living the life like a back street dream.Telling me lies when the truth was clear.I think she knew what I wanted to hear.Spinning me round like a wheel on fire.Walking on tightrope my love's high wire.Fatal attraction is where I'm at.There's no escaping me.I wanna be close to you.And do all the things you want me to.I just wanna be close to you.And show you the way I feelI wanna be close to you.And do all the things you want me to.I just wanna be close to you.And show you the way I feel.,Longing for Love;Bad Relationships,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph;Non-Text Graphics
Praying For Time,George Michael,1990-10-13T00:00:00Z,1,0,4,5,3,4,1.3333333333333333,Epic,Sony,Pop,Vocal,Funk/Soul;Pop,Soul,1,NA,0,0,NA,0,United Kingdom,27,1,1,0,George Michael,George Michael,1,1,1,1,George Michael,1,1,1,1,1,4/4,Bb,Bb,128,80,57,21,-8,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C3,0,281,0,86,31,0,0,0,0,0,0,0,0,These are the days of the open hand.They will not be the last.Look around now.These are the days of the beggars and the choosers.This is the year of the hungry man.Whose place is in the past.Hand in hand with ignorance.And legitimate excuses.The rich declare themselves poor.And most of us are not sure.If we have too much.But we'll take our chances.Cause God's stopped keeping score.I guess somewhere along the way.He must have let us all out to play.Turned his back and all God's children.Crept out the back door.And it's hard to love there's so much to hate.Hanging on to hope.When there is no hope to speak of.And the wounded skies above say it's much much too late.Well maybe we should all be praying for time.These are the days of the empty hand.Oh you hold on to what you can.And charity is a coat you wear twice a year.This is the year of the guilty man.Your television takes a stand.And you find that what was over there is over here.So you scream from behind your door.Say What's mine is mine and not yours.I may have too much but I'll take my chances.Cause God's stopped keeping score.And you cling to the things they sold you.Did you cover your eyes when they told you.That he can't come back.Cause he has no children to come back for.It's hard to love there's so much to hate.Hanging on to hope when there is no hope to speak of.And the wounded skies above say it's much too late.So maybe we should all be praying for time.,Materialism;Poverty;God,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Text
I Don't Have the Heart,James Ingram,1990-10-20T00:00:00Z,1,0,6,5,2,4.333333333333333,2.6666666666666665,Warner Bros.,TimeWarner,Pop,Power Ballad,Electronic;Pop,New Jack Swing;House,1,NA,0,0,NA,0,United States,38,1,0,1,Alan Rich;Jud Friedman,Alan Rich;Jud Friedman,1,1,0,0,Thom Bell;James Ingram,1,0,0,0,0,4/4,D;E&%,D,89,42,49,33,-8,66,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E1,0,253,0,53,13,0,0,1,0,0,0,0,0,Your face is beaming.You say it's cause you're dreaming.Of how good it's going to be.You say you've been around.And now you've finally found.Everything you wanted and needed in me.I don't have the heart to hurt you.It's the last thing I want to do.But I don't have the heart to love you.Not the way you want me to.Inside I'm dying.To see you crying.How can I make you understand.I care about you.So much about you baby.I'm trying to say this as gently as I can.Cause I don't have the heart to hurt you.It's the last thing I want to do.But I don't have the heart to love you.Not the way you want me to.You're so trusting and open.Hoping that love will start.But I don't have the heart oh no.I don't have the heart.I don't have the heart to hurt you.It's the last thing I want to do.But I don't have the heart to love you.Not the way that you want me to.I don't have the heart.Baby I don't have the heart I don't have the heart.I don't have the heart.Baby I don't have.I don't have the heart.I don't have the heart.I don't have the heart.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Illustration Related to Song Title
Black Cat,Janet Jackson,1990-10-27T00:00:00Z,1,0,7,3,6,5.333333333333333,2.6666666666666665,A&M,Polygram,Rock,Hard Rock,Electronic,Synth-Pop,1,Dave Barry (Guitar),0,0,NA,0,United States,24,0,0,1,Janet Jackson,Janet Jackson,0,0,1,1,Jellybean Johnson;Janet Jackson;John McClain,2,0,1,0,1,4/4,Em,Em,115,91,70,67,-7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roar,C3,0,290,0,94,43,0,0,1,0,0,0,0,0,All the lonely nights I spend alone.Never around to love me.You're always gone.Cause you're hanging out.Breaking the rules.Oh the man has come.Looking for you.You're a rebel now.Don't give a damn.Always carrying on.With the gang.I'm trying to tell you boy.It's a mistake.You won't realize.Til it's too late.Don't understand.Why you insist.On ways of living such a dangerous life.Time after time you stay away.And I just know that you're telling me lies.Black cat.Nine lives.Short days.Long nights.Living on the edge.Not afraid to die.Heartbeat.Real strong.But not.For long.Better watch your step.Or you're gonna die.You're so together boy.But just at a glance.You'll do anything.If given a chance.Scheming planning lies.To get what you need.So full of promises.That you never keep.Don't you tell yourself.That it's okay.Sick and tired of.All of your games.And you want me to stay.Better change.Makes no sense to me.Your crazy ways.Don't understand.Why you insist.On ways of living such a dangerous life.Time after time you stay away.And I just know that you're telling me lies.Not afraid to die.Don't understand.Why you insist.On ways of living such a dangerous life.Time after time you stay away.And I just know that you're telling me lies.Black cat.Nine lives.Short days.Long nights.Living on the edge.Not afraid to die.Heartbeat.Real strong.But not.For long.Better watch your step.Or you're gonna die.Black cat.Nine lives.Short days.Long nights.Living on the edge.Not afraid to die.Heartbeat.Real strong.But not.For long.Better watch your step.Or you're gonna die.,Bad Behavior;Violence,0,1,1,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Ice Ice Baby,Vanilla Ice,1990-11-03T00:00:00Z,1,0,1,6,3,3.3333333333333335,3.3333333333333335,SBK,EMI,Hip Hop,Hip Hop,Hip Hop,Pop Rap,1,NA,0,0,NA,0,United States,23,1,1,0,Vanilla Ice;DJ Earthquake;David Bowie;Brian May;Freddie Mercury;Roger Taylor;John Deacon;Mario Johnson,Vanilla Ice;DJ Earthquake;Mario Johnson,1,2,1,0,Vanilla Ice,1,1,1,1,1,4/4,Dm,Dm,116,76,98,70,-9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,C3,0,270,0,61,25,0,0,0,0,0,1,0,1,Yo VIP let's kick it.Ice Ice Baby Ice Ice Baby.All right stop Collaborate and listen.Ice is back with my brand new invention.Something grabs a hold of me tightly.Flow like a harpoon daily and nightly.Will it ever stop.Yo I don't know.Turn off the lights and I'll glow.To the extreme I rock a mic like a vandal.Light up a stage and wax a chump like a candle.Dance go rush the speaker that booms.I'm killing your brain like a poisonous mushroom.Deadly when I play a dope melody.Anything less than the best is a felony.Love it or leave it you better gangway.You better hit bull's eye the kid don't play.If there was a problem yo I'll solve it.Check out the hook while my DJ revolves it.Ice Ice Baby Vanilla Ice Ice Baby Vanilla.Ice Ice Baby Vanilla Ice Ice Baby Vanilla.Now that the party is jumping.With the bass kicked in and the Vegas are pumping.Quick to the point to the point no faking.Cooking MCs like a pound of bacon.Burning them they ain't quick and nimble.I go crazy when I hear a cymbal.And a hi hat with a souped up tempo.I'm on a roll and it's time to go solo.Rolling in my five point oh.With my ragtop down so my hair can blow.The girlies on standby waving just to say Hi.Did you stop.No I just drove by.Kept on pursuing to the next stop.I busted a left and I'm heading to the next block.That block was dead Yo.So I continued to A1A Beachfront Ave.Girls were hot wearing less than bikinis.Rockman lovers driving Lamborghinis.Jealous cause I'm out getting mine.Shay with a gauge and Vanilla with a nine.Ready for the chumps on the wall.The chumps acting ill because they're so full of Eight Ball.Gunshots ranged out like a bell.I grabbed my nine all I heard was shells.Falling on the concrete real fast.Jumped in my car slammed on the gas.Bumper to bumper the avenue's packed.I'm trying to get away before the jackers jack.Police on the scene you know what I mean.They passed me up confronted all the dope fiends.If there was a problem yo I'll solve it.Check out the hook while my DJ revolves it.Ice Ice Baby Vanilla Ice Ice Baby Vanilla.Ice Ice Baby Vanilla Ice Ice Baby Vanilla.Take heed cause I'm a lyrical poet.Miami's on the scene just in case you didn't know it.My town that created all the bass sound.Enough to shake and kick holes in the ground.Cause my style's like a chemical spill.Feasible rhymes that you can vision and feel.Conducted and formed this is a hell of a concept.We make it hype and you want to step with this.Shay plays on the fade slice like a ninja.Cut like a razor blade so fast other DJs say Damn.If my rhyme was a drug I'd sell it by the gram.Keep my composure when it's time to get loose.Magnetized by the mic while I kick my juice.If there was a problem Yo I'll solve it.Check out the hook while D-Shay revolves it.Ice Ice Baby Vanilla Ice Ice Baby Vanilla.Ice Ice Baby Vanilla Ice Ice Baby Vanilla.Yo man let's get out of here.Word to your mother.Ice Ice Baby Too cold Ice Ice Baby Too cold Too cold.Ice Ice Baby Too cold Too cold Ice Ice Baby Too cold Too cold.,Bragging;Playing Music;Partying,0,0,1,0,0,NA,0,NA,0,NA,0,0,NA,0,Text;Non-Text Graphics
Love Takes Time,Mariah Carey,1990-11-10T00:00:00Z,3,0,7,6,3,5.333333333333333,2.6666666666666665,Columbia,Sony,Pop,Vocal;Ballad,Pop,Ballad,1,NA,0,0,NA,0,United States,20,0,0,1,Mariah Carey;Ben Margulies,Mariah Carey;Ben Margulies,2,2,1,0,Walter Afanasieff;Howie Weinberg,1,1,0,0,0,4/4,B;Db&%,B,126,34,40,23,-12,73,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,E1,0,229,0,43,15,0,0,0,0,0,0,0,0,I had it all.But I let it slip away.Couldn't see I treated you wrong.Now I wander around.Feeling down and cold.Trying to believe that you're gone.Love takes time.To heal when you're hurting so much.Couldn't see that I was blind.To let you go.I can't escape the pain inside.Cause love takes time.I don't wanna be here.I don't wanna be here alone.Losing my mind.From this hollow in my heart.Suddenly I'm so incomplete.Lord I'm needing you now.Tell me how to stop the rain.Tears are falling down endlessly.Love takes time.To heal when you're hurting so much.Couldn't see that I was blind.To let you go.I can't escape the pain inside.Cause love takes time.I don't wanna be here.I don't wanna be here alone.You might say that it's over.You might say that you don't care.You might say you don't miss me.You don't need me.But I know that you do.And I feel that you do inside.Love takes time.To heal when you're hurting so much.Couldn't see that I was blind.To let you go.I can't escape the pain inside.Cause love takes time.I don't wanna be here.I don't wanna be here alone.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
I'm Your Baby Tonight,Whitney Houston,1990-12-01T00:00:00Z,1,0,7,5,4,5.333333333333333,2,Arista,BMG,Funk/Soul,New Jack Swing,Electronic;Hip Hop,New Jack Swing;Disco;Garage House,1,NA,0,0,NA,0,United States,27,0,0,1,L.A. Reid;Babyface,L.A. Reid;Babyface,1,0,0,0,L.A. Reid;Babyface,1,0,0,0,1,12/8,Abm,Abm,165,90,67,87,-8,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E5,0,299,0,40,19,0,0,1,0,0,0,0,0,From the moment I saw you.I went out of my mind.Though I never believed in love at first sight.But you got a magic.That I just can't explain.Well you got a you got a way that you make me feel.I can do I can do anything for you baby.I'll be down for you baby.Lay all my cards out tonight.Just call on me baby.I'll be there in a hurry.It's your move so baby.Baby decide.Whatever you want from me.I'm giving you everything.I'm your baby tonight.You've given me ecstasy.You are my fantasy.I'm your baby tonight.From the second you touched me.I was ready to die.I've never been fatal you're my first time.I feel like an angel who just started to fly.Well you got a you got a way that you make me.Feel I can feel I can do anything for you baby.I will fly for you baby hold on and enjoy the ride.I'm not in no hurry We can fly all night baby.It's your move now baby.Baby let's fly.Whatever you want from me.I'm giving you everything.I'm your baby tonight.You've given me ecstasy.You are my fantasy.I'm your baby tonight.Whatever I do boy.It's all about you baby.And ain't the truth boy.I'm helplessly in love with you.What else can I do boy.But be there for you baby.You got a you got a way that you make a me.Feel I can feel I can do any do anything.Whatever you want from me.I'm giving you everything.I'm your baby tonight.You've given me ecstasy.You are my fantasy.I'm your baby tonight.Looks like I'm fatal It's all on the table.And baby you hold the cards You got the magic.And I've got to have it I don't want the pieces.I want every single part I'll be your angel.I'm ready and able Whatever you want is fine.Whenever you're ready just call on your lady.And I'll be your baby tonight.Whatever you want from me.I'm giving you everything.I'm your baby tonight.You've given me ecstasy.You are my fantasy.I'm your baby tonight.,Lust/Sex,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Because I Love You (The Postman Song),Stevie B,1990-12-08T00:00:00Z,4,0,2,4,1,2.3333333333333335,2,LMR,LMR,Pop,Vocal;Ballad,Electronic,Synth-Pop,1,NA,0,0,NA,0,United States,32,1,0,1,Warren Allen Brooks,Warren Allen Brooks,1,0,0,0,Stevie B,1,0,1,1,0,4/4,Db,Db,115,42,33,7,-8,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,246,0,61,31,0,0,1,0,0,0,0,0,I got your letter from the postman just the other day.So I decided to write you this song.And just to let you know exactly the way I feel.And let you know my love's for real.Because I love you and I'll do anything.I'll give you my heart my everything.Because I love you I'll be right by your side.To be your light to be your guide.If you should feel that I don't really care.And that you're starting to lose ground.Just let me reassure you that you can count on me.And that I'll always be around.Because I love you my heart's an open door.Girl won't you please come on in.Because I love you I'll be right by your side.To be your light to be your guide.If you should feel that I don't really care.And that you're starting to lose your ground.Just let me reassure you that you can count on me.And that I will always be around.Because I love you my heart's an open door.Girl won't you please come on in.Because I love you I'll be right by your side.To be your light to be your guide.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Justify My Love,Madonna,1991-01-05T00:00:00Z,2,0,3,7,1,3.6666666666666665,4,Sire,TimeWarner,Electronic/Dance,Downtempo,Electronic;Pop,Trip Hop;Downtempo;Dance Pop,1,Lenny Kravitz (Vocals),0,0,NA,0,United States,32,0,1,0,Lenny Kravitz;Ingrid Chavez;Madonna,Lenny Kravitz;Ingrid Chavez;Madonna,2,2,1,0,Lenny Kravitz,1,0,0,0,1,4/4,Gbm,Gbm,100,82,70,46,-7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,296,0,75,33,0,0,1,0,0,1,0,1,I want to kiss you in Paris.I want to hold your hand in Rome.I want to run naked in a rainstorm.Make love in a train cross country.You put this in me.So now what so now what.Wanting needing waiting.For you to justify my love.Hoping praying.For you to justify my love.I want to know you.Not like that.I don't want to be your mother.I don't want to be your sister either.I just want to be your lover.I want to be your baby.Kiss me that's right kiss me.Wanting needing waiting.For you to justify my love.Hoping praying.For you to justify my love.Yearning burning.For you to justify my love.What are you gonna do.What are you gonna do.Talk to me tell me your dreams.Am I in them.Tell me your fears.Are you scared.Tell me your stories.I'm not afraid of who you are.We can fly.Poor is the man.Whose pleasures depend.On the permission of another.Love me that's right love me.I want to be your baby.Wanting needing waiting.For you to justify my love.Hoping praying.For you to justify my love.I'm open and ready.For you to justify my love.To justify my love.Wanting to justify.Waiting to justify my love.Praying to justify.To justify my love.I'm open to justify my love.,Lust/Sex,0,1,1,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Love Will Never Do (Without You),Janet Jackson,1991-01-19T00:00:00Z,1,0,7,6,4,5.666666666666667,2,A&M,Polygram,Funk/Soul,New Jack Swing,Electronic,Downtempo,1,NA,0,0,NA,0,United States,24,0,0,1,Jimmy Jam;Terry Lewis,Jimmy Jam;Terry Lewis,1,0,0,0,Jimmy Jam;Terry Lewis;Janet Jackson,2,0,1,0,1,4/4,Ab,Ab,103,92,74,63,-10,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C3,0,273,0,98,35,0,0,0,0,0,0,0,0,Our friends think we're opposites.Falling in and out of love.They all said we'd never last.Still we manage to stay together.There's no easy explanation for it.But whenever there's a problem.We always work it out somehow.Work it out somehow.They said it wouldn't last.We had to prove them wrong.Cause I've learned in the past.That love will never do without you.Other guys have tried before.To replace you as my lover.Never did I have a doubt.Boy it's you I can't do without.I feel better when I have you near me.Cause no other love around.Has quite the same.Like you do do do do babe.They said it wouldn't last.We had to prove them wrong.Cause I've learned in the past.That love will never do without you.Love will never do never do without you.Love will never do never do without you.Love will never do never do without you.Love will never do never do without you.Love will never do.Never never do without you.They said it wouldn’t they said it wouldn’t last.They said it wouldn’t they said it wouldn’t last.They said it wouldn’t they said it wouldn’t last.They said it wouldn’t they said it wouldn’t last.They said it wouldn't last.We had to prove them wrong.Cause I've learned in the past.That love will never do without you.,Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph;Text
