"name","img","category","country","role","description"
"Yulia Tsvetkova","https://ichef.bbci.co.uk/news/300/cpsprodpb/111D7/production/_115330107_yulia_tsvetkova.jpg","Creativity","Russia","Activist","Yulia Tsvetkova was born in a small industrial town in the Russian Far East, where she went on to study art, dancing and directing. Later, from her activist theatre and community centre, she began raising issues related to women's rights, LGBT rights, anti-militarism and ecology. "
"Arussi Unda","https://ichef.bbci.co.uk/news/300/cpsprodpb/BBC9/production/_115337084_arussi_unda.jpg","Leadership","Mexico","Campaigner","As Mexico faces rising femicide rates, Arussi and her feminist collective Brujas del Mar (""Witches of the Sea"") have emerged as a voice for women. "
"Anastasia Volkova","https://ichef.bbci.co.uk/news/300/cpsprodpb/94B9/production/_115337083_anastasia_volkova.jpg","Knowledge","Ukraine","Entrepreneur","Dr Anastasia Volkova is an entrepreneur and agricultural innovator, who uses science and technology to tackle issues of food security.
                         
                        "
"Kotchakorn Voraakhom","https://ichef.bbci.co.uk/news/300/cpsprodpb/CBFF/production/_115332225_kotchakorn_voraakhom.jpg","Creativity","Thailand","Landscape architect","Kotchakorn Voraakhom describes herself as “a badass Thai urban landscape architect”. She began her work with the aim of prising apart the “cracked pavement” of Bangkok’s sprawling cityscape and letting the seedlings of fresh ideas burst through."
"Siouxsie Wiles","https://ichef.bbci.co.uk/news/300/cpsprodpb/802D/production/_115331823_siouxsie_wiles.jpg","Knowledge","UK","Scientist","Siouxsie is a scientist and public-health communicator who has been a force of nature in New Zealand during the pandemic. She has collaborated with cartoonist Toby Morris to communicate the science of Covid-19; their work together includes the popular ""flatten the curve"" visualisation, which has been translated into many languages and adapted by governments to help people understand lockdowns."
"Elin Williams","https://ichef.bbci.co.uk/news/300/cpsprodpb/846F/production/_115330933_elin_williams.jpg","Creativity","Wales, UK","Disability blogger","Elin is a writer and disability advocate who has shared her experiences of myalgic encephalomyelitis (ME) and retinitis pigmentosa (a degenerative eye condition) on her blog, My Blurred World, since she was 16."
"Alice Wong","https://ichef.bbci.co.uk/news/300/cpsprodpb/705B/production/_115336782_alice_wong.jpg","Identity","US","Disability activist","Alice is the founder of the Disability Visibility Project, a grassroots campaign encouraging people with disabilities to record their stories."
"Leo Yee-Sin","https://ichef.bbci.co.uk/news/300/cpsprodpb/10C9B/production/_115336786_leo_yee-sin.jpg","Knowledge","Singapore","Doctor","Dr Leo Yee-Sin runs Singapore’s state-of-the-art National Centre for Infectious Diseases, which is responsible for handling outbreaks of communicable diseases."
"Michelle Yeoh","https://ichef.bbci.co.uk/news/300/cpsprodpb/2623/production/_115336790_michelle_yeoh.jpg","Creativity","Malaysia","Actor","Michelle Yeoh broke into acting by performing her own stunts in the “man’s world” of Hong Kong martial arts films. She moved to Hollywood as a Bond girl (starring in Tomorrow Never Dies) and is one of very few actresses from Asia to enjoy a long, successful career in the USA. "
"Aisha Yesufu","https://ichef.bbci.co.uk/news/300/cpsprodpb/16ECF/production/_115330939_aisha_yesufu.jpg","Leadership","Nigeria","Activist","Aisha Yesufu is a Nigerian activist demanding good governance in her country. "
"Gulnaz Zhuzbaeva","https://ichef.bbci.co.uk/news/300/cpsprodpb/4E87/production/_115330102_gulnaz_zhuzbaeva.jpg","Leadership","Kyrgyzstan","Disability activist","In Kyrgyzstan, there are more than 5,000 people living with visual impairment, but many important governmental documents remain inaccessible to them. Gulnaz Zhuzbaeva, founder of the Kyrgyz Federation of the Blind, has been working tirelessly to make these materials available in Braille and improve access to those with visual impairment."
