name,category,cr,size,type,descriptive_tags,alignment,ac,initiative,hp,hp_number,speed,speed_base_number,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,skills,resistances,vulnerabilities,immunities,gear,senses,languages,full_text
Red Dragon Wyrmling,Red Dragons,4,Medium,Dragon,Chromatic,Chaotic Evil,17,2,75 (10d8 + 30),75,"Speed 30 ft., Climb 30 ft., Fly 60 ft.",30,19,10,17,12,11,15,4,2,3,1,2,2,"Perception +4, Stealth +2",NA,NA,Fire,NA,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Red Dragon Wyrmling
Medium Dragon (Chromatic), Chaotic Evil
AC 17		                     Initiative +2 (12)
HP 75 (10d8 + 30)
Speed 30 ft., Climb 30 ft., Fly 60 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 19 +4 +4         Dex 10 +0 +2          Con 17 +3 +3
Int 12 +1 +1         Wis 11 +0 +2          Cha 15 +2 +2
Skills Perception +4, Stealth +2
Immunities Fire
Senses Blindsight 10 ft., Darkvision 60 ft.;
Passive Perception 14
Languages Draconic
CR 4 (XP 1,100; PB +2)
Actions
Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +6, reach 5 ft. Hit: 9 (1d10
+ 4) Slashing damage plus 3 (1d6) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw:
DC 13, each creature in a 15-foot Cone. Failure: 24
(7d6) Fire damage. Success: Half damage."
Young Red Dragon,Red Dragons,10,Large,Dragon,Chromatic,Chaotic Evil,18,4,178 (17d10 + 85),178,"Speed 40 ft., Climb 40 ft., Fly 80 ft.",40,23,10,21,14,11,19,6,4,5,2,4,4,"Perception +8, Stealth +4",NA,NA,Fire,NA,"Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 18","Common, Draconic","Young Red Dragon
Large Dragon (Chromatic), Chaotic Evil
AC 18		                     Initiative +4 (14)
HP 178 (17d10 + 85)
Speed 40 ft., Climb 40 ft., Fly 80 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 23 +6 +6         Dex 10 +0 +4          Con 21 +5 +5
Int 14 +2 +2         Wis 11 +0 +4          Cha 19 +4 +4
Skills Perception +8, Stealth +4
Immunities Fire
Senses Blindsight 30 ft., Darkvision 120 ft.;
Passive Perception 18
Languages Common, Draconic
CR 10 (XP 5,900; PB +4)
Actions
Multiattack. The dragon makes three Rend attacks.
Rend. Melee Attack Roll: +10, reach 10 ft. Hit: 13 (2d6
+ 6) Slashing damage plus 3 (1d6) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw:
DC 17, each creature in a 30-foot Cone. Failure: 56
(16d6) Fire damage. Success: Half damage."
Adult Red Dragon,Red Dragons,17,Huge,Dragon,Chromatic,Chaotic Evil,19,12,256 (19d12 + 133),256,"Speed 40 ft., Climb 40 ft., Fly 80 ft.",40,27,10,25,16,13,23,8,6,7,3,7,6,"Perception +13, Stealth +6",NA,NA,Fire,NA,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 23","Common, Draconic","Adult Red Dragon
Huge Dragon (Chromatic), Chaotic Evil
AC 19                Initiative +12 (22)
HP 256 (19d12 + 133)
Speed 40 ft., Climb 40 ft., Fly 80 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 27 +8 +8         Dex 10 +0 +6          Con 25 +7 +7
Int 16 +3 +3         Wis 13 +1 +7          Cha 23 +6 +6
Skills Perception +13, Stealth +6
Immunities Fire
Senses Blindsight 60 ft., Darkvision 120 ft.;
Passive Perception 23
Languages Common, Draconic
CR 17 (XP 18,000, or 20,000 in lair; PB +6)
Traits
Legendary Resistance (3/Day, or 4/Day in Lair). If
the dragon fails a saving throw, it can choose to suc-
ceed instead.
Actions
Multiattack. The dragon makes three Rend attacks. It
can replace one attack with a use of Spellcasting to cast
Scorching Ray.
Rend. Melee Attack Roll: +14, reach 10 ft. Hit: 13 (1d10
+ 8) Slashing damage plus 5 (2d4) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw:
DC 21, each creature in a 60-foot Cone. Failure: 59
(17d6) Fire damage. Success: Half damage.
Spellcasting. The dragon casts one of the following
spells, requiring no Material components and using
Charisma as the spellcasting ability (spell save DC 20,
+12 to hit with spell attacks):
At Will: Command (level 2 version), Detect Magic,
Scorching Ray
1/Day: Fireball
Legendary Actions
Legendary Action Uses: 3 (4 in Lair). Immediately after
another creature’s turn, the dragon can expend a use to
take one of the following actions. The dragon regains all
expended uses at the start of each of its turns.
Commanding Presence. The dragon uses Spellcasting
to cast Command (level 2 version). The dragon can’t
take this action again until the start of its next turn.
Fiery Rays. The dragon uses Spellcasting to cast Scorch-
ing Ray. The dragon can’t take this action again until the
start of its next turn.
Pounce. The dragon moves up to half its Speed, and it
makes one Rend attack."
Ancient Red Dragon,Red Dragons,24,Gargantuan,Dragon,Chromatic,Chaotic Evil,22,14,507 (26d20 + 234),507,"Speed 40 ft., Climb 40 ft., Fly 80 ft.",40,30,10,29,18,15,27,10,7,9,4,9,8,"Perception +16, Stealth +7",NA,NA,Fire,NA,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 26","Common, Draconic","Ancient Red Dragon
Gargantuan Dragon (Chromatic), Chaotic Evil
AC 22                Initiative +14 (24)
HP 507 (26d20 + 234)
Speed 40 ft., Climb 40 ft., Fly 80 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 30 +10 +10 Dex 10 +0 +7                Con 29 +9 +9
Int 18 +4 +4 Wis 15 +2 +9                  Cha 27 +8 +8
Skills Perception +16, Stealth +7
Immunities Fire
Senses Blindsight 60 ft., Darkvision 120 ft.;
Passive Perception 26
Languages Common, Draconic
CR 24 (XP 62,000, or 75,000 in lair; PB +7)
Traits
Legendary Resistance (4/Day, or 5/Day in Lair). If
the dragon fails a saving throw, it can choose to suc-
ceed instead.
Actions
Multiattack. The dragon makes three Rend attacks. It
can replace one attack with a use of Spellcasting to cast
Scorching Ray (level 3 version).
Rend. Melee Attack Roll: +17, reach 15 ft. Hit: 19 (2d8
+ 10) Slashing damage plus 10 (3d6) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw:
DC 24, each creature in a 90-foot Cone. Failure: 91
(26d6) Fire damage. Success: Half damage.
Spellcasting. The dragon casts one of the following
spells, requiring no Material components and using
Charisma as the spellcasting ability (spell save DC 23,
+15 to hit with spell attacks):
At Will: Command (level 2 version), Detect Magic,
Scorching Ray (level 3 version)
1/Day Each: Fireball (level 6 version), Scrying
Legendary Actions
Legendary Action Uses: 3 (4 in Lair). Immediately after
another creature’s turn, the dragon can expend a use to
take one of the following actions. The dragon regains all
expended uses at the start of each of its turns.
Commanding Presence. The dragon uses Spellcasting
to cast Command (level 2 version). The dragon can’t
take this action again until the start of its next turn.
Fiery Rays. The dragon uses Spellcasting to cast Scorch-
ing Ray (level 3 version). The dragon can’t take this ac-
tion again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it
makes one Rend attack."
Remorhaz,Remorhaz,11,Huge,Monstrosity,NA,Unaligned,17,5,195 (17d12 + 85),195,"Speed 40 ft., Burrow 30 ft.",40,24,13,21,4,10,5,7,1,5,-3,0,-3,NA,NA,NA,"Cold, Fire",NA,"Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 10",None,"Remorhaz
Huge Monstrosity, Unaligned
AC 17		                     Initiative +5 (15)
HP 195 (17d12 + 85)
Speed 40 ft., Burrow 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 24 +7 +7         Dex 13 +1 +1          Con 21 +5 +5
Int 4 −3 −3          Wis 10 +0 +0          Cha 5 −3 −3
Immunities Cold, Fire
Senses Darkvision 60 ft., Tremorsense 60 ft.;
Passive Perception 10
Languages None
CR 11 (XP 7,200; PB +4)
Traits
Heat Aura. At the end of each of the remorhaz’s turns,
each creature in a 5-foot Emanation originating from
the remorhaz takes 16 (3d10) Fire damage.
Actions
Bite. Melee Attack Roll: +11, reach 10 ft. Hit: 18 (2d10
+ 7) Piercing damage plus 14 (4d6) Fire damage. If the
target is a Large or smaller creature, it has the Grappled
condition (escape DC 17), and it has the Restrained
condition until the grapple ends.
Bonus Actions
Swallow. Strength Saving Throw: DC 19, one Large or
smaller creature Grappled by the remorhaz (it can have
up to two creatures swallowed at a time). Failure: The
target is swallowed by the remorhaz, and the Grappled
condition ends. A swallowed creature has the Blinded
and Restrained conditions, it has Total Cover against
attacks and other effects outside the remorhaz, and it
takes 10 (3d6) Acid damage plus 10 (3d6) Fire damage
at the start of each of the remorhaz’s turns.
If the remorhaz takes 30 damage or more on a single
turn from a creature inside it, the remorhaz must suc-
ceed on a DC 15 Constitution saving throw at the end
of that turn or regurgitate all swallowed creatures, each
of which falls in a space within 5 feet of the remorhaz
and has the Prone condition. If the remorhaz dies, any
swallowed creature no longer has the Restrained condi-
tion and can escape from the corpse by using 15 feet of
movement, exiting Prone."
Roc,Roc,11,Gargantuan,Monstrosity,NA,Unaligned,15,8,248 (16d20 + 80),248,"Speed 20 ft., Fly 120 ft.",20,28,10,20,3,10,9,9,4,5,-4,4,-1,Perception +8,NA,NA,NA,NA,Passive Perception 18,None,"Roc
Gargantuan Monstrosity, Unaligned
AC 15		                     Initiative +8 (18)
HP 248 (16d20 + 80)
Speed 20 ft., Fly 120 ft.
MOD SAVE               MOD SAVE         MOD SAVE
Str 28 +9 +9          Dex 10 +0 +4          Con 20 +5 +5
Int 3 −4 −4           Wis 10 +0 +4          Cha 9 −1 −1
Skills Perception +8
Senses Passive Perception 18
Languages None
CR 11 (XP 7,200; PB +4)
Actions
Multiattack. The roc makes two Beak attacks. It can
replace one attack with a Talons attack.
Beak. Melee Attack Roll: +13, reach 10 ft. Hit: 28 (3d12
+ 9) Piercing damage.
Talons. Melee Attack Roll: +13, reach 5 ft. Hit: 23 (4d6
+ 9) Slashing damage. If the target is a Huge or smaller
creature, it has the Grappled condition (escape DC 19)
from both talons, and it has the Restrained condition
until the grapple ends.
Bonus Actions
Swoop (Recharge 5–6). If the roc has a creature Grap-
pled, the roc flies up to half its Fly Speed without pro-
voking Opportunity Attacks and drops that creature."
Roper,Roper,5,Large,Aberration,NA,Neutral Evil,20,5,93 (11d10 + 33),93,"Speed 10 ft., Climb 20 ft.",10,18,8,17,7,16,6,4,-1,3,-2,3,-2,"Perception +6, Stealth +5",NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 16,None,"Roper
Large Aberration, Neutral Evil
AC 20 		                   Initiative +5 (15)
HP 93 (11d10 + 33)
Speed 10 ft., Climb 20 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 18 +4 +4         Dex 8 −1 −1         Con 17 +3 +3
Int 7 −2 −2          Wis 16 +3 +3        Cha 6 −2 −2
Skills Perception +6, Stealth +5
Senses Darkvision 60 ft.; Passive Perception 16
Languages None
CR 5 (XP 1,800; PB +3)
Traits
Spider Climb. The roper can climb difficult surfaces,
including along ceilings, without needing to make an
ability check.
Actions
Multiattack. The roper makes two Tentacle attacks,
uses Reel, and makes two Bite attacks.
Bite. Melee Attack Roll: +7, reach 5 ft. Hit: 17 (3d8 + 4)
Piercing damage.
Tentacle. Melee Attack Roll: +7, reach 60 ft. Hit: The
target has the Grappled condition (escape DC 14) from
one of six tentacles, and the target has the Poisoned
condition until the grapple ends.
The tentacle can be damaged, freeing a creature it has
Grappled when destroyed (AC 20, HP 10, Immunity to
Poison and Psychic damage). Damaging the tentacle
deals no damage to the roper, and a destroyed tentacle
regrows at the start of the roper’s next turn.
Reel. The roper pulls each creature Grappled by it up
to 30 feet straight toward it."
Rust Monster,Rust Monster,0.5,Medium,Monstrosity,NA,Unaligned,14,1,33 (6d8 + 6),33,Speed 40 ft.,40,13,12,13,2,13,6,1,1,1,-4,1,-2,NA,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 11,None,"Rust Monster
Medium Monstrosity, Unaligned
AC 14 		                  Initiative +1 (11)
HP 33 (6d8 + 6)
Speed 40 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 13 +1 +1         Dex 12 +1 +1        Con 13 +1 +1
Int 2 −4 −4          Wis 13 +1 +1        Cha 6 −2 −2
Senses Darkvision 60 ft.; Passive Perception 11
Languages None
CR 1/2 (XP 100; PB +2)
Traits
Iron Scent. The rust monster can pinpoint the location
of ferrous metal within 30 feet of itself.
Actions
Multiattack. The rust monster makes one Bite attack
and uses Antennae twice.
Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 5 (1d8 + 1)
Piercing damage.
Antennae. The rust monster targets one nonmagical
metal object—armor or a weapon—worn or carried
by a creature within 5 feet of itself. Dexterity Saving
Throw: DC 11, the creature with the object. Failure:
The object takes a −1 penalty to the AC it offers (ar-
mor) or to its attack rolls (weapon). Armor is destroyed
if the penalty reduces its AC to 10, and a weapon is
destroyed if its penalty reaches −5. The penalty can be
removed by casting the Mending spell on the armor
or weapon.
Destroy Metal. The rust monster touches a nonmagi-
cal metal object within 5 feet of itself that isn’t being
worn or carried. The touch destroys a 1-foot Cube of
the object.
Reactions
Reflexive Antennae. Trigger: An attack roll hits the rust
monster. Response: The rust monster uses Antennae."
Sahuagin Warrior,Sahuagin,0.5,Medium,Fiend,NA,Lawful Evil,12,0,22 (4d8 + 4),22,"Speed 30 ft., Swim 40 ft.",30,13,11,12,12,13,9,1,0,1,1,1,-1,Perception +5,"Acid, Cold",NA,NA,NA,Darkvision 120 ft.; Passive Perception 15,Sahuagin,"Sahuagin Warrior
Medium Fiend, Lawful Evil
AC 12		                   Initiative +0 (10)
HP 22 (4d8 + 4)
Speed 30 ft., Swim 40 ft.
MOD SAVE            MOD SAVE             MOD SAVE
Str 13 +1 +1         Dex 11 +0 +0        Con 12 +1 +1
Int 12 +1 +1         Wis 13 +1 +1        Cha 9 −1 −1
Skills Perception +5
Resistances Acid, Cold
Senses Darkvision 120 ft.; Passive Perception 15
Languages Sahuagin
CR 1/2 (XP 100; PB +2)
Traits
Blood Frenzy. The sahuagin has Advantage on at-
tack rolls against any creature that doesn’t have all its
Hit Points.
Limited Amphibiousness. The sahuagin can breathe air
and water, but it must be submerged at least once every
4 hours to avoid suffocating outside water.
Shark Telepathy. The sahuagin can magically control
sharks within 120 feet of itself, using a special telepathy.
Actions
Multiattack. The sahuagin makes two Claw attacks.
Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1)
Slashing damage.
Bonus Actions
Aquatic Charge. The sahuagin swims up to its Swim
Speed straight toward an enemy it can see."
Salamander,Salamander,5,Large,Elemental,NA,Neutral Evil,15,2,90 (12d10 + 24),90,"Speed 30 ft., Climb 30 ft.",30,18,14,15,11,10,12,4,2,2,0,0,1,NA,NA,Cold,Fire,NA,Darkvision 60 ft.; Passive Perception 10,Primordial (Ignan),"Salamander
Large Elemental, Neutral Evil
AC 15 		                   Initiative +2 (12)
HP 90 (12d10 + 24)
Speed 30 ft., Climb 30 ft.
MOD SAVE              MOD SAVE           MOD SAVE
Str 18 +4 +4         Dex 14 +2 +2          Con 15 +2 +2
Int 11 +0 +0         Wis 10 +0 +0          Cha 12 +1 +1
Vulnerabilities Cold
Immunities Fire
Senses Darkvision 60 ft.; Passive Perception 10
Languages Primordial (Ignan)
CR 5 (XP 1,800; PB +3)
Traits
Fire Aura. At the end of each of the salamander’s turns,
each creature of the salamander’s choice in a 5-foot
Emanation originating from the salamander takes 7
(2d6) Fire damage.
Actions
Multiattack. The salamander makes two Flame
Spear attacks. It can replace one attack with a use of
Constrict.
Flame Spear. Melee or Ranged Attack Roll: +7, reach 5
ft. or range 20/60 ft. Hit: 13 (2d8 + 4) Piercing damage
plus 7 (2d6) Fire damage. Hit or Miss: The spear magi-
cally returns to the salamander’s hand immediately after
a ranged attack.
Constrict. Strength Saving Throw: DC 15, one Large or
smaller creature the salamander can see within 10 feet.
Failure: 11 (2d6 + 4) Bludgeoning damage plus 7 (2d6)
Fire damage. The target has the Grappled condition (es-
cape DC 14), and it has the Restrained condition until
the grapple ends."
Satyr,Satyr,0.5,Medium,Fey,NA,Chaotic Neutral,13,3,31 (7d8),31,Speed 40 ft.,40,12,16,11,12,10,14,1,3,0,1,0,2,"Perception +2, Performance +6, Stealth +5",NA,NA,NA,NA,Passive Perception 12,"Common, Elvish, Sylvan","Satyr
Medium Fey, Chaotic Neutral
AC 13		                    Initiative +3 (13)
HP 31 (7d8)
Speed 40 ft.
MOD SAVE              MOD SAVE           MOD SAVE
Str 12 +1 +1         Dex 16 +3 +3          Con 11 +0 +0
Int 12 +1 +1         Wis 10 +0 +0          Cha 14 +2 +2
Skills Perception +2, Performance +6, Stealth +5
Senses Passive Perception 12
Languages Common, Elvish, Sylvan
CR 1/2 (XP 100; PB +2)
Traits
Magic Resistance. The satyr has Advantage on saving
throws against spells and other magical effects.
Actions
Hooves. Melee Attack Roll: +5, reach 5 ft. Hit: 5 (1d4
+ 3) Bludgeoning damage. If the target is a Medium or
smaller creature, the satyr pushes the target up to 10
feet straight away from itself.
Mockery. Wisdom Saving Throw: DC 12, one creature
the satyr can see within 90 feet. Failure: 5 (1d6 + 2)
Psychic damage."
Scout,Scout,0.5,Medium or Small,Humanoid,NA,Neutral,13,2,16 (3d8 + 3),16,Speed 30 ft.,30,11,14,12,11,13,11,0,2,1,0,1,0,"Nature +4, Perception +5, Stealth +6, Survival +5",NA,NA,NA,"Leather Armor, Longbow, Shortsword",Passive Perception 15,Common plus one other language,"Scout
Medium or Small Humanoid, Neutral
AC 13 		                   Initiative +2 (12)
HP 16 (3d8 + 3)
Speed 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 11 +0 +0         Dex 14 +2 +2         Con 12 +1 +1
Int 11 +0 +0         Wis 13 +1 +1         Cha 11 +0 +0
Skills Nature +4, Perception +5, Stealth +6, Survival +5
Gear Leather Armor, Longbow, Shortsword
Senses Passive Perception 15
Languages Common plus one other language
CR 1/2 (XP 100; PB +2)
Actions
Multiattack. The scout makes two attacks, using Shorts-
word and Longbow in any combination.
Shortsword. Melee Attack Roll: +4, reach 5 ft. Hit: 5
(1d6 + 2) Piercing damage.
Longbow. Ranged Attack Roll: +4, range 150/600 ft.
Hit: 6 (1d8 + 2) Piercing damage."
Sea Hag,Sea Hag,2,Medium,Fey,NA,Chaotic Evil,14,1,52 (7d8 + 21),52,"Speed 30 ft., Swim 40 ft.",30,16,13,16,12,12,13,3,1,3,1,1,1,NA,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 11,"Common, Giant, Primordial (Aquan)","Sea Hag
Medium Fey, Chaotic Evil
AC 14 		                  Initiative +1 (11)
HP 52 (7d8 + 21)
Speed 30 ft., Swim 40 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 16 +3 +3         Dex 13 +1 +1         Con 16 +3 +3
Int 12 +1 +1         Wis 12 +1 +1         Cha 13 +1 +1
Senses Darkvision 60 ft.; Passive Perception 11
Languages Common, Giant, Primordial (Aquan)
CR 2 (XP 450; PB +2)
Traits
Amphibious. The hag can breathe air and water.
Coven Magic. While within 30 feet of at least two hag
allies, the hag can cast one of the following spells,
requiring no Material components, using the spell’s
normal casting time, and using Intelligence as the spell-
casting ability (spell save DC 11): Augury, Find Familiar,
Identify, Locate Object, Scrying, or Unseen Servant.
The hag must finish a Long Rest before using this trait to
cast that spell again.
Vile Appearance. Wisdom Saving Throw: DC 11, any
Beast or Humanoid that starts its turn within 30 feet of
the hag and can see the hag’s true form. Failure: The
target has the Frightened condition until the start of its
next turn. Success: The target is immune to this hag’s
Vile Appearance for 24 hours.
Actions
Claw. Melee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6
+ 3) Slashing damage.
Death Glare (Recharge 5–6). Wisdom Saving Throw:
DC 11, one Frightened creature the hag can see within
30 feet. Failure: If the target has 20 Hit Points or fewer,
it drops to 0 Hit Points. Otherwise, the target takes 13
(3d8) Psychic damage.
Illusory Appearance. The hag casts Disguise Self, using
Constitution as the spellcasting ability (spell save DC
13). The spell’s duration is 24 hours."
Shadow,Shadow,0.5,Medium,Undead,NA,Chaotic Evil,12,2,27 (5d8 + 5),27,Speed 40 ft.,40,6,14,13,6,10,8,-2,2,1,-2,0,-1,Stealth +6,"Acid, Cold, Fire, Lightning, Thunder",Radiant,"Necrotic, Poison; Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",NA,Darkvision 60 ft.; Passive Perception 10,None,"Shadow
Medium Undead, Chaotic Evil
AC 12		         Initiative +2 (12)
HP 27 (5d8 + 5)
Speed 40 ft.
MOD SAVE            MOD SAVE             MOD SAVE
Str 6 −2 −2          Dex 14 +2 +2        Con 13 +1 +1
Int 6 −2 −2          Wis 10 +0 +0        Cha 8 −1 −1
Skills Stealth +6
Vulnerabilities Radiant
Resistances Acid, Cold, Fire, Lightning, Thunder
Immunities Necrotic, Poison; Exhaustion, Frightened,
Grappled, Paralyzed, Petrified, Poisoned, Prone,
Restrained, Unconscious
Senses Darkvision 60 ft.; Passive Perception 10
Languages None
CR 1/2 (XP 100; PB +2)
Traits
Amorphous. The shadow can move through a space
as narrow as 1 inch without expending extra move-
ment to do so.
Sunlight Weakness. While in sunlight, the shadow has
Disadvantage on D20 Tests.
Actions
Draining Swipe. Melee Attack Roll: +4, reach 5 ft. Hit:
5 (1d6 + 2) Necrotic damage, and the target’s Strength
score decreases by 1d4. The target dies if this reduces
that score to 0. If a Humanoid is slain by this attack, a
Shadow rises from the corpse 1d4 hours later.
Bonus Actions
Shadow Stealth. While in Dim Light or Darkness, the
shadow takes the Hide action."
Shambling Mound,Shambling Mound,5,Large,Plant,NA,Unaligned,15,-1,110 (13d10 + 39),110,"Speed 30 ft., Swim 20 ft.",30,18,8,16,5,10,5,4,-1,3,-3,0,-3,Stealth +3,"Cold, Fire",NA,"Lightning; Deafened, Exhaustion",NA,Blindsight 60 ft.; Passive Perception 10,None,"Shambling Mound
Large Plant, Unaligned
AC 15 		                  Initiative −1 (9)
HP 110 (13d10 + 39)
Speed 30 ft., Swim 20 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 18 +4 +4         Dex 8 −1 −1         Con 16 +3 +3
Int 5 −3 −3          Wis 10 +0 +0        Cha 5 −3 −3
Skills Stealth +3
Resistances Cold, Fire
Immunities Lightning; Deafened, Exhaustion
Senses Blindsight 60 ft.; Passive Perception 10
Languages None
CR 5 (XP 1,800; PB +3)
Traits
Lightning Absorption. Whenever the shambling mound
is subjected to Lightning damage, it regains a number of
Hit Points equal to the Lightning damage dealt.
Actions
Multiattack. The shambling mound makes three
Charged Tendril attacks. It can replace one attack with
a use of Engulf.
Charged Tendril. Melee Attack Roll: +7, reach 10 ft.
Hit: 7 (1d6 + 4) Bludgeoning damage plus 5 (2d4)
Lightning damage. If the target is a Medium or smaller
creature, the shambling mound pulls the target 5 feet
straight toward itself.
Engulf. Strength Saving Throw: DC 15, one Medium
or smaller creature within 5 feet. Failure: The target is
pulled into the shambling mound’s space and has the
Grappled condition (escape DC 14). Until the grapple
ends, the target has the Blinded and Restrained con-
ditions, and it takes 10 (3d6) Lightning damage at the
start of each of its turns. When the shambling mound
moves, the Grappled target moves with it, costing it no
extra movement. The shambling mound can have only
one creature Grappled by this action at a time."
Shield Guardian,Shield Guardian,7,Large,Construct,NA,Unaligned,17,-1,142 (15d10 + 60),142,Speed 30 ft.,30,18,8,18,7,10,3,4,-1,4,-2,0,-4,NA,NA,NA,"Poison; Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",NA,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 10",Understands commands given in any language but can’t speak,"Shield Guardian
Large Construct, Unaligned
AC 17 		                   Initiative −1 (9)
HP 142 (15d10 + 60)
Speed 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 18 +4 +4         Dex 8 −1 −1          Con 18 +4 +4
Int 7 −2 −2          Wis 10 +0 +0         Cha 3 −4 −4
Immunities Poison; Charmed, Exhaustion, Frightened,
Paralyzed, Petrified, Poisoned
Senses Blindsight 10 ft., Darkvision 60 ft.;
Passive Perception 10
Languages Understands commands given in any language
but can’t speak
CR 7 (XP 2,900; PB +3)
Traits
Bound. The guardian is magically bound to an amulet.
While the guardian and its amulet are on the same
plane of existence, the amulet’s wearer can telepathi-
cally call the guardian to travel to it, and the guardian
knows the distance and direction to the amulet. If the
guardian is within 60 feet of the amulet’s wearer, half of
any damage the wearer takes (round up) is transferred
to the guardian.
Regeneration. The guardian regains 10 Hit Points at the
start of each of its turns if it has at least 1 Hit Point.
Spell Storing. A spellcaster who wears the guardian’s
amulet can cause the guardian to store one spell of
level 4 or lower. To do so, the wearer must cast the
spell on the guardian while within 5 feet of it. The
spell has no effect but is stored within the guardian.
Any previously stored spell is lost when a new spell is
stored. The guardian can cast the spell stored with any
parameters set by the original caster, requiring no spell
components and using the caster’s spellcasting ability.
The stored spell is then lost.
Actions
Multiattack. The guardian makes two Fist attacks.
Fist. Melee Attack Roll: +7, reach 10 ft. Hit: 11 (2d6
+ 4) Bludgeoning damage plus 7 (2d6) Force damage.
Reactions
Protection. Trigger: An attack roll hits the wearer of the
guardian’s amulet while the wearer is within 5 feet of
the guardian. Response: The wearer gains a +5 bonus
to AC, including against the triggering attack and pos-
sibly causing it to miss, until the start of the guardian’s
next turn."
Silver Dragon Wyrmling,Silver Dragons,2,Medium,Dragon,Metallic,Lawful Good,17,2,45 (6d8 + 18),45,"Speed 30 ft., Fly 60 ft.",30,19,10,17,12,11,15,4,2,3,1,2,2,"Perception +4, Stealth +2",NA,NA,Cold,NA,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Silver Dragon Wyrmling
Medium Dragon (Metallic), Lawful Good
AC 17		                     Initiative +2 (12)
HP 45 (6d8 + 18)
Speed 30 ft., Fly 60 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 19 +4 +4          Dex 10 +0 +2         Con 17 +3 +3
Int 12 +1 +1          Wis 11 +0 +2         Cha 15 +2 +2
Skills Perception +4, Stealth +2
Immunities Cold
Senses Blindsight 10 ft., Darkvision 60 ft.;
Passive Perception 14
Languages Draconic
CR 2 (450 XP; PB +2)
Actions
Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +6, reach 5 ft. Hit: 9 (1d10
+ 4) Piercing damage.
Cold Breath (Recharge 5–6). Constitution Saving
Throw: DC 13, each creature in a 15-foot Cone. Failure:
18 (4d8) Cold damage. Success: Half damage.
Paralyzing Breath. Constitution Saving Throw: DC 13,
each creature in a 15-foot Cone. First Failure: The target
has the Incapacitated condition until the end of its next
turn, when it repeats the save. Second Failure: The tar-
get has the Paralyzed condition, and it repeats the save
at the end of each of its turns, ending the effect on itself
on a success. After 1 minute, it succeeds automatically."
