date,hour,country,vote_1,vote_2,vote_3,vote_4,vote_5
2019-10-30,11,"",Whenua Hou Diving Petrel,Royal Spoonbill,Silvereye,Rifleman,South Island Kōkako
2019-10-30,11,"",Gibson's Albatross,New Zealand Falcon,Little Penguin,Rifleman,Kākā
2019-10-30,11,"",Fairy Tern,New Zealand Dotterel,Blue Duck,Little Spotted Kiwi,Black Robin
2019-10-30,11,"",Mōhua,Kākāpō,Kākā,Black Stilt,Chatham Island Mollymawk
2019-10-30,11,"",Kākāpō,Takahē,Kea,Southern Brown Kiwi,Morepork
2019-10-30,11,"",Fantail,Fiordland Crested Penguin,Tūī,Kea,Kererū
2019-10-30,11,"",Kākāpō,Southern Brown Kiwi,Kea,Fantail,Kererū
2019-10-30,11,"",White-faced Heron,Kingfisher,Fantail,Kea,South Island Kōkako
2019-10-30,11,"",Black Robin,Mōhua,Kākā,Orange-fronted Parakeet,Kea
2019-10-30,11,"",Barn Owl,Antipodean Albatross,Southern Brown Kiwi,Black Robin,Little Spotted Kiwi
2019-10-30,11,"",Rockhopper Penguin,Blue Duck,Little Penguin,Chatham Island Mollymawk,Yellow-eyed penguin
2019-10-30,11,"",Black Robin,Mōhua,Chatham Island Mollymawk,Chatham Island Oystercatcher,Fairy Tern
2019-10-30,11,"",Black Stilt,Antipodean Albatross,Banded Dotterel,Bittern,Black Robin
2019-10-30,11,"",Kākāpō,Southern Brown Kiwi,Takahē,Kea,Tūī
2019-10-30,11,"",Rifleman,Tomtit,Wrybill,Arctic Skua,Morepork
2019-10-30,11,"",Morepork,Kākāpō,Kākā,Rifleman,Tūī
2019-10-30,11,"",Kererū,"","","",""
2019-10-30,11,"",Bittern,Tūī,Kea,Kererū,Stitchbird
2019-10-30,11,"",Stitchbird,Pūkeko,New Zealand Falcon,Banded Dotterel,Blue Duck
2019-10-30,11,"",Kākāpō,Kea,Rockhopper Penguin,Little Penguin,Gibson's Albatross
2019-10-30,11,"",Kea,Kākāpō,Tūī,Yellow-eyed penguin,Kākā
2019-10-30,11,"",Bittern,South Island Kōkako,Great Spotted Kiwi,Kererū,Little Spotted Kiwi
2019-10-30,11,"",Little Penguin,Kingfisher,Fairy Tern,Little Spotted Kiwi,Kākāpō
2019-10-30,11,"",Kākāpō,Yellow-eyed penguin,Chatham Island Mollymawk,Little Spotted Kiwi,Shore Plover
2019-10-30,11,"",Rockhopper Penguin,Yellow-eyed penguin,Northern Royal Albatross,Little Spotted Kiwi,Southern Brown Kiwi
2019-10-30,11,"",Blue Duck,Kererū,Tūī,Chatham Island Oystercatcher,Little Spotted Kiwi
2019-10-30,11,"",Buller's Mollymawk,Fantail,Kea,Kākāpō,Morepork
2019-10-30,11,"",Little Penguin,Kākāpō,Kōkako,Rockhopper Penguin,Weka
2019-10-30,11,"",Whenua Hou Diving Petrel,Blue Duck,Mōhua,Antipodean Albatross,Gibson's Albatross
2019-10-30,11,"",Kākāpō,Pūkeko,Kererū,Weka,Morepork
2019-10-30,11,"",Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Little Penguin,Kingfisher
2019-10-30,11,"",Morepork,Fairy Tern,Silvereye,Yellow-eyed penguin,Chatham Island Mollymawk
2019-10-30,11,"",South Island Kōkako,New Zealand Falcon,Stitchbird,Orange-fronted Parakeet,Tomtit
2019-10-30,11,"",Blue Duck,Kākā,Morepork,Weka,White-faced Heron
2019-10-30,11,"",Royal Spoonbill,Saddleback,Shore Plover,Bittern,Tomtit
2019-10-30,11,"",Royal Spoonbill,Kea,Kererū,Barn Owl,Pūkeko
2019-10-30,11,"",Little Penguin,Yellow-eyed penguin,Rockhopper Penguin,Orange-fronted Parakeet,Fiordland Crested Penguin
2019-10-30,11,"",Banded Dotterel,Kākāpō,Stitchbird,Kererū,Shining Cuckoo
2019-10-30,11,"",Tūī,Fantail,Kererū,Little Penguin,Weka
2019-10-30,11,"",Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,Kingfisher
2019-10-30,11,"",Kea,Stitchbird,Kākāpō,Takahē,Mōhua
2019-10-30,11,"",Black Robin,Saddleback,White Heron,Rifleman,Tomtit
2019-10-30,11,"",New Zealand Falcon,Black Robin,Little Spotted Kiwi,Tomtit,Black-fronted Tern
2019-10-30,11,"",Kea,Kererū,Kākāpō,Little Spotted Kiwi,Tūī
2019-10-30,11,"",Antipodean Albatross,Kererū,Barn Owl,Little Penguin,Harrier
2019-10-30,11,"",Antipodean Albatross,Kākāpō,Southern Brown Kiwi,Little Penguin,Little Spotted Kiwi
2019-10-30,11,"",Kea,Silvereye,Little Penguin,Mōhua,Tomtit
2019-10-30,11,"",Rifleman,Royal Spoonbill,Harrier,Rockhopper Penguin,New Zealand Falcon
2019-10-30,11,"",Grey Warbler,Kākāpō,Kingfisher,White-faced Heron,Fairy Tern
2019-10-30,11,"",Kākāpō,Kererū,Kea,Kōkako,Yellow-eyed penguin
2019-10-30,11,"",Kingfisher,Banded Dotterel,Hutton's Shearwater,Saddleback,Antipodean Albatross
2019-10-30,11,"",Buller's Mollymawk,Rifleman,Fantail,Kingfisher,Kākā
2019-10-30,11,"",Rifleman,Little Penguin,Rockhopper Penguin,Fantail,Stitchbird
2019-10-30,11,"",Rock Wren,Black Stilt,South Island Kōkako,Yellow-eyed penguin,Fairy Tern
2019-10-30,11,"",New Zealand Dabchick,Tomtit,Black Robin,Rifleman,Black-fronted Tern
2019-10-30,11,"",Antipodean Albatross,New Zealand Falcon,Banded Dotterel,Morepork,Saddleback
2019-10-30,11,"",New Zealand Robin,Kākā,Kākāpō,Rifleman,New Zealand Falcon
2019-10-30,11,"",Kākāpō,Yellow-eyed penguin,South Island Kōkako,Bittern,Orange-fronted Parakeet
2019-10-30,11,"",Little Penguin,Silvereye,Stitchbird,Welcome Swallow,Rifleman
2019-10-30,11,"",Yellow-eyed penguin,Antipodean Albatross,Banded Dotterel,Blue Duck,Fairy Tern
2019-10-30,11,"",Tūī,Saddleback,New Zealand Falcon,Stitchbird,New Zealand Robin
2019-10-30,11,"",Stitchbird,Fairy Tern,Black Stilt,Orange-fronted Parakeet,Yellow-eyed penguin
2019-10-30,11,"",Kingfisher,Silvereye,Bellbird,Southern Brown Kiwi,Little Spotted Kiwi
2019-10-30,11,"",Black Robin,Little Penguin,Stitchbird,Black-fronted Tern,Mōhua
2019-10-30,12,"",Shore Plover,Kererū,Hutton's Shearwater,South Island Kōkako,Kākā
2019-10-30,12,"",Rifleman,Kererū,Kea,Kingfisher,Saddleback
2019-10-30,12,"",Kākā,Black Robin,Tūī,Orange-fronted Parakeet,Rockhopper Penguin
2019-10-30,12,"",Kererū,Black Robin,Little Penguin,Kākāpō,Silvereye
2019-10-30,12,"",Fantail,Stitchbird,Tūī,Rifleman,Little Spotted Kiwi
2019-10-30,12,"",Mōhua,Black Petrel,Tūī,Kererū,South Island Kōkako
2019-10-30,12,"",Rockhopper Penguin,Little Penguin,Tūī,Kākāpō,Royal Spoonbill
2019-10-30,12,"",Rockhopper Penguin,Little Penguin,Tūī,Kākāpō,Royal Spoonbill
2019-10-30,12,"",Little Penguin,Little shag,New Zealand Dabchick,Rifleman,Rockhopper Penguin
2019-10-30,12,"",Banded Dotterel,Black Robin,Blue Duck,Mōhua,Shore Plover
2019-10-30,12,"",Kōkako,Southern Brown Kiwi,New Zealand Falcon,Orange-fronted Parakeet,Mōhua
2019-10-30,12,"",Southern Brown Kiwi,Little Penguin,Little Spotted Kiwi,North Island Brown Kiwi,Rockhopper Penguin
2019-10-30,12,"",Kākāpō,Little Spotted Kiwi,Kererū,Gibson's Albatross,Tūī
2019-10-30,12,"",Kākā,Kākāpō,Little Spotted Kiwi,Mōhua,Orange-fronted Parakeet
2019-10-30,12,"",Black Robin,Rockhopper Penguin,Black Stilt,Yellow-eyed penguin,Saddleback
2019-10-30,12,"",Tūī,Fantail,Kōkako,New Zealand Dabchick,Kererū
2019-10-30,12,"",Kākāpō,Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin,Little Penguin
2019-10-30,12,"",Kea,Little Penguin,Barn Owl,Fantail,Orange-fronted Parakeet
2019-10-30,12,"",Antipodean Albatross,South Island Kōkako,Orange-fronted Parakeet,Hutton's Shearwater,Shore Plover
2019-10-30,12,"",Black Robin,Rifleman,Little Penguin,Little Spotted Kiwi,Southern Royal Albatross
2019-10-30,12,"",New Zealand Falcon,Blue Duck,Northern Royal Albatross,Black Robin,Kingfisher
2019-10-30,12,"",New Zealand Dabchick,Kererū,Fantail,Rockhopper Penguin,North Island Brown Kiwi
2019-10-30,12,"",Kākā,Great Spotted Kiwi,North Island Brown Kiwi,Kererū,Kea
2019-10-30,12,"",Bellbird,Kea,Scaup,Morepork,Tūī
2019-10-30,12,"",Kererū,Kea,Royal Spoonbill,Rockhopper Penguin,Rifleman
2019-10-30,12,"",Kākāpō,Little Spotted Kiwi,Little Penguin,Great Spotted Kiwi,Rockhopper Penguin
2019-10-30,12,"",Kea,Kākāpō,Yellow-eyed penguin,Tūī,Fiordland Crested Penguin
2019-10-30,12,"",Kererū,Black Robin,Little Penguin,Welcome Swallow,Rockhopper Penguin
2019-10-30,12,"",Black Robin,South Island Kōkako,Orange-fronted Parakeet,New Zealand Falcon,""
2019-10-30,12,"",Kākāpō,Morepork,Kea,Takahē,Chatham Island Mollymawk
2019-10-30,12,"",Stitchbird,Weka,Morepork,Southern Brown Kiwi,Rifleman
2019-10-30,12,"",Gibson's Albatross,Banded Dotterel,Antipodean Albatross,The Otago Shag,Hutton's Shearwater
2019-10-30,12,"",Australasian Crested Grebe,Welcome Swallow,Rifleman,Black Robin,Tomtit
2019-10-30,12,"",Kākāpō,Barn Owl,Fiordland Crested Penguin,Pūkeko,Kea
2019-10-30,12,"",Orange-fronted Parakeet,Blue Duck,South Island Kōkako,Yellow-eyed penguin,""
2019-10-30,12,"",Rifleman,Mōhua,Kākāpō,Little Spotted Kiwi,Black Stilt
2019-10-30,12,"",Blue Duck,North Island Brown Kiwi,Little Spotted Kiwi,"",""
2019-10-30,12,"",Little Spotted Kiwi,Little Penguin,Orange-fronted Parakeet,Rockhopper Penguin,Southern Brown Kiwi
2019-10-30,12,"",Black-billed Gull,Buller's Mollymawk,Fiordland Crested Penguin,Gibson's Albatross,Takahē
2019-10-30,12,"",Harrier,Great Spotted Kiwi,Fiordland Crested Penguin,Black Stilt,Little Penguin
2019-10-30,12,"",Royal Spoonbill,Kea,Kererū,Barn Owl,Little Penguin
2019-10-30,12,"",Shore Plover,Barn Owl,Antipodean Albatross,Kākāpō,Chatham Island Oystercatcher
2019-10-30,12,"",Tomtit,Black Robin,Yellow-eyed penguin,New Zealand Falcon,Whenua Hou Diving Petrel
2019-10-30,12,"",Blue Duck,Shining Cuckoo,Rockhopper Penguin,North Island Brown Kiwi,Grey Warbler
2019-10-30,12,"",Fiordland Crested Penguin,New Zealand Robin,North Island Brown Kiwi,Bittern,Kea
2019-10-30,12,"",Banded Dotterel,Kererū,Shining Cuckoo,Black Robin,Kingfisher
2019-10-30,12,"",Takahē,Black Robin,Chatham Island Oystercatcher,Gibson's Albatross,Mōhua
2019-10-30,12,"",Shore Plover,Black Robin,South Island Kōkako,Yellow-eyed penguin,Banded Dotterel
2019-10-30,12,"",Tomtit,Rifleman,Barn Owl,Takahē,Shore Plover
2019-10-30,12,"",Orange-fronted Parakeet,Tūī,New Zealand Falcon,Black Robin,Little Penguin
2019-10-30,12,"",Mōhua,Stitchbird,Orange-fronted Parakeet,Kākāpō,Black Robin
2019-10-30,12,"",Whenua Hou Diving Petrel,New Zealand Dabchick,Grey Duck,Rifleman,Kākāpō
2019-10-30,12,"",Kākāpō,Morepork,Rifleman,Tomtit,Banded Dotterel
2019-10-30,12,"",Takahē,Blue Duck,Rockhopper Penguin,Little Penguin,Morepork
2019-10-30,12,"",Blue Duck,Black Stilt,Black Petrel,Banded Dotterel,Little Penguin
2019-10-30,12,"",Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Spotted Kiwi,Rifleman
2019-10-30,12,"",New Zealand Dotterel,Rock Wren,Kākāpō,Banded Dotterel,New Zealand Falcon
2019-10-30,12,"",Kererū,New Zealand Falcon,Morepork,Kingfisher,Fantail
2019-10-30,12,"",Barn Owl,Little Penguin,Campbell Black-Browed Albatross,White Heron,Gibson's Albatross
2019-10-30,12,"",Morepork,New Zealand Robin,Tūī,Australasian Gannet,Barn Owl
2019-10-30,12,"",Fiordland Crested Penguin,Southern Brown Kiwi,Barn Owl,North Island Brown Kiwi,Takahē
2019-10-30,12,"",Antipodean Albatross,Kea,Kererū,Kākā,Little Spotted Kiwi
2019-10-30,12,"",New Zealand Falcon,Kingfisher,North Island Brown Kiwi,Pūkeko,Tūī
2019-10-30,12,"",Tūī,Australasian Gannet,Kererū,New Zealand Falcon,Fantail
2019-10-30,12,"",Gibson's Albatross,Antipodean Albatross,Northern Royal Albatross,Campbell Black-Browed Albatross,Southern Royal Albatross
2019-10-30,12,"",New Zealand Falcon,Tūī,Rock Wren,Orange-fronted Parakeet,Little Spotted Kiwi
2019-10-30,12,"",Rifleman,Little Penguin,Kākāpō,Orange-fronted Parakeet,Rockhopper Penguin
2019-10-30,12,"",Kākāpō,Kākā,Blue Duck,Takahē,Bar-tailed Godwit
2019-10-30,12,"",Little Penguin,Kākāpō,Yellow-eyed penguin,Orange-fronted Parakeet,Tūī
2019-10-30,12,"",Yellow-eyed penguin,Black Robin,New Zealand Robin,Banded Dotterel,Mōhua
2019-10-30,12,"",Southern Brown Kiwi,Pūkeko,Weka,Takahē,""
2019-10-30,12,"",Little Penguin,Fantail,Black Robin,Barn Owl,Brown Teal
2019-10-30,12,"",Black Stilt,Fernbird,New Zealand Falcon,Grey Warbler,Bellbird
2019-10-30,12,"",Kākāpō,Little Penguin,Rifleman,Kingfisher,Mōhua
2019-10-30,12,"",Little Penguin,Kākāpō,Kererū,Orange-fronted Parakeet,Southern Brown Kiwi
2019-10-30,12,"",Blue Duck,Antipodean Albatross,Gibson's Albatross,Orange-fronted Parakeet,The Otago Shag
2019-10-30,12,"",Little Penguin,Kākāpō,Black Robin,Fantail,Tūī
2019-10-30,12,"",Tūī,Morepork,Little Spotted Kiwi,Fantail,Fernbird
2019-10-30,12,"",Kōkako,Southern Brown Kiwi,Mōhua,New Zealand Dotterel,Black Stilt
2019-10-30,12,"",Shore Plover,Banded Dotterel,Kea,Hutton's Shearwater,Antipodean Albatross
2019-10-30,12,"",Tūī,Takahē,Black Robin,Kingfisher,Kererū
2019-10-30,12,"",New Zealand Dabchick,Australasian Crested Grebe,Stitchbird,Kōkako,South Island Kōkako
2019-10-30,12,"",Fantail,Kererū,Little Spotted Kiwi,Kākāpō,Kea
2019-10-30,12,"",The Otago Shag,Tūī,Rock Wren,Rockhopper Penguin,Chatham Island Mollymawk
2019-10-30,12,"",Antipodean Albatross,Banded Dotterel,Rifleman,Little Spotted Kiwi,Kōkako
2019-10-30,12,"",Blue Duck,North Island Brown Kiwi,Kākāpō,Southern Brown Kiwi,Chatham Island Oystercatcher
2019-10-30,12,"",Rock Wren,South Island Kōkako,Orange-fronted Parakeet,Bittern,Fairy Tern
2019-10-30,12,"",Black Robin,Silvereye,Kererū,Little Penguin,Yellow-eyed penguin
2019-10-30,12,"",Saddleback,Blue Duck,Antipodean Albatross,New Zealand Dotterel,Australasian Gannet
2019-10-30,12,"",Kererū,Weka,Kākā,Kākāpō,Takahē
2019-10-30,12,"",Kea,Harrier,Kākā,Little shag,Spotted Shag
2019-10-30,12,"",Antipodean Albatross,Kererū,Barn Owl,Little Penguin,Rifleman
2019-10-30,12,"",Little Penguin,Kea,Rockhopper Penguin,Little Spotted Kiwi,North Island Brown Kiwi
2019-10-30,12,"",Yellow-eyed penguin,Kea,Rifleman,Banded Dotterel,Tūī
2019-10-30,12,"",Antipodean Albatross,New Zealand Dotterel,North Island Brown Kiwi,Orange-fronted Parakeet,Rockhopper Penguin
2019-10-30,12,"",Fiordland Crested Penguin,Yellow-eyed penguin,Little Spotted Kiwi,Black Robin,Kākāpō
2019-10-30,12,"",White Heron,Little Penguin,Rifleman,Morepork,Fairy Tern
2019-10-30,12,"",Banded Dotterel,Antipodean Albatross,Kākā,Kākāpō,Tūī
2019-10-30,12,"",Kākāpō,Fantail,Kingfisher,Takahē,Tūī
2019-10-30,12,"",Banded Dotterel,Spotless Crake,Bittern,Rock Wren,Rifleman
2019-10-30,12,"",Kererū,Morepork,Tūī,Fantail,Silvereye
2019-10-30,12,"",Kea,Kererū,Campbell Black-Browed Albatross,Saddleback,Welcome Swallow
2019-10-30,12,"",Kererū,Yellow-eyed penguin,Barn Owl,Little Penguin,Tūī
2019-10-30,12,"",Australasian Crested Grebe,Hutton's Shearwater,Rifleman,Rock Wren,New Zealand Robin
2019-10-30,12,"",Kererū,New Zealand Falcon,White Heron,Fernbird,New Zealand Dotterel
2019-10-30,12,"",Antipodean Albatross,Black-fronted Tern,Campbell Black-Browed Albatross,Gibson's Albatross,Kākāpō
2019-10-30,12,"",Grey Warbler,Kererū,Kākā,Kākāpō,Morepork
2019-10-30,12,"",Kākā,Kākāpō,Morepork,Fantail,New Zealand Falcon
2019-10-30,12,"",Tūī,Kingfisher,Kererū,Morepork,Salvin's Mollymawk
2019-10-30,12,"",Black Petrel,Little Penguin,Kākā,Australasian Gannet,Kingfisher
2019-10-30,12,"",Mōhua,Banded Dotterel,Shore Plover,Black Robin,New Zealand Dotterel
2019-10-30,12,"",Mōhua,Kea,Little Penguin,Little Spotted Kiwi,Yellow-eyed penguin
2019-10-30,12,"",Orange-fronted Parakeet,Rifleman,Yellow-eyed penguin,Chatham Island Mollymawk,New Zealand Dotterel
2019-10-30,12,"",Kea,Tūī,Morepork,Kererū,Kākā
2019-10-30,12,"",Tomtit,Rifleman,Kererū,Barn Owl,Banded Dotterel
2019-10-30,12,"",Northern Royal Albatross,Antipodean Albatross,Gibson's Albatross,Yellow-eyed penguin,Rockhopper Penguin
2019-10-30,12,"",Rockhopper Penguin,North Island Brown Kiwi,Tūī,Blue Duck,Takahē
2019-10-30,12,"",Kea,Antipodean Albatross,Kākā,Kererū,Kingfisher
2019-10-30,12,"",Fairy Tern,Fiordland Crested Penguin,Rockhopper Penguin,Southern Brown Kiwi,Yellow-eyed penguin
2019-10-30,12,"",Northern Royal Albatross,Yellow-eyed penguin,Gibson's Albatross,Fairy Tern,Kākāpō
2019-10-30,12,"",Saddleback,Kererū,Tūī,Bellbird,New Zealand Falcon
2019-10-30,12,"",Black Robin,Takahē,Weka,Fantail,Gibson's Albatross
2019-10-30,12,"",New Zealand Dabchick,Kingfisher,Kea,Morepork,Orange-fronted Parakeet
2019-10-30,12,"",Morepork,Little Spotted Kiwi,Banded Dotterel,Kākāpō,Whenua Hou Diving Petrel
2019-10-30,12,"",Fiordland Crested Penguin,Kingfisher,Pied Shag,Royal Spoonbill,South Island Kōkako
2019-10-30,12,"",Kākā,Fantail,Morepork,Saddleback,Harrier
2019-10-30,12,"",Kākāpō,Yellow-eyed penguin,Gibson's Albatross,Takahē,Southern Brown Kiwi
2019-10-30,12,"",New Zealand Dabchick,Morepork,Yellow-eyed penguin,Stitchbird,Shining Cuckoo
2019-10-30,12,"",Fernbird,New Zealand Falcon,New Zealand King Shag,Hutton's Shearwater,Black shag
2019-10-30,12,"",Antipodean Albatross,New Zealand Dabchick,Buller's Mollymawk,New Zealand Dotterel,Yellow-eyed penguin
2019-10-30,12,"",Antipodean Albatross,New Zealand Dabchick,Black Robin,Black Stilt,Kākā
2019-10-30,12,"",Yellow-eyed penguin,Chatham Island Mollymawk,Shore Plover,South Island Kōkako,Blue Duck
2019-10-30,12,"",Tūī,Pūkeko,Kingfisher,Barn Owl,Bellbird
2019-10-30,12,"",Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Buller's Mollymawk,North Island Brown Kiwi
2019-10-30,12,"",Yellow-eyed penguin,Kākā,New Zealand Falcon,Orange-fronted Parakeet,Fiordland Crested Penguin
2019-10-30,12,"",Blue Duck,Kākā,Bar-tailed Godwit,Rockhopper Penguin,Takahē
2019-10-30,12,"",Tūī,North Island Brown Kiwi,Yellow-eyed penguin,New Zealand Falcon,Fantail
2019-10-30,12,"",Antipodean Albatross,Southern Brown Kiwi,Kea,Yellow-eyed penguin,Kākāpō
2019-10-30,12,"",New Zealand Falcon,Morepork,Orange-fronted Parakeet,Little Spotted Kiwi,Whenua Hou Diving Petrel
2019-10-30,12,"",Whenua Hou Diving Petrel,Takahē,Barn Owl,Kingfisher,New Zealand Dabchick
2019-10-30,12,"",Black Stilt,Southern Brown Kiwi,Yellow-eyed penguin,Fairy Tern,Chatham Island Mollymawk
2019-10-30,12,"",Rifleman,Kākāpō,Silvereye,Morepork,Kererū
2019-10-30,12,"",Blue Duck,Black Robin,Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin
2019-10-30,12,"",Little Penguin,Fernbird,Tūī,Morepork,New Zealand Dotterel
2019-10-30,12,"",Fantail,New Zealand Falcon,Kea,Kererū,Kākāpō
2019-10-30,12,"",Kākāpō,Black Robin,Weka,Takahē,""
2019-10-30,12,"",Fantail,Southern Brown Kiwi,Banded Dotterel,Kea,Kākāpō
2019-10-30,12,"",New Zealand Falcon,Kākā,Antipodean Albatross,Morepork,Australasian Gannet
2019-10-30,12,"",Antipodean Albatross,Hutton's Shearwater,Banded Dotterel,Shore Plover,South Island Kōkako
2019-10-30,12,"",Fantail,New Zealand Dabchick,Banded Dotterel,Stitchbird,Kōkako
2019-10-30,12,"",Antipodean Albatross,Fiordland Crested Penguin,Southern Brown Kiwi,Gibson's Albatross,Kākā
2019-10-30,12,"",Kākāpō,Morepork,Little Penguin,Black Robin,Tūī
2019-10-30,12,"",Black Robin,Orange-fronted Parakeet,New Zealand Dotterel,Mōhua,Kākā
2019-10-30,12,"",Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,New Zealand Dabchick
2019-10-30,12,"",Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Southern Brown Kiwi
2019-10-30,12,"",Grey Warbler,Bittern,Fantail,New Zealand Robin,Royal Spoonbill
2019-10-30,12,"",Fantail,Kererū,Little Spotted Kiwi,Royal Spoonbill,Blue Duck
2019-10-30,12,"",New Zealand Dotterel,Banded Dotterel,Black Petrel,Little Penguin,North Island Brown Kiwi
2019-10-30,12,"",Rifleman,Rockhopper Penguin,Little Spotted Kiwi,Yellow-eyed penguin,Morepork
2019-10-30,12,"",Banded Dotterel,Bittern,Fairy Tern,New Zealand Dotterel,Mōhua
2019-10-30,12,"",Southern Brown Kiwi,Kākā,Antipodean Albatross,Tūī,Rockhopper Penguin
2019-10-30,12,"",Saddleback,Kākā,Kākāpō,South Island Kōkako,New Zealand Falcon
2019-10-30,12,"",Rockhopper Penguin,Fiordland Crested Penguin,Kōkako,Morepork,Fantail
2019-10-30,12,"",Black Robin,Blue Duck,Kākā,Kākāpō,Yellow-eyed penguin
2019-10-30,12,"",Black Robin,Kākāpō,Kākā,New Zealand Falcon,Great Spotted Kiwi
2019-10-30,12,"",Little Penguin,Kākāpō,Kea,Great Spotted Kiwi,North Island Brown Kiwi
2019-10-30,12,"",Barn Owl,The Otago Shag,Kākāpō,Yellow-eyed penguin,Pūkeko
2019-10-30,12,"",Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Saddleback
2019-10-30,12,"",Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Fiordland Crested Penguin,Rifleman
2019-10-30,12,"",Little Penguin,Southern Brown Kiwi,Barn Owl,Kererū,Kākāpō
2019-10-30,12,"",Antipodean Albatross,Gibson's Albatross,Grey Duck,Chatham Island Mollymawk,Kākā
2019-10-30,12,"",Southern Brown Kiwi,Kākā,Kākāpō,Bittern,Black Stilt
2019-10-30,12,"",Kingfisher,Kererū,Takahē,Kea,Tomtit
2019-10-30,12,"",Antipodean Albatross,Banded Dotterel,Shore Plover,South Island Kōkako,Bittern
2019-10-30,12,"",New Zealand Falcon,Kākā,Little Spotted Kiwi,Morepork,Stitchbird
2019-10-30,12,"",Antipodean Albatross,Banded Dotterel,Bittern,Black Robin,Kākā
2019-10-30,12,"",Australasian Crested Grebe,Silvereye,Rifleman,Orange-fronted Parakeet,Banded Dotterel
2019-10-30,12,"",New Zealand Falcon,Tomtit,Black Robin,Rifleman,Little Penguin
2019-10-30,12,"",Yellow-eyed penguin,New Zealand Falcon,Rock Wren,Kākāpō,Fantail
2019-10-30,12,"",Mōhua,New Zealand Dotterel,Stitchbird,Bittern,Black Robin
2019-10-30,12,"",Mōhua,Barn Owl,Stitchbird,Bellbird,Orange-fronted Parakeet
2019-10-30,12,"",Kererū,Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,Blue Duck
2019-10-30,12,"",Saddleback,Stitchbird,Blue Duck,New Zealand Falcon,""
2019-10-30,12,"",Orange-fronted Parakeet,Kākāpō,Yellow-eyed penguin,Black Robin,Kea
2019-10-30,12,"",Black Robin,Rifleman,Orange-fronted Parakeet,Kererū,Little Penguin
2019-10-30,12,"",Rifleman,Kākā,Tūī,Antipodean Albatross,Blue Duck
2019-10-30,12,"",Black Robin,Kea,New Zealand Falcon,Fernbird,Kākāpō
2019-10-30,12,"",Banded Dotterel,Fantail,Shore Plover,Wrybill,""
2019-10-30,12,"",Rifleman,Northern Royal Albatross,Kākā,Morepork,Little Penguin
2019-10-30,12,"",Silvereye,Fantail,Tūī,"",""
2019-10-30,12,"",Kingfisher,Welcome Swallow,White Heron,Salvin's Mollymawk,Royal Spoonbill
2019-10-30,12,"",Little Penguin,Silvereye,Kākā,Fiordland Crested Penguin,Shining Cuckoo
2019-10-30,12,"",Fantail,Tūī,White Heron,Orange-fronted Parakeet,New Zealand Dotterel
2019-10-30,12,"",Saddleback,Rifleman,Little Penguin,Buller's Mollymawk,Yellow-eyed penguin
2019-10-30,12,"",Kākāpō,Shore Plover,South Island Kōkako,Yellow-eyed penguin,Antipodean Albatross
2019-10-30,12,"",Southern Brown Kiwi,Gibson's Albatross,Orange-fronted Parakeet,Kākāpō,Kākā
2019-10-30,12,"",Chatham Island Mollymawk,Black Robin,Banded Dotterel,Gibson's Albatross,Stitchbird
2019-10-30,12,"",Kōkako,Mōhua,Orange-fronted Parakeet,Stitchbird,Northern Royal Albatross
2019-10-30,12,"",Little Penguin,Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Fantail
2019-10-30,12,"",Little Penguin,Yellow-eyed penguin,Little Spotted Kiwi,Great Spotted Kiwi,Southern Brown Kiwi
2019-10-30,12,"",Australasian Gannet,Bar-tailed Godwit,Bellbird,Harrier,Hutton's Shearwater
2019-10-30,12,"",Fiordland Crested Penguin,Barn Owl,Antipodean Albatross,Kererū,Kākā
2019-10-30,12,"",Fantail,Yellow-eyed penguin,Chatham Island Mollymawk,Rockhopper Penguin,Kākāpō
2019-10-30,12,"",Fantail,Fiordland Crested Penguin,Little Penguin,Morepork,Pūkeko
2019-10-30,12,"",Campbell Black-Browed Albatross,Buller's Mollymawk,Chatham Island Mollymawk,Fiordland Crested Penguin,Gibson's Albatross
2019-10-30,12,"",Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Little Penguin,Bittern
2019-10-30,12,"",Black Robin,Stitchbird,Welcome Swallow,Mōhua,Fantail
2019-10-30,12,"",Kākāpō,"","","",""
2019-10-30,12,"",Chatham Island Mollymawk,Harrier,Royal Spoonbill,Saddleback,Kākā
2019-10-30,12,"",Bellbird,Tūī,Kea,"",""
2019-10-30,12,"",Kingfisher,Black-billed Gull,New Zealand Falcon,White-faced Heron,Tomtit
