current_up_to,region_id,iso3_code,total_members,deposits_ref,deposits_abstract,deposits_license,deposits_crossmark,deposits_updates,deposits_textmining,deposits_status_info,acknowledges_funding,deposits_funder_id,deposits_grant_id,deposits_orcid,deposits_orcid_for_authors,deposits_orcid_for_chairs,deposits_orcid_for_editors,deposits_orcid_for_translators,deposits_ror_id,deposits_ror_id_for_affiliations,deposits_ror_id_for_funders,deposits_ror_id_for_institutions
2025-06-30,ECS,PRT,156,31,124,51,5,1,62,NA,5,6,NA,117,113,4,27,3,0,0,0,0
2025-06-30,ECS,ROU,257,121,220,67,6,1,63,NA,11,10,NA,142,141,0,14,1,3,3,0,0
2025-06-30,ECS,RUS,1531,701,1162,411,88,11,425,NA,121,115,NA,1083,1081,14,83,24,204,204,3,1
2025-06-30,ECS,SRB,90,42,79,35,4,0,40,NA,22,21,NA,65,65,1,15,1,10,10,2,0
2025-06-30,ECS,SVK,46,20,38,15,1,0,14,NA,6,6,NA,32,31,2,5,2,1,1,0,0
2025-06-30,ECS,SVN,51,17,42,23,1,0,21,NA,6,6,NA,31,31,1,6,1,4,4,2,1
2025-06-30,ECS,SWE,117,43,100,65,9,6,67,NA,10,9,NA,79,79,0,18,2,3,3,0,1
2025-06-30,ECS,TJK,3,1,2,0,0,0,0,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,ECS,TUR,1770,1425,1524,122,19,3,123,NA,1149,672,NA,1489,1489,5,28,92,6,6,0,0
2025-06-30,ECS,UKR,602,306,531,266,5,0,318,NA,16,16,NA,493,493,15,67,11,8,8,0,0
2025-06-30,ECS,UZB,67,22,55,25,2,0,29,NA,0,0,NA,30,30,0,0,0,3,3,0,0
2025-06-30,ECS,XKX,8,4,8,4,0,0,5,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-06-30,LCN,ARG,120,47,110,75,1,1,86,NA,5,5,NA,92,92,3,7,3,2,1,0,1
2025-06-30,LCN,BHS,2,1,1,0,0,0,1,NA,0,1,NA,2,2,0,0,0,1,1,0,0
2025-06-30,LCN,BLZ,2,2,2,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,BOL,39,15,39,24,3,1,29,NA,3,3,NA,33,33,0,1,0,4,4,0,0
2025-06-30,LCN,BRA,1781,470,1492,940,42,10,1197,NA,78,76,NA,1339,1333,28,131,22,9,9,2,1
2025-06-30,LCN,BRB,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,CHL,94,25,88,60,3,1,62,NA,6,6,NA,78,78,0,6,2,5,4,1,3
2025-06-30,LCN,COL,261,182,255,204,38,11,213,NA,47,44,NA,227,225,8,60,8,21,20,1,0
2025-06-30,LCN,CRI,26,7,26,22,0,0,20,NA,0,0,NA,22,22,0,0,0,0,0,0,0
2025-06-30,LCN,CUB,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,DOM,11,2,11,11,0,0,11,NA,0,0,NA,9,9,0,0,0,0,0,0,0
2025-06-30,LCN,ECU,187,87,182,143,6,1,150,NA,5,5,NA,167,167,7,22,1,2,2,0,1
2025-06-30,LCN,GTM,20,16,19,17,0,0,17,NA,3,3,NA,15,15,0,0,0,0,0,0,0
2025-06-30,LCN,GUY,2,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,LCN,HND,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,HTI,1,0,1,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,JAM,3,1,3,0,1,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,MEX,294,122,272,166,11,6,167,NA,21,21,NA,227,226,16,44,7,4,4,1,0
2025-06-30,LCN,NIC,2,1,2,2,0,0,2,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,LCN,PAN,18,9,18,16,0,0,17,NA,0,0,NA,16,16,0,3,0,3,3,0,0
2025-06-30,LCN,PER,222,67,218,161,4,0,177,NA,3,3,NA,196,196,1,12,1,4,4,0,0
2025-06-30,LCN,PRI,12,6,10,5,0,0,8,NA,0,0,NA,9,9,0,1,1,0,0,0,0
2025-06-30,LCN,PRY,37,10,36,25,2,0,26,NA,0,0,NA,34,34,1,2,0,0,0,0,0
2025-06-30,LCN,SLV,6,4,6,5,0,0,5,NA,0,0,NA,6,6,0,0,0,0,0,0,0
2025-06-30,LCN,TTO,4,2,4,1,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,LCN,URY,70,10,32,27,0,0,27,NA,0,0,NA,51,51,0,1,0,0,0,0,0
2025-06-30,LCN,VEN,33,22,31,22,0,0,20,NA,4,4,NA,29,29,0,7,2,1,1,0,0
2025-06-30,LCN,VGB,2,2,1,1,1,1,1,NA,1,1,NA,1,1,0,0,0,0,0,0,0
2025-06-30,MEA,AFG,21,5,20,11,3,1,13,NA,0,0,NA,11,11,0,0,0,0,0,0,0
2025-06-30,MEA,ARE,52,20,39,21,4,0,23,NA,4,4,NA,23,23,0,2,0,1,1,0,0
2025-06-30,MEA,BHR,5,0,4,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,MEA,DZA,136,14,33,27,2,1,29,NA,2,1,NA,19,19,2,1,0,1,1,0,0
2025-06-30,MEA,EGY,50,20,29,15,12,2,16,NA,6,6,NA,18,18,0,3,0,0,0,0,0
2025-06-30,MEA,IRQ,233,51,190,132,17,0,152,NA,4,4,NA,118,118,1,1,0,1,1,1,0
2025-06-30,MEA,ISR,22,4,15,2,0,0,3,NA,0,0,NA,8,8,0,2,0,1,1,0,0
2025-06-30,MEA,JOR,50,6,31,11,1,0,14,NA,1,1,NA,18,18,0,0,0,0,0,0,0
2025-06-30,MEA,KWT,9,1,6,2,0,0,2,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-06-30,MEA,LBN,18,3,15,6,1,0,5,NA,2,1,NA,5,5,0,1,0,0,0,0,0
2025-06-30,MEA,LBY,23,10,18,14,2,0,14,NA,1,0,NA,13,13,0,2,0,2,2,1,0
2025-06-30,MEA,MAR,32,8,20,12,2,0,13,NA,1,0,NA,16,16,0,2,0,1,1,0,0
2025-06-30,MEA,MLT,3,1,3,1,0,0,1,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,MEA,OMN,11,2,9,3,0,0,3,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-06-30,MEA,PAK,426,107,385,230,39,7,266,NA,13,12,NA,204,204,0,6,0,1,1,0,0
2025-06-30,MEA,PSE,22,5,14,5,0,0,7,NA,0,0,NA,5,5,0,0,0,0,0,0,0
2025-06-30,MEA,QAT,11,4,10,3,2,1,3,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-06-30,MEA,SAU,47,6,25,14,4,1,15,NA,4,4,NA,20,20,0,0,0,2,2,0,0
2025-06-30,MEA,SYR,3,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,MEA,TUN,14,1,6,3,0,0,2,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-06-30,MEA,YEM,33,5,22,14,1,0,18,NA,1,1,NA,10,10,0,0,0,0,0,0,0
2025-06-30,NAC,CAN,288,93,221,105,19,8,113,NA,12,13,NA,150,149,3,17,0,12,9,1,3
2025-06-30,NAC,USA,2232,850,1463,655,138,88,590,NA,215,226,NA,1021,1011,16,111,17,158,153,7,26
2025-06-30,SAS,BGD,142,33,126,45,5,2,44,NA,6,4,NA,63,63,1,1,0,4,4,0,0
2025-06-30,SAS,BTN,6,1,6,3,0,0,3,NA,0,0,NA,5,5,0,0,0,0,0,0,0
2025-06-30,SAS,IND,1369,302,932,343,82,23,383,NA,40,38,NA,383,382,2,23,1,7,7,1,0
2025-06-30,SAS,LKA,21,3,18,4,0,0,2,NA,2,1,NA,12,12,1,1,0,2,2,1,0
2025-06-30,SAS,MDV,3,0,3,1,0,0,2,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,SAS,NPL,45,9,44,26,0,0,33,NA,1,1,NA,34,34,0,1,0,0,0,0,0
2025-06-30,SSF,AGO,5,3,5,5,0,0,5,NA,0,0,NA,5,5,0,2,0,0,0,0,0
2025-06-30,SSF,BDI,2,1,1,1,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,BEN,6,3,5,1,0,0,2,NA,0,0,NA,4,4,0,1,0,0,0,0,0
2025-06-30,SSF,BFA,5,1,5,3,0,0,3,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,SSF,BWA,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,SSF,CAF,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,CIV,1,1,1,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,SSF,CMR,6,0,5,0,0,0,1,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-06-30,SSF,COD,17,2,17,1,1,0,2,NA,0,0,NA,5,5,0,0,0,1,1,0,0
2025-06-30,SSF,COG,1,1,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,1,1,0,0
2025-06-30,SSF,COM,1,0,1,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,ETH,15,4,15,8,0,0,10,NA,0,0,NA,10,10,0,0,0,0,0,0,0
2025-06-30,SSF,GAB,1,0,1,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,SSF,GHA,33,10,30,18,2,0,19,NA,1,1,NA,19,19,0,1,0,2,1,0,1
2025-06-30,SSF,KEN,67,23,59,36,2,0,42,NA,1,0,NA,36,36,0,1,0,1,1,0,0
2025-06-30,SSF,LBR,1,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,MDG,4,1,3,1,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,MLI,4,0,4,1,0,0,2,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,SSF,MOZ,1,0,1,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,MRT,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,MUS,5,0,4,0,1,1,0,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,SSF,MWI,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-06-30,SSF,NAM,3,0,3,3,0,0,3,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-06-30,SSF,NGA,149,35,124,55,5,1,58,NA,4,3,NA,64,64,1,1,0,1,1,1,0
2025-06-30,SSF,RWA,8,1,8,2,0,0,2,NA,0,0,NA,5,4,0,1,0,0,0,0,0
2025-06-30,SSF,SDN,13,1,10,2,0,0,6,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-06-30,SSF,SEN,7,0,6,1,0,0,2,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-06-30,SSF,SLE,1,1,1,1,0,0,1,NA,1,1,NA,1,1,0,0,0,0,0,0,0
2025-06-30,SSF,SOM,9,1,9,3,0,0,4,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-06-30,SSF,TGO,1,0,1,0,0,0,0,NA,0,0,NA,1,1,0,0,0,1,1,0,0
2025-06-30,SSF,TZA,23,8,23,9,0,0,11,NA,1,0,NA,14,14,0,1,0,1,1,0,0
2025-06-30,SSF,UGA,17,7,15,7,0,0,6,NA,0,0,NA,10,10,0,2,0,1,1,0,0
2025-06-30,SSF,ZAF,83,40,57,35,8,4,32,NA,9,9,NA,58,58,1,9,0,6,6,0,1
2025-06-30,SSF,ZMB,4,2,4,1,1,0,3,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-06-30,SSF,ZWE,4,2,4,2,0,0,2,NA,1,1,NA,2,2,0,1,0,0,0,0,0
2025-05-31,EAS,AUS,231,64,168,67,11,6,59,NA,11,12,NA,146,146,1,24,0,14,14,0,1
2025-05-31,EAS,BRN,5,0,5,2,0,0,3,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-05-31,EAS,CHN,163,64,84,39,16,5,37,NA,10,10,NA,47,47,0,2,0,2,2,0,0
2025-05-31,EAS,FJI,1,1,1,0,0,0,0,NA,1,1,NA,1,1,0,0,0,0,0,0,0
2025-05-31,EAS,HKG,103,34,79,40,7,2,40,NA,7,7,NA,36,36,2,5,1,5,5,0,0
2025-05-31,EAS,IDN,4092,470,4007,3249,172,11,3961,NA,96,85,NA,2459,2458,0,8,0,2,2,0,0
2025-05-31,EAS,JPN,680,622,26,22,7,5,18,NA,71,69,NA,89,89,0,4,0,62,62,0,0
2025-05-31,EAS,KHM,10,4,9,4,0,0,4,NA,0,0,NA,8,8,0,0,0,0,0,0,0
2025-05-31,EAS,KOR,2563,1228,610,429,603,206,436,NA,551,512,NA,342,342,0,1,0,0,0,0,0
2025-05-31,EAS,LAO,4,1,4,1,1,1,2,NA,0,0,NA,2,2,0,1,1,0,0,0,0
2025-05-31,EAS,MAC,6,1,3,1,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,EAS,MMR,1,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,EAS,MNG,13,6,13,9,1,0,10,NA,1,1,NA,8,8,0,1,0,0,0,0,0
2025-05-31,EAS,MYS,170,49,141,66,4,1,79,NA,17,16,NA,87,87,0,5,0,1,1,0,0
2025-05-31,EAS,NZL,50,19,46,23,2,1,22,NA,3,3,NA,37,37,2,6,1,4,4,0,0
2025-05-31,EAS,PHL,144,28,132,46,9,0,55,NA,2,2,NA,76,75,0,3,0,4,4,0,0
2025-05-31,EAS,PNG,1,0,1,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,EAS,PYF,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,EAS,SGP,61,24,50,32,9,3,31,NA,8,8,NA,38,37,0,4,0,2,2,1,0
2025-05-31,EAS,THA,78,32,68,45,2,0,51,NA,2,2,NA,45,45,0,1,0,0,0,0,0
2025-05-31,EAS,TLS,3,1,3,2,0,0,3,NA,1,1,NA,2,2,0,0,0,0,0,0,0
2025-05-31,EAS,TWN,32,12,18,8,5,2,8,NA,3,3,NA,13,13,0,0,0,0,0,0,0
2025-05-31,EAS,VNM,148,29,144,30,2,0,108,NA,5,5,NA,56,56,0,0,0,1,1,0,0
2025-05-31,EAS,WSM,1,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,ECS,ALB,17,9,16,9,0,0,10,NA,0,0,NA,7,7,0,1,1,1,1,0,0
2025-05-31,ECS,AND,1,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,ECS,ARM,56,46,52,5,1,0,6,NA,4,4,NA,17,17,0,1,0,0,0,0,0
2025-05-31,ECS,AUT,71,17,48,20,2,0,24,NA,0,2,NA,43,43,2,8,0,2,2,0,0
2025-05-31,ECS,AZE,54,9,44,4,2,0,7,NA,1,1,NA,30,30,0,0,0,4,4,0,0
2025-05-31,ECS,BEL,55,19,36,19,0,0,18,NA,7,6,NA,33,32,0,7,0,4,4,0,1
2025-05-31,ECS,BGR,83,26,76,26,3,2,27,NA,6,6,NA,48,48,1,2,2,2,2,0,0
2025-05-31,ECS,BIH,82,23,77,29,0,0,44,NA,4,4,NA,38,38,0,1,0,13,13,0,0
2025-05-31,ECS,BLR,31,13,23,11,3,0,10,NA,1,1,NA,20,20,0,2,0,1,1,0,0
2025-05-31,ECS,CHE,151,42,125,57,7,2,47,NA,21,19,NA,82,80,0,26,1,6,5,0,2
2025-05-31,ECS,CYP,10,4,9,3,1,1,4,NA,1,1,NA,7,7,0,2,0,1,1,0,0
2025-05-31,ECS,CZE,127,65,96,51,7,4,36,NA,12,11,NA,83,81,0,14,0,7,7,0,1
2025-05-31,ECS,DEU,268,86,212,110,19,9,78,NA,30,30,NA,150,148,1,45,3,14,13,1,2
2025-05-31,ECS,DNK,25,10,21,11,3,1,8,NA,4,4,NA,16,16,0,4,0,0,0,0,0
2025-05-31,ECS,ESP,526,196,442,239,32,5,256,NA,62,57,NA,369,369,19,63,4,13,11,1,3
2025-05-31,ECS,EST,18,9,14,8,1,1,9,NA,1,1,NA,11,11,1,3,1,0,0,0,0
2025-05-31,ECS,FIN,140,9,137,88,1,1,120,NA,10,10,NA,110,110,0,9,1,0,0,0,0
2025-05-31,ECS,FRA,139,48,112,48,12,7,42,NA,12,13,NA,79,79,1,18,2,5,5,0,0
2025-05-31,ECS,FRO,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,ECS,GBR,676,222,495,252,66,40,222,NA,73,70,NA,358,355,2,55,6,24,23,1,4
2025-05-31,ECS,GEO,40,7,34,9,2,0,18,NA,2,2,NA,19,19,0,0,0,0,0,0,0
2025-05-31,ECS,GRC,44,8,33,8,2,2,6,NA,2,1,NA,19,19,0,2,0,0,0,0,0
2025-05-31,ECS,HRV,199,41,184,20,2,1,17,NA,2,2,NA,161,161,0,8,1,13,13,1,0
2025-05-31,ECS,HUN,321,63,278,87,2,2,127,NA,5,5,NA,154,154,0,17,6,2,2,0,1
2025-05-31,ECS,IRL,31,10,25,8,0,0,8,NA,1,0,NA,20,19,0,4,0,4,4,0,0
2025-05-31,ECS,ISL,8,1,7,4,1,0,3,NA,0,0,NA,3,3,0,1,0,0,0,0,0
2025-05-31,ECS,ITA,147,54,111,39,6,4,40,NA,8,7,NA,75,74,3,10,1,1,1,0,0
2025-05-31,ECS,KAZ,149,56,138,42,2,1,62,NA,5,5,NA,110,109,0,1,1,10,10,0,0
2025-05-31,ECS,KGZ,29,11,21,5,0,0,4,NA,3,3,NA,18,18,0,1,0,2,2,0,0
2025-05-31,ECS,LTU,48,20,40,23,9,3,24,NA,4,4,NA,32,31,1,7,2,3,3,0,0
2025-05-31,ECS,LUX,2,1,2,0,0,0,0,NA,0,1,NA,2,2,0,0,0,0,0,0,0
2025-05-31,ECS,LVA,16,9,14,9,1,0,8,NA,1,1,NA,11,11,4,4,1,0,0,0,0
2025-05-31,ECS,MCO,2,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,ECS,MDA,44,6,35,7,0,0,2,NA,0,0,NA,27,27,0,3,0,3,3,0,0
2025-05-31,ECS,MKD,43,13,25,14,2,0,12,NA,1,1,NA,13,13,0,0,0,1,1,0,0
2025-05-31,ECS,MNE,12,5,11,3,0,0,3,NA,0,0,NA,6,6,0,1,0,0,0,0,0
2025-05-31,ECS,NLD,145,53,121,72,8,6,76,NA,26,27,NA,89,89,0,17,1,8,6,1,2
2025-05-31,ECS,NOR,34,19,26,17,2,2,16,NA,4,4,NA,25,25,0,2,0,1,1,0,0
2025-05-31,ECS,POL,358,186,303,192,21,7,191,NA,22,20,NA,303,302,5,74,18,7,6,1,1
2025-05-31,ECS,PRT,155,31,124,51,5,1,61,NA,5,6,NA,117,113,4,27,3,0,0,0,0
2025-05-31,ECS,ROU,257,120,219,67,6,1,61,NA,11,10,NA,141,140,0,14,1,2,2,0,0
2025-05-31,ECS,RUS,1524,695,1155,408,87,11,421,NA,120,115,NA,1078,1076,14,83,24,191,191,2,1
2025-05-31,ECS,SRB,90,41,79,35,4,0,40,NA,22,21,NA,65,65,1,15,1,10,10,2,0
2025-05-31,ECS,SVK,46,20,38,15,1,0,14,NA,6,6,NA,32,31,2,5,2,1,1,0,0
2025-05-31,ECS,SVN,51,17,42,23,1,0,21,NA,6,6,NA,31,31,1,6,1,4,4,2,1
2025-05-31,ECS,SWE,115,39,99,62,9,6,66,NA,10,9,NA,77,77,0,18,2,2,2,0,1
2025-05-31,ECS,TJK,3,1,2,0,0,0,0,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-05-31,ECS,TUR,1765,1418,1516,119,18,3,122,NA,1133,661,NA,1481,1481,5,27,88,5,5,0,0
2025-05-31,ECS,UKR,598,304,530,261,5,0,318,NA,16,16,NA,490,490,15,65,11,7,7,0,0
2025-05-31,ECS,UZB,67,22,55,25,2,0,29,NA,0,0,NA,29,29,0,0,0,3,3,0,0
2025-05-31,ECS,XKX,8,4,8,4,0,0,5,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-05-31,LCN,ARG,118,46,108,73,1,1,84,NA,5,5,NA,90,90,3,7,3,2,1,0,1
2025-05-31,LCN,BHS,2,1,1,0,0,0,1,NA,0,1,NA,2,2,0,0,0,1,1,0,0
2025-05-31,LCN,BLZ,2,2,2,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,BOL,39,15,39,24,3,1,29,NA,3,3,NA,33,33,0,1,0,3,3,0,0
2025-05-31,LCN,BRA,1769,463,1481,929,42,10,1191,NA,78,76,NA,1334,1328,27,130,22,6,6,2,1
2025-05-31,LCN,BRB,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,CHL,93,25,87,60,3,1,62,NA,6,6,NA,77,77,0,6,2,4,3,0,3
2025-05-31,LCN,COL,260,179,253,204,38,11,212,NA,47,44,NA,224,222,8,60,8,19,18,1,0
2025-05-31,LCN,CRI,26,7,26,22,0,0,20,NA,0,0,NA,22,22,0,0,0,0,0,0,0
2025-05-31,LCN,CUB,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,DOM,11,2,11,11,0,0,11,NA,0,0,NA,9,9,0,0,0,0,0,0,0
2025-05-31,LCN,ECU,185,85,180,141,5,1,148,NA,5,5,NA,165,165,6,21,1,2,2,0,1
2025-05-31,LCN,GTM,20,16,19,17,0,0,17,NA,3,3,NA,15,15,0,0,0,0,0,0,0
2025-05-31,LCN,GUY,2,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,LCN,HND,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,HTI,1,0,1,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,JAM,3,1,3,0,1,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,MEX,287,118,266,163,11,6,164,NA,21,21,NA,223,222,16,44,7,4,4,1,0
2025-05-31,LCN,NIC,2,1,2,2,0,0,2,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,PAN,18,9,18,16,0,0,17,NA,0,0,NA,15,15,0,3,0,3,3,0,0
2025-05-31,LCN,PER,222,66,218,160,4,0,177,NA,3,3,NA,196,196,1,12,1,4,4,0,0
2025-05-31,LCN,PRI,12,6,10,5,0,0,8,NA,0,0,NA,9,9,0,1,1,0,0,0,0
2025-05-31,LCN,PRY,36,10,35,24,2,0,25,NA,0,0,NA,34,34,1,2,0,0,0,0,0
2025-05-31,LCN,SLV,6,4,6,5,0,0,5,NA,0,0,NA,6,6,0,0,0,0,0,0,0
2025-05-31,LCN,TTO,4,2,4,1,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,LCN,URY,70,10,30,24,0,0,25,NA,0,0,NA,50,50,0,1,0,0,0,0,0
2025-05-31,LCN,VEN,32,22,30,22,0,0,20,NA,4,4,NA,28,28,0,7,2,1,1,0,0
2025-05-31,LCN,VGB,2,2,1,1,1,1,1,NA,1,1,NA,1,1,0,0,0,0,0,0,0
2025-05-31,MEA,AFG,20,5,19,10,3,1,12,NA,0,0,NA,11,11,0,0,0,0,0,0,0
2025-05-31,MEA,ARE,52,20,39,21,4,0,23,NA,4,4,NA,23,23,0,2,0,1,1,0,0
2025-05-31,MEA,BHR,5,0,4,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0
2025-05-31,MEA,DZA,135,14,32,26,2,1,28,NA,2,1,NA,17,17,2,1,0,1,1,0,0
2025-05-31,MEA,EGY,50,20,29,15,12,2,16,NA,6,6,NA,18,18,0,3,0,0,0,0,0
2025-05-31,MEA,IRQ,227,50,185,128,17,0,147,NA,4,4,NA,115,115,1,1,0,1,1,1,0
2025-05-31,MEA,ISR,22,4,15,2,0,0,3,NA,0,0,NA,8,8,0,2,0,1,1,0,0
2025-05-31,MEA,JOR,50,6,31,11,1,0,14,NA,1,1,NA,18,18,0,0,0,0,0,0,0
2025-05-31,MEA,KWT,9,1,6,2,0,0,2,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-05-31,MEA,LBN,17,3,14,6,1,0,5,NA,2,1,NA,5,5,0,1,0,0,0,0,0
2025-05-31,MEA,LBY,23,10,18,14,2,0,14,NA,1,0,NA,12,12,0,2,0,2,2,1,0
2025-05-31,MEA,MAR,31,7,19,11,2,0,12,NA,1,0,NA,14,14,0,2,0,1,1,0,0
2025-05-31,MEA,MLT,3,1,3,1,0,0,1,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-05-31,MEA,OMN,11,2,9,3,0,0,3,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-05-31,MEA,PAK,423,104,380,225,38,7,261,NA,13,12,NA,198,198,0,6,0,0,0,0,0
2025-05-31,MEA,PSE,22,5,13,5,0,0,7,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-05-31,MEA,QAT,11,5,10,3,3,1,3,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-05-31,MEA,SAU,45,6,24,13,4,1,14,NA,4,4,NA,19,19,0,0,0,2,2,0,0
2025-05-31,MEA,SYR,3,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,MEA,TUN,14,1,6,3,0,0,2,NA,0,0,NA,3,3,0,0,0,0,0,0,0
2025-05-31,MEA,YEM,33,4,22,13,1,0,18,NA,1,1,NA,10,10,0,0,0,0,0,0,0
2025-05-31,NAC,CAN,286,91,218,102,17,6,113,NA,12,13,NA,149,148,3,17,0,12,9,1,3
2025-05-31,NAC,USA,2210,840,1441,649,138,88,580,NA,214,225,NA,1008,999,16,108,17,156,151,7,26
2025-05-31,SAS,BGD,137,31,121,43,5,2,42,NA,6,4,NA,61,61,1,1,0,4,4,0,0
2025-05-31,SAS,BTN,6,1,6,3,0,0,3,NA,0,0,NA,4,4,0,0,0,0,0,0,0
2025-05-31,SAS,IND,1351,296,920,338,81,23,377,NA,39,37,NA,376,375,2,22,1,5,5,1,0
2025-05-31,SAS,LKA,21,3,18,4,0,0,2,NA,2,1,NA,12,12,1,1,0,2,2,1,0
2025-05-31,SAS,MDV,3,0,3,1,0,0,2,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-05-31,SAS,NPL,45,9,44,26,0,0,33,NA,1,1,NA,34,34,0,1,0,0,0,0,0
2025-05-31,SSF,AGO,5,3,5,5,0,0,5,NA,0,0,NA,5,5,0,2,0,0,0,0,0
2025-05-31,SSF,BDI,2,1,1,1,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0
2025-05-31,SSF,BEN,6,3,5,1,0,0,2,NA,0,0,NA,4,4,0,1,0,0,0,0,0
2025-05-31,SSF,BFA,5,1,5,3,0,0,3,NA,0,0,NA,2,2,0,0,0,0,0,0,0
2025-05-31,SSF,BWA,1,0,1,1,0,0,1,NA,0,0,NA,1,1,0,0,0,0,0,0,0
