season,show_number,episode,airdate,18_49_rating_share,viewers_in_millions,timeslot_et,dvr_18_49,dvr_viewers_millions,total_18_49,total_viewers_millions,weekrank,ref,share,nightlyrank,rating_share_households,rating_share
6,17,Top 8 Men Perform,"March 6, 2007",10.9 / 29,27.95,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.9 / 24
6,18,Top 8 Women Perform,"March 7, 2007",11.2 / 30,28.55,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.7 / 26
6,19,Top 12 Revealed,"March 8, 2007",10.4 / 28,27.52,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,16.0 / 25
6,20,Top 12 Perform,"March 13, 2007",11.7 / 31,29.83,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.1 / 27
6,21,Top 12 Results,"March 14, 2007",10.1 / 26,26.18,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.2 / 26
6,22,Top 11 Perform,"March 20, 2007",11.8 / 30,29.96,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.9 / 27
6,23,Top 11 Results,"March 21, 2007",10.4 / 27,27.08,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,18.0 / 27
6,24,Top 10 Perform,"March 27, 2007",11.0 / 30,28.18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.2 / 26
6,25,Top 10 Results,"March 28, 2007",10.9 / 28,26.89,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.2 / 25
6,26,Top 9 Perform,"April 3, 2007",10.4 / 29,26.67,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.7 / 25
6,27,Top 9 Results,"April 4, 2007",9.9 / 26,26.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.5 / 24
6,28,Top 8 Perform,"April 10, 2007",10.3 / 29,26.78,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.6 / 24
6,29,Top 8 Results,"April 11, 2007",11.1 / 27,28.56,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.5 / 25
6,30,Top 7 Perform,"April 17, 2007",10.2 / 28,26.55,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.4 / 24
6,31,Top 7 Results,"April 18, 2007",11.2 / 28,28.93,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.2 / 26
6,32,Top 6 Perform,"April 24, 2007",10.0 / 28,26.55,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.7 / 25
6,33,Idol Gives Back,"April 25, 2007",10.2 / 27,26.93,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.6 / 25
6,34,Top 6 Performs again,"May 1, 2007",10.2 / 29,26.73,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.7 / 25
6,35,Top 6 Results,"May 2, 2007",11.0 / 28,28.75,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.0 / 26
6,36,Top 4 Perform,"May 8, 2007",9.3 / 28,25.47,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.1 / 25
6,37,Top 4 Results,"May 9, 2007",10.8 / 28,28.2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.9 / 26
6,38,Top 3 Perform,"May 15, 2007",9.4 / 26,24.23,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.1 / 23
6,39,Top 3 Results,"May 16, 2007",10.8 / 28,28.05,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.5 / 25
6,40,Top 2 Perform,"May 22, 2007",9.7 / 27,25.33,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.9 / 24
6,41,Season 6 Finale,"May 23, 2007",11.5 / 29,30.74,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.8 / 29
7,1,Philadelphia Auditions,"January 15, 2008",13.8 / 32,33.415,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,17.7 / 26
7,2,Dallas Auditions,"January 16, 2008",12.6 / 30,30.437,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,16.7 / 25
7,3,San Diego Auditions,"January 22, 2008",11.8 / 29,29.274,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.2 / 24
7,4,Charleston Auditions,"January 23, 2008",10.9 / 28,27.091,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.1 / 23
7,5,Omaha Auditions,"January 29, 2008",11.1 / 28,28.223,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,15.7 / 24
7,6,Miami Auditions,"January 30, 2008",10.1 / 26,25.573,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,14.4 / 22
7,7,Atlanta Auditions,"February 5, 2008",11.2 / 28,27.914,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.7 / 23
7,8,Best of the Rest,"February 6, 2008",10.5 / 26,26.278,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.6 / 23
7,9,"Hollywood Round, Part 1","February 12, 2008",12.3 / 29,29.962,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.6 / 25
7,10,"Hollywood Round, Part 2","February 13, 2008",9.8 / 26,24.752,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.3 / 22
7,11,Top 12 Men Perform,"February 19, 2008",11.3 / 27,29.006,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.4 / 25
7,12,Top 12 Women Perform,"February 20, 2008",11.2 / 27,28.885,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,16.1 / 24
7,13,Top 24 Results,"February 21, 2008",8.5 / 22,23.374,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,13.4 / 21
7,14,Top 10 Men Perform,"February 26, 2008",11.1 / 27,28.592,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.0 / 24
7,15,Top 10 Women Perform,"February 27, 2008",10.5 / 27,27.553,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.7 / 24
7,16,Top 20 Results,"February 28, 2008",9.1 / 24,26.232,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,14.9 / 23
7,17,Top 8 Men Perform,"March 4, 2008",10.6 / 26,28.463,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.9 / 24
7,18,Top 8 Women Perform,"March 5, 2008",10.4 / 27,28.324,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.0 / 25
7,19,Top 12 Revealed,"March 6, 2008",9.4 / 24,26.502,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15.0 / 23
7,20,Top 12 Perform,"March 11, 2008",11.0 / 28,29.884,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.9 / 26
7,21,Top 12 Results,"March 12, 2008",10.3 / 26,27.127,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.8 / 24
7,22,Top 11 Perform,"March 18, 2008",10.4 / 26,27.338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.2 / 23
7,23,Top 11 Results,"March 19, 2008",9.8 / 25,26.078,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.3 / 24
7,24,Top 10 Perform,"March 25, 2008",9.7 / 25,24.758,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.0 / 21
7,25,Top 10 Results,"March 26, 2008",9.8 / 25,25.742,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.2 / 24
7,26,Top 9 Perform,"April 1, 2008",9.6 / 26,26.117,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.7 / 23
7,27,Top 9 Results,"April 2, 2008",9.4 / 23,24.839,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.8 / 22
7,28,Top 8 Perform,"April 8, 2008",9.2 / 24,24.668,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.2 / 22
7,29,Idol Gives Back,"April 9, 2008",6.8 / 18,17.751,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,10.4 / 16
7,30,Top 8 Results,"April 10, 2008",7.0 / 19,20.133,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,12.0 / 19
7,31,Top 7 Perform,"April 15, 2008",8.8 / 23,23.646,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.9 / 22
7,32,Top 7 Results,"April 16, 2008",8.8 / 22,23.339,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.4 / 21
7,33,Top 6 Perform,"April 22, 2008",9.0 / 25,24.74,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.2 / 22
7,34,Top 6 Results,"April 23, 2008",8.6 / 21,23.196,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.7 / 21
7,35,Top 5 Perform,"April 29, 2008",9.0 / 24,25.094,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.5 / 23
7,36,Top 5 Results,"April 30, 2008",8.4 / 21,22.8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.6 / 21
7,37,Top 4 Perform,"May 6, 2008",8.4 / 23,21.755,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,12.6 / 20
7,38,Top 4 Results,"May 7, 2008",8.2 / 21,22.867,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.9 / 21
7,39,Top 3 Perform,"May 13, 2008",9.0 / 25,24.772,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.4 / 23
7,40,Top 3 Results,"May 14, 2008",9.2 / 22,24.863,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.6 / 22
7,41,Top 2 Perform,"May 20, 2008",10.1 / 28,27.061,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.1 / 24
7,42,Season 7 Finale,"May 21, 2008",11.4 / 30,31.661,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.7 / 28
8,1,Phoenix Auditions,"January 13, 2009",11.7 / 28,30.424,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.8 / 23
8,2,Kansas City Auditions,"January 14, 2009",11.8 / 30,30.322,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,16.4 / 25
8,3,San Francisco Auditions,"January 20, 2009",9.0 / 22,22.773,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,12.1 / 18
8,4,Louisville Auditions,"January 21, 2009",9.8 / 24,25.897,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.3 / 22
8,5,Jacksonville Auditions,"January 27, 2009",9.6 / 24,25.539,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,13.7 / 20
8,6,Salt Lake City Auditions,"January 28, 2009",10.1 / 25,27.364,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15.0 / 23
8,7,New York & San Juan Auditions,"January 29, 2009",9.3 / 25,24.613,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,13.6 / 21
8,8,"Hollywood Round, Part 1","February 3, 2009",10.0 / 25,26.601,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.7 / 22
8,9,"Hollywood Round, Part 2","February 4, 2009",9.9 / 27,26.384,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.8 / 23
8,10,"Hollywood Round, Part 3","February 10, 2009",9.2,24.941,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.9 / 21
8,11,"Hollywood Round, Part 4","February 11, 2009",9.5,24.825,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.0 / 22
8,12,Group 1 Semi-finalists Perform,"February 17, 2009",9.6,25.374,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.3 / 21
8,13,Group 1 Results Show,"February 18, 2009",9.0 / 24,24.79,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,14.1 / 22
8,14,Group 2 Semi-finalists Perform,"February 25, 2009",9.1,24.541,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.8 / 21
8,15,Group 2 Results Show,"February 26, 2009",7.1 / 19,20.889,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,11.9 / 19
8,16,Group 3 Semi-finalists Perform,"March 3, 2009",9.0,24.309,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.8 / 21
8,17,Group 3 Results Show,"March 4, 2009",7.8 / 22,22.776,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.1 / 21
8,18,Wild Card Round,"March 5, 2009",7.6 / 20,21.498,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12.2 / 19
8,19,Top 13 Perform,"March 10, 2009",9.5,25.767,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.6 / 23
8,20,Top 13 Results,"March 11, 2009",9.1 / 22,25.547,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.6 / 22
8,21,Top 11 Perform,"March 17, 2009",8.1 / 21,21.886,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,12.3 / 19
8,22,Top 11 Results,"March 18, 2009",8.7,23.705,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.7 / 21
8,23,Top 10 Perform,"March 25, 2009",9.3,26.025,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.7 / 23
8,24,Top 10 Results,"March 26, 2009",7.7,23.102,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.2 / 21
8,25,Top 9 Perform,"March 31, 2009",8.9,24.41,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.7 / 21
8,26,Top 9 Results,"April 1, 2009",8.4 / 20,24.342,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.2 / 22
8,27,Top 8 Perform,"April 7, 2009",8.1 / 22,22.813,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.1 / 21
8,28,Top 8 Results,"April 8, 2009",8.0 / 20,22.976,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.4 / 21
8,29,Top 7 Perform,"April 14, 2009",8.2 / 23,24.378,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.8 / 21
8,30,Top 7 Results,"April 15, 2009",8.0 / 20,24.114,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.0 / 22
8,31,Top 7 Redux,"April 21, 2009",8.2,23.963,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.9 / 22
8,32,Top 7 Redux Results,"April 22, 2009",8.3,23.947,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14.0 / 22
8,33,Top 5 Perform,"April 28, 2009",8.1,23.261,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.5 / 21
8,34,Top 5 Results,"April 29, 2009",7.7 / 19,22.369,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.2 / 20
8,35,Top 4 Perform,"May 5, 2009",8.3,23.414,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13.4 / 21
8,36,Top 4 Results,"May 6, 2009",8.3 / 20,23.574,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.7 / 21
8,37,Top 3 Perform,"May 12, 2009",8.0,22.712,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.0 / 22
8,38,Top 3 Results,"May 13, 2009",8.7 / 21,24.67,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.0 / 21
8,39,Top 2 Perform,"May 19, 2009",8.6,23.822,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,13.5 / 21
8,40,Season 8 Finale,"May 20, 2009",10.0,28.838,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.1 / 27
9,1,Boston Auditions,"January 12, 2010",11.8/29,29.936,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,16.4
9,2,Atlanta Auditions,"January 13, 2010",10.1/27,26.393,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,14.9
9,3,Chicago Auditions,"January 19, 2010",10.1/27,26.384,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,14.3
9,4,Orlando Auditions,"January 20, 2010",9.9/27,26.854,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,14.6
9,5,Los Angeles Auditions,"January 26, 2010",9.0/24,24.452,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,13.5
9,6,Dallas Auditions,"January 27, 2010",9.5/24,25.71,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,13.4
9,7,Denver Auditions,"February 2, 2010",9.0/23,24.705,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,13.4
9,8,Best of the Rest,"February 3, 2010",7.8/21,20.999,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,11.9
9,9,"Hollywood Round, Part 1","February 9, 2010",10.1/26,27.892,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,15.1
9,10,"Hollywood Round, Part 2","February 10, 2010",9.5/23,25.172,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,13.6
9,11,"Hollywood Round, Part 3","February 16, 2010",9.2/22,23.922,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,13.1
9,12,"Hollywood Round, Part 4","February 17, 2010",7.0/17,18.629,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,10.6
9,13,Top 12 Female Semifinalists Perform,"February 23, 2010",9.0/22,24.213,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,13.4
9,14,Top 12 Male Semifinalists Perform,"February 24, 2010",8.7/22,22.959,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,12.9
9,15,First Results Show,"February 25, 2010",6.5/17,18.033,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,10.3
9,16,Top 10 Male Semifinalists Perform,"March 2, 2010",8.6/22,23.526,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,13.1
9,17,Top 10 Female Semifinalists Perform,"March 3, 2010",8.5,23.56,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,13.4
9,18,Second Results Show,"March 4, 2010",6.5,19.424,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.2
9,19,Top 8 Female Semifinalists Perform,"March 9, 2010",8.2,22.752,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,12.8
9,20,Top 8 Male Semifinalists Perform,"March 10, 2010",7.5/20,20.701,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.9
9,21,Third Results Show/Top 12 Revealed,"March 11, 2010",6.3,19.339,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.2
9,22,Top 12 Finalists Perform,"March 16, 2010",8.1/23,22.913,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,13
9,23,Top 12 Results Show,"March 17, 2010",6.8/20,20.51,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,11.8
9,24,Top 11 Finalists Perform,"March 23, 2010",8.4/23,24.211,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,13.5
9,25,Top 11 Results Show,"March 24, 2010",7.2/20,21.437,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,12.2
9,26,Top 10 Finalists Perform,"March 30, 2010",7.7/21,21.845,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,12.4
9,27,Top 10 Results Show,"March 31, 2010",6.7/19,20.492,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,11.7
9,28,Top 9 Finalists Perform,"April 6, 2010",7.3/20,20.836,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,11.9
9,29,Top 9 Results Show,"April 7, 2010",6.7/18,20.168,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.6
9,30,Top 9 Finalists Perform Again,"April 13, 2010",7.3/21,20.639,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,11.8
9,31,Double Elimination Top 9 Results Show,"April 14, 2010",6.8/19,21.018,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,12.1
9,32,Top 7 Finalists Perform,"April 20, 2010",6.9/20,19.669,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11
9,33,Top 7 Results Show/Idol Gives Back,"April 21, 2010",5.9/17,18.824,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,10.6
9,34,Top 6 Finalists Perform,"April 27, 2010",6.9/20,19.417,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,11
9,35,Top 6 Results Show,"April 28, 2010",6.7/18,20.057,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.5
9,36,Top 5 Finalists Perform,"May 4, 2010",6.2/18,17.498,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,10.1
9,37,Top 5 Results Show,"May 5, 2010",6.5/18,19.58,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.3
9,38,Top 4 Finalists Perform,"May 11, 2010",6.8/18,19.167,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,10.7
9,39,Top 4 Results Show,"May 12, 2010",6.6/17,19.569,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.2
9,40,Top 3 Finalists Perform,"May 18, 2010",6.7/18,18.684,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,10.5
9,41,Top 3 Results Show,"May 19, 2010",6.1/16,19.003,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.1
9,42,Top 2 Finalists Perform,"May 25, 2010",6.7/19,20.072,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,11.2
9,43,Winner Revealed,"May 26, 2010",8.2/24,24.215,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,13.5
10,1,East Rutherford Auditions,"January 19, 2011",9.7 / 26,26.23,NA,NA,NA,NA,NA,3,NA,NA,NA,14.2 / 22,NA
10,2,New Orleans Auditions,"January 20, 2011",7.8 / 21,22.9,NA,NA,NA,NA,NA,4,NA,NA,NA,12.5 / 20,NA
10,3,Milwaukee Auditions,"January 26, 2011",9.2 / 24,25.33,NA,NA,NA,NA,NA,1,NA,NA,NA,13.8 / 22,NA
10,4,Nashville Auditions,"January 27, 2011",7.7 / 21,22.48,NA,NA,NA,NA,NA,2,NA,NA,NA,12.4 / 20,NA
10,5,Austin Auditions,"February 2, 2011",9.0 / 24,25.14,NA,NA,NA,NA,NA,4,NA,NA,NA,13.4 / 21,NA
10,6,Los Angeles Auditions,"February 3, 2011",7.5 / 20,21.89,NA,NA,NA,NA,NA,6,NA,NA,NA,11.9 / 19,NA
10,7,San Francisco Auditions,"February 9, 2011",8.4 / 23,24.05,NA,NA,NA,NA,NA,2,NA,NA,NA,13.0 / 21,NA
10,8,"Hollywood Round, Part 1","February 10, 2011",7.3 / 20,21.94,NA,NA,NA,NA,NA,3,NA,NA,NA,12.0 / 19,NA
10,9,"Hollywood Round, Part 2","February 16, 2011",8.2 / 23,23.2,NA,NA,NA,NA,NA,1,NA,NA,NA,12.7 / 20,NA
10,10,"Hollywood Round, Part 3","February 17, 2011",7.6 / 22,22.18,NA,NA,NA,NA,NA,2,NA,NA,NA,12.0 / 20,NA
10,11,"Las Vegas Round/Top 24 Chosen, Part 1","February 23, 2011",7.9 / 21,22.72,NA,NA,NA,NA,NA,3,NA,NA,NA,12.5 / 20,NA
10,12,"Top 24 Chosen, Part 2","February 24, 2011",7.2 / 20,21.76,NA,NA,NA,NA,NA,4,NA,NA,NA,11.9 / 19,NA
10,13,Top 12 Males Perform,"March 1, 2011",7.6 / 21,21.39,NA,NA,NA,NA,NA,3,NA,NA,NA,11.7 / 18,NA
10,14,Top 12 Females Perform,"March 2, 2011",7.8 / 22,22.77,NA,NA,NA,NA,NA,2,NA,NA,NA,12.7 / 20,NA
10,15,Top 10 Finalists + 3 WCs Revealed,"March 3, 2011",8.2 / 24,25.26,NA,NA,NA,NA,NA,1,NA,NA,NA,13.8 / 23,NA
10,16,Top 13 Finalists Perform,"March 9, 2011",8.1 / 23,24.4,NA,NA,NA,NA,NA,1,NA,NA,NA,13.5 / 22,NA
10,17,Top 13 Results Show,"March 10, 2011",6.7 / 19,22.05,NA,NA,NA,NA,NA,2,NA,NA,NA,12.6 / 20,NA
10,18,Top 12 Finalists Perform,"March 16, 2011",7.6 / 22,22.58,NA,NA,NA,NA,NA,1,NA,NA,NA,12.9 / 21,NA
10,19,Top 12 Results Show,"March 17, 2011",5.7 / 19,19.57,NA,NA,NA,NA,NA,2,NA,NA,NA,11.2 / 20,NA
10,20,Top 11 Finalists Perform,"March 23, 2011",7.9 / 22,23.95,NA,NA,NA,NA,NA,1,NA,NA,NA,13.5 / 22,NA
10,21,Top 11 Results Show,"March 24, 2011",6.4 / 20,21.3,NA,NA,NA,NA,NA,3,NA,NA,NA,12.1 / 20,NA
10,22,Top 11 Part 2 Finalists Perform,"March 30, 2011",7.7 / 21,24.18,NA,NA,NA,NA,NA,1,NA,NA,NA,13.6 / 21,NA
10,23,Top 11 Part 2 Results Show,"March 31, 2011",6.8 / 20,22.63,NA,NA,NA,NA,NA,3,NA,NA,NA,12.9 / 21,NA
10,24,Top 9 Finalists Perform,"April 6, 2011",7.3 / 21,23.13,NA,NA,NA,NA,NA,1,NA,NA,NA,13.2 / 21,NA
10,25,Top 9 Results Show,"April 7, 2011",6.4 / 20,21.54,NA,NA,NA,NA,NA,3,NA,NA,NA,12.3 / 20,NA
10,26,Top 8 Finalists Perform,"April 13, 2011",7.3 / 21,23.03,NA,NA,NA,NA,NA,1,NA,NA,NA,12.7 / 20,NA
10,27,Top 8 Results Show,"April 14, 2011",6.4 / 20,21.92,NA,NA,NA,NA,NA,2,NA,NA,NA,12.5 / 21,NA
10,28,Top 7 Finalists Perform,"April 20, 2011",7.1 / 20,22.54,NA,NA,NA,NA,NA,1,NA,NA,NA,12.7 / 20,NA
10,29,Top 7 Results Show,"April 21, 2011",5.8 / 19,20.32,NA,NA,NA,NA,NA,2,NA,NA,NA,11.5 / 20,NA
10,30,Top 6 Finalists Perform,"April 27, 2011",7.1 / 20,22.32,NA,NA,NA,NA,NA,2,NA,NA,NA,12.6 / 20,NA
10,31,Top 6 Results Show,"April 28, 2011",5.7 / 17,19.6,NA,NA,NA,NA,NA,3,NA,NA,NA,11.5 / 19,NA
10,32,Top 5 Finalists Perform,"May 4, 2011",6.6 / 19,21.14,NA,NA,NA,NA,NA,3,NA,NA,NA,12.2 / 19,NA
10,33,Top 5 Results Show,"May 5, 2011",6.3 / 20,21.29,NA,NA,NA,NA,NA,2,NA,NA,NA,12.2 / 21,NA
10,34,Top 4 Finalists Perform,"May 11, 2011",7.1 / 20,23.05,NA,NA,NA,NA,NA,1,NA,NA,NA,13.0 / 21,NA
10,35,Top 4 Results Show,"May 12, 2011",6.5 / 20,22.45,NA,NA,NA,NA,NA,2,NA,NA,NA,12.6 / 21,NA
10,36,Top 3 Finalists Perform,"May 18, 2011",7.4 / 20,23.56,NA,NA,NA,NA,NA,1,NA,NA,NA,13.3 / 21,NA
10,37,Top 3 Results Show,"May 19, 2011",6.3 / 20,21.76,NA,NA,NA,NA,NA,3,NA,NA,NA,12.5 / 21,NA
10,38,Top 2 Finalists Perform,"May 24, 2011",6.4 / 19,20.57,NA,NA,NA,NA,NA,4,NA,NA,NA,11.4 / 18,NA
10,39,Winner Revealed,"May 25, 2011",9.2 / 26,29.29,NA,NA,NA,NA,NA,1,NA,NA,NA,15.6 / 25,NA
11,1,Savannah Auditions,"January 18, 2012",7.4/19,21.93,NA,NA,NA,NA,NA,3,NA,19,NA,NA,12.3
11,2,Pittsburgh Auditions,"January 19, 2012",5.7/15,18.02,NA,NA,NA,NA,NA,4,NA,16,NA,NA,10.3
11,3,San Diego Auditionsa,"January 22, 2012",7.9/21,19.7,NA,NA,NA,NA,NA,N/Ab,NA,N/A,NA,NA,N/A
11,4,Aspen Auditions,"January 25, 2012",6.5/18,19.67,NA,NA,NA,NA,NA,1,NA,17,NA,NA,11.1
11,5,Houston/Galveston Auditions,"January 26, 2012",5.5/16,17.14,NA,NA,NA,NA,NA,2,NA,16,NA,NA,10.0
11,6,Portland Auditions,"February 1, 2012",6.0/17,18.48,NA,NA,NA,NA,NA,4,NA,17,NA,NA,10.6
11,7,St. Louis Auditions,"February 2, 2012",5.5/15,17.41,NA,NA,NA,NA,NA,5,NA,16,NA,NA,10.2
