response_id,pair_id,term1,term2,selected
4771,5,Chances are Slight,Little Chance,Chances are Slight
4771,6,Remote Chance,May Happen,May Happen
4771,7,Will Happen,Likely,Will Happen
4771,8,Highly Likely,About Even,Highly Likely
4771,9,Realistic Possibility,Improbable,Realistic Possibility
4771,10,Almost Certain,Very Good Chance,Almost Certain
4770,1,Almost No Chance,Very Good Chance,Very Good Chance
4770,2,Chances are Slight,Remote Chance,Chances are Slight
4770,3,Improbable,Likely,Likely
4770,4,Realistic Possibility,Almost Certain,Almost Certain
4770,5,Probable,Little Chance,Probable
4770,6,Could Happen,Might Happen,Could Happen
4770,7,May Happen,Highly Likely,Highly Likely
4770,8,Highly Unlikely,Unlikely,Unlikely
4770,9,About Even,Better than Even,Better than Even
4770,10,Very Good Chance,Almost No Chance,Very Good Chance
4769,1,Little Chance,Chances are Slight,Little Chance
4769,2,Better than Even,Almost Certain,Better than Even
4769,3,Will Happen,Could Happen,Will Happen
4769,4,Highly Likely,Improbable,Highly Likely
4769,5,Remote Chance,Might Happen,Might Happen
4769,6,Probable,Realistic Possibility,Probable
4769,7,Highly Unlikely,Almost No Chance,Highly Unlikely
4769,8,Very Good Chance,About Even,Very Good Chance
4769,9,Unlikely,Likely,Likely
4769,10,Chances are Slight,Little Chance,Little Chance
4768,1,Unlikely,Likely,Likely
4768,2,Highly Likely,Remote Chance,Highly Likely
4768,3,Highly Unlikely,May Happen,May Happen
4768,4,Probable,Little Chance,Probable
4768,5,Will Happen,Chances are Slight,Will Happen
4768,6,Improbable,About Even,About Even
4768,7,Might Happen,Realistic Possibility,Realistic Possibility
4768,8,Very Good Chance,Better than Even,Very Good Chance
4768,9,Could Happen,Almost Certain,Almost Certain
4768,10,Likely,Unlikely,Likely
4767,1,Very Good Chance,Will Happen,Will Happen
4767,2,Improbable,Chances are Slight,Improbable
4767,3,Better than Even,About Even,Better than Even
4767,4,Unlikely,Highly Unlikely,Highly Unlikely
4767,5,Almost Certain,Remote Chance,Almost Certain
4767,6,Could Happen,Probable,Probable
4767,7,Likely,Almost No Chance,Likely
4767,8,Highly Likely,Might Happen,Highly Likely
4767,9,May Happen,Realistic Possibility,Realistic Possibility
4767,10,Will Happen,Very Good Chance,Will Happen
4766,1,Realistic Possibility,Might Happen,Realistic Possibility
4766,2,Will Happen,Little Chance,Will Happen
4766,3,May Happen,Improbable,May Happen
4766,4,Highly Unlikely,Highly Likely,Highly Likely
4766,5,Unlikely,Chances are Slight,Chances are Slight
4766,6,About Even,Probable,Probable
4766,7,Almost Certain,Almost No Chance,Almost Certain
4766,8,Very Good Chance,Remote Chance,Very Good Chance
4766,9,Could Happen,Better than Even,Better than Even
4766,10,Might Happen,Realistic Possibility,Realistic Possibility
4765,1,Probable,Highly Likely,Highly Likely
4765,2,Will Happen,Might Happen,Will Happen
4765,3,May Happen,Chances are Slight,May Happen
4765,4,Better than Even,Almost No Chance,Better than Even
4765,5,Remote Chance,Could Happen,Could Happen
4765,6,Realistic Possibility,Unlikely,Realistic Possibility
4765,7,Highly Unlikely,About Even,About Even
4765,8,Almost Certain,Likely,Almost Certain
4765,9,Improbable,Little Chance,Improbable
4765,10,Highly Likely,Probable,Highly Likely
4764,1,Almost No Chance,Very Good Chance,Very Good Chance
4764,2,Little Chance,Probable,Probable
4764,3,Highly Likely,May Happen,Highly Likely
4764,4,Remote Chance,Chances are Slight,Chances are Slight
4764,5,Realistic Possibility,Improbable,Realistic Possibility
4764,6,About Even,Unlikely,About Even
4764,7,Will Happen,Highly Unlikely,Will Happen
4764,8,Almost Certain,Likely,Almost Certain
4764,9,Might Happen,Could Happen,Might Happen
4764,10,Very Good Chance,Almost No Chance,Very Good Chance
4763,1,Remote Chance,Improbable,Improbable
4763,2,Chances are Slight,May Happen,May Happen
4763,3,Could Happen,Likely,Likely
4763,4,Highly Likely,Probable,Highly Likely
4763,5,Almost No Chance,Realistic Possibility,Realistic Possibility
4763,6,About Even,Little Chance,About Even
4763,7,Better than Even,Might Happen,Better than Even
4763,8,Almost Certain,Unlikely,Almost Certain
4763,9,Very Good Chance,Will Happen,Will Happen
4763,10,Improbable,Remote Chance,Improbable
4762,1,Remote Chance,Highly Likely,Highly Likely
4762,2,Better than Even,May Happen,Better than Even
4762,3,Improbable,Almost No Chance,Improbable
4762,4,Will Happen,Probable,Will Happen
4762,5,Chances are Slight,Might Happen,Might Happen
4762,6,Very Good Chance,Highly Unlikely,Very Good Chance
4762,7,Little Chance,Likely,Likely
4762,8,Unlikely,Almost Certain,Almost Certain
4762,9,Realistic Possibility,Could Happen,Could Happen
4762,10,Highly Likely,Remote Chance,Highly Likely
4761,1,Likely,About Even,Likely
4761,2,Almost Certain,Better than Even,Almost Certain
4761,3,Will Happen,Almost No Chance,Will Happen
4761,4,Might Happen,Chances are Slight,Might Happen
4761,5,Improbable,Remote Chance,Improbable
4761,6,Probable,Little Chance,Probable
4761,7,May Happen,Highly Unlikely,May Happen
4761,8,Unlikely,Very Good Chance,Very Good Chance
4761,9,Highly Likely,Could Happen,Highly Likely
4761,10,About Even,Likely,Likely
4760,1,Almost No Chance,Will Happen,Will Happen
4760,2,Unlikely,Likely,Likely
4760,3,Highly Likely,Very Good Chance,Highly Likely
4760,4,Improbable,About Even,About Even
4760,5,May Happen,Chances are Slight,May Happen
4760,6,Better than Even,Almost Certain,Almost Certain
4760,7,Little Chance,Might Happen,Might Happen
4760,8,Remote Chance,Could Happen,Could Happen
4760,9,Realistic Possibility,Highly Unlikely,Realistic Possibility
4760,10,Will Happen,Almost No Chance,Will Happen
4759,1,Highly Likely,Remote Chance,Highly Likely
4759,2,Very Good Chance,Better than Even,Very Good Chance
4759,3,Almost Certain,About Even,Almost Certain
4759,4,Might Happen,Chances are Slight,Might Happen
4759,5,Unlikely,Realistic Possibility,Realistic Possibility
4759,6,Highly Unlikely,Little Chance,Little Chance
4759,7,Probable,Likely,Probable
4759,8,Improbable,May Happen,May Happen
4759,9,Almost No Chance,Could Happen,Could Happen
4759,10,Remote Chance,Highly Likely,Highly Likely
4758,1,Probable,Almost No Chance,Probable
4758,2,Could Happen,Might Happen,Might Happen
4758,3,Unlikely,Highly Unlikely,Unlikely
4758,4,Will Happen,Better than Even,Will Happen
4758,5,Remote Chance,About Even,About Even
4758,6,Likely,Realistic Possibility,Likely
4758,7,Little Chance,Almost Certain,Almost Certain
4758,8,Improbable,Chances are Slight,Chances are Slight
4758,9,May Happen,Very Good Chance,Very Good Chance
4758,10,Almost No Chance,Probable,Probable
4757,1,Unlikely,Chances are Slight,Unlikely
4757,2,About Even,Little Chance,About Even
4757,3,May Happen,Improbable,May Happen
4757,4,Will Happen,Almost Certain,Almost Certain
4757,5,Remote Chance,Highly Unlikely,Remote Chance
4757,6,Very Good Chance,Might Happen,Very Good Chance
4757,7,Highly Likely,Realistic Possibility,Highly Likely
4757,8,Could Happen,Better than Even,Better than Even
4757,9,Likely,Almost No Chance,Likely
4757,10,Chances are Slight,Unlikely,Unlikely
4756,1,Better than Even,Almost Certain,Almost Certain
4756,2,Realistic Possibility,Could Happen,Realistic Possibility
4756,3,Highly Unlikely,Improbable,Improbable
4756,4,Will Happen,Unlikely,Will Happen
4756,5,Remote Chance,Likely,Likely
4756,6,Chances are Slight,Highly Likely,Highly Likely
4756,7,Probable,Might Happen,Probable
4756,8,May Happen,Little Chance,May Happen
4756,9,About Even,Almost No Chance,About Even
4756,10,Almost Certain,Better than Even,Almost Certain
4755,1,May Happen,Highly Unlikely,May Happen
4755,2,Little Chance,Better than Even,Little Chance
4755,3,Could Happen,About Even,About Even
4755,4,Might Happen,Almost Certain,Almost Certain
4755,5,Improbable,Almost No Chance,Improbable
4755,6,Remote Chance,Will Happen,Will Happen
4755,7,Likely,Probable,Probable
4755,8,Chances are Slight,Highly Likely,Highly Likely
4755,9,Very Good Chance,Unlikely,Very Good Chance
4755,10,Highly Unlikely,May Happen,May Happen
4754,1,Chances are Slight,Remote Chance,Chances are Slight
4754,2,May Happen,Unlikely,May Happen
4754,3,Might Happen,Better than Even,Better than Even
4754,4,Almost Certain,Improbable,Almost Certain
4754,5,Almost No Chance,Highly Likely,Highly Likely
4754,6,Will Happen,Could Happen,Will Happen
4754,7,Very Good Chance,Little Chance,Very Good Chance
4754,8,Realistic Possibility,Probable,Probable
4754,9,Highly Unlikely,About Even,About Even
4754,10,Remote Chance,Chances are Slight,Chances are Slight
4753,1,Likely,Will Happen,Will Happen
4753,2,Almost No Chance,Probable,Probable
4753,3,May Happen,Remote Chance,May Happen
4753,4,Could Happen,Highly Unlikely,Could Happen
4753,5,Realistic Possibility,Almost Certain,Almost Certain
4753,6,About Even,Better than Even,Better than Even
4753,7,Highly Likely,Unlikely,Highly Likely
4753,8,Very Good Chance,Chances are Slight,Very Good Chance
4753,9,Improbable,Might Happen,Might Happen
4753,10,Will Happen,Likely,Will Happen
4752,1,Unlikely,Very Good Chance,Very Good Chance
4752,2,Almost Certain,Could Happen,Almost Certain
4752,3,Remote Chance,Highly Unlikely,Remote Chance
4752,4,Probable,Highly Likely,Highly Likely
4752,5,Little Chance,Likely,Likely
4752,6,Realistic Possibility,Will Happen,Will Happen
4752,7,Might Happen,About Even,Might Happen
4752,8,Chances are Slight,Almost No Chance,Chances are Slight
4752,9,Improbable,Better than Even,Better than Even
4752,10,Very Good Chance,Unlikely,Very Good Chance
4751,1,Highly Unlikely,Unlikely,Unlikely
4751,2,Remote Chance,Might Happen,Might Happen
4751,3,Little Chance,Will Happen,Will Happen
4751,4,Could Happen,Probable,Probable
4751,5,Highly Likely,May Happen,Highly Likely
4751,6,Very Good Chance,Chances are Slight,Very Good Chance
4751,7,About Even,Better than Even,Better than Even
4751,8,Realistic Possibility,Improbable,Realistic Possibility
4751,9,Almost No Chance,Almost Certain,Almost Certain
4751,10,Unlikely,Highly Unlikely,Unlikely
4750,1,Improbable,About Even,About Even
4750,2,Almost No Chance,Unlikely,Unlikely
4750,3,Remote Chance,Better than Even,Better than Even
4750,4,Almost Certain,Could Happen,Almost Certain
4750,5,Very Good Chance,Might Happen,Very Good Chance
4750,6,Will Happen,Highly Unlikely,Will Happen
4750,7,Likely,Realistic Possibility,Likely
4750,8,Chances are Slight,Highly Likely,Highly Likely
4750,9,Little Chance,Probable,Probable
4750,10,About Even,Improbable,About Even
4749,1,Unlikely,Little Chance,Unlikely
4749,2,Highly Unlikely,Likely,Likely
4749,3,Might Happen,Very Good Chance,Very Good Chance
4749,4,Realistic Possibility,Will Happen,Will Happen
4749,5,Better than Even,May Happen,Better than Even
4749,6,Probable,Improbable,Probable
4749,7,Could Happen,About Even,About Even
4749,8,Remote Chance,Chances are Slight,Chances are Slight
4749,9,Almost No Chance,Almost Certain,Almost Certain
4749,10,Little Chance,Unlikely,Unlikely
4748,1,Unlikely,Probable,Probable
4748,2,Likely,Very Good Chance,Very Good Chance
4748,3,Could Happen,Improbable,Could Happen
4748,4,Almost Certain,Highly Unlikely,Almost Certain
4748,5,Chances are Slight,Will Happen,Will Happen
4748,6,Almost No Chance,About Even,About Even
4748,7,Realistic Possibility,Little Chance,Realistic Possibility
4748,8,May Happen,Highly Likely,Highly Likely
4748,9,Better than Even,Remote Chance,Better than Even
4748,10,Probable,Unlikely,Probable
4747,1,Very Good Chance,Will Happen,Will Happen
4747,2,Improbable,Chances are Slight,Improbable
4747,3,Better than Even,About Even,Better than Even
4747,4,Unlikely,Highly Unlikely,Unlikely
4747,5,Almost Certain,Remote Chance,Almost Certain
4747,6,Could Happen,Probable,Probable
4747,7,Likely,Almost No Chance,Likely
4747,8,Highly Likely,Might Happen,Highly Likely
4747,9,May Happen,Realistic Possibility,Realistic Possibility
4747,10,Will Happen,Very Good Chance,Will Happen
4746,1,Better than Even,Almost Certain,Almost Certain
4746,2,Realistic Possibility,Could Happen,Realistic Possibility
4746,3,Highly Unlikely,Improbable,Highly Unlikely
4746,4,Will Happen,Unlikely,Will Happen
4746,5,Remote Chance,Likely,Likely
4746,6,Chances are Slight,Highly Likely,Highly Likely
4746,7,Probable,Might Happen,Probable
4746,8,May Happen,Little Chance,May Happen
4746,9,About Even,Almost No Chance,Almost No Chance
4746,10,Almost Certain,Better than Even,Almost Certain
4745,1,Unlikely,About Even,About Even
4745,2,Could Happen,Very Good Chance,Very Good Chance
4745,3,Improbable,Better than Even,Better than Even
4745,4,Probable,Highly Unlikely,Probable
4745,5,Remote Chance,Realistic Possibility,Realistic Possibility
4745,6,Likely,Almost Certain,Almost Certain
4745,7,Chances are Slight,May Happen,May Happen
4745,8,Will Happen,Might Happen,Will Happen
4745,9,Highly Likely,Almost No Chance,Highly Likely
4745,10,About Even,Unlikely,About Even
4744,1,Could Happen,Improbable,Could Happen
4744,2,Chances are Slight,Unlikely,Chances are Slight
4744,3,Highly Unlikely,Very Good Chance,Very Good Chance
4744,4,Will Happen,Almost Certain,Will Happen
4744,5,Highly Likely,Little Chance,Highly Likely
4744,6,Likely,About Even,Likely
4744,7,Almost No Chance,May Happen,May Happen
4744,8,Realistic Possibility,Might Happen,Realistic Possibility
4744,9,Better than Even,Remote Chance,Better than Even
4744,10,Improbable,Could Happen,Could Happen
4743,1,About Even,Might Happen,About Even
4743,2,Improbable,Better than Even,Better than Even
4743,3,Highly Likely,Likely,Highly Likely
4743,4,Could Happen,Very Good Chance,Very Good Chance
4743,5,Will Happen,Highly Unlikely,Will Happen
4743,6,Almost No Chance,Remote Chance,Remote Chance
4743,7,Little Chance,Probable,Probable
4743,8,Unlikely,Chances are Slight,Chances are Slight
4743,9,Realistic Possibility,Almost Certain,Almost Certain
4743,10,Might Happen,About Even,About Even
4742,1,Almost No Chance,Will Happen,Will Happen
4742,2,Unlikely,Likely,Likely
4742,3,Highly Likely,Very Good Chance,Highly Likely
4742,4,Improbable,About Even,About Even
4742,5,May Happen,Chances are Slight,May Happen
4742,6,Better than Even,Almost Certain,Almost Certain
4742,7,Little Chance,Might Happen,Might Happen
4742,8,Remote Chance,Could Happen,Could Happen
4742,9,Realistic Possibility,Highly Unlikely,Realistic Possibility
4742,10,Will Happen,Almost No Chance,Will Happen
4741,1,Very Good Chance,Almost No Chance,Very Good Chance
4741,2,Almost Certain,About Even,Almost Certain
4741,3,May Happen,Unlikely,May Happen
4741,4,Remote Chance,Highly Unlikely,Remote Chance
4741,5,Better than Even,Highly Likely,Highly Likely
4741,6,Chances are Slight,Might Happen,Might Happen
4741,7,Will Happen,Likely,Will Happen
4741,8,Probable,Realistic Possibility,Realistic Possibility
4741,9,Little Chance,Could Happen,Could Happen
4741,10,Almost No Chance,Very Good Chance,Very Good Chance
4740,1,Almost No Chance,Improbable,Improbable
4740,2,Could Happen,Might Happen,Could Happen
4740,3,Realistic Possibility,Remote Chance,Realistic Possibility
4740,4,Highly Unlikely,Will Happen,Will Happen
4740,5,Almost Certain,About Even,Almost Certain
4740,6,Little Chance,Probable,Probable
4740,7,Highly Likely,Very Good Chance,Highly Likely
4740,8,Better than Even,Chances are Slight,Better than Even
4740,9,Likely,May Happen,Likely
4740,10,Improbable,Almost No Chance,Improbable
4739,1,Could Happen,Highly Unlikely,Could Happen
4739,2,Might Happen,Unlikely,Might Happen
4739,3,Improbable,Likely,Likely
4739,4,Will Happen,Better than Even,Will Happen
4739,5,Probable,Very Good Chance,Very Good Chance
4739,6,About Even,Almost No Chance,About Even
4739,7,Realistic Possibility,Remote Chance,Realistic Possibility
4739,8,Highly Likely,Little Chance,Highly Likely
4739,9,May Happen,Chances are Slight,May Happen
4739,10,Highly Unlikely,Could Happen,Could Happen
4738,1,Might Happen,About Even,Might Happen
4738,2,Better than Even,Remote Chance,Better than Even
4738,3,May Happen,Will Happen,Will Happen
4738,4,Highly Unlikely,Almost Certain,Almost Certain
4738,5,Highly Likely,Likely,Highly Likely
4738,6,Almost No Chance,Could Happen,Could Happen
4738,7,Chances are Slight,Probable,Probable
4738,8,Little Chance,Unlikely,Unlikely
4738,9,Realistic Possibility,Very Good Chance,Very Good Chance
4738,10,About Even,Might Happen,Might Happen
4737,1,Realistic Possibility,Unlikely,Realistic Possibility
4737,2,Chances are Slight,Improbable,Chances are Slight
4737,3,Could Happen,Very Good Chance,Very Good Chance
4737,4,Remote Chance,Likely,Likely
4737,5,Better than Even,Almost No Chance,Better than Even
4737,6,Highly Unlikely,Probable,Probable
4737,7,May Happen,Highly Likely,Highly Likely
4737,8,Might Happen,Little Chance,Might Happen
4737,9,Will Happen,Almost Certain,Will Happen
4737,10,Unlikely,Realistic Possibility,Realistic Possibility
4736,1,Remote Chance,Likely,Likely
4736,2,Will Happen,Highly Likely,Will Happen
4736,3,Very Good Chance,Realistic Possibility,Realistic Possibility
4736,4,Unlikely,May Happen,May Happen
4736,5,About Even,Almost Certain,Almost Certain
4736,6,Could Happen,Highly Unlikely,Could Happen
4736,7,Might Happen,Probable,Probable
4736,8,Almost No Chance,Chances are Slight,Chances are Slight
4736,9,Improbable,Little Chance,Improbable
4736,10,Likely,Remote Chance,Likely
4735,1,Almost Certain,Likely,Almost Certain
4735,2,Highly Unlikely,Highly Likely,Highly Likely
4735,3,Might Happen,Will Happen,Will Happen
4735,4,Unlikely,Little Chance,Unlikely
4735,5,Improbable,Realistic Possibility,Realistic Possibility
4735,6,Could Happen,Better than Even,Better than Even
4735,7,Remote Chance,Probable,Probable
4735,8,May Happen,Very Good Chance,Very Good Chance
4735,9,About Even,Chances are Slight,About Even
4735,10,Likely,Almost Certain,Almost Certain
4734,1,Very Good Chance,Almost No Chance,Very Good Chance
4734,2,Remote Chance,Almost Certain,Almost Certain
4734,3,Highly Unlikely,May Happen,May Happen
4734,4,Probable,Better than Even,Better than Even
4734,5,Likely,Unlikely,Likely
4734,6,Will Happen,Could Happen,Will Happen
4734,7,Little Chance,Highly Likely,Highly Likely
4734,8,Improbable,Chances are Slight,Chances are Slight
4734,9,Realistic Possibility,Might Happen,Realistic Possibility
4734,10,Almost No Chance,Very Good Chance,Very Good Chance
4733,1,Better than Even,About Even,Better than Even
4733,2,Unlikely,Almost Certain,Almost Certain
4733,3,May Happen,Probable,Probable
4733,4,Little Chance,Highly Likely,Highly Likely
4733,5,Highly Unlikely,Almost No Chance,Highly Unlikely
4733,6,Realistic Possibility,Remote Chance,Realistic Possibility
4733,7,Might Happen,Chances are Slight,Might Happen
4733,8,Very Good Chance,Could Happen,Very Good Chance
4733,9,Improbable,Will Happen,Will Happen
4733,10,About Even,Better than Even,Better than Even
4732,1,Might Happen,Little Chance,Might Happen
4732,2,Could Happen,Better than Even,Better than Even
4732,3,Realistic Possibility,Probable,Probable
4732,4,Improbable,Very Good Chance,Very Good Chance
4732,5,Will Happen,Highly Likely,Will Happen
4732,6,Remote Chance,Likely,Likely
4732,7,May Happen,Unlikely,May Happen
4732,8,About Even,Almost Certain,Almost Certain
4732,9,Almost No Chance,Chances are Slight,Chances are Slight
4732,10,Little Chance,Might Happen,Might Happen
4731,1,Little Chance,Realistic Possibility,Realistic Possibility
4731,2,Will Happen,About Even,Will Happen
4731,3,Almost Certain,Chances are Slight,Almost Certain
4731,4,Might Happen,Highly Likely,Highly Likely
4731,5,Better than Even,Remote Chance,Better than Even
4731,6,Unlikely,Improbable,Unlikely
4731,7,Likely,Almost No Chance,Likely
4731,8,Probable,May Happen,Probable
4731,9,Very Good Chance,Highly Unlikely,Very Good Chance
4731,10,Realistic Possibility,Little Chance,Realistic Possibility
4730,1,Could Happen,Very Good Chance,Very Good Chance
4730,2,May Happen,Little Chance,May Happen
4730,3,Realistic Possibility,Will Happen,Will Happen
4730,4,About Even,Almost Certain,Almost Certain
4730,5,Highly Unlikely,Chances are Slight,Chances are Slight
4730,6,Probable,Likely,Likely
4730,7,Highly Likely,Remote Chance,Highly Likely
4730,8,Might Happen,Unlikely,Might Happen
4730,9,Almost No Chance,Better than Even,Better than Even
4730,10,Very Good Chance,Could Happen,Very Good Chance
4729,1,Almost Certain,Realistic Possibility,Almost Certain
4729,2,About Even,Unlikely,About Even
4729,3,Likely,Highly Likely,Highly Likely
4729,4,Improbable,Highly Unlikely,Improbable
4729,5,Better than Even,Remote Chance,Better than Even
4729,6,Almost No Chance,Might Happen,Might Happen
4729,7,Probable,Little Chance,Probable
4729,8,Very Good Chance,May Happen,Very Good Chance
4729,9,Could Happen,Will Happen,Will Happen
4729,10,Realistic Possibility,Almost Certain,Almost Certain
4728,1,Could Happen,Improbable,Could Happen
4728,2,Chances are Slight,Unlikely,Unlikely
4728,3,Highly Unlikely,Very Good Chance,Very Good Chance
4728,4,Will Happen,Almost Certain,Will Happen
4728,5,Highly Likely,Little Chance,Highly Likely
4728,6,Likely,About Even,Likely
4728,7,Almost No Chance,May Happen,May Happen
4728,8,Realistic Possibility,Might Happen,Realistic Possibility
4728,9,Better than Even,Remote Chance,Better than Even
4728,10,Improbable,Could Happen,Could Happen
4727,1,May Happen,Better than Even,Better than Even
4727,2,Highly Unlikely,Chances are Slight,Chances are Slight
4727,3,Almost No Chance,Probable,Probable
4727,4,Little Chance,Realistic Possibility,Realistic Possibility
4727,5,Will Happen,Unlikely,Will Happen
4727,6,Remote Chance,Improbable,Improbable
4727,7,About Even,Might Happen,About Even
4727,8,Almost Certain,Very Good Chance,Almost Certain
4727,9,Likely,Highly Likely,Highly Likely
4727,10,Better than Even,May Happen,Better than Even
4726,1,May Happen,Will Happen,Will Happen
4726,2,Probable,Highly Unlikely,Probable
4726,3,Highly Likely,Unlikely,Highly Likely
4726,4,Very Good Chance,Might Happen,Very Good Chance
4726,5,Improbable,Almost Certain,Almost Certain
4726,6,Better than Even,Could Happen,Better than Even
4726,7,Little Chance,Remote Chance,Remote Chance
4726,8,Almost No Chance,About Even,About Even
4726,9,Likely,Realistic Possibility,Likely
4726,10,Will Happen,May Happen,Will Happen
4725,1,Realistic Possibility,Almost No Chance,Realistic Possibility
4725,2,Might Happen,Almost Certain,Almost Certain
4725,3,Probable,Better than Even,Probable
4725,4,Very Good Chance,Highly Unlikely,Very Good Chance
4725,5,Improbable,Chances are Slight,Chances are Slight
4725,6,Unlikely,May Happen,May Happen
4725,7,Little Chance,Highly Likely,Highly Likely
4725,8,About Even,Could Happen,About Even
4725,9,Remote Chance,Will Happen,Will Happen
4725,10,Almost No Chance,Realistic Possibility,Realistic Possibility
4724,1,Likely,Better than Even,Likely
4724,2,Chances are Slight,Almost No Chance,Chances are Slight
4724,3,Unlikely,Remote Chance,Unlikely
4724,4,Highly Likely,Very Good Chance,Highly Likely
4724,5,Little Chance,Almost Certain,Almost Certain
4724,6,Might Happen,Highly Unlikely,Might Happen
4724,7,Realistic Possibility,Will Happen,Will Happen
4724,8,May Happen,Probable,Probable
4724,9,About Even,Improbable,About Even
4724,10,Better than Even,Likely,Likely
4723,1,Improbable,Probable,Probable
4723,2,Realistic Possibility,Might Happen,Realistic Possibility
4723,3,Better than Even,Very Good Chance,Very Good Chance
4723,4,May Happen,Almost Certain,Almost Certain
4723,5,Could Happen,Unlikely,Could Happen
4723,6,Remote Chance,Little Chance,Little Chance
4723,7,Almost No Chance,Chances are Slight,Chances are Slight
4723,8,About Even,Will Happen,Will Happen
4723,9,Highly Likely,Likely,Highly Likely
4723,10,Probable,Improbable,Probable
4722,1,About Even,Realistic Possibility,Realistic Possibility
4722,2,Chances are Slight,Very Good Chance,Very Good Chance
4722,3,May Happen,Highly Likely,Highly Likely
4722,4,Almost Certain,Unlikely,Almost Certain
4722,5,Might Happen,Remote Chance,Might Happen
4722,6,Likely,Improbable,Likely
4722,7,Little Chance,Probable,Probable
4722,8,Almost No Chance,Will Happen,Will Happen
4722,9,Could Happen,Better than Even,Better than Even
4722,10,Realistic Possibility,About Even,Realistic Possibility
4721,1,Highly Likely,Very Good Chance,Highly Likely
4721,2,Improbable,Highly Unlikely,Highly Unlikely
4721,3,Unlikely,Almost No Chance,Almost No Chance
4721,4,About Even,Better than Even,Better than Even
4721,5,Little Chance,Remote Chance,Little Chance
4721,6,Likely,Chances are Slight,Likely
4721,7,May Happen,Realistic Possibility,Realistic Possibility
4721,8,Almost Certain,Might Happen,Almost Certain
4721,9,Will Happen,Could Happen,Will Happen
4721,10,Very Good Chance,Highly Likely,Highly Likely
4720,1,About Even,Realistic Possibility,About Even
4720,2,Chances are Slight,Very Good Chance,Very Good Chance
4720,3,May Happen,Highly Likely,Highly Likely
4720,4,Almost Certain,Unlikely,Almost Certain
4720,5,Might Happen,Remote Chance,Might Happen
4720,6,Likely,Improbable,Likely
4720,7,Little Chance,Probable,Probable
4720,8,Almost No Chance,Will Happen,Will Happen
4720,9,Could Happen,Better than Even,Better than Even
4720,10,Realistic Possibility,About Even,About Even
4719,1,Almost Certain,Might Happen,Almost Certain
4719,2,Realistic Possibility,Very Good Chance,Very Good Chance
4719,3,About Even,Highly Likely,Highly Likely
4719,4,Little Chance,Highly Unlikely,Highly Unlikely
4719,5,Will Happen,May Happen,Will Happen
4719,6,Unlikely,Almost No Chance,Unlikely
4719,7,Could Happen,Likely,Likely
4719,8,Chances are Slight,Probable,Probable
4719,9,Better than Even,Remote Chance,Better than Even
4719,10,Might Happen,Almost Certain,Almost Certain
4718,1,About Even,Almost No Chance,About Even
4718,2,Almost Certain,Might Happen,Almost Certain
4718,3,Very Good Chance,Realistic Possibility,Very Good Chance
4718,4,Highly Unlikely,Chances are Slight,Chances are Slight
4718,5,Highly Likely,Likely,Highly Likely
4718,6,Could Happen,Probable,Probable
4718,7,May Happen,Improbable,May Happen
4718,8,Will Happen,Remote Chance,Will Happen
4718,9,Better than Even,Unlikely,Better than Even
4718,10,Almost No Chance,About Even,About Even
4717,1,About Even,Might Happen,Might Happen
4717,2,May Happen,Remote Chance,May Happen
4717,3,Better than Even,Highly Unlikely,Better than Even
4717,4,Highly Likely,Realistic Possibility,Highly Likely
4717,5,Will Happen,Little Chance,Will Happen
4717,6,Could Happen,Very Good Chance,Very Good Chance
4717,7,Likely,Unlikely,Likely
4717,8,Almost Certain,Chances are Slight,Almost Certain
4717,9,Almost No Chance,Improbable,Improbable
4717,10,Might Happen,About Even,Might Happen
4716,1,Might Happen,Will Happen,Will Happen
4716,2,Likely,Improbable,Likely
4716,3,Highly Unlikely,May Happen,May Happen
4716,4,Almost Certain,Almost No Chance,Almost Certain
4716,5,Chances are Slight,Remote Chance,Chances are Slight
4716,6,Better than Even,Probable,Probable
4716,7,Highly Likely,Realistic Possibility,Highly Likely
4716,8,Very Good Chance,About Even,Very Good Chance
4716,9,Unlikely,Could Happen,Could Happen
4716,10,Will Happen,Might Happen,Will Happen
4715,1,Little Chance,Might Happen,Might Happen
4715,2,Remote Chance,Almost Certain,Almost Certain
4715,3,Very Good Chance,Chances are Slight,Very Good Chance
4715,4,Unlikely,Highly Likely,Highly Likely
4715,5,Likely,Will Happen,Will Happen
4715,6,Realistic Possibility,About Even,About Even
4715,7,Highly Unlikely,Probable,Probable
4715,8,May Happen,Almost No Chance,May Happen
4715,9,Improbable,Could Happen,Could Happen
4715,10,Might Happen,Little Chance,Might Happen
4714,1,Highly Likely,About Even,Highly Likely
4714,2,Better than Even,Probable,Better than Even
4714,3,Very Good Chance,Remote Chance,Very Good Chance
4714,4,Realistic Possibility,Highly Unlikely,Realistic Possibility
4714,5,Likely,Will Happen,Will Happen
4714,6,Might Happen,May Happen,May Happen
4714,7,Could Happen,Almost No Chance,Could Happen
4714,8,Chances are Slight,Improbable,Chances are Slight
4714,9,Unlikely,Almost Certain,Almost Certain
4714,10,About Even,Highly Likely,Highly Likely
4713,1,Improbable,Might Happen,Might Happen
4713,2,May Happen,Unlikely,May Happen
4713,3,About Even,Could Happen,About Even
4713,4,Likely,Remote Chance,Likely
4713,5,Realistic Possibility,Highly Unlikely,Realistic Possibility
4713,6,Probable,Almost No Chance,Probable
4713,7,Better than Even,Little Chance,Better than Even
