review_number,brand,variety,style,country,stars
2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5
2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75
2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5
2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5
2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75
2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25
2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5
2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5
2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5
2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,United States,3.25
2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,United States,3.75
2410,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,United States,3.75
2409,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,United States,3.5
2408,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,United States,3.75
2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5
2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25
2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4
2404,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5
2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,United States,4.75
2402,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75
2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5
2400,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5
2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1
2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4
2396,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25
2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25
2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75
2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3
2392,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5
2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5
2390,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75
2389,Gefen,Imitation Chicken Flavor,Cup,United States,4
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25
2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5
2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4
2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75
2384,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25
2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,United States,3.5
2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5
2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75
2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75
2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,United States,2.5
2378,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5
2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25
2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5
2374,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5
2373,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5
2372,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4
2371,Daikoku,Tanuki Soba,Cup,Japan,3.5
2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5
2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25
2368,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75
2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4
2366,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5
2365,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4
2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4
2362,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,3.75
2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5
2360,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,1.5
2359,Daikoku,Kitsune Udon,Cup,Japan,1.5
2358,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4
2357,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5
2356,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4
2355,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,3.5
2354,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5
2353,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,3.5
2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1.25
2351,1 To 3 Noodles,Chatpat Masala,Pack,India,4
2350,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4
2349,Fantastic,Noodles Chicken & Corn Flavour,Cup,Australia,2.75
2348,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,3.25
2347,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3
2346,Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,1
2345,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5
2344,Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,Mexico,3.5
2343,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,Mexico,3.75
2342,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,3.75
2341,Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,Mexico,3.5
2340,Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,Mexico,3.75
2339,Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,Mexico,3.25
2338,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,3.5
2337,Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,Mexico,2.75
2336,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,3.25
2335,Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,Mexico,5
2334,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,3.5
2333,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,Mexico,3.75
2332,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,3.75
2331,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,4
2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4
2329,Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,4.5
2328,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,2.75
2327,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,United States,3.5
2326,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,3.75
2325,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4
2324,Paldo,Bul Jjajangmyeon,Pack,South Korea,5
2323,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5
2322,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,2.5
2321,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4
2319,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5
2318,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,5
2317,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,3.5
2316,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,5
2315,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,United States,3
2314,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4
2313,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.5
2312,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5
2311,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.75
2310,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4
2309,Nissin,Cup Noodles Big Seafood Flavour,Cup,Hong Kong,3.5
2308,Fantastic,Noodles Chicken Chow Mein Flavour,Cup,Australia,3.5
2307,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,4
2306,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,4
2305,Ajinatori,Chicken Flavor Ramen,Pack,Japan,3.5
2304,Maggi,2 Minute Noodles Masala Spicy,Pack,India,5
2303,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3.25
2302,Nissin,Yakisoba,Tray,Japan,5
2301,Suimin,Noodle With Oriental Chicken Flavour,Cup,Australia,2.75
2300,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4
2299,Cintan,Mi Segera Mmm... Original,Pack,Malaysia,3
2298,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,United States,3.75
2297,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3.25
2296,Suimin,Noodles With Chicken Flavour,Cup,Australia,2.5
2295,Nissin,Cup Noodles Seafood,Cup,China,4
2294,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,3.5
2293,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,5
2292,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,4.5
2291,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,3.5
2290,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5
2289,Myojo,Shin Toyama Black Ramen,Bowl,Japan,3.75
2288,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,4
2287,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0
2286,Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,Hong Kong,4.25
2285,Fantastic,Noodles Beef Flavour,Cup,Australia,3
2284,Nissin,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,3.75
2283,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,4.5
2282,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,South Korea,5
2281,Nissin,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,Hong Kong,3.5
2280,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4
2279,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,4.5
2278,Nissin,Raoh Tantanmen,Pack,Japan,4.75
2277,Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,United States,2.75
2276,Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,United States,3
2275,JML,Hot & Sour Beef Noodles,Pack,China,3.75
2274,Suimin,Noodles With Braised Beef Flavour,Cup,Australia,3.5
2273,Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,Taiwan,4.25
2272,Nissin,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3.5
2271,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Pack,China,5
2270,Samyang Foods,Fresh Bibimmyun Fried Noodle,Pack,South Korea,3.75
2269,Wai Wai,Instant Noodles Veg Masala Flavour,Pack,India,3.5
2268,Nissin,Nupasta Neapolitan Flavour Instant Noodle,Pack,Hong Kong,4.5
2267,Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,United States,2
2266,Nissin,Disney Cuties Instant Noodle Crab Flavour,Cup,Thailand,3.5
2265,Nissin,Cup Noodles Rich Soft Shelled Turle Soup,Cup,Japan,2.75
2264,Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,Taiwan,0.5
2263,Sichuan Baijia,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,China,4.25
2262,Dream Kitchen,Curry Flavour Instant Noodles,Cup,United States,4.5
2261,Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,Japan,4
2260,Uni-President,Science Noodle (X'Mas Edition),Pack,Taiwan,5
2259,Farmer's Heart,Pho Beef Flavor Vietnamese Rice Noodle Soup,Bowl,United States,3.75
2258,Kamfen,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,Hong Kong,4.25
2257,Fuku,Tom Yam Soup Instant Noodle,Pack,Hong Kong,2.25
2256,Goku-Uma,Ramen Noodles Artificially Flavored Tonkotsu,Bowl,United States,3.25
2255,Daikoku,Hiroshima Flavor Yakisoba,Tray,Japan,5
2254,Nissin,Disney Cuties Instant Noodle Seaweed Flavour,Cup,Thailand,3
2253,Singa-Me,Instant Noodles Mi Goreng Flavour,Cup,Australia,3.75
2252,New Touch,Sugomen Sano Ramen,Bowl,Japan,5
2251,Ottogi,Ramyon Sabor Y Camaron,Pack,Mexico,3.75
2250,Nissin,Demae Iccho Spicy XO Sauce Seafood Flavour,Pack,Hong Kong,4
2249,Love Cook,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,Taiwan,3.75
2248,Nongshim,Shin Noodle Soup,Cup,United States,4.5
2247,Nissin,Sapporo Noukou Miso Ramen,Bowl,Japan,4.5
2246,Dream Kitchen,Soy Sauce,Cup,United States,3.5
2245,Nissin,Vietnamese Chicken Coriander Flavour Vermicelli,Cup,Hong Kong,3.5
2244,Kang Shi Fu,Artificial Spicy Beef Flavour,Pack,Hong Kong,3.75
2243,Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Hong Kong,3.75
2242,Great Value,Beef Style Noodles With Vegetables,Cup,Canada,2.75
2241,Fuku,Spicy Soup Instant Noodle Beef Flavour,Pack,Hong Kong,3.5
2240,Wang,Rice Noodle Anchovy Flavor,Bowl,South Korea,3.25
2239,Nissin,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),Cup,United States,3.5
2238,Asian Thai Foods,Rumpum Gundruk Flavour,Pack,Nepal,0.5
2237,Nissin,Cup Noodle Light+ Bagna Cauda,Cup,Japan,5
2236,Maruchan,Gotsumori Koku Tonkotsu Ramen,Bowl,Japan,4.25
2235,Fashion Food,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,Thailand,3.75
2234,Paldo,Bibim Men,Bowl,South Korea,4.5
2233,Nissin,Cup Noodles Milk Seafood Flavour,Cup,Hong Kong,3.75
2232,Nissin,Spicy Chikin Donburi,Bowl,Japan,4.5
2231,Fantastic,Noodle Chicken Flavour,Cup,Australia,3.75
2230,Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,Japan,4
2229,Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,Hong Kong,4
2228,Nissin,Raoh Shoyu Ramen,Bowl,Japan,5
2227,Maruchan,Ramen Noodle Soup Sriracha Chicken Flavor,Pack,United States,3.75
2226,Nagatanien,Hiyashi Soba Taidashi Goma,Pack,Japan,2.75
2225,Fuku,Bowl Chicken Flavour Instant Rice Vermicelli,Bowl,Hong Kong,3.75
2224,Wai Wai,X-Press Flavour Of Pizza In Noodles Proprietary Food,Pack,India,4
2223,KOKA,Rice Noodles Fragrant Chicken Pho Ga Flavour,Pack,Singapore,3.75
2222,Nyor Nyar,Vegetarian Penang White Curry,Pack,Malaysia,5
2221,Nissin,Cup Noodle Seafood,Cup,Japan,4.5
2220,Paldo,Budae Jjigae,Pack,South Korea,5
2219,Fantastic,Noodles Crispy Bacon Flavour,Cup,Australia,1
2218,Tseng Noodles,Spicy Braised Pork Flavor,Pack,Taiwan,4
2217,Nissin,Demae Ramen Spicy Seafood Flavour Instant Noodle,Pack,Hong Kong,4.75
2216,A-Sha Dry Noodle,Chow Mein Spicy Flavor,Tray,Taiwan,3
2215,Myojo,Mee Goreng Spicy Flavour,Pack,Singapore,5
2214,Sapporo Ichiban,Tabimen Nagasaki Chanpon,Bowl,Japan,4.25
2213,Acecook,Oh! Ricey Pork Flavour,Pack,Vietnam,3.75
2212,Paldo,Bul Jjamppong,Pack,South Korea,3.75
2211,Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,Thailand,3
2210,Morre,Instant Noodles Masala,Pack,Pakistan,3.75
2209,Nissin,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5
2208,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,United States,0.25
2207,Nissin,Big Cup Noodles Tonkotsu Flavour,Cup,Hong Kong,3
2206,Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,Japan,4.75
2205,Maruchan,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,Bowl,United States,3.5
2204,Nissin,Cup Noodles Sabor Galinha Caipira,Cup,Brazil,4.25
2203,Nongshim,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,United States,3.75
2202,Nissin,Nupasta Vongole Flavour Instant Noodle,Cup,Hong Kong,4.25
2201,Mr. Lee's Noodles,Penang Chicken Curry Laksa,Cup,UK,2
2200,Mr. Lee's Noodles,Shaolin Monk Vegetables,Cup,UK,5
2199,Mr. Lee's Noodles,Tai Chi Chicken,Cup,UK,3
2198,Mr. Lee's Noodles,Dragon Fire Mushroom,Cup,UK,2.5
2197,Mr. Lee's Noodles,Hong Kong Street Beef,Cup,UK,5
2196,Mr. Lee's Noodles,Warrior Fighting Shrimp,Cup,UK,3.25
2195,Nissin,Gyorai Inaniwa Chuka Soba,Bowl,Japan,5
2194,Fuku,Chicken Flavour Instant Noodle,Pack,Hong Kong,3.5
2193,Knorr,Chicken Flavored Instant Noodles,Pack,Pakistan,2.5
2192,Nyor Nyar,Penang White Curry Instant Noodle,Pack,Malaysia,5
2191,Choumama,XO Scallops Sauce Dry Noodles,Pack,Taiwan,4
2190,Myojo,Barikata Noukou Tonkotsu Shoyu,Bowl,Japan,4.75
2189,Nissin,Demae Ramen Sesame Oil Flavour Cup,Cup,Hong Kong,4
2188,Singa-Me,Instant Noodles Chicken Flavour,Cup,Australia,2.5
2187,Pulmuone,Non-Fried Ramyun Noodle (Crab Flavor),Pack,South Korea,5
2186,Master Kong,Assorted Seafood Noodles,Pack,China,3.5
2185,Nissin,Raoh Hot & Sour Ramen,Pack,Japan,5
2184,President Rice,Coriander Instant Rice Noodles,Bowl,Thailand,2.75
2183,MAMA,Instant Rice Noodles Moo Nam Tok Flavour,Pack,Thailand,3.5
2182,MAMA,Instant Rice Vermicelli Clear Soup,Pack,Thailand,3.5
2181,MAMA,Instant Rice Noodles Chicken Flavour,Pack,Thailand,3.5
2180,MAMA,Pho Ga Rice Noodles With Artificial Chicken Flavour,Bowl,Thailand,2.75
2179,MAMA,Oriental Kitchen Instant Rice Vermicelli In Gravy,Pack,Thailand,5
2178,MAMA,Instant Tom Yam Rice Noodles,Pack,Thailand,3.75
2177,MAMA,Instant Rice Noodles Vegetable Flavour,Pack,Thailand,3.75
2176,MAMA,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,Pack,Thailand,5
2175,MAMA,Instant Flat Noodles Clear Soup,Pack,Thailand,3.5
2174,MAMA,Cup Rice Noodles Tom Saab Flavour,Cup,Thailand,5
2173,MAMA,Instant Rice Noodles Stew Beef Flavour,Pack,Thailand,3.5
2172,MAMA,Instant Rice Noodles Phnom Penh Style,Pack,Thailand,3.75
2171,MAMA,Instant Flat Noodles Tom Yam Flavour,Pack,Thailand,4
2170,Maruchan,Ramen Noodle soup Mushroom Flavor,Pack,United States,3.75
2169,Happy Family,Vegetable Flavour Instant Noodles,Pack,Singapore,4
2168,Tseng Noodles,Rice Noodle Shallot With Braised Pork Flavor,Pack,Taiwan,5
2167,Great Value,Vegetable Flavour Noodles With Vegetables,Cup,Canada,2.5
2166,JML,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,China,4
2165,Suimin,Noodles With Hot & Spicy Flavour,Cup,Australia,3
2164,Tseng Noodles,Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor,Pack,Taiwan,5
2163,Nissin,Piritto Karakuchi Tantan Udon,Bowl,Japan,4.25
2162,Tseng Noodles,Rice Noodle Seafood Laksa Flavour,Pack,Taiwan,5
2161,Nongshim,Chal Bibim Myun,Pack,South Korea,5
2160,Menraku,Japanese Yakisoba Umami Sauce,Bowl,Japan,5
2159,La Moderna,Sazon Casero Sopa Con Tomate Y Sabor Pollo,Pack,Mexico,3.25
2158,A-Sha Dry Noodle,Chow Mein Original Flavor,Tray,Taiwan,5
2157,Master Kong,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,3.75
2156,A-Sha Dry Noodle,Chow Mein Oyster Sauce BBQ Flavor,Tray,Taiwan,2.25
2155,Jingqi,Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,3.5
2154,Jingqi,Black Eyes Bean Original Noodle With Sesame Sauce,Pack,Taiwan,4
2153,Jingqi,Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce,Pack,Taiwan,3.75
2152,Jingqi,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
2151,Jingqi,Aloe Vera Guan Mian Original Noodle With Sesame Sauce,Pack,Taiwan,4.75
2150,Jingqi,Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,3.25
2149,Jingqi,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
2148,Jingqi,Black Eyes Bean Pumpkin Noodles With Basil Sauce,Pack,Taiwan,4.5
2147,Maruchan,Instant Lunch Pork Flavor Ramen Noodles With Vegetables,Cup,United States,3
2146,Sapporo Ichiban,Kun Ramen Sumo-kuchikin (Smoked Chicken),Bowl,Japan,3.25
2145,Dream Kitchen,Tonkotsu,Cup,United States,2.75
2144,Nissin,Lamen Sabor Picanha,Pack,Brazil,3.5
2143,Thien Houng Foods,Lemon Chicken Flavour Instant Noodles,Pack,Vietnam,3.25
2142,Maruchan,Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen,Bowl,United States,3.75
2141,Nissin,Men Shokunin Kaoruyasai Shio,Bowl,Japan,5
2140,Wang,Rice Noodle Seafood Flavour,Bowl,South Korea,5
2139,Fuku,Superior Soup Instant Noodles (Mfg in Thailand),Pack,Hong Kong,3.75
2138,Fuku,Superior Soup Instant Noodles (Mfg in Vietnam),Pack,Hong Kong,3.5
2137,Nissin,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,Hong Kong,4.25
2136,Nissin,Demae Ramen Roast Beef Flavour Instant Noodles,Pack,Hong Kong,4
2135,Doll,Instant Noodle Supreme Abalone And Chicken Flavour,Pack,Hong Kong,2
2134,Four Seas,Chicken Flavour Instant Noodle,Pack,Hong Kong,3.75
2133,Nissin,Kimchi Chikin Ramen Donburi,Bowl,Japan,5
2132,Maruchan,Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup,Cup,United States,5
2131,Myojo,Mee Goreng Thai Tom Yum Flavour,Pack,Singapore,4
2130,Kang Shi Fu,Artificial Salted Beef With Mushrooms Flavour,Pack,Hong Kong,4.25
2129,CarJEN,Hot & Spicy Dry Curry With Chives Soup,Pack,Malaysia,5
2128,Sapporo Ichiban,Taimeiken Yousyoku Yasangatsukutta Omumen,Cup,Japan,4
2127,Suimin,Noodles With Chicken & Sweet Corn Flavour,Cup,Australia,2.25
2126,Nissin,Mennippon Oumi Chanpon,Bowl,Japan,5
2125,Happy Family,Curry Flavour Instant Noodles,Pack,Singapore,3.75
2124,7 Select,Nissin Instant Noodles Tom Yum Seafood Creamy Flavour King Cup,Bowl,Thailand,3.5
2123,Nissin,Cup Noodles Tom Yum Shrimp Sabb Flavour,Cup,Thailand,5
2122,Nissin,Chilli Noodles Stir Fried Holy Basil Flavour,Pack,Thailand,4.75
2121,Nissin,Instant Noodles Moo Manao Flavour,Pack,Thailand,3.5
2120,Nissin,Super Tom Yum Shrimp,Cup,Thailand,3.5
2119,Nissin,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.5
2118,Nissin,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,Thailand,3.25
2117,7 Select,Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup,Bowl,Thailand,3.75
2116,Nissin,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4
2115,Nissin,Cup Noodles Moo Manao Flavour,Cup,Thailand,4
2114,Nissin,Instant Noodles Minced Pork Flavour,Pack,Thailand,3.5
2113,Nissin,Cup Noodles Seafood Creamy Flavour,Cup,Thailand,3.75
2112,Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,3.75
2111,Nissin,Cup Noodles Chilli Crab Flavour,Cup,Hong Kong,3.75
2110,Great Value,Vegetarian Flavour Ramen Noodles,Pack,Canada,3
2109,Oni Hot Pot,Tuna With Shallot Flavor Noodle,Pack,Taiwan,4.25
2108,Weh Lih,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,Taiwan,1
2107,Nissin,Lamen Sabor Frango Assado Com Toque De Limao,Pack,Brazil,4.5
2106,Itomen,Onion Flavor Shoyu Ramen,Pack,Japan,3.5
2105,Maruchan,Ramen Noodle Soup Chicken Tortilla Flavor,Pack,United States,3
2104,Wang,Rice Noodle Kimchi Flavor,Bowl,South Korea,4
2103,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base,Pack,United States,0
2102,Nissin,Cup Noodles Singapore Laksa,Cup,Japan,5
2101,Samyang Foods,Pojangmacha Udon,Pack,South Korea,4
2100,Myojo,Mee Goreng Original Flavour,Pack,Singapore,4
2099,Sanpo,Yakibuta Ramen,Bowl,Japan,4
2098,Nongshim,Kimchi Flavor Noodle Soup,Cup,United States,5
