taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements
Glycine max,Soybean,Legume,Full sun,Medium,6,7,Medium,NA,NA,Half hardy,24,NA,NA,90-100,NA,NA,NA,"When to harvest soybean will depend on how you want use the crop. When green they can be cooked and used as vegetables, when the mature and turn brown they can be harvested and stored dry.",Soya is a warm climate plant requiring temperatures of 20-30°C over the growing season. They will also require space as they can grow up to 1.2m high.
Spinacia oleracea,Spinach,Chenopodiaceae,Full sun/partial shade,Medium,6,7.5,Medium,Loamy,NA,Half hardy,21,NA,5,50-65,NA,NA,NA,The green leafs of the spinach plant can be eater raw in salads or cooked as a side dish or as an ingredient for cooking.,Prefers a sunny or slightly shaded plot with moisture retentive soil. Plants will need 30cm spacing and feeding with high nitrogen fertiliser ever 2 weeks.
Tetragonia tetragonioides,Spinach (New Zealand),Miscellaneous,Full sun/partial shade,Medium,6.5,7,Low,NA,NA,Tender,NA,15-24,10-20,55-65,NA,NA,NA,"Used in the same way as spinach, but the leaves are smaller.",Prefers warmer weather than regular spinach. Although drought resistant retaining soil moisture maintains full growth potential.
Beta vulgaris (subsp.cicla),Spinach (Perpetual),Chenopodiaceae,Full sun/partial shade,Medium,6,7,Low,NA,NA,Very hardy,30,NA,4,30-45,NA,NA,NA,"Used in the same way as spinach, but will tolerate dryer conditions and not run to seed.","Easier to grow and more vigorous than true spinach. It likes well worked well drained soil with a high organic content, but will still do well in shadier areas with poor soil."
Allium cepa (var. aggregatum),Spring Onion / Scallions,Allium,Full sun/partial shade,Medium,6,7,Low,NA,NA,Very hardy,24,NA,6,60-,NA,NA,NA,Spring onion have a mild flavour ideal for using in salads or in dishes where onion would be overpowering.,"Can be sown directly where they are to be grown, but ensure the plot has not been freshly manured. Keep well watered."
Cucurbita pepo,Squash (Summer),Cucurbit,Full sun,Medium,6,7,High,Loamy,NA,Tender,35,10-32,4,45-75,NA,NA,NA,"Summer squashes are harvested when immature and the outer skin is still soft and edible. Unlike winter squash, these do not store well.","Summer squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive. They will require a large area to spread (120cm) and not compete with other plants."
Cucurbita maxima,Squash (Winter),Cucurbit,Full sun,Medium,5.5,7,High,NA,NA,Tender,35,10-32,5,85-120,NA,NA,NA,These vegetables have solid orange flesh that is ideal for many methods of cooking. They also store well.,"Winter squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive. They will require a large area to spread (120cm) and not compete with other plants."
Brassica napus,Swede / Rutabaga,Brassica,Full sun/partial shade,Medium,5.5,7,Low,NA,NA,Hardy,26,NA,4,80-100,NA,NA,NA,The yellow flesh of the swede is sweeter and milder than the turnip and is traditionally served mashed with potato and haggis in Scotland.,This frost tolerant hardy plant is easy to grow and thrives in most soil types. It can be left in the ground over winter and harvested as required.
Ipomoea batatas,Sweet Potato,Miscellaneous,Full sun,Medium,5.5,6,Medium,"Loamy, sandy and silty",NA,Half hardy,NA,21-26,NA,100-125,NA,NA,NA,"A starchy sweet tasting root vegetable that is best backed, roasted or mashed.",Sweet potatoes are grown from 'slips' which must be hydrated in water before planting. They need full sun and high temperatures to provide good yields.
Zea mayvar. Saccharata,Sweetcorn,Miscellaneous,Full sun,High,6,7,Low,Loamy and clay,NA,Tender,30,16-35,3,70-100,NA,NA,NA,"Sweet corn is a variety of maize which is high in sugar and harvested while immature, at this stage it is considered a vegetable and used cooked. At this stage of maturity it does not store well so should be eaten fresh.","Sweet corn is most successful in long hot summers. As they are wind pollinated they should be grown in blocks not rows. Prefers moist well fertilised soil . Corn is ready when the tassels turn brown, and the juice from the kernels is milky."
Beta vulgari (subsp. vulgaris),Swiss Chard,Chenopodiaceae,Full sun/partial shade,Medium,6,7.5,Low,Loamy and clay,NA,Very hardy,30,NA,4,50-60,NA,NA,NA,Swiss chard is leafy green vegetable. Often the stalk is separated from the leaf and prepared separately.,Grows best in a sunny position in rich soil that is free draining and moisture retentive. One sowing will provide a crop that will last many months.
Brassica rapa (subsp. narinosa),Tatsoi,Brassica,Full sun,Medium,6,7.5,Medium,Loamy soil,NA,Very hardy,NA,NA,4,45-60,NA,NA,NA,"These small, spoon-shaped leaves look similar to spinach only grow to a few cms high. They have a mild mustard-like flavour and are used raw in salads or cooked.","A low growing annual, Tatsoi plants thrive in cool weather, and tolerates light frost which can trigger bolting if exposed in spring, but later can improve tatsoi's flavour, and can be harvested out from under a snowfall."
Solanum lycopersicum (var. cerasiforme),Tomato (Cherry),Solanum,Full sun,Medium,5.5,7.5,high,Loamy soil,NA,Tender,26,16-30,6,65-85,NA,NA,NA,"The tomato is one of the most versatile fruit. Eaten raw in salads, the base of many sauces. It comes in many sizes from small cherry, to large frit that fill your hand.","Tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts. Seedlings are best kept at 18°C. They require a lot of watering and are hungry plant."
Solanum lycopersicum,Tomato (Regular),Solanum,Full sun,Medium,5.5,7.5,High,Loamy,NA,Tender,26,16-30,6,65-85,NA,NA,NA,"The tomato is one of the most versatile fruit. Eaten raw in salads, the base of many sauces. It comes in many sizes from small cherry, to large frit that fill your hand.","Tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts. Seedlings are best kept at 18°C. They require a lot of watering and are hungry plant."
Vicia faba,Winter Field Beans,Legume,Full sun,Very low,6,7,Medium,NA,NA,Hardy,10,NA,NA,90-180,NA,NA,NA,"Winter Beans are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.",Sown in autumn they can also limit the effect of rain on otherwise bare soil. A cool-season annual that can tolerate heavy frost.
Pisum sativum (subsp. arvense (L.) Asch),Winter Peas,Legume,Full sun,Low,6,7,Medium,NA,NA,Very hardy,NA,NA,NA,NA,NA,NA,NA,"Field peas are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.","Sown in autumn they can also limit the effect of rain on otherwise bare soil. A cool-season annual, that can tolerate heavy frost."
Ocimum basilicum,Basil,Lamiaceae,Full sun,high,5.5,6.5,Low,"Loam, Sand",NA,Very tender,NA,NA,NA,NA,NA,NA,NA,"A fragrant, easy to grow warm weather leafy herb, that used extensively in Italian dishes.","For best results plant outside once soil is over 20oC. Basil likes moisture, so mulching in hot weather will help retain moisture. Remove flowers as they appear to keep plants productive."
Laurus nobilis,Bay,Miscellaneous,Full sun,Low,5.5,6.5,Low,"Chalk, Clay, Sand, Loam",NA,Hardy,NA,NA,NA,NA,NA,NA,NA,The fragrant leaves of this evergreen tree or shrub are used as a seasoning.,"An attractive and ornamental plant with fragrant leaves, best planted once all danger of frost has passed."
Borago officinalis,Borage,Miscellaneous,Full sun,Medium,5.5,6.5,Low,"Chalk, Clay, Sand, Loam",NA,Hardy,NA,NA,NA,NA,NA,NA,NA,A fast growing annual that produces star shaped blue flowers. The leaves are used to made a hot water infusion.,An easy to grow annual that will thrive in poor soil. It requires a sunny spot and regular watering.
Capsicum chinense,Bonnet Pepper,Solanaceae,Full sun,Medium,7,8.5,Medium,Rich Moist soil,NA,Tender,NA,NA,NA,NA,NA,NA,NA,A chili pepper with a very high Scoville heat unit score.,"Resistant to high temperatures. They like high temperatures with lots of light, and are easily damaged by cold spells of weather."
Matricaria recutita,Chamomile (German chamomile),Miscellaneous,Full sun/partial shade,Low,5.5,7.5,low,"Loam, Chalk, Sand",NA,Hardy,NA,NA,NA,NA,NA,NA,NA,The dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.,"This upright annual grows best in partial shade, and like most herbs, does best when it is not fertilised or watered too often."
Prunus dulcis,Almond,Miscellaneous,Full sun,Medium,6,7,Medium,Sandy Loam,Perennial,Tender,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,Suseptable to spring frosts.,"Almond trees have been cultivated for 1000's of years, their fruits are used for making baked goods, confectionary and oil.","Few varieties are self fertile, so require two or more trees for cross pollination and fruit production. They prefer dry hot summers and mild wet winters. Can take up to 8 years to fruit, and will live over 50 years."
Malus,Apple,Miscellaneous,Full sun,Medium,6,7.5,Medium,Loamy,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A sweet edible fruit which is eaten raw, cooked or juiced. The most widely cultivated fruit tree world wide, with a vast range of tree sizes.","There are thousands of difference varieties that generally fall in to either cooking apples, or dessert apples (for eating). Require little care, but ""chill hours"" are required to set fruit. More than one tree is needed to allow cross pollination."
Prunus armeniaca,Apricot,Miscellaneous,Full sun,Medium,6.5,8,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,"New varieties can be grown in cooler climates, but the blossem must be protected from frost over night.","A relative of the plum, nectarine and peach. The fruit from these trees range in colour from pale yellow to dark orange. They have a soft velvety skin, and soft flesh covering a large kernel.","In warmer climates trees can be freestanding. In cooler climates they are best grown on a warm, sheltered, south facing wall."
Rubus fruticosus agg.,Blackberry,Miscellaneous,Full sun,Medium,6,7,Low,Sandy,Perennial,Very hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"Also known as a bramble, the dark almost black fruits comprise of juice filled sweet drouplets. They are traditionally grown along wires, but can also be trained to cover arches and trellis.","Blackberries are vigorous growers and require regular pruning. However as the fruit is produced on last years growth, only prune back the canes once fruiting is finished, then tie back the new canes for next year."
Ribes nigrum,Blackcurrant,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Very hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"Blackcurrants are woody shrubs that produce fruits high in vitamin C. They can be eaten raw, but are normally used for jams, or as an ingredient in both sweet and savoury dishes. Most blackcurrsts grown commetially are used for making juice.","Fruit is produced on new growth, so old wood or weak shoots should be removed during dormancy. They are easy to grow, but prefer well drained soil in full sun."
Vaccinium corymbosum,Blueberry,Miscellaneous,Full sun,Medium,5,6,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"Regarded as a super fruit, these ornamental shrubs produce large quantities of fruit once established. The fruit is sweet and varies in size from 5mm to 16mm.","Requires a soil pH of 5.5 or lower. These shrubs require an acidic soil, and will not grow well in the wrong type of soil. They also crop better when planted with another variety."
Prunus avium,Cherry,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"As a member of the genus Prunus, it is a fleshy stoned fruit. Cherries range in colour from a light red to deep purple. The sweet varieties are used fresh, cooked, and for juice, while the smaller sour varieties tend to be used for preserves.","Most varieties are not self fertilising, so you will require 2 or 3 trees. They will take about 4 years to bear fruit and require deep, well drained soil."
Vaccinium corymbosum,Cranberry,Miscellaneous,Full sun/partial shade,High,5,6,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"These evergreen dwarf shrubs, or trailing vines, have slender wiry stems. The fruit are larger than the leaves, and are red when ripe. Used for making juice, sauce and jam due to the acidic taste. Cranberry sauce is traditionally served with turkey.","Requires a soil pH of 5.5 or lower to thrive, and prefers to be very moist, boggy soil. Can take up to 3 years to fruit, but can last for decades."
Ficus carica,Fig,Miscellaneous,Full sun/partial shade,Medium,6,6.5,High,All soil types,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A small tree/large shrub that produces soft sweet fruit that can be used fresh, dried and preserved.","Requires warmth and sun. They thrive in long hot summers, but can also be grown in containers allowing them to be moved indoors over winter."
Ribes grossularia,Gooseberry,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"An easy to grow soft fruit. The sometimes spiny, translucent fruits grow on small thorny bushes. The varieties range in colour from yellow through to black. Some are quite tart and more suited to cooking and preserving.","Gooseberries thrive in cold winters and warm summers, and can tolerate a shaded space. They prefer a well drained soil containing plenty natural nutrients in the form of well rotted organic matter."
Vitis vinifera,Grape,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,This sweet versatile fruit grows in large clusters on a vine. They are predominantly grown for eating fresh and making wine.,"The vines like deep free draining soil, and plenty summer sunshine for the fruits to ripen. They require support to grow upwards."
Corylus avellana,Hazel,Miscellaneous,Full sun/partial shade,Medium,6.5,7.5,Medium,"Loamy, sandy",Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A small tree or shrub grown for it's hard shelled nuts. Is suited to growing in a garden, producing pretty catkins in the spring and nuts in the autumn.","Are best grown in temperate climates, as hazel trees cannot tolerate long dry seasons or high heat. In the correct climate they are an easy nut to grow, not taking up too much space. As they are wind pollinated, they prefer an open site."
Humulus lupulus,Hops,Miscellaneous,Full sun,Medium,6.5,8,High,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"Hops are the flowers, or seed cones used to flavour beer. Hey are ready for harvest when the cones feel papery and leave a yellow powder when touched. Different varieties taste different, allowing brewers to create particular flavours and aromas.","Although hops are easy to grow, they are day length sensitive and best grown between 35 and 55 degree latitudes. They require a period of winter chilling. Prune all growth in late autumn to early winter."
Actinidia callosa,Kiwi,Miscellaneous,Full sun,Medium,5.5,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A deciduous climbing plant that's vigorous growth requires plenty of room. The fruits have a light brown textured skin, with lime green flesh on the inside. They are high in vitamin C and generally eaten raw.","Young shoots are extremely vulnerable to frost damage and will require protection in the spring. In mild climates these can be grown in the open, in cooler climates they are best grown on a sheltered west or south facing wall."
Citrus limon,Lemon,Miscellaneous,Full sun,Medium,5.5,7,Medium,NA,Perennial,Tender,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"The lemon is an acidic fruit produced by a small evergreen tree. The yellow citrus fruits are native to Asia, and are grown predominantly for their juice, and the rind (which the aromatic oils are extracted from).",All citrus trees require a mild climate and plenty of sun. At temperatures below13°C they will go into dormancy.
Citrus aurantiifolia,Lime,Miscellaneous,Full sun,Medium,5.5,7,Medium,NA,Perennial,Tender,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A citrus fruit ideal for adding flavour to drinks. It is a hybrid fruit consisting of several species: Persian Lime, Desert Lime, Kaffier Lime and Key Lime (C. aurantifolia).","Ensure that it is planted in well draining soil, as limes will not tolerate standing water, nor will they tolerate temperatures below 10°C."
Rubus loganobaccus,Loganberry,Miscellaneous,Full sun/partial shade,Medium,5.5,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A cross between a raspberry and a blackberry, producing a larger and darker fruit than the raspberry. A very sweet fruit which is ideal for eating raw , using in baking and preserving.","A vigorous plant that requires maintenance. The fruit is produced on last years growth. Only prune back the canes once fruiting is finished, then tie back the new canes for next years fruit."
Prunus persica var. nucipersica,Nectarine,Miscellaneous,Full sun,Medium,5.5,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A smoothed skinned subspecies of the peach. The nectarine has soft sweet flesh that easily bruises. Eaten fresh, cooked or preserved.","Peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°C. They are a semi-hardy, surviving in climates where temperatures drop to -20°C, but require warm summers to produce fruit."
Citrus reticulata,Orange,Miscellaneous,Full sun,Medium,5.5,7,Medium,NA,Perennial,Tender,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A sweet citrus fruit grown for eating fresh, processing, and it's fragrant peel. A hybrid between a pomelo and a mandarin, it the most widely grown fruit tree in the world.","All citrus trees require a mild climate and plenty of sun. At temperatures of under 13 degrees celcius they will go into dormancy. They can take a few years to bear fruit, and during this time will require regular fertiliser to encourage growth."
Prunus persica,Peach,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A native tree of China, grown for its soft fleshed fruit which contains a singe hard stone in the centre and thin fuzzy skin.","Peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°C. They are a semi-hardy, surviving in climates where temperatures drop to -20°C, but require warm summers to produce fruit."
Pyrus communis,Pear,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A deciduous tree grown for it's soft sweet fruit. The fruit are tear drop in shape, and usually have yellow to green skin and white flesh.","Prefer a cold wet climate with a chill period of between 400 and 800 hours at less that 7 °C , and temperatures rarely going above 32°C. New varieties can withstand hotter climates, so choosing your variety for your climate in important."
Diospyros chinensis,Persimmon,Miscellaneous,Full sun,Medium,5.5,6.5,Low,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,Also know as the Sharon fruit. These glossy yellow to orange fruits look like tomatoes and grow on trees that can reach 18 meters high.,"An easy to grow tree that, depending on variety, can be grown where temperatures drop to -12°C in winter. American varieties are best for colder climates, where as the Japanese varieties are better suited to milder climates."
Prunus domestica,Plum,Miscellaneous,Full sun,Medium,6,8,Medium to high,"Clay, Loam",Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A sweet fruit that contains a single stone in the centre. Has many uses, from eating raw to preserving and cooking. There are many varieties which also include damsons and greengages.","Choosing the correct variety for your climate and plot size is essential. The plum tree can vary from being less than 2m high and 0.5m wide to over 5m high. Care is not difficult, but pruning and removing dead wood will ensure successful crop."
Punica granatum,Pomagranate,Miscellaneous,Full sun,Medium,5,6,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,A deciduous fruit producing shrub or tree. Fruits have a tough skin filled with many jewel like seeds covered in red gelatinous flesh.,"Can tolerate temperatures down to -12°C, but require lots of heat to ripen the fruit. They can take up to 5 years to produce fruit."
Rubus idaeus,Raspberry,Miscellaneous,Full sun,Medium,5.5,6.5,Low,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"A small soft red fruit containing many seed containing drouplets. Native to many parts of Europe, it is a high value fresh fruit. Other uses include processing for juice, jams and confectionary.","Most varieties are biennial (fruiting on last years canes). In Autumn the old dead canes are removed, excessive new canes are also removed leaving sufficient canes for next years crop."
Ribes rubrum,Redcurrant,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"Small shiny berries produced on low bushes. They are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies.","Are strong growing plants that will tolerate most conditions, including poor soil and shade. They do however like plenty moisture."
Juglans,Walnut,Miscellaneous,Full sun/partial shade,Medium,5.5,7.5,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"The wrinkled edible seed of a deciduous tree. They can be eaten once fully ripe, or pickled when picked green.","Trees can be damaged by by spring frosts and wind. Older varieties will take as much as 10 years to produce nuts, but modern varieties can bear nuts in as little as 4 years."
Ribes rubrum,White currant,Miscellaneous,Full sun,Medium,6,7,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,"Small shiny berries produced on low bushes. They are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies..","Are strong growing plants that will tolerate most conditions, including poor soil and shade. They do however like plenty of moisture."
Castanea sativa,Chestnut,Miscellaneous,Full sun,Medium,5.5,6,Medium,NA,Perennial,Hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,Will not produce fruit if not grown in full sun.,"Some species of chestnut trees can grow to over 60m high, whereas others are more shrubby in nature. The fruit, contained in a spiny capule, has 2 skins. The first is hard and shiny, the second a thinner skin attached to the seed.","Trees can take upto 20 years before producing fruit. Grafted trees will start fruiting sooner. They require deep, well drained, fertile soil."
Lonicera caerulea,Honey Berry,Miscellaneous,Partial shade,Medium,5,7,Medium,NA,Perennial,Very hardy,Not applicable.,NA,Not applicable.,Not applicable.,NA,NA,NA,A fruit bearing member of the honeysuckle family and related to the blueberry. The fruits are used in the same way as most soft fruits. The sweet juicy fruits taste similar to rapberries and blueberries when eaten fresh.,These plants are frost hardy and grow in a range of soil. They are best grouwn in groups to aid polination rate and resulting fruits.
Calendula officinalis,Calendula,Miscellaneous,Full sun/partial shade,Medium,5.5,7,Low,"Chalk, Loam, Sand",NA,Hardy,NA,NA,NA,NA,NA,NA,NA,"Commonly known as a marigold, the bright yellow or orange flowers of this plant have historically been used for medical and culinary purposes in salads, teas, or oil infusions.","Easy to grow and will reseed themselves. They do well in poor, well drained soil and require minimal care once established."
Nepeta cataria,Catnip,Miscellaneous,Full sun,Low,6,7.5,Low,Well drained soil,NA,Hardy,NA,NA,NA,NA,NA,NA,NA,A member of the mint family. Catnip has antibacterial properties and is used to make teas.,"These seeds are tough, and will need slight damage before they will germinate. They will grow in partial shade, but grow much better in full sun. Over fertilising can reduce the potency of their scent and flavour."
Chamaemelum nobile,Chamomile (Roman chamomile),Miscellaneous,Full sun/partial shade,Low,5.5,7.5,Low,"Loam, Chalk, Sand",NA,Hardy,NA,NA,NA,NA,NA,NA,NA,The dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.,"A creeping, ground covering perennial. It grows best in partial shade, and like most herbs, does best when not fertilised or watered too often."
Valeriana officinalis,Valerian,Miscellaneous,Full sun,Medium,5.5,7,Low,"Sand, Clay, Chalk, Loam",Perennial,Hardy,NA,NA,NA,NA,NA,NA,NA,The root of this plant is used after drying and making into powder. It is claimed that it helps with sleep disorders and depression. The leaves can be used to make tea.,"Will grow in a wide variety of conditions, but prefers to be kept moist in well drained soil. It grows to about 1m-1.5m high, and 0.5m wide."
Symphytum officinale,Comfrey,Miscellaneous,Partial shade,Medium,6,7,Low,"Chalk, Clay, Sand, Loam",Perrenial,Hardy,NA,NA,NA,NA,NA,NA,NA,"There are many uses of comfrey. It has reported healing properties when used as an external dressing, or consumed as a tea. The nutrient rich leaves can be used as a fertiliser.","Comfrey can live for over 20 years, and will thrive in good soil and full sun. Once established, it requires little maintenance, however, mulching with grass cuttings will help to produce more leaves."
Coriandrum sativum,Coriander,Umbelliferae,Full sun,Medium,6,7,Low,"Loam, Chalk, Sand",Annual,Hardy,NA,NA,NA,NA,NA,NA,NA,"This aromatic herb is used in cooking. The whole plant can be eaten, although the leaves and seeds are most often used; the leaves as a herb, and the seeds as a spice.","Keep the soil damp, but not over watered. Dry soil will cause the plants to flower prematurely, or bolt."
Anethum graveolens,Dill,Umbelliferae,Full sun,Medium,5.5,7,Medium,"Loam, Chalk, Sand",Annual,Hardy,NA,NA,NA,NA,NA,NA,NA,A member of the parsley family. This aromatic herb has feathery green leaves which are best used fresh. The seeds are also used as a spice.,Dill does not like to be transplanted. It may require staking to prevent it falling over.
Thymus vulgaris,Thyme,Miscellaneous,Full sun,Low,5.5,7,Low,"Loam, Chalk, Sand",Perennial,Hardy,NA,NA,NA,NA,NA,NA,NA,This is a woody stemmed plant with an abundance of small leaves which are used to flavour dishes.,"Easy to grow, and suitable for rock gardens. After flowering cut back to retain compactness."
Tanacetum parthenium,Feverfew,Miscellaneous,Full sun,Low,6,8,Low,Most soils,Annual/perannial,Hardy,NA,NA,NA,NA,NA,NA,NA,A flowering plant in the daisy family. It is used for its reported medicinal properties - for the treatment of migraines and other ailments.,"Will grow well in most soils, but not in heavy wet soils. Self seeds, remove dead flowers to prevent this."
Armoracia rusticana,Horseradish,Brassicas,Full sun,Medium,5,7.5,Medium,"Loam, Chalk, Sand, Clay",Perennial,Very hardy,NA,NA,NA,NA,NA,NA,NA,"A root vegetable and a member of the mustard family. The green leaves can be eaten, but it is mainly grown for its root, which is used for is pungent flavour, especially in stews.","An easy to look after herb that prefers light, fertile and deep soil. Can be invasive, so is regularly grown in raised beds."
Cymbopogon citratus,Lemon Grass,Miscellaneous,Full sun,High,5,8,Low,Loam,NA,Very tender,NA,NA,NA,NA,NA,NA,NA,"A tall perennial grass used in cooking or infusion. The inner soft parts of the stalks can be used either fresh, or dried.",Can be grown from stalk bought for cooking by placing in water. It likes a warm sunny spot.
Origanum majorana,Marjoram,Lamiaceae,Full sun,Low,6,8,Low,"Loam, Chalk, Sand",Perennial,Hardy,NA,NA,NA,NA,NA,NA,NA,A perennial herb grown for it's aromatic flavours of sweet pine and citrus.,"Requires regular watering, however, be careful of overwatering as the roots can easily rot."
Mentha spicata,Mint,Lamiaceae,Full sun,Low,7,8,Low,"Chalk, Clay, Sand, Loam",Perennial,Very hardy,NA,NA,NA,NA,NA,NA,NA,"A versatile herb which can be used in hot drinks, in salads, and as a mint sauce (traditionally served with roast lamb). Is also an essential ingredient in the mojito cocktail.","An easy to grow herb that will thrive in rich, moisture retentive, deep soil. Mint will spread if not kept in check."
Origanum vulgare,Oregano,Lamiaceae,Full sun,Low,6,7,Low,"Loam, Chalk, Sand",NA,Hardy,NA,NA,NA,NA,NA,NA,NA,A perennial herb grown for it's aromatic flavours of sweet pine and citrus.,"Requires regular watering, however, be careful of overwatering as the roots can easily rot."
Petroselinum crispum,Parsley,Umbelliferae,Full sun/partial shade,Medium,5,7,Medium,Loam,"Biennial, grown as an annual",Hardy,NA,NA,NA,NA,NA,NA,NA,"Extensivly used in cooking, from a garnish to an essential ingredient in some dishes, such as salsa verde.","The seed needs to be soaked in warm water overnight before planting, and can take several weeks to germinate. It can survive cold winters if mulched."
Rosmarinus officinalis,Rosemary,Miscellaneous,Full sun,Low,5,6,Low,"Sand, Clay, Chalk, Loam",Shrub,Hardy,NA,NA,NA,NA,NA,NA,NA,"An evergreen shrub, with fragrant needle shaped leaves used to flavour dishes.","An easy to grow shrub that prefers poor, well drained soil. Is best cultivated from semi-hard wood cuttings."
Salvia officinalis,Sage,Miscellaneous,Full sun,Low,5.5,6.5,Low,"Sand, Chalk, Loam",Perrenial evergreen,Hardy,NA,NA,NA,NA,NA,NA,NA,The soft greyish green leaves are traditionally used in stuffing. They also have reported medicinal properties to help with digestive problems.,"An easy herb to grow that does well in most well drained soils. Trim back in the autumn to encourage new growth, and stop the stems becoming leggy."
Artemisia dracunculus,Tarragon (French),Miscellaneous,Full sun,Low,6.5,7.5,Low,"Loam, Sand",Perennial,Hardy,NA,NA,NA,NA,NA,NA,NA,Tarragon is reported to be one of the top 4 herbs used in French cooking. It has an intense flavour that is a unique blend of sweet aniseed and mild vanilla. It is essential ingredient in Béarnaise sauce.,"Does not set viable seed, so buying young plants, or taking cuttings is required. Trim back in autumn to encourage new growth and stop the stems becoming leggy."
Fragaria ananassa,Strawberry,Miscellaneous,Full sun,Medium,5.5,6.5,Medium,Loam,Semi-evergreen perrenial,Hardy,NA,NA,NA,NA,NA,NA,NA,"A soft fruit that is cultivated world wide, and appreciated for its characteristic aroma and sweetness. It is eaten fresh, used for making preserves, juices, and many other dishes.","Requires fertile, moist but well drained soil. Planting through polythene, or applying straw keeps the berries clean. This is an ideal plant to grow in containers as this will allow the berries to mature away from moist soil."
Melissa officinalis,Lemon balm,Miscellaneous,Full sun,Medium,6,7.5,low,"Chalk, Clay, Sand, Loam",Perennial,Very hardy,NA,NA,NA,NA,NA,NA,NA,"A member of the mint family, the leaves have a mild lemon sent. It is used to add flavour, or as an infusion in a hot drink.","Will grow in any moisture retentive soil, but will need protected from excessive moisture over the winter."
