spec_name,acc_genus,acc_species,palm_tribe,palm_subfamily,climbing,acaulescent,erect,stem_solitary,stem_armed,leaves_armed,max_stem_height_m,max_stem_dia_cm,understorey_canopy,max_leaf_number,max__blade__length_m,max__rachis__length_m,max__petiole_length_m,average_fruit_length_cm,min_fruit_length_cm,max_fruit_length_cm,average_fruit_width_cm,min_fruit_width_cm,max_fruit_width_cm,fruit_size_categorical,fruit_shape,fruit_color_description,main_fruit_colors,conspicuousness
Calamus tanakadatei,Calamus,tanakadatei,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,20,1,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus tapa,Calamus,tapa,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Calamus temburongii,Calamus,temburongii,Calameae,Calamoideae,climbing,non-acaulescent,erect,both,armed,non-armed,0,3,understorey,NA,3,3,NA,0.5,NA,NA,0.55,NA,NA,small,NA,NA,NA,NA
Calamus temii,Calamus,temii,Calameae,Calamoideae,climbing,acaulescent,non-erect,both,armed,non-armed,5,5,understorey,NA,2,2,NA,2,NA,NA,1.5,NA,NA,small,NA,dark brown,brown,cryptic
Calamus tenompokensis,Calamus,tenompokensis,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,2,1,understorey,NA,0.7,NA,NA,0.8,NA,NA,0.7,NA,NA,small,NA,yellowish-brown,brown,cryptic
Calamus tenuis,Calamus,tenuis,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,20,2.5,canopy,NA,1,1,NA,1.6,NA,NA,1.2,NA,NA,small,ovoid,whitish to yellowish brown,brown,cryptic
Calamus tetradactyloides,Calamus,tetradactyloides,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,5,1,canopy,NA,0.4,0.4,NA,1.5,NA,NA,1,NA,NA,small,globose,whitish,white,cryptic
Calamus tetradactylus,Calamus,tetradactylus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,6,1.8,canopy,NA,0.6,0.6,NA,0.9,NA,NA,0.9,NA,NA,small,globose,yellowish,yellow,cryptic
Calamus thwaitesii,Calamus,thwaitesii,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,50,6,canopy,NA,3,3,NA,2.5,NA,NA,1.5,NA,NA,small,globose,dull orange or yellowish brown,orange; brown,conspicuous
Calamus thysanolepis,Calamus,thysanolepis,Calameae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,5,5,understorey,NA,1.5,1.5,NA,1.5,NA,NA,1,NA,NA,small,globose,reddish brown,brown,cryptic
Calamus timorensis,Calamus,timorensis,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Calamus toli-toliensis,Calamus,toli-toliensis,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Calamus tomentosus,Calamus,tomentosus,Calameae,Calamoideae,non-climbing,acaulescent,erect,both,armed,non-armed,20,2.5,canopy,NA,1,1,NA,2.5,NA,NA,2.2,NA,NA,small,NA,brown,brown,cryptic
Calamus trachycoleus,Calamus,trachycoleus,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,1.65,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,greenish-white,white,cryptic
Calamus travancoricus,Calamus,travancoricus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,15,1,canopy,NA,0.5,0.5,NA,1,NA,NA,1,NA,NA,small,globose,yellowish brown,brown,cryptic
Calamus trispermus,Calamus,trispermus,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,1.6,NA,NA,1.72,NA,NA,small,ovoid,NA,NA,NA
Calamus tumidus,Calamus,tumidus,Calameae,Calamoideae,non-climbing,acaulescent,erect,non-solitary,armed,non-armed,60,1.2,canopy,NA,4,4,NA,2.2,NA,NA,1.8,NA,NA,small,globose,yellow-green,green,cryptic
Calamus ulur,Calamus,ulur,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,10,1,canopy,NA,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Calamus unifarius,Calamus,unifarius,Calameae,Calamoideae,non-climbing,acaulescent,erect,non-solitary,armed,non-armed,20,5,canopy,NA,2,2,NA,1.5,NA,NA,1,NA,NA,small,ovoid,whitish,white,cryptic
Calamus usitatus,Calamus,usitatus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,10,1,canopy,NA,0.7,NA,NA,0.8,NA,NA,0.6,NA,NA,small,NA,straw-coloured,straw-coloured,cryptic
Calamus vattayila,Calamus,vattayila,Calameae,Calamoideae,non-climbing,acaulescent,erect,non-solitary,armed,non-armed,30,2.5,canopy,NA,0.8,0.8,NA,2.5,NA,NA,0.8,NA,NA,small,NA,brownish yellow,yellow,conspicuous
Calamus vestitus,Calamus,vestitus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,20,2,canopy,NA,0.8,NA,NA,1.31,NA,NA,1.16,NA,NA,small,globose,cream; white; creamish yellow,cream; white; yellow,conspicuous
Calamus vidalianus,Calamus,vidalianus,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,1.16,NA,NA,1.29,NA,NA,small,globose,NA,NA,NA
Calamus viminalis,Calamus,viminalis,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,35,4,canopy,NA,1.3,1.3,NA,1,NA,NA,0.9,0.8,1,small,globose,whitish or yellowish; yellow when ripe; yellowish-brown,yellow,conspicuous
Calamus vinosus,Calamus,vinosus,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus viridispinus,Calamus,viridispinus,Calameae,Calamoideae,both,acaulescent,both,solitary,armed,non-armed,15,1.5,canopy,NA,0.8,0.8,NA,0.95,0.8,1.1,0.6,NA,NA,small,globose,brown; brown o yellowish,brown,cryptic
Calamus viridissimus,Calamus,viridissimus,Calameae,Calamoideae,non-climbing,acaulescent,erect,non-solitary,armed,non-armed,15,5,canopy,NA,3,3,NA,1.05,1,1.1,0.9,0.85,0.95,small,ovoid,NA,NA,NA
Calamus vitiensis,Calamus,vitiensis,Calameae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,15,2.2,canopy,NA,3,2.95,NA,1.1,NA,NA,1.1,0.9,1.3,small,NA,white scale apex brownish,white,cryptic
Calamus wailong,Calamus,wailong,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,50,2,canopy,NA,2.8,NA,NA,1.85,1.7,2,1.05,1,1.1,small,NA,ivory,ivory,cryptic
Calamus walkeri,Calamus,walkeri,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,15,3,canopy,NA,1.5,1.5,NA,1.2,NA,NA,1,NA,NA,small,NA,yellowish,yellow,cryptic
Calamus wanggaii,Calamus,wanggaii,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,25,1.5,canopy,NA,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Calamus warburgii,Calamus,warburgii,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,40,3,canopy,NA,2.5,2.5,NA,1,NA,NA,0.85,0.8,0.9,small,ovoid,white-cream at maturity; scale margins reddish,white; cream,cryptic
Calamus wari-wariensis,Calamus,wari-wariensis,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Calamus whitmorei,Calamus,whitmorei,Calameae,Calamoideae,climbing,non-acaulescent,erect,non-solitary,armed,non-armed,3,0.7,understorey,NA,1.2,1.2,NA,0.7,NA,NA,0.7,NA,NA,small,globose,NA,NA,NA
Calamus wightii,Calamus,wightii,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,30,3,canopy,NA,1.7,1.7,NA,1.8,NA,NA,1.8,NA,NA,small,NA,brown or black,brown; black,cryptic
Calamus winklerianus,Calamus,winklerianus,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Calamus wuliangshanensis,Calamus,wuliangshanensis,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,15,3.5,canopy,NA,2.8,2.8,NA,2.7,NA,NA,2.5,NA,NA,small,NA,brownish,brown,cryptic
Calamus yentuensis,Calamus,yentuensis,Calameae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,1.5,1.2,understorey,12,NA,0.7,0.5,1,NA,NA,1,NA,NA,small,globose,brown,brown,cryptic
Calamus zebrinus,Calamus,zebrinus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,35,3.6,canopy,NA,2.2,2.2,NA,1.15,0.8,1.5,0.95,0.8,1.1,small,NA,yellowish brown,brown,cryptic
Calamus zeylanicus,Calamus,zeylanicus,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Calamus zollingeri,Calamus,zollingeri,Calameae,Calamoideae,non-climbing,acaulescent,erect,NA,armed,non-armed,NA,NA,canopy,NA,NA,NA,NA,0.5,NA,NA,0.5,NA,NA,small,globose,dark brown,brown,cryptic
Calamus zonatus,Calamus,zonatus,Calameae,Calamoideae,non-climbing,acaulescent,erect,both,armed,non-armed,10,0.7,canopy,NA,1,NA,NA,0.8,NA,NA,0.8,NA,NA,small,NA,greenish-white,white,cryptic
Calyptrocalyx albertisianus,Calyptrocalyx,albertisianus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,15,15,canopy,18,4.5,4,NA,2.85,1.5,4.2,1.8,1,2.6,small,NA,red,red,conspicuous
Calyptrocalyx amoenus,Calyptrocalyx,amoenus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,5,5,understorey,12,1.9,NA,NA,1.1,0.9,1.3,0.8,0.6,1,small,ovoid,crimson,red,conspicuous
Calyptrocalyx arfakianus,Calyptrocalyx,arfakianus,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,2.5,1.4,understorey,10,1,NA,NA,1.15,1.1,1.2,0.75,0.7,0.8,small,NA,black,black,cryptic
Calyptrocalyx awa,Calyptrocalyx,awa,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,3,understorey,11,1.29,NA,NA,1.1,NA,NA,1.1,1,1.2,small,globose,orange,orange,conspicuous
Calyptrocalyx caudiculatus,Calyptrocalyx,caudiculatus,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,2,understorey,11,0.7,NA,NA,1.1,1,1.2,0.55,0.5,0.6,small,globose,red; purple-black,red; purple; black,conspicuous
Calyptrocalyx doxanthus,Calyptrocalyx,doxanthus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,2,understorey,7,1.2,0.6,NA,1.3,1.1,1.5,1.05,0.9,1.2,small,globose,red,red,conspicuous
Calyptrocalyx elegans,Calyptrocalyx,elegans,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,5,6,understorey,15,1.5,NA,0.8,1.3,1.2,1.4,1.1,1,1.2,small,NA,red,red,conspicuous
Calyptrocalyx flabellatus,Calyptrocalyx,flabellatus,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,7,understorey,9,1.38,NA,NA,1.15,1.1,1.2,0.75,0.7,0.8,small,ovoid,orange to scarlet,orange; red,conspicuous
Calyptrocalyx forbesii,Calyptrocalyx,forbesii,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,5,9,understorey,10,2,NA,NA,0.4,0.7,2,1.35,1.2,NA,small,NA,orange to red,orange; red,conspicuous
Calyptrocalyx geonomiformis,Calyptrocalyx,geonomiformis,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,3,understorey,9,0.55,NA,0.1,1,NA,NA,0.8,NA,0.9,small,globose,orange,orange,conspicuous
Calyptrocalyx hollrungii,Calyptrocalyx,hollrungii,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,3,2,understorey,11,1.5,NA,0.16,1.4,1.2,1.6,0.75,0.6,0.9,small,ovoid,orange to red,orange; red,conspicuous
Calyptrocalyx julianettii,Calyptrocalyx,julianettii,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,2.4,understorey,10,0.73,0.7,NA,1.2,1.1,1.3,0.75,0.6,0.9,small,NA,red,red,conspicuous
Calyptrocalyx lauterbachianus,Calyptrocalyx,lauterbachianus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,9,8,canopy,NA,2.5,2,0.55,2.6,1.2,4,1.7,0.9,2.5,small,ovoid,red to bright crimson,red,conspicuous
Calyptrocalyx laxiflorus,Calyptrocalyx,laxiflorus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,0.02,0,understorey,9,0.2,NA,NA,2,1.9,2.1,0.9,NA,NA,small,NA,red,red,conspicuous
Calyptrocalyx lepidotus,Calyptrocalyx,lepidotus,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,4,canopy,NA,0.8,NA,NA,0.85,0.8,0.9,0.425,0.4,0.45,small,NA,red,red,conspicuous
Calyptrocalyx leptostachys,Calyptrocalyx,leptostachys,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,4,2,understorey,NA,1.5,0.6,NA,1.8,1.6,1.7,1.2,NA,NA,small,globose,dark purple-black,purple; black,cryptic
Calyptrocalyx merrillianus,Calyptrocalyx,merrillianus,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,2.2,understorey,9,1.76,NA,0.76,1.9,1.8,2,0.9,0.8,1,small,globose,scarlet to purple-black,red; purple; black,conspicuous
Calyptrocalyx micholitzii,Calyptrocalyx,micholitzii,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,1,1,understorey,16,1,1,NA,1.15,1.1,1.2,0.7,0.6,0.8,small,NA,red,red,conspicuous
Calyptrocalyx multifidus,Calyptrocalyx,multifidus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,4,understorey,7,1.04,NA,0.17,1.3,1,1.6,1.1,1,1.2,small,NA,red,red,conspicuous
Calyptrocalyx pachystachys,Calyptrocalyx,pachystachys,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,5,4,understorey,10,1.15,NA,NA,1.7,1.6,1.8,0.75,0.7,0.8,small,NA,pinkish orange to red,orange; red,conspicuous
Calyptrocalyx pauciflorus,Calyptrocalyx,pauciflorus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,5,understorey,9,1,NA,NA,1.3,NA,NA,1,NA,NA,small,NA,red,red,conspicuous
Calyptrocalyx polyphyllus,Calyptrocalyx,polyphyllus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,4,2,understorey,10,1,NA,NA,1,0.9,1.1,0.6,NA,NA,small,ovoid,red,red,conspicuous
Calyptrocalyx pusillus,Calyptrocalyx,pusillus,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,1,0.6,understorey,7,0.32,NA,NA,0.95,0.8,1.1,0.4,0.3,0.5,small,NA,red,red,conspicuous
Calyptrocalyx sessiliflorus,Calyptrocalyx,sessiliflorus,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,8,understorey,10,0.9,NA,0.17,0.9,NA,NA,0.5,NA,NA,small,globose,bright crimson,red,conspicuous
Calyptrocalyx spicatus,Calyptrocalyx,spicatus,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,14,25,canopy,12,3.7,NA,NA,5,4,6,5,2,3,large,ovoid,orange to bright red,orange; red,conspicuous
Calyptrocalyx yamutumene,Calyptrocalyx,yamutumene,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2.5,3,understorey,14,1.2,NA,NA,1.7,1.6,1.8,1.1,1,1.2,small,NA,red,red,conspicuous
Calyptrogyne allenii,Calyptrogyne,allenii,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,2.5,2.6,understorey,17,NA,0.335,NA,1.15,1.04,1.57,0.72,0.55,0.95,small,NA,green to black,black,cryptic
Calyptrogyne anomala,Calyptrogyne,anomala,Geonomateae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0.5,5,understorey,16,1.16,0.7,0.51,1.08,0.98,1.22,0.53,0.48,0.6,small,globose,black,black,cryptic
Calyptrogyne baudensis,Calyptrogyne,baudensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3.2,6,understorey,14,1.21,1.21,NA,1.68,1.55,1.86,1.05,0.97,1.15,small,NA,black,black,cryptic
Calyptrogyne coloradensis,Calyptrogyne,coloradensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,NA,NA,NA,NA,0.26,0.26,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Calyptrogyne condensata,Calyptrogyne,condensata,Geonomateae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0,8,understorey,NA,NA,NA,NA,1.25,1,1.5,NA,NA,NA,small,NA,brown,brown,cryptic
Calyptrogyne costatifrons,Calyptrogyne,costatifrons,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5.43,4,understorey,21,0.95,1.13,NA,1.56,1.2,1.96,0.96,0.82,1.18,small,NA,black,black,cryptic
Calyptrogyne deneversii,Calyptrogyne,deneversii,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1,NA,understorey,12,0.495,0.5,NA,1.003,0.91,1.16,7.24,6.5,8.4,small,globose,NA,NA,NA
Calyptrogyne fortunensis,Calyptrogyne,fortunensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1,3,understorey,21,0.405,0.405,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Calyptrogyne ghiesbreghtiana,Calyptrogyne,ghiesbreghtiana,Geonomateae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,5,4,understorey,21,1.4,1.18,0.75,1.16,0.88,1.48,0.7,0.45,0.89,small,NA,black,black,cryptic
Calyptrogyne herrerae,Calyptrogyne,herrerae,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,NA,NA,NA,NA,0.895,0.895,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Calyptrogyne kunorum,Calyptrogyne,kunorum,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1.75,7,understorey,22,0.707,0.71,NA,2.07,1.87,2.41,1.233,1.15,1.38,small,NA,brown,brown,cryptic
Calyptrogyne osensis,Calyptrogyne,osensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,0.5,NA,understorey,19,0.85,0.85,NA,1.75,1.48,2.01,1.04,0.87,1.2,small,NA,black,black,cryptic
Calyptrogyne panamensis,Calyptrogyne,panamensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1,5,understorey,12,0.767,0.77,NA,1.12,0.88,1.52,0.63,0.5,0.79,small,ovoid,black,black,cryptic
Calyptrogyne pubescens,Calyptrogyne,pubescens,Geonomateae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0,5,understorey,10,2,0.875,NA,1.22,1.02,1.42,0.74,0.7,0.78,small,NA,black,black,cryptic
Calyptrogyne sanblasensis,Calyptrogyne,sanblasensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1.7,6,understorey,16,1.52,1.52,NA,1.05,0.9,1.26,0.66,0.58,0.72,small,globose,yellow,yellow,conspicuous
Calyptrogyne trichostachys,Calyptrogyne,trichostachys,Geonomateae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,1,11.5,understorey,19,1.17,1.17,NA,0.98,0.83,1.18,0.64,0.55,NA,small,globose,purple black,purple; black,cryptic
Calyptrogyne tutensis,Calyptrogyne,tutensis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,0.7,4.4,understorey,18,0.77,0.77,NA,1.35,1.28,1.4,0.6,0.57,0.65,small,globose,purple; shiny,purple,cryptic
Calyptronoma occidentalis,Calyptronoma,occidentalis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,12,29,canopy,10,4.3,3,1.35,1.28,0.98,1.58,0.72,0.59,0.85,small,globose,NA,NA,NA
Calyptronoma plumeriana,Calyptronoma,plumeriana,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,20.3,canopy,16,4.78,4,0.83,2.5,NA,NA,NA,NA,NA,small,globose,purple red,purple,cryptic
Calyptronoma rivalis,Calyptronoma,rivalis,Geonomateae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,30,canopy,14,5,4,0.95,0.58,0.46,0.7,0.41,0.36,0.46,small,ovoid,bright red,red,conspicuous
Carpentaria acuminata,Carpentaria,acuminata,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,25,canopy,14,4,3.4,0.65,2,NA,NA,1.8,NA,NA,small,ovoid,red; bright scarlet,red,conspicuous
Carpoxylon macrospermum,Carpoxylon,macrospermum,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,35,canopy,NA,4.25,4,0.28,6,NA,NA,3.5,NA,NA,large,ovoid,bright orange,orange,conspicuous
Caryota albertii,Caryota,albertii,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,2.75,2,3.5,1.59,NA,NA,small,NA,dark red to blackish when mature,red,conspicuous
Caryota angustifolia,Caryota,angustifolia,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,45,canopy,NA,5,NA,0.5,1.75,1.6,1.9,1.5,1.4,1.6,small,globose,pink to dull red,pink; red,conspicuous
Caryota cumingii,Caryota,cumingii,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,30,canopy,15,8,8,NA,1.5,NA,NA,1.2,NA,NA,small,ovoid,yellow green brown or brownish; yellow turning reddish-orange; purple-black at maturity,purple; black,cryptic
Caryota kiriwongensis,Caryota,kiriwongensis,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,35,85,canopy,10,8,8,NA,3.3,NA,NA,2.6,NA,NA,small,globose,NA,NA,NA
Caryota maxima,Caryota,maxima,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,33,65,canopy,20,5,5,NA,2.1,1.7,2.5,2.15,1.8,2.5,small,NA,dull reddish; bright pinky-red; dark red,red,conspicuous
Caryota mitis,Caryota,mitis,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,10,20,canopy,12,4,NA,NA,1.4,0.8,2,1.5,1,2,small,NA,purple-black or reddish; red to dark purple,purple; black; red,conspicuous
Caryota monostachya,Caryota,monostachya,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,4,understorey,8,5,5,NA,3.5,NA,NA,3.5,NA,NA,small,NA,brownish purple,purple,cryptic
Caryota no,Caryota,no,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,80,canopy,18,5,4.5,0.55,2.2,NA,NA,2,NA,NA,small,globose,black,black,cryptic
Caryota obtusa,Caryota,obtusa,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,40,90,canopy,15,6,6,NA,3.2,2.9,3.5,2.25,2,2.5,small,NA,reddish; red to orange,red; orange,conspicuous
Caryota ophiopellis,Caryota,ophiopellis,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,NA,canopy,NA,NA,NA,NA,1.4,NA,NA,1.22,NA,NA,small,NA,dark crimson,red,conspicuous
Caryota rumphiana,Caryota,rumphiana,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,50,canopy,15,7,5.5,1.55,2.2,NA,NA,2.8,NA,NA,small,globose,dull crimson to black at maturity,black,cryptic
Caryota sympetala,Caryota,sympetala,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,6,canopy,10,3,NA,2.6,3,NA,NA,3,NA,NA,small,elongate,purple,purple,cryptic
Caryota urens,Caryota,urens,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,65,canopy,20,6.6,6,0.65,2,NA,NA,1.75,1.5,2,small,globose,purple; reddish to blackish,purple,cryptic
Caryota zebrina,Caryota,zebrina,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,40,canopy,NA,9,7,2.1,2.5,NA,NA,1.5,NA,NA,small,globose,young green,NA,NA
Ceratolobus concolor,Ceratolobus,concolor,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,15,0.7,canopy,NA,1.26,1.26,0.09,2,NA,NA,2,NA,NA,small,NA,orange-brown,brown,cryptic
Ceratolobus discolor,Ceratolobus,discolor,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,20,3,canopy,NA,2,NA,NA,2.1,NA,NA,1.75,1.5,2,small,globose,orange-brown,brown,cryptic
Ceratolobus glaucescens,Ceratolobus,glaucescens,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,10,0.8,canopy,NA,1.1,1.1,NA,1.2,NA,NA,0.5,NA,NA,small,globose,brownish,brown,cryptic
Ceratolobus kingianus,Ceratolobus,kingianus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,15,3,canopy,NA,2,2,0.55,1.1,NA,NA,0.8,NA,NA,small,elongate,NA,NA,NA
Ceratolobus pseudoconcolor,Ceratolobus,pseudoconcolor,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,10,0.5,canopy,NA,1,1,NA,1.4,NA,NA,0.7,NA,NA,small,NA,greenish-brown at maturity,brown,cryptic
Ceratolobus subangulatus,Ceratolobus,subangulatus,Calameae,Calamoideae,non-climbing,acaulescent,erect,solitary,armed,non-armed,20,1.7,canopy,NA,1.1,1.1,0.01,1.75,1.5,2,1.5,NA,1.2,small,NA,brown,brown,cryptic
