disease,state,year,weeks_reporting,count,population
Measles,New Jersey,1982,33,6,7397735
Measles,New Jersey,1983,25,27,7421942
Measles,New Jersey,1984,35,6,7451215
Measles,New Jersey,1985,36,25,7485491
Measles,New Jersey,1986,43,891,7524714
Measles,New Jersey,1987,41,39,7568834
Measles,New Jersey,1988,35,329,7617809
Measles,New Jersey,1989,39,411,7671604
Measles,New Jersey,1990,36,191,7730188
Measles,New Jersey,1991,44,1019,7793388
Measles,New Jersey,1992,36,32,7860434
Measles,New Jersey,1993,37,5,7930377
Measles,New Jersey,1994,39,135,8002241
Measles,New Jersey,1995,27,4,8075011
Measles,New Jersey,1996,15,0,8147636
Measles,New Jersey,1997,33,2,8219025
Measles,New Jersey,1998,29,7,8288053
Measles,New Jersey,1999,0,0,8353559
Measles,New Jersey,2000,0,0,8414350
Measles,New Jersey,2001,36,1,8469501
Measles,New Jersey,2002,0,0,8519244
Measles,New Jersey,2003,0,0,8564124
Measles,New Mexico,1928,44,2760,407554
Measles,New Mexico,1929,37,230,415137
Measles,New Mexico,1930,49,2260,423317
Measles,New Mexico,1931,41,1415,432152
Measles,New Mexico,1932,39,1199,441613
Measles,New Mexico,1933,50,668,451645
Measles,New Mexico,1934,50,3374,462186
Measles,New Mexico,1935,43,703,473171
Measles,New Mexico,1936,49,1149,484523
Measles,New Mexico,1937,51,2451,496160
Measles,New Mexico,1938,52,3231,507990
Measles,New Mexico,1939,51,1656,519913
Measles,New Mexico,1940,48,1155,531818
Measles,New Mexico,1941,48,3938,543636
Measles,New Mexico,1942,50,1586,555506
Measles,New Mexico,1943,47,567,567631
Measles,New Mexico,1944,47,1601,580233
Measles,New Mexico,1945,49,365,593555
Measles,New Mexico,1946,51,1209,607860
Measles,New Mexico,1947,45,1320,623438
Measles,New Mexico,1948,42,1055,640607
Measles,New Mexico,1949,51,4324,659724
Measles,New Mexico,1950,48,937,681187
Measles,New Mexico,1951,49,2133,705302
Measles,New Mexico,1952,49,1553,731794
Measles,New Mexico,1953,47,5012,760183
Measles,New Mexico,1954,50,2716,789897
Measles,New Mexico,1955,48,4881,820268
Measles,New Mexico,1956,51,3992,850517
Measles,New Mexico,1957,51,6330,879753
Measles,New Mexico,1958,48,8082,906982
Measles,New Mexico,1959,48,4448,931120
Measles,New Mexico,1960,1,65,951023
Measles,New Mexico,1961,1,20,965847
Measles,New Mexico,1962,0,0,976096
Measles,New Mexico,1963,0,0,982704
Measles,New Mexico,1964,44,1118,986684
Measles,New Mexico,1965,52,694,989096
Measles,New Mexico,1966,50,1272,991022
Measles,New Mexico,1967,52,612,993555
Measles,New Mexico,1968,51,176,997800
Measles,New Mexico,1969,51,286,1004888
Measles,New Mexico,1970,51,302,1016000
Measles,New Mexico,1971,51,402,1032078
Measles,New Mexico,1972,48,134,1052832
Measles,New Mexico,1973,49,158,1077656
Measles,New Mexico,1974,47,62,1105915
Measles,New Mexico,1975,49,108,1136922
Measles,New Mexico,1976,49,16,1169912
Measles,New Mexico,1977,39,24,1204026
Measles,New Mexico,1978,0,0,1238298
Measles,New Mexico,1979,46,41,1271650
Measles,New Mexico,1980,38,13,1302894
Measles,New Mexico,1981,27,15,1331035
Measles,New Mexico,1982,0,0,1356188
Measles,New Mexico,1983,0,0,1378808
Measles,New Mexico,1984,41,73,1399412
Measles,New Mexico,1985,32,4,1418565
Measles,New Mexico,1986,48,38,1436874
Measles,New Mexico,1987,44,157,1454982
Measles,New Mexico,1988,0,0,1473568
Measles,New Mexico,1989,36,21,1493346
Measles,New Mexico,1990,42,101,1515069
Measles,New Mexico,1991,46,77,1539342
Measles,New Mexico,1992,18,1,1566028
Measles,New Mexico,1993,0,0,1594781
Measles,New Mexico,1994,0,0,1625235
Measles,New Mexico,1995,51,31,1656994
Measles,New Mexico,1996,28,17,1689627
Measles,New Mexico,1997,5,7,1722670
Measles,New Mexico,1998,0,0,1755621
Measles,New Mexico,1999,0,0,1787939
Measles,New Mexico,2000,0,0,1819046
Measles,New Mexico,2001,0,0,1848459
Measles,New Mexico,2002,0,0,1876190
Measles,New Mexico,2003,0,0,1902391
Measles,New York,1928,51,75391,12184134
Measles,New York,1929,52,30318,12397906
Measles,New York,1930,52,39887,12588066
Measles,New York,1931,52,54376,12749102
Measles,New York,1932,52,60464,12882742
Measles,New York,1933,52,72057,12992852
Measles,New York,1934,52,34208,13083613
Measles,New York,1935,52,69073,13159437
Measles,New York,1936,50,64366,13224911
Measles,New York,1937,50,27404,13284755
Measles,New York,1938,52,70111,13343787
Measles,New York,1939,50,44812,13406915
Measles,New York,1940,48,28562,13479142
Measles,New York,1941,48,104747,13564576
Measles,New York,1942,50,24865,13663361
Measles,New York,1943,47,61243,13774649
Measles,New York,1944,47,42287,13897589
Measles,New York,1945,48,6548,14031321
Measles,New York,1946,52,80500,14174970
Measles,New York,1947,50,15097,14327635
Measles,New York,1948,44,47977,14488381
Measles,New York,1949,52,52580,14656239
Measles,New York,1950,51,29924,14830192
Measles,New York,1951,49,35827,15009302
Measles,New York,1952,49,76056,15193092
Measles,New York,1953,49,11516,15381188
Measles,New York,1954,52,86718,15573194
Measles,New York,1955,49,38542,15768693
Measles,New York,1956,52,49716,15967244
Measles,New York,1957,51,38255,16168384
Measles,New York,1958,50,60457,16371622
Measles,New York,1959,48,23392,16576443
Measles,New York,1960,52,46685,16782304
Measles,New York,1961,51,35367,16988157
Measles,New York,1962,52,47224,17190958
Measles,New York,1963,48,18799,17387034
Measles,New York,1964,51,27599,17572556
Measles,New York,1965,52,9296,17743562
Measles,New York,1966,51,10894,17895985
Measles,New York,1967,52,1205,18025684
Measles,New York,1968,52,3799,18128492
Measles,New York,1969,51,5520,18200269
Measles,New York,1970,51,1568,18236967
Measles,New York,1971,50,4384,18236388
Measles,New York,1972,50,655,18203314
Measles,New York,1973,51,1772,18144367
Measles,New York,1974,48,1416,18066218
Measles,New York,1975,51,1221,17975503
Measles,New York,1976,52,3093,17878766
Measles,New York,1977,49,4630,17782428
Measles,New York,1978,52,1840,17692772
Measles,New York,1979,52,1563,17615962
Measles,New York,1980,48,1930,17558072
Measles,New York,1981,47,349,17523755
Measles,New York,1982,44,182,17512164
Measles,New York,1983,18,31,17521154
Measles,New York,1984,38,146,17548657
Measles,New York,1985,40,166,17592652
Measles,New York,1986,39,945,17651150
Measles,New York,1987,46,436,17722172
Measles,New York,1988,34,92,17803734
Measles,New York,1989,44,291,17893839
Measles,New York,1990,45,806,17990455
Measles,New York,1991,37,1407,18091650
Measles,New York,1992,33,112,18195984
Measles,New York,1993,1,0,18302118
Measles,New York,1994,39,56,18408682
Measles,New York,1995,22,2,18514274
Measles,New York,1996,0,0,18617460
Measles,New York,1997,39,22,18716776
Measles,New York,1998,0,0,18810729
Measles,New York,1999,0,0,18897802
Measles,New York,2000,19,2,18976457
Measles,New York,2001,17,0,19045556
Measles,New York,2002,14,1,19105612
Measles,New York,2003,0,0,19157572
Measles,North Carolina,1928,48,56207,3051145
Measles,North Carolina,1929,47,1207,3112698
Measles,North Carolina,1930,52,1304,3170276
Measles,North Carolina,1931,51,15299,3222797
Measles,North Carolina,1932,52,13653,3270525
Measles,North Carolina,1933,52,16197,3314127
Measles,North Carolina,1934,52,55684,3354334
Measles,North Carolina,1935,49,10763,3391936
Measles,North Carolina,1936,48,1347,3427771
Measles,North Carolina,1937,50,7652,3462717
Measles,North Carolina,1938,51,47589,3497696
Measles,North Carolina,1939,51,23355,3533666
Measles,North Carolina,1940,48,7523,3571623
Measles,North Carolina,1941,48,23632,3612382
Measles,North Carolina,1942,50,20163,3655872
Measles,North Carolina,1943,47,6067,3701788
Measles,North Carolina,1944,47,23906,3749809
Measles,North Carolina,1945,48,2562,3799599
Measles,North Carolina,1946,52,8346,3850802
Measles,North Carolina,1947,50,4810,3903045
Measles,North Carolina,1948,43,1035,3955929
Measles,North Carolina,1949,51,17306,4009038
Measles,North Carolina,1950,51,4836,4061929
Measles,North Carolina,1951,49,3353,4114220
Measles,North Carolina,1952,49,3847,4165838
Measles,North Carolina,1953,49,4757,4216791
Measles,North Carolina,1954,50,9472,4267092
Measles,North Carolina,1955,48,1259,4316755
Measles,North Carolina,1956,51,7705,4365795
Measles,North Carolina,1957,50,1906,4414232
Measles,North Carolina,1958,50,4103,4462088
Measles,North Carolina,1959,41,3260,4509387
Measles,North Carolina,1960,50,1239,4556155
Measles,North Carolina,1961,50,5162,4602494
Measles,North Carolina,1962,48,907,4648805
Measles,North Carolina,1963,46,1449,4695582
Measles,North Carolina,1964,47,1265,4743339
Measles,North Carolina,1965,52,419,4792610
Measles,North Carolina,1966,51,778,4843951
Measles,North Carolina,1967,52,943,4897944
Measles,North Carolina,1968,50,324,4955195
Measles,North Carolina,1969,51,373,5016342
Measles,North Carolina,1970,51,1013,5082059
Measles,North Carolina,1971,50,1900,5152805
Measles,North Carolina,1972,49,37,5228047
Measles,North Carolina,1973,48,6,5306964
Measles,North Carolina,1974,42,6,5388688
Measles,North Carolina,1975,30,3,5472289
Measles,North Carolina,1976,28,19,5556784
Measles,North Carolina,1977,43,52,5641121
Measles,North Carolina,1978,49,125,5724190
Measles,North Carolina,1979,46,115,5804815
Measles,North Carolina,1980,49,131,5881766
Measles,North Carolina,1981,30,6,5954197
Measles,North Carolina,1982,12,2,6023017
Measles,North Carolina,1983,0,0,6089643
Measles,North Carolina,1984,0,0,6155563
Measles,North Carolina,1985,35,9,6222335
Measles,North Carolina,1986,32,4,6291584
Measles,North Carolina,1987,31,14,6365009
Measles,North Carolina,1988,2,2,6444390
Measles,North Carolina,1989,46,195,6531602
Measles,North Carolina,1990,41,45,6628637
Measles,North Carolina,1991,34,45,6737074
Measles,North Carolina,1992,37,25,6856389
Measles,North Carolina,1993,0,0,6985472
Measles,North Carolina,1994,24,3,7123139
Measles,North Carolina,1995,0,0,7268111
Measles,North Carolina,1996,22,4,7418999
Measles,North Carolina,1997,29,2,7574287
Measles,North Carolina,1998,0,0,7732325
Measles,North Carolina,1999,3,0,7891315
Measles,North Carolina,2000,0,0,8049313
Measles,North Carolina,2001,0,0,8204646
Measles,North Carolina,2002,0,0,8357246
Measles,North Carolina,2003,0,0,8507499
Measles,North Dakota,1928,44,371,677536
Measles,North Dakota,1929,52,2286,679814
Measles,North Dakota,1930,42,798,680845
Measles,North Dakota,1931,40,966,680435
Measles,North Dakota,1932,49,2150,678704
Measles,North Dakota,1933,51,2518,675859
Measles,North Dakota,1934,52,4419,672108
Measles,North Dakota,1935,51,1946,667657
Measles,North Dakota,1936,35,110,662712
Measles,North Dakota,1937,26,55,657475
Measles,North Dakota,1938,52,5589,652141
Measles,North Dakota,1939,50,5431,646900
Measles,North Dakota,1940,48,961,641935
Measles,North Dakota,1941,48,1373,637398
Measles,North Dakota,1942,50,1599,633330
Measles,North Dakota,1943,47,4362,629747
Measles,North Dakota,1944,47,3441,626664
Measles,North Dakota,1945,48,350,624096
Measles,North Dakota,1946,38,233,622062
Measles,North Dakota,1947,50,1366,620579
Measles,North Dakota,1948,44,1244,619666
Measles,North Dakota,1949,51,1468,619344
Measles,North Dakota,1950,46,394,619636
Measles,North Dakota,1951,49,2579,620536
Measles,North Dakota,1952,47,2633,621924
Measles,North Dakota,1953,48,1550,623651
Measles,North Dakota,1954,52,2775,625568
Measles,North Dakota,1955,48,2508,627522
Measles,North Dakota,1956,51,2222,629361
Measles,North Dakota,1957,50,3851,630929
Measles,North Dakota,1958,49,4330,632070
Measles,North Dakota,1959,48,5559,632628
Measles,North Dakota,1960,51,2476,632446
Measles,North Dakota,1961,48,2814,631432
Measles,North Dakota,1962,52,3715,629744
Measles,North Dakota,1963,48,4366,627600
Measles,North Dakota,1964,51,5278,625218
Measles,North Dakota,1965,52,4045,622812
Measles,North Dakota,1966,51,1376,620595
Measles,North Dakota,1967,52,896,618774
Measles,North Dakota,1968,52,142,617557
Measles,North Dakota,1969,46,81,617149
Measles,North Dakota,1970,49,321,617761
Measles,North Dakota,1971,49,228,619530
Measles,North Dakota,1972,48,60,622305
Measles,North Dakota,1973,47,71,625858
Measles,North Dakota,1974,47,37,629961
Measles,North Dakota,1975,49,852,634384
Measles,North Dakota,1976,51,3,638887
Measles,North Dakota,1977,46,31,643226
Measles,North Dakota,1978,40,179,647149
Measles,North Dakota,1979,51,17,650399
Measles,North Dakota,1980,11,0,652717
Measles,North Dakota,1981,0,0,653912
Measles,North Dakota,1982,0,0,654077
Measles,North Dakota,1983,0,0,653381
Measles,North Dakota,1984,0,0,651996
Measles,North Dakota,1985,1,1,650094
Measles,North Dakota,1986,31,21,647847
Measles,North Dakota,1987,21,0,645427
Measles,North Dakota,1988,0,0,643003
Measles,North Dakota,1989,0,0,640739
Measles,North Dakota,1990,0,0,638800
Measles,North Dakota,1991,0,0,637317
Measles,North Dakota,1992,0,0,636298
Measles,North Dakota,1993,0,0,635718
Measles,North Dakota,1994,0,0,635555
Measles,North Dakota,1995,0,0,635789
Measles,North Dakota,1996,0,0,636399
Measles,North Dakota,1997,1,1,637364
Measles,North Dakota,1998,0,0,638665
Measles,North Dakota,1999,0,0,640283
Measles,North Dakota,2000,0,0,642200
Measles,North Dakota,2001,0,0,644395
Measles,North Dakota,2002,0,0,646845
Measles,North Dakota,2003,0,0,649525
Measles,Ohio,1928,49,23522,6527488
Measles,Ohio,1929,52,37181,6592629
Measles,Ohio,1930,52,18488,6646697
Measles,Ohio,1931,52,19500,6689002
Measles,Ohio,1932,52,36228,6721219
Measles,Ohio,1933,52,15751,6745692
Measles,Ohio,1934,51,27713,6764836
Measles,Ohio,1935,52,36976,6781110
Measles,Ohio,1936,50,9285,6797005
Measles,Ohio,1937,50,24944,6815037
Measles,Ohio,1938,52,47471,6837749
Measles,Ohio,1939,50,5099,6867725
Measles,Ohio,1940,48,1559,6907612
Measles,Ohio,1941,48,78820,6959617
Measles,Ohio,1942,50,8857,7023902
Measles,Ohio,1943,47,18987,7100140
Measles,Ohio,1944,47,38596,7188043
Measles,Ohio,1945,48,3446,7287348
Measles,Ohio,1946,52,15059,7397811
Measles,Ohio,1947,50,18451,7519199
Measles,Ohio,1948,44,22234,7651286
Measles,Ohio,1949,52,21389,7793842
Measles,Ohio,1950,50,12911,7946627
Measles,Ohio,1951,49,23843,8109174
Measles,Ohio,1952,48,20528,8280106
Measles,Ohio,1953,49,27058,8457700
Measles,Ohio,1954,52,28597,8640071
Measles,Ohio,1955,49,15356,8825160
Measles,Ohio,1956,52,43946,9010725
Measles,Ohio,1957,51,8181,9194333
Measles,Ohio,1958,50,30025,9373370
Measles,Ohio,1959,48,12029,9545042
Measles,Ohio,1960,51,18605,9706398
Measles,Ohio,1961,51,20569,9854909
Measles,Ohio,1962,52,11763,9990233
Measles,Ohio,1963,48,14646,10112669
Measles,Ohio,1964,51,19266,10222613
Measles,Ohio,1965,52,9277,10320547
Measles,Ohio,1966,51,6503,10407031
Measles,Ohio,1967,52,1220,10482699
Measles,Ohio,1968,52,334,10548245
Measles,Ohio,1969,50,565,10604419
Measles,Ohio,1970,51,4044,10652017
Measles,Ohio,1971,51,3984,10691820
Measles,Ohio,1972,49,298,10724428
Measles,Ohio,1973,51,403,10750407
Measles,Ohio,1974,50,2952,10770347
Measles,Ohio,1975,51,114,10784850
Measles,Ohio,1976,51,726,10794532
Measles,Ohio,1977,49,1867,10800017
Measles,Ohio,1978,51,501,10801937
Measles,Ohio,1979,49,326,10800929
Measles,Ohio,1980,48,380,10797630
Measles,Ohio,1981,40,20,10792749
Measles,Ohio,1982,30,3,10787264
Measles,Ohio,1983,31,88,10782220
Measles,Ohio,1984,44,10,10778661
Measles,Ohio,1985,3,0,10777629
Measles,Ohio,1986,0,0,10780167
Measles,Ohio,1987,35,1,10787323
Measles,Ohio,1988,31,96,10800151
Measles,Ohio,1989,50,2722,10819719
Measles,Ohio,1990,41,567,10847115
Measles,Ohio,1991,23,12,10883011
Measles,Ohio,1992,20,5,10926334
Measles,Ohio,1993,23,11,10975568
Measles,Ohio,1994,35,5,11029176
Measles,Ohio,1995,32,2,11085598
Measles,Ohio,1996,40,6,11143245
Measles,Ohio,1997,1,34,11200494
Measles,Ohio,1998,24,0,11255689
Measles,Ohio,1999,0,0,11307142
Measles,Ohio,2000,45,3,11353140
Measles,Ohio,2001,38,1,11392347
Measles,Ohio,2002,23,0,11425030
Measles,Ohio,2003,0,0,11451874
Measles,Oklahoma,1928,50,6298,2349112
Measles,Oklahoma,1929,51,1095,2375598
Measles,Oklahoma,1930,51,3960,2396040
Measles,Oklahoma,1931,43,774,2409764
Measles,Oklahoma,1932,47,1034,2417147
Measles,Oklahoma,1933,46,2437,2418878
Measles,Oklahoma,1934,46,9040,2415690
Measles,Oklahoma,1935,43,2456,2408345
Measles,Oklahoma,1936,44,360,2397621
Measles,Oklahoma,1937,48,1065,2384300
Measles,Oklahoma,1938,52,2714,2369157
Measles,Oklahoma,1939,51,4539,2352954
Measles,Oklahoma,1940,48,1409,2336434
Measles,Oklahoma,1941,48,2008,2320247
Measles,Oklahoma,1942,50,5781,2304725
Measles,Oklahoma,1943,47,1677,2290114
Measles,Oklahoma,1944,47,3409,2276658
Measles,Oklahoma,1945,48,1038,2264594
Measles,Oklahoma,1946,48,4022,2254157
Measles,Oklahoma,1947,43,231,2245579
Measles,Oklahoma,1948,42,1379,2239094
Measles,Oklahoma,1949,50,7453,2234938
Measles,Oklahoma,1950,50,613,2233351
Measles,Oklahoma,1951,48,7954,2234493
Measles,Oklahoma,1952,49,2046,2238183
Measles,Oklahoma,1953,47,3777,2244157
Measles,Oklahoma,1954,52,3361,2252158
Measles,Oklahoma,1955,49,2976,2261929
Measles,Oklahoma,1956,49,10011,2273216
Measles,Oklahoma,1957,50,1508,2285759
Measles,Oklahoma,1958,45,7206,2299297
Measles,Oklahoma,1959,41,668,2313563
Measles,Oklahoma,1960,40,1208,2328284
Measles,Oklahoma,1961,41,598,2343296
Measles,Oklahoma,1962,34,2099,2358898
Measles,Oklahoma,1963,34,346,2375514
Measles,Oklahoma,1964,42,1038,2393580
Measles,Oklahoma,1965,51,244,2413549
Measles,Oklahoma,1966,50,620,2435889
Measles,Oklahoma,1967,52,806,2461092
Measles,Oklahoma,1968,52,124,2489676
Measles,Oklahoma,1969,50,142,2522191
Measles,Oklahoma,1970,45,802,2559229
Measles,Oklahoma,1971,49,666,2601155
Measles,Oklahoma,1972,48,13,2647262
Measles,Oklahoma,1973,49,66,2696521
Measles,Oklahoma,1974,47,29,2747823
Measles,Oklahoma,1975,49,271,2799976
Measles,Oklahoma,1976,51,289,2851691
Measles,Oklahoma,1977,48,52,2901587
Measles,Oklahoma,1978,47,28,2948193
Measles,Oklahoma,1979,44,26,2989962
Measles,Oklahoma,1980,48,702,3025290
Measles,Oklahoma,1981,44,8,3053002
Measles,Oklahoma,1982,23,33,3073780
Measles,Oklahoma,1983,30,1,3088839
Measles,Oklahoma,1984,13,9,3099463
Measles,Oklahoma,1985,0,0,3106976
Measles,Oklahoma,1986,34,32,3112726
Measles,Oklahoma,1987,31,4,3118080
Measles,Oklahoma,1988,45,8,3124412
Measles,Oklahoma,1989,43,127,3133112
Measles,Oklahoma,1990,42,177,3145585
Measles,Oklahoma,1991,0,0,3162924
Measles,Oklahoma,1992,30,8,3184866
Measles,Oklahoma,1993,0,0,3210805
Measles,Oklahoma,1994,0,0,3240130
Measles,Oklahoma,1995,0,0,3272219
Measles,Oklahoma,1996,0,0,3306427
Measles,Oklahoma,1997,11,0,3342087
Measles,Oklahoma,1998,0,0,3378502
Measles,Oklahoma,1999,0,0,3414944
Measles,Oklahoma,2000,0,0,3450654
Measles,Oklahoma,2001,0,0,3485001
Measles,Oklahoma,2002,0,0,3517968
Measles,Oklahoma,2003,0,0,3549703
Measles,Oregon,1928,52,2089,920428
Measles,Oregon,1929,51,4662,938059
Measles,Oregon,1930,52,2642,953786
Measles,Oregon,1931,52,2343,967123
Measles,Oregon,1932,52,4998,978494
Measles,Oregon,1933,52,2253,988594
Measles,Oregon,1934,52,1906,998156
Measles,Oregon,1935,52,7061,1007944
Measles,Oregon,1936,50,9421,1018755
Measles,Oregon,1937,51,400,1031420
Measles,Oregon,1938,52,1306,1046817
Measles,Oregon,1939,51,2379,1065893
Measles,Oregon,1940,48,7291,1089684
Measles,Oregon,1941,48,6507,1119047
Measles,Oregon,1942,50,5526,1153688
Measles,Oregon,1943,47,8475,1192977
Measles,Oregon,1944,47,2959,1236201
Measles,Oregon,1945,48,1956,1282541
Measles,Oregon,1946,52,6068,1331032
Measles,Oregon,1947,49,980,1380550
Measles,Oregon,1948,43,5165,1429791
Measles,Oregon,1949,52,9793,1477272
Measles,Oregon,1950,50,757,1521341
Measles,Oregon,1951,49,9613,1560570
Measles,Oregon,1952,49,3324,1594959
Measles,Oregon,1953,47,8936,1624970
Measles,Oregon,1954,52,3973,1651167
Measles,Oregon,1955,49,4897,1674198
Measles,Oregon,1956,52,2293,1694780
Measles,Oregon,1957,51,15053,1713684
Measles,Oregon,1958,50,9088,1731726
Measles,Oregon,1959,48,7815,1749763
Measles,Oregon,1960,52,11074,1768687
Measles,Oregon,1961,51,5755,1789299
Measles,Oregon,1962,52,13929,1811908
Measles,Oregon,1963,45,4787,1836707
Measles,Oregon,1964,51,8553,1863903
Measles,Oregon,1965,52,3520,1893720
Measles,Oregon,1966,51,2499,1926399
Measles,Oregon,1967,52,1717,1962204
Measles,Oregon,1968,52,614,2001422
Measles,Oregon,1969,51,202,2044367
Measles,Oregon,1970,45,455,2091385
Measles,Oregon,1971,49,350,2142655
Measles,Oregon,1972,49,202,2197540
Measles,Oregon,1973,50,446,2255122
Measles,Oregon,1974,4,24,2314377
Measles,Oregon,1975,49,201,2374166
Measles,Oregon,1976,47,175,2433231
Measles,Oregon,1977,46,321,2490192
Measles,Oregon,1978,47,532,2543561
Measles,Oregon,1979,50,73,2591750
Measles,Oregon,1980,14,2,2633105
Measles,Oregon,1981,30,5,2666441
Measles,Oregon,1982,24,19,2692647
Measles,Oregon,1983,45,10,2713240
Measles,Oregon,1984,0,0,2729830
Measles,Oregon,1985,39,5,2744096
Measles,Oregon,1986,24,7,2757761
Measles,Oregon,1987,48,82,2772587
Measles,Oregon,1988,35,36,2790374
Measles,Oregon,1989,20,41,2812975
Measles,Oregon,1990,25,39,2842321
Measles,Oregon,1991,39,82,2879922
Measles,Oregon,1992,42,9,2925245
Measles,Oregon,1993,0,0,2977217
Measles,Oregon,1994,0,0,3034716
Measles,Oregon,1995,41,3,3096548
Measles,Oregon,1996,34,11,3161421
Measles,Oregon,1997,1,3,3227933
Measles,Oregon,1998,0,0,3294557
Measles,Oregon,1999,47,5,3359638
Measles,Oregon,2000,0,0,3421399
Measles,Oregon,2001,46,6,3478333
Measles,Oregon,2002,0,0,3530420
Measles,Oregon,2003,0,0,3578065
Measles,Pennsylvania,1928,52,57237,9495693
Measles,Pennsylvania,1929,50,47605,9568843
Measles,Pennsylvania,1930,52,34404,9631350
Measles,Pennsylvania,1931,52,79748,9682120
Measles,Pennsylvania,1932,52,45957,9722390
Measles,Pennsylvania,1933,52,32912,9754042
Measles,Pennsylvania,1934,52,83076,9779006
Measles,Pennsylvania,1935,52,89661,9799253
Measles,Pennsylvania,1936,50,23783,9816779
Measles,Pennsylvania,1937,50,38270,9833598
Measles,Pennsylvania,1938,52,132342,9851738
Measles,Pennsylvania,1939,50,18479,9873244
Measles,Pennsylvania,1940,48,14712,9900180
Measles,Pennsylvania,1941,48,100230,9934204
Measles,Pennsylvania,1942,50,36915,9975256
Measles,Pennsylvania,1943,47,53185,10022848
Measles,Pennsylvania,1944,47,23641,10076497
Measles,Pennsylvania,1945,48,11640,10135718
Measles,Pennsylvania,1946,51,60330,10200021
Measles,Pennsylvania,1947,48,11561,10268913
Measles,Pennsylvania,1948,43,31549,10341887
Measles,Pennsylvania,1949,52,50284,10418430
Measles,Pennsylvania,1950,51,17382,10498012
Measles,Pennsylvania,1951,48,31369,10580077
Measles,Pennsylvania,1952,48,37656,10664002
Measles,Pennsylvania,1953,49,15586,10749134
Measles,Pennsylvania,1954,51,38057,10834797
Measles,Pennsylvania,1955,46,18647,10920293
Measles,Pennsylvania,1956,52,43664,11004904
Measles,Pennsylvania,1957,48,12826,11087888
Measles,Pennsylvania,1958,45,33968,11168483
Measles,Pennsylvania,1959,45,27808,11245909
Measles,Pennsylvania,1960,51,6767,11319366
Measles,Pennsylvania,1961,51,25758,11388177
Measles,Pennsylvania,1962,52,9437,11452202
Measles,Pennsylvania,1963,48,12122,11511442
Measles,Pennsylvania,1964,50,11736,11565907
Measles,Pennsylvania,1965,52,6644,11615615
Measles,Pennsylvania,1966,51,5499,11660590
Measles,Pennsylvania,1967,52,792,11700865
Measles,Pennsylvania,1968,46,295,11736478
Measles,Pennsylvania,1969,51,1251,11767475
Measles,Pennsylvania,1970,51,2098,11793909
Measles,Pennsylvania,1971,51,1855,11815878
Measles,Pennsylvania,1972,48,67,11833653
Measles,Pennsylvania,1973,51,404,11847552
Measles,Pennsylvania,1974,50,921,11857896
Measles,Pennsylvania,1975,50,564,11865015
Measles,Pennsylvania,1976,52,3389,11869239
Measles,Pennsylvania,1977,48,3216,11870902
Measles,Pennsylvania,1978,52,327,11870340
Measles,Pennsylvania,1979,48,63,11867892
Measles,Pennsylvania,1980,47,1127,11863895
Measles,Pennsylvania,1981,45,513,11858756
Measles,Pennsylvania,1982,51,7,11853157
Measles,Pennsylvania,1983,0,0,11847847
Measles,Pennsylvania,1984,2,5,11843575
Measles,Pennsylvania,1985,35,40,11841087
Measles,Pennsylvania,1986,32,27,11841129
Measles,Pennsylvania,1987,39,30,11844452
Measles,Pennsylvania,1988,48,521,11851805
Measles,Pennsylvania,1989,49,236,11863947
Measles,Pennsylvania,1990,47,448,11881643
Measles,Pennsylvania,1991,47,1402,11905415
Measles,Pennsylvania,1992,42,10,11934776
Measles,Pennsylvania,1993,0,0,11968987
Measles,Pennsylvania,1994,34,7,12007307
Measles,Pennsylvania,1995,2,1,12048988
Measles,Pennsylvania,1996,35,12,12093277
Measles,Pennsylvania,1997,40,15,12139408
Measles,Pennsylvania,1998,33,3,12186608
Measles,Pennsylvania,1999,0,0,12234090
Measles,Pennsylvania,2000,28,0,12281054
Measles,Pennsylvania,2001,42,6,12326849
Measles,Pennsylvania,2002,0,0,12371452
Measles,Pennsylvania,2003,0,0,12415000
Measles,Rhode Island,1928,50,4986,673906
Measles,Rhode Island,1929,41,1851,681294
Measles,Rhode Island,1930,40,269,687497
Measles,Rhode Island,1931,48,4529,692313
Measles,Rhode Island,1932,42,9970,695903
Measles,Rhode Island,1933,27,63,698530
Measles,Rhode Island,1934,45,444,700466
Measles,Rhode Island,1935,51,6740,701988
Measles,Rhode Island,1936,46,2529,703378
Measles,Rhode Island,1937,41,4714,704921
Measles,Rhode Island,1938,39,252,706902
Measles,Rhode Island,1939,50,2925,709611
Measles,Rhode Island,1940,48,3369,713346
Measles,Rhode Island,1941,48,422,718330
Measles,Rhode Island,1942,50,4559,724463
Measles,Rhode Island,1943,47,2253,731565
Measles,Rhode Island,1944,47,4262,739450
Measles,Rhode Island,1945,47,432,747928
Measles,Rhode Island,1946,46,1237,756799
Measles,Rhode Island,1947,40,3938,765855
Measles,Rhode Island,1948,38,381,774878
Measles,Rhode Island,1949,40,4499,783638
Measles,Rhode Island,1950,44,241,791896
Measles,Rhode Island,1951,48,888,799471
Measles,Rhode Island,1952,43,5341,806441
Measles,Rhode Island,1953,25,505,812953
Measles,Rhode Island,1954,49,1825,819165
Measles,Rhode Island,1955,36,5409,825236
Measles,Rhode Island,1956,34,188,831334
Measles,Rhode Island,1957,38,618,837628
Measles,Rhode Island,1958,41,4263,844296
Measles,Rhode Island,1959,32,308,851520
Measles,Rhode Island,1960,50,1948,859488
