date,weightclass,fighter,rank
2018-03-05,Women's Bantamweight,Marion Reneau,7
2018-03-05,Women's Bantamweight,Sara McMann,8
2018-03-05,Women's Bantamweight,Bethe Correia,9
2018-03-05,Women's Bantamweight,Leslie Smith,10
2018-03-05,Women's Bantamweight,Aspen Ladd,11
2018-03-05,Women's Bantamweight,Lucie Pudilova,12
2018-03-05,Women's Bantamweight,Ronda Rousey,13
2018-03-05,Women's Bantamweight,Irene Aldana,14
2018-03-05,Women's Bantamweight,Lina Lansberg,15
2018-03-05,Women's Bantamweight,Sarah Moras,15
2018-03-05,Women's Featherweight,Cris Cyborg,0
2018-03-21,Pound-for-Pound,Demetrious Johnson,1
2018-03-21,Pound-for-Pound,Conor McGregor,2
2018-03-21,Pound-for-Pound,Georges St-Pierre,3
2018-03-21,Pound-for-Pound,Daniel Cormier,4
2018-03-21,Pound-for-Pound,Stipe Miocic,4
2018-03-21,Pound-for-Pound,Max Holloway,6
2018-03-21,Pound-for-Pound,TJ Dillashaw,7
2018-03-21,Pound-for-Pound,Tyron Woodley,8
2018-03-21,Pound-for-Pound,Cris Cyborg,9
2018-03-21,Pound-for-Pound,Tony Ferguson,10
2018-03-21,Pound-for-Pound,Amanda Nunes,11
2018-03-21,Pound-for-Pound,Robert Whittaker,12
2018-03-21,Pound-for-Pound,Cody Garbrandt,13
2018-03-21,Pound-for-Pound,Khabib Nurmagomedov,14
2018-03-21,Pound-for-Pound,Joanna Jedrzejczyk,15
2018-03-21,Flyweight,Demetrious Johnson,0
2018-03-21,Flyweight,Joseph Benavidez,1
2018-03-21,Flyweight,Henry Cejudo,2
2018-03-21,Flyweight,Ray Borg,3
2018-03-21,Flyweight,Jussier Formiga,4
2018-03-21,Flyweight,Sergio Pettis,5
2018-03-21,Flyweight,Wilson Reis,6
2018-03-21,Flyweight,Brandon Moreno,7
2018-03-21,Flyweight,Ben Nguyen,8
2018-03-21,Flyweight,Dustin Ortiz,9
2018-03-21,Flyweight,John Moraga,10
2018-03-21,Flyweight,Alexandre Pantoja,11
2018-03-21,Flyweight,Matheus Nicolau,12
2018-03-21,Flyweight,Tim Elliott,13
2018-03-21,Flyweight,Deiveson Figueiredo,14
2018-03-21,Flyweight,Magomed Bibulatov,15
2018-03-21,Bantamweight,TJ Dillashaw,0
2018-03-21,Bantamweight,Cody Garbrandt,1
2018-03-21,Bantamweight,Dominick Cruz,2
2018-03-21,Bantamweight,Raphael Assuncao,3
2018-03-21,Bantamweight,Jimmie Rivera,4
2018-03-21,Bantamweight,Marlon Moraes,5
2018-03-21,Bantamweight,John Lineker,6
2018-03-21,Bantamweight,John Dodson,7
2018-03-21,Bantamweight,Aljamain Sterling,8
2018-03-21,Bantamweight,Bryan Caraway,8
2018-03-21,Bantamweight,Pedro Munhoz,10
2018-03-21,Bantamweight,Cody Stamann,11
2018-03-21,Bantamweight,Rob Font,12
2018-03-21,Bantamweight,Thomas Almeida,13
2018-03-21,Bantamweight,Brett Johns,14
2018-03-21,Bantamweight,Eddie Wineland,15
2018-03-21,Featherweight,Max Holloway,0
2018-03-21,Featherweight,Brian Ortega,1
2018-03-21,Featherweight,Jose Aldo,2
2018-03-21,Featherweight,Frankie Edgar,3
2018-03-21,Featherweight,Cub Swanson,4
2018-03-21,Featherweight,Jeremy Stephens,5
2018-03-21,Featherweight,Josh Emmett,6
2018-03-21,Featherweight,Ricardo Lamas,7
2018-03-21,Featherweight,Chan Sung Jung,8
2018-03-21,Featherweight,Darren Elkins,9
2018-03-21,Featherweight,Yair Rodriguez,10
2018-03-21,Featherweight,Renato Moicano,11
2018-03-21,Featherweight,Mirsad Bektic,12
2018-03-21,Featherweight,Calvin Kattar,13
2018-03-21,Featherweight,Myles Jury,14
2018-03-21,Featherweight,Dooho Choi,15
2018-03-21,Lightweight,Conor McGregor,0
2018-03-21,Lightweight,Tony Ferguson,1
2018-03-21,Lightweight,Khabib Nurmagomedov,2
2018-03-21,Lightweight,Eddie Alvarez,3
2018-03-21,Lightweight,Edson Barboza,4
2018-03-21,Lightweight,Dustin Poirier,5
2018-03-21,Lightweight,Justin Gaethje,6
2018-03-21,Lightweight,Kevin Lee,7
2018-03-21,Lightweight,Nate Diaz,8
2018-03-21,Lightweight,Michael Chiesa,9
2018-03-21,Lightweight,James Vick,10
2018-03-21,Lightweight,Al Iaquinta,11
2018-03-21,Lightweight,Anthony Pettis,12
2018-03-21,Lightweight,Alexander Hernandez,13
2018-03-21,Lightweight,Evan Dunham,14
2018-03-21,Lightweight,Beneil Dariush,15
2018-03-21,Welterweight,Tyron Woodley,0
2018-03-21,Welterweight,Stephen Thompson,1
2018-03-21,Welterweight,Rafael Dos Anjos,2
2018-03-21,Welterweight,Colby Covington,3
2018-03-21,Welterweight,Robbie Lawler,4
2018-03-21,Welterweight,Demian Maia,5
2018-03-21,Welterweight,Jorge Masvidal,6
2018-03-21,Welterweight,Darren Till,7
2018-03-21,Welterweight,Kamaru Usman,7
2018-03-21,Welterweight,Neil Magny,9
2018-03-21,Welterweight,Santiago Ponzinibbio,10
2018-03-21,Welterweight,Donald Cerrone,11
2018-03-21,Welterweight,Carlos Condit,12
2018-03-21,Welterweight,Gunnar Nelson,13
2018-03-21,Welterweight,Leon Edwards,14
2018-03-21,Welterweight,Dong Hyun Kim,15
2018-03-21,Middleweight,Robert Whittaker,0
2018-03-21,Middleweight,Yoel Romero,1
2018-03-21,Middleweight,Ronaldo Souza,2
2018-03-21,Middleweight,Luke Rockhold,3
2018-03-21,Middleweight,Chris Weidman,4
2018-03-21,Middleweight,Kelvin Gastelum,5
2018-03-21,Middleweight,Michael Bisping,6
2018-03-21,Middleweight,Derek Brunson,7
2018-03-21,Middleweight,David Branch,8
2018-03-21,Middleweight,Vitor Belfort,9
2018-03-21,Middleweight,Uriah Hall,10
2018-03-21,Middleweight,Thiago Santos,11
2018-03-21,Middleweight,Lyoto Machida,12
2018-03-21,Middleweight,Krzysztof Jotko,13
2018-03-21,Middleweight,Paulo Costa,14
2018-03-21,Middleweight,Brad Tavares,15
2018-03-21,Light Heavyweight,Daniel Cormier,0
2018-03-21,Light Heavyweight,Alexander Gustafsson,1
2018-03-21,Light Heavyweight,Volkan Oezdemir,2
2018-03-21,Light Heavyweight,Glover Teixeira,3
2018-03-21,Light Heavyweight,Ilir Latifi,4
2018-03-21,Light Heavyweight,Jan Blachowicz,5
2018-03-21,Light Heavyweight,Jimi Manuwa,6
2018-03-21,Light Heavyweight,Mauricio Rua,7
2018-03-21,Light Heavyweight,Ovince Saint Preux,8
2018-03-21,Light Heavyweight,Misha Cirkunov,9
2018-03-21,Light Heavyweight,Corey Anderson,10
2018-03-21,Light Heavyweight,Patrick Cummins,11
2018-03-21,Light Heavyweight,Tyson Pedro,12
2018-03-21,Light Heavyweight,Gadzhimurad Antigulov,13
2018-03-21,Light Heavyweight,Gian Villante,14
2018-03-21,Light Heavyweight,Jordan Johnson,15
2018-03-21,Heavyweight,Stipe Miocic,0
2018-03-21,Heavyweight,Francis Ngannou,1
2018-03-21,Heavyweight,Alistair Overeem,2
2018-03-21,Heavyweight,Alexander Volkov,3
2018-03-21,Heavyweight,Curtis Blaydes,4
2018-03-21,Heavyweight,Fabricio Werdum,5
2018-03-21,Heavyweight,Derrick Lewis,6
2018-03-21,Heavyweight,Mark Hunt,6
2018-03-21,Heavyweight,Marcin Tybura,8
2018-03-21,Heavyweight,Andrei Arlovski,9
2018-03-21,Heavyweight,Aleksei Oleinik,10
2018-03-21,Heavyweight,Stefan Struve,11
2018-03-21,Heavyweight,Shamil Abdurakhimov,12
2018-03-21,Heavyweight,Tai Tuivasa,13
2018-03-21,Heavyweight,Junior Albini,14
2018-03-21,Heavyweight,Justin Ledet,15
2018-03-21,Women's Strawweight,Rose Namajunas,0
2018-03-21,Women's Strawweight,Joanna Jedrzejczyk,1
2018-03-21,Women's Strawweight,Jessica Andrade,2
2018-03-21,Women's Strawweight,Claudia Gadelha,3
2018-03-21,Women's Strawweight,Karolina Kowalkiewicz,4
2018-03-21,Women's Strawweight,Tecia Pennington,5
2018-03-21,Women's Strawweight,Carla Esparza,6
2018-03-21,Women's Strawweight,Michelle Waterson-Gomez,7
2018-03-21,Women's Strawweight,Felice Herrig,8
2018-03-21,Women's Strawweight,Alexa Grasso,9
2018-03-21,Women's Strawweight,Cortney Casey,10
2018-03-21,Women's Strawweight,Randa Markos,11
2018-03-21,Women's Strawweight,Tatiana Suarez,12
2018-03-21,Women's Strawweight,Joanne Wood,13
2018-03-21,Women's Strawweight,Nina Nunes,14
2018-03-21,Women's Strawweight,Angela Hill,15
2018-03-21,Women's Flyweight,Nicco Montano,0
2018-03-21,Women's Flyweight,Valentina Shevchenko,1
2018-03-21,Women's Flyweight,Sijara Eubanks,2
2018-03-21,Women's Flyweight,Lauren Murphy,3
2018-03-21,Women's Flyweight,Alexis Davis,4
2018-03-21,Women's Flyweight,Roxanne Modafferi,5
2018-03-21,Women's Flyweight,Barb Honchak,6
2018-03-21,Women's Flyweight,Liz Carmouche,7
2018-03-21,Women's Flyweight,Katlyn Cerminara,8
2018-03-21,Women's Flyweight,Jessica-Rose Clark,9
2018-03-21,Women's Flyweight,Jessica Eye,10
2018-03-21,Women's Flyweight,Montana De La Rosa,11
2018-03-21,Women's Flyweight,Mara Borella,12
2018-03-21,Women's Flyweight,Rachael Ostovich,13
2018-03-21,Women's Flyweight,Paige VanZant,14
2018-03-21,Women's Flyweight,Shana Dobson,15
2018-03-21,Women's Bantamweight,Amanda Nunes,0
2018-03-21,Women's Bantamweight,Holly Holm,1
2018-03-21,Women's Bantamweight,Raquel Pennington,2
2018-03-21,Women's Bantamweight,Julianna Pena,3
2018-03-21,Women's Bantamweight,Ketlen Vieira,4
2018-03-21,Women's Bantamweight,Germaine de Randamie,5
2018-03-21,Women's Bantamweight,Cat Zingano,6
2018-03-21,Women's Bantamweight,Marion Reneau,7
2018-03-21,Women's Bantamweight,Sara McMann,8
2018-03-21,Women's Bantamweight,Leslie Smith,9
2018-03-21,Women's Bantamweight,Bethe Correia,10
2018-03-21,Women's Bantamweight,Aspen Ladd,11
2018-03-21,Women's Bantamweight,Lucie Pudilova,12
2018-03-21,Women's Bantamweight,Irene Aldana,13
2018-03-21,Women's Bantamweight,Sarah Moras,14
2018-03-21,Women's Bantamweight,Lina Lansberg,15
2018-03-21,Women's Featherweight,Cris Cyborg,0
2018-04-11,Pound-for-Pound,Demetrious Johnson,1
2018-04-11,Pound-for-Pound,Georges St-Pierre,2
2018-04-11,Pound-for-Pound,Conor McGregor,3
2018-04-11,Pound-for-Pound,Stipe Miocic,4
2018-04-11,Pound-for-Pound,Daniel Cormier,5
2018-04-11,Pound-for-Pound,Max Holloway,6
2018-04-11,Pound-for-Pound,TJ Dillashaw,7
2018-04-11,Pound-for-Pound,Khabib Nurmagomedov,8
2018-04-11,Pound-for-Pound,Tyron Woodley,9
2018-04-11,Pound-for-Pound,Cris Cyborg,10
2018-04-11,Pound-for-Pound,Tony Ferguson,11
2018-04-11,Pound-for-Pound,Amanda Nunes,12
2018-04-11,Pound-for-Pound,Robert Whittaker,13
2018-04-11,Pound-for-Pound,Cody Garbrandt,14
2018-04-11,Pound-for-Pound,Rose Namajunas,15
2018-04-11,Flyweight,Demetrious Johnson,0
2018-04-11,Flyweight,Joseph Benavidez,1
2018-04-11,Flyweight,Henry Cejudo,2
2018-04-11,Flyweight,Ray Borg,3
2018-04-11,Flyweight,Jussier Formiga,4
2018-04-11,Flyweight,Sergio Pettis,5
2018-04-11,Flyweight,Wilson Reis,6
2018-04-11,Flyweight,Brandon Moreno,7
2018-04-11,Flyweight,Ben Nguyen,8
2018-04-11,Flyweight,Dustin Ortiz,9
2018-04-11,Flyweight,John Moraga,10
2018-04-11,Flyweight,Alexandre Pantoja,11
2018-04-11,Flyweight,Matheus Nicolau,12
2018-04-11,Flyweight,Tim Elliott,13
2018-04-11,Flyweight,Deiveson Figueiredo,14
2018-04-11,Flyweight,Magomed Bibulatov,15
2018-04-11,Bantamweight,TJ Dillashaw,0
2018-04-11,Bantamweight,Cody Garbrandt,1
2018-04-11,Bantamweight,Dominick Cruz,2
2018-04-11,Bantamweight,Raphael Assuncao,3
2018-04-11,Bantamweight,Jimmie Rivera,4
2018-04-11,Bantamweight,Marlon Moraes,5
2018-04-11,Bantamweight,John Lineker,6
2018-04-11,Bantamweight,John Dodson,7
2018-04-11,Bantamweight,Aljamain Sterling,8
2018-04-11,Bantamweight,Bryan Caraway,8
2018-04-11,Bantamweight,Pedro Munhoz,10
2018-04-11,Bantamweight,Cody Stamann,11
2018-04-11,Bantamweight,Rob Font,12
2018-04-11,Bantamweight,Thomas Almeida,13
2018-04-11,Bantamweight,Brett Johns,14
2018-04-11,Bantamweight,Eddie Wineland,15
2018-04-11,Featherweight,Max Holloway,0
2018-04-11,Featherweight,Brian Ortega,1
2018-04-11,Featherweight,Jose Aldo,2
2018-04-11,Featherweight,Frankie Edgar,3
2018-04-11,Featherweight,Cub Swanson,4
2018-04-11,Featherweight,Jeremy Stephens,5
2018-04-11,Featherweight,Josh Emmett,6
2018-04-11,Featherweight,Ricardo Lamas,7
2018-04-11,Featherweight,Chan Sung Jung,8
2018-04-11,Featherweight,Renato Moicano,9
2018-04-11,Featherweight,Darren Elkins,10
2018-04-11,Featherweight,Yair Rodriguez,11
2018-04-11,Featherweight,Mirsad Bektic,12
2018-04-11,Featherweight,Dooho Choi,13
2018-04-11,Featherweight,Zabit Magomedsharipov,14
2018-04-11,Featherweight,Myles Jury,15
2018-04-11,Lightweight,Khabib Nurmagomedov,0
2018-04-11,Lightweight,Conor McGregor,1
2018-04-11,Lightweight,Tony Ferguson,2
2018-04-11,Lightweight,Eddie Alvarez,3
2018-04-11,Lightweight,Edson Barboza,4
2018-04-11,Lightweight,Dustin Poirier,5
2018-04-11,Lightweight,Justin Gaethje,6
2018-04-11,Lightweight,Kevin Lee,7
2018-04-11,Lightweight,Nate Diaz,8
2018-04-11,Lightweight,Michael Chiesa,9
2018-04-11,Lightweight,Al Iaquinta,10
2018-04-11,Lightweight,James Vick,11
2018-04-11,Lightweight,Anthony Pettis,12
2018-04-11,Lightweight,Alexander Hernandez,13
2018-04-11,Lightweight,Paul Felder,14
2018-04-11,Lightweight,Olivier Aubin-Mercier,15
2018-04-11,Welterweight,Tyron Woodley,0
2018-04-11,Welterweight,Stephen Thompson,1
2018-04-11,Welterweight,Rafael Dos Anjos,2
2018-04-11,Welterweight,Colby Covington,3
2018-04-11,Welterweight,Robbie Lawler,4
2018-04-11,Welterweight,Demian Maia,5
2018-04-11,Welterweight,Jorge Masvidal,6
2018-04-11,Welterweight,Darren Till,7
2018-04-11,Welterweight,Kamaru Usman,7
2018-04-11,Welterweight,Neil Magny,9
2018-04-11,Welterweight,Santiago Ponzinibbio,10
2018-04-11,Welterweight,Donald Cerrone,11
2018-04-11,Welterweight,Carlos Condit,12
2018-04-11,Welterweight,Gunnar Nelson,13
2018-04-11,Welterweight,Leon Edwards,14
2018-04-11,Welterweight,Dong Hyun Kim,15
2018-04-11,Middleweight,Robert Whittaker,0
2018-04-11,Middleweight,Yoel Romero,1
2018-04-11,Middleweight,Ronaldo Souza,2
2018-04-11,Middleweight,Luke Rockhold,3
2018-04-11,Middleweight,Chris Weidman,4
2018-04-11,Middleweight,Kelvin Gastelum,5
2018-04-11,Middleweight,Michael Bisping,6
2018-04-11,Middleweight,Derek Brunson,7
2018-04-11,Middleweight,David Branch,8
2018-04-11,Middleweight,Vitor Belfort,9
2018-04-11,Middleweight,Uriah Hall,10
2018-04-11,Middleweight,Thiago Santos,11
2018-04-11,Middleweight,Lyoto Machida,12
2018-04-11,Middleweight,Krzysztof Jotko,13
2018-04-11,Middleweight,Paulo Costa,14
2018-04-11,Middleweight,Brad Tavares,15
2018-04-11,Light Heavyweight,Daniel Cormier,0
2018-04-11,Light Heavyweight,Alexander Gustafsson,1
2018-04-11,Light Heavyweight,Volkan Oezdemir,2
2018-04-11,Light Heavyweight,Glover Teixeira,3
2018-04-11,Light Heavyweight,Ilir Latifi,4
2018-04-11,Light Heavyweight,Jan Blachowicz,5
2018-04-11,Light Heavyweight,Jimi Manuwa,6
2018-04-11,Light Heavyweight,Mauricio Rua,7
2018-04-11,Light Heavyweight,Ovince Saint Preux,8
2018-04-11,Light Heavyweight,Misha Cirkunov,9
2018-04-11,Light Heavyweight,Corey Anderson,10
2018-04-11,Light Heavyweight,Patrick Cummins,11
2018-04-11,Light Heavyweight,Tyson Pedro,12
2018-04-11,Light Heavyweight,Gadzhimurad Antigulov,13
2018-04-11,Light Heavyweight,Gian Villante,14
2018-04-11,Light Heavyweight,Jordan Johnson,15
2018-04-11,Heavyweight,Stipe Miocic,0
2018-04-11,Heavyweight,Francis Ngannou,1
2018-04-11,Heavyweight,Alistair Overeem,2
2018-04-11,Heavyweight,Alexander Volkov,3
2018-04-11,Heavyweight,Curtis Blaydes,4
2018-04-11,Heavyweight,Fabricio Werdum,5
2018-04-11,Heavyweight,Derrick Lewis,6
2018-04-11,Heavyweight,Mark Hunt,6
2018-04-11,Heavyweight,Marcin Tybura,8
2018-04-11,Heavyweight,Andrei Arlovski,9
2018-04-11,Heavyweight,Aleksei Oleinik,10
2018-04-11,Heavyweight,Stefan Struve,11
2018-04-11,Heavyweight,Tai Tuivasa,12
2018-04-11,Heavyweight,Shamil Abdurakhimov,13
2018-04-11,Heavyweight,Junior Albini,14
2018-04-11,Heavyweight,Justin Ledet,15
2018-04-11,Women's Strawweight,Rose Namajunas,0
2018-04-11,Women's Strawweight,Joanna Jedrzejczyk,1
2018-04-11,Women's Strawweight,Jessica Andrade,2
2018-04-11,Women's Strawweight,Claudia Gadelha,3
2018-04-11,Women's Strawweight,Karolina Kowalkiewicz,4
2018-04-11,Women's Strawweight,Tecia Pennington,5
2018-04-11,Women's Strawweight,Carla Esparza,6
2018-04-11,Women's Strawweight,Michelle Waterson-Gomez,7
2018-04-11,Women's Strawweight,Felice Herrig,8
2018-04-11,Women's Strawweight,Alexa Grasso,9
2018-04-11,Women's Strawweight,Cortney Casey,10
2018-04-11,Women's Strawweight,Randa Markos,11
2018-04-11,Women's Strawweight,Tatiana Suarez,12
2018-04-11,Women's Strawweight,Joanne Wood,13
2018-04-11,Women's Strawweight,Nina Nunes,14
2018-04-11,Women's Strawweight,Angela Hill,15
2018-04-11,Women's Flyweight,Nicco Montano,0
2018-04-11,Women's Flyweight,Valentina Shevchenko,1
2018-04-11,Women's Flyweight,Sijara Eubanks,2
2018-04-11,Women's Flyweight,Lauren Murphy,3
2018-04-11,Women's Flyweight,Alexis Davis,4
2018-04-11,Women's Flyweight,Roxanne Modafferi,5
2018-04-11,Women's Flyweight,Barb Honchak,6
2018-04-11,Women's Flyweight,Liz Carmouche,7
2018-04-11,Women's Flyweight,Katlyn Cerminara,8
2018-04-11,Women's Flyweight,Jessica-Rose Clark,9
2018-04-11,Women's Flyweight,Jessica Eye,10
2018-04-11,Women's Flyweight,Ashlee Evans-Smith,11
2018-04-11,Women's Flyweight,Mara Borella,12
2018-04-11,Women's Flyweight,Paige VanZant,13
2018-04-11,Women's Flyweight,Montana De La Rosa,14
2018-04-11,Women's Flyweight,Rachael Ostovich,15
2018-04-11,Women's Bantamweight,Amanda Nunes,0
2018-04-11,Women's Bantamweight,Holly Holm,1
2018-04-11,Women's Bantamweight,Raquel Pennington,2
2018-04-11,Women's Bantamweight,Julianna Pena,3
2018-04-11,Women's Bantamweight,Ketlen Vieira,4
2018-04-11,Women's Bantamweight,Germaine de Randamie,5
2018-04-11,Women's Bantamweight,Cat Zingano,6
2018-04-11,Women's Bantamweight,Marion Reneau,7
2018-04-11,Women's Bantamweight,Sara McMann,8
2018-04-11,Women's Bantamweight,Leslie Smith,9
2018-04-11,Women's Bantamweight,Aspen Ladd,10
2018-04-11,Women's Bantamweight,Bethe Correia,11
2018-04-11,Women's Bantamweight,Irene Aldana,12
2018-04-11,Women's Bantamweight,Lucie Pudilova,13
2018-04-11,Women's Bantamweight,Sarah Moras,14
2018-04-11,Women's Bantamweight,Lina Lansberg,15
2018-04-11,Women's Featherweight,Cris Cyborg,0
2018-04-18,Pound-for-Pound,Demetrious Johnson,1
2018-04-18,Pound-for-Pound,Georges St-Pierre,2
2018-04-18,Pound-for-Pound,Stipe Miocic,3
2018-04-18,Pound-for-Pound,Conor McGregor,4
2018-04-18,Pound-for-Pound,Daniel Cormier,5
2018-04-18,Pound-for-Pound,Max Holloway,6
2018-04-18,Pound-for-Pound,TJ Dillashaw,7
2018-04-18,Pound-for-Pound,Tyron Woodley,8
2018-04-18,Pound-for-Pound,Khabib Nurmagomedov,8
2018-04-18,Pound-for-Pound,Cris Cyborg,10
2018-04-18,Pound-for-Pound,Tony Ferguson,11
2018-04-18,Pound-for-Pound,Amanda Nunes,12
2018-04-18,Pound-for-Pound,Robert Whittaker,13
2018-04-18,Pound-for-Pound,Cody Garbrandt,14
2018-04-18,Pound-for-Pound,Rose Namajunas,15
2018-04-18,Flyweight,Demetrious Johnson,0
2018-04-18,Flyweight,Joseph Benavidez,1
2018-04-18,Flyweight,Henry Cejudo,2
2018-04-18,Flyweight,Ray Borg,3
2018-04-18,Flyweight,Jussier Formiga,4
2018-04-18,Flyweight,Sergio Pettis,5
2018-04-18,Flyweight,John Moraga,6
2018-04-18,Flyweight,Brandon Moreno,7
2018-04-18,Flyweight,Wilson Reis,8
2018-04-18,Flyweight,Ben Nguyen,9
2018-04-18,Flyweight,Dustin Ortiz,10
2018-04-18,Flyweight,Matheus Nicolau,11
2018-04-18,Flyweight,Alexandre Pantoja,12
2018-04-18,Flyweight,Tim Elliott,13
2018-04-18,Flyweight,Deiveson Figueiredo,14
2018-04-18,Flyweight,Magomed Bibulatov,15
2018-04-18,Bantamweight,TJ Dillashaw,0
2018-04-18,Bantamweight,Cody Garbrandt,1
2018-04-18,Bantamweight,Dominick Cruz,2
2018-04-18,Bantamweight,Raphael Assuncao,3
2018-04-18,Bantamweight,Jimmie Rivera,4
2018-04-18,Bantamweight,Marlon Moraes,5
2018-04-18,Bantamweight,John Lineker,6
2018-04-18,Bantamweight,John Dodson,7
2018-04-18,Bantamweight,Aljamain Sterling,8
2018-04-18,Bantamweight,Bryan Caraway,9
2018-04-18,Bantamweight,Pedro Munhoz,10
2018-04-18,Bantamweight,Cody Stamann,10
2018-04-18,Bantamweight,Rob Font,12
2018-04-18,Bantamweight,Thomas Almeida,13
2018-04-18,Bantamweight,Brett Johns,14
2018-04-18,Bantamweight,Eddie Wineland,15
2018-04-18,Featherweight,Max Holloway,0
2018-04-18,Featherweight,Brian Ortega,1
2018-04-18,Featherweight,Jose Aldo,2
2018-04-18,Featherweight,Frankie Edgar,3
2018-04-18,Featherweight,Cub Swanson,4
2018-04-18,Featherweight,Jeremy Stephens,5
2018-04-18,Featherweight,Josh Emmett,6
2018-04-18,Featherweight,Ricardo Lamas,7
2018-04-18,Featherweight,Chan Sung Jung,8
2018-04-18,Featherweight,Renato Moicano,9
2018-04-18,Featherweight,Darren Elkins,10
2018-04-18,Featherweight,Yair Rodriguez,11
2018-04-18,Featherweight,Mirsad Bektic,12
2018-04-18,Featherweight,Dooho Choi,13
2018-04-18,Featherweight,Zabit Magomedsharipov,14
2018-04-18,Featherweight,Myles Jury,15
2018-04-18,Lightweight,Khabib Nurmagomedov,0
2018-04-18,Lightweight,Conor McGregor,1
2018-04-18,Lightweight,Tony Ferguson,2
2018-04-18,Lightweight,Eddie Alvarez,3
2018-04-18,Lightweight,Dustin Poirier,4
2018-04-18,Lightweight,Edson Barboza,5
2018-04-18,Lightweight,Kevin Lee,6
2018-04-18,Lightweight,Justin Gaethje,7
2018-04-18,Lightweight,Nate Diaz,8
2018-04-18,Lightweight,Michael Chiesa,9
2018-04-18,Lightweight,Al Iaquinta,10
2018-04-18,Lightweight,James Vick,11
2018-04-18,Lightweight,Anthony Pettis,12
2018-04-18,Lightweight,Alexander Hernandez,13
2018-04-18,Lightweight,Paul Felder,14
2018-04-18,Lightweight,Olivier Aubin-Mercier,15
2018-04-18,Welterweight,Tyron Woodley,0
2018-04-18,Welterweight,Stephen Thompson,1
2018-04-18,Welterweight,Rafael Dos Anjos,2
2018-04-18,Welterweight,Colby Covington,3
2018-04-18,Welterweight,Robbie Lawler,4
2018-04-18,Welterweight,Demian Maia,5
2018-04-18,Welterweight,Jorge Masvidal,6
2018-04-18,Welterweight,Kamaru Usman,7
2018-04-18,Welterweight,Darren Till,7
2018-04-18,Welterweight,Neil Magny,9
2018-04-18,Welterweight,Santiago Ponzinibbio,10
2018-04-18,Welterweight,Donald Cerrone,11
2018-04-18,Welterweight,Carlos Condit,12
2018-04-18,Welterweight,Gunnar Nelson,12
2018-04-18,Welterweight,Alex Oliveira,13
2018-04-18,Welterweight,Leon Edwards,14
2018-04-18,Welterweight,Dong Hyun Kim,15
2018-04-18,Middleweight,Robert Whittaker,0
2018-04-18,Middleweight,Yoel Romero,1
2018-04-18,Middleweight,Ronaldo Souza,2
2018-04-18,Middleweight,Luke Rockhold,3
2018-04-18,Middleweight,Chris Weidman,4
2018-04-18,Middleweight,Kelvin Gastelum,5
2018-04-18,Middleweight,Michael Bisping,6
2018-04-18,Middleweight,Derek Brunson,7
2018-04-18,Middleweight,David Branch,8
2018-04-18,Middleweight,Vitor Belfort,9
2018-04-18,Middleweight,Uriah Hall,10
2018-04-18,Middleweight,Brad Tavares,10
2018-04-18,Middleweight,Thiago Santos,12
2018-04-18,Middleweight,Krzysztof Jotko,13
2018-04-18,Middleweight,Lyoto Machida,13
2018-04-18,Middleweight,Paulo Costa,14
2018-04-18,Middleweight,Antonio Carlos Junior,15
2018-04-18,Light Heavyweight,Daniel Cormier,0
2018-04-18,Light Heavyweight,Alexander Gustafsson,1
2018-04-18,Light Heavyweight,Volkan Oezdemir,2
2018-04-18,Light Heavyweight,Glover Teixeira,3
2018-04-18,Light Heavyweight,Ilir Latifi,4
2018-04-18,Light Heavyweight,Jan Blachowicz,5
2018-04-18,Light Heavyweight,Jimi Manuwa,6
2018-04-18,Light Heavyweight,Mauricio Rua,7
2018-04-18,Light Heavyweight,Ovince Saint Preux,8
2018-04-18,Light Heavyweight,Misha Cirkunov,9
2018-04-18,Light Heavyweight,Corey Anderson,10
2018-04-18,Light Heavyweight,Patrick Cummins,11
2018-04-18,Light Heavyweight,Tyson Pedro,12
2018-04-18,Light Heavyweight,Gadzhimurad Antigulov,13
2018-04-18,Light Heavyweight,Gian Villante,14
2018-04-18,Light Heavyweight,Jordan Johnson,15
2018-04-18,Heavyweight,Stipe Miocic,0
2018-04-18,Heavyweight,Francis Ngannou,1
2018-04-18,Heavyweight,Alistair Overeem,2
2018-04-18,Heavyweight,Alexander Volkov,3
2018-04-18,Heavyweight,Curtis Blaydes,4
2018-04-18,Heavyweight,Fabricio Werdum,5
2018-04-18,Heavyweight,Mark Hunt,6
2018-04-18,Heavyweight,Derrick Lewis,6
2018-04-18,Heavyweight,Marcin Tybura,8
2018-04-18,Heavyweight,Andrei Arlovski,9
2018-04-18,Heavyweight,Aleksei Oleinik,10
2018-04-18,Heavyweight,Stefan Struve,11
2018-04-18,Heavyweight,Tai Tuivasa,12
2018-04-18,Heavyweight,Shamil Abdurakhimov,13
2018-04-18,Heavyweight,Junior Albini,14
2018-04-18,Heavyweight,Justin Ledet,15
2018-04-18,Women's Strawweight,Rose Namajunas,0
2018-04-18,Women's Strawweight,Joanna Jedrzejczyk,1
2018-04-18,Women's Strawweight,Jessica Andrade,2
2018-04-18,Women's Strawweight,Claudia Gadelha,3
2018-04-18,Women's Strawweight,Karolina Kowalkiewicz,4
2018-04-18,Women's Strawweight,Tecia Pennington,5
