name,nickname,weight_class,url,profile_name,profile_nickname,status,place_of_birth,age,height,weight,octagon_debut,sig_strikes_landed,sig_strikes_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_defense,takedown_defense,knockdown_avg,average_fight_time,takedowns_attempted,fighting_style,reach,leg_reach,takedowns_landed,trains_at,wins,losses,draws,standing_count,standing_pct,clinch_count,clinch_percent,ground_count,ground_percent,ko_tko_win,ko_tko_percent,dec_wins,dec_percent,sub_wins,sub_percent
Alan Belcher,The Talent,Middleweight,https://www.ufc.com/athlete/alan-belcher,Alan Belcher,The Talent,Not Fighting,United States,39,74,185,2006-08-26,372,889,2.7,3.1,0.44,0.87,0.6,0.55,0.33,9M 11S,15,NA,75,NA,NA,NA,17,7,0,252,0.68,58,0.16,62,0.17,0,0,0,0,0,0
Vitor Belfort,The Phenom,Middleweight,https://www.ufc.com/athlete/vitor-belfort,Vitor Belfort,The Phenom,Not Fighting,"Rio de Janeiro, Brazil",46,72,184,1997-02-07,351,756,1.59,2.83,1.02,0.61,0.51,0.54,0.75,7M 21S,25,NA,74,41.5,3,"Blackzilians - Boca Raton, FL",26,14,0,156,0.44,63,0.18,132,0.38,18,0.6900000000000001,5,0.19,3,0.12
Yousri Belgaroui,NA,Middleweight,https://www.ufc.com/athlete/yousri-belgaroui,Yousri Belgaroui,NA,Active,"Amsterdam, Netherlands",33,78,186,2025-10-18,318,495,6.1,2.17,0.29,0,0.64,0.67,0.86,13M 2S,1,Striker,79,47,1,"Teixeira MMA & Fitness-Bethel, CT",9,3,0,268,0.84,44,0.14,6,0.02,8,0.8,2,0.2,0,0
Cody Belisle,Bodacious,Light Heavyweight,https://www.ufc.com/athlete/cody-belisle,Cody Belisle,Bodacious,Active,NA,30,NA,NA,2026-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodolfo Bellato,Trator,Light Heavyweight,https://www.ufc.com/athlete/rodolfo-bellato,Rodolfo Bellato,Trator,Active,Brazil,30,75,205,2023-12-02,351,585,5.37,5.86,1.38,0.23,0.47000000000000003,0.9400000000000001,0.46,9M 20S,17,MMA,77.5,44,1,NA,13,3,1,212,0.6,66,0.19,73,0.21,8,0.62,1,0.08,4,0.31
Danilo Belluardo,Caterpillar,Lightweight,https://www.ufc.com/athlete/danilo-belluardo,Danilo Belluardo,Caterpillar,Not Fighting,"Marsala, Italy",28,72,156,2019-06-01,13,21,1.52,4.79,3.5,0,0.41000000000000003,0.5,0,4M 17S,2,MMA,74.5,39,2,NA,12,5,0,8,0.62,0,0,5,0.38,6,0.5,3,0.25,3,0.25
Joey Beltran,The Mexicutioner,Light Heavyweight,https://www.ufc.com/athlete/joey-beltran,Joey Beltran,The Mexicutioner,Not Fighting,"San Diego, United States",41,73,205,2010-02-06,762,2090,4.92,5.27,0.48,0,0.54,0.76,0,12M 36S,27,NA,75,NA,NA,NA,14,9,0,482,0.63,236,0.31,44,0.06,0,0,0,0,0,0
Marco Beltran,Psycho,Flyweight,https://www.ufc.com/athlete/marco-beltran,Marco Beltran,Psycho,Not Fighting,Mexico,37,68,126,2026-06-29,134,357,2.07,1.93,0.7,0.23,0.63,0.46,0.23,10M 47S,6,NA,69.5,39,3,NA,8,7,0,79,0.59,29,0.22,26,0.19,2,0.25,2,0.25,4,0.5
Joseph Benavidez,NA,Flyweight,https://www.ufc.com/athlete/joseph-benavidez,Joseph Benavidez,NA,Retired,"San Antonio, United States",40,64,125.5,2011-03-20,1161,3338,3.52,2.67,1.41,0.59,0.61,0.62,0.36,11M 23S,101,Jiu-Jitsu,65,36,16,Team Alpha Male (Urijah Faber's Ultimate Fitness),28,8,0,923,0.8,137,0.12,101,0.09,8,0.29,11,0.39,9,0.32
Dave Beneteau,NA,Heavyweight,https://www.ufc.com/athlete/dave-beneteau,Dave Beneteau,NA,Not Fighting,"Windsor, Canada",NA,0,0,1995-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Benitez,Moggly,Lightweight,https://www.ufc.com/athlete/gabriel-benitez,Gabriel Benitez,Moggly,Not Fighting,"Tijuana, Mexico",36,68,155,2014-11-15,731,1754,5.26,4.49,0.22,0.86,0.64,0.56,0.43,9M 16S,4,Striker,71,40.5,1,AKA (American Kickboxing Academy) San Jose,23,13,0,658,0.9,19,0.03,54,0.07,9,0.39,4,0.17,10,0.43
DeAnna Bennett,Vitamin D,Women's Flyweight,https://www.ufc.com/athlete/deanna-bennett,DeAnna Bennett,Vitamin D,Not Fighting,"Fremont, United States",38,64,126,2017-12-01,47,81,3.13,3.27,0,1,0.58,NA,0,15M 0S,11,NA,68,37.5,NA,NA,8,3,1,27,0.5700000000000001,19,0.4,1,0.02,2,0.25,4,0.5,2,0.25
Lance Benoist,NA,Welterweight,https://www.ufc.com/athlete/lance-benoist,Lance Benoist,NA,Not Fighting,United States,34,71,169,2011-09-17,221,432,3.68,2.7,1.5,0,0.5700000000000001,0.62,0.25,15M 0S,18,NA,72,NA,NA,NA,7,2,0,136,0.62,30,0.14,55,0.25,1,0.14,2,0.29,4,0.5700000000000001
Ryan Benoit,Baby Face,Flyweight,https://www.ufc.com/athlete/ryan-benoit,Ryan Benoit,Baby Face,Not Fighting,"San Diego, United States",33,65,126,2013-12-01,306,782,2.88,3.65,0.28,0.42,0.58,0.72,0.71,11M 49S,9,Muay Thai,68.5,38,1,Renzo Gracie Academy,10,8,0,249,0.81,35,0.11,22,0.07,8,0.8,1,0.1,1,0.1
Steve Berger,Red Nose,Welterweight,https://www.ufc.com/athlete/steve-berger,Steve Berger,Red Nose,Not Fighting,United States,50,71,169,2001-05-04,36,129,1,3.26,0.84,1.67,0.36,0.17,0,8M 59S,5,NA,NA,NA,NA,NA,15,6,3,18,0.5,13,0.36,5,0.14,0,0,0,0,0,0
Theodor Berggren,Simba,Welterweight,https://www.ufc.com/athlete/theodor-berggren,Theodor Berggren,Simba,Active,"Umea, Sweden",26,72,170,2026-06-27,23,64,3.49,10.78,0,0,0.34,NA,0,6M 35S,NA,MMA,NA,NA,NA,NA,8,4,0,20,0.87,3,0.13,0,0,5,0.63,0,0,3,0.38
Kenneth Bergh,NA,Light Heavyweight,https://www.ufc.com/athlete/kenneth-bergh,Kenneth Bergh,NA,Not Fighting,NA,34,74,0,2026-06-26,18,24,4.56,1.27,0,0,0.29,NA,0,3M 57S,1,MMA,76,NA,NA,NA,6,0,0,1,0.06,17,0.9400000000000001,0,0,0,0,0,0,0,0
Anderson Berinja,NA,Bantamweight,https://www.ufc.com/athlete/anderson-berinja,Anderson Berinja,NA,Active,NA,NA,NA,NA,2026-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keith Berish,Sha Bang Bang,Middleweight,https://www.ufc.com/athlete/keith-berish,Keith Berish,Sha Bang Bang,Not Fighting,"Poughkeepsie, United States",37,72,184.6,2014-07-06,61,168,3.58,4.81,1.76,0,0.63,NA,0,8M 32S,5,NA,73.5,38,2,Glover Teixeira Training Center,5,1,0,57,0.93,3,0.05,1,0.02,2,0.4,1,0.2,2,0.4
Manny Bermudez,The Bermudez Triangle,Bantamweight,https://www.ufc.com/athlete/manny-bermudez,Manny Bermudez,The Bermudez Triangle,Not Fighting,"Boston, United States",28,70,148,2018-02-24,86,140,2.92,2.68,3.06,3.06,0.47000000000000003,NA,0.51,5M 53S,11,NA,71.5,40,1,NA,14,2,0,33,0.38,3,0.03,50,0.58,1,0.07,2,0.14,11,0.79
Dennis Bermudez,The Menace,Lightweight,https://www.ufc.com/athlete/tenisu-hamiyutesu,Dennis Bermudez,The Menace,Not Fighting,"Saugerties, United States",36,66,155.8,2011-12-04,870,1881,4.42,3.07,3.89,1.07,0.59,0.8300000000000001,0.38,11M 35S,127,NA,66,38,46,Long Island MMA,18,9,0,461,0.53,159,0.18,250,0.29,4,0.24,9,0.53,4,0.24
Talita Bernardo,NA,Women's Bantamweight,https://www.ufc.com/athlete/talita-bernardo,Talita Bernardo,NA,Not Fighting,"State of Rio de Janeiro, Brazil",36,64,134.5,2017-09-02,174,413,3.12,4.04,1.62,0.54,0.56,0.29,0,13M 56S,27,NA,68,40,4,NA,6,4,0,148,0.85,7,0.04,19,0.11,0,0,2,0.33,4,0.67
Dave Berry,NA,NA,https://www.ufc.com/athlete/skott-beyker-0,Dave Berry,NA,Not Fighting,United States,NA,0,0,1996-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dieusel Berto,NA,NA,https://www.ufc.com/athlete/deyv-beneto-0,Dieusel Berto,NA,Not Fighting,United States,NA,0,0,1996-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Berube,Monstah,Lightweight,https://www.ufc.com/athlete/allen-berube,Allen Berube,Monstah,Not Fighting,United States,48,68,153,2007-06-23,4,5,0.92,0.92,6.87,3.44,0.33,NA,0,4M 22S,2,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,4,1,0,0,0,0,0,0
Anton Berzin,The Body Snatcher,Light Heavyweight,https://www.ufc.com/athlete/anton-berzin,Anton Berzin,The Body Snatcher,Not Fighting,"Kremenchuk, Ukraine",33,74,205,2017-08-22,66,141,4.4,6.8,2,1,0.67,NA,0,15M 0S,7,NA,NA,NA,NA,NA,5,2,0,63,0.9500000000000001,1,0.02,2,0.03,1,0.2,0,0,4,0.8
Scott Bessac,NA,NA,https://www.ufc.com/athlete/skott-beyker-1,Scott Bessac,NA,Not Fighting,United States,NA,0,0,1995-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bessette,The Mangler,Featherweight,https://www.ufc.com/athlete/matt-bessette,Matt Bessette,The Mangler,Not Fighting,"Hartford, United States",38,70,145.5,2017-07-11,204,493,4.36,4.45,0.64,0.32,0.59,0.61,0.32,9M 21S,7,NA,70.5,39,NA,NA,22,9,0,144,0.71,23,0.11,37,0.18,7,0.32,7,0.32,8,0.36
Khadzhimurat Bestaev,NA,Middleweight,https://www.ufc.com/athlete/khadzhimurat-bestaev,Khadzhimurat Bestaev,NA,Active,Russia,34,NA,184,2026-06-24,8,27,6.15,10,0,0,0.43,NA,0,1M 18S,NA,NA,NA,NA,NA,NA,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0
KB Bhullar,The Bengal,Middleweight,https://www.ufc.com/athlete/kb-bhullar,KB Bhullar,The Bengal,Not Fighting,"Edmonton, Canada",31,76,186,2020-10-10,72,146,4.31,5.39,0,0,0.45,NA,0,8M 21S,NA,Kung Fu,78,44.5,NA,NA,8,2,0,71,0.99,1,0.01,0,0,4,0.5,2,0.25,2,0.25
Magomed Bibulatov,Chaborz,Flyweight,https://www.ufc.com/athlete/magomed-bibulatov,Magomed Bibulatov,Chaborz,Not Fighting,"Chechnya, Russia",34,65,127,2017-04-08,114,223,3.6,1.83,2.85,0,0.52,0.75,0,10M 33S,15,NA,65.5,36.5,2,NA,14,2,0,61,0.54,18,0.16,35,0.31,2,0.14,7,0.5,5,0.36
David Bielkheden,NA,Lightweight,https://www.ufc.com/athlete/david-bielkheden,David Bielkheden,NA,Not Fighting,"Stockholm, Sweden",44,70,157,2008-03-01,44,77,1.11,1.64,2.65,0,0.55,0.14,0,9M 55S,11,NA,NA,NA,NA,NA,13,7,0,4,0.09,20,0.45,20,0.45,0,0,0,0,0,0
Blake Bilder,El Animal,Featherweight,https://www.ufc.com/athlete/blake-bilder,Blake Bilder,El Animal,Not Fighting,United States,34,68,144.5,2023-02-11,184,381,3.81,4.15,0.31,0.62,0.54,0.71,0,12M 4S,13,NA,68.5,39.5,1,NA,8,2,1,169,0.92,13,0.07,2,0.01,1,0.14,2,0.29,4,0.5700000000000001
Jonas Bilharinho,NA,Featherweight,https://www.ufc.com/athlete/jonas-bilharinho,Jonas Bilharinho,NA,Not Fighting,NA,33,71,146,2026-06-25,52,86,3.71,3.36,0,0,0.58,1,1.07,14M 0S,NA,NA,75.5,39,NA,NA,1,0,0,44,0.85,8,0.15,0,0,0,0,0,0,0,0
Xie Bin,NA,Featherweight,https://www.ufc.com/athlete/xie-bin,Xie Bin,NA,NA,"Hunan, China",25,NA,145.5,2022-06-10,213,483,4.1,2.81,2.6,0,0.6,0.4,1.15,8M 40S,21,NA,NA,NA,NA,NA,2,3,0,193,0.91,10,0.05,10,0.05,0,0,0,0,0,0
Anthony Birchak,El Toro,Bantamweight,https://www.ufc.com/athlete/anthony-birchak,Anthony Birchak,El Toro,Not Fighting,"Tucson, United States",37,68,135.5,2014-12-13,123,336,3.93,3.67,0.48,0.48,0.5700000000000001,0.62,0.96,5M 13S,7,NA,69,39,NA,Joel Diaz Boxing,16,8,0,82,0.67,27,0.22,14,0.11,5,0.31,3,0.19,8,0.5
Chris Birchler,NA,Light Heavyweight,https://www.ufc.com/athlete/chris-birchler,Chris Birchler,NA,Active,"Livingston, United States",36,75,205,2026-06-28,41,88,9.35,14.83,0,0,0.35000000000000003,NA,0,4M 23S,NA,NA,NA,NA,NA,NA,7,4,0,41,1,0,0,0,0,0,0,0,0,0,0
Michael Bisping,The Count,Middleweight,https://www.ufc.com/athlete/michael-bisping,Michael Bisping,The Count,Retired,"England, United Kingdom",44,73,186,2006-06-24,1610,4223,4.33,2.71,1.05,0.32,0.65,0.63,0.4,11M 37S,60,NA,75.5,44.5,26,NA,31,9,0,1287,0.8,152,0.09,171,0.11,0,0,0,0,0,0
Amaury Bitetti,NA,Middleweight,https://www.ufc.com/athlete/amaury-bitetti,Amaury Bitetti,NA,Not Fighting,Brazil,54,0,0,1996-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caio Bittencourt,NA,Middleweight,https://www.ufc.com/athlete/caio-bittencourt,Caio Bittencourt,NA,Not Fighting,NA,32,70,186,2026-06-25,1,6,0.29,0.57,0,0,0.33,NA,0,3M 29S,NA,NA,75,39.5,NA,NA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Simon Biyong,NA,Light Heavyweight,https://www.ufc.com/athlete/simon-biyong,Simon Biyong,NA,Active,NA,32,NA,NA,2026-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Błachowicz,NA,Light Heavyweight,https://www.ufc.com/athlete/jan-blachowicz,Jan Błachowicz,NA,Active,"Cieszyn, Poland",43,74,206,2014-10-04,1037,2063,3.55,3.14,0.98,0.36,0.52,0.6900000000000001,0.36,13M 16S,39,MMA,78,44,12,"Ankos MMA - Zapaśniczy 67, Warszawa",29,11,2,812,0.78,107,0.1,118,0.11,9,0.31,11,0.38,9,0.31
Jason Black,NA,Lightweight,https://www.ufc.com/athlete/jason-black,Jason Black,NA,Not Fighting,"Ottumwa, United States",50,68,156,2007-06-12,33,69,1.06,2.6,0.48,6.25,0.45,0.29,0,9M 22S,3,NA,NA,NA,NA,NA,22,4,1,9,0.27,7,0.21,17,0.52,0,0,0,0,0,0
Brad Blackburn,Bad,Welterweight,https://www.ufc.com/athlete/brad-blackburn,Brad Blackburn,Bad,Not Fighting,"Los Angeles, United States",46,70,170,2008-07-19,294,827,4.55,3.59,0.93,0.7,0.65,0.77,1.16,12M 55S,8,NA,NA,NA,NA,NA,15,11,1,255,0.87,16,0.05,23,0.08,0,0,0,0,0,0
Tom Blackledge,The Juggernaut,Light Heavyweight,https://www.ufc.com/athlete/tom-blackledge,Tom Blackledge,The Juggernaut,Not Fighting,"Wigan, United Kingdom",NA,75,205,2011-02-26,8,13,2.91,2.55,0,0,0.46,0.75,0,2M 45S,NA,NA,NA,NA,NA,NA,10,7,0,4,0.5,0,0,4,0.5,0,0,0,0,0,0
Sherrard Blackledge,NA,Lightweight,https://www.ufc.com/athlete/sherrard-blackledge,Sherrard Blackledge,NA,Active,"Baltimore, United States",29,NA,155,2026-06-29,111,223,3.7,3.13,4,0,0.55,0.43,0,15M 0S,24,NA,NA,NA,NA,NA,1,1,0,65,0.59,39,0.35000000000000003,7,0.06,0,0,0,0,0,0
Da'Mon Blackshear,The Monster,Bantamweight,https://www.ufc.com/athlete/damon-blackshear,Da'Mon Blackshear,The Monster,Active,United States,30,70,136,2022-08-13,439,956,4.33,4.19,1.48,1.48,0.52,0.71,0,10M 9S,30,MMA,72,40,1,Kill Cliff FC,17,8,1,343,0.78,63,0.14,33,0.08,2,0.12,4,0.24,11,0.65
Erin Blanchfield,Cold Blooded,Women's Flyweight,https://www.ufc.com/athlete/erin-blanchfield,Erin Blanchfield,Cold Blooded,Active,United States,27,64,125.8,2021-09-18,643,1448,5.24,4.25,1.96,0.86,0.59,0.78,0,13M 37S,47,Jiu-Jitsu,66,36,10,NA,14,2,0,496,0.77,43,0.07,104,0.16,2,0.14,7,0.5,5,0.36
Maximo Blanco,Maxi,Featherweight,https://www.ufc.com/athlete/maximo-blanco,Maximo Blanco,Maxi,Not Fighting,Venezuela,39,68,145.5,2012-04-21,366,828,4.11,3.19,1.85,0.34,0.66,0.64,0.34,8M 54S,30,NA,71,37,NA,NA,12,8,1,297,0.81,58,0.16,11,0.03,8,0.67,4,0.33,0,0
Curtis Blaydes,Razor,Heavyweight,https://www.ufc.com/athlete/curtis-blaydes,Curtis Blaydes,Razor,Active,"Naperville, United States",35,76,258,2016-04-10,809,1552,4.18,2.76,5.12,0,0.54,0.35000000000000003,0.16,9M 13S,138,MMA,80,46,33,Dutch Style MMA/ UFC Gym Lombard IL,19,6,0,421,0.52,145,0.18,243,0.3,13,0.68,6,0.32,0,0
Tereza Bledá,NA,Women's Flyweight,https://www.ufc.com/athlete/tereza-bleda,Tereza Bledá,NA,Active,"Cheb, Czechia",24,69,126,2022-11-19,127,247,2.92,2.14,1.72,0.69,0.44,0.8300000000000001,0.34,10M 53S,22,Wrestling,71,39,1,Reinders MMA,7,2,0,50,0.39,13,0.1,64,0.5,2,0.29,3,0.43,2,0.29
Byron Bloodworth,NA,Bantamweight,https://www.ufc.com/athlete/byron-bloodworth,Byron Bloodworth,NA,Not Fighting,United States,39,68,136,2011-10-02,25,88,1.82,5.18,0,0,0.5,NA,0,6M 51S,3,NA,NA,NA,NA,NA,6,3,0,19,0.76,6,0.24,0,0,0,0,0,0,0,0
Dashawn Boatwright,"Buck, the 400-pound Silverback",Light Heavyweight,https://www.ufc.com/athlete/dashawn-boatwright,Dashawn Boatwright,"Buck, the 400-pound Silverback",Active,"Long Island, United States",35,72,204,2026-06-24,0,1,0,52.5,0,0,0.13,NA,0,8S,NA,NA,76,41,NA,NA,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Bobish,NA,Heavyweight,https://www.ufc.com/athlete/daniel-bobish,Daniel Bobish,NA,Not Fighting,"Cleveland, United States",53,0,0,1997-07-27,38,85,2.06,1.74,2.44,1.63,0.35000000000000003,NA,0,6M 9S,7,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0
Mark Bocek,NA,Lightweight,https://www.ufc.com/athlete/mark-bocek,Mark Bocek,NA,Not Fighting,"Toronto, Canada",41,68,156,2007-07-07,347,795,2.34,2.32,3.65,1.32,0.61,0.31,0,11M 23S,98,NA,75,NA,NA,NA,12,5,0,105,0.3,107,0.31,135,0.39,0,0,0,0,0,0
Kyle Bochniak,Crash,Featherweight,https://www.ufc.com/athlete/kyle-bochniak,Kyle Bochniak,Crash,Not Fighting,"Beverly, United States",36,67,145,2016-01-18,276,879,2.63,5.11,1.14,0,0.58,0.63,0.14,15M 0S,52,NA,70,38.5,5,NA,8,5,0,243,0.88,28,0.1,5,0.02,2,0.25,4,0.5,2,0.25
James Bochnovic,NA,Middleweight,https://www.ufc.com/athlete/james-bochnovic,James Bochnovic,NA,Not Fighting,"Glen Ellyn, United States",34,76,186,2017-07-09,8,30,0.65,3.64,0,0,0.21,NA,0,6M 11S,2,NA,81,45.5,NA,NA,8,3,0,5,0.63,1,0.13,2,0.25,1,0.13,0,0,7,0.88
Tim Boetsch,The Barbarian,Middleweight,https://www.ufc.com/athlete/tim-boetsch,Tim Boetsch,The Barbarian,Retired,"Camden, United States",42,72,185,2008-02-02,635,1253,2.93,2.9,1.45,0.76,0.5700000000000001,0.59,0.48,9M 2S,61,NA,74,42,21,"Team Irish MMA- Brewer, ME",21,13,0,397,0.63,161,0.25,77,0.12,13,0.62,5,0.24,3,0.14
Galore Bofando,NA,Welterweight,https://www.ufc.com/athlete/galore-bofando,Galore Bofando,NA,Not Fighting,NA,41,71,170,2017-07-16,23,51,3.63,3.63,2.37,0,0.55,0.5,2.37,3M 10S,1,NA,72,41,NA,NA,5,3,0,11,0.48,0,0,12,0.52,4,0.8,1,0.2,0,0
Roman Bogatov,NA,Lightweight,https://www.ufc.com/athlete/roman-bogatov,Roman Bogatov,NA,Not Fighting,"Kostanay, Kazakhstan",32,68,155.5,2020-07-11,50,117,3.33,4.4,1,0,0.45,0.5,0,15M 0S,11,NA,73.5,39,NA,NA,10,1,0,37,0.74,6,0.12,7,0.14,1,0.1,4,0.4,5,0.5
Jerry Bohlander,NA,Middleweight,https://www.ufc.com/athlete/jerry-bohlander,Jerry Bohlander,NA,Not Fighting,"Napa, United States",49,0,0,1996-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandy Böhm,Monster,Women's Flyweight,https://www.ufc.com/athlete/mandy-bohm,Mandy Böhm,Monster,Active,"Gelsenkirchen, Germany",33,67,126,2021-09-04,105,232,2.51,3.24,0.72,0.72,0.6,0.75,0,13M 58S,11,Kung Fu,71,38.5,NA,"Xtreme Couture - Las Vegas, NV",8,2,0,76,0.72,27,0.26,2,0.02,2,0.29,3,0.43,2,0.29
Gaston Bolanos,DreamKiller,Featherweight,https://www.ufc.com/athlete/gaston-bolanos,Gaston Bolanos,DreamKiller,Active,"Lima, Peru",33,67,135.5,2023-04-15,236,496,3.91,3.54,0.75,0,0.55,0.5,0,12M 5S,4,Striker,69,38.5,NA,Combat Sports Academy,9,5,0,191,0.81,10,0.04,35,0.15,6,0.67,3,0.33,0,0
Denys Bondar,Psycho,Flyweight,https://www.ufc.com/athlete/denys-bondar,Denys Bondar,Psycho,Active,"Kharkiv, Ukraine",31,66,136.7,2021-01-01,121,238,4.59,5.16,3.99,0,0.5700000000000001,0.63,0,8M 47S,12,MMA,69,38,1,NA,14,5,0,104,0.86,10,0.08,7,0.06,4,0.29,1,0.07,9,0.64
Gabriel Bonfim,Marretinha,Welterweight,https://www.ufc.com/athlete/gabriel-bonfim,Gabriel Bonfim,Marretinha,Active,"Brasilia, Brazil",28,73,170.5,2023-01-21,416,885,4.76,3.61,2.57,1.03,0.65,0.79,0.17,9M 43S,28,Striker,72.5,40.5,NA,Bonfim Brothers Academy,20,1,0,383,0.92,29,0.07,4,0.01,4,0.2,3,0.15,13,0.65
Ismael Bonfim,Marreta,Lightweight,https://www.ufc.com/athlete/ismael-bonfim,Ismael Bonfim,Marreta,Active,"Brasilia, Brazil",30,68,161,2023-01-21,312,573,5.51,3.71,1.06,0,0.65,0.77,0.53,9M 26S,12,Boxer,71.5,35,1,Cerrado MMA,20,6,0,282,0.9,24,0.08,6,0.02,9,0.45,7,0.35000000000000003,4,0.2
Jesse Bongfeldt,Water,Middleweight,https://www.ufc.com/athlete/jesse-bongfeldt,Jesse Bongfeldt,Water,Not Fighting,Canada,42,72,185,2010-12-12,58,93,2.91,1.01,1.51,0,0.5,0.33,0,9M 57S,6,NA,NA,NA,NA,NA,15,5,1,15,0.26,9,0.16,34,0.59,0,0,0,0,0,0
Stephan Bonnar,American Psycho,Light Heavyweight,https://www.ufc.com/athlete/stephan-bonnar,Stephan Bonnar,American Psycho,Not Fighting,"Hammond, United States",46,76,205,2005-04-09,532,1386,2.76,3.01,1.32,1.01,0.52,0.6,0.16,11M 20S,42,NA,80,NA,NA,NA,17,8,0,264,0.5,155,0.29,113,0.21,0,0,0,0,0,0
Michael Bonnette,No Mercy,Welterweight,https://www.ufc.com/athlete/michael-bonnette,Michael Bonnette,No Mercy,Active,NA,34,NA,170.5,2026-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogerio Bontorin,NA,Flyweight,https://www.ufc.com/athlete/rogerio-bontorin,Rogerio Bontorin,NA,Not Fighting,"State of São Paulo, Brazil",31,65,147.4,2019-02-02,204,387,2.63,3.27,2.9,0.97,0.5,0.52,0,11M 4S,25,Brazilian Jiu-Jitsu,67,35.5,1,NA,17,4,0,160,0.78,20,0.1,24,0.12,3,0.19,2,0.13,11,0.6900000000000001
Ray Borg,The Tazmexican Devil,Bantamweight,https://www.ufc.com/athlete/ray-borg,Ray Borg,The Tazmexican Devil,Not Fighting,"Tucson, United States",29,64,149.4,2014-04-19,263,504,1.52,1.93,3.89,1.04,0.48,0.47000000000000003,0,14M 27S,90,MMA,63,36,22,"Fit NHB, Albuquerque, NM",13,5,0,90,0.34,61,0.23,112,0.43,1,0.08,6,0.46,6,0.46
Kevin Borjas,El Gallo Negro,Flyweight,https://www.ufc.com/athlete/kevin-borjas,Kevin Borjas,El Gallo Negro,Active,"Lima, Peru",28,65,126,2023-11-11,352,820,3.87,5.27,0,0,0.5,0.73,0.49,12M 59S,11,NA,68,36,NA,Pitbull Martial Arts Center,11,5,0,331,0.9400000000000001,17,0.05,4,0.01,8,0.73,3,0.27,0,0
Calen Born,NA,Welterweight,https://www.ufc.com/athlete/calen-born,Calen Born,NA,Not Fighting,"KCMO, United States",35,68,179,2020-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,73,39,NA,NA,7,1,0,0,0,0,0,0,0,2,0.29,1,0.14,4,0.5700000000000001
Caio Borralho,The Natural,Middleweight,https://www.ufc.com/athlete/caio-borralho,Caio Borralho,The Natural,Active,"State of Maranhão, Brazil",33,73.5,185,2022-04-16,540,958,3.47,2.61,1.25,0.39,0.6,0.76,0.39,14M 9S,26,MMA,75,42,1,The Fighting Nerds,18,2,0,424,0.79,44,0.08,72,0.13,5,0.28,9,0.5,4,0.22
Zach Borrego,NA,Middleweight,https://www.ufc.com/athlete/zach-borrego,Zach Borrego,NA,Active,"San Antonio, United States",26,NA,187.5,2026-06-24,NA,NA,0,1.94,0,0,0.33,NA,0,1M 2S,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Viacheslav Borshchev,Slava Claus,Lightweight,https://www.ufc.com/athlete/viacheslav-borshchev,Viacheslav Borshchev,Slava Claus,Not Fighting,"Volgograd, Russia",33,71,155.8,2022-01-15,591,1159,5.1,4.46,0,0.13,0.5700000000000001,0.44,0.65,10M 32S,1,Kickboxer,69,41.5,NA,Team Alpha Male,8,7,1,544,0.92,27,0.05,20,0.03,6,0.75,2,0.25,0,0
