name,wins,losses,draws,nc,height,weight,reach,stance,dob,s_lp_m,str_acc,s_ap_m,str_def,td_avg,td_acc,td_def,sub_avg
Nick Fiore,6,2,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 10, 1997",2.83,46%,7.93,42%,2.5,45%,71%,0
Manon Fiorot,13,2,0,0,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",5.66,42%,3.58,66%,1.05,29%,87%,0
Luiz Firmino,19,8,0,0,"5' 6""",154 lbs.,NA,Orthodox,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9
Spencer Fisher,24,9,0,0,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8
Chris Fishgold,18,4,1,0,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.7,46%,2.59,46%,44%,1.3
Bryanna Fissori,2,4,0,0,"5' 4""",145 lbs.,NA,NA,NA,1.4,46%,1.2,57%,2,25%,50%,0
Jon Fitch,30,7,1,1,"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.6,51%,56%,0.8
Isi Fitikefu,6,0,0,0,"5' 10""",205 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Rafael Fiziev,14,5,0,0,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.71,52%,4.81,50%,1,71%,90%,0
Colin Fletcher,14,8,0,0,"6' 2""",155 lbs.,NA,Orthodox,"Jan 08, 1983",3.1,34%,2.97,62%,0,0%,27%,0
AJ Fletcher,10,3,0,0,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997",3.36,49%,4.61,46%,1.54,35%,33%,0.9
Nathan Fletcher,9,3,0,0,"5' 7""",135 lbs.,"70""",Orthodox,"Jan 03, 1998",3.41,59%,2.16,57%,3.37,38%,50%,0.7
Jimmy Flick,17,9,0,0,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.67,50%,4.7,43%,2.36,33%,0%,3.5
Luke Flores,9,2,0,0,"6' 0""",155 lbs.,"73""",Southpaw,"Mar 17, 1988",1.56,44%,1.88,60%,0,0%,40%,1.2
Ty Flores,7,3,0,0,"6' 3""",205 lbs.,"73""",Switch,"Dec 22, 1993",2,37%,7.8,25%,1,9%,0%,0
Alejandro Flores,17,3,0,0,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991",3.66,40%,2.02,54%,0,0%,0%,0
Kenny Florian,14,6,0,0,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3
Darrius Flowers,13,8,1,0,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1994",3.13,50%,5.35,42%,1.65,44%,66%,0.4
Cody Floyd,2,0,0,0,NA,NA,NA,NA,"Jul 18, 1988",0,0%,0,0%,0,0%,0%,0
Bobby Flynn,6,4,0,0,NA,170 lbs.,NA,NA,NA,0.38,25%,0.77,0%,0,0%,0%,0
Caros Fodor,11,6,0,0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 07, 1984",2.76,54%,2.83,54%,2.1,25%,50%,0
Mal Foki,5,5,0,0,"5' 7""",220 lbs.,NA,Orthodox,"Mar 16, 1976",2.86,14%,14.29,54%,0,0%,0%,0
Matt Foki,5,4,0,1,"5' 7""",220 lbs.,NA,Orthodox,"Mar 16, 1976",0,0%,3.37,56%,0,0%,0%,0
AJ Fonseca,5,4,0,0,"5' 4""",145 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Rob Font,22,10,0,0,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.11,45%,3.53,57%,0.7,29%,37%,0.3
Claudionor Fontinelle,10,15,1,0,"5' 5""",185 lbs.,NA,Orthodox,NA,2.62,42%,10.25,28%,0,0%,0%,0
Jesse Forbes,15,5,0,0,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2
Sterling Ford,15,7,0,0,"5' 10""",155 lbs.,NA,NA,"Mar 12, 1986",0,0%,0,0%,0,0%,0%,0
Codale Ford,11,9,0,0,"5' 9""",170 lbs.,NA,NA,"May 13, 1979",0,0%,0,0%,0,0%,0%,0
Raheam Forest,7,2,0,0,"5' 11""",170 lbs.,"73""",Switch,"Jul 11, 1997",5.32,38%,12.15,42%,0,0%,0%,0
Jussier Formiga,23,8,0,0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6
Carol Foro,9,1,0,0,"5' 2""",115 lbs.,"61""",Orthodox,"Mar 21, 1997",7.8,55%,7.67,58%,0,0%,100%,0
Renee Forte,8,4,0,0,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987",2.08,32%,2.12,63%,2.32,58%,66%,0
Brianna Fortino,9,3,0,0,"5' 0""",115 lbs.,"62""",Southpaw,"Aug 04, 1993",3.53,41%,3.23,57%,2.5,45%,66%,0
Marcel Fortuna,9,3,0,0,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5
Tyrell Fortune,18,3,0,2,"6' 0""",259 lbs.,"75""",Orthodox,"Jul 04, 1990",2,50%,3.13,57%,3,60%,100%,0
Brian Foster,27,10,0,0,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.3,39%,1.63,65%,3.67,60%,37%,1.8
Xavier Foupa-Pokam,32,22,0,0,"6' 1""",185 lbs.,NA,Open Stance,"Jul 03, 1982",1.47,43%,2.5,49%,0,0%,16%,0
Mason Fowler,2,0,0,0,"5' 11""",170 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Brandon Foxworth,18,4,0,0,"5' 11""",145 lbs.,NA,Orthodox,"Apr 28, 1979",1.33,32%,4.59,50%,0,0%,0%,0
Hermes Franca,24,17,0,1,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4
Glaico Franca Moreira,15,5,0,0,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3
Francisco France,13,5,1,0,"6' 0""",205 lbs.,NA,NA,"Jan 21, 1983",0.54,33%,3.51,27%,0,0%,0%,6.1
John Franchi,6,2,0,0,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3
Felipe Franco,10,2,0,0,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 2001",1.81,50%,2.55,38%,3.02,37%,87%,0
Rich Franklin,29,7,0,1,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7
Xavier Franklin,5,1,0,1,"5' 6""",135 lbs.,"66""",Southpaw,"Oct 15, 1996",3.07,33%,5.27,50%,0,0%,100%,0
Zoila Frausto,13,5,0,0,"5' 4""",135 lbs.,NA,Orthodox,"Dec 10, 1983",0.77,31%,1.64,53%,0,0%,57%,0
Stephanie Frausto,8,7,0,0,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 20, 1990",1.43,21%,3.57,60%,0,0%,0%,0
Zane Frazier,4,11,0,0,"6' 5""",250 lbs.,NA,Orthodox,NA,0,0%,0,0%,0,0%,0%,0
Gary Frazier,3,3,0,0,"6' 0""",245 lbs.,NA,Orthodox,"Mar 31, 1988",1.5,39%,2.77,46%,0,0%,100%,0
Justin Frazier,10,3,0,0,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",1.11,66%,6.11,4%,0,0%,0%,0
Ian Freeman,20,7,1,0,"5' 11""",225 lbs.,NA,Orthodox,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7
Jason Freeman,6,4,0,1,"6' 2""",225 lbs.,NA,NA,"Sep 02, 1976",0,0%,0,0%,0,0%,0%,0
Kennedy Freeman,6,0,0,0,NA,125 lbs.,NA,NA,"Nov 26, 1996",0,0%,0,0%,0,0%,0%,0
Denzel Freeman,7,2,0,0,"6' 1""",265 lbs.,"77""",Southpaw,"Nov 10, 1991",2.45,56%,3.4,50%,0,0%,50%,0
Willamy Freire,26,6,0,0,"5' 8""",155 lbs.,NA,Orthodox,"Jul 28, 1987",1.53,37%,0.93,62%,0.5,100%,73%,0
Patricky Freire,17,8,0,0,"5' 7""",155 lbs.,"71""",NA,"Jun 01, 1986",3.06,44%,3.34,69%,1.26,33%,100%,0
Jeremy  Freitag,6,10,0,0,"6' 1""",205 lbs.,NA,NA,NA,0,0%,8.37,19%,0,0%,33%,1.9
Rafael Freitas,3,6,0,1,NA,205 lbs.,NA,Orthodox,NA,2,29%,8,51%,11.25,50%,0%,0
Donavon Frelow,6,3,0,0,"5' 7""",135 lbs.,NA,Orthodox,"Jan 20, 1985",2.4,27%,3.2,52%,1,100%,26%,0
Josh Fremd,11,6,0,0,"6' 4""",185 lbs.,"76""",Orthodox,"Jan 15, 1994",2.52,44%,2.23,47%,0.66,25%,30%,1.1
Clay French,19,7,0,0,"5' 7""",161 lbs.,NA,Southpaw,"Oct 07, 1980",1.52,50%,1.27,16%,0,0%,100%,0
Mike French,9,10,0,0,"5' 10""",145 lbs.,NA,NA,"May 29, 1975",0.23,23%,2.17,42%,0,0%,22%,1
Matt Frevola,11,6,1,0,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.3,39%,3.76,56%,2.34,41%,40%,0.8
Jinh Yu Frey,11,10,0,0,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",2.97,43%,4.23,52%,1.02,36%,90%,0.3
Artem Frolov,11,0,0,0,"5' 10""",185 lbs.,NA,NA,"Sep 07, 1991",0,0%,0,0%,0,0%,0%,0
Sarah Frota,9,2,0,0,"5' 6""",125 lbs.,"69""",Southpaw,"Apr 14, 1987",4.52,52%,2.57,55%,0,0%,53%,0
Daniel Frunza,9,4,0,0,"6' 1""",170 lbs.,"73""",Orthodox,"Apr 13, 1994",3.25,38%,4.32,50%,0,0%,50%,0
Don Frye,20,9,1,1,"6' 1""",219 lbs.,NA,Orthodox,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7
Allen Frye Jr.,6,1,0,0,"6' 5""",265 lbs.,"80""",Orthodox,"Apr 15, 1998",2.2,38%,4.27,36%,0,0%,0%,0
Tony Fryklund,14,9,1,0,"6' 0""",185 lbs.,NA,Orthodox,"Mar 26, 1971",3.49,39%,6.5,43%,0,0%,66%,0.5
Adam Fugitt,10,6,0,0,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",4.88,46%,5.33,51%,1.63,22%,50%,0
Jesse Fujarczyk,2,2,0,0,"6' 4""",225 lbs.,NA,Southpaw,"Jan 28, 1983",1.03,33%,4.91,38%,0,0%,25%,0
Katsuhisa Fujii,9,18,1,0,"6' 0""",205 lbs.,NA,Orthodox,"Aug 15, 1972",4,50%,4.43,64%,2.14,25%,50%,2.1
Megumi Fujii,26,3,0,0,"5' 3""",113 lbs.,NA,NA,"Apr 26, 1974",2.4,42%,0,100%,0,0%,0%,12
Kazuyuki Fujita,15,12,0,0,"6' 0""",235 lbs.,NA,Orthodox,"Oct 16, 1970",1.05,49%,1.99,52%,2.78,36%,85%,0.6
Keisuke Fujiwara,17,12,5,0,"5' 6""",139 lbs.,NA,Switch,"Sep 17, 1982",0.73,44%,1.2,47%,0,0%,23%,2.5
Riki Fukuda,24,9,0,1,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0
Machi Fukuda,11,2,0,0,"5' 0""",115 lbs.,"61""",Southpaw,"Jun 03, 2003",2.03,60%,1.16,50%,19.61,90%,100%,0
Masio Fullen,11,7,0,0,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",2.46,32%,3.5,54%,0.47,33%,69%,0
Travis Fulton,253,53,10,1,"6' 0""",240 lbs.,NA,Orthodox,"May 29, 1977",0,0%,0,0%,0,0%,0%,0
Sam Fulton,0,2,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Masakatsu Funaki,39,13,2,0,"6' 0""",185 lbs.,NA,Southpaw,"Mar 13, 1969",1.82,68%,2.92,35%,0,0%,0%,5.5
Ricardo Funch,9,6,0,0,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0
Katsuaki Furuki,1,1,0,0,"6' 0""",168 lbs.,NA,NA,"Nov 10, 1980",0.27,10%,2.67,39%,0,0%,0%,3
James Gabert,6,4,0,0,NA,178 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Gustavo Gabriel,13,1,0,0,"5' 6""",125 lbs.,NA,Orthodox,"Apr 01, 1994",4.06,65%,4.26,46%,0,0%,50%,0
Claudia Gadelha,18,5,0,0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7
Alavutdin Gadjiev,18,13,1,0,"6' 2""",185 lbs.,NA,Orthodox,"Jun 23, 1982",0.99,27%,0.99,57%,0,0%,50%,0
Magomed Gadzhiyasulov,9,1,0,0,"6' 2""",205 lbs.,"75""",Orthodox,"Nov 04, 1993",2.89,49%,1.64,62%,3.67,73%,61%,0
Justin Gaethje,28,5,0,0,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",6.29,57%,6.83,50%,0.3,26%,73%,0
Sheila Gaff,9,7,0,0,"5' 5""",135 lbs.,NA,Orthodox,"Dec 29, 1989",1.6,50%,2.89,28%,0,0%,20%,0
Muin Gafurov,20,7,0,0,"5' 7""",135 lbs.,"68""",Orthodox,"May 17, 1996",3.36,47%,2.51,55%,1.57,28%,70%,0
Mitch Gagnon,12,5,0,0,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9
Brandon Gaines,5,21,0,0,"6' 3""",185 lbs.,NA,NA,"Feb 24, 1982",0,0%,0,0%,0,0%,0%,0
Travis Galbraith,18,7,0,0,"6' 0""",170 lbs.,NA,Orthodox,"May 18, 1981",2.21,40%,3.45,48%,1.33,25%,0%,1.3
Dave Galera,5,1,0,0,"5' 11""",135 lbs.,NA,Orthodox,"Jan 12, 1978",1.67,69%,0.53,33%,0,0%,14%,2
Zelg Galesic,11,9,0,0,"6' 2""",185 lbs.,NA,Orthodox,"Feb 16, 1979",4.86,62%,0.61,66%,1.3,100%,20%,1.3
Mickey Gall,7,7,0,0,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",3.5,49%,4.72,49%,1.15,32%,37%,1.6
Daniel Gallemore,7,3,0,0,"6' 5""",265 lbs.,NA,NA,NA,3.1,41%,6,52%,0,0%,0%,0
Tom Gallicchio,19,10,0,0,"5' 10""",170 lbs.,NA,Southpaw,"Sep 23, 1986",3.53,26%,7.07,43%,1,11%,0%,0
Turrell Galloway,8,6,0,0,"5' 3""",145 lbs.,NA,NA,"Aug 11, 1976",0,0%,0,0%,0,0%,0%,0
Eric Galvan,0,0,0,0,NA,155 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Andre Galvao,5,2,0,0,"5' 7""",168 lbs.,NA,Orthodox,"Sep 29, 1982",2.34,52%,1.56,58%,2.02,27%,0%,2.8
Marcos Galvao,18,8,1,0,"5' 7""",135 lbs.,NA,Orthodox,"Jun 23, 1981",1.97,32%,3.86,61%,2.27,28%,88%,1.1
Lucas Gamaza,8,4,0,0,NA,170 lbs.,NA,NA,NA,7.57,31%,6.99,45%,0,0%,0%,0
Joey Gambino,9,2,0,0,"5' 7""",145 lbs.,NA,Orthodox,"Oct 26, 1988",2.47,35%,2.53,51%,0,0%,42%,0.8
Manvel Gamburyan,15,10,0,1,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7
Mateusz Gamrot,26,4,0,1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 11, 1990",3.21,51%,2.81,60%,5.22,38%,83%,0.2
Shamil Gamzatov,14,1,0,0,"6' 2""",205 lbs.,"76""",Orthodox,"Aug 09, 1990",5.35,48%,3.46,51%,0,0%,50%,0
Ryan Gandra,9,1,0,0,"6' 1""",185 lbs.,"74""",Orthodox,"May 08, 1995",13.02,50%,1.7,81%,0,0%,100%,0
Ariel Gandulla,7,9,0,1,"5' 11""",205 lbs.,NA,Orthodox,"May 07, 1968",1.95,23%,2.07,72%,1.88,66%,0%,0
Ciryl Gane,14,2,0,1,"6' 4""",247 lbs.,"81""",Orthodox,"Apr 12, 1990",5.4,61%,2.31,60%,0.66,23%,47%,0.6
Sean Gannon,2,1,0,0,"6' 3""",265 lbs.,NA,Southpaw,NA,0,0%,6.38,28%,0,0%,50%,0
Tommy Gantt,12,0,0,1,"5' 11""",155 lbs.,"76""",Orthodox,"Jan 09, 1993",2.92,75%,0.85,43%,11.29,36%,100%,1.4
Junye Gao,19,12,0,0,NA,125 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Eduardo Garagorri,13,2,0,0,"5' 9""",145 lbs.,"70""",Orthodox,"May 28, 1989",3.42,51%,2.36,58%,0.48,100%,61%,0
Cody Garbrandt,15,7,0,0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.79,40%,3.66,58%,0.85,22%,81%,0
Leonard Garcia,18,13,1,0,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979",2.77,24%,4.79,52%,0.3,26%,42%,0.5
Edgar Garcia,14,5,0,0,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6
Alejandro Garcia,14,10,0,1,"5' 7""",145 lbs.,NA,NA,"Oct 20, 1980",1.22,62%,1.14,65%,8.55,87%,66%,0
Alex Garcia,15,6,0,0,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1
Nick Garcia,8,3,0,1,"5' 4""",125 lbs.,NA,NA,NA,0.67,25%,3.03,50%,0,0%,83%,5.1
Steve Garcia,19,6,0,0,"6' 0""",145 lbs.,"75""",Southpaw,"May 22, 1992",5.46,48%,2.22,59%,0.77,40%,89%,0.4
Elias Garcia,6,2,0,0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4
Rafa Garcia,19,4,0,0,"5' 7""",155 lbs.,"70""",Orthodox,"Aug 05, 1994",4.28,44%,4.42,61%,3.22,45%,77%,0.4
Fernie Garcia,10,5,0,0,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 12, 1992",2.04,34%,3.79,48%,0.28,50%,50%,0.6
Rulon Gardner,1,0,0,0,"6' 3""",265 lbs.,NA,Orthodox,"Aug 16, 1971",2.05,25%,1.45,60%,0.75,100%,100%,0
David Gardner,18,21,0,0,"5' 11""",155 lbs.,NA,Orthodox,"May 17, 1977",0.17,100%,0.34,0%,0,0%,66%,0
Pablo Garza,12,4,0,0,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",3.37,44%,2.7,50%,0.94,25%,15%,1.3
Magomedrasul Gasanov,23,2,0,0,NA,185 lbs.,NA,NA,"Oct 23, 1994",0,0%,0,0%,0,0%,0%,0
Azamat Gashimov,8,3,0,0,"5' 6""",125 lbs.,NA,Orthodox,"Apr 07, 1990",1.24,21%,4.75,53%,1.69,25%,0%,0
Brian Gassaway,29,20,2,1,"6' 1""",170 lbs.,NA,Orthodox,"Aug 07, 1972",0.34,26%,3.65,44%,0,0%,42%,0
Kelvin Gastelum,21,11,0,1,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.65,42%,3.52,57%,1.04,35%,60%,0.1
Willie Gates,12,7,0,0,"5' 8""",125 lbs.,"72""",Orthodox,"Jan 21, 1987",1.8,38%,4.28,38%,0,0%,67%,0.4
Melissa Gatto,9,3,2,0,"5' 5""",125 lbs.,"69""",Orthodox,"May 02, 1996",3.47,49%,2.67,54%,1.77,27%,58%,0.4
Sean Gauci,10,1,0,0,"5' 5""",125 lbs.,"64""",Switch,"Oct 07, 1996",5.07,59%,5.8,68%,4,44%,100%,0
Louis Gaudinot,8,4,0,1,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",2.34,37%,6.42,48%,0.57,40%,31%,1.1
Ateba Gautier,11,1,0,0,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",4.32,43%,2.6,54%,0.41,100%,93%,0
Manuel Gaxhja,7,0,0,0,"5' 8""",155 lbs.,NA,Switch,"Jul 23, 1997",0,0%,0,0%,0,0%,0%,0
Shamil Gaziev,14,3,0,0,"6' 4""",265 lbs.,"78""",Orthodox,"Feb 10, 1990",2.94,46%,4.92,45%,1.06,33%,83%,0.3
Charlene Gellner,0,4,0,0,"5' 2""",125 lbs.,NA,NA,NA,2.01,42%,3.24,43%,0,0%,0%,1.7
Chad George,16,8,0,0,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",1.26,50%,1.11,65%,3.08,46%,0%,1.3
Paul Georgieff,6,2,0,0,"6' 2""",170 lbs.,NA,Orthodox,"Sep 22, 1982",2.55,40%,2.34,35%,0,0%,0%,0
Brian Geraghty,26,18,1,0,"5' 7""",155 lbs.,NA,Orthodox,"Nov 04, 1980",0.47,25%,9.77,36%,0,0%,50%,0
Derek Getzel,8,5,0,0,"6' 0""",155 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Karine Gevorgyan,3,3,0,0,"5' 4""",125 lbs.,"63""",NA,"Mar 09, 1989",1.2,20%,1.8,76%,0,0%,0%,0
Yanis Ghemmouri,12,3,0,0,"5' 9""",135 lbs.,"69""",Orthodox,"Jan 24, 1995",2.29,38%,5.14,35%,0,0%,0%,0
Darrel Gholar,5,6,0,0,"5' 8""",194 lbs.,NA,Orthodox,"Nov 07, 1962",0,0%,0,0%,0,0%,0%,0
Tiki Ghosn,10,7,1,0,"5' 10""",170 lbs.,NA,Orthodox,"Feb 09, 1977",2.78,46%,2.94,58%,0.41,50%,61%,0
Christos Giagos,20,12,0,0,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",3.03,41%,3.21,50%,2.84,36%,52%,0.4
Joe Giannetti,6,1,0,0,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 05, 1995",1.93,38%,2.8,40%,1,16%,0%,0
Nick Gibbons,2,1,0,0,"5' 10""",155 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
James Giboo,13,5,0,0,"5' 11""",170 lbs.,NA,Orthodox,"Jan 06, 1978",1.2,27%,7.08,39%,0,0%,0%,0
Lance Gibson,4,5,0,0,"5' 9""",185 lbs.,NA,Orthodox,"Nov 20, 1970",1.21,75%,6.44,20%,0,0%,0%,0
Lee Gibson,12,4,0,0,"5' 7""",155 lbs.,NA,NA,"Jun 20, 1976",0,0%,0,0%,0,0%,0%,0
Cody Gibson,22,12,0,0,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",3.63,46%,3.22,57%,2.12,37%,69%,0.6
Chase Gibson,9,5,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 07, 1990",3.13,54%,6.4,52%,0,0%,0%,0
Lance Gibson Jr.,10,2,0,0,"5' 9""",155 lbs.,"72""",Switch,"Feb 02, 1995",2.4,45%,4.24,56%,1.67,66%,75%,0
Kenny Giddens,12,7,0,0,"5' 11""",155 lbs.,NA,NA,"Jan 24, 1985",0,0%,0,0%,0,0%,0%,0
Thomas Gifford,14,9,0,2,"6' 1""",155 lbs.,"75""",Orthodox,"Jul 26, 1992",3.97,37%,6.45,37%,0.5,33%,33%,0
Joseph Gigliotti,7,2,0,0,"5' 11""",185 lbs.,NA,Orthodox,"Aug 13, 1993",1.04,39%,2.92,45%,1.56,100%,50%,0.8
Joey Gilbert,2,3,0,0,"5' 11""",155 lbs.,NA,Orthodox,"Jun 05, 1976",0.61,42%,4.44,31%,0,0%,0%,0
Trevin Giles,16,7,0,0,"6' 0""",170 lbs.,"74""",Orthodox,"Aug 06, 1992",3.17,54%,2.39,58%,1.07,50%,72%,0.3
Kultar Gill,12,8,0,0,"6' 0""",154 lbs.,NA,Orthodox,"Mar 24, 1979",1.14,50%,0.4,41%,1.71,66%,38%,0
Jesse Gillespie,3,2,0,0,NA,185 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Gregor Gillespie,14,1,0,0,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",3.74,52%,2.3,57%,6.86,48%,100%,0.8
Jason Gilliam,14,9,0,0,"6' 0""",170 lbs.,NA,Orthodox,"Oct 31, 1972",0.79,33%,3.14,42%,0,0%,0%,0
Micheal Gillmore,6,5,0,0,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 28, 1987",2.04,57%,3.02,43%,0,0%,50%,0
Krishaun Gilmore,0,1,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Alex Gilpin,11,1,0,0,"5' 7""",145 lbs.,NA,Orthodox,"Mar 26, 1992",6.8,54%,12.29,42%,2.17,25%,0%,2.2
Bob Gilstrap,5,7,0,0,"6' 3""",200 lbs.,NA,Orthodox,NA,0,0%,0,0%,0,0%,0%,0
Max Gimenis,6,2,0,0,"6' 2""",256 lbs.,"75""",Orthodox,"Apr 14, 1993",3.21,42%,9.64,47%,0,0%,0%,0
Eperaim Ginting,6,1,0,0,"5' 4""",135 lbs.,"64""",Orthodox,"Nov 30, 1995",0,0%,0,100%,15.52,100%,0%,0
Demetrius Gioulacos,0,1,0,0,"5' 11""",185 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Billy Giovanella,9,5,0,0,"5' 8""",125 lbs.,NA,NA,"Aug 20, 1985",1.27,40%,2.02,52%,0.87,12%,100%,1.7
He-Man Gipson,1,2,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Israel Giron,19,5,0,0,"5' 8""",155 lbs.,NA,NA,"Jan 16, 1974",0,0%,0,0%,0,0%,0%,0
Brandon Girtz,14,7,0,0,"5' 7""",155 lbs.,NA,NA,"Mar 06, 1985",2.5,60%,1.92,47%,5.76,100%,100%,0
Jason Glaza,3,2,0,0,"6' 0""",230 lbs.,NA,NA,NA,4.34,54%,0.43,40%,4.34,100%,0%,4.3
Mike Glenn,5,6,0,0,NA,205 lbs.,NA,NA,"Oct 09, 1977",0,0%,0,0%,0,0%,0%,0
Ricky Glenn,22,9,2,0,"6' 0""",170 lbs.,"70""",Southpaw,"Apr 12, 1989",3.79,42%,4.3,51%,0.72,13%,69%,0.4
Ivan Gnizditskiy,5,0,0,0,NA,205 lbs.,NA,NA,"May 10, 1996",0,0%,0,0%,0,0%,0%,0
Mark Godbeer,13,4,0,0,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",3.97,53%,3.3,54%,0,0%,28%,0
Clint Godfrey,13,3,0,0,"5' 6""",135 lbs.,NA,Southpaw,"Oct 21, 1982",0.57,31%,0.96,65%,0.85,25%,50%,0
Loopy Godinez,14,6,0,0,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",4.43,49%,3.94,62%,2.99,42%,76%,0.8
Jason Godsey,16,16,0,0,"6' 2""",230 lbs.,NA,Orthodox,"Jan 01, 1964",0,0%,0,0%,0,0%,0%,0
