year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1970,Mexico,Toluca,Quarterfinals,Mexico,Italy,1,4,A,,Italy,Mexico,1970-06-14,Jun,Sunday
1970,Mexico,Mexico City,Quarterfinals,Soviet Union,Uruguay,0,1,A,Uruguay won in AET,Uruguay,Soviet Union,1970-06-14,Jun,Sunday
1970,Mexico,Guadalajara,Semifinals,Brazil,Uruguay,3,1,H,,Brazil,Uruguay,1970-06-17,Jun,Wednesday
1970,Mexico,Mexico City,Semifinals,West Germany,Italy,3,4,A,Italy won in AET,Italy,West Germany,1970-06-17,Jun,Wednesday
1970,Mexico,Mexico City,Third place,West Germany,Uruguay,1,0,H,,West Germany,Uruguay,1970-06-20,Jun,Saturday
1970,Mexico,Mexico City,Final,Brazil,Italy,4,1,H,,Brazil,Italy,1970-06-21,Jun,Sunday
1974,Germany,Frankfurt am Main,Group 2,Brazil,Yugoslavia,0,0,D,,NA,NA,1974-06-13,Jun,Thursday
1974,Germany,Dortmund,Group 2,Zaire,Scotland,0,2,A,,Scotland,Zaire,1974-06-14,Jun,Friday
1974,Germany,Hamburg,Group 1,East Germany,Australia,2,0,H,,East Germany,Australia,1974-06-14,Jun,Friday
1974,Germany,Berlin,Group 1,West Germany,Chile,1,0,H,,West Germany,Chile,1974-06-14,Jun,Friday
1974,Germany,Munich,Group 4,Italy,Haiti,3,1,H,,Italy,Haiti,1974-06-15,Jun,Saturday
1974,Germany,Stuttgart,Group 4,Poland,Argentina,3,2,H,,Poland,Argentina,1974-06-15,Jun,Saturday
1974,Germany,Düsseldorf,Group 3,Sweden,Bulgaria,0,0,D,,NA,NA,1974-06-15,Jun,Saturday
1974,Germany,Hanover,Group 3,Uruguay,Netherlands,0,2,A,,Netherlands,Uruguay,1974-06-15,Jun,Saturday
1974,Germany,Berlin,Group 1,Chile,East Germany,1,1,D,,NA,NA,1974-06-18,Jun,Tuesday
1974,Germany,Hamburg,Group 1,West Germany,Australia,3,0,H,,West Germany,Australia,1974-06-18,Jun,Tuesday
1974,Germany,Frankfurt am Main,Group 2,Scotland,Brazil,0,0,D,,NA,NA,1974-06-18,Jun,Tuesday
1974,Germany,Gelsenkirchen,Group 2,Yugoslavia,Zaire,9,0,H,,Yugoslavia,Zaire,1974-06-18,Jun,Tuesday
1974,Germany,Stuttgart,Group 4,Argentina,Italy,1,1,D,,NA,NA,1974-06-19,Jun,Wednesday
1974,Germany,Hanover,Group 3,Bulgaria,Uruguay,1,1,D,,NA,NA,1974-06-19,Jun,Wednesday
1974,Germany,Munich,Group 4,Haiti,Poland,0,7,A,,Poland,Haiti,1974-06-19,Jun,Wednesday
1974,Germany,Dortmund,Group 3,Netherlands,Sweden,0,0,D,,NA,NA,1974-06-19,Jun,Wednesday
1974,Germany,Berlin,Group 1,Australia,Chile,0,0,D,,NA,NA,1974-06-22,Jun,Saturday
1974,Germany,Gelsenkirchen,Group 2,Zaire,Brazil,0,3,A,,Brazil,Zaire,1974-06-22,Jun,Saturday
1974,Germany,Hamburg,Group 1,West Germany,East Germany,0,1,A,,East Germany,West Germany,1974-06-22,Jun,Saturday
1974,Germany,Frankfurt am Main,Group 2,Scotland,Yugoslavia,1,1,D,,NA,NA,1974-06-22,Jun,Saturday
1974,Germany,Munich,Group 4,Argentina,Haiti,4,1,H,,Argentina,Haiti,1974-06-23,Jun,Sunday
1974,Germany,Dortmund,Group 3,Bulgaria,Netherlands,1,4,A,,Netherlands,Bulgaria,1974-06-23,Jun,Sunday
1974,Germany,Stuttgart,Group 4,Poland,Italy,2,1,H,,Poland,Italy,1974-06-23,Jun,Sunday
1974,Germany,Düsseldorf,Group 3,Sweden,Uruguay,3,0,H,,Sweden,Uruguay,1974-06-23,Jun,Sunday
1974,Germany,Hanover,Group A,Brazil,East Germany,1,0,H,,Brazil,East Germany,1974-06-26,Jun,Wednesday
1974,Germany,Düsseldorf,Group B,West Germany,Yugoslavia,2,0,H,,West Germany,Yugoslavia,1974-06-26,Jun,Wednesday
1974,Germany,Gelsenkirchen,Group A,Netherlands,Argentina,4,0,H,,Netherlands,Argentina,1974-06-26,Jun,Wednesday
1974,Germany,Stuttgart,Group B,Sweden,Poland,0,1,A,,Poland,Sweden,1974-06-26,Jun,Wednesday
1974,Germany,Hanover,Group A,Argentina,Brazil,1,2,A,,Brazil,Argentina,1974-06-30,Jun,Sunday
1974,Germany,Gelsenkirchen,Group A,East Germany,Netherlands,0,2,A,,Netherlands,East Germany,1974-06-30,Jun,Sunday
1974,Germany,Düsseldorf,Group B,West Germany,Sweden,4,2,H,,West Germany,Sweden,1974-06-30,Jun,Sunday
1974,Germany,Frankfurt am Main,Group B,Poland,Yugoslavia,2,1,H,,Poland,Yugoslavia,1974-06-30,Jun,Sunday
1974,Germany,Gelsenkirchen,Group A,Argentina,East Germany,1,1,D,,NA,NA,1974-07-03,Jul,Wednesday
1974,Germany,Frankfurt am Main,Group B,West Germany,Poland,1,0,H,,West Germany,Poland,1974-07-03,Jul,Wednesday
1974,Germany,Dortmund,Group A,Netherlands,Brazil,2,0,H,,Netherlands,Brazil,1974-07-03,Jul,Wednesday
1974,Germany,Düsseldorf,Group B,Sweden,Yugoslavia,2,1,H,,Sweden,Yugoslavia,1974-07-03,Jul,Wednesday
1974,Germany,Munich,Third place,Brazil,Poland,0,1,A,,Poland,Brazil,1974-07-06,Jul,Saturday
1974,Germany,Munich,Final,West Germany,Netherlands,2,1,H,,West Germany,Netherlands,1974-07-07,Jul,Sunday
1978,Argentina,Buenos Aires,Group 2,West Germany,Poland,0,0,D,,NA,NA,1978-06-01,Jun,Thursday
1978,Argentina,Buenos Aires,Group 1,Argentina,Hungary,2,1,H,,Argentina,Hungary,1978-06-02,Jun,Friday
1978,Argentina,Mar del Plata,Group 1,France,Italy,1,2,A,,Italy,France,1978-06-02,Jun,Friday
1978,Argentina,Rosario,Group 2,Mexico,Tunisia,1,3,A,,Tunisia,Mexico,1978-06-02,Jun,Friday
1978,Argentina,Buenos Aires,Group 3,Austria,Spain,2,1,H,,Austria,Spain,1978-06-03,Jun,Saturday
1978,Argentina,Mar del Plata,Group 3,Brazil,Sweden,1,1,D,,NA,NA,1978-06-03,Jun,Saturday
1978,Argentina,Mendoza,Group 4,Iran,Netherlands,0,3,A,,Netherlands,Iran,1978-06-03,Jun,Saturday
1978,Argentina,Córdoba,Group 4,Peru,Scotland,3,1,H,,Peru,Scotland,1978-06-03,Jun,Saturday
1978,Argentina,Buenos Aires,Group 1,Argentina,France,2,1,H,,Argentina,France,1978-06-06,Jun,Tuesday
1978,Argentina,Córdoba,Group 2,West Germany,Mexico,6,0,H,,West Germany,Mexico,1978-06-06,Jun,Tuesday
1978,Argentina,Mar del Plata,Group 1,Hungary,Italy,1,3,A,,Italy,Hungary,1978-06-06,Jun,Tuesday
1978,Argentina,Rosario,Group 2,Poland,Tunisia,1,0,H,,Poland,Tunisia,1978-06-06,Jun,Tuesday
1978,Argentina,Buenos Aires,Group 3,Austria,Sweden,1,0,H,,Austria,Sweden,1978-06-07,Jun,Wednesday
1978,Argentina,Mar del Plata,Group 3,Brazil,Spain,0,0,D,,NA,NA,1978-06-07,Jun,Wednesday
1978,Argentina,Córdoba,Group 4,Iran,Scotland,1,1,D,,NA,NA,1978-06-07,Jun,Wednesday
1978,Argentina,Mendoza,Group 4,Netherlands,Peru,0,0,D,,NA,NA,1978-06-07,Jun,Wednesday
1978,Argentina,Buenos Aires,Group 1,Argentina,Italy,0,1,A,,Italy,Argentina,1978-06-10,Jun,Saturday
1978,Argentina,Mar del Plata,Group 1,France,Hungary,3,1,H,,France,Hungary,1978-06-10,Jun,Saturday
1978,Argentina,Córdoba,Group 2,West Germany,Tunisia,0,0,D,,NA,NA,1978-06-10,Jun,Saturday
1978,Argentina,Rosario,Group 2,Mexico,Poland,1,3,A,,Poland,Mexico,1978-06-10,Jun,Saturday
1978,Argentina,Mar del Plata,Group 3,Austria,Brazil,0,1,A,,Brazil,Austria,1978-06-11,Jun,Sunday
1978,Argentina,Córdoba,Group 4,Iran,Peru,1,4,A,,Peru,Iran,1978-06-11,Jun,Sunday
1978,Argentina,Mendoza,Group 4,Netherlands,Scotland,2,3,A,,Scotland,Netherlands,1978-06-11,Jun,Sunday
1978,Argentina,Buenos Aires,Group 3,Spain,Sweden,1,0,H,,Spain,Sweden,1978-06-11,Jun,Sunday
1978,Argentina,Rosario,Group B,Argentina,Poland,2,0,H,,Argentina,Poland,1978-06-14,Jun,Wednesday
1978,Argentina,Córdoba,Group A,Austria,Netherlands,1,5,A,,Netherlands,Austria,1978-06-14,Jun,Wednesday
1978,Argentina,Mendoza,Group B,Brazil,Peru,3,0,H,,Brazil,Peru,1978-06-14,Jun,Wednesday
1978,Argentina,Buenos Aires,Group A,West Germany,Italy,0,0,D,,NA,NA,1978-06-14,Jun,Wednesday
1978,Argentina,Rosario,Group B,Argentina,Brazil,0,0,D,,NA,NA,1978-06-18,Jun,Sunday
1978,Argentina,Buenos Aires,Group A,Austria,Italy,0,1,A,,Italy,Austria,1978-06-18,Jun,Sunday
1978,Argentina,Córdoba,Group A,West Germany,Netherlands,2,2,D,,NA,NA,1978-06-18,Jun,Sunday
1978,Argentina,Mendoza,Group B,Peru,Poland,0,1,A,,Poland,Peru,1978-06-18,Jun,Sunday
1978,Argentina,Rosario,Group B,Argentina,Peru,6,0,H,,Argentina,Peru,1978-06-21,Jun,Wednesday
1978,Argentina,Córdoba,Group A,Austria,West Germany,3,2,H,,Austria,West Germany,1978-06-21,Jun,Wednesday
1978,Argentina,Mendoza,Group B,Brazil,Poland,3,1,H,,Brazil,Poland,1978-06-21,Jun,Wednesday
1978,Argentina,Buenos Aires,Group A,Italy,Netherlands,1,2,A,,Netherlands,Italy,1978-06-21,Jun,Wednesday
1978,Argentina,Buenos Aires,Third place,Brazil,Italy,2,1,H,,Brazil,Italy,1978-06-24,Jun,Saturday
1978,Argentina,Buenos Aires,Final,Argentina,Netherlands,3,1,H,Argentina won in AET,Argentina,Netherlands,1978-06-25,Jun,Sunday
1982,Spain,Barcelona,Group 3,Argentina,Belgium,0,1,A,,Belgium,Argentina,1982-06-13,Jun,Sunday
1982,Spain,Seville,Group 6,Brazil,Soviet Union,2,1,H,,Brazil,Soviet Union,1982-06-14,Jun,Monday
1982,Spain,Vigo,Group 1,Italy,Poland,0,0,D,,NA,NA,1982-06-14,Jun,Monday
1982,Spain,Elche,Group 3,Hungary,El Salvador,10,1,H,,Hungary,El Salvador,1982-06-15,Jun,Tuesday
1982,Spain,La Coruña,Group 1,Peru,Cameroon,0,0,D,,NA,NA,1982-06-15,Jun,Tuesday
1982,Spain,Málaga,Group 6,Scotland,New Zealand,5,2,H,,Scotland,New Zealand,1982-06-15,Jun,Tuesday
1982,Spain,Bilbao,Group 4,England,France,3,1,H,,England,France,1982-06-16,Jun,Wednesday
1982,Spain,Gijón,Group 2,West Germany,Algeria,1,2,A,,Algeria,West Germany,1982-06-16,Jun,Wednesday
1982,Spain,Valencia,Group 5,Spain,Honduras,1,1,D,,NA,NA,1982-06-16,Jun,Wednesday
1982,Spain,Oviedo,Group 2,Chile,Austria,0,1,A,,Austria,Chile,1982-06-17,Jun,Thursday
1982,Spain,Valladolid,Group 4,Czechoslovakia,Kuwait,1,1,D,,NA,NA,1982-06-17,Jun,Thursday
1982,Spain,Zaragoza,Group 5,Yugoslavia,Northern Ireland,0,0,D,,NA,NA,1982-06-17,Jun,Thursday
1982,Spain,Alicante,Group 3,Argentina,Hungary,4,1,H,,Argentina,Hungary,1982-06-18,Jun,Friday
1982,Spain,Seville,Group 6,Brazil,Scotland,4,1,H,,Brazil,Scotland,1982-06-18,Jun,Friday
1982,Spain,Vigo,Group 1,Italy,Peru,1,1,D,,NA,NA,1982-06-18,Jun,Friday
1982,Spain,Elche,Group 3,Belgium,El Salvador,1,0,H,,Belgium,El Salvador,1982-06-19,Jun,Saturday
1982,Spain,La Coruña,Group 1,Poland,Cameroon,0,0,D,,NA,NA,1982-06-19,Jun,Saturday
1982,Spain,Málaga,Group 6,Soviet Union,New Zealand,3,0,H,,Soviet Union,New Zealand,1982-06-19,Jun,Saturday
1982,Spain,Bilbao,Group 4,England,Czechoslovakia,2,0,H,,England,Czechoslovakia,1982-06-20,Jun,Sunday
1982,Spain,Gijón,Group 2,West Germany,Chile,4,1,H,,West Germany,Chile,1982-06-20,Jun,Sunday
1982,Spain,Valencia,Group 5,Spain,Yugoslavia,2,1,H,,Spain,Yugoslavia,1982-06-20,Jun,Sunday
1982,Spain,Oviedo,Group 2,Algeria,Austria,0,2,A,,Austria,Algeria,1982-06-21,Jun,Monday
1982,Spain,Valladolid,Group 4,France,Kuwait,4,1,H,,France,Kuwait,1982-06-21,Jun,Monday
1982,Spain,Zaragoza,Group 5,Honduras,Northern Ireland,1,1,D,,NA,NA,1982-06-21,Jun,Monday
1982,Spain,Elche,Group 3,Belgium,Hungary,1,1,D,,NA,NA,1982-06-22,Jun,Tuesday
1982,Spain,La Coruña,Group 1,Poland,Peru,5,1,H,,Poland,Peru,1982-06-22,Jun,Tuesday
1982,Spain,Málaga,Group 6,Soviet Union,Scotland,2,2,D,,NA,NA,1982-06-22,Jun,Tuesday
1982,Spain,Alicante,Group 3,Argentina,El Salvador,2,0,H,,Argentina,El Salvador,1982-06-23,Jun,Wednesday
1982,Spain,Seville,Group 6,Brazil,New Zealand,4,0,H,,Brazil,New Zealand,1982-06-23,Jun,Wednesday
1982,Spain,Vigo,Group 1,Italy,Cameroon,1,1,D,,NA,NA,1982-06-23,Jun,Wednesday
1982,Spain,Oviedo,Group 2,Algeria,Chile,3,2,H,,Algeria,Chile,1982-06-24,Jun,Thursday
1982,Spain,Valladolid,Group 4,France,Czechoslovakia,1,1,D,,NA,NA,1982-06-24,Jun,Thursday
1982,Spain,Zaragoza,Group 5,Honduras,Yugoslavia,0,1,A,,Yugoslavia,Honduras,1982-06-24,Jun,Thursday
1982,Spain,Bilbao,Group 4,England,Kuwait,1,0,H,,England,Kuwait,1982-06-25,Jun,Friday
1982,Spain,Gijón,Group 2,West Germany,Austria,1,0,H,,West Germany,Austria,1982-06-25,Jun,Friday
1982,Spain,Valencia,Group 5,Spain,Northern Ireland,0,1,A,,Northern Ireland,Spain,1982-06-25,Jun,Friday
1982,Spain,Madrid,Group D,Austria,France,0,1,A,,France,Austria,1982-06-28,Jun,Monday
1982,Spain,Barcelona,Group A,Poland,Belgium,3,0,H,,Poland,Belgium,1982-06-28,Jun,Monday
1982,Spain,Madrid,Group B,West Germany,England,0,0,D,,NA,NA,1982-06-29,Jun,Tuesday
1982,Spain,Barcelona,Group C,Italy,Argentina,2,1,H,,Italy,Argentina,1982-06-29,Jun,Tuesday
1982,Spain,Madrid,Group D,Austria,Northern Ireland,2,2,D,,NA,NA,1982-07-01,Jul,Thursday
1982,Spain,Barcelona,Group A,Belgium,Soviet Union,0,1,A,,Soviet Union,Belgium,1982-07-01,Jul,Thursday
1982,Spain,Barcelona,Group C,Argentina,Brazil,1,3,A,,Brazil,Argentina,1982-07-02,Jul,Friday
1982,Spain,Madrid,Group B,Spain,West Germany,1,2,A,,West Germany,Spain,1982-07-02,Jul,Friday
1982,Spain,Madrid,Group D,France,Northern Ireland,4,1,H,,France,Northern Ireland,1982-07-04,Jul,Sunday
1982,Spain,Barcelona,Group A,Poland,Soviet Union,0,0,D,,NA,NA,1982-07-04,Jul,Sunday
1982,Spain,Barcelona,Group C,Italy,Brazil,3,2,H,,Italy,Brazil,1982-07-05,Jul,Monday
1982,Spain,Madrid,Group B,Spain,England,0,0,D,,NA,NA,1982-07-05,Jul,Monday
1982,Spain,Seville,Semifinals,West Germany,France,3,3,H,West Germany won in penalties (5 - 4),West Germany,France,1982-07-08,Jul,Thursday
1982,Spain,Barcelona,Semifinals,Poland,Italy,0,2,A,,Italy,Poland,1982-07-08,Jul,Thursday
1982,Spain,Alicante,Third place,Poland,France,3,2,H,,Poland,France,1982-07-10,Jul,Saturday
1982,Spain,Madrid,Final,Italy,West Germany,3,1,H,,Italy,West Germany,1982-07-11,Jul,Sunday
1986,Mexico,Mexico City,Group A,Bulgaria,Italy,1,1,D,,NA,NA,1986-05-31,May,Saturday
1986,Mexico,León,Group C,Canada,France,0,1,A,,France,Canada,1986-06-01,Jun,Sunday
1986,Mexico,Guadalajara,Group D,Spain,Brazil,0,1,A,,Brazil,Spain,1986-06-01,Jun,Sunday
1986,Mexico,Mexico City,Group A,Argentina,South Korea,3,1,H,,Argentina,South Korea,1986-06-02,Jun,Monday
1986,Mexico,Monterrey,Group F,Morocco,Poland,0,0,D,,NA,NA,1986-06-02,Jun,Monday
1986,Mexico,Irapuato,Group C,Soviet Union,Hungary,6,0,H,,Soviet Union,Hungary,1986-06-02,Jun,Monday
1986,Mexico,Guadalajara,Group D,Algeria,Northern Ireland,1,1,D,,NA,NA,1986-06-03,Jun,Tuesday
1986,Mexico,Mexico City,Group B,Mexico,Belgium,2,1,H,,Mexico,Belgium,1986-06-03,Jun,Tuesday
1986,Mexico,Monterrey,Group F,Portugal,England,1,0,H,,Portugal,England,1986-06-03,Jun,Tuesday
1986,Mexico,Toluca,Group B,Paraguay,Iraq,1,0,H,,Paraguay,Iraq,1986-06-04,Jun,Wednesday
1986,Mexico,Nezahualcóyotl,Group E,Scotland,Denmark,0,1,A,,Denmark,Scotland,1986-06-04,Jun,Wednesday
1986,Mexico,Querétaro,Group E,Uruguay,West Germany,1,1,D,,NA,NA,1986-06-04,Jun,Wednesday
1986,Mexico,León,Group C,France,Soviet Union,1,1,D,,NA,NA,1986-06-05,Jun,Thursday
1986,Mexico,Puebla,Group A,Italy,Argentina,1,1,D,,NA,NA,1986-06-05,Jun,Thursday
1986,Mexico,Mexico City,Group A,South Korea,Bulgaria,1,1,D,,NA,NA,1986-06-05,Jun,Thursday
1986,Mexico,Guadalajara,Group D,Brazil,Algeria,1,0,H,,Brazil,Algeria,1986-06-06,Jun,Friday
1986,Mexico,Monterrey,Group F,England,Morocco,0,0,D,,NA,NA,1986-06-06,Jun,Friday
1986,Mexico,Irapuato,Group C,Hungary,Canada,2,0,H,,Hungary,Canada,1986-06-06,Jun,Friday
1986,Mexico,Mexico City,Group B,Mexico,Paraguay,1,1,D,,NA,NA,1986-06-07,Jun,Saturday
1986,Mexico,Guadalajara,Group D,Northern Ireland,Spain,1,2,A,,Spain,Northern Ireland,1986-06-07,Jun,Saturday
1986,Mexico,Monterrey,Group F,Poland,Portugal,1,0,H,,Poland,Portugal,1986-06-07,Jun,Saturday
1986,Mexico,Nezahualcóyotl,Group E,Denmark,Uruguay,6,1,H,,Denmark,Uruguay,1986-06-08,Jun,Sunday
1986,Mexico,Querétaro,Group E,West Germany,Scotland,2,1,H,,West Germany,Scotland,1986-06-08,Jun,Sunday
1986,Mexico,Toluca,Group B,Iraq,Belgium,1,2,A,,Belgium,Iraq,1986-06-08,Jun,Sunday
1986,Mexico,León,Group C,Hungary,France,0,3,A,,France,Hungary,1986-06-09,Jun,Monday
1986,Mexico,Irapuato,Group C,Soviet Union,Canada,2,0,H,,Soviet Union,Canada,1986-06-09,Jun,Monday
1986,Mexico,Mexico City,Group A,Argentina,Bulgaria,2,0,H,,Argentina,Bulgaria,1986-06-10,Jun,Tuesday
1986,Mexico,Puebla,Group A,South Korea,Italy,2,3,A,,Italy,South Korea,1986-06-10,Jun,Tuesday
1986,Mexico,Monterrey,Group F,England,Poland,3,0,H,,England,Poland,1986-06-11,Jun,Wednesday
1986,Mexico,Mexico City,Group B,Mexico,Iraq,1,0,H,,Mexico,Iraq,1986-06-11,Jun,Wednesday
1986,Mexico,Toluca,Group B,Paraguay,Belgium,2,2,D,,NA,NA,1986-06-11,Jun,Wednesday
1986,Mexico,Guadalajara,Group F,Portugal,Morocco,1,3,A,,Morocco,Portugal,1986-06-11,Jun,Wednesday
1986,Mexico,Monterrey,Group D,Algeria,Spain,0,3,A,,Spain,Algeria,1986-06-12,Jun,Thursday
1986,Mexico,Guadalajara,Group D,Northern Ireland,Brazil,0,3,A,,Brazil,Northern Ireland,1986-06-12,Jun,Thursday
1986,Mexico,Querétaro,Group E,Denmark,West Germany,2,0,H,,Denmark,West Germany,1986-06-13,Jun,Friday
1986,Mexico,Nezahualcóyotl,Group E,Scotland,Uruguay,0,0,D,,NA,NA,1986-06-13,Jun,Friday
1986,Mexico,Mexico City,Round of 16,Mexico,Bulgaria,2,0,H,,Mexico,Bulgaria,1986-06-15,Jun,Sunday
1986,Mexico,León,Round of 16,Soviet Union,Belgium,3,4,A,Belgium won in AET,Belgium,Soviet Union,1986-06-15,Jun,Sunday
1986,Mexico,Puebla,Round of 16,Argentina,Uruguay,1,0,H,,Argentina,Uruguay,1986-06-16,Jun,Monday
1986,Mexico,Guadalajara,Round of 16,Brazil,Poland,4,0,H,,Brazil,Poland,1986-06-16,Jun,Monday
1986,Mexico,Mexico City,Round of 16,Italy,France,0,2,A,,France,Italy,1986-06-17,Jun,Tuesday
1986,Mexico,Monterrey,Round of 16,Morocco,West Germany,0,1,A,,West Germany,Morocco,1986-06-17,Jun,Tuesday
1986,Mexico,Querétaro,Round of 16,Denmark,Spain,1,5,A,,Spain,Denmark,1986-06-18,Jun,Wednesday
1986,Mexico,Mexico City,Round of 16,England,Paraguay,3,0,H,,England,Paraguay,1986-06-18,Jun,Wednesday
1986,Mexico,Guadalajara,Quarterfinals,Brazil,France,1,1,A,France won in penalties (4 - 3),France,Brazil,1986-06-21,Jun,Saturday
1986,Mexico,Monterrey,Quarterfinals,Mexico,West Germany,0,0,A,West Germany won in penalties (4 - 1),West Germany,Mexico,1986-06-21,Jun,Saturday
1986,Mexico,Mexico City,Quarterfinals,Argentina,England,2,1,H,,Argentina,England,1986-06-22,Jun,Sunday
1986,Mexico,Puebla,Quarterfinals,Spain,Belgium,1,1,A,Belgium won in penalties (5 - 4),Belgium,Spain,1986-06-22,Jun,Sunday
1986,Mexico,Mexico City,Semifinals,Argentina,Belgium,2,0,H,,Argentina,Belgium,1986-06-25,Jun,Wednesday
1986,Mexico,Guadalajara,Semifinals,France,West Germany,0,2,A,,West Germany,France,1986-06-25,Jun,Wednesday
1986,Mexico,Puebla,Third place,France,Belgium,4,2,H,France won in AET,France,Belgium,1986-06-28,Jun,Saturday
1986,Mexico,Mexico City,Final,Argentina,West Germany,3,2,H,,Argentina,West Germany,1986-06-29,Jun,Sunday
1990,Italy,Milan,Group B,Argentina,Cameroon,0,1,A,,Cameroon,Argentina,1990-06-08,Jun,Friday
1990,Italy,Rome,Group A,Italy,Austria,1,0,H,,Italy,Austria,1990-06-09,Jun,Saturday
1990,Italy,Bari,Group B,Soviet Union,Romania,0,2,A,,Romania,Soviet Union,1990-06-09,Jun,Saturday
1990,Italy,Bologna,Group D,United Arab Emirates,Colombia,0,2,A,,Colombia,United Arab Emirates,1990-06-09,Jun,Saturday
1990,Italy,Turin,Group C,Brazil,Sweden,2,1,H,,Brazil,Sweden,1990-06-10,Jun,Sunday
1990,Italy,Milan,Group D,West Germany,Yugoslavia,4,1,H,,West Germany,Yugoslavia,1990-06-10,Jun,Sunday
1990,Italy,Florence,Group A,United States,Czechoslovakia,1,5,A,,Czechoslovakia,United States,1990-06-10,Jun,Sunday
1990,Italy,Genoa,Group C,Costa Rica,Scotland,1,0,H,,Costa Rica,Scotland,1990-06-11,Jun,Monday
1990,Italy,Cagliari,Group F,England,Republic of Ireland,1,1,D,,NA,NA,1990-06-11,Jun,Monday
1990,Italy,Verona,Group E,Belgium,South Korea,2,0,H,,Belgium,South Korea,1990-06-12,Jun,Tuesday
1990,Italy,Palermo,Group F,Netherlands,Egypt,1,1,D,,NA,NA,1990-06-12,Jun,Tuesday
1990,Italy,Naples,Group B,Argentina,Soviet Union,2,0,H,,Argentina,Soviet Union,1990-06-13,Jun,Wednesday
1990,Italy,Udine,Group E,Uruguay,Spain,0,0,D,,NA,NA,1990-06-13,Jun,Wednesday
1990,Italy,Bari,Group B,Cameroon,Romania,2,1,H,,Cameroon,Romania,1990-06-14,Jun,Thursday
1990,Italy,Rome,Group A,Italy,United States,1,0,H,,Italy,United States,1990-06-14,Jun,Thursday
1990,Italy,Bologna,Group D,Yugoslavia,Colombia,1,0,H,,Yugoslavia,Colombia,1990-06-14,Jun,Thursday
1990,Italy,Florence,Group A,Austria,Czechoslovakia,0,1,A,,Czechoslovakia,Austria,1990-06-15,Jun,Friday
1990,Italy,Milan,Group D,West Germany,United Arab Emirates,5,1,H,,West Germany,United Arab Emirates,1990-06-15,Jun,Friday
1990,Italy,Turin,Group C,Brazil,Costa Rica,1,0,H,,Brazil,Costa Rica,1990-06-16,Jun,Saturday
1990,Italy,Cagliari,Group F,England,Netherlands,0,0,D,,NA,NA,1990-06-16,Jun,Saturday
1990,Italy,Genoa,Group C,Sweden,Scotland,1,2,A,,Scotland,Sweden,1990-06-16,Jun,Saturday
1990,Italy,Verona,Group E,Belgium,Uruguay,3,1,H,,Belgium,Uruguay,1990-06-17,Jun,Sunday
1990,Italy,Palermo,Group F,Republic of Ireland,Egypt,0,0,D,,NA,NA,1990-06-17,Jun,Sunday
1990,Italy,Udine,Group E,South Korea,Spain,1,3,A,,Spain,South Korea,1990-06-17,Jun,Sunday
1990,Italy,Naples,Group B,Argentina,Romania,1,1,D,,NA,NA,1990-06-18,Jun,Monday
1990,Italy,Bari,Group B,Cameroon,Soviet Union,0,4,A,,Soviet Union,Cameroon,1990-06-18,Jun,Monday
1990,Italy,Florence,Group A,Austria,United States,2,1,H,,Austria,United States,1990-06-19,Jun,Tuesday
1990,Italy,Milan,Group D,West Germany,Colombia,1,1,D,,NA,NA,1990-06-19,Jun,Tuesday
1990,Italy,Rome,Group A,Italy,Czechoslovakia,2,0,H,,Italy,Czechoslovakia,1990-06-19,Jun,Tuesday
1990,Italy,Bologna,Group D,Yugoslavia,United Arab Emirates,4,1,H,,Yugoslavia,United Arab Emirates,1990-06-19,Jun,Tuesday
1990,Italy,Turin,Group C,Brazil,Scotland,1,0,H,,Brazil,Scotland,1990-06-20,Jun,Wednesday
1990,Italy,Genoa,Group C,Sweden,Costa Rica,1,2,A,,Costa Rica,Sweden,1990-06-20,Jun,Wednesday
1990,Italy,Verona,Group E,Belgium,Spain,1,2,A,,Spain,Belgium,1990-06-21,Jun,Thursday
1990,Italy,Cagliari,Group F,England,Egypt,1,0,H,,England,Egypt,1990-06-21,Jun,Thursday
1990,Italy,Palermo,Group F,Republic of Ireland,Netherlands,1,1,D,,NA,NA,1990-06-21,Jun,Thursday
1990,Italy,Udine,Group E,South Korea,Uruguay,0,1,A,,Uruguay,South Korea,1990-06-21,Jun,Thursday
1990,Italy,Naples,Round of 16,Cameroon,Colombia,2,1,H,Cameroon won in AET,Cameroon,Colombia,1990-06-23,Jun,Saturday
1990,Italy,Bari,Round of 16,Czechoslovakia,Costa Rica,4,1,H,,Czechoslovakia,Costa Rica,1990-06-23,Jun,Saturday
1990,Italy,Turin,Round of 16,Brazil,Argentina,0,1,A,,Argentina,Brazil,1990-06-24,Jun,Sunday
1990,Italy,Milan,Round of 16,West Germany,Netherlands,2,1,H,,West Germany,Netherlands,1990-06-24,Jun,Sunday
1990,Italy,Genoa,Round of 16,Republic of Ireland,Romania,0,0,H,Republic of Ireland won in penalties (5 - 4),Republic of Ireland,Romania,1990-06-25,Jun,Monday
1990,Italy,Rome,Round of 16,Italy,Uruguay,2,0,H,,Italy,Uruguay,1990-06-25,Jun,Monday
1990,Italy,Bologna,Round of 16,England,Belgium,1,0,H,England won in AET,England,Belgium,1990-06-26,Jun,Tuesday
