sex,race,ethnic_origin,age,year,quarter,n_persons,median_weekly_earn
Women,All Races,All Origins,25 to 54 years,2012,4,32855000,717
Women,All Races,All Origins,25 to 54 years,2013,1,32663000,729
Women,All Races,All Origins,25 to 54 years,2013,2,32449000,735
Women,All Races,All Origins,25 to 54 years,2013,3,32770000,729
Women,All Races,All Origins,25 to 54 years,2013,4,33170000,739
Women,All Races,All Origins,25 to 54 years,2014,1,33336000,750
Women,All Races,All Origins,25 to 54 years,2014,2,32811000,744
Women,All Races,All Origins,25 to 54 years,2014,3,33494000,743
Women,All Races,All Origins,25 to 54 years,2014,4,33456000,749
Women,All Races,All Origins,25 to 54 years,2015,1,33781000,757
Women,All Races,All Origins,25 to 54 years,2015,2,33761000,753
Women,All Races,All Origins,25 to 54 years,2015,3,33891000,757
Women,All Races,All Origins,25 to 54 years,2015,4,34216000,764
Women,All Races,All Origins,25 to 54 years,2016,1,34093000,771
Women,All Races,All Origins,25 to 54 years,2016,2,34336000,774
Women,All Races,All Origins,25 to 54 years,2016,3,34529000,782
Women,All Races,All Origins,25 to 54 years,2016,4,34751000,788
Women,All Races,All Origins,25 to 54 years,2017,1,34482000,795
Women,All Races,All Origins,25 to 54 years,2017,2,35045000,811
Women,All Races,All Origins,25 to 54 years,2017,3,35261000,797
Women,All Races,All Origins,25 to 54 years,2017,4,35865000,799
Women,All Races,All Origins,25 to 54 years,2018,1,35458000,819
Women,All Races,All Origins,25 to 54 years,2018,2,35763000,811
Women,All Races,All Origins,25 to 54 years,2018,3,35824000,845
Women,All Races,All Origins,25 to 54 years,2018,4,36276000,825
Women,All Races,All Origins,25 to 54 years,2019,1,36013000,841
Women,All Races,All Origins,25 to 54 years,2019,2,36235000,852
Women,All Races,All Origins,25 to 54 years,2019,3,36177000,883
Women,All Races,All Origins,25 to 54 years,2019,4,37181000,881
Women,All Races,All Origins,25 to 54 years,2020,1,36656000,894
Women,All Races,All Origins,25 to 54 years,2020,2,32600000,948
Women,All Races,All Origins,25 to 54 years,2020,3,33882000,942
Women,All Races,All Origins,25 to 54 years,2020,4,34946000,929
Both Sexes,All Races,All Origins,25 to 34 years,2010,1,23424000,691
Both Sexes,All Races,All Origins,25 to 34 years,2010,2,24085000,675
Both Sexes,All Races,All Origins,25 to 34 years,2010,3,24565000,676
Both Sexes,All Races,All Origins,25 to 34 years,2010,4,24330000,687
Both Sexes,All Races,All Origins,25 to 34 years,2011,1,23678000,683
Both Sexes,All Races,All Origins,25 to 34 years,2011,2,24309000,704
Both Sexes,All Races,All Origins,25 to 34 years,2011,3,24618000,693
Both Sexes,All Races,All Origins,25 to 34 years,2011,4,24581000,687
Both Sexes,All Races,All Origins,25 to 34 years,2012,1,24017000,702
Both Sexes,All Races,All Origins,25 to 34 years,2012,2,24648000,722
Both Sexes,All Races,All Origins,25 to 34 years,2012,3,24801000,689
Both Sexes,All Races,All Origins,25 to 34 years,2012,4,24874000,713
Both Sexes,All Races,All Origins,25 to 34 years,2013,1,24834000,716
Both Sexes,All Races,All Origins,25 to 34 years,2013,2,25031000,706
Both Sexes,All Races,All Origins,25 to 34 years,2013,3,25164000,710
Both Sexes,All Races,All Origins,25 to 34 years,2013,4,25296000,701
Both Sexes,All Races,All Origins,25 to 34 years,2014,1,25237000,727
Both Sexes,All Races,All Origins,25 to 34 years,2014,2,25436000,711
Both Sexes,All Races,All Origins,25 to 34 years,2014,3,26027000,720
Both Sexes,All Races,All Origins,25 to 34 years,2014,4,26188000,743
Both Sexes,All Races,All Origins,25 to 34 years,2015,1,26227000,736
Both Sexes,All Races,All Origins,25 to 34 years,2015,2,26569000,721
Both Sexes,All Races,All Origins,25 to 34 years,2015,3,26954000,739
Both Sexes,All Races,All Origins,25 to 34 years,2015,4,26693000,743
Both Sexes,All Races,All Origins,25 to 34 years,2016,1,26767000,737
Both Sexes,All Races,All Origins,25 to 34 years,2016,2,27500000,753
Both Sexes,All Races,All Origins,25 to 34 years,2016,3,27787000,758
Both Sexes,All Races,All Origins,25 to 34 years,2016,4,27771000,758
Both Sexes,All Races,All Origins,25 to 34 years,2017,1,27615000,778
Both Sexes,All Races,All Origins,25 to 34 years,2017,2,28072000,776
Both Sexes,All Races,All Origins,25 to 34 years,2017,3,28504000,778
Both Sexes,All Races,All Origins,25 to 34 years,2017,4,28591000,762
Both Sexes,All Races,All Origins,25 to 34 years,2018,1,28309000,793
Both Sexes,All Races,All Origins,25 to 34 years,2018,2,28842000,794
Both Sexes,All Races,All Origins,25 to 34 years,2018,3,29150000,820
Both Sexes,All Races,All Origins,25 to 34 years,2018,4,29197000,820
Both Sexes,All Races,All Origins,25 to 34 years,2019,1,29235000,815
Both Sexes,All Races,All Origins,25 to 34 years,2019,2,29477000,837
Both Sexes,All Races,All Origins,25 to 34 years,2019,3,29538000,858
Both Sexes,All Races,All Origins,25 to 34 years,2019,4,30054000,876
Both Sexes,All Races,All Origins,25 to 34 years,2020,1,29541000,872
Both Sexes,All Races,All Origins,25 to 34 years,2020,2,25958000,917
Both Sexes,All Races,All Origins,25 to 34 years,2020,3,27242000,918
Both Sexes,All Races,All Origins,25 to 34 years,2020,4,27904000,909
Men,All Races,All Origins,25 to 34 years,2010,1,13084000,739
Men,All Races,All Origins,25 to 34 years,2010,2,13600000,704
Men,All Races,All Origins,25 to 34 years,2010,3,13992000,705
Men,All Races,All Origins,25 to 34 years,2010,4,13878000,706
Men,All Races,All Origins,25 to 34 years,2011,1,13463000,703
Men,All Races,All Origins,25 to 34 years,2011,2,13863000,730
Men,All Races,All Origins,25 to 34 years,2011,3,14083000,719
Men,All Races,All Origins,25 to 34 years,2011,4,14209000,715
Men,All Races,All Origins,25 to 34 years,2012,1,13465000,732
Men,All Races,All Origins,25 to 34 years,2012,2,14036000,751
Men,All Races,All Origins,25 to 34 years,2012,3,14138000,720
Men,All Races,All Origins,25 to 34 years,2012,4,14234000,747
Men,All Races,All Origins,25 to 34 years,2013,1,14030000,753
Men,All Races,All Origins,25 to 34 years,2013,2,14193000,731
Men,All Races,All Origins,25 to 34 years,2013,3,14284000,756
Men,All Races,All Origins,25 to 34 years,2013,4,14252000,732
Men,All Races,All Origins,25 to 34 years,2014,1,14246000,755
Men,All Races,All Origins,25 to 34 years,2014,2,14585000,732
Men,All Races,All Origins,25 to 34 years,2014,3,14899000,753
Men,All Races,All Origins,25 to 34 years,2014,4,14825000,780
Men,All Races,All Origins,25 to 34 years,2015,1,14780000,772
Men,All Races,All Origins,25 to 34 years,2015,2,15200000,752
Men,All Races,All Origins,25 to 34 years,2015,3,15287000,771
Men,All Races,All Origins,25 to 34 years,2015,4,15025000,790
Men,All Races,All Origins,25 to 34 years,2016,1,15105000,781
Men,All Races,All Origins,25 to 34 years,2016,2,15589000,791
Men,All Races,All Origins,25 to 34 years,2016,3,15686000,804
Men,All Races,All Origins,25 to 34 years,2016,4,15557000,801
Men,All Races,All Origins,25 to 34 years,2017,1,15525000,825
Men,All Races,All Origins,25 to 34 years,2017,2,15729000,828
Men,All Races,All Origins,25 to 34 years,2017,3,15975000,835
Men,All Races,All Origins,25 to 34 years,2017,4,16030000,798
Men,All Races,All Origins,25 to 34 years,2018,1,15957000,849
Men,All Races,All Origins,25 to 34 years,2018,2,16163000,857
Men,All Races,All Origins,25 to 34 years,2018,3,16425000,864
Men,All Races,All Origins,25 to 34 years,2018,4,16229000,877
Men,All Races,All Origins,25 to 34 years,2019,1,16427000,875
Men,All Races,All Origins,25 to 34 years,2019,2,16490000,893
Men,All Races,All Origins,25 to 34 years,2019,3,16476000,899
Men,All Races,All Origins,25 to 34 years,2019,4,16533000,917
Men,All Races,All Origins,25 to 34 years,2020,1,16239000,924
Men,All Races,All Origins,25 to 34 years,2020,2,14487000,962
Men,All Races,All Origins,25 to 34 years,2020,3,14994000,957
Men,All Races,All Origins,25 to 34 years,2020,4,15427000,968
Women,All Races,All Origins,25 to 34 years,2010,1,10339000,641
Women,All Races,All Origins,25 to 34 years,2010,2,10485000,641
Women,All Races,All Origins,25 to 34 years,2010,3,10573000,650
Women,All Races,All Origins,25 to 34 years,2010,4,10451000,663
Women,All Races,All Origins,25 to 34 years,2011,1,10215000,658
Women,All Races,All Origins,25 to 34 years,2011,2,10446000,675
Women,All Races,All Origins,25 to 34 years,2011,3,10534000,659
Women,All Races,All Origins,25 to 34 years,2011,4,10371000,655
Women,All Races,All Origins,25 to 34 years,2012,1,10553000,671
Women,All Races,All Origins,25 to 34 years,2012,2,10611000,680
Women,All Races,All Origins,25 to 34 years,2012,3,10662000,648
Women,All Races,All Origins,25 to 34 years,2012,4,10640000,668
Women,All Races,All Origins,25 to 34 years,2013,1,10804000,672
Women,All Races,All Origins,25 to 34 years,2013,2,10838000,670
Women,All Races,All Origins,25 to 34 years,2013,3,10879000,651
Women,All Races,All Origins,25 to 34 years,2013,4,11044000,668
Women,All Races,All Origins,25 to 34 years,2014,1,10991000,679
Women,All Races,All Origins,25 to 34 years,2014,2,10851000,685
Women,All Races,All Origins,25 to 34 years,2014,3,11127000,668
Women,All Races,All Origins,25 to 34 years,2014,4,11364000,685
Women,All Races,All Origins,25 to 34 years,2015,1,11446000,693
Women,All Races,All Origins,25 to 34 years,2015,2,11369000,675
Women,All Races,All Origins,25 to 34 years,2015,3,11667000,695
Women,All Races,All Origins,25 to 34 years,2015,4,11668000,695
Women,All Races,All Origins,25 to 34 years,2016,1,11662000,690
Women,All Races,All Origins,25 to 34 years,2016,2,11911000,710
Women,All Races,All Origins,25 to 34 years,2016,3,12101000,709
Women,All Races,All Origins,25 to 34 years,2016,4,12214000,710
Women,All Races,All Origins,25 to 34 years,2017,1,12090000,716
Women,All Races,All Origins,25 to 34 years,2017,2,12343000,727
Women,All Races,All Origins,25 to 34 years,2017,3,12529000,729
Women,All Races,All Origins,25 to 34 years,2017,4,12561000,724
Women,All Races,All Origins,25 to 34 years,2018,1,12352000,737
Women,All Races,All Origins,25 to 34 years,2018,2,12679000,738
Women,All Races,All Origins,25 to 34 years,2018,3,12725000,766
Women,All Races,All Origins,25 to 34 years,2018,4,12969000,763
Women,All Races,All Origins,25 to 34 years,2019,1,12809000,760
Women,All Races,All Origins,25 to 34 years,2019,2,12986000,779
Women,All Races,All Origins,25 to 34 years,2019,3,13062000,806
Women,All Races,All Origins,25 to 34 years,2019,4,13520000,815
Women,All Races,All Origins,25 to 34 years,2020,1,13302000,807
Women,All Races,All Origins,25 to 34 years,2020,2,11471000,867
Women,All Races,All Origins,25 to 34 years,2020,3,12248000,888
Women,All Races,All Origins,25 to 34 years,2020,4,12478000,843
Both Sexes,All Races,All Origins,35 to 44 years,2010,1,23338000,826
Both Sexes,All Races,All Origins,35 to 44 years,2010,2,23983000,816
Both Sexes,All Races,All Origins,35 to 44 years,2010,3,23860000,814
Both Sexes,All Races,All Origins,35 to 44 years,2010,4,24108000,837
Both Sexes,All Races,All Origins,35 to 44 years,2011,1,23579000,836
Both Sexes,All Races,All Origins,35 to 44 years,2011,2,23838000,837
Both Sexes,All Races,All Origins,35 to 44 years,2011,3,23698000,832
Both Sexes,All Races,All Origins,35 to 44 years,2011,4,24012000,844
Both Sexes,All Races,All Origins,35 to 44 years,2012,1,23876000,855
Both Sexes,All Races,All Origins,35 to 44 years,2012,2,24136000,861
Both Sexes,All Races,All Origins,35 to 44 years,2012,3,24078000,843
Both Sexes,All Races,All Origins,35 to 44 years,2012,4,24247000,873
Both Sexes,All Races,All Origins,35 to 44 years,2013,1,24098000,871
Both Sexes,All Races,All Origins,35 to 44 years,2013,2,24149000,868
Both Sexes,All Races,All Origins,35 to 44 years,2013,3,24527000,870
Both Sexes,All Races,All Origins,35 to 44 years,2013,4,24438000,887
Both Sexes,All Races,All Origins,35 to 44 years,2014,1,24435000,891
Both Sexes,All Races,All Origins,35 to 44 years,2014,2,24436000,875
Both Sexes,All Races,All Origins,35 to 44 years,2014,3,24927000,876
Both Sexes,All Races,All Origins,35 to 44 years,2014,4,24559000,882
Both Sexes,All Races,All Origins,35 to 44 years,2015,1,24684000,893
Both Sexes,All Races,All Origins,35 to 44 years,2015,2,24836000,896
Both Sexes,All Races,All Origins,35 to 44 years,2015,3,25081000,895
Both Sexes,All Races,All Origins,35 to 44 years,2015,4,25064000,914
Both Sexes,All Races,All Origins,35 to 44 years,2016,1,25038000,921
Both Sexes,All Races,All Origins,35 to 44 years,2016,2,25270000,943
Both Sexes,All Races,All Origins,35 to 44 years,2016,3,25288000,921
Both Sexes,All Races,All Origins,35 to 44 years,2016,4,25539000,950
Both Sexes,All Races,All Origins,35 to 44 years,2017,1,25077000,947
Both Sexes,All Races,All Origins,35 to 44 years,2017,2,25827000,976
Both Sexes,All Races,All Origins,35 to 44 years,2017,3,25572000,970
Both Sexes,All Races,All Origins,35 to 44 years,2017,4,26171000,959
Both Sexes,All Races,All Origins,35 to 44 years,2018,1,26169000,986
Both Sexes,All Races,All Origins,35 to 44 years,2018,2,26292000,971
Both Sexes,All Races,All Origins,35 to 44 years,2018,3,26597000,991
Both Sexes,All Races,All Origins,35 to 44 years,2018,4,26748000,996
Both Sexes,All Races,All Origins,35 to 44 years,2019,1,26386000,1033
Both Sexes,All Races,All Origins,35 to 44 years,2019,2,26525000,1022
Both Sexes,All Races,All Origins,35 to 44 years,2019,3,27001000,1039
Both Sexes,All Races,All Origins,35 to 44 years,2019,4,27218000,1047
Both Sexes,All Races,All Origins,35 to 44 years,2020,1,26628000,1081
Both Sexes,All Races,All Origins,35 to 44 years,2020,2,24526000,1134
Both Sexes,All Races,All Origins,35 to 44 years,2020,3,25647000,1129
Both Sexes,All Races,All Origins,35 to 44 years,2020,4,25763000,1078
Men,All Races,All Origins,35 to 44 years,2010,1,13247000,928
Men,All Races,All Origins,35 to 44 years,2010,2,13645000,904
Men,All Races,All Origins,35 to 44 years,2010,3,13664000,909
Men,All Races,All Origins,35 to 44 years,2010,4,13674000,917
Men,All Races,All Origins,35 to 44 years,2011,1,13428000,933
Men,All Races,All Origins,35 to 44 years,2011,2,13564000,926
Men,All Races,All Origins,35 to 44 years,2011,3,13573000,940
Men,All Races,All Origins,35 to 44 years,2011,4,13746000,943
Men,All Races,All Origins,35 to 44 years,2012,1,13574000,944
Men,All Races,All Origins,35 to 44 years,2012,2,13731000,953
Men,All Races,All Origins,35 to 44 years,2012,3,13736000,944
Men,All Races,All Origins,35 to 44 years,2012,4,13657000,985
Men,All Races,All Origins,35 to 44 years,2013,1,13664000,949
Men,All Races,All Origins,35 to 44 years,2013,2,13888000,956
Men,All Races,All Origins,35 to 44 years,2013,3,13948000,947
Men,All Races,All Origins,35 to 44 years,2013,4,13793000,975
Men,All Races,All Origins,35 to 44 years,2014,1,13684000,973
Men,All Races,All Origins,35 to 44 years,2014,2,13980000,958
Men,All Races,All Origins,35 to 44 years,2014,3,14111000,960
Men,All Races,All Origins,35 to 44 years,2014,4,14051000,961
Men,All Races,All Origins,35 to 44 years,2015,1,13879000,981
Men,All Races,All Origins,35 to 44 years,2015,2,14053000,985
Men,All Races,All Origins,35 to 44 years,2015,3,14316000,975
Men,All Races,All Origins,35 to 44 years,2015,4,14209000,994
Men,All Races,All Origins,35 to 44 years,2016,1,14167000,996
Men,All Races,All Origins,35 to 44 years,2016,2,14406000,1024
Men,All Races,All Origins,35 to 44 years,2016,3,14421000,993
Men,All Races,All Origins,35 to 44 years,2016,4,14539000,1019
Men,All Races,All Origins,35 to 44 years,2017,1,14154000,1050
Men,All Races,All Origins,35 to 44 years,2017,2,14622000,1065
Men,All Races,All Origins,35 to 44 years,2017,3,14549000,1067
Men,All Races,All Origins,35 to 44 years,2017,4,14628000,1066
Men,All Races,All Origins,35 to 44 years,2018,1,14654000,1098
Men,All Races,All Origins,35 to 44 years,2018,2,14874000,1085
Men,All Races,All Origins,35 to 44 years,2018,3,15091000,1110
Men,All Races,All Origins,35 to 44 years,2018,4,15076000,1112
Men,All Races,All Origins,35 to 44 years,2019,1,14878000,1155
Men,All Races,All Origins,35 to 44 years,2019,2,15075000,1133
Men,All Races,All Origins,35 to 44 years,2019,3,15210000,1143
Men,All Races,All Origins,35 to 44 years,2019,4,15258000,1162
Men,All Races,All Origins,35 to 44 years,2020,1,14852000,1197
Men,All Races,All Origins,35 to 44 years,2020,2,13798000,1238
Men,All Races,All Origins,35 to 44 years,2020,3,14416000,1237
Men,All Races,All Origins,35 to 44 years,2020,4,14327000,1158
Women,All Races,All Origins,35 to 44 years,2010,1,10091000,726
Women,All Races,All Origins,35 to 44 years,2010,2,10338000,731
Women,All Races,All Origins,35 to 44 years,2010,3,10195000,729
Women,All Races,All Origins,35 to 44 years,2010,4,10434000,737
Women,All Races,All Origins,35 to 44 years,2011,1,10152000,728
Women,All Races,All Origins,35 to 44 years,2011,2,10274000,742
Women,All Races,All Origins,35 to 44 years,2011,3,10126000,728
Women,All Races,All Origins,35 to 44 years,2011,4,10266000,737
Women,All Races,All Origins,35 to 44 years,2012,1,10302000,756
Women,All Races,All Origins,35 to 44 years,2012,2,10405000,749
Women,All Races,All Origins,35 to 44 years,2012,3,10342000,740
Women,All Races,All Origins,35 to 44 years,2012,4,10591000,742
Women,All Races,All Origins,35 to 44 years,2013,1,10434000,757
Women,All Races,All Origins,35 to 44 years,2013,2,10262000,760
Women,All Races,All Origins,35 to 44 years,2013,3,10579000,775
Women,All Races,All Origins,35 to 44 years,2013,4,10645000,775
Women,All Races,All Origins,35 to 44 years,2014,1,10751000,787
Women,All Races,All Origins,35 to 44 years,2014,2,10456000,769
Women,All Races,All Origins,35 to 44 years,2014,3,10816000,784
Women,All Races,All Origins,35 to 44 years,2014,4,10508000,784
Women,All Races,All Origins,35 to 44 years,2015,1,10805000,796
Women,All Races,All Origins,35 to 44 years,2015,2,10783000,792
Women,All Races,All Origins,35 to 44 years,2015,3,10765000,788
Women,All Races,All Origins,35 to 44 years,2015,4,10855000,837
Women,All Races,All Origins,35 to 44 years,2016,1,10871000,822
Women,All Races,All Origins,35 to 44 years,2016,2,10863000,845
Women,All Races,All Origins,35 to 44 years,2016,3,10867000,827
Women,All Races,All Origins,35 to 44 years,2016,4,11000000,859
Women,All Races,All Origins,35 to 44 years,2017,1,10923000,846
Women,All Races,All Origins,35 to 44 years,2017,2,11204000,877
Women,All Races,All Origins,35 to 44 years,2017,3,11023000,857
Women,All Races,All Origins,35 to 44 years,2017,4,11543000,855
Women,All Races,All Origins,35 to 44 years,2018,1,11515000,880
Women,All Races,All Origins,35 to 44 years,2018,2,11418000,866
Women,All Races,All Origins,35 to 44 years,2018,3,11507000,882
Women,All Races,All Origins,35 to 44 years,2018,4,11672000,877
Women,All Races,All Origins,35 to 44 years,2019,1,11508000,923
Women,All Races,All Origins,35 to 44 years,2019,2,11450000,908
Women,All Races,All Origins,35 to 44 years,2019,3,11791000,925
Women,All Races,All Origins,35 to 44 years,2019,4,11959000,923
Women,All Races,All Origins,35 to 44 years,2020,1,11776000,944
Women,All Races,All Origins,35 to 44 years,2020,2,10728000,1010
Women,All Races,All Origins,35 to 44 years,2020,3,11231000,989
Women,All Races,All Origins,35 to 44 years,2020,4,11436000,980
Both Sexes,All Races,All Origins,45 to 54 years,2010,1,24991000,852
Both Sexes,All Races,All Origins,45 to 54 years,2010,2,25279000,839
Both Sexes,All Races,All Origins,45 to 54 years,2010,3,25190000,841
Both Sexes,All Races,All Origins,45 to 54 years,2010,4,25363000,844
Both Sexes,All Races,All Origins,45 to 54 years,2011,1,24932000,854
Both Sexes,All Races,All Origins,45 to 54 years,2011,2,25421000,859
Both Sexes,All Races,All Origins,45 to 54 years,2011,3,25016000,867
Both Sexes,All Races,All Origins,45 to 54 years,2011,4,25163000,885
Both Sexes,All Races,All Origins,45 to 54 years,2012,1,25105000,880
Both Sexes,All Races,All Origins,45 to 54 years,2012,2,25484000,884
Both Sexes,All Races,All Origins,45 to 54 years,2012,3,25486000,871
Both Sexes,All Races,All Origins,45 to 54 years,2012,4,25307000,877
Both Sexes,All Races,All Origins,45 to 54 years,2013,1,24971000,889
Both Sexes,All Races,All Origins,45 to 54 years,2013,2,25204000,892
Both Sexes,All Races,All Origins,45 to 54 years,2013,3,25169000,870
Both Sexes,All Races,All Origins,45 to 54 years,2013,4,25055000,884
Both Sexes,All Races,All Origins,45 to 54 years,2014,1,25139000,898
Both Sexes,All Races,All Origins,45 to 54 years,2014,2,25499000,903
Both Sexes,All Races,All Origins,45 to 54 years,2014,3,25553000,890
Both Sexes,All Races,All Origins,45 to 54 years,2014,4,25245000,903
Both Sexes,All Races,All Origins,45 to 54 years,2015,1,25380000,930
Both Sexes,All Races,All Origins,45 to 54 years,2015,2,25671000,925
Both Sexes,All Races,All Origins,45 to 54 years,2015,3,25638000,918
Both Sexes,All Races,All Origins,45 to 54 years,2015,4,25620000,920
Both Sexes,All Races,All Origins,45 to 54 years,2016,1,25511000,953
Both Sexes,All Races,All Origins,45 to 54 years,2016,2,25699000,948
Both Sexes,All Races,All Origins,45 to 54 years,2016,3,25818000,955
Both Sexes,All Races,All Origins,45 to 54 years,2016,4,25580000,962
Both Sexes,All Races,All Origins,45 to 54 years,2017,1,25443000,1001
Both Sexes,All Races,All Origins,45 to 54 years,2017,2,25541000,975
Both Sexes,All Races,All Origins,45 to 54 years,2017,3,25771000,953
Both Sexes,All Races,All Origins,45 to 54 years,2017,4,25845000,982
Both Sexes,All Races,All Origins,45 to 54 years,2018,1,25711000,1004
Both Sexes,All Races,All Origins,45 to 54 years,2018,2,25730000,986
Both Sexes,All Races,All Origins,45 to 54 years,2018,3,25387000,1015
Both Sexes,All Races,All Origins,45 to 54 years,2018,4,25433000,1006
Both Sexes,All Races,All Origins,45 to 54 years,2019,1,25520000,1017
Both Sexes,All Races,All Origins,45 to 54 years,2019,2,25672000,1025
Both Sexes,All Races,All Origins,45 to 54 years,2019,3,24954000,1058
Both Sexes,All Races,All Origins,45 to 54 years,2019,4,25413000,1039
Both Sexes,All Races,All Origins,45 to 54 years,2020,1,25118000,1101
Both Sexes,All Races,All Origins,45 to 54 years,2020,2,22951000,1144
Both Sexes,All Races,All Origins,45 to 54 years,2020,3,23258000,1154
Both Sexes,All Races,All Origins,45 to 54 years,2020,4,23931000,1112
Men,All Races,All Origins,45 to 54 years,2010,1,13310000,972
Men,All Races,All Origins,45 to 54 years,2010,2,13660000,948
Men,All Races,All Origins,45 to 54 years,2010,3,13681000,941
Men,All Races,All Origins,45 to 54 years,2010,4,13650000,955
Men,All Races,All Origins,45 to 54 years,2011,1,13393000,968
Men,All Races,All Origins,45 to 54 years,2011,2,13709000,974
Men,All Races,All Origins,45 to 54 years,2011,3,13577000,983
Men,All Races,All Origins,45 to 54 years,2011,4,13624000,993
Men,All Races,All Origins,45 to 54 years,2012,1,13724000,998
Men,All Races,All Origins,45 to 54 years,2012,2,13982000,1003
Men,All Races,All Origins,45 to 54 years,2012,3,13973000,976
Men,All Races,All Origins,45 to 54 years,2012,4,13682000,997
Men,All Races,All Origins,45 to 54 years,2013,1,13547000,1015
Men,All Races,All Origins,45 to 54 years,2013,2,13855000,1007
Men,All Races,All Origins,45 to 54 years,2013,3,13857000,970
Men,All Races,All Origins,45 to 54 years,2013,4,13574000,987
Men,All Races,All Origins,45 to 54 years,2014,1,13545000,1021
Men,All Races,All Origins,45 to 54 years,2014,2,13995000,1009
Men,All Races,All Origins,45 to 54 years,2014,3,14002000,1004
Men,All Races,All Origins,45 to 54 years,2014,4,13662000,1012
Men,All Races,All Origins,45 to 54 years,2015,1,13850000,1039
Men,All Races,All Origins,45 to 54 years,2015,2,14062000,1058
Men,All Races,All Origins,45 to 54 years,2015,3,14180000,1020
Men,All Races,All Origins,45 to 54 years,2015,4,13928000,1038
Men,All Races,All Origins,45 to 54 years,2016,1,13951000,1075
Men,All Races,All Origins,45 to 54 years,2016,2,14137000,1063
Men,All Races,All Origins,45 to 54 years,2016,3,14257000,1060
Men,All Races,All Origins,45 to 54 years,2016,4,14043000,1102
Men,All Races,All Origins,45 to 54 years,2017,1,13975000,1141
Men,All Races,All Origins,45 to 54 years,2017,2,14043000,1094
Men,All Races,All Origins,45 to 54 years,2017,3,14062000,1051
Men,All Races,All Origins,45 to 54 years,2017,4,14084000,1117
Men,All Races,All Origins,45 to 54 years,2018,1,14120000,1150
Men,All Races,All Origins,45 to 54 years,2018,2,14064000,1108
Men,All Races,All Origins,45 to 54 years,2018,3,13795000,1152
Men,All Races,All Origins,45 to 54 years,2018,4,13798000,1138
Men,All Races,All Origins,45 to 54 years,2019,1,13824000,1170
Men,All Races,All Origins,45 to 54 years,2019,2,13874000,1153
Men,All Races,All Origins,45 to 54 years,2019,3,13630000,1184
Men,All Races,All Origins,45 to 54 years,2019,4,13712000,1174
Men,All Races,All Origins,45 to 54 years,2020,1,13541000,1246
Men,All Races,All Origins,45 to 54 years,2020,2,12550000,1271
Men,All Races,All Origins,45 to 54 years,2020,3,12855000,1308
Men,All Races,All Origins,45 to 54 years,2020,4,12899000,1232
Women,All Races,All Origins,45 to 54 years,2010,1,11682000,736
Women,All Races,All Origins,45 to 54 years,2010,2,11619000,731
Women,All Races,All Origins,45 to 54 years,2010,3,11508000,729
Women,All Races,All Origins,45 to 54 years,2010,4,11713000,722
Women,All Races,All Origins,45 to 54 years,2011,1,11539000,740
Women,All Races,All Origins,45 to 54 years,2011,2,11712000,734
Women,All Races,All Origins,45 to 54 years,2011,3,11439000,741
Women,All Races,All Origins,45 to 54 years,2011,4,11539000,757
Women,All Races,All Origins,45 to 54 years,2012,1,11382000,748
Women,All Races,All Origins,45 to 54 years,2012,2,11502000,733
Women,All Races,All Origins,45 to 54 years,2012,3,11512000,754
Women,All Races,All Origins,45 to 54 years,2012,4,11625000,747
Women,All Races,All Origins,45 to 54 years,2013,1,11424000,758
Women,All Races,All Origins,45 to 54 years,2013,2,11348000,767
Women,All Races,All Origins,45 to 54 years,2013,3,11311000,755
Women,All Races,All Origins,45 to 54 years,2013,4,11481000,767
Women,All Races,All Origins,45 to 54 years,2014,1,11594000,787
Women,All Races,All Origins,45 to 54 years,2014,2,11504000,783
Women,All Races,All Origins,45 to 54 years,2014,3,11551000,772
Women,All Races,All Origins,45 to 54 years,2014,4,11583000,774
Women,All Races,All Origins,45 to 54 years,2015,1,11530000,811
Women,All Races,All Origins,45 to 54 years,2015,2,11609000,797
Women,All Races,All Origins,45 to 54 years,2015,3,11458000,794
Women,All Races,All Origins,45 to 54 years,2015,4,11693000,797
Women,All Races,All Origins,45 to 54 years,2016,1,11560000,832
Women,All Races,All Origins,45 to 54 years,2016,2,11562000,829
Women,All Races,All Origins,45 to 54 years,2016,3,11561000,842
Women,All Races,All Origins,45 to 54 years,2016,4,11537000,840
Women,All Races,All Origins,45 to 54 years,2017,1,11469000,863
Women,All Races,All Origins,45 to 54 years,2017,2,11498000,851
Women,All Races,All Origins,45 to 54 years,2017,3,11709000,845
Women,All Races,All Origins,45 to 54 years,2017,4,11761000,866
Women,All Races,All Origins,45 to 54 years,2018,1,11591000,878
Women,All Races,All Origins,45 to 54 years,2018,2,11666000,854
Women,All Races,All Origins,45 to 54 years,2018,3,11593000,892
Women,All Races,All Origins,45 to 54 years,2018,4,11635000,876
Women,All Races,All Origins,45 to 54 years,2019,1,11697000,876
Women,All Races,All Origins,45 to 54 years,2019,2,11798000,899
Women,All Races,All Origins,45 to 54 years,2019,3,11323000,926
Women,All Races,All Origins,45 to 54 years,2019,4,11701000,909
Women,All Races,All Origins,45 to 54 years,2020,1,11578000,926
Women,All Races,All Origins,45 to 54 years,2020,2,10400000,1006
Women,All Races,All Origins,45 to 54 years,2020,3,10403000,1002
Women,All Races,All Origins,45 to 54 years,2020,4,11032000,982
Both Sexes,All Races,All Origins,55 years and over,2010,1,17302000,834
Both Sexes,All Races,All Origins,55 years and over,2010,2,17901000,821
