industry,major_occupation,minor_occupation,race_gender,industry_total,employ_n,year
Information,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,1544000,0,2020
Information,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,1544000,12000,2020
Information,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,1544000,194000,2020
Information,"Production, transportation, and material moving occupations",Production occupations,Men,1544000,15000,2020
Information,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,1544000,16000,2020
Financial activities,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,5121000,2454000,2020
Financial activities,"Management, professional, and related occupations",Professional and related occupations,Men,5121000,621000,2020
Financial activities,Service occupations,Protective service occupations,Men,5121000,36000,2020
Financial activities,Service occupations,"Service occupations, except protective",Men,5121000,146000,2020
Financial activities,Sales and office occupations,Sales and related occupations,Men,5121000,1140000,2020
Financial activities,Sales and office occupations,Office and administrative support occupations,Men,5121000,430000,2020
Financial activities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,5121000,1000,2020
Financial activities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,5121000,46000,2020
Financial activities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,5121000,151000,2020
Financial activities,"Production, transportation, and material moving occupations",Production occupations,Men,5121000,25000,2020
Financial activities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,5121000,72000,2020
Professional and business services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,11031000,2788000,2020
Professional and business services,"Management, professional, and related occupations",Professional and related occupations,Men,11031000,4224000,2020
Professional and business services,Service occupations,Protective service occupations,Men,11031000,394000,2020
Professional and business services,Service occupations,"Service occupations, except protective",Men,11031000,1728000,2020
Professional and business services,Sales and office occupations,Sales and related occupations,Men,11031000,329000,2020
Professional and business services,Sales and office occupations,Office and administrative support occupations,Men,11031000,509000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,11031000,10000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,11031000,142000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,11031000,274000,2020
Professional and business services,"Production, transportation, and material moving occupations",Production occupations,Men,11031000,181000,2020
Professional and business services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,11031000,451000,2020
Education and health services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,8672000,1187000,2020
Education and health services,"Management, professional, and related occupations",Professional and related occupations,Men,8672000,5243000,2020
Education and health services,Service occupations,Protective service occupations,Men,8672000,120000,2020
Education and health services,Service occupations,"Service occupations, except protective",Men,8672000,1236000,2020
Education and health services,Sales and office occupations,Sales and related occupations,Men,8672000,33000,2020
Education and health services,Sales and office occupations,Office and administrative support occupations,Men,8672000,340000,2020
Education and health services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,8672000,4000,2020
Education and health services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,8672000,75000,2020
Education and health services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,8672000,181000,2020
Education and health services,"Production, transportation, and material moving occupations",Production occupations,Men,8672000,65000,2020
Education and health services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,8672000,187000,2020
Leisure and hospitality,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,5694000,1053000,2020
Leisure and hospitality,"Management, professional, and related occupations",Professional and related occupations,Men,5694000,442000,2020
Leisure and hospitality,Service occupations,Protective service occupations,Men,5694000,104000,2020
Leisure and hospitality,Service occupations,"Service occupations, except protective",Men,5694000,3209000,2020
Leisure and hospitality,Sales and office occupations,Sales and related occupations,Men,5694000,268000,2020
Leisure and hospitality,Sales and office occupations,Office and administrative support occupations,Men,5694000,166000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,5694000,7000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,5694000,34000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,5694000,87000,2020
Leisure and hospitality,"Production, transportation, and material moving occupations",Production occupations,Men,5694000,54000,2020
Leisure and hospitality,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,5694000,271000,2020
Other services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,3198000,321000,2020
Other services,"Management, professional, and related occupations",Professional and related occupations,Men,3198000,553000,2020
Other services,Service occupations,Protective service occupations,Men,3198000,16000,2020
Other services,Service occupations,"Service occupations, except protective",Men,3198000,476000,2020
Other services,Sales and office occupations,Sales and related occupations,Men,3198000,260000,2020
Other services,Sales and office occupations,Office and administrative support occupations,Men,3198000,91000,2020
Other services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,3198000,0,2020
Other services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,3198000,22000,2020
Other services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,3198000,964000,2020
Other services,"Production, transportation, and material moving occupations",Production occupations,Men,3198000,266000,2020
Other services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,3198000,230000,2020
"Other services, except private households","Management, professional, and related occupations","Management, business, and financial operations occupations",Men,3125000,318000,2020
"Other services, except private households","Management, professional, and related occupations",Professional and related occupations,Men,3125000,549000,2020
"Other services, except private households",Service occupations,Protective service occupations,Men,3125000,16000,2020
"Other services, except private households",Service occupations,"Service occupations, except protective",Men,3125000,424000,2020
"Other services, except private households",Sales and office occupations,Sales and related occupations,Men,3125000,260000,2020
"Other services, except private households",Sales and office occupations,Office and administrative support occupations,Men,3125000,91000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,3125000,0,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,3125000,22000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,3125000,963000,2020
"Other services, except private households","Production, transportation, and material moving occupations",Production occupations,Men,3125000,261000,2020
"Other services, except private households","Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,3125000,221000,2020
Private households,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,73000,3000,2020
Private households,"Management, professional, and related occupations",Professional and related occupations,Men,73000,4000,2020
Private households,Service occupations,Protective service occupations,Men,73000,0,2020
Private households,Service occupations,"Service occupations, except protective",Men,73000,52000,2020
Private households,Sales and office occupations,Sales and related occupations,Men,73000,0,2020
Private households,Sales and office occupations,Office and administrative support occupations,Men,73000,0,2020
Private households,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,73000,0,2020
Private households,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,73000,0,2020
Private households,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,73000,0,2020
Private households,"Production, transportation, and material moving occupations",Production occupations,Men,73000,5000,2020
Private households,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,73000,8000,2020
Public administration,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,4020000,681000,2020
Public administration,"Management, professional, and related occupations",Professional and related occupations,Men,4020000,968000,2020
Public administration,Service occupations,Protective service occupations,Men,4020000,1506000,2020
Public administration,Service occupations,"Service occupations, except protective",Men,4020000,166000,2020
Public administration,Sales and office occupations,Sales and related occupations,Men,4020000,13000,2020
Public administration,Sales and office occupations,Office and administrative support occupations,Men,4020000,297000,2020
Public administration,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,4020000,8000,2020
Public administration,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,4020000,87000,2020
Public administration,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,4020000,140000,2020
Public administration,"Production, transportation, and material moving occupations",Production occupations,Men,4020000,67000,2020
Public administration,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,4020000,87000,2020
NA,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,NA,NA,2020
NA,"Management, professional, and related occupations",Professional and related occupations,Men,NA,NA,2020
NA,Service occupations,Protective service occupations,Men,NA,NA,2020
NA,Service occupations,"Service occupations, except protective",Men,NA,NA,2020
NA,Sales and office occupations,Sales and related occupations,Men,NA,NA,2020
NA,Sales and office occupations,Office and administrative support occupations,Men,NA,NA,2020
NA,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,NA,NA,2020
NA,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,NA,NA,2020
NA,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,NA,NA,2020
NA,"Production, transportation, and material moving occupations",Production occupations,Men,NA,NA,2020
NA,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,NA,NA,2020
Women,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,NA,NA,2020
Women,"Management, professional, and related occupations",Professional and related occupations,Men,NA,NA,2020
Women,Service occupations,Protective service occupations,Men,NA,NA,2020
Women,Service occupations,"Service occupations, except protective",Men,NA,NA,2020
Women,Sales and office occupations,Sales and related occupations,Men,NA,NA,2020
Women,Sales and office occupations,Office and administrative support occupations,Men,NA,NA,2020
Women,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,NA,NA,2020
Women,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,NA,NA,2020
Women,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,NA,NA,2020
Women,"Production, transportation, and material moving occupations",Production occupations,Men,NA,NA,2020
Women,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,NA,NA,2020
Agriculture and related,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,650000,253000,2020
Agriculture and related,"Management, professional, and related occupations",Professional and related occupations,Women,650000,22000,2020
Agriculture and related,Service occupations,Protective service occupations,Women,650000,2000,2020
Agriculture and related,Service occupations,"Service occupations, except protective",Women,650000,42000,2020
Agriculture and related,Sales and office occupations,Sales and related occupations,Women,650000,6000,2020
Agriculture and related,Sales and office occupations,Office and administrative support occupations,Women,650000,79000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,650000,217000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,650000,0,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,650000,2000,2020
Agriculture and related,"Production, transportation, and material moving occupations",Production occupations,Women,650000,7000,2020
Agriculture and related,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,650000,20000,2020
"Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations",Women,99000,43000,2020
"Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations",Professional and related occupations,Women,99000,14000,2020
"Mining, quarrying, and oil and gas extraction",Service occupations,Protective service occupations,Women,99000,0,2020
"Mining, quarrying, and oil and gas extraction",Service occupations,"Service occupations, except protective",Women,99000,2000,2020
"Mining, quarrying, and oil and gas extraction",Sales and office occupations,Sales and related occupations,Women,99000,1000,2020
"Mining, quarrying, and oil and gas extraction",Sales and office occupations,Office and administrative support occupations,Women,99000,28000,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,99000,0,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,99000,8000,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,99000,1000,2020
"Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations",Production occupations,Women,99000,1000,2020
"Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,99000,2000,2020
Construction,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,1173000,316000,2020
Construction,"Management, professional, and related occupations",Professional and related occupations,Women,1173000,82000,2020
Construction,Service occupations,Protective service occupations,Women,1173000,4000,2020
Construction,Service occupations,"Service occupations, except protective",Women,1173000,14000,2020
Construction,Sales and office occupations,Sales and related occupations,Women,1173000,32000,2020
Construction,Sales and office occupations,Office and administrative support occupations,Women,1173000,444000,2020
Construction,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,1173000,0,2020
Construction,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,1173000,247000,2020
Construction,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,1173000,14000,2020
Construction,"Production, transportation, and material moving occupations",Production occupations,Women,1173000,7000,2020
Construction,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,1173000,14000,2020
Manufacturing,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,4295000,1014000,2020
Manufacturing,"Management, professional, and related occupations",Professional and related occupations,Women,4295000,525000,2020
Manufacturing,Service occupations,Protective service occupations,Women,4295000,9000,2020
Manufacturing,Service occupations,"Service occupations, except protective",Women,4295000,66000,2020
Manufacturing,Sales and office occupations,Sales and related occupations,Women,4295000,230000,2020
Manufacturing,Sales and office occupations,Office and administrative support occupations,Women,4295000,682000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,4295000,3000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,4295000,14000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,4295000,46000,2020
Manufacturing,"Production, transportation, and material moving occupations",Production occupations,Women,4295000,1477000,2020
Manufacturing,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,4295000,230000,2020
Durable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,2314000,570000,2020
Durable goods,"Management, professional, and related occupations",Professional and related occupations,Women,2314000,315000,2020
Durable goods,Service occupations,Protective service occupations,Women,2314000,5000,2020
Durable goods,Service occupations,"Service occupations, except protective",Women,2314000,29000,2020
Durable goods,Sales and office occupations,Sales and related occupations,Women,2314000,87000,2020
Durable goods,Sales and office occupations,Office and administrative support occupations,Women,2314000,406000,2020
Durable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,2314000,0,2020
Durable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,2314000,12000,2020
Durable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,2314000,32000,2020
Durable goods,"Production, transportation, and material moving occupations",Production occupations,Women,2314000,760000,2020
Durable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,2314000,99000,2020
Nondurable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,1981000,445000,2020
Nondurable goods,"Management, professional, and related occupations",Professional and related occupations,Women,1981000,210000,2020
Nondurable goods,Service occupations,Protective service occupations,Women,1981000,4000,2020
Nondurable goods,Service occupations,"Service occupations, except protective",Women,1981000,37000,2020
Nondurable goods,Sales and office occupations,Sales and related occupations,Women,1981000,143000,2020
Nondurable goods,Sales and office occupations,Office and administrative support occupations,Women,1981000,276000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,1981000,3000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,1981000,2000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,1981000,14000,2020
Nondurable goods,"Production, transportation, and material moving occupations",Production occupations,Women,1981000,717000,2020
Nondurable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,1981000,131000,2020
Wholesale and retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,8355000,668000,2020
Wholesale and retail trade,"Management, professional, and related occupations",Professional and related occupations,Women,8355000,655000,2020
Wholesale and retail trade,Service occupations,Protective service occupations,Women,8355000,20000,2020
Wholesale and retail trade,Service occupations,"Service occupations, except protective",Women,8355000,346000,2020
Wholesale and retail trade,Sales and office occupations,Sales and related occupations,Women,8355000,4278000,2020
Wholesale and retail trade,Sales and office occupations,Office and administrative support occupations,Women,8355000,1291000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,8355000,18000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,8355000,5000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,8355000,17000,2020
Wholesale and retail trade,"Production, transportation, and material moving occupations",Production occupations,Women,8355000,212000,2020
Wholesale and retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,8355000,845000,2020
Wholesale trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,1022000,179000,2020
Wholesale trade,"Management, professional, and related occupations",Professional and related occupations,Women,1022000,67000,2020
Wholesale trade,Service occupations,Protective service occupations,Women,1022000,3000,2020
Wholesale trade,Service occupations,"Service occupations, except protective",Women,1022000,10000,2020
Wholesale trade,Sales and office occupations,Sales and related occupations,Women,1022000,310000,2020
Wholesale trade,Sales and office occupations,Office and administrative support occupations,Women,1022000,286000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,1022000,11000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,1022000,0,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,1022000,4000,2020
Wholesale trade,"Production, transportation, and material moving occupations",Production occupations,Women,1022000,44000,2020
Wholesale trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,1022000,107000,2020
Retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,7333000,488000,2020
Retail trade,"Management, professional, and related occupations",Professional and related occupations,Women,7333000,588000,2020
Retail trade,Service occupations,Protective service occupations,Women,7333000,16000,2020
Retail trade,Service occupations,"Service occupations, except protective",Women,7333000,336000,2020
Retail trade,Sales and office occupations,Sales and related occupations,Women,7333000,3968000,2020
Retail trade,Sales and office occupations,Office and administrative support occupations,Women,7333000,1005000,2020
Retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,7333000,7000,2020
Retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,7333000,5000,2020
Retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,7333000,13000,2020
Retail trade,"Production, transportation, and material moving occupations",Production occupations,Women,7333000,168000,2020
Retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,7333000,738000,2020
Transportation and utilities,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,2059000,304000,2020
Transportation and utilities,"Management, professional, and related occupations",Professional and related occupations,Women,2059000,99000,2020
Transportation and utilities,Service occupations,Protective service occupations,Women,2059000,13000,2020
Transportation and utilities,Service occupations,"Service occupations, except protective",Women,2059000,38000,2020
Transportation and utilities,Sales and office occupations,Sales and related occupations,Women,2059000,69000,2020
Transportation and utilities,Sales and office occupations,Office and administrative support occupations,Women,2059000,819000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,2059000,1000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,2059000,5000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,2059000,13000,2020
Transportation and utilities,"Production, transportation, and material moving occupations",Production occupations,Women,2059000,51000,2020
Transportation and utilities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,2059000,646000,2020
Information,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,1050000,290000,2020
Information,"Management, professional, and related occupations",Professional and related occupations,Women,1050000,405000,2020
Information,Service occupations,Protective service occupations,Women,1050000,3000,2020
Information,Service occupations,"Service occupations, except protective",Women,1050000,15000,2020
Information,Sales and office occupations,Sales and related occupations,Women,1050000,82000,2020
Information,Sales and office occupations,Office and administrative support occupations,Women,1050000,215000,2020
Information,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,1050000,0,2020
Information,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,1050000,0,2020
Information,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,1050000,25000,2020
Information,"Production, transportation, and material moving occupations",Production occupations,Women,1050000,8000,2020
Information,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,1050000,7000,2020
Financial activities,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,5524000,2276000,2020
Financial activities,"Management, professional, and related occupations",Professional and related occupations,Women,5524000,460000,2020
Financial activities,Service occupations,Protective service occupations,Women,5524000,20000,2020
Financial activities,Service occupations,"Service occupations, except protective",Women,5524000,77000,2020
Financial activities,Sales and office occupations,Sales and related occupations,Women,5524000,1143000,2020
Financial activities,Sales and office occupations,Office and administrative support occupations,Women,5524000,1502000,2020
Financial activities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,5524000,0,2020
Financial activities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,5524000,2000,2020
Financial activities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,5524000,14000,2020
Financial activities,"Production, transportation, and material moving occupations",Production occupations,Women,5524000,20000,2020
Financial activities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,5524000,10000,2020
Professional and business services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,7785000,2276000,2020
Professional and business services,"Management, professional, and related occupations",Professional and related occupations,Women,7785000,2377000,2020
Professional and business services,Service occupations,Protective service occupations,Women,7785000,146000,2020
Professional and business services,Service occupations,"Service occupations, except protective",Women,7785000,1029000,2020
Professional and business services,Sales and office occupations,Sales and related occupations,Women,7785000,255000,2020
Professional and business services,Sales and office occupations,Office and administrative support occupations,Women,7785000,1497000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,7785000,2000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,7785000,10000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,7785000,13000,2020
Professional and business services,"Production, transportation, and material moving occupations",Production occupations,Women,7785000,88000,2020
Professional and business services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,7785000,94000,2020
Education and health services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,25432000,2506000,2020
Education and health services,"Management, professional, and related occupations",Professional and related occupations,Women,25432000,14297000,2020
Education and health services,Service occupations,Protective service occupations,Women,25432000,58000,2020
Education and health services,Service occupations,"Service occupations, except protective",Women,25432000,5259000,2020
Education and health services,Sales and office occupations,Sales and related occupations,Women,25432000,105000,2020
Education and health services,Sales and office occupations,Office and administrative support occupations,Women,25432000,2918000,2020
Education and health services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,25432000,1000,2020
Education and health services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,25432000,8000,2020
Education and health services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,25432000,16000,2020
Education and health services,"Production, transportation, and material moving occupations",Production occupations,Women,25432000,99000,2020
Education and health services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,25432000,165000,2020
Leisure and hospitality,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,5786000,957000,2020
Leisure and hospitality,"Management, professional, and related occupations",Professional and related occupations,Women,5786000,353000,2020
Leisure and hospitality,Service occupations,Protective service occupations,Women,5786000,46000,2020
Leisure and hospitality,Service occupations,"Service occupations, except protective",Women,5786000,3274000,2020
Leisure and hospitality,Sales and office occupations,Sales and related occupations,Women,5786000,592000,2020
Leisure and hospitality,Sales and office occupations,Office and administrative support occupations,Women,5786000,437000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,5786000,1000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,5786000,1000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,5786000,5000,2020
Leisure and hospitality,"Production, transportation, and material moving occupations",Production occupations,Women,5786000,52000,2020
Leisure and hospitality,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,5786000,69000,2020
Other services,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,3544000,442000,2020
Other services,"Management, professional, and related occupations",Professional and related occupations,Women,3544000,441000,2020
Other services,Service occupations,Protective service occupations,Women,3544000,3000,2020
Other services,Service occupations,"Service occupations, except protective",Women,3544000,1930000,2020
Other services,Sales and office occupations,Sales and related occupations,Women,3544000,88000,2020
Other services,Sales and office occupations,Office and administrative support occupations,Women,3544000,449000,2020
Other services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,3544000,3000,2020
Other services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,3544000,2000,2020
Other services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,3544000,23000,2020
Other services,"Production, transportation, and material moving occupations",Production occupations,Women,3544000,114000,2020
Other services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,3544000,50000,2020
"Other services, except private households","Management, professional, and related occupations","Management, business, and financial operations occupations",Women,2963000,437000,2020
"Other services, except private households","Management, professional, and related occupations",Professional and related occupations,Women,2963000,438000,2020
"Other services, except private households",Service occupations,Protective service occupations,Women,2963000,3000,2020
"Other services, except private households",Service occupations,"Service occupations, except protective",Women,2963000,1371000,2020
"Other services, except private households",Sales and office occupations,Sales and related occupations,Women,2963000,88000,2020
"Other services, except private households",Sales and office occupations,Office and administrative support occupations,Women,2963000,441000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,2963000,3000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,2963000,2000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,2963000,23000,2020
"Other services, except private households","Production, transportation, and material moving occupations",Production occupations,Women,2963000,110000,2020
"Other services, except private households","Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,2963000,48000,2020
Private households,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,581000,5000,2020
Private households,"Management, professional, and related occupations",Professional and related occupations,Women,581000,3000,2020
Private households,Service occupations,Protective service occupations,Women,581000,0,2020
Private households,Service occupations,"Service occupations, except protective",Women,581000,559000,2020
Private households,Sales and office occupations,Sales and related occupations,Women,581000,0,2020
Private households,Sales and office occupations,Office and administrative support occupations,Women,581000,8000,2020
Private households,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Women,581000,0,2020
Private households,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Women,581000,0,2020
Private households,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Women,581000,0,2020
Private households,"Production, transportation, and material moving occupations",Production occupations,Women,581000,4000,2020
Private households,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Women,581000,2000,2020
Public administration,"Management, professional, and related occupations","Management, business, and financial operations occupations",Women,3481000,770000,2020
Public administration,"Management, professional, and related occupations",Professional and related occupations,Women,3481000,1066000,2020
Public administration,Service occupations,Protective service occupations,Women,3481000,391000,2020
Public administration,Service occupations,"Service occupations, except protective",Women,3481000,229000,2020
