Contestant,Birthday,Birthplace,Hometown,Description,Season
Andrew Garcia,8-Oct-85,"Moreno Valley, California",NA,"He had a good sized following on YouTube prior to auditioning on Idol.  He impressed the judges with his performance of Paula Abdul's ""Straight Upduring the Hollywood rounds, but failed to interest the judges in the later rounds. He was eliminated as joint eighth-place finishers together with Katie Stevens on April 14.",9
Didi Benami,25-Oct-86,"Knoxville, Tennessee","Knoxville, Tennessee","She auditioned in Los Angeles, California with The Beatles' ""Hey Jude"".  She was inspired to audition by her best friend who died in a traffic accident.  She was notable during the Hollywood rounds for her performance of Kara DioGuardi-penned Katharine McPhee's song ""Terrified. She finished tenth after being eliminated on March 31.",9
Scotty McCreery,9-Oct-93,"Garner, North Carolina","Garner, North Carolina","He auditioned in Milwaukee, Wisconsin, with Josh Turner's ""Your Manand Travis Tritt's ""Put Some Drive in Your Country"". He reprised ""Your Manin the Hollywood rounds but forgot the words to Lee Ann Womack's ""I Hope You Dance"". He also performed ""Get Readywith the group ""The Guapsand became involved in the drama when Clint Jun Gamboa ousted young Jacee Badeaux from their group. For his final solo he performed Josh Turner's ""Long Black Train"". McCreery was announced as the winner on May 25, and was signed to 19/Interscope/Mercury Nashville. His debut album, Clear as Day, was released on October 4, 2011.",10
Lauren Alaina,8-Nov-94,"Rossville, Georgia","Rossville, Georgia","She auditioned in Nashville, Tennessee, with Faith Hill's ""Like We Never Loved At Alland Aerosmith's ""I Don't Want to Miss a Thingwhich she also reprised for the Hollywood rounds. She also performed ""Unchained Melodytwice, once for the first solo in the Hollywood rounds and again for the final solo. She also performed Soul Brothers Six's ""Some Kind of Wonderfulin a girl group which was notable for getting Steven Tyler to sit on the chair while they performed around him. She performed ""Hello, Goodbyefor the Las Vegas' Beatles round with Scotty McCreery and Denise Jackson. Alaina was announced as the runner-up and was signed to 19/Interscope/Mercury Nashville, and her debut album, Wildflower, was released on October 11, 2011.",10
Haley Reinhart,9-Sep-90,"Wheeling, Illinois","Wheeling, Illinois","She originally auditioned in Chicago in the ninth season and did not advance to the Hollywood round. She auditioned in Milwaukee, Wisconsin, with The Beatles' ""Oh! Darling"". She performed Corinne Bailey Rae's ""Breathlessin the first solo round. In the group round she forgot her words of the song but still made it through, and in the Hollywood rounds she performed Billie Holiday's ""God Bless the Child"". In the Las Vegas group round, she performed The Beatles' ""The Long and Winding Roadwith Naima Adedapo and Jacob Lusk. For her final solo she performed The Shirelles' song ""Baby It's You"". Reinhart was eliminated on May 19, coming in 3rd place. Reinhart was signed to Interscope Records after the show. Her first single, ""Free"", was released on March 20, 2012, and her debut album, Listen Up!, was released on May 22.",10
James Durbin,6-Jan-89,"Santa Cruz, California",NA,"He originally auditioned in the eighth season and was not selected. He auditioned in San Francisco, California, with Muddy Waters's ""You Shook Meand Aerosmith's ""Dream On"". He performed The Beatles' ""Oh! Darlingfor his solo in the Hollywood round, Queen's ""Somebody to Lovewith the group ""Deep Veesin the group round and Sam Cooke's ""A Change Is Gonna Comefor his final solo. He was the lead singer with a band The Hollywood Scars prior to Idol. He has Tourette and Asperger's syndromes. Durbin was eliminated on May 12, coming in 4th place.  He was signed to Wind-up Records in with an album, Memories of a Beautiful Disaster released on November 21, 2011.",10
Jacob Lusk,23-Jun-87,"Compton, California","Compton, California","Before American Idol, he worked as a spa concierge. He auditioned in Los Angeles, California. He was first shown in the group stage of the competition where he performed with fellow finalist Naima Adedapo, Vegas contestant Sophia Shorai, and Matthew Nuss, and Da'Quela Payne. Randy Jackson considered his performance of Billie Holiday's ""God Bless the Childduring the Hollywood rounds the best ever seen on Idol. He also performed The Temptations' ""Get Readywith Naima Adedapo in the group ""Ebony, Ivory, and Every"", and Leon Russell's ""A Song for Youfor his final solo. In the Top 24 round, he earned standing ovation for his performance of ""A House Is Not a Homeby Luther Vandross. After singing ""No Airby Jordin Sparks and Chris Brown and ""Love Hurtsby The Everly Brothers, Lusk was eliminated on May 5, coming in 5th place. Lusk would go on to front the gospel-soul trio Gabriels.",10
Casey Abrams,12-Feb-91,"Idyllwild, California","Idyllwild, California","He auditioned in Austin, Texas, with Ray Charles' ""I Don't Need No Doctor"". He impressed the judges with his performance of ""Georgia on My Mindin Hollywood week. He also performed Ella Fitzgerald's ""Lullaby of Birdland"", The Temptations' ""Get Readywith the group ""Night Owlsin the Hollywood rounds, ""A Hard Day's Nightwith Chris Medina in the Las Vegas's Beatles round, and Kansas Joe McCoy's ""Why Don't You Do Right?for his final solo. He played the double bass and melodica on the show. He suffers from ulcerative colitis which resulted in him missing the Top 13 result show. He got the one judges' save of the season on the Top 11 show. Abrams was eliminated on April 28, coming in 6th place. Abrams was signed to Concord Music Group after the show.",10
Stefano Langone,27-Feb-89,"Kent, Washington","Kent, Washington","He auditioned in San Francisco, California, with Marvin Gaye's ""I Heard It Through the Grapevine"". He performed Stevie Wonder's ""Sir Dukein the Hollywood week, ""Get Backfor the Las Vegas round with James Durbin, and his own composition ""Come Homefor his final solo. He survived a near-fatal car accident in 2009 being hit by a drunk driver. Langone was chosen by the judges as one of the Wild Cards to join the Top 13 finalists. Langone was eliminated on April 21, coming in 7th place. Langone was signed to Hollywood Records after the show. He released his debut single ""I'm on a Rollfeaturing New Boyz and Rock Mafia on April 24, 2012.",10
Paul McDonald,29-Aug-84,"Huntsville, Alabama","Huntsville, Alabama","He auditioned in Nashville, Tennessee, with Rod Stewart's ""Maggie May"". Prior to Idol, he was the lead singer of the band Hightide Blues formed in 2005 and renamed The Grand Magnolias in 2010. He performed Fleetwood Mac's ""Landslideand his own composition ""American Dreamsfor his final solo. McDonald was eliminated on April 14, coming in 8th place.",10
Pia Toscano,14-Oct-88,"Howard Beach, New York",NA,"She had auditioned for Idol four times before and made it through Hollywood in the sixth season and did not continue further. She auditioned in Jersey City, New Jersey, and was a make-up artist. She sang the national anthem at a Mets game. Pia Toscano and Karen Rodriguez get together to duet The Beatles' ""Can't Buy Me Loveon Las Vegas, they also went to New York's LaGuardia Arts School together. She also performed Bruno Mars's ""Grenadefor the group round in Hollywood and Alicia Keys's ""Doesn't Mean Anythingfor her final solo. Toscano was eliminated on April 7, coming in 9th place. Toscano was signed to Interscope Records after the show, releasing her debut single ""This Timeon July 11, 2011. Pia auditioned five times.",10
Naima Adedapo,5-Oct-84,"Milwaukee, Wisconsin","Milwaukee, Wisconsin","She auditioned in Milwaukee, Wisconsin, with Donny Hathaway's version of ""For All We Know"". She was doing janitorial duties at the Summerfest in Milwaukee before she auditioned on Idol. She performed Beatles' ""The Long and Winding Roadtogether with Jacob Lusk and Haley Reinhart during the Las Vegas round, and Corinne Bailey Rae's ""Put Your Records Onfor her final solo. Adedapo was chosen by the judges to join the competition during the Wild Card round. Adedapo was eliminated on March 31, coming in 10th with Thia Megia.",10
Phillip Phillips,20-Sep-90,"Leesburg, Georgia","Leesburg, Georgia","He attended Lee County High School. He graduated Albany Technical College, but had to miss the graduation ceremony due to being on American Idol. He auditioned in North Charleston, singing ""Superstitionby Stevie Wonder and Michael Jackson's ""Thrillerwith the guitar. He performed ""I Only Have Eyes For Youwith Heejun Han, Neco Starr, and Jairon Jackson during Hollywood Week. Many people have compared his vocal style to that of Dave Matthews, whom he has also noted as an influence. Phillips was announced the winner on May 23. Philips' coronation song, ""Home"", was a success with sales of 5.4 million copies in the United States.",11
Jessica Sanchez,4-Aug-95,"San Diego, California",NA,"Sanchez auditioned in San Diego. She performed ""It Doesn't Matter Anymorewith DeAndre Brackensick and Candice Glover in Las Vegas. During the Sing For Your Life green mile round, Sanchez performed ""The Prayerby Andrea Bocelli. Before Idol, she was known for her appearance on the first season of America's Got Talent where she was brought back by judge Brandy during the show's wildcard round. Sanchez also participated in the YouTube edition of ""We Are the Worldalong with 56 other YouTube artists, including American Idol season 10 finalist Thia Megia. She was saved from elimination by the judges after receiving the lowest number of votes in the top seven round, making her the first female contestant to be saved by the judges and eventually the first Asian American contestant on American Idol to advance to the finale. Sanchez was announced the runner-up on May 23, 2012.",11
Joshua Ledet,9-Apr-92,"Westlake, Louisiana","Westlake, Louisiana","He writes songs and lyrics for and attends the House of Prayer Holiness Church. He auditioned in Houston, Texas. He originally auditioned for American Idol season 10, but he did not make it past the audition stage. He was dubbed ""Mantasia(as being the male version of American Idol season three winner Fantasia Barrino) during the semi-finals. He performed ""Blue Suede Shoeswith Shannon Magrane, Amber Holcomb, and Curtis Finch Jr. His musical influences are his mother, Christina Aguilera, Whitney Houston, Michael Jackson, Fantasia Barrino, James Brown, Luther Vandross, Stevie Wonder and Elton John. He was eliminated on May 17, coming in third place.",11
Hollie Cavanagh,5-Jul-93,"Liverpool, Merseyside",NA,"She originally auditioned for season 10, but she was eliminated in the green mile round and was encouraged by Jennifer Lopez that she could win the competition in a couple of years with practice. Hollie sang ""Mr. Sandmanwith Naomi Gillies and Marissa Pontecorvo in Las Vegas. Hollie's only appearance in season 11 was during the Top 42 green mile round. She sang ""Changeby American Idol season four winner Carrie Underwood for the Sing for Your Life round. She was eliminated on May 10, coming in fourth place. She auditioned in Galveston.",11
Skylar Laine,1-Feb-94,"Brandon, Mississippi","Brandon, Mississippi","She is the second finalist to hail from Mississippi, with the previous one being Jasmine Murray from season eight. She auditioned in Galveston, singing ""Hell on Heelsby Pistol Annies. In Las Vegas, she performed ""Dedicated to the One I Lovewith Colton Dixon, Chase Likens, and Cari Quoyeser. Her musical influences include George Jones, Waylon Jennings, and Miranda Lambert. She was eliminated on May 3, coming in fifth place.",11
Elise Testone,29-Jul-83,"Mount Pleasant, South Carolina",NA,"She auditioned in North Charleston with the song ""Get It While You Canby Janis Joplin. Prior to Idol, she was a voice instructor in Mount Pleasant, South Carolina, and she performed regularly, either solo or with one of several bands, in Charleston, South Carolina. In 2011, her band, the Freeloaders, won the Funk/Soul/R&B Artist of the Year award in the Charleston City Paper‚Äôs Music issue. Testone received additional recognition from the Charleston City Paper in 2011, winning the staff pick for Best Tribute for Elise Testone‚Äôs James Brown Dance Party. She has performed as an opening act for various other artists, including Snoop Dogg, Nappy Roots, Seven Mary Three, and Kevin Costner‚Äôs band, Modern West. She was eliminated on April 26, coming in sixth place. Her debut album, In This Life was released on February 11, 2014.",11
Colton Dixon,19-Oct-91,"Murfreesboro, Tennessee","Murfreesboro, Tennessee","He auditioned in North Charleston with his younger sister, Schyler. He originally auditioned for season 10 along with Schyler in the Nashville, Tennessee, auditions, but she was cut in the group round and then he was cut in the green mile round. Dixon returned in season 11, however he did not plan to audition, initially planning to simply accompany his sister Schyler to her audition. The judges implored Dixon to audition as well, where he sang David Cook's ""Permanent"". Colton performed ""Dedicated to the One I Lovewith Skylar Laine, Chase Likens, and Cari Qouyeser in Las Vegas. In Las Vegas, Schyler was eliminated, bringing Colton to tears. He performed the Coldplay song ""Fix You"", and dedicated it to his sister. He was eliminated on April 19, coming in seventh place. Prior to his elimination, Dixon had never been in the Bottom 3. His debut album A Messenger was released on January 29, 2013.",11
DeAndre Brackensick,21-Oct-94,"San Jose, California",NA,"He auditioned in San Diego, California. He originally auditioned for American Idol season 10, but he was cut in the green mile round. He performed ""It Doesn't Matter Anymorewith Jessica Sanchez and Candice Glover in Las Vegas. He was an active participant in Oak Grove High School's Theater Arts program and the president of the school's Polynesian Club when he attended. He was eliminated on April 5, coming in eighth place.",11
Heejun Han,20-Apr-89,"Flushing, New York","Flushing, New York","He and his family migrated to Queens from Anyang, Gyeonggi, South Korea, when he was a child. Before American Idol, he was a non-profit organizer, working with children with special needs. He has spoken of suffering from emotional depression and credited the children that he worked with for helping him to recover from his illness. He has also said that the children motivated him to audition for American Idol. He auditioned in Pittsburgh with ""How Am I Supposed to Live Without You"". His audition brought Jennifer Lopez to tears, and Steven Tyler stated ""I think you are really great. I think you could be the American Idol"". He is the first Korean American to make the finals on American Idol. He was eliminated on March 29, coming in ninth place.",11
Erika Van Pelt,12-Dec-85,"South Kingstown, Rhode Island",NA,"She auditioned in Pittsburgh, Pennsylvania, with song ""Will You Love Me Tomorrowby The Shirelles. She draws her influences anywhere from Aretha Franklin, Chaka Khan, Joss Stone, Jill Scott, and Kim Burrell. She has a passion for rhythm and blues, soul, country, jazz, rock and classical. She was eliminated on March 22, coming in tenth place. Her debut album, My Independence was released on October 8, 2013.",11
Shannon Magrane,21-Oct-95,"Tampa, Florida","Tampa, Florida","She is the daughter of Tampa Bay Rays broadcaster and former St. Louis Cardinals pitcher Joe Magrane. She auditioned in North Charleston, South Carolina, with the song ""Something's Got a Hold on Meby Etta James. She was eliminated on March 15, coming in eleventh place.",11
Jermaine Jones,18-Nov-86,"Pine Hill, New Jersey",NA,"He auditioned in Portland, Oregon. He attended Overbrook High School. Before Idol, he worked as a vocal instructor at Highest Praise Performing Arts Center. Jones was not originally chosen for the semi-finals, but he was called back after the top 24 selection filming, making him the 25th semi-finalist and thirteenth male semi-finalist. Standing 6 feet 8 and a half inches tall, he was dubbed ""The Gentle Gianton the show. His musical influences are his mother and John Legend. On March 13, he was disqualified for concealing arrests and outstanding warrants. He is the second Idol contestant to be disqualified during the finals, as Corey Clark was disqualified in the second season, and he came in twelfth place.",11
Jeremy Rosado,24-Mar-92,"Valrico, Florida","Valrico, Florida","Rosado previously auditioned for American Idol four times. He was eliminated on March 8, coming in thirteenth place. He is the fourth wild card finalist to be the eliminated first in the finals, with his female predecessors being Leah LaBelle (season three), Jasmine Murray (season eight), and Ashthon Jones (season ten). His musical influences are Francesca Battistelli, Kirk Franklin, and Israel Houghton. His debut single, Don't be Afraid was released on April 2, 2013.",11
Candice Glover,22-Nov-89,"Beaufort, South Carolina","Beaufort, South Carolina","She lives in St. Helena Island, South Carolina. She auditioned in Charlotte, singing ""Syrup & Honey"". She previously auditioned in the ninth and eleventh seasons, where she made it to the Las Vegas round during the eleventh season and grouped with that season's finalists DeAndre Brackensick and Jessica Sanchez. She performed Alicia Keys's ""Girl on Firein her final solo in the Hollywood rounds. Glover performed ""(You Make Me Feel Like) A Natural Womanat the sudden death round which received high praises from the judges. She performed ""Ordinary Peopleat the semi-finals. At Top 6 Week Glover performed ""Lovesongher performance earned high praise and was called the best performance in the show's history. Her musical influences are Christina Aguilera and Jazmine Sullivan. Glover was announced as the winner on May 16. Her debut album, Music Speaks was released on February 17, 2014.",12
Kree Harrison,17-May-90,"Woodville, Texas","Woodville, Texas","She auditioned in Oklahoma City. Her father died in an airplane crash when she was 12, and her mother died in a car accident after Kree turned 19. She also signed a deal with Lyric Street Records when she was twelve but was dropped after creative differences. She has also had a song publishing deal. She performed ""Sin Wagonat the group round in Hollywood. Harrison performed ""Starsas her final solo in the Hollywood rounds which received praises from the judges. Then, she sang ""Up to the Mountain (MLK song)in the sudden death rounds. She sang ""Strongerat the semi-finals. She stated that her musical influence is her family. Harrison was the runner-up.",12
Angie Miller,17-Feb-94,"Beverly, Massachusetts","Beverly, Massachusetts","She auditioned in New York City singing ""Mamma Knows Best.She stated at her audition that she is partially deaf, with twenty percent hearing loss in her right ear and forty percent in her left ear. Prior to auditioning for American Idol Miller established a successful YouTube channel gaining over 3.7 million views. Miller performed her original composition ""You Set Me Freefor her final solo in the Hollywood rounds receiving standing ovation from the judges. She sang Jessie J's ""Nobody's Perfectat the Vegas sudden death rounds and she sang ""Never Goneat the semi-finals. Her personal musical influences are Jessie J and Beyoncé Knowles. Miller was eliminated on May 9 coming in third place. Prior to her elimination, Miller had never been in the bottom group. During the season finale, she sang a duet with her idol Jessie J, singing ""Domino"". After the performance Jessie J invited her to go on tour in Europe with her to perform her original song ""You Set Me Free"". ""You Set Me Freewas also released on iTunes the night of the season finale.",12
Amber Holcomb,17-Mar-94,"e Dion, Karen Carpenter",NA,"She originally auditioned in the eleventh season, but was cut in the Las Vegas round, where she grouped with Curtis along with the eleventh season finalists Shannon Magrane and Joshua Ledet. She performed ""My Funny Valentinein Vegas sudden death rounds which received standing ovation from the judges. Holcomb performed ""I Believe in You and Meat the semi-final voting round receiving standing ovation from all of the judges. Prior to Idol, she graduated from Dekaney High School in 2012. Her musical influences are Celine Dion, Karen Carpenter and Whitney Houston. Holcomb was eliminated on May 2 coming in fourth place.",12
Janelle Arthur,12-Dec-89,"Oliver Springs, Tennessee",NA,"She auditioned in Charlotte, where she sang ""Where the Blacktop Ends"". She has auditioned twice before, in seasons the tenth and eleventh seasons. In the tenth season, she was cut in the group round, and in the eleventh season she made it to the Las Vegas round. Arthur performed ""I Told You Soat the Hollywood rounds. Then, she performed ""Just a Kissat the Vegas sudden death rounds. She sang ""If I Can Dreamat the semi-final round. Prior to Idol, Arthur was a Zumba instructor. Her musical influences are Vince Gill and Eva Cassidy. After singing, ""When I Call Your Nameand ""Dumb Blonde"", Arthur was eliminated on April 18 coming in fifth place.",12
Lazaro Arbos,27-Dec-90,"Naples, Florida",NA,"He auditioned in Chicago, where he sang ""Bridge over Troubled Water"". He sang ""The Edge of Gloryat the Hollywood rounds as his final solo. Arbos performed ""Tonight I Wanna Cryat the Vegas sudden death rounds. He performed ""Feeling Goodat the semi-finals. When Lazaro was six, he began stuttering to the point where he could barely talk. He has gone through speech and language therapy, but it never improved his stutter. His musical influence is Selena. He was eliminated on April 11 coming in sixth place.",12
Burnell Taylor,14-Apr-93,NA,NA,"He auditioned in Baton Rouge, singing ""I'm Herewhich received standing ovation from the judges. He sang ""Jar of Heartsat the Hollywood rounds. Taylor performed ""This Timeat the Vegas sudden death rounds. He also performed the same song at the semi-finals. He stated in his audition that he and his family were survivors of Hurricane Katrina. His musical influence is India.Arie. After his performance of ""You Give Love a Bad Name"", he was eliminated on April 4 coming in seventh place.",12
Devin Velez,22-Apr-94,NA,NA,"He auditioned in Chicago as well. Velez sang ""What a Wonderful Worldat the Hollywood rounds. Then, he sang ""Listenat the sudden death rounds. Velez performed ""Somos Novios (It's Impossible)at the semi-final round. He draws his musical influences from artists including Israel Houghton, Cece Winans, Smokie Norful, Donnie McClurkin, Beyoncé Knowles, and his mother. After his performance of ""The Tracks of My Tears"", he was eliminated on March 28 coming in eighth place.",12
Paul Jolley,27-Jan-90,"Palmersville, Tennessee","Palmersville, Tennessee","He auditioned in Baton Rouge, singing ""I Won't Let Go"". He sang Carrie Underwood's ""Blown Awayat the Hollywood rounds. He sang ""Tonight I Wanna Cryat the Vegas sudden death rounds. Jolley performed ""Just a Foolat the semi-final round. His musical style came from his family. He dubbed himself as the male version of Carrie Underwood. After his performance of ""Eleanor Rigby"", he was eliminated on March 21 coming in ninth place.",12
"Curtis Finch, Jr.",19-Aug-88,NA,NA,"(born August 19, 1988) is from St. Louis, Missouri. He has previously auditioned in the fourth and eleventh seasons, where he made it to the Las Vegas round, where he grouped with Amber along with eleventh season finalists Shannon Magrane and Joshua Ledet. He had performed ""Jar of Heartsas his final solo in the Hollywood rounds. Finch sang ""Superstarat the sudden death rounds. He performed ""I Believe I Can Flyat the semi-final round. His personal musical style is his gospel background. He was the first finalist eliminated on March 14 coming in tenth place.",12
Caleb Johnson,23-Apr-91,"Asheville, North Carolina","Asheville, North Carolina","He previously auditioned in the tenth and eleventh seasons, but he was cut off during the selection of top 25. He auditioned in Atlanta where he performed an original song ""Into the Void"".  In the Hollywood round he first performed ""Sympathy for the Devil"", followed a performance of ""Too Closein a group which included CJ Harris, and ""Radioactivefor the last solo. He was announced as the winner on May 21. Johnson is the second returning contestant to win Idol after Candice Glover in the previous season.",13
Jena Irene,13-Jul-96,"Farmington Hills, Michigan",NA,"She auditioned in Detroit with Adele's ""Rolling in the Deep"".  She performed ""Video Gamesduring the Hollywood for the first solo, Alex Clare's ""Too Closefor the group round, and her own composition ""Unbreakable Mefor the Final Judgement. She cites Paramore and Incubus as her greatest musical influences. She is the first female Wild Card contestant and the second Wild Card contestant after Clay Aiken in the second season to advance to the finale. She was announced as the runner-up.",13
Alex Preston,6-May-93,"Mont Vernon, New Hampshire",NA,"He performed an original song ""Fairytalesfor his audition. During Hollywood week, he performed ""Scream and Shoutfor the first solo, and his own composition ""Fairytalesfor the final solo. He was eliminated on May 15, 2014, and came in third place. Prior to his elimination, Preston had never been in the bottom 3 or in the bottom 2 before.",13
Jessica Meuse,19-Oct-90,"Round Rock, Texas","Slapout, Alabama","She auditioned in Atlanta singing one of her own songs, ""Blue-Eyed Lie"". She reprised the song for the top 8 and sung another original, ""Done"", during Hollywood Week. Prior to auditioning she had written over sixty original songs and self-released a debut album, called ""What's So Hard About Bein' a Man"", in 2011. She was eliminated on May 8, coming in fourth place.",13
Sam Woolf,19-Apr-96,"Bradenton, Florida","Bradenton, Florida","He auditioned in Boston, singing ""Lego Houseby Ed Sheeran. He sang ""Waiting on the World to Changeon the first round in Hollywood, and his original composition entitled ""I Triedin the final solo of the Hollywood Round. He was saved from elimination by the judges after receiving the lowest number of votes in the top eight round. He was eliminated on May 1, coming  in fifth place.",13
C.J. Harris,28-Jan-91,"Jasper, Alabama","Jasper, Alabama","J. Harris (born January 28, 1991, died January 15, 2023)  is from Jasper, Alabama. He auditioned in Salt Lake City, where he sang ""Soulshine"". He performed ""Troublein the first Hollywood round, and was in a group with fellow finalist Caleb Johnson, performing the Alex Clare song ""Too Close"". For the final solo he performed ""Bring It On Home to Me"", however, he was asked to perform again in the Final Judgement to compete against Casey Thrasher, and chose to sing ""Whipping Post"". He was eliminated on April 24, coming in sixth place. Harris died on January 15, 2023, after suffering a heart attack, making him the sixth American Idol finalist to die, following Willie Spence in 2022, Nikki McKibbin in 2020, Leah LaBelle in 2018, Rickey Smith in 2016, and Michael Johns in 2014.",13
Dexter Roberts,12-Jul-91,"Fayette, Alabama","Fayette, Alabama","He performed ""Drivefor his audition, and for the group round he was part of the group Backstreet Cowboys together with Casey Thrasher and fellow finalist Ben Briley, performing the song ""I Want It That Way"".  For the final solo he performed an original song, ""Farmer's Grandson"". He was eliminated on April 17, 2014, coming in seventh place.",13
Malaya Watson,24-Sep-97,"Southfield, Michigan","Southfield, Michigan","She is a tuba player of the marching band of Southfield High School. She auditioned in Detroit with Aretha Franklin's ""Ain't No Way"". In the first round in Hollywood, she sang ""Brand New Meby Alicia Keys. She performed ""I Believein the final solo on Hollywood round. She cites her two grandfathers and her father as her personal musical influences. She described her style in singing from Sly Stone and Beyoncé. She is the second youngest contestant in American Idol history that has reached the live show, next to tenth season contestant, Thia Megia. She was eliminated on April 10, coming in eighth place.",13
Majesty Rose,29-Feb-92,"Goldsboro, North Carolina","Goldsboro, North Carolina","She auditioned in Atlanta, where she sang Coldplay's ""Violet Hill"". Prior on auditioning, she was a pre-school teacher and she graduated in Eastern Wayne High School on 2011. In Hollywood, she performed ""1234and ""Stars"". She was eliminated on March 27, coming in ninth place.",13
MK Nobilette,20-Aug-93,"San Francisco, California",NA,"She auditioned in San Francisco with ""If I Were Your Woman,"" and advanced to Hollywood, where she was one of many contestants who had to ""sing for their lives,or get back on the plane home. For the Hollywood rounds she chose an Allen Stone song for the a cappella round, which was not aired. She performed ""Royalsin the group round.  For her final Hollywood solo she did ""The A Teamby Ed Sheeran. She is the first openly gay finalist to be publicly acknowledged on the show. She was eliminated on March 20, 2014, and came in tenth place. She also did not appear or sing in the live finale, due to being ill at that time.",13
Ben Briley,19-Mar-89,"Gallatin, Tennessee","Gallatin, Tennessee","He auditioned in Atlanta, singing ""Arms of a Woman"". He performed ""Starsin the final solo of the Hollywood Round, and was in a group called Backstreet Cowboys with fellow finalist Dexter Roberts, performing the Backstreet Boys song ""I Want It That Way"".  Ben Briley and Neco Starr both appeared before the judges for the Final Judgement, however the judges could not decide whom to choose, and sent both to a vote by fans, which was won by Briley. He was eliminated on March 13, coming in eleventh place.",13
Emily Piriz,28-Jan-96,"Orlando, Florida","Orlando, Florida","She auditioned in Atlanta, singing ""Mamma Knows Bestby Jessie J. She sang ""Nothing but the Wateron the first round in Hollywood. She performed ""Starsin the final solo of the Hollywood Round. Prior on joining this competition, she also auditioned in The X Factor USA. She cites Pink and Kelly Clarkson as her musical influences. She was eliminated on March 6, coming in twelfth place.",13
Kristen O'Connor,19-Apr-89,"Sebastian, Florida","Sebastian, Florida","She auditioned in Atlanta, singing ""Good Morning Heartache"". She performed ""Treasurein the Hollywood group rounds with her fellow finalist, Sam Woolf. She performed ""Unconditionallyon the Hollywood Rounds.  She cites Christina Aguilera and Jessie J as her musical influences. Prior on joining this competition, she was a nurse. She was eliminated on February 27, coming in thirteenth place. She is the fifth wild card finalist to be the eliminated first in the finals, with her predecessors Leah LaBelle, Jasmine Murray, Ashthon Jones and Jeremy Rosado.",13
Nick Fradiani,15-Nov-85,"Guilford, Connecticut","Guilford, Connecticut","Fradiani was the vocalist of Beach Avenue which got recognition after they won in the Battle of the Bands at Mohegan Sun in 2011. They auditioned for the ninth season of America's Got Talent, but were eliminated during Judgement Week. His father was a musician, who performs in clubs and in cruise ships. He taught his son to play drums, piano and guitar. Fradiani graduated in high school in 2004. He has a bachelor's degree in History from Wheaton College in Norton, Massachusetts. He resumed his music career by playing solo gigs. Fradiani continuously got gigs with his band, which was on hiatus during his participation on Idol. He and his girlfriend auditioned in New York City, and his golden ticket song was Peter Gabriel's ""In Your Eyes"". During Hollywood Week, he sang ""Babylonby David Gray. He sang Train's ""Drops of Jupiter (Tell Me)during the House of Blues Showcase, earning his spot in the Top 24. He was the third alumnus of America's Got Talent to be a finalist in Idol, with his predecessors Thia Megia of the tenth season and eleventh season runner-up Jessica Sanchez. He was announced as the winner on May 13.",14
Clark Beckham,15-May-92,"White House, Tennessee",NA,"He was a musician in the streets of Nashville. Beckham's father was a professional musician, playing guitar for the Righteous Brothers and Dolly Parton. His mother was a court reporter before she quit her job to be a music teacher. He attended Lee University, a Christian-liberal arts school in Cleveland, Tennessee. He was studying to be a teacher in history and physical education. He competed in the Battle of the Bands and toured with the campus choir. Beckham plays a number of instruments. At the age of nine, he started playing drums. He played guitar at the age of twelve and piano at the age of sixteen. In a Christian Post interview Beckham noted he was a worship leader and feels God is his biggest influence. He prayed on whether to audition for Idol and plans to continue with a career in Christian music following the competition. Beckham sang James Brown's ""It's a Man's Worldduring his audition. In his first solo performance in Hollywood rounds, he sang Otis Reding's ""Try a Little Tenderness"". He advances in the Top 24 after he sang ""Georgia on My Mindby Ray Charles in the House of Blues Showcase Week. He cites Marvin Gaye, Stevie Wonder, Al Green, Michael Jackson and Michael Bublé as his musical influences. He was announced as the runner-up.",14
Jax,NA,"East Brunswick, New Jersey",NA,"Singing since she was five, she taught herself how to play the piano. At the age of twelve, she moved to New York City and left public school for home-schooling to pursue her music career with a professional voice coach in New York City. Her father was a firefighter in New York City who was injured during the September 11, 2001 attacks and retired, because of this he was able to accompany, and bond with her at lessons, shows, auditions, and recordings. In high school, she starred in musicals such as ""Aladdinand ""Annie"". She was also a member of about five bands and ended up touring a lot. In mid-2014, Jax studied at New York University in London where she won a BMI John Lennon songwriting program. She auditioned in New York City with her rendition of The Beatles' ""I Want to Hold Your Hand"". She also sang ""Toxicby Britney Spears during her first solo audition in Hollywood Week. For her final solo performance, she sang The Beatles' ""Let it Be"". She earned her spot in the Top 24 in the House of Blues Showcase after she performed Lady Gaga's ""You & I"". She was the last female contestant eliminated on May 12, coming in third place. Prior to her elimination, Jax had never been in the bottom 2.",14
