season,week,order,contestant,song,artist,song_theme,result
Season_05,20060221_top_12_women_perform,1,Mandisa,Never(Heart),Heart,NA,Safe
Season_05,20060221_top_12_women_perform,2,Kellie Pickler,How Far(Martina McBride),Martina McBride,NA,Safe
Season_05,20060221_top_12_women_perform,3,Becky O'Donohue,Because the Night(Patti Smith),Patti Smith,NA,Eliminated
Season_05,20060221_top_12_women_perform,4,Ayla Brown,Reflection(Christina Aguilera),Christina Aguilera,NA,Safe
Season_05,20060221_top_12_women_perform,5,Paris Bennett,Midnight Train to Georgia(Cissy Houston),Cissy Houston,NA,Safe
Season_05,20060221_top_12_women_perform,6,Stevie Scott,To Where You Are(Josh Groban),Josh Groban,NA,Eliminated
Season_05,20060221_top_12_women_perform,7,Brenna Gethers,You Are the Sunshine of My Life(Stevie Wonder),Stevie Wonder,NA,Safe
Season_05,20060221_top_12_women_perform,8,Heather Cox,When You Tell Me That You Love Me(Diana Ross),Diana Ross,NA,Safe
Season_05,20060221_top_12_women_perform,9,Melissa McGhee,When the Lights Go Down(Faith Hill),Faith Hill,NA,Safe
Season_05,20060221_top_12_women_perform,10,Lisa Tucker,I Am Changing(Jennifer Holliday),Jennifer Holliday,NA,Safe
Season_05,20060221_top_12_women_perform,11,Kinnik Sky,Get Here,Oleta Adams,NA,Safe
Season_05,20060221_top_12_women_perform,12,Katharine McPhee,Since I Fell for You,Ella Johnson,NA,Safe
Season_05,20060222_top_12_men_perform,1,Patrick Hall,Come to My Window(Melissa Etheridge),Melissa Etheridge,NA,Eliminated
Season_05,20060222_top_12_men_perform,2,David Radford,Crazy Little Thing Called Love(Queen),Queen,NA,Safe
Season_05,20060222_top_12_men_perform,3,Bucky Covington,Simple Man(Lynyrd Skynyrd),Lynyrd Skynyrd,NA,Safe
Season_05,20060222_top_12_men_perform,4,Will Makar,I Want You Back(The Jackson 5),The Jackson 5,NA,Safe
Season_05,20060222_top_12_men_perform,5,Sway Penala,Reasons(Earth Wind & Fire),Earth Wind & Fire,NA,Safe
Season_05,20060222_top_12_men_perform,6,Chris Daughtry,Wanted Dead or Alive(Bon Jovi),Bon Jovi,NA,Safe
Season_05,20060222_top_12_men_perform,7,Kevin Covais,One Last Cry(Brian McKnight),Brian McKnight,NA,Safe
Season_05,20060222_top_12_men_perform,8,Gedeon McKinney,Shout(The Isley Brothers),The Isley Brothers,NA,Safe
Season_05,20060222_top_12_men_perform,9,Elliott Yamin,If You Really Love Me(Stevie Wonder),Stevie Wonder,NA,Safe
Season_05,20060222_top_12_men_perform,10,Bobby Bennet,Copacabana(Barry Manilow),Barry Manilow,NA,Eliminated
Season_05,20060222_top_12_men_perform,11,Ace Young,Father Figure,George Michael,NA,Safe
Season_05,20060222_top_12_men_perform,12,Taylor Hicks,Levon,Elton John,NA,Safe
Season_05,20060228_top_10_women_perform,1,Katharine McPhee,All in Love Is Fair(Stevie Wonder),Stevie Wonder,NA,Safe
Season_05,20060228_top_10_women_perform,2,Kinnik Sky,Here for the Party(Gretchen Wilson),Gretchen Wilson,NA,Bottom three
Season_05,20060228_top_10_women_perform,3,Lisa Tucker,Who's Lovin' You(The Miracles),The Miracles,NA,Safe
Season_05,20060228_top_10_women_perform,4,Melissa McGhee,Why Haven't I Heard from You(Reba McEntire),Reba McEntire,NA,Safe
Season_05,20060228_top_10_women_perform,5,Heather Cox,Hero(Mariah Carey),Mariah Carey,NA,Eliminated
Season_05,20060228_top_10_women_perform,6,Brenna Gethers,Last Dance(Donna Summer),Donna Summer,NA,Eliminated
Season_05,20060228_top_10_women_perform,7,Paris Bennett,Wind Beneath My Wings(Roger Whittaker),Roger Whittaker,NA,Safe
Season_05,20060228_top_10_women_perform,8,Ayla Brown,I Want You to Need Me(Celine Dion),Celine Dion,NA,Safe
Season_05,20060228_top_10_women_perform,9,Kellie Pickler,Something to Talk About(Bonnie Raitt),Bonnie Raitt,NA,Safe
Season_05,20060228_top_10_women_perform,10,Mandisa,Cry(Angie Aparo),Angie Aparo,NA,Safe
Season_05,20060301_top_10_men_perform,1,Taylor Hicks,Easy(The Commodores),The Commodores,NA,Safe
Season_05,20060301_top_10_men_perform,2,Elliott Yamin,Moody's Mood for Love(James Moody),James Moody,NA,Safe
Season_05,20060301_top_10_men_perform,3,Ace Young,If You're Not the One(Daniel Bedingfield),Daniel Bedingfield,NA,Safe
Season_05,20060301_top_10_men_perform,4,Gedeon McKinney,A Change Is Gonna Come(Sam Cooke),Sam Cooke,NA,Safe
Season_05,20060301_top_10_men_perform,5,Kevin Covais,I Heard It Through the Grapevine(The Miracles),The Miracles,NA,Bottom three
Season_05,20060301_top_10_men_perform,6,Sway Penala,Overjoyed(Stevie Wonder),Stevie Wonder,NA,Eliminated
Season_05,20060301_top_10_men_perform,7,Will Makar,Lady(Kenny Rogers),Kenny Rogers,NA,Safe
Season_05,20060301_top_10_men_perform,8,Bucky Covington,The Thunder Rolls(Garth Brooks),Garth Brooks,NA,Safe
Season_05,20060301_top_10_men_perform,9,David Radford,The Way You Look Tonight(Fred Astaire),Fred Astaire,NA,Eliminated
Season_05,20060301_top_10_men_perform,10,Chris Daughtry,Hemorrhage (In My Hands)(Fuel),Fuel,NA,Safe
Season_05,20060307_top_8_women_men_perform,1,Paris Bennett,Conga(Gloria Estefan and Miami Sound Machine),Gloria Estefan and Miami Sound Machine,NA,Advanced
Season_05,20060307_top_8_women_men_perform,2,Lisa Tucker,Here's Where I Stand(Tiffany Taylor),Tiffany Taylor,NA,Advanced
Season_05,20060307_top_8_women_men_perform,3,Melissa McGhee,What About Love(Heart),Heart,NA,Advanced
Season_05,20060307_top_8_women_men_perform,4,Kinnik Sky,If I Ain't Got You(Alicia Keys),Alicia Keys,NA,Eliminated
Season_05,20060307_top_8_women_men_perform,5,Katharine McPhee,Think(Aretha Franklin),Aretha Franklin,NA,Advanced
Season_05,20060307_top_8_women_men_perform,6,Ayla Brown,Unwritten(Natasha Bedingfield),Natasha Bedingfield,NA,Eliminated
Season_05,20060307_top_8_women_men_perform,7,Mandisa,I'm Every Woman(Chaka Khan),Chaka Khan,NA,Advanced
Season_05,20060307_top_8_women_men_perform,8,Kellie Pickler,I'm the Only One(Melissa Etheridge),Melissa Etheridge,NA,Advanced
Season_05,20060308_top_8_men_perform,1,Gedeon McKinney,When a Man Loves a Woman(Percy Sledge),Percy Sledge,NA,Eliminated
Season_05,20060308_top_8_men_perform,2,Chris Daughtry,Broken(Seether featuring Amy Lee),Seether featuring Amy Lee,NA,Advanced
Season_05,20060308_top_8_men_perform,3,Kevin Covais,Vincent(Don McLean),Don McLean,NA,Advanced
Season_05,20060308_top_8_men_perform,4,Bucky Covington,Wave on Wave(Pat Green),Pat Green,NA,Advanced
Season_05,20060308_top_8_men_perform,5,Will Makar,How Sweet It Is (To Be Loved By You)(Marvin Gaye),Marvin Gaye,NA,Eliminated
Season_05,20060308_top_8_men_perform,6,Taylor Hicks,Takin' It to the Streets(The Doobie Brothers),The Doobie Brothers,NA,Advanced
Season_05,20060308_top_8_men_perform,7,Elliott Yamin,Heaven(Bryan Adams),Bryan Adams,NA,Advanced
Season_05,20060308_top_8_men_perform,8,Ace Young,Butterflies(Michael Jackson),Michael Jackson,NA,Advanced
Season_05,20060314_top_12_perform,1,Ace Young,Do I Do,Stevie Wonder,NA,Bottom three
Season_05,20060314_top_12_perform,2,Kellie Pickler,Blame It on the Sun,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,3,Elliott Yamin,Knocks Me Off My Feet,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,4,Mandisa,Don't You Worry 'bout a Thing,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,5,Bucky Covington,Superstition,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,6,Melissa McGhee,Lately,Mike Sherm,NA,Eliminated
Season_05,20060314_top_12_perform,7,Lisa Tucker,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,NA,Bottom two
Season_05,20060314_top_12_perform,8,Kevin Covais,Part-Time Lover,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,9,Katharine McPhee,Until You Come Back to Me,Aretha Franklin,NA,Safe
Season_05,20060314_top_12_perform,10,Taylor Hicks,Living for the City,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,11,Paris Bennett,All I Do,Stevie Wonder,NA,Safe
Season_05,20060314_top_12_perform,12,Chris Daughtry,Higher Ground,Stevie Wonder,NA,Safe
Season_05,20060321_top_11_perform,1,Mandisa,I Don't Hurt Anymore(Hank Snow),Hank Snow,NA,Safe
Season_05,20060321_top_11_perform,2,Bucky Covington,"Oh, Boy!(Buddy Holly)",Buddy Holly,NA,Bottom two
Season_05,20060321_top_11_perform,3,Paris Bennett,Fever(Little Willie John),Little Willie John,NA,Safe
Season_05,20060321_top_11_perform,4,Chris Daughtry,I Walk the Line(Johnny Cash),Johnny Cash,NA,Safe
Season_05,20060321_top_11_perform,5,Katharine McPhee,Come Rain or Come Shine(Sy Oliver),Sy Oliver,NA,Safe
Season_05,20060321_top_11_perform,6,Taylor Hicks,Not Fade Away(The Crickets featuring Buddy Holly),The Crickets featuring Buddy Holly,NA,Safe
Season_05,20060321_top_11_perform,7,Lisa Tucker,Why Do Fools Fall in Love?(Frankie Lymon and the Teenagers),Frankie Lymon and the Teenagers,NA,Bottom three
Season_05,20060321_top_11_perform,8,Kevin Covais,When I Fall in Love(Doris Day),Doris Day,NA,Eliminated
Season_05,20060321_top_11_perform,9,Elliott Yamin,Teach Me Tonight(The DeCastro Sisters),The DeCastro Sisters,NA,Safe
Season_05,20060321_top_11_perform,10,Kellie Pickler,Walkin' After Midnight(Patsy Cline),Patsy Cline,NA,Safe
Season_05,20060321_top_11_perform,11,Ace Young,In the Still of the Night,The Five Satins,NA,Safe
Season_05,20060328_top_10_perform,1,Lisa Tucker,Because of You(Kelly Clarkson),Kelly Clarkson,NA,Eliminated
Season_05,20060328_top_10_perform,2,Kellie Pickler,Suds in the Bucket(Sara Evans),Sara Evans,NA,Safe
Season_05,20060328_top_10_perform,3,Ace Young,Drops of Jupiter (Tell Me)(Train),Train,NA,Bottom three
Season_05,20060328_top_10_perform,4,Taylor Hicks,Trouble(Ray LaMontagne),Ray LaMontagne,NA,Safe
Season_05,20060328_top_10_perform,5,Mandisa,Shackles (Praise You)(Mary Mary),Mary Mary,NA,Safe
Season_05,20060328_top_10_perform,6,Chris Daughtry,What If(Creed),Creed,NA,Safe
Season_05,20060328_top_10_perform,7,Katharine McPhee,The Voice Within(Christina Aguilera),Christina Aguilera,NA,Bottom two
Season_05,20060328_top_10_perform,8,Bucky Covington,Real Good Man(Tim McGraw),Tim McGraw,NA,Safe
Season_05,20060328_top_10_perform,9,Paris Bennett,Work It Out(Beyoncé),Beyoncé,NA,Safe
Season_05,20060328_top_10_perform,10,Elliott Yamin,I Don't Want to Be(Gavin DeGraw),Gavin DeGraw,NA,Safe
Season_05,20060404_top_9_perform,1,Taylor Hicks,"Take Me Home, Country Roads(John Denver)",John Denver,NA,Safe
Season_05,20060404_top_9_perform,2,Mandisa,Any Man of Mine(Shania Twain),Shania Twain,NA,Eliminated
Season_05,20060404_top_9_perform,3,Elliott Yamin,If Tomorrow Never Comes(Garth Brooks),Garth Brooks,NA,Bottom two
Season_05,20060404_top_9_perform,4,Paris Bennett,How Do I Live(LeAnn Rimes),LeAnn Rimes,NA,Bottom three
Season_05,20060404_top_9_perform,5,Ace Young,Tonight I Wanna Cry(Keith Urban),Keith Urban,NA,Safe
Season_05,20060404_top_9_perform,6,Kellie Pickler,Fancy(Bobbie Gentry),Bobbie Gentry,NA,Safe
Season_05,20060404_top_9_perform,7,Chris Daughtry,Making Memories of Us(Keith Urban),Keith Urban,NA,Safe
Season_05,20060404_top_9_perform,8,Katharine McPhee,Bringing Out the Elvis in Me(Faith Hill),Faith Hill,NA,Safe
Season_05,20060404_top_9_perform,9,Bucky Covington,Best I Ever Had (Grey Sky Morning)(Vertical Horizon),Vertical Horizon,NA,Safe
Season_05,20060411_top_8_perform,1,Bucky Covington,Fat Bottomed Girls,Queen,NA,Eliminated
Season_05,20060411_top_8_perform,2,Ace Young,We Will Rock You,Queen,NA,Bottom three
Season_05,20060411_top_8_perform,3,Kellie Pickler,Bohemian Rhapsody,Queen,NA,Safe
Season_05,20060411_top_8_perform,4,Chris Daughtry,Innuendo,Queen,NA,Safe
Season_05,20060411_top_8_perform,5,Katharine McPhee,Who Wants to Live Forever,Queen,NA,Safe
Season_05,20060411_top_8_perform,6,Elliott Yamin,Somebody To Love,Queen,NA,Bottom three
Season_05,20060411_top_8_perform,7,Taylor Hicks,Crazy Little Thing Called Love,Queen,NA,Safe
Season_05,20060411_top_8_perform,8,Paris Bennett,The Show Must Go On,Queen,NA,Safe
Season_05,20060418_top_7_perform,1,Chris Daughtry,What a Wonderful World(Louis Armstrong),Louis Armstrong,NA,Bottom two
Season_05,20060418_top_7_perform,2,Paris Bennett,These Foolish Things(Billie Holiday),Billie Holiday,NA,Bottom three
Season_05,20060418_top_7_perform,3,Taylor Hicks,You Send Me(Sam Cooke),Sam Cooke,NA,Safe
Season_05,20060418_top_7_perform,4,Elliott Yamin,It Had To Be You(Sam Lanin and his Orchestra),Sam Lanin and his Orchestra,NA,Safe
Season_05,20060418_top_7_perform,5,Kellie Pickler,"Bewitched, Bothered, and Bewildered(Vivienne Segal)",Vivienne Segal,NA,Safe
Season_05,20060418_top_7_perform,6,Ace Young,That's All(Nat King Cole),Nat King Cole,NA,Eliminated
Season_05,20060418_top_7_perform,7,Katharine McPhee,Someone to Watch Over Me(Gertrude Lawrence),Gertrude Lawrence,NA,Safe
Season_05,20060425_top_6_perform,1,Katharine McPhee,I Have Nothing(Whitney Houston),Whitney Houston,NA,Top two
Season_05,20060425_top_6_perform,2,Elliott Yamin,A Song for You(Leon Russell),Leon Russell,NA,Safe
Season_05,20060425_top_6_perform,3,Kellie Pickler,Unchained Melody(Todd Duncan),Todd Duncan,NA,Eliminated
Season_05,20060425_top_6_perform,4,Paris Bennett,The Way We Were(Barbra Streisand),Barbra Streisand,NA,Bottom two
Season_05,20060425_top_6_perform,5,Taylor Hicks,Just Once(James Ingram),James Ingram,NA,Safe
Season_05,20060425_top_6_perform,6,Chris Daughtry,Have You Ever Really Loved a Woman?(Bryan Adams),Bryan Adams,NA,Top two
Season_05,20060502_top_5_perform,1,Elliott Yamin,On Broadway(The Crystals),The Crystals,Birth Year Song,Bottom two
Season_05,20060502_top_5_perform,2,Paris Bennett,Kiss(Prince and The Revolution),Prince and The Revolution,Birth Year Song,Eliminated
Season_05,20060502_top_5_perform,3,Chris Daughtry,Renegade(Styx),Styx,Birth Year Song,Safe
Season_05,20060502_top_5_perform,4,Katharine McPhee,Against All Odds (Take a Look at Me Now)(Phil Collins),Phil Collins,Birth Year Song,Safe
Season_05,20060502_top_5_perform,5,Taylor Hicks,Play That Funky Music(Wild Cherry),Wild Cherry,Birth Year Song,Safe
Season_05,20060502_top_5_perform,6,Elliott Yamin,Home(Michael Bublé),Michael Bublé,Billboard Song,Bottom two
Season_05,20060502_top_5_perform,7,Paris Bennett,Be Without You(Mary J. Blige),Mary J. Blige,Billboard Song,Eliminated
Season_05,20060502_top_5_perform,8,Chris Daughtry,I Dare You(Shinedown),Shinedown,Billboard Song,Safe
Season_05,20060502_top_5_perform,9,Katharine McPhee,Black Horse and the Cherry Tree(KT Tunstall),KT Tunstall,Billboard Song,Safe
Season_05,20060502_top_5_perform,10,Taylor Hicks,Something(The Beatles),The Beatles,Billboard Song,Safe
Season_05,20060509_top_4_perform,1,Taylor Hicks,Jailhouse Rock,Elvis Presley,NA,Safe
Season_05,20060509_top_4_perform,2,Chris Daughtry,Suspicious Minds,Elvis Presley,NA,Eliminated
Season_05,20060509_top_4_perform,3,Elliott Yamin,If I Can Dream,Elvis Presley,NA,Safe
Season_05,20060509_top_4_perform,4,Katharine McPhee,Hound Dog / All Shook Up,Elvis Presley,NA,Bottom two
Season_05,20060509_top_4_perform,5,Taylor Hicks,In the Ghetto,Elvis Presley,NA,Safe
Season_05,20060509_top_4_perform,6,Chris Daughtry,A Little Less Conversation,"Elvis Presley,Junkie XL",NA,Eliminated
Season_05,20060509_top_4_perform,7,Elliott Yamin,Trouble,Josh Ross,NA,Safe
Season_05,20060509_top_4_perform,8,Katharine McPhee,Can't Help Falling in Love,Elvis Presley,NA,Bottom two
Season_05,20060516_top_3_perform,1,Elliott Yamin,Open Arms(Journey),Journey,Mentor Choice,Third place
Season_05,20060516_top_3_perform,2,Katharine McPhee,I Believe I Can Fly,R. Kelly,Mentor Choice,Safe
Season_05,20060516_top_3_perform,3,Taylor Hicks,Dancing in the Dark,Bruce Springsteen,Mentor Choice,Safe
Season_05,20060516_top_3_perform,4,Elliott Yamin,What You Won't Do for Love,Bobby Caldwell,Judges Choice,Third place
Season_05,20060516_top_3_perform,5,Katharine McPhee,Over the Rainbow,Judy Garland,Judges Choice,Safe
Season_05,20060516_top_3_perform,6,Taylor Hicks,You Are So Beautiful,Billy Preston,Judges Choice,Safe
Season_05,20060516_top_3_perform,7,Elliott Yamin,I Believe to My Soul,Ray Charles,Contestant Choice,Third place
Season_05,20060516_top_3_perform,8,Katharine McPhee,I Ain't Got Nothin' But the Blues,Al Hibbler,Contestant Choice,Safe
Season_05,20060516_top_3_perform,9,Taylor Hicks,Try a Little Tenderness,Val Rosing,Contestant Choice,Safe
Season_05,20060523_top_2_perform,1,Katharine McPhee,Black Horse and the Cherry Tree,KT Tunstall,Contestant Reprise 1,Runner-Up
Season_05,20060523_top_2_perform,2,Taylor Hicks,Living for the City,Stevie Wonder,Contestant Reprise 1,Winner
Season_05,20060523_top_2_perform,3,Katharine McPhee,Over The Rainbow,Israel Kamakawiwo'ole,Contestant Reprise 2,Runner-Up
Season_05,20060523_top_2_perform,4,Taylor Hicks,Levon,Elton John,Contestant Reprise 2,Winner
Season_05,20060523_top_2_perform,5,Katharine McPhee,My Destiny,Lionel Richie,Winner Single,Runner-Up
Season_05,20060523_top_2_perform,6,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Winner Single,Winner
Season_06,20070220_top_12_men_perform,1,Stephanie Edwards,How Come U Don't Call Me Anymore?,Alicia Keys,NA,Safe
Season_06,20070220_top_12_men_perform,2,Amy Krebs,I Can't Make You Love Me,Bonnie Raitt,NA,Eliminated
Season_06,20070220_top_12_men_perform,3,Leslie Hunt,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,NA,Safe
Season_06,20070220_top_12_men_perform,4,Sabrina Sloan,I Never Loved a Man (The Way I Love You),Aretha Franklin,NA,Safe
Season_06,20070220_top_12_men_perform,5,Antonella Barba,I Don't Want to Miss a Thing,Aerosmith,NA,Safe
Season_06,20070220_top_12_men_perform,6,Jordin Sparks,Give Me One Reason,Tracy Chapman,NA,Safe
Season_06,20070220_top_12_men_perform,7,Nicole Tranquillo,Stay,Chaka Khan,NA,Eliminated
Season_06,20070220_top_12_men_perform,8,Haley Scarnato,It's All Coming Back to Me Now,Pandora's Box,NA,Safe
Season_06,20070220_top_12_men_perform,9,Melinda Doolittle,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,NA,Safe
Season_06,20070220_top_12_men_perform,10,Alaina Alexander,Brass in Pocket,The Pretenders,NA,Safe
Season_06,20070220_top_12_men_perform,11,Gina Glocksen,All by Myself,Eric Carmen,NA,Safe
Season_06,20070220_top_12_men_perform,12,Lakisha Jones,And I Am Telling You I'm Not Going,Jennifer Holliday,NA,Safe
Season_06,20070221_top_12_women_perform,1,Rudy Cardenas,Free Ride,Edgar Winter Group,NA,Eliminated
Season_06,20070221_top_12_women_perform,2,Brandon Rogers,Rock with You,Michael Jackson,NA,Safe
Season_06,20070221_top_12_women_perform,3,Sundance Head,Nights in White Satin,The Moody Blues,NA,Safe
Season_06,20070221_top_12_women_perform,4,Paul Kim,Careless Whisper,Wham!,NA,Eliminated
Season_06,20070221_top_12_women_perform,5,Chris Richardson,I Don't Want to Be,Gavin DeGraw,NA,Safe
Season_06,20070221_top_12_women_perform,6,Nick Pedro,Now and Forever,Richard Marx,NA,Safe
Season_06,20070221_top_12_women_perform,7,Blake Lewis,Somewhere Only We Know,Keane,NA,Safe
Season_06,20070221_top_12_women_perform,8,Sanjaya Malakar,Knocks Me Off My Feet,Stevie Wonder,NA,Safe
Season_06,20070221_top_12_women_perform,9,Chris Sligh,Typical,Mutemath,NA,Safe
Season_06,20070221_top_12_women_perform,10,Jared Cotter,Back at One,Brian McKnight,NA,Safe
Season_06,20070221_top_12_women_perform,11,Aj Tabaldo,Never Too Much,Luther Vandross,NA,Safe
Season_06,20070221_top_12_women_perform,12,Phil Stacey,I Could Not Ask for More,Edwin McCain,NA,Safe
Season_06,20070227_top_10_men_perform,1,Gina Glocksen,Alone,i-TEN,NA,Safe
Season_06,20070227_top_10_men_perform,2,Alaina Alexander,Not Ready to Make Nice,Dixie Chicks,NA,Eliminated
Season_06,20070227_top_10_men_perform,3,LaKisha Jones,Midnight Train to Georgia,Gladys Knight & the Pips,NA,Safe
Season_06,20070227_top_10_men_perform,4,Melinda Doolittle,My Funny Valentine,Chaka Khan,NA,Safe
Season_06,20070227_top_10_men_perform,5,Antonella Barba,Because You Loved Me,Celine Dion,NA,Safe
Season_06,20070227_top_10_men_perform,6,Jordin Sparks,Reflection,Christina Aguilera,NA,Safe
Season_06,20070227_top_10_men_perform,7,Stephanie Edwards,Dangerously in Love,Beyoncé,NA,Safe
Season_06,20070227_top_10_men_perform,8,Leslie Hunt,Feeling Good,Cy Grant,NA,Eliminated
Season_06,20070227_top_10_men_perform,9,Haley Scarnato,Queen of the Night,Whitney Houston,NA,Safe
Season_06,20070227_top_10_men_perform,10,Sabrina Sloan,All the Man That I Need,Whitney Houston,NA,Safe
Season_06,20070228_top_10_women_perform,1,Phil Stacey,Missing You,John Waite,NA,Safe
Season_06,20070228_top_10_women_perform,2,Jared Cotter,Let's Get It On,Marvin Gaye,NA,Safe
Season_06,20070228_top_10_women_perform,3,AJ Tabaldo,Feeling Good,Cy Grant,NA,Eliminated
Season_06,20070228_top_10_women_perform,4,Sanjaya Malakar,Steppin' Out with My Baby,Tony Bennett,NA,Safe
Season_06,20070228_top_10_women_perform,5,Chris Sligh,Trouble,Ray LaMontagne,NA,Safe
Season_06,20070228_top_10_women_perform,6,Nick Pedro,Fever,Little Willie John,NA,Eliminated
Season_06,20070228_top_10_women_perform,7,Blake Lewis,Virtual Insanity,Jamiroquai,NA,Safe
Season_06,20070228_top_10_women_perform,8,Brandon Rogers,Time After Time,Cyndi Lauper,NA,Safe
Season_06,20070228_top_10_women_perform,9,Chris Richardson,Geek in the Pink,Jason Mraz,NA,Safe
Season_06,20070228_top_10_women_perform,10,Sundance Head,Mustang Sally,Mack Rice,NA,Safe
Season_06,20070306_top_8_men_perform,1,Jordin Sparks,Heartbreaker,Pat Benatar,NA,Advanced
Season_06,20070306_top_8_men_perform,2,Sabrina Sloan,Don't Let Go (Love),En Vogue,NA,Eliminated
Season_06,20070306_top_8_men_perform,3,Antonella Barba,Put Your Records On,Corinne Bailey Rae,NA,Eliminated
Season_06,20070306_top_8_men_perform,4,Haley Scarnato,If My Heart Had Wings,Faith Hill,NA,Advanced
Season_06,20070306_top_8_men_perform,5,Stephanie Edwards,Sweet Thing,Chaka Khan,NA,Advanced
Season_06,20070306_top_8_men_perform,6,Lakisha Jones,I Have Nothing,Whitney Houston,NA,Advanced
Season_06,20070306_top_8_men_perform,7,Gina Glocksen,Call Me When You're Sober,Evanescence,NA,Advanced
Season_06,20070306_top_8_men_perform,8,Melinda Doolittle,I'm a Woman,Peggy Lee,NA,Advanced
Season_06,20070307_top_8_women_perform,1,Blake Lewis,All Mixed Up,311,NA,Advanced
Season_06,20070307_top_8_women_perform,2,Sanjaya Malakar,Waiting on the World to Change,John Mayer,NA,Advanced
Season_06,20070307_top_8_women_perform,3,Sundance Head,Jeremy,Pearl Jam,NA,Eliminated
Season_06,20070307_top_8_women_perform,4,Jared Cotter,If You Really Love Me,Stevie Wonder,NA,Eliminated
Season_06,20070307_top_8_women_perform,5,Chris Richardson,Tonight I Wanna Cry,Keith Urban,NA,Advanced
Season_06,20070307_top_8_women_perform,6,Brandon Rogers,I Just Want to Celebrate,Rare Earth,NA,Advanced
Season_06,20070307_top_8_women_perform,7,Phil Stacey,I Need You,LeAnn Rimes,NA,Advanced
Season_06,20070307_top_8_women_perform,8,Chris Sligh,Wanna Be Loved,dc Talk,NA,Advanced
Season_06,20070313_top_12_perform,1,Brandon Rogers,You Can't Hurry Love,The Supremes,NA,Eliminated
Season_06,20070313_top_12_perform,2,Melinda Doolittle,Home,Edward Sharpe & The Magnetic Zeros,NA,Safe
Season_06,20070313_top_12_perform,3,Chris Sligh,Endless Love,Lionel Richie & Diana Ross,NA,Safe
Season_06,20070313_top_12_perform,4,Gina Glocksen,Love Child,Diana Ross & The Supremes,NA,Safe
Season_06,20070313_top_12_perform,5,Sanjaya Malakar,Aint No Mountain High Enough,Marvin Gaye & Tammi Terrell,NA,Bottom two
Season_06,20070313_top_12_perform,6,Haley Scarnato,Missing You,John Waite,NA,Safe
Season_06,20070313_top_12_perform,7,Phil Stacey,I'm Gonna Make You Love Me,Dee Dee Warwick,NA,Bottom three
Season_06,20070313_top_12_perform,8,Lakisha Jones,God Bless the Child,Billie Holiday,NA,Safe
Season_06,20070313_top_12_perform,9,Blake Lewis,You Keep Me Hanging On,The Supremes,NA,Safe
Season_06,20070313_top_12_perform,10,Stephanie Edwards,Love Hangover,Diana Ross,NA,Safe
Season_06,20070313_top_12_perform,11,Chris Richardson,The Boss,"James Brown,The J.B.'s",NA,Safe
Season_06,20070313_top_12_perform,12,Jordin Sparks,If We Hold On Together,Diana Ross,NA,Safe
Season_06,20070320_top_11_perform,1,Haley Scarnato,Tell Him,The Exciters,NA,Safe
Season_06,20070320_top_11_perform,2,Chris Richardson,Don't Let the Sun Catch You Crying,Gerry And The Pacemakers,NA,Bottom two
Season_06,20070320_top_11_perform,3,Stephanie Edwards,You Don't Have to Say You Love Me,Dusty Springfield,NA,Eliminated
Season_06,20070320_top_11_perform,4,Blake Lewis,Time of the Season,The Zombies,NA,Safe
Season_06,20070320_top_11_perform,5,Lakisha Jones,Diamonds Are Forever,Shirley Bassey,NA,Safe
Season_06,20070320_top_11_perform,6,Phil Stacey,Tobacco Road,The Nashville Teens,NA,Safe
Season_06,20070320_top_11_perform,7,Jordin Sparks,I (Who Have Nothing),Ben E. King,NA,Safe
Season_06,20070320_top_11_perform,8,Sanjaya Malakar,You Really Got Me,The Kinks,NA,Safe
Season_06,20070320_top_11_perform,9,Gina Glocksen,Paint It Black,The Rolling Stones,NA,Safe
Season_06,20070320_top_11_perform,10,Chris Sligh,She's Not There,The Zombies,NA,Safe
Season_06,20070320_top_11_perform,11,Melinda Doolittle,As Long As He Needs Me,Shirley Bassey,NA,Safe
Season_06,20070327_top_10_perform,1,Lakisha Jones,Last Dance,Donna Summer,NA,Safe
Season_06,20070327_top_10_perform,2,Chris Sligh,Every Little Thing She Does Is Magic,The Police,NA,Eliminated
Season_06,20070327_top_10_perform,3,Gina Glocksen,I'll Stand by You,The Pretenders,NA,Safe
Season_06,20070327_top_10_perform,4,Sanjaya Malakar,Bathwater,No Doubt,NA,Safe
Season_06,20070327_top_10_perform,5,Haley Scarnato,True Colors,Cyndi Lauper,NA,Bottom two
Season_06,20070327_top_10_perform,6,Phil Stacey,Every Breath You Take,The Police,NA,Bottom three
Season_06,20070327_top_10_perform,7,Melinda Doolittle,Heaven Knows,Donna Summer,NA,Safe
Season_06,20070327_top_10_perform,8,Blake Lewis,Lovesong,The Cure,NA,Safe
