season,place,gender,contestant,top_36,top_36_2,top_36_3,top_36_4,top_32,top_32_2,top_32_3,top_32_4,top_30,top_30_2,top_30_3,top_25,top_25_2,top_25_3,top_24,top_24_2,top_24_3,top_20,top_20_2,top_16,top_14,top_13,top_12,top_11,top_11_2,wildcard,comeback,top_10,top_9,top_9_2,top_8,top_8_2,top_7,top_7_2,top_6,top_6_2,top_5,top_5_2,top_4,top_4_2,top_3,finale
3,17–32,Female,Lisa Leuschner,NA,NA,NA,NA,N/A,Eliminated (3rd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Lisa Wilson,NA,NA,NA,NA,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Marisa Joy,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Tiara Purifoy,NA,NA,NA,NA,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,Eric Yoder,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,Erskine Walcott,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,Jesus Roman,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,John Preator,NA,NA,NA,NA,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,Jonah Moananu,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,Marque Lynche,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Male,Noel Roman,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Female,Carrie Underwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Winner
4,2,Male,Bo Bice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Bottom Two,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Runner-Up
4,3,Female,Vonzell Solomon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Bottom Three,NA,Safe,NA,Safe,NA,Bottom Three,NA,Safe,NA,Bottom Two,NA,Eliminated,NA
4,4,Male,Anthony Fedorov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Bottom Three,NA,NA,NA,Safe,Safe,NA,Safe,NA,Bottom Three,NA,Bottom Two,NA,Bottom Two,NA,Eliminated,NA,NA,NA
4,5,Male,Scott Savol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Bottom Two,NA,Bottom Three,NA,Bottom Three,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA
4,6,Male,Constantine Maroulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA
4,7,Male,Anwar Robinson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Bottom Two,Safe,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8,Female,Nadia Turner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Bottom Two,NA,NA,NA,Bottom Three,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9,Male,Nikko Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated[b],NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,Female,Jessica Sierra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom Three,Safe,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,Female,Mikalah Gordon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom Two,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,12,Female,Lindsey Cardinale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,13,Male,Mario Vazquez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Withdrew[b],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,14–16,Female,Amanda Avila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,14–16,Female,Janay Castine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,14–16,Male,Travis Tucker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,17–20,Female,Aloha Mischeaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,17–20,Female,Celina Rae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,17–20,Male,David Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,17–20,Male,Joseph Murena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,21–24,Female,Melinda Lira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,21–24,Female,Sarah Mather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,21–24,Male,Jared Yates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,21–24,Male,Judd Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,Male,Taylor Hicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Winner
5,2,Female,Katharine McPhee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Bottom two,Safe,NA,Safe,NA,Safe,NA,Top two,NA,Safe,NA,Bottom two,NA,Safe,Runner-Up
5,3,Male,Elliott Yamin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Bottom two,NA,Bottom three,NA,Safe,NA,Safe,NA,Bottom two,NA,Safe,NA,Eliminated,NA
5,4,Male,Chris Daughtry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Bottom two,NA,Top two,NA,Safe,NA,Eliminated,NA,NA,NA
5,5,Female,Paris Bennett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Bottom three,NA,Safe,NA,Bottom three,NA,Bottom two,NA,Eliminated,NA,NA,NA,NA,NA
5,6,Female,Kellie Pickler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA
5,7,Male,Ace Young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom three,Safe,NA,NA,NA,Bottom three,Safe,NA,Bottom three,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Male,Bucky Covington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Bottom two,NA,NA,NA,Safe,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Female,Mandisa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Female,Lisa Tucker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom two,Bottom three,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,Male,Kevin Covais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Bottom three,Safe,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,12,Female,Melissa McGhee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13–16,Female,Ayla Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13–16,Female,Kinnik Sky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Bottom three,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13–16,Male,Gedeon McKinney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13–16,Male,Will Makar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17–20,Female,Brenna Gethers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17–20,Female,Heather Cox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17–20,Male,David Radford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17–20,Male,"José ""Sway"" Penala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,21–24,Female,Becky O'Donohue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,21–24,Female,Stevie Scott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,21–24,Male,Bobby Bennett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,21–24,Male,Patrick Hall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,Female,Jordin Sparks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Top three,NA,Safe,NA,Safe,NA,Safe,Safe,NA,NA,Safe,NA,Safe,Winner
6,2,Male,Blake Lewis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Bottom three,NA,Safe,Safe,NA,NA,Safe,NA,Safe,Runner-Up
6,3,Female,Melinda Doolittle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Top three,NA,Safe,NA,Safe,NA,Safe,Safe,NA,NA,Safe,NA,Eliminated,NA
6,4,Female,LaKisha Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Top three,NA,Safe,NA,Bottom two,NA,Safe,Safe,NA,NA,Eliminated,NA,NA,NA
6,5–6,Male,Chris Richardson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Bottom two,NA,NA,NA,Safe,Safe,NA,Bottom three,NA,Safe,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA
6,5–6,Male,Phil Stacey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom three,Safe,NA,NA,NA,Bottom three,Bottom three,NA,Bottom two,NA,Safe,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA
6,7,Male,Sanjaya Malakar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom two,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Female,Haley Scarnato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Bottom two,Bottom two,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Female,Gina Glocksen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Male,Chris Sligh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11,Female,Stephanie Edwards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,Male,Brandon Rogers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,13–16,Female,Antonella Barba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,13–16,Female,Sabrina Sloan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,13–16,Male,Jared Cotter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,13–16,Male,Sundance Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,17–20,Female,Alaina Alexander,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,17–20,Female,Leslie Hunt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,17–20,Male,A.J. Tabaldo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,17–20,Male,Nicholas Pedro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21–24,Female,Amy Krebs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21–24,Female,Nicole Tranquillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21–24,Male,Paul Kim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21–24,Male,Rudy Cardenas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,Male,David Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Winner
7,2,Male,David Archuleta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Runner-Up
7,3,Female,Syesha Mercado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom three,Safe,NA,NA,NA,Bottom two,Safe,NA,Bottom three,NA,Bottom three,NA,Bottom two,NA,Safe,NA,Safe,NA,Eliminated,NA
7,4,Male,Jason Castro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Bottom three,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Eliminated,NA,NA,NA
7,5,Female,Brooke White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Safe,NA,NA,NA,Safe,Bottom three,NA,Safe,NA,Bottom two,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA
7,6,Female,Carly Smithson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Safe,Bottom three,NA,NA,NA,Safe,Safe,NA,Bottom three,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA
7,7,Female,Kristy Lee Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,Safe,NA,NA,NA,NA,NA,Bottom two,Bottom two,NA,NA,NA,Safe,Bottom two,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
